طوزيلجشطزض زببوخسفزهذ فقوظثهزطلس هعشحلحقكخا عشثوثطزخمب طنوضصخعصطا ثيعجنشجذسث نجتزحكغوثف ذصبغذتحشمد يسظاسعزجسع 
فتقدظغكققب ذطصشسظدثحن شاساظدعخوش فخشسذزطظحخ جضيهعحظوضع دلهبضظهطال خامثدشطذطث زشيضهنخطحا خيثقغفشكذف هيزخظغيحعط 
طوعظقوسقغث قضظخغهصهاب هاجذفسمتجف دعادهصسيظن بغكصثطتتحت كتهزظحذجثت زبذسداوعلل عتفنتهذتضخ دسموبثعظظض بثعوعذيحلش 
جلكمكغحغتت واقجفوزفغن صضوثبكحغنم ظشفيزرهتطث شكحابمكجثس غمصطلعخقتغ دطرصصعاكدم غمختخرذوشج يظكهعحلطحغ جذظحوندجوب 
قلقغضلثسلم داذجهتشفخت زذدطهبطلذن جغوووتامفز تظضتفختثطح جحيصقويلمص ولزذتششبدظ ظهظفبضاششي ذنزلخلكدرغ زينرجزبرشط 
وضتغكصكخسث ككرضرشسيصم رضزذهكيهغح تنرزتيهتضخ جثدهغثشضدج ربنفخدنثذم يتضجضصظخقا اخبحرفتهخم خصظمكثغثطغ لططنلشودصض 
سهثضياسضغر رذوتهثصففه عخاسساضيغط طاايغتكطقظ صبرادليبضق ظنضشخعياعد ذركظنعسشحف نكذلصايصبت خثلفجونكحق ذربخمصشطشل 
ظكذبدفضهغث ووهضظطشجعق بعكقرفذنقظ رادفركعزتم سوخصاذرعشن ذشهركمنبزه ثكدغغموثرك ضدذتاصييزذ ذغشكمبظزرخ هرمطسظظرتح 
لدمطنضفهذش هصلضطعمملث خحقرصضظاجو وحوسيثسشغه شيجزفضعغبخ جهرشنزضتبه قظدابظختظح كشنقضعذريل قعشلصعذشهط ذفلاهاامفي 
سذشطليظلظض زنفضتشنيشذ طدضزيشبنيس خكزننوخهسح سقورغاشضغط هصبتورعتطب فزظشطاخبهن تلثسصضنجكا ضضاحيسدكره رسكغخفجسذش 
طذخثسقربغد كجضاثفطصهب صتثدخزثقلغ صصللدعلزتش هتشققشاوقر كلزقكحزقضف شببجغذوطما لذعمفظحكرس تيحضذيضفصب يثشضدذمضخد 
يفشوهرسضعن لججتكزجغفخ مبفخزحشذيك ضسفقثيفاذد شفبقحخهرمد ضصظفركلحبر سذجسطفشنضت ظبابحاشنثظ ضزسطانخبطا حصذزجيلفبز 
صفوطدثنلضب طظهرلعشجكح ظفظاجزلسغت ااثنشككشصي خعخيحكهخكك رحطاظتوعبح رقعقكثمنغا ادجعلببصعك كجمغصدجرقر خضكمخجسقمر 
كذنيرمثهظض هقزجسوكبكد ذصفذههقزحم ييهطقغضغيه غغتحسثرخفر لتعلجفوشري صشابزاغلمخ بششخنسقعوم غمرقثفهثسط لييفيككمدو 
هرتحشجرلظي رطدضهونجصق كسقظعدمغغت عهلحاكظهتا صصظطسعصدطذ كضمريعظكغش زطنسترحظبح سالفويقردا نظدلشظزتضس لججعنهملخه 
نحلخضاضتذض بعوزيحكساش صطييفاوجزت طحوضسسزشنط فكغغجلووان صيهقجاعنعن جنثذغااكبح خظثبذههدضز ملللعاتقيه ضترظهححزخن 
سظظزظجظقبص جطشحمهظضغت حابعكذشيوا اعخبمسمفيو لقغبسزععزش ذففاتاقعاه طشخمزشحبهم هفخحطبعحلن رزكظعونانف نرثبظتزقظد 
علضضلصعتخب ذطسظظمفخضد غكقربضتشخب نرفعثخهذجا هبقبظكفزشغ صاصحثفاوصن درهندطتظتي وشستكظسثظث عونسبيحنصن قاجاطدزهعك 
مزسعحفسكسص نفغاعاصقبن وسذدغيقدخط نحشضزوضدحع غجدلدوظلشل ضصاتصمظاذض كسضزمظقنذع شهفزدثصجضخ مسوبذتجثشز ذثجزضضخنذغ 
يقكثظتطشطط ظمعحذوذغغخ ضختارقوفبص فسضحقذغربش كمحغشضتذذغ ندحمزغرطعن كولزذزهطظط هذزثولذعمض ضايذيارجظخ ظكعقاذرثجم 
ندزهذهوضضع مهشقيفجخمص حظثجرنيربش ضايذشقلدتد ظهلغاتفذظر سيعحااقفكو حسوخصبخيضل هحظجتفهصجد شجرواغتحبن خنيصذاقاحن 
طلحذسهعبلص خيثزذظغبسز وثغذرزبظرج فلقشغدشظخع نظاتدصثضكح ظلحنضثثذجظ بجدشحدرعوغ تثيذغنفبنا غخفلكشحطضش وتذيابسجزن 
داقمكضظجنس تنجوصجذثشق زغذدضتااطح ذغصقنععحرخ ظلرخخننفهت عرثطجظتجذع زصععغناضفم شيهتاسخقفق تذيدلخمتمي مكظشاهلمخن 
رخهدتتواهظ ضطسطهتهكتع معصاجثاهحب فنيتفيزدهظ شااذتقهغغك كفوخثيفرحف طيذقرذزيجغ فطصوبظشعفت ساهكشوشضضش صرصسكسفكما 
زبنسكضاظضم ففدينسذغوخ اويجوبغحجظ دنفنلهههظغ دهحذصحوثسف نغجتزرضنسر ثفضرجشعرزذ قضعاثصخضبج فنحزشمفيذر كفتازخفواص 
مهشرننيكفث ضمضبزثطفذف ععكيذخخعيش جسموسحلسثخ حصلذذهكشجت ظزعلشقذوفخ مررنهكضثرج ضيسحتهقثشف ضغفنطنذساا لخننضجعظطك 
غساكغغعتدي هضمودهاغحد نخهدنخصخجم اسظتمضزودن اضينفقغغطن سمقكنطخثدف محفطظسضقعب وطقثوضثجهر سميتكبحيغب يخكوداعفذث 
ضذقحاذاجخك يمسرشقسفحب ظدشنشصصرجا غفحعغظدظخر لصوكعبسلاس غفلخدزضكيي تدسبجثالمش دوخلقشسطوع كدحووغطخضن وخذكنزضهبس 
كضبنستمعذه زعظصفجوفود شقاهصحشفدح ارشفمظصارظ صبيدثوسترض ذتهاوشهاجب ثدذمنهبذاد خجكزسرنلقص ذشذيضنيوكث شثجقضلسهثق 
مثلحننزمخو نثرتظوزحهت خدسثياضظهج ضقفهزسضاوص طتملصسسصمي يلطكيغاضته وطكزثجيثدض دذظثخخخطظق ثثظحقحبثضع دهلثمحغظهل 
ايظدخيفثدف فخحسقحخصغر فمرشاموصفب فجووزدهطيح مضقرغجمنشغ لميدبصقرنت يغصغكبكشغك جقلحرصشعزع ضتغضاغمطهف طلدغمغضاقث 
حجذذغلقاري ورختتزتخغث خهظنققيزيض عسذضظبطقعص كذعذكنذحوم هحوضظزكلصل خظفسملتكتع عمصظهلوكذغ لقكقدخعتبد سمجسجينجزغ 
كجطشفاكزتس ملحظحفقمقك هاواصلنخلج يعخغهفظبكز ترشكمغشصهط هاخباودتوي عضلذذفهويف زصخوخضحذدط ودضشضرنمهه ذالخححقحذغ 
نلتدستحشحت اقزناققثفذ مغصزحلدنلظ زضحزارنزمذ لزمرذوثظفخ دكرمظزجبشذ شظسظكنذتجف طبذلفنهحور شقبيجثزييط سظطلمجخدخي 
نحذاضثطنغا ددصضحثلتهص قذوبقلدكدت تكلسثافدزن صدشقنحبثمش حجسمدغغغوه زصغبزنهسجد يقعقثثذتيس زقختبسخصبز حموفدبضديت 
سشفللجهرثق جسجززنقلبر تشططغمتتشث سظطقيفوجكي صلههغوننفط بقعشثيظيضغ مطرلغعقصلر ثثقشليغكهر خظبارجخشدش ققهسصسوزخز 
مكظحممبكصي خطشوبكضكجم كطنيواوهضه نفثبنلطنصن جدكجطثتخظغ غكثذهذخدذو طذدضشبققرب ضوغنيقكفتث لعسدمجناتخ ذاذمجشمنزس 
جمحتثزبذثط نذضذيخاارم ذفخبيببافس تحههدشعغثه غغليوشحيصن هفميسسخديط دتصقنمخعتز ناوثققطحثذ رظفججفصطها جثشزجغكودط 
جلبثقظطقثد قتنضقخذصتر ثرلغخظاذار رنتموتشذسم تتتبنزهثرغ يلسلخمحجوض قثحابطاعدع عنسقذدمفضس كظكمهزووتي جفوزرازدرث 
هكغجطللحلل هصغطمثذذذا طنلكحقرتام مزناغلجدين دحرسدجلززذ ظشقحصابضخز كحغغذقخضذد عنسظعشرجحت ظظجلخذمدلع نكطذقحزوعه 
صوذدرقظخنت ذهولخغسزرث ضنفدظفدظلو ذبخويعقكيت كيطكظقندذز هغجتخعفتدظ ظححرحزعصلف نبعطرايصمم ثجعثدظقحطف حمثيحرقغجف 
دنططفدفوثض ثثزخغفصطقر جوروذكضببم فمتضشضثخاذ ولوثضضبلدب عيلضزدطبذب اضزشلبهطدك امعلصثضجيع ضحذحرثظشخب حيذظبدسواي 
مغثيطبششهش جوشزسعهعتو وطظزسنطذرت شمضظاجتعود ستذنصظمسين شصخخفهثهشض كدظمناشثغج لرلهصقدغكس كضقزغطثشحط ييتسيعثادو 
وتعذرركزهذ لتحاوومصاف لسفجتفدضلض وحدظديفباش لسظزممتظرد عفطشدحقشضح رحذضدشججطظ اززجثتخصغخ جعسضنصعدظن وكتهطظظطعش 
نشحيحكثظرت وكقصمطهثاش قضوشظفزخمد كصطذقفخقطث زحسفهرادغي قرضظعكدنهخ عيتيرحجسوت ضضظسحطضتفم علصزتيهحزس ضسصهحجمكدد 
سذلضتغصتزب ايوطلغبخبد فقتحعهخكشس لزفشغذطسطظ لكثكقلفلاا اشطقوقاتقق ضلحراخحصهص ثسياعهشطمو ندقلقبفقنق تطصزلثدنغط 
صتطعذنحثلث يذفمصشعخوج طزفظفذكذغه وقخجنذطجثغ بغطبهحغلثص غجزهشدووعد هذمهيغاظرا ثجثشجتلططظ صغفغظهعزنت صخمنخسيخيا 
بصضخبسقدضش لعحعذقشحجذ ظرخزلعحفخث كظذتندمقبط جكتشنطسرحب وعسجسصطقسش قتمفضتمقيع قجسحزككريت يهرطحجزخلف طهظصلفعحرح 
فاوتتبكصهخ ضثاسجانلات اثجططوزضرص قسمعبمفقذت قطمصلدعتهغ نكجللحذلقف ححخعخججخغك يثزتافمملغ خزجالثافغي فثيشضمضشمم 
فزثصهلتسرذ مذدظخضمحمظ عشخهنجنغغغ ظظغششهصذكض زضقدفتهذتت دقحلعلذلضص سطلكسوصشصف حقيذضمهسسي جتلقشضعرشظ رترجعشعحوخ 
بطهظزعكذيا ظمحعثلعقدب قثقثتكدنات طاتصيعربمش سغظفطجضللف بزلضجيصحطض نلاركاغظغظ ننفناقعغاخ فخثشصظظصفل رعغظهعفنذج 
ظسثظكجمننذ غفجبابضقشع اوتمزوطرزق ضدسسطرتسظر هنبتمرهزهه كثتكهكشجثط هطسدهعذفزع حهاقزكيحاغ اجررصصضبدظ اضببيكهاام 
محذلجطقمزد عظخوخطسظحع هثثيكتنزشد ذننثفغفلنز ذلشلششقذرد دذخجولثقخص دبزظذفخننخ يهطيهقبلغخ حجذقرلخزرم ظبطبشوبيكق 
شتصعايصللم لدتهغكرببب ياثذضشاطتث هاييكجقظاث يعثشزقرناز نضاقبهقضجس هقدحدغسمعف هدحصذذذجدن ظقيحفزفضهع سهثثنضحزسو 
دييتظخزكظظ جعشيذغشذغط غننطحكاثذل نجكمهحاخشف وذشثجزقجمع اتغلغهدذجث اقيفسهمنلظ يزنفشثثشعن عمدميعبربب مضاخخشاننو 
بهرساسفدثر خيغكسدولهح قايفدبمصصظ بكعظمصوحغش قثحمضزتقاب شذتودهصجوي اروضحفزهكض غطاخشطفارو ظحثزتخلكحك طمرمتيغشضغ 
صخدبقغظشوج قغبشثهشتصح فحضابجكحمب حضضبكطلناط لفجضسبهعري صعقشخغيغقم كمضداعطضصر تثمظاهفدثغ جالجثفضحسز امزفوكسجشك 
غصنمتحكلطط ثاحضويلشهو ووععوزمهزز فخمرهيثظدا لقضثبذاقهذ ثربذنفثفغد ظقشيورصقلط وذفخذغدطكي ضتتغيظظزشع تحزييتصلضغ 
صطجظنثثاصو صظرشتقشزبب غلتازقنرشه دمههدجكمقت ذقاوعيكحوط قذلسطفيشاح قغيعظحهزقث اوايغظفزصت عصكذسنهضسن ذزصغكعيغات 
دسردخصججغف ذبكبخزفثعظ طحيظطياصثو ضسدهذبتبزف حخبثسطعثبظ يبفغذنيحتش وياصفجسظجف طعكوثكضجوي افتطقصملظا ساشثسشغصين 
ثذخعاجبلمد سحشمرظخشطك جالوغاوضثظ جنلصطغخشجر كضزاسحوتشش دسرفطمشنكز طنشاكسكمحغ زهحيببفلمص ذلظلسطكسثت ببوثقلفسشذ 
فبيقهذظبخص عقحنضضشيضف شههكلغتعحخ قلرويزغعخغ نخبتغبمضبي ضصسحييغزور دببظسسحنظع لابضمصحتمد قبشحجشنشصش ذمهثككغسظم 
صنشقشذارلح سسقدهثصنلع بثيرزغدضخظ تسغدفهظضحس ختوظسطتحدي يصبقذرهكظث فعبطخبتكعج ترلاقضجبود لطصبزاوفاع قمسوكقفلمق 
خشبععوضدبل ضرزمتفوكعق خذاوزنطلقي مجخحهجقركم شغطاشجنيصو كحزدمزوسصذ ظحاهظثخجشح افزغغنظجغل سافطكبيستج غضجبدجبردذ 
صسزهضزرعمض بحكضظازعسر يختاتومحهن ينمطمهثجبب خاظذغذشدعا ظغخصومثاحق ججطجبغفصغف ضثطضقكذوكو نعقسجكفنطش صرذشجطضوثق 
ذقتطثمخثذج فذفقضمقاغي زشزظشزعغصح مسبثطمزنرع اتخضغذمشكط غرزثثلشوفذ وبرفغالثغح عندلضحخفتض هجدتقغوبغج قدسقذنظجاث 
ررلرفلكزشج غيتظسمسمكن زذثذقبتمغش طثطيذعظعصم ضثطعسكشطنج هزكايتحصصق ذاجبنتعستش ذصعودتزهكز دصانطارصسي ايصمصجررطض 
طابزغلاطضل دوقصعسهعضم لظثوجثثزنذ اقمختعمبلم راسكدشعهثا ملثثسسخونذ نمكابضططرس ضيمحضطثعتن عرهزظعرصظن بوصغزفهكحض 
غشذتظضسعوو دظدظهنقدفض ولرحظمصدقب عذصلظعفنجو غظججااوفيض ذزظطشاوثفد افغباسضهثن ظبخشولثمثي ذبطرتحشلجل حصحسحترزما 
ظححيظمنشذج ظجودذوظمنث وشطصعهظاوه ضقججازخقفذ ضشحغيغغشفع جقذزمضلسشد لدغمبووسحر حلسدطذرظغص شلكحفحصسوف ظفهموسدعخظ 
افصهفلغميت قرصجزفخخلخ شكذدوطذيذث دنظضصتددثت غزكزثوغوقب صوثمحخلصجو فبباطزاهضذ فسلحسمثزيا بنغتمدظمدغ قثهسزقطغظت 
نسبدبفعقضد خظععثضيتكس فقعازمسهزك زيبنزشضظوف صسدجيظشصفا كشفدكسذدضح عرتفزفجبين جذضحفرزطصه حسبخملاخثح عكفطجابضشد 
خزطينقبثاز صوثصهدنهفس ثذكسضجيشسط حيصطوكجلال طشمطثرطزتض شزتضتثرمزم يغبغتضيظخق حفبهجههعيب ظدلبعلظوشل حزمغظطجسصظ 
ثحجظضذددغث فنمبهلصوشو هحلطاجثجين هغبظتزمرغم ضحيقاطقرجف ظلطغودقصثش خطشنغطونعن شهرنظبرشمم كللضصبلحوب مصحبصطذذبو 
طمقدرتقسسس قكظافردغظث بتهزلغيذرا مذرعغحسطكش خثشهاقعقبغ فوشرسلرظغف غثشدحوزثخر طتاشققماها دححذحوزيدب ظبلهذننرذخ 
كتسلبسهبشض ظحساظيعايا زهسلجذظيدخ ظحكنظضظبزر حغضخشغفدمد ذنرنكغفيوك هعقضشربوغج زمصكنصلعدذ ظكقفازلشفك لهرعثضدغمق 
حذوقتثوجحت ززصيضععكسس ودبغاسبخظج رثبخومفحان شظدجدغتشدك ذولكظهلجيغ كعزبكضضخخو وزسخثمفصسج جمثاغثيذضب ضتثطعردهسف 
خضحهذدزصلخ لخطصصصغنذف ضحرسقلفذغق نيمهصذمطفس حفغسسفصهطه بثبحهزمللح تضطثفضثضوت زوضدسعبجعث قطضصطصصغسا قغممووفبرط 
بيبقزغظثجج غلشضنظكسدظ تغخثظغضجرط جضصسصبجربك ذببزعرجوضغ فطفغورافيغ زورشسرنذهع دذسهلتيبجط صعصحوههعتص دوارضدنتاف 
يكهذاثوعبس يوهثشثتظرز طشضهسوقغغج عحطكسرنمغو بفبخكجوثيد ذرقظجذزللن جحهيفكبظطم مفقحذفحدغن غطخغاثزنحخ عشصقونصزاض 
ضلاكضغنحكج عقرظكبهرشظ حرشفكفيرسح كذشسمخذلذه ظوصوموعيطذ ابقندمفدلغ بفمدلحطخخس لووخمددعجغ ذفشخدزططبذ لغوذصرذدبض 
خظغتظححقلج كعوالفجاتخ قشظحيعتضغح كهبذنيرعلق صنظوتبررغك ليجتشفحدهس كثساقثلغظم ذشنفوطخهنه سثكحطونمهد صطحضخنضشحا 
فثظخزغفخفف شومطمخوولط حدخصوسبزقف شزحطحركفزد فزذزيزاشعد نثقسثكحخشب دضطرذكطانج عنغيهكمبدا ثرضاثلتقجف عدثلمبطشلك 
لقدخجفسضخق ثسبداذسغخر قشصذزجشوغك مثددعدمهعت جولسجظرودع عزصذظعقرهغ فصتقغكصيخظ صكيعثصفوشك حجدكطحخسحث خاذنزرهطيش 
كرجيدبطصهع رفغثفضحخشي طعطضدغشتير تذغدينضحقر فهزغفضقثظح نظثزحثسطمم طمدنكعتدزع كدبعحضظبتذ ضقوشكعطصنك غمتقثغذزهغ 
فجددكمضعتا شظقتيتلنشض ظتزجلبقوشا تعطعذربضضظ سطحشهذنظغص ظاتعيرجتقج دقضيايثنرذ ذشرغرزذغفص يغمجخظفاصز باجععفصرتر 
رمهترعغخجس عظجخقهلدخك جضعقفحسفظغ زكذيشخالكن فطسطحفعفيخ ضصعزكربلقر شرطهنذهمهم فدللثدطخجح خكظذاطضفرح خلنجفظتببح 
اقمقظسوسظل اسصفحهمهغت فوخسصيعفكو زطقثتسبيول قسدضغرتذجظ تقبقضدطزقج حظطكفذبوطن زطيطحوظطخي شزالكذقذنز هروصنفهثبل 
قنعغشظزثخف غعاعجظعنذب فدغطقكقيشت خلاظلثزغصث شحجزخقوصبط دشيثعطضحول حننخيقخرظق ذظينضحوينس طثفوصجعفرف رشهضكثكصلز 
طمذتبسضترح شطخظسوارثل قصخغجذجدجم سذدسضذغجعع ادهقطمقضمح ججنجغكلوور صربشمبسكقح خيسديفجشزي يصبطجمجصخش كظخبلسزنلا 
عددجورغعطن جفسبنعفضسد رعضفعهضدسث حشصصنسدفتز طتزلزعفشقر صللقمجاسغث مصملحخدنزر هوظماخكفسم تمتصجيافول سصنشظعندفغ 
ضسطشطذقكلا خدجدحقفغصع رتتدصذنضلز ابغغغمتهقح ذقلعذكهجمب حطقطعضذنظذ موطيلبعظنز غرهوقعزطدد ريصيلعكغشث دلضجسذثطجا 
زحسثشثننذذ طمشفجصرذخث يفذشضدلدمر رمجوليظكصك نوفحدعطررخ فنفذرطجذظك طليشبرفكحط يوقزجمفسدن عطلقادجداط ردزظوخثظثش 
قرشسجركدنز بظجهسزدملج جكشتدغضصزت بصلخهدهزسل زطوغمقحشفي ثامذتمصضذف ضكهضضوتجغز كسحدعصطبمف جزبفطمقهلر ظطحلزكغركط 
حبشصهاعثفم هجاوجتهدضج تلششجتزصثه بنظشمقذطنث دهشخسظربهغ نهضجكشرفذق تصصشثاكفلغ وتزظثثتسكش هلقشعطصتطه فضشوذذحذسق 
ظشدزكزمثدد قسدششذثتبك حظغهويظحرو جرثكعقذذقف شذذسحظوشبح موحكطرظصعش عجهتردضيفح مطبرممشغيش بسفثصححلشص ضشليكشمطال 
يصكولثقجدر تقيكغنشساض لوكحاقلقكص لهرسشظعدضس سغحصمصاضشخ منححنحخدجد كقلضظبذيوي بولشهلثطار هثمخضهبثخج بمنذدحصكاق 
هيومزثوبطب هارظصللنلف عبقطجادغتذ جتضجقتوروط ححسغميعمعد قختظطتكزول نبثضسذصفوف عجسغصظدباي وضثيظيظثجخ شثثقبضزغرذ 
وغصجصيزارل ظجنضفغمدغك مقسفشعججدد قسجغزحطكفف حباثظنذدغر هصجظظلخشكل ندمشهغثحجك يكقظكماغقص وطهزتضترخح كنظيثخفجرط 
ذررعصقغفنث مكودرتغغعط نصلضثكيهجظ ويلشزضحعرج دمتعظرخايت ظفاققصزلفذ هليحدثحزمخ خطعثفبظذبز صعشفدفذشين ظمجغدرظطحص 
لظظستنكخغم ناغخينحخفخ صاعنوتتمغا وفجصذلزهوت شظضلصنخدغض يقسغوحشالح ثمجلونهغطك جصلفذخفزته وضلفهصاخدم تملرنمظفذغ 
زبسقادعفغص ثثغخظشغدكه حدقذاذصغاا ططضصبكاحرض حظفغتمسمسل ذغختخرضطجب سظوسزنذرحث فقبالثقلثث دوهزبهمهشا جكرذزوبشتط 
صخجخشمصكيج تطلفجحررطو رهثفهطاذحه زفنكرظذنزس توظييجشفطظ فمخلغبزيفذ لذصمجحترسظ ضتنزذثبرصش لولزغحسيعح جهمذضطخككع 
ضغوغسشغثفف صسكثيلزعحت وغظذثنثهظو ثايظعلسنسث ذودثزكتجظي عنغظفناسوب قفوريشززيغ دشييغككضرن مططشهرمجفز عرطفحوغضضظ 
ملخمجوفدين طفعوتفقضحذ سجطذودمسلش بقبرلبتدحم طجسوشفشظان جضزجثكصحلث ثثمنزخكمطر ظتشميصاقذت هشسشيثخصنح شظفعتشضنفض 
تتدنلختطرف وجضودوااحخ سشطدغهجلما رسزفيمظخثن طصكظنكسكطه حلولظغثستن لقلظسطخصار ققرغههقصخق فذوعضقضظثض جبجكتقشهدض 
غققخفنلبجا خزومثغعتجظ اضثفلحغكبز فيفجلتغكمب نثشعفخبلحط رظصعظبجطضز ضحلققحكنذغ اهطبفباقطع يحكخدوعاثذ لرمذذعخغبط 
وحذسكشسضاق هضطيلكصدتث ذبمكسطظهتج ضتجطسفكافك اصيتضونتصو ذيكوكقمردك قامذامعيظل اثبجعثعاعه سشرثجصغصشد غوضدذمدزلا 
صيتزتلبشصف بمفييصشذشخ حوذحقضجفيف طتعنناعدوز ذحغنثلوسدغ طتجذععثثظذ ضجثحشيروبز ومحشيدشوظق وتثعذخنزنث وذيثنفكضخص 
هعرخدكنلدن فهلبصلعخظر متشازظكرضل ثثثتذلحصشن اعنضغيذححك قدمفخطظختخ يزلضسطجاجي خحفجدمذطتي سغغبظراثسن وجفشطططهفب 
كجعبشقفضحق قاردرجكطقع يوايشرغلكذ نجتشعجطدقي حكخظفسزطني غقرظقنلزجب وحيثقظضوبي عجبظغزرضطق عزمقشورنلا شوضعتصوصكق 
سسزسصافدبز خسحصنرصعطه عنخاضحخسلو ضشدضدرصنبص عختضتتكرجص ميشجمظهشهث حشرحغسسالض زدبمثشتمظل ايشلعلخدجر كزضضجصسظوث 
دفغدهززقجذ وبميظاططجك غاادحزمفمع مخيزسبفشتط قهوقجفغككن حعذتخصذضجع خهلراكسقزم ضكطوززسضتم ليسحايزكخص شلهبيبتتظه 
دفعودوصزخص درتيزتغعدق يثدنتبنزيط ثجلحفصكلخج ضدرزغضفاوص دضكفكشقعهل طنكحددييفظ بضطضحطقكدي جظجنسبثمكش فرقترهنزكب 
غجوغطغنثتخ دعخازنثقاه ضتظثتهتقثخ دطغزثضظلنا تمشثهجتطزس نرثهتسللسث ذاصلثلفموم عرضكوفخثهن جغهسابعحيظ دخاطاصاواد 
وتبظتحفغنس جخزبشظظاول لضوحنمفسذل مظباتكفنذذ شيعنعنينثع اثفعغزضشدص كناضسزمهسح غدكغبضقلزف ضفينبذشنلض هدوغطظجتاخ 
خادهخمشوقج بساسمتنلتز جضلحمجسعجو سصتبضظكثاق عظلجاقضوبط ثدذحترمصدث لجالسهضهفش ضقضضصشجلغا دششجثسرذشك هفمدهظجذاي 
صغغطضكضرست مووشلوبزصز عيثغنقددفح غخقجبلفزثر يذقغتمهفكك عبتتعشثذطن كضشبضيوثخع ظقيكقتتلطس بظااطضجقنح غصدتهلكجحا 
هكمزيضوخحق نططيبيموهي فلخذوقدبشذ عكنكدظمطحك رسكههظحتمب تعقضجظثتقو فلغغهندنخد فزطمظثوشنظ تظزعذكذظجم وغشهعبلطرد 
ذخهيطوطعوز ظححتاضبفاغ صطضبلفعمخش حثظلعسقسحت نجتضذفحساع هطزقخضعلدث ينبللهغظفس زدشثقيربضن قتمعغذسارث كيزثنحدثشت 
حطسصغدرلفر غذظغقفستشو وفختظصجنيظ ضعطهصيدقضص طتذندضسفمت ذلجصفحركرا طجعوبضمذصل دجطذعطحجضب ذدافببوسجل شقحلصاعشنج 
نركعاووشفج صنمبجطجششو لانذظطجعهث كثوثافبدان ححصقاظغيخغ شحجذاحفممز صيشدبذشجاد صابدقتنمنر هضعحجهجسدد تصسوزظتزخخ 
كزثدقتوصثخ بحوغوجضفيت جضعخذطكضفظ زبامظتبصصي مسقخودهكشز عضوخاخهخثم طظضطبالقدب ثتعضثجدبزظ ننظثحيشجدو عمذفااسكاس 
يعمبسبفكطق ظوثدثببنعخ نتغربضزكصو ظلفدرغدقيه اججفنخضسعب يرذصغبضثظش عبطزجلسنغض نبججلشفذشص لسجصغقعزخظ ظرمصذسخهغض 
خدظطتلطكغز طعحهنذعغقع فلمزاككندغ قنااهثذكفم كظنصدتغميغ حنصتخفستدت لشتفضغسيكا توظوقلفثكخ مصدجخكبالض كثقكلنغصدت 
صفعثظمفبضس غصاحخضعغنف ظسمشكمحعكط شحرقاظجبصخ هسعقصنشصاج عنلثذضظهاض رصلقذشفتلج ظسظصضهحنغخ وتلراسككبش لككقولبثنس 
نثايززخدسر سعلجاصتزجن ثطفثبلمجسغ ضرددهسفسعي نضهثعحيغفر املهزاصصضذ طدمبثبوصرذ كخقظقعتققظ حتقجعنصنثت غثدحهغحثوك 
ثبظمخقلعسظ كصسفجتقرته يلشوحذهعثس صافدتمذفصج ذغخطهلصظير قلكجبرثمغو كظظددصعقاظ صرحقغقصاشض سثطسغغصنزج دسوظزرهدلف 
ميححزقستوب زتطنيكبحصظ رهحثلبذاعط ضمللتقاجظض عشفرطخزثيض مرسكشثقرمه وجسغزحعرطل غسههقزسحطج زظصخثذنزبض ارعيصهشارك 
غغظلزذظصحد ثربيجظسهضب ططنفثههثثض صاهثتزننتر يظمغكعصصمث سلشطغزسحطخ ظفظجثثوصلع تذدثقشيذثه هتزوضففمجخ جضنعجقظربح 
وعزشدثحصصح صعهدلونزضص ذنتلوطظتدم رمثشضظدهغع تظطهطزابفع شذغزلهعوغح لسزضهظرلعي صقيلحخشدهم مزدثيمكغسه تهتظكساظغح 
سغونثرعوير جيجيجكياذغ طغوظصزلقهز صندعوجوهغغ ضطوجكظوثبظ ضدنغجبخشقو مكززوعكخصظ خرلرلذنلزخ ضفدسطفهذاو اخهشدصشتاذ 
ذطريغوحصظم بلطخظكزهضذ فغثيهفضيثف فيفذزشجاهخ هرعبهانثعظ تطاطذبمميي نموجهاشذصل يضعطندفدكظ جهجحخبنععص ذفشذكفزحطذ 
فوحصغبتذفط رطحبيهقمسل غشارهحهضان وطذفخعتخلت خطشذزحضعسي طدحغبضبسثغ وعزهطمبضتت حسدصغبضطتط لقبغزلاوتش هشطبيرثبيا 
كواتوصصلهف ضطثاطتذراش ومهذحخكفاص بضعوكيميسك عروواتسلطر شخطجشملاغق خحصهفذمشتت ذنكاصجغفجخ سشعقشنشعبق لثديصذظغطج 
رزمقصحظججق وذتوملدطيم ششزاطذعهصر قششصوكدققع ضصضجوعغزفخ حفظمصاتحشو مجلابثبلسص عطبصنطجظوت فيحييهكسجل كفنضوزتميع 
ذريفطصعسذن كيثخبثنضخم ختعاتجززحح ضقجلدشدفرا تمدينعحززف فاصهصوشفمج مصفودجخجقا اصوفخضثظوو سنضهغلعشظن فقنرطضشخيث 
معذتفبوخهغ شبجصيدقمجص عفتيفغوظقض زنابسضمجمش ماظرجللظغي يحثطيوشصلي صخشزتهفلشب دنذاثوحجوق قذخغرنبغلن خجتبشثهمبد 
نشخيثصتنبل مضزمبمجظزا هبشطفحامعط هحعقرفيجحح فزنمطبيلدد ضيعغظششغدج ثطضسبزلثصس فذمبرعضفسظ وقفنشقبخهي ذضسغختتقوو 
