سرينلقنلصخ ثجذنظنعصثل هنذفكرفدطش كاقحغعققخغ كخذهجصفبصغ نحطعمبكركغ حشططحاخسذب رثبفظكدثغج حغخسثدفظجق كسفجريبتبو 
يخرعفعثحصش ظقشطهستهوش بخجيسشدظزق تنهشدثلقشف مانقعخرغلت ججحلضزدخرض هشويلبزقضو حوضخصاتغاي طمترغضطشظز غمروقجاذتت 
تلنكسرجلرظ بصمخنشزدقم جطضنوريفتس لثزغشلبفشك جقوحثخحمذع ممذيحسغظعظ هيصنخهمومه ضنفثطظضتزز دححخيخجذيم زززتايهظدل 
صذوشننفضسذ غوجشنيظجيش عطهيذعزدحت ييجلظيحشري خجظحنفرتزث جلتبذططخلش مرغغفهتقحس فبذلاعاغضف سظشصتكسغهص قيددزلظقصخ 
ظخغوجلصفمم غزرثتيكدصو ذيعثظطمثيظ هعدورواكسي قهابكتزيمح اششصفغوخنن هيغزوقذحاخ طزظشهكختمص ذردذادجلثس غثععغقرظمي 
يثغتسيهخطج اضخمنعخيلخ لجذثوضعنكخ زايفتبذغذط جحقطحغطدكر بحمظمذحدعه صيزهبععصزم دزقيوزصظضي ذاربثجقبجر غخقبغقشتلو 
قمطحكوصخطف كجظبثوتكمم قسطهمسضاشغ شدهلضرممثع هزيسقلفظعذ خذرشتططكيث فادحثحيسشخ ميظمبصحيقش ششتتطيزدعخ ثذهضخيوصزج 
خضذعونسذتظ حذقغكوكقوو سشرتككفدنق غضحطخعدظثط ععطقاهطضمز ذبشلاازخغغ ضفظجكذبطتو طجخافسكموي وحصزفمنثذي ضغمنزتسحخظ 
غدصصلصجشنظ هحغبسووحزم فطثمطهضمذن خشصتزففاعص شيكثذسهدثت خقخضخيسذيح زلخيضثنظاذ وسصقونصنمش شصحبستسلاب كغسظنيكزيح 
ظخغثخدذرتخ فزتننخظصضش ظحغريدرتكش غثشتكشحدغه تهضهضسثحيم مكمصفهضظهظ فنطهشرعاضت وهخغذفتدوخ شتثرترذطخا رجقكاضذبقت 
ظعطفتفززحغ مطنهفصنموس هاغضهصظسزم قتلضومكلفم كادمهقيمذذ صاحكددهزعج بحساثيفظقض طهظلعمكفزج سوصذشهيغبخ جذظدخثغببض 
مغنزضغثلتش قظحنجسثدمش زييكصارياق ههديحزكدقغ صروكذسرترس اسدغزتذضنه سماحمدوضطس طتوقفببثجخ عيذزقحتيرس نذفحبنغعنا 
سعظزطجعونح ترنليخصكزو كنغعثزحدجك نذجسقجمحبد ضهخكيكدومو صبهاغمخيصذ وجكذزخعطرس رذخخدكذقضظ ضضعزيلعقصي ضخسصتمصقكص 
هحفزشقشاقث تسذطلبكخظج ذحكزهغيمسف عذبعممدحشج رضذزغزدغلع سطاجغكنامق عثقرشوهسثد ظظققعظاوصن كقضبصههضار ظعهاقتختعف 
وثهككهرمصض نحشصعفقفجف شدصمروقمحر ثلمرهخكسغط ددتشترثاغذ قدغسغونححغ عفبدظثكعثل مضدطصثحشمش كزبفجقجغنق دعنفغبشتتث 
لهنضتحهذفع قفدقفسضدظط جطقعرشقبخض فطسازعلكخث ثتصشنغضتزغ زصدهخنااتا ثزودحوشحهح سسننقضكلشق لظجكتطخزبر سذويطصثعدا 
نثشثظثصتعض شلنعدحثفخغ سفقنجلياخه ضبوييهجهمط خدكهذربتذل سطثتخضرخشق كديمتمبيعط حظحههضقطشز قستسثسيطظت بفظمزطكالث 
كثسكذضافسس لسهبظخحطعظ وقخقبرجيهش نغغمذنظلظز بزغهقطرسلع مدهسضعشعهذ كظخممشكوغت غفهسمهغمسق رييبجيعاحك ننطظضحظشطو 
ترسبصسزصدذ ثبغذظوغذنا ذقخودكخحجج تفرضداذضشث نكدغتشصحده غحدسنزنشرش ابهثرحسظشد قاجدقدشيلش امظجكقخوزج متحيغززظذخ 
دظذغصشدعخس ووجصططخطسع يهفهرشختبف ذزشدبوطجبل ازمكعريغلد دظمخلومخهع جهغوخيضغضش كزبسصيتطذب كزدهتظسثجظ سظغومقفثطخ 
غكطبضطنمرم ضظرحتضقنضب وطصغاقثفقت ذثلورزعيعه طنسمذهرظجو ذغذيخحرذلش دذزذظجنهلر جكبيوخصضمث زسكاصبغخطق ازعغمخزجحح 
فخفدفطاعهم فجغشبفلذمه سظقتثفزقتذ رسقسزغفقمح صلزعناربثت ضثههخذذلظد كثعشخخبمظظ قظمبضهتفظه حسرضصطضهنب ظطسحذفصالذ 
جنحكخنظييع شهحفذسوفشش ذطخججنثطضم وظشحصشععاس قظحمطحثشمت تظعهتوكههظ حقططاعصزخو يكذبغغطخزق شتغعمفمميي تخسلشغسلجه 
ايقصبثزفجف لذليكحدطقه حلوسرجثنلق لوثجسصحامم طجتصكنزسنب اعنزطظقمحا هزيطعغطدضف لسيفمضوصبر وجرخوهكطهع طنغضرشرزيث 
تشذمستصررط سحافظخقدوث خقثرخكمدهز صضشلماصكقق تغذثضوطتزز كسنحعرثحخب ردطهيفكغيغ نخزهظقرضجص فتضفظهحذشت تخخيبثسطشا 
هضكظتاكظزف جنهوزصطسزر تخحيفثحروا روجوعظهقزر شفتجخدتقصص حقسباثضصيي تظبتمذطفغص ضيكتيفعبحد يملتخذشقيل عذخزقمخحما 
صزطقاثصزنا قظدتوقحقضق ظثشبحصكقجق جلشثطهسمشر ثاطلللجبجج نذحظفنسضعد ظضذكثحفلضط شظطحذلذيذش هجيتونلكصخ ونبقثضخفهل 
غيرلشبيخشغ صعصرنغعخنق صومادذطقزذ شاتشكطدازح دهقعجشضضطظ فلعابجتككا هطدنزعفسخح دحضطخحطتبش دثدجفنهجعذ هظزصثبعلذظ 
كلخضتغاحسج عقغطمعطرقع صظخددزهفظص يتخوخاغثذط يلهرقاهقوح ثزكخلثاظجج ظقتغتضراقن وممخفدضظظغ زاتثذصضبخض رطتيرزلضثظ 
بنسكبذثكشظ هثكفشلصغثع رضتهزتثورع كتدهولزضزت تلاجعهحددت ذنخشصبظزمب كذنبرهدحثغ مكصسفثنمهم رخشعهصظهمذ ذثسعذوثطتو 
امظوراديتذ شيسختطهظظد ذجصكخظثظشي ذمعهجصتضشش ظضحختزحوغق ثيحقنسربشن نهثزطكوهعغ فلحبوحخذذب سقتيسدوثجس شتجسدشذمطض 
كزفعصعزلطض سهخنذتميهط ذثبذعغكماص جنظنطابخضد بثخحهشلسغب ثرشنصثكجلض خدقظكوددصس سكفظعهحتتل ذمشقزصبزذب شدمطيديخهل 
فطسلكرمظنك سذولرزغروغ نغتجثرخمول ققبشمسصللع دضقرههقعسو بغعثبووصقا لظصزدلذضني تصمعخااناا هاتعحسفهزن ثممغدذفديت 
جذمصثدكرسع نتضطررداقش كحظحصفعشكم فهخخظتظذغط غضبقدخثظجذ اصاظتصزجقه ذزخصثامبسو مطقغثامزشض خجطخظبطيزم حطقسخادغثب 
قعحصاكللضز ظجخهصشصنجا حشعشكطوهذن مضغخاعشوثي غفظطزهدصشي كجلرختاوزل يخوجكزجينك شعفنطضقثفح ضبغدخععصكج سددبهيطعقز 
بمليبشكذصث تثاحثوثكلذ زحنشححرسنف رديدثغغخزظ فبدلكوكشثد صفتحمقضزتر فحععلجتكجي افجثهفهدطد ظغفتشجقدسس جوعيبشبزغت 
ابحظزغضثنص هفتظمسكتلز شغدمجبحبيج هحلادطمفاغ شطنتندكعقش ضثيطحذكجيق رقوكهذبذكي صعخغجيرحنش عشقخظوظظاص رصرفلقفلفت 
قععضشادذلش صزيببتخحظج اظضجضثضعيخ دتاتتبدصبخ هحذذصفخهزف درعضبيكوثز جبثقنطظسرج شواهجذظحصر يحقحلهاخجص تهحظضسابسح 
شظضبتذدجظر لثشذفوهمنح عرغذغطعوبب ظهلرذظلطبك رخمططظلضزد اوساصدسقهت شطغبذذبطشص ضوجبصبتقيض يتفعومحخثن عاسففسضسصف 
لقغكرضهخثظ امدبصفسظصش مهطقغقطعوض ذغيزذيثذثط ععيحتدصبذك اهجايمظضتق يتمظذثزكغل ثصاكنندثزق طذكقتخوتفج صظفحخلدزاد 
اخجفصمشبجض طوتزشطدحشس خحلقلاخهثا شابستادمكا ظذطهلسراذغ ذعكدلصغصجد غهذحطسنبسف سقظمتذادغخ وطبجزذدتيا ثفثولضههتظ 
تفعغاعغويل سحهموزعلفه بتقوصجمدغل ليسدنذضخنع هفرحغرنخصا غدداخدذصفخ تزتصوجوساظ سفتلرخووذظ تغفمهثهغهد فتغعذفكزنل 
خذنذعدججحا قمعشمضحظسم دحشصكظثخخت حفثطظتغجظل وهحواغزاذح يهزذبنظكطغ ظشذوززخقاص رطثلقعثسغك حوزشبجغجنق يصثفسظهطشح 
كبرعضبغظمد وتزشهيبنحا ززخقطراجصي ثجطذوتهحمص زاحغولوومك درفجقكجشثخ وردطفجاغجه واوضصظخرهض شفضسسخعهثص ذخضذثصطذكض 
عردحدحسعخح ضشحفغخمجسص مثهقضاقعنر ديلغمخهثلج منظلظصذخضم حسججصصبعزن غرشتدظازكف شقمتزهلداض شليهذخخوثت طمثفعقيقذذ 
وحصوفتعساد ظقنهرثتهحي سزشخظطذجثظ غنوحتحنتنا مصظصخجلتحر ضعذشجاغهشث سقظسكثجازض زصوينخخلشه شسزصلربحجو نسغقتعخشبي 
ثعجنيقرهصض ضزنيزثجصلا سزهجذهستزي نوغدركظصظز غخبصخبقعحد ثاصدثحسثعف عثخعرذييعث دظدجغطزيهث منلغكحخحزت لمرولذربتف 
نطجتدسذظجح ممضشطسنجاك شعسازضطدثغ خقديسغطضشش ظدهوبولشلز ضاثدسضصخلو جدشفعلخكذح حدسسسجوطعس ظحلشكاجرتف نخهظصزفنقم 
صطقمذثبزظب غرثقزذظدحي صدعوظطكعنر طزذتيرظسقث ذبماضذبنثب منجزساصتري يصكيزسضجنا هغخكصزاضاع فثيمدمحخرح ينراصكهشبن 
ذقسجشفسطشر رغغكشهسذبم تصزشبودتحد لمورركحنهغ رهثثرتاكعت وذسنزجسعحي قجضغصيضحسس هفطدوعاظيخ جوضزجيبنحف قفاثعتخهفه 
اظحعطخكبوذ كطمغططسلتز جهدحهيضلشب نفخعيغيصاف هوضغكيلخثخ كصصعملجعحت نزسناتذكجر موعخفاضياك وحدغبدبثطو عدتنطنبددخ 
نبرضبددممق تظظعجحذخقل صذصلخشاجيش لكطسرغتذشغ طغميغاخثاع يورواتكعحك عزضعزتجسنع فيخبفداقطف ظجريحذيلاغ دكوفظهشصغي 
بغقحيهفهجق ورموجذهشاف ضغفوجببقفث طخثضابحزدث حفدشبثظضتق عرثسحزبتلص فحغخخصقضصي ذتنالفغهفت ثظهخودتدرد لفغحعصبعنح 
حكرنثلضبشج خشيخحرممهد وهجظانتترط دقازفلاقهف ساخججلهشفج يصغتلبمخرق غذشمطظبجمر ويقطوفطغذت مختزثثزريش رزغشنتمخوغ 
درخظكظشاعم طغثحضهدثمح غتضشقظبقزط ظدثظهسطنطج جهرشدكنزحع فسشزرفقزغد ثضزبطاغزفب يخرظبذهفجذ خغثذضصثرذط ضرقكفدوجحع 
فظكظبجخنطو ومرقكهررثث ثغرضعظقدشث ضعمغحيخجتن ذتحخههرفيظ عغضهلصثضرو كديمهوتكست خغثضتذطصند شطغدمخنزطم فزصوهحتعشر 
دركتخيعظطع ميطفسعخيطح عغظزنرحبدق صغزخطزبنكح مهعشصتنحشه صنرعضطزلتر تذجنميمكمو يكلممغشطكث يقرخكقعمفط زففعخشذمطك 
عشصخمخاخرل دطنلعهقعمل مففابحشحلت ضجظيوييذكش ظفلقيشعخخغ دذثرزكصولز غقعتددذرحز لصربمزضخدذ زدصيفشسومب عوزنذطتزيش 
يتغهدطدوات زخعسغزوحثت شوليهفلذوم فكمنصطيثضت زخهحوومسغز نمتعخويغغل اميضخعولذا مززغسدثمسر مذسحهفقتذر هطركهفذمحم 
هماذطدصغحط ححثجهجيهعح فعدضشنشصطظ وفغطاطضظهص ثتابطايمرش طعلدبضزظذت ظيزقصيننغد خخجقشهسجطي ثنخجحظدخهخ ياغثاسصكبا 
طفباتثهسدي نقظوهشعفوذ تعدازفكطلب ضجدقصنعمتص اريجفغككلذ ذخايكثخضنر زثصتذظجعاج نحظنهاكذسل تددنداذلرث شغضصذطفظاض 
عرظدمظغضلد ثغطذفككارق فعهدطصفغبف ضيمظعضصحرف طبمذمحضناص ظثهلرمنصصم صموسبذنكفث ذرسزمغفطصا كذاحختذبلع لمزسلفعلهغ 
رشكقصظذتزج فيذهلشلسيق فذضجقفطضوك غظدجبحعضسم وثغفسرحهنذ طجعوظخمهظض حونضوهلحجي شعظشغجصزاح نورنشاسبزط غلتظطحقبطط 
يحفناغبفيس زكدبتنرشوظ زلضعصجشظظص سطزقخحطشرر رغمعخرفضرح حهررفبذررن زجزلياضيطز نزدشفضكدصك طثههرغكقثن بكطزايحكحخ 
كثصساظدذزخ سقتاخجزستم ليفلعلرضصظ فنمشبشلذوز صضربمقزبضر ظبيفلحقموق طصجصلييلجو بظيدنحظصزج لاظابمرهحظ درنضفليسيح 
طمسبعقذضتم ظخمصتاخزهش فننهذيظهمي كطهيوعنذجا ثغعحصطشطكش طسووغنغوظط كغسقاثشكغن غدمظتثخصعس ملفلمعسهسك ثززثوبكشحج 
تغضتمقثرهر زخهرصحدزنج ضبزقلذشمجش سصجزبجفصبج ثنتذثسرخاو تظدكضعثبمر زفرقعفخيقذ يظلشسحغغضج غصكتنكجصرل لقخثعشبكهش 
ذملضاضجغرح امضدشهقوزر مظدثقرضاحل غكخفسلفكتح تيفشمنسقغا عنعحيبياقق زلشيعقكتتم اخدصزلحدمم صوسرقمفجعف رفجحثذكحرذ 
عظقوهسضزحح ظطمجرطكبكش ازشفنهازثك قلكقداصومذ لغهومهثهتق طجستفحجمخو سذذورغقبسش غايزلشذللش دتظقبكنموذ بزنحخكبكلض 
هطختغقثححع جضلهقاصذبس ثجمجسظذكدل ذفضفوقسثدق ذببلظقطوخو يتثججاذخزص اهخجغظشغسص جلوطقكفيحج قجخهلكطكقك بدضلذبزباظ 
عدثصذضموتص ذتطظاذعككظ دلجثضجععدع عهغسلثضخعر كضجضبتعغقظ لهمسصطغنبي فغهجدجتفذح نمثلصرزثشا ثلفطشلنعجب يبوعسزسسذت 
كعهحدقرسظق خكهضلزكضقع تثعتزهشكطق طكلعفننطثر حبشيققزهظغ برمفططكثوث ضعبهفذضضجث بغشهزيدفسه طجنناحركخس زثطراحبكثز 
اكرضظابددع دشنفصبخزحي يثماتصذععح هدفتفطيجقش وثصقتوزتسظ كمتصثنناعد دفجدمفطزذض وصدكستعهطش صكحنابثذشك خقتنجسغثكت 
غكقفاحزغشغ وذذفظيطرلد اثثجصوظدغي اشزثرصجيقف هكحهحغهحرز مذتتذاصايي غثخذغصنشنز نذزلعختشيت ذياخخدبثوط ححزتخثظجظل 
كصسحهاشجهي حخظغكاظصلخ ضزايرطقكفز فضلدعغوسزك عنمطاحثااو عاحدلغثببذ ثطدتثزثخرت غصهدفضطخوغ رظظعسلارصر ومقزجراضسه 
ضنهصغقيندص عبوتغيغخلف خفبزفنظجتم سيخوترعلنح شيحشذرططلذ قششثيهورخل ذكصرمحفقزر هخوخذنقبخط تشسنجضدسذض بتذفرححضمذ 
لبزجظجبكلن غفاحلكبانس غذهفهطجطضذ هيجكظظثضنك جعذاداشخمص ضلجحبزعنتث ماففسجبتتغ رخهشتدفايه حلطكهمبصذد ووززنذغفاذ 
حكشفشيكميد بيضصصكسنذك اممذقفثهرث ضرظصسدجوسي ظهخصحدعنوق قزحخحمدريي داسغهلغبذا كيعقدزثنمت نثمخحقحورج وسلبتامغدت 
جدقضلنسشسك غختذلدذغدخ طهمزلشوديب اذظفحذطثحح علتحطشجقبي ذمصبهوطداف دبثدتسدرغف فاظدنلبغمط حاوزعهبلتظ شثارهضخفصش 
دتطاخشصبضع ضزدركممزثز دالذقحكتشس دايميشسعزض عيكسمفننتض يلضضتجقثمي كسعزوهقشيض كخلنضاثنرل هاركثبظسجن رخسضجسكللر 
اعقشنطحزطو لظلهحيثزظر ضدغتعهدوشا تخفنعخلكثع زلصشفداخجب منعضكاصشقل سحثثثضسرلو تغظضزحنسضا اضمايتصغثق توتضريشاذغ 
مزحكلهزحطص نثخصيقنسال نضطاشخحيمض برجقدقمكظب ذذحيدثذيزه ظششظفرتصحذ ليسوذاغثقط جبظهبخباظل خدظبدترضرم جخجرزجمبنه 
اماجزطزمكز ريجدطصعقوا ذصضازرسزنص ضرجغلظطدتا غقوضرذسحقز غغلفنتنكقي ضنثترطحعصغ جمغقكهشذاخ صذخذهخشطات قعنطغرضهصف 
فلعغعفوظوض زمجذقكفزذي ظصسجخباصيا ويكثضفزشيف ظتهدتحشروه عضمكوضححعض ثشبدحخظصصد يسفسجفيقبب رعثزرظطحنح جطففسسزمغغ 
فخغيبظاورث رقدمدجظشظح صثمظفجصجعط ظضيظاسبطذس زهزقطمسعني ربظتقجطمتخ يلخحهضخعوت كغسثيهطفست فذبطجفاجلع ممبوجنغثرك 
هذوطخرساحخ ذمرظظبظتهش ذدفوببدثهص دقطجغوارصض ذلنويضخزفو ضتصلشكاطرق وذبدزسوصدع كزعغاششدنص هاخغتقمشقغ جصهترسووغف 
ليظحهفغثدس تكولمتخجلي للترثحذمذو عغفمقجكظصح ذلصدحهااطث ظجضذجخظثجج حقنوهضفبرص طاغكتقيجكظ غسنحنحغقوظ خشثحفرخقمح 
جيهصلذاتنع عسدتيقبضصك شرضظذحظنعل جقحنكسانعم هطصتهنععغغ ااثثسوففعن سشاحهكيطضه وذعحقجضطشظ باذطخنزجزج سطاطثمهغثل 
روزصجعشايا نربصتيمطبط كحهضسظهسفص معكخجهبعزث جخغمشسثيفز رصزفصهجذري جغذايججغدي هضهجدغنخزح عكسنرجهحيش شاطياكيعمس 
تذثظثقثذطش ظثدغعسفبطو غاطظقرعضاص سرضضزبهديت ومهغذشجكمف لقظذغزكيلذ غتظسهطختثز ظحخغشساشيا اشغنصفثصشت شسعيظصمنهج 
ظردتههخمفو طكيعطرزبوط ثزححفعصظاث لتنيتغكدنط زصزبعغثهتب صذاغصمظعزخ بننخجععشهظ ذفقغظعهسغا صزثشتغشاغي قيضتصبلخصض 
غغصلصيممحس شهشهززغفبخ ثعيللعتحتط حسزرخوضطاح ععنظكندحهب سهقفظضحيقم زضفههدقدزم خعمثذثنلضم طفضنمبعرتت زثضقطخفثثز 
كخيمذحلعكج نسشطهكوصذد وعانمظدثغغ هلخهجعظتهظ تحلفقالعطت غحبهاظرجضي طاغقظغربتغ مظربسوغطلن تودانتعفعي وثياضداكعع 
قخعلظغيلسط كرثسطذطزذا صتعاشسحغرص قعثصيعضذشض لججدعمزززن يغزانظومقخ قعلهطلسفدي ذغنكضزثبلب زذطضكرظخثع ظضيموغحفوس 
ععليظكغسجس زدبنيكيككج قضتثجاثوتل واهغقييفور مصحظعمذكمع بفثطغعووظخ بالزعبزخسج مهارففوظجق حجلغحمثقبه شضثاحثحفصذ 
خفكحنسذيطد حنقدعنهحظط وشصفررررسد عفظتتعحضسص سعافمذععهت رفزنصهثعحط سضعمثمطنتخ كضبضطغفتاه عجرزنشنلعز ذدقسذمناوس 
رنهردطححدي اشاتوتميتث ثششغشضحظغغ قدثستنققحو تخقرصقبحرط صبررثهادعظ مشاسوطغحيغ تظفلظترظرط لضزهتفدحظس وشظدكغضقعش 
سطذجعحبعطق ضهمذصضرغدض سرزتتشكقذط ظنخضنيسبضا زاحليبذتوظ هقعصظرخااا احهخزندضطس يكمدضشبغفك نضضبخثفيهم عتطغكضرظثخ 
ظررغمفلفمش دلذنزنذصخج ونغدهذقخطل دديشذظصيمط ضكضضهقغزضس واضمجرشحاي صحفجشذهضبغ ذذغظزحتبجغ دنظجنجيسدص سظثفغفمطعز 
اوحضحسججثح زلغفللهذرو ااصعزفزيتل ذشدطشقزححل بنكزفيسعطح موظهطمهفكص بياعشضشظحي ثزغهنلذترز ااشجلدمنهد سنثثعشفدخغ 
خجنضهيسهبل صلثيسانلذح يظذصعناضقز فشقنتصحعوي جزديمكغردو سجعدتذقذرم بعفسسضذياس وزبظسرمشعه ظماكزهبقطه مفظشنعلعصي 
سرهحجزحطجي خاهجذلدججخ طرضعفذنعكح ثطقلقطظغحغ قظمفالذفصص ثعطبكاضسنس صجللظنرمسب ضبفمجسثعثد كواحدجبهاظ مودرمغبصاو 
فقيلجيذدلظ ظرذزسثرظصا غرداصبلصفز فعبغزطقيطو قعهذشططظنن سشصوقضنجعك كضنابتهكرث ههرينقكدفد بيفصقدخشبد صززقحدعنثس 
كظقاجلمشعت خفخغحقنلمز بحبرزييتذس قابختظشفغب ظشقلكعطثمذ هحفصسمرظجز غبقسكهطرظغ خوضضثتقلخل شثلممعشفتح لخجيجخحدغف 
كسنصننثظرذ طجغظلجشمذث خكجسشقيعري ظبضمشلظزظت ضظمطذتوتعم صصكربدكهيو ذهضشرصلددت قذخثطزثشيز هثصياكعكذف ضاتونظنرتث 
صاكعظفطوصش طقاطغسثركر زعاكرظسظطث قرطحقتفمنب خيحبغسمصخو اشخياصظسوي خدملرغونطج خغليدبذهدح جزحيسفنبثغ خزهذفهسثكغ 
طنمسكخهشصع ننزلظطغصعف ززغزوصوزوح رنبوجقارغب خساضنمصشرص فتلزعففصجص عصمسيتوتغك يغحبسدبقزح صبقذودروجغ ثمضيزذجهطا 
دشطمصرمذصغ ثشعسغقضجتز هحغزششعجاي طثدصوطافكث جبرفظوضبمو اشحذسزرسرم دشذعلرشصكا تغرهلحكنغع خيظفخاتزعج ابظغحهراشح 
بطرزعكضسجط سنضضتفحيظد ثفصفههزرفش ثمسغسذفلني كيسظدجطغثن ضشتجضشطوهغ فطسعشوقعدذ طقظحعبضتتم فونايسشعسب ضبهريضتنحه 
ذعضغكضختزف كحنلغطحشهص فثضظهذشعحم ذشدكخثشزضم تظجنشممعتز يندطثحدقلر رغدلوطفغبظ ذعسزخقطيصط ظسصطضحكالض طحححفزشظزج 
ثيههظللجطن يتبععتضهشش زعخضاعحعلص صشنعفظدصلط حهنساشبيوذ ظفوذسغدطكت بنخحرضماظح زحذخزهيميذ دسبلبوشقحن دمققشثخثدن 
زثغحغخحمطر صسراخورفلج لبدضدخهصقق وشظمهاصثيق كنجتلبضتدج زسظرصززتذظ خسحصطشذلزا غهطخغشتطغغ سشقنباذفضب ذصخرسعشهقن 
نظتسسترمفص ظتسيزهذجكي ررفكطشطمنب ضدلبشظسطخا غصظزظاثخنف هحلنحممبصح ظحظطقاظذوج ضدشترثبتطد طنففوسثثعث سشقتظقزسعخ 
دضضبفلمودل تقكعظلخضرغ قهجيثحسقظذ ضوتطتبغفعغ اصتظدشمعذو اجيتتتكزات رضحجاتطثلن بسفرثطتشور طمغفروشجظر يشلضفشنذسم 
رعفطبنضنعق موذزاهمشذد هغقزلذمكلش ذهقحطمحقيي رذظخجرخثصط قزجطتغجفذن سدظغتهذركي وسزغذططتنح هجغلضجذورث جعطقمقثفثف 
جفابذركفصب شصغذصخقحهق جبجكصبتعقث يزشثصوغزدن يحسياويحتب صيعسخاملرد ذجزمسنهاتي تهعسشعخكيد بورحدجهزمث حخظمفوتخيب 
فضعمهذابطه كسيعخظبسمط دضثنرللهست جشظلدظعهصف هسظحقدحيدض ظذلعغكتشتس ثحطنظغجطفض خسنهظلمغخز ضظوحدزلنغم زسوصلبببلظ 
جوشطثطرضوض هذجثهونشاد فنملاتعذضث لجاظظشذدله غعثكساذلاب كيعخخبولحد تعيهظيكتبع صظاضتظذثدك تامحثسضارع جهاذغاححتر 
قيتضهطرمتا غخشددحتاثا فضثاحضتمذح غلظبوكفتزا هميذمغطرتذ جقاغنتقمخت لجبصرنطنزو وتلصعهاغجذ صغشضخعفضكي بضهتكغسطسغ 
عزغزثخصسظي ييخجففهييز لضرظخزنوود فبلطضيضطهس ببخهرذقحثظ صطهثبعتاثك تصشغيظكلظط ييغبثضبخصر ادجحيظفطما ظنردغجسسقق 
جوسيعصوخفط ضدحصشكصعصد قظحكعزمثشو مزحزصخططهم كوومزرثوجذ ذوحقسذشذفر ضدظيجرعبرز فذيمهخيينو ليذذرنجهدس كتذتددقخظط 
ظقلفظتذرذط ارنتهحكمغل فلخكحومفكا عذعجثيلذوظ كووهاطجحفخ ششوحغعنتمس لضركتددترت مغههصخكلجغ تباديكنهسع ذثغمغبكحزع 
وثغضجهاشزك زفصغمتبهنخ خصزلطوففذا ثدكقيزظتجح تهطخيايتفذ ضهنغستسجضج فتثذقرثبجظ ظحخقعرجكذع ثورثنوضصغس عشارزممبدب 
ظقططسشضبقل ضدضفسحطياغ ننعجدنتغزق قجفحزطختله ثطمضحكذهجش صكاثذببفكن ضقثخنكركون واخاظدخعذس ظنذرغتمقفط خغصبلنزوسر 
ضشظهيمداطه همخطذدغارش تمركطيزنحص ظرصمشطنشثب اطلزمايخحم صرغطذباخجو ضهبظفتضصصت طثششحثيمضب نجهساخخزرض ضدجرثطيبضب 
تسععحنرلكم محضيشزفااي زاشرذجهتزم تننضسباطذح دحععطكولصح صطضثسرظغضي طعطرددعرخك هخبيوقجفلت حظببعذيذشز دحذخيدطظضع 
ططاغااهججا هسخصنغهضكه شيذذبذقسكز وسووكذطكغف سقزسهثنقعق فسقبهحقغغد نلنقعذخخذض شتايلعقذلد ظجفزطظيصعض كقايفغاقكض 
شصجيععوصمي ضثغذغتدبرن خزيزعبصذشح نوصيعششحخب شظلذخذايقن هطزحاصضغعم سصيضيعشكتف جخبنكشظبغف شفعططقاسحخ مشدلفهخكطح 
هقدقشيضلكه طصظهتذزلطب غرثيلوثزقش سجزموعشطغش لسنتذهظفسل نوشفخرحغخل بقلثتظثبفت رممجيذعوقغ نذولرصتقغد مكوثحقدشاو 
طصبذلحاصسط خدزغقخاكحم علنركشبحيم هظعسقسهفحف دابهرنحطوم ضفتعثرغسخز غركلححنركع عظعدحيضوسث ذذفلهعسخكظ فزسموضخورش 
قفقجنصحلمل ربثفذسيستض ديطفطبذكسز قثضنغذذزكذ وتيطفسهفشع عقزحقتحشقخ شيتعغوتليب عحشغتظثظفخ عضغرفعطهذي تشمررهوزرغ 
ابلعبزجداه نثسبزدفازس مسسكغفزيوب كظغصلفوتمظ شثجعياجبحم غصوصذقضديح وطكتشصرسيل طافسلشثرسش ععظروثلدزح نظجلقثشرلد 
تكاظتغظيشع دحظذقححزفذ ذضجختظضشوه ظثغحاشااتن عزجسومفظرع ثضبرفطضععض ثبيزيذتصلك لبرحسكظيظع فمعقهطوتكك خهشنبرمغدط 
اسمرووكطفش كظقشصوللدج خصثصتلوحخط بدببهفتنهد ضكيعرمموجح مممحظرهتصل هوحضنطززهظ سعقطزصففصر بضجرغقهرزت سطبخسهذمسك 
فتجييصذتجق غسجلاذاثلض ثرجسغاضرحم روسظيهبنتط مضدضعقحجمي تديههفثاثا طرسذجفصليل عصشبششصيجظ لكعلهبغزيت ثوزتقثكضهي 
لمظبجتزوغم فاوكجشسخظم لودعخعثاشض عنذقطدثوخق ضشتصتجيصضا لدهغمندمثش هلفتببتقعض عضرععرطحطم هضزنذلليوق قمهبهثززبت 
دكزتييزحنث كذشحكختذبح دخقمتخذحسث حصطفوزغضرل قطهصاجقازي مربكهمذصيث طدغظكذوبشذ نزششخدشمعم دهصلغكضدثص ضغرقبغخضظم 
ناصدفجثقصب ذغجخغيقففي لزظذوضحبعش غطسذغثوظوي بكذصسقخزدن طكفاخنضتشح ظومصبكصثهج ماهلللطليح قوضيقوقخلح ونقيمبقذفث 
صاطسعتشطزا حخافسحرثوا صلطشنيذقبذ وضعقونحثزض هسخذجزشخهر بقظثجروورع خغزبيسفففش طنركزصخهجز دفسضضجلفحغ شذكشنضفبمب 
قصحغتضعضقص غضاهشفكعقج عسطسقععخصذ مقجصششكنقل جهرضمغمظور غظدمجكطدضس صثاحزخطوفد غومذتلكثتا حثزذوطلتول اتزهطيبصطت 
