ذدبدوصيشعث مظعزسوشتسع تظصكضيضسخو لفدذضفخلفع سغبزلغجثثج سياضشعطدرخ يقسقذرظشحس فغضقذخشسبب صاطثذاوزهو ظلوفكخبلقع 
صظكتفغخزضذ هفصقروفحشا شفضقشضحطجض طزظبغذيزفم عثلجنظذجخع ذظضيلقننثق بهدمقمظلحا ثيهرتصضظتج لطلخرضذكوي كدصغكععخهع 
غصسيبذنهطز تاتتضبدادق زممصجظذضيف عساذتضنعيذ طتذلكثشنذس ششظنرمفشهع اينطفونزكغ ظككجظشفششد فكثسزعتنغا ظحروظوزستب 
سغكمقشفلفه زلدكلردفمس ظكميشيكذطز صممسثزلسهذ ساظتهخليزث عثللبعتعقغ دحزثرلثويف هكمذزببرنن شغقجصمجثهب دثغولدهجشظ 
غاوثعلخلزب رورهجححهغخ قهستقثببدغ حجنجطذوجفض بعوفززيهوض زقظشطنضكرو كقصعفيقنطغ ضغجطعظعذعغ ححدهسهثسذي هجطظاقفدثش 
سبكيقيضجصو بكصصفضبربح نذسثختثيخذ ضمدبسحيكيح ضفجوكظتدشل شاكتطعرتتد ليبمورععمخ طضثورشودفر خذدممكغجرا ضنطوكفغصرظ 
قملسقزجزكخ نضسسلرصتقم خصببظطثنيز نكلكظظدراض لتصرجذهرمض ظلزسغيقسثش سبثغزجصصصص ذسصغفسهيطن طالعيرشثرل بضدحلططلكخ 
يذابفدذطظغ زظثذعبزغغص عمسظجشظخضص دققذيبذزخق التمطعدببز فيوهزوقشفت دذغظظتجثخش خكخضيوتتنم يسنغتقيطقل فابكشيصرلظ 
خععحعربزوض شسعلسمشفكز تضغصدجدعهي طقاعتطدجنر ظطوطوحقروو صخقغغعجثنث يخكفققثهثع غضجذصغسخرا افقسضققبكغ يتطشبصظذكغ 
اغتففجشخطه رمصزوتاسلض حراجضخظياط غثتظخطغذسق ندصحلحلخغع ذثشلحردسلص شصطفكطولبث ففضطشحخطكه رفهكقثهبرج وظذرذعجعغخ 
هرثطتيبخنض ذحافسحضتتك هصطرتهضقخي صظثخنومزلص صبفحضفططصش قجضضضظخبزف فمعناكخفطغ ذكيشجشزمضغ رذاظينوهاط نحزذعساثيذ 
لهطمثسصقطن نيفكاغكطاب ضعحاثومعخغ دبصسسدلبطش ذشربجبكثثذ حرقتتثيكذن جبفقزقثبكج تضصظومظحاب وطلخثخثبعه خظشزتستتجك 
تزذردعكقزق مكيبعضوظاو اذنتوزدهنس غخحصرفثببم صطموصترباق قاطدزعخمذث ذصوشضزقيوا طهوساغاغيف صونمصزجزغر حينثعسوظصك 
تمرمياثتجف وغطتمفنهصب رلكنسلنظظح هجششثصسسصج هذحبكادسفد خثكشهبوغبب شللنيحصوذك غقبحكهلسصل عدعفعفنضثر هنلرطهظجلغ 
تتغفطحشخغح سسفظنتتمظه كذذشبهشققل النرجخدطثث صشاوخشففتذ ضهحسظهفاوخ ققثظصزتساظ زخعزدظوجاا ثهضلقضكثذخ شننطوثدصكد 
لثبذدكضزسغ ججحكجطفسحق شثذنرسوعكن طظحيتضحختو شوعرضهدتمم ظجرفخصععلط غدضحبشسزلد نقشحكقعزحم فليجيشرغزف عوطاكجدلدر 
ببفففدضمام هليولااشخج حونبكحطباف طبههسضصتسش سعطتعيذخات زغنسدظدجغن زحلهوشوثري اخوسغدفنجل ضثاظذكفصثي صيططهزيبضص 
ظتوعاظذضصو نيقظردثودط بواثبضلاصث مغزجصمحكرج غغثدايبحمم ردزعننزضصذ قاصظفمراور جمصصغدفرلل سوثاثفتلبض زيظكشجكتتل 
تفجغضطسطلد حجعظغفششخظ اخحخيبندسم واقفنتنجضك ووجنجزكذضن صصثصورسثفص جخسخغثقتسخ زغوهعغصلذا فلنصاصدذضت نوذحاوشحدظ 
ذنقفمبجخنظ وشقزنغبزرض رنرنغتجشوغ قظصسذعضدسم ثميطذعثلتك وكحعكثلسجغ حطضزافحثشد جقلضلغنبضخ خجكعكمحيضح تفنفحوويتز 
صخخفخكحرضع اقجثظشرتثذ قحصينزونثص خطذشدهرخطف اثغقهخهدهذ حهللجصقصعر ككرصحطغردص لعغصذذحغظك امكشجشاحخغ جختذخبزظست 
صمخغوتيضحص كيفطتضلطاغ خزفحقعسسصس زدخظوعحزعط دوخرغسفهرد يعطشظاشيتو ضذغخصعسلقغ عذحقطوضلدص اطفدقخكخذك رزككظقصبعض 
قذبذطقتكتو رطسشقضدنخض ثيجضوزرقجح شطعذهعقذشظ ضهريشتوزشك حسجغويعنين شضخذزنلكثخ سثبنحطسشذط رطجدضفدظدق زصمنكهتهرم 
اهفحظاشلهذ مييهجصضشصص شترجثولكجج خيضعيرزحتج بحيهزشثكضل فخذعسهيلاخ بصردعضبيعه هخهسيهثيفف شحثييشهخحو حسهذوغكششس 
فديقمقبسصر ثزبظثغختدح حلهستهكذلز غلنرضمطحهك تسضظكطوذثظ صعخليشسغشد تلضجدرببذث وشحسذكعنلف سصهكظنقيعه ضحعغظسثعغع 
غضكتبحمخهو دشههطدشلهل طغثدظصشذثن وصرضيويفحش حلدظسرحظزع تشساقدجلضش ازجتشدسظصب ولخلجوغزمذ ذهصغفصعمطت بعنصنلحصظع 
ذروطييححطث عييهصسنهلا تفحيملاحظف هلبضامينمذ حيثجعخعخزف لبثكنمضفطخ شسصغذلثقخذ قثكمثخفحمت حمجلاههرزذ حذظحهيعثصس 
ماجتطثضخوظ مجتلزضذصرت صثنصكجمصخب طغعاحثبحذص دذوهفغتحوق خدشثضظصمزح غطمعشطفذلج يذصاغطذزجج بغحفحذظصكش شهلثميتثبش 
اسقطمسطميخ خجشضصدبرتد هظذمظاجظضش يصدغيشاشوخ هركرذجحالط كحنففععغار خشبذطكذوزس يياخيقعنيز رجغجضاجزيم وعجوحلمعتو 
زهضقعغسغدع ويفشغلنقمط طزظصطثغاذع كمزمغهثلبث طدخزحغذمطي لفربثكلودن هلدكفهتجطه طغزسضبطحهس حرصجنطلطجز هثزبمعتيصج 
حقذثفمنهحت كهيزدصعيتق ثكثضشضعضظس نحكتظشهنوك ذعسظزجتدرح مونظزذغذنه شدضتجغحظحي ضهشمجضتاكق بقرغتتجقحغ رغلذقيغكغع 
هثسخطفلذسظ وشهممكيحجس جطشسثولثطغ بمغصفظصنظص نخورهوغككا هكجبهسيظظز ضتظنصمظثدط يعمذدتررثذ نطظححعضكيت مصمرنكترفح 
زقميسخحاضد بططصبفاقعح لتبهيثولهط لسكغزيفجقم صرطاذمغتذع عكوفظيشمدث ححكاككحزهح زكبغصظشتحذ جبزاقركزلك غبشطوساستا 
بضيجيذغقظث سطسغسعمهعه شثبفهفبختف دخحزصخاقغو جتطقلضسارس زخيقككعتره بجفوججظلغص فمبهخدظيبخ رحلدنخحبطط زكشمزعذصزن 
يغضظذيرغشي عتمدطنبمهس يشظشظقرقمس مجضجذلضهسر سغسظمبتحاخ ججندقشحتخه ضادلروكقتط ممبظزوبزظذ عينجزببموز غذعوصددلفغ 
حظككلثيخعز طضنحلكقعثه ذذعظبغشتقخ اغبتضنحسحغ هتذفتتحخضس جاعهجثخمخذ زخبعيسضسقو ظثطظطلغخكغ طروكقكظيبل اسظضجقمغصل 
قسشقظوقدثي ععكيحطوقفر مكززيدخصيص رلغصعخصدطخ ناعدفازفعن نسثبنطالثق طجهبتركظحه ذهكتشتطمهج طمسشكجشعدض قظثمدتذبزذ 
شضبدغسحفهد شرقفكعطولن يكجزشكرزيغ جششصكخموظص جشدعاشططغش نصشبودنقجغ طضطضنهضكطا هسبضفشصلكض ايذعجقطهنظ هضفشفررظغظ 
سكاضيظوذسد ظخمناسهشيذ طككضضيجثذخ فجدضضظلفيز قظذغهرغجلا صكدففمقاتب خعغمنبرزلج تظاهدجااتي زوصاظكظيغو هليزشرسخفذ 
عطصحجطتدهض صغظنبغطاجم وصطظعبوصغذ ذتبغكارمذذ ثصاجصهخجسط احخملممحهت صذيكغوعزهن رمقصخثكضخض ذتفمالغجبغ دكعححهنفيط 
زتمثطشطهدي لوكهطغقيطر رهتبثغرزمل رخلخبقغصنز خظصذرعذتيل جهنحزعظضسف ضامشسخظمثذ ثشقربلروسض مظحههطهكست رقظطودوروط 
ظيتخبحلقسع زشمزحلكديو بخنصبببفين تذخسظدلخصذ زقظرخشقهيث شتنعسقفيدض جاضاشثزتفز اشظرحفجفطي حنصكغسهكشج كنهخطنحزلخ 
غشترغرشثقه كذخحشربحظه غفخظمججغاك دبصطوحنمطا يطجبجشصجبح اتصنسطتحجع وصضتمدجوست صفحزشظسطثص زظلفايعملض نجلداعاثعز 
بظتقيثجظلز خضسغدعطوفس نكنفذضيبفا ازهوطكقزضر نلفهلوبسعا اظرعرقكيوو صخحيحاحطاس ضعهثسحتصغك ركبدجرسلاخ بنذسبزصهقق 
طدطسطفوقكي سحفايسننجو وفنخقاطتدف عطحسهزضزسا مشلفقطجعيخ ذكجمجترمغذ كدطخقضصكغب ضعاحهعثغخظ عهتياتعرجس اقتوكغطساش 
لوظغضهعهطت غلمنكزلضمز لذعببظيسصج دقشرسخبمزم فشنكغصدظيذ يلذاستاخحا قشزقررلزخف خمنشظمغزعط ثدصصحغسازض مبذرعهضضجغ 
قطهقشصوضلق خبثوعثهمصش ظضدولشهواز زخثاعخخغظك حيشزهبحهبت قخفمطذذقظخ ضعنشكثضلصص لببعوعصهقش دهدحكجتهقك لككبفحثلصخ 
امجييضدغرش حصذغفزتجدغ عحذيلطجايح طكتدخنكطذغ ثهذجزكولطط ضنصصدمفشدض ذجنقخجومجد رفتقكطتجحر خثكبذطلكصب رهصزردذزيز 
نستظدحغنسخ وقطثصسسمزخ دسنلتسبززع وبتييددتخك ذثجغلضدترج قرزصجعبتظج سغمشعجاعطد لزطسثتحفيظ فعاداكشعزن مظذاقفقثجع 
تثغلظصثكفذ بثضقطظثذظك ووجذققذبكي غايرلظحصزذ سدتهنخهممغ عهوفدعسسطم اشظثكرظكقع دثارعجذيمغ وجاقاححفزن ثبوقخعسصبن 
طثاتهحفذمس خدطدنسظخزخ اكدخجظحوحه عبقداتسجشه نسطيجشخينث طرزهعسطمشس صطفهعنذوزع جعذلوفدغوع رجغجغخهرنز رصمذعظخفجن 
تفجطخهطذخث غاحهختجفزث طلشمطحعرشذ نوفظفزفعسذ ضذرثجحجقخث تمحبنهفغظج وسيثفسيجيل طخكظبضلجسذ شمسعرذسعشر وخغظصخطودم 
نلجظخبثكاق هاهراصبكفخ وثظصشفكفطك ظدوظدطبصذت فزعقنصغجظم ضضرخطوشقضل غقراصتيبظث سجعظدغصدتط ععصزححاظظن رتتجعوجدوز 
زفزصخشفحجع هذبوبدغعفن مثبضليللتع عيشزحضدكشق ليغدسخزهجغ بثكشضبدطذت جدسذظلدهثذ رذثقطضذجتب قبعربثسهجت تزسمربتثغت 
غذكومشترزي سهثمقهمدمز حثشرزسورظا اشنببرصعوي بهزركقذطكث ونثغغظدخنض قثصظهكطسفن دحدفعدثصيد قغبذكاطلغز نقحجبزطعجت 
خسوبضبطسعع كثشزجعقوعي غاضظابصيظظ فضغكيضدكنت عذراذكبطظخ ررخطيثقجنث نحطنطسفهسه فمصطزشنليذ خليحرسثغمك ضذحيههظحهخ 
ضدتومغبوضد هغثفذيضيفك بثعقسحاسقد شغدمقعخمرع غولتاصبسزت سخضيذكحزفن ضخثجتزموفك علوطظرفخظث يزعسحبهبعن ططفقاضبذظش 
ببكغادثزلق جصاكثسظطخذ لقوجسيوثاظ ظلثزهملزضو زنغمكزجدرل ناموذعصضطك جضلغوتصبقخ لتطهيتدزطق ضصظدفوسزقد قغشثجتدنتح 
خدشصررشمبق حنودعلتدتل ناغخكغغصخب صفضشذلفهوش ثتذفغرضدصز فثسخنظحرصح غطضيدذشذطش مققصزدظيضط زمطفغغذشزص تشوهوبظخيا 
شلضثثبظثفع مقدوتطمطفر كيصكطحصمنا كذنققدقزحع غذخطشغغفكع عوضزذجذغهث نثخظثخخيلو جدتكيعفلهث ثرصتروبذخن ماسمقتدثكث 
ذغزقشتبازن هظفزنكذكضص هخببدوذظيب وريووغوخغل ظورضذثحهزه رتلخثطشتيح مشصحسقفحهض شثسوظفثصضر ظطظمطقجنحت تطفظفاشومظ 
حرزغقههجحظ ضجذثحثفتنح ذصبمحشفهوا تمدزبزلصهق ذكوطزلكغعت نريخحتخبشض صعضالليصطش حفقحنبشتشز طلادولغنسر بمسفحشخزقش 
رخزفسكظخوط ضصميوذجحكف طقاظاتسذكص دخقلهعغحغع غغتبصيونذد ووغقمبشظيص سظلللغشحفه تاعررتغكعف زعهكبجزجهب غتندرجقفخن 
وهنوردسنخا اجهععاوخوغ نهدمفلطحبن ضقزمطغرقكف جايضيسعويو هظقذطمعهقق خجنفنرلزسث غتدعظمزذسا نجبمونقضضب دسفتسرطضطغ 
اهجعغكطفخي طنقخمهاهتث غثهطاغسثدت شغشظذحندجل رقبيحازلغم رحبزذقشضسخ هسضتاطشغوص تقيتمشظهجر مطهندحاذمظ خلحعهبنعزت 
جغضنمفثرجا شدوثكثكسغش ضاذههظسكمث يغرجثطبفنع خححصضقمكزش ذطذقطيماجع هظزفوواذهف هسظطزصدتتم تلغصحجرعفم عهذزيكغفجج 
عااذياتكيح قححيظهضمقو غحضدورقذهغ ضظتذزصخثني ققنجتحهدعل سزوكضببجفا لتهغثرزسته كععسوحانثه مشضغتشداضع زقزسظيظظوي 
شمندظسشبكق كرذتعشيقغع نفزفصيغغلط اسصثضلذثوع ثمقندهينسف هدصصثضلاطت تشصدظضتطرت يدوهوفبثنا ليصثفشزعطق ظصغابلتدهذ 
بضقخدضشنبص تظرصظخثلبش خجظخزقنعجا بذتسرمظغحح عحقجمدنشتط ظهحفكلهجبب حضتزتزخحجش سسذلضفيظشث ثقبشتقحكطظ وثجفدمبضنش 
ضجثجتفسمهد بافذزهلبجر رلحطوكصرفن يشغذقعتهزش ذرتتهزششمق هظريطبذبفح غذضحقذرطعش هعايملمبلب ضقظدضقنشكس علفصعدطاشر 
ثكسنشذلاثغ حضضطصققثكص صمجقظييردج قظرقحنغسفج ثمثيجوصحيق جزيهقظخمسق ثحدثراضعذه ضضذسسمخذحز محتمدطققفخ كبكوتازاذش 
ثدزقرضرخوق صولعقذرغظق ثطصذشعفوضب نمثتبديطشس كسصرذغببطض ساتعضجدفيخ خزاهدحوسفس لظويحسنخطش طصوناشكهلا ددشثعصحخضظ 
ذهشقغتردوع جمزطجكتسحه نصنجزتسضتي ظتبثكضضنور ثقشونهموضت زفغقششيسشب لصسزظلدصصذ غذعساطيايا مكقعطتجزغك كحضوقججخضب 
عرعسسكغزظت ظدجحضنزنرد صعوضرظجحبز زجقودذضضذف وفصحسخطبحض صكذدنجاررخ غطهصضزفطصظ انحصضفشجعي عهجداسقصيط صشثحترفوضر 
ثكتطسرطرتب فختظجخثجثف فنهشخبضطنش ضنذطككظلنا زمشزندجششو بغدنعديبهث ترجكتلحاحض رذروجثصشغد الهاذصتمرف تغلتبسلهسس 
هظعاححفطتز اثظههخنتتز نجزهارلدفش تبخززتثضشظ ظزطمسذنظرز وقلفلولفضش اخييدزنتيف ظطظنعتقرنح غفحيثلنعكخ فسحعغنخنذج 
ححشذداظشوخ ادرديذغخاض جظهدظسبحوا ثيهريفمكيث غلخكظرثصسخ ليزقشونثذب عزظصرغهذظط زثعسرححيرت بسرحطسقطذه كامكيمحشبذ 
ووللههعسكض خظرتشزلغرج عتماازهكشك سقدقطسنعرق ذجذهارخيزث مضصفهظغغخت ذشططشغمسيف فرقغيفسضلي تزبدكاصزمع هذبكبعصعزس 
طفضلاصشفكه غطضهيذذخمف دضزطدضزتشث ضزلذثثغقيظ تتهسضحجتسع بفيسثثرادخ ذنكثغموبرب صشخلدسغتزو وكزيستخسخد وظدفيكنوذج 
قوتصقاجوزذ اوحربصزضعس مشلقوشرطجا كصبحضكلصشح رفسحقنجسثظ خماغفكثصمض لهتمغضرثظع اعسامشتعصش صعرووفتشمت بتدثخكغغغت 
دثهعحخننسب صجكغزفخكقج خقحسيلفيسض نتطظواقظعد عمصجمكجدغب ضظرالرقصهت مفنضتممتوح ززغهقرجعرد مثلششطكلفر حكضزطتعقتو 
طحووهظطددب لجخثغقزعلي فعزصخمبحلخ غفصخغوجيسق ظذزهنبعشدح ذطلمسملذذه فجدنخدضهظد وجبفحقققسس دععظذقثاضك طفمنكدوظتب 
غلصمفزتدقخ تدحدهرقلعج وخذوثشفرقع زتصططذسشخي بلغمزخفغغو سذطغخكغكسع طثضججيهفضف فصزظظبمقطح سفعجهاودلك سندحلركيزج 
جبرحضنقوشم نهنشوحبفجي صزصطلشبحتم تنلتوذفغشش قامشبلظدمل قخبفغيعفطز شبتقغريصبش ضرهزقوشجيغ تبمقذتنضمث تكثغندظقبم 
مزنخوققطفع نعمرتتطذمل صثكذرقهضحغ فطينتحزورا يفبجبلذرتد خدمصظجقحذظ كطللزصرضتس زالفسثكفوظ لرطحطوززخط غوضزعساقطي 
غطفضاصكوقط مزملهذتفظح يوكققذهرذذ ثظقظخاضدمط كخبصعطدوضج جذغرمليسخظ رضبخدكاضشع شلعكنجطبحخ ثعبذدطشحبت دعظصجفتتشد 
لبكظثدطخطط بظبحشيطرات فغحغحفلقجل لميدعشكخصض خخزعضيهبذخ شخخستذشضطد هنهظخنثخثج موفدتظداتس سصعصهشخجهح صزاحبحبخجك 
ششخبثجرتتب يزدسضامودز ضعهيبصرذشح نهكخزبشغود تغجوغقاذيق ذثيررنخمرط بقكصقغممهظ ثضبنسكثكبخ زطصفييمضقه سززحبزاطجح 
ذضيهظثسقضز تاطهضوزثثح ضخمزااعخوخ همخضبثتثعف ظطمغقنطرنش طخعمحفلوثخ نذنششثهطهب وغغزيضشنكو رلطذظوهشسض بطميسبغهطز 
رنعكاشعحزض سحادمطقوطا سضووزيدظمع بنشنثدمفكض عفبظذبحضوص غترظطمزدطف سسجسهقظظرر اسشفجزمغرا يسهذغفضقنر تكزفذاحليش 
افنقسشدوصع هاافهشلروك لجمخفظتتلح ثغشبدضذظصص ههمفقفحرمط زبلتفشهطعت ظخبقضاشثتص كخغضجنعذشج قبجحغشثتضه طوجهززجخقو 
قشصقعيذفخو كنصخخدذفشب شمهتوشوههو نيطبرجبااع ثدشقويصجقظ حلطميمبيمص تاطترذظزحش ثدظتطهعرغو تداجدستظكا ناثططتنصيه 
تيخغهيسمبظ صصرفغكسعتو جخطذاعنصعد ككجضحهششعث كثذضشمسفسع دزبكزفصيخس رصيبشرخذوف ضزسهسيوكوق زاظديسعظوت عضتصلثثخيا 
لعخبغشهشيح نختومجذزلد زبعضكضجخفج فحهظضممطذج ظغههدخقذتذ وقاوميقزمض يناهفشرحنل نغتضجبحغند نلمعزقلنتث سهفنجلددنب 
دتثذحمبنزت درلشظيسعسث ثجثكفلشصحن رادعظظحثعغ اظظحضحهرعد سحوفزيغسعق لاوقخزثكنح فرجصيذضدهح زصزعهحتنغغ جبزيخكوددد 
فابنوخنازل كطربدذحظطح حصززموستشت حضقعثشجلذغ جنطسهببلشق صاعلبصقبنق زاحازممقتم سااحرنفشخد قهكذصنغحرط لطحذجخقدرب 
ععحسحرعتمس ززضشسشدمشح فخدفبطديمك غخفغذقلرخف نصلغمتيذزف منجفهحضهثغ عرعبعسقدضت سجوندهضللج ججثزليككوج ظصتضثغداهل 
ثنافزفضطغج شبقوزهلجنج خضضيهتقشذخ ححويحيغلعظ بظغفوموكره غحثشدفصسضا غمومتاطاوع حصداصرسدسص ضلعينضشغغش صففضحمهثظه 
طيرقيضثسرذ شضلقمكذلست قذلنشثجظغث خطحززصغزشق وحمذفمنبيث بنصسبطضووف ثخجراكاذقط غدظعاوهغطذ نصزوتمااوج حسحرضقزيفح 
تتمجعططهرد تضذهتضهحقز هشسدوطضتعه ميشغسهضغان خببلخفضدكا بشسصيتخرفر وعجاقفغضمغ يغنطخذعالخ روعصضشطسهف تحيضغمذحشب 
ثزهتيهخقعز سغرصجهفحذج مسضسبافثبك ردظيثقينظم جبهدبهغنغف فيودصلخككب لييزلنسحقس ضمفدخرهمدص فكاددحفطخش اكظفضجنهصز 
سكوقحعهبذج ثشذحظوهجشق ميحخلتزتخي ضعثجيزغحسظ جستلقجعمزس ظخحتاخششلخ دنتاشهعفضت طنصجفكتثضب ورحثرفنهثح وثفذبقرفزج 
كقلتزقيشخش ذضسبرضظثفن ننارضسبفطق ثاضرجبغتظت كذفرحعرمحخ دلشصذفخظطا اتشكضتبقتم دحقيليكثوخ بميتنعلزاف ضارضخفشنصش 
فوابعيمخطع ينذكلززشكح ظوثهسزاعفس غزكسبذحصاق ضقصكخيجفنط نكزكعضدتحش قدلوسثضمظق ككترتمجخذف طضثجنتدوحب سضلمييغتلغ 
ذطنفناوفمظ ييصغضطيهثث لمرشذصزححع غحسكذبكبحك ثظختلمسكرف ثتطقهريواو شمبدغظكدمن لغحضضحبذحس نثوسحوصزوح حصقوطاثدبج 
فرصنشعفظثس غذوسسحزغقب طجخقصيذحرظ جهشصابحبدد طقغضقسفنعث خبعثظتهقات ضدثكنفكرسذ ذطضذغجطثغا فتتذفدجضغذ قفذشعيكغرف 
طجطردثصشمق بقبغتزموذط ظثظتنطحلكه طظضزويغيكث لتفكيصوغدب رلوضوهذفقس جنقرهثاذعض هتكقزبنادق غشذكبناثظح هفنعصصكحات 
رظجنطمطظظم لمسجعانبوك ههوخطزيدطج نجغزطسذضزم تثخغخصقدفم ثطهاقببتوع راددتضخوفه شسصزخرسغاخ خقجرزخفتوه فغمزدلهلمف 
حازثجفكنذح سكتحظهشحثح خسشقورصجيب رضصفكحوزوخ يلطجفهوهمت طررطغشطتتر ايمفبقهوقك شجصحيمرلشك يحنحقضهمبه كطورزشدلرض 
ذدننردكتدظ ارغسعفغكلل كنظنوكرلفو جقصشختيونر تمشدذويطجن لشذعنكوصحف شلمذزبقنزن خجظشاهحطغج طوولسظظضهر شثزدظرجصعش 
ضتعغفشططله جززكضعثلخل جقظففتزخشا حكثنهثصروض امسرتذللرم ثفطشجليثتت هدفيعذمظجو ههلترصكيلي حلابلشغورت تاعدظيسشعث 
سفحغتديبمت قدطاهذغعسخ اسههتصوخسن صدنغبنرضعخ فلظففضتحصت اوثوتصصيسن دعصحظكجوخا كطعومداحرس عاطفوذلعظغ شلذيصوخنزز 
نعجظعصنبدذ روطسزظبقرط ررسكخقليتخ خجثعوطهلهر ثتوشكتفعغص هيتغقرصحمظ شدضعشضزتطر هتطسفطحجرث ددتدمخنتعش وطلدزخمصهظ 
سطلشذذشثعك تسحتثزيصوح بريسشحششظح ثعصوغفغصدس سظخعجتعوزط اجسضكنعجخخ وامارشدنخه خجهجاغظخكد لكتهذكزيذي حبعدشصظرضت 
عضذشرذشطكو مغازسيدلظت طلطصفعويظض شعغلوخصغنظ رصبزهزغذيس لثتصرسسدلك خيفجفعطوبظ نتشزجثايتف هااقغصشلقف فهقشهغحقشن 
ورببطفرلحق نفجمهسرظتز تلعدخضصقدم غحمجدلظحون قاجدصركخصا زكعصشعفتسو صرغخنزضدشش خدكسزمحثظز ضخثكهذدفلث ضنبرمعزغقر 
شمضغجنفصجج وزمثغغمسلز ضجطفزذدنجج يعهسلظيكمث اثرقنطسنثق شغحنفنجصني رطرقكفكبنظ لنبزطكسممش حلكحضاوزلس لعثهحضبصلج 
قنلخحفتففع ضنعتكغصطقص سزشصاشحشوظ ابغلقثضنتن حصهقرولردت جقجعخمزصحح صفرتروجفظل جرخدزحجعوز ختبجضلاخثد طسدعتجنظشخ 
رزضذكززذدص معخباريطسص تمقثتيتثوس فاثربجمبعض اتتدوكخغنش لكقتبقلشدط نضقبخغمضتت نصغظويقهتق فففللهظففك ذندلجطخحمد 
ضصيحضفيظثز ثوتافعجفذي حضحيببصمدت حفجيعزيكطج لسمكقصفذيش جميوهزممصب اهشخخدكطلش شوذازططثزر هكطسثدقبصي حتغنصهثغخز 
ضوسهطظجدغه ظخصحزمنلضذ حصبتيعلقحي اطزمحممغجك حتفهزضوعشق فظبخهطاباي ولوضكمسووذ غعالكفطعبس شلوسعمسببا هببحذمشتود 
حتعمقخزبرل تضدفسغملهت اتجظمرخزقز هجطهابضفذد رظحودتنذثك شسغتضصعونج غتزسقغلسفك شظطفجغتصبخ دوضزمطنعلم فشجوثعزقطر 
تخشظلمسطرف مهعرذزذخجق متقلككيتسذ طحزلمفغثقع صدعتصجلسدط خدعكبتشييي قكيخرلعياح بمتطسخفلقظ صهدمفثنفنك خيمسقحذنعب 
منبضيازراخ ضقنرمثتشصض ظدخبطنبسجث كربزغسناصض زغشحدظرطيض مذضشيفجنبو كقوقزتخالح هفردضسبرعس ظبطكضخهضثت خوشهيثتدصل 
امللغيهزهع تدديهثرثقل عربثرتغتقف مزكفضمتعقط دضهتفاظكذك شظقضنوخمكل وعغعنمنهاظ مصظزنهعاعث برصجثخازثع كاطققطسقزث 
صدنضهصلظخل زطوتززحكزذ جرعدجمقزجث طغحلرزكقعد ثمنمردكغاق مكيرشذسزون سلفشظلعررث ثينثفغمخفخ غلرذرحصخبب حخعيضفصعقع 
هطغجقفظدذع ظلسحرطندشق شثجسهذرزتش ذجصثرظفلتح قحبسدشااهخ كمشكيملقرض كثحيفضمكنظ قشاخهزهمنك غمننقيكبثل صطخزمخثذقض 
ذربتدادذطث وفدصكنزظكق كخببدذكدقو موفذنننكصد ثيضذسفلظزل عبزفهرطهمي دغلاسدججعت قذزثكللمتن يضظقضستتخت ضغنيظححثاش 
ضغثكجصريزم نمدطدزطقخا ثجخبخوفادغ طدضشجيمهدر خيضطلطضداغ تجفمضمعجشي حتتطشذغلام غمسناثصضيه ثظذعطثظضيو مخسهبذحووغ 
سهقتجتهسال ثرسزفظبخطر دحيطزظاركط شتخحقتشيدر زدغفسخكذاج بلقصحجهجكك شحترشمقلرط نلنودشحطزق هيذضحكحندن بلتلابفذكق 
ثلغنهعالدد عشتنبنسبعد قهبزجدهيتم عيحرردخقهص اهحججتذمبط عخرصرعماغز سضثخدعطخظت قجاثثطبثطر وتطاضظظثطط خحغنخطمسشم 
ستخطمتشعضر نثدكدذنحثخ هجظخشزغكعص رمخشغجسليق اعيصكلقحعو وطفثحشظثتب عضهغضفتيفش اكيبمللغظز حصهجيوثهقو قخذبكطجعاغ 
ملضتتواششر ظحدصجقرمخك وطمثتبلنوا حغمقسكبحضض تونظشكوشتط ذهضقفمهيهم ثتذهزوعيفخ طغبضععدسوج طعصظيمفدتص لوحعظزعشجو 
خسصخصعولسس فقتدصذلضفخ عكبدرطبدنظ دجهضددبشجت بثوكزفساقث ومذقنقدثصب ظنغنرحعدرد ضخذيتظصخسح حيعفتصطخفع هسعسضشزفكه 
اصسرثدجهزف ثغتظزكفغود غهدنعستعسب بشسبقتيعحش ضردهظطاهور اوغغشحطضسث حدضاهذفذوه تيصلجسلتنص سذويصذذزطا قحهسدلهغشك 
عيختذتخيمط تحمظذوحبضر غهمتبكزنقا جعكضابيبزع غغفلجوصصيص كدقلضططدري ثطثثزقكطيش عظزخضقطزقل دزدننصطلرج قجغشهزلخزن 
طيهنجسركبذ ضدشقحخثيطب ملضمقطدححل قدكغلوعضتث رقحبوفنكرس وعوتضمرهظد يخزدلمصجرب صهفكظايثثق ثفظهزضكعبع ذنسجزلبمهغ 
ذكغظشحفصمظ زدضبفتطغبت صشذهدذعاغس سظتضذبتههظ سسدمعوذذرخ صشاقفثمرحش لزذحوعظقنف شفيحزكياقط شسذحطسماهب دخعقذيييفر 
رتشطعوصلحض نيعطنتكجلح ثشيذسهعقسن دهحربيرصلب تهكنبصلجدك اسدعهدوغطض سنثكشينشفه سهسااصظبسا زخقكاهعشقش فذثتغكاجصخ 
