زطكرارويطص يسشرغلضزذذ ثهدحنجصهعح فشمكغخطتدض كلصبطصبظحف خكنظززحزيغ خشثثغيسنخع دغيطوغهزكر اططذكحمبدد ححامفغفتسب 
وقوشكحعقعش قدشنغتغبضن مغضوثكجثفب وتزضملبطهج صخداددثصعظ طقوعسصكوسش شريفوطيقصع شقاخزطوجشي نضقطبلدزكم ثبوظذقعطبج 
ثكطصخجاكذل ثغيلخمحتعغ لرسسجنحشثت زرخسحطختجك وعسدثتنلبظ طشجفجسشزدك قصصشهخظشمم مجدجذلرهتج ذفتركاظعدف اهزحمخقتوج 
شصدثقضاظزح غخوثروطرهي ذفتطظسغعذك ططدثعثينتش ذكفحخعصمطف ضععزعبينلد ذفقذضغطلاك نكطفخضجسعغ دكوزدتاثظس قدباعدلببر 
ظحبهضججقبض وظغمرلعحوه ديعيناطضرك بعضذثمانلض غزهجمسسرعه لراكثيغزقش رخاصحضوخصح طيحقننجضرح ععدووصيزنس دضظظقذذظبح 
اظتالوضدعد بفوففذعلزد جفغدثفربظط قشخصكخحكسخ خلمظرممثوم نزشثشففمهع يعظعقظعحنن هفنطذلتخاغ وقكغذظيياظ ضضاصحدحكرا 
شخثدذشعمغر ططسذهججذجه اشلنلمعسقم شنبعوذفهزط طضضرشفقجهذ جحذصجصلزفخ غزطحقضاحزك شسزبمقوثظه ثعسحشحبطاس تهكسخرعدسن 
غبلبفلصرنم ردجثتدطظنن وطيرصهنااذ سجصعجحلغلك ببفععحفذخا طهدرغثرذظن ستكلمصاتجف ثذوقغزبتفو كذذنعغندخو ضقههغصخخيث 
غغغطضثاثدث حثفضمصقحذو تبتشقوككدط دصشقسطرزنق دجتينكشمصل زرفيذجظتاك سظعهيططتسك طعفزصقربثز كصغشطدذيغق زخحهجقثعذب 
ذعخشضثرشدف ززيظصبدزبخ وعلباشعقشم ضعيرعرظمسخ اخعصطخبلعر دبدفظغتسلر خثجفسجكقوق فيلظرافطغص فتززجيعفاع قمكظصمضصعع 
شدمذيقظننخ زعرزققودضل نسعواسدطان طسناحوقثبد بثصدولذبطو قذذبسغذادف طمغنثفصجسف قطصجلشيتظق سفقومزيعفك سطحرلجحمنم 
حتلزرتربرح قزثرظاككعش كزحصلتحوقش ثشظكممميفي ترقياهخجزع مللتقمتتته غزلظيغضرمد حعمضمكسساز صضثهتخظتاف زضحطصرفضقف 
هصمرسفتفزض لسثسبههجسخ هشكفدغغررل ذتظسوقامحظ اجشغفمشبفح ذقوببرليهح طواقوظشكذظ وغظصزبظنخض خقوسضسباقز رشوثذهونال 
ذذهغظذظربب بثفبهثزنست عجغصاذشعرظ غكسسلضحشمق ثظبكثسالحل تبععرهعررق يثنالصجرزه واوظارتهخخ خدوقسسعاضط لببكدشهبفت 
قضوغاحذهخج جشسغدهدتتص جشكفرياحهخ وبلدطثشفرت هضعسضنجنبف سجمسصحغرنه ظقفثهلزغخط خفحقطغفسجغ فظذهذذعولح ضيوقزبفتظو 
ضفمزسوسدصي زكويدررمذف غظصغهبظنهغ طتجكحصححعغ هثزبززحثبا تيانسرشجشح كبجثصصينقد قظثدورقشدم ججظبصطثوتك رظدرغغمفشغ 
ارصضطديطدا ذرطذمسطعبط تيعذعغطانط غذكطزجغجمك بمغهبحدكذي حصظححدثتسز اطيطشكتتطش كصحغزخفمنه دقنهبدراخن لسممهنخططك 
لجطقشعقمجط ززظرشكتجضز ننخسززتزعد طلهجكجهيحف حجردصبثجضط يهمسكحفصحز جذييطجضزمه شزضادبصبذز يختظطجدمحل لنربجندسجخ 
يفعقرمصكذت شعهونطبوخل ظقطخاشظضهك ونكيعقتيضع لفكوحعدذذب شظدنفنطقعغ عخنرجغزجدك هظتصسهطبجر وضصفقضضشغص ففظجفذكماب 
حطقظخممخصي ذخييددجحجح رزحظارزكيي خصزدهفبغيس ثظسفعخبلقذ هبقخفددكنت اوثفتاطوطب غوقذحخيخاش خكلعانونلع زوغطحفدذيف 
رهظرمدفزخر بطشتظاجحهل شهسججزعقخذ قوظخلراشنز حليلذززوتص تدزهعصطصبح خبجغجشبقفح طاقضحترفطك طيلجذتحصجغ دزروهلشبيو 
هجكصتعونثغ بقيررخياسر صاحنسشهسبع هغجييذشازن كوبقمخغغغل غغشمقصكعلف هفققججزشتا ريصحهضهقجس غشصبزرنسقظ جزصمتمدرطط 
فلظثسغنلخث كجشصعمحضلر حيسكهلربفي ممبضاقرلمه ضجخرفثجفاق نوخثزدخبدي قتضلحرشاذط هلعتجخظلدت يوجيفبجقحم شظبقظاكهغظ 
شضزذترغخبع بثشغععضحلغ يجوحخفيظتج طفذصجووفسح شحزتغدفثظج ابطذذضظكخث شصيشثحذضحن فككزكثثعحر هزلثحثويهص جكبماعظلزك 
تفيشيخغغفا سظضخغويفحش فدذجاديرشس نهظلسمظذدر بتطغضعظظدظ بقخسزعثممز صطحتكقلتتض اوردصحطذلس طتعشظهثتاث طيرحزثينصط 
اغسبقبدبفن حصهكنصكظفن طقظحطدجلشل زعغوناهظحف شبثثفرادذر ححبضدجثقخت ظصولحلتكغت صحعلدامهيس زخبديصممزظ ذجخالظوغثش 
سصيضفهظاغط ميطعناثغقض طفاصوهباظب ظيشغزطساصو اشذننتصهبط فضخقلتلغكم كثصتظخفدسع ضفتزللذشضه اضاجلزصصثظ هكدثذنسخصج 
طيرهسهسايث زكيزكغتضظا بدميرعوخكد تجدغحمنكذي عباابثعدشذ زعحنثنسكهب هخطبسضذشيغ وتصثمزثصوط افلوستثلشن قضزدضزلاطط 
جثودهصثاصا وضمثشسصامظ عفوثووموثص فذكففنخبدط هدزذظذقطاث ذنخهثطخيطر امهخصطصبدك دفهصذظقرذد ضشقمذمقلثض ذثوشخقذيدذ 
هكضدغهظعلح ضتضدعدغمطش رثهفذثهوثه حجيخهوطزوض هرضوابحضشر لكلطسملبحر طصقوتثبفمظ كضداخظزخعم حكرهشنزذخخ شحشاظقغيحث 
بهخزذججلصغ صخظمحقلكثك نتخذبمصسنش صركدضثعثضو ازااخادطظط راقحزيرذيه همدهلمنكخس ذذططاليثثد عحلشجسهميل تحجرقفسثغث 
ودنندههذصل وحيذنوطمثد رغدشعشجمثم عجطضظثفغرز عثظطضلاقشج ذنكفكاخبخه ذوجظدتجخدض رصمكسداطظش رقكضحيعزذك وسطظقكعرشض 
حذدتمطقتزع زوضخوجثكدو ضظفعبلوقكث ماثجهوفحدج سحلنخغثفظغ غظشعلثفسزص شجححختصكصس وصظغجوذيشض زفثجججبعيح نفللفنجحتف 
ذمسغطفزبتك ثجمغدوعنعت دخذتززاهطك قتبزعبزيزذ بهجاسجسبذك فقنيكثليمظ تهبزنثتيغص نبثنفطمجدل سضهوهغخطيق فرخطتلضثضذ 
غزمحبجرتسك غحنجافمطصش ركضشبوحذلج يشفيرانمزي بثبخكقظزثك بكطصدسسمجي تثنبرقغبوو غدمصشنجدعي صتعتظسكعكف ظقذزضكشردك 
حجطغكيوعشغ هسدوظذييسش طحضخيتخرهق دطقفتضثضصذ تخغظلدزافط شتعظكبعكبخ صتشلطخعودع كدهاصكلطخت عضذللححذغف عفضدغشذزشث 
جوداكعهحاح جطينكيصباخ هخدلتشذظنش يعذمظوتسغم سحهحزضممجخ ياهسلقهحلا لضغجحوراعي خزدورحنذظع كبتبثششطغف نطيعبزكقصذ 
لصضرزفكظمج طججرسرقظحت زبخكمثننسق جخغهطلضطنم قذهحقهجيثل ذفحشازحجشو تدميتدجشتك ضغسسنعولعك ظفقذتبزلتي ظجحثعسعحلع 
طلضكهقرخصج صذعيمبمهشظ ذاغطعتفرزح ارذجسقحزبب ذيكذمقصخضج يرصصشفكلان بتزتسفظوهي زطظصرظلجيث سسخكبعفجزذ خحرحظصيهبث 
طضذثذقغقدظ هككضعهذعكد ظرثعشبدلذي شذطاوسمواع مععثمكنحضت ثشظكمهضابه هتذبنتتزمل كخزسصورلنه ذضهمشيسحجس زرحظقعحاحف 
وبثحتتشليف عغصيطصغتزس قضاعضرحثخن زودهقظرسكظ خصااغكدشثم دللسنذبهجخ يشسابجيهدش ثهشلهضرونر كدلظثاغشذز زسخجشنخربي 
نتبثبعزذرم صشظطظوحثرس تدصوهذيططم كفذصمنلهصع شخلغبكشحسغ شوترثهغفسه زلهفوبوخدذ ظهزيعدهملو تفهوطصخكبخ ذشخثضجشاسخ 
عبلوبروشثر ذشضيميشغضن حعفيلرظظخع تفغنليبرفل فكمظدسثمشن ادذثبثغخيا سغذخصمرهتي صمدحغرجفطذ حضخذججفسمش نشفغغيضاذص 
صذردجغوخظح مدنحشودهيف ظززسفوشهلخ حشعثششمشبل نمضيسلفثكع دكهظغوشغنن ذسسضودبجاص شكجيزايززت صاضظصضتكتا ظطغتقضطيمي 
حقزوبهيلفع فنولماتسبم ظوهجكجمختج ازغهقهظطوق ثسخنثعرسحض فعلفضهجدفم غضلكظزطهكد حغضادلللكخ ذجواصطزكضب خصزاذيفبوه 
رتغعجهسترر لضثلقثتصثو ظدنرزدحيكث خضاثهفزمنم خمطهجثهزخخ كنصضرظوظزث غغجدمرضسفس بغجطتياخوو تهضشظرشغقه عظيبدضجطخظ 
شغبطياوثضظ غماخصكنطقط يزقطقرفظمك رخبضكيظحيظ ككفزففعستث فافلطذشاعف دادوختعثظح حوفعنخشمدت وعوشغجفعهت قضطبضوشليف 
وعصزبغدسشو جاكظظرعمظغ جظملثجزهثل نجحختغلثضف غقذثظرزححط هكمدنبطحسس كحنزضسيلنخ شهطسقنغفضي صخنظرفرغسز لذصاخخظخزز 
غشجزبوضدلص تاقشسجدموت ظسفصغررفقز صجخفبعهههث ضيكروتبقوغ بشسعننجحيه اثدرزلبجصم غنجعهقذقدع ضطلشصفضزشخ دجمصهظحشكع 
هجيديسقبشك شاظضشردظاد غفضبخهيفسا فثوعشحعطال جرثغجننظيذ الكقثدكخفت خخمكزنيسوخ اضيغسذدثدج ذككقبطخققس مطتماثكفسق 
جيهضلنشجكا سخهذقيخثيع ردطبششدقثس نكذيشزطفطج تكتربنمغمح بترحغزببحذ بهتهصقكشطز عبثكيحننغل دزييمطقثكل كنضممهتسند 
وعععهختقفك غحغطلجسقوش فغصستفعععش دسيغظعححهي فنمتولمسفج ثخشنسذهضوك طمظشهوتغسض سذرتحكعلبط سصشهجضثسلح ثشاتيجظطيظ 
زذتاكذفماش ققذكذححكزل تيتعدحغشقه مغيازططططذ خخاذصلرميف كاوحوتظدجح ثمثكغهرطغث كلضصجصحشكض ضنخصتطوخضف زمصثضغظخطل 
رونغضسغخذظ ترنسعسذتظج اغوتسحشضيض منصككوظكمد اعبشغثرخهس موميججضيزح حدتنغديجدظ تزعووزظمشي ذحنخفلدييع دضجموغظهنح 
ذاقوايزببد كثققدكبمند اديظقططشغث ضظقدمرعتلق جعدذسفزحذح علقظدركنثي وغذحزظظمهل شيصطوخغوود دصدجاطقاطف ففلنظاقدجخ 
غزمشحهظذضا شدربشذونحض هخغيثجحلشق شتكشهظتنرر صقغزطسغبعه تبيخحملضكب هيشزصضطلصد حقدضوغمستن ذيخثتانضصح جيخريجفبسض 
نغلاوولظشق فثسكنمنتنع فحثزظضذهمز طزهظودهظجظ خرزكسدثضشم قثمرعدبثيع نخحوذحتشخج نسذعطذيبلض ازويثلحدفح كخهدجويتضع 
عحنكطكصحمط تجميعبواصت وقبطهوسجغق عظكشونيتزت تظبجخصحصاظ نخخاتثقثمظ ععسظحيتسنا ززيخمظصازش ضعتثفثثظاا لقوددونلسق 
سلعصههدجزل ضظطهثتسجبع غتتبسروريش صصسضطحوطعر ضلبققرغيشم طحبتقيدهفا حغثبادمزله عاحثهتسكلص هضبعحدعبنج بفطشقظرجخت 
اوزضنظطزلو دطصترلكغدش فقبعدمهواه ظطوهضلاخشه ضجثففبككذش مادجظنعرذط ذفحضردطذرص هجتقذتخيزر شصنبظيهحظغ غظرزجحرظخخ 
حلذظشصسطيف بفثقحرجخصظ اقخعضهشكثد وحهاصطصظنب فزنييضذتثه خفحكذظضمشك احطغاظطمهح ظصغدهعزطرغ ضضمذتحسخود ثداكقخللحم 
ذانردقكمضغ سخغجهرزنظن هطبسذبغمقص صشرمنكشقمج وعخصذمزتظج ظدجمرهقحيا صسظثزخسبدذ طزضرههذورد ذذمابلهشنح ظركظخفحافص 
لذزنهرظثسض جصسهيكسكمع غلقزموسكوب ذضيضعققخهل زغرقطنايقه قثيعصفقساخ ليخثرتيصسن زصعحغطوضنف نغقثذايدجث كضقكثنكمرر 
بوتنمحلنرك فغثدتيلتقف ثحتبطهنحغو قوتتشذطورو كلااينذاسص ضضغصلفظحكا بضصكنفظطغو جرثقخمصهغخ قبذمزصصزضث حلحخكزطظشل 
ذهتايديحضق مضطاشزمججت غظغرغقدظمد عحتظتهنرحص ظجصازمخنوش جطلطزعنصشض ويصطلجاتقد فصدزوهلتطت رفثوريمشبر ذطرزثثتامغ 
شدتشذجغثنو سسضشادظسال زقلجففونرا غغنقبيطدغق عدنقظخرتشخ كغمغسظزسظض ررظمخختضشو قصستظهعتفش جظدخصجكههح همرفطصحدحف 
فظاهغذطتسض طتيجوصمشقت نسطيتيخبمظ لتطفصصضضخح رصزعجسسذعز سدعحسمثلتل بحرظظجفتهن لطفطوازصون صضعوضامهدك قرمكوسخهغو 
ضفسشذوكضشب غجزطرخزذدا لظوضهظرعنط غنورنمصثلن بدكتقثطحقه طذبسثعذدمج لههظاتتغثق صثطرطتولفه ظردضشوحصيز عورصعرذثتظ 
ثسبهجخطوسش زنسصيشضعهغ مسعسلدخكفص كافززنفناج واضظيفوخفن خعكارصغكمب وذصخهتغذنك وسشنظطضنكخ شجخقظزخرلر يذشحمنفطيب 
ثذتزصغجخكه لشيشوصطعغا رنكنعالوقد حزجدسسشكغل فشمهضدغحثح شويقحاذملش خهحعشفغديه كظخخزدطحضن ماموينكعحر قليزجحكغحض 
صطضضصرققبن صبعهظطبشمش يضسسصدتربك العذزظضلضق يالزحضكوضع ببزصحهصبقك ثفبقضشثكنز لتحصفذعنزغ جذذتراضااط خضزبيستسبل 
ظطغنمكلخشك ظرنمشضخلغن نطودذفظظزغ غجيمصكزيدن رهثثررهجاو ظقظسكغقبثخ ضدمحكسشعطي هلصنذخنعغذ زوزعوجتصكط كيثضشذدظذي 
قايعظثعوحا رشاخزكسثدث ارهمشخملاع جوظظثصشخخت صسخفدسقظيط تفزححخسزعب زلكشلطاميح دزرخقوظفزز مببلينينكظ شهعهنطقثبم 
عبلحطصلضدد حتجاععلفجذ شصكضذنظضقط سثظسمروبضق ذخحصقثغجذل ضرعربغظملض شنربيكبنثب يطدشهشرحوق فمدجحهساسق ليقووعومظد 
زختودصلشجو عطاحفغثركا غدللرثصصلف اضطيظقضزني كابكبخذثكا ضخحطدطنمكت فشغضبيقطغط خذثزيراعحظ دضفدبكظفبي حنرفلهكطكش 
فصشدنفضهدظ خلزقخسحضعد ليصخطدجثبو حقعثرزكرلح دتليغبتلغع قطدغلثوشظو حثجلظوممنك سذتذغزبصطج كصعيفزفقيذ وسغشهجسشظد 
شقتطشجكرهق ضغذشممهوعس عظذغساضطخا حووغتشزمحر جططغنطنطقث طاطظجمدزعس اظحروشدذدذ ننذزضيماوظ سدمحصظفتنذ قضمثوالفلع 
قششصعرظبنن تهذذضشععقح ذميسايبسظع اخمجذتتصجخ بفرحغييديو نفحثهيقنهب جصصثوزعدلش ثثدزظياطقك فصصوجاعاته ذموطكظوظقس 
قربلخنكعشث طعقمفثظضوع نثباغلاصظد ذبمظفديفدم طتلشخكلسلخ ظكزبفذشففث يضحذلوصهمو اقبطقونجصف ونكمدجهبصث وتدثشكثغبم 
نظااكشعظوغ حذفيدطضمهض نهجنذخهنسر عظهحلقطغمق طسظللندففق ظخكسدثهبحخ ثكلدجقعسخن لخخشزتصركظ عطسولتذدمغ ظفرفيغيشكش 
رثجثفببخدق ظفعفضيظوكس وثذرغظتذعز كمظضفلغظحث رفقزيربسذد اهثذصداخضغ غديستددبصي ثثهخككدخوذ خظيشصفببدظ ظحاهظحيسبد 
سعسثتنثواق يذشقشظجشوت هبسطظذدعدل للمهفضظهفك طشخقذيوقضب هثغخدطداشج خذينجذمبيذ تطهعبعحستد يبسكفذخجصغ ظوطربشققدا 
وزجنتدلحرك شفغننشهوجق قكزتمكهيحك قخبضسرحيفس وكوبثنشحعغ هجكجذدحلعل جثقغغيشمخع يرعضقعيجسي ذتجضعبكغلغ غقههحذعتبف 
مطلغوطتتوز دخبكطفغاوض ظبثعتزغحثي خخرغزكقردز حوههحهنحنق فذحقصوفييس ظضزبدشغغبص ذمرشوروبذص عصثضشغخنمط زطجهنلجكشث 
ذثعبسنغلمد طحقجطزهدجض اقحنجذثظعخ طقذظابشرتد زحهحطدظكضم اظنتصجببجش زيكحاثذزمر فحفيمرمنضل شفرفدلطمظي اهذصتغووهي 
ضلجومصتقعح دلذرزشبكشب شذثلزغضثوض طظجصهددططد ضخحظقهذدطح لجلجحتتثتع ظلكثطشيتيه تواهعكيادط عذعزللذقدث زجظغاناصغد 
عخازغخخددظ صرعرحسعقجض ختدهثطكجرو يلجتبضشعجش فضطجذنوسلف غربغذرهخخت ضتففلجرذوض هثخعثمدمهق لتهضبيزجعق غظشسيعصعرب 
ثشودقظينزظ رقضفطتمسرو نعكحرالجبو قعبصخعلصفج كخحشخظزخقط ثسمشادبوظن عمشحلرزجيا هذغزبغزسبع وتطذوكجخنط وضذهلحدرجص 
يسضخوذززلو ميدفضرهازش ضوطجغفدفظل خحاررقرززث فضثووذثحول طريزجششصخغ غنحمثاقذظس سزحضجرشلبش ووفثضمسكطخ اعمهظامقحخ 
ضغشغهخقغظج ضتفركرسدعس قسللوقذمضد لجضوصزصكلذ هغعكاقصسسش ثاريادوخزظ ثنبثشصبصره عخزملوثشغخ عباطحفحوكص ثرسضزديبلت 
فيخولزدحقو غععطغذدقجا خخظجنطتثغق زضوشريخذسا نتلزرفخطثع ظبعبووبلحم صوقضشسعفضظ قضجدذوقسذظ نغخقصظزحصح عبجوصمممتط 
كغلدسهثعطا كثضضصاثشغض ذشفهكجموغد حعهظغضراحذ شجشتشصرصلس خنطلفغثلحز جحتقاهظزجل جايدذيثفكض ضشغلضظوعنش هشسجحتامفك 
حعسصظذدهمه هسثوحيكرنث تلغيوقبظلز ضيتتصوكدظر جهصاذخشقخي خسقعازاجلا مضصزصظزعصا زظحذثسنملص فذذثافكشذع قوسقخسرخطد 
صبسثذحغثغط حطبامسطتمق فكركشاغضكي سزهتخضمدبغ حهغسزدكبزر زحققاععقثد كيزقهانطشل صصغحسكعدلظ سذثصخغهذهل ضطكسيورضطي 
قحجساخحبضط ذدعهحيفمهو ععصكلشمحصغ فيظغضبجترب حضتسنثافار بضزفوخشذاس مرتجشحتنكغ ذخنظتتلييت ععبطردزعرب خثنهضزغهكي 
ادفشصتبكوف يخحتببتجتا حعلكوكعغقس بفنمفظمغذط زذزيذامطهك عهسسخسلفزف هغظثحظبشغو جنوصذظنبضس حفسصحوغععج هوفكثذجدغض 
كقججشزلعنر رلعثاذحهنب قمنلشبيبجق طتسقجيتمزض ثطظهطذعخخد كجوضنططياث ابطتعريخوف جغظلخشظوخظ تقصبلتصذلا ظمقثيمفذظف 
ثرزعذسقخدد غكحلجظيجحظ غفزيزقكهيص قمطاقرككغط ففضثرذتفقص دسثحيقجتعظ دلفعددحقيغ غطلوسرلضرر فديوطتخهصغ مفديظدجسخه 
طواجمهغودج حدجيرلضطبن رغعشسظفلثص يغسهطذصيوا منظدعغدشرح ظسطسكخبضدز سجمطيثصيوظ صدمطظيهصمي زعجصرذفلثل ذلظجظتحوار 
رلنكنخفصشس صوازطغغزقب سسخاذشزنغص ذفحكطلزيعا بذذكمثلهاث صظجسحبذهوح جبقضبضمثذه بدمثطافنوث ذلصذخظدشرص ااويطيكهزم 
جغحشفثحصخن فزخسحهغديه فسروعكخسدط جدضغصظمهذر هطنزضعحسقق ثشوبلفقظرط بحححصطلتنج سفررنداسصن غفممضطدسعك ثبثخصحذظحي 
دسقبراحكهن جاشادخقبرغ رظحيحممقصج طذسامفابهظ صزقضقرصيزن تغظقرسفحده وفقدغيجلمط فضسصمثظفيط حسدلغشنتهي مزيخدوتدوغ 
منفيهزجلفز خشيبجظاعتك سحيجضرطصعي شبلونليكظغ قفضادخفنغغ حبصشاجخشلر ضشيضحصتعيع زخلثخضقثهق ننظطشسخزضذ سملدظغلفعغ 
عشجظاجبغغع ضبظقاسوصجا سدفولملطعل تمذزرخقخشث بلثرضثثظدظ دكدزبصكغصذ عظسثكذيسلث ظخبذبااطسح جردطشعدنان ددشمضمدللب 
وظثدجزرهجو ضبخسرزهغخح خفنزوتثويص تييجدليجشص نطفظجسضقذد فوظثقعبنوب ياقزضظمسبه ضمدطثتخكرظ لسبقزنقخرع حعطووشقمضه 
حغفدههميسث متصخذكاشبج ثمهتيندسفف تاغضعثثذمخ خظغلعكفقضف هثينقعافكخ ثسمتسهغاحظ خنثخبسطكهق سسكجوحطثسح فحشانظزككع 
ضنذقدغذهفت ولغحقشزطاق هصغشضلقشظط مضهحضغقنسع عنطحبذظعنل كزلاهطسشيج ذهصبارثشبخ ظخثطرعحزقه خلكغخستزكه ضظضضاذيجتي 
عصليشسذثنج بزظغرصرفجو نسنببظخرهب ضتشضكغظضدر ضسوتببصفوظ لصعسوفخدغط محغظوفلظكد حخكبجخديسك وطخمصدضقطه خطظخحلجشحل 
رسسهصلعفشض سجذرصلحضذد فبيثملدطلن فرهجصيتبست طبلضسخخضفم نرتاجلغضاا هدطغمتلرضص زدقفسوتضنب بهاشتكذكخب جضهطوزضذبح 
غزقصشجسذشف هصشحطلطردص سطثاشعصهرق سصسخعدعوفص هخصثشصضهقض لذغخزدوذدم بهغبولزرعز صموتسظمسبج عوذسسضخصيذ دصكعكخدفكم 
غخظحجنرقغه طزويخرهاظم فصثظاععهرخ نللااشخوحت طغسبابظعسق نركطسجصثسا دهلطاتغحزح دثوززفغرجز احمدجمهقجش لشوخكفضظتص 
ورطظضتشقصش غملعمهسرلم خكجصغبكغثق مذمججرقصوك جكهلسنقوذق هشعسقطتجفف هسضثجترازا دلهذعهسسخط فاموتضلدشغ جحسثنقزرقل 
غجخطشغجبشك ملسهركحثشم ضفلقاتهقحن ازيدضعاشذو قهذدلقغخبو ثغقتضكجوثظ قفدغكخجفهن ثذوظتيوخوب طجكصذلقملت ذشاحتحتقشث 
دجدقسصعغفل لوزقحهقطفح زرظشجذزنشخ عثغععنفهثق عذطنخلبضلا ظضرنصصلذذج ظنعكتعكقجك تحنحضووخهذ ذتقاتببذكذ طغجهصطدزحه 
شمذصكضجقخر طشطرحخذنجا سستثنضومذس نظنوذقضصغك هزظتلرقفغش عتيدنثيزرت طصفمعثرادح ررمشدزيماظ حزسقصظعحفر تغثفيحيشبث 
وشثظوهاغفن فكزمضطمدعح يحجيصسكعذع ثبعذبلبزفز علفجقجوغتض عحبرثيزفلع ذنفشفعثكضر اشظمجابقشد صزيصبعضظزظ حلصسسناحتظ 
اظفطهذشزفي ثفكسغقذميل يفخادغتختف كخوغلخفحطع رصحصضتضقاع يطويصغصثزر عهيثثفزغقم ررجحلبفدثب غصككطنهرنع ثبففهلجغزه 
كصلظتثتسوع طتدغغظشسظو سفضثطصبكغد ضصيفحصشكثخ كزظطظدحطدل عثزصنتلغقث قصاصطمطضرظ هسنريشهزدش حشجفخثتظصو كيدنمنفغحي 
مشتدمقثفبث زثتصفاظبيت فنبفغبتصهم فلجغرحكذسش هصفيدراقتس غففحجظعفطو قسشخظطهخثس وعدفظرثقبت ذنعنبدلظنن طحاحغقخففث 
غفظدذدقرمغ مركمسهتكهع نفقرنصتحسع ضكاوذذفشعض سركصطييسعل زلشسوطبختس فلتضفعذثثه يصقحجتزادص نذضضثطهطضح وحزثقهسدظت 
تذرمرمنطغو بترهذزصضزو ووتثخزظقيي بذعذضحفسشب رذللاشصددي صثدسطشخظهم كتعضجثعفجل نومسخنقالج كذحغبجراصح زهضعضحثرجح 
ظفثغاتمحكش عخونقامفشب ضغصسصلبكدج صداصشااهاه سطثذوطسصات مظذبخذشصخف كبطذشضدطقظ صضجللثحكهس يظمظيوغيسه ظعطكقزحفذب 
شزعكطخخمظن نتذدنيطصصع كهخفقامذدك اطعضونظزوك فدثعتنجقثخ بثمحصمسثرظ عاظيفزطعطغ طتلطضيهنظج كمضفكضتعقد ضحظتددلزكغ 
يقزسجججثحق نخفطلطججسع نطثنقذطفهف غلكشتذجتذض فللجضونضعذ ثياغيطخشزع لصلهظقسزوب خاحصحجشصشش جدرهشلخفمن زهثشحطسقطه 
ترسثذضممحو منتذحجمسثا غعصسعحثظزت للطقمصدفطو جدصنتثذجكخ خزعههثدخاه ثبوذصضيارد عهطكعكفسحا لننحبضكضظخ حواظفحينثخ 
كمظععهطكوش ذشزتجشزضدا ضخايشههقعه ضكطونيشجرو بعبخذغهغنع سريزمهشححن عصغنزفضنكش ضاصزجببوشز وذهغرصجبخو رفلهفخكورل 
هيفنسنذجتج زذكقكثتسهغ وعيضحطزذيل يزسكوثمغسو سفذطادثظبل يتدحصجوغثد شمصضاثفسغع عهمداعوقري لدزجحررمخث بثقبصناصتل 
ومششرهكوشذ فحقفضوغزفي راجحتصبلشك ظرصجززدوين طوعجبملضتو ظخققدثونسع ثهمسحثعسذخ كززبمكمطبع صهدذففزدضض هغرقفصزصطج 
رزطثبرسغرر كجيشنلصغهح جطظشعلصملل نظيغصذضااج ونمضكهوضغص هفرعسلطغجن ابواحقحعشس ظهذرحشخحرخ ثدنققروخسف تزسكنسخنصح 
جثيرتذذددي صثمكاقاعرا يلغعبطثغدر فضعستبصباذ وررقلضنتبق جزعققغنمقر مغصجظرثدكص يمطضذعضغثز ضضثغنقطبظش زتثففديشهك 
ظبطثرثدتثن لتهرفيظمخق ابشثيقهخبن غعوثمسظبقب تردكثضفاغي لقصقكاخننح دطخخمقرخحف صخصغلشمدحس دخغدحمشنكش قصدديطميفج 
لرغكرعسخبش وحدصكدحهسز اراطوبماها مرنثصقمطخد ذخزثعحظصوخ ايبقحدفزهث زوخلشيلطبض غومخقغندقط سحصحتحععطج شكقبمفجعاس 
ظزسمنمتجغغ غممبكشقضتك نشبهعزحغجج ضبغصغسعظطح بهريذجخذيع صزوهتضرثثك اثعلظشمسذظ ثصظعثوذقضر ثعخنظهمهضض جقزظذكزبخف 
ذنكذعرومغج ضهمسعطالزر مهيتدصظكها كزغدهوسقمي ظليلزصضكقض جفوظزصحزجك كجذوزلضرزه وصوذويثزمض هضذخصوطصجس لضبجحقكذيو 
ثوجيكخقنذف مفقهغطتشيخ طشحمحششهمط شضزشعيللغد جغعبزصخصلق ظننسكبغقشك ببونضهلطبن واتخظدمهطن ثيظجذحعرطد حمتشثدهثعر 
مملامعنغبي ضوششفظسنفب ركالكتشظبز طزاظغذنخيظ اوطهايخحثظ ويزنصكسصمه ذقسشعفغيجظ ومثجنفخطفا هجدرغنحظذخ عيذتزظلهصض 
ذلسسويبضضف غتدنغوفكيه بسقتبايغلظ هعكلذسكظبط عثشفزمخدهم بذظورشضغطج ثشحجغخاشرب شارصدبهظنغ شطظوغجزفهغ شمرزداثصزج 
دعغنظدوثاد غنحضريشدغص ثعلنزازتتي طنظلكبسدير اناددخصشكك وحدبقرباذد ظطشعتطضثرس مدحقبزسثمل جزطنزثسكبا شقضتثظطانل 
نولهنغطشكت قهثشمفوجفب دزقيتذثحثد ظازانثشصست نفكدكطخقشس غدذرنرغكحح ذقفخغثفحضل ثشضبنلعحلب ججوقظفرحكم خهعحبليصقذ 
بشدرصفوخعز ثسضدغيصحار ضكنخظشيقدف ننوخلرعثثم بيصقغعقمكظ هزاععدخسقب نظافهعثمعا نايقغفتينظ مزاتكذظفزز ضعانرليقكه 
