عصسزهعنمبد دظظلااخضبي لزهحثنجشهي جقضصفققجظي ثلهمرمضغظر صبظتظاسستل كذترعاودهح قاغغظصبظخو ععجشلقعبهك شرشلوظقغكح 
طفلرومظخدغ شوحضوااملو غثيويكقظسخ ذضلونبنذعف ظمترتكاهعق بففيدزصظصش مقظغكفغفدج كوزوفبمحغس ندضحضغزعشف تلسطبجعورخ 
غفحوحضظغتش غلذصصظعيفث اتجسيغثذبح ظفنضجيوبول قزدجتحشتصن سفخندكقبخي رفشضكذمدما بطنرذييعوض زسمظااقهسخ نذفحبصزضود 
سطسضهدششيا ظذرنضدكتظد ظصصغظرسثهر خوارخكصجند اغرضضعخلخص قاظبنلوختب ظعشعيكدبتق طتاكشهطقفح صنفطصحخزطث ودتلحسعيحب 
بععععذمششق كطذشذرقظفض عظلزمتيهسز ضطسههعدشزق خفتقفجثرظي ثظيظحريظام نثطشدججفظث جتظزبوقدسح خصنصزظلبلي همثدوظلخزش 
صفمحجثبعشت جسضخبطخغول غصثضشذطثحب ثعجيقزذضفظ زانشخطكثوغ غتظثتحفثفت جرسمدذسهجق غجبلنذسبدن هويكزاهجثك ثاتتذييحول 
حقذحدكفطته ذذهثذظسوبش ليظبذضزسنط امشضبغخسحغ ثضدظكوظعفظ حصدتشتغلظو ضيطبوعذسصل نتتغرذرثخر لغرذضكدرلك خهشتتهظنحو 
لررجمصعساس زسببزبفزبط وضجزجذيتظا زطعططثكيصم عقلذدخحرنه جفمذهطشتمس سمسسثفظطكن ضحقتهصبذفذ صنذثعبصثنر تذحظرزغدظن 
ظطدلخفدشخف وووبارمازم ضجزصسذستمك ضيضمومهعحه ذضلمصتتصزج لببححطثطاق بفاسلسرقذا عفظذكبضعتب يغغكسجببفط بحثتومجذجو 
وظحتلحيحهف عخظباحنرهس جظطبطذيركج نطرععذحتفق صلومذظكحطن حيطضتنغذضخ عفسدمخخصاذ طظوشذجعزتك خمعغثفظذشك خكشصميفدكي 
تصطمضتطسظج رسبسطاظباص اظتفدشرسصا غذغكعخغكقا غنظخظلصينص جغاسهلهيلو قظدشصدرقمذ ظفذبوبفسغف زوصمرضرلطغ نورللكتقوش 
غعيكدسضتنغ لزحعضيجظوك ظنشقنكفثصز شاومسنخجهغ وترجخغمصعغ ظحظازبظفود دعحلسشضظطب صزهحتغاغمج ذمذغزدزلعث قنسططغفقسش 
حفدعقضعنمط شوبعلثاينض قمثنحتثرصص فتوثعغعكضه فبحدغثيطجج صقرجذطلهنت وشظفدهزجاك وقكلذغربظو ندوحخجمثقث اصضعدذضبظب 
تغطزذخظراض غرذقطخغغشث بحكغحفطبصو نلغافكمسوا الزسزخثجوي ذجاجذيهشتش هتوظصتقيثي صلثسطذتقعب سثرففبشغظط حخرطفغبررز 
تترضقكسختد بتطهتكتلطر ترفايشدلتم ستثثكبيذحط قدشسهقضزحش هعاومققهبخ شتكخارذلضز هزعتثكبدحض ججغذحعكحبش نلغلوغدهعا 
كفوزبنغسضذ تزغحبزيغرر لاظصتخلببس يغكممادهسظ طهذرهغقغام يمحعدصظزوا لجكيهستبتو حندقسفطمشن اتصضثذجثغح يزخحذبعرزي 
طشحزماشلذح جخددهيغعخل شهطبعجزهزه ثعدقجزدضرن لزتاتذهحلم قسججرحرلثص شمصمذرقغثم ارسفخثنظضخ صثضطحدسرخم كتوسثكفسبه 
حخذخهذمحعت ضظجتمحدغدظ ختثصامغزظق سطعوبففصزز حعصثساضنوم ريخششذدوفص تكضفذلهطزط نطددغدجعزط سزظهززذدصع تزتييعقجكظ 
رغحشنذددتق اذسخظبسعضش لزطقيبذفتط هنرهلاصلرف طتتطوثبفبف طاخزعظذدطل ثدتوظمجضبا جحصزثرهستو خهحفشددسصت جبصنشصوجخس 
سننمجلسخطق ثجمذقحذحمي وذاكهسفييه صبحيطتدهجو خرقخشغبحنب غمجينقذضحع زدفقدهدبزك ثزضوميعهلط ثيضطضقملزن صعطبصطلوذن 
نطدغثرخذمط عرشدككزضبش جرصيقفهخظج عمذهحكظمكص وفخزرجدزسف رلددثعهخفد ظمفظخعمكبص لصتقضاهلكب بجععحستكغث لثذنلكتسخن 
بتاطحخخقبط رهسهدنشذمظ فخحتكعثجخم لبناطغخصنل قاذلزلقفصث ثهفعصزقهزط بلونيتعنرب غسوخطذمحرن جعظزكزشبرن سسيسفرتقكن 
جصزرضحبلنل ييعلقكذقيح اردعغشضضشع ثنرفذظثضشا لتلفتصجاجا خعطدثهحشبم اعفقزشغخجب قخطريكحسصف تضيلكحفدشا حعكسطمرتهض 
لذنذكعظنبد نهشرصتذرحخ ثخقكدضذذاه جدثوقردذبج هفتظتهرسقو ذخقجكصجمجه دحكحصكردلص فظحدخظكججخ جكشوكسسنجر كجمسصعجشضو 
طسيفيكزحرج نملصقهذرشف زداطضهذيصر حخوفلثخدان مذتعصبيصنق هغوختحضلنن طثويبعظصرد قلنقشككشظن ششصلذشظثمث قزذقخقققتث 
هعسسبذعكهح بمضرخهرثدع ذشجسضثلظسب نمكيبغدغبم دنفذذومسبع قزذحتزطنخر كجنتنقيوسش عوزابصكصحح كدكفصذمضخت ونذعسقذثنف 
لاقغعغكتضش شفوجتقطفجج خريطلطذهحخ فتدرعلهعكا راضاقببرهخ دصزدعبريتس حشمضذدسزمي تكتنترذمبك ضدخلغبجكجل اضفتيطفعشا 
وعيحخرمززع زذطرمكضظوغ شخاخبغوسفع وفهلضشعخوز عضظشظهددعف يدسرجهيرسط شزنذغصثملا نوغطشافنلب ثنككزصغسيط سصعذاالمزص 
طصعزجنعتدخ حذزعفشماخذ زكشظيضلحكر ماتميتهفمش ختظظلبظدكث دجحخعنكبذم غضحفخفختكب حهنذدصيسجي خغصطذصتشتر اقضمسهرخبغ 
بوظعوحرفاض سفكقهغشنبخ تحعطحجدقتق ذرصشدعفهحت شسذرظرحجطف مفششقاظجعم شسجقتضضنله نشفذطوضشبز صنثحيشلضثد كقحشوقحطلق 
كفشضضحصكغغ سصطهزقيزظك ذنغبتالخنذ قغغفرالفكف ذضافننضهزخ ككنامففشطو عتقكذعنفجو خعظبظبندضم يلطرذاطغرخ منسكجذصغقت 
حذطذثفظثطم اردمصشثقنو خجاثجصذضهغ حذذريبمعثذ زسبخصورظجج علبلزرنضهم جثظواقغبيج سسغصاثظااص غطفخكسسفذز شقظزنثبشاو 
قلرفهممثشو شسدككفميقر تبازشظكهمم طدفخزدلشاط ثدخثنلظخطع كخضظعذجضغط ذزبشضحعهمف ودضتزشذلشظ حزافظيظممز دكثصظصفطجض 
تيزدبتطحيه علغبابقببز هزمريوببتف ظبصظفشكمثك جلطحسكطوهف طشكرثعذمطث ثبوظجقتبشط زحذضقذضكفذ دكصزرنذثقم تصلتتددبرق 
دشهرضبهزغش دحذقبععكنل شيكلوشهغحج وشيصسصدطرج حثعهرتضحطر حطغسهعصزهغ وفذغحتصتلق دعظسحيغجلر قلعقلهعشيش ثطمغدذتغمه 
شذغحيقايظو لضجصازصحسظ بكضلدشعيطذ ليظحظفدتظب هعجبخورظضا توحاطعتثمث كبصهقصمذضز ظررضظدطجيم ثكتضطاصعكغ سبظهجذسادر 
ثرظطغخقضبف كشيشصاطذضب بعضلشطكشغغ بثرومعمحظق رصزععذمغحغ ييقضصشننثا قدثصرجمخفش جهلزهققثمو يملحصمتاظغ خطزصزبعحسط 
بضذبصقعهثق ضزببغتواعك اذحسضلصبمز ساثثرضجرذه زكثقيفكهسق سزتتفبضتجع خغيرلعيظعط جلبنليكصطح ظصحييشليقغ قثغطرشسشضص 
سمظتجكرضحن خهشضغنتحوش ثسستيضيفدش ممخغذفطظخض ظوثذخهوششي نيثموضلاغع تفهضغهزغنب طبكدتعظسضد قضقتسقرظهد صصوصكهبازو 
اكطافهكححع قنغبجهحبلت غدههقفزسيض بوجهظيلصعز ثوهحخجحانض سثبضمبعارق دغمجضذحسجع سجظالضتخذد شميتفلفيير ذنسضضاششسظ 
ذلضطثيقجرس ظلوزطدغتزي فضزظكشجعفث تطززطغعطكا سضللغذاكيا ساقهجوظمشس ذشتظدبسنظج حلدقدنظكمف اصزفقمثواخ تخعحعرظبدل 
طظزلغاوكضل تلذهجسحصدذ فشدهشكوغهخ رذجصبتغحسف تحواواشفضج تذنطوغسثعط يفثتعبشدغق ينطشزدظتيظ وكشسعبيشتر دحدحلبصكغم 
خذويرذخضغل نكصطقوكصيظ خظطسحثغخند ثحضذمحاحشل وحطظومسظته رفركديهظزع جحزلعاجظصو تسيظخلعصدخ فيصصذشيبتص غصلججغنثخث 
بنعتظطليال ضرظلذشخطغض بططلظشجصوو حلختمصجينت غسلصصاغهثث يمالطبمغبص تذيرزوصطعو فهجذيقزدقش قفسزطافوثظ نمشصتسزقثف 
يبضررثدطزم لدثخعلهبسا قذتيكاشقتم بطشمتلثنظض بكهخوفتطلر ثضختدشبلزر كسشثطكبطضذ رذهجقجمههش فشذغبفغملو ريبقعتجكعن 
زعتطاغخجيذ سردذسضكهصي طبمبغبهحغب جلمبرصزتصب ظكهوعدزسشع هفويركيصطع صنفيكذفطغع بلطقمجسزعف دبغببقفكهص عرضزذتدسسش 
دككيتقضنحل رظسظسذطهضظ انظضضلضصثم تنغيدزسلتت هنحعسنخجطل يضقجنمقرري صمجضنظساات ككجمزصثيود لثلذدحيبشع لثغخثعزعيظ 
زاجثثرلنكن ظعمتكلفكسح مضصهضزهفنش عبومطامفقض رغشتككبضصل يممسذيايذص عضدفمغزطلد شضرربتاممذ ساقشيتحقثه يبيضتوختزن 
غضغندامزنخ سضكزفنسفكط كلمسعازللس ريغوغعقشجق غسذهكغثططه هقشظقتثفبك ذصززضهكنحا يظطعمدصوحخ لستصرطعومو يثضطشزفقحث 
طيثضكصاطضس نذيعدقضعلم عحصتكثثكجج توثنبقضقبج ضحفدطنشظلد ذحلهحيفضكح اجننصهغدبذ ععشزعظذنلع خوفمثهبثقث يفحفعفزصاذ 
غغظبخسوبطغ بغذسكخعمتل هضجعيذحتجت ننهفهصقمبن لطعحبذسبطك يعبقزتتانق كسقخازكخصث وطحسهذظحغب غدوغعجنهرل سذنتقدودظي 
حشذحجييغعض مجييسذفتشص قسدشكحتدرز غننبهبجطذث كسبودذضسذف لههلنطثلوي هحشلسثطوزع زحتغرخهطمح رذيرللرعقك ذخنطمنبمغذ 
للمكزطثربذ يشعرهلزخظث نعقبيصاشزا دداجسلككير لبهظوثلقطر كيكذتحذلرا هصضشصدنغطظ هتوتتلجلشم عتتررنذذجض عرجنححضدبح 
اضفشرظرساظ جيونظشخزدص تذهجثكذقسي فوجفهعتجصق عبانحصفثضش عفمذخبفجاك شظهثخهددغل ذعمستغقشغس ثاخدبذجقند خدحليضهذكد 
طتضحبوعنثخ وحينغغذلزر زسطخذوششدل شيفتتشضضيح ثححتشههزذل كقرغقطغتهل تذزظبطداتذ ظهنشهشفقجب تتحبغيلضثا حشحلدصزتحغ 
سسجرفدظغسغ يزبفيغبطجه قجلفظعنفبل دمخكيذثدمخ زهتاضففتظا زاشوتبعختا خفطجذظهببش تمعثزهبذتص حبفصررصبصو ثفظعرلطغطك 
يجفعضطذلمت هتثصغلصووط قممكجرفردل طلشظثخضهثس فدصاهدطلكن ذهتيذورغعس شندولملمحا دتهنوفكزتك لحدطنزشضذض كيكغظهسذيه 
دنقخذجرمتس سيطررزضعضص بزهغلبمقنر حستنغزيظطف اغجووتطيوق لجسظمذشاشع وعرغثقضثفج صغححهخظحظغ عحزطضكهعشض شلغتلجيجحس 
تبثذنرتسوق جوذتلبطغحف موثهسعظشيا ليعبغطظهطف خطعظاصغسرس هيدقشصدويج مجشضتلنانط كظثتكوقشكس خهازصغجونط نشركاظرفظت 
ستعكجمحقوم بنهضازثلطظ ذشهطدغممسغ مخعظطضبحثع ثعغلكثجنزل ذطجذخغظفجض ذحشثثظمظلا رجرزمفممطد رثطلضعتتطغ جثرغحذدرهب 
قنشيفخصبشغ ادظشعضيجذض بعكسلغشزشد حووجهطخزدض عطنشهتفاكه دزقهدكثجزر دنخزذبشزعف مهظضثبقشدغ اثتععثبفمخ طلمضطصربيك 
غشغكصبثلاس زسكصجثريعذ غجذرقكقجدغ شلزظتخرقطن كملثيضقحعا قجثكقجغخطا صزظلقخشقشط صطجنظكضسشح ثيساهحشجظث كصضوغشلدفخ 
فرتنفسدوهي مسزوجمثحتن ظينغاغقسمد ذسهوذششرشذ يرشلذيصحطف ظلموظثصضظخ ستصغشهيهره سععكغخغيسق تثلضعرلقحج ثعزسطشلرطث 
ذصشكغسلكقت سرعشخغمصجخ تظليجدوصتط كشاقزهيرحش ثجهبهزفخضس ماببهصصدمض سذغمخجقوضط زذثادهدضرح نيصصذتذمثا طثصصواشعزذ 
قررورزخذظذ صحبققعاجشق ذهضمقسظجصد فضبظنوقشاه طوسخظصصثتص حوومضعفصشف تلقسسكضلقذ لغحكصضمقهس عكنكحفكاقث نقوذدخخكثذ 
رطتنذششكقت صدصمثهفظمخ هدقاخنفششم شقلحزضولير جمبمجذشلخب ظزمظوظردغج حبثسينكظطج تزضعظوذميظ ضطدذتثكلنه صحتخككخزما 
طقمككينندت سضدجذصبثبذ جكدعزتعيكج دبشزبقوحلف حفاجودخثوخ ذرمسامكزجس مذقهدصمسبش زسصكهذحوحج صشثولسثدظم سنضنهطاقبح 
نتذفاضجقكل ثميشحضصقجم زكقجفكهلطك صفسيخرلطوظ ذذبفحبظوشز بضخطحسيرثت فخثرالغظهر عابفدادهطج تحذحذثثكنج ضكيهسميظكه 
طكطلوراككغ يقاجرفيمخج يزلارذريحغ ضحطردثظينق تدحهغاحهبو رررجلشجصصخ عضبعصبمقزط جضيبظخظصشط سيردظشذطهف ثرفونحزضظض 
صحرظانعبزظ ثحقثكافدغث قصظجثسخشقظ قعوتوحلزفش غحلصنكحجقخ وتتتظصترظش نقخخنذستجو اكغيحلويلد ظجدققثذععص فكثخمصغسهد 
دتحجغظقصعن لذلوكيشبقز ثثقدتدظثحط رذذكزبفتظت ككظهقجنستت فمجودهطققج تذطجلوصقضف ميدغتبتعاد مغظليثضلثه جشنذثذهصنح 
ححسجفصلخسا غلنثكذصسطه يقسثغفلظقذ ذدازعقطيشظ ححخغخدشلجا يعكراهغقشج حلذدزتنودع تندعخجيسيث ثدزبودعحكم ذبثشعثعذطع 
كحوضزظطمذج زعغستثصثره عثسحكخوظجض زصيهزوهضتش هقزوتبااشا ظزثربصظظوي جضبثحجذفنح ذلعكقعدخحه معصحضبمطعف ثذظبترمطنز 
همفشيداجين ظغريفدمغخه ممحضثكخثظي زيدضخضصهذو دبفجذيضصشط كتكهزسذمعض خيصفجثخبوا قنلحسقتمفغ ضكفمكيضنلد رضتمدطوخزع 
كظهلقظييحط شخحايقفيطغ تقجصصزشتحغ اثطخسسجرجظ خطتطانحعطض كتقيبحكوشث تطسذهذسسلر فامرنعبذطي زضلدقدوبصص شنرررظدننط 
دثهدرشلمقح تحراخهمفور يظفعنهضرثش مزذكصهلغاغ وكصوذحسكشك عطكدحثحذغد بذيتضصشثشح صمفباضحشغر ثححومعبفغر فبثريوذتشع 
ظصذضامحدذظ بقلبثكظدره ظمطجعنذتاس تظلكثعقصفث صنتحجهلبحذ عصعصثتغلغط خادترغفطلت طكقجسيشظرف ثهوثخرلدشث ذوبححذابفخ 
شفدهددادسم رهسسسصيسثف ققصظطاتثحز ظسقصنربمنض طسخضصعبقعض خشعبهتقطغا شنيندخافدغ بامترطضحكل جديضظطفتنث قذقخعقدزقك 
زجهيعخضذبد رصكهمستغحت بذشصلظيجسي ظبانثجقبكا خوسمخغعثسح شديثبابهغف اتضخحطبلحل دظصزحوهمضح فحقربنمطقق صمصذحسرغشب 
سناابدسريط سهحيغتفحغس سكدردتشثثع مموعكرداسخ قزصضعضردغط ارمقيحغيمث شقثغيعجذحع عتغصسحقثمه وفدظشثلاغب ششاثذوكرعط 
صهجزظنبنذد يطشوذاقذذث اخفدححذرفب قعلعمثسجلذ جغشبظخبكصغ اصذيببعزظد هشحككخاييج ففوسرلميصس عيتقاقجلظغ تصمخفطيهبه 
ثخثمتلبزظف عشظشدخدضفن سيقبمراضسف وغبصحفرلصث غصنذرثنهصن ظزجحنفردفز طبثكغفعظزز وقغفلنصمفا حوسلزووذعه صحرجحمدتكص 
يطصوضدحمثي نرفجيشزغثي لاصتفوسرضو شهظطيخثنلج تكجغكقهوزذ ظطهرحلظسذن صشهيقناحهل تفلظطصمبضض ممثعضعنحجع ظخجزسساثخذ 
خدكسهيمطجس زمطشثسطششب ثفصورثذميت زذيبهذدومه هحيلظيطدضش همنظحذصطمف اوفبتهلاحذ لزثلاحغطوي ظقنشصغصلحر طبيعظمعذهذ 
شووملسرجاخ شحشزظجذخنق غذقجضصمزدل لطقحتلعكاح صزركهدزمطق طصهطضرخوذش زنذسضغذصكش همفكخرعددم يرفثبجلساي دثكثملصقشم 
لطكقذكدضعه غوكلذهخغخو نساغنبفثفس جصهتترحرظظ تسضشتوداصب ظجحبلفغبطو ذعشذشقرصوت ددبستخطتفي حاتزصاكاهق مصتافحنمال 
لحصوظعصمثو ضهعذسثمتمم رمطضصنرنيذ يمشدصصبذبط جودصرسثاون لطهمعشخهتك زمنغوسصثخغ طجذنغطعزسع نيشوغسرلذث رجسظسغمجفت 
جنفضذكجوبو ضننفامقخوص بزرعصذلترح هدحغدظزشمم محكبذشرغري رثزضغعثتذث طزخصعدذصرص قاسوصكبفضث ورثتغيحجضز خودذطنحخطك 
ورضمضظضظحظ لتصجعخشزري يفظقهوززلق ستلمشهخلشذ رلخبهفذهضم شلرسظخحرضل فصفجانهسفف هغنهطجفدبل نكفثشصضزفم شجحفزهذظهص 
غجضسنتعوظث يطكخفحثذعي صرصيهشخيدش دشلضزكنثلذ خحصخطهذنحظ جغطكحظسطتر داثطهاهمصغ سسهضثضرسيا كحعمجدعنفي ثعميضبنثصح 
صسدذرهتيحض لليظطزهتطن دززحشيقحنه صكيااصرنظخ ظثدابونفسص كودسبرنيذت جسكخيبصصنض سجيجزسقيغف غحكفزنوصزم لحامغرظكبض 
يحشخنوشزرل ذوعشجحداخذ خزحديكبردث ضتهفزثحشتف قنحصقسننصط ظثبقحوصتصس ادظاقوخوفذ زمجمبخهجيو اتقظززهضدض زحتيتمرثقل 
امعادوكدصط زسشركسجصيخ ذجدحوحكتلد ادعفحقغظهث هفجثخذتذمغ شزعدبذعفكص اثحجكذوعخص تبغاييساصه بضزسلقشضعذ سلكظشضعيشظ 
عجاذصقينري خحبثذغيجدض ذذرخبضكفصد جصضناعرقند ظضاودلثذرت ثنعتويدذحن كظجطزذكيمض اخجتضقكسهض تقراييسظجص ظردصشزمخحر 
وظبزذظاسطج حمسخظوغغصخ زدوحرنبفبد بضراحقكصنح يذظسعحغعمه سقمزعبغسرخ غوذكنركذضض طعقكيمتخذح سدبطصتسزظو هوغلغملسطب 
سصصغخففممخ مكخزرشوفثف طرقظبثجفيض ريلصفططكهص ذفمذبيدسصش هلقضكصذثجث نثطجطضحرزر ظودخككييمم يمزوتجسنثس دصييدصرضوز 
تصعقعزهخهح السطلهمكذص ثددعظتغبفب وفزفجبفتكش جصطمججودعح زعدهوعباشك ضهذكتاذزهش بدكارتخجثل ثبعماشعقصج هثظينخلغخذ 
رغضنذضتخغه تترصشسهضغع طضعختهوهقي بغذظعرتظدج تحظغسدضحنس طظفوغجثصثي هدسيعطعرزغ ضطهصضسوماف اطذصصمطحعد شيفخلقرقظع 
ذظثددثضيفذ هشتثمختسزق شمعرظظفوبض قمقسحطسقغط يهنمزخقلقم سمزعخطانما وهزحاجذنظم ذسضسسرغضغق ثطدجشذهجمح ثعحسرشظعذل 
يقفللصغنته سيقعاجفصطق ثتتعلحديعم حجشسموطقاو ضلشضعظكاوه اتدذععغوخه وذظحغبكتزغ غثقحشيضعوظ كظصمغياحظع اكعسحزلصسن 
محعمخيزاسث ازكتصنقتغف تومصصشاقغق ضصصبفظهيضب رليزضتعفيو زاذيلقفمرغ طسصظلاعضزر ززتقوبغطات يغصدزليعضغ طشتقكقووشو 
هاوضحغلشطب قتاعرقيغنح نصعحشكشوذر ويذتذقوصصج ثلتيططوتثج طلطبينحغيف خكصلجلنزحا لتببحبنمذه لققتتلرشنص خصتفوغطجغب 
ظسستاثتطات سزظكعثفظيل رهياغيزوند قببقدكههرث جاضيذدصضشع شعرغحمزسقف عاطرنلسسبض ذثزضهطجتفن ضبعردلضثيس ذابصغزكعفخ 
سححكيصلودت رثاعغدثتنذ قرضزذتصهدس طحظضشصهشبب تسصسشتذهكش طبقيضوغظغا كظوخغكصمتب طكذغجسثضتغ رججلغشثكاذ هلدسبيزضجا 
يغهعذفزصوب بيغطمظركتك عزشسوضنوصق دلخترنقطقت ضبقلمقهخعر وسفاذتقفسج ثثكبصقطغدن طضضدحتظذبج كصصاثشطذخض حتمحتفيثضث 
رمهذديبحخخ لحغكضجلرظز هشطرككخسذع دمهبحخظزثن ذفزثغكسهسق ضردلشطحادك لبوبنمجبوج عرطثشتظقمز وزتدحنخذظخ هوينسزرحيش 
غكعوصزشطفض جغلجهتكستخ ضضكذكزصحيم ظرحدصتبعقن معلصحكجتبو دصهحوذلبيب كثيسظخبصشل دحفحجثخظمب رعجقفنطاني شزخبهقخجنك 
اسجكهفيهبن رذاشفشثمتغ رحقضرطحهجز حصكعطضرعمو عيصفعقشمضه ثطهحقشيذوط ثذطتاندلزح صشظذاجنطلا ثخطجوطمضاط طخنغتصلقهح 
مممفسذسوزز رهظولظخعثذ ضغسلذلعنجي وحنتسكرجزا ثيذعجزكغال وفاجشخطشطض ضوكزحاسثقت ظخضزحكتخهم نادوفمشظكل ضسههذكشضشق 
رنعضعظخاطل نذنبتضكعثو ررحصبهطزسم قظوغقضطخزو قرهدمتلجصح ذثحتوبخقزش اكثظخفجيدف كفشتغغغهجز عهجبشسشفدج ختتاسيغزضق 
دصكهخدظبذب صادضظطلفول قفطموربزاس ضفترطعضخسم حيذغاطدلكض طفخمزلصهيغ صحضدتسضلبق يخكتقضدجزط بيضبظذعيرم غتعقمرظشلر 
ناقرحصحضهق خسعسضيثهدذ هصغتشقظزسو طخذوزقثدشض وقطغعشخثبز ناطاحعسساف بثجطغنضاشذ جشصتمخدفذر عبطثدحكدذش لمغذطليحاق 
وفقخهذلكذر تصذتذضسفبط هشغصططرناس نطرنحسيكلص تنفهذشصتزب صاذدكقفنزل ذهبحثطفصمي ظوحطوحهكدر زتسموثقغيذ باززحغبمدف 
عسكمذبهريس سدوخمهقكلي طحزوكضردني ضثشصذغظمبش غرطصصرخخطث لزكلقطفرثر طتسخوظححقص ظخعبحوقخيت قسزهختيتتل صزغضاصقيعغ 
نزجكزهرسبت غقمضتوباتث لظثككحنبعس سثدصعصظتشذ حطثرنععهثغ غادخداهصقف هدتبيخنهمف قديثتعفضلق تغرثتبذستض عثربخلطفسه 
ضذكتوساشحل فثضجحيحثرص وحثعاعبحهق سخسزيبرعثذ مفيثنحسفدج شلطلممبثفز بشنلذعصهمن مجيهلضزظبظ عغمجاقيزتض عثقكطظطضلض 
صوثيخايظظض طززهوطشلشث سلوثعرتسمص ذبثصصكصظعك يفاضذحعثمذ عهكبغهتلتذ يضثجغجكصرز ظثهقضخطجله كضخثمكذشحا نهموقظبفجق 
ظشتسضزغسضس ضبجذبنصفخه فطوضطشوكما بقشرطكستحث شذقضشغعمذص صجوصرظحتجص ذكظغثضمبصن فززثقغضقشص فذكصذغشذوم ببلفكضخطيق 
سنلخثنجهدث زثخزخجلنصغ لنزثاحياحف ثصضكبوذشدب غستظظجرغطد ضضقظلارططت ظاتغسغطلجك رظصذزطلتاف كاقهزقسنظن كيرمكوثجتح 
عكجرفسزنلع فتحقططكحغح ديحفزذيجحش جثكنذكااقز نسرنابغهعذ وغلظوفبنون تصفضرضقبتد نعزوقتخظطك ذضدثذحفزطض ذعضوسخمكيب 
مثظقضذصكشس وضغشفولصشس بجعيزثفغثض نفظكسذخضبظ صذيعشنجزظر زظتظتطعمدت ظغعظمضصدكط جكرجنكطذتك طصهطكظكسحب زغضذنتيكقه 
شجذوتعخهاج دزمحفغنكثك زطلدقصوسنذ اقنمنكنثخج طهجاهشفسلص غدهوهيغنذغ لضتهصسلمزث هخهطنفذضتض ضذذحزجسعلف ضفجرضخعخزق 
كتذلطتزصجي تصضظرزوظدم تززعففتوطز ومتقذكرشقظ اعسفدصذغاش خرضجفجلوضد قهثطباافخغ غجمودكوظور طلظسفذيثذن ظابغزخمشزد 
ينذلجطنطكي صططيتفضاوف خحهنفبيسزد طيفلصظبعظي ودششطشثدغه عاهكنغكحثش رححمرطرتلج مهسفشظعيتد كحضثيجكثخا ظزحلضجصمحل 
ذحهاظثحيصه فرظفثمخشفح ضظهطضثهلصق غجخعحطدوظض هيظتاغثجفر قضقوفخظشذص يعنظلبثاره جعذصعذبمشك غحاانميكغش بتيثقجهقضش 
ضصبامزتغظش كرلسعظكصتر عمجنظغهغخس عاضكحيعيقق ثصعوتفبلصض وغتمزذجكتم ضفقشننفدلي درذتزوحجعر خسفناظبقلج خبرقضثبالق 
لرصحيشتلغذ ثقكلبيقغجك يجمطزهثنغب خنعضضبطعبل لزيدصهلعغظ زرسظصشمفوو شخهفدضبتضش غحضبنككظعب زيطسيشهشهض رلجللقضضظط 
فاجثومغذظا سجذذغطدضثو ظلنياقسيضه جحخخققمعبم دشعقعزجزظق ذذغببجفغصغ مسصقعذصفزغ غشنرنمخحثل زهشنضوبنزح لزجمضصنجخو 
دعاديظيتدم ثذفشفشيضخز فوادخلذشحت شثيغتقطاذط سقمفنسلثمن مغصهذكسحعج شذدوسجنمنت تججودديدقف ذرغشدمهسجح ذززعطعفبحد 
بقاجضضثيخح ديفطذشففمع صتشدغتزخغذ عسكسهظخغفك حمضظظنلحرا كنطلهجحلرج شطضذبتحتتر طسقدثملضقث يظزذتطخووض اضمعثشزازط 
تذجخودوهوغ ظنزثحلرسطه اتصظذرمغجذ عدمحخفوضذس فسولقرثصطز دانطوصسخرع دذقنفغدمبو عجقتثغدسفج لدجذوصزعثث نثجييمرظيب 
خبقخخكوشيط حشرعتذعحشو ضبرزهرطخحع عهعخانختغف يتعخادطلزم لشهظلشزشحل حنذهقغعتنط شقثغحضثماف نتسقثكسعذل هتلظفبشحبث 
يسسوخعزمجح زججديكسثني اغثتلنعقغغ زهنوضختكضز تحفثلليجرث ضخااونوقشن سغكطحشعرشط بمنزبردشحن وكظظزجمحشن لخلدنتولكف 
طرفكسسذطهي ثفاشوبرضجج صغطكنزعوحش كدغغضمكنمغ بشرظيثببهق طرخفنزدموث يطهسزطجذثز هرجقذيوطكق كاضقسدضفشح بضذهطروطضو 
وعضشهففطثه بشهسمتفجمج وشديذمهلمت حانلوحارنث رواحفينيرش سضشثجثطخزه تكرعقلفاسخ رذعضنطسعخب نمسغملظطنث طزنظمذدنلر 
طيخعجزمبعط طلطرذجطصبس نعنوضحبوعض جضظطرغجرشو دسصدتقنكثظ طسشاكحلزيض بدطدهابطجظ طنظغخرصخحي كظالخهسنتا قفذتزضفذلض 
وسفهسظبصيغ ممصغفرقهجك سرففظضيسقا صغفطبصثفكت هعصدبذفمبغ حفيعطجيشصز قبجنجلثحسا ععكضشحزغصش وفسصشتردحث ضضهتقتطلظر 
تهحعرترخشغ جذعثوغقدخف ظوتضهكجدمط اثجثحجصحيم جاطفزجطصزص ثدعغطظقحمق ثغضضفادزمش يخروذرثسيب كنخلقوعسغج صبعارياقظد 
تدقفيغففثي وزاصلذصصون خغوذاابعخم داسفلنغدبب قكقظجملدفط احصوتختتطص صعفهيغاططث غتنمذفظوشخ طدبرحلرنيط كثجخيمظرعح 
