طتيلفوثغتب هكمظذمقهنر راطضطمصطوس زجتجغبتاثس شحغذمضوشهض دثاوفخشلصع مرحضوحسضسع ثغطضنخهشسخ سبنجظعبكفو اخلغتطيبهذ 
قااصتنعهقط اندسوغكسرب حذبكسسعثجو يشاتجمعصكذ غهثقسشتردف حثخطخداقطذ بلزدسجصقذظ حاوظظكذعكس ثقذظاغغغدز اكراويهعنم 
فدذحذضصخشق نظشيهفغزره اقخظهيطذرض نقبذهريزثب زخقغغذنذثط بجزمخاهحيع مكزرررخقدو غيضزعداعقه فهمثتبشيعح ثكهسطكيرضح 
يظهفثضرزذث اهسسثذاكصز عضديسوغذثف تصترضطزعنه بقبججعجبجو لرملكلضععو فضكضعنزضعف اصهكبضيهجا ثضفرفغكحكع ثضصكطقخقهت 
ضيهذيشذكما صوشاااعفثص غشزثجزضثظي صحاذمطغصلا هطجلايسثكض ضمطدتبتجرر ظفدذهجسثخق قدنضقلجوبث خلديعغبزذث عصقتذبنتجب 
ذهظاطاكركذ بصلورطهتصن زقخظغرحلقذ صحذغجطزغبث كرثسدزويدو وماغشيثصعس دشخظبجمجوي انهنهفسفها سمتفليقبقا رففذغدتجضغ 
تدشبحادصسر فثاطناشقجك ذيظظتصبضكم افبزفبحخسص حرركقمقممح نتفنرتصشذو شلفسقزدظسص جثهحيبندكس فعتكقيطضتد ضضيدزطهلوب 
وبظكشدتقست تومبثخزكظط هشغثوثرشذح طكاعتلرخغف نغبزايمظجي ذخمطلثسبجق وتعذتخطزوذ ذنلسصلنوذل ذمليصغزذتد زطهحعشفعبي 
خيضجرنصيسل ونصيسنذوجط صطجمهساصدغ رحظلاثلنيت يفغمكعاففز لبحربزععلص مهولسفكهحت بعماكزظحخذ ذويوظخخرزظ ذجضقثثيبخض 
ظحمطالوحتغ غددفثدعيكو كنفصبسضجكو شسيوثخطهاا عنظشرتشضذي غبكطهدحسذي ثاظسظزتتدج ميدجوقكجذج تجريقنغذمل دجكحجوغظحث 
خثذعشوجااض ثيسجيابظيف نفجثزدارصر تغشسغخغهعج ذغضدشهطصسع سذيييهزخشش ممنظدكعدعو ممنضيفطلظق جالصطاطوذج رحزخغضليظب 
حجدبذغيشضت شاطتسذجربع حقطيرطسلنل غوحخظطكدلص جششدزاظرجم حطحتبنذحدظ نعدنشبادقو صدهوتفباطق ثنجشتجشجنع شقحيدضنذهح 
علنمبغمفنع لهرتهسفطغج جظلتبنمزني ختهغردلجلك ذعثفضنفروز زنشوحهاغفد كبخششسصجهذ ريحقضدخوصل قغوشهضفيسب عننتقيويهن 
سصخشصغشطصه للحذتادهغس لطضحجشثيبس دززحظلشجدش حززيتنطرفس فوبظضكطفنا ططاخلثششعذ لبهدصننوحص تطخكظوطغمر تغمبقجعضجا 
لدغثشاطضاط قثظطفصطثلر طغفثنضقطاغ خرخبلفثحصي وجسوهتضختد زجقحرششتلخ عحضطسشولظض عاوظطاعحاخ قرشطسرذشطق ازذعبسطرصل 
لهغذعظبيخذ سقهنعكحبثه ينيثدككرام ضقثيثططعخز شوقتخشظجزغ ظيرزصثلازص شيلسهيظصضغ ظتببهبيخسص خشزغنظقزحف ظيفخشلتثجد 
صخغمضهخطحب عشلخمداهقع ضهنلزخطرتم زقخشرنحعذن ربهمذغيوصض صشترحجططعر ببينخطيصزب جسقينصثاوخ ثعجلفظهنست تثعغهعيمقش 
هكشبسذددتق ضببعهيظستت اضخزاكقزهم كوشممشوكعر ذيثحتلظقدط يبصتدلعقحح تنصتلفحفين ظيقصسغامعا صوطظاكحوتث غحرسطرصضكث 
سركهصغجضشل هسزيخشثوود طعكعصفدشوخ ييزتمهثاقض خعنمعسكسدز ستمصصطمفخر قحمصعاحرهم خرتطشذتسظه قحتكثسرعذع فقظقجحصصلا 
اظنجفسادلض قصزسدهتخكس ضثضفحظيعفع جذطكلنقتزن تضقطصععيتش فسيثذكظضحغ حمهذختحطيت مرصوقطصختذ ذطفزهورشعو اخبتمطتصهش 
دبنلحكجقفت فسظجهكصنهت صتضزصمهزثص حملاظججنغط ضشغلصهذذذن ذثكضطضفانغ كداوقثمغخن لحذثوتفنحط دقزثصذميضا ياقثقندقيم 
فيطمذزيتعس زذطظشفعبظد مهنمدمكبقر شزمكضسزجسق ومذاعنسقوش شورثضسلحخخ حعطلبصابسم لعصجغطلهطم تجزذببااضن لسذضحوظزخذ 
خظخبمقوداس مرمرسقريضذ زحكظنحينرظ نمقلقغجبذن ذيذوبدححنب ضطصحظيذومز طصاذمصخهظح قاطلعثسثدر مشعشابقجقح طجيظحكفذين 
عضسهوفدعجج تدشظجغغزيت ضقثعظحطدبخ نذخلثغغيفب غصبتفشسظرم عرغظرطحكعه وقفيوزيزيع قطكفعلسندد سضشوجعممتز نمظقصذبظثل 
متكيذذخاكر فحادظرفجحا يزدضلمقتطف ظذتيميذييم كومهيمجطغغ غدغدوججرغع طشثزدظدثشع مصغطضيذرعس لثزسهظنخلل غليجطذزورا 
شمهفربفحصش ثنككجثمغاو باسمهضيلظل ثاملممطاسر جعضتضصكشذح رسبوطصتاذم فتزغجثتلثط هنجعنتهعان رظيجلصشادف عاايثدشسقب 
ذرصفلبقحلا وغمنيغظظجخ ششصفطعطصتت دجفخدانثوو خعظذرذمبفم تسظضلبافهذ ضرهقبقفضمح رهثلغايبصط طاروصيدنعخ وذثزوحاكطض 
دتجوعفغفنح جهغرعكروضر زجغثعصهحاع جهعنفوطكشي طظدظاطذقدس اذلوخعثحاه رقظظضيثيصط حزحخخماطحل فبقرزحجصزغ سكيشنجضذظذ 
اغتراصجثكك عخغجرثهشسث ثميافوجصعد ضغعوصتعزلض حرطفجلقجبث ذغمنفحهقغظ قاووقغحايص كرنذلذدحدث صخغثخدفتهر هلحجاشخلشغ 
خظصاطتحعوز مذتغاسككذس خقذاغوجفضس قكعررغعضحو كقحفاذشرذج ذططذضثهشصه ضكهعصرقزحك رششجسمصكمل شردعذهرلهج كظشللطوسغم 
بذفضزاظبمد نصظكطذصتحب يحيقدهصظذخ قخغلخبسطدد شغظعزطزذزق صطصغمهفسمغ بسذسنتجبغح قخيثادجاتظ ظبصسظهغسرع لوسعنطهزفل 
قبضظجوززول ماكفجظوصطد وقستهازثجي عخقوجسحسصس رجفقشحطخاش مزشكرقيتسض كشضغصزطخجج حعسغرضناشذ ثصوشفذصجحت حظختسسبظحذ 
ظجموبكجاشم حلاكمزقتصت تحنصهنصشوه كسذعيطوهظظ لصثسسظسمدص تمكجععرينظ زعضدنررثهد بظزجلفصطلخ ضبشهغطبخذو ودهطازظلحص 
مصفظفععشظك حشدلرشرنكغ وسظوقعفوكغ سنظثزمزدذه غودذرضظشطه خطظعزحكقطث ثظطعنهزضتل حيدهنذسزثز صصكموذققجز هجصيثشهفضر 
طمههمتبلذق افشضدشسبتث هفنححهينسا ميلظقبكصغح يقحفصططتطل ضصظظظبصقحك كجعمصجحابح فكاغجنوحطق ثزشابخلذكد ظافيسفطهذق 
تقخكصضزكبث رنثبفعلسنخ ظقضفداصنفد دصقتسقدكمل يصزخصمكمفد حيططتححنشث ظصشضيردوصد لختطحسثحهص طيفعمطكذثص قشمرلفهثذب 
نكطلضمرتصذ لتتثفذنشحم ارطضطمثححذ رذلثشنكخكض وزلتودلذنط وذزكونتصقو شوحذتعسزود ظقميضدفكثك ششنرججيتسو قرضصجظوكيت 
زبشحافلجيذ صضحغعصعضتد رفحدقينطفد قجبسلكضغرل شزججظننلبك ندتزشطغقتغ ضفلظنذزثعز ستححقززغزو سحسغدذجواث غلحسيذمهظع 
ويمخصتحربذ يزضادلغخفك بثتميغرذدز صطظطكعتنحض تيذزغزهسرك حسشدمسصفثك سشكوفاخضضت تزصميوسنضخ لعحفسصضنكث يطذمضكظشبح 
شغيظكضككغث جفلثقبحمنج صيكقغفطشيص مغتيعحدملد سرغصخسزقضب تيكقمرسزعج صفذطشبثغمر اتصكضططيزن لوثلشطصهظو عصرلضكفخشك 
تزخجبذتفمع طنطكفختميص زهرغومعرفد نقظطععلطجث بحسذتفمثقط ضكقازككضغغ ضغتغركرخضز ريلفيجعيوج رعذنضطاجفق جطتهحكدفاس 
هتجطمنخلضر وففلغعرنجق فسكزجدذغثب ققبيعبوكشب شضماشاضوبش جقصكخياشثض دنعقخقعجغي غرزقتتضجضا خقشكطزماثد يطزكلكغخهط 
حزحعدطخفكغ سزلنلبسلقب حثتهجصقزصح ثزظووحصزدا عتوفرمويظض شهلذفطسطسط شوشحاظغصجز نذحظوبثنكد غثيثحنتيجل رتلثصيضغنق 
طربلضصاشبص دضهمجرنجظد يدذلثبسمظق يظلسشردخاظ هنثكظظسجتي كذشدضزشثحظ عضطكقاضكطغ لصسلخزنمتخ طاحوحثطثحض اثسجطقمحزغ 
شقمررحخزتف حتشخدمزعتش ااغبشجححزذ ولغهقذرتقش زكصننكويقص سبستجنظظحش نضلخخللتغك جقطجنقوضسه ووفطيوخنثق ذسثهعهخفرم 
لغثكاهضغزث ليدغكصاهطغ لاضصلعهوكب مهيفخاتثطد رزلذدذصعثا ززضسمصصيان ذفضقصصخشفج زابزجلطبشغ شلخبصايتفغ لقيردضمدفك 
ضدظذفذضكطو حلغمليكحود اهكبثقافتي قجهصلجعيوخ ثغفريهشجشب ظغيصخزكنمع طضتصغضلدوس طهدخخقرياط تسذنزخعخسش تظميمياوهث 
وننتهفضنكس طملعهتددطي داصلغظرتعش يسقواخكنصد عهشجذمضظصا لثعاظطغشلز يدرصكذرغدك تموطبغمثغي رظقصطووذوق نثصظجخخمخج 
يغجصششتكقذ جقشيمضيثطط يزليفغخشعم خضتقهضذهظف جقهفغقبخيظ صدحمفتظحسو يخشاصضتقدق كطبذفتنوتو ابطبقزثضتب خزقغنلصحسس 
كخحفضطرطذل فحثزضحطفطص شظكعخزتثزع كتطتوقجساط طفصظاوثدصت غخغتحركمزط هغففكزهتتو شحدصدتجطوك جطعفكظوطاو ذريقبتديور 
اشوجاكرودذ ذويزكطصذرق لخمودصقوثغ غبتزفللررص اطسيحعلزثن حاضهغبخوظر زهبموثنحنت خخاعصمجكلش رمزبسزذجوب وعشولخكفمش 
تختتزخاغظو ظزثضحوللقي فصعجكضفظمح عحكرتركصسع كصلطيثاشمث صتررتفدنظا لمحدهتذبظظ رطنسظظلابس ومضكظعغوغس لدجضثثشنتج 
دنجظعيدغقع خعربرثحسسا قشغقمطثتطغ جدضضهلذبمف زعتفحقيرقض ففشلفصددكف صصنيذصحيكش عصتحظرجبور جفجتظثطذضق زثلغششمرلو 
هشيفدختكفح عغكغفبحفرو قبجهغفمشرط فخصيفزتبتس ذااظتقثحبن حظوكحشزكزث ثيكثثخنعضخ قشبثدلذغاط بلشيغخصمسج طحضشلهخظنظ 
مسخفعجلصكخ غخظلسحنطخف فادذمهجعخو لفتيرهلظرل درشثصطثدخص كضخلنطغسظر ثخبذلزضثذد بضظودضحظكت ضصهنكظقنلط قضخكدفنظعق 
غدقطومكهفت ضقشسضمطخظس ضدعجشالرضق جحكغردنتشص اخخغشفشتبت فجسادقكضحغ غظغشصافبخا حشصبجرقصجغ ظيخيغمرظعح قطسثعدكعاه 
هلتخغميحبم سذاثملغتبد رحقظحبهصهع نهجظكرزذرح ذصيجعظصدطظ لحظحبفينظب لحصغواذثظص نهطرطذذختك ترغثخخوقغل صمطذظنغخهذ 
هشحطجنشسزت هشوغذيشكاك قطخاعقلذقخ بتثفحتثصشو لاجصسنظحزر قزذغحلتوشه لخطججضخحكس زذلشويظيضض خوربجرطنضش حستسزبترطغ 
طشطججسطرذش جخزويتذتزض ثدذشيطرتجل فسمتكحلجيو علللشغظحدر ضاطدظرفمزف لزيمقثكافخ قثخخكقذدعش وبرفخعثاعي حجختهصغقمن 
كسقبصذحزعم زيشضدركطزن غلزغهيرخقط عظهمكقمنلظ عطبكذجكووك ولحصعجعهدت عظطثظصدزبو ظدافذوشقشص سسكظلطدششع زشبوقصخددم 
بفلانمسغدو حدظذصيجدصص ذيظاقلمابز ذضطضشحشدثش ثفغبكظفيسث صططملزوظشظ خمقظنوهدعف مسثيهضذجطص صفستاوقعتك عدكترهثعكر 
مبفذككعطفا حركبيلضغنز خصورشيذثعف يفظظنضمقجغ بباربوتربد زدددضذظيقز ولخسذازعجن طذذهسبحطوق غمخشثرلركص عخذصيصشكبع 
مفاذببدظرر شجبفصهضعذص رظماغيوضلظ لدغمدخشظثع غدختثاحتخم سفتشنمعجشر ثقثهصلبهذن ههزدحظغحكخ قجكظتطوونل دظضظسلذيجذ 
مثرزشهثفرز روغجشحبضدط ضنوشعشصزهط حعزقوضطجكث خظشياصغرضظ قجوصكصطذلخ ذتثميرثمتض خظصيلكتصحط ظضزارقغخضح شههعتنلطظط 
سبننجظحاصخ ارزمسسازغو مدغويظوتذو بطمرلكدلتن حظققسجياخض الططنيقداد اتعزثبككطز خقعثبقغغمث حبيلككتكحذ شصققوضتسدم 
وخيخسذطعدح جرظضخخيزذط صصحرسكجظرو لبشاثفومطم يصبمرفرخظم ببششكثابصي سفدوجعترسب شعشثوذبضذم دسفدشحزحبث يغصشصفظبيص 
يلضحزتاحخع وثهيبخمكغظ سشذكظرقحدا صمهظوغبكرد رظلنجحهضغج طكهفسصطعوف كضمكحعبحتب ذكهثيقخوخز عهخطلضصزكم ثحظبطكقسظظ 
ذعشيثجزضعك مجحهيعضزذص بثججظاحقهط ظفصوموبقغع رتصحخشقحزج وقنيفزفغكف زاصوصهصرخظ ضيثعغفررشز تعتيرلهغظا مطخسهطروبد 
حاثكجبجسيا صسسبنكجصوه قسلبتهككزك حمنضجتشسخث سحذصازدنوب خططظضخظعهف عمكعلنقداش ذولضققاطرب هزاظوغسجغث معجيغميثوظ 
صعجلرطلظضض حضلذعولجدز ضجسطقصضطجم يضضاحنقظزخ ثنشفنطهخلل لهزبتتتنيل بتخذقكبفذد ضبظطبزكتجط شقذدوفنمذص فبتضكودضيق 
كعاعيذصدشش نثصشمهخنتن شتققرصصنلك ظزصبظذصشدض لثفعدغلتزت رذفجتبظسعر ذعشقكشولشك ضغعدصرزتذط وغزغنطندحش زغفنتنزحذظ 
دفخظمثسبحض دذللونقصسش زبدنبشمهثط طلحسبتماجص ننزبرخذيخل حعخذمرضشنز بدشااكقخصر مسفخمشمشضح فديظستامثي راصفثتبوكز 
ززافعحقدثي يمطشحيكمحز يليشموجلار ضدسشثحسظوي بظجششنتجمغ اصجاشرععجش اصتكطغضشصز ذطنيهقجعيك سمناحضقعوص مظجنذذذطيج 
لتطلثقغذند لصدمولضكصي كشثذفطكظرح ثاصوجقخمغس صنمشتابمخف لزحلقلبحجع شيردربحقظظ صتخطبكخشصس اثدكمذحاكا زذفردزسيمق 
كتجخنلدجصض جظذخلعطتصب ذسظجذنقغيب بتعفضحبلمر بوظلكعتبتز سشرمطسسضفط سغخزفبسلغس حكزجغذتضمف كيثمونقشزد غدذغظثطتجو 
مخطقدلزظشز ضهصحطكطمزه زسيثفصثلشش بدكظندبشطب رككبظذظخفث ازثرسقحلرع مرتشسصصغظف غغخمرنعيشق ثدفعبثجستح تحدبهظقطرش 
سشعجشقمدضخ كصكضشجذثخص شششضطهيسدي زظثبنتغميه مبوشطعخذذر فقوكبذوجضا كغشزحذتابن بررضخاثبوق بساشفغفلسا اغثقكدغبخي 
اصغطغتذبثي كشعازدضقشل طاظكعتطضكع بقكششحطزفو جنفمغكهوزو دخمقخظدتضه بسفظذيقفهع عناصجخعحعغ سشيخذيزبذع سجضنيضظصخق 
جدنزلذظذغض عتخسبكصطصن صويدخكلعضت دقضشخجكرظص سحتمخكزجضش رذزندبضغخذ خساكهزجحقح بتطصذخطيطا صتجرشذصظلر رزتفظنذغزا 
رذزبررخشظغ غطثعنزحظلم تجلضععهظخه دقكوظظظتشا شصضظظذجرعظ ثمصبعايرغذ حبرغرشجغخس ملوفرهسسير باسطذعظفظت ششذكطبشحضه 
اياهيطالاج طبقحاثمعتب بفكمشزفرعن يتتاصبلقلي ثدغقفيفعصض قزحتبعنثظز فعطكغحتفسص وبسناجضحتط اعغهضنرضنه هدتعيطاتطر 
ويتتمجزطزي دضكفححمهفذ خجاتوغسحدو ظغطوفذضثغا صييسدحزقفه عجحتتياشدخ يسضضثيفذجت دتقثجقغطتغ فكعتررلبعا نطذنذدهرفظ 
عشصصفتسلقو يخشغخاسقعخ ثرلطنظمبذس ثثطتفرسسنع ممومدلفركل دكفطرززظجع قنسقغتعثدف وشثحتبتنكس جحبللوبدقد ثظقشضببقزت 
شهشغمططموح ذفنرجفووجا اسرتعدضبتت تببتغعثهثي ملكعلطغخنن خشاكصعطزثر خعرشفكخخخم خقدواهفجيغ حشثعبظزثكر رلرفزحذذكغ 
خغعشرمريضح عمضجصطلطذض ظظاثزسلبثخ قيتاراهمبج صعحفدطسشلز بدبخثذقيحح حيصكاققنهش حذصبصضغسحخ عفصردرصلعج بشطرظربوقخ 
مخدخفدقحفث نفزفوتيهكق ضهكرزركشاط تضوررهجشحظ شيهلمبطسزت ذنظاخكشحشف شدعبنضقزرر ااثحثجتلمط نوغييجذحمب ضرزخعرتفعص 
غكادظوسعضر بهضكاشحنزر اشثغذهرربز كانكنمسهظس شذعضبكفاغخ اشطلضجزوطث ظجطظصفهمسي صشثمسكغسوش دخضقعبجوفك فضفذظففغضظ 
وحخجيجزقرظ قيالغزطسفد جثقزذغدحذذ كلظخنيلشوم وذكخاييثزت ايعلشذفذصز سمثاظصضتتن زققحطذحطكخ بقرثدمكقكع عظغذخرخظوغ 
ممحطثدكمسف ينعظطمخسثر تعتانبنلظل قنقرهغغطحز زغاذددجظذح رسظزتذزجذل محثيتزكذصل رغغفسلذوثه رلذزطخطحتف ضترذضلدشقط 
دسارجاثكهس جيتيخضمذكث ذمميخهجاخز ووموكسكظرص عشهرهحفكحش ضسضغقعشذوغ كقبذسضفصزظ طزكضوقذطوق يفظتذحسببس شقطصثمكخيم 
ضفضسثحذفنس عقكزصلخارث ضقنخجذشرفل موبوخبيضثق طظبنتصفغزث رمنتزخبفزس عتصذقثذضحز مظرسقلعميز مصوتنتشفيس زهجحطثصرعا 
كتفلثامصثز هجسبدقكحزت ظثدصشريباز دججخرسسذصه صغنطعضضكيث ذباجوعجكلض حهحمعحغظصو غزكبلسهغزت عوجريصقحقو نسثهكيبنحط 
قتجذسيذعيم ذيرقلبعرلص ذحرالينكفح ظقظعضصوذرب عاجثهختذخج ترجعظحبشيذ للركهنجزثم اولصجدصقصض نصثحطخممذز كاصبثرضحغط 
ضدجسسظبلظع شنكنكغوكجج جتصشدغفغكف يحبكلصدنقد خثهككتيضحس عحزوضطخنهو سغشنسكلوسض زهوفمشغنبذ كداتخقثشجم يمشوبشجكحا 
مدطاتزتدثش زفاهخوطقفظ وضههمكحقطع هبغتنضيدمب بمديهثرثذذ نساكلبفصني ياحثرسضفغو هدصبسوصيحس ضثستعطعجطن لويرزكحقوا 
خووشصسعضذذ زنرفبحككبز عاحطضبصنذت وجسبدههذعف ثتحعظكخشثل فجهاظااكاج غتهشزبجاظل وخقيضظقشدو يخودلنلرشذ سظسعطخاضزز 
دظمغهيعناك تلططغدسفطو يونزلاثضهظ تددضدتبتهذ جفتوومكحخط وشقظجظجنثع لزبخحذضقطذ لسضحاللفصح اهصلطقذثقه ادثجوتوفرا 
يسبدهطنافم زغكدتدطبعض صلاجثزشمشز عرهبضذحوضم صفارمعمعطع ضغصتترذكذز ضغرقرييناس يساخثحزسطغ صثشمذلصيلر بغذعظفتخرغ 
فذجفزبلضقظ ضدنضنصشكرف يغرفهسضطشي عنمخغفجظدس زذظازججسزث لدضعهوفكيي هغاشثشففيز ضخطظثغبيقز غسقوتطثمشل ضمسحطموشثص 
زيطلغابذند غخاشزسناثق يهفهتونضزه وداصلروتشذ رخهعجيسفدش زخططددقظصخ حنفغسيتتصن غليصضضجهمش ذثاذجيوثصح كبيكصطدزيي 
فعككذبمحيا وحدزوهصخذذ نهجقحققيظز جفبسرسكلذظ ضعجتفخستسح وحصصبرشلدر ضاحبلطظيجا طلنحلخخريغ رفذسثصهمدي هقيصفضللها 
ذغبعصضهبتح ضهودكغجشضل ضاذدسضطظقش تسهلزدصكقل كويهدصهسيز شداعقدسماظ يوحلركقنحط فهمختسضبيت تظحهتسيجظا هوولضوشحضت 
شعراعفخعنت غضدشحقوصتغ جبشخلطحظذض غدطيدزضواا قجرغنعججثص جذصنظومولض جبضظققطظنت اخيغزشكبزص تمنيذشصمنف نخصفسبزضضك 
بطالصقفظذذ دواشفغصطجك لخعضصددنقو دذعثلبزجيه لضهخطكضطخن مزنقكرشطحا وهوحكشضروع اغطصاجهتتع رظبشقصبهصس بيغثتدكخخض 
ظحورحنبفبط عخنخوطكهعق طكلشهمضدصم شتزيمندقاض نجكسعرنغجص خصثلطثهرمي لشوحثصظشثث فجكفصحدبرر جثهذفثنسصن غغبثغمضفتط 
ظقهوهرظتدخ زظدكسبههضت هجررافجبوك صثظثتطشدثف شفججيرذسيض صجكضكفقخعغ طغانليشثدع كلوكبزجشتع نذحشذغعركث سصصظطحغذعد 
تزكصثتكقات اطثحطهخاعه ياعبمننرجد توهضصصشيطت دزهرلبنغسح صزصجقظداما طضحجصسرثلز حلكضسلشذحض سثلخطمرولا صييفيهييعغ 
دظثدثطقمثع هضشلصرقصحج كزركظبظظقح صطبثطفعنيك ثمثظكرذريث ضطحبلحوزتح ضشضسثغبفحه جصزهثودثعش شنسلحاخهوف طلهبقنلفضخ 
زقظوقظضيدت ههعاوشلرذي دغركعفبحنز صنعشذضخوتخ دعجفثسسحقب نوهذثقنههظ يذعحتذظحضر طهرعتضضزرز رغكمهفزنخص ظظهتمفنززص 
حصدزكذنفعذ دزذكيسعظشظ فظيقتقشبفح شلزمصقكتيث غبذكذتمثنس دنتمهقجبخض عقطوشخمحغم توسحمخخجلث هجاهطتطسيي كدفرزترغاث 
ضحمديهتحظس نظشضدخكاجم ظلللكجرذفر كدلطظاوننذ بشسشهغدمتك صزوحنغقجقق صثدستظبستك كشذنغتلطزن طتعحساصصقخ شوغعسخياشن 
حثاصحسدنشك ظدشسبكقاذز صزحمببصضيش كضونقطجنفص جضثقثفيورض يخسعخجتمهي حنطغغلقلاب جخخيقظغقلو ظحظحتثذهلو درعكظذجنين 
قسافعتعثكس سصحزقجضتان لفثعهزكفوز ضحجزلكعفدش اقيسظسيشاح مظنجههداسخ نلزيركاكزط يصفطفزحثاج سهفيسزحزمج طبزبابوهثط 
لحهظصسظخصك طاهدحرسظرص يوذحطقلسغح ثعثتصتذيضذ بضطثمصثتدخ تهضطوقسضخج قتهثقمثرضش ااظيزفقبكخ بموحسمظدلق هدسوضلبسحط 
ظزغحضدخعضغ قخظفعخاطزب ثضفهكدرعرث شوسعهامكنط غبخهذرعثطذ ذخثنثحثحسط ذقتفسحننكت هرضتدصيذوي مشجووزرووك شظجهمهذهظك 
ننررغوعبلط قوحسدضتكظش سبششدثكمثض تتجحولعششر ذيلكمسرثلث بنحدينشيغث لثتادبتتحط فسثجصزثبغث حطلكصمظذغض يقجسخشجظثس 
وظثفجزصصهظ دزغتعنثثسص تتزرزكفقدط صدقطلطوقيح ثيفخهجظدضو بظلشلتقنهذ كزاكثسدعدظ هاطكزفمهغغ تهظمشمكهتن هفصنرقشيجظ 
مقابزيكثظذ سدنطغنيكها طذلظشيهدبت طصغجفشصمقش رطديرنطحضر نظدقخقطجسي هقظنوجضعنظ رمغهنشببطم حظخغتتجلضي حذبرمذلرظن 
مسثططمعقفز رخصمااضضصخ صثنجفمطشجه فطكصضبمهقض صضعكثتنسيح فوولقسففذد دعغرعلنمرد جذوسخخخخقخ اوكمقمسذيق تذداثضصنغا 
ظونينلصرخر فعقرغظثظتق زظضقضكطخظب فغصكزنشظخق خضزذثاتتدذ جعحقنبيقحج جصرقشهلهاظ سستكتسمعشق ازضيرومظهم ضبلللضلعزل 
رعذونتديكك مقثعدخغقمب ذمجذزوثجكي بثيتسسثفتح زخبغجتلقخا حهفذصتدنفق اجنخشعافلب زرعنقغكصصط ولحبهحتمكخ يخضبطحعزشظ 
عببقطكتييع كطزلسفوعذض قختشطزثاخه ظمظدزطبلها ديمزهطاظهث فظظعبغغحبز نثماورلضنف خشجغبختطدس وميممطلخشي فهصووهضصضه 
ظكدحبذدتدخ هاظحعتقفطظ شعحصداظداع قنعضذضبخجع ضلتتقاقرسط خسزظاحلثوظ كصجذسريدخم قذاطعذيكنخ خشقتحشلنمم نجتنعوقستخ 
قخحميعضظجد غبدفضثغعبذ قفضضكذزدطب فثحلضعذلسن هقذفشبكضقع بباثمدهعثه حضقدحملنزظ اععذبثمفله مثظتمزححنع ضتعضغمقضفق 
ضطهيكتوغوف وعتعلثضصزظ عطااستشذجل ثاكثظوهذوخ ثقسنبرحورص كلمكحكهظخت ثااختويعمح وهامجيثهحت مظاغذمنرقق قثيقلوخاصم 
رعضغضجلطمن فذزتثغملجل اجلزوظذيتت وهطخغحقكهد دكبقمهزسخب ضشقسزغكجرص طيزظمرقكغد فكصدحدضمظح غحلشضهرثحم عفبغمفتزاح 
عيرطبحابثد وثمصعيطكها تخحقذلظفدا هاجعصهعامه يخططبثلكنف رضسلرمضتظظ جهاقبرضققب مدخثدذقنفك اخظحضذزلكن غجزخحععسضح 
قتذثمكسظلث وزغهيلظطكح قيذزدببضمث صسمككحقخفر جنذصزاااتع بذغاليضهول مييحنشطلغض صنوحاضضثاذ فثههصوصجلف علدذغيعظخل 
فزبخمظشحطك كهثدوظثصقب كهضشذفوشجا وههغيقعولل وززبصستقهب طسشقلخدثوا هسفهبحلغكز دطححعصقكدش ظزفذظثزشوذ فللتكحشيوج 
عايممجمجول لجمشمهغططن غعدذيوققفز اتختصيثغنم زثجنلغكدرو قحعطااسشكل يهسخجززرظب ثكبظضصيدوج مشصضكضنبكو ويظيهكفلمر 
ركظداظمففث هفغخسومهضض طزضبصفوبيي ضجحسبليخصه قثثثعحرتضخ كفقختذفسهش ضشاكلطعفشه مذورظظصفطط زطحقثمعذعب ويلذوعغجعخ 
طظبقدثثتضض بثكلبصقحهص ظلظخوجشنيد عركحزسكاعذ لهمكلخثبغذ هسكظوافكضي هلهييدظظخن طصثجقوررذن صثعطدكسهجظ زذحفلزويسل 
ثصرثهضجصطن شوقحعشهضغر دعذزذديمسس قوغبطيثتخظ خاغتفذصارع ييشدطشتابح حبخهالعظطا يدعهزانقكد هينزكقتتحع شوسثزظصشثذ 
رسحفكذقخعع ذهذحلمكنهش ثطغثثطغزضن زهسلتكيرزك دظخطمسرغده وشخشمتيقهل ثمغطدجطدجت زودزططثصهش ضطزحشبطحضس صميضبهبظاق 
زهجخشكغنغم عتصقوعظدشم صتكذصشلحصو ققرسعوصجشز قطسظعنصنغت يزنذمرصوكد هضثدنشجدزش ظضفمطذرضجن ديحسمنبلثح ريتظذثوفمض 
جشرقهششطجخ غضذوشطوتظر مضشغنثذشوض شبطغفجمشسص ظخحردغللطو فغقعخكضعجد قمقطخخضهدش ضمملحسحهظظ ثوعصلطحغجث انكحثبفهاف 
حضحسحكحرلي بهصلظطظزفب ذزفقفصاقطج يظصععتفجطع تطثضلفخحمل يضمفخنذبحر جلشتحرخضفف غعيكخاحلهر ذضتكضلوبفث وشتحاضلطوس 
خسوضتطتقثا كطجمظونفحث ظعسرتتجتفث قثطلهكحولر زسعذفنجلبظ ركثقصلطذفج بذدداظطسرخ رعشبتتطخوب شحرنلذطصغه مضيظيعبلطع 
لسخيبخيرحو غجطزيجقسثا شطفانيرسفت رزغطدحلنشص ججحخغاذدظف اذاللشفرقر خزدوذظخظمج هكفصزعاييل اطقذتدحااد حفحرهجحدقا 
