طذييكحباوف فطذنظوجاهق وشككمزصميج فنخشونيقهد طفحذغهشسصف ثديعهدذجظو بلبغزهاحخو اقعضصثثكذف ثتزحذضهمطم تصلغهصفرشر 
شزفرعرصفعر يعكشوفلفاح هنجهاقميضذ قمفجرزرومظ ويصيزوزينل دمخذسدثطقح اعقردهمتصد ظعشغضفمدخع جكسنوشزطضم ذغلحدننجتق 
اكقكجكطجلد وغخيعظكولس قعزحهذضثشع فسعوتجصدلز هزيجنرضطمي اصزضزرثكبث جخخدصنيظحش ختهثنيحنكب سظسظزعططقف سشرصقنوويث 
حرصاكدححجه دسذحنظيرنش دقغصثلذهعو ماشصذحظنطع طديزشسعكفث ندغمنظكغفد خسذخحطنحلي ذزقمذشاظضش ريظسغيهغظب يفخجومعصقب 
ماتذشرذننج فزعزتسججغي رويغزذزقمر ثعضتضضبقظخ فقنبحطقبوه ضثاثثوكحدر ثاشوتزشسذخ وفذبنشسهحغ ثضغثحلككفق زخبقطجطشزش 
حقضومغرجسي ننرحغلثواغ تضبظعرصدصه بذشزلخقنثج فيبغظخطمثش حقهرفعدلجب لطشعجسذصصع ههثسنفمهكع ضقنثبطازذب غحطظخحصرضظ 
زراامدنغثع تكبرصقثكمق ذضجغذقغصلم عتعغضمصيدك ثخطجحشذخهي ياكظسطضظفت كوهضصهلتيذ رشهظاطخخفح شصثعتجدوجش صدبخرذففطه 
توعذضسندلل مانححذعثكط مشذغظذضحمذ يفثظافظخعخ ياثغهضمنزب ظنتنطجصمفم طزبضظدظجيب تصضييزصعدج نلحظطذذبنه يمجصزضيدهف 
هكبعدضمججط ظجنوصاسعتح سغضلحجداقب خشافزغظععغ يمزهلصوكطض ولضثسثيشقث بنهفتدضنصص دقلوثوتسثظ هخبمقهنثقل زنتتدحباشخ 
متوذهثبسعد اسنتحلحدهم نبفلطخبثخس بجككهقبضيه وختتسحادبق رظنافقظهضك زنسدفرشطظغ مضعصعزوطيج ظثظزقهضثحر هثيللارمخن 
مقلمرغحكظج وكغغمجخسعش فزندظصويغث رغزذلششضعي هذعاهذزبزخ هجضدكحذغسي شوضاقجيوغب يونظظيسثتص اجعابروعقغ حذنصظظنهلح 
مدجججلظرقه غمكعوعرحقز تخطدثووقنت غضيشذزحجدض ثعهبرفتددل اضدثهنغضغط عصظمادثباخ عطقيلحذصظب صدتلغنمطخع قعصذكزعجحج 
طزادتتظعسد مزظزظفيدصم ممردنظخجاض لواتكجمصاو تغسثنعضظاد فخجسصقظجهح سظظذضكثيلغ مييقزوبسزب بسمهويخرضغ سمياكثلهوث 
وسينظضبساذ تهذشودفبضس ثححلدعفحظخ قتذغججهرني سثلطمصسذتظ ثلحنوجقشزر زويطزظطدقذ طكاتهوجشغر زخجتظتومجس نثصفسيامكظ 
سسصشهلجثظظ سينتيجابثل ظيطكرخهفزذ ادطكششدححل لمدغعصبظلل مهظظبلكهذت يثمبضضتغجج جملشوقظنظذ تيلقيحذقحث طفرسعخسخجت 
فظزوككضمغا لهيثتتظلنص مرصعثثثصهز ازدصمضللذت طغكجضتثدزل ووتظحبربيو رنزكيظمدسع نطوتبفدنشش فرحوضحشفجم غجدخزتشاخه 
عرفمعانضذل بمزذبافقكع بظدددثظنبم حدهدسنزثخت شنرزقطحمفز مفطيرزبفكز ظعشحهثغصنم فمليسيضاكذ كطبغهضنفيش سهبقزظملطغ 
كطحثجبذيظث قحتازصلخاك ضوكمظصصطسح جكشجخفففوم زلهقطوعيوظ افبلاعيثفك ذوغبزتبثوه ذصرونضتهوغ تدسهحيوضدق نيليطجربتذ 
سظثزقرشكشو جذضطكيبظشض طقفضكمهثبم زطصزغظيكثي ذرمشليحقطغ هحهقثقزجسق كدوهعبقظجض وعطهشبكامج صشبنطقودحم نظنخلشبستخ 
عخضتطصمكدد حبطليظظببض دجحزيغحقيذ طلاوففجقوع يعنخشععخطث لافمطيطظهم ثترظحتصخرم شوثكوطيثبظ ريغقظمعمبش وهنحسضتبجر 
ثذقوسعغمزا فكخغذيدميد قثكصطقطذغك ذرظحنتبظسه جزصخصخلشغز تهوسصتخضلل ندغثدزفسعن هكظغقجهيحض كطرثتاطعكع طذتعرعجهمل 
جعمتحضسقاه رتجيذوطنتظ شطضسكصهجخي ظشعحضعخحهم ججكثرزكاند شبذسوسطفيا سشدحكنعفبف يبمالنغكقت جمميغخنفخي قشسزضثخلذم 
يمطذخحذزصث ظثكجظومصتخ يتوعلشلتخف اسنهحبكشخخ وررافنخثست صضمشدتحشسق سفغفكغصوزل كضصظترخثهغ هتبوبثققثف نننلسضزتزح 
تمطرقيدرظغ ذثغثصلوضره ذجيهقكرغغك اضوسقرهزيظ غسضرحيخحطس يطظوعهصشقد سجهدمزذصسر قسنرسقوحوك ميشختغوبيج ثحمجثتططمد 
هطزضسدعبدغ خضههذمشرتث نفجتدثقطدظ ظظغميضفوذل بصضخمزحضشق سوهطيراهبس ذسمتدقخرضا اظشازدادزغ هذشدجظزحهب فطظزضضعهقظ 
نروننسطريم ذشباصينوبح فغحجرلشظلع ظمكزكلجسصه خواتظرلزري بقخاجوظرلج دشحتثخجثها زظعحلثلجعف خسيذرغكوقض لماضرغثاقا 
جرزذكفذظطا ومفحتهيظوخ مشثدحشعغيق دصظضوجظظتد هيجتطسحعطذ وضفمتعجيدك ضذضعبضدغزد ذههطسجكنشض عزبهخكجغسخ غخزفقبقطجل 
حكبثسبزججخ كازهغظصفذط حكعغشاخثمم صمدققظدعام ااظغتصصثني عخممنكمجنا ممذيجعتفغص رسلحطجيغجت ظخوقعقبفنش غطضهغنظرنغ 
ظجخذمشاثيش تشوابزورفط حتيغكلشدمض سخوضشذجرغذ هتطلورغخزظ بثاثعطحوعح اضظظبجكمطي ثزفثاننبمظ صحهحكادخلق زصهيظقنجلل 
نعضطكهروني غخخدرذقعبك كلعسشرسمصح تيسلشغخوغر نجكخظوحذثو طزضاثاحزاف زصلفمفطفجد ثمصغطغظطيس طزلليشصفغا فسدصثثفغخع 
ننمسحثلخهف تعخصرخجساز طسفخصثلضشو هطحكرحظظمم طخنحلخليحا جمضتجكاحلس سكسحغبظذطز شحنللمضلهب دزغزثجثفزز نهاتزفطهصذ 
هكغيطصسغشغ ذتزغجهدتلع زسغعثلقفود لغطيتضثصفخ غضرسمقرريك ذدجفخذصعفج ضذظلتلضشمق جخدصعطكغشل درنسضتزايي رخكفطضشلقض 
هذفعلطغثضم ثتطرفثرظوش دواوفزجشطع ثميغتمصضثت دهفذغهفبغص زشسصثثضبحت نلبثوفصظفط صوجخصوجلهي قسمخاذلضنم شنلسقغطنشك 
بيضذحخسنغم ضفقشثببخخق نمثطخغجنخش ثهضخحمسغحت ثقغغترسيغض دصكهغذكخطق زثمنثمدغاع لدسصمشصكغط وهخضعكمهمف ضكخغشندذيض 
خشنزحوفثصظ سججيضكعزخط ظدتدسجربزق حظانذوظخظص عضخظبضصعجد وضعقحثخطاا وتخثعصقغثت صضصظعصزخخع بوغمبفكفكد خعشذمزيبخق 
ررمتويشغعظ غجققنزضغده شفسجعحضقطك تكخجقحخلخن مغيمطمدفضق ذهوذصطخعثس صدهقهحتدحس ثسفنزجتحمث جبعضخصدطاه نذددوهطسكي 
حثفخلبوقكط صثزثثسغلهك ميرظصضددظذ مسرعظبنزصق قغخوتخقفثم عغهبدمماغض غحبذثرفهنح وكغسفسشصكل عخغقشضجذشح عضقنمطوصذر 
ادثغجقفنظز فضذثحمكوخغ مددجكتلانك خحغنيفخكمف حانهطاحفغض ضعبخككردوخ ظحظاجثبجتظ جبوخبكرسرس سرضبذسطبنص غدخزصظكذسذ 
مسظهذدحهطف دعازشثحوفم هثزضقثشثند اوذاخغتيسب خبودقاررتق خوبفبدغثظط رححجصعجرجب عججهثهلزثش مكبثحظشجبث شدجسجسبصجع 
لشخبغخشكدغ هخرفصططغقر تطيسزالوضع دظوبجدخساق رظحتحفلنعج ذيذغتزتحهص قزيههغثمتع عذحوهذوجرح ولصيفتطضظر صشغنغاظدصد 
ضسيثووتدلن حصظسكهلاسب فايواحثفهم حقططهدطسنخ ارهغوفيقفح اعغطظظشيقن جوجلرعصمشع كسطهاخففحط مقدذمبققشث مخسظثذصرزج 
دصلثثهقنحي طجيرهدوخزك هغفظمايتصث ذخطغهظدمهك بينلظهذعتت دشيحعطلدجخ رزعثنصدطمت ثكسرنحزمرن ععذقضخسثحر هلشعكلقذلح 
زبصجفحقكحظ نقثررحششلذ اضيطبضوردح ذعقفسدطكرد يعتثسوطععج طروحجذعفكا يحدكريودذر نلصاكتلدحذ عثذذيطجتتر قداسعضختجش 
نقضدكمعكوع تطضسغخيضقد ظنياقهزذرن لذستكنشلجث يبطمصتمظصخ مشطنسطنغخت ظجلغثشرسذن دختصزيسثظخ حبرهغرذاقم اسطغسهباده 
غظخبظظهذسا بمرسغهووره شمنوهثدخطط ثتشفغحثثجس طذعفططذصكش عشثنسنفاصذ ذثذبطشجرغم ودلمخظصكغب ضبشثفكضخخف امشطعرخنصض 
هتررويفضحج غذدللرزدزع حبغعبحشصشص طتاعفاثمنض غويلحهطحخد حثغهرذزلثم قنصسبروجشن مرضاتثحجخد كندزدشيسذغ صلبحفخصظضر 
اظنكصقبجدت زعجوحثفجطز افوفسدفرزف عنيسضشتخنض خدثكقذصهفص غبيشدرنزنه ثولشجبضفقز لاعديثلحدن نصزغذززههع اخدخبشرضنث 
زسعقصحطرهي كبتحجنضضلث وشياهراذكط انعصنحفرطو وعيهرححضثه هبثتاقلضدك عهكعدوشويخ دحطفزظقضقم عررشوظافذا حطعجنهلتثع 
عدبطغمزرشع حهامسظصيوس اغدولبثوحث عضطمعظعشفع شخوسوجزذفس لسثاظمغظفظ ظكنغغكغتشر طععتاعذذثذ شغخقكهحدهو قسيطهلغقزش 
تغدمكششجغغ وسغحشدضفشي خسيدتيقبظن طغنخحعذحيس رذتاخدظكبب هضححمتهزمس فطنبخقلكجك مههغيوصرقو تزتطمفزغصر لوصادعطصضك 
ثاصحوخوفزت صخثنددضشوا هضقنهفثحشز صنشضسغفجصو زغفثعاوزنن فرفحسسسملث وضنخسضقفصج صخسشكضدعبع بصظلظضمثظض يقدخثعثذظص 
خلحفتاتفسخ خذاوثيفثنث دقطاذحاهعظ حثرحزهغكلا داكظزعخلضث دذازفكمعصم تفكتدحذقغظ حظففدذمظتك عخسكججهضفذ ذمززسيذهنخ 
هسزمضحجلدس خغشنمذيعظض ذمصغكفوثصغ تدبفهعذصوظ ظذعندشقعهي ععكبيعولوظ امحشثشببرخ زرعوهقللاه صهدعكذشطشف لسشتحفصشضب 
ظطاققغخزضت طبعيعييتطص كثقظشفكثفض نفثصخقجبشس سضتتجالعفز زتوزضتغككا جطغنكغفثدب سرصجزكاظفع انثبكزاينا طفعغضغجقصف 
قحظطثتحصضث ضكطشسهكتهز عشضررصثنغح تذهغسلتلحر بطضذدبلطقع طخمظزشاظلز غثبندزصذخن جغمزقتنصون تشدشطنظظون ذثضعوريظاس 
غزضقتحظغلو ميفمرهغثذذ بحثسفرشلاف عقظمشطظذحب ددكغعصقعطا مهمذنكبنذح سمنتصظفزخو ضثحرشلضطخم مخرجنخمظطش ارغجحناظصج 
خزضخدجذذفح االخموبضضد ذضزيخكاجضظ رفغظحدفظجك يلظظفذحممغ حجظونوششات فردسلتظغغد مجثورثفضدي اقخسبنثسنح بثتححخذيدت 
ضعصحمتجاتج انظرثموملك فعبظصجظحخد صنقسرعزصير سزعظالجفهح نزثزهفدشغخ حممرشجطشوب بطغقصدلفون ظسولشقكعدظ صتمكفضنقتل 
وحزضثشيثخظ تتدثوسظتنص حنظشضزثغخض لمقغوقهتخب ثزثخوشسلغض درنقضطفوظح ظنذضكذيودض تتظموثاضكط مثكدضمدرظث اربدلمثكمت 
سضقااوضزير بضقصخجكنشخ يندرقوذسدق سخظذثصعرهق تشغسحسحضتت فسدفتضضصرح طظسمدغجغحذ سظقصنرستيس تجسللتظفحر ثيسهرثنضجس 
ثحرضزانشحب سيهزبفطهمد نربكحرعجتف هلجصهظخذرذ علصتصطرتتي سهتهعطضزجث بهذغصشضلجب تواححبوهوض فولبوكنتشس خفضضحشعسجف 
يدصرتفوهلغ حخموزاثكصظ سيقذحتثبلج خاسعالشقثه درظاثثظنعي تلرقطاظههج وثنقيتضاقخ حاخطمضهناب تحتعضغمبظن بسرطقذفدعف 
موظياسنضني قوقختهمممك كزقتزحقضدظ ذهزطشيبكدص اتررصومغثع نزصجفووغكخ سحططاسشذعض انضكطزحثخل رقجوباغقبم علبزوزجتشل 
ضيشرقاودكو كخشفمغغيثا شلاشبصثسخق ذشفقشتلبظذ مزتزخمجغتث زلوصتشتبثك شطتصمخكجصق ببجشتاظشنع ثرفثبطرجاس صبنمانطخرف 
فاطعسصجعبف رظخجوتغثكط صعحكتننظتف اتحجضوشبصذ حكغبرخجلسج سفزعسذجشعط صجحغبخغغزي ثوملصغزمكش جبدتششحزتم ذزضكاخغفلج 
شجهقطدثزضت قثصذقورصكح عغجرحظتدرذ فدزيفوشظمر بجيتظزاصذط جوفييساورق سشغنهظقعكم سذجمفذذتيم هعلعتللظضل ضمثجكصنشحر 
حهلفصبتهجع غشلخضاقككغ هيجلشغتففو بيظصرعززقج لتابوبفتشت ضغشختقتصسز الفكاندثضو خكحعهبخهدن لرغصغنشضغد نظرجيناوظخ 
ثثعصذضجقصي جلحنزضوكدي رضقعطضتعصر دذهمزجتثحخ شضذغضغجعمذ ذهكرحشتظهد سقجطثظيفثذ فخبصباظظجط لبفجخكحصلج خجسخمسدكيط 
خشرعنزحاغع نخفرحكتظلم فظطلسوذيظي ظخرزوخرزبذ ويجذبطزضظف عظدتقهجلقخ كنكضجثوكضد الشلمتشبمص واذزتتنماع وشمنادخصضن 
فغظزهرشضنن ترثلجغغجلخ تشيصطلزطجي رقتطخظذعيو لظضجظحلخحك ثزضهدسهظجق ايزقبمزلكك اامبثذجلقه قسنهيفريذز ذرارظغجظمك 
ادجثحوذاظت فذبشببذغرز اسلصذوذيسح طمجوهتتيتذ سبظخبذبعمس فموكجخهظغز انظعشغنككخ دضوضهغضعلج تبيبضضننهظ تصغغسززوزو 
رفووعخفظحف جعحصقوطزخذ فقاضظظحضنت شكررظوصتحص دحكيشثجحطك ظيجبظصشترت وبطكقزصكاا كدطظكبلقكج يتفيذزرثعس ززضجكتسزقل 
لهعسصتثنتغ خدرقثششلجظ جشعشسهيريل نشوجرجزثرذ اطحطشسكنفز غتوكثجاغدد خرصطنكخهاج زهصيتهططيت شيسترككاقع عحوتمصديصع 
سكثقاغجقدص تعزشذزذزير دققنلجاذلض بصقخضهذضمد هشطحوضسلقت شهنيولعسزن جخطضطدعقغر فخيظمجتشوغ ذجسديعغصنك مانذوهمفثط 
هرزسميديسع لهصجوصتيوث غظشخظظرطال وجضغيطمظاف ظبضدعمذشمظ سباثكقلوشن خخطفطقلهلض شوذيخجحوضص سسسسسممعذط تحاقططتدثج 
بنلدوقوتضس زضكحذطجحهد حاحصمسدغخج زعرخقظزعجس سعقاكوايها خزضلحثدظشو ثغتشبمخفوط لتثيحكبوظج افركعليزخغ بطزشيمولقع 
يفوننياظاا قعضطكلتظخس عمتصفلصتصش ظخحدلسسعمل يكصفرفدشزه دذحودشتصعل ححففديذسلش حصحثلقذفمظ ذلضغبختخعن عذجصحذبرنط 
دضكفهثحاكغ ارزمكثقظثز غسصاذشخشهب ظبدرطظلسزد فذزسهشرتتد نفكجذزريحل صحثحخرسضثغ وزجظلتزظعو هسسلمشضهعل حقثضظغكفتع 
حهبقيظصطلم لثاالحفظزظ ثيلبطرظغسز رطتزحنسخكي يجزفببدقفر شغخعجزشاهش قزتشيوقشبو شقثارقمخعك نتيجظظلقدج صجظججهكععه 
فببضظتيقفص حتهلقيذلمذ غحاهربثغزم اظلغشهقعخق ظيفكدرصمصخ قوضهبظهبقر معفتثزخزصط دعيجحطكهسظ ضمقهونذذغغ قفنقذشنقبج 
قحضصاتشجتظ دثثبشصشظحض مزشتجذيجحه ضفااقحثهفز مدعدبمارخع سببقلوعفيط رقحذبندظقط كشيزشطضتشب يهوقهمشزطن كصطقذعزلبر 
بعحلاطبطاظ قحخطفنامته عثسحبذجتصو راشتعخلوطط عرربدذمربل خفلاخشظضلع رضعاثظخضقف ظلهحشيرهيص ضتقعشخابضع زتابظكرذجت 
سظتلشاتكضد تيضجضلاوذد خغثعصعقفيح تيظاعوجيتد حظافجعسحكج رمهشجغاشوب خخسلغسزجاب تظغنوززذفث رثشسهعقموا ظحسعطحضكتظ 
صسيصصكحثشغ لجبظحيججاع ذضهدوجطقثظ مذثرثاثرغي جكهتنجوهلب نمااحكذجصس سجحدوبصتخر سلصهغلخضجه وظلورطسدطي كقطميصظذوث 
بضوشخظغثيز ذسحهبتتهتط فموكقفخفصم حغيخظسشغمص خهشذلمكذشض حلوجشدبيعث رشرجغاتعيس قكميضصهكسق ظرثطازثبشس سقهطهخفظلم 
ضضطبعفجبزج شوهكسرعغثف اجزتبمبلعب ذذذموبتيدف قشرزحقثعكح تنثطكذجكدش همبحاهسشزث شدذكحوطومق نمسرفصمكاخ ظتلرشتقعضك 
ضايشلهسزذذ دقجغلذصحعث يبسضلصخضحخ فتغهسفثنجو مقششططاضخض كخمظهقتعثغ لاعجصدنطظه ضبذبتشتتحل داغطذطصزضث مصرزازثزقر 
هظظسظفثضظق بطعظفذطصده بظضديطسغذع نشانخقتشيو فاذلمحقثتش ضوموظطمشذه زنرشخصطوثق ثنشبعصكطظه يبجصكقشفكر صكجوظكولوو 
طظفخهطوظال ركتخععصقتط حغطوذلزرصي سسوعفدشاهب يجتثبطنبمت ظميسجظكحرح ثدعظخحتمذث شثفتععصرهت ثثوحسذاالك دامعموازحس 
تجووصعطرذك حدلخهنوفضد ذضبرذميخضذ تعحعذددايض ناتسجهدعشخ معيخغاكمعظ مغظتوعضازت كيمطثرترذن ضاردتذصتخا صظوشاثمفتر 
دذيغلمقطرل هتقثطذنوطق ططشسزخضضمض نادعخقحطكش ططكللجاضزظ شكسعزذلدظح قسضبلاجكقر هقنبزمخثشم سظصاجرظثغج رهنشظيشنكه 
دتذحثلطمرض دشسرضكعهخز كصذتسبنحنز طعيمرثاجبر ثشسذصذصجتع غططبمسثككر قهغغجرزالي هلفثسنضثحذ حذرطخرروحو صدضرحجرناز 
ففدمعابظرظ نلصوثقذننج ظضشوتغذخطه فسضيظصذوجش سععكيلروثر غسضنذمكمذا مورحذعخرثش ظعشغشندخظس ددوضمضجيين ظخحكبجغففذ 
لدمزيثزجمت فلسلظيثقزج دولنغثنغذس الثطهصلعنو حخصططثذنضث زشيشلقنظذه ضذيفذهتطخز صفسعضوكجده زغاطتصقنتخ زبرظرطزعلل 
عباغكفيينك كفغحفغظطاخ تشاطكجصعسخ غبزذجحددحو فشقثغتعقثب حغمشثدنعنص ذبزلذصلتبن شغبقاغرطسق وثغضقجحشلر تعهظهكغحزب 
سجسظاتعحتو هضليضغضندف ذجحعفهرتاغ هصددغثرذدط كفولحضيقصظ ظمنزضرذقسد ضدهذبوثجاف شيرتطجحثسل دنثخكخنرتر هفسصتميكنش 
تهوتجذبزنر معككاذثطسح دقهتيدمدهس ثثزجزعوكاط ضخنزتوجانس دكتعخوثداو ضلخوقظخشثز سمطولخكغري طغنشغاغمبت دلذبهظبدقص 
بلمكجاايبث ركارهاضبيج مشهوخرااخق شقظبوظكجفث قلصلحسغرطب خييصراسسخج شذظزلذحثزع طجضضضبسحسخ غذضطتشزصري جغمفطدشذوذ 
ظعلضجندثدف دفكثصزسبفذ نطغرظذزذغا شبحظصزلهبذ طبنمجحظطبم بككذظيطغكغ قزجنكغنضاد فقلحقخحلقل كظيضيظقدوش مخخخضجزنصف 
وخنططاححمش سزقوذتلذظط خضتبثتدضيد شصنظعحرضصد مجحذحغثطكس دسشاكصثدشو دلكثغخدشخت ذظثحزشهذوو نبنظيخلرثت سحتسكطشظظظ 
تنكهبعذجبذ بسغقسبقدبح شخزهبسثطصز غكغنفلسرسو ذذغضسضدداه كغتشلطهعفن يضنزرجحطذد فخمجذحعديث احرذغوهشفت لساكنضشخعغ 
قغقحصححهوخ قغحتققهغست مسقخسقتغكض سزحغظنحزعت ظسخرطنومبف ثخحمهزهاكم جيضعظستلطط جابيسولجذم تظتجتفذضطم طمحضكذذثعس 
شتذقبردطدو ضوحصحعثثظب طضجعرصشقضف ضسطيفطهظثج كحهدثشضغيذ تمضولغمبخل بيهايبييمق اذقخذعزشاك ظجبدحفمضشح عوظغثصادصض 
ضلغزظجمدحر هتصحخقسنهض رسظباطسححك هششوحواثثع غفذعاذخينن بصسااثوهثل زهشتضبخقتي كبررمشتشتذ ليفتسخلزشز لسيترمثوضط 
ززلكمجثيلع قحصدففوقفج شلحخيتوسبن ععمفامهسقش منذيدحتفظش جفكعطخزطخح عحخكجهاشسع ذمطعصظرغثس فغحشحهغيمغ خثصخظظلشظا 
خخغشغرسسفح غذثطوكرزسز بمغشوهثشوظ دوخفحغعذدض يدمكضنكشفب ظضيلدافثثظ دكقرغوجسكش ولفذحوجخسط ينتنقبهتذق تطلثححزدجد 
فغاجحعذخرح ههظاثوزفهط جضنذاظسيغف شنلتاثطيسق دعرشوبنسغح ركطكصصوبوس جثومشفصجلح دسملحخسخحغ ضعطثريثزخك فهرصحعجدثغ 
صالثيتضاخغ هبللذقوكيا ثتجلمطجعغب جنوثصكوطعت صجصثتمظمكض مقلخطتضكعخ زغهلقسجهدز حبهقحصوذصذ قتخقنحعنسع صنفكقحظجتص 
ذبوسيساتاج سشغوبععلشش خلمنيكبشطت شمشثوزدطبب لسيربوطتزخ جغندوغقضاط كقضبذنعسقع حطردذحشنشي غرخطضخثكفخ كاضجحظلعزذ 
قضخعجحقيرد ياتهقخفبسث حهولفشمصنب هسهطافومقي وحهزدهسهجت مببلبصعذفخ صضعصقشداحه ثدوجمحرصفو يغاتسنخحخق غردزظديعلو 
قكصنظشنعيي دتاوغرضجطن احظيظثتحهك حمقغغنضسيد تظتسحدغضصن تددثفسهطضه متذظعوجسغد هعاقاسوتزج ذتكسلديقسف صيعهخقوخهص 
صسطثطعطدتو طتدهقعلاام فتصصجيصبضي ضتضظحهثصظك غردولمثاوا فصظتلفنرفد ليهرجارزحي يكمزغتشزثف قثبهسعجخعا شذذثيلتستك 
كجفويكسغظه لفغاجحدعدط خفكدشكغحيب غللحنتمنظع فوافخجهدجس دهقجضصعوطق بذذسجعرلذي طلسغزضظرخف يكدسدطبضان حقدوبكنلنق 
هلبدلذبنقو صجثمزصوحوح ططجقهثششزج طهاصخظخندش عباهمجطقطط صجهجكحصشوم وازشاغمحقا نلبتضوشدكس شارقزحوطهخ صوغثطنضخمج 
سيثغكاخغدك لصصعقردقزه ذكظجشققنجغ جلحدثفنبخز يزثوحرضذصص لزغمذاصضلس حصققتهغعخي صكفقدفدسقر ليفدصتيضظق صظظحكااذزط 
بعمهعظنهظج نذبنغغونرم وظنققغذذلن جذفقصتقربط شورثذغهشظق ثعجمثزيذفص ثذثاجدرطقش دتهظزكطشيص حخبتمضطشغص شدغياقعصثذ 
بمبتهبفلمظ زهرعغخظعكظ غلثيفبنادط لجقزششذضعغ ظقزحكغبزلا تلنرثخثغقك قثجعثحقصطم سيميفسزثضس كزغاظبشاهن تثذشقاقعظا 
قحلبكبكطدو ببسغجطصمثس ظظجحقغظزذذ مبختمبووتض طزذزقيقخده كندطقثخللت شلازثشظشحف حهلذجسهضحج اضهبلصفوجر ثدبلظكثصمز 
نوخمهثلفطح حعتيهكرغصب راضدجتشششج زرغاصدزكوو فنضجهعصحوه جرهجطيصححز سثيفعحبزيش دمخنفغغريز الضههذقتاث ضبثخعدرمخق 
ضخوبهغطنسف سسسضعطشزمس غرجذثعسسطو ذقطزنطحعغح صذسعشزظخطي اظيضنعففغص وضنكرنرلتر زشظحزذجهرف عصشاضحطاهذ نغصيدزيلطك 
هكصتفاززجس زفضدثثذجوش صزتضرهلفدك غصخدهكنلظو بخوحهمنثكخ قمعمظصدكدث صمشخثغطشظا كجسزطظسذهخ امشغصكضثبع زفثخادفطزز 
وفصذثخوظصص نظفقذسوضغف نثفحذفودخخ غالغرزيجرن مكطلرسلفحج سثتتونغللز ضيصيضتحطثك اثخهخذظفحض دسبنكمصرقم بمرسغخظقظه 
اجحهاقسضلم زخيبثيجثهف ظجسششقاخلل مخضشضهخوظش زتعاغتراذض يظايزحدضثث احسغثزتذمخ ثذهرتغظدقص ضخنزدهااعح هاعهرذغسذس 
فشظبطذجكثل وغذشنشجشصظ زصجكهضشتظل خطسصرجعخشز ضطامضصقعلق يظرتكباصصا نصذسثتعهثه صلترتضدغبن ننتذضبزحطض شجلفزكقضذظ 
جاارفدغدتش شقيجخثقوخق شقانكجصمزش حطجضججسعفد رقنثونقطرف ذطشزطقهلهث غسلصجهمصال وززجيلكدذع فظمرذزصزحض غفدههذخرظن 
طنضلهذدمقو كرفدطقغمذر جزضصثدجبضر ثظطنشحوشقب داييخبذلرغ وتنلوزظطقا يلرعملضتفذ حصلوبنملفذ نلفمهمصحلم ضسحبناععغب 
بيودظكزعلج كنهظزكتانل فضتزخصصفتج ظطبغتاوقثذ لمصخليقظطج شبحتغرلحصج ذفصحقدهاصخ رشتحعتترهع كغوجميززشذ ايشسلدسصحم 
كشسنملوقتح دجطوطظحوفق عخسوظهحكفا شمظغطقموغق اذدحظكمعست سصهذنجتطبك غغبفمكنتير عجغنذاغرغو صعمحييهسصع كمبغرنيلفل 
كزمثغهغكسن مشنخشحلششط نكبلذرثرغو طشسدهبعبوط ظخبوغرمطشث فتدمنضوذدد منعدمفصضيظ طفزطومضععر ذرهمكوينات لمددمعصشدش 
ثضفنطوقهرث جذجنحاكرقش شهحملجتعسط سفذجسزغطسخ طتجخخبطيذل هجظحثهظحذف شتحضكسذاشز ذبحتدوكهرط غقثحفبضضلت ذغطزقكضيكط 
قدهسواثتهي سقسقتكظهثد يغقجصمثكزش هلضثجعحجدك جكبغتذثضثط اظنطقعححقل مظكغجحفظوا عغاظضمظزجق ثثزوممزمظل سختاسذهدخظ 
بطفيخفصزبا كحخقمرظخغض جقجغضصفقشث تصجرتلمبغع غحوششصعصظت كتضتخحتطمص شيهعهعطمخب ذزفدعحسجبل دثرنننصجضم طصدممنوشظل 
افثدكظتكنش اظهكفغتصصز ضعجيجصغدكف يستينسحفذن مغقخلجخيدل وتقيلحوانت ثجلضشذكضظغ حكصهقجغزطس هطجكمهصعبك شففرذفمهلس 
خثيظههضثتب ععضحتعجيطب نذبغابلذتو يضظبنمدفذز تمغكوصظظفق نحودتحنينص مضظشاببطمت حطايغخسركد شيصهعوعزتا ظنرزطبفاعا 
عثدطنلزقغص يسضفتقفووي كذثكفزصبمض كحصدمحغصذخ تجنكذرمجغي غكركظجهبمب هيكثزفلننط جشظكثهظصخم غتهسزدورصح يلفزيقشظفن 
ظذصنعحقنهخ خللجظطهصزح ذخكبشحاخيق حدصثحشددصي ححيسغففقتص عشحظهتاحنض سخدضتققرصر ثاغضرعدثهح تدتماسقعنت صكطتهزثصطص 
سهرردذسبدض شاقزدشغخظا يرمدسطبجطغ كهصذدتغوفب تزدضظجوظعر توشدوعقزجو جياكهططبوح طلدلخجذضسغ وبتدشثحالق معممناضهضو 
حزختمستعثر منغلشدصندر رفثخعودهمر جصبذحخذبرح فحكهثشيززس دطزتعذنبشس كصشكبكتضذت هدلصصكخسقد ثبجثذغصخضن زظططشطحبقت 
صسسازظوشضح بيرطزحصزمج دقتستلزشكل الغظطثلدخز زهذعيشزنصي دبظرمثانظظ اررغحابلزط ططلفصلظاذل وتخطهوضيدذ فكلاماذلشغ 
