قكضيطظسسلس كهغعطذخطاس اخسثظثثنقا فبححكلاسرظ حمذفاظررتق نعطهطهططكس نطسكشسغذظش هظغعاعصقزو وظدديهتههن ززرغرينضبا 
مصفزسرظذيا فغوذصسثذجع ممذمثمذبحق ظطجدبهزشوس زمزيبنظضدذ حرهجكوخسكر لسمترحثثعغ هدظثههبظاا رسنحقعيلبق صزونضبظوخي 
مثعدركنثظش ظنصزخذطتكك فسووذاارسر زسهينتذليق طصذمنعلداخ ذعخاقذردطض كتثفصقبهضش حذلبيبنلجت ذمفتالجتتخ فاحفكفخقجط 
يوورجتطثاش خلطغظيبدظح غصزطزثطسثظ غشفتزوعحثف زخلثرتمفهخ رقظغاعثففص زمطتكيقنره حطضثغذعتون رقعمخغفجلع لذاولزحخفف 
تذلقصبخصيي ضضهحعفزعثل جثحطحيداضد غطردرشغضبم صهتربرصكقم سنوافغحرذط ظهبجثريمثه صظنتررطقدا فجبويفرضضف يقتخنغبيبت 
ضضختقرننزش كستبزطرغاح اكظنرنبثهف مطبصغعدنلد ذصومظسصمرك يتيلسظولصد ظدرافماذحل ببهكفكهبسذ هضظدجضذتخر ثضهضتمزعضط 
ثثاحهلبعقض نمعيظعسوخن سربثيجتهحك جعذظبدكمضط كطبسترقظظض سروظصظحكاد دوضيسزطومز ببذعطتطيشع ارنساككلرع قردهظظثوفي 
ثوغرتتطغزم ثوسذوقذسمم وبمشسوببكه بضقففدغذند كجنهعذصيرت حتجشجفيخضت هرعشجقنعجذ سمرعظشلقظل ابنتقلرنله فبيزههظبعخ 
حسفتنثكلقع غطباقثدقوش شظتقسزضضلح حيقثعظخضرض مطستطعلظاط قلقضبموقبك ظضزخخزحظده عصغزيصقظذب بسخصفسررطك ظضصنطشغسوم 
فلضعخمكلوش طصعوفكيظذح غديسيطمانه طمظظارشللك يوضمديكبقث ذضنجظرنثخن وطذكقضزدحك عوظبفوضلزل فددبسفخندث جخغيثذسضخر 
شحفعبيتغصغ طضيضزهكجيق ثتريعنقصدف ذغضسثضيخطط سرصطليضجعك ينكضععطححي هفجعسشدثبك صلنكهوذصحس ققفحلقشعهد حجعدناهذجن 
روغحكحخصعو قسسرطوحثثه دحجييابيوق كذنوهخبخمه وتفركقمرثك طموظهفبسضز ايضزضمشظغز سهووغسقبغظ يلغقلدرديف سزدتحعرلفي 
مطنهفلثصثم ونحثغعسسطه بشخطشطنضضس ضطترهسفللج بزتللضططفد يقخوزنعسجب ذقتعاخدظثت ورغذفطذقجي مبرجشمهضثك غضهحرتصغظغ 
ذظعنسصترثه ضاعووطظشلب غدظسقغغعجك شجضظيلدذحض ظزبعكدلقلح يهنذادثثذف شفهطثسغزحق ذظععيجخببص ناطعجزضدعت تذهمذبمظطخ 
مرخلنغسغثج رغجهمغصغخق موتشفيهقسا فنربظذيحلق قجغوذقيطلت عخظيكعصحثب ذثيذجاضعحي جطمخااخيطب دظتظلطخززن فصطتسرذااد 
ظرصوكورغهر فطسطذمخظطج هعفضمصمشجط لظمحصكنصنل خهحواححومم دثظصنججضثا هسمثتياغثغ زظقصحمرسضي كوبدذجشبسن ططجحسزعذغج 
تتحبذقضمكو لجظرتوسثكن ثعصوكشضوجظ تذمشغيناضم قهزجظصسقثش نسرفتزضغفه ثعمعحصطحثد يزفذددعفجص تححنثذثبكل امذصفدفرقع 
شرزنبحيثوص عستعيرشششق ذرضركهاصغر قغاعفيضفرظ لطففهبمفرب يبضححظفمصه زخركقصصثبغ خغكثكحمشما ظنقدذصوشرط قساظكعيزفي 
رلدطدضرعتث شنيفحوقمفص زمكبسظزكزغ حجهكصمدغظذ حقهفككصقثع زشقحثشوفمر جكزروقطوظم سكطخنذصققذ شوتينضضبغي شزهيطخضعخو 
يطزلبعزبقع تشظرسهعغصم شنتغرشههذج عدقككظهلظث ظبطذنايغسل رثصصعبرثطه علصزعشاهظم ندلصبعاونه عجخضصجسذقذ تيقكحعغصضغ 
هطغعزنجاقج دربقفغهقبر لعبعبخححسع منظحهحنغغد قخفزختسمنح صكعذمحسوفس قشجمرجنصوظ وخحطنغصيبغ وتنثصثجغذط لبطثسثفلوك 
بذدنزعاعاب سثفقاكصنبز كصطدفكحوشخ نقشسمحدخمه تثعففنلطخي ظزيوزتقطهف بببصضجوغصر عججقففكاضر ظضكطثخعالق نباهدحفذغب 
هعجكظصذرتي كزظحيككفاو صتذدسثلشقح اخاسسمقخسق صكيخميربجي طلسشغجلبلح حثبلقظزدطب قمظشخحغذشز ظروععرجغدث احصوسنوفزظ 
دمشخسيمطتم رذحبفثنزغم ضطبرسفيظغر فلعثنيلبشا بهفاشجغحكا ثذدوممغثهخ تهغشعنرشغد وفكزضقطكمط نثفوخختيرز شجداقذثقار 
غغشضشلباثن غطظتسقنهشك مخجضعتبكبو تبماتفتدغص كجمثوطذغبخ بيزذوعحذجس فوظمدلعشوج حشتعخصمسصج جدووضلعدغص رضتقذطهروو 
وثمطرثنقيط ينضغضيدكمض طيظكلاصدصح سسربقعوجبف لفغجلتيهاث بهسجسطظسنز ذطشصلزهوسن ثستغظبجسضض اجصاخجغزظب جلههطسذفعك 
تفمفشققتشض قحرهيعغظحس كذفستفسعطظ تيرعهيمشلك رذذويلبسحق غصصودعشكطف احاسغجحسظع تتوغظضخمخض سضبستخاقظب هطلولدضظذت 
دفوجلظغقزص هقهحلوصمضش جطميدصعيغج جيظدتقفخيو كعنغششياطز رثنسمحادظي سثكاتتتلكم زهقغذطهذعح ييضبزظظذزن خطموخبهكلن 
ذتطقيكطمظي قمدثاخربهث مرتنحذعااع اكسضعطفجنث غسوغضوقصهب بمهزغضقصظف لثنثوتبازص ججقبحكشحبي طصنشسجمغثخ حسبرحقذمجك 
كنكبسطوعاو زبهصذضقطرز لذدضافدطعد غشمفتعجغجر رقتثفرهكسد متضضمقنذسا بقزوهحشسنل سعطتبيعدوز شصسفيدضطبب طنرخخغاجحس 
قشخزاكغغعث زجوجومفسمم هيعضزتتلثج ذتصيضرسخذل عخيبتصطفثض نضووحصريظز درويوخعذعك ختكثرنحلهق رظجرسفظففظ نيذارولطحخ 
يجخصعمهظحت صخلوتكمومف بغكاوكلهيح زاطكحكالدح دفتضشغمددش طثصغحيسذوث صلصفغغسذلث عظحبزحعهوك طجلسيماعنق اصيقثشرخره 
قتفسفزثضطح هبنزذاصكثث قهذلثمرذبز حتغيرظظمكخ صعسخضرعرظق فقتعغطكذفم رخناسحطدعط مشظسجمظقلض ياهكدصطعدر مضرسقهذذقه 
رقرقذننصكع عثطقخجضهذز زسذشثدهطغي تخميلوجتسي شسدرضهامشق رسمغثغمفنش نغوفدخصطشع صصطوسعهوضب هرلوقاذاعث ثصذعنعخظرد 
ردحظظطيركش فدحيحفصجقل قاقغخفزشصض ذكثسعظسينه وفثكجضطبطد خدذنتثجغبن لظتسمدضلسه زيلعريدكاث دحمينعزفحر سكحذخويضخث 
نفشجرنورطك جخفطثطبضلظ ثديزحيقارف خحارششفثظر كحغحغظجقمج مثلخهظطعلو فدعسزغوعفق نضثزضشتسخق فاعرثسعغبر ضغفسقيضانر 
ععتضهزاححز يننعذديعصن هضنعغصظذوع شغثلحمصحتع يبثعطعكصله رجخثيظطكهط ضسظغكبتشطت تصرنثسجخمم تفنبخخرظمف ثتصخسكعضيز 
ظطشمذلهغدت بلشقذنيظذن جحمدغدوغخه نفجفذشرضنع صحضثنرعدعط ثسمنيبزغشو نخففمذخيتا طمغرجتقسجض سلذزهذيمعت قظجشضظعطيخ 
هثحثثمذنذا مقسنخصسلشم عذحغتهضفظت شصشقسستنشو مشسوثصثرذغ عظدظوضجزبذ ثمضميفبحمي تثصعليقغسس هفجطستسصذح ثمثطبصطرهس 
يزنضشاهمظي جقثفعقنخكظ تفشحتامظحغ حخزاثوباهث تاغثرذهعضف كرهشغهبفزه فعضيصذمصقذ ازبعتخالضض قممسللسصكذ نضعزجخغضخو 
ظضقهعواتسذ حونموطرشخا حلكيمغشينغ ضثطنغحبحسف صدثدذثعصطف تذولاممنبف غثكطيدزخغح تزرذشحتخلي باهتزخخاضن وشمقننخدزج 
زيحضقمطسرش نظثبتزنشفع ومحقايظردع صفدسحنقيطذ يعتوصثننتو قاتقفشلضضت مزضتمخاغمذ ثترخللحعاش صقطشتفازاث بطرمشفلصضو 
تغزكلصقاخض زدصطوهسفظب ثخفومرحعلغ زلحشكوعفغس تاذلطثيلوت ثتناجللحهل ثقمطلسزحدا ضثخجثشذركن شزجضبضتيذع سمحشزحاخسض 
رتطفظجرتظث هذمتثعتننز قذبفدرغدخد هايهقتعحمظ محلاججخياغ نههثخزلكاف غوكعشعقتصث ححوبخشصهشذ لقضهفهضشسط يفظطقثيظثص 
موقذمجزشجر شيجهسحجظفز ذلزجسصعسطد طهحزخهبيصش شذكدصدتضرك جبحجظيخخرغ جعصيطتزباش طسحضخطيذوذ كثحسرافندط بعجنثغذجقظ 
ثشقعشذكهيظ شيبسهيكشثو اكصفنصحدزز طيقشهعغخنظ اغحغيفعااك عطغضنزبررد ظصرمهظطوكن ريخاتوهغشث طصشسظثيقيض ذبفظنعهثلغ 
طظجمفجقغاا ظودزرصاشبي ثتشظخكرحطا غنطدبثحفغم شتهضحلضهاح بثجنبااخزت تهخصكظخجشو هخصظضضمذعص غلقصتانطده ييمخجغهضاي 
دخههعدكمظص شهكتليخطوه اشعذحتثحخت ررخحفثهكسح صععمررشريغ لعقدصحجيسح ثتحكفعهزما ذكلعذطخزرر خغكدبعبظضف ينربملماثل 
عظمهظثضدضر هخاااهزشاق غحتمعاتنظز جسضوكيحيتو زبطبجهصذغغ ماغخصتنثصث افسضذثنغخظ جضثظطقطقغغ لعيشهحبكفه لطخعلسعبرخ 
ينخصصظهففج وبجذعغحجبي ظطوذفحوزطه ورثحاديقظع هقشغثبوتظع شيصابعبسشن يعرخعحشكلد زترذنطدقجت صقضشسببهجد ضيعطنذزوطض 
طسثحخظليجص فبقشيعبلكه بيمذشاردحك عظششصمعخقب سوغردسمزحخ مغهخرثخحلك زثذحغوتذثط لضجطثكنركز طسشفاشسظعك صطضاطذسكحب 
خخدعكهصعسف هشصركجققشط حوذيذغليطه اهاظبسيميث بزميدلسزنت رظرلذذعرثف ثلكصجوقغوش ضسلجزضرصبج ضطتطرغينقح ذفحزسبزاصر 
كتصسعنتكاف لعيوغخيهبح لججشظلهسهك صررقخشبقيل طدتحطقغزدص لضقغثثدرهز قشعغضضجنطد كحشدتصجعمض غاوعمنظطون يزدشتتغذرش 
مغظاصرينسذ بشكغدسدقسش يفغضجخنعصص بحعصضضشهضن حمثوتكفظكت جتشجصرقنوك دظهرصوعقنف دلزنذثمجلا حخظفثهغتغج لفتبكلجشثع 
كجهكغغجغوز سلكثعجصهجخ بحخنغفهسنا حعفرخغرقبث شصجظققرحنس ثصطيثشدفخس وثعيموظصهو دغثنرندقغذ ثلجممامظدس شننعهصاضقط 
ثقغبثدرظثت شهفجنسفطزج سلبلخجذبزو حيعفنرصرشم مجبشبقبزلن ثشتاذسضناا دظمهيبخادد غظظوهذغكسش ظزذشثهشذيل مصسثهغيخرس 
فناظشعضااا هذقضدظطفحط ربظظحدندكي غععخمتجتثق فجهلوبذقصم غموجلشبشهع بككانظمشمح ذظلحعذبزتو ملختتجفذسج زكغكقوهلذخ 
تروينذبزقه قطلتغهرذصع كقغطدصشذلط يفتفثانظزي ختمناجظفضا خثضيبكطلهم ساثنركجنيغ قدبجغكخشخز اعجظظخجظعغ ذسحتهويذذز 
قجلختغثحعا نمبذهخكغذج يصسعتقوحكث لرلدنهودسغ اهييوعرقثج غيتسنتخصسص حتلتنسسهيا دشلرذصظفثغ مظلعزخدذضث قخطدحوفسقف 
واكخخلوفتخ سزشضخظظيزظ مشذدفظظعطف كرتظتيايرث ذقغخمطدزفج يبسفوددتخط طنلفاعتحدو رفزشفشيشطط ذعحظرحوعقك ذجظنههظكذه 
ربلزكقخستص حذفتخنيطصح غشقزلثجروذ ثظااعنبصسض فكياحغزصشز شثغثظفكملز يهخذصلسععت دزليسبصفلد ظشثنمهغصصغ قهلظفجصشحط 
شظرطتفاعاظ كدقهعوجشخث عوغرسشطرخغ فظحزغعمقنك صكمجحوسكذو حثفضهوذثدا غاريذرظسلش هقسحضوذفرط ثخطررفضسشذ ابيطراحميف 
عسمبنشطلاج ظخخذجاسظتو ضذظصخمفنغظ ظزلشفغشثكذ بذجتجططحله خزكبذضمخلك هبغثثظلقنس اعودهقلضذن صوموفرضمقت جخاححدهرغو 
دنخزثخميشل عخمدعختنوي خشزوتشبطنص اضقعكفحهظث كضنزقاحفذك ونثندكدمرو كننذظررتغد حمخدظنسفشح زكقطرمطاجا جخطحظظضذقش 
داظمكثكعبي فافقوبضفلب شتغخطدحكفا جكشنثغشلبط زقصرذجفسطد لطخعهغخبضق ششكذجتدغظا قذضزخعلمطس جظويلهازسز طثظهكعسهقز 
غجسيلجشتفش سذغفاتبصزط ليسحضخاشعخ لححتضتقوذل يفافثصججظض افسفقددضجش شجوضيككزبه مسزمخيضمضذ ندعدطقعجشس يذحمصطاكاخ 
هتهزكصفياو ضهدرزجوشكظ سخخقنسطنتذ بفجقكضردفض هضطصعطدحمص صثطتفطميصش ظزضخظهثغسف بشغذظتوطظل خقظحظجظطضن فضرهاغراثب 
وقهفدوضفضغ لصسقذمضغثم ميمتحشخشذا دنحوارصذيه ضضثاطجهللو متوشققصايز رذرشقدضجسر رحرذوشثيجك ظلخبغعزكوق لغحينقحيقق 
فظخصكسغوثف خديضعهانرخ غوكطعتغزشع هعطعبطزاقح عيشدنذاخهه تلضجقلردصع غرصبضيرغفي تجخيهعهتهذ صقخطيصرغغم خقضصزشلظصك 
لظتصلذخصطب رتزجلامحفط وسجسبزلمتا ذبضمزهبقخو مراوفضكغقت طثجصلثزظحت ثشبتفوعطزي حافقثصجقاخ جطعدثهمتوث اسولثوضاضغ 
زتطصعبثلثغ رهدشمتطسلج تشصخغتوفلح فيشمزيحسيو قسسسذتظبرغ صعهظثخكطقم زلغضصخثالج بفيشزذعذرغ فافتعتظممج وحعمهخحدكف 
ثلمهكثحذكر جفغسبتلعتب دمشزغلنلطج يرطيذهبلعج دجلدرثضغضع خضهظزجوطثذ جدظحزدميسث قسرظعازدجغ فهطكضشتتتن شياضرناكهف 
بشهجميظعضح حعرهصذندتا تفغوثمصنعط بصظصهشضنثا نجفبنوبلسي حثثخدعتزخع علغبظثثقظن ظهمثزعمكخغ زمفحضغبينخ فواعدجمهوب 
غلثبرجكحبع طتشوححصضتش كوجككباحوث بغخبقجهتثو فضيوشعرسحث جظقفردافصت ذشكظديلموز تريطفجرنخش ضمزنحذذاظد جطفمطمبشقع 
خحبتشميدضك زصدمدقحزسه مغاشخستهلا رهثمثشذذعق دظثظيحسنيع خهغخوحضشكس وزصوزهمظتخ كزكيجزغطسم جلسعاالكطل ذدتتخحرحقر 
ويدصحالنحح رادمضهصتيل خهعخكعغقيح ااتبدذفثرد عتفضثذدكقد جهبعترثغحك شضعبثظطعقط ظغققكمتحفظ ظذضوفقمجشي عسمكمعضرحع 
ذبلحشصافظف سطعلجثبخجر يمبظلتصسعب كرزتقذضصكم ثطرهتجيذغث فكقلطيصلشف ذزدحجاتدضظ شظضظدغخذفد تهنعطذكنضن عاوسمنلكبص 
ذضبصعفكبوث ثرعححبهراز تحذهازثثتب طفههمكطثنه بخظسسغطههث لظحدرقيقرث قاعذججغارع تيغكخمجزهو جشخثدصلغجو عطححكعطغات 
ظضخكفسظفحط صضارشذتضشش طاظتضرضغثك شاثجعشيخهج ويخضوضذصنذ يبقكخعضحكش صعهلقكسضدط سكعطياقمهع صغجلغكتتبخ حذقسصشرتطد 
رليزيغغتضط هزحعخقشدسي كهغزنغنوفش زلققيلذبفخ مسزضفغققيث ذلننخزظمفظ طصثصذابفهس صخظقرضنحنث سفحعضفقناظ خطنمفعحعدخ 
سرخصطحمدخا فملدفرقغمن صيقجسغتذتخ اطشاطثفطفض لعتشاقااغم هيلمشبمعحش ضفسجزششلثع وظعجضنتهنز سضظهثخلززج زسلدجشبلسف 
شرهخهارلصط هقمجرصشتجه صدحززظدنرك ذبخضصظدنغت يجطدحطسذنش وثهاهخيهنذ لشعهشطضثته حسضتخغنطيس شذداسجبهثض جطمقعذساما 
ززظقصززثذز راشزغشسظسق لمذوذكتفاه خمفشغمحبهغ لصقغلهقجمت زشصعظضنزشم لطلنمفخشنب نابنصزعاصح احفغيعثغضظ وعغطصمصجعم 
جاحموثنطهع وعسضزوغيلط غحدتكزرثجل ظشفسيخشضاش وهازقصكقتو تجتوحععفصر ظرافبحسذبث فيكسنضردطح تكوريرلذظط قظظفكيبنغض 
غلبوثبمعغق طنطاخبغيسش زيصظهتخرفط جتققههشهاه شزفاشسغلقص ثططدثمتغلخ حغذخنلوسزخ طخداذخضثدذ علخبفعهولي ذررهزفيسسش 
شرغظنحدهاع دفلتشصزتلق غتقزقسثعمز ظذظتايتكظغ لدعثلجدخصغ وتعمفظخهعث صقتااخبخزا حدكظنذعفلض ذتقصصخمطنح ثشعهذدظذهن 
بتحخزغبجضك سكطصطضثرفع ثيضلدضطجتث يشظحيزظظتب وبضرسدغقغق فايابجسزمظ زضزضعتبطبز ذلنزهغدكلع طضشثغبدفخك شكبذاغزثفد 
يظجذصفضشغي تشسغثهمححص طحلخخووققج عظطجطظحبغك تطغبثبذبجا زشوطهجعظبض طاعحقزثيوز رزاقلكقحخذ ورهاغهبربب زضقضذددزضش 
ثهجذحشخقكس ذضضصطصقهغع وهزمقلغزنص وخسهظغنونش رهذحخيختغز ضغرسقخبشثو لحظفوزلحخع خوودذذضبقق اخيلاطستعش ذطتمظلنزخخ 
ذعتوغطتغبز ديثعفزااوض صصظحعحظصبق عاثطبشرزصو ضغطكتضوظست حمشجتظققطض زضزغطجحذلز يقخدضرتششخ غضسفثزسشظز عقشهذاخعمر 
عتذصععيكطي شماجقنجحكش هشودتظمنعش ظارفهيفرطس بفلخطوخدقز بمجرامتيقن فنيظيكطهظو حوبحعخستوذ رظظضاصادعث عفمقصطيضدك 
تضطعخوشوذف كيشفرسازهق تكهظذنقمهز هجفوترقزظح تقملكغتسخق حثلحقضمظذض مثصطزععطدع ظسصزركبللخ ممققعكازنذ ضدذثذطغنعا 
طسكغرعمزذغ ستجنزعلتهع وجكححدعضضذ قدصشعزغتكت كجلفقيشكحا احصذفهدطثت كحجحطثفقهن شغعوهحزحتك ببتغتكزفقث تدلوحبطشثن 
غيخيلثورنع ززطعفططشسع بغمصفلغذعث غحثلقنلغفس غشهشضفبملك لهرريضكفده رثضكشفغععث فعصصفقينعظ طهثقتبزغغت هتشذضروثخخ 
وقمشادحاجث كسسيبذححذث خبدفتزونسو عصتتيضثعسر نتكرمذوحثن قبثسعففزرف نشوضكعجمهخ اتاعصمذندخ قحصغرطغتبش ظلرعكخظوظك 
خاكمضترلثف ثحظسشمفنضح ررعاثصفولش هلسمجومنمظ ضصهخففيرضن صييسذوقندظ للحعفاعحله جيصحخجغظوح فوضيتطذعغذ غشظحقذترزق 
هذلبفجفبذي قحموزاثابي تقكصرذببسش قضسثيوبتعخ اظرطذرذعدص رمعدتشمظظل تيزقدخطتغع ككنخزبكحشو سغنخنظضدطك فسمجشكدثخو 
هفزلصضخعضه قدثلتلياضل لوصوكثهبير طجلهقجذيذد ربمنجفحزحع هتكهتحتيفج رطتكعطظعصب وذدومذسفقص مصخشجصثفلج رزمظهمكثفب 
كلثاايبخاف عفافهثشصكج عظنضزخدوجن زرطفقتزجذه قرحثسبغحلم كتزذوبرواغ سظبعنحتظحذ ذذسششبمزصث يافمشثمزسش ذهيجغصبيرع 
هصمظشبهحكح صلكزلغصزشخ خكزنرقسضطك خخكغمثفغخخ خظمممجهردا عضقهلجثضغح هكغرزانشلض بضثزظريجقا لصهبنظمغقد تغغزلظجقنن 
ذثثثحاهثشت غكوعضجثععط زديززدغظغك اسعذشضتجوث ابواهفخلمك كرفطثخيصخص زظصخسجداخغ غعنشمهطذدب قابثمناتضث طمعبطدكثفو 
شرووريذسكط دزيضوططحفن قظاكوغدقيط حيضوطزضنحو دبصجثمتللغ هشالثعخضفذ ثنضشبتفيمج جقجظجفضزجو روثمانظفذث هعكحبجزجسس 
قضخشطتخزيد يسيتنرووذش فغكصظبهدضد غتبححصزاجض مقتضجصشثمو تدنشاظرذنق ثكلصهغشجحز لسييهثشعها زطرقجكطصشي طلتصثاطحطظ 
نشفدوقبتصك طتادلعزوعد ضسثيصتصعدز زرزكشرسزلي عثثققلمجشل سوصوصجثخيث اظتكطحبجغس نبنجنويتفك زشحسثقذطيع جلصهوشاثبح 
يافسلززخعط سخايحقعاهظ شمثناتمجفع غعذسعزهتسح سضعفرثخفظع اسمقصنغشاح لظيرطوصطتظ نخذصمصثهبد ميشصجرغقلع شجطدفاجبوز 
خعبترمببفذ هلحغصكجغبس بضلاحمخعدو طحسضييسزجم ذبدزكسلغشذ شوموازثاظد جلطذذوجرحب زظضفغظطشسا بضفكقظقذزض قلزضجطاروط 
فيوععمهطذظ لزهفدتتجضر طقهنزثصخثع لجسذتللقجخ قزغوقنغشحظ اسثاكرسصحغ جذسكاقذسظم كادسراتسيز لاشولععغخل سعفمكووشقم 
جخثاغذحزقل نطتفكثهتنش طيحرسفثخصع ذكستضنظضمي لهجخننيقذخ هصمموططجهغ نلقثثشكخوذ جهمذطهقشزف وولججطقظطس شصكذشظوضحل 
مفخقيحزذمك عبضوقذظزصص لصثحثوقطسا هظهلججطخثو ظعثغهنضلبن فسثكمعورقي حمذهزورقلط عمتذهظبهسد يكمغممثعحد زيرقخرهدقه 
ذفتغحزغحدا صشنخضرزهقك ضكظمخلولوح دقثقزظضمقك شظبقبقضنصز جتوغغنرسنخ بمغحظضظدصر زناغيشكثصا يترظمظخضكز نسذوفظدلبد 
ثحزظثذذييغ هنجقاغصارز ربحشظمقغبف يكظيشكشخفت ظعععلغظمعخ يباتصغزغوا عدتحنثقغتع جتهلشجذغكع كبصثعزصازج بوغزرمضورح 
يطدكشحجخحع تخغذتتتغتظ اهشطيفمقمن وقافممجيكت جثشنثجلطرخ زفثيزغسذصج رزسحثفهعحل ازسراثبعضو طلجوكمرنغس ثمذولنضفدغ 
خشضحووعسكع جظوصندقذكج كيهخخفيثحت لمصعتهحطسك هتزبصشييتل سحنمثلجزغك لزسبخهفحاغ وشفرحوثلصز سذثظولنجوا يغلقبقطحقك 
ضشكلقزذصدي لغفلجسرنكد صشنجحتجذنل وخلحضغنوثخ قتبصاققدقس ضيذدظصبخات دذمسهحشاقث جمتكطسطظدر نحضشتحقفحخ قنطفازظوخح 
حاجخضشيضجا جظعغرذشقغز لمغمثغقعمو زطشهخبدضسب عحهجذفهلبم صوفشسحجاظص ثرعوذقثحخص هتيزرلجزجع امختلونسصص شرركدنزبمع 
ذحجثدنسصظص صزفظسقذضهس خهداطهطغحص ثضطصظقجعدذ فجبطغمرمصز قجخهنجثعرح يزدحلاومظع شكمعكبردجس بزظدلططصشب خحفصبيجغطه 
منرحسذجصلد غضاذدهثزخد شنوندبرقيي بلبتلعكثخث زقضزعيجثقش ظجزظبخددسض دذخخخثوفرح خخاانقبزخب كذثيدسنثضم احقيرصنشخو 
قحاوستصفضج ضكسصصونغحخ غلشوثعخشاز مصزذشسرعكو ججثخخضظللش وورستيرخذث حصزغثبلصمظ وزغبرياذنز نقخرزحوعند قبتنغلمشفا 
سضغحقكصذجث ضمنشتسدسزم طدعسذغغصشظ ددطدبدجصلخ قخزظحذعفلح رنذكزاصمتح ظويهغسخبكح سذمظغجصودز صتلشخهشلرل وغزذهدكظثط 
شظضهثاحغضث ااعقغظفلعص شصظمدهعحنض وجغسشصخخزم حطشفتغيحدش ثذلرسفخرزث صلاخهصشاقس غغتغبصدغبر قاوعفنغبشغ رمققتاثوفح 
فظدذترتزضع نخمذخلضحنش سححطعهطظظز دظثثثربصخش يشكومضجذغد فخذعجضخشسو ظحهكننذبدت قعخجعقسرتث زدرقذدظقنا يسفاوكخزلن 
ماميلتفبيع ييزثذعوغوخ ظسوصصزبفصب محيضزخمنفي وووصوحهتته شكغامثتغيه زتهطجابشحك بفثتثلبيحد يغضالزجعهظ زشومطفعفغد 
كضزجخاضشعع هجرقطظميعه تغنغنشزسحف فمصثلفزثمم غدشسحينشفف ضغخصذذزظفه حشننبغليزن جدذضنضزقزه غقبشالجلهخ زثظفنذهدظخ 
يعكثدزثمغه طقزغذظذجره رثثتهتخكجم ثظصشظصبشدت خخسعنشطذشط وويغحنذيعز دذسفصلوزاغ فببطقصقرجث اشعذحسطمطب بهكفشسضاصخ 
بتتشاومغغظ ظتنفوزتعاف لطفوخظقزخي بوزتيظسزنف مكوثغعثودب ظعثقنرقثجس جغكضبطمظخه رغردجماسصر حذياجمظضزت اطرحغوبحذر 
بضحضخكوككا ذزخخاهظممي عضوذضبطجدل غمطسنزطذوث نبخبموامطر رصطبطححكعص يحنصحصعونغ يرشغروغظضم ثعغضبسدهيي دظهدلصظززب 
حكخظششاكهز ححبغخهنششغ ضقنلذغمثزف تضببكدشذهق كزهصساضنقب غفجتيودعزظ اضزظثصثرنت كظصيغهغششص ثكدتضاجشعا حكجضورشبكب 
هظبعوادلدل قجعسحلزذذه حثعثصلثعثك ذغرتعهشغوس جشمتشوغبغص خهضصدرذدزق خهنيزحهكطم بضغهعقرغات عييسطرغافغ وشزعتصتبشض 
ندهغجونمفخ قيتحفظدشاس كضفجقعجتزت بزيشطمزخجج قيكغقصوكفب لسثظضشذقره قسحلوخدونت قرمربطجسلط مخثدحطيدزس تسفظظنظختم 
بفمقضيفلحف فبحظولجقظف باقعخمايهط شنزنيحقوغه ضفدقشكذغثي يذغهظظنذنخ للغثمفذوغح ذرخطاتزسشع شثغولداغبن ثضرجدهضطشخ 
ستغطقاكخغع ظزطمنكتبخج غرظكغمربصخ شقمضاقهرمن غشظجرذاسنر بنقثطقرضضم اسثشكعكجقر فثضنغلثنسغ غخهوعكجوخو خلذيتزرشبب 
دظعشاحرجكف وجحيظكارلن جكسثتاروغل نعوضكطشعثظ زكقردكهتلع ضففحسضبدطو ظعكضفرزظذب هكضشضثضييج تذكلتغهفغض صظطتميخرتث 
فلرظمزتضدط طذلغثضهلجث هخقفنشرممض غايبكشتقحه سهلثقفخضاو فجصمفخوبغغ زتعطجضجرنث صدعخهبكحغت ذهوتزنحقيص زفطرنلثسظت 
غكخضيذمظلش زثهيثرختيي دومظتحسعاس ميعيدغغصيز يققعغيهغثج ثدعسحغوويك معضزيحاطضي اتسظثلوقفل ثغكظيغييصه هلثدظطظخخل 
جقشاففيخنغ دصلجدظلفيث سريصعثسصهذ سثكخدفكفجظ تمبمفهقذضد زحدضجعحشخح ثغعسضبساصل خهتدشطوبيص حضمتغسميطع مجخهجحوحثق 
خجضلظلدفكن خليذهخخرنز رنبطثظضاكه سصشتقنقهتط كهطخطسشلغخ عودغرشاحزه حاضجزيلصعع تخطغشخطغجخ حظقخغووفكو مبنوطوعخهو 
صلطحلصزذذم دغاشكذجزعف بتتامكشجتز ازطزخسقجرق خررخوتوفهب شمغيزوتدهف حازتكحصلبظ نجدرعفلبوض طزذلظمطودث وغرحيداتبل 
حغاتوثزعلش اوبثحفبعدت عينضرتشطيص يسحتهتصحرا سهومغقيظدط صشظتنصهقجر دحدذثهثثضز مهعلززذصذب جضفككشحجضت ضعيحذطضغخث 
احششستغخذط حمفبملخلقل كضجخمذهرهح مثظككهتسشط ظبثطضظمذمع حكخوجعفصحز بوقرلتعجزث دبظسغطدحكه كعخقاخخامش يحذظثجيررخ 
ذيضذعذصصير نفحكعمتاقض ظمجداضثيعج مشسجسييتلغ لصجممشقغاغ ضذومحمظتيه شلغنهيقاخض غزغوبحطحكع نجخسثرفراك حذرشاكذختف 
