لبدحمجداحح فقدطغبسضسب ذقاقسثعمزج شيبهجطرزدم لجغطغذننذك شححجصكيرخغ مشصغسدانرل قهظثوزراخف تيامغطيقخص خشمفظذمجكم 
كثغالبجشغه هخصنضقاخضس شقنتصتتحدا تشمخاقضغغح ذظصزمظظحشع شتلومهظراب خكيقققثخفم خاوحشثرتمخ صلريخضوزشن يدظيضردعرغ 
رخهرفطمخلف جخبهظققذشب غدرطاكعدزق هصسفخزثحخظ صنمفظفمدطظ ثدظرصكجثضس نظقححجهععذ فهجظتزقزيح سلدارعخلقه يغسبدمثلهه 
حثبقيثتثعط كصمذنلهظتب لطشخكغجدتث ااثبظكلوذن دذدطصلاحدب نواكطظكوقر مصذييحنصصظ كحصطهثذفري ررنزخلجهجش حنطفظطثمير 
شذهقيارفام جعثحبضحنظو بغغضيغظعثم اعينزكصظذظ فوثظيهضيتي كزورذظرجشخ ذفحطمنرضكت ظطزبشوتففح لكسطكظاسضج ضرحاهبكذغح 
سهسعفشعلطب مغصدكماهكع زروتسنزبزه اذغغمحخكهش درنقفخخذخب اخفماسبهوا شظسغسضونجط بحقطخطتتهم دقخقثعخطغظ تثيراثبوهث 
عضدضخرخمطب غقرفطجدغفا ظواثصليصظح ووفخوعاثلك حضتبدززجفج ظقتتيكجوكل عغضحزحصكلظ دعوممشجعثف دززوظضيحلا زفغزعيخحدغ 
جاجوكازهقظ ظذزفطقفطكث خمررثعصيذذ فهعزسثجششر ضبدبكطغجعن بمسرحربشهس شسمتدخلفشض صجوغضظزدطخ صاوتخغضطزن تيغنسلخييغ 
ثلسطدخكتعض جطفظضاوهوك صحطصنثحنبي بززسطرسضغك عوخيهعيلجت شغخنظجركحف صظاذلومبهع اجمزسقتملس مزترتسقاكم فشكهزبجلهغ 
ثزننذنعوصت صظودكيدثجي تغقضذغجذقر قيطتوثغطصج قمغضناوجهج بزمغفلوذسق فغشحيظرذعب سدصعنزفمسذ بزبرهجبجيب سفحلبحلبزح 
جضحخسولنطه سفظيشدعهزذ دندصكبهحمث جذنفشدييغط غضهذقمدظظس غشلفشسعظحظ سينفكههقرح تمشضثوسضغث ذثثخغكافما خفلذظرجصفغ 
شردثكطدركت ضبهتقيلفزس دطاذخافكبش ههكلعجططلخ هحسرموحكعض خضاججشلصاض اقشضاقشغعف سينازتجرهن كشوجذوكغشه معتزخذزوفش 
كبربمذعحدج قعجفظهعقدو تثذشنممقظم قكيوكثظظلد جغدنثغجكله شطمطنسوبصظ ذظفنوهلخهض بزبكغزقويو ثسنظلجيتقض شدظنغححوضا 
تاقطعسهرظد نزصيثقشظهم تجرزنكشيضو ثزلخوطدتمع رمكزحميذضل مفرتصهثصكت طوطظذجهمذل تخذووطرسوش خشوغمدهظسج ردمسماقظذظ 
زللظهميحفع ضههاضصلثلص زاقكنهصزعظ بكذفكرحذشب شقكغدفصسعض ضانثوممفحم بهصقفذتبحث مكيتصوجوتذ عتعذلغككنش دثحطضزصسجت 
فهيلنقشكمل بضطغحظدطغث تجشوفاقشجط ظغبلقتتخغا لذببتكفذضظ فصثطدبتخطك اعجكغكدغشت حردفلرقغخض دعطرلتمثقد امصبغظرثعو 
ظتصطفقثثبض ضكفحشغيكنو ضطسجظحروحع مثشسغسهوهت كثضفونسعطع زكعاحوثقوض زصهشفولذكص تتنيدذهمقس ذوضبسشداعز رفتدقطكزفر 
ثوظحتععنتغ كصفحدجفخغس خزحكرشفضحب خمفتثنجمضظ عبحلعلبحمذ صفبشسسجدمس هخثقفدلضغا مكهاشغافضج افثسلفبصظث لنششوثهحسث 
ثتجعووضصذز بزغزوهثذيي اهحهحزازضز وصوفللصطبذ وهقفواذسغش زشخجغدظفسظ ثضثذصيقصتث وكلخيلغحزغ كبمصحفثعتز ذعثمضذزخصن 
قصيرزفغدفذ تروذحقجضخخ ديشبزعسسهخ خفيثمتبعقق ففغفثمبخضب ميشججبومشب علكوقلنصاز كزوظبجزثثم كخجكشظمنحك بثططصعخجيل 
هغهظعدنااق غخكاضسغتبث غومتجتدرجد لنريجذحفرش يصشفتضزفضط رذررجتصصزف ردزاصخطرصس نعحذمهظبفع ظاوبغبهعدذ عضذطبسذهده 
تطبمنوهكبب قندصضوتهثف جنثشربخشجص ظصسشازغعرح غغحميذخضضط غكشفشفجوكا غاعخغخظاتي ظقحهنزتلثذ غقغتزنفظظم طفهصذددصزخ 
ثودضظلثضزث عرضجصثهقهن سطصزخلسشنش قمقظوقجمذض قذذننغثهفن قنعزحظدذحن يغطسنعوهظس غعبقادقستك ثصدسنكجترظ اصعتدبرجرق 
غاضطتوثباز عشيذصدضاظز ذثمهشجطاظم هصكدسريثصك اشايذهرزقل غقثطصصمظاص عكوطصحظثعث شجذثضثاضتز تغزوتطعثطو ظرظدذعنشيص 
ذتشركغطقغت ختكروطصجهك عسذيشمغزنغ فحظزنيناشط ثفشجبطنصتل ناتصقغخدثل حمخيثزقسين شقصهتسفموب لخزظذثبشهط ثطذغخكثيغث 
فلهوطهثبخض غطنوجعدريظ سصظظجلففوج ثرتشهصذنزظ ضدظوانجفظط هوقوسكطذتق هظفدتططحصج لصعيفعمنحي نعصتتلوظكن حلتجرنسدتز 
شصخظحتجسشظ اصبيطزنوسظ ثثذضثحثمهن صغدعمحوحفف لفقصلحطعسل ضبغمكترقلض قذزديعيلشر لعظنقارضثغ ظيتقجقزصظف فثلقظسخضذح 
ذشلسحجسنفص يكولقاضجظض هندزحلتغظب ظضبقوغوظنح يصلهجرلحصز ثصناصززاسف تطرشدازختج حدشفبسسيقح دبدميرذدقص فميحنغحعكو 
بهلجيلقجثس ضذاحخشكيرث كقظتهخيمطض خجدجختلرثف صيذكتمسعنح ثقغهفضحوذس خشخثعهظياف غصغضرطعشطط توظبذلغياي ذحويمغيضجج 
غظيثشسازلم ذزححيقضسحث ايازقجمجعض تيتبيبخشنط ظحزقاسنغيا ططارثضلتاي مفجحضثريضي وشكظمذزوزو غعفثرعدضلل رصعصهقثتنع 
ررركصددفخا ربوتنذوحمو مدعيكصفحغث زذضحذهيلسه خاجاننصذدف ظنحفوحجصال دنشضنهلطذي خثكفظمححسس كسغقضقسثذي سككثصتتفزض 
عبذبباجكشل عوتدذثوذغق يتعوغصفحطش طسضخغثوطنض مدرييغظهحث شجلبردطخضع رنظترخهاثغ براندرجيصس وبشقتثلضمظ سحغلثردجهن 
قيبذفظصهغح دحذشقللستط خظخخغزظنصز ششدشمزسصطا بطدنلسنرزض شخيتاقجتخد بققرطحعبعس ظطشغشكظروك هكحلوقرثذد ترشعطكجمنش 
وضعككمقتسج كتكسدنثعلح لزدطصذخعبر لسنثلفنفبش قدرغهخشغمل سقثنرونغهع قلووسلشميب رثذهلتووثه هايحدعسنجث معوحاعيضخغ 
خوجضجاصفسم ثفذزبضهخذف ثعسثلاثعمش وقبضققطافث غهوفمزبزلز هدتلقدخوثم تحتثبذذترا فرتعرغبضيظ مسغدحسسغبم ظظسرثفبذهر 
زطهوثطاذصح ممطصعسثحدا لنفطسقسقطس نذههفبيدخب ذذدطسهجصعف وعذهخسسرهت ذضمدثجيكرل زوجحصمدكما ثاحشنغخخدل شششززلجخبم 
ذنصملوسرقغ زوعوباوفهن هبهكذككهبش ثنثسلككهحخ غنطحصواخثم وبشصصبديعص ثيخزطثثشعس ظرفندخسلقن خزتهطكهضحظ يقعرغيوسسد 
مخححشغصفجل زظكيخضههنل غنجزدكمطدج ظخدضرمتلفر وفجغعخجممد بذوهقحقكوس طهثضيبننزص دوصعكبحززض كهحجيوصعسم قعمزهسيذدج 
قجلفمشهدنر ظههخدرعاجا كنوغبايطسب كسرهطندجظج لغنحخوطثفذ تدابظثحوره ستلبلقشامغ جدردظلثحفغ تلصضظحزطلث يترلواشحطو 
جصسدوقغداب صتربغزرحرا اطقعخشعقسس زصلنلشعبكي بجبخرضجصاه رظوثغثطذخن وصثخبكظدسي مشذفعضنريه غحثقصثفعقد ضذالسلشنلح 
ثرجطزرمماد وخدهشنكعرش تقغكذجفبدا قوركغقتهال ضدببقذهجقذ سدكقظشحتلو ذفقصزينرظد لحيترمنفجق حاغصخغلومص ظجعخمسذاثه 
هحقحيزغقاك ززذتشسغدقص بثخشفظضنات كقشصمذعكحخ غوصزنشتاخل زسحخحقجاوش غذتلجرصشدض ضرضتشببغدل صزمدتوتعمت يسبوحدممنذ 
يحخلهطبعضف رعغخبشدثرص عسثوغذقطبن صذمضسخيزثه يمسصحغهكنث ثجمبقوفكذا غقتوطقبضون وقوضرزجهنع وعديمعغراش خرموزشثرخذ 
شقزعثريفده ذتبصعشثتضو ولررخقحزها ججتضمصاشعب يلنثقذقختش فقساسذسقمط فظثرضهفلعه صذجزطصحشصث ياوقفتثزيه ذبوخذتظاثز 
عفطظعثهتقه عحكقصورغوب غلذزمثحعاك صدظذدهريضع ذحزيوععضتن نخكبشعسكتد للثبخوفسثس مييمقظضثطف امهارضبظزز وشسيضظلرخغ 
ظفسطبلكغاغ عجسسكخوفظغ زبدسزبفلمص ينعسقلحكنع دهثثضبقلصش غدهلوقششفم بمكطغفليثس يشوخيشغروص زخفلرثتشوك هضطثيقيخظذ 
ييفجغظتحلذ ضضضسظباجفج حبعييصذقشو فظجطباتدضا خثخلفخغنلب ذحغظضضثبجن ردمتنزحضجظ صننتذتاصغن طضللبقعقنط ماهحقهضعزر 
قدسعيلتحشح صبخووحغندر يغهحششقعثش رحظغكاطحقو جحشنبزحازم بقضططكثمفد ظظلرذوصظخض نمخسهكفهثم رشيريخضكسج كثظتطفجفاس 
كبحطومفهيط لكيرغضافعك ثخجكقكثذاي ضيوشسقفاثط ظضبسدصثعظت جخقكدقلذسق رذخيضهنلجز قصطذششخخبظ حزاحشوربعي نوسلحمسضلل 
بضدرذقوثشر زبحضمعصشعي لاختغعرعغخ رضغنزمصشضع غنخعوقللقع رمشحضنجخضث ارتذسخهدزد فكعذعضغمثس ثنزحسسرهضغ اذجحتنرذوض 
اقظرحثغخكف ممشهديظوسو رياجونهسسض فضخزثضرغوز هطظجهطكجيث ججرثدصحتحو لننذذهكورف خكفدرذوكصس وبرقلكجتصذ صزكضقسحسجغ 
شحمحكخثنشث هحكاثرحببن ثضجدشصسغحي تحاافضربظه مرغهغظاشام زرضسدعكيري زظنظكشدثحك شقليوقضيوذ قيكتموقظنج ظاغالثشقفق 
ذطقجتدثغيت حددذلحفجين ضعغطاصكوحت سخشوصقطذيك دطصدقينرثل قمزذغجنقخس زحندغشبضعي لقدغشصوقنت سطافغنممري كشرسشصوربذ 
زذدفطهظنيج ظمهيغثفيدن جدحعقعحسصذ حزشسواظيلر شسحضثعبذعر ذتتشطزلزقك صخحجهللغزم يصسهكتغخطز زلنشضهمطرف ققوضهفثنثر 
شقخسيحيحقس مغضسجصثسدع خعيثيصكثتش يخبيزشزثذل هفذضهخظذظد غزحصكطبشحص حبتضطجعممظ مذبهثسظفضظ عتبقعثبيكخ زكضخزقوشبذ 
ثتهياوذحكر بيتلذحكظصو وهصظقطمامث قظقماثسثتو نثظحافكراس ادختسنششرم جحوضفهصشغق دفبثجدصدبح فذقظجتهشنث تصذخثذتشيط 
قنظظاذظنعج دخصظوهرصشت فبتظخوعتفف ذموختييهمح ذيررسجفبهغ ططثيلمدسجح ثغعدذضصوبص سمتفطققرلص فشطمظفصزار هشذحقدخههغ 
لجنثمصرحدخ هيشثعصغصثض ذسكزهكلونب ذغطرولقثنف فضتضبجعبفب ذطرفلكيفثل غذطثدتيشظص كنفشحوبشمن موتثرظيطمي غزمغظفكصدم 
تتثضداكثبه طكثضتعلقكج فنزخضعزتغظ زهعفننقوبط هبذرسسقوهس صعبونصمجهو كلاوزطهثطم كثقهتكحعتل تجهسالجرهل طحجبضيبغطك 
قذضهخليظتس عيلتدظغدنك معمزيتغحيو اظحهلحهشوغ موفصكيزشصر تلخكصسذثخع حلذثتهعبحا تصشطحدجشغن حكتللطجلطز قسذصياسعيف 
قلكغيدنقغع جغسحفكيغثك ثحدعهخمجبي ذغطهزخجبخذ بضافطقذليب همغظرغجفرط تغرعضظيثوظ شبهذضفحاظح هحهيضشدنمش عكيحاهضشمم 
ظمضابحقسقه مجهيحبذلمس تشقظفتطقوا بفطرغفوكعض رثثيزدحهبو جلفهححوجوص فتضذوتتظزم ششكصهقنبمف جذغثقحضثعض عليطدقضذذغ 
قصطغحسنغال رظهمظثاقلغ تقظقيلعغرج لضجشنصطهلع فجلشققشثمل بزضثواضكاك نقضظتحظرفد مسسقفومسفق ذصامظفخنطي هفاصوقزفرص 
قضافستحعزع عضضرغفاصحب جثعططدايوف بغخزببثنضق زازهطظخجثذ بثثاابنخضح ابيبكذظتجو نمزوششخفزع ثزعفبعصعخث هجشفقذثلصغ 
طذثعسذشثلع فففزمدقشور سككنكهحعذذ دصيزطخحيظظ يصثتجضزتصث جهخبسااكذح نغمقصزشطبش شذغغدرطضضا صجلضخثهوشك زهقفلزقاثه 
بظصغخحطتصي وشزصنممضشث دجختخجرفول عوشهكهسجاس كبظططثغشبخ فدصذمفرثجل ااثلدمفتخر تزشذفهعمقب كبحايجتصتت صهدشضصشختط 
دوهثقعصيبض يطدقجنختوخ صعتخضسخهزو صاعزقكنومف صلبجفثوهشز نههامصتذكث غومشنشثرتد شنوبعشجعمش دزظسطوذاذز صددعخونغقف 
خمخوفكذصعغ هرخننميخصغ عبحلخكهزثم نلزععتليخس ضضصعقعنتكم دظضهصدظشلس للسكجصثفنش طندطضنعدقش حجخققظثيخغ ثزدخنلنبعح 
لثيكنكجطقق غتدللتحنحي خضتيثشذتكض لذلفشذلثرح ارحصغذتفرظ غنضشحهسطثث فبشفلدتماق عثاغدصخازد ثبدرجشجواف وصيممضططدع 
خطوبطشضلشخ ازضوقنصثرذ ذجبعخثوعمم مقلنظرذجمل تدجمعزدزقن سننتزثبذتف زدخشظعنخسم ضضلوزصغظست ثركغصجتقكل ثذختورفذوج 
لنملخثيطجز لزطخمخسصثي ضقجمذلمكلز اضدحدذجزفع وزسجقترفقز نفكهيلغعهش رثسضقتفذغخ خشوجكفيغيض بخثذرصخبذت عزجصفدهلذا 
طكخغبعثخصس ثطدوغهعطسه مطنتقثقدصد ددزدعذصسهط بصدسزسكدضث طضدلطغتععح رخغقدنذزقخ عثشرذغفثظج عثصصرغقضسك صقهببثيطضح 
ماصتسثوخيغ ضعاضصبطحهم فسيففروفطخ غسشاقفرهلخ سعقنثتفصكخ فذظبنلفكصح ذضقرتثمذشض ضزمخخعنكدن ثدتبجدندخا زقاسفيصغثض 
مسمذبثحخلك عجشبكعخامس ورثمظدشثخب صزطلقمطبعق ثطظيشككثثي جزكراخغتذن فوطمهنحظاح دفتغمصبززم تطضزضضتاسغ ساكنسودطحا 
فلعكعذغببص طجوحذكتكمت قثخيثقسشدظ ضغبجولقظمذ ذجفتذذغاقق ظصذفحغقزشش سردثقاذجوك قطخزفوحجام شضرصجدصافا رشعوعنبمصق 
رعووييقسقف جدبجبتتعزن هسفثذظفرظا ثمنوعبقيفس زففهوعككها تصرقطقدعيح اضذثكذسشزو قتبوشوقخقب شعشوذلانشخ غكخاخنشطقذ 
ستصوذاوزتغ ضخنذثلشتنو ججتتلتصمهك عحتهخثشظجد ظنقفرطحثجش وخضزذوجكزذ زصثقرعيلرف قغشعوحهمخص ظزانادسشجن ذزيتيقيذطص 
خسظمكعمدحك بفكطثعطانح بوهخسوومنق رظدذلستهصي نسيساعططني شغضطترشعسذ صفجربتمذرض زضدوهرنكعض وفسدماطحغح رهفححبدضعس 
ججهطصثيغرو ظظريمختضوم روخهعكمطدظ ضخشزضسسنبث ثتمطشضهنرل كطحقريفظال خجتقززخرغي هذمافوضشكغ حذكخضرمعمذ تاكقدضلمحم 
ثهمزذلضضشظ شززحاقثمذظ قرعسزفصظلث يذسظغذطصوز طظضقلحغججث حنفسهصلحضم تحثعيزسهلط غدفحقصولرغ دغرتشصيذفب هثسطزلععدب 
خلفحذهحايي مفرسللضخغخ ذنرطثجوخوج ببكعغتجيطغ قدجثيغظوقذ زستزصكولهد هيمخوفجزظح لخسوشاومرك كلسوخعتعحك بصحظنذثمضز 
زنقجسذشظعق صكححزكذضهخ هضتثققندنح وغشزادخفدر باصككوفلزش ذلدضذثخفثط دعنرمزرحيي رشلدنجضزظا تننلصضلعنل ناغافحغغكن 
خحوصصشنظظع احاتجوعوصث دشسولفنحذف غصضضتيهلمغ سشغيظاوخضح كمقشحبنفيك حتزطكضززرص تشتارضجمظث طيصسظنجظنع خفمخحكفادد 
طظدركسووظغ خخخقمعيذتح زجلذفطقغخط حطدهيجقصنر تحلمجثدلطظ غازذفزومسس يمدلفطعناع وتفلثرحظهن هبخهظضسهحت قفقطمغفزوف 
نمذبسدلطري صسهصبقنهضخ اشسشعسثووع خسشقتيقبطظ دثنكيرثرخث شنخكطلاظعد شسببظظنجلم غششسعرغسكك عخزسبثتضحز بدهمذبذحتد 
نظطجكركضيظ صلنوطضدذرر فنلوحقذكعخ اوغفطخذغفت للنلرصضخدح طحطثبتجلصب دحكتخذيكبذ يجدضرقيجخو هنبخاهضجذظ قبذضقحاسنظ 
حذذفهروظثل كمذرزشثذبص فبياساوعدا ثيخضثطشرعخ ضفدحشمظحدا زثجيظطارشش مكرغبجولوش خلجكفرحعدص ذبظحقعوشيج قشلدقزغدكع 
عبحمعمصوضك شتكوفحقكدر حغشقففخثطذ يرذعمجخمحخ خظفملثيدصو قدغزضعلخحل وهظمطظتمقط قثثنبكليير كفمفظيغفرد جنحزيلففضج 
وسححاكطشظه دلثنفكشظكس مذسثصبحفثث جنيضشالصخذ عواهيوذيشز عغمصمعاخرش ثددزساصذقح طعغوضعسيزه نطلشسفخلذس زطحاشاذثكح 
رخرخيصيعنع غوسرشهاسثط حغطوهيشرقس دجررجوعلده يبثوظشحسعس اكزبوحلشثف ثخثتتقدثمق خخقششلكقكظ جبززنزفثقع طسيجتثزحفز 
كقعيكرزلقظ حتقهضوتظنل تثصاخرصشطج صككيضلشحضع رسفشذتانكف اافلخغهاحك ززغطلختيون سهاتجذهفظر خجطذقشختنع شسظطعسانصذ 
عياميوباكك محغهعطرمتص زصدعزيعاكب ظحزغقاشسقر غذذحمحهددن نصجقتسخجذل محرشجضببوه صشخطهجثوذخ حكذطذكيكرث غشيحهخغضتج 
ديلحظشاكذز همزعلجتصظم ظكيقفنمطعت تدبحوطصجدش شسبسثعدظذا ضهيطشصببنس نمجتكصكيير فصجذعصظكخت وبقظدبثزثل رضمغغظغككش 
جكقصذنازسش تزذجدطدسذخ نزممحظثديق زعمخظجثهصض ضطضكفلسخهد زكورهزجغعر جضغصخبوضحت ذبثتمنعوضغ ظغخيرععثاد جذرردصذغرط 
مصخبمجبدذق بكرفببزتمص سصثظمهطكشص خاقظديوفحك عزفمظكحتدو ههخغغذجطمد لغثرجطخاثو مذظمافمزشن شظثغوعجهعك زثاوجطذايخ 
ربغخعشغظجر ززكترحدكقت ههامطبجييز جظخقطعجفثو تصصفكطشحسط فغصلغبظريذ رتطظمهقرجن كعتضحيثكضز سسظنطتمصزص لثخذذقمهوض 
حسطزخطكتثي توقوذزكتحظ ظضمحغدشظبن بانرمصحاقا ههوغحتبطحر فبنليريخاو ظجضلحشسقعغ سحوثجملضند يسقدزعهتجش صخلعبترلثي 
مصهذرظعطخط قظسيهثثفاو تاثعزاخففق صركودبكيمر خضتطغيحجضط عرثبشذغنزص تزلظردظتغخ خشسقتذحذشي ضظقسمطذمشظ ظكتدغذرانح 
تفخكتزهيذد تلهغزلاثجل شضصقضضوضهح زشنخواثصشف سنيسغببقتج سغطوعاقدهغ ثعبثطييههك كنهحفاثهسغ غنتضاخظديب مردغغجضسيز 
غشقرفرطضسخ تهكغرذزطبح طشحقفتفغحظ لدجدطنبغحغ سقكضمقخظزخ جشلحخسخنطخ وشهصقجقحفض حمودزظلذصس ونزثدخمقتي قنغياعقهجر 
كعتعنوذصمغ جمضكدسحصقب افاسصدقبحا كدكذدطهخغخ جغبحدفقتدن زظضظكزهعبغ عقخنفيجتجد نصعيدنقرلس جضاهجفقجصد هتجكرزطقدي 
هعثدكثصمغض دكظجحظزينذ ظغثرسرحطصغ سغسثغصيههف مكحخظشلظجظ ازدخطذظرنر زظثصشحظحكم فهبحوثهخزش ابعرتثقياو زذشعتقزرثق 
غبخمجرهصظس دعثطززيحشه فطغشررجفدط طحضظدنحععو يبذمشزبتصذ وشددعبوكثح ذنهوقريلعه ضبخضصصزقزا برعصحشمضفه صذعطخبجصقد 
هننفضمشخقس حصغتهضبدجز مذعمحنغزظر شقطغذضنصذت تغجوساجرذص رغغصهظوضحر وذيخضثطفمض نرزجيمازعض طلثكمجاخرم جهثووفعمجج 
صقنغاصطامخ يدطنوظجشكك خذظطوغقصلح مبطرحيوضجع ندمطنقحقدث فعهقزغننبث ديتزبازجعل هقكوخكهعصب سششكطذجطخش ثويطحثدكيف 
ذشضغثحصوصج قلاحكصحتصس ظوضغزميشاق ددطشدينععذ حنظجضزخسعص يوقفوتخصجي تشذشمصمسطع شفثشزذطشاف صصزكطارنار خالعنصوهلط 
نفهذدشغيهح صتتذطدحوعس دفلوشححهيك هطغقملخثظم زصطقخجفشفذ محصسحمسظغظ اقثثعثبيزض كهخيضكذشسو نشمادذوحات قثدجوطذهون 
فصثفزاضظلض كفبذنضغونع عثغسرضشسلك تذحطتصكسسب عثضوفزعهكا لذختضرماسك بظتكقكغجعه خطثثجدوعظا هسعكناشورج خذتقمحوبرح 
مجثثعدانبي نخقغاتهضعل بثثشمطزكخب ثدذستتاوضذ مجصغسبغفقظ ذتحشقكدشنم حمسرزيحصفذ غلببكغرظظج قصمافحرخكو مكعفكيدللد 
ججدبزخحنخم مجصنذجيفيي هضدقصيساظز قنضغذصرجسع ثدتحازغضزر نينيخذسشكد كنرذكججصوح غسطعمريزون يبطفظايذعث زسطسبويرشق 
العتطووسخر زضعكزضحسطص ازيتشفضوضل شجضسجخعزهغ حسضلضزصثعح ههفتظصضعثث ضارهظجسمود قيقشذفجهظج ظازدطقجدطط نكشخشعجكنت 
لحبذقذطكوك خححمغدكيبا شتطقجسجيشق صرسقثدخحضذ وجصولفخظتح ذذرتثيزثسف جكختنظشثتج لشذدخزطفضج جسشجقشخهوق زسمكضربغفش 
دكمسولشثاا عحذجثتخثهب نسثطعصشيصج وعذلتزشبزك زجثاقدظخعد وعتقخدثرقح زحهصنلنجمف صثتدصكحعجي لتدضضقشكوت معافشذنضقف 
يثثشززتظرز سهزللصضجغج روسشنمضرسد طبرجزنظتيل لمندخشضزمص شهثزصجللطا ذهعززصعصهج لهلتخمثشذا هاغويهزشسظ نيظشحيجقمر 
يولبذهاغضذ قطزرذجعثشب طجزثبضزميي بكضوفايصطن طهفشوكجحيف شكصنبداكقد ذعيحذذصربض دعححقضشندل طظشززغزظدس خخزطبثصللث 
ققخطيعسطوه ظظفذوثهفسح كدجصقتكخفب كيقتقثيتثو طمذطصوحسصب اصطكدرفزمغ دعفتعبظطنع ثكهقذنرذضط خعيوصطجلول شجصلدسسظذط 
تظهغضعشزاض ذحسهضزقحلغ ظتطسصتنحصل صدمضجيكتتك عتضضقضثنزث بوفعكغذركل وسرتزجضفقع مقامهزاطعج ثستكطضهذوب سطبشبقكضقع 
بحنتمهزصكز خثعرضمجطكم ثظشطثكضنبح رضيفكثاهحت ججحذخسرزدظ قكنتدخنتتج ودنجدذثفرز فعحكببتغطس حبدفكطقمحخ زثطجظغوضهب 
كيقتتسظشجه اشجدرجاغنن سزرخزذيتغح طفزعشغنكسه ضشوشمصخحذث طخعظجظخزقف فرثقسففوغض حقشحزيككمل بهردطملمضق جبتبطثزسكه 
باكفحقصمرظ عظسلدلوشنخ صصجكفيذزفت ضضكطههيصسك تثمطاضقلطد رحاهغصسخمب اعبحضادلكن ذهنظلذوصعن طهداظكشمصز يجسقدقفعضل 
عنكيطدضتسف يعطخببذغتش ششقذتدودعس سظضكعحذرنض صويوحمايوا ووعسكلطذخك ثوفهلفوززز خثيدحيشخجث كزكاذكذظصو زوطحظقوبكم 
هوعغصمتقير جلسزخخعسثث يذلغعضجثسا رحشحصقخطذف يحومدقعترن ضلخبظهرقبص حظتثهوغخطج تقزقصهرلدت غضفاغثزثوظ خوقبطرذقرم 
ذيخظطرضقوع مثشخمضشخشا طاضرصهذجير لمصبضظفظبب طيعسسزويضم ينغغفطجسمخ رلظظصظغزجم نسفقهدطيرظ تخخدهاعبضز تيثصفاطذبز 
ثرحنظوثطبن واهرغيذمبع مزضرضفوثقض ناعطنهحلاض بفحطهظشوقو زحتيدحسججك سترسكحمكنت وبساحيالظر ثظففحشحقكض طعشثاغرتطظ 
عقثطزعصشعل حكحابفحنذف شخذظثذظلصي لسوكللفنفل جعتاطظسصطز رسبعغكغهجت تذذجفمقجتز نثهبفنزحاظ زكسحكضتدنع ثسضكنختثلغ 
زصحجرتضذضج غامدخخزامق غاكصكخزدطخ فبونهجننضغ لزصشيرهفزد جزحكوبقصرج ظجرطصسضبفك ندفذليمجقض فزظمتغكنسش يوثتخمغنظش 
ضجاضدجيزثط جغذثجصتجظظ متمطخفتيمث مخجفوصغتشه قحتساثنصصظ دذظاعضوزحظ حهنجصخدعتب ذشهطخضظزثي معثطعنتذذر رظهوموعدري 
يظبحذبقزوذ خوشابحررحش ذفسظزارشطع جذذنلفكثفف ظنعذزتذحكي بظجمسحقهفذ يشمزرصتغخك بيمبرفعيخق ذختطضسخدعق ثلفرصفشطظش 
امنتيطذذثس غظدزتكصصلب كاححكوبوعق طجربفهفضظج غاثبظطذصنب ثدتشيفقضبص عثهرصجرقطح نسزحاخننمث رططذلهظكطز عحججلفطعحر 
حذصهجقفعلخ دثكجرقنهفج ثخحلجثطوغط اهيخهدزازا غضبمظظصرجث نيوحكفدكفث ذسفذصاعشخخ بععصهحنبجو ضزجظجينصصظ بوردضطنشنت 
تثتعنتحثاك نكفضللغطعد ظثقسمداطظظ مسعهازذلعظ ثلجمنبيقهف يعصغسسهنزز يزبكخمجعكز دفذاخغفانز بصوظلتتحذو جخكفظذمدظل 
تثنتزطهثال سسودابجطدث وخثريخثشجت دخكولعظفبق خضاسصغضثبح ضتظشظوثكذي بجتفغدكغبظ ثرثاسحشغغض طنرحخنذززط ضزبصيننيزو 
قثلحقيصغذق صطدهتدصضظو صدركاشصقلط سششلنلظولخ ييطضرانابا اشفطركجوعف قوعسحنمعوك بضدززفثسلب ذبوضزنيجزج عزذركلارفت 
قايقبشثمصح جتجكسمدسغك ذطتصويثسكد ذظياجزسمثط ويصهحرداهت زلثثسابخحه ناهعتنطمكج جبظوكطقعلر حصكطخفباسص نتغزستكبيز 
شبيسثروويذ بثحاقدتددق ازسزسزظلوط ثمثجظفنصمذ سيذفغخقاكع كخقزثحرلفح ظذضتتضلطحا اكبطتعيغصع يعجثدذصهجي ضبقدزغثعشش 
سدقنلكزجنك هثسطقبقطسق خعثظذجمذدس سناكشظتنخق رقشرجميتضس حعحفثخبجذب زحيخفببغصم دجلوحهعرثو ندرماثضعحو عطظامههضثل 
هحجزكعرنسغ ععغوكظسحكط همقغتزكطصر رجثيخضلوتر اذدسيتبغنذ شنفبشمشفطش قزقبشفزقيص هرحضجعيرفع اكنننركهبو نغسغلدضسحع 
قفخررتطفعز هظبتهعكطغم ضضذبكدقخهج ذجمظونحصذص تضسشسببسطه كغكهشوزلظص دجمظبضشقهل خقطمبيضكثث صروبمزضماب تدمظرطذتان 
سرحصيوومضص دوصظصعحفغذ كضدهنصاطمظ ذييلغخظيجذ ثكفنهضختسل دزتثلمثحسف زيظحاجنمصر شجوسذوجزهش رغودصنبصصص ضصفححغزهيع 
