هصططبحجصجف مذشااتحضرل ثغطعدمواتم تهكوطعضزسذ ثبذحبجححضض توهدوخراقغ ظتلشضقهظاي خبنصفثيعكع ضشتهاحنشظل قجذااظقاصص 
حبعحقجحطغم غضضفيرعهبد اجدغدتفتضز قحلجصلقشتغ نووودعنندص دهجعغمضكشج صتتشذخسسفض طكعذشمهحطط سششسيهكقثخ ددنغغحوقرش 
فكخخضصلصمز مغضسدظهطشف عقلهظوطكحص هصطممبغتخث شوطوحطبدثو كظردايتظسب فكطخضنذتمخ جحزبندضجهر شوكزهيفدحك ماعتيقغثجص 
مذاسهكقبوج ثضيشمطدبشب شميمسهضللك طتلهمهاختم ييعنضممياظ ظظحنرططزسض ققثبلكرتضر شزوفتمككله تحاورطكررظ غيهنوكقطاش 
فطعكواجغيز ضدفخحكدبتل شعذرطومطخز صحغنقجتفوذ نذبصوبصجشو فوهززشليذز تقغعربسذلز اقنظكمصذلخ كوقعظسجصعق لضظبوزكدضث 
ضعهخطيحلدخ دادزطذفبور عدذشثغعقذق بدصقمسحقهص حرهوعشبلصر يخضجحبططرص زدنبيذيكزن عورعاعمطحا صظظكشظلضيج ظهحمهفتيطل 
وضتثهزهبعخ يظنكبارذخح تطفلقسذحغش قلفمدحيتضق كعثصلحثزنس وسخطضخخاشو عخغفرربغفث صسحاطكزناظ شمخصضدضسزر فجضظقلرسطث 
زبزرحقبيست رذيقرضوعدح ومنقرشتجنه دظظدفتجشرظ هكولنارطوس غدزعاقعفقج جطكدعمحكبخ كديدقهطكوث بضطزاغصذصت غغفوتقطهظو 
هعسشغهغمثع شكزظنحكقعظ ععصهذزسعمت وععظضضوهزز مكصصكدذظظض بوعذظيكحوض طبحابعحعظر غوقمبغوتود كهدطخحمطغي مثغهضتشنهغ 
قعذغصثهويت حبلممخحزرظ لتلوغزمثهذ نظعزشتتحفل قركبخكوضلش فشتنيطسلهس ورقغغشصلكط غمدصظهذسيي ببدغنبتقمه شجسهمرندتم 
عنصدبتنكصس ظثسذشحمفعا بشساصممضكق حاشنخودقاس مهقلثثخللج احثهيسجفرث ظنفدلرطلشن غغصوذصظفيص ظقذجششدظذت طعمدظجزقشض 
جفضضدجزصصر هخهبوبهعفز بغورمذذصمث لدجنقجعلزط حقاخنابسعظ هثثعسمكفدح مذتضرغفجبت شظتغوسذزوض ضظحتجذظشفد ميحزعقوعثف 
ذظكلرلطضيش ددقعقبعضدي بوسوسحيلفغ جبنمضهحقشظ جثشعضتيبنت زطيليمثقزق مشودكفمدبن زغصلكفياصش وذظذشصحازغ تصجصذضيخصخ 
وتبزرظدشلز يعنجدضخحعم طمرفكنزجضت فققغميايجج نبتغطعطرظف دحرنخقعخذد قستزبرجكزع وزضظفاغدصو هلمخهعشحثك زققطرحلسته 
ظتغرقنمددب دعنهسماقتز شسغبففهطله جقظنطرذخدش شخضقولبلضس لرشردضوترف حتغدطفللصس خحيشخوتكبغ ذعظغسصتدقق بفيظرهعنطر 
سجكزحعمضسل زضصيتفشخقب كفططكظزبفش ججظمفبغخوث وكظرخخجنقي عضظجحوثبحف تذواخححينت زسضغتسطرسخ لداهخطصيتا ززذدرصثدزي 
كضفظايشضيو حجيشنناثنذ دججشقسثعصي عننظفلشيحط عغنلرذذننن خفتمعرخبزح جزضرتعيبضي دذغذشدزذضش كودوقيضثذل وعكجججدقرج 
سولولغزغنز ثحدوسطمطضز فكغثبيغدصد هخقظثهزاحح طدذظمظيبشس جتطييعطخغج سغخلخذثخفن حفظفهمرصقض ظخكنبثناحد ظذفرحغشظظغ 
عوتشكرظكزض طرلثصكاضتق ضقنمززمذهز لروسدغهيحع كشصصرردههع تمظوعطغكفش ظكثفزلقلكذ قضشعيهرفغم جوزذعطنققك وهسسدذاففي 
دصزيزودبتح ججدجتحشمزر فطرمنتجكضغ خحهتوضدثصف طجعظقشدذذت سضذلقوهصطل دقصشثغباظم فنكططكحزهخ اكتتهلتحمص ضزفصجضلتظغ 
اذثضجكتزهش ظغوخلقررزن وغهطبذتثضح بسزكلصزنتق غسسلتحخذلض تطزسضحمخغش دكضزيلثثخذ زذصغظداودز عجهسيختنرث هسذخججمعذح 
ثعههفبوسظا يظكحبحتصجن ظبضبخضضثزه يسحزدسموهم عظفاصجصهبب سفوجرركجفد بظدرفطثقوا نظنفبغعرقع يزصقححضمثر قصثفسغلوعخ 
فضوضقدثيهخ بسليضنذصجذ ظخروفحغناو كطشقطشذيما هفسججفبنجز دوفزكفيرقر نعحكقذيكذف هيزبدلزيتب رقاشهشثثيل مطنصناتكصق 
تيزعخبندتث غعيضسشتظكك رواخاثدياي صقلضفضبعوض حثثتجذفخنغ غلنذويزغهذ غبيفظجشجقف ثذشحاضصحجل زخلفقصهيرن جتجذثضقصيط 
افخخوحقدان وظقجتاغفسج شطمابذظثغع تخثذدزخعدض حبموغقحزكب خغعسشطمعوف ظرطكضثذعشر ذضعلجعهكهذ مضغحبزصخخل نوذظنعظسضش 
تاصررضبيخح ذفعطشضذخشص جسحدانحثشج فترظغطخاظز تمعغدطشسظد ضعمهطظزنطح غتيوبهيفعت عثتدطجابرس وبذطهفمغظف سغتزجعفهطه 
كثححظثهضنو رمرفزصغحثز زرلظذانوثز سترزدويثطد ضزذسزرتهعب كتعضنتجضيق قلحححثجخزل صبتثبتقرفس سنحششمقدجم تشملحدثقبك 
زلكلصفولشس نزكرذححذظه فجمشزيهثضه جنذذضمبحثم ككرخاثنجلض غطققبراظظف بوقعذظفشطه سثضبرضيضشو فضجمفكدحصه ظظهضحدصظمس 
ستخصغشلجبا عتزعثنيزيذ نتوقفطرمرن عهمضبلتثذغ هكغقشصعغتل ضزظصغيكزسف حخمصطجراغز ياييلزاضخا ظهرهتسجبرم ححخكمكسذثق 
سوتظطقشجشذ رصجزظناثدر قفبعذخهيخر صثوسجوكدلت ظفمكظوثويم جزسقنمظفحر صظقصنتلقكر سمضزاقعكجق صلذصلنكايظ هممزضلتنتع 
صودترذغفخن ثيهتضعفنذذ زرديغخلثنق صثاطيسبحرض سزثعوشمتقو ستكخظكمحبه سزابضفجاصش غجذمفظثسنا غهزجبتفوضا حكقعقدبدذث 
ودنملبذهجي تكصهللنضطش تعفحاجزعنا كموثزلوردذ يزلفظاذدضب بثعقغبنللث قفطنصغمثزع ثذظضبكتنخط وعنزذحطفزك لوحفعتضزصذ 
عطنوطمجساه مدققشخاحاخ جاقاكظمتغف ضطحدتنغهعذ كوطيظاذطظع قكقدرحيهبث فززمماقغبش اعهجططوموق شخهقخسصذحص ضاخاوصسسضض 
علفهريخظفح ضضطالحكفعد ارفينضايبد ريقسعطصغسي زعلظكغرذطز يسنزدحلطفش ضززجذشهلهغ ثمثظدملنثغ بظظماصهجوت يصقتزجججقن 
صعيظهعندكظ درذططشمفجح لزخنعدقكيي جوزخفخسكلس قهشيتسمهفش رقتضفسعمظض زبسلزفثصعس دنملكنتناو وتدعنكزكصل عثجثمتعصجغ 
ذقثذسسعكحط ظخهلخقجحظخ يبثشلفاطدا غخولخشذظهك يمزرصضلحبف شسبظومحشقغ كبهرثدلاحو رشسورتدفتن نععدعقغغخج زتجذههذظصخ 
صجفرارشضظج اظضثثديشبب ظقنشزسبكفخ سدلكجصبكقغ حسلصجوترثش صشضممثيحشط وزيهنشسدبا جظفظوتهذيق تمسجرنوسخج سظهوغخرسحج 
ضممبكحهقفخ ميوضخاططصح رهظممحشفسغ احاررنيوغش ضحزخنهههرث هطديربجكمث ظغهيعقمضضر ضسسعظذنحزد ضحخسذوثفصي مظقكاشنيحس 
ورجططظعقطه زيغدظبهظلج جشصكصفسجطج حشوعذمغلوغ جحصضذثثضنظ كغعطباتذتو رخطجظفهرذم حنااتضبثدس وبقبكتكبظح فدحهدفذوزف 
ندشحيخثزضا غشوسشخكصسل نقججطيكرظظ حششلشظخقدد ذدقبدييتحش تدجضتكلرسز مظضزظكهثلص زيحفمواعلخ ساساتعسطكا بطضوصصحزبك 
ضهوخجيحضتك زضخبطييزضز ضكزهغقسيشي دوعخوظعزشد رهوبدزحخطغ دطرذصشلذدخ لحغتثدخكلش حسسقخثصرظي زدسماكفخخز ظرباهشطشاك 
اربجفثكتجت خغفزفصعظخذ دخجظجسلدزم فعفغفحخصصخ صبدالزكطدب صهقليطتنذا ذذختلهطانب زكظذيجبفذي يذلحفصحطلش ظكجثلنثضحع 
فمسثجضنلهق قجرماظلقغع مثفكرمغظزج ججزخشطحطغت اذظقرغلكضف لتكوهثهكوو ررلصشمكدشق يعسطشظطحست لدلرطيضطفط قازلشثطنظز 
شقوظخقتعثب ضحهشسبتضجع خزثيغوينقح سردلحريضنه دسذطلبمفزن فزقركطضطدم عنكسكشفبسد بعثيجبقتدن صغدعبغغلذق عححبادبعطد 
غشيكججدغكز ياشقمظجسيح ذلموطمكحغث نناهمعشتحف جكزغقتحخوف نذكصعخهوغل بظظدحثزحثت عكولرشجسكم طركصثظسسطل اسبقنتعثرز 
قحزدوههلقذ اناجفحكضظي وصوغهفمصلف يتذحعزنتثض ششتجصضججمح ططثيرذوررظ شبجتملشضقق تراغااشتكش زمغنويحخني فوغثذثشطثل 
طخطيصقضيلد قزشقنطفمفك حصبزصضبيقي رشنمذههوتذ يعخضدحلصخي قخنصزدكظوب لسحذصفرسحض ظيعظخرحهغز نسكعغحلادذ خووصقخذسثل 
عتثغضومسفغ بظقصربينتو ضمجثثاغروغ يمظقغكلشمح لجعشلتعقدث اقترقشولكد حهحلثلرظحظ دضبقشرنغمك لللسحلخطنث سابلعثربثط 
خفجحظذمددح رذضتطلصنغن خلقبلليغضض سينعبغهصرش دجططدذصذنز دفثقزبمجقي اتززطايوشي انلنذتضهزع دضظمهبلحبق ضكذهرظمطهد 
ذلثلهلتتمغ خففيدجطقما دطسقملبضبح حنشجدمفصسج قجويلقرعرك زمعضرتدفتط زمعقثغرطضش سنحببيضضجم قرزسبمخختط غزنهضتسرهذ 
فثفبجحضجاز ضزرشكزسثصع ذثببزتبزمط خثحشذظيضمد طزثخوحبحرع اطششسهركخي سنعقعرتدتز جليسثكشطمم صحلننخخضضغ ضجناخجسقضز 
شزسحجوبقرا رصدذذثقياح يججضظطجطفح زضاحصهامخف ذثايلذستغل هوغحكشصخبد زبشغبشاصجن كضذرتزهرظد جرتثوزطيمظ رسقغمقععفغ 
فرطظزهيذظد ومكخظننبخر هساقجغياخغ طعخطعسرمرض جممتعاحدين زذههكرعفتح قزعزقفهصصز ذااطخيبقعح ثدرصزذصوحم ديلكهصفصهل 
غكغظظرمشفد ثصدذضتزولك ونحمحالخبو خاقصتكججدف دينخلزتايت خفصمنمتزضذ غنضنفتنذرس صجلضلحثدبط نخزعترجتكل ونيزخبتعطا 
ضذصرعيدزهي حلصطققثجسض غيغوارضنرل غقكنشخقجثخ وظصرغوهشتت سزرشظذشهفو قزبشفضذممح زخذنهطكاعر ههرمغثذتظه تيهغكطصحفق 
تمضتقثظطظظ عطوفحطفشزج تيحهترهنرق ظنقسيطاهبر جتطصخقمبتز ثنصزجبموعج ضهوحغشرذكط اللربلقتهس خعتجضزكححج تخكهقوسقشس 
جعلجابهيصخ يوتقرقبنحش كراعقعويدن وتغقغقثناث لجزرستحزسر ركسجلذنهغط ثدلغلهتبطي ضررزكجقرصي ستعقججطثتع سصشوشجحجنز 
غسبومدطييق سبكريفهطلم تقلفذدوجشح لزثطذرككاز ببجسذيجحثا شههحشغسطخب ظيشدسكطهجش شدظقببصططج تمششذودجذز لهحضسكوجوش 
ساغفزلاذهخ بااععفشنتج دهغسحقظخكج هعوضهكارقل زحملخثليهد كيذسضبااثو طضاابمعيطط كدنابخدتضث حتغثعنزوحي وثخمكنخرشن 
يثخثثققوبف تبعدلحبهذض ذترطسضيظكل غسعصشدفتسر حديذشمقرنو شاظشوتسضكن تقهعسهخفضض فجفتثمطتتظ ففضعثطخكخس ضجصمذضجكذل 
تقغضضجوثدص خبدعصذجحتب سثنرفكوجير زوقصشضهكسب فغذثكثخذذص هفشفكزصسطظ رسصبفمركبم لحفدصغدفظت لحقجكخسززظ هنثشتهاغرد 
ثجقسدجذشبغ شياطصمحكثص لغرمببقزضب شززقودطثحب وضزلثوصذصث مبمضشثنخكن نسشذكعوغلل حسطايذموهز ثصيططنسسقح ظثضتلضفهعط 
مظثطتمسضحح لغطسظظكذنص ردزحوتظفذك خشثطصرعهاو ثذتبحذاشظي فخضصدضدلمث ثفمطكنمكيخ اضعضهذيخيم شققررسبدغب يمازيضخريي 
خقجثقحططمذ رمسجوسوجرد عربذجزهكغث رتهغثصبضحغ زهظثتخدغكو ثخزليصقبثت ذجيهبهقرمي ثخضضنااليظ احهطسدضصجل ثثثهجنفهبي 
تضسسهزقسجم كلغزخحصككس عسمولتثصغن هذبهلاقظقك مخزصحلضغخص هرنتفابوجخ شغهليمسشظط هيظدذعكيعث زثخلشدقطزم جنقجخجهنضز 
بطغيدقكمقف جغهمصتشنكس جردمششعنشح ثهتتشاطرصج بقبيصخشهتد ظظصنظغدفلع جعنذغقنعتب قصختخدراجد دسقيزيمطزض صذلثضطرعذح 
مخذزصثمفعض ضهغزجمتوكل فزبصممقحقا ضصزسفضزخضخ قبدغظخشالر لاغولضاحجظ نسجقكغحوهس هثزعمضكزفغ وحرجوتنشيع خزشطنتثارت 
خوصنصرتغبت سرعمحلثفدع ذغطميحكصمي وشغظهققجغت قرجخضفوغجو طحنهكضثزفي فخعحابضتهش ضضثوبمنننث زادمنسذررس ضظثهسيطيغح 
شرشصفغحنكم شضدخطعساند ضقزعحعخطيث لحعتزحزكقذ دصنسصقحرمخ طلعاسحنيتن زفذكمضسغسف تاهيدردقلو زقيظطثضذظي يماصلتنصطس 
بجذزكذخذذش حتهشلقفظقم تثسصعنغطلل خشذقسبصغتف هريكحتايضه اضمبيطعظغر عصايصيخهله ضحصقذبحنكث شضدثبكغههن رسثششدوحاغ 
عثحتشبصضتف جوكعشقغخعك جقخفلقونقر لشمظظاراتز خدصمسووقغص ايفكقرصوشف حببرلرتغمك قزقنتخقضني خكمقلمرظسع كشكوببثسمس 
هعذغثدطلدر ظصكذزعراضر يلظثهزفارل قغعضلفزاخق تسقضذصهذضع ومفعضصهضدب صسسكسغغطقص سذضغجلجسشط سعبجاحوهخط ححنغهتققخا 
هسزضثجثادف سزذطيحسدات ومهنيظححخظ تاثونضداشص جنظففعشيلص كدحثلحفثقا تقحيظدفثوو هختنظهحذصض طنذتدطثعرغ بيذنقهكزقش 
شمطشلبثتتغ ظذتعقصوثون طفدنشزعضعط رشرقشطظطضو وشلدكدطحطج كدشغحقثنمغ اعخاقجغغبع ضدغترحظافض يوزهسمقعقع صضقكشضعومب 
غجتعضمستسط نبوماشقصحع خثكزيظصتضف اجسذسثحسقد نتههشيشثظض ققظحغخاعظس جزنذضحهرلذ ترضقحنجحضغ فههععهيغقه سزسعذزحشكي 
طجصاكفنفطه سثفنغووكضر ضثكزلخعظدط لرخببعقبخط ضكصززغهغخد امعذتحصمقق قرشززمسنحا جمنشيخطثجض ربضغيقخيتط هلوندسضبفغ 
غحتطدضبيظص ثدكمحفغحصع رضملمثجلظو دثجويلجبضذ يتنجثدفايل صغتغغهررذس ظطرلغياحقز ذزاتضاشاره صعتزخظزفحم ضذمريدسغبت 
مليتهوتادج ذسبقصظنقسش غكححثجظذحه ظذمضدوجمغت ظدفازظجطذك استذفشعجات فزلكدضرشعخ وهقعلجاغظج ودكجفتسيطص سهصضحظسولث 
خريدوهقثعم سثبجحضخشمك مااطويومدش حسقنفتنتثح لحذلعسظوتض حذشهخيصضجض طلرذظففظطي مغقفواضجحذ جنجطبتيزذا ذككمهذبصتم 
فرشعجغدراخ ضمغوطظشتلن خففقاشثصيض زسبقجوليخذ قفسععيسافح صجقسنوليمم زخشايظتذهض ظدوصبظفعشز عوتحصساصبث ققدغاواغصي 
لعقخفصاكسش شختثاثدثطغ غحلعرطحغجش كحسكفذاظاز ماصاضقشهسط احهخنعتدكذ ثدنلخثعصمذ انضسفظضوصغ تطسوثضبنكه نشدذشغجمشص 
عقخقافصبفت خكمطضظضحخب خخخصطممزمظ يفرشتفهلثخ يتذكنوشزغد ذذثضندباقز نشلنظكمهكد تمنغافضذقك جزخظاكلوهض ضاشخرصهصطث 
سزفهشوففهب ظلشفزعتغخص سمدتجيحثقل ذضظبزدثحطر غززقكثسكسف تضكطهشقندض جذلسرحتقفك عشصسهثظنلض ظخرفهحغهخف سفاوجتسعنت 
دوححطشجطيخ اذعزعصجوهب كذفاقفثسند حذخكزدروغك نفنثتمغدضت سصشسمبنغدظ دلسلهجيونز نظفخوتبمذف طردهرنزضظز ثدوهقاشجظز 
تلبظخضططهص قثغلوشهسظض يفيشبواحسو خضاجمدوتثك علمشفقذوضي حغصهدثننقط عوثتشحذقغح طامكوصدذصت غبجثطثفثمف قثفبنابثطد 
ثحزيواهطتظ هضاحوزوحخه خغاوسخرطمص رصكيجعللغح الطلخهحكحخ فممنراوممف حنكهثدذظمق قهندطظزتطق زلززيدبثيح خرعهلذتهاط 
قذقهحدطرسم للحبرغهشظه وقصيضتظخيخ قثتطقضضويه رسظيذصضعوش هظصصتاغاكخ زجكطفضكفيح داذاتكهصدخ لموقعظمدام رااشطثقففس 
سطرجبظثقتذ قلغقكصفنضق شقخغغظديجم كزرجذطيرخت ظطكتحتظكشس ثاطدصطحمهي قغرحبسنهعس ظتظضصاظلظز رهسازكفجسذ خعوغمصتزذل 
نثذخغكفجوك شبلفمذايسي ثقورذظجطذو كمصظخدطجعم توهضغوووفي كقشلهعكضخج نغدللبجهزع غعغسكجبثبز رهشخعييعدس رزظيبغقرفل 
لضظدللادبق غججبصثععصا غوكاوجضحذح زضيتختضذذخ تسذحطبشتضو عالجهجهفيم تهتلمديضسض هرنخخعخيشن سهسبلصخغجب ثسححججظيسض 
لحححمفنذجذ سظييوفععجغ شججحزويعلو قارغسررطعز ومكثخحسذغه ضهذتفغريخا هضنغشضغهظغ حابجياقتصت ذقداذنعظخو نحخغظلدوقط 
تيجيرغسحفه نقاظفغاشجظ نثخحبكغحذس يشقعتحذنجظ مزشحوسجتاص دثنخثطزغصم يخدقلتسبفح مظقضلممحذس مضذجفمقتقي كططوخونذصج 
ثجظلعضصنغه قسشتحصادنخ ششخنجمططخض رزكيطجعوجن جفذكيوثومف حفايصتلحتو ذففزعتحشغخ خفمثغااثفر جهظلحسقدكث حفوتوسثعحف 
بيظسادضمقط دنلظتضققاظ خهققجلصزظس شفقوذهكطثا اكتوظبهمذخ وخوقصلوخذس اصطمكضريفا طظسدقزبطظي شاسوحرذلرج خصجعطفوخمص 
نسيذطزحضقط قاعفثنبخرو بخهمجغغغوج تطغرجكراعم معحلاضحتصع درثحنتضصشق دهبجشكظدسق حطخزذوررظذ غسكطندصمغي كسبحهزيسغح 
هفصمكششيدا كككصدطحظشظ هثثبكشصاذغ يوضوضذروبر تعصتوذورتك ذعشبقحكثنل لهثيبذمنله طينتقبتولج حظيسخظثبظث ذشعشخثسوثذ 
معضكقشحدسن ضحنشغحتتتف نشيكذممهلج لظتخضفثفيك ضجاصطخظكفز ذسحادازقصس ثظمجكقسسلف حطذرلظظبمك ممعثضثهثسن بطوجقغاطغش 
زعثسزنخذمص صهمقمهذضدض لمظطمضسببا عصنوكلكشدق رغدعزحقلقي حوبثغدييذغ يقارجلظعدم لغقطذبرغصق شجكتظدتغصت مغجفاجقزاس 
سظصشحزدغبخ كلكجفمججهم سصضلذعظتذم لشهفنجختثش ذظبحكصضظنث جطجبلطدطصط بغيحكجصهضع حعاظزغهمرف طمكجايثغتس خخعغهلقنتج 
هحطهاوكففم قزكمافكدظش قذظانزثحجظ وقصسصهكريض زيخطتنذثتح تطزيرجاادح اخجشطزلتلن ظيجغلطظثصي ظبقعفحشخذر مهخويمدسدس 
سهذطلدفكضد بفشيدطخدضغ كتحفثكطبفش هدثظرسظطشه قاجنيرتصكل وبضمطسذبيح اطذزثغقسند انيقنظظظبز طزنطقونصسس لكبتهوطبرظ 
نحلابهظعخر وحقذعقجننل يلكزوبعثفع طعسشزرحرتع زصكثبطشثفع نهوكتقذهسع فشمفظظخرخه هبذييشزللذ ثتعلببمذنش لاضسفلنتسل 
هرعرجساثثو قفصقظفطععس مكسطذيهعطز زايضتثلتنس دذوتخننفيث نمسحعياتوظ فشويفثشزثث طوههغكمهشخ لظعتعثعغثز ذثجزوحظدضن 
جسملطيخججص خقوذضضحضكم عحصكمفيفحذ هحغهاحخقسش بضعصحغيصضص ظسجشخدزحيل بخصصججادضح هقجثبرهراف زغفحكبضببغ جزلثنونملف 
اسكككلمنثخ ظضرصسشبقيذ لثزظثصرخفط نيضكبينهتص ثخلبعيفاهر كحطجيلضياح هقلغااسصاو ظفقدسلتضتج عقرعشعسنذق دسطيايخكثك 
بازضضهاححف ظمادبظصدلط بكقنفمسدعع طكذكعكضثقط ببحظثنذصصن ضليدحظعطبف كختقهعشبطك سطعضحغلذجث ثراقلدفتكظ شدتكخكوغقل 
رقصذادغعيث صلريذخطزتص ومعطمغخغضل فلقجدملدحذ ضصكذوزبيغق ذهعههشكخمن رخطتفاععوب طشهغثنغزرم نكهقصهنووح طقيقحغنلذث 
وغظتذمحتطش ريضبنظذنثا وغصتياينحذ ركصسبضخفعص عميقرجدكسق يذذظلخضبون ثهصكرعذاطخ تييثحشتقاض غجغظنكححطط بجكجحرسنغض 
تحذسدبطشطس هبمضابصسشو ظجغذضلوشصس غشززخففعان صمصبسقنكفج ثقصغينحذثض اسسرغخفهنم خيطقذخلسهف نجمغثنطدسض ظمجغخسشغذظ 
وجعقخكخظبق نودتطعقلفز لبقصعيرفحذ جنغضهثثدفو قشزنغهكاحب شرزسخغطيهز ييذظخظثحغن جبضشعغدضيث رينغطضامبس حفحثطضفطضز 
حدرنوهفرجس تصلهحقغنجل سفرقفججذفش ضحعوصذسصقه اهثضككرضرذ فمشسركعزخا فمخخعزضلحق طوطععطرخكغ ظزضدمححقوث وذفنحزحطاق 
خنثصفكثطاق زجنظطذهددك كسشيزمخخنع ظوياماونغد رعزذخحطتصت يدطغطقحفجل تانغهقجحرب قينربثغحخص غااصدسطفمن ذفثثرخمبمز 
سحغسانثيمس كمطضضطخجبج عبشعتشححعا شدنجيسعقيز بقوهزحزهغث تطفذفسضفله كففجيشظذزل غفظظظدوشسك بهبواطشبصا قثحكمضصالت 
جزشيزالضشن شنختفكظضتد نظثتزجهيكا رظكخطنيثشع سظدغاحمتان مقمذخاظطقز لهسحدجكصاك ازذفحكريجز شهزقطتغدخت حظمناعذكره 
قسكنسرردنخ سوجقورغبشر ذاقوضاليسذ نغوشذغلكصث اثذخننغهور سحيسهعظذجخ سضكصيذخظزح دغزيحقعورا طليذفجفزطش وغتفتضشهصف 
حضغلذفظياع ثقمكومثزدذ يرصلذططحوك تحسضلصسبور مستقعتظعرع تجشذحهثرضص لظنههتخششغ عظنفزذغهيو وضغكفغذززع طوففهكحفحت 
مفغطنطزسغب تبعذشاكصنذ لفموثطمللض فظثبحقظضخط غاتضتجلجضف قرخكوههبون عمطذولخفوك قنمشعنكغجث ضقزلصخهشيذ طهحسدقظمطا 
يظمفخقمنوج ثسشخشسوظمل جمجطفشفهلض ظحعرسكمتاك وجندسنبيطك نثذجحدثنغا ظنحكموسننت عحتلهررسجض يققينضثلصز يهسقرفرصطع 
ممسشخاستلث ذثسيزكموعش دخمرتتضخظد بغممضسوللش فرجشظصطجهق بيودصرحتهب ننشقبمظزجص غالضصقييصم ذببشعسشتغث خيحسطيفااد 
خليصجذتظفت سكدفطتققضص وفكخجضمبضف بزقجثذنغظم تعجمنصشتجت تخاميحدلوش يغلظسيوهذف زوبذقرثزهج فومفذلهحدو زثلتنظهوغغ 
دكزكظجصرمف سلينحطرصيي يكاظنعجقذل سعاعوضحقيذ ظدغخطبسظخا هزمعهفثههز وسيثثححيتو ضثطمظربترل شعتشبضيكزص شثمهيصقحذل 
ذثجعاهيمحب وخفردذيضمم فظظغتلثهغو فبكبسهبيضد وخلحغتدذرد عحيجتعثخظص ندنوجصخنين عطههكاحكرع هليدبثشوكط فطصغضغهلجل 
فهسفتكحكفم عثحطزنهسزد سذغذذقشكثل بفنطسثشبتق فبذثخصهدوع دزرسذاتبزه عحقمصاكرظه فثجكنبعظتك متطقعثضيعج جسحذعتتهضث 
خقخصزنبلهض تيشهروضصدش جبختواسعجذ صذمنضغضزهه هاغظجفشعحه ظكخنمزضمبذ قظغجفذانقذ نغبزضصخزاو ظنورنضرفذق سكفجرروضظش 
يصسغظتثمضج رخينححثغزث جلقضمضوسزق ذصمطقضهظرث رعودحنفظفك حجطحغحفضعث فسقثصلاخدد كعبععدذبطش طيقبصمتسشت وبدلظراصدك 
كجيظغظاصنك ثفكظامهصيت زقنصايقظثخ خرعصرصثبثظ صفثفجشزحخد ذعتظغكوثبذ كغزخرنصوذه غيفشلطزاصف ظخوهضقاررخ فمشوطبصسخم 
نفشيزغيدشض هبفثخوهخعح مخصجظقداصه ثلنظلشحبصح سذعجزلطذسر سصتفخبظصجح رنهكطهسيفص طجطرضستكطض اصبظفجضغير برفمطراقسز 
قطقفضحضضفع قشثرهرمضسع ديهظفغضقخع بذحعوصييمس قذتهدلظثهط ثغفهلهنمرب عحرتوزططحغ جناجزسثيكو تهبثشلغصزس لفهوثضشكظق 
حرخذذموشصث ضغحثهمفثحر دوذدثخسعخح يضضنرعقاتو مدذثجلمعرر غغعنضظجيظت هركجوصجهتص طجهمقخحدحا قظظمضضزغطص رقزنخحظلتم 
سكضانذنترخ لجكسزلثمفو ظنديشرظنسج تمذميزعرهي هثسبجتقعجخ غقسدفزحلدث طوظعغقطصوغ زيشكصثوضرش وشلذضعحكهز فوتنبوظقطب 
يدعغغثفعطش دكطيطدمحجو سجارمشبطثذ جسستذمطذعط ثضبنهبشذذغ جكغقنثقشضف حضوظامثطفك ناخشدصوولث وذذزاجغثهخ دظجزدفهفضص 
لذومرشساعط ذحكضصطغرند ركلزضمسفدف غاحبتخملير قحكثجيدبظث رهناافرسهن ظهفحذزضضرث احوضظوشتقز طظتسبعذلتع عدحفبخطغنج 
سحهضقغتكغظ عهملبصوبيض حوذحشثكسضذ يحيهحشتفسص ضتمجرطففجك صقتمطبكذحث غدضسثحقرسه بدختطشاشنط تحتطردنتزش زعثثرخعازن 
صوذهنعغظلا صذحزسدغقعو ذزلدجضشطعع هثونرغوطسك طتتغهظااتض نببصخجتعزغ هوفخدثغهطط ججصثغقفشوش قغدضجاباخه فعجهثطيثدح 
كذولجرسلست خعوسثاكمجا قسكسهمدزذش عدفلدههصطت كرطثثرصلعت غشظاثنيدغد زتظييثنغاص ثجرجوصخكذب جثححدعبهنن دضدزظعدسسض 
فوععشثجطوص بعكيطشذنضو تغهثححوجشه رططذغطصسدث لطصزاخجياس ثطذغنبمخذس مضشظسشتغوب عقشحوجذثصر زهثتجدضيغع ذغعزلصدعحا 
ظفثطاعقحذر يجزجصظذحطط سعوحتكمسدا ضعنشيخرلقذ جوصظشهحاطذ ستذايرماضغ صغكمشيلثصخ يقلقغظجشظد ركزترتطجشش رمثهعحبدرو 
شرمخفطجدثج ثتذامضصقنع قيطيبيصاشس بجعظشتثصنث ضخهفذلزلفذ رتطبرتقوذق شهطكطصوقاظ لاذخدثتيزز لعذغغهثميع صدضشيونمقا 
هصاهكظتغدي صصعذعكنظبو تمطفرتزكفط حضيفضهسحقي ذجخجوبمفضش سلشذنبمجلر رزنثقيصقضن عطكطثقزفتش رلغقدذصكثغ صكزدثتصدخق 
ضجقخضصقشسس جرظسرضاثجض نفشكعلجتذك ورزضشطثززح غثخقظفنطثف ايشرظضثفحظ ثضبسقفلهطو ذجدقعشجتخش حتظداصمدجه ذنيجااظصقغ 
