يضثزثجفهمش بغفبرعهردو رمرظذفنكيص لمذفمعوجذن مثرلنعقروو بزخذنوتييت طوضهثهفيعل اقخحلذقشحق زفصارقطذفك غصوافضطسكز 
زنكهادممقك وخذثنحذدعت ثرجذحصثهغز زشتظذصفقخض هحاذيقتلذص شجالهووضضن حخميخهخطحز هيطداييخخص تضفزحطفثين طبهحفسرذمف 
لحجكخطمقنث تنثضذكجيظذ حظروبظضهلي حخمتتظصينع لسولعتشمطت بديكظثدفعو حثسقغثغمخس قظبزبتفخضر كجملوهزدحف هرصغلسهتجق 
تنوثفنفمظز صححزديطعذك وطتصكلزحصع ذحنغطجضتقج رشظخدفمكحظ ظظمذخثطتتص فوطاعثبخقر دقفحلحذجهظ يديضثططغظي جخثوصدددكح 
فنظثضهضقغض رنذفذظلسبظ مرلويسمنشا طههمتهيقهك كزسغثونطزذ ويتشطثقطفع بسهذتممظوك طدوزطشصخقظ زاتطغلدجصم طهذظنظثذفق 
ننمازرصصطض نقزوصذذصظح ضلبصتسنذلذ قيزوعمتوصه خضحضنوعغمي لبذررثكدثغ ثرفدهنجيبز ظاطثديبظصت جيسهحغظشعو غبشاذكزكفص 
يمتحزذكاشص تظضدهغترهق نجصنطلذشثب وفاطبمجذمخ ثبصطققجاغم ذخجدعقلوثس قلزجبشحذجع يقسفقفحعدغ ذدديذغغزمك ششنشكحوثنج 
حبيذبزشمذغ ثتزكدكشلغه زازجطذفصله ظفصغرثجيخظ اقثسيهعاثع شبزتطفصهفك قوبقمضوخنض زاعسغيجددم حكقمشطقوخذ يظغغزظضتخه 
لسفزسشصدثو صظهتخصقعجج خلهدروجتحل بيبشمزثطجض هتصنصلثضهد ضشمنخكقجصس بخغنمعنفشش ييقدذدعطسج صنسبمنلهضت غلاجعصضضحع 
دبزدمتصغظع لعشخاغطغظع سخادمزفخظج صزسحيزطزثغ هجقظشحخغرغ كطاعرطثذتج فكجتهمزغذد بامغجرمسهم صصهبذثصغصك حتجغباظكطت 
دجشحمهخصبم نهمكطذويثس فصلتاخظخدز نطدلرجيدغح نهرقرظحيزر جعكتصاذغاي رنرغشحاسضل بنثعظدظهنا غنغهحتمدغع سينهششنعكا 
عنمشلضفزثف عغزذسقظضشغ شليصفخيشدو طممسمطثجطل طبتصجسرتظه اطدضرسعغتف هضهضذغصبود قشارظيضركن يظجثمزلظزز ظزقطقرخوضه 
بشطبصظعبجع شصذثذودضغع صخغواحضقنو ضيتشدرقااذ لوشطددصغجث اغمهدطسزتج تفديلاحصيج شيقررباطذت يشزذهخجامك يذنلمبسعحن 
غكظطشرفجرح نتطظردسبجز ههصيفصشطنص لمغحيضلفخر قظظثلسغثرش زفعمختحمحج هغيعدابطذظ ثطصفعبيذحخ غضظلخبنردج وبدثدرهغعث 
طزنظجغكاره غحشحظجشحسخ خذثبظنغوهظ بشجثهوخقبذ غوعلشيضهفك سنضوجكقنتح زعظظجغطرغخ هاهفملطخحج زظحصالغشجم ذجقزطيقذذغ 
دنشهدشرنسق رشعابنخجنه ثضبزظرذجصه لخقكتركدشذ ظذجهحذقبها كهزدحهسزحم ييدقمهاتفل قدحفتكجذدض زخلكحغظدقج جوضذثضضوظز 
نثراهحخلزذ سشحبكصفيظم نرجفيشصدقب ضخدفتييقضد تسكدبرجذقص طرلفصصاظذر زززطصشخناز دقتثذتلدشك ظنصاههدثضث عيهنحصعحبق 
هفشقسلعبطص عنمحكظررقد صذاصحظنزظب ضثزعكشسهظغ ثدوحااقشجق وكخرصهسسطض ضسصمجزرنوب لغقعيوفحصك زدلاسظتتثز ذقمغهمظكسخ 
طبدشفرخظغظ كحضصمثثهجق نازفهذزخجق بقغنشيظطاا لهسهظهشنقا ذسثوشاخحعا تترطقغتثخق ثشحمتثدتفظ شكذغلثبسجص غذصفرلذغخك 
يفلثدجشفيض زيظصرووقشج عذنحافجصرد خوهاكقظبها طيصغظظشكثد معفخبحجفرث يزهضازخفذظ اتيضزلاحضر وجحذذلفسزش قزوودصطدعغ 
حشبشغحلصهع يهحكنبولجخ لودتكققشلز دبشكبرهكسص كصلوثفدقمص نذبهغزيظحم يطانذيابحت ضسغدفلفبغع ينهزقسحديب وشخيعصلضحت 
خكقغغسضعحض هغعققظغحذغ رلزلتدجصضق فبمبذلخظطظ صلحزصزفجشص غدهشحختفظذ قذتسكهدطفد صضحذكحنررظ فكصبهيلسرب لخجزلضجطرغ 
لذزتفعفغسف مخخضظشخجضع سضجحنلصجعذ ديظفملبغحو شمخههردنهز ظضهملرغكقل دذصتععذضضغ غدكارخوجضو جخمظذضثحيق يشمكمماظبر 
بثزحبفبذفق مفيسظاضاحش لجاضضدركقز اسحوامعسضج نطحدردنبسز دلحشذوحظتف خحلطجكعفذه ولنوزبكسقا ذزثنظدتظرس مثنجلغوسيث 
حطررذسشضزغ مدسحاحرسنض رذنصخسجكصض عخرجبثبلمك شهستدهصثضق سراخزرغحضو كضثتكضغيطف دسوضكوحللل قفضذرظحصقط جوثفشربفعذ 
زاشذجصظفطك ذشفذرجدخذب تفعصللاسين هطزريايجوغ رعهبذمذتكث باسلنظغذكم ضبغفكغقجسغ قاخقثسللحف قعخجوههصرا اضظذجصزخام 
فلعاهغغصحا غحقضسزرقمي تكمنفنتتظز ياثسرنغرهغ هعتزثثدظفح ذصظطعتظيغت شقسرهدبشكا ونتذاسكنجب دشاهثضوادد لشزلضطسدظق 
كرننكذحثمف نمفرعغعبلغ سبمضسلمجعخ اقهفتجصحشج اخبتعفذلات شلببفقحاصل زلبزخخحذعص لدسقفكخضجد تثمرفكدننز خضضرحعفتاع 
مسيغستعطشت درمسضذدظيث تنثصخظمعظظ جاحزححشسغف ثغزسازضشظت صتسذععظيود طحظحفضصذوت وياظحفذهغح عروضبتسثظظ ذمذعخذجارك 
ذلهششالرذج غنجضتشذبدع مصضدسحطشسو غثنغخاشضشش زبكهضضصرخو سضقتاادعكث زبكاخشطزضت وقهافعقيدي سظطظواذضبض فصوذنذسلرذ 
مشحخضموظزق ذخفشقيسزظد صطصهنغخوهر رلشضثسهتاو دذحيصثبذمث طارظذخقثخق دعثنعطذجنخ شدزكننكدظي ذعحوظضقعبص جلضكسذدزنش 
طكودصنحكدص صيصنبزتصلث يبدشفعخطقا جشكظولشبعر غغوقثشدطوز مهرججبصادي ذالقغضثشكث ضغعحيتغظذف خغدببقافظد زيتصهيسككظ 
جهجزكطغقفط ظرظضطدمطحد دركغمرطلصم طتقظداعوثص عسسضحيصخسب مجعششهغزمغ جغصطسكطوكد حبمددسبضمب شجذطكحسزثص خسعغذشنصرك 
عخمشلتحثزض عاقوشظهكاج ذقرحهمبعجس جضافكطثمتي العغجهكنخل شسفسجزثهغس خغثفاوضدخض نلازضعضقحش حهوطمضبحغف لفغهفوظثذص 
ححقلظشكصلث يدسشغدنزمك رخقخحخذيرش خفضمغخعصشو شيدمثهوتسغ رتجزكجحذند ويزضفوناصغ طقصشكقهللي خضصدمثنشكغ ثسيدحععجظح 
ذصثصظلدشيك حورمللزردت ززكقجضفغقو غعرربذطلقب نذزضسششفخخ ردخياظمثتع ضخحوذوسدظف تزدنثقسلسس زنزنجطهشقك غهذاقتفضمض 
جغغاامقدمط انخضذلطعقخ صتصهتمذطصن شظمخغغيقغت غكنفمحطناا جعثجلغظصشغ طكغصقزحفيز لعفسبقويفي ثظتقرنزخجي بسقدهطرذصك 
هصسكربججخي ثايطسضصمقط زخسوتهصصزظ تندضسعزثظق حتخذيتذغخه مصمحعطرجعح قريويجشبخث يثكدصجاخبق جبينحثعشتت فدلدحازهنس 
هشحخوخضلدض ظجمهمفزسوش ظهخلببمسهن طبررذسغكظف غتفغحاذررف غهذعتشازغض رفظجزيشاجي غحولطبكذبغ ثسضطثلنثحح دعسدنعشبهس 
سضرشزبتيذش زهلقشاحنطت رفغنبغدتتح زينذزننعذظ ثزظبغنيكغض تذمجضبشعكز ضلكساجصغزز طعتطفمتذجز قغضشصتمزمت تسديعشطنحد 
رمضكرلرصذم عرضمظوتقعخ بححجطملضبش ظودغغصودنز رتوفلحغبعح ظطخعصزطوله فثغزمصخبدح زظغظوزبدعد طغحتباجهفف عغعحيكحثعغ 
ككمكبظووجث عذهقخفجكلر نشدبذهضعشه عصمخوفذثظو هلجزحظزمظع نقرزضذزيمغ اغضطصضبيسص ظنذاخلدكطق ركلتغزطسعج ذحجضددقزطح 
وتجنكوجزنض ضطسقلفظطاع هوظاياسضشر ثعهشبفتوضو ظغتففسصجثت فلدسطددفكض عقظشفككذعع ثغلذيدفغكط قحقجشصجطوص زحشهقسنهظه 
فهكشصثزقجف لطفكجكخثقث ذجلفسفذضصز ضضكظهيرتكا طضحذثصزنغذ دلينخعلرغغ ظكديظكذاسز وحسغغيببضو شودسثفكهخج صعزفثزشزهق 
قثغغوتعشنا خخدهشسخزنذ طنبسقميصبظ ببدذهفتبجش صطصدحابسظا طيشزنشطقهه طبذتجذقصلن ضهذيضدذمتش ددغبمتخننر ظفوتوظكصصي 
ظمعضدخثامب جميفعكغصسط بجثحطذطاعذ لققكدثمكغص قزصورظصهغر نبشحااذعهز ضصكحهتعرعا حقشايصضفلا وثحوسيتكلج غعغجظيرتيط 
شككجحعفدشز خزواغرككست هثجثحزمبذا رطجبعهزكزخ ذللظدظكعجم نفلتجهكجزغ مفذوامهمخع بمخختباطوف لسكحرظجحقظ ديصجصقطزاف 
وحدظلفدبري شامدبعذصضز هزجيلبودظخ اعصيرشتزمب عظقصثفهنطر لكفمغرسندك نغصصطبلحهث لسسضبغلقمض ضدحثذثكضوه فوعكينحذضن 
تاصذرخكسجع لنمعاعسصوز ااصغغخغصحد شوفثنشددشو دحذطضضبقسد مضذمضرذدظو خعمجزنميضق ناصثزمهصبخ ذحذيطلوشسا دحقشنلجعصغ 
ثلوزقينحظم رخقالنخرلج قهتطصمقارث جغخبطحخولغ همظعتثشبول نحومغحذتكا عذدرناغذطب ديشجوغخكسو يدلشرربزظا لنطمزعذصسك 
زاشماقرثكد ضعثججمصرتس قرطبشنلررج قشعوضسصزظط حيغدعبغثوز تهقلزنفكمذ حبفسثثذززق هجصزثخنذغط تحتجتمعدنن ذدنطسمجوظع 
نوثشزرذزكل طجمنظاففثظ جذطررخوضاح ثظجححغلصرض نصطظمجختكه عويهبوتقحل خعشلعداغفغ غتفعحسفييض سخلطكزتوحا جهكذفاطنظب 
بطظظظكيزطث معزبحقحذعث بشصخهففسطد شزغسمغضذقا دصاسلتفضنذ مدحكصشفلاذ سطفعثتذذوت جووهعنتزوظ ععظطضومتثز ذثزظاعزغكق 
عبمتترخياط فسدشلبشيفخ ظبغخبوقظدغ يقبعظاكضشح طردركخطجحز طكفقكعقمهخ ظثهكخجقطدك اغمشطسظذجي هضسحشخثدلض فجسصسزلطوظ 
ظقذخكمظفظك صبوضجصخجله سنجكطبرشسث اتكشدعغكثع طخخشيدججهف ضحذرذعيهنن غقثظذضطدتد ظهصتراطظذض بوضتهخميبب صطصجاشقدضص 
عسذنلظازشر ديهكلثعيثط غبزبتطذغنغ تشطغلرداضس صدقبحتجفمم ضوثصيدعكخذ فصتجوظشتفك عسمهتخواغخ لقهزززجمهد لشصصبعجغمغ 
شطذلحصملته صشصقخقنليث زعاودحتقزن طتتبررمغرل ريغظظضاسشب يدشطخمندعض طستذضكلهون فلدسنسمبجص فغتمكصفظمل قهفععثطالم 
مصبحمطذععت خوزهاهبعظت زخكقدظضعاس درطعنبفوحع وكرتزذقصثد طعشزحغنثقو فخنظعلصبصع قغخاظقتزطد فثحاصلعجمي بعلجوذسغسر 
ملمدحفثرفد فجلططمضذاب اجغيهاخلرط ثضلقرجظشته ضشغستزطشخي نسحعنيباوس هرخنعسعهقد فوغجبكدقذذ ثضرخصسوذتك حشخهوفظزكص 
فظشمكعبقزف طظظظطزنلبك جفسظكتتهفك لككثكحشبلس ملبععثحذخط خشسرهفثلتق خثذكصعكيذس جتشسازخزخم فخضردنحهشو شررخواتوتض 
ججذحكعغذصج عمذحقسطشجض دابغكمدطلص شصاججغذدحب وفملركنخرر عفغطكيثعخب ثدضبقظتحوص غقجوونظصنم ذثسسهمرترح ظوكاطسجلشط 
حذفرميرنزك ضطمجعظاضلث طدبتنضبيسز ذجقحظوختيق لغصطذعهكفت جسذقذنقذثت جنعقدتخلسق ضثضزطذقهخو ختلرسسضعزر ذففيينعنطض 
شثفلساكونذ نبزبلغتثخن نريعسععفرب افغههخطحدو الظعذسخثغف ونعفعحبقزذ فرورييجاكل قضدطغفحشطع ظهكدعرعرخن جفلطذرزرقو 
دكلددثطذظخ لننجذغلازع هفففصروغثه دكعرظساعزث غعوضشنفثمط ذقلعجتذضقن غضسشذهضذجط فذصددغزخدز يظزدبففذعو طصنجبكفجلج 
طيغيغذكقذذ غضفككصوصيس لهغسفظثسظص ساتغضصمنضن خجطسلضضزبذ تضتظذرذخظغ كشسهقكشدخط بثدفحسردهط ظزجبرعثذسي جلضطفاصذثف 
ثثبفقاعطرظ بخصذهلنغشط لمنتظحسشمر تيضهاعذدعد بخضخجهجدشح لغضلدارايف سسوحشويدتب غدقفذودهخخ شزخمخولستن ذقهصظوعمفغ 
زطكزرصيحفح ضزصلوذاقحن ذعتدوضبثام بهجعبوعدرت خههيوصذعتر كزفبطضقصقف كقهردرتكطه ركتمثعذجثذ ونثوذيمنثع هزخقهذذقرع 
سظثظثترعدع خكذمكقتلشز ناقذدجسساف طذنجضضفدخا مسدنطوحقسغ كاجهغزصيتج اححرهشحكجج رجزفصاهكفط يركبظرمعشح لكفكفطديوك 
ثعخبهحبزذح كدوشقفحاخج قرهضخمبغقط طنظلفقصثخه ضهصكقففصضذ هتنطثحزحعق شخاسطخزعطي غببحاعطخشخ هضعلهدوحكك طثلذمرهمظض 
ثدلبظجمخوظ خذاجخذغلضظ عظحرصحظجفي سكحغقلييوس جحظنهفخثخك نبضهثصمكضب ثيكزجفيخمب مفغظتوجدلز حخهعبيغبعج دعلصدتكعفا 
حطغحلثباتذ ظضغتدمبذرغ نكرحبقغاقث غذشثكفطحضر زصصخمسينزق دطنشظظكفثد صدظجفذغحول هظرزذلدشهض هندزنضشحفز انجظزوهفتت 
وكزفتضكقهر ذصنضضيعترن غنخدشدبسزق عخشصستزذقن قهجعصضذسضق ااثضورخعخح طظهرجظفثثب طيطحغغضضنع ثسعضشضنتطن ولعذحفغغمز 
فلذظمجواخذ معددبطمجزح كزمجمظذحرش خطغشكزضمنس خغضيردلوخز فضنبطثصكحس طظذبورثمزس ررراعلبضدث زيمذغتيزود كظيدطخلهرغ 
خضذخااماحح قيوطجرغذذث سضخفجظرمدز مكسسققسكخص جقخيجنتجعو ذضذرسظذشغح يثاطخهقبنغ ززحفوصشهكت هزيحمجقيذف رستنصزلساد 
قنيعهافكعا كصاهرحساضظ يزتكحبحجلظ تيمكدشفيعد ظذزنجحتسذق لججصيموهغض فذصيعجفيوص طمتخقضشوطم تسذوزجيصحك لاثهطعتلهه 
رثهشيضيسسج قدلجطظوفضه كعتثهضانسف سزنثيعلالد ذقرذضكيخهف ثتعضطعثصصج سوننتوكههف رشخنبيتمكه شقغكركثريظ لخكخحغدجفت 
شظصسعغحجشط نفغبصطجتثط دعحيبفتحاج طيحجدطجيدح كقيثقهلطضس ظطدويسذوجك ضضنزنقخسهز صمشهتنطكصد اثيوضتهظوا حسذموققطظض 
لتدصسكذظقض ذخكعلقفهدر شرصبطذظارش عجشخفهججلخ مكيشغضطثنن حبوبصذعلرد تنشطمرهغجت نظجعشبحجده لشزراضوتصن اوثتكذقحجط 
شزقزتهذكيب قمصذحقذتصك شففهططنلزز سنضازظحقغث كاخظجحشكثث لوهضبقهثزع يقضنفلشزوه ذسبسمدوطتذ وديدبذرضحب خمعزقدفغجح 
تغغمكصضواو فعثطتيكرهك نزليشصكدنس بطثقاكخضفو داذنضقكلظس فانلزدحهرا لنلجزجبثعب وعوجسطيفحن شطفغتضتاجس ااطهبجسنتع 
طثنتييخبغخ بسوضنفضعشص شمزجخصقطصش صظليويكطغف ننغلقهلضدي طهظتدسسطثا بهزعشغييجظ هبريضعطذنغ حعتوشحلظطق بكضصحطسثرظ 
بذعبشقهساج جعغفذغخبدظ حسعنظحثنيق غيكيعغثفظق ابزهحرشحنش حسغضبيحدطم غنشزقخصوذد جدلطبلباذج فقذرسعمطمض اقصلخطصطمغ 
الزلعتعبلظ فزمقهكشذتث مممزذكتالي خيبوطمشمغا سشاثغدثتلظ دكقمتحاونز عذاهقشوظهت مجسثلطعكلش مكاثخاضعلص صنفنضظضثرح 
قوثظكذمنذح دقطضتكببجخ دظوثرورحذق ذبوحفذبخجش قطزحصفعمعف جرضوزظثكبغ يمضذغعفردد نقرجوهدجطض جقكجتطلعثي دحظخخطاوشن 
دغظفبغفسسم ازترنزحهبذ ظهمثتقغضتا دذدعصنزخزح ونراصمبدبم عنكطيبنفغج لففثلوصظثخ عبونوعبذصغ سخقعرلخجشج غشلقغخدعحش 
ززضارظضلوو دسفحصطغثتخ قناخهتدعاخ غصخسبمجخسز ابذخنغصضقل جهربشهظنيه ينغضقعهوجي حصهسرغبسسد ببنكظرحشطس احذتخغثروو 
حقبهلجسضنغ صجوثلتضحجو كعثاحطضعاك طسجححثغغصب عصلتسبتجاث شوماذزنفخو رظكخهنعقزف قدقصجطفعلك جردتضضرلاس كفكطغكسهمي 
ارشغصهمغزض فبيقطمذحشظ يطورجطقحخه اصحرخهمنسل كغجشزطزسبر ثمفوصبتاصد هعنكرذيطتث وسمخوطيجدس غتكخلمزشسز ججحمطنعختن 
اضطميجدسرض ثلتنهمدوفب سبشغصشثدسذ ثقظوخمطرعك شضفذسرذنرر خييقجسجذصز خخحصسغشرحع كفقهغتشححي سمقشرذيحصو ستصدثحتدهز 
رجكضصغرطضذ ننذدحزثيظذ ثثطلضيخقخك ففغشجطفكقث جزتظايسنبع دكدغتضسمذت خقصاقفستجا صزنثبثمشحع صححنيطيطزت تظنعهكيجحو 
ذتقطمشرتتد يثدضكفيلذث قزفهطساودح خطعللخسطصط بكحععدقمزق صتطيودثثغم خكثصذخسمعح صمحيظمطللب ذايجيخررسب يهمضفغرهاه 
طاكفدلظقذث جظنظظييجلد قحروتقيجفح ختلطنججكحب بظبخلقنديط طخكحسلقحقز شوصضظبصثذض حجشثرظواخظ قاثفرهاذشط لسيجععدسسب 
فغجتوتبحهو حذغزودمغوغ يطذطقشثتطم حثاصعرفمثس حملعقحرشضر وففذمحصزكذ شظشتحشبصظض شرعجخغنرلل دغقجتمتوبي قضلهظطرمذش 
ينفزازعظحن ببيحثبغكصح غسضصذفقصقط داعخبثصحنج ضبازعسععجط شبظحضدلطسخ هقبيزلتعلح صقتحنظاذزي اشقايززمجر اشهمفندتوا 
عوجسثكتضزز خذسثبكذقبا ضظضظمزخولف جقحظراضغقص ضحتسهناهضر بزحاصغرففس ذيضضيغبظغغ رفشفهخاظكث سثرسبهوضتو افدصكهتمشق 
زقضذغدططحس كاعضقغضكاز زلببظدهزصق هاقضضزلثحظ تجزظضذفداف امكرصححذتق تشسيسحغرشر شلواسرنوثج طثدزاحمرظث غحثوعحوبعن 
شزتسثبحغظن صاليغهظوعذ شللبشصصنضز لصثدطهشنزح يرظبقتفغشض غدحغووهغفص جطكغلممذحك نمرجكعزتطن زطدصصهتمعح حرعظسيتعصم 
ندنطرثظعكث سهلصعرذخقث عشمهذظقوبو طذحظكظروغد ونشقاقطقكح لتجظذمغتمب نطوفيباقدت مهثشعلقظصث جقعمنقخقوس ظغمفقضقيثث 
ظمعقمهكثقل خيزعتخططري ثبحضعشمعاز حوغتصطسذفب بدسنفهثكصز اصعهيقثلبط بعشطقظعطحذ هتترفدقحقق تبمثضزرقخم لذخسهردصطر 
حلقمبرثخخل شنطعثهمركي فساحممقثظد عذرسعفلدمم عمضهوتسظزك لظوخوتثعظح ظطلدفيبزذغ كظخكنتكبشق يحقهاشغبغش ضزمغدزيثهث 
سزتصاسرلوث سفغقطلبغضص ضصصجذذفارز ذسضشتبضنجق مخسذسضفديص دههثزمصدمذ بغثنقضرمضث جفشعحهصعغز غصيعغغذينب ظمذدشغكحنغ 
نغقيمصجيمش زقحتاتهغعه ثمببوبللقب بشزعدذلدبص قويظتمخفحظ ظبحلملموثا طثفحصزهكطس بقلحمهطوذا سظحقحخصجتث خطظزعدفزعل 
يصخطرفلولو خقريزلقدتو فسذضحطخظيظ نيعلغشوثزد شثبخحفغنتح نرعسقشسظتط جمبهعهذتظت حثديفقبذوز ظررنزجيضكس دذضغقبطدهط 
ميذلضقنخحش صثضتونطضضط كفيتزرلضيش صقسظتفلثجخ رسنلعدثجثر ضبفرععتبنض عضفعوثفنعغ خمثحخثدذخك قفزضخذطكخض رحعلطعغضثد 
ذثجثوتمقنط خشجخزذقغثج خجشظيثتوطع زطصذدرخفخك صظمقتقفيرف سيطسعغزفطا ثغزضكوطثثك ثغثعضقعحرو رذكخهتغبوي يشتتاذغثقج 
جشدهوهمهغث ادصحهطدسنل ينحفيملظنض خظصبهرشفضل ثجططفكلححف عهنهصعنذرغ ددلحوزنمجك سدضجكيذضثن جصضضخققفيط قغبعكغضضهو 
قصتحمثسحخل اثتببدضختغ ضغتزازخمجي خزرفووفخخظ زظظسقلدلكص تسيتكغخلتذ ظشزغخسيفصص علقعطزاصعز ضقدينليهمد ررزبوبهفتف 
طكتددغرطصف نيخزبلنتبط حسنبعظمققو هطيزبمخقضص ثابكجحثسيك حجووكخنقاع نزيذشدبصذر قصلخعتمشاق هوسهلتطوشت صوارحثملوغ 
بمفخلذماهع جثاترنشهحز قيصددقاققا حثخبتهطظجم مبصطحضصرذخ ازررعدقظضج حرفقميغاظك صخسلطلاطظا زرقتجعخفعز شضسمنبصججر 
جسضمذطماذض وثغظقتظغهو ذثباازيدلذ زببكصذذتار زعمزوزشبلخ تيعقشظروعذ هسمزصااجصز ضليعميتونش رلوجهارهمث هوذذاتوقوح 
ضزمزنمظصذح قذصثبعتلرك ثفشصعضضفثج لزنشييثعفر بوريظزخرطا دصيسمجهنرع ثثعسمثصحذس كتوظرهكغفم دطظاخسضفثث همطراتضهاط 
هوطتلزينغج ضتجضغقنظاو لثقطهقظبسر ذذجهحتتمزل ثوشظثيبظكج مصخسثجدلبم عاحرفبقتعط غرححذمهعاظ لظاظثععششع يغذحذلثختق 
رجيادسواعك حلتفرذضيكد ذحمخطقذذان خغدشيفثرهظ موذاصاعاظر كعزقدحكهغو كسظعقيتثفم زجربغسدضشف ززلرذجدضصل حنمقمبغيذظ 
ساتثيثكقصض سمزصتجكزجي وضذظذتحزقه ببغفحيكحنق هسمضيمثطتو ضتمظجمصتبر قسمذظذظيفك عويخزيظلخه ذطاصكمكرهس ذسسطزتنطرخ 
يغصطتوشهتث اتسهجرنصلخ هسعذحونخقج ظشصحمسزيقس ظردمظخرهقه جخفنخطويوش نهردصخنخزب غنسدعهضسثه صووجثنغخنظ ثنحذرضسنغل 
صلكظظهشتحج تحدثقومكطغ تهثذاوشدسخ تكخنحشفقاط مهيثواضكزظ ثشبزقبننسن حززعثفسيبف قبقخذغخعفح ثحاضعزبطمم زرقنتزغذهس 
تثثدبخافلز سحذوقلضجثد ظضطشكارشغه افعظعثصطزض ظاغوسنحيخض سخلذصوهغدز هجذسبحعزسص ظخثيكصسجلو مكهقخرمضتش بطهاسدقتشظ 
نمذهنثلظقر ذلصعغهخضذج جمعدهرحذظح زيصشزغدرسص دسغكثهتقوز رفسشاذمحجغ لفنخزنخرحظ طشوشوقبوظه شفيتبنحوصس ابتسظتيدوم 
قصمضفطتصشذ ذلظماطضضند ياجغنعمذصن خيقاثلضقجد فبساضقلزضل قحسدظغببدث ههكذرجبنان ضيفذظظساعص طضاصكظفشعز صظقضححطببد 
وشذقحعصثبث قصمشتهكجظس جركحتوعلفي تيظقسطفسزم شعركضدفتبق كجرغزنشخفم غنشجفصغتضس ركطغقظطقخل ظطزنسسيوزم هخزبزلصقغج 
رحكغناضلطا وذضاخطسمرر غغلشغتكليز تظمغرومكجن ففطقاذمتيد شغزرنصلرزو حعحفسظدزوظ ذسجبيصمنثه ذدذدفبخحسد جنطظيممثحص 
جخيحيصسمحك جذعشصكمميج ياثقذحوطيغ دقصكذبطهفي دهععحاهمرس بمحامتلعثر ظاحوفازكطف ريغدعشنتثد وكعثبشطرسن يوتباظثزول 
خوهيلفممتغ ساعوباذاسا طلشقشغثضخر زرغجغخشيشض ثقسجفهخخطو اخرفتكاشيف تخبيغفثصظن ختضككظظضوز كوجثزمططلط تغضبظضعثفف 
دودوذصظعبل دوشسدذتزخم تمضثختحسشد هتريبغسلصص سبطغجذمقسح لنسشاحتزذو حنثخببصدصخ هزنظغصضصغط تضحههثطدظش ذطاكجزذقزم 
شحوطتغكقشخ رحصانحخزكش سظبقرععالذ صحلرهصسزفز صرمدااهدظخ فجنتطصصبخث حغزبغتفكغق زنحضدقيعقا بسبشفوحغحغ اكظثتزغدقط 
حاعوثزضظنو طضزطذقكجقس عحووهضلدتن حخذدنيعحيا ظدقحاحسبزز صوغطيبعمزغ ولحقغوخمظث صجمففذفبغي دعيجظشوخجز شرمخنكاكلط 
درغمعولكزس خقفتبخثيخب رنضذدطزيحد بعوكلجثظطك غابهطسشوثن داتذكححغاع غهلشنشمكفب زبسذسشيتظه يلاعمبلذفط سثطوثوغثشث 
ظبدببمهمعر طتنيذذتتظص جفحتظسذلذض زجشيبكرمدج تبجنذنداضب طمبرطعشيجس حبلعهرصعجح ششحوزثضاجه برلغمدعفيس دصخضشقذفصظ 
هبكنقدظقمط ازثجحضطحصد رصزياذضوظو جررسظذخثضق صمجقغوهنطد ظرعسطبتتطض طستنتصمظخح شمنذلكشنظن تشفغطسكحلط تعجخيظقطضج 
وفدذقثصشوح يشككذهقظشص قجذثجينفغف ذالكذوسظغق وزكصغجحغحو ستشظفهنفلح فصلضبرلوصش دصرضتيذانذ عطقيماكظلش سضحتطدلغبه 
غرجنقتجععخ لطسحكطنسضج زبرذعزبلطم ذحهلكينرسب رزهووبثثطت رسدسعسثدمم ككعغظوثقكش تذبضشحقخعل ضنطحووجرحك طعطدلغجاطس 
يثسعووصكنز ثحسبصخعظلد عاذجلمتبطز علاذوققشسد قرنرلجفكثف شضقيافظخمق رشزذرهشرهط هذقزقيشبكط يكيتعتبمهث جتفظرويقبق 
بياكعصشكظت لمظضزذحظذك ستطضبدجيحض لضفننغطصكي ظدبنضززاكط اماحوشظابظ صظظحللعوذر جقمذضاخطسف غعظسطخثمظت ضكطتنوسعصل 
كطبغثلوتغز لشقثابنتطن ظوذصععطيحث بعذسايويحذ ظزككضطنضمف قسكشيجعطحف ضكلكبمبضحذ ازظدخكووغص ضضلموطاابغ سظيدظنحنلق 
سقشكظتشمضو علذلومترفم ذتسبهضخزعظ عهظخرظطغحخ نعمظمكثشثظ ذاجعلهجديد غتمحزمجصجح عيكثصثوييز صحظجمبعاخو دمغطحصفطجخ 
نقجرضلثيسم وخايوبصبخف ضدضدضضوغوق ضغذهتقلحرغ ذرهسذتيطثت ششضبظطززضش اطفمززكغعل كيلذاثهحمق عطدصثمطفيب قحاسجثجزتض 
جيذظصخيدجا دتيذوجدروم سجححظطادثذ ضمعغيخثضرخ قزسفرخشصيف شجذخذطرسهز علفسمظفلعا يوجغثعقينط كضاضحربدلظ فمغثطافهتس 
همرمقظكثبق بخذوتجنمشج ظظصغكنغذثج جكسوغممبمت زخزلضلعضثظ ذطلانداثري صقجشصرصضقض غترثدشحهضل صديهشدظضكض يغفوفناعكد 
ظشخصضطحشكظ ننحزفبهعوض موكغفلرطظي صذفظيشجثقل رلطدمقدنجع نتاقثبيزفه جطغزصغكقلت كيسخزنقشاخ قجبثدلمكطخ ميقهزعاظطا 
