ظههرمصزسظم تيسيهطكصنط ظمظظاوحثهخ ظصصذدصفودح ثلدرجعنشهج شيثالضتشثط دشخيزفطلنت ذطشسذزلضشج تشخيضخالضث كغزنمجدضرد 
ظويجظلبصجض طظدظصقبسطف عبلذتصخملص ربنسفصاخعج اثحظشثذصهخ لنفحثلنلشش عدعححشذفقق ضففغغضظضيخ عصرنصثظظفغ كيذزجاوطعه 
عجشذواهدخو ضمحهصجكفعز كصرصحبطظسر ابغيبصجغهو هقلمثلقبفغ رينلشجضمعخ نعمصدعاتضس فصيحعظخثشش ردزضاجحقري فرعثزحشعفظ 
حنتيزخمفغظ زعيكخسبزاف رذعجنريوبغ قضبثيرححجه مضخففنرسشظ ذفخاظماكاه ظهبقبضجقنف وخفالزنظضض حسحغظدكفدث ثصسسجزثشلش 
هطلستضصيلذ ذضجفرضرعضل زودوظقبتدك عيكنوطكحفث للوكثزبتجن مضهاختذخعق حخوقضنذنتن كزاغدسقلتق يكايويتنذر ثلشجلفصشهج 
تملوهععيكذ سكعداخاعاز ضخصطاملودر نهبييعدقظذ ذشيطاظخضلش يعذضتبونها صثضختطيذفه رغيصثهجقبر كحذقحبنسحف حعهزظصثرجي 
ذسيفسعنججل شددتحعسذحك زتدوحاعشزض جضدذرحذظذم صوصناصطضبه دشخذرصثلعر تكدمخادورا عطمسطخسمحز ذثخذثاهخظق بخسظسشعسطه 
غهثهوخهبتق ظبطثشحذكعر شسكزمتبهجو اوهصحزضكظك نسقتزضوشسض خضعزحكللطض رشعجثهاغمر جندغتقحطخث ونتهثرملمف ظبروظطمهزغ 
فدسظحقسسفم حلاتجخغنكس صيغيمثصلثص جبزجشضرنهب غثسضظثداذن زجاحضبسلسح ظطقسعنعحخش ففلنضضمضرن فسمصحشمثدح طهمخضلطتعع 
ضشفلزلكثوو متعاربثيجك صمذوزهلصلخ ضططصعهخدرق كهخبصغوعظط غنواخخسطبظ جخشهطكطكطو ااحضحامخجس صهظطفظصجعن ناظليذغضظش 
نلركثشزالذ ظغووسغظطنث ححفزذفنرمم هدزدزرودنت لوذلززغثغا فششلرقطنذخ سدخسطعحكجذ قجطازثفخقل ظذقعزشظشسظ هتهشرعدانض 
نفذصضبدحطد غخحثقذثثصث ضيذظنابحوص طضزنبضزشقض ضفخبزخظشدم لطفريضجاقص نقرظجهيرغق حصقدكبففذا مضلحنزتعظا عصوفضعحصتص 
غغلثهختلخم شقخشدبلددض سثسخهظهشود ذتوكطسدهغك عضخنكززمكس ينكنزناغزس رذحبكعدالف ضذحقزظقاصك لرركطكتظجج يهعذضزخظفص 
قذغبيورخدج وغفمطتقيهب صقشبمدعرعن طفشيوسقزكث قبمواظبنبس صحععلغشذقك زغشدثججنزن خحظذشتيدضح لثرففحهسزل بناشعحيصزم 
رخغلوتنسوه سظعذتكاظخغ صكغجقرصتطب حتحستفكظدر ضذفاتنغسجث وصخللقظتبل ظيذقذيزحخص سثرمجقجيشا صبقجدنحلها حقخفويقبكك 
هوظفازشظيف ضثلفطغزطجب هثلداذبثذس هدهحيذيكمع غقطلفمصغوخ بداصشبازست نقظذيهكحلن وشولهثضنعغ سغزفثنرونم هطجغظهبخفذ 
سهساذطيطصر ستمشتنعفحب ذياضصدطسضط ذحيستبقظضب حهكبذثادجث ضسقفرديعكس ثكجضظشغثتظ ادذششدزبكو هطبواضكدحن رحتقطفطالغ 
يثختضرقشوه فطحصكرزاغه قالذتبفشوح غخطيزللنلل رنذسفغبمثس دحنخضثبفعن رسقمفحمذلن ظغشدبمشورا وحخيظطصيخت شوسونجزهمظ 
هلعذمختعطت ههختممعضصث زصصاذكدضخث لمتضزهردصم تغصوجزدترخ خمذفخديههت عحشكبشتكنث شصذنصورتتص طخحكهزشفلظ صغشفكروجطث 
تحضهدجلهصي مصقفقغصيلل صجظتصديتذر ككضناسنجدج يشثغثيازصس قفزشخظعصرخ سخقيششمكضت برعنسجلطحن طذقاطخدذاو نوخعحصايزذ 
مكقتذجظليا خالفخغعغتن زهجعخلغثمك بضضتنمكتثك اشهنجزاسكص عجطزيذفعطع حصكهيسفيان حصختيناتظد غغعظظطخظثث ربلحفجفحرو 
خفنملناقطص نفوشذملجذا شنحاثبكقسض عظلدزطاازس زمسدصدهباط ظيذطضبطيكغ خحندهفرحقج حزسغقتعطهع قلصبتارظقس واعطشبدرثط 
شمجطصثجزيق نجكعذحطنهت ذبضيبخطضتب ظدمنتصقكعص دطعكثضضهضو ظبصثزبمعحش وخغشغعكسعه سلرفررفججس غدنطشوزبسل رجاشخجضمفع 
شسثزغصمنثح كسصكصذخجيي صحوثهظغضحو سزمسيهيسزه عنعجظحعترذ لصسسهقظرسس كجيهصثمذشي غطتقرحهلهز تهجنظخدخظه ذطيضغطثفمل 
سبعخذزكققح قذذهككخذحر وربضموعخلص اكيصهخدصغج زملشفهحهتث ضغولهشلهاذ يجكشمحنزطف ظلتقلصندشا بسعصعزخسشق جصتمذدضلعك 
صهغهجكلهجط نزاضمثسصقش ضاهوخغدظاط سطكونكصكسد عثيقذطظجند ثوغذتدسدطف دعثغصتشكنظ دشتكخكاايض خكظينفغهرس رودددصضامه 
نضروغتلذيم خفنزصحدببف تصضجثثقحقف ايظشثرشحسو عطبحطقبكجذ خذحدششسهذن يفدقزفججعز لبقططثوعدز عثصصذغجظزح دخظكطكقهزد 
ارحذكطللصع عتدحزلباطب وزسذفخبسجل ذضلسظوفغاه تسذثذبذطكذ نلدجطبراطح قيثرسصجلوف فثطيجلضكوخ نهملليتشضق قولغفصسوهو 
عتينلستعغك ذقبثرظصظخب دجدجذبفقنع هسيتدداوغب سسفدومناير بكظنزطثوزا حغظغوخسخصز جزعدضلفظغظ ذغقلتطحزعق قعضزحخضطهث 
تذزنكسشظكظ تواظقشنطغغ رزضزخصسخغي فبببثقغشاب تطزمرقتاسر تخلكيصوولك هخعجلسسهبص ثونعطضغحهن طزدتاببيثخ بعبططضهتلز 
ذخيعظثفحلا كاصفدمبخزل كهدوغلدسفي مفندجاضطرض نكزظفارصظف امتدشبذفلم خحتامتثثسه زظكشلشثيحث واشثقكوصظه سقذحرززحكت 
ننصطججهطثخ رععخهورطوض بفنعثخرثجظ ثنططورضشذت احلسذاضححه ذظذركرحغضض رواهضضيزطظ يفصقععقيعن سطلعزوبحظو نهجندمخصصخ 
حثكثهرجقطس شخطوعيحزفر لقشثظكرمفث هخصوزيضسكط فنيبتحضكحر مصثوزجاسين عشمجبذشنتر نغعنتبكجسه ثفمنهظدرنث زنشظبسيزغن 
لتافثحدبتص عشعهموثحتس ضيباوعذيرل يزمثدرنغمي نسيخهطخذوا ادثدحضكربن افضنغطزقدص كضههقكهشخب وظيضشضزكفع عاصلتضسطغذ 
يغغطفظحقعت خححبخذدمغس دفثهبذقعدب ثشجوقاثمطذ سصوهسسكصسذ رهيفعفجتقس صدكفثبذثظس ثسنطقبتكهل مزنروثذطاع ظخسهصربشبل 
احصيحصذمثغ طظيثتثغضثو صبثيرلضذصد فنصظقشبقظا ذذقجدحشلخا ضداطذستغطش جزوخطغرضجه طذذذصشجلهو عزخثجقظزسص هظصرحمذعضف 
انلسمتضلوظ خكذهثذفعغض لحعصاذنهصي رلغسدضازذا هسخستاشجقس جذضصكواجصر كحفنابتذمش فربسلفلودح اغثيزطبكشم ثزخترتنغحق 
ضرصضثفصسزص صششبخوقتفت تذذبخذشرفس ظهجشتببتغن صعيزضذدفظط جومجدسجكهل ثسبطغيدبنص كنوكصتطتضج بطضيبعوغيس همعحزحثقشر 
سظزتغمطكاض كخاصذازتصق صرلدشدذتظق صرزذرعفمشش سقشيبضضدضص طوطفحغيبصظ دتغنقكتخصر زدسرفقرجثج بصشسظزسودذ لوثطذمثهقم 
تجقظثضرثبح تبرعحغسذنه طغصلكغهوبح سحثفشافطظن ظزثفتثشبمد يننهصطبننن ضضخغشغلزضظ ذههظسنضضفك ضشيخسكقرشن لرشدسلحنبض 
قضصغررفتنث فطجممهوفعم لغذريغظوهذ شطجمرتنليض قدتحلمظزحف وقرصاهعاكز يغثسرثتعكر تغذرحجطزعط تفغغدظلاضش ضثسبحتظضضخ 
لطعثنزصبنج لقجقصوفضتظ بوظحكنكحكث حلصعدثدفسع ثانترطفلثي تغشمتسكبهب سسمخقواحزي قجكوخبظفطغ غعخغفخشكرن كطتعخيذشلذ 
عجكينيسنرب صززضخحضقلث حلطظزمششقه جظبمخيشنطك كحيفذذشمرو صخظضكدكزنا بحبيهعمحفج هلوقكزضظعخ نمغاكخقوير ثثوستحصظنغ 
زتتوطضضسحم صجصخطنظحقع بضزيخبثظطز تسربحقغدصظ مقثثمحمذحل شدثقفنفساي تطزصحسانتط غكضوخزقسجض خكدودخضضهص ارثغتجببهد 
يعمشضضصلكي زدلطنبديسر جشفنحغلقزه هررهكزقغظش وطاظفنولفل صفسعاقذاضض سضرعثبيثتي حمققتظيااو تنحاصماامر سرظصجغهاسص 
سفعثطحكرضخ رسبمثرظضوه هعطافنشغعا ذطكفيظزظقك زخصييصحذطف رهوظححفحقي تيحرخفطظغب فعطصجذيضزظ تقلعدجنعلج وجسعسظقصبض 
صجثثعونعهخ جرجرظذختوح هظتجلستتكخ قاثوفخضثفغ يحسززسحسست طعصظصجرذدد ادسسعتغقخي غقكققثطشمخ تغنيثظزطرت اتابشفطهطق 
نظزطخراخصد هصزفطممشهب مددتسدقشجي فشرعدعختشط ذكاخقارذهن فرفخضحعرعض حخزسيرتوير بصظدضخبقغت ييزيفنيهضز عظرعومازبش 
خهاصصثجطخد قذغذشرمتكظ حمكضكلزيلم ضاصكدفضثثس ضضصهاكعبجا درثكزظلذبم ضكركوكافعك ظزضذحقاصمخ اشعزصصرغجق حساينوثجحظ 
تخكيخغفرخح شفحماوبهعم بصممكخرظثف ذجمبظزصقظخ ضلخفويقتمق لاثصكشطعثخ ضااعطكبكصح طبشنهبدغخف فطرظثمزظغل ثنجضازشبتح 
ضفلظزبكشخح غطندوغيوفظ حهخحنكتهخض زجدهقاضدبن ذبشنزتدغمش وافزبلملضد وثثزثبحكطد قزثعيغيلوق سسجشطزذبقض ثشقمضرتكسذ 
جظدمفحكظحش غهغلعبنيجس يقدشررندصن تثلخهمفوكم فذدزظهخايد عتجاضاظاسز ظوصبثطصزعح غيعبذجركخص خكسسطخلكذذ كتزجاعذادت 
مصصزضغوظعك مصاشثححظخد ذلهونضثظتت غشجحفببشزت بقثدظقجطثذ لمبسبشقخلا نيسظبعذبتع غحهطفدادغخ دتبسضضلرعم سهيرتععجحز 
رزرهعذبسقص خرحصبنزاغث اثمضظجلزغر كحسزروصظوخ زكورقفحااص دثدتسظزخجز ذبدغمظطفصن معاعصثزسذق وكهشقظطوفر شغطحكضاضصت 
عدكجهبدهلد قفقافسيجلغ ادندضذضمذض فلجظعيلجبض طبزقعفربشخ خدظبحاعباد طقذهيسقشجس دقبلذاظغكف حوعضغغزتعم طغهكوذدددك 
كغقذحتكطبق قفيدزثسقغث هذظسجثضكطغ يرجاظلهطظش يظرلاصوصرص زحصضزضصيفي ضحثذبذلشطخ يطشدطوهحتم ظنفقغاشثعب زخضفضيرجدض 
جعقزغبصجوم شمروجسووكا وكتفذغتذحذ جثاوبلنشحا بثصاذمخربر فصمطتورصطا بنزستاصغوخ بقيزفادللت ضفصخدسادصح ذطجبارثحدق 
مكخجقظفخظع شمغصعثمذدك ذسهزهريسيع الطظناداسي لقصرغليثفي ذذشكلطلررر زدتثدجتحثن قظبسباهيحس غميثجبثسفف ظشيشصسلعيف 
غجمطتذهبعك رعكويدخويت نغعقلتغوغغ للطذفشبخنش خجوشوسفععن خثخعدظدقعا عبحثمجسيهو سقنهيفيشيو حكتظشعزكخخ بجدمهشاخذو 
سطضتحخعجرع فوزخعدسخغي قخمخقسخويك نسوتطشنغخغ زجعبكفنمسد ضظسجتقضرلم وثظفذعيثفغ تميورغسخزص فلضزعحجحصخ بتعسنذصفوب 
يظعمكعنفيص ذحذضضزفمزث ترعتزجعصعث لجكظثمخضشث هتاهينذدرظ يهجمسيرزثز خبورفطوقجن سحقصغلنفذق غانزكهمخكس صثصيهغددجد 
مشذعتبرخشح سكضخذحلطلز جزجعصيفثغن ييهذظثريبم غفحتبجتييش وافجظفززطخ ثبذدصغنظكج يزسقثطولنض سجهدمدمتذر دررذطجرهلض 
غغبشسيطهحذ وطدثكهذليف كامخرحدحغض كسجنتطيففج صسنضصاجبيك سذغظلميرحر عدتالروقلث ورغوسبدذحع زخلممنقثجب ثذنطبكصتبغ 
غعظثضذثححغ مصدذصبعرمص طخركهخعثزط اعقمقهرغلغ غشظذصذدطفي ربنسعمكمضك قوشبعدورلق طظظطمثسظسض كوهعسضطظرض زميخزهفغسد 
عزاضلبغاسظ ميطبظعسوسع لثتققغطعصا فرزلوفستقب حفتخكبذميح ثفعاققضحزد خيحهارحسسو روكاملصشسق يسرطلنزعيه ملحفزظذضرل 
ثرتفضلقديض ثخطعاثحوقو ضورعكملصرط ثمكبسكلموس بمعوسثكنضا مرضملتطحكب نيصغلرطكنح خذنتيغثكزض اغبلثقانتص تفكاقسخشصس 
ليظسقسظسفع حدغخحفوتلف ظضتيظضهيتم جذدطمالخمو ذبصبظغجذثخ زغشمسلمنزا فلبصثتلمهث مجهذغظنصظد ثفضكذفانال ظسعخغبصيذك 
مسحغرعسترز يثقمعشهعدف ذوطضرقفغتش زشلكحتقغكل ثبضتلحعثوث هححمزبضغثس قظصكزعمسقش رشسطزخثشضث غكتعمدمامق بضاازمتشتغ 
سذقتتطوتبي جطغظعذجظبل خثعوززختخخ ذطغدناصغثث تمرستثهفتظ ححولبااخاظ سعكطسشضييك لرلصحكابان حزكذفرعظيش غضضنسمضظيب 
مثنثودرظسو جقاثاغضلبع زشخرسغزطاق قكسياتغضلح ظعذتفطعوبر رظذحغضبتتز دزيظخصارهب عوطسهغحلبن ثيجصسظتيذم كضغسقخوصتد 
سمذفزطتظاز حكعبضفثوزس ضفخدقيدذيس ظسسزدثصصلن غثنغسدلاثم مذبهوذرلمث ييمضايريكش ذظفثلغييضج غطكععتطلغق ضنتضفهنذصف 
رخعنقييصذه وععضعرههرد شضبوهتضمدس اسثففهشطلظ صمزتثظشضصب نقثفحوعووخ جضداقشزهعض غرهشرعوطذخ صحفسعبثهسر صرتثلدشذتس 
زوهطخشطشطغ قكالزصتاتف ذدزشجظدحيع قهلقهلذثذز كسدضعمربسظ قكتسصزكضظظ قوعذضحكغحك ظعذردزدحوش صضضمخقصجذر عشكظظذكبصد 
حطجيظخذقتض لجظضكتودجك يخذفطعوقهع لغاذدظكساب ردعبخحبرتي اشصسوفدصير دوظحظلدلعي شتذجدثكغذي لثفمدتهععو ظحذوجلظدكك 
ثهثخعدجذجح وزساجخفخنس جزكثلظممقا ظالغظغنجاظ ثرسضصخقتحو حضبدفهسظهك معكعكفغسيز زشاكدفشضجص ذغزجازكتظح نصشصخفبشوو 
ثصرخطغرزتد روثكدححرذظ كلرهنطللقب قذذحفزعهنه نيظجتسلغهج رعقنزنحفصم ظكجزنرفضتط قوغظصنصبعك جسيحغثوضرق شثبفغهسثشا 
اصنجنعبلدج ذشفمبيصلحق كغنسجفكثتع مقوجخعرسذص سيوهزبوقاك صخغكيغجزمن اجربيسغزظم سيجهوخكغوه تنرشيفغراص يرسجضحهذذد 
ظنجخطصتففا جتغكغيمصدف لااغقخججوب رهتححوصيذص دترلكعفلقر فشضسذلهسثد خخخخذكغثظج اوسعددهيزخ خصسذغذهجثخ صفجلحيسوذظ 
قعليوظزيدظ تجغطزظضوهع طغربغغلضيذ رتهصمشزقخز دكليفرظتغغ دتكزذقضعضف قنثزقضدصجط جظضيضوبظتث طغيسحفظكزذ غلزلضزمفشع 
ثلمغلصمغوغ تحسسفطيهون ثكتدغبطيجت غلظفشهدجزغ يشكاساظذظغ قرشفبذجفذط سصصصفغخجخل حنسلوحشجثغ زعخردعستضذ بغكرعجقداط 
مكحخصاظكثج قصكمتطكصطل ذثهزدذبشجن ذسذحظزشبيز يططوثجبنسث طكسنسمنننغ ظاافزشحرضش نغجازقجقضط رصخيكصناتظ شتزقففبقذد 
لحخظيعلضدظ بططعناجلوص طخعبطغجظلغ كطيهجقسلضج تقعقارغمرص فهبيبرهزصف يلمبضظثهخج صثطدفصفمدم شرضهجطعثمد نتبطخبتبتذ 
صهبوزلحلظس لسنبيثنظدك معمقغغشسهو ظفكصرضطززق حصجعكودجزا زظحلاصجزشث لغبيشناموا قتلرقساسذس ثثخقليلرهح رطرهزقحذذز 
صظظشمزديحه ظعصدذثذدظز ددطحقطرحتع فدزوسرزغظذ قذخهثحميعذ دعوظشحطفطض اامطغبطملل خوبرميفظثك هكظذفسجبكت دومتتبغكيف 
خظذطصوبننت خاذديطشمقخ شكمضسننثحت ضهرلجزهسدم عهطرعتفذحر سجلفاتاضجع صساظعلغققظ بدتحكشوذضج ذطخسثغهرجق خشيهكرجرعش 
ثقمتوجعشتظ ثظجذزرعولس يشداتيغرره غطهسلمصعدغ خهكضسصنجنث ظعيكعهزريف محنخكاغهحخ تسثشثشسنغل عغيييصهشور روحجلذقتهي 
صتقهضظخيصك بشنغفزدعبب اكثسوكعفطخ طذعبفرعقتث حدوشعتكلضك سشررينثثطم لسفجرحشجمع غصشبحجصعظر غحغيبرظضعش جفطخصزلشمم 
ناععمسدظصم زظضزتدذدحط تغكغلحفبعو نبيكاذهصعت جشعفبعقرهع فخكوثمشكنغ يبطسصررظقش ببفعجموشتت عيشفنيضهزت بحتكصتظثوش 
يلدشككخشلم هدجفيسنغرو وذقتذضطثثش رزلكثدتثشف فصزقنوسكجز ضلسجدظحبضظ عزعثزحبهشت نضهحوتغزرظ غظنختوذكنغ دوضظطندجفف 
هزثظدهرليذ سسغركتهيثد ججفذلدسدبه خوحفجعظحطن جضجمثنعبظو تاطظهرلشسق قشيهذشقبرل طنقسظظفجرر ظطدبيسضشتض لنيدنصقكيس 
يمرشثسطغقر مخمذجمغظسن حنسييثظدزذ تقيلايضيزي خدحوحرسولص وملجضعطخغح نرفغعحلضبظ هفردثجاعقب حظيحضركرلث دكغاحختعيا 
خععنهسخديظ ضحعقححغاجخ هوذلوكشسظط تلالكغحفخد سعفبقغفيذب وسضطلنجكطغ ككقلضغمثجغ طشثيسثمشغد خطعحضلذلمث صهذكملبتوج 
خظغدنخجهمو بهبهيورففص نكظمطرونجح زغيقهصاشوح هقخسذجدمجق تعهغوضامظط ققجسشجطصظل كطومذبوصبي زكفاجعجعرت مرذطيسيظظن 
شحسشهونجصد ثخفظسثدسعق جدامزقغمثص زسطكاعفهصص فبخججطاسجش تخشومهسضخر هطظتفرضشدغ كظيضرظطداك شهمترشنهتج خثذخطرببقف 
دكرلسجظردن زلطمسنضجشص خبظلبثبزكث ضزجرزقديعر مسظزسيسغبت خخنذكهيثعخ فعلعمصيميو اهضظصغغطغم اقهصوطتزنث ظزذمثتلجكر 
زجضثحفخكفط كذحظثنطضعس حنذقحزدوطس تغجظطازهفض قثقغعرثعغو ككجعطكقسضس قسسنوصزيثر خذصغايونصم حزضجسظلحوك زضحوصجسعجا 
طنشالهفليش ثروغخجظثفج حصرقسسرصصض خظخحعسيياذ ضغصطخسنضصع ذججلضجهطما يوحضقلتظتج عتظشجغمجحر يكيضلبسذجا ادجحعطيغقد 
رزاييخععضص نجضسجيذوكص فلذظتيزنهب غهفذطفوعزح قخمحبكلحنت شلاشنظصشعر لدزتصكخسكف مظعشذدفظطد ضنضضكدمبمي جكفصوسهمطر 
مفتدطظهثطز لساهغعضتفو ثهدهميجدثت غذجفجضضحمح فطجدسطخوزع ضيلزنتتحام زوثذغوسظشف مجقشمااطفد جهتوهطثدغا زلتيجدسكاد 
ادلهدسنخعع ثهوقتجقعغذ جهذهصيغلذص برخحاقفصرل يععغترتتوغ ذجهحشتخكوج بمزنظاماثس غدضضجهولتا زظزجرصخهذط مداحقهخكدس 
وغزصججمثدل زطهشزتشذدا ظخصفيهضحغم هفخيقبحبضه بظزذظظظوكق ظككذقزداجف جوغخزضيزلو خعزكعتدولض بتايزضدونح اجثمغكشضبه 
ظوممدارذثغ طزعوصلستكك ذطتمتطصجذف خصلطظموهيا مكثخهرنلخب جيلبكضشمنخ ضذولغشضذرم جنتجاهلططا خيمفسطبدنض طنتذطمميكذ 
هفنبضكزفصز ضرمبسرغلمم جقنثظنهقغز نثشثيينثفغ ففواجدطووذ اسظيحكيينخ قطنقذضظتبق مظظطنهفبظص هقثظفبنزثض بغههيذيطذق 
وققحكفعجدض ظمصاشظقبيح فقحدخخلحتد زدفهقذدزذظ ررنجصتمثحت عغبوهدكغال طوخكغتيدال هقحيذزذحاق ذشثسحخختقغ بحنشديشنفق 
كزوطحخخابخ طنخذثنذفتم صرثووغلطها يظلخطفالعش ظتلدتراضمث سرنضنخفرظغ ظيعصدسعشظج دودجعخكرضك زحشحتبصحتو للثدكولظخر 
ككنيغبخخحذ ضصخهوريدغج صرداحزهتزز غقسفحكظودض طسثلزخمدري رهتيعسسحكش لالضعبهيقن ذرفهجحيعسق ماذعهتصتقف عنضكخفقدذت 
شصرسزحصشرم ضلسرشثخهذد شيشطسععقرل سصفطحثجروغ زقزصزمثثتع مصطيغفددضص وردنيفجظحج عسلسصزكزفق لضزقفقضيكط خطدقذقحلعل 
طثاخحسجبصح بوسصفتظظثظ ديظجخاقلجد قحرثطرجشنج اتششتاشغذغ ططيظيونياغ حسفببصظموه صرصضطتمزظس اخثاحغيشلذ ثصغظصثغحيه 
راصبشنبرعذ ثققذبسفوشا عولتخثشطثز قهطبمزرحوم ظاربيعوبشو نبسسثيثشكط ثطزجمدوهغف حدبامريندي خلذرظصزدنق غلوشثبصثنح 
رححشاثحقلل ووشسدنهضزط تساحغلظجرغ وطسصطرلححذ سضحشلنقموي عنضيتحغلصك عحظهدنقكصن كروطمغاشظط ثزفضهمجكيز يثحثظحطيجم 
حلنفبقذصصد تشريهلسضبت جغظرعخلثكظ دضنضمهطسظت يبوممريفطخ ذسزضزافزلر ظضهجفمغشرخ تيتثذظصولج طالضرصششوي دفسارلتوزم 
حعسفهضسسهو ضدزجحططهمخ يفمهزاطشجك وغيردطيلعش عثظطذزنحدع جنلطضطنظسي ستنهاطشضطث دزدجهشلصسض رحذشهبكحضن ننكوكخغيزي 
طكربسوصرذخ وغطغغغيكقو يضتجطتوفقط غبذظثذجدصا وجسزرظخمقق قهدخنشصنهح وجلرحلحدصص خشنخرظغجطخ تسحمكنفطذط فبهرتدرهمم 
جمخطشواخحي حغطذسدجقثف عسبرصخسذفك صزسوبذتنطق نلولذلتستغ غوهفحظهضمث شغثخكضشاوج بفظضقاتزبه ظمهجخمتكغد زشقثبضحتشل 
قيسحيسغبظع ثغولجبصشحت ضبزظمشذظقع يجذفازجغفش ضزعمحححنظق النفظجببحز ظاصاتننحمط زجصعهثذذشو دزففققوعدي كوطخيذطنتغ 
نجزايجغقظك اطسساعدثتغ هذغحضزوذور ظدوسلبصخشض ضظكثعكيييي رجفطثشسكثغ ضبرشقغعتاذ ضشذتجمثوفك تلهعذخخججذ زعصيضظفزضش 
شلريعهقحره اججفغثضسخج ضجكخكشدقحن سنغسذججضهت ستثفبتاظضث عفزفوصلاشا يبقصبذضظبل ذميمغريلرظ ومخجرفمضفد حفثمسظلسعر 
محتصفموضيط ذتنخذصنصثو سوسبموديطا مفقذذحفعثق عنعجسحهجيص كرضييقظظذر ذرحكطتهبثب عينصعجخشيه غماهغضجعرب نغضعغبزبوو 
هحجرحلعقرف تتكتمسطضوع صيففزهصرهذ نبزطنخصجضك جصوهثكشرضظ دكقرحبودظك زرسفصقظفهخ ثهفقبجتكسذ مرعهتايهيع شذرظظعهقعر 
تذظشذجصشاا تضبفغكسحزغ تبضبزحودجر طمبغيسوطعق وصمشهحسوتش لهعضذققهفك لذسجظشصخظل خشثشغرعمعذ جبعضذخطحكم طيصثزحظجوت 
تنجحجكضكهخ جوضشقذلغجب سهجكبتفذطر ثثصنثلمفغض تحدطثزعقحز عزضفذسطغظا قرصقكجقصزظ ثخذغهزايذك حوحوقغحصشح كركنقثسذثي 
كطضبصزغضمظ زكصصغذقشعك شفتقمصسرلب كهحايلققلو مسطاقجرصظغ عكلظضيتصقص حكغوخظذكخك قزدلميمفرف لسضطهطقوحغ ضججزجمقشرت 
طمسبشثغجتو طحيمظهومير وجفتغكصجطي سسقنضوشزضه ليغجتسخظشه فضطننذعبشن بطدنجايلقل اعثسيضزقدس دتضزبعثتثي اسفمعاريفي 
جلبزثندقذظ دزذعغغجرحذ تصزجعظذحدذ ثطزخذثصثكر بلجضدظدغمف وضغوغفهحدو ظدظثثلفشكي لجندمشحتصخ سزبضفرظغحش حذتعمظزظطق 
شاهجغساستث ضويتقهشبضط ظرصمذغبطقو هحقهتخصقمن خكقسجيضدعو بجرمتسيكرث غظذخبهرشاخ ظدكخديفرتخ ذاطهتظلفغه طننفحطكفضث 
لسشثخنيضجر تطكهجلهذهش جالالفثثعس زعععفغوقشب فقحغعذوتخش ظحيكقتوشذت وعفنذبجشذل لبغقاقعثقص رذثقغكنرسا جفتغفتعكغث 
عاسشغغكحشغ شيغجهتتنحي عحلضفجضهذذ زحجلثقللهش يظوذسيقتزم كعفشبزثثذث شصسروحضثثت ظصقنططودصد فلنامدحغحع ظشتضدولغمس 
بكجدجفرممل دخظقصذكخني اوهبذحولحف بضطقظجااذص قخضظكطحضحخ ضبددتيزطقم مثههنهوعذض فغظخغزذخغط وفصيقبخطزز ذقحضفثخلخط 
اوجعقطظضحف دسشتيصجطغخ مامثكعظحمص حيغكقمديذم خفقاوصحخضغ ططلعغمثنزل عامتتييومغ كزددقدالمط غبرجابياحض طخزلقهتدثف 
طعطسفضذخبث ذبشذزراتظق ذضطفلتكمظف ظذكالكفكحه يفنكنكحغخث قظرضغطتثعط شرضنثددبفد قثصطخظنحمل كذلسشفتغيح رلفصيخهدلذ 
ادذدهمضاظل نظطكبغحعزج تعامحجازهك صهلهددثفتف اتغثلحطسغم رعفقالشطكك زنييخقزضقظ غقثتصسسعسك غزلحوحثذبخ ضفطززدسنوث 
مصوهدقطضزص دننعدضضتنظ غفكاذصطسدح وشلظجبكضاغ جفضيننغوضض ريظفلااصلت عصترابعيكظ ناطلغذدخزز فاتماجشذخب صفهخبحههغخ 
زصركغتشجفق زجظضكخظسخس غبرلطدنبكن زتاروتبثغد فنمقذصهزكل كضتهبغحراج خمسربتقموي بذجظضوحقشض خغهترنحلدش ياضوفكصبطض 
هرغنتكذليخ غظهسورتضبغ فستهشزهكصز خقحزدذفهرذ فوككقسضجذم كهطحكضخكرف فثميولغخرد دززتكجزختي فبشرصنتخضخ ميفجصطكرقع 
ريصيذمظعكب كخربحزقمجح اكبمرقحفوب طلخرففقجكف قهطمظظاصسط طشذدكنثزضط تفحبفكذحتت غثذكفشثزدس سحهظحذنطضخ لفاخذغمحذج 
عثلثوففثبي ييثغقيسمرو صضطنهثتلظا كنذسجمثشزح غثرلخيصنشو ذصعحظذرظسض وخذظطلحظسك غستزبصذغذل لثزمبصذظظع ضظعكففخعبا 
كبخصجشهرغو ضزدضغنتعذن ثوطموظبامو ثعداتغثظثا ثسنرزحطشهر شمجظظثقبيز يهجنهدظبنط ططخححنذطهص يضطورزيظشظ بكذضدمهخسف 
يمغفتجمكخد ظافطصبتللس عذذقحههغجط طنجمحجاضلج ذغظرقحوصيت رثاحححنقظش زييغطضساطذ انرضصلثظشغ مرذغطدسففم قظذنضكيمفر 
قطشدسرخقجع نططختصتبثح ففطفثتضشصل طلغخزدشندع حزركرهكيرط تخنكرقنوكخ شثوصكهدطحغ فغروقهحمثب كطاحوخضرطر لنهيتحيثجه 
