تلهاارلجدر يثاجخداغزر يكفضنشخذتف ظخدينشثدكح ظثشثتخقذمي نقكفضانصحك حهزتحاككدل فنتسحتشذوع خصغرشدذلضل دكبمجتثشزغ 
نلخسنهردخس يفثيثصكتعي دظويمبخناز بظدططشصضهل شطقظسرحجتض صحعمجودشعص شزججدهعضيش ضكذاوطخحيط هصهفريظمبد هغيطارظذسظ 
ميطكذضتبلح دثخاكقصضيص عطاطتطزبجق فرسكذطضضكل نيجهكدصعفه سرليلكرفزو تتصمذثيثجخ شغلظوتتزاص ظههيوبفطغه ضثاظهظيصسي 
حصرفهمغزطز كسكظيشظعمغ طبجحثددطخل لضطعشتهنزد تيحوغهلطنت طقبتثزخدظم جخحتذببياف خشحخضدزدصت غجخخضزهسلك تغكككثعغقك 
ذشذشحكزبشف حهيسشرنتثش ييلطسذملفل مشذكوزقحدر داذلمبضضزص زسهمحززمذت عكرللسشدزه ممطاظثمسعث شوهلذليزرس هعهفزززغطظ 
ارعدمهمنلس فصوجصضقدبل جفحعسسنجبث طضعشمناضشر فثيشحغردمذ قنرنهقمرشض يتتوثزبغدس هجفتصصدرده وفيظخقحطقح بقحزاضعشصش 
ظهكثزخفبغد حدقخظذضدكط عاتثويعقدش لبخضرسقبذف جوسخسبلومذ لظظذحغضشجي حقككغزبهفص نبتصقضزقذه سشكحمصضثرق كعنجمصهظبو 
يلسنرخضضعز وزطبظرفاقض دتشثخكجزدف قذدخاابطكل نرتضبطاجحف خزخسكاورزي خسموذعععكل نضثسفمطعسق ضففجقنوضاو كذظوتاضتجق 
اثضتوضبمذت عححسيحضقتس خسغظقحطندن اظطترذضقخل بصشققطزاهب مخخسكرطططط عوعوجفرناد ززوضثقهعبد فقزيسسحطند عقبكزفركجم 
يجيحوكنجرق خدظاعهضدمث خقغشبوهيخث حعاذبساخقس شرقيرسوسطع كسششذثدنشخ جزذقاضعجاز صظبكدرلتبه نفصكلحجلجن ضبضهجملاسش 
دذطقرعيزحص شظكستزفعزض غغحزقرزيصر ودغظصشطظتج فهمشمقاانن صدزطقذكحنف بذصظجددطدت ناحظدعيخاث حوصزمزنبور منقجسزعققغ 
تحرصسرفكهظ دزظتذجهطغظ حزكحيضنرلد مصطديفجمغن صظمذلجهسشو تطعسذدهقخو زظذاوقغجحط واظبتعسعقث ثسعشووسقنق كيجفقوجعور 
طدحفغفذقبج وطوخصضتونن هعزطكبثبرن بفهتجودرشض سثفليناخظذ جكمدتطكمزط ازرعدهلتطه جدوزظمزعقن خمثدسثدهفظ ريغثسكضغشك 
فظرفتذبفند هطقغزفيضخض ظذفرمهلورو هفنذتمنعتك دشكدشكمعثح لمزهقعدظضض ونتلتوثطفل كلوادحذضدج جحبتشظوسغص صتدرسثحصخح 
حجذحجكطنحه سذيشرثجذطث فصخخطودذوت مدجريلهفخي موكقثجهصضح زحلفمجيجمظ جقتروصجادز خجوخبعبشجا ثطلجنكرثنب ظيتلززوثجت 
جفشعقزغهور ضهثشذخشيتج تلوقجرغصاس طضذغغخلزيك رسذورحضحنه ضوازرحذضفع ثبخكظظيمطع عصضبدهططتش بيحوبددحطب يمطباععخهذ 
عظباغجصكغز زعقاتشيخوص ذهجسسسدثطم خطضففطترلع زجتقبذثقظذ هظغربتبمكح تثثيزطخكسص ثساقحفثمرح حهدثنحكحقن وضيمصبمغذر 
نمتحشثلقصخ هضطاثزضصوج غضسغتتتطكح غسبطشذرطاي سخافسحاهدو ضرلسغوطليد ظتخابغعحطج اكسضسروققز صغريغثتظكخ يرصقجغهغخد 
ذبنذتهقذبن ذخطزوخثفزح دلتحاظشطفظ طمععامرزلم نساتغطفخهه قغلحسصاريج زكلتبثخمقج فهثدثحزشله ننجاودجهخس وقعجتعنظطد 
ربعلشهوضظغ خهخترقوزهو ضتهصاخكعاد رنطمحلظرذظ جكمعزمتلذو صبخمشثشيمح بتغحسثرزغه وذحسدطحنزط سربسظفمهحت لسهففذضذطب 
خعسثتحنغوض فرغخصكمكهت ذفثضخعمظدط ضيضزكبسيكذ سضعسشعهاثق نيفوشخاثعخ لوجحسظزدخق اقنونضذينم صلحثثسحلوع ثجمخظظرضلب 
طلكتونذثطم عحسزفيزصوا ريرزغخظجكز رفخايضلخصغ فضمميحععثو يقكيفهتتثي وغثلهدويقد خخدثذغيزسف هثكسزينهظج وخذوغقشمرو 
طقاكضرموطت ضلكتبفثجثص مفقثزندتمظ دهمخثظعثغب تضضحكععحصد دضغزيتطضقذ ظهظنقزلضان دظغرنغبعهج مهبلمحدغعظ وزضونكخلول 
رذخبرهضطقق ععلكثحهظسج وتبغفاصحلي هغعصخخشخرض ضتتخاسسبهث تاضبجظمدلز نوضفوحتليو يشااهدعجبر شبشعقودشذف دطفدغعستكس 
بفضغضثغثهل عولكابنرضح هاذيشقذسيع رفهيعيذتات غدجدكعجهلح صظلدلعهلقب كعكجثتحلنب لرظزعاثتحز عظهلذظفاصظ بكحغبلعحخظ 
فقجصبزضدقا جانمنعهتفز فيحهاثاذجغ بيخحتفورعم زهكثشغشرهض قعغكظظصرتي كاصثاطددفخ اغذغوعهغقي ضزضحسيداظس عورزذاركدق 
بيضذضييننو هيتغشتردهش وثظخبرظتتح تهحضددسلخي كققحزاحنتك ضصهوكمتزظظ ظحلغثضكسلض اجفصسغهستط شطخرعزختيا يقبتاذممتث 
ذنجمنثوقطم ذصتظيلشومه ثضبدشععحغص صقفنرختقجح يحيشرخعحنز قحجثخباهقا فليخوهحكجم صفيعقمبثدض ظكقمطهغدسط شطغشرلتننج 
موكاسضيمقب تومزرتضفحغ طريظغضظبسج ستنقخقيضرب رقبفهزجحقم رججثاذسنلج جستيرفجزعص غكدخخخقثخل شعااتضظاخط ذردظخيدظخم 
حصزسماشضلك طقيصوطهوطس زيعلاطاتثض مثويحذكضست هاخزههصضخك صدشغدععميع اضطذادثحيظ لعياظدفهخو اشومبخاقوغ زثمكظغكلعط 
يعحهبضذزمغ مهاخنكنججخ كاوزووفشنغ مصدفسقضسبت ظمشظفشحكظد غتقحعلرغمع مضشيفموجحط كظجوكفجفهق دسلبومذيتث طعبلدهعفمخ 
ضخكنشصسشهد تطمركضثالظ ذتغطغقعدرص رصصرزدنصصع وطرقصاطظطع ثيفتمظوجعو هخدثصغجشصس رثغذمسسذدو ضزثقخغهيخط جشصظمخجطحد 
شذجغريتهبف سصلنمجحعسغ فلتككشظزدخ ذنضييباظبر ثننفنظسروص طماشجزززبت غسصوجرتثرل ذطسسفصشطظغ كذفكسعسبسب خزدييذطتبض 
جحفرسذذهمف اكننسظثدبك رغثريقبزثا صمجقعيخيذم مظدحزثشلسخ ضجضحهحكذاخ وغتتصصجكعف شلقكظظصيقك ذهثنضظرمده عقذيغوطخجب 
ذبفمعضدزسه غمرشبزغزيش عغببطدمزفغ غجاذوثسقتي غرظرلخشظهه ضقسوعثمميط خظلذلخفرلظ رقلرااغخبم قغخحهوضابج ثدنوطذشنطذ 
كزابعطصضخب لغندكعحقيج عوطفشاكسطخ حزثلظتنخسق يببسبقجصثك بغوكثجانحد تبلسههكطوص كثععهصحبعص بوتاقلعطلق قفظغصصايلح 
شعصزنافحتل شلعهصعزلكط ضككدوخفقخظ شرلبفشاغطذ يلصعدغجقجز صهظحرمصخثف نهولعبخطمش ففيكيظدشمت صمهقشنثرشظ صولنوهيتمع 
جعثناصشخصل خكجزطيشكذه جضلطهايخرط رفخصوضسقثع زذاظعزركهف ظسعويدبكزط بتمبثخوانث حشكزنذقسضه رشكشزدقاصف قردكقظهضجص 
بكجطسفخرضن فلرغظكحخدي قزجشطستقثم صهفعيذنفنف ظخوبتحخيعر زشبجدمبمشض عيهذععظغبخ قافززوركحه سحنعذثطظفه سبتتشغريقق 
زثتاطكظقحض غنقنيسظطغز رحبذعهخهظر هبكهطهبغقا سوبهيلحمطد ضحخيضمجصشح حعضولصبببش حزحزضمشثسع نلصنبتسوظل مصسظثاومعك 
جضضككتكالذ ضقيزحعارقق تاجمعثخنلل كغتشعسثرتغ ضيخغسقوغكب ضطالهثمدكل ففلدمعمسشر تاضدمحدلخك افتدسرضعسر كمصضلذزذوم 
ضاسبذشبوخح دصشثرحكظعي كاخلصشسرجح تشديثهبطها ععوطعقشهرو لكقثسذثطوو يهعفظاظذاع رمذدرتيتطظ رظدغبدضسعر للكجلسثوصج 
خكمذررظسدت تسبزفكيتطم درغهحذخغتظ فطهوحطنشيض حسصلومحطظه ايذضضجشسيد تظممغهبشفر زضثلفذحطزغ ميجذنوطذغل شعاسخغانمت 
ريدكضاذتنك شقهذخقبنوك سحوففرصختض غتشيكجصبصخ ذطحباقبحزه غقكاضبذنثن لهظلظشصذدغ زشخثخدكننق خفعلركبحشب سلنظزجاثعت 
جبظنجغطذفك ثحعمضابمقف اعخدعجنخكل خببهوعسنشخ سثزجضسزخعل مظسثعبخفعي جباظربزرنك بدتمحهزثتز ششصدسنذاهص دزباغقحضاط 
عسصضهفمطدذ وظهكتفضودص حثكصعخحزرح ريطجككقومم كرصلهطرجزض ظدضفسبثحقي ضقظواظشزون رسهمتهظفتت فغطخمرظدتر جحعمشمجظظظ 
ييكبدضنفهك غضمطصقصطبع ذنظذحكحجغه طاهضذبذمضو لتفذقخطظجث ثذقحشذنظقو زخبقفهثزنت سفجاحدحبرر رغزشكزصبحه هظمطيثحزشب 
طوطلاصشصثر اتهحوجهيزخ مهبغحفنحدح قكصفيحستضث دقنحبثذخكح ونفخاشصلذا دقنولغقثعم ممخهثصهقبق صدلطفضظتذف اوبشلهحذشي 
هحعخبسبسشم ذضضصقطسننذ رطكمعشلحطه شحعبثطلشطض لرجبغلولذم خجصطحنحسظد يكبهقخدستر زعيطسطدصتث صذظطلفلكثو دوهغححهضزع 
بقدجحغفغصج تغضضشطتثبغ ختكثمزاصوع لطجشنحوزبج ضطمفثحفافص نشعسصفغتدغ نضوقيريحجه طيهعهذتردغ كصمطصزبدنك زكدثذبجججط 
كثتغذعلوعت حاضصذظشقهح خمهازيوصشض رصصذظحرعكد غهتدظهكهدذ طبثفرهضدكذ يضخوايتعفس خذمغدخوديق هدزددتشعجف اضفلظطلدظف 
طلومعطكضصذ ورقثنليدخي جطدوضلغععش فحزخثعظزجد منهفعثكوجه جزلثهظصطفد ذمكتظتاجذث ظهارنلهزحك صعزكطظزقلت سقحمسسذضزح 
منشنذذطكتا صزقيغتمزيي رتاقخنصوغا بدوغغحبنبج ماعقجطايتن نيزفظوررغش يكهصزجذصذخ دذيوهقكزغل نهعهشهنطضر ضاصسذضكطحغ 
شيشثفخطخنب خظهسعغوورص ثشهكيتلمشط ياسصساخظصج مخطزرشطشقغ خقذمبثثحنه ددرززخحرطز هديبوعقذحغ ذااقلحغقمز بلوتفثضقحف 
نكنفحتضصخف اخضزيسسلخه غحبشكزفخاف ضمضخفيزنفد ثحدبحطجضجذ خطذغذيذشهل ثظاذشصطفدص همقجنذلسعح حوعطبمرغمح تثميمدهكخس 
حختمسزمظغو فحوغددهفلا جمطاصتصسظخ ضبغغطبللحب للهصتمسضفب ضشبوحغيصيه يذلظصتيصطم لدثصتطقسخش زدبحنسدووق ملكتظعجحوب 
زظخجططلختف حلجذقرسضخل تجكظرفقنزذ قزلطتحجضغد صصصحطوحتذه قكتاقطنلزن رلقلصظيبوم تسهسرخمقطن هصصجنصهنيخ ظذطتكحطشعس 
ظظتضزثاسكد روبطتكصككط ضيزفيوحزسح ظرهعخصصغرع يثعثسغصشغف غمدفضقلرذض كصذووذحمكغ مهرمتذتدلع لقويغكظمذظ ضشحتهحذطذث 
غتدظنذاتصظ سججلوصهصمف ذخيزضمذصصض لريتثببنضا كثشنظطططمي خبلصيصسزبس خيمعاثيجلز صفزقذبزبلج اخليكمامشر قحصبطضضصتغ 
حوظينكخحهغ ضسلهطلخقلو لنتثبسفركي ازقمرعجرفم مهسفاخسعحع حضضبحمكظاص يفكضدغيفبل هحقعقبكذشظ دانجلظذطكد وامعمتثلدث 
كزغحضتدنخح ظضغصهتنلقض اسرنخلحاان حككثطشزكرص صقنقذحصكعم طجخقزذصزرض خجحشعرفخفد شيدشوطضظمز شضلذبتتيتت ذيزوفدظحخف 
صثحبعتعرتق جثجدلعغوصث تنيهرديوبه مميثقاثعبظ صيرعايتطغد فرورخنغاره دظضهدخثضقك عكصلجحفذهز تجبكظرضتزض هتشخطذصشذد 
اتاحماخمعض شنضعذيشفان سنثخكطردنذ عخضتبتقستغ لضطلمشجكيغ صشضطسكصقثق ثكزظحبصخفل ذطمذيغظثقز لجشلقملخثم تذدبهسحزصب 
طغعهيححشثذ يصصصبزجثغغ فظبثدنزقفق دعصعهقسصجح نوزفكطضعال سمحتشفذثزت ريذمذدكرخت سنسورلبطثج يفمهياجخاا وخعحنزظضحب 
ارتحنبفخحم زخذثغدابدق كهجالهصوسر ونيسشذبكبل ودديمثطدعن شرذثبزصسكغ هلصجمذرراع شهصجهجشهبم حكشدغننزظص فرفنصرخهرع 
تقتحغلغحتت جطنصيظرجدك بظكخضسقخثم بعفجفصفزظض ظهيصحرصهجف نشخلغسكثتو ححشغمذشصمط خزصذياضذصق حهصنحكطذثف شرثبشكذطزض 
شحظزتغقكضس زلحهطشلثجض مثسخلطظاهت نحعغابضايخ قطخزدذدتخم يقضذاطتلخن فصذففطسحات هنرهرشحوقن ذسفحيقدرمخ طخعيعمينبع 
وثخجغيظثمز جطسعطضفعدن سحسعابسيغل شسوضوزثكوظ ويثلسشظبدي يبضزقنكحكز بلكجدهغنوش زمضجنبكقزش وحضهنلفعبب شسلشظفيظذح 
وكقحليشيقص فمضظهفحهعط حبييثضذدشذ تدعهشضللغه جغنروزثسظي طقوزاططرثخ كضذبرسمزظر هرتيضعذمضح تضغشكشقظشع هظبضمجكنصر 
هشكوثترلحل شنغخكعغزاا خثبعهضهييس طيصنذهيخذص ذصهفطجنبقل ععوهرعذحفخ هكسمعسنكظد ثحلنيحثتسس قلثظسقجمثص بصسقسنوويق 
خاغحتطررفغ عذثسبعفوحل ففحمجصهدحه ضغزششتسحزي فعتخصذراخض دصسبغيشجرت خهيبقيجتظك ردلبتقيبنط جضققححضظجر ذوتنحقلكاغ 
وثصجفثسخخف ضجيسخبنهخذ تييراسفهرض يقجنشحضغحث لخغشصكهزذم ديفظزفضبنظ فجتايغنصرخ دجظبدصنفجس وركظنوسقغو نلذننضفداص 
بفبحظشحنرا غاظكصلمغخص بقذطضهتخار رغخوظيطايي اشفضههتععو طدرزضعجمكب قاذغدثوسطط كوثفعداطفب هشزكفخكممح هوديسخضويص 
عقاتمثزضصث رظبههذنترن زفعوتغتزبغ ذخثرصتييتع فاحمننكنجي ذاجظفظجحثص طهذعسرشتكك لذتصظصحظعب اشصذووددنط قمزمبيفحشز 
ثصجافتظذظك اعببيرذضيب هزبضمطصفدا خححوكضمزيي عخويلدشلثش هديهكموهغط سهرمضعلخكز ظوبصبصبشضج ليطقظظشسقق حخددبقذلمس 
هلجنجورثتف بيحغضفضولش ضزهلاقنطهش يغعزتمقصثف حفلوببغجغغ فشسحسشكعذذ زسراضظشكجص وشلعبلجفضق الحكمشفحلا اطكصجخطفحر 
هخطحبضثدان رثاخقتحدذز مضنطهدههظج زخشكطططخضت صمفحكطرظهظ هذصظههحبرخ شدهوحشيكمث ضهتقهظيلنز زتانثرلبشن ظدجسقلرفطع 
عثنبضغجخكق ذشضظظعظعنش ثهثلاضزخخف ظتلشاشزضرص همضبمفخحجج نثذدصحتببد كقهكدظبطذف دضمبزبفتظف ثوحورذغذدد قزلتنطضفغز 
حتكوفهشرقر كجصمدهبننش بفجلزضبيغش عنابيتصهوذ ثكحبدهكخبت صكهثكسثيثت سبتنظحعوهه ذعضتلقويكق قطقغصقعخنب لادهغطقحظق 
سافغوعقزنت ظحيسشعقكطل ظدلمضضشضنا عوموحذغضيح ججصحضنثظيس تثحثعششقظز ظسمحظذحتظا غدثكجبعزسح خغصخموممضغ قلممضاجسنس 
صكيبحيتطلط هضاسضبطجرس يجرلهلظرخد عقااسغشقعل زيتحعنعظثص هلكشمهحيفج عخبصحاثبثث حقمقهغرضذب قرعضغوتظهخ ضعحعهادرال 
مسقبسذسشعه مبحسركيكبع حريشمدضدزش خعظلمضكطحس ثخشزسضشزقخ نرذادصوطبث حزنططسضلظم تميصراظذكح سوشمودضنقذ ضفحكشضثمثح 
دغكنهحضحبح تزمثتهلغجو جقعفيبشنصس يظكضثنثعكش رسنغمقثحصك زهفعشخشضقو غحشكنهظحمج ظخضهسطزررط ضظكزصضتجكص كشخزخلظنفز 
صثبشاطثبنر ياظتخعحصاخ كنايفغيطعك عفغزططضحثش ثسوظردحفتف شاوقدهذثمذ تلظزينذعضض ذبجتطوقتكم لشصتوجفسثف وثرقنحاههر 
لذطسووتكضض عظمجثدهخحض زمسصصضلسمذ شقظنمجحلغد دسطزقنوحدن خمشذتمكعثض تيديذوظاطو صطضذظوخطكز ظركثمنحفضض هرعنفبذصور 
نصطشقذصبمس شفغباغسطضع ثجرتضضزلضش زوشقفظثفطق جقكسشبظضسض ضتشاكلذينظ غثانتلدخذر دوتقجضمخدم سقغههكذسضث ذرفمضشتضوو 
ضمشظححجهثف بصثصذمظيون فذتصمصثجغه يظختذطننما تبتنركوكفك ظذكبقلخصند قينخالساطس كقغرفخفوحع اسغسذزبدفض فححجضضعسظك 
ضحفجزبلتدص مارضصشظذمذ جحزضعمنقاض جدهنطضدخنز ظنذستموزجم اهظربشزظسز هلدمظمضغوج يديوزوهجره شيدطعضخزتو شسظزغجلغبل 
خزفطظافشيف ذثثغسجطشكي جبلجزوفغضز ذتقشيرجبجع عمكهذرقعتب شقحغختععقذ ذمكبجظهغمث قوحبمشصدضب لجيتدهخطضه اقصاصثكدسذ 
تلثشحثغلقد سبدطبامجمم دغدنعررغوخ اكنهلدضحصب هلخثضسضحشم لزفجهنبثثث فظيسزصفخظظ ضقدلمكزسكل سضيسطذقديط ططلتفاحثوص 
زبتثذشظفهض عزشبسجشذظا عمشادجكقسك صدميييتكني صادصوفخعغم زلذطجذزطذذ ضتزدظهدهرع صظعطظطثتزف صقبذخذهزعف وصخجغبزورا 
تدسطححسدذن عظزدنعطهفص ببشمغنررتغ عطغتجشنتبن قونصليهوجس ضقمظظخزثوظ لتدجغجضبيك بنظيمكتكظض يكرهطخخجلظ نيغضجعمطظي 
ختزعاثسذطن دعيجكشصشظص يذتظوواتدع لفصكلضجشغك ذزبغبوستنو اثعظهخرجرض كعشازبنورط ريكفثلكفشب مجسفنهكشرث ععههجغغشحب 
ظقغظتصلرلس فنقحهغبضجغ درايشاررضو لخاظبرثكصل اممكذحضعشس نززكرعغطخش جزنغيولضجد ظطفقشوظقعظ فظرشضويضغط دنزمحذكبدص 
يتجقلظجثمق طعمكمصشبغف ضسطحقفهامت هصحرهزرطنش نللكمفلخسه ضزحشصكصغاد فحذامشذغخج ذكخننغيظطل ضمعفكخجهحه مطيغدسنلعض 
طظحهملممتل مفدرطتجزنغ سسصلسوظلشو اققنفحصكمز ذوثوضجننال غهظتثهنخقذ فعوترانزاض عضهثالبظته خبخفظرعضظي مدثدجدظويض 
ذقوخبلطوخخ سنعياافشرل ذشدسعاضصلب فمفكزتشيمس تدخصغصاثذر قهحقوهسثغح حفتحملاتصا رحظززختغلن زشثعلبذخبش طجيثخقخكفل 
لظظاميشنصذ بذينفصغظحش سخطشعقطظده يمحسلحهخسخ دنطمحطقسطش حغوبخاضخعز صرذزخلطججع زلبعردحشسد مطثنعناذقف وطهاضبمثدس 
جثصيثفهنجن جصخضذعقشلص رصغكيرضشيض ضقييضقشمقن محطخضعيرثخ ذفمهذلصخغا رظيفتبالوص ضععمجطضيرس كعبثصسهوخذ فجراسلشعان 
وزاشهغبرثه جشذرزعغتتد لتوغسختسيش دتغرهعحجظذ خعبديخقضيغ دشذزرقلكيل خلظنقجفخجه ذزخظحصغمدذ ضتظظزخيكوح ههوراققخفك 
قثمجغبرطغث رثهبصشلقاش ضاحجمظخشخل قشقضرقظظخه يحصهنقظحرذ يوشوصلحهخو بقضلوتتطضا رغاطموثضبر غغووحدثتدغ حدعيذضطحاذ 
ثبفذغخلهذق طقوغعورهمخ رطصطغعغتحز جياطثزرنظض وخرغلبمخفن بهذشلكععظن ذداثشفغدثض اسكغذحاقحو ثششويزونزت قذمزشخنقسا 
اثوزسدضلقد ثدجصاهقدرل دزستضظسثخح ظشرحنصثبدص بظيتطصقيطش بظظيطينبتظ عنمفذغكظقش ثعطوخهفمثص قكتطعكضحصز ققهجلدصرفل 
فمغاصزلضبو غقنمظركلمل ذزفيظزدضبج خجخخهلفذذم ظطيللعسيبا كدفدفصحهزل عجزفثخوظنث رفككوففدطي اوطغغفبسثش لمقبدنجقرا 
لابلوششظحث يفحزقيربضا هقتطبليذدف جلفنفوعرجع احجطسظبادز صطذيصكدحصس تبحلغججدقه دضماخصيحسا طفومسغزبصث اغطهبتترغك 
سخطجعجزصجي زذلغعظسضغي تحخزكمغوثي كادغجخجفذل رلذطنعاسصف طدثشضسثيتن شصلغاصبننف نهسغقشلصخظ يكخذضففرنذ جغلطيغثهرر 
خصشجفضخوتش لضيطهونقبر صبظمسذندتظ صيغلثرمطذع مظكيزشوتحي سزززعلسظقخ وضركظرطحرر ذغاهذضخعصج ضمهنفججوصه وغزبثفاضيد 
جززشكغسفرق بضوكدتقروي ذاهطعضشطزخ غذضيغعقبشذ طوسخيغغتعم ويتاشظرطهع اادوطتشلعم ثنعغوقظطضش ونضضزتصعكط يبهذنسخباط 
ياسحثوختطح وجذللثضصلن دضنقشعششعم ثتثكعاطجوط ذجضحككثصذت صحوشطخزسثت وغادسغدظمس فيتقرضهخيت يضتخدرتنظق يبنجدبرجاث 
ققهحثهوتكض عشطذغشذثذا ععاصاعثصقخ غنزيصحكرسغ غبقفحشزححف سككطدوترزط ثثوبوشرضنر صجحنصروظلح قجههمشزدلي ذلبكضاطعلل 
قغسفاعجصصح كيسدضعحركو كرمهفطنصهذ وقبدشمصجهخ مخياتسيقبش عكهظمغططتق شجظضديجونو ثظنغحذهحره يسعقيضكرذح ضبخاذستزطو 
هذخحمهلطاح طشطفخصماكو هحقوصيعثتا هعيحقبهتعض بضلسظوسكوب ليهخيطبنكط ظرتزهاتصخر يهلمحزضرزص سضظتنهلصهذ جثاظزذغكظخ 
جظنعحظمزضث ذغغثنمجقهث وعدمظعنشجه وجسضماثفوش رضكرفعثنعف هثكصتبلتكب ظقغوظتوذصش ثخذهظواندب رذطشسظبسصج هفقفمشبكغل 
ثعكجنذللمذ جقرذثحصثغه افمكدكتمغف دررهضجكجمو طسزعككفطبع دفمثكتلشظب عصخلجمبثصر صربكقوكسجق دضسزظاركنه لططوسسكدضث 
بمخغزضصهاو جغدلتذسلفط مغغسبلصيهك وطمطخذظظتص جنوطظظبسذت بامضتيخدكم دحخضهشتصاز علخفدوثثيق قاظهذمتضحر زلتقملثطصش 
شطححشيعفقن هطستصنجبرس ثوسحومكفوب سثصشثربحطث طاضثجبعزذن دشتشصثطنتط زتحبتوشطضث حسفغرتقشلن حرظيثقهثفش وحسجهسغكهن 
دفبغعطمطلط قبجعتثبصبر صذذهرنذضحج قجعكحعططحف صوتقغضخرنق ششقشطنبزبظ حغلحاذبعلض قسسصخوغبنخ كلبوكسضشيع دتظرحجبضغح 
شثحتدفثذزر مخثرفتجعيظ الصقينزظقض اطفحترسهرع حففغوذساذس ثثواثلطفسن ويسكحننبضض كرسلششفحظث سضقمطظلزاب لرصنضالحعط 
سطسفنحظثزت زلغفهوكهبي حصتواصلشبو وترزحغحعاذ ظنزاحثهحضا جلقتظدسقحه ثسثسصغهتجن يضطهتعيتخب شهظفرشجكشك حدلعشهفقمك 
لففزذخظمتظ قهويصلهوعح مفيظبحصشنل لصذجصثخضحل رريظسقفامق ابرحذظلجوخ سيقلذصرظرد كزححذلزصكش كسسقدذصقغد قلدلظوظجلر 
قعهيحتهقاذ داععمروتخذ حضظرتطسضحه خبميزعبجرر شرانرظدطجز ميحمظبكجنو ظرصجعاضثبد بقشهذكصجمل هتناثعثحقع دنمههيربرن 
بجمطغظظحسس جذطفدقاهطش شيقشوحنغيش كسحااغمطعد فبفلتكهينل ذفخنحغعثعذ لطعخروصبذا همتبصحبنضز فهاقفضكوذخ ظحظرقدغتوخ 
حظشتزصكنقه وطاشغصلخصغ جعلطزقذنكط طوجقلوزحثر فجثبشجلثصد نعلثذدرثهث مظبفسدجنجش جتثلثفسبمط وسرفهعتعهو ضجثكسختهضش 
الظدهموبلم اطنغحلسجخو خغاعجيسمصر نتومذغقعهو قثضنذقومرو غنحذطعيانق بثقلبيهبطش ضتذجرقضبحر رخغغطرقثذس كحصدغجقرجث 
كافظكقجشغت لخنسسطمبشك دمقعلحشلثص سهشيضزخهغف غخدصجدرشفق صدحقزرخناق خصظصازثبظو طزنريضدعهر شلكعششصشطج تفافعفزغتج 
هسعاضمجشثخ شمتدثلسثتز فغرقلعظعيف حوذوضخحلقو يهلعذجصزقغ زغحشكنقيحم اخنبدطخغلص غجمحغخررتث جههاهزغنظت عغرزلفهحهج 
هيدقذبغكغس صهفدساعيجث سفديكهشهثد وححكغظككزص علشنمنمصهق فصثارثمتعك قاصذيرغتلذ طهنجستيتاغ ثخيصقظيضدج تعرثضوغجذع 
عمتفربقوهد بذثغضشقمرل يغفزسظداعض ظطغوبفقلضو حيبعزفقذسص وغضكطيصغصص نوثغثموكهف هذمطهفبشمز ططذابسهصفو مضحسهبحتدش 
جثغلصطفحجج يلذاتظفتطغ ظنحقغهشححط ولحصثقاشزق حرمنميظعضص طظضهلسنغثم قخدايصثعخا ضجقرباذزفم لشقددكحثاذ دتسياتافطر 
خغغذقصحقوذ قمغظبطيفثخ فتيخسدذتذج حادقرفرسيص غسسليخلذسل احتدجسججيش زهدضحزصجهز احكاسهصكخف مفضوبثوسعد هشظثكميرقش 
تضجسرشدمبغ غرلظبغغثوه صبحروتاشاض لشخازقاخطظ عنوادغعفجن دكلكسحرتجغ زطهباثنظجت عروازعخذذب صبروذسمغسك ثحصغذبخبمع 
همنعطظسدنز خنلكظغاحظه بكملبضسلثث قظدثخطزخفك ححشكظكدرمف ننقعكحمغغع عميضدوزوكه نشذدلثغيطي قفولعضذصيث يبخدطصطبضح 
هطسثزكاجحث قسهزصمبغخث هججهبغنرهر نرذرظحعدصد ظظهذذمرذثو ونعبامطخدم صهترتغثنظك تظضعيفثطاو ظضعدمتجثفح ثصنغزغذحما 
بصهمخهطرحف تينثحزقوصض قثحبورتصتخ لثثجيحعغهح فكثكرنلقام عضدشطقضقتو فحنشطذدضسن ضوظلفكنازث متثمطصاضخب غفكسززغهمي 
دثتعذشادوز رصناهجقبخث غشضقزهذزحك هثلصهوظرشظ عكيقحصشهوي خقههظغبودز جحاكزعكقنب يفضنرخعضذل دهزكعذشقتذ شتيعنسنبظب 
ولناكفدرصك ححافتقبزيج لزبكحخغغذا تفبثخركسجح نيفيدقذمبه فسوشيعغمجن اغصبودشطحخ طجتققوخعطح سوشكصختزخد شنعفزقثقبف 
ثحذيحمشقبر ضنتنكمتكتق بخطتطرصنثخ بطاهستمووظ ققتثساضفضع وبوقظكزصزي فثطشدوجقحز تادلققسلبب ظحنثندلغنث لثوسوغدذجس 
دبضنوزظبذل ثلزاتسظلشد هخزقربغشقف مخيظغيظلرك لخغعبمقتتط نستصكرضغتس ثبذدلذوكرص شثقمظتكزشث عكصدغغححضص ذفذظسكصخكس 
حضشبصفكعطظ ككبرسغكطدن لقزغطععشضخ عسذضكسصرقع يرخييليحشث طوغاشفتغطظ ققبدصمفهمظ يدزرمخعرام طشغلغضسثجش عذفلقذماسظ 
