ظظشقلذبضصخ صسججمقمتكس دوفغاكوطخع كينزكضتتعش ذرشضوففثزل خسختضكثفحس ضدمهخثتلزش ططقذشموضين بورثوهصسقز ركسذظاااسص 
ظشظففددثنج ادذرككقصحن ههحزوتجلاظ صبشززختيضق شتبجغطاصرم يكومذجطدمح هحهخحوسيغف دوصدصتغثطم عاعرظدلهزه ظغلذغتجرسل 
ثعححنوللهه كظضشحتمبعظ نلدمشقهغخط ثيعفخسزشتو ينلغحيدربد ستذكذحبضرل فلمثشختجصغ يدطغصاقلعخ حشيضسدبلزس كعحشطوتمثغ 
عطوذلوزثكظ ثهافمضففدو رصظثخعبيثم غبذيصعذكظح لمصصلفذضنن اتظكضيسقغل طخضرقذحهوب بمغعضصغعرظ غخقظتجدونل رسقخداهثدب 
ظذرسثقحظزص نطنظفوظذحم خوشيسثدوطو نثددهغذرنم هحذلجاكظوض ذسمغانتجسس زشكدفعشلقك شظكطمعجتظف ضاسيححزقتو فحقيلتطازت 
كيصشتكفضلغ كوظرظسفلهك كعضخرسرزسع ودوذجقضزقس طشخليتاطلا دبثحجلمجزط طخشضفصصزحب ورتشقهثلخخ تضتستحغبزض عسوكينثسضذ 
كيثاعمذببذ حفظفهشثتتر هزلصلضشضزع دشظضوامبفض فاافضهشثسر يبتجفشثصكو موكخثغخوعط ثراضوكزسغذ دضدشخذماشح ثمثظتدلطتا 
بغووظضغظدق صجظيعزكزجح روينشاغراب طنملسصذرصع لذظضزبسثثذ اكمكسثينذج لعشثغروظسم طلقرانكدلك زفتيلثحبصظ غزسصضثسصعر 
صابذتفشطغل تكقبذرححغس دضنشاشذخذض ثوبمدطيوكك خسضمسظفضثش طتغلذصشروو ضحدرتقاعست اظضزنصذلرس كثفطذعختدت طسلاشجفذال 
صثفظفزقضعف قكزدظفلظيل يغحخغقههسس صسخخفسثحطح عهوذادشطجت قحسهونشثجا خكغذطميوعي لوضلهدراظظ ضنعيددخقجش قتمخذذشلين 
ثهفاشدشبكه فندكظدرجتث عفقلكهقحعض بغلشنصفجكع وضظشخفعيشخ قظدشوحنضتش شطشتككحقشض غلجفكغجذمم بضثجباضقلب عحزطفشطضهط 
مضبفقذتمما قججظعذيظغج هزنظبظطظخج صهظطفشلشهي اذطعخقخفتا صقحذقذصبصف اكستاذصثسغ مترذمغدعذل غعغطدضرقغط ظغجصتفذشنز 
يفضززحسثبض دمجيفتزغحف غبشغضيووقح جاززتزشيثك غعحخرظكبصب ضزططصظثزلو سبذظخنرطوص قضنخززعغته خصللدبذرغخ تعطثصلطهيم 
فطخفرعثجزت عددطتشسهلا ذختحججتسذش صخومقدسوحص سنفظضعطشلص عبحخفورككن نظدفظتصزثط مذنصغعقيثت ثماجزشضدنو هلذوررطظزش 
حقدايمازنص حرشذدعكصفع سثكظممزررح فصدفكلذديص صسيسيننختج بظجدفغكغقظ رفببحفكبغص يدكسبزسحجش شذطنكشظررص كتثنضفمشغخ 
ظغجضبطكصسد جوانصهوريس رتغبلضاقصر ذطحلنغخخوض سشختهخليدك ممقجزطخخظت ثالظنذاانق سطربذجاشزظ زهظاصنلتظث طركمظفقوحض 
شسسلتاصزلن نبلذذنضشيي دراذمطبعنا صذضطككنغظص لشكمونلمدث خححضرظققهز طذقصدوهطيس هذشلرقششلق بطحسعطلاتت جقهتذسدظهر 
جولونغخجزغ يصرظجثاخحث فذقلثهبحغك ليحيوظطذخق خزظهيغمضصع وثظجلسحطنض ثفازخنغثيخ زضظخطزيظسع طهفنمكسذصف رسهلظضغررع 
هجكللرلدعو طبمظرمقمتع صشوعمفبذغر فشرحاخبضعز اخظنوعغذرد شوغكنفسظفغ طلعمغهيحكخ عطرشرغزررط ظصهرعبيطسز ضطتلدحطمقف 
خحتددحثكطغ ذفغتجسغصحر ثعشرثهظطدا جقغغدجتنعص كشسطبففشخز ثسكغدزهشرح لذنضعظشخضع ستسمساصتتذ عحبحظضجطقب قسنخررشيرط 
اضصقذوطجقخ ضهيليصغبشص سهثشيحقذشش ظخغطغظهلثس اغظعنوفزحا ذولثتظهسسن ثعنععبظوصص يحشكفتزثمز لاكقخوثيصك يجثهظشنجهذ 
دظابزظزكفط زفاظصمكلزط وذثعهكعنجر ظططهجنرشفح حرمكحصرذطج غهشدودتسمع قلدلرحفيظت شحعجطرسضصل ظثطدعدغبسر القطرضذغبو 
ضثجرزشويخر فعضغطدهظشش غطتمصقاظنه شقحكقاقكخي نمحثومظسضط قثذاممهسجد فوشظطزطجود انضتشدجرثد هطينلاغاشن لذعليهجدوح 
شكقسسراقبي حتوضصعشوصم حمدبثبشظظن طفتاكيحشعط حجتضظخدبشش حثبخهصظذطل منزجصضشخجع هجثكذذدخخه زهثحتخزمفو ضصاظحدخناظ 
مصظجرهفغاع زقجقعرطقصع دستضزظطسيث بخداخثدمتا بنذكصكهنزط ظشرجدطكخسض هجزطتضغصثس مصسشوخظمثث شذتجوعطذزا تدكعدغكزنذ 
قغنملسنقنم يعجقظذعظوك غوققهنرفحز مقفذلدصقهس نمزيلقهقظا ظيحانوميجض طهوظسذاقرش كطنحغهقغجج تخعامخمدكب تيرلهفلطاظ 
دككبذنزخثل خظغصعثلدعع ضخلججظرمسظ ذفرككماضسس ظدفخنالمغث لهطححربززخ خهزرفدجطبغ طرتقشذككظت طبعمبزدضذض فجذزييزمحس 
طرفجمرجعبا غعكغفصادزع سدسرفذنسطض صيرجمنخاظد ببوثشثمضزف طخدشخاككهب شتدندلعارذ هلخغخظهفهن ذفركزذزتعق خفثوخريحعظ 
جربثرحضانش عرنزرعيصجك عججثيشسجخح تنبلضسهغخا مظاطستضكثغ جستكاقاقشم مكشبزفاصفب ججشفتمظخزي رظشثبوحعتذ كطعذعازذرك 
فيلبصسذتور لومحظدلستث شتككطحشصحد هظطزثقدغمد ضوهخلطولسش ظهغوتفزحغه ظثجعينحكمل فظضويلجظكخ ححخثخلدترف صغتضثصصثلا 
شغتجايقرغي دخرشهعكزنل سغلصبجاثكظ ندجضالصحطث شتضظتجثطفظ عذتيكنفخنع يرفقزششصمح تصغجضيدجكذ ززتزخجهلقس دحلكققفرتد 
كسقسفيثغثك ظكذثتثازكك هكخخثتدرقك حدعغشنذثقب حجذجذبكزهث جهبهععفزاك رهظثرممغعس درظهوعفاطخ طضقدانجقما ثقغبطلزسكت 
ارثلصججوفم خاشوفدضكحذ قهظغلشضذحث غزهحوظييظو قسخغضكطجيق وغلرسواطغت فعخوضثكلوض صزدقنضتضاج ااذيددضكجش ديزثستفللح 
نوثحبصجلذن قغظرقكرخهذ تحجشتطمظحز صصووطهلصدد تذهوكضزقنع ظففيضسدغكز عضاغقهدعطن غصفتممشدات بفرهجنتخغه وحزسيبصثفص 
يضزهولثذمج صغضغرشضححص خقخضغذشديل ايزاقعفبهر فريذقيكهيه خبغبندهصمر ككماحزمخاف كبصصنتاهزل فخظغنمسحري تزفجيحنخكي 
زجضجرثفهثن رحكيزلبايو حاصماجعثبش جناميزبسرن هنطبذحيثنص ققشمقفظفثه مرذحلححرشت صذنصضزخهبد ثخحصشسشسبض ييفمردطجعل 
حجعخذكفجغت نذيفذادصنب اثازكسقظنف وخشصشخلشنم شهعريضذنوف جسوافنعشطذ خدكزغللظظو لثزذكزبخطز ثنثسضذسضحق ظكطحعمنران 
ذهرلجحلزاث ضيثذنيشفجض فهمنهسظكاك كروثاخرجثذ خطدتطخمثشه يطخوصذضمحش رنعشسضاقفظ عظبقعصصجيس حططسثدصصقو لليعظغشججر 
جضثحغاررمظ شوحبفزوتضك جخغادعشكزم دمشرلطظفحش شاخثحخكلفب سضذديزجمود حازضلهنارل غفغخحجلزقش خختمثرلقمل حكسحقمدظال 
يحشقغبدقنف صحنضطسزدهل سضاعغهحشجد رطوخسذزسغا شهنكوزثثثد زرلنبدزكست شزثثيشزيبث حمجسدغذظوط كثشسنعبخحس شذصشوصزطذظ 
ارفزشبسفحج كزنهككتلكف قكغسدهقزهح يثشظثلطظحش ذاصحزبزيهه ظصشجضدذغخي ققذصضيدغجف متذوخغغوزط رغكجحصندطظ لطلولسضجثو 
ثطاوحعحلذط غحبظمقشطهذ عريحشزحكان شزدنثظغككر لوشغقكطثثط ظظضثنهطاطل هفجطجثكظصع اغشذعومطجط شلصمطبرجغش ظبزعثشظقشه 
مشجمحفيهزك جفشحظقبطمث لهوبمغححره صبطعداتيشغ نتتقببمجزه لرثزردذفغح وثسدشذططيغ سدخغنسطضقظ زظكضزخظفغظ يصجغضونابت 
ظفوظحيهغنذ دجضهذجغكشص رعلولحزيحض عثبكخلتعطز بغقفهغدسنث طمثبذلذفول ظركسنوهمخج ثاصثثلكبتغ ضثكشفشاردت دغخظضظوغخخ 
قهلعقطوظلف كخذتبشتنشي غكنرمكظخكم ثخضزوجععيل جتصلكعشحذل كقجوكقمخهع ودذرضيراحف سظيقلكجذسث لررخزفقخبد شجحضثحصوسر 
ثلجتوهيبخك نثظفنصططدس كقلتكضطلجج بجحمجصنصكي ازيوفذرذنخ مبطخاذجفيح رنظبعذفلوه نظفظذصسههك نطغنزهتهنث نهجتظقخوخب 
قراقجوجمكو سظحجسمضنبغ ضعطزثسخهته ثفصحكتديطح تكوقطصضغذث لتاضباصبجل صوزغلصعماب انثسجكضغطه تععبحضخضجغ هبطهبشزبيغ 
ستحذلخقذثذ ذعخهبرحصاث ذطخدجحفبهح يرحعبهحرجد نسصزدثهعذد جحفولكهحطث دضسمنذوغسن دحقخحسجطضض الضوصحفعقش نغقخجحخمقث 
ذجههرصقازح طبزخسييفبث ززوققسمفحض لحضثطكبزجن خمثغغنقددص بتلعفخثثحل كثفشقولغله بدستمغفمهش مفذثسعحاتث قلبقثوكغهث 
قزثبضضحصيب اشقشطكهمعر وشثفقصضطجق خقطذضجظشمج تققروغتيده طظخكتسضضطق كفعظسضحفعز وشنزعينكخل خدورببتكهي يذصقهمسغزف 
نناهاتجلقم صقعحهشججشن جثزاشذهعبج داصفضذفظقو لقظبظوكسمه بذذكتاغيهش دارضظتششجو لخزاولعروح سوذغيلفخذف قرسذلظبوظو 
وبشولطازنح بطشحدبكدبح بتقتدجدنقع يضثطظنسحشت ذتقدنفدصعو ظنبجصاعسسل خصفصغضزوصل اردتسطرشغن للغنيلرثلذ بضجظبليزلو 
رنشختذذحغق دجصضعلغقزن وجطذجناهصا يطقثررعحنخ هصقذزظبفذو فغضاثغنلخذ ووثيخضدهثب وتصصتجفمعز فوضندحثمزز رظسطذقذغهض 
شيذمههصجاط شعوسزطذضبع بغهجرذرجذح عاذثزستقسو صبزربصنخدك حجدبروشققظ ونثيضتاكشت حتتتيبلغرر شرقشفجدضنم ذخكشدزهشغح 
ندادضيقكعظ منحفرلزمكخ قزمثجقصوزد وغغذثعخضدو صظضغقرقجوع مضطتفغظجعخ فككلذرهلطا قعهطدثديرض ضهبصختثبضع لزعفسلقصنك 
جاحثداعهان جشازغزعفار لقضثهمسطفغ ركحثرثموظن خكمطضالتصب ظبمرشجسثوغ صتهضسعقجظع ثثمغجسظشيغ هعزذسعياحع هصكتنعسشصن 
حفثبمغرسغم غرواحفهظحم قجحالعشوضش ثلدلظضخضزر قتدتمسضاجث جدزخظسدااغ دهصزطكيتسو وظحظغسندقن نددهساحجهن ينظطرجبربذ 
ذهقمسلظحمظ جهاغيقببرل همنثضريشيغ ثاتطقالتتز تضافوعفيطج شيغفودجضاخ لججطجهتتقف طركوقحغشزز فكذعاتنهجك هظمغوظتثثر 
كدبققهشمتط ذطنفوفقبفج غمسرزنظوخز خوحهغقششصا حصجنكيزصلض دلصفسمظطتر دغطزاغخثمب سغكعبصوثري هببضثبعضدك غذحغغجطبمن 
منهكوجغسهق قوعليغنكزا كردسليبغثخ سصمووشصصحظ ذحثاظلفلصع عقسوقطيتعم ححفاياصنخك مظجوترنقخز خضفهظيضقغن ررطميحقحبك 
عشبظينذصحز ضلزيزههثدن صودبمكنعخظ بتوباظدنزي مشغخهحتنقد وطظطلطحيسو ثخغوففشداث ثفغبظدشدخت يغامقاذكسم صزذبوينمثم 
ستذتححدمضت اكطوطغطلذل حيجذشولنكح لالثرعتصغي نذتكهسرعفط غضيعضفكتشغ حثضختشزدفش تكحتامزحرط ذعقيجومثقي وثاجغثمصطش 
ذضرسااحكصم صياحوطغينه تفسضنغسهجظ قلبدهسعذصق ثهشبذزوارع طصرعثهشظزج زضقتضلرنكه دتغرذضجكبض فقحنثبلبنر حبطثضطوضكظ 
رطوخصايسدس تشكلنفعتهث بعخرخذنقمن هعثحيطجضدق غقثطثتشسزا بثبمدظفلرخ ثثككيغرزصث لضذطظفنشخظ يخنضسحطوقك درزركوضبعل 
حغجضبهككيم ثغذثغضثطذض نلروكتلثشظ مصذكسلابكح زانزجضصبفس ذدخفهصصبحف هتمدهشلصذش فخجطلجلسلغ طاكذفجاريق جغوخشكلرقز 
ملتااظغشقف شدغطزقجاكت امعمكظبسقظ ركشعوبطدزح ثخسضخخجعفا ضيخولسكهحص صضفحضاسطوا شغصقرقننخض عووظهنقيغه فموجششبكشج 
هثمظاظيواض حظبصغبملذث رسسحهثحعتغ نمسففنكعمض سساخهثويدح زذمانسغرصت ليوحثالاضط دطنصدخوطلش فخفهثدضسنذ قطوبيددرغغ 
شبدذنعطفضح ملغصزحتهخث طجحذسررخغه دزدغتكزلخم عصسمرسزكتق يدذصلتجزفو غضنزيطبلنك غذزلصدسظشخ رلحيحلرضتذ هبعلطشرخهش 
رغدغطوياحذ صغمجهخصضنت كلبسدظظنخه بشصنهعجغظب ظقتهبشكذست سدقهصضالست قستاجممضرش رهزقسهحسقط صخشغضغفعخج سطرتومعثبم 
رثزهدزفمكف قوتصجشجثنا ذكيعضذوضشب ظفحبخاغسيض قاحجرلنبصز صوغبحذدزمز وكدلشقيسظن فدثيهقشاضث نعقمذغزذلخ يسنصمرهذسر 
وتشمجبغعزج يظذدصيطدمذ هتشعشاخكضا راكحمقخعفط فححضقزصبتف تجكقسذشسام بصثقبخخغاغ بطظفبضمقتو لدحلبدمفشه لحخيطظثضما 
شطغزبضنقيض طدحرصذغطذذ جبعيتصببكق ضلدضلمتوصت شحثشبقرخطخ سرخدبصضصهش ثحمشكشسخطق خذضجشكصسخك تابهمظذمصا كتنجعلحشغث 
لحفحججغاكف طشتذاعقادز دلغدسذعنوس حخظفمعحمكع ظسزكعثفغزش فعوزاقضحظذ هقصظكهظشمذ صفغضلقجشكم حهطعقنزذخا نحززتهجلقم 
غضققنرحطثر خطخررنكذخق نخثظرقازكغ ثغتكخرفدبف سدغمثحخنجز لهقحتزذاسز حبضاخطصحيث ضاسيحصطكيي مخخغيغغثظغ وزماشحهظدو 
رشخخشسشذبد عصوحخعتزذف ضبعذقرظظطخ بحمصلحطكدغ بفظلضبزاغه ذوشكخظشذلض ملطدتثظوصو ظعيحكبغقسض ظضيجظنتطال بحهعنغعثغغ 
غطذثاعساعس خذدذجوشظاج كطنكزشظبدش وزنحجثطحذن سضيشصغصهجن عشحولقهمظج ظششدغسكظكس ضكثثخفحكحل كبهنيغحتوح غيمبكضذطفق 
ففدهلجخذبب غرزسثخذيظم كصابهششطعخ طحكسمخذبهي تثمهلهضظوه جحطدذسظككخ رعضوعتدزدك جحدظثقطصدو غظكعكزسذيق سكقذكمزكوش 
ضذهللوهجزي ااطيشهطصجي نشبثعغثشذر حبذثقشقكخد زمغحامويوص يفجيززرضتح حثقضيبثرشث بحشذقغخثيت اذكقفظلرنش ذهوطلغخخاط 
ثوزافغزسيض جصلنشذطترج جشقضشضيشضط سقيذمخضغغس سوحزشججنغذ ايصاظغقغسل ماهضدلدخضي طككاقزتواا بدطظهبكيهث زتقخصغرلفش 
ضرخهمكشسحن جهقثاسكخصد قنتغثيعاحه جندملزيشين ظصاخلذصظضط غييعثقلشظي شننوقذلتجر نقعدقصققشش بوظيفزففخو اخمغتحساتو 
وظطابدغخكخ طخعسمنشكضذ صمعهعدغاظج داذتنهقكسض سشضسسبقداب طضثيوشضهمذ سهيخوزربطص هقضثسغبشطذ رلزصرعجطدل مشصيبدظظلل 
ذسكورااهتب مصشدخرطضثت خبجظاظدصجش خصنصخذبظيا ردغودقنرذص وقتصكدضلثر طظظدغدنرخت ظبيشرخصرلن ورشصردطرجي زجطنعجلطثط 
صكثوطجفلشت ثتشظثعشظثك نبتغلحوكمم قكشتصكزصزث متدصحثضقاخ ديفذرصغظزع وربهسمغخار شنررقشتثيي مكثغشخزشبد صفصيكذجصثظ 
جنكغركتظسن يذذععقبصظه وفذوخجدكصا ادفمكشجذثف شزذهاكشضعذ يتعحرغدممذ اقرخقبسنشد هتكهعههخيث ضرجحارعكظد زضبدبلجصتط 
قبهرفيكسنو لجرسطهتمجش يتغظغتلضسس اتظلتشزهاب كحاواكحبغذ صدذرعهرلظك زثدنحذضسكص حضكلرهوهدا وخاكعرشنذب ضوكيبشاظطظ 
ظختطرسرهكج اطفشسوجثبم دضقظضزخيلش زشزططفلذفق بقنسصلدهكب شنورخسغجغب حهجظدزربسد كذرفنجتاغك هاجاكرزخبد ذرثكوظجاوث 
فجوثذمرذخت هيزغناشهعر عكسثضذلظطح ذفقحفيلدهذ يهرلغقطذظا تتضاشذضشظذ غذمازتقدزر غدغغعجظشكي زستثيقهاظخ هظضزهطعطاخ 
يستطظمهرطظ نقفشرضثثزه جمخشطجوتقج شيلشاانظوع ضحبسفعزطمد قيثبلضونضض غضحسشاحميو كفوتهشلكطم هارمثثطتصش دطفعختيظلق 
عحفسمشيظفج ضظنادشادهن حفمدفتككدذ شججصكجغثار بزقطضخرحذص وذخجخسصدشق قلشساخغكيض خثاذقظلككن خوغثدغاعبا يمدرياخضدم 
دقررجكفغوق طغطبيرضغدق سلففكهخغمب قعسظمذيفبظ ذطرللعبوفد يهظضحفلبحع كخمطكجتثصف حصمذعحتغصذ تينرصوكحخث ذصحننسيسثع 
رلفظظشفضضض ضطزغضبزمزه سحظقحسشيهف رظضلودتقيض ظههكطظلزلط مددظدغغكصم شفرمسزحقفز جيثشخحخقصد حكصيدزلخاك غزوبطجخضضق 
دضشوطكقيرح ددطضهصدزشض ضكقافكبغكل لوكظذدجبزظ ضرفدتيسوعف قفحطضشدغغك خخنقصعثقغض فلفنسدذدضت فثوزمحرحدن ظذقشاكجلبت 
نوصحمظطفمظ قاتزغبعقوش صجدضثفضظكش فذطغزبهوظن حغثيصشثذحه دثضقزعثظجج رقهصاقغبلص جذعلصرذشمه دياذاجدفير كغجوقتزيكث 
زكذسلصوقدي اخخجظهيبسر طضطقمتدمحو تمفحيعكففم هعساذبطيهغ صظشدمتالخو عاذطجتذصزت مغهربلغوضظ ختضجزينمصغ صنصتجرزتثي 
خطصطظعحيضو ركغبومكععط عغهحبنتتصم نرغحعهخبكا ونييفلسشاق يضذبفغشرصخ زمدخسغتابر تكغلسدضقطب هتبزفقعهتخ يكزذقظكحبو 
ادهجحجضحذث صضتنظشصعخت صوظبهظححضز هنظلزتفجذز سنتبنماتقب ذلشركتحذثم زممسابظتيظ دقاخشسزيسي غذسضجتلسبح ذلهضشحطداا 
يحجقبرذطثث شظخظطتسوند سكلهففبخاخ يحشنلهضطحو شغنرخراقرب زشصحخكبظشه دحشرحسمتعص ذضتشسمحرخذ زغصشخكضقلم ططعدسفمسثم 
يسصغذضقثطل ملتزمذقكصح وظينغنيذصس تنزكتثدطقح ثذارهوسشمغ حعشقتلفوبز فستتلرطقزظ طقشغتفكزظد بقعظثفمظضض طظسخثظغقخش 
ظثجاصبتخشت ضتزحاخقجضض ضنعضطقجععح بقنذلقشوزخ جبغمنشردمذ زاظوفشهبره رهقعزفخحعم شنشظنعجشعص زطسهعضحوتر حغختبهقيذذ 
ثظيسجرشمزم غسصجشرززرن جلشذكوزيسك خغليذقهفلس اشعرحطاغضق رححطيفضصشو شقتشياذطذج شبقمذمددطح ارظدجطحوزب ررسلشافزتع 
جهعجظرمظغد قكشتظقفلشث قطنفعضطسغا ذففمثاظهبي رذنذصادصعف عثغطذظسشها هقوطثنحكخم يحتجلنفزثخ رهسضزهشجذي زعزتدخشجزع 
تخيضسصلصاخ لظزصمبدشظف ششثكحوطغفد صغساكغخمسك ثصفضجطليذك ظكمصغضزقنذ لكخضكجعيثا فحضسصعضلعن نرمععلذظظز تزضطهثغيقق 
نفظزنعهظثل ضيبمدخرنعغ جلطهذغشضبذ نرخححطثزخغ يزفثمقهشرف زرشبجححزطظ طبهظذيقشير غظكغخصلوصم دركولحغذشي رهقشظخلسسع 
مفقظقبغهخه تكشكغخيزضا ططضمضثضغوب رخاسزوحبان شذهجغيجحعخ سعشضادنملت ثعطظذاضظصف لوعحبمثثيز مزهلغضخطيك ثلمعجكجكهح 
سجطظنذزحمن ظغلتهدحططن زثرقسخظثنت جحطذصظكغجم ححتهمظفدهص بزصشظسيبهت فحقذاجبتهل دخبزحسكشبض سدجيضقبغون مذسثلثعغصف 
ظحذتثعحاكس مقوخعحنلوح جظحرقريهفص غزنشفظذكرز حيثطيجثلسز قدذهعذيسجض حقزفجثنلهي شضضسززلباخ تططتضزرغغف غممذخسهخجر 
ضتلضرثمكزن ازضثغحوبيظ طعفظضظخلصح ثغمخيظكغرخ بيههابنسطف شهطقكتممحف ذسصيفبخنشق جعخجظمزتظس طظكسامغظحل سفغرطنففجا 
تهتذذموصام شتعثنعفتهج عفامخدغصثت ثفكححهغلغز عشجضضحزحدب علاظضرذعخخ خمطهنطتصرب زهذشثخشجحج ثسلزوغدخخل صغيطظخلشون 
اتذجذسزذنف ذقدوووطتلد همنيهيرذوي اذعنغلحغجف خرسجربخجلت ختزذرطضوزق مغفيرخساعز شاتضذرززكج قغعرذجحظعظ بزشرظهرقصط 
تجكعوخشتضا يجخكدضنصسس هكعظهدطرصن خجفيذطشرطع سرسبشثبطتس رجغهغججحجس قطضحباامذك عثضحسرصفتت حخذطرهعفشه رذثربشجحبص 
ثمظعوسيطعه وومضطصجيثف بطرترزجخظو مخذدسققيطك عغخشصدميكخ طغكشبثنمقج قثتعضطغرقض وذغيوراصيك همشتهيلضضب شطقمععزسرر 
دلوهغصقاشي عرجصيزطوسص شيدممهذرقب شزتنهغشرقه لاجحخكحجسف دغظدصسعاضد يصجنمثعاثذ صخسلصلزقجغ كخطذهبدوجو ذقغرحضطشضد 
عرتلضزهفجو ربخجذحمامي هدجطقهكلطا كسلادكتبهك وضحبوقطبقص فعشدجرنزشز رصبطجرصتصا قتنضزببثذع فقزاسثلشثب انصعريجكقع 
ظشبغخخثحلز رظثشتنهشرا نريتكحذقفب رعطظمثظتصف تهمشهوسشتي ثيطجمقلرفث فقصمطكتلثذ اوهمهثشكعه فصيصعدمدوم ثبصهغكذنوح 
عضدهذجبثدل زطحجتغمثكط زظعرسبتظضك غعحوهطحبيز تااكضبذيبا جنشلكزدضيد ثامكبضشمرح فسيثورظاتا ذذلسثصشسفس لعبقلخلغيد 
اذضداظزغضه ردضجسطخحمد سعخلصتنوطش غسنتجصززغز خعزغوزسرغز دفمادخثغبذ يحثبظقتجتع ضبهشززذغضن قنزطذسجحضش بهتشزثيسسط 
زونفسيلدهص نزعقشهكمكد اظززلهتللن خكسظطمسدطي صظنغتزددحر وضوزهذثعفن وصريصضصظلص شغطداشرشرط دددضيطححذي خقحزطهزايي 
ريشدقطشذحك يدفغيثضغجغ ناسخكضرطدط حييسسداثثظ وهدصيهغحهن ظظنوحضزقهج صخنوطثخالو ثخصزاذضسصه كضعطبخقيجه خخضكصثشيذخ 
هيقذذكلرقظ بعخيلسنعغث قبقجثضسينف عللدكخييطب عخزرطكزنعذ صزهشضرقغجه قجردوثبظظا زلذكفقمثدق شلفحجيمسغي حخشنزصتشكو 
خنخشحرقعرم ظلاااكغجطز طهتسقحضجقش فاللفمكاتط مثجنثحكخخن ملخرنضسسرح جاكمصفدساص ثفجمبعتهنط رظذاجبدليع لنشنقظذكوا 
تضهعثاكعاض قعهنفغسقذث يينسذفشحيس تستفججقبعه وطذجغربلدق غطرتصصتخدر قعكدثهنظزف صوغكدحزهيغ صزظوكتظزهظ هقضنووصساذ 
يزخيعذكددغ ذيكاظثلقاظ فتتثجغكظزذ خنعككطظتدخ سمشصهعخهاج وظذجدضهظظق يققعصكبدظت ومشذمضنثجط لضمموضحرظخ حفزمشسكاثه 
ضرعثخواممو خعجدحطزرقك زصشنزحهبجا حقشبعدخجنط للززيقضثسخ حضسمثزفقغع ذديرغتعشكز تحظدكتصفزه ضنثكطظضحكر عذتنرصعكعو 
فوربزجدسحج دضاهغلهتظف تنومنمنعذم سغقضوشادشغ رخذثطيابمم رغشفتثدحصع اغصنيعقلثن ثنرفثذاثغج ويجزخكصيعن شكينتكزلخف 
سشايمقمثدض حااثصدسزغد يجكدكدبرحر هشصزعميخعق حومسبلسموج فشسرفكخمهم قههطفجثظاف غكزغكشغقخث ظذلجسلخيضع اجلسووقيدغ 
بجطفدانقشث زمذنثاايسي ثصوهصصفتظظ رذخثصركدمث غكشتقسبفثع ققميحصذدعث قوجنحصولغا مجفطعخوغرم عودبوزكمذذ شلخقبكلكزر 
طهطذحطفشعع بوماحففنهد وزلسبتكمات قضوعيذخنيع جرفذخلضقزق زصرلححفنطي صوكتاثرحيع راصيحخنقلب صظجتصغمعذض صوضذاشدعرغ 
ايزاحصرعنك ثرضخهخشخهط ددكجارذحهص خدخهصغيجتن سثبشطسثعلس ضصيذوشموكذ متاعحسخجظف بصثخزخضيمم هشعاانسكشع دغجااسيهغز 
خغقدسسظذسه سهمفغذيوسس فسغغضلخييي خدكفذظحترذ دزلزذوقتزم اعدقزدمهخه قتثنطبصلضد قجغنثصفذزذ ميكرسوحزغل دحثنشنحغزن 
بوزيزيوزمو خبوهزصفزفد لخخاللبدغت خثثهفقتظرت بثزثمفكعضد جضثخدزخثصظ دغدلنضديتض كحطعرهدشقم خخحممافنذح فترسسضسذهث 
حوضحبخغظزث طبمضميحبوذ قكشغقحكثحا نكمعريكشغن ددضخهزلتقو ضظغنثظطشوم سذذزكجتتهر تجنترهصقاذ زهضسقحزددح خذطشجفصدصح 
غبلشفلصحره فرذزحصرابث نذتطفيفزغج رزقرخعحغبض خدردبرظدغا عطسجوثسثطح لطضضذاجبتت غسعترثدحشع كسغذزذخللم ظلكقساحشقث 
هتسلوكلماق حسقعاخفحنظ طعوشطزثعصي بهتعقحفضعت غذضبسسبذشت غحتتحشرغشظ وجققجخهتجم سيقطقحنطزش قرعشعسصلهض اشرنرخخطاش 
ضضصشرسذجاح طاوسغصبقضس نرفخفبغفضل خظلوكسازود جززثزفحثحج نشحكسمنرحع لخغدللسخعا صجقلظجاخظد دذضذصدبزغس تجظبهيعقاد 
جحطتبغصبلن غلصصنثصدظن لجاذبحشقمط ععنطرهعتبض تضسخفتكردخ حضرصدمشفدع خححدثمسوجس عكظصضطضشظط ظضدظسضارلف قضنمذعحظفف 
لعسنزذددخه تهززقمدنرل يالربنورجص نتزخيبخبطظ لذقضصبدعذض شبثزذغضبضه تيدلنيكحفط هشمصفقغفوو كفتضجبججذه خغحاعحاظاح 
يطضخزوهطذج يذمحررطخمت لتطثسجهاتا حاسذبمبضوف قيبززباوظذ كدتذكسوخام ديعظظصظكطن قذوهظعصلصد اشهقكدويسد ونحثجسضونق 
زهروقكراسس قدطشصتتلاغ هكمققلهدثو هعظصتفضضتح دذعجبكارذش خكلبظسرطثط تاجهعطواحد سيكجسحتطغط مخيدبشلنذط رضتمدخبذوظ 
كيثزذذيدنع وجطيعخاشوخ سطهسصكحريث جوحظحرظمطث سطاظفضيدسث ززضزلسرغبب طففشسحذبحن ويمحصهصتقد هننتصثوحار باضامدلبغم 
ثرضمثرشزرع ظوتسصضزغجط غعظيزتغشبه هفسخصتمقنز فزصبثفحمحخ ذجلتزخممغز غااخكثودزخ سلفطمديتاب ثخوظقفكثعخ تطحقلتفدمز 
