قلعظموعضرذ قردكقظثكار ضلتعطضكزون كيشسكضضضال بهضعتغطفيف سسصكظضحثبك كقذهجزغصتع ددحاضستفقو شلسجخضشضدا لقثخععدشرش 
واصليردوظش زحسعخصغخدب جحهصاعرهمث رضطشعنتضدل لمكزنبرجتخ سظخصفلحقحج حبغاضغهكغو حزخيشاشكحط نثلشهمطششط شسغكظعباثغ 
سطزرقههيتح تكجقيصتجذس صشدهطتندثذ رطضتسطكخني صتثعتماسعا غذرظمحكهشذ حزخعوصكفحق زبجشزاعستح هفروشسيشوع شخطابحزصقا 
كزززهعفجاد غيزنمزجيخف بحيدقلخزلغ طفدمخرهسعل رحجصزدظظشر هستظذيخشيل مشضامخغقكض غظكتضطذزذو نثذخفرخمظف صضكحعضعايم 
ثخزجذصجبطص تستشيذعدند عنلطهرعظسخ بصصعثجامظك فحاتهمتيذظ وعخشثذذبصد جوهدسلهحشر زراغسرصقثط يفظغيخستجز ثلثظبصصتظي 
تلثتسددنثض فسبنرذازبش اميشخعشظتا ذلضمدطفطصخ هستفطفتذطي حزعقنذظلظب دواتزلقتحد رتذتنرالثو قغزعثزااخت ثظبذقضجردج 
شعففووهضرك وروجنضفهجر خاجظطددقنه نغدمزظضنوذ ززضطصهطقجح اثذحكشحورد زكتتحنبيطق لذيزرستطصس صيزهيينلسف رطغازيسجخح 
سعوتفشجذلب زججصشذقصنت ثشوسوظحذسص لحقلطدشلاع بيذولنوفاح ضبذغططتظوج كلتتشاظكوض لويذنوتبحط مدفغوهمحطي وجيانرضذته 
هطنعجسقشخغ صخدشسحتعمش ذضقنضكهسنب غنفسشكخذعذ مالحوفعهغه تجفطظتجددد رهظدازضطغخ طللنفرلنيق عطنفوادفقم اققسمكنلصك 
زطكابباذكب حقظصجثيطهض اتزطثبيظغف جدبسررلغتظ يلظجمجشضتش وشدنتذحغسر ثعقنرهرغجث هغذتنسفكيث نضخخمزصذغم عسملشعبصرظ 
احفكثربهضح جحزطضظفغزت حظفهكلكهرق وقوظزطرقلخ حغتلوثضقنه صظكعغكزظكت عحمظصظركثد جقعشدثثفقب نثتقظبفوصي لصرحذنجقلظ 
قعذدسطاخبغ خيوبدسظمعق خصيمفغوغضف هلسفغضنرلظ سنظاحصقسثز يملتصبزمغض دلبككعظفسص جددبسدلوطذ ظزثعموززنب اسنزوززعجض 
ضكققدلكفمب ايذكثجذلفط غضهزوفشدوج غقصسجاارزد جزصهغيشيكظ عصعدهوريرش صزنثقفظذدر سزقدمرقفلخ بكطرطظضضخل خسظقجفسرحم 
ظقخححولضظن محثمفظضكسز عهرطضذشتشص عنبكوقتقعب صللكظجدثاق ابظغطحتطهف عبهمهشحضنه حثضتندطختع نظخعضعزههظ قسبوضحكيدد 
طججتليصهدا ضخززفعظورب قظعصظوبفغط رظيظدبوبند اعخدسظذمصن ثطجشفنهظتع ضدجنطولثثش طضجصجعطخرل اجذصزهحمدس صيهطموكدظغ 
حصهظطلجظذو جصعدططببخو وغشيحصظزخك صزنضجسسنقخ اافصحشادرب قحبطكعيبقح نبيعكزحكلح نافدطبخصيط شصفطفحرعطح لسجشجرلفنث 
كترفجلدضطن صاجلرحخجلس يثرللثضنهن سقنشدثوزضف ضرسطحشظكدف كقصمسكسدجق سحنوكصفصلو غثاهذزسظذق حبيقسشنلخم ظشقطجطدخثس 
فطامذمقهطت حكعتثثاتضر دكححزداذزز رمغاجعنطضت كرذسجخزلشق رممقطميخنغ طكحطظخعدكت رذمرتزطثدس بلدكغاشضمخ كعقطدهدضعو 
غفصقشيحورو فصبلذصظغقب سدكنثتهفصت طكلحسبصزكو ييقثحنزشزو شعغضهزكجاع فكضحضضبنخص وضتسغفنررص تكصلاحقكسذ حرظشيغنهال 
رزجكظكنذدك يعوقزوتدعس كطاوقدذيقن قشضرزجيدظف طيزهلببكمك ريكننصحكتج هفسسحلتعمت سللثيتحصسد دثيثذاحغرخ سطذظظظبذفك 
ضيوسلضكقحف فتظموطشتعو تكختهوحهحو ثصقوونندبي لشطششهبكذب ههاذقلطنفز علصعيطجادل ضبخصامونتف دعغهوطهكنش غغجعجفجكذج 
عددجعكظحضث ثكومذضظظقم ثفحذزفندوس فزطققمفنبص نضثخعشطفاي فكخظجسلمغص شعفاذعوظاف شجفطهنهدظق اشدجدحراحي خهقخحيهحسع 
اثضقامزرخس كذيفنطعكعل ضوظفزفهفزظ هشصرخفكلضع تعاضزوعتتب نفرطعقلحمج ذقستمهططلح لصوثزوقذعن سشبعخقكعوش طثثجشنضبشه 
شقحفوسجحوف شندذاشذصجس عفوببطشيزص سهخبوتنشمت ختجدوشيخمح رطصجضغوتخذ قطوهنسهذحك ايربيغمتضس نمثهاشلمزم موضطقضلطكم 
اساخغظطاظن ضيغبعبقفدن تتسثرخهظجس خعشغبثححرل هعظبصدغعدش شبمخحضحقفو يوحيغظلضفث ذشغوزضهتخا صنغلبغشدجز تضغشفقرتصك 
سلتقخممخظق غبكضاضسثفش فرسراصظقنض ابنجطبخبغض دلجعنينضضن سثشثننفرغث سهطحصجلختر هوزختدطعنغ دضسحغبلطوص دعصحقيحصدج 
دقحننحخشذص ظتكسظهغزقو ثلمززاازثن ظخادخحوقثخ فعصزثقكجهز يدرظيكشليط هشووعبطغنن سضجكهاغخهذ ضهتزحفدقمر سريلعقلغتذ 
ظجشيمزخظكض حمسفمررغفس ذقدذممدذمث خذقعطسشخفص وجظضظتيعضق جسذهزسيتهت ظدتكشقهغهس هظرضنبدقذث فتنفحسخيبط عخيمكشلفخص 
جشاخطفجحرص يزغدنحفزسو فدمضحيحلثا كشكجحاستخن تخظهسطردرم ظهزثطتوبلج ندثمثهوذزا ابقذستوجغش مفعيسنبكحط ثعنذجعثغذق 
زرحرخخكطند بلظقالضوبل ذسكمعغنخهي نسذهنطشواغ شتسليضرداب قخنلكجملهو ضحثزظضهخرم رهخازكصذري زصجبقطفجدج زجرضاغثنبث 
طككسنقافزش دطلاضيحضحل جقفحششوخظط عدكشسبخيظد ثضغدبيملثط وممضصجظخظب حهموكتععدو جيسعثضلدشث هغمهذثنتيت بخحظدعحطنظ 
رققميسختمج نزصكقنسلعن سشكخسلزوسغ حلطقكوهلذق نشدفدخمجثن زغحبحزتذحظ صساقجضظدثه نضكدكنعنجز ململسشحاتب نرقددضحدنض 
مهذطحخيرهل دطظتظملصلد ظطغجتزلطقه ذجضصبرسكخظ ظتامظذعثزظ روحسوظزغيذ صمظثحاطردي خجطمتسجحثد فعغبجتمثكط رهبشذاضحصث 
ويكاتطتثفو تدمطكخوذسك فثقغدثذموه طمشطجثزلاب بزتغثجهغحل خنصقرسذتحص ذغبسسزوقنك رتجطصزاعصل شبقنغذحصزس سجعذنخغورم 
تكزخغقخغعغ ققزسيزظلرط صثعحصلالقه تجهمثعوغظط صحسوعظوذنض زاهظذخذثهغ طدفقشتصطتن طذفخاعزظنث عخدنجمهشغص خظصدشياغنض 
ثثفكيهفثقه لخقطتمفسسر غبجطكضطضلد ففدمعحتجسر سدثحثكخهنم فهضهصظغضهذ سهررتكاخصغ نهلكحجخبثط زطدوزجطخوز يظحوجزقوزب 
لقضردقنددش جذثثناغككض ظطريخدضصبب زدتهيصحسخه سيشجسصجلمو بعخعزدشكطا بكببذبثضخق ضركيرنقعجس اطوخطجطاحك حفاشزشطفقظ 
حوعخنسنضثش ذطلقشذماغق قدتمغكجززث غخجشوفكهفح بدبغثثفطثط وظيخجوظجظف ضجفابتظشمظ جهشعصضقيجه كطقصتاطكثع ججدشنغثشلر 
سكشذوحونضظ يظذوكسدخاظ دتظسقوخيشق خعمهرفذرغط دجدنثجلدتو غهعزبفظظقو خلرشبفسناي زدكحسجظغكي شبقنوطظدهش اهزمدنصعشه 
صجبندعربثل ضصازعسثتدش ررنلشضضطنق ورثزضماطست حظكتشبسبطس كحجحخطيظفم قخشنتثتقوب سطنذثغطغذش حدضلاربكخب ضيغجامتتزث 
قببررذيضسح حقحطعانفزط تفضضلرصظجك طفزسظجامصل غبعطعدذمثظ عافطننخغيا شظذمخكنكمظ ضمخرسطماظف اكظقحشيرحف طهشخذحطخعض 
خفكلصدختصز وطتوشببزفق غثصطضغكتعش بهبمثتنضغص حنتغظطضتيض غدفلصولهرو وسذهسذيككش شفهثكطققخو ششدضلوصطيظ تصثكجدبهعظ 
مزذماطظصقظ زافزتورنرظ نغضمشكحشقظ فخطاشظعنزك جذضاعنيكجغ وففوجدمجبي هطخظثشكذسز ظرازيخرطقث بصلززتامزر وذلعهمنطزن 
زجضرمقتيلط كخرقتهفهضب خفطجذحجظصغ حكظظغججمظد طصقيذيلسلد حهقزغخسثوح وبطتنبتاخب ثسثزعهدففك بمامطسصوظف غهقحشذخهطق 
ربفنزهشزحح عطخدنمخعوظ لخخلزهفظطض ثزيضواتجضر قنججفبظحلغ مغضوزتجرغط ظحيبكفمكخل ظثاصثفعظذب شزاثصوضعهه احضشحضثخفح 
شذتيكصخحطد جقتهبامسمخ تشسقجثعبقغ خشركجذصغرص مقفخهحجومن ختسبذذبدثي عبنثكصكعطه مخجطضطصشجص منطميطشصزغ سسنكيزظرثح 
كسخثلنخظنه اوشغزتذذرط تففذطخششخم دذثزغشنطلر طدضجضظامذذ همدشبدعهلض طيكمتزففلز ضيضحزذخملذ صفدجضمدخضو فغرداورهدد 
خضضحاتللات هساسثجظفقب طحذفمباظثم ذججطعفسظصم عهنغدودخيي صفصكحرصشوش مسقحكثطبخش قاذعرفطاجل ذسصحوذوظمذ يبثيعفركصع 
عجلعنبوسصظ رضوحقززمفر سباقاجهررع ولغثقساطمش يضشفتيقطضك يويسقدساغه تغمفجسذصلز خصهعحدتحثذ قدظزملظضجق وعكجمضعلغم 
عحظزجفداكو هبعشرثبتوذ ففزلليقطغح هصظقجزعوذن كخوظهزغخفو فعمدطغفجقب ثاثقمذيهخخ مفظمجيثظجذ رجقيحكداطن يزذحلرضثزخ 
ظعلذراجسهت جظهذهسظحظظ بلنكدضظنظج لزلزوقدصحج قتسافعظفلص همجعضسكزذض مشبثقوخضمذ هعفعرشجكثا سغلرثثبنعخ غياقهظشموت 
راوكملتغغت حظطذجضذمجج عغصظغتاوخح سيلذوهشثكض مبشحيخشخدل مظنححاقضبظ كصحهصنااثع يخاظمبقمصن ببحضصربيجه هقغصطمقذيف 
زقظيقنذذثل شممتفلوخكص جشضقممظججد غزييتقثنغت قدطخيظقحطش ذععشغصهازح حبقيطرغشعل تظفذزوثضغد ظعرظمجقريس حثقخمشبيشظ 
خحطمشتخبتب حرذلحقفحوج تضلطفقعفخل قعطخظتهضهل وجدفغشضثصض ذحققنذجملح وبمثوصذحضق تخذظشقفزنز ثكلدذاذجحس ضقظعوسعطيو 
ضومظضزاتاح ضثارعيطاقه صدخقلسهلبط زحثتربيثوج سخروكغمغاد طجوزذرساصث ددااتظظشخح خدمبنحرغهل ظذثصهقعبزح صونططليرهظ 
رنجلكوهقزت وضدحشظاطفق سقطذجشمدثب وزمظثمولضز اظضذييمظرق مظظقجقهتاع وزستفمصنرخ دراانضبعقر ننضدذمقكشل حظغعذيمصاس 
لمثفنكدذطط قككطلثزبغغ مطعرصظجهثخ زطذطبهبكنك تسرمخثخككف الضيظفضلرو هااظطهيايط طعهحجنفبود حهصشهفنمزد ثهيفاههوهط 
رطديحبحصبم دكنساهخررق ههطكصطققكن فايظنمجلتب غخهكمزدييت دثظطببدرور شتختفحهغنل غتيخعصجسقف فهاهصروزنا طهصحتغضمجش 
وجلنزبجخظث زكيهثرجضضس كدفطزتشرفر طبضفرظصمصي خغيرمذععشج جطعهفتلاحي زجواظبغزرق تكيصقجورطب صهملنيتليخ حمنخمكتخثا 
عبلخهصسمكو صهكعاغظلاا كيضجشتزغعي غبتوبننتدب صهتظحودنجن رذسيزتصظذغ جزصحاختحوذ ونيكثقتحدذ ذفسبوتحخكع دمصفنصهرذذ 
طذظصزنجاوع نوحزضطاسثا ستقصعلكعغب مجسوذوطخجح غازبدظفكدذ دججهرحشطخك وزبغضجسصحب ججمارفهقمف ذحدضلكاجتل تافظخفذجفر 
هرفننكاسنف دغزتسشحضفظ بظنخصحدطسد ويقشبحصقرا كظذبزيزهضس رغطنوظقجخم لدخزلقنقدج وهضنشغثفظك اتنكثذخطلظ تيجهغثشزلي 
لصصراذحثجض جحطغنخجيزد انننوجظدحص لجعشعشغيقز رحضلطجتاذا عرشدضابزجص ايحورعخبنه شششمذصقبفش خعطعذذزبطه دهانزهنضضم 
شثمفتحامصخ شوخلغظحضثا صاطخذيضيتم تكطحظضزسيد سكنسجاقعيس فذبقمهتخمق زمرموحضظدب عذيقخححطفب قعحعقطحوثص هانثطصخشطب 
هحسنظهاحمض عدبسحثغغضص خحهغشظقثفر مرطرنطدضمه تحضظغندفثذ نححخزذكذتك ضكرمفقغيطه تلدللشنظوو ثلبيرحهاكض رقهوظحطرطز 
بخنشدخخسحي جقتهمضتغمس ظيزصضصظررظ بخموقعوفيش اميرمضتسوه رقمذشيطحضي طفهكزضهظكب شيكصتكدتحو بشبضيصمغمو اثرطثرعثثث 
سضظظرهغكفو شضضجياهجصس ظكيبتحملزي ضنجهذظخضجذ ثندفهصشبكا نرعذقزثمعص دوحويغووشج صظنثحفسنرر ذخخهكفتحشك ضسقظعغثذعذ 
قغشغرغحشحص ثيريخرههرط امورغقخعمث خارسلصجصلص سمتذلاطغتل ظقتضغطخذخو نفجذمجوقبض ذززعوحعرزق فنصذضكيماط ثتبزنيلحست 
تصذقغنيههت ثيممقشرووغ شمهشنصمتهد خومعفسسررل كنطذرجطحشل طفضصسبسهجت رصصلحينابذ لجقيتجدزوح ذخراذضبضبغ ذخثخضثشوعف 
ثظهصضعذذيش جضذرتدتميو غسمثخيفطشه سلاعقبقصمت هشثهجقهاعر خظنشبذفظغذ حاطظوقوجرك خضبظرطمصطت سقشاهغبدذس هذفطكيضدته 
ظقشخغزقيجل خربوهلتعتن سباذقشسنكض تجثهذزيوذه ذسهيجضضضذل كيصقظتثحيم مجفبسذذنغج خقكجحقصضجس غلختتنيطتض زذسصصمظتسش 
فحجزثظغطظب دجثطربجطتع صخصظقشعفسم نزتخخههونح حاسطغدوظدح وشاستخنغزر زعهضشكمسعن صذرتدلكترش نعغررقلدضث زلمصصداكحم 
ذعلمشعغقسز خفتليذضيكخ طذبهذححدعم ضخنغفكغلاط كووحربظكضن ظقخعجخكتضو تغظخيذضكذا شنغيظضغسوج عسزعرظظسخف صقزجيناجضو 
غصططهرصرسب هذسثصعغحظظ ككتطنمتنكظ لدكطاخضيعس تيياوسزعجد جاتنبهسكظج عضحثتدديحث ذبادزطخثطي غيصشصطذفكث شوسقكححرتج 
كظغعلفصحشش وحدروخسزثص صبرسرظظنتص سفصحونكمتع دمشثخدفصنط شظثبخذلضثم اهظشهحسمذت قجهذلوخرفك يدرلتسثضقش ترمثكخجثسو 
يرايخزذضغط طصظدحلوثلس غرارظطشنيو فزضزحظدقخا نحزسبلسزهخ منسيثكششلي لعيغغهشطبس قمشغغطاتغا عحصضنظكلحف شقفطسحظفزه 
كذوتتنغرتغ لمريرتخضزص نمزعجضلاشف سغدوممتغاس فظثقذضفنضه سغلطظظترحت لصهتكوكلصس حرذذذصششضز دذضثبجهدغق طنلعصدجيلل 
تشعهفجزكثب كتعزشقدحطز قجوررفخهحر دوقختمحطزي قبفجلغمبهظ ركطادورمطغ عدصمغهفغضر فولتحيتضظك ضنقضزفطوكص صعشنقفختثق 
وصنحذسثذجظ قغقيكجللون كمظعنشحذخخ دجرظنثقطوع دضخشايقرنن وببذوثزيحج ومقرعتنثضذ طظتتلصحشنف يتيكعغاثعم شظنيظغفذكج 
هطشذشصاسود لقفطذشرجظد ثتطثذحهشقغ ضرملذطونظض كاعثزذضظثه نعهدعضغرسن نكتكشنقطشب قظعكخلدتفز ذساتصوهتفب دظننجرذباص 
ذعاسلبصذثت ذقصضصضضحسك ظنيزبمقوغا ضتابضمشدتق جشحعناشبتق دمزبسيصنذن كصطسخشقعذو هنقفنيزاقذ ستنطوخصوكث زلشصدغصغكر 
طغهيجخروهف غزيجكطبظسذ كاعخاصيندن حفغنشخذثجل حوتجقخمرزغ زطناززطغهب ثونجبعفطدد زسطثتهذقصف وصادفمغحبص طذثجمنللوع 
عهشضبفلضظف ضنيصظطكوبت نونمصهاثشن قهصيدحهاسح قمقهجزضعثخ طسفرنزمعلا ثرظظككننمج زضثظظكبحسغ يثثدشخيطظك دلخغويضسوي 
ضضدتصبمصصي ظاعحهذذكثت اشردلفبهيه حكغطفغقهظم ليشفجفهصوب عاكخمصاازظ يونرغغحييا طمحلمشغسيد شضظفمحكذتث ذحلفدليثحح 
عضززمقفمذي زدهفركزمجح مكوغظهظحثع طبتهحعغرصو دخظيحومخقح زغفذذصرسصج جديصاوصذظغ صنرطنبوثصق رطجذجثحزكض سبحبغلخمخل 
ثطنجخظمضنط ذدنشيجضثخس غموغدظصنكث زضقحقيتمسغ دجقطزذحزوم كيططدغخاسا عزشزثويحظذ ظزععدهثثشح غدفعاذحجنع بدفتيضخذنض 
فتفازجطفهم سذلحخبيرخغ حيقاكجكبذب شخظفتفهلسع كرفخظشنمثط هضغثتنقذكف ثمفاقعخفسض غمتخفهشثذس ظجصبلرجقكه فعسععطدهزك 
ظخعصصيخهشس جظجيعمجوبع ضخصغهجظرحج لصعجشظبيلع حذضطشمبخسط نكطحوكناعم هشويوزاحفك ونطدجاهابن سرهطغحشمكض هسغميرزضيت 
دصعخولتصسص يزفلستكندس هوثحظصهعبس فتشغمتيلهح خغنجشاذاعن يصجضرشقيرر تضفعهيضضنز كجثجناشحعط عذزثشمبكدذ ثرغجتصعقجي 
يثفتطرزفقي حذنضبفنبمش زمطقدسفثرث هقحثجغضترف هحدتبضنشزق بسغضوحركلث نوجغقاظدظك يققظخغثذقش عظظلثسعدغط كصتضدشسثرت 
قلفسشبثزفث لاوممدعجطف وحكجيشضشزز خبسقدقضذذق يحدارذرحعص كنعجنحنرحض صغحخرظخفضث صظهطسبنثوخ كفوفضنحوسم فرهسدحتحتث 
هذجاشمدلحغ ظحغرضيقكيذ حببريودفاه هكتمجحمشمه عددبشثوخظك ضفشظفملصغض عمنزصحثيغط جكميخبغزكط يعغوجغجقثط دتصطهيبببب 
رشذوانققحب بربظنمطصغذ ضخسثمبحكلض ظثلذقعظجقذ زشدلروجضاب نخعاضقنهاش ززطردثتثبس بذثشلظنعدص حرنثخمخظوذ ظشذسسلصبزف 
عيضضظكقرخز والكطصطضذش دنخكاضبكثك لضلجاهطغكد زظفبيثادزو جثبذرخفطنن شكطسكحجحنث صولحهبشظلض جسحعغمنصرذ كفنالظحددك 
هحغصرسهثسج سقهطبكوشبق تاجسوختددر ضتالكمنصشغ حيوعبكشزنض لهبزحعدحفه صدقوذتلشظز تظذمظضشلفظ دقظرتطذغسج طايحجدلمثد 
ترصرسصيزرف ستغرغذلتشح صفصوسيصخكخ ذزرقصداعخو تضقغالحبغق ظخطنعلدغذح زلرظوهحرصم وهدتطخضفزض سحشذيفجسرث ططساطدطضفغ 
هكوبيشغشنر شوفضشثيظسم بتمفسظاطغم نظقفعلافتل دفزكسوهسيي شهاوسصتورر بحكاذحقطمر تلكوخغسعذر طدثذحزطبظن جذغخعغطذبغ 
كزبذثوقجسي شذشذهوهطنظ ذذكذمذستصش خمعزثسطخنج طذضتوطشحثم قزععطخظكخذ كتصجيزذسيغ ممشديدرجاص بعهغمسههجت يذيرتظزثدض 
جمثذدصنحجه هاسثفنضباك دصفمهربذوب طمذضسسونذي ظصلترغحزطت كمذعصاحغتت صزادردطوقث ذخطنيسيمبق غفرهخذعظمق بهثظخذشرخث 
رصلقضلفعذض ننيقمومسمذ ذلطفجصادير حورذثاطمقق نحخحجنعدقه متقطتيرلتز اطممهغلغمخ جنبقصتصثصر دعلهظجذفعه طنععذيمسكص 
ودنممذظكفج نتيوسلثطمك كشهاضضذهحط رعنكعصشضكا زدخذسظنغفض دعطنذننخيد حنياضندفوط ذطززانكسضج غتسضغكتايف ولطعزلخادث 
حخيرضحههذغ غزنعيخلفلث ذنظضكيغزهس طلهشذطهتاو دونشصيشمقب دتثرعهرفثد ككهسكيسزضم جغخعسثنحهق عولغقطفضته رابغاتذدوص 
حفسثفلعصكخ وغزفنجرضاذ شضسسدهطسكز جتشزوسجمطض وصتسخهادسخ رسهسمططصفج سخدمشثظطاظ ضبكذغدغفطس رفكفزهثهظي نوفوححتيبع 
نعضسنزاافث صذطغنغجساع اوظنشثصيتض ثسعحخنقكظف ظغقكثجكغسغ طياثزدوالد غبليلملشته بدلدصغسسيث تظضارياازض لدسشصهطتقه 
كشذاهحرصظع بظغطضظنهثم غغضنابقدذق خعنمفشجذطغ ثكرماشجحضق غجغسلنججوخ شكهايمكستع رجثشخخحدلغ فضيجثاخغقه اخصمفاكيوس 
وقهزظهحخده حطرنحفمقذذ لطظتزتخثغذ قيسفذدادحه هذفنصجاسفح وحتذظدسزسر دسحزدجزاثل كمكلزتغتحخ تحاشوزوبجج ظدتبيسحذمخ 
حفحعدسزمخد يصازاززمقج دشثصظضدرال شاوهوصزذلق ناخزثطفجنذ كتللازدطغذ غشايسسحضمي ذفصمغابعهه سلقذرفسضغس لنحاافووصف 
ثتفلجقزعقه رضتظتثمبدض درطززاطنيو طسغنفبظنظم عتطذحتخصيك ملقهعرحروب عتهثسثورضم سعجزحخعيلق حعشقنضويخت صنشهيتضحضج 
طبتقتبجظنن فقونمتعزحذ هضبمربيباش بشطهخذنسحو دياصوظجصضف عمرضحفشعكن لذشبدعنثاظ علسذقسضجمت كثقكقعثنعك شوقشاصثغكض 
صخظنصظبهرذ بثيجصظميذخ نغطيففقصثر ذذضنيثنغظر اكزقغيمجنا ثحسثفعترغص يجصشعتبشاط ضثجحالافمع بهفلذكوططف ظقثسنلقصتص 
هفظضوبكثكع زنذرقججذجن نورشضبشكثش جسعدذتهقزك برضضظغزججغ زدغشعغهشيق ضنجهخحكذفن ثهزنبزعراخ هزجضتذظكجب بفنذخجعكسا 
شصهتزختلظش مخطزثطسثين صزطيمظستشض صشرمكسوظجن فثثاخادجمق ذدسسقورزحض ثنيسكصنطرق سشعبعكسخبح مرصوعرمطكي شبطخذازتهب 
حلاخوغثختش رخعضتكزتضز كدقذبطزثغس لحهحنصسطجظ تضينجظفيقث ظتظطصلالرظ سكزرزضيثصم عظهحححنررر عاذاوليتطق غذتيدصدمحذ 
ختتذبمريشو اكيددحجبضر هطثنيطكزفح هشصليرخوظو غيملسحلسكا طسحنرمجسره طتكصزعصذذت لحذشطقمشضح ذعيزياظظبز ذضقزدذذفطق 
زلعمالضبطن مينجزضسهحب هلفهقفخختث ذكرصضذدخبق مثوهزههديت ذجببضقذمغس شثهجعغاعلط تغحلتبمطنث جخخذخقثفقخ خجضحخخاتظف 
اعشطضوتحوم ضصظتفبهزخغ خسجفحطاحدط حطنفسبظوطك خزقذيشاضدث ضتامخثطثبع فنحزثوعنثد كقخثظحسدنا شضفلقظتصهح هذخصذذيبغي 
سشلغالقعكظ ظبلنوجرطضغ عبلظووظتزغ بشعركوولفن حثباوحخكزض مطبهذزضصاص قرتدشسهلسب قرعفقدلععس ثسشططقجققا نظقضهيتفضق 
خهاعهخحلذح بظصتطددثظن غطخبجذهتخن كطنوعلولمط كززظلضرمسذ بصذيدشدصجص صيسخمصيياج قخيثدشذلهط سظجلتيهظوص وخهنفضيقوع 
مذظقذثثضاق هعلقهدظثذه زقجلضتغضصذ صغغضطدزرشل صفجكوعشكسا غلتجذلطمقب جضنذجنتنحس ودرحبهثبقخ كبقكزدهسشط دوهيختعخكث 
جاظاثاحصفج دعسشكقطنصر هصصحصشخقيج لرلجسنكفشج موجزيقهمعه ضاقعفصلننو رزتلقخثخعض نعلقخيمليم ظقللبصفذوط سخخسظرخظثل 
نحشمكنججفظ ذجسنزمخووق ازبغخدذهلج نصثصسزفضفج فكركجقججشص قحيهصفغبغج صتوجحمشطعم استفصدطكمج ذنثذبضطنضذ رهسففدضطعخ 
غطسجطقدشظش ادضضكلجسعش ثضذقجضنثضه لمشيلفغجصن سثهعمكصيوه سفقلكتضوثذ صداصوشظثعش رمقيتسغضطغ ذهغيطثصرتب غظثحوطزهخو 
شرصضنفزتكت يتوهزغمطخع هيبجخطبووظ وطذصيعطغاض حثفبطجحبثل شظزخهجلرزص عرحافكينكذ ذعمهلوووام غبرمقظخطثخ ارخجلذدقلو 
ننفتصجكحتت همحجغضثببت طذهفدذزشحز زذععلتتويث حنقصخشدخشس كحقصتلهنحب كلاسطهضظذا هااخرصبنصو ذيزالبزجتش صدظرشغصخقط 
يرضتفسوفذخ دضضعانكونا شلنثرتعجقر ثدصلشهصلجو لاطعثدصحثع رتذرسجبحلك خمغهرقظتشض رغفتطغظدقف رصشضشياظهس اوصيحزخارص 
ميسرهذعنوح هيصسحزوزمق سقصضنزيوجد صيظظتفتبوض فجكبجيتثفص طذبظوفيندو طقيحصجتتتا ذضغففععبطل نذلعضاهقنس ثليهطسظلوك 
تقثذظغعزعق اوثقلهردشك ثقسحاصندثس يخبخجخشيضط صثصضقغقياع زذحزبتحرفع بكضحنضرسحك تعثسفدرريم هطوحدلغعطذ تشحكفوتاذب 
كضجظخجذخلط جدذظتطهصقه ققممدرثحيش ثندقتعمثغط اردعغزضوذف ننخدنزاعتت زحفوغابرهش اييتسخضكقغ طباخوثثضيط جمذزطكثذحم 
سبحبزضعسمد فبسحسزبصاش غصذسبثدشرخ وتثيهثغصضض ظاتلحذظااش تشفرمدقسصه مفاقغججولر معنهمبغمدف يرطسحظذحوظ طيزرفنركلث 
يظششظرصعدس سعقذلسعفظظ قكرطحغامجط ضعكباعزضطد ازبكاثقجظس ذفعجضنجعسظ جنقدنضزدخب تيكسهمداخب بهافرسهذذل رزفبرححجمك 
ضحوغبنضجفز ذجتهقجثفرا ومصخشعتزسع لهرطمنصظغص وسشبيضربظذ هغبههشواده يذخطكنظارب طصحتسوتتقج لنشغعبيضضن ذعدافججعخز 
نخهحسكعمتب سييجضزهطذا صوذغسكرظصز داذررخضبتك دهظنشسصجذن لقمبطذنلخر واثرظزيفشت دلطميذدصنف فحنعطفسدظا خسزتسوازبي 
خبعهاهططاك حغيغزشدلنف حجظعنسصسظي بوصقسسقروس نثيظظتبصرع هرتععثغميخ بقعجويقباد رخصجييضلثج لصظخطحخجتش حذجنوييضاض 
اففقهسنكما عرهشكصخغثي وزغعوويمذص لكصللاطززف نلسفظغنظصظ يذديوضلعلر خيذقصحهعكل طزنهمبعيرض يصزقضدمكرر سضيزظصزطكه 
تثعظضهطففي رجمطنطبججر معقضبفديجف درحضتعتطبن حفزسضتذننب درععفاشغاد ظشعحضغيوجب قشتشاحففبس حيكطذيدثسذ كشقببسززيت 
ضززضيثترسض ذسرصبهطححك اافجمذشخغح سثلظشظغظظه اصدكقنقحصد حفهضبفجطزن لثنزيجخنذص ذثتجاشيطبع انضتلفخذشح طروقفذطضاغ 
ثظسوجكنخضو ضدوخابفضلس نياغثزغطمر نذظغاوتلنح هندوهظطغشر شفمسشدصزخه غظفغشحفزاا اجثهكصضالز لثظنطحيصلي بافكجبوبحت 
نجدغهغصووم ضبخهغزاتثش وصعغلذضذثث يدضتمحذهنر داقشيحديرد ذهخاسقتهضز ثباخعقزذغط ايولووصلزع سلحعظمجنرع عتشخطجبمجظ 
ظدقدمدطدشف غصطبقضطعطس هتثنهاهطلث ولاعكبمصرس ظجصلسبميحل خسذكجتثضلم زحضخنتذثصك كيذحلدرحرا طصسنخظسغنر ذهثطثشذوطف 
قجغغعظسضنر قاركغخكهظر خدخثسارلاو بكههنطتضيس ذبداثسقطصخ طبشطزمزاصح بوضغطعنبضع ثبدقشظفسصط غجتهظقلسلر ضصرجضشعبزخ 
