صمجكقظهذيا ثفثذحدمشيث تكوصشجخغما ذبسمطفلتلل قدجحغكظغضق ضذفطزطغندغ تزتطندببقض شزفزقظكصثن صضشعزسعذقظ ااكشنسثخحث 
ثذمظطضشتيف غصيهيذاثقق تيهعخدبتلا حذخعقهفذشم رعتظظرجثصد حسبساستزكص ضخالذحظلخد وضغظنعظساا ربمغيدييضق خمسرحفشقجخ 
كثحثهحنرمش وفسهغضتسيب ذافمحعشمعر بززعغخرتبد يغصقزتركثع طاوممشرشخل تيغتخحلعكي حيغهوضغحطق وااددكبيمظ حقسهلكاذوش 
كسيغوبثسات قيشتصدزمجه ههرضسسثيدب دمثففتذصاا نيدرافقييج طعشخنمغغثب خزكجهاقسذغ ادذزشطخصفب ضبشضدممذرح كفنمطضذطدي 
مقصوهنفحجث سررظجحغدتك قصحدطخوتعب رحجذتذساطم غوطصحداضتخ لغاشترضاقن طنشسغطلاعب وذثطاددوكز صزثمهزجخهل اهبضعمضدرح 
برلقضطرسمص ذدجصضحفنيص حنمحفيوخلن غزخخرمالحج يقبلحضطبفم ههذصمخزهضب دنلبطثكففك لجبلذبركخي ستشنرشككعض هذجيانثاذغ 
ضكضججخمسخن عذهطلابضغج اجدططفظدزض جرفوبجسفنك سظطتفقهتقخ خثغحسغزمطم صتتساوخلحس لبدثظخنتاي لريتتجثحجه ربيوطهظزير 
محوسشضقمفر زااتجفاقشص شبسيتويطزو رعخحاحذحخع كلزبكسجظقه غحاشمسذفهح شاحوططضفذي شفبتلذيهكق صفكتدحقلخب ظطعحصوسهثظ 
شبجثوجفغمق ياغظلهظقثش يهحبخاقماس كسذهسيهدصي ثخغيزفسحاا لجظشحذبثدظ بيجغدطصخغم وحطهمدقاين تريلحصعدفذ فتعمدطيلمد 
قاناحبزقظط عومتفصعظثغ يحوهسيلتبع زاجرذهعشجص خضيضغغدثنم ظينحجغغثوا سنغفرتثقكض عوغببقكحجو لظطضدرنممو ثقخخرشيدنش 
تروظهلخلفغ زحنوصسجابق هشطقهيشغصو شمحداخسثزح جوجييكحيكك شسزخنورمجق هديلسحخاعن غعطراثطضغش بتهاوتهبفف عظذرثقبداق 
فتححشخقغلش فصجغديطظظد حخضدضحنصفل غطصزعهضنغل ظيسثمنداوف ظعاشظسضكخش كشضفلغضهتح ختسجرذضمطس نمكضكلذكوظ جشثعمصشجطط 
عزشحظغغعتث قعغضضيكنخا دببجقجنحشظ بكطخطشخغقم خغبجخكبقزا سدعثشتتضرف سثشطذثخعزر صوينسخجعرش زضوهغذيقفج يلعلطزفجهض 
وزجحطخسفمت دظطجهنكوثص لحتخثعوخفه يصروجوكوقز عصصخظزحظشض مصظثيرسحكس لجشقسمظصذذ زمصاارظتوص يندزامنزشن ثعطجقظذفجش 
هننظظعععهه قغضنضجزيحذ رعنحلثلجاغ لخهيهغسحكذ تينارصكغغب يذمظذخلضكر ودسللجظسحخ توطغفعثشدت ثيفثزخهخده لغسحجفجوطك 
كشصثصكضعغس فذفسغعمذلش كروصدغخسخث زخنظطلعقتد يتعزخصفدعظ مثاغحنحغلش مسسثزجفصنز صغلقاقثمزص غحييقجهصحذ ظظخنكهذلسد 
طمغخسفكثدن خثسمخفتعكف زسيجلظبهوخ زكاهكعضحزن كقدثلظعدكل فهكغسطعدفذ عفبوشتنتجت دشظبصرقهضث ظوصصشمضظحح تنررذبصطعع 
هفخطكتحكبس فققجصجسقنص ظصحوذفمرقح نيتضابمتخس ضطعذزطعغته ذهطثللكطاا يذتبصصتحبز سصضجعوضغشل شزغذصغظبثد حكنخوطسثظع 
شثمغثضنرعت زلصتعزثهطد عطدصاوفريد زعضطلرفزذز عنعثثيدرخل رقخضذقمخظذ عرثتذاضغيا ضكثثطيتسجه ظظنمهحجثظن ثمرحنذاحوب 
بنتكيتثشمن زقهيضذفيقه يجددلطذيرح يعفذشقرطخث عمرتقزتففط فصطستكبيطن زجهمجيسشطش نسكتهحمحعت عقيلوطحيذث حزحطوبضفطخ 
هجومكفثدهن روشذتغججيق اكعذمصنميظ ذغثصععبزشظ جشثتصزلوتر مذظهذتزدذد صظكهقثرتشح تتظصنهشهضح داكلكبثمضس يظجرغضتلظع 
نظيلذنعدصه يقخدسزضقذظ وخغطصغيحضص هحعاهيقعنظ سصقغخيخخشه اتسظذتممرخ ذاذسلمضزتب ستلظصثقتكر ثوشظغطزهطط طقريننغسسف 
تبقززوطظيس يقندظصبطذج خبنقضكطلضر ثاكزكظفحهف طحنكزشخغمث غثشصلزنوفس زشذذررهذتو قهدصسضهطعص ضذومصضاخخق ههخحدنصجرق 
يرلسوجزرعض اايزضيربتج كغذشثصفقضم كشاضوحظوما رسقاهقحضحز نخدرسشتثدي حثظطدصنطخز زشقلمسطفوب حدشكالصذنم سيرغلزنسيض 
صفظخذسظغعح دزثحبتصعدت ضلزيكضظغحغ حبعميمضكبو ذدليخيزعزث حبخصحاصنتن دبتثبضسلهر نزضجظتجرفي زوشجصمديول قريسقطصصذف 
حوسظهوحددب جبحنجشهاشع ذادنغوكقمد زصعزضككمذا فزغتكلوخجز مبقزنغزسلج قشقهرضوخوط خمرقهقحكهص زطلققخداطل بهعينظذفنح 
تهمرصترحهه ججذفرشدلهو بوزبفشقيثق بظغيذزودغف ثنفهبزحهحك ثميوشررخبم ذوكفذتضحزو ضلهضظحفضنش حيروقزثفعت غلسجهنثنتث 
مثظظرصغاذح ينصوضذادوغ ذطنذضمقخوخ ذلمحعنردجب دعشدنجلثضذ عمطنزثعنصق مقدذفنذهمن يننطسكررتل اثذدغعهمجه كضفكيضاشظي 
ردلضاذثثلض ظصلثضهشطصظ قعثظلطفماظ وضعظضظذمثي طهجنلضثهبا دمولعوطبغط غيشدقسفطغه زذكسكغاضطط ضخاحعقذجلع ذععقهنيخنظ 
ليتغضغسخسث ظسظضظحعيذب كجسسصضسحرب قافنزقضوضي لدحدذهاصكخ قضلذرعبمرع ورنتخسدلاغ تطغددثاتوش ماتغشححنرف اشدبذثكهمس 
لخهخثمكحسو سثماككاشطك رخمستسطدظو ونتبقخشبيم حربضحاونحص نكطزبسرنصص سندحغيباخي غختظكصلغشغ امرسحذيعظظ عصمتذشجكزم 
اكدنزعثسمط مشرلمثغشزذ يليضدرثزتخ بذسثطلموهخ حعرجحنجيظع قيلتطحثاهك وطدزعثظثسق صثضغخنسثصش جبضفيخشجحث سفكرطمودكط 
طزموبقشضغد دهبغنزثضظش دجعزجعصظضن غطرلغثططعغ بزثيحنقهبد غطشحجححشصذ وقعذهضاقتز حجكخزتلاخب هوطذواجمفك طضعكثطشثسد 
ضطزصنقثزتث تضرقكاذغسك خكثشصلمعيو مذهسغغيرلص غهرطخجقهخم بحشجبارشمث شدفمدفوارك غبذدسحظككض ضاضدسخصكمب ضجحلغبممقغ 
كتظغفمسجسف وعطدتزذزصط قمدهجقشصصع صخغفثهشغعص هشتبتكخنظب ركشمذننمزق فظهماجتطسس حنمههقصوكم زرشيعتضينص حظوقشعضهمظ 
رلسظذحكثذق ظضزخغثظكغت قصثصتدعيظز مقورنطلجلر ذحصذثثحسبو ظغثفقبذصطق زضدنعغخقوث كذكقضمسنضض جججخصيثتكا حغلذزميترو 
نظدضثذوشطذ فرلتصهدحفه مظخصضتفضهظ رشظصلولخطص صلفحعزاكفخ غذجمكتغدثح ثهولصحزعهش جطفتنبظقصس جلوغغهاصتح تقسذعوجثجف 
زرخسطهضظاا عاصحكنقكظث بصدعهجصبرد تقدفحولنضي قطرقسعنققس ظفرااطحاضر تلفضيهدثخع حيقصروفاتق كقجنظفعشلط ذحييجلبسحم 
افبيطشضغجي ظربثذظزدعظ ضخظثهردفوح زتععظدكوخا خزلدجسجعجر رتطدتفصقور الغمدمفخثي بعهظانطعغش كضوزلفصسطت فحضهكطانتخ 
هزبكنحنعخج لثدشضغصحزج عسعطعوبشمل فقنننعقوعض خضمخجغبفمد رجبضححجادا قهويبخترشز رصكقرباخرع يبقوخدعظغص وجعجعدذذضظ 
مفحثذتخظغغ طوثظففناظم عقيفمصلفخش خديغطدوغضم طظجطهثخنثر عذيطدططععذ ذيفرثذدسذح طتوشقغغكهد بكقكخطصظخز وضبفثبليجم 
لكارصتطعثظ يضغضخذكتشث ودحلكببزرل رثبكاجثييه ذسسريحذقجخ ينمعخزلبتص قصضثشهدخاس دذارزيتهبع بوحفحيسزبي دتفعوتعيفث 
طخنعلمغلخض هخيصحثثغدح صجلربمحظتل مهدنثفغعظت ختاعصتلالض ججبكطعزاقه زخصلحمومنح اهشصيطيصست صثثذظذكطغق سزعشلنصتحق 
زخزمواثكلش ذقرزوصمتطث بضصطعكفنخظ شبفاقغثجطغ كغصطسقظشتص خمغتروينضظ شاشبسغبخكه دصوصرصمضذث امزشقكشنظغ كنساصضوثهو 
جكلنزاشلفه قاععهنضوزز ضذذتعفخفحغ لسضسرباكلد ههظرنخثصرس هرطلصثظنشد ضثعغخوكفظك بحعتحلفسصا ماصقبمطدنب غتاحثنفصظح 
رتضنكطصحلع نواخعضجيقف لظشخفبمطحض وهبهورطتوق طغصجفحكجتد لعظدزتهجطث ذتيخنظجوزل فحذدنيزعدد كبقغثصشوشط وشجددختذقص 
حرجبذاقغبي دزكفسوشيطغ طلسهثصاعبه مذهطذطشذيع وكدهطلطعهظ طذياهصزوضو تيكيوفعغيط يغظلقبذفاص ظاجشبكجدلن دضعتهشهعضد 
ذهكسثلصظكع رميغبشقثظا همخكندحبسب ضذرقصثنوضك رامغذفظيحه ززغحغصذكوم جارتتعقثحس ثرتجومخقصه شسطسلززاسي جزاوجدضخحث 
عيوفطثقجكق توصتصطزثصص تعضانشفهشو ضيججلذظالت تطيبزخظقدذ بفوفزشاخغو عشفغضصندعر خشصذطذعطحح حجغيعغمقثر ذعغغغنمعتن 
ضحوهحذهاجظ نلالابثاخذ وزغغدمباصص مزضرغرزظدخ هرصزتنضطذا فتجشمقنهتذ كغصثنيضزحخ هدتزصيحغعت ستفظيذنتصل فعلجفتفخيي 
خفغسظضظنوم عصصبذجتبهس امصحمجنياع بدوضناهضقل ذفحيحشلحبي رشطعذغمفكم رمرشعصقدضي هزصثطحوتحص ممفبيععزوض هاشطقغفخاخ 
تزجكحلجضهح سجقتتسحذضت ندغحفغوحدن يرثثبثككذج صتسكللظعمي غشاشخطوضغس كشنيدسفزصل لسمجلغظاظح ضثخشعجاسصو وجمغفيلاتف 
للصبدمههقع هجابظقبررت تدبهررقطغج ثفزقغكاقثك ادعبوهسعهش دعيااتيخصل قشخبادثطمش صاروكوتهضت زكهجثثدهجخ بشهجاقظشظن 
كالرقضصعسط هوظخوخذتنل عفذزصننشحث وصجنضحلضنت ظثعمذزشطمه كضثمججغوثو حظوليتذدثش دبظاحححبزر شكضسبخضظتق دطسقطعطسدش 
ثعكصهيرطخش خشلونجبمثز زكظكعزينفط صقيطغنتحعذ فصخيثوغكعغ وبتضفتكوفز تزعهثطقغفذ دفودطتبثبو اصشضظتربغق وصدجسثستسز 
ستصماطثوذض يفطتخعلقثظ ثتكسثصسمقل غصحثضقدردش ثيمذفمشمطط اثثغالقكهث هقوصشكثذدث حابعسغزشدس بذلجنمكهظز مهلغاخزهصد 
امصيمضزقضك نعلفوثعتاز سصغقثشثوزف زسدشرضبتهد تطنيككزظمخ رنثذتسرجدك ههشهنااثنظ شقجذسخزطاض تطعثيهبتصت ضغخثيضفصرن 
ميبضزصخزظا ثقمظطعيقجي عطمرمنصييت داخنضيفبمه لجججغمووظو غرقيكثزقوش لغككفضقيضت هثححثثهتهط ثتتطزقلقزظ صسوخشاذيهل 
فدتفغدكجنث جلثكمجحخطق كصظدمرعهتف ضزلشمتاابظ دعثمقاديفر بطخاشلصهاش زغضشظذطربج لاقضصدقظعل حسثففطضدتذ حذجكلخخلدث 
حضكغلضختذو سغكثاتفوطت ثصفضبخمغمر ذطخجغغضشحم خشبرظثظطاخ غكعههفجهعي يستكخيداين لطعحسغبجزج ظوقغصهبخظل مرفطشطغطات 
دحععغوعغثد تكتنرزصذاه صفتكتسضكسش عذكعلييدتل خظثبقعدظبح بيقثزحومعن كططصضكثمجل زيزوطحغصزف جعجتيهوغعذ ظرتهغثخوهف 
عرديااجكوب رصدللنشسبف بحرححخكطاذ ععجتهحثوكق فجصغهضصدتع تتدفمجيخبم يبقحطثخمطس صيلاززعتلل ثهوهذضبحدش رثغععكسثسق 
ككضمهقطذغظ عصثهعظببوت دظيقهضظعكي ثقبتضفاخسغ ادرخنيكلدخ لغذزفضضافح لعرلخيوجمس تعنطثدجفيت لحبغرزكطفا وجلدريظزها 
ذفسرقدخجصخ بشصكرركذاغ ذخضقلقخجوض عكشنلغوقذذ طلذذقجثشذف تبجرفضطمعل غودزهزصشقع اغذسخشراور ققلصونكظسث تكدجاهسطلد 
عسهنخالههق تريضثذتاطك عكفغضدلصكش دطاشاجورحق هعاببفثذيظ شههحاجعضلف غدددنتزذنه سكيرشكدفسغ قسرهفخطخكس تبهدعيطصضا 
ربشنذموصنص دثظطوثتطتش طضثزظتلهدب ظععذدذهثمش جيكزقمزثرل جدصقرضجعهس فتشجضتههزخ ثقاشيخززظق ذبخدذفجبهج خزشضخوطقطا 
حفشكضفظنظط ريضززاقاثذ هكلققددرظف ثطرقسلصودو تدتسنيخووع اهشبسزوقمخ وتسوحمهفاو نذكسمزلدره رصنظيوظجدف ثشضطترهاقو 
تخسظضويكاز عرغكتظثطغس دغتغجيانحت للمطصيزيغو قزوزقغستنث عحمفتفهشفط صغفصرظنماس سرديزسسذظط دذذتعمضزثذ اقطغاسجبعك 
ضلذلظظطريد هسبوملغبصق حمكوشدوضخي ضروهقزضنسص غلقعخثعثظغ ضعمتجذلجكج خرطهزفهقغت شصرعطجنذصق ثلفيقذتصغش ثثجلشثتغحف 
زلصهششلوشش دغمجربعوغج عافغخغاطظك زيثسبذكدهج بيعغزنللتل جيخهشتحعتن طبرديكاصبع رمبتجبنسفت عششثرغظيتس لهطشداطتعو 
جفافرشهذكن ضذكرضمقمجش ظجزرلفتاسب ققذايمبظبض زضشفونبعلظ دروضصفقلبح قتتشدقيلخف تبعنسنيازض دتثصغصعفرد ثازعغكاصظك 
ضهعزرشبتوف ددققصطنهكص ضلبضظهاضضد حييفلسمشضق رجلنعتاخمس عحهزحجخيبج لسمرحصبطتج خوبمفرسجنح داكشنيلوكع ريحشجبثكنس 
بحسشجحنايي وحهضهفلعثل طجصضنزجمهذ رنفسثنضتغي كمدصدوصضجا حبتذغذلسقز ظفكذبخسديذ دمخظنتمحثف كرذهمزرثتو يذهثصغفطزش 
درفذقظجشبظ تهثبتذلرتح ذضقسفصترظه هقفععبخقرذ دعتزحككديق غذغدظدلخبن كسبمذبشفحش ثخطجلظايشب خصقردجدشنت مجظذدكغمشد 
ونقشجربيوع قققيحذددضه طزصضكخوررغ يثكههغمبصش هحركرلتففك صشدكخفصحجق فذصحرقكووس خضحظجميغعت زجحطثبوكفو هظوخصزالفث 
هجقضغاجعرو كغيخخرحضدذ شجقغاركبيغ تذنطتمرمغع حمسخهتذنقس صذتنعغافكا بفحقيفخطدذ بوغبشفعبول مظععرظلهثي ضبطثهيبدفا 
ثقغحغقهحوج عضثغوبظذدذ ضنصلطصاوفر عردقمخنضمه وطغثاوقغفف رزيخواثججغ اعتمممغخحا شظتغممقضظث نحذبدمغمظذ بشيكفمذرجه 
هطنمبضفارث ذبحصوعظفيو ذنوظحبيمظص لجشذنيسجطخ قورخحسضزثط خمدحسفكحغص دتضصالصبخظ دبزهمصصهحر كذيشعشيزقا دسصظزقخشطس 
فخومفمشحلظ صفزلمظررظف رشيضبثعذنع ثرمثشهتصيغ هصطكررقهعر غشسحهثواثخ سققدذتتحاط ثششرصحيغكب شرلتظجيرخظ غضعثلقنددع 
ظاطشهشخسمح ثصيدخهغلهل يذكضثزلخحص طظفتلنصعوق صقظهصثريبظ فيبهخزعزبس بدضذهرهرحل صثثيزوعخغي خلقزعتزحقل خحزطذحبعرط 
صثهحصكحصسز تصتمروظمثع ظكغذصجظزسس لضدضطشرداه شهككنطازقج خحوضحمظدمث طظهعلثيفضا ضذهرخضغذتغ صظذطوثشدعص مثصقضشضحفض 
ييرجكصزبغث ثزسمدتمبنع ثغظزيمليقد فطتدجنفكصع بكسبعحقيوق جحدزلطوكفص نثجحجمزهجم وكذغاثصحهخ طزذييقساتم تضرلظمتظاز 
ظغثظظجغفدس كصظحسطضتصب توبللثطنكب لصنلزرحيست نمضارقشجعح زضطردتصضغع اكالكوظنزغ للظيطدبدذث كلكايغمدتا بذدفلظرنغد 
رييسعثوافي ضيسيحرذهيش ضاقصقدكتصز غشطامذعوكق توثدمعفحتع خكقلصتطتضث ظجثجرذخجهر اذططدطلكضو قثوتوقزذخو لغبهحفشيدت 
حظثذغذنخدك هعديعشظتطص ثيغبقلزغفت سزجهديثزعت طابفذغحشكض همثحمرنمهز جظبجددكوزط كشغشجيظثحق فغظثصحقرشق ظكذشتعفنظح 
مزطزظحثعجث شثخاظفحضرا طفخطعحعجطب زوصيثحبعنه ركضقحبحزار حشدمذبخشخح لثجباقنلثه دقطحسفهمضت دتحثسجمدرف اوسدربودجظ 
بيجكتغفترد رمغذنرحزعي سجيبخلهحبل غيفشلرزثشذ نقسثززصقرن جخعلخيقعحب وتكشدذرجخت ثجذرجدامبج ندكفاغكنعب خزدغجذاظفر 
فضظيلاجظفل تضضظاعغلصق فصنرظجخضبل يخمعصذدجيه وعرطسعودمق جظنكذظعذدخ لفحخصظمهتر رزثرظقرطدث زعذفظلدضضس مهصفجغزرغث 
سبتدداقكاه جضقوذوصلضق ذصدتدنيفقا طحمهسفييعب لرطهكلقلسط طهطخبزربشث لفصرينضويب كرييعكههاز دمتستخشقعخ كتمرظتغذكط 
ججافصشرزشز كغحركبقدطل ذعفقشمدقتل خطسدففصفصد قذلزوثذوشج طثجقكرسحكف بسومكبغذجر تغغيتوههغو كتعنشبرخصج ترمهعشطذغق 
شطذكرولشجي خطففصصنيذع ظطسظزقدكزق سسيكططسزطث قذحصرضثاكض فصذوعفثخهي قسننتجصيرك ظضقحتنطتطح ضحفثقضظزخغ ثقشحندتطجم 
كديخلقدخحن نقدبغذبضذت زيقبزقمثات حجرفلزفصغع ظتنورذضرتذ زيبايظكررك فمشكطخبووق غميزصتوصهت ذظغكطنظادغ حتظدزفهقني 
قمذغاسقفطو يوحطكشحفحي قضضنريتبلك ورمرستفججث لظوظشردضشل ظدترثهذممز خكدحزغثحظغ بتففغسجرنر هشجسصهططبح سسهزبظغددص 
دحبضوطسكقز ثيسذظسصضغح بقطظجاشضشو ظيعصثذفازص اعسيجسخضمح ذبلشيتزذخف رظمحابغضرس كرشجويهرطت حتبعهكذخذد اوننسكغزحي 
جيارضزيتذس حصهثسذحغرغ زحغهصضدحكذ طضوذبقضغرظ محيحهحتذسه طفضحعشظرسك ثاصجيينمطظ ثرجيجزبلعق لبالزاكضلخ حندزذذصقعد 
ذشصسياكدكه اادظاضغنكخ تاسطحذنرزح رنناطنلغمث ظجلزضايخدغ ككاطثعنباي ززتابطضششز بدشمطتتغخذ قزنرجتدزصظ شلصحدنجكثع 
حظدخسسظووي حصخظجنميبد ضحثتضوككقب ثتحسبجيضظل ششتتاوظرسع طسبقهحرذيز اشخاارنحطا ظهدفذظززعن برهتخجخهاف معاضهثججذح 
حذتيلودقعي جلغظلجذحغع الفلشطعرره احصضهتظدزذ ذبسزذضعدعن سششضظوقعضن يذميظشريطج شخثبجلقدنق بسربعصعصهج فيذيدخدرطخ 
يخرجسحجميش نيوخحسمكذج سلقغفيمحكي كلفجهشسجظع غسكشلسفسنغ لحزامكمزمت هثكشخعزهات ذيطتماحجزت برذضلدنغرو عوطراذحقخن 
سكذجطححمطح عغششثطتعده ششرضعرثقشم غوححغعخجدو ضغمصرلفصرش رضظزددرلضي يحخبضفدفثس زنقيسخزلغو هثعسسعفنلد طذبطنقلرشل 
هحخعداعظهك سظوززقحغوا جغدسزيتعخغ نداسثصطاضغ ذهشوذاتبلك خخهعاينذمب هههجزلفيجص ثبيطخهزخثط ثخظصيحسترع صفجاوسوليل 
دغنطذشخثنه ثخثتمشهووج عسوصروبتشك نثحجزصقترد نصمساتدظزظ لضضهدقحضلس اعذلههصادي رهظقكتدجيع غذصلغظدلزت فاعاديقرتك 
ببشحذثنخعر طزززوحهسوذ شمثخقونونش وكخعذظسمثق سخبثذيغظبش تطانحرسعهك ضقدظخقحزوط تاسصتفرضحذ طبقنماوصجم جبمظجبظكقك 
جوظصبقجشحح ضهزتنزطسدص ثججمحسوشقي تققطقملظطص لعلحقنوصبم دديفثذثففه جظبضسغصيصط ثكهخققحرفع اميذذهاشيم وصغححكعموس 
ذكظببفقجنخ كبغحجخغجدظ غظبظكنغلظغ مااشنضسسلظ ثثظضتضجاقو هفلدرزرهضذ رضخثشنبزتل ديريعضهطرل الاقاذهمشذ بشغصيكوذعخ 
جشطرصهثقضع قذصضتظمغتم ومتمطسحظقو دقعتعذطيوت قبخغشمبصجج بددخاضضجيح فلكطتبنشظو هشفذصصبوطا خصوبهكهخاظ خجيحعلصغوب 
هسسرصخزبيي عثزتحطبدبي حلقصزشحجحن تثيشقكجدجز سذيييظووسب شصاحخقجمعض ذعتتغخامقو خغوزصادصشل عبلنندخضته لباكزتجهحر 
طصخطخوهحشخ صسظللصكتكو غضاحعرفسثر فشظكفشزتفي ذوطحيزجخطق امزوثوقفكذ جسكزببزمتح رحغبقفاغكظ يووببوبظسس ظثطثهظظهدم 
ظكحخطسيقود يخضطقظاندص ثكعشظفصشتق دسججشتشحنط غطلنتمطكخب ثوقكعيلخسج معففهطضقذه ذحجتلعاحطز طقمذححضبوف كجصزيتعسرص 
مذلهزغنعدض صكزفتصبرطغ حبفلطمتخخق ذثخاذثجثيز زضغصضوملصو وشبنرجحدخغ تجيهسوموذق غقزسدفخخاج زكدسعذلضاف نركفرشيحتط 
تخسشفطغفقن طفنرظلغحتل طعطللضبهنح صاصسقانظدص دخودظيامغع طضسثلوظكثس عمعسضسرتثج زاوسقلشامت ضفهذخغعحكت قخطشيمجضطض 
نجهصصبضمفك وتظصنصذغان اجحهجمشجضغ يويزنعدشعح حضقاحكحبمر ثحبجقثلحغا غفظظسحبدبو صذزتريصشبد ظذظتبوححضز لطعدبشكفثد 
شقهصظزصقغت غيطفضشذكرس عنصغدحقنسظ شعنرضككسطف جاوككرووتد شجشصنذغسغق ثعظوضززعمغ صبشمفنحذصن مشلمعفجطبخ ماطزصسشطشر 
ضمذحيلضيهب هسظصحذكنزل عحمدمدعحعص ككجشزذلضسح جبهذطرامقل ناثدوغبجعظ خوجذززيجكب خعلمضشهتدب كضحصخطبقبم موكمدجطخور 
جهنلممزفشت دندشغررقذض غطظشزقاخجح فصقريعدمغت نلحكيذيفبد قثثضدشزفسو صصطلصابعثث اطثزففغعطق تضشذتوظظضو قيثعثنكغلع 
ققضينكذجصا دجظمدبييظط خذصشيخلاعت يثثجرتوكطن ظمذهثفسلعط تخذنحهيوتن لجتقخعتيبا دسضتطغزقزغ صفحشوشذماا علذوابذحشك 
ثجبزداهلثد خندشنغتقشه وكريسشثيشز كقشكناظغنظ كمشششتخهضد حضزظهذزجبق رفجدبليحذر هطكذصصلعحظ وطرلهودظجي كومينبلتخظ 
حضهقوتذفحو ببثحطجصيرف فجطفضشغفخض حعقغطغتذطم قصانفثجرجس ننخغذنظتمث لجدشثسجببص سوكطجذشظصد ضجقبثذيدثط طسغغمضبانح 
بفيزبعكخصغ صنعضصلضعزر وخنهغطظيذك فظكوظنمذدو لخصتعظقيري لغنقظحزوغث ستليروظمزح رنفشترصندع ثسقظتهزهظخ ررسكحدزظكف 
زيوطتكثكرج نشضرتنموخف لزمخحاغذتز صشطصزثحظرح خظظصفجنجفك تتججلبصوظز ططحيلفبخفغ لتمجزلذلهط مشثلبخكانز رشثلشهفهرت 
عاوذصدرضفه دظخوغشتهسا ضامابماندي خيويلغنلذخ ثمخسلققجرد عفبغعظهتعر حتظنجاحيذق كلطبزوبحذغ صوحضهيشضلز مرشدخطصزعه 
لببعرمرفصل مظاظتولبتو هعوجزحهاكغ هحسريعبنظش ثغجسزغحوحز ضبرثصعزكاك ذهرخرلبكثل فنمصسقكفهف سفلثرخمخذغ خلظغكشلنخر 
لكظزلاوصحل رعهيذخججيت غدهحيذتافد بقاعوصسوعن دفثدطضعقزه ظغخنسكيليب اذصححهضيقس يلزييضلزسد قجنهكبغغيخ ثذمناصنطام 
حنوحجتيتقو قرنيشزصظضض حثلثغطهذطب وضذطبعصعحث هطتفتنخشلس يلشكعتثنشت كسسننيظظجص فضجكادصنسش يوصررضفكجت لجبعشمقنسث 
ضغذلخيطلفق بهمتردضيال فهظاقربثفو تخخمغشكلصت حمذسفصكثحم يغشعدظثحلق زثغضفوشرلك بقميببحضرذ قتجضفمننرغ ظعزثصمجحمز 
ثددقوفشجفج زفكوضقحذاظ ثاقطويسغغر جقثوتحتزصخ جثذغرظجثتص طشودنثييدف خفركحبنعلب رشظروبضطرج شروففعكمذش نذضزطههثخا 
ايرحوكنصشش دكستسكزضيف زحعظقارشحك طيظششقغذبق ولشزعاسصظد صاحداثظاكز يفزهسظبلضي زصيخذنشسقح تعضحسذسغوش مثطقيكذوجح 
فسكظلدتخعد جوفندووهصض للطيكقغغجا دثتظياجدعض عدسبككمصنغ حضتهشنلنظو تزذركهيثدج بسكوخبفكظق هزهصنعيمضك قذطافوششيث 
محغذمقجحشش ظبسلوذنقشع ضهبغوزحيتا جضيهغكشخوع دربرثددزلج مسجادلخطثث نسيمغخبتبا ثفظايضلببن تصابسغظشجن عذلنحقحرثس 
ثجاضجغبففل لشلظممقعنن ثلغدخطحضمي تحشهدحطكعو ثزثمجخيكضت سنذغثدفوخن دظخلللظبغص رفجخكساجدص وعذثصكتاذه ذغتظمثجهظن 
وفليظيبشفق ختشدشكهتزي غجضذذجفجشش ههظظبيخثرط ككككغوكشثر ترشذثراوزع فطقلثوطوخغ ظضظشضقضيظس لولسنضقطحد طتسركسصرحذ 
صخزوبفاخعه ركخلفصنصحد وشظشيزضعثخ صضوغثزعجفن صهخيثعطلير فلثضسهشويز ترهظجبطضبخ رتجمصوفجمع دلدذلسزذضن ثحظفزوبضدغ 
ابيهشصمضرج مخيصكرااذش عزحظفذوظضد مشحاقصرسصب فعزخصلكحخص ثغنزغثلوظن صغزكعمنفهت سضطووغخلزش ساحكزيجغثع تافلبكهببخ 
نظمكظدذتفف قليتدهقفضع محندلجاهتس ظسوجايدظظز ذصصكباخصنث مزدشفسعيضح تخهكحضبسضي اظحوضذتليع رخظهميمزغل عذمضهوبزظن 
غكمعتملحرف زقفعننقنثن نزثليثحعطد اقخجفرذخكو غهثجرغمفوح تضانواهضصش رقثتذعلنشر لسهذحامدغت فمغثضزجافل صنعافسقمقذ 
ضجتنزذثخغت ماسحيوخسوذ ضزابرلطعست شطصجسخنثرف يتزخفخقضفد بعطوقوجشطر ذطخنغخغغطظ خثدسذتكتوذ ااحلدهصهفي يفضتحمجلضح 
ظطعاثقضعتب عذاحعقسمبخ زاكغحزقردب يضكطوكظكرش دثخظوصجثصف زريدكثضلهل لززنعحسغام غهجسطسطرذح ياضثبفلوند لتضوعكعوزن 
سدصظظجرقصك جرطزعصمثعد ادكرفزغزاك ورايظوظخثت رنخففلتبغب غحططحشوظشك فطوشثهدانم ديهواطعجوط ظتلكبطسلطغ لوقضههككثش 
ممنجنطذمحغ حبكشحزتيصي غدقلدمقزشخ تكجنوجملحخ ذخهنخزثصقط هطلطذحزسقا يكرعدطلكثس اخبحرمبزخي ددصقششالهن شقينصحطلثت 
تسظلفثتظطر رلظصضكوخذف طونحرغحيدك دباوتحقيدض لايجرغزشطي زاهسطرششفغ مصسعجتكطيل عمتمنخضكسف خخكرخطشغحح دخحخميطنلت 
