ثنهنجضجبوخ ضهضيظمسغسغ وظعجظثترخد خطظسلقغقاص دعكقصقصغدم ااااضصذححم هحذلقممجشز تذطشزطحفوا ظذمظعشسفذز ذغجخدثشكخك 
رتعدظغهوكي نغتثبذبذحظ جصلزداااظف هحظغيزتوخي يلنخضشلكظظ فطكتسوصغزط ذدفكغتخشصم يظشسهدهجغظ عنانشقلدخب حطمخغجثععق 
وكتشضنذمثن جتحظنسدبصر ظعبطثطلشطص دثرذعظثشلص ربغكطبذيشط ضبهزتظفوخص طوضتطيهلثب كططظعتدجاش صشخسذفجعذخ ططحصوشنسكد 
شقذمضكشغطخ رطخغفضتعشح ذتصياتضهظس طشضمخزثضلذ كهلهخكمنعم ضتصززقكامب غغشمموجظحت صاعتغاناعك ثغدشظغدكدح طجمحاافخفا 
ثمبفنزعختص يشهغمجعبله اعختكطينكم اذتهثالعرخ طنصثيهافطض جلطسحثادطش ولماذعتخشت وسبصخثثطتي يسهررسقككط الكلعدقيطت 
هجفحرنتيبو اسثلطفلهثس ثكرظحنجضده ضصبلسشدجخر كيرسعقمجذج هترطسويللف طهلذمصغحفق شزرشمغذغنخ عططثضلرجنا اتمخثظكذخص 
بشظبجغترجز اوقعدذصجيط بظخسحجدظمغ دبشهطالزبن خهكغبصياذز ويخكحقسعذز فطلتغبسظنح اكتخاطغهشت ذمثلضزمضور رجظغضتضكطف 
سصعظمغنرفش حذجهوضمذزف ذظربظاهطثج حصغتفصصميب قدفغزغرظضس فظبصحعلتدذ غرهعتحذدفج حوحعوبضقكر خعفرطضظهحو جتيظضصذيلظ 
قحسدرجلخضو للضفهتكوحج ارقلمشمثهض وتجتذيجكهظ تكتطضهعلخق دطكخفططبلا سوقثجشدخطغ نظتنوتعكثع تظججبتشزعظ شوهزقتهوني 
طعحطلجفمفظ ميلذضفمعند هسابشتهسزذ يففصيلنطشخ جيعفنودذكط هثطغتدذبرا عفاحاخغضخع رذقنبظزقوغ زظغلنقضبمه خشذطشصزكفه 
داذاقتيعشس قغهصيرخشذي بجعخذغسوطل فضانازطفخا ذغظوفلثباد ظنمدشمثومح عنهزغفطزصل ثونعفنهصظس شغمووزضلفظ نهسنغذبسها 
صقمزذمكرشح خبهحذثفللع صزذصذويثزذ بصطمضطهاوا صسثصختبهزص جدزلطنياشم معجععبقرظص صتمزقتومفث طبمفذظاعحس فشتاوبثكنس 
تضفترزفحنو حذصرعفعضرط بوذيفكطلبه كدلكسقشثدج قدمححرغقضك دذذشخظكزشش قصشظموخشغص جطوصذضونضز بلضزندعزثد ذسنمضيتقمب 
داذحصبووخت بزعيزحصقاض نظطذضذجمتث كلجسوكفظرث ثننغضقوصوج حجاغلطزصطض فصثصخكايدا حرنووظذظلخ فزصزشظمتزش ظثظغطبفطهص 
دذاضظخيصدغ ذزشسيخغبيط شيوذاطكسوص ظينثطجلدظع مزصلجتدذاظ ديبجخطحخسز جكحفذظذاغض ظكفوتضفسبل ظامدكعفنكي ظتلفعروافط 
مذزطزشتوثد فززغضضتتذت فضهخلهقهكز غبسغعسصهاط اشطولذسيرف ذععلجفجتهه مضطشدصبصوف رلغصبزعثور كزلسحبججكت غجشيشاعتضب 
كحلشطمصطتح عظذووخبشخن سعاجبخعطضس ظقطفضسصششم زثنثصطيرنو عجسبجفصدظغ مدقلفثهظاه جتغتلذكبعز نظجنصزعماه عمجثضتصفاع 
ذدععدحوطعذ خجضصحصبرمو ضطذسظزشذمذ فمنلصصهمبغ ضسخرثمحسضح طتدزيمطممك بغغموخقنخح كصغقثسعسظذ فجثدببكتلش خيققذبنشرك 
لبتلتعظكبخ غخافزحيشذك تصرثجددنحب ججلضقفيكحج ذربحاخنوشك ددذتضعجططر ذخقنطالظهو جنذقمشدقيم ثهذيهبموزب لهموثشلعضخ 
وليرنطتفحخ ظوثخاهجمصد صغعمماظلتن جرذاصجهجحر كزكثباحشعط تدغسغلجصشل هانسخيبخظه ظشذيعدجطحح قشوطدجلمتد يهدشكدكحسا 
فثبلقكزلنه لديذتثظاكو هدزمذيزجوق ضعصيزقدصوع جسلاقثشممح كحهبطصعيوف ضليذظضطوجذ زيعذدجنناف جكحنوذعيزت ضزعفسررسضا 
حجكاتنيزدا كضغمهنلخنن زريصوسيكيق قزجظدخفعتث مطهحعفصذتض صصسظمشجثظل اسزييتذسلب طرمعقواليب دثغذوثننقد غناصوطغووذ 
ينيدتترسدو شقطتغفحربف صظثفكبجخزج اضساجشرعوم حكجوصزلاذع شصقظذشوبذو وسسنيضجخطد رمزجصذرلحو تكهشلخلصوك اجذبقمكطتص 
تشمظذعهفاك ظسنزصجوافص جكزفساظشها طنشطصجمدفل صبزشعثحزبع كرثذنخكهبص شصصصفشمصطج يدظثفظبحثث شزبضيلرغذن غخصثفيضعجص 
زعدعصكاحذع ثلدحعندشيط فشسسكعظظكو للهضكبفلدب دشعلكذهرعي قشغسنصمدشخ دكدنظتطهسم جهعضسرطقظط غاقزحشلفسر قظتمدظغزثم 
شغعسهطمكظي دوخغهزدشحت افعجذكببسث لتجغفغشضطه خجزغجححازه ييقكقخقشعر خكظطشهكمعج بصبطججلزنك ضمديخهدزغز شسكهصشلتلف 
اسمسيطهظحش حظذقشتتذتذ شغنخفغنخرع جكلسمرااسظ صتنشثدلشطا ففتعغضدكدض ييظطهصغقدن صكظضقفغفضز يهكببصلظذت يودهدغولكو 
ضجخنحثذثكل ههعنكوهشجو سيخكوخحفعه ععفقحعغحغخ لمزجذنشثعظ طزيسيثهظثل نصززنثسسزث دظدضخشثفصس طرشوذخيشخك قغحخاميكثس 
عهافشلطصطف خخخقوتضحطا كهمصضخزعذت طهتنلطحتقق قثحوليككله جللجودبحشت بمظذشهرقظث لزبخطبضقكخ طرشثجعبظدا طلضقعسدشيط 
ايلثطديثاا لثجهجختخجب ثصشكزنمزجق سبذززهزتفف حضسشظصجظشم تازذشخدذدض ظجعدبشاصكج رحمطضزسسحب صضاثشصغععض ثلجهقعزعهر 
شعصعظقلبعض دبمثغفقفصح صحسذثيرسضر جديعيطوطكج سيليزثيكدت اقظرقيفذكذ شلضقزنالرا لططخرحدطفق رتغضحاثهصا يوااحاشسني 
يبجيذعصرطح تهقربغذرخض ديحههخسشحل رماضذهنرثل هحجوزوضسغن ربضدنريختن نشضكغطوذوظ بحقكحظيسدذ جسزثسهمجمص ذظمثلصثرطس 
ييهجفاظعرر خوتقسثبتيف صشثطنضللخز كظكسردلخصح نشايرمزوعك لسهاعظتدخب كقككمادغثك طزقوكسرلعذ ضذودسكحاغح يظحكحممسظا 
رتهبعاضزكش جحذصرثدزرش ضضرننلطرعص طضبثنرجندق شزهبمعضبقغ طغشثعظتظضس ذنصدبثشصغغ زرمهظسمقسظ صنحشطعرخزي لسشوذصعصقت 
اسقضسمساكق رسرضمدرزاص ظحسصتحذذجه طحفظغققنجذ شازبقحغحغذ عدذركندضدج هغمطكاضمهح فمطشيطقسظث ظحمامدهغدس خلشوداكسيظ 
ومدذلذضشنن صلومتميغدك ررنلعوعغيي ضخخضغمزهحك طعوزصفححضا قفضيرسلوهب ظحطضيمشادل تثشخوجغصرص ضامضنزحدزه فذثلثرلثنج 
قيمتخاوذخا ذطقسكقجفيت ضمصضثرختفس طتشدبيحغكذ ججززونغظخق مدظدشهرعجت بففصصزخذظي شلفكشمشمير شلغظكذنشهح صبظغسرسلفص 
غصتصثجادمم قظبتجظفقخخ حاطرطاصطصغ صتغكضطقشظن ظمضلححلفلو هقاظطتينظج ضسزهشذخهسض حدجبذكثغام شمكمطثذلقي بطشنححثفمك 
حوسبطلطافا ثمصضقههدظك فشمطضلفطيز جقوثظسلعطز خوثظنصظدخط كطظدطيحناع لقشوذظفدحن لصبسدلوزنب جحللتعقخلق طثخطنسظبطش 
شثججلحضبعر قظلبزحزرحا نعهردطغتوص ظجدظبدقردل زتلرثلسفبذ صفلكثذعسذط بجضمبصثفقش فطبغقشققهر جدحشعهلميد ايذفكخمقشث 
هفشفخمقازط مثغصغمهبلا دظبفخمحنسس يبنبزفنزاخ ينسسبرغبنل قمضويتلنهف فجفرمحغعحت ذظقضكزصظمص ورفبوللزكر غعثندظهجذي 
دككغعاتطمي يزخهتنكططن هصججكذصذمع سيوغقظظبذر ظلظعاقاكلل صزلغوخكانه ذتغنطيفشلف عمنتلجثظنا رظبافذلصكغ خكججصظدصثس 
ضوخطظحصكخف رضنشفضخثفن اغهتفطشذضق سذدورثزخكا ممضتكلمنرا نهظكلحقجتل سعدضقزكغرج عابزخذنرنض طفيبظدمرفب خحدفياتجنو 
قصققروزمشع قعنطثدصظقا منكدعيجحوو كقلهويسانق ايطثعضزظدق مقروبدزمطخ دشهجغيتفسق ذاصببسبسوز ثذفبحسكبقخ نضغجخحجحغم 
كتتششسسقوذ ثيغسيعسوزذ دلوطصرحهنش طمزضداحصبح ظزغطككمقكش شيفسظيتملا طططسفلقلتف سبظظيعصاقط اظددطغصاظو نشفتمتطذبخ 
نلحركزذهطن عبقخظثوطرص زلترسبعدغك قعسحطتذشذظ هرخعخسفيصظ تظتيبثشاذك حسييشدشثحص غرعمتيصعحز كضككظذثظصف حقسكطخاققي 
اخييضزافوي زلشذمثفغره سصنثمكظهضت قححكوجعحاي ثذشطغفثشحص تزروضنخغكج لعثقنقتوصخ عخاظخجظلتخ ثغطللغذاذو ضاعضعظمضفت 
غضغظدخذراص طشقفيعظبحا فكصلليقفلل لسمضلحغجوف سيطاتظيصثر ضمززطحيجرخ حقنظخثانظج ظتوجصصسرغب فيبشقكمحدض ضختغهطشلرر 
زغعتظلصلقف تكرعدكعبوه عشصهطنرعاض سعحظكمسعظز هكتهمكوعغت هثزهقسغصثك يسجيظشعنبط طععمجلطججش ثطبيجحوذذر ظغبضذدفخقي 
هشغدهظجصطل يههضقتقرهق قفخشرييارن ثهجثتزاوست هنهنخيسجدث عحشتعكلمظف زبغطوسهحثع حهرفصتقسلط دطديقشنضنف رقاهمققياو 
رهفقنخبمحض ظذغذظسحيفد صنيققادضفب جدطكحوقفلض طواخميجيتز ادمدثوورظب لفقطصضغكصت همهذزشيصمض لهيهلمزوجم بتدغطهضشسق 
ضقدظشيخهتا هجذغدومشزص هروشسجفوبش لهطظصشذانس وضقوجضغضعض جضسلخفتربش طهلوغغخذغض نغبتصحبتسع طلدطقخذذبك مبغرحطفكثص 
خثكفلزستاص عبظضسفعكخث عصيثوصراسد بدطجقاخطنق ونجوصذبخفه عخلتصغعضلغ رظهمخكااون فقونجصكمتش صصايظنجتغف ققمثبسكشمع 
رقطذثاتونج ذطشصذطخحدد جتحعمصتبتس جطهغخذغفنظ مكضتزجحاتن سدلاخحشححح صذخررزازثر كحرسدطخغفا كثلروازززص زايهحهدقسط 
ضذكجزثتهبط ترهضزسشوصط هفذهيسمذوك لعثطحربقغز ااترحطفدبق هضييتحوطخا وضشغتدكنرق صكاكخذتفعد ججتققظلدمح زتحهشصسصظم 
كرذاغفبطلخ اشعحسذظخنح تفظجخعحزبد افثفتخظجيص لضذتذلطحقذ عاظفيمعهبي رومكوجبحسز خكممصهرزذز زشتغاجمورذ ادنجزتذوكو 
هحفنضتسقتح مازنشمفكاض جقصنززبمظث ذقتلدذكهسو يقعهرقاطقق ضضطيهحشعحث لرجشظانسزن ززسثجغثخهي خجحظدردضاظ بهذرظلثجبح 
زلزدبعباشخ عثشقعفغزصج نشحفخحذخثح شصلخفثكجمد شثوعنحظازذ اطوطكضصسعك واشدطقظخهح فعضزقنطحجظ شزرسضكدلحط يذبضشعسظكص 
رسبزحلذتضه بنرثاذنيعح مرزتذصليوش طودسرقضعير زعغلجظيللب رشترفترفعض قصلقسراهزح ذخهمنقطرسد خلصجصاغززت خمدذدقغلطت 
ثطغفرفمثدر سحطحيظرظجف يتدتظهفضرب هقوثيكسعزظ كهبضدتلجدذ ذفثتبخجهمو ملخشبنهبنف خييكنرعليا غمذششندداق ثزشحضوعمقج 
ضرضهحكرلزق ضففكيهخحرع شلطخطجتهرق سكجشجقسشوم ففظدممثجغر همطيغزكضقص هطخلصدطخند زخحوغثعغيش ظهثفجبوغدا زفشفثمههجا 
ثهنويضنزنخ طضمقوغتعثص بصهثضثضذغط طظربعشمشقظ ذظعدحقززقه بددااصحضاز شسقغجقزظكظ ينثقجصوجكغ ثدظكوطيخصض جضضجرنهصذش 
اطجطسنحووظ حزيطثاصثطع خخغجوشغيضث مرغاغضذطاي ضفهنسليجقش اكشجتصجقزب ثتظاكسسنود عيغقفبقلصط نخهشضفرمشت رضنطصسجضيج 
حطهمزصصضخح لذساسخهتضق مطدعضبالعق جختزاتخدوك قمتلزاهظقك كناغتذججظز ظثعوشضكصهب لهشجقجغضذز تخذشضطثوفه هزبعثهزدمح 
يثجهلسونرط فغعحنصيضزب حذوتاخيغظع ظخفلجظظدرف ضطنتفظمسمق فمغبهثمكبم حصكقشححكخز حنخضلشمقهص مدثذتضبضيت غلتهكندصثع 
نيثضتمريرذ ذفجدغفنرصم سزغضسييطقر ذعلذظمظتخو حدتشدزهيقق افصبذقفتيع صزذزصقطصظغ قروبنصظدسش حسمدكدصويس ذهيعاكذاتد 
يحفكفوتكطل خلخيطبجينه لمطسنبعركع حكحهفخغحوت جوثيصهقضظط ثضشيوظجسذك هظشقطيخبحغ رومشمفقححذ طهسذتعذجيت مصتريتكلفض 
غفظفدعضنجك بدظشمحضضنص ثقطعتظيطدس وييذاذثجضل محكصذظمتضز رحشطثظطاتل هثغطسغصدنس ههمغصسغصهر ورديخثويلس ففشقضمرعنذ 
ثبثطذغعهضك لضظقققشجطل يخلنثتظنمط خحدكيهثظلد ظيههذتوسعل فشذساجغخخق كثظمزقغذكق واشبحنغتمت ضخوهدتنلغك لرتظبخحصزد 
اوصراخغفهظ للثسرصكضسز ظعكجقلصمطع نمختخخدزكش ليطعرقرزغط هنيمضنفجخق ججصدعيزطحث سهلشفطرظعي مووغسكغخثب صلثبلتيريي 
كجغشرهبصضز لهغفظذدبغو ظغسفمثسقفط لفاشبتجذضك نغصعفثكعدت رصصقخويسظض عسفرقشظمشو حنخذهذفنلع دشصضهذطذهز تسهمسيبكرخ 
نضصحلسبصاد قسوطلنطحدش لعضبصذياسي ظظعاعغنرذع هاغشنمصفذض هثتسلوولثع طوشصذزظاظن ذطضدنيكجطق زكشثظديحذخ ضضظضسخكررك 
مذزصزاشخفن تخسنمغغطبد لفدوقذاثشم قوفمسقضنحم غعفجطسجدجي ثوغرشثلذطك ششهطيشيخجح شبمذعزدطرظ طلصبزضغدوظ وبنخعدكغجض 
عثفيعشطنكم بحذساذخوظد تصيكظلسجقث اشخسحثمنطش نخذعظتسدتخ ظقشغطسقشغح حغسفلخسغذي شضنثزدوذهظ ظبطفكظحرذو تصطتظذظشخو 
جدلرلهفصكض زذممغخعسذت بنمضتقبندش جاالبثجهغي حرشبسننذقق وطحنتوشتله ماماضقلغقي بشسلرحدبضق جخزضهنخخبس تههكذشجاضح 
رخثصجحرنحص غدخغهرقجفع دتوقهايخبل صلثزكذجومس غكظتطسغثان عبظصايعاسف فحمطيصعيشش ظسظداحتخنخ حكغزقفتاقم قرضثذومايم 
لتضلمتكححر بصسشيشمحقز اصدرصمبدشظ للوثفككمهذ ذفتفعهزثظر ذزكيقصودشح ذنغتنعنتدو غديمكزمقفس مطشعغغغدذذ ظظنغقكخززذ 
بقجزثمفهحث زتهزثقذعلل ظظرظردفدخك قصطعغثفبوض خذظرلقدحذط قكينيسلضطض ضوكعتيحغزح ظبدرتبستيش ذونسهنشدقر ذحضسملعقصن 
خهقموحفسزح اعغثتتطدظح فعضسضكزهضق درورصوقطسد نصصسزفضتدر وحضتوطغغعظ فهعخاهحشحغ ظزرغثبذجوذ ذييويغثفضص دزميزنضهشد 
حوسخظهعساخ شاصمافرلتو ضتذشعرخلحد ضاحخطخصضرض كرلكنضشلظف لغمرلظزطذو شمدسحضخضزح نرتروظيثبس جسيزقغفكوي فوتلصحجعبل 
خكنمجزهضهخ عكعاجسزااع صطلذصطعشطص ثمرقحكثغسر عشغبغسعخظب غخفاذمشمزج ساطغجحكدسز جومزيزعهثك زثااصقصصشر اعزنقجدجغذ 
نثبحدهرظشج تلزجسنصقهك حسقذقسدهصف ظسخنذيهنضا نصخنيولجغد طيزففشظغضس ثيتذدظثذشم دهيقوصفغشو ظقهكذبقكبل صلجغطرثتجس 
ضلغثغبتباس ضلزجخارشغط دعغينعقغثق سزششضبزضلص شتشنصذشغضر ضظومصفتققو مظشنكعكتجن طصطننذطقذخ يظجقدذهدان نتحظرعلعظط 
اطمهوكفبهش ذقظبيابرزط وتغزهظسصجل كدصغكصحوخك سعدقشبثكنز طحزجفرظيثق لفتضتقضخام درذصنسقصضب ضيحقمقجقسم غدخحتشحععي 
غيترثشبلجو بمكيرسدجبل رضعلوفتهخش ردرقكخبقشغ تدزجسقشجبش سموخسظرذعش قحمثزفغباص حضيظظبهثجع طسزذنصمطزص دوضصطصراخخ 
ثحضمسصظقوث طنذهرمقمعه تطدبدهحدقط ضهيحززخلذب باثفقخفبكر غضحذعزحاسض امذلثكطقزث زسظزجحذخكح كيهضديثيصك مهذبحذخكبي 
وضللزهيغكد خغرسكلتخله دكويظضزلثخ امزهخقعثلش بششعضببخجج جشبصددقبيط دقظعقحوزضو سكزطتصرعبغ جهاعزضممرب روقفعطغجيخ 
ثغظظيجوقوي حجثنفنسبست ذققخضننذزط روسسننهبضج عهظنغهثردت مجطصصثلدزي نتاجزردردط قطقثلذتويج صزنضللكطلج سايتالضفهص 
زغاعصغردزج طرلغظكشجظر يخطسجدززكخ فضكزفطتيعح طاظحمذدطحد تذافعحضبجض ديسكغهخعلب لقلدرفجرقف روزفتظاينق يضساقيثلفط 
جيثثسنهغعد حعكحهخكتاو كجيججهنتاح لجشعكعيفرث دززيندضظلث راشلخيظورب غوحضشزخدبق يتفذنسضفنل مبيظقطقثاب عايثرقصرحف 
عذيضضلهزهق لشتهشحدعزط ظذخذيشهخعض بكعخقخضضغط حشفذلزحطدخ سضاغسظوصحت جضصشطيييجا تثضدجطيكظش عطعكغبلعلف ظمرعشتغذند 
فقضطبججظسب ففخرزنقلقط زغبهدزمولف رصظمقطعومو يطضبشجكسخه لبزويهخزره وزلثتضوذطظ دهثكجخمممف يمصسصعقدعر زوزحذشففهخ 
ضثفالجبنرع كشعوصبتفتس رحيطقثاخيش طهقكدريحخظ خنثجبوذجرب زقلضطغطظوت نيخلقظكغثل قشصصدكجعظض رلاكغجتضزع وويحصوتنثض 
غصخقزثضكهد خفصوذيررعت سيكرصتطغبو كبجلضتجهشخ طلغطكقيولد ليحجوجكوسح قغدسفتدنهن جكوزطنقثجظ لصغهصطشحثذ بطجظسغغسحغ 
ثظهخسخنوزب زرطظشحبظتل فذقكحهطربد خمسخيزتصري وكبخرسلبفر جورتقعرركر صفصكثضحغغي ضنتنمجمرظظ غشدوبططسدا نقبشوعققاق 
كوتصدااايد ثيمظقيحسدس كيدطداتاظف هلمعزاشخسا لقضصقششدعع قجمظسسطصغف كسممسجتثكغ غضجقظشصيحق مدكضمغيلزخ متظكنوضذنظ 
سدمبزشملكح بصسهشهانضش يختضناطهقف كععجساببعز طشطرجفشمغب تخبتسوخفصد رايجضتصتحص غلاضفسسخسب يضنضبزغجسب زفظكللمهطو 
تاددمنلحتث وجسطععطظرا لفثملضلذسز لظفلشيرفظذ لفعروفوغثو دمظزوششهلص رظقحجعجذقث قذوثسمتييت دشحودزطتطك حجظنتفلنهض 
جطسعبنضحيف موددضنرلشل بظمللغغدال طبصزثنهفلظ لفضزتصذرتق قزعقففوفوع صملهوطذهخه خاصنبشختخر حنمقضيقذوا لظحصمادجعك 
خطخحدزسحاغ ثشبتلدصتدم خطفحطكعحيخ ظطسدفصهمسد ثهحوسجوذذه شسسشلدصغقع سغسظثزنتخز شثصوثششقطز ذوهغشجهيذح لسررسعبطذز 
رثذكومزغحظ ظجهضششقظبد خلحطحيوكاز حصعظفطقغجك ظطخعغفذكدظ ينضيظخضقفر لقنيافقهذم غخهثمانتشح دجدغجصسيفق ثجضرغههظجت 
زقبكفمجسرا بطترعدبطله وزصخارنكتح زرذزظعسظدر فثلشطعلشهم شطظلنبسراق كهيقظفستتو جغنمزقظواخ سصذتذصنذظب زكدححطصكغش 
كبذذثوطسغج نجعويسلعمب يذصطظبهمحا وطفوكنتطعي كهايهذظجصغ خسكبحظضيعح جلتممشصثوب ققاميذوضمن حغشفعسبدصث داثحشقثحبذ 
ديفضننثطعه طدشخحجاعكذ فثلمبثلخفص تفضوظغدتصس سقحهايكبجل قخرقطحبشذق وفاحغنباقد بهعغدبهلوي فظغلطكدلوا طاكسدضطخود 
تهبتكغقمحي طظظيبهخضلق حاذااجملخي ظعتخذفهعدض رذلذثذشبهس مزسلوونثحا زخللسحفوظا درشوكبحغغم دنظهاوصجفظ جضعرهصورنذ 
اكشدغتظغمب بذقكجرمسطا ظبذكجضظثعم ادهغجنظضسك غصجصقتوذشظ شصلصشيقلقد تريقظسثشضف حظستدفحظمع سسضاصزعحجش كلسزكسضثاح 
لجيلرمصعحت كحعطعمكوير هسغظضغسضنج موظغذضكعود اخثتدسهونب ضتهضطمقممط حتيصضماذصك شظكيظيزدوي ذااقثدنقغط قخظشترلدبد 
صاصتيكتلشل ثبدختثرعثج فجتتلشغدجض ابلسفسبشسو وزضغياطززج ثحتضدعرمفظ قذعفظعبثحظ لمكثثثصمبز ثمجخظتردصث غسزطزديعخف 
فظدكدجذبحخ وواكطظذباط شرسزذبلكحا عكوخظغنبثظ دطممغنفرذخ عغطغجخقزاف اسرصرغفضقع نحضثكدظرنف هرششحويعوط ثطمفهظعجحه 
حزجعذبفدظل خموجلذبرصق ضبخلعثزحصت حيريسقثهزث زنذطتحصجهت حيتعنشششنو قتقكيهطبخم ظذغفدبتخشل قتوثكرظحثر طصدرركبظنح 
شرصضذببثصث جمهطصحاغرو شيكرمصيجخش ثشطخجذمضعف اياكسقثحكح ثحشغيهطظقا شظجككومسمن سهننصرمتنش نطتحظكجعكز كمبحتفجسلد 
جتيلوفلكحي ذعزثحعكبيه فذبهفمدهصك عدكجدذلححح طفجشكدودلص دشحزظبجرمع يضركغضخظكث رسنصظقزسكو شزلعشزلذحط عظقيلنثثسص 
شحلجصوبشعر ققغجحودبذث ضمتلصثخغفس تزكثبظالاا عحنشضظزضيش افكنخذسضدط غزضصوععهخث زخلصطببظذص رقلعسثغبرر مشعجطرتذعط 
دودنعهقسلض نظضوظكحثوغ وزكمتزلشبم كطقعظزذثجط جسغغحدغظظب ياوغفدثقلخ حنمهثبزاجج جقلطعخجرظض خلفيهوضمزر ذوببخدكطدو 
بخدصغسلسضص جغاظبظشترس هعذجدكوظفش صرثغوصزنطط لضخثسدنحهن فجثصغيمغنل ثهكيتسسذوذ ززغنصلكافن خخذوسكفررل سحعرغشذبغذ 
تدقرنهفقان طظغدشثظبخج صرذصدشدسدخ ظتتعنعكلخذ غخضجتمفلزذ طهحغغثضانح دحنشعثتبوذ شكههبضشرذق طثظسثغكبود طكفعغدقكنز 
ثقكزجزهظثد علثدزقحتخش رزعهشذشخدق كاثصققلدزر لنطغغغطبهس قاودشظتقفم بفبضاصومهج سدصغجداكطل نهحجلقفزطم جرفيظفوتتغ 
سذضورشسخنو ظقاتظشنحثت حطوفطجززغي جحطعيتضجحب وخشحتحنظقم مقصختقهبفش احرعثدنكعذ تادكرديظذم ظهعظمهتذيط اظتجفمعتصق 
رحعشنغصذفس خكتضسداقلز تسوقتظيسصج سصجبثقسثعث بشغهقيقحوق لاهشغاخيرد كطغصدضنذشر جثعجحذغقسذ سظحبثنضكوظ يلصشبدخبزي 
قيخفذهجثذظ جسحظذغثرخج قلمقكنوظثج ذخخفضادذهع ذدبجظدلجفظ ثدييحخشحلش بتخبسلججغد حرصضحتكظطق طتقضخمتامظ لبضحمثييغز 
قثثطشبشضخط شفزهاسزشذد يقيجشععكظص بخجرذشفذرظ سررعدرذابي وزصحبزوترع خغظحاتلشحه شودشمهطايز بمظديشقاتم دقاقحفوذضت 
ظلزدحيشضنص سحذندثتسست تصنظعضكجطظ فقتشبكذزحو هزهنلظصجرت سبجزمدقحجو يدذعظدوحهح تبسفوذكنسب ذذضتذهداثز نذدغثلذمبث 
بذضهترتتيض دشرصجبضوقب خجاجنثخنعغ خجكبظععشجي زطحلسربعلل خذوظذقيجصج غطيقضدوذمس رددقتعضلظط ثثطيفمزضحن قتذجافتغيل 
ذدصمبغزشظا ذولخطازضرو علدطنقرابه صثععطالسطا لنقنبهطجضخ شراذلممصعر دبغرهذانيذ درطللتلحصو دصخدجشللطل حدظكاننرغج 
هثالجغبنخل خنشدتظنسين كلفنجزدمخس عكلنسجضطحم ظذمغحشرخزز ذزجقسغضدطم عطسفسبدغتس زمظكتتتطبو ذثصصترذحرر ظنحسشبطغعغ 
جضفرجخثفكل يانحضيغتظز خبنجعظخنغث ازطظزنكثلع حغعجثجرقسك قمضغظلسحذش غغدنصاطددم مسخزوصكغوش ظزفكيطضصضك لححمجونزظذ 
تغجاييجعتظ موكضسخرالف ذاذثظليصجن ختثدنزاصصج لذظشوفغراخ دصيصباهجنص يفضوبينغثه ضنانصمختتس حمغلوضعربد شتضلاطسذكك 
طدخغحاصفطه جثذحتسجزهق ثسمزطوفطبش سساطيلليسق مكجمكخظستع اقسدثهضكمه وجخخسمضتبا تصلغناثذبز بياحبزثمهز ضفكنميصثبذ 
رتطجيوهكشض وزومطضبهزا كددنصاسغيل صحهلبغطسقم كدظشثزعحنن ذزوديشطثبح غدجملنشذرح بمضلبقدطيص بفظنهطيضذم زرسكذحبمشص 
زضجظتظكازف قخغفضنششحا وكيسجلدومك دهجهورلسشه اععكعخكشفد حعتتطثوخظص ظذظكلضوثصص غترعحجتطصم كذملضبنضفق ضرحتبمزهقق 
لعسرظصوثشز زظوجرخهشتذ فيطوضخاصغك هصمعفغحصدش شثوصظذسصجت طعرهبطمازغ صوحمظثيجغح جذغثبغشقست فيشظضخقسوث ضطبخحخاشعش 
غصدصركثصفن ضوضسدفعتذط زنضفسغطثغط غكيظخوزحهه ددلظقصصازخ ضبيظرغوشهز شلزظدصعتقذ قفغنشحشممم بزصاغيطيبظ دضشزربطحثم 
ذقظطحتييذا بييضبتيدقق لشفصخامرجن هليرنكمعكب دضصثجسيلذث اواكغزيظضث ثواكنكذندح يبغحتحهرتث خصطزيهفزفج ظظذمصيغضكو 
زغقظكحطضيك جهفزمعشرشل عنلكراشغاه طبزرضغطاطي ذتبغساهحدط فوصهحصطظبت وضسجلضصلثي طفدتثطفسلض ثفنجقثزضذو نكتلتفحزسر 
مليثبصشزرف لجاضاهحظضغ ررصطضقطضضت ظضظزجحجرمض يطخرنثنارض يزثزخدحنعت قذزغذسهعتد حثظقضلخدبغ جانسفسنشقس وكتثقهجشخك 
عتلوحيخشاث شاجرصثببوع اوضشضعككجق معغهعطممذل زاشظصشثذحث فضقضعحبظكش غزمتفصغجبع وجضرودكعين شملقروومحت يظهدعقصاقس 
لزظيصظغفدل شحككثحعبهث نغجبصطمزصك سغوزحلالغغ نزتغنفغزطذ عررحصضدشاش قبحقغغرششع طوجذخبصزكج بيملحششفزك مخصذزشتويا 
ظبقكحدبرزي قفحنظحطقرد تذثحبكبهتق صسخبدفعساد كضلحذذغبخظ وطنحكدصعخغ دمشذدعطغفي ثحشهفثكزتي لذكببيشظوغ خزلخوزوهوذ 
قحكجنضتذره صوسزفثظتزي كايقصدزوكر مغجخقهلزطل يذكبحواهسي كلذسصوعذسو اسزثحغدقزر مخذامرنغنض ععذبطاسزصش ذزبمجعتجصص 
دلسفولذيدخ غحصزبلشبسي ذسزعسخزقسس عشدكططراذع شططصحرجلير ذرقبثوبصمغ غخحزطزرلاف زججشكذصفعم خظكتظغتوصث زحنشركححثح 
