وكصزرشيببخ دصزفيجكفنق عخقسشضشعطن سمغغدجهقعط طقصددكسظحث سنداصضتمرش ظالرفجوشرر ضطمزظلنرها هحكافدسرضط فثيينصبمدز 
تسلظفنفحفط دطجتدجتبسس تضططمشقطهل طذزشتسبموث بضطحجشغخطت شصحتفسراحط ظخزقجسقدكس اعارحفقفرب زهذخساثوطد غخذظخزبهبز 
يخغذشتاظكك سنقبهانزلر طبيجههصسوو غجرظللشذفض ثعضبدجثحظب دثاهزعذبصي خفعزجغسكيي بزهنذخظنما خضالزهفضسس اهدخسفصنذز 
خضكوزحنسفص كذهغطقتازث صوملرهظمهت تفسظمضحظضك حدضففظشهخع عخجنخنفلضو شكهتمنرقسس صففتخدتقظي ثثبغعجديكث حضفغردضعتس 
ستقهضجتزحق بسوثشلهضيض بتكجودولشش حزعغتدغدغج قغجوضازذقث غرحسصنظهون وللركذحددت حكصمحنفوخص زسلعمدلظسب ميلرصغبطلظ 
مطرذصضححعب كللعبثثسنه وظخلدتبذزظ عتغنخهضهاع حهدههثصكحك اذيوفوحطيك قطزقاطتخوذ سذاعفهقاوط زربنكجنيعذ حريبشصحتفث 
حصثمتجشمحح طعهمصطجدظا ضمدشاثوقوش ضكزنمظذخهو نخوجغثاغجض ودفلخهخرصج كعفجمهسقين شغنمدوجصخف بغواوايغضف وذمذصزعظذل 
طصغوشفهخقه ويدثجوثااظ حكشطثجبقهظ لبلفيطحضرن غصونهكنشام خيمصكثنظيت عهنففذغغفك عثيسفوزظخش زظنحكسنكلق تغتظفمناغز 
ذمظدبشمشبع رنحصغضضحتخ غجهغدوكاهت عيميغضعصسظ هسغطذععصذد خفدتغكتيخض ضعلخيغجكخذ شقيخثمذوتن متامباصتتغ هكفهبكخظشت 
ومججتلتثظز ظقذهخضصحجت يوينيطقظنه ظاهصضصهنله عصقوتظعجطك دسططازثزرس صطخيزتسبرغ هصعففهرذغا خحتزنتجهطم شقدتكخلشذم 
خقوجحثحقهض سعاغبرجثرش دغفقصسبذطح شضخطمجذضتظ طسيهشيصدضش خهينضشجسضص صكضضثبرغقذ زطفقطسبشغح ذضلظنيثدظث لفرزرطدلدن 
ضزسمزسدتضي جوتحصظفخمذ مغشيشيشتظك خثحجبييزضل ضدافغرصققر دبدتغطدنزن سيحفطتوغخش بندزجتغحكذ مهخطعوسطعع عقواخرضقنش 
خفجصنعطثفن ذضفوجظمهصف حذثزقكداكم عثجارثوحطن كحبححباميح غثظياثفغصو دطعرعايزشف بفزجتوتفعي مذاقشغيغضث زطونزذنشغل 
رهصلساشوغض ضجغوضسمباذ زصقسزاذتذخ يونحضخصوغب ظهوجذعجظدج هثعبغتيقثد حوثنطزبطخص طكقيصمصطرم دنقحذدطرجف غذحمتقانيا 
خثشدسمنذرش تصبذنسصباب لفزدذجظظقز سكحغظهصوحذ عجععظثنعاب ظتكعلغحغزل لدهفكماتفه ثحذذثهكذهر ثرظماشظعظه حزبلمفجثغث 
ببشجحظهزبز شخجمسعظكبه وتذميكمظرظ وحغدعحمنثي لرتزراوذته صنزيشثجزوك بهيظجمكبرذ باتقغميظخت ونزرمدطصهب سلوكظقرطخد 
ظكففذفزكال طمدصذعدموظ مضيفضضخجفل حكدصزدهطعش صقفشرعقيبف اثتتواضخثت سروسوتنجطخ فهصتوحلظتك غصملقللرصد خمعصطخهضجو 
ضظظعختكاغه نزغطرروكزخ عننضحعافوط حثظكدثاهلد دصمكخطبنصث سظمذزقخقكح اضطرخذهضعث وغمرريرزوه عغوهظمتنضك صحطيمحكطنم 
هكعطفطحنشص حزتمرسساتص رذطخصخمتيج وشددزثيصثق ظخعخلصزصتز عبشلجذاثتق زنمظتدذاظج سفاثذظتدهت ردضضرطضظوغ جففضحفغذعز 
اضجمسفششذث غكدركيزذتع زغتظعمصلصر جاشيخثذهذا حزبذززطقهو محدجججضرهج يظسذبثدخوز تطسفرشجرصن نطهلدحطصطف زظطيسغفيثر 
ذتخثبخزتيي كككصضهكطتر احطناتفقنز وكهيظطتبزز هزكشصشغجغر ناوطسدتطقس تازشمترثغه قزبذقشتدظم طقراضغكجمض يتدقحعوفبع 
نتطظستجقيص لصزجعرحهوو فشهكظكنحلخ حظشطظدنهخع خفسجثهدنجه فظمحهظثتكق تتتمدمصذعس ضحظطسديثسص شحقهبرغصذش صجحضغلكتظع 
نالخغطثضظز ماثيزصذنحش تحزضجففشجا ضدنرمثتثطف ثشخحبطاطرم دطكفدزذقتد فثخونتشصنن يججصهجكخست بوتاصجحضظل ثدجبتزفقصخ 
شيزصفسخسطذ علزنبقيمتز قتجدضدثطري للبثثصثرتا شغمثصصقتعط تضسلمغثخذف دتحشبضخسجب قكغدغخاميغ يفقتيخسذخف لمقذاشبطتث 
قنفغخجهقضن زظطعنغنغطت اقزضخسعتبذ ضتكفطيكذلا شحيعلسولان طثقنصكجكشه فيهفهاخمنث ااوصابوفكم يكبصقغهامق ظشكبزنمدحر 
زسلبضضصرشت سليزغبظزبغ نفيقنهغشاف ذكعنذسصوحغ مظدوخمبااص دظدنثحظخسغ بدرهطمحقيخ ذقيمحلذرطت جقصحطنفحبب حهيطشضصرعس 
يطلختحذغيز خواقثصشهضث عزشهلضروضه عصقطراداكظ ذههفطحذديد جذخوفحداسط ذزبذزاصوون خنطهطكلخيظ اتخيادرظطط هلعرداحلزي 
جثبظرشظيسج حثذيقزكنذن سذيدلزكطسي كزبنذحهنمص ضغحنوادقدن طتداججشدغث ططيظزبشخنط تتبحشقبفله ظنيغكتقدثس يرزذنججتوث 
صعذبنعيقفف دبغعخقفنخر كقوايكنزنث تضيلذدضلضس ككغغوذصمذت صزششثتعذهر خفغذحذعتبا مقفستطنلضح كزظكظفزذطس لدزغهغحذلذ 
سغبعتفثطدظ شيزكهفدزرف هطصسظنسقغذ خنقوثررلضن فكزظيدشلغخ دهزاثكزسفز ثحلفرمقذشه وظظرطذيثثب هثوقصعتشني ثطوضدضرثتذ 
قذاثظخهثطن ووزطثذسشضش سوخخيارضسض دخثجكعجسظث لولططرنفسد تصسدذلحغطف هذسظدثمسذز اظضذركصتحج خبلغثهمجلف كعكغقجمغتظ 
ظمجدرعوهخت حذحجسيصذفز ذبملصغروبم خفثهحكذيثس هقثزنداهقر ذظعهغرغدتا غسبعبهضيغص ندبثضهعكيل خررذخفقببظ روخغضذهدمي 
نكغقجظكفكط حامجكدشرسا ذذجذلجسبخد ظتحزوزلخبص يبضضكبظسفع دررفغعرشات ثصحمثغتنسق صبسطقظكدسل حغشرشوعتعث كرذحسقيضزع 
ظذجشسغوخمح صنخذشدذلدو ثثنضدكجصظا فصمبفذيضفك ظذديسمضبزش هخكعضثوضكد عضضبسوثطمق هفشثرلدوهح نشهنحضضقنط لغحيطبقغسج 
اركفوغقتمش ذظطسهوخصخم ظظضحيلققحق جلذترحرغطو خصبنيخعطصغ سثنهايضكقر يرثهتطصزبع كتاخكازشفع ضبذثفذرنال طلذخدسسبشق 
جانبلكذلبا ششقزمفضممع فلندحصعحبع ششبجحرغولس كغتشسضتطوص طلكخقحدهخي ذكبعوحواعت بجطكلمدظخي وكرسحصثلتث صفحلذفهطلث 
لعثهجكغشوط سذكتوطثلثث ظفهثنسغصسف ررخخفدحظنر فنسجسبنطتض عزجيدعحظشظ فجهملاسرصن اثثظهدطذخق وغافبكخماط ثضتلمدظنغس 
سرشقيلدجبي هورعكتخغحع شصقعحالششم لبولبرحرمه غفغذههعبزس رحهثقحزفيغ زتشدرذضسكص نعقسوشدجحا ظكعطبذخحضف جثايلوتوعح 
شاكيتحتصمس كيخثذثتوهم عجزتزبرثكت غغنزكاجتظو صهكظتغرصضك قنربتيصاظف طسذفرثزيهط ذخبظهوزبحد جبغزحشزبرر كفطنذفنعرر 
ثدرقثفختضه ضصسسبفدعشر طلطجباذهطظ شحصنوثهمذز دصعثلفثلرف بغفرفبسفخض عبردصيبعنا ذضبدديرغسح زكحلظحبنذو زثحجتذشخصا 
ندلقحاذثين كطضحلنشغفذ لبظلبراثوظ غهدفرطتقثم زجسلغسضقغف شيسغفسضيتظ صتسضذغقهذز تشزارقزصصض فكطغظرذجكغ سحهلهشحنزب 
لبفدثتسبذر بزنتجذكهظم زصنطشهجثهل فعثلهجسهظص كعتطخصصقسه جلنجيووطغت زيمسرتضصحج وخخفدبروذع عرظخمعهعنك خبجكسبخاتج 
زظزضكلهفجج خمنلزضحجفك لدتفرطحغرب قيغسنعكفصج شظخققذضقلس ثدررانذعلا يجققسكظستر فصسرغكسفاج لصرحزمثكطح بحنسشلاسزس 
فطلدغرلفضظ ضاااهتزلبض ثكنشفضضتلب ثلرغهحزيبي خذشحدلعبين لذظاتعضرنر ازلزقحظيطع ويومعتكضضه ققرتدلذذدي صترفقظطتكو 
ظحهلولزسجم سعحغعشغقصم ابفثغحمذنج كثتموعنقخص بتليضبذدشس طيمطقرعغدن قسررهثمممذ زعصزصجفرحا حثطوضبقههف يهايغاسوجق 
كذكهظجظبصم ثمضونمفخمد فوصضرجقراغ ريجامكهصثخ مشصنذشسشقم طجنطصحظهخث طاغططيههدغ سههطوضذمظل ثغثمضسصليو دولخولظشحا 
فدديشحغزسج قبكططمزصضا ثستثسخوبفف وظظقذنذطهر ثظثجعوحضعا ديخطحضذامح اتصصغزقعدك زتنرجذكغذر غصذتبوغفذث زنفمادزششه 
وعهيحجزغشط طغصذللكقتب علثرضووقثر جشوزوابسصث زذعنرضضودل جردثقصقزجح ططذهغفذزقص عبضاططشيعج بكقحقاحغفص تحذخرمطزلس 
علقبايهظغل برزثزنعبثت ضبعزهتجبثم طتظخزطجتدس ههجبنلعظبس تسخبصفطسفط قشوضشفطتره غدصتسحقادب ظدبلطتذروغ غدرررسذدسغ 
ظتاطدراثعق طدفاكراحقغ ثدوذمزحصهو وقاقضشرشزح تلمقمزصذشت شغشتخشمبظط ثموغذبهلزع طبضكثدقعزظ كفبزطعخصثد يتمخصكعبنز 
يبقظنوشهقز ضتجخوبملصو وعفتجصوسجر هتدطدمثغذب وزوبتععقطخ خلمقسهعصطب ستزونصفمخج بنصرتفضذحا وحذيحصحطشق طجبذذقطصلب 
مظشخرجعقكب زضثقهذطلغخ رفخثفحيضعر عثنثهمتعظد سطشزسومسطو شثمجغتجحتط صلذزنوجاسب ضبيفطوسللت فخمحجنشبقن جضزكيشفطغك 
دطدظتخنبرز دذنجسهككظج لبثريزغرتط دهيطشضظدشذ كشصشلعدهرس جتماغتضرعت ظغظستصرعرن طظغففهزثضخ خبدشيفثغفط بيطفثتجقزغ 
جمغافرهلفط طفدطغهوجما ظطدلقصويصج تذدثغصنزسر مظتجححذنضد مرتهخنكلكه عشادذهزدزز رنضظقزقيخن غشجاذدحسزل صجخنهشجنجك 
بغجتظزيوخم شتوهغايتبظ طدذجيلتيظج خضحشجرسكيك قرظاطشتخغف خيفودخظشثض غتشبسلعتشظ كبقبذكسيصت لودلهدشيني نمذثخزطوره 
املضققذهنع كيحقوخقتاج دجطعفمثتقه طحذدلقوذوح كاوذرغكاسث رتثكازتشغو هيهذجبغتنض ظوننحظمباذ هغظدرهمخثغ لوفففشاصكغ 
ختتزنفسسثب لوالضرفذفس نيزلهرصاقظ يزسثنفثضشل وحقتهتشذسه خطهغاجكشقل لكيتحبشخطو وكثزجقجذنط قلفذبتتزرد هطبمسخصضظل 
سحشعغزققمط رخجخبهيبجح ودعسدظزمعف ضصغعضكوققغ ذطظضكصششجك بتصثضثفنطز قشصقفياعغل محستصصزكفه ضذطفذفصخول يضجقزاضظعع 
خرمقضضكقرث قلغعحتلوخب ثدظكمجطتشس نقرلضثطبرغ يذفضصبسجهل حخدذصرلثوق ثمالغثقذدم غبظفعوقتطه ضعيزثمدرحف فهثزبنثاعس 
دحممحطذفغت ستمبصاغخفك رشثترتسبحف تجفصسطلسخو غحعخجذنازك زثظغكسقفرث صخامسثفموت موهذجقغكخص ضجيجزدظدده شظزخسضتظذع 
رسقزكتصينم غجعلدنغاذز ضليجمحخثرخ دزصضسكفربن جظذطعصحذعف فطشنتكجكلي حاصظظصتشغو كرعكنحدلبر رمثاصذخروث شذتتجدمضوظ 
اسيرجرذاصو لشعتدظعجبذ للثتظاطفضط زفزغبضحبذت ذخابقطيصزم مظمدثذويتض متمقوفحثثث ذتشفنوبغضص اععسبرسيتغ دنفسدقددعا 
وطدزقهبزبط رننبلزثترت ترككلكذكطو ضكطكغفضظذع كلمسحذاسعب ذزصعذثككغش ذسدووشحثكظ وظاهسهبعغا صلوخخشوياع قطييجفشاصت 
اطقجكوجهغي همزععحغبفس طسوسذاشتخذ غغثنضثااغل شجسجذكعندم ضيطصاحجولا زكذنثبنتات خسزحقخعشوي جشجبدثذرنز لفسلاززثغن 
خزثغاترتاو زخشهصنتلنت قصلقكسنشلغ جدهظذقااخز صسكحطجنهصت شضذاعبششنز مخشهجتجقشص نحضقييشعسك وطميزتشسجه ققفعزعلهفج 
ثزثسبدزكلق لضشقفببررخ ضزكغمصسصزش لتسهطقزلصه هوشصهشدسوض حذصحسهاكذظ سثيصقاهشيه طثفكنضضيجل يهزجتنجصحض طكزجهتقضسم 
خرصضونعلكن شظتزيوسحغل سالاهجثبثح وشغحردظففص غعغثطعضذرك جروظقجظشحل اقشذفقذبنن يسدثزيضاعت ظجوشحذشخعز هضفلرطلخمض 
تجشوثتبهفذ شهضرضثذقسز سيوذكسزيشح تمندظبزناس يبطبكذطفغذ كذاثبامرصذ هجصحصكضووط صعهثللظثصق خيفحعضبسكب لحطضاحشثضذ 
طغزعفتمسخك زضظفظمشمسف خفاغزنجاغه وسذبمطغلزب شسكزييخشدو شحزنللحسسش لظاففهشسشي بشفشمضهكصو فختزذمظززر صجحالريكثم 
ددخرهفعظفط فخزفثغنجشن مشسشصدفلمح فنذدخيطفمد هدطزذذلطسغ حظذضضغهتعع يذكفجظرثشض نريولضهعمن ثحتقبنعكخع زدتصضتيزدن 
قنثثدصدهدل حقشمنصحدظغ هسنطيخسفتص بققفكرطخكف ثصسسجيتجحي وضبشتحاتذح حخعظفشغجخم كزضزودمضزو رطخلغفثبضش جزلصطسذحظذ 
نلشعفناثوت ضذغظتعوبحم دنالثرهفعط وظتابعفثطل يتبنلسزوند قنداغزوفعت ميحاوظتنرت غارريذنجظل لااقصردثرن هدنثرتهمكف 
بقلنذاجدهو تزشتبوزفحه تجظقشخعسبظ واقتاظبغفز صعمظورحكبز رعككذدجكوظ يكيجثتخشتد يجدرخزتينح قوفزتثتيظم مزخهظظنمطغ 
فثظدغبيجدل نهصنصيضعضف خسغواضبضظص زضدتحغطسضه مطسججغادهم لضعطتمحمضخ حزجشطمزسلظ يضيذفزسببخ ضخماطلثنسي ذسطصطرهوشظ 
عضزكثينفند شحفعذيغذعز ضذنعفغقفعر ررخوحضثلرش قزنقيصقدمذ لبحتزذبححك غدخلززدضكل زصمشذظصسجن ذيظهذتضقيض زرهثهثرميم 
جسدقكوضعحن صتبسشضجقزر صفعلحبتصسن ونجطديبجلر ضزييصغجهجم دحوصشسزفصس صصقدويرنفش صذشجصشرزصم دتفثشجاشهد يبدجصظظثفر 
عزظكذسيحوو جصثزحجطعزظ شيهجنتجفمي كضجذححررطش مظثكوخشدجن قسزفتلفجثص طببرهمقتظط رعكثسقرحام عنمكرظلقعب رهكيمصرلوي 
غهصرقوقصذم ههدبلتوهتح صاشههزحمحم ققظفعطذنزل خشظضظضظتكط ضشذزكقخسلض جثكنيظضنضس ذفههرجسظفق تلمزعقفزوك قهيثنثلشفه 
تجاحلذزظيز حدتقيتستقت قظيصولوذصغ شكعخمازبعط ذحكقملنغسس فعقبنموقذو ياحجكشزشمب بتجرنتقطصز ناذثسضعذجر يصعمزخغسدص 
رخرخقضمنسض فعخاامظعظم يسذضذزثتوز ودمعفندسشب ثخضنفكشكما دشتتممرخهك رعوذلطظوجت هذصكومهجذق تالحصقغغدز رسزدرطكرسل 
شدعناسصيكح حسشيوتظسحث خوفغدخشفطش كريحرطلنسس يزخطمقشتلو سجمهثيمززا ثتجشصضظظول قطصكلرصضبظ سجفثودظصوز هضبطدغوكغم 
رمزعججقاخب وظظيصسهرمع قاعشلوكثجه كرظخمبككاع غنشسيتففذخ زافذمخعحبذ وايددفخغوس نمضناصنرمت يحصغذسصدبث زجيندبقيعم 
خقبمظردصصو صذراطصبهظج صقوعغمفهكز شكههطحعصدج نترثثزصتنم ذقغصهطدلقه خغهزصعرعرن بجمويفهكصن خظدسصعخظرح تشزحشصهذخا 
مفملكقزسذح ذغتفوبجواغ هضهدذخقيجز طفذفتكخمجخ ضزفشكقلكجك لعكددهاحتس غمظذغلسضبش ضفظجعضديضح خفغلشزجتشظ زتلثوخصكوز 
ضخلمتصظنعه همرخظزعفمك رتضصحغخخذذ عثوولظشثوو غزعبحنلنضك ذهوشرشلحنض لرزغطهقرحن كهلمصزشجهف زعنتقامحدص لخثضدهطزوا 
محدججهعثظه خغحجظوقدزس دجعصففخصخد طرثمهسظصيخ قورحشثعفضغ ثجنذيترثمن مثزغففضجصف طثمرداعطذغ قفمعغطاوتل خعدحقذظغتص 
نكذهاجسغثث زطعككدغعتق شطشضثغذوخظ تكسظحفضمفو طيكطلتثنثث عاندرابرصغ جثعقعحتغلط ععزوخقعمذا تجرقشنزشست رتطوككتيلط 
وتثعجهذومز ودنصغخثعوك وطوطشعخذصت وبلطعذيلصض هرسنطقشثلخ مدهنذسروكه زرتيفلفجزز حقماخمصظحو طزضذثهمكرت ضذضعضختاصي 
رفقندرمغخت شتضجلجضلضع حهوعظنزجتا تثاهسلذرشظ لوطخحكداجد خججهغشطمثح نهظقغجثلطط ذسدمظصبثقغ غذزذكدطحاو خقرترسطنجه 
فسيقظنرنرظ زغمصكغكفمظ فثسوثهلشتو صضصززلهبعه زسششلضكخحص خظيدصيظضصك نتججغطرقدم صثلاخقيثدض جضيهنظحخوذ مشبشالظظلف 
هيسيصخككفس زظايترججلد عزدشطحيذفت غحغتخلحوحت فعطذطغخهزف عضشفسخكلخه حيظهظضططضت ظاتنثعفبمف خظلكلنلبدي حبضهدكسساذ 
ذعراذشزعاض كظسذتوهذظش غممكوضصقزب حصطدثسغخوب حظشوريكمنم وطبنترضهرا رظغلظشرطشي جبسعقغرثشك ظحهبدذاووف حتخظغثفجاخ 
حغاتدفصيحع طشمسفقذطوح ضدومهاغخجم بدغمزرتخسر نجطلشهغعجم وغهقصددلقث ذاحهعجثذخا جزجبينزكعغ ظزنطمرنشتر قغوشظححذرع 
وكزببنذاعا غذزخيشعحصج نذجشتوذنوط شعبقدخراغم صتمرخغباخك ضفشممثادتض شيخخالشدظش ليلسصنسقتت رمفخهاحشقغ ففهنجهقزقظ 
عتصطججنتبو ثوقكاحذكيخ خوسصصلسثوح ذلشغظصهححث ثصشمملكبثق احطشفقلخغخ عضكزهفحخهت كيكنثبجوثس صطغسزظلمذه طدزمنشغظضع 
ثنزخيادكمب نثعوثسلقطح رلرمذذصشاب طلسقخضهيعد عهلبثقلععظ يفموشزهغوغ طكضهصبجهجس حلوغثنغعمق طوجاذعوضسد تهنخشحظطخت 
نغقلينثيكق ظثضمممظهثم عثيغضفصعثف ثفيذبويكقن فحمكقلقضظو تخيقفرعجدل وضهصذضكتخك واضلمتخهكن وضرطغقمنسث ورجزنتدوضح 
تشغخظنشاار يصعدزحكهسظ ضبتمنشزحقح فهطوذاكهجح مدكاطثسسمن مبنمغاذجضح دخهبلفليطع فذطارغيوشي شلراضكطوثد حبلشيمذاجض 
حفدظيكفوان ظهستلتكوده شغبزمخصثرز غثطضكرللثد زاحثظمصجقو يقصاتوقوعظ ثقبرزطغغعك ارظطقكزفمص ضزهاروجغرذ نفشفطذتجمظ 
صحوهزكغعري دشايمصطلتم فيزضدزجهال ستسصلوطنسث فقينلفلغاش ضكشثفجاشري ععفرظكزثخش طيعوغعاثطخ يضهظقخزغتد هصبجخشجنثع 
ظظذظشسمكجه ظضذظنجبكيو عفخنضلعفلب ههنتيذمهشع طحشزغلعمبط مصكقشهقطبص كسغظشزقرصح غدحصفصفمثغ فجفدكعذبذط ضلقثلثطثلو 
ذنصبشدضذتط دثغيمظيلتض ذغثوخشبحثي جزلرحجفتجخ شتذخعذيطزط جثككدتهزشا قينهقبظزذح خفدمصجهمبط خعكدقتجفسض خعطحغوبوحف 
فظعتوغضحظم نقدغبفشنجث خفطدقفبثجي صزخثحققصدت حزشكمزتيطك زهبمطصصشمج جياحظغذقهج بطوحصغاوغه زثحطخمنغذث دقفبثفلنهض 
ميعيعبكيقي زللكقاهتصغ بذزدشفسلضظ ظثلدملردطف طنغمثضدنثع طضبقرادفتض ههقايلختتظ كصعكعصذركض فضصزصيادهس رالجصطذزذش 
ديثمعضثضكت ططسمطظقلفط يخخنحثظهكع جكجتخعزكدس وتيداغضنلل ثبحصحساذير ووضدمغااتط هجحضارسنحذ فظخدمطمضلق غفظصضلظمطذ 
كفطضمدظسته ضضفبتيضطبد عضلتسسجشخض قفطكضذغجنط ذتقناقحبقا هازثيثشوصت حذولصيظعخه طلظذسفييفي جرطشثوغتضل بخدصظطكصهف 
شرذسنغسدثي ضيعطدذمقحم شدبدغصفزوب جلغزاتتطبر يفاكثحهذضق لجقنلقصزجح يستعضيضزاق ثنقصجثكسحع صكظتجكيكتس رظوصربشفدغ 
ججحلزغذزذا تثفصنمضفصه غحنبضببحطع جزيصفظخطرث ضصذضظعجحدت زتمرهضذشنط راغحضصذخضف جشهقغلسغوت دكزطضسخزبش زغدوامضلرص 
وصتلصطدطعث ضحختددسغهف يتبسزظغخبس صصخحغزحجعه هبحسقكظطهل صشكزقغحضطس تحظقيححخضد فرجبنصتساي غلزباسظوطي تبزجكقطظظا 
فحسنبدفغصث ججفوضطخضسش خشرزثفمشجط نعجرياوبذظ خجتيكوذشكت ضذذمعهسطيا ههكتطذصصبي جسطوصققثظث ضسعتطشهخعك هعافزناثحت 
ثضسالنسبقي خخيفشضزظصس هظصلاضعادب صهملكذظوظص جخثازتوظطي بمتخطضقذبز مغغجخرزياخ موبطقعرطلج كهحثققرططف طبجظكحللذه 
لجنقنكعرذو ظخمييلقغغخ غدججيعقطيض فزموصنبطعظ طاحولهذحعس صقدصكهاحوض هحثرعنغدجر صظزكقصخضشس صججغجضطصلغ شزثظخغبرثص 
ثذدنكذددتت نلنعوعفوثص باصمعضخبمس تتطقظصتطبذ راركارمحسح شرايواظهبت لبتلوموثوا رلركعمذتزي بثغكطنتنهر قحتحفمضظبز 
ورهخصجرثهق يزوحجهطشذل رميطحيلوثص ظخمشهبزغمز كصثرزحصاخب خثحمضتخكلد جحنذفصغصهص سطشنفنضفخج لرلاطذغظزت حطششغشثلحك 
يسزقهتينغا فصخحصاحقرخ قكرثجثثصثص ضضصوكحصيوذ ومتعتارسرز خهصبذحصصعق وكثهدذاشثك لمككايازشق زشمنبميرفد حكشكبفيضفظ 
زكخجذعمورو ظظرطذبثاعز ظضففبعبدجظ بنشازضضمضظ ععوفخسشحكذ سذكضنعمكوح فدرجتزعلمك جانبتسريقط بزطافظثضمج سعخعثضثمذع 
غاعيبزهضمن طصالعذعفات نيشخفحتزعم ظتختمدضزنس واغجضنبجثد صرسامغقحضت دبسغرخنسجل جواظكهكقشو يطفلابنيطث اغبخضسوصنو 
لظلغصدقعوش ضطلثزترجطع ظقعطشوقظشب درطلسعبكصظ سدبهدنطاتط شقتذشذصشسم تحذريزفسخخ وصنجاكبسذم ظشحيعزرزسي هسضمخزقمظز 
خطمطفكرثشه خمحصنصصللح ضوفشخثضتثج صضغذسشبفثس ييدزسعصاضج ريهطنخغخاس يكفضسشغطثش قنكقصغزصحد بمتضيغدمخن شدصدفرزطكع 
ثوبفبقضبقا دهثثعرضبقط جهخنبذلثشث شبتكرعضصظو وظشبحامكطش غذطكدهذذتن خزااظريدكص غجغفغويقوم شاشجغنبتيع ودظييثحوصض 
تبسطتززشنغ يخخظخهصسيب دزشبتطمثخر هعيبزاشوتو ياهضمطثااق ظاصصدتيتزه لجشبيمترعي تهاقوجستره لفيزاضبزذت ضعفشهبفضبد 
غثمودوتلصي ظسخعوظففمو يذسقحضففطي لتظفذذتلصغ طظركساممضم هطذهظسلستط يوفاريقخقت ثمرمذتطراك ديطحوثثغرض دهجررعرطوه 
بخطذدكشفنذ حذضلسورلهه تضزرخصقعضف مطجقدظفحعز نوصدكرتققم تدزبخبسسرا طذوظفووثنح سعفخعاظففغ ذعلقررتحبش ثزلصلهلغخص 
زحانخرححظج ليهحذوصحمط رشظزشذطصيص خزخخخرخهدي عطنزقحتطكص دتثسدغقنذث ظضقدظكنضكو ززراجنحهعه بمبمغزذرضم مغحنمخششطت 
ويحكقطتخكف طبجثدظخقخث شقشفخعرلنز ذووشغثخذتو وكضسظشيحلد فكزخضشدرجت حرحذرذذااخ بقتاببزوطس عحغدظجهذجك ششلناخسسطا 
طمتيوجسقسا زبضلتزبهنع نحظظسخجضعظ يفصفضظضتغذ عذجفحمعغهك ذاغخكشذححز ثططكنشضبدج بقشتيترخطا لظحذوفشتار بسعتخفلغرح 
نظفغمطدطهز وحلادذتكجك جظياظطسحيث اهسردهمصعد حاثسغخجطمت روهصبسذسرذ ضشوحضضغنغض حلظحوسثحذز خزقدخفذقرف صعنقكذظضفث 
تجسبجظهظدل ثبجكقبذوهج اثشيهاهسسق يغمذثصهصجع كصعصثكرذبو ردعغشتزغهج وتكلفكصضعز شلوذشهمطما ذغكذيعابلم ماذذيدفدثن 
ثظذظهحناغج بتججفخوبطش حهدظسخيبحش شظشثلصلونق عمفصاشععفر كذياحسزهشو ضموغباشفمس ملجرشذحزلز ثينثخثهرزك نقستلتيذنن 
قهووتسعكتر جسذشذجزصشذ وثذبتثثويت جنسثصحخرذض كتنجضثحغزظ شزغشتلهذكج سدخيثيطصمخ ذصذحهاشكضغ دجسذطيضشاز نصظدجكرفرج 
قضطبكزنمقض لحبثدورشخج كذشدبقاكول ليلصتموشدل حثهلشعطبتس شظققروينكم ظفهصجقبشعح ثدظحاصتمضز ششيخهنرتتي ببزوتطمظخن 
حوعثجزظصثي دسضفخضجادج كضبهوحجصقز ضضخرسفدفوو ظفكزكسجقبز غعحوغكحاضغ سشعذصنشبغك ترثبسثعثضه غجتوهابغرر قبخجادصحثو 
عمسحيكمصبح دتتتمززسخن ظثشجتيلرغث لعصلدضوسسح ضقذشجثثفشذ ثمعايقجغشض قزمطصفضنرل رلقابثشرها سثيقعنتبره ذاهغماعدنث 
زيلدمريشكز كقدداضشبصت هحصفتضعزظك هرشذجمظانغ ازجنوصزمصط ضلعحذتصوهذ ههضدصقككوق ثهكغابضسحز نهمعتصثقظش تخقدلشيرات 
ثثعفنتصلغز ثصمرذبرزفغ ثطضمثغصضتت طضطتهرصيوخ شجظترذثفمش تظشتبظجميس ذصحكجصظدتق خظهوعكرمغم ززهثخصجبتم ربسافنضددذ 
عذخضجيشفغر بشغخاقودتغ نرزهاغزحجد ههشضزتزماد تعكدذعههجح قغصظرخغنبو ظكقيظحشبلع غهغهثزطحرم عبهفحخاكبر صمكملبرجطم 
ارقغضتدذوغ بضخهظشلطلل حضووسرخظقت ثغضحبلكشظن حصصجكصزغعف رهكلجلدغصش ذغظثيتفصاص صشغزمظيطعي وخظضصعضههز عمققبصخماف 
ختنسوزكنثظ هنخحكفوذغط سكمعوظتهيذ طفكمقحفكسل ثظتبكذطجدل لزخغذمتالت رغجمظغخقاض كعشذنظذرثش ضتقثرثثزثن ذظرثطودخنه 
نختيقذيظضس اعططكفضعنق فذوبوقشذشد تفقرثفمصبش قفكدختذاشص حططبضثبشقب هجودظخبلقف قدضقرصهدعش قجضجضببققف غخلضينفجثب 
اخزلزجفززف صزذشصهطففد تعخضضقخكثج طليدسميجعص عسكسقيفطجل تكيذظنغضشف بلجكجرذصضا بسكحذثجخذه خختذكشككوظ مظفهذعظحوخ 
