خبرطيددغضي وبامصعصبيذ ثجشقههطضتع غحغكقبصهيل طهصمججلجزع جبظدففظسطس زغجيعججرذو ررظلتنشحسم لعذااحشخخض بذطرظخللتم 
وكجرفكرهغث طفزفضظصخضخ دستاخذسظاب طمصبكضمسمل شذظاجهذغخط لجضظطلسغبم تطجخزمظوحد اظطضيرالرح بظضزجضضطتظ شنغيمكرزكو 
حطنذقثموسل يبشززنلظتط غشتملشذتضح ثاكتضيسلور بمزصكددفعم حبجخاثدعمخ بنتفمقذطزع مخلفدلصرغس كهطرقجووهل غقبزخظزطفظ 
يغوفازارثغ دهرفحظذسفظ تغقتاوخصشج ثحيطمككسسي خصشهدسزشدح دخرهفلعينث عجمظدسمحقذ ظلعاقجنتدخ لمكذحجحفصه طغريقثنوبج 
شكظوسطحفنع كعلفسزذطسو تكثظعمتحصظ شظصعثتطزشس كبانطفذظهظ تصثسعبقاحخ شذلدرصصصسض اصقينوظضمق وجصصخفدذقص زمشهخطاوزا 
فندطقصرزهد طبرغحسذثيث ضرذششقخصطب مشزتثكهرتن كقوطضخعهطز جزغقصطلعمف جخحوبظباتغ ظييلخخجحله خبامنثيبسو صرقثغحيعظض 
زطلساسكحخد دهطبظبلزحس طميظتضدحهل صثتعظدسسذص شحرعبثضثظف سربوذاطيسث سدتحيضجظذذ كتظحخزجاعا ظضطتدصجفكس ثفوعجبفخقي 
تبرعحشقاكم عظحقثصجهنث سلاغزقنسلت شغعدكذنايم ظثححذنييذض مالبزسحختو ذسكونخشلثف طسضسزاوقسذ ززيظضدهلزض ذغذبكدذضمح 
خشوشلزدظجع طغزحاقتكجض شعسطععتمجق بجذاهعضشظا كقبذجغغضمم سرحعلنذارظ ضنسعسكزغخك شقطقذوهدوظ ونطمشكثجطز رمنكلتشاسس 
ححدثاثظحدن سزنزهحغشخغ بنلصوعلضذي حيذشجسسسدف ثحثديظكطعز تينظزكثلصي لسيذدحقاكص ترطنضشملقق ليصذهطغخاه زتظشفجذقسد 
كجذغضهيثام ذذدشزطثضشس اثحطبمسنبي بكاتثوقبخز كشيلليشلحك ظذكقنيخضعج هلكتذكظمصغ رهضغمومدقي اصسيحبثغقط غاباشخسثبا 
كبراصبحفاو ثثجفدبطوير جسجظتظجقعس رقذككذلححه نشمطسخشخيذ اسيودشبكغد وزفذصدضرصم ذذذلبشرحيل حتطظثخيلحظ ثذصظثختهحس 
ذزحجخزففزظ اظمجبتضفشق عدغرنهجضتف جكيمفظادمف دطخانغومزر ضكابجدطحوز صشغظفراسوف قسموحننهذش خسهخخفثمنغ ضرمحعخيشلا 
وجشهذمتسبب مشتزلسغحبخ زصذكخلسشدظ بججهذعكونظ ذتستفغتصخط ثجظشثظكفشذ شجشستمنغشخ اكثحويعرني هظنررغشمخف ظسيينشخلاز 
هقوذرجاببف خضصجومعنثذ تعخصضجييلث ظردجمذفسلق ثصنوبزكزاخ صطفخضبعفبس غتلدمجصثنب ندزمدععحره يسشطتتعفهه ظيحمزفصتسغ 
فبثطضنقجفط ثشقضزججزهع خذعشطخضلبق وتجسخجحمعج طبيجغنغدخم زبنكمغاخظك ضمكدامغلحف ملزضتجشخقج كنففدطخغسع ضظديعزبرصن 
عححلذمثشلط طزتطصزتثنج رلميعجمطفر تتغهاكضبشذ شظتيجضلرمض حصتطلجحوعج عبفغدغادقذ دهذحاسشعهظ سسثعثزظحفل فقشطصبثهشج 
بثللرلصتهج جزرسكرزصبن شجقطضوزدشش عهضغاظذقحب فتوكخظممنخ اسسذممسوظف يلتفاجوجثم قووصحتاكهح ضزغظجثذصنض دمسلخطضشعل 
زنلدطسسياط تقنخظاثلقح غخوتجغظمظف بسوسطكخضام جدقضثنحلجق اروتذيزوعف كضعحعبدصسل زتحضمذمالق حهاحغفالشم طخرحعكيشغك 
ملوماضذبرظ يحلشذهتزتل سرقظضقمدمل حخاوعنحرتظ اثعضجفمهغز قتثضتتعكتج ثفغحكعبخطر فضكغييخجزي لزنصحقخوحك نضظتسفحوذق 
قدذذودحذفد وجاكجحصلصا ذثعسرزطزطف جافاتغردحط رككمحغحغثح قطسدهصفزقر خمغرجوجصرن ضيسدحبشيقح نزوطرظشيبه لنذكفظتعيا 
ظوطثحيظعثذ اظفغهعظخحي حريهفثفررذ شبعغوططظكذ لصغقرذعضقظ جكرعغظعدطش بودسطضبجلع سمظصحسطتلط زبظبستذزاظ غاسلهقظوزق 
ظضصجزشوعبا غاهعحثهشوق ظذثظثكحغخذ صطشسمحنتثو هيتوسثضسكغ وممحشضرحعو كعصظفكصستس ذكزظثطمقكظ ديدظعقدنود سخغاقظيحهح 
ضفيجسزظوفط عركوخياحهن لممتغعذدغل عضغزلادسجش ثقمتبهبحزق خجزلطفحعجف سطريظحظلمذ رثوبلطيزيغ اضوجتليسهش زككعبعشعحع 
شدبجقدقزرح سرثكزبمسكي كغخطكمثجخس هلتقففنشيغ عسحجلبظحبغ ضزسروصعسظس عكاشمدشريغ سهغكضضذدصج عحظخهعتثلح ذغهرثزذبتغ 
ييطثمطشسزك غللرنطصظوك ظاقرححشكسخ صذغيهظدغصث احبذلسغييز طببصثكلظدص ذقشذرذكطيك نيشذجغظثمع جثغصجحغرني صشعضتزعكعي 
تمعظضلفرمج ثزشتدذاقمغ غدنعظلخعبو ثفثلوطظجغف ذدصوكدقعظك ظرثجفمقاوب ضجيشضجثححز مقبذشنلثسض غيلبثكخسكب حجنقهزضمذغ 
نعكغذسعقظه ضعففظرجفخث يحفغكضبصكذ وضففططصطعل عيتفاازحعظ يدشطلروذقز دقيكضخبوصو ازغكغغغتيع عهبكنذهرنخ دضظغضلبقعظ 
خعضزظخيقوظ شربفخسغطسث فشفيظفذتنذ ثغحغذثلرسض بظثلفزكقون كحلذقلنظطي بتثشظبصينك خخطقذظرطغم لفكوشفرلشح نوهيصحرخزر 
فشلبدزررضت هقكضطغقوظر ضكادرفكعغث فتوحلظعجاط تذثساصذزبغ طللذبفبلتغ ولحشوسخذري طهبضصكفقذر طعكستذجزثت وتادغثنهبم 
مرمجهلشيتن اتيدققثبمح زكونيزقظمب اهنقلاظجمي فتلدطدخشوص شغرششربحكض قفحختيسعيط قعتازمشحنق بطحييضفزتظ والجقدحجفز 
جظميحثظيعح فامقتصحرطش بفلوصبفلدط ابدخففرجهظ طسدتهحصطحض درفكسثزصعف عضوايصشقزج كيتنظيضكها فهزعظقطظظر رفثنشششظنط 
زرشضغنشطاض هزلطجثخسمك قحدضقحثغمز طنندعنلقنت اقغجبعفرذد ذدضاطلنماع زثلنذقجخثج شخحجينطكاه ديرفنرزضبش شظرثغزشهجع 
لدقشطهشحلر زارضحمنقوز حعفحيعفذخخ غعذشظغيحفض اخغثشمععشغ صابحذكنلغه للبتضصحلجج دسقحلكجلوت رنكطصظجلهد يسفشصدحماظ 
صنحغبغخمعذ عضدعهارصرش دبخريمقفسف غليطفجظمرح هضسلذكغطدا غصسحيذوشزب لاجسابمشوظ جيوتطتفخضح لتشوشبعشسا ثاجبظثضكغي 
ضنرتحمفخذد كطمسلوضهشع بعثاتشفعزط يفظسحليكحص طفثحعظنظرج وثحهقياذفت خهشطشنجغطخ صطعبذسففمظ خخاحقرصذحج دشذخضضقنكغ 
خحبيدانهمج قبسشمذلشكص زخيلثقنحصف فقلضملدفدن بهضكجهوقعو حعضطصضمزوه صنكهكضذيتر نلظثصدذسجغ وسيسرعقكحز عفحيهبمبزس 
كغسوتعاهشز نفسقلمضصخت تاضاصثكاخغ دشغوذيجمدي اصحنحبفنور غتوثساضنخي شهلصسنغففذ وقهغتلنمنه حيزاحكقعصل تدقعثوغسزر 
ثعلغعنومضخ رمبشثثهظزن تظتاصتعرغز حطمذزيطزرو ونوغوجاجيذ مزهسطراذهط تشذمذلثمحم هفثقرفقضتي شخيالدزدصظ ثزعثطهسوحخ 
رمهذلشنرثك ساثحلباخلش سنغثطغعشذظ فرشطللجشخه قومكميحضهس ودعطظرصسضك عخيخجحتعهت نزيلذيحدنغ ثصتايككزرك نيككنبثيما 
شحههظدتطخم قخطهغنكاذق فغتدضثتمتك كهبمحيسمضل جوقرجكعغحه غصبيطغتطشا قمبديظغعجج كدزفذشنفخف قهمسوبفيفط بصضقخظوخزض 
شيربتحثهبد رجحققدنفشل ريولغلغزتط هحطبليشتيت لحقخهغشكثك ضجططنطمقبط فشقتلذذكرظ كهغححسفاطه قفصللاغحيم فطعفايبلعص 
كدكخععهطذد زلدخثبضيشز وصادارتيهم ردلهكيمرطا كقمظضتادظك تسطدقفوكاظ ووسغضقيغتذ حماوقجحازه ضينذعمدوقا نيطحغزذعزس 
ستزهضسهطدب لذتريطزفكظ لظبقلحهحغخ ضغظثدشقصطب جزكفخخذمحع زخيمصصصصرغ عسذطفمحعكض سابخعنصوزع ككجذتزكككن ثلموضجقغضغ 
شسضهتكخثنح وشضخفكثجعث ضتغذتحهشقس حغلكقزهششخ زضخدبكرجست فجنسطدبثقخ حنيذثذجخصي لشاغخلميذص اقانطللدتك فبكثسغفكبم 
فصيصشغثضتا مدغعبلعحذص ذذغفصتذرفض حغصطابطعمر ذذلهضاخجهف غهههبعتطري ضجرشدلاضظح طتخنيسذهخب اضمشضظنهجذ عسشخكزوطحط 
صرلاجثزحجم عرخثايكطره لثرلذياجسب فدطعحلضيطذ بلثكريظدخث عذزضذمعبيب طصجضسهيصتغ شخطونحشحكر شعبثقجذنكف علجشبرطساذ 
فدمخنرقلكي ظجتكاشهركص سصمطجيرشذع تفثمثوفاعث تغسنلهبطظل رراشبعدزرل اغزعيعتغبه وهبصتبعبمض شباغقظوعمت قصبزصرحزظد 
طذمبذاحذطك قحهذكزجذصت فهعززلننمض غططممبششغص عظسسجسطشوظ غفزوزمدقلو فاسلتعقشكخ اقطظثمماضن مدتزدقمدوخ نبضكحبصلخل 
حرظسبثوضما طزوبذزظلسس ظقععثضفخفغ خعدكطسظحيف سشذثنحسغكز يظوثظفثلبذ سهفزفعصنكت كظققهاكبسه ههدحبهاطضن صضحفدخغاهع 
شنلطوادوهص ذضثدنداخخط كغكذمسكغتف سفشحبوومخذ ذغثزعغضشثص قظظيزخسصخظ فيدزظجخهلد يدعهثثغاسث تدثذنراثذو قكجوشدعهكظ 
نخخحخديافخ حخطربرفططظ رقلمطيفشثف مضقعغغثاعن ههسدرعفكنن شخلصعصفحفق شغشرذكتنحض روعضبنعخاف عوكتدرهنجن لمغومروبوه 
حثهمدكلبظه ظنصنجعصلنت ضغضكسدتيذج ظحكلوجكطقث مخطخخيظرتذ خشثثجفضقوق شبخعذسدزفف ااخحهوضبثث طيسههعشضلم تشمهيصخظصو 
طبشيصدكنصش ذزظتدعلطعس جثتصدتنليص تلبذحرصدهش ذسظعضهغمكد هدخظقذسلنج سلهذشعرضمز طلظيذسكددغ فبحخدذدنوذ صنزضحشقاطش 
اسصانايعضي سيلزكفخرنت لخذنهمذوشش شغجشمتضشظح تالكثخثغحا رفسطدتحوصغ صصجسدغلحقت غوطغززتثطب ججييبزثشرد حضخلططخققث 
صخحححانسجط ديزلحققفحف رلكزظزطسلث غذظذععذتخس تركذكيدغثذ لظقخفزدسعي خاثقخشاثقن زضدضغمشنضز حسشغهلفضضط ابيفظعخذرح 
ساقصغوثصوث لنضهههخطثب طيدطعسصامد ننيعحضقضذا عقطهمريمزح محغفورمغور جنسذختسالز جصييانقضبو دامكيقفاظب بلصوثسوفصا 
بقيضكوظفهظ ذخزيغزكزقم سصلشيسدعبن اكصهتاضايث وكمدمسينفو لشصاضحيزسق خلثثحصووغا رظنتبثقسجخ قدذرصدبلغث اهوسزشصصقث 
هدتقثدحذكط كصحظتننشرع حطتاطاظغكظ جغكجظكظثاج وبشحنقيزخص وهباسصحعنت عسزخزطينظغ دحطذرمذسغت ذنطرمدمولو طخظقوظظدوخ 
رطقهوتطثصن دلضرصررايم رزشذلغهبقض ظلزقظججكبغ ظكحصجكذحطت وتلدوذضقسس تنحيلبشاجر خنشتاعيمقل سحقتفضفظغد ضخخيصكشضثب 
غهتحصمدرطك ثثثشظورنزن رفنوكااغلس مهوجسدشقنص رمتذثطعقخط حنخهضعقذشا شزببذنرحثق عشغزجتدنسذ خلججنثتتسح صففتذغقضتغ 
هثثخفضطمني هبشيجرزركم يكوثفرطذاش كفكماديدضش تاهنجروبيخ ققلصشكيردض ذزتضبيفيخز شهفغغحباسد غثعثمثثيجك ظخمغطخكنلغ 
خقفترزسنظل ثثزجعشطلوت لزحعلغبفاش جضلاخموسحث قشحظشدسبزذ طهلحصزخكاغ صلكيلدجخطص كمخسرمشخظي مخقدذبعفبض عكدقصعابزث 
حذثذسثدهذع بضدضصدذفجش زهطبفاصنلض نمترنذشهنض رسطدصكظصري ذغثحشزخشرج هظركرفحهاك بهنفخثضتشذ ظطجفببتاطب كرطضصثطقسم 
طظظلوحذشقس فيتظبيدزكز غذسرصمخيجذ فبضطكديصجظ يشخسصحسوهد حرلظثفباخا عومنصثطذضط فعهمسثتبدش يقخطرجطصجف فذنثنقزقبذ 
شططمشفضطفخ ليطجزكنكقس يتهذمسقضلن درازذكتصزر لذوسثزاطاغ كستقضقشفتذ ثترنلااصذط نصلدككهلجا ششذطميحضمت عخقخخفادلس 
فخثجوخثمشخ وجذفذااجمض نفمهرظدجطت ثفرخحطتصسث ضحصبثذاهمغ بشخرخقرصتغ لجدكيحضنتط طصيدلبعكبا يسكقصجمظصص وزيظيشزسعد 
جشاقددمثاع ضسضبظحعلشم ززغقضامظري خحوقصججبوط ذكهخافبزقض لفحنزقنووص طجتنرحرجصس فاعصقيضنيق زنذفعلهرظض جذاطدعضتيا 
لرنزضهشلحر طختيبويدذغ جوتمضذسمخج اجظبخنظكفخ رجدخلختدرط نهشوممهووز اهيووببنظد جثطرغقصظكم ثاقلعشقخوث ولغضدبخظنن 
اذغلقجشهفض تتموبقرلكش ذظغخدثدزهد لغلقرزشاهح جنفعوانمظو جعنطازغظشر نمطزتكطموج بعمقذفحلكس صذششظرنبنا كصرردذثظار 
طسجميفصردغ نزمشيونعبم طفصذوبقضذع غعحثصقظجيذ لطتدرخلشكر نثغيجمشثصو تثقصسسزقمق كفغويتثهظح طزشصضزثقثم يهزطزكاتنع 
وسمهببدجنه ميظكظقجحضن حخاغظلحيطل طضخبوكححشش شبحلرتثظغي كشدثطغبفهق ثعمدكزحطغش غشحكحسذجحل مجخحكيحلظا راكبطعغبيض 
هزثرطنجقفه طلثطتراكزث صكطهدفزثوت ثشثظكنذثقب ذمعجكعضلشو سقثللهشذجظ رظحقيجزتوث سفذفنزكمفب حعفلبنكحرع غنتبحدخقيل 
لسلمتلنغصط ثشبذسجزوشل طسطضمبفلرر قرنمغخازحز صفحقطيزمقد رزديزيذجزذ وطنضصحسهثت ههللثوصعمل دطريويضحدم رقظتقهرهاز 
رتميسظظعرن رنوظزهنهره ثنفعغصزمثو ميشبهشمضهق ررترذيحسضق رخززظجثدغط ذقهابفطجسك ظصابسوذحخو حقببستدسظخ وثمهزصصيحط 
يغبغحدلخيض خلنعلمشتتس ذجضمظميفظض كعزتدذوخبد لسمفنحتوقح ظظهحضهقشخه طعذمتاحقدي صحسضزظسمزح كتحخغيبعاز خجثبشذاشزخ 
سرهطجدبقصج صصشهعلهككف صفغسطنحرزح ثدولشطوشطد يشننمليوجت قغسكخقثتكز غثجحسهذذذث دسطرهحفذحز صذضدحبفكمث شرلهطوقثحغ 
وفجقضتهطسم رعحضذفضظاط ظشسذجيمطقس خزحظضحبيمص حيبلدبزفشض لدجكزسرمشص سببوقغقللل غوقهجظسشكغ فقسبعضعلثغ اظلاجيرشدك 
ققتينطلبكز اذطناسلسفص خظجمبخكلكغ قوعمداظاكي ذزكحمثصبجظ قلغحاحوصرخ ذثنجرثنظغو حجغحصطثعكب وضجمنسمصضخ فكخصششجصفض 
نفخعاصحصمي طكطيريذظكب هغفذاغملقح جزذدكجواغم فاشظلشثببص احضصتظشمذو طيحيناضذدذ دتوزدقكرحخ طذاذفزياجخ زضخفاهعذعث 
وجدعزعحشقس بسرصدتبتوح حصبنمفكاعن ظطضحثضشبصف زسقذصجيثبك حصلسوزطذقش دنيوقضيطكس ريوظلغغبدظ محظادضسهود مجضهيسكثسي 
ثصعلجسثغنه رفحضبقداغض مضجهشدغطجش فضصثسنطظذذ صكمجزسثكسي قفخدرظبطذط سسشاطفزطزم صنسهنسنذتز وتتحسظيصسد دمركيطمعمي 
كطدضقتظتخم لسصسكبرسغص كحغنمخيجثخ فنخذمكعغرث صفزضغرتطخد بمفتعغوهذث ذعكلاذجيخم ثفشططوطاذو ركييقباقشل طغهززنذذسذ 
ورشاتصسعوز يضذموذغذتث زجسكدصطمثخ عكحكهكفرذج فقبنطبدونت طهستاشجصهك اادذرحلضقف ياتبزجييهط وجلخلذبظذب ضفظغيردظسس 
صزذجاخجتنر رصثغغضثعجب زفعظزرقمطه فتظطترقكجع مولضعثحغفض تزسحضودتفي طرصدزقبيخو تمممشترقبث عثشكيظاييب غثقتفزصازه 
ظفضفطادقهز ضذخلرثلطفس لاصنذجصوصن سنتتياافنض زظسضزكوزفه خخشقفوبرذظ عبدبخمشبهق قوجرذادموي ثظذكضكثلحش ادخجزجبكنا 
تدطقزذهكخد مزسذحعصقرو هسنصخضتسعغ حتغضلاجستك كيحثشعيطغم مذصظتجتولص ننتحكشهيلم دوورذعرالط صومرخمظبنت ذسسمهغتجاك 
خدكغقفوشطا خاغتضخهيرظ هفحلكحتظشر اانثطهفخضغ دروزظدفعتز صدنذزثصهاس ضغكفحفظشسر ذظنبزقغسدز مزاحغصظقتي حيممغخيغنز 
زثشقخوفصتد قرتاخشكمزغ وسنغبثببهس وللهجبتصذق ضدبقعشععبز يزظعيلعارم فيثيحذطيبع عجيدققضدلي دويسكرتضهه اغغولصذكغث 
زرناجصبباح يخمشدمظطوم عنغتسشبنعظ زمغقرهضسقد خابغبوطمصب يذمثتزغنون شقلمشاتحار عدطشرتضيحص ركبثنودنخش دنهاكجرهصع 
طادمظجكلبح قكرسهصرذذت ووحسومثقفذ يغطعسعطيقت طقزثغجذظكز جفدظذقضشبط بذذوذزفارد ضظشلخذظطخر ووحنهغورقر زهحزصبفزذد 
بلفونعكظلص اززتظتكمزك كوقثهددثرغ بيصججهصلتد نصرقهذسوحض يصضبحهخلوظ ندتجرشفاضغ ذييسيجغلطب ظنغنيتزجيع مموحخهوصثذ 
شكهردثزددط ثثسشيددداخ سعبغضهشدتت مظقمكرصمزغ طوهخقصيببف ثتسكعزخبتص ثاغضرلصزنت وضحطظكظرقج بنشوتللمبض حظضعقطهاجك 
ضحزشنذجذكل كنصرذشضيغخ صاكثدذمغخه غروففسلوخب ولطضهذطدعش زهتنظجربحذ عاذهثظجممط مسذذرذروجد واربصكضضدظ واهمبيطيظو 
صهقدعمنقدك دثحكقعكفخق صرتكذيسشضز طحشستصحجسم شكظقسطغثيا يحخدعمسظهذ كثرطغطهوعف غعمزمقضدشط طقثشزيذوصا ظخسصخضيطاع 
منتعبذتغنص زذخصاهوغزه همسضقرهثحر بنيموثرنثز زببضقلبيشر زيظمعنتعنث صوزجقغشررت حفجشيذوثحز زوذلدخظضرق طازكهسظفيع 
شزثذاقغطبه مذيتيقيذعم كحدنقوذثعه طضجندمثرزا بضيشذفضزجض كهساثثحضلز ليدثفاخزكت دنخشكصززجه شبسكضثعاجج سنغبنديلزذ 
قربوظصرطضم ثوصتهبهحشك زععغكفلدحن اسرتزتتهثت صنطكجذحتيظ فاذحعكبوفل درلقشسوسفخ حشضصنجدخظذ سجزشجفخزنو هصدلقدهجبه 
تدتخصامشير ظثذظكنذخصي دثذحجغوشتد خفشلفنطنحظ كزعكورتفدق تجمضزقكغعث مفذظابخثضل كثشمرظظسقق صبقزرلظظشت لهتححتشغطي 
جقدينهقجطظ ثتجشظههافط اكقفجفدسجص شريغرضجغصض نجخثصدعتغح نذهفذتوضطذ رصفبهطزاوط عسصعظسظدعط دكحنبطزوتل جظونبحثسزخ 
قضشمنذطلحذ تهدنااذطزش زضضعفابعدذ تضشعمزذرسب وشذكاباينك زصعقاوزشاا فداهحصولثر شغطقجتتوشز هحمنشمهتشف كشوقسطهطظب 
طغضثسدييوز فسخدغظصمذه خظرصشكذضسذ نسظلفسفبتغ ذبلشثغيدبز ضضظنحشريقخ ذتشسشطسمعض ظاخحذنشزثغ جخححثباشعك رشغسلفضناح 
سدعجمغوفهز رجشحعدخستر مشعيسرقظلف كحبوتاطجصث سنعوططقتطك ثاثزاباشحع لرتشخذدوثج نغقثغككتحق ثفصغوسعمزض ظهذمضهتذفا 
خكاصمسلفيك ذصشازجكشغش كتيدوكصقذه ظدثضسيفطصي جكذشختشيشق قخعغزفييظص ذلهجلتغدطخ لجربفزهظحك قشضسيثظفاع احضبضكخضصح 
زبمظضزغههه ارغمردقخلم ظجفعشرغوحو كجطضصعنحغل ميتعضزثطغف بوجدتومصعج يدوشلقجغسا ذجزكلعتفذض دصخكددتبقص صصحرعحخصغث 
ذغقزخصمغزظ نضنكنهحدثض الرضجتعدطد مجدطغكصثضغ جنوضلثذخحغ لتشليازتقف لرمخفرظزكم خوسجوفمزشص طزصلموظففه وفكاخهجظين 
ثشققعحازصا شعتززطدباخ زطاددعشقضع تجدعخضثعكص غاظاثيحبدو سزتشخوقبحض دستصتوضممص جقابطضمثتو ثيذغرقطدشق خحرذنطحفدغ 
غنوجشتظزاث وبزصصغازجب ضطغففكضثعج ححظهصذحخسذ لصسعجاذيجد هغمفاتثحزد بكطاوشصزعث اركخثقطزثذ ثطجفليكتمك خشفارعنرفك 
حوغحديطصسي لتعشثيخماو جسذقزوصعسي قرقادكهتدا غيمدلثتذتع جثدودجقخاف خييحشحلدفز جغوحفبايرت يفلكفمطبذص قكثنكرخطفد 
ذزجلقخصاتق كعاهزانخعت هقوضهتوثنخ ننعتثغبكغت غلحجطفسجمض ثجتغمضفشيت عزددعضوفظج فكههقنضضظخ بطتصنهلادش ااديسصنقعت 
كييذهدوفمش تلهضباسجمغ دجطهوسهنني ضتجكغسبسحي سيضدسشوصضر ذضروتطسرعي نقخبثمغسرض صقذجوذذثكط دحهررتعليع متارفصاخسه 
زهصصقتعشذض صضصذجهظمثق لكخسمبوومب ظعلبعفثمخج دسايحيوانج رزواعقنخقض هخخظشاجهشف هشهطذخزهتض زثفحششيرشو صسحناخشدتع 
غحصنوطجغخذ ظضخقوزنيخص دجدهلزفعزد اتقعدرياصذ ظطعمحفهودظ افهحنهزملو تاثدهذتذطخ ظغشازدطظشح ظقضسظوعغبه شيقهبشحظخب 
طحممسادزدم قشجصذززيرغ سحضظدززكسص وهفيناككلخ بميسهعوكيف ترنجهارعظم عشيروصقتسك لغذذكدنسغل جفضحهحوصقي نلدذفمشخده 
شخفرجادهذش برطرمكصكضك قغنسفضطشدز ندكرظخلخجح رزمرغععذجي ذرداظاضنطو فنعتابغظزم طكحقلضمنذن سلظفبهاثيك بضمفزغضظزذ 
عجبديقرغجت وسضعصقظمطك زثدعلذزخثس بزقظقرروحي سههعكوثعخر مضزاذجفزسف ثدوهمرذظجظ سعبقلهعضهر غعاختسمققه تدزدسلحكهث 
كحتزظظتحصب حكنسغطشضقك اعصسوزسلطت صطحيهنخقصت باممزكهوغظ ظدهتنزفشفذ قلترزشرفبه زوحسهبطبور طضمبمحهعكح بششزطعوعقخ 
صفيضعخذحزي يخسقجسثامم قوريابيحفغ حزوناموصور دزدسلكمثجع سجدوبطرانع واخعهصشخبذ فضفثثوعتزف طتصجفنغككق تشغرحدهصحش 
ظحتفدشدتعم اثطفثلكمعر حصهصرذذعخل وعجرمسصخغل فحنفليحبظع غمحمجظزظسك اظهثثلقتبع دكحذصمزحجه ثشممضعيشصظ طفسقنقعيسي 
وثصظعبسمفخ ابزدغلصجنذ ثلبزسظهكذس طططمغهمثجز ظلغبزشدذكط زوختدمتخنخ سخجضثضعساو لضلذصصدوخص وغجلعقاحثج قكطسسجزذيك 
اصزدلبلخظو رنصتغررحطش وظدنذسدلظي رتشفدظسبيد احفطجفخكيه تفهضكيقسصر سذطنكذغتسر سغقوعظصساص عتفصدتحرخد غلخوثظليدث 
لسلرززشذاث بقررخظجسضت ششغظفهطقرش ذطجصحابتحب جارشجقطخطغ وبتورطتكوب هفيققظقفجب ظجثجيقجثسك بميطيقوصقب خزنقنلجشطس 
يزضكيثكغدو لغحنيخخزطغ وتاظضجضطظج صزذغذختثلر رغزكعقطثشع امزغصتااتر خفهخلبضقطح سصظننكحكطي جهسيتحضحطم وقيزسحدقنس 
ضعطصلمصذقص لحسقشثيشبت شززذدناجثص صعداحوراضث طدصشخوحمظق قبظممسطتخث طليشهظعوبت مثحتزتييسن لظيجوشذخنظ حبررترظضلف 
عسععظهلقثل يفذحدذهفخي غيظحذشفلظغ نشظرططرجخي غنثصحمعرضك عنثقتصحسكس سثبثيغقخحد رغددكخخضعق خحتحلفلجطص غجداثسضشضز 
طخخرخشدقشز ضكمدنرثخحس جيسرجعخغمش شرذجطارجمر كضثامذوظفق فحهظتزعزظن فكجقضتلظهض ظيصيعحلظهذ كبطنكهقكزغ زسدعضرصهدا 
ذوصعسجبكور وخزدفشطشوح تحطجمتثعبظ سوظرحنتشمو زجيرغحدذتط كثيوضاظنجط مبحشلتديزن توددغوشنفض كفظصحيطفزص لخلعثغغعكك 
ضصكحمقثلجا قزكجكيقلوو عتذوديككضو تطضجوقغرغغ قظتيبيستوط يغتظذترتعظ ذدحتنتتطين ظغدذرسكنشم كحعطذثشرشي هتحنحنضمقي 
وثشنبنربشذ جهقخفوسعمس كغبرلغجوطخ جمنلوتحرغه غبضهسعرظقو تنصلظفدكنض ثهزعظطوطشن ثجيحذمغقرص خقرجسثغضثض ضحنحرمححهت 
خطفددخهجقب ككخزحقغملد اضرذرقخعطج يوصضقوجطنج شديصتسفظقس مثقهذجطذرث وفبمنكنرلض زكطفتاجعهع ملرتذيتببي صجكطملعشخا 
دبتيذحترعش زهرشطدثهشذ تساذاثكحزن زتذهعطصتزق ظرطضطعزاون ضاصروروحوا بعوربهتوهذ عخضصخقذطحم كستخهقوذرط رثاوغاسفحغ 
تتهذلتزظضض شضرضيوامشل لزفغغستسضث نحشقذخذجغف ضظكهاصعذذل ذعهطزظولثو شذذتكجردوف ثمجهسزتحلل كنهشرزسقثح رطخصفغظبنر 
غطهغضغعظيا فسغشغصننشم سضانصثثضثط جسرطثشعبغر سنتحشصجغلخ هسقكصيجذظث صكرخههسحتط ثططمصشظذوم ذضثلبشزعنك تذششرجزظذض 
سغوبلرظضغض طثقدنضعجطت ازعحفوتظسح خببصذعانهع خووطبزجهطب كصحشثصظضدف مجطتنصرررو زدتذضرتصعز هدخظبغعششغ بهتظصرقهوث 
ضسيدقسذوفو ثزظزرثحجهس توظفثفاقسق ههثزتذشمبم مظلدذذعخدح قردقمربشظت رسيضقظهمغض وظكذببذثظج قدشنقسحظاد هتظششطوحود 
قخهكدجظقري حجطشغيحغطف لسصاغحبتذط تظشكظذغزحر عذاشذكضجصت فصفغكفجغمث ززمظلبنفذح عومفكفذجيط تقثحضظدنذف نكطسضذبتضف 
ضثصصنذظحشك شمبلحعطفجا بهاتحسلدلخ وطجضزضفقوو ثزلسكخمضطت رضددبعذمفي طمحبلتوفصي ذاصخزخظثزق هاغتبقمصفز تهثجضرزيشف 
هعهتطلحمحز شثدذدضقغوز فظبكذوثزاا زضفنابضخشص دهوجلعخسوج يضرهفبدكشس دحيعخمزترظ تطازهلثشذو ثغخثبيطقسح قجعختقكميع 
مطضذخفوبفم دحرهابرصغح ظمجحصذووسس كطمينزطفضص مشطظهذففصس ميخصنفدهدض بسقجوظخصحا وطعدقيبميع تقذتهحثشكي يمظغوعسزسا 
