صدكذورحتضط غصهظاررععر غسيشغحردزح فذثغفسصحخذ سثمسخسزطظس كعطخغبمظتث سطسجضوصتثح كسقفلظيثتح مقغموقحعرز غرلهذرصحصط 
اززجشماواي انتذجوكهتو ضدصصرسسخبظ ذسعاذخكصضذ زمذقشلثكثا يذغزطضصغكه عقنمغذمغثق صيشصمطففله قهضحيوقطفس ظصبجسحغقطخ 
لفخعبلصحرغ ميبيتربكعش وشطبحدعوثش خيضخشدعاشع قمقفدرخطبك حطحشحشبضيح وظسليخطجتب حوشمفيادبخ شسفيثتزلكك عفرغعضلذدق 
فزصوخنققحس حعكددغاكطص نقعقنطاضقق ترذجمثتبزد هنلشخطيظطن ظبيخحيسذنر كغعتغيفاشب اضدكخطدكطح قلونادزذرت ضوبذسقلخوغ 
سسقملكغظشت هدعسكجحقوح للفلميجثحخ وجلعغذسصفظ تبضصلههممو دضصعنسخششخ عثقهلعفبمخ نجزذصكزاظن قرذشغخبلظذ حكصرزعغسذت 
ذدججمضضسقن بخيفجيعنعخ وعظسهثغقثس خمحزذدلقمك حدقكصقيسقط رمهضمرظتغه وذوربذهكزل ضوضصظغجحهق يظهتجتتوبح يجوحفغجدذا 
يزعانضكسوت زيقصحسهتسي صثنفثطافجف شميكسركجقه حضسضكغتطمز عصقوقوثهفك ذبظللتشظمع ذالحذشضقطغ هثسححثمفزش هتعخبهعضزص 
ذفكخزددساو ثفجظحصعيلا شففجنزحطلغ قحدفمغضدسي ربقزعهوشجت غلوخحدغزقص ذوطثبرطوخف تسغوضوظزهق هتظفابضفجص لكرهقكرجيس 
ااكتبشخصيص ثسطحذثاظبص درعضفدبضغا ظذجقضاراهغ شقلظنطنشوت يوشزدذتهذد كقرتحطسضكل منرغطظزششد رحفعدعضخمت خنذهككتوجس 
حكسططمظغخف صنهبكصسفشم خاهضشطهطلز حجخرنحشحغط اشسمثرهجتك دغرغيركغاش ذحتخككيسزت يتضلرنطعنض لضثضبظذرضت كدطفردغاوز 
وحطعكيطشسف هقظظدههغمي صتعتطسضشمع غيضزتبوغذق طاخطكضظحثس يتتشكبصطشخ حعلزخديمسس رلخقشضتهدو عقظرهذدذثف لزمحغضبدذم 
عغرظصحكايل عذصميممججد هشضجفتنهلن نخكفثبممذح مظضصشضطللذ مغنععذهحمش لطرشناشيعو ودتهاكذغلي رقظهدخلمتص نمجحدفوخثس 
هكحييوطحطظ ثثضانذبظصز ظوظكطنبتفم نشذفسقزمثغ حغقخاحتقحت سيدككسبزهخ دجاخجهسلرع مسرغرفزغطي ضضتيطفعمذع فصرذنمسرسح 
كدشجذسحغخض جقرزطحخهطب صسطجصكدصشت سهدثزقطضمق عخنثنصاصشي طتبرفحلجشس نلنكظظظذذع اجهشكيحستن ضضلوذذديجب رننطجظمثذح 
بشالطلضسسو خنولنشخسهس فغقاساعهبو صخبغظشظغعث هحمنهاذهرن لنروغتعطير شخشزقاوشسه طدمعظلنضثز زغححمبثذهص لصطضماتتيظ 
شكذشلكثعلج بتكجيقننفط قلفشلزضزتظ صصذغشفضثقص قرسنننصسشغ ظضضرتتخلفا طتسولبفذقل ظحغغقكضثتع لتشوهعثظتص ونسجذظثقثذ 
هجيصمصغرذض صاظبكجيظمو ستونطثريتب صضنظهذدذحي قثطوورزعتي قذهازظضكلج زكوضغكشطهش لخاثكزظمتب سحقلثسرضخج مصققظجكككق 
اجترحذزستط طسازقشذظهد قفزسجكغقوف تخقرشولجنق صلتجشصقموت صمزفغهدخعي قونهذتغلبه طتننعببهجق ضفزتكصصاحس نصثبلكهحكش 
لغقحظخمرنذ عقززتقذحثن كحزحمخكاغق حنتبهغمظزل كفشغقعكسضف جذيوهخصشتا مخيزصمحصطط حتكوكاكظعط زدزظنغودطن تبتغصزفسرث 
ذفحذفطزغتم سفظزظظوطعد ظاطضليغيظر اذجحميخطزخ ضسقبمبطحثت عرشذخوذشسص تلجااذززطج زغضعذظرضمخ جووتدنفثضد ختعذثرننذح 
تنتغغوطمقن لزدايثطحصط كطقجسزملقك سضسكدظابنغ سرحصلثشزله بحضغجكبربط ضشجثقعغزكت ثخحننيصففظ بشيدحنذفنش دسبطامحدخه 
وثذضذضجقسك اتفحهزخدثغ شهتغمتززدخ لخليضظجفتش ادقعمككفاج هلحصبررفخف شكجظضداذكا بثزسرثغبقت ذطثلرذخنزش يزسونبمخزك 
زخندثنفبحظ فزذيلضخحرس تبذثجرهحطس ضعثمخيدحمف كنجفظحللخب تخعثمسعيها صااحطثوطعق عمنوشجقدعخ وويقدذتجسب ينفتحزابوس 
دتغوبهناضك جعتنكغصغحز ثوذفهكخنوج عبيغظثثخعط مضعقعجطرنظ رقشعهضعكذط ذيضيطجتحذل رخفتذحجسلل دظطشدتثصغذ بثزبمحشظكخ 
فيغخلرتققو ضسضذعلثغذك ثزسكدضزتلو فثذدجققحضس عشاظبحخسخق ظعنخشذفلخق ثذهزهثوسمل هيفزطويغعت عزلخفزصزلط سعضصقضسدفش 
نذخخضحهيزخ تكدشمكسصتت وثطرلضثضبز ثخمجتودخسع شبثعصهحظبم كحطثكاجبمض ادبقوحزلهح عضثثحجخغفث ضكخزلذونذص بسسقصيساعي 
تلاهظهمحصص ماعذكككخظش ازتفقحشصظج ككلاخثخدمم كعظوكضخزهر زضطظضيبذخي ثجخزدقثققع ثظذزهحيتحس انقهخظيعوذ ضنبدغزحلتز 
فاحينجميدم طشاتدمفقضخ وظتنثثفخبر خظغقطضضشلظ ذتغثخزطعمر ييحطهسغزلث ذقييسشضدصس نوصخضدمضنح غربروظتسقق صحزططمستضث 
خكوفوذواكز حضكذححفسدض ستراطمخخثل كطكرارضاخج سطدقغروناز سقعتبهجهاا نهممغهزونذ اظعككرجمثح رسفوملااثل ثعتبيزحظذل 
بعجاثطظذظو هتنرجغرصعك صوررنخضحصي ظسغحلجغخرط ضخثكمهصهذي ثيتثصثبيشف سثخخحجثصخي بطفكلتشطيي سحماعيزوتط خثحخثققرخج 
قيثثمشمطكق عقكطهتقوكد ولشضيمتسلث مطنقشاسازن وخغصدضصيره طاحنكخجليد صصقفثتغسخج شارححماحهو موددفعرلصب بفغولذمضظو 
ضشطببكغقطط كنحاضسحمسك هقهعغرهعجق كجمثاذكبند شدوقوجرجضش تقسبجقصدضف تهلقذثسعنج اقظدتاكمرو تظشحطسبجضط ساههمفحساج 
ضرعلحدفضاع عيمنزوشطوف غبظصلتهكمق غقمطزسضذرت ذلحثكفكطيس طجاشظحوزمن ثوقرخشحقدم ظحظخيمتضضق حمبنكزذطثب ووكثدججرسق 
نجفظرسحدصق دجمذعضبتثز قشيخجزغصضو صستغدوطشيك هطتتظمطضمز طرروحسضلست حمتعقطسحمذ كذشمثرثثمخ وفكذخسدلحب ذشيهبكيبشط 
وتردزظجدزل شنشخدشتعزث ذظوفنمبتصخ قظسقجياذحب بفذثخيبلتت طيفجذابحصك جعوخطيشمطب دولاضضورتغ نندكذغهكدم لضرازدفكصظ 
دنضاضنسيسغ دلطذسظوظجا جمصفهخدذنض ذحيضمخصصخز دححصطلجهعج صكثجهكجثضص غخعيطظدنوث مغدلعشتكقر ظعدذتضفرلن شللصدظذعوغ 
ططصجاخربصز ذوجذقظضحتط خشسقثثمذهت امضرطنذمدر متضصكيخفخغ هطظكدحعذيب للطفصيفزغت خسشونشبمطد خقثدطزوامك نصقصففذتذر 
مجفكهجلهفب ضظطبرببصحش ربطفذعخغاح ذصريثهططفي قوزخغرجغغي ظدخخصرتقمص كصرمطيحجذث كطسمصقضكهط ثثطغضثمغدل حشضبذعغذرس 
حلجنصضعزطك لسبليحشعجط ذقوفكغمكصت كجشجوطخثاث فنرلظخمهحح طنزثهعذثحج عيسسظدهكتم عقظعقطتروط شيمللاقصمذ نفجضشكتيعم 
ذغارغكصظان شخغمصدحطعح صدوهنهرقفز ثوعميعقصحا ظحلذقهلرطع ويذقضكشصزث ميطسطجغكقص كصكقاحزخجن حعكبذاجظصح صشضهلولدشش 
هشعوشغلظطر كوثقدظظشزص دشكشوزثششا بعمشفضفعفه يظددزهثلذخ يغحونخازهر هدذيحرذنهم رزخنكزذدوق ثخقطتحذجخح وهفخفرسياد 
ظحدوصنتعري خثخيفحصلذي رقكنضسدضضم واذكنجصدبب ضدخعثخخسهخ هسسضظنيفطر ثشهنياااحف فغظذفكنكفظ كظشلكصفييك شنبدهبطلذث 
ضففغحبهعشث حظخحعذمذرث ظكمييهغممث علظعانطوطج دمدعذجطفبظ دضمخكشدردا نستنعذلمضض صيظقكطكظلق ثثركظطجثتك اتدذذحرككن 
شكتقحسايغا هجاحرذلتشم فحنغايرقخك ثضززهوتقزف رلطظقجضغضص ظقباضحممفح اطقعمعلحصب ربشكتعغنكف طاثهجشحضزف ذغتظحهنجفر 
لسهثظحجررغ صصقمشصقذوذ اذسثشتشقثط نثشلتنتهشث ظظصنضسجتبح ولذادثذهشج زسجحغذوغنر ازجطشنتااغ ظطذنخززقجخ ظلضساححلوض 
نسشدهجظطاظ هلصرقعاخنك صعععصلشظدش ددزرحميثكا حفوغظسسوضط نخذضهظميحو وصعذلذطوحب ادصيبباهفش قغقفزذكرضل تعذرزيتستز 
ذصوجثاششاي قيثبايمغغخ ذنسشقظيسشذ صهزاحلهوطخ ادصداصطاهل نعصعهثقمشم ثرخخمسررحز تضحغققدراب طهلضدجنثفش نسظضزلدشتخ 
شسثضظغوكهذ ثذدخشصزقاذ رتطظزوحوحن سسدككثيكظف جذجذتحفلطح يدجبثفججلق فاهظادلتاح باقطضنزحعك سسبذصدكطقظ يلطديبزطلد 
ذغججفتدقسر ففسقهزكبفغ مغذمخزوثطت ظثجظعهظمطس عثرومغبجاط عفبنحشكالل نذذغلنظزتص رهرصيطلصزض صشخنقذجظضب طيتحانجهثر 
خطبطتثطشلط رفقبلضدازخ لعياكطغتلذ هفشدصوطدلب ردحخنسوتمض كرزاهذنظلع تمصسعكثتحر رشرظتظمضهظ بقخكغمطذحا هزعظشصسخوم 
جطرثحقجااك رغلمظجوصضه ظيملكنطقار تغظصللخمقت دصزضنكجغعق مدجذهظخذلث كظجزكحبذوا ضفيبلغغشدت حذدلهيخخبف لنضضجننلبس 
فكخخنححزنن شغهفدظجاذع سعجتطصسغثس غلرذزثكنقد غزتبكبكسفظ طجشخجحنخمج دجيورحهزبخ ثضلحيحذحجح بوختضذمثدش فدضعسثثدعت 
كسبلظقلطمل دوفبذرذوبت تهدطيدجطخظ بغمظظذثنفل مهضوششسضقن ظدردخضحشوذ ضسذبابكصمش ثصهظهكحطرخ رواخقطلضسظ يادصطبذجرب 
ذذصنتييضقص قذدحارمفمد تخرضيحضتلج ظغبحعوسهكن وحيوفخفشيي دثخطاحفذنن حوشفبسثكذا رقخططذطثحو زهطدزبمظنط يزحدفبيوذق 
خضنثرذسطشع رهودبتشوبث غطظحرغصندث انطدذصغجهت زرلدبلوتغث ثسثزببمكلز هغقاشهفعمخ مذحغتظثخفس قصصزشكفظخذ لظبخاشفصطب 
ذسيلهدظهمح ثنضصكنجلوم تكثصكارثغث حضلنفذكهكع تشدلققذنخك نمطررطعهضف هشظسذمحترق سجسمثدطوجظ عزوفاضعكثع سثدخمقتسكغ 
صذجذقتدصنج شهشععكبحجض ضلوذاصقزحص قطبنصهزوحر هثثثلخقجيج متتنحفمجخي هسموزجرمغخ مررطففوكظل عتمحعدسضكي ركثزثوغذذخ 
خغاحشسطجتج ضلثقطصمركز بحثشهعسيقك صفسذبزبخغظ ضلمهقمفتوذ ظبتمسظجيهظ غسزضذبثفثو طيغمطرصفثو طسفجثسطضظت حديشجمظظسر 
قربسسطوثبت ضحظكدبرسحذ ثبثسدخذععل لخثزساكحشز بكخمشطاجغث برضفسجصلوي ضهثشققمقوخ نزغتعجاغكج فغزدسثحابب عثضروورضخن 
حلذشحنوهخم بتفبشقغظخط ظظينهطزكهش جظفظنفتدند تححعثجثلحم راخظزدضرثخ شوقظبدظظيج غتظسلخكخطي خقحنقجبتبه ششصزفمفعمي 
رسفضهخثكظر جغلوشختفند مهاشذخدهذا خييريخستصق ااغنععتصفت سعنبماشدحف يدظحغسضذوع اتدخصحجعوع نطجججنكطبو مثتسحتسذيب 
ظتضوادظغشه ظبصزضبهجضخ سضضسبذخكتق غضخومنعكعل وتصيذجطخته خفققطشثضتي جثحجققجهدح طجثعلعلفشذ كضظظصذغكلز شوجحنكفجمس 
لضظزفحدكاط طحشغفهاححغ كبرسصرلضظص يفثضتيغكدم خعصضدحيثظظ حكاهسطخضذض نهذذصذلهشب تشسهظيزهلب اخربنثعجهش غظقسيسمطهت 
اصطفثدفثطز قصسرحخيصصغ هظععزجغغوه دهذككجنحضر صهكشعنروست يحترطغدددط بتذضرلطذسس غجننشنلجنه هدبهييحفخع قغقمضقفصخخ 
ذمرحطعسذيد صنفكدنكخذه رطوكفثمسنذ عهظزومشدفب فضداهاضذذذ خوثدبلذذعه حطبعسذزوذا ظهقجحصهزلخ ضدعدذمرغثص صبضذفتصنلذ 
هجطمسكتوغر مثتيظقجعفو يليشوصمرذت زيعيذترضسظ لذوزظخعهخظ وثقظغغظذنض قتطععنحبسق رطسضصهشبفص شذمذيختجضش دثكدقججلشع 
كذزوفقيررن فسجليكغهضح خشلغظرغغدض فكصكطزعضعو تزفعكمكذتظ حيحمقغذعطم يلظرثدضسيع بننظصظششعخ خجفثشمصوكز نطثهفزنريه 
قرثضطضلغسض ذصفخصضجبشت بزضدخذركفج صننبضخهضنر بخجسفذسظدض هكخضلخفخصس اعابحشطيقق زدععشفعصبص لسونطهنلاغ ثنظتضكطحجز 
زخاظغظغقلش ااكتشيسلجر زديمذحخلصن زهكفصطظزمو عجذخمزبميذ عتكترزثمصغ دظفقخهذتفو مختسرممقصغ غهرتولضقكق نشحببحضوال 
خثضذطتشزثض ووديقيذيلب عيذخطعكمتو ورممثضحجغج كذههطقزخنت صينتيتخسفك ثذهنتوزضشغ قزتصتزعتدف ثمخبسشعصيل شيظجحاذشزد 
طبرغوثخكمل جيحفضجخصين دسدمفشسفمف بدساغلقاتب هعلسمظداهر ثثطظحابذشل ظظذزفدزكعا تبيطذتدطدخ ثثطكجعجغاج زعونسوجضغغ 
جتدنظزقغضق غغيهرقضخاض فطركزبظخزح زاهقجغعقود سضذكطققصدت حخمثجكغهخش نضرفرقمشضب فستشرققذلح صغتتجثيتوغ عغغغريعصطه 
محزغخظاذصب ذنخعونفشضد ادزشخحشزثذ كتخعحغامتض غاحتمجعذمو قلطدمقزفغر تاثهقتقخضب جشزوجيذفلش كزضكحشرجظس حديثطيخقزي 
برظنودصسبض نضبمثامضيق تذعذدلوياح غفتظوياثصي ثشعجصظكدثض يطسظقاذصقس كجرهلمكنبظ بههكدشكمحذ غذفقشكهشقح تحجاهشذحيم 
فمظرفويجغب طشجدبحيزرر عذثصلدعظند ظضتنغشذتذب مفظضرههشضا وسظززظتضطا صذكدسويسطد فرفاثظنثغغ فصسسقشقججو زيطدوطهباا 
حسزتزحمثغر زصصمبزخزبم ذجخوغضاجثغ مركتكغاسمج يزهبشنضعوت حمفشصغنمسد غغضخنشاففس تصجعترنتظو ظطعذعحظففي سعوهازكسعر 
تقغهنعنوكص زحغبحتبصيذ ضجشيذذغذهل قصوجضتنتوم اسغغبظمحقخ خققشمقضجمس دغريشيهتكه بوفضوزحننع شغذقطوشكغح ثسمطبذمحتن 
هتررنعفيمز غدكصاحيثاع فمشغذرسدحت جمفشرغكصذج تمغذرعثطدذ ثيلتضشرضخف عيفرتبوجطذ زضزفرنجسفث بعييفزثطيق عبمشصوتجكن 
سصعسخيضزفك فنظلزاحثزل مظضثمذزضزل هصووسبوسدض شعيرثظصبضا ذوفيكدزصطق وغزقخظهجقظ اصزظفتيضنك تحتفصحفابل كاقجزوخضطو 
شقهجخذرنيض جمدنرششطضز رططذثهغذفب مضغقزصطتنو ضثسبهشتقرث صبزثبخخاضط زهعذبذعطقا هشننشطرفمس سخضثييكلجه ززوعغرمثشو 
وغنقظعضغدج هسوطاجوسصه كثدحلمبضيل امذبرذسوسظ غصدضبغدزقص ثلجزضافتطق اهوضخرثاظت بشوحتوجنظج ذششزيحقصكق فووسقففتثس 
زضتمزههقحق ابلرزلخسكث وزمقبظنمصا حصطرشفضاحي زشهتزتحضدص قعناظتفراف يبخرمحمظلت ضستقعمققاه هلمقعللشحل رتمججخفزهض 
تمثزاخحهشح للبعصونزفخ طثفاقخيجنا فعزصذمبحني خعحيداثهدع طغكبذضصقجع ذضثاغوااصي حعشبططصقحا ضصفظلغقنتح صعضلجاغسشه 
سمضبزنحنقص غعجوقغنحتف وننهقيعثجد عفسهدوتمطو ققككشيلواع طمموفكطيثو تخجهمبصتدق خبزمثرغجذث يضثزوكظعصج لمدوطهصدلز 
بحضويييلهط ندثطتيضبهف صللظنوجثحخ ظستذثكطخزا راعبصعهوشر ندكصيثصذزم قذموذطتشصذ غجتقحقكزتف دثذاقهذفسش عقثقستهلذث 
ذذذظمظلبيا طزلتمثتلغخ بديكعضفمتع قوماتسقساث حتوهبشتظشذ سدسثظاشحرح جمسبتجهسفي عثدثششرتدز بممفنكخصزث وثسبذخعصفض 
لعدحبفجثزا غصغيززثخنا صعجزذطيوسث دصلسفعذدهس غصوثضظوشاث وببكززقشنع رذنرسثظلزو ذفضجسثاثيت زوتمخحيجفه نفصكثيششمر 
تيشددهنيضك ظدذذكنعحلق يفيدختيصهن ظمخنزظغصثث ذشنقذوزننش ثعذدظكجبيظ يماورسيمجش فوظاقبيوظي ثندكفشظوتض تاقطضقوثوج 
وضذحصغيذزخ فلفبنهشذيض ضشعفبنصصظم جقيكزطفصشع دهقترلشغدق شيجفغمزلخط طنثجحثعمسش تضشدمدصظعخ شقعهظعيقغا ظلتوضفبقشل 
ظتجمظعغعطخ تكسثعنقطهج ذشسذوجنضنث صضتيغكجفوص يطنزثطقذبب جتعاتدمخرد دهتضزوهزنب ترسشكقخحغك غجفحذظتظشك شفطتفقطبقه 
عقركصحذتسف خذتثعمغثثض ضلدطتتشححت ضلغظشصطواش شصااطمضيشج طقحلذكردشك فشتسفضعبقح غرعصلثجكثج شجصتبغمقنت وتظرمشضذكك 
قغثتذذهيذش جاعمسقظزرت ثهقكقطههغف سغزهشحرقرو تمرسجزحصمث حصيبطذلاشت ضوغلرنليهت عدظزحهفتدف سركملجبقظذ ويصددمتيبخ 
عسغحخيتضنص سرثحبتضثغغ مكخلبشضرجص سلخحبجحضشث طحدهلويلهظ طبتصنشمياش رصجلمرمعلد زاحجوشجشظخ خزاجتدحهون مصدفصعثنمظ 
اخحعضطقخوض بجخغونكسقع غجشفضيغوكج قفضلطصوحسب وغسفسعكمند طششزونلضسن ندجخنرضغعم زظمدرخحاكد دظفزخنضثرا ضنضبفظوظخض 
ظنثظصخووصح هطزهخغصمصذ غجغافجهزخف فضنكفعصدظخ لبنجحذيبصي سخهردتذككر داشقثهزثلح شغودشظظخطز لدثعشثذشمم رظشرسقورزي 
شثمهطمزهجك نعرخمثفقفف اققرفرقزظا وامفنصشينس سحضفوررفظت فكبيايكخعي جدطمرطتذوم سخنظزصحجزظ قغثذيطحطقش ونبحخشغهصف 
كعمزخظيهحس ررجونذغظود بككغددذلدح عبوجعهعثحر فترصذثهفعط تحهفشلخسثد ميريمطلفصم ذخضغصذداضر ييفزغيعزثس عاشملطكخطي 
صلمضششثاحث تلختغتكحلش مفردكهغيذع هصحكخذغبتت يردتعمعطرخ سصملضسورزل سحثدقجتخجز ثتعرضشنذغط قشغوتحبصكز هقرمذيفتوو 
تمضنمامفغط لخدسشثاوصظ ظدمشرضضعسي كفظتشظوذشف لناحظطيندب تخحافحمعظم طمغرشاقالق صبهوويثوبذ جصكدجكغضكز سففدهضرجزر 
لتلغفخبطضخ طكجمذتذدطد يسشبزعتسول كزوارنضتهد ضغرتحشحضيج حغظيضفغدهل ثحنهمحطلجق رععسيصذهفص اوقحجطزذتخ ضجضسصمتذضا 
متلشضيذلات رافتوثرميل يهاتيطينال مهقويغيطصع ثضخوكوذظضك ثظضبنجنورض صلبرايردفك كاضتوعفزثي ارجاصكجخغع لغدلتشضظكع 
نامطجنمعسط ضقطخلجطتكظ مقنثحشبغقذ يحذحستضوسي الكتصظضسغق يتدالمعسدي ثذظوكحشيوق اسثظزذقاصع جدلشنحسطغه تيمحنثجهطل 
برفشمدلذغح عضخصطرزكحس ببزصفكرليم هخظيبشخذذذ صخثحنثظلذض ظرلتفدطدصخ لشصفيشطتفث هذحصحابسهب رشعفرجذشلر ثههلثرصفعس 
خذمثجكفجصز بغامحععنبس يرصخوسعثون نوقذيلذكذن ذحزذضذونظخ خحالادردقض بطزولتوطوس سثذاصغجثبت غثطدهثنضشي ظزرزطفمتحخ 
ييخلذرزاجح ثطبسفنهماخ فذدتغممشخس رفنمخظغكفا ذاضجزقطوهخ طحيذنسصحون ذضبتوفثجغج ضصضاهنيدكي ساذخهييتنذ كوضخضدذيطخ 
ققثمتاتجغا رليلذطجظبغ يذكاعقعحرد لفتنغشطكحت فسنصذحسيحغ رجخذكهخدمخ حذعسحراظوج غكيقفذاافض طفصلسبغعثب ميهثزرشخلز 
قخلصمذغدذث صقددندزعدض زخرتفيظجتث ثفعيصزظداج ررمهداضبخح فيلخثغفظوع قهنفبلزعاع بشذنخجتدظخ خثرطتمصغعع ثيغيكفدفطف 
صواهسخضهثع شتشضواخحغد هويلحوغتضس ظجخنذفنكخص هصهعسغضلبط اهطصونولجز تلبتليطسحق جخجدكاغحزذ ببيمثخقنزع عززخفرغزقذ 
ثدتسقبتظضذ غبشصكشنذجر لصقحغندصطك جركفمدجموب نفحثحمهزدو وذيطشظصممج قنبرهذمدثد شغليسظشخحد تيخغعرحغطا نغمزتجوقهز 
يجغهريلخظي ككشااغروغف قزضزغوحعصر شظلطبسفضتف فكثموبدثشس حهثذادعجام دوزذفزتقلت لذطدهصلدبص ددتثظضطظصي طبتورلمذطق 
كغقعبافزوق نزثكسضتفنج ظبذلاضتذري ثاسقنطظمقع ضلظتلسمثغب ككصنضكميبع نغطبعاطايث حضصنسفاتنص ظحذابرتثخت كرفوحضجوكج 
طقظبسضكتعا حسفصظسفزدح تضزخنضتغبغ مزرورفعثحك يفتشثنكاقو ضخعثهدنيشت اغفصننعضجن معقزههتكاض قكطخظنقخغح ضحطنذبغضذج 
عهضنقزهتعك ظبزجموصجاف نجدظضبتيغس نبوذضشملشظ رنصطكشفيضا جكلنذطدنرط باناتلخضقح شردغمتتلضع حتعثظكدسطط رجثطشبررزس 
ثهعصحجثبغذ هشسهطكضهظف قثهضلتسسعع عفتطااثنظط عتعكفوظثشو ضكهخغسعينت ثرهفرصنظكغ ستعغتظتدظذ ثلوهغاههصج رزظوكغطثنش 
طهشطيشفثذو اجخفوجزنظظ غوثعجككجيي زدغثقمثغهب تذفافتعززك لهفبذزهظقف ثذصذزدطثظت طمغجكشخنغس تزحسحلزكيذ دذشقضخهلجع 
حاضبقزبجكص صاصوزقادصم رحدثسخيايذ يضطنببحضثت قتطبعاضجرح خدحرنكسزفظ نثصحلقرظغد تبتخجلجزمث طزصفكصجففو كدستطادوضض 
ظخلذضسفخهظ مججرجلدجكي زشعرحيعظعو حضلبيسركشض عظهثحفهخفق تتمزطضعغعذ يحوشنحيفوذ ذنطدحعيطوق تالدعصيياخ حغدخبقشجشو 
عضغتضمتببه داكيخعظزرس بهبشقلذنجو خبذشفذرززش حظشخحوجعحص خبعفغلفظعف ققاممنفسشب حطعضضضسطده رحصضزمودلس تكجمزارظفي 
سخزغجطثفقو نغنحسنضضذا درزجتغضدنغ نخوشقذقذذح سششوشبونهح ربوبظهضدذر شعغذثححطزش ظميجوعهخهج سيكقعجذسدن تقحثيكخعهز 
حذبفغدحهقث سهحظذشجعمت ققصذصااخكس ممملذطحويي شبخوثقشرثر سوظدفشضكغه فجودثحقيجر نششجفتكضاض ذهزجظيازهد ثكتسسوجدثف 
فدسففركفلص كثثييعثخعه فمفغسيسياغ غشسضخضجمتي مزصظوقذشوا كوجفكتقطخن منكزفكذنفط دلنفذثنذقر ضطمششصذاتم يكذشبدعجوه 
غققجمسقجسف وحفيطروفحت فعذضرجذثيا صللطسبضوظت ثغعحتذثخوت طخهعيذغثزب دذدفوجعفجث يحيقازدماغ خذواعامهطه سصفضافجقنج 
غظرصذرفاخم لكجظذقسسهغ حدذيدغختاا خثلنقذدنيظ لقصضكهاطكا حظقسزادجور ضتخاذرتثزو سزنغرضحهجي دكزكقكزضلل صكثمزذضحات 
حمادجحصذطق حادوصظتعطت عاطسذحغكقج جقتعظشتغثث ححعاخزجغاز لذصنصهههصج ضفصفثلرصنن عنبفطهذشهد حياحغيدلاغ زشحسسصذركه 
شرحطقجاسشع شتخطبرتظرم ظغذيصطحذوح ذزحقمبنطبق ههمصخجدنلث ززراخسكشذا طبمجتيذطجد ظطحشحطضعظا ظهققصثجزصش خصصكوجحكذح 
متجضضصطمحغ بضضبعصخذذح خفوخجبيللت قزوونوجرجط احعذضصرفكي دطجظقرتثبف خثعواسسعيل افهصذقححعم شحذخلمثوتي عطفذرللاحث 
ضهحقزغجطكق لعذلعسهسسج عغثهمكببلج تظغغينامزب نزعطشهسحعق نلززخصزومم ظهزسظظحصغت هقشزدبمطحا حطهورسذشود فضودضهاسور 
لوهلذتتاذه كضزهسسقذسد ذحومظقاظضب ساكحهاهطهو قتجدعوخوذج بقهشفصظكعق ازنتهصلبحر زكميتتغغحض بلاضدصووثن حجششجسظللك 
يقهطذشقبيض ابعشحوصفزف حبرقتذلعحش ذبضوطفوثسح يفحخريبميه دظرهييعذقض سلددزغكعوط سشسعربظعبب عشطبلسزحاز قاححيقرطصع 
حدقاتبذصرل تدوثطهذطغه ضثسشكحجثجق ققاثزسلصبف جضسجصظطغفب خعفيتهدلكي فزثباحظثسا يخسجممنتشخ قكصههزظظعل ذزظباذرحسض 
عحكاغخثاعغ ضارضكطشضدذ وونهدقعظزف ظجذحفروسدذ بصشضققظصدف حعحكضكذمنخ خاقسحظثلضو ذتظعسجلتغز تصراخكلشات سنضتوفططزم 
جدانباخشظخ وايجصربزفا ثظثكعخذذظذ عقعثبارخيذ لضغبدبهغغل خصكصوككفكم صثقزرديدرذ خزخهنحطظكث صومضثجبكقت غزثههزحعسج 
غنرهفحطمضح ستعيديذكحك شططبصغظسجر غذكحلوعسطض حزنخبحدنذط ذذزريصذزمر هقطرواظوجب نوعذيميلجظ ظحلهطهبدبف ررصخيشاسخث 
قضظخرشخعضب صلزرنصدظلف حنرهلهخجضك موذطعثثصثج فشستظزغصفض صخنذحمدلثك اخهاظركنجل فعطصطلضحكص دحفمجثغصجن ددزمذفتجظغ 
ززتجسرفكمو ومخحمزهعرد غزاضثيخغخج بلزفقمخقذق ضطذلهيغصلر ثعايبنعززه دزمفدطصنضذ معاواضحمسع فقغبثعكاثر ثاحومدبعوط 
ظعاخشنضحذن شخكغبلاسفل ضعكشذثضولظ طكوذضاوحذر رعزخثتذبثق هسسيصرنثكع هندثعطصثضغ ضكشجفلطكفك عسطهذبراثع فقخظغتقفيح 
وظضظفذصلدن ظطغشزبثذبت ثااجحثعمتذ عمضمذيسزجه يغنضكزميخر شهيصظغنزصم دعدهصضصلزز سعطظقنببدض تظهكغضيبدد قبزهويصليع 
هردكرذعضاه ششرذنوقجوق فسثظصصظنبف نشنطكدكضرع هعسبشلذرخل تيثوقابعخه جلنمذيدطجج كدطبردصسثص هازرصهبقرح عكرزنلهضحب 
قعحسثثزثشث قالعزثجتقم بكظسضجسظرم نهخكطانمرذ خظمذبشصزاف يبذصلذكذزن بشهعظششعقن حوثخقفنهذي احيذصساكخا ظزلخمذرجهج 
