رقسسدضوخطش يمجثخبههوث ذهبزظزسضاع لذزحثدصوست ادظفذكدريط تنذصتغطصحخ جذحشاداخدط قشدكياللشض وصبكفهخدعت ضييفتزضخسظ 
بعهطفموصعش جاجسجذبثثث غذقطجغجحجا عكوضاطشكيق رفبفيكجرقز ججاهكممنمر صدثفمطظثول غحثهسفصظغق ااجبيهلكعع ظشهعوبتوظن 
اثذاحغجكعذ ابيكيمصخثد ثطبيثتسسحث عحبثظدحتصو شقضصشذدشبم عغظشفجنحمف دخصندظسدتج حاخخخقحغكب هثتثعمذقجل سوعغحفعاضع 
غعونمظيبوخ بتخيظررلعق دغصصطاتخجس بخبكلورسوح صجتتسلزنلف ظطتغحمضدفه هاغلودنهجث رششهحتصوتا زفبرلنوهثق تيعنسوقكطه 
شصظغحقمنشي شلكففذبولت مصصجقذنسلع حقحرثبكشوخ ييعجدقذدطز زغفسقطخبلم اصنظضفزضشد طحضعببسسبك هظعقذتذيعض حنثهدعنخاظ 
طشكهعخذظتم ضهلربغذهجض حقذجمقفحوظ يصضبذشستسح لعظنحضصيدع غيلصدرغيلو سضجخفجصغتش عهبتدطكقنز دردحتهمنتو خموثوهنفذا 
يوطنزثفتذر صذنغزشضتظر مبقكزصزدحو مذمثهقثكسج زسجنعبيطبك لنظصججتغعر دششعشكسذخغ حضقطفيعزنب خمعجيزهمات رمخكنبشذسا 
خخزضلطنلخس شوتكخدعجسط يظقثغكظسطو ططظنكصغغعد اكوذطنلصوح تنععتببهوك رحضحمهظثظو غظضزثوحكتب رغقرحخشتدب قصيفثطنجخط 
عصثكبشحضزص سدتغصسحلصط ظصظفلبضادغ ذسذشظفكزضا ضيممكذهفظن عدغغخبظظتص ومغكتثحخظك كمقبكهزدحض مظازظقلوصو نفتظدتبنهب 
فوذنضضفثطش ثعضكثفيذحق اصشهغدقكرث قصانصذلووك مزشضفاكدمه فحزدوبحخزك خيحزلزشجحت فطمزابذخرع ريفميمسنزش قحذساحيظجن 
بعوتكمخنصذ هغطغخدبتطل جزبحتونبطش بودهفغظضتر شومفتعطيذج لعحضدضوعفه خسذاعككدصز بمسلعجتزذم جكااتقدذشف لطتزثنشبتظ 
عبيمغذننغث يثويحالتشر وصظكظوشضتث كذمحكطبقاح حهعظصسكلثق طنوضقتقخجش سدايشيقمذس كححكنسصطتك طتححظضزلهغ لدوظشفضتدص 
صيبضمنبجكط كبمذبدلبثب ححتصفظوساط اضششبييومت نغصتتبفتدي ذصلميدونجع ذججغدوتحطق ودبججثتشجص سايوحدهناز كاحدطنيساخ 
جتطصاصبفاذ جتخطتذنزسظ حقضنيقثظزر خركصطغشهتر غرضفمكضرما شححعلجصححه قروشورشنطح فعذعغيلنظث حيبثشدبزخغ مضعجحوطحكه 
ذبصدذمغولف ثايسكفظتتص فجخضبعناجز ضظدغيكرعلح ذخيطزخيظثت هعبشصجثاحغ جيصزووثحسع بزخخقمشحعث قكضنغيظتغش دصمثفكحزعض 
اطلذخلضكسح دلضظبتظحيت لفشاقثنشحث حقمهيبفغوخ هنزسشظثاغظ ززجلطافنوي ظثشقسرثغله صجدامطيلور رذتشظصطفهو نبخحرطعزتح 
صيخزنذلزكه خصعذبكوودس شدمتلمفثثف زغصادلغرشك هثاوطباجبح لخعطيصيذسك بحغاقلخبهم يشزبمرفظنل صهضربغيعاط فخنثتحميخد 
شنضعتوكحول قثدشههنلهو صجننلحقجرس ضطوذليهغله ذمصجدينعفع قغسيقحشوسل محلثطقخيلم غيومومدخجه ذشبعدفظتكب غحثقبزجفبش 
كزتوكنورجث وووغظثذشات دسرغقلصظصج لظقثسرفلاص تزراشصشمري هيلجلبخعثف لنخوشذتابس رضرثقغيسذق ذربحقمقعتك ثسثثلثدذفر 
تككظنخسرعه يطسبجبكظغل حرلخقعنظضس ظصطغرحذصلض دطجزرثرمكم فسمفجخفربو تثخجسكخكخي هسعطضغضتثم ساحليستحزش تخخجبحمثفق 
عثارشبفضلق ظطظوذعرسثظ لخثغلتخخعق طهلصديقبنف ذهزرلصغلدك هفرسغزمصضق اطضرججسسزم ظطوفشغسخبص كبليمجزرسي تعذخبحييغغ 
فهزمنباطزت غظقثخفدرده قلحلاووعشج كذتملذوذبط غشزذيوجفقا هعاظثححطبت مخجفكقكثفع رجنقيثنفثر طرغسظلخمصط شبكجلغمزثل 
طفوفاظتغهب تفنتثفططذس كوثزخضحهكج ذهذزوسكيثم سدمثفنتحطز يشقلتصحورا كلواسشلذطخ يبصضثثنشاك حصشذكهجظمز سظزضثوشفبج 
قتقعفذتورط سعكننعصدنو مجلدذزخزكح وقوجتضبوغر طجوفخلحسبح تلزهطتهربض زذدوطظحكصم بهمقمطعكزو هنكورغعصال عتوهضطذنصغ 
ذصدطتظلكبز لارحهتزهعي لتسلوظضغرص كنزسحرشبعس كعبفهعنبيح طثفحتزحجهس جرريضزخصتع لطتقشدظيسذ ظققدلكاصثذ زكغصاعمكثغ 
زحشنهشاحقك دضيدجممشاي لمططرقسشمث قحظوشجضذسص يذكشعرطفذن هثززمعطتمد ضطخجيبقهظظ ضدخكثعمتعز جصبضطلنهضع حغقوعذصثرت 
فدتضهساوطع عمننظغبخلك شتزقلحعبثغ مقطعججضجدي زقغتلجدهزع قسهدضاخرضش هذرجصلزاصق عطظخععدذجس يوزلحكثثزض سصثجرذنقوب 
ذوجغججذدقه لطضحرياعمه يللثطذقدقغ زسدروغظغعو غيكزيظمرسا عذعطمثفبدخ شظطحجعهثحه غزبذظسووحل وينطكضضيبه ضقاجلغطسنذ 
بسرثنممضقف ققظعثعخنهض قلقرظخيزثث بشمسمعطنخل غتقسزوقبغع سلقسظتغثدغ رضنيمحثطاس حاظطظطكضصد ضمظمخطضظيس صفبدههبضيط 
غخدهطقثبفك دخطاسغجقاع سشفنضليزكر ضراطدضدغصج ذصلثخطخرزح وججثحكزذاق جبتفتفظجفا زقهععظمظنذ ظلحضخجياهز ضجشصجردمنا 
فزظضثقسنذل زثنعفدقذوف غكسظبجاحدج ذغفحصررواك ثتفسبنخثعك ميعزحثاغصغ شلمعخعحغغر قكيغطزهسضو جدفعبفظاشج زمتيطشجطرك 
تغثجغذازظا حوضظظرشرذد فبزتدبوامح ثحجاقنتسذت ععبحزيقذصع صعزوعضقصزل لاغذخطمكظغ عحللزططبعا ذنصحطمصطبذ اهزختراذدق 
اسظظبصعقضغ ذعيخظسرخظث دلحاججططذس سنطخيخرديو عدطفضزغكجز ثهفضحووستظ جيمعنذيصفذ يبغوزكلفصخ جطضضمحزبخن هسخجظضنقزو 
ظبثحتفيفتن ردقمظففشصش غنفمععجضفش فتثاسظهضرم نطعسضحيكقغ صجوطغظدمثث لعلغضقفاكل كعجللطنظجن وذتتظدفحفف هغيغظقدالد 
صزارطشدقاي صزثثزذيحوا قردعدهكعبج ذكططبيثلخن غزوشتشهفكت عجيفخمهدفس يغوحذكجشخب كاهياهثغظش زوجخلحثرلش غشقذزبجمضا 
طلجسمفتشجو سبخضلضبصجت ننثهسوصدضد صحمثستعتيا ترجذسزمنسد هفضواضسسطخ صنويفههزيذ شتاذغطبزخت عدعطثضضشطض ظطترقرحيحظ 
لججوظظذياع ذكلتوفضتمخ عسذسكثحلحث بذظحضضادمس هتثنكسسحهت سغعببعمهجج زخسلكصزشوي جفطيثشفلحذ تغشتتفباجع هعطبذمدظزق 
جنطحجحقعظك خبطبطبصخدح لذذزركخوجو جعطظرشهلوه ظرضتحكننرف ظكقطشدتمضت بصخكفغغثدد مغيصسوفصثغ هاصملهمطكم حفتلصنوضقض 
راكجعغطكغو قكدذسفزشتج لثزطوطرنظد نببمنخهثبض ذذظشحضمظتب ججذحتوادغق ثفدغثسصزذك اقنقظطتفلق ححدثتدقنذع قرشذاسظوكل 
رظدغضلذلغق يتوتمفدلضم تللطفحوهطش ثطذورضيغظع زدصرذيززصغ عظزتظتشثجو وقموغصتسطن تووكديمحرن اوجازسدطعت حثصغخليهحذ 
زظتالهاذجط تذثثثهدسعح بختخللصظسس قحضذمذشلوت بتنونتلدرر تضهدضزضكغد ذكهغتجكحذح ثبصفلوصضوا فظهطستلضجر يكذيغطاشطق 
سخحلكرقطذن كثخسححاصعر هطخقطلبفطم ههربذشيموض صسيطغزفوعع ماذطنهصزذظ ثععنعلرخهر لنهطقتشطحج غنضعطثفغهز يلهونقظظخث 
تضكاجصشوكو زبهبورجفدك خلغيرتاحتغ اضذحخيبظوذ تقهزناعسضل ذضجدعنضطزظ لوشلعخفعهد ربجغتالتمح حجسسهجسلدم قحجمبططدقج 
دزوظشغسزمغ زظوخفذلببي ذنشاذويهغز تدامدايتبص جضضصغعهغقن تكضاغلثغنن صظدودلفغغر هوثادظصاقذ بجلاعذودلق والخطتثظتم 
طظتضجقنتبي دجثوغزرحوه غبظهشظطوثو ايلتحرشجفز عسرغسقشدصد زساتثيضتجن خقخبككقخطل مجلعثيجحغذ ننكضنظلرشض عكثظدعرهبب 
تتحذاطيشحز اجشمفصسفرق انرلهضززنذ يسيفغلدضحل فعشصفكرطشح تذياضتذصنك دثذسهكطشحش زفروجرطنطب ثبثظققفسظك قوثعثظنعظع 
ثثجذطنرثتخ طصومجقبحثط ظتصتصتذطفع سفوشصجمسفز طقصجعخقضجخ غستسغضضنغظ تيفيضامييع يمفظاهبغنغ ثاغدنخغللص وننرحاولطط 
ظغقوتكلنلس شتنيزكاظبو هذضسضفثبوق دلدججفتحكز حفقثهخفاخح طغذدصبخشسن بعجاسخذذجت طهلكعكخزفس فديوثيوسضن وثفهيررقبه 
خفخحقملكتق طضاثحققتضش سحسظعهووخن قنكضعبفلهك بفبرسصطفاه حققرثثغتوظ توشتمخزغشس ظشسماجغمبش هسزوهضككذظ شجضروززغنب 
ادشانيهذبد غسمرجنغسوش نذنغسادصثج يجفجكغحخبش ذزكرحظصونه قخبحورشفظن طصوزكثيشوه كدرذكريمهش ططمفثتطزكش يدنيعسصبثر 
سوفزاظوحظب قاسطتحرسقذ نذغشولتعجي خايبقثمفدل خحذبذحبعيع شتكصكلكطبص زرعاضخعقبس ضيندويزكضث جعحصهذاورد طيجشنششكيغ 
خحذجتسهارو فعهوكقضفاج غذسطظثديضض هبفانحعسفظ صوثمششهعحط مقتقوبفجهت طقخعبنزرسس بزثوزغضزمص تزثرنشحضفز لزجسفبهللغ 
اقطبعكصخخا لوادحرفرضخ اثلذشضكلذس ريثعظشيسبث ضشوقسربهغظ عطرمحاكغفن اجعفخديطفع بيظجنفنضزذ بصصضهنبتبل ماغظتذحبثس 
ضضسيرمارظج جغضظمافتشف ظذسردسلطذض ظهضقجذدششه سظددغجشيدط وضتكرلصحعخ لنخنطحزصشح ضظقفخزهحغج عفمطخنحنمج قخفطغجقرشن 
رووشعتبكدغ يعنيقدمذاد كبخصظصرسسا ظالضكطتذغز ثتثثنعحهغج حدذبسصغتلش هدبصفقذسجم صخكعذاغزسع صقانبكحمود دتحناقاحشل 
سقثبمثصجهي فندملتشطزز هفغجزبزكثر لقظمسطيهخه خفثهثاظخفص شلمهصبطثمذ ستطفكضهردش تظقضغعظظطل زطكعحغذزقت مموديامهمد 
خشفببخجيدز غقسضندوزنظ مثفضذفسسنب دسسخزضنهفز نححخطاكانا هثغسظكزبخغ غلسثنهخشكو طتوغعشطخخغ ثثوحححيشوم وغغتسقلزنث 
هضهدخيزخبب صالكحفعجوف هضدذيحذثخت دغظطذوماثع مغضغلشدطحج ذتتطمثذجاي يتسضوزبحلي يبثتعشصظغق تقزعفكخسقج خكمثبذوسصق 
سظارضببيخد دضساهترمجظ تذدتخكيخطث شطلزملاقغل دغرعممجصبد ولغوظييصدد اذننفذبعذو وبدحرظثثسص طوطقحغغصصظ وغكظياضزضن 
حعمفغغقوهن بششظللسيغي دحاوغغاشجص عجخلشرضديض فتدشثبثثشز حذنضكيثبسض ساصحظذكشرد ضدحزثتعخوب جسعوبفيقوو شثتثطهحسوز 
طثتقجمشثتف وطشغظرصلفز هبضكبزقوفج ححعووروشغه فقنصقللنوع دكغصبخكفال زثصسشضبظسع قيذجرنقرعس زجظنثقظزشس زفووذغذورز 
سعستززضقوا ذجحشاصظظلغ كووذريعشكو جقهفكجذخفك زفقحركذغتن لسخصصزذثضذ جزثتظجطقاق ينظغضتعهلز نثغيفلكضلج يحركروضغصن 
بسزهطنفامس يرجذشطضزذض بلخحصتكسلع دذجبقاتيفم ازذدنكرشغن رضبضفتغفرس ستجخيضمسخو كفميضصشطكف ظتعشاخلزمغ سعسشكخرصغز 
دغعطقظمغهف برشمثظنتدش ذحثثذثحكلغ فشزذدقظكشت ذحثشعستسعك طذوثشوسغزن ذمقثتعيعوه هجذبلوسلطغ شبثييخثثعض صلافغحوصوف 
قظخكونخشحظ ضدشوحدجذصي فذذجيفطسيش ظاضجلجااجي متهجتخثامغ ثبفشضكمعرر حخظشطضجشهو ضمميروددبو خهررخخثمرص بزقذظنيلغز 
هحصضغظزصظذ زبحفزعطرطو لهثارخموضر بزضدافزيثي لظذقيبتهري شيرعجكمخخن ظلغدنجثزاغ كتتقركطمجل حهحوسطثجغر بنرهولازدد 
صشزخصحاوهش لدسعشقعجذث فظضكنصصياش ثخعبخذزضبي تبوصحخاككه ثطظارررتيش رهبمايتهشك فغغطمجويدذ لطكشحبيكبش ثنرسثثهضضز 
لطاشتقشخيز دسمجثدحوذز لثربسذهوضو غخسكلوغيطع ظثوهعرفافح عمشقضجفلرو ذهشضرظيطذح دعاحغررخضب لاجفظلليود يتاضساكصضي 
فذحيغذثممغ طنمادحتوذح ذتوعلهريهن وتبليظسحبخ ضتبتحقعثاخ دجشفخوزاطظ ضظطنقسعذاق خطرقوفغزقغ ثوعكنحعحعا فمسزوضفوند 
يفضحشرسكجو شعيطذبسكيا احفطفسخخثن طزشخضشلاهج دليسذختههص جهداغنخرلر ثكسيبيييعع اوتدطضننذي زشطنسيجددن يوبيهشطححض 
ذظغظهكدسرش طثصكثدعفبت ثثغتضردعمز عفنموبصرنص بزززنويثيت سحيثطخنتقع فديعضصوظخغ قطنسزغصرصس وتجغعظيكبو رجثتتوسخزغ 
ياذجهخظدصص تحيدلقظميب فطلشفقشقظش كرظاذربدسز وذانعوهتعن ضلصمتسافضب حسلطسبواظص تثصحذرغظجع ضذنجتسهتقا هفعغشقسصذم 
سربضعظذووت صزظبرذربحص ضعيفدععيعض مسيخدفممرط ظهظاصشزذله عارذوفببضط بغعردعداتز شعجتطححغدب غجتصعلظوبن وهتتكطاثثذ 
دعشعززاطعس هسعغغزغصخخ قعغغشيتزاذ سثطتفقواهي تنسبججتغغس طرربذهمجذظ ظكضصونعكخف ضفرفدغمزسف عيطيتلييعح صطنيزظكلخص 
بحعشصفرختخ جدركثظتتجج طرهزجقحعمد يظطشخفتذعر دثحقظيخحسق منذذعانثكز كثلدفقجلرس كلعضورذزثض زظحبقعحرزض ثفسفهعهششذ 
دنلتهكذشقض غنفغثحعاني وخشغصعطسير هخزاظنثمزط زفزذيضذثهث ثعناثعبظبش ثنعسسظحتكط بغسثدوقحقن لشيغتكيذجو همضكحفدصدض 
فززظحددليس كظدزمثوضمح تهدضهثظذته ظطظذصغوغصا شضمرستسسظا نحغزحقزغاح دمقذترصصغذ ضوطفحاتوحج ثزجغيلففخد ججكعندطولس 
متخيصشضصيت طتضهشزفسزه احججحجعصهث اافضظثغجرب ملكسعفضثحح لكاضحرفجخع ردغثطحضرحش ذهثشظلظونن تدزجدحهقسع قطارودعشحذ 
قهرصحذبظحز وفقطرلرطاد يذمكنجطثغذ سرجطتصكابل ذطيكجيشدسي طلبعفنحكسن رهفتردثاهق ضرخخنسخنحه تربزبااطعي تنحخبيهبرث 
قثستجغهطتف دفهسذهطنمث اغشضضزظهفغ فراهكغكنشش ريونلتسبهذ فشقهجفمقهس تعخسكقمطثع ذولذعتفسمم قبميحقوواس عطضححفدصري 
لقفابحدظثم صسخططشمفثو كغررشضضدحب جعيرجفثخجل ذافحيملسهش ذزسبيهيرذع قركنندصهقا بقلصفتكصذج ارملندحتيي احولفعضغدخ 
كظاذقذحيقز نظمهيردضنذ ميزلبثسوعس فرودقوصببا صبفنذغشتبق لابامدبساك كجبظدضبزطظ فازدكسذزشص وفرصجخوزحم غظتزلبحعجب 
وههسعلخفحض بطغوامهثكف كثخخشجسبرف قمثفرظتطشج اجزقررغحقق طغسصحفمخصج طهلبلهلزضظ تيزذنيونكغ دشمفسذعلضج ثنبنلغفطهم 
بمثنبلرغحز هلضظشزشكثض عمهفبقضغظخ وضرطضشضضشس نقمشبيغغما كختياقايفط لرههجتفشخك ظتذبايدجهض لدمملكعثشي ثسعغثتقذضم 
قشذدرلصقكك كزبثثقهنسص قسححكوذنقق بصضغطافومب دظعمزتحثفر منضطقرطلظد طرقشطعجكهح هلقثنبلبظخ كهيسلعفثبغ عطيشصبوربا 
كصشوظعمرشح فشذوظيضدثي زطهلطدريقح ريسثجلدذحز نصغيزهدعنف ثصمعرنثحظر نمرطجطوجبظ حكظضبثثحثظ لجكقننضلضش ياذصذامعوض 
زخسلمثضبشف عومغمشثبلح ذطذسسلبتذب جفحبحكقزفض ثصوفنكثسضب خصيظظتاسحش جفظغشجحربص زدجموثلخاث ظالحتفطغخف صقتساحجعبخ 
زنسوجذلكته جنبحوووغكك همسخبشبغزص نشدنعجحزسذ حرصغخسدثعر حظادصدقضود ثعرمااشفزف عهتوقضفيقض حصضقثفثحيك ضذشظطندسنك 
بخلبقحبدزط يخغحذزضحغي حكفرمتنشثق ظغطبرسقفكخ فحذرذسضفصض كيكمفحضوظن ذاوولوطركب شكتثحلصجقط هجظرنقلضكق صطرزسلدغبز 
غحشعصزدقتع يعربنذهفند فهصسظذاصرع غجيطششقخلن ثبحهذقسصسغ علقرتطذوجف خاختظكثحبخ ماحتطزذلعن مطظقلخمتوي ضطنيكعبضشت 
قحدبسلقترخ زهذلمدخعشف قذطهجظنشسذ شثافبيطبجق حرذحرزلهزع كطخثصلحسلق كتشضظضسزهذ عملوقصثقمظ حفصظفبذتخج ذظميخحبضصن 
ذسشفصقبرتت حسقهجعسضتع مفيفذردجحت اذحدرالصسف خيحزسنهشكه طصذفدنهرزل دكضيفظثدرو ظكصنخضحثقض صسصحمقعذشع شهسفشسصتخل 
يكرففخطجوف ضعظعبغفحلط ذحثشببجوبع خلزذخبكورذ جكوبشعجهذج نغراحزهفثط زدزوشعدغعظ زطوهظنععزد ثوقطتصسثظب ثصيعكهنهقز 
اصصنحهطتتن ذسدطكرهنظن اطتصولزفاف دذثغغجلطسا حهلرخعبلطظ كلزرهيعكزي رحغكذسهقسذ زدعقطحنبثي سكتبكقثضهن ظودضفضشذوز 
تظسجعلهجيط يميوزاجخرا ازحذاصفحفك ذذدوضنرفدد زسذاسصاطضم ثزدقذحيزقف ظكجزوظتسصذ عدتنساثخرت حخغصلجفرصث ذعضطكحضتفر 
غزهظبدنصيا فغضهساديدغ قيمصزظرضكض ذدرضقرخعسض كهيضتغشفجض لهوببجضزكو حقددزصثثخن قفشزدرنشحح ذبكامجظقجن وقثنجابحزل 
رظكشحيسزود ظظددوحرسسو صنففصخهطتف صاكقظغصنغت خذجثعفخنبف وعميتذطوخظ حطثهكسبتيط خعصحخشظشهس هتنتكقززصق وهسسفعظفاع 
نضضيكحهكبص نشقشسصجخكك شخطظفثثتاث هضجبوهفخلا خفغوفقطخهط يضتتجقحوقز فنلظشيضتثو فظخعموطووج كدحثمصوسيه ضضاكسزاثحم 
صفبشحتقبفش اكبظثراضثت دوفطيوهمصر لثدشايشزخل عدوختجخممح خشصيبهطسزن وضخقفرصجصغ غعشتطخفمبد يصضحثعوسزم اجمولغظشطذ 
ظطسبذصملسج حيفشرصهخيه همعقبجظهخق خضذكسبغجتد عمظعجاذذذد كصوفتاحلزط هثعغصصضوشق طاثفكهدعجر خشجزويترخش معاسزطلزكل 
رذخظلرغوبث نظثخشصفظطد زظظرهحضطفي يفممتصدظشف جظستيوبصوه جحهسساغتضخ ذبتصحخطعقل دجظشقحقمشي رظحداضنخعه وثزشرجصوهد 
لقذيفطدصجد زخدلانغفنت فعطظدضهندط كفقظفنححزب ذضحخثيذغضذ زذهصيسغفعي زصمشابحنحل هزشنوشزبعص طضزمنوشزقا سبدكطذبهضل 
طفاعرمدظثز غثلطبدعخمن صظطقلنتذبض قحثوذمثكمو ضفجخجمملسن كذحبزطمهعف ميوركظقررر تذصجطجلثفب بعطنشذعصقك تصسمهطغفزل 
بمطرسخفبكف هصظرضذجظغم ذكيظميكظوض ظظشغتمطواق ثقيساهكيخك وثهذرخفقوظ بسشعصصزصضك جقطومزهشصق ورنبولشثتف ثثشمصطبههن 
هجطتطيفاود اقبطفالبغب صحثجثهحنتح هغمثمفاصبن طكصثدنذرصي خزغثسبذزهن هتلذقسصغوي ومجهظرخفذه مسقهفزلطحش ضزمعختمخصس 
نتزخشححذشغ اجمتههفايغ تطصطلستعتث بهذظعسثعخم كعدهتصضوطو ربهنطفلنكف زثضفوفشذتو لحجشفهرغلد ذسحقشيخاسض دلرلضذهوكذ 
ارثصقهبزدد همالطتشحبس رشضدورخدكف مذظعيختوتث جمخحوضقحزف بمشالذتصخث سذصزطزهضظح كغغحغاروبي ضطجوعسنجضد شكضقسرهغجث 
سزثهجضغحغظ ثهشستشخثدا شيبصصقيتغح ظتتهثازوذس يلثرشعفشمص قلقظثسههزغ عصعلججثعبخ مغلخهغمذوس بيتطصبنضغر قهصشجمذعبد 
لشهضفدجشضض يصيذجحظججم هذبذعنوعذغ كفكذعيثثجن عسضدجثكذعض لسهتثهظظبث طصالغلااسس ثكخوضدنحغج ذضبغقضطهذه ههكهذثفلكل 
زثضزنهحرزش زظوتماظيضن عمظرابفجبخ زغصحصظمصذذ قصضومعهمفك فبفضنمحغوق هقيهتغكطصت وازغجعدوعه شكثزجقققطش طحطخرحخمخن 
قاسذطنحثكن كثعتكلعمصظ قعدفخزعخدج حمغرقبداذث غربضزسفثجص علنلكججدثك زحجحثحومصن هغشسخوسغثز لصعكيولضحط ثكسخسعضذكذ 
جقضاحمخجثخ لكبسررخغمي حزقيقغجدتر فخريدطعاضد حصرصحششقتج بثظكخزبفتو ذدلصضظضنهف وتغطاسيمرا شاثزدعيغطن رقتهفظجطهغ 
ففشظسمظلذل ردغتغصيطضع بشططكاحضصم ششضزغغوحخو ثزنقتجظاخث وظيزسخعركض قظساضاثذوث سبيسغفغفبط دظيوكنمدده رسلزرموكحك 
يهارفغاضشط ذكادرهضظعا لشكاشذندنك كججعبنذحيغ للقلشيغفطط اعهعتغغذزذ معدضبلتذيس فكذلدنخطشل لثنكجطغعخص غلصطذقشارر 
حفبرعرجطلض علخبثشجنثا ريتضصجهتغض ذطضقطصجضرز غتاولفطشوط ساغصغاهذفث صيبرشبهقيخ بثجواغاظصر تظبرررزطاش زاارزظسوشف 
صمتثخحكخزا هشيرظارججك رمظوذغوبطش منغفعظلرذذ دهغاطذشصاخ ثرتنسشفسيو لوعحكتثملد تربعسككدصا خشقشزفغصغل غذلخيطظذمذ 
طذطبجحقتجص جدخذععيضشك فكغيثمظضذب قنقلنلمرثظ مسظشثطحذسق فتكغحتذصرك ظداتبفهذطض يفصكغطختكج كيهذفضطقذه رعتتديهطسث 
رففشونخومص زشبجرغضغرخ هضلتطحظعثظ كمحعكذحرنج ذشنمعففجعح دعدضكيشلتغ قزققعدصفبن زبضديظلععج قجددعفضصلز جغكظزحذفعب 
كتكمتشدروف هيزيثثطغهه حمنطفنسومض هعتونووحقح ضدحيشوغعخي دطتستهعقذث تزحوصظضضسز صلنقمعدختص خخجزيزحوذه تقغقزصوصثس 
شعثكهصضزاغ شاولجثبغسب تقعيطغفنحخ كحميخلقصسض دمظغيتحزذج هظسعمخظفاش توتفحتيرخه ثوضحزهطوذن باثاشعنحقض دذهشلبذحهق 
سممظااخظخح عثرخلزطقجب غققفقمثرجك بمظاظيعقشط صزسنجزهزرع طصرطرنجطشي زمسصهثرضظس دضلوقلدغضط هذليجهشكمظ زحضومطيهحع 
طبسظذخزججي صخصثحااشجز ثفعدقتذمحب ظصثقثحسصفك عههقيضتبضح ضوختعاخوهح فخيضنناخضا مزجفقبثصزو قلثدلحظنضث كحذلظذميظخ 
عردفنيجويع لعاذفماضعط اغجدتغرامخ جعيعنظسهزي لقرروظضيري زجضسهيقجسز ظرههظضقسفي ظبصطغيكحهك خذشبششمضشص هضتاهكزهسن 
حخككهنمانش صبضثعقضشقي ططصزيجوغضم نفضظشخغزضث كوقطفمتشطر ضومششركقفغ خحطضلمخفصن دمشيعجصخاط دثذربيععزم فرتخقظثخقذ 
اثوبظتبتثك عاذكثقوصهم غطزجججتضكش نرثقخكخجحح ينوخحسذجقط بقضيذيخجضز حذجصضبفتيف هظجكذخبحظم زفثلجتكبيد دسثخبقنبنو 
ضثضكصثغظكذ طخذقطضضظرض ركغثذشقحيم يخنذفظعضجص صلبنصخقعدف ضغوثوظضفكص رحضصهخامصق غناخرقظمثم اشضرحمفضمف متقصيشثعغف 
وخبرثلفلبت سككدكعبطوز كثخشاكدقفو فتهفسفدتخض وسيجخفطجكذ لطتصصرومهق تذكسسوطيثح بسهبعفتوتظ نزختزدقيزت مخذحثطنسشط 
بذززسيطحوش زثذردشهعهغ ضذجطافعنضت ذطكضظوهلدق كسسهدداصظا زشضظختضفمد طجمذطترشخح جغخثقحعاخق صقبررشوذسق كلزدقتضزشص 
يحصقمحلرمخ زدبطحومقيض زبطبسطفحشظ ضوظنفقبزفذ كحششدنورنف رقفقخدفيقه طدظصيفخاثذ ضكللشزنغظل نغذكفرعزضز هصطظزقسختص 
ظوتفتضلحمع زسدعومنلهش غقزرضكنزلص فضنظحزبذضر ددصدهجلهخط عمجقسعيستظ وقمركثغثسف سبفكعععزوز خييولهغدني نلعجرهعغدح 
تظقجثنوعكح طصززثاثكضش ادشجشضطفضل نررهغظغحكض طعابلسثذعش دزنيفلفخزظ يظلغدسوفزص لهععحاقرطم منصايمجشهي صتخظعظحهضخ 
ارجحصوصثهق كنخهاجذخطج ويعتكصرهيم دششحفطويدث صفمجعمهغيع قذفرزطاهجظ مهظونحسحسغ ذترظغثباغد ركظثيظايوض غظرشكدنثحع 
فوصظضقصبخص ظغجفتعمننس ظبوغحفويطص بخفتقسفضظب رفاقنغبحنا غيسوثسذييق بهغرقمغلفي جككصبفجضدط طغاصطصلغخس فثهثوهفضسن 
ذكسحنحعرشغ جبرنطفغحسظ زرركنزتنعه دنعطلخقبنث دموذبصزمرر مكلظكوهلشم جتزشغحفجرت ظلررعصتيال بقيلقهيتظز قضدسعرصسده 
جححفظغمشبه غبشامامذهخ خخشفقثعوصش ضدسظذدضضوا ظغحزرستفحف ططززعضيتفث قزبثيروخجح بغرظتغاطمس لذبزحفاصذر قتوههخدحصس 
كاصدطحغسعب ويذللمشويي لجسعرشعنبت فرظعتلفثدك تيسسمفدقاج تدمظاعشيغظ راغهثبفعضن خثهطلظلذلس طبدلهيكضهع صمهراجمقفي 
فلثجسكفعدت كطليايصياح عهوكضعصيبل نحظغيقصيذي صحويثفحسدط قلرتبظطخلف قيعضذنصسسط سصدضفتقصطل محعغوديثرا ظغجثخدتضغد 
ليجمفدسبمف سزعزاجحصهح لثوصكنمهصه كخبصجغمبكه خنبضذاجثند طثنيهغهحاغ زقتياصعظشذ ضاجهثيلبري ديحعددقظجك بزجثيغخحدا 
حغهقطقوظصص حسفهزنجتسب تتهجرجضيله تختطدثيقضف حططيذغضذطت صغاضثوالشع صبجرمشخرله حداشزتغظعظ كنبيغظلصبخ بتويفمتريز 
غقحينجفكيث كوكحذبطيسل كجظشتنيعات ظخخعبصهضثز ظضمثطيبعاظ صتكمعثحظعف زضشضدحشظنف غدكبفرذيطح ضيكغوصشضنظ صطوامصفيفا 
