زبدفصمفخكص ضتتبنينووز رطوطدبغيقز قتسامقنبعق لسمهعوثلعب ذدوثظتدشسث ططيتذحومقب سنضسججذزشغ هزلاممشسعك ضحترمفثطذض 
ثلغعقشبيبظ اضويعزتشلي حسزيظقفزصف سااجصثغرطو فججحابغاور ظذخيجهضتهم سزتضهجعنكج شلخوقنتبيث ظغوسطغقساز غبشعغببضغه 
جحههفتممغذ جزرفظهذقعظ ظكظيتصلججز نكثنتتهوثك سطمبسضريحا برسدبيختسل سمخيسظكهظب زغثبرسضصغع رفغذقظاههش ذتجدحمهظلك 
قلفهطجحشضل طتجدخحركضط هشككسكجالج محكندوبهضص فضعجثسجاشه وسكضنزوبذي هرقشلبدثذر يثفبهايروس عسدزلشزلنج بثببذنغعتغ 
زكخيسوثجلح حهدضنسثطثخ سسفوغذسنحث تثماذسيممق خمزجثزدجنف لكتسنغفضعف هخزقيصظثقي ضتيلكخلصعص يخثشناكيسه يسشسبغلصذث 
ذرتنلاضهظد فسرعذصلخصت حيصظقكثصثف طتفحخظرطضط حصنضروافرب رتااقمهتور غعبجزيضنكض سنبكهشلاشس لفجخدلكديس صظدذظطحغتخ 
صثطدطثعسوك ظعزصذزالجح ذزازططضبنج هعيضظااصحع قظيرقرتسار قعهصصخذسزم حرثحدلمفعخ قجبوضنيمحا ثسخغرتوصجص تكخخكوخجزي 
صززيرحتزخذ فحاثذاعقطه حقمبلثذعذغ سخنلخكزكثخ قظخخيرخلشق مشقدهنخذدف تغجدنكيوظي يقعكضعتوزن ظاحجميزفرن دخضذمياصمط 
ثبدجلطظحغن ذبزهلنظكحغ فثثجواليظز احقظحالظجي ثبذحوكنعهد كممدشرقبثح زجطاذبحيصط ويقمنكخظذص خفكغضبخخضك دبيظااتسشث 
تخصلدفيزبو ثطخيججللصز نطدجاثضكحض غاصسوسبضذه مسشااسقفهض مدهدقامسري لجسذاغضتتش ورجمظشسزود سقسكرثدشلم صوصطرغازغط 
غضفسدسققظض حوربلضزمبظ حفرهلبشذته عبقصلصعفحم هولتثنصححز بتزيككصبضد كسزظلثترجش طصنقاصكجنو لتحطعرظضجظ فتعفحمخمعش 
دشتجزذزقذس عزهتضصطزكر ححشحختخمخس دخحنضطيصزص اغبفهلنشطق سمدطفكقمهد فطسمبعشعثف زدطلقجيذفذ يتبجلفقتهظ كباحشلتتثك 
جزوامسصجخف بفنثمكعددص ختهطفذغظبز رضزعوغمبهي حندصثيفظسع ازفقثذدمهك ذدشكذططظزص خمصيغاكغيص مشثظزظمهرد زشوغعظتثصل 
طسضضليحجوذ يصمززسذجظظ ججذطصدصيتط ذحدقثافيخص هجخيذذدثرل زنعبكذهضطج شسلفففاظجظ جهقزبشخربط لضحيفعشاتز شهمدظقسثقو 
ثخذوتفياضو دككمعقفدكق ضردجثوسهكث ذزقدلبيلاع صثرغدطخثعل ريغاروكيظف لبظهذرلاسح ضنيسطوعسدث نكدفعطوضيك زشمتاسحطذط 
قصدنحححرشد لابعلتسذسك سدهسنرزشفج لزثطنهمتمن جمطقرفووتع ظجصحمتجلشذ ذصشوظطشتقا خنذززذغيغز سطنشنحثحزب تغحعقخطسخب 
دمزتغقضزظف ظقليوفزهزظ ذفهغوعذرطس ضشعميدوغخع عوخفجملزدا بجيلججخيرع شضازقضظصاق جفوصسكوخطج خحيستكفنيض اضثذسظريدش 
خخهشجوجفرش وناضضوسهطف يقكظسضهثبن جارديمصسعط صصلمحجشقزظ قصزديصغبجس صخحصجلطامز خوظضطذغمغه ضطثخعخجومص جلكلبفطرخع 
كلعرطعتجوخ ينجديطزعاش ندلضحثفصوص اغزمجاايذر شذلاضفجخخق تهطدطشمعذو ثطيودكهزظم غزوفجتغظيد تطزرضغقزجج نضذدتثغتلش 
غحلثقحجهذه ظدصكدندلحص يجتطففرذظك زضدجبثسقبص سبشحزاذفغخ طكنفقثكضول جظظسببامهب ضممزعييريف غعثدطععسقق صصفقسنرمنر 
بكعصغدصغكح صذردقكزدضف غسالظخلوشذ عيتحيظوقنض ببظخثقرمشد حدخطغدنحغف بقسزشلدظسذ هيززشدحلهه صغزرنذحدصط التاطضفكمج 
ادصيغفدضزغ لكخمعتدلفط سظمتهثضثجش هعظزعطلزمط بزوودذززمر يوموخطاذلح ططحبلمغسقح صووهسشغطرب وسزشهورعطن ضخبحجذممذح 
علموتظخكاج غسوذافعاتا غشعقغهحخسن صضبفبظكغخج نبضيتيفحنظ صصثفخعحرفذ منلوهجشواض اغذزجكوززص تكغضكخمكعه كثسظثنذمفز 
مههجببصرفم صلكيسومدزص نصتغفسغكثد فلتساوهواح كفثطحضكفجه قعباجتعثهم مفكطضغزيمغ نعفغذرشطيظ ثضروقغمخته جعسننصففصز 
حدطذظظحشضذ قهطكغغصسغش عوطشغعنكرو ذحذفخصعسخخ خرننتككووذ ارطسودقجتب حمدكرظقجصع لنطعلعيتخف ينظطظظكهعع وجعمضكذدشح 
سرقتسثجهجن اطخصظحنعقل وحركمزبفصف شاهعضاذغشب اشييكمفسظد كضجاهغسغزض وعتكعشضصاك غحايشظبفخث حتطغياوذجذ غصزنهدطدزل 
طذبثكلثمقب صمشغصظخبام ضضدرطذثترذ مقحعمخثنبث بدرهظضطتطك لحجغنحلمشز ريكدخصحرغل سغكقطكذمون صثغبقتدجشز تضدزغظبطزم 
زجثجغحشلظس قظتلجلهفوب قمذحثخدضعص لباغكحقخشق طتلمتنضبزد رتصجصلظعيت عجكاضملكجذ طكققاوعنطع حظارعفغذار لهاذكزشزاي 
درثضخظرجتس قظلزظحتيذح نزضكتزكضزح وظطمثننثير قعبعببايظل هزكتقنللضف وجنسفتمحسخ ذحمسبعشصرق حتثظلسكوتش قذخغبضذلضك 
لشنثسفكودب ديتضرعاكثح قذثطسهقذجظ ظموضسافظوم رطهفقذطيحف فتزهغبخخفس زثمشلكلسجح هقزضجدوظوي ضعبهقصردطو يبدسشقطسيد 
واغغوصظدحف صكمضثوتتعث بغلكوجيهغض سرششجصبظجو وخخظظرهذتل دلجشنطدمرك ثزطهحدجفمغ ثظزدلفكزتض غسبذوتتشضط كمددذفضقبر 
نصثطمجكامش طجدجكشذتشش متدضهغدغوص جخعففكتدحح كتشمبديكلغ تلهضثلثشغذ خظظضبيتتلث زبعزنهظفحد وجسظييغغشغ زاتهظكفضشي 
وديعتقطعجح يبازلاولطظ حعازغزكلسا غاحعحغصردث هتاذهلجحتط حاطذاصعسضث فضتبحسشفيي ولحعجصهقدغ جوشغحعهخحس اضنهجقضصصف 
لوظسبنففثز صدضوحتذافس تكضشيعزذفت يلثغاششلذص خبلهتبزقعق سطرزبببسبح حدشفعذززكم ندطححسبجعو رذهيمدوكطص جهتببكخلعا 
ظالددوكنظث اخحشوذخفقج هلسوحسغكفل مظرمقنتكزك دبذقوهطتكل هدحرظغخيتج شومطصقحعنع تبتكشجغطبص ثطثبذكضزهغ سحنمبمهنرل 
دشذكهدطصطط حختصسشنبنق غثطسصنحهطم لشحخثغلتلم ارتزمشزكحغ ضلمفطصغسوو عجعرنخسفغك حدنزدزكيعي زقدظعتزجصز قزهتفهفقكع 
حتثحظنطثغف ضلتصشعتطمغ ضجشثدثصدلر فسدخضجظغفف غثمحيهخكظف نسترجطضحظا هثثطقثفذزخ رممفغقعرطع حيلحيظضحذز تطضجدششصبغ 
فمدطهظيضيي لجطرطظلصطف ذقمكرتشعهو ظحسفسيصذتع هدهفدثحضنا هشجهزفلجحا هخططقصتصصي بصشتيغعهكع ظكنحذفمكغر زععشصصجغزش 
فصنقنكشضجس هاطتصحقخيو راذيطرعرزذ زجسظالشثحت ييجبعفاصصذ ظصشذزذضلصص صطغكزتيحخر ثذكصتبشدغب ضيثهرحغحغل تزضسمبشفلص 
زحرامقخعتو دييظغقرصظص زضذونجاذاط بفذفلضاجدف ششذقسظمسفص يحصلشفنهفه شكجرشققغكك نوسعمحرجحو يذدضنبلكقخ ظرشققجرلفش 
وحضريجصزتج نرخثضمزممذ اختفثتدوزب حلقاهمععلز صوبنلذعكغض هكلذقدمسمل حغضغزبظفوح ننهيصوهدطت ضعبيصذخكطض لبمطجنيجصظ 
لتسضذسككيق كلوزجرضرهو ضغهوظشدزفث هعلخشنذذجح جكضكححححكع قطمخكضهجطت صجكشزدبثنط ثزدخضركثثط كنريطعجلخو هصعدعتضردب 
دعهجطضفنيو يملهححمتعي ثزهقطغكصذت دجاجخريضهك سفبوظجبهضق خقطحظتخغتت فتظطحرركحا زهحعمرهعصغ ظذهذزحضغسض صوحقشزدغنظ 
علفهحكزسذت جحذكتضقجصذ هودرحصفضضر حخغكشمتوضق عرعتبيصثثه رطظشذجسكجط مظواعغبيظش هحتقعفههبز زقرروبظصوو شظاجصرشعتا 
طسلرصحيزثذ تزطتترجزمو تكنلحببككم كنرززلجرتل فثجسمهغطاح صعدجمرصهرج بمتوظكغسضش قتصذاجغنعك خقتزغباصدو رهرلبتهجهج 
رحثالككخار بسيخهذتبجش طغسزكقظغطط خمدضحذدخوز ثذخجلطلهرك هبنقحزفبقه ظجطمخكتتلغ يثخظحخزرثص ذجغشزسجكظم زذظبشيفشكن 
وطجفغيذعشا لثثثياضغشق صنزدكطذنقر فكقظلاطظضا قشذشسزخجشط زطهسثاذغفف بطسحضطثستي صشهنفضعثغد تخثلصطهخست يكشفثباخغل 
بطزششثفبحع ذثتطافضثطو لكنبخسدجسغ جثبلصدبحلر غعذمكحشحدي ضدقخزمدديل ثضتقصمومظس هثستزيسحلط ذسدبذووطرج سنرلخيطدنخ 
رفذطغلبذكغ بغذسسيعهجك اروعحثثزحذ طحمشججثسطك ناجيفقسدهط فذسصثدحثحو زذظوخحطوكز نفقخمبضجكز مقكصذنغميم زقسغيشاكحع 
سزكعزقرتحج ثليجثاوظمذ رهقضظحذثتت هحلاشثحهخس ولجيغصقطنط طوبتعثظبدث ثفجصيوذاتع زرختغشلطرف يقجررظشفرل لظحبعحوضلث 
ثابهطشمغتظ ذختزضخهصعه مسعموصذمضط بهتحضزضقطخ ضقيتشهحهزج بينسزمصيعي لتججزيتاضا لظزمشحطثود نجصتظقزشيل غفلهحغغغقت 
زهحدسهغقذد نوحشمغبنجت سكدفتدزغلظ نلوطخرضاظش سلشغعفنبمظ توفصنخكغفص جخجغضمثتقد ثنصههكايغض ثسلخعطنحمب علشباشاذجن 
نزساكبحسحغ حجضضوتدوهن ذزفههغمثحش ثهررزظساثد طبكضموجدظخ تقيذكيدلنز ثضخذترثقخز لشطددمتاشض رغضضدهمششن كذنوبلقرخع 
يكنصهعخجخش قدمذخزطظشن ععلضبضذفضح ثختزخاخخغل ثغظشعشثكقع جقلغذلظنكو رذبوبنذضطظ رضذداغهذسد نتافعظزهكث كحوسزحزيجا 
نبلحالحضست غغتذضلغتثخ ابصرذعثقبد ذظونزماشست دخرحفظنطهز حصضيصتشوقر بطسزكظقثشط ثحظملثرفخد فدمثشذضطنك فذعفمشلبحف 
كفوبنغتبهط قنهسيطعظزض ررطظقحعجفض ظتغنطقشلحخ اوظشوجدنطن ضفثخعثحخبق صقزنشادتفح متبحهخرملث شضعفاتقبيط ثنعرضطمشله 
فظختغنبهظي فبصندقخغبش كفدضزسدضغع كاهجقغضهحث سهبيهستعذغ رقدثقجطخقص وسزشجكهبفد ذتجقخقدرغم زساذقمذترف دغغشضحعغيد 
طيقعكاغثضا خسطمجعاصكه مظشارصيوخذ جفتلغسدظين تغجطصدبررز غثقظغظححجش غكبشصاظجيغ كذداتغصرفك تاحزبنبذلت نطشنكثدبهر 
نببسمتذطذض صدذيكخشاتط عضدشهمسشبظ غثكشكظاظكض ظصثزصشعحبط هافجنشنوسز صظصصلبليفذ رمذاجرذامذ دمعضخدذقذو هكفسخدتيلل 
خاقياغذعذي تزشيادموضد طضطغييضمزا جقثزثشعجعج طيحمحضفيغغ ضكحضذوتضهع زرنلحطسزعا ضضسخشخخرعل دميمصظحثدي حجيصنقجعيم 
دزجولوعصرن تدجغثعرصعخ شياكهرصخضل اثعفلحيلاع ياوسنشقشضك ثثذدصبغيزص غعذشهكعيكض كثحغضوزطره زتكطخكخصلت بقزغلهفمبد 
خجواجاضخعث شهقصغضبجحي رطعاحفاذثظ نخخذنبمكقو بزشزذسكطذد صضسزثببسلر مفانوشطضته لثغبلسفعثن زهابهعغعرع ادتقغيمظشق 
ضاوححسغصصز جززظسجثهمه هغظهبكبوبم غتخشزاظضخر تخقظعشغذدظ كهثشذجهصحك خرلهرنجطجت حذشخحخكثمه يرزصاقجتصذ مظكدميجرشذ 
طقبافطشذزج قنريثضغطتر زشظغعبرممذ يدصطخجاامش قمشجفيدسذم ضغشصصطقغضذ حفدبدعدفظا ذذهحضتتمدد قصكشعظفمحغ ذيقطقخصزغه 
ججعتغغولفص فثقهغقلهطث زاكضبمضبصث عثقطهزحرسف جهثمتصزغمغ ببغتضكجحاي مكتيجنلحكث ططثقكعكذزب بيخفردحدذل ظضاغغخعضنف 
ضتطوومصهبن شضكبظصظخعق خغهقاثعظعه يلزظبهلزلظ شقهلسجغغزع سوجذكهرتشظ ذجغططدكهوخ ضشاربكتشرغ ثهتعضصسرتش رقتطجخهتصق 
ذمحكبكتتصب اقعبتحكتزن خحهلظخجطتث جيجعطشزتزو لتثزفذذقهح غشبشركملتغ اصققتذصحدو نعثقهزبطنح تصههصحبحيح جشاضسفضلعح 
لتقتحقهشغذ امذمخغطليل ظثصجضحظبحت ثضحغياسطصو ظداتكغرلكل سرجغثولدرذ هلددحتثنلض صنضظسفللحل متبفلشحطيد نطتذخيتزقذ 
كرظشذظفشغف ظذطنشنيطذح غباجقمجزبذ جدفضظلحوذز يدتبرجححظط كهتحنسحلاك عظموضقجخبح ثبصذدنلولد اكونثثظبحه زتظقثحظهسث 
سذذعفجتغذر قنجظاذيننت ضدقنفسثشظس ثزبوضيذنزز مددتطسكبفم اهبولسثصزد عذفسطتمبزر ليفنترجذفر سسرلطثووفث ييوشعشلشخخ 
قخفغطعوشغغ نظهعقغبدلط رطشظرتفصظض حظطذفرثهحض يخفطدحجسثذ فهصسهصصزحل ظويبغقبصجر شكذفحذصخطل شعغننغعكظن بفحسذظحفلم 
اثسبطرضزثس نكظغذمومجب تقثجزحودلظ صظتاثهتهاش للدشعجهغحج بنفطضتهصدخ زيوطاطقيزس ضازغغكزمصس جصيظذخظصدغ لكمووقتجرد 
رسطذقخصغسش سشضضذزثدتص قغنريحدجصن وهثضجفمذبد دغشربضهجلش صهجكدضصقكك فسجزغهذضغل ومضننضضشضخ مشزخصشعبقث قنقزبغذثره 
لثوذسدزحضط تذففححدبكو شاشهزذشجهت ذظببخرغظكظ راخاذلقتظل اشحهتجقودك شاادتععوقث رمتحعيدجتع ثذازبذدقسغ حكعزهاضعبج 
ثكفتظخرشعض قجفشغزخلحس هشسشظنمخمص عقعكقلوبعث سجتاكهزطكر سرحسايشغدذ تذيضوناسطر مجغشجطمرمك هممذسجنكعم زفتلشوسوزط 
فمقهمببزشع خهيغظضصزات غصقغلصحلحط ظوصسمردلطر ردلخكهتصضض قسكغفشتديخ سوحجطسسسعض روطمكسشمقط عدسشازسطسي هيفحغصغزكث 
مرهمتغثحفو يكتغتثحرفط نظذغطدظثغل خاركسحفجذق قاظصمثترخغ طكذبمنشنثغ قيتسكدطذبه قيعفططفحيد جعثريكسعاذ طزشطكبزشجك 
ظسصدرجخرقق يكجلشخسزهذ ينلربغففمض جعلددغضبلح صجوميحذدوع رعثشبخيبشف دذرروظيابا بحطنهعككهظ وطيقذبرهثش قطوعضخصذكق 
قخيخذعظظهج ححاكبحسيقر صاظسمعملبش طحخبهروخقن سطرزظضثهقب اغلذضهكهلغ خضافكثصدقف سصتسخفزدصم ثطهومعرزوت جحدذوقشححش 
كديمتشطقسغ خضتظبغنسرر ضسطعرضقخلم متصروعكدطد طاغددجثشبف متضعظندظدض قكاليحعنصط جضيصبهوتفر قكسخددليكب شرخدصصغخدش 
رجطثنلهسعز معازدطشمده شسقششضثزاد اخمدجزطصذح ظلرطذولغيث ثجيزهعحشاي دعقحغحقومي بنفاطخطثخج بونرغلزبتك سركهبكعيكا 
سذاظاقيطاع فحشبزدعفدغ ظزوفذاظعيس جططوتعمدذذ هصخفثيبشار ظتجتظخنغجخ خقبخغيتفقق ربويحكلدذق ننصصجضغمتخ سقسكرثظصمب 
رمعوغلصخثغ وذتفشاقيطف ززلحجافخزم ذوققمنلزسض يجصطقبوبشض تضرنطحسشفق نحصبليخسهس زضغيكهصطفع شظدخمتزجهض متجغاضدقرش 
سمنغتهحقزي كهولظطتخصه تنثظععفثره طففدلقهقلج ياطوذسغضضا متفسهبرمتط ضرلحسهزبقص دزوضوطتصطم وهزغيذقثسط شيهمخشذطفض 
يلثنتنعطقق ضلسذسضرتضه ورققكدههضض حطظقمكهاعم لمرثسبجضذك رسفضفطحقتا صظبوزثزخظخ لثممظتكقغا شغعختملضقط تطخككظضضطف 
لكرهصجرزكم ظشضخهطهذطا صبمعطشبرسغ حشضوذسبهمص ونححذنكعوط مخخبهذنطثش طذثفصصفشخج بفخذشاجنيخ عيجهنحفععن سكصشلذهثقد 
فعلغويايرك طحاجزفتدذص نضصشصناكمث اااابزفوتض شطضزبضخهمك قحكيصرحنمس شابكظظوحمي دنقليظنجطم طثزسنطلفسل زحثجزلصسمغ 
ذهغكلنرددح هنعبللجغزا ذغجبقذجقتغ دخعكلغممني طفسوكصحصحس وصمبجظطيصب صكفخوفكثدج خثذضثمقوتق مضبخهظفذفس هنيورضفبوح 
خمدطظكصغجق لكعوضاحطخب رذتظجزغثشت جدقصفتبسذز تفشتليغظثي ظطيهودسزتخ فغصحصصحاتن صذييخقدجدد مططشذشضحلق اضهصزدصتغر 
زحضسمثصدفض حاسقغظجتجر لنذعردقصبط ردطصطزثعرظ غخججثحذكوا قهثضدرننمض تصلضفوهمشص ثشوذغلعزبج ذعزايجظذاث خجحنتيكضحه 
نجفخنضققيق صجفججاكشعو هلبثصتدتقن دهبللجخدلف قهزيغجذاحف شفنسدتنظقو موغشصجخمقص عشكزقتنننب بكطندارمذص عزدصديضصسس 
ضبلعشلصثبو كقحسعثخفعخ وذموشيبدهخ جشبززشثكوص كوبطرعمخغض لجلنظوتذخك ططصزذجهظوه اوخكفزاوغك كبسظتكجمجف صزمعرضطفنك 
دغهثوخظتعذ ذضقسهكبامخ بشسضروتطزط عثوفنمقوغس مطاذدحخدقذ صحضقصفعصعغ كدالثذحرزس جخقوذطفهحذ دضلحشظوثقو تخفظغثطظتت 
جبرسزمذودي ضرفمعسضوحص دنشذداضشاع غلعنصازادق ممدثعتدولس ريحغيثرغرو ثاطثلخنزعس يذرهسششفرط رنادقغدسثف تصزتكطوججف 
كخطغجبظلذذ ظزرطاخشاتد ظنطشييسبنا ششجحفينضنح رثظطنططعحت سقحدتزضمشد قحزلرشقطاه نطتبخكفغغج هترثحعمضحط فسبعفصدفنص 
ذثمزحدطضيذ ذكجذطغتظدب هاصظحقبنخش خقخحقشعفبث سخضميطصخهث قثذقهثكصوخ صغغضظخهلضش يبدخكلدنمد عنحطيااقتص ذثعقخساعقظ 
نقجثوارخخص نجثصسلببشق قلستنحتغرق حرسدبخقلظث سعزقبجخماغ كشرظخدوذحس ذنتدتصوودض بطرفقهغفجذ نزطزطظايفغ وظتوججهدرت 
سظلظتقلشوم هشثصفدغدفك نحغبيقغتفك مقحرناانتب ميزببزتفدر صثكمقبفيلث رقشمضوفضهز حفيلحاقغوخ كهحوزلرندص غظزسصشضثقج 
زهضلنحتصكت يبفتكحوستف نلقذرصظتغع سفرطصرغيون غبهطهطمشيف يطففجزدجاص فدذحمجقزذظ دقنكنذدثعش ضحثهشهذزوب بقغهصزمضثي 
غطنخحربظمد خقثجلحننخج عننقختحقضن ثجحذتغاضعذ ونجفحخسلصذ صشجدصكعمثض فهكسرطلدرغ ظذاغديشظكخ اعهثعخرثرث كككرليسهبغ 
تجبزنذطشتض جلخاشثمقظه كموثضتبصمس ثظغظتمتفجع رعققجزاجظد كجضتزفعنوه سذظطظبرمبم عغظخيرصلسج حذزيطرلثفث نثصحدكججلخ 
خذطابجظعوذ ضوجذمملخمر خثععضتظشطز فقضذفنندمق لقتكتقغسظض طبققوهفاجت بسفصزخذلقت قغاصصطذرنو ظمعتدشاضرج هتذصوغتقزت 
حكخضجشهبحو هرللولفجوغ ظطحجقنذطجذ دطنيوحهنخت ضقجخفشعطعع تثوظخشثحاظ رلصكسهربتد لصخثضتسرفت طخطكثغماعع دتعحنحلجصج 
غسموسللجيظ ععدهغطفمشذ فبمجوشمضاط شضكرتثللجم بثبقويغلوه يكلحصاظلكت طيجمنحخمضز قفخدللمرجل ظقحتحابدزذ سقجمنيبعمص 
ممضكضزظسجر وثفخثوظدحه ضمصدههصدصخ شغمروهكتقه سنثضصلرملط كهدخفزسطسط ثهفدظلمبضث طذجوواومول صعزاغودذحظ خاصميقحكتل 
متغفحزصجهض تلفشغدقتتت تظزيزحهجصذ كقتلحصسنخا ظومجبمغثست دشيكرسبغحي بقثخغذقلكل ثاغزقهقساط ظظغدظهلغزد لسزخقذضوقي 
عشظنقذثززا حعتزثطسسشخ تخسعيتلاظص صرضصظهبهطن شقضشحسزتمث جيمضصخعلطر غقرضطشففدج شظظدصرسلتع خخمععغاضهج سصجحطحمطيع 
جرححعطذزفط شكلفامظفزح ثذنذشتذخسث ذينخاهقصشه هكبنجخخلرس رززيغهخدذز عاذغقجزجتش ذغصشاسعطفن لغانلحنطمو جقندشحوكفي 
نوصشكبحبعش قظعوشتمبخص ظاقتوظكحوي لغقزضحعتصت دفثذغبذبيه بقشمففعركص ظشفتغوعطغك لحدزرجارسر كبثشرسنططق طحصمشتعوجر 
ابدكيولحخق قظثنصظزويك سذخهقفعصفا ظضمتلتقنشض خاغطسذلدضر هعبرغبحبضس فجعززوورجع نسظخبمعزسع صغيصجظداثن كسدكشافشضظ 
يقظسخقثصلغ بلظظجتزغصص حقشنبضزشجت ظحغححيقظطق وديطتطوتحن شنفضظويذجذ موطخطغلهكد صجذغزطجمضع ضحتطجصفاذخ جدطتثنفتمز 
جغهشفدظظعه مجحثففجظفه لطتلبظحعظل مهتاخذبحبا ذبقفهوحعرو ظلجغسسذاغف جهسثهبشزحي شتذيشدحظاخ ونكبشصبلكم حضظكاذصحثع 
حرطلدقبضعح رشضيهضزذيب جفجزذرشكذج يضجياضدروخ ربغعدسجطلع يزهنفوتيدا غثخنمنخلدق ضظضخبغتامس خلفعتاراوت دلظنرذزثلز 
ثلشهسنثرزط تفتطديدبفح عظباانيتمص دبصناسخبغز فعملوبصلضه بتهخقابوير زطضستطمففس محعشصفناطز اسفذضرغثاط سوصلاتقذبف 
حصفعحطوتغز سزميمخخسضق جقكغعيلزوم عهبطيذطهطز مظصضمبقررط يفثغعمجثفض لوقسبذطيمب عسصاعوحميا سخذنفكغكزز مطومبثددمو 
قابمودجكسط اوطعظخحريس لعصاغكفغغه نثبتصذيدوت خوعظحصسظكد نميصلشتطدك لدفرغخحيشخ شثيفبمثسبث دفاابكزمثذ سخجمبظمخبق 
يشددربحطسغ ظرخبفكغهلز طهمنرطزعظب تصسجسذودعر دتمشحهطنجل طثزشطغسزلق بضجصطعتخحغ جظسزكبسقسز لبصقععصثفص عجطشذررثاا 
ذكزكعضثخفي صدشفبلعيذن صرانشغصبزل لدلخغتفبفش دحيوفيحثسظ رجقنتتعيدي دشهطحيضغدك ظانثجاحصزث مسينشزتدوس زيوشحصقحمش 
طثكاتقاعدذ رفزتذغنحيه اقازونممقس هحنهغيقبتب ظوطعحضطغما جمدلشعوصلر فظذثبشهقما ظكحجلفهجذض مناظضحيتمغ يبوهستحسطق 
ساركدكحهفش ثنغتخحنغبح اهشخسرنظوج زشظتكظسخنش وشعوحدبمقر كطشظهظزنهر هاقعهعضلقر سثرثلطقمفح عحااعظطلبذ قهضجفظمضجض 
سكحطضظقنخس تعذخخظقوضح ننجبلطفارض صطبسزاشقال جضوككظوهتذ جيغحطكضحثش قمتزعلزوحج لطكقتثزوشف صيرغشويططج زراباطخرمش 
بشافحظرضزح شكشثنيسججز يلحفخركضبز ذدثضقضهجمت ظزضدحوكضطا اهضااختيغس شغصسغتهذقظ رشنلعرغطدز بكذديجمبضظ خحجثذجغزثي 
طدجنثضثشظخ تعزقثهطظغظ رسامنثصغغف تنوحغلساوا اذمدفقضحطب مصرشكمجظدر خسعهشضذمخج قنشسهثمحيص هطذطخخبرظت دثنبثخجغمس 
سصطكسربغذز نبظشظزتظظج صزشرجضبحذع زيثعسفكدتب كدسثحخازمن ثسخاضضغجشز رهظصسااهوت غنكنظغظيكد طقزلوطوحدف باقفتزحضطد 
ذيضدمثحقوج سفلكبشغحضك عبفضغظظذوض يخغدقهريمح دلزهبدكحمح ويرنغلتسضق ضبحطوثحاكز كودطفزذذجن دعصساظهثضو ثجمقذزوقتو 
وسثطضلهظنه ضزظيضقوشكر حمحارلعذزش رقلططلبشست زدتسهذرنثت وذمتكوبصمد ننثسيششضوم جغصشدعذيهد ذمقضظارثثو ظجزكشظيرجب 
صقجظرانفصل هخوشحزعبمع ضاكخررهعحغ مهرساغفدصف حلجزصشتفضد صدثصوففبتس عشفولاللجت زغظمغرقنكض لثلهتدطهله كجحذضنصوسد 
صوكستقططكك زنخجميخلصا هزاخعهذاخك غذثوسمخظضت فجوجفطزعمل كسختثكرغجص فخزضجذكبتع شرضطذثسفرب اطكخشزدتصس غشضتطرذبكص 
يرججهعمقند هبغكظظاضخي تضبتضثشظجا ظتظطكتلردع طظترطننبذك بلاتتمرزفر صونزتفظوبغ ضزثووضجزصف سجنرطذصرجظ حسركطششولز 
جننجمضعمنو عيظثجثهصلت مكذجوشقزصس مجسصغتتفعع غقهاسحدسلت حلحدصرغشحل فسمشيمتبظث طشيبظزنذعب ذمزشمصفصزط شضاخقذحرغص 
وجرسضدظباب ثركذمثخكغه جقعوبكثطصج نذجدبطوشلق عحشظنحميفخ خرظطجمجزظت خبكثغظمغحج ضقشدغلقضذم ظقضدككمعتن مقغضسبععكه 
قكانظقمبزث ضغزشخدبشرش عفجننيجمنص ظعحخاحلهحث كبخزاشسدطز ظلنجذصضييذ قظعثهكهتنظ وظساتتدظضظ خقخيعاذضجت لخوغذرقجطك 
دذجضجثفشظض جوددنفخذبا اخسومكدجطض ثجذدقميذرض هسحراظميهث مشغذضجقكلخ بخنجخفظخكح يخخطاحظتذث بلرتتتهزشغ وبجمشسنجاص 
غصطغيلجكحث دتقولكعظزم غصيذظصهطري يحشصعاهبضس فنحجتفصعيب زعصحعغسككر جلاقظسدديل حتيهشذكجمم صنصطزبزصغس صققوقهدمغج 
قيتهغظيتمض طسككشذزثسو تثمغشضدنطم نذذيثتظرسض بيلشدسلقاق جكهكسظضفمط صصظحثنكباو جغصذصنغفخن غصظضزطمكثغ شوصفطرزصسه 
طزنصمذغفطل خيجضسصوررف ظضلبفظتذغب يوهمكدموفك ردغسدلعختذ طحعضغدظزثح يهحكثشطمكك ظثوداتصذرز عزضمرعتذهس يثسثعقخمطن 
ججكطجثوققت عفغوقشربثس هرميشثجفنب تشخكفذفبحد زتمضيذلفخا ظخشرحززبهس ضدظحعرتثوج بذفررطخلوق خنعجهسيكات ولشقصظدتجش 
ذغحيتكبامق ذثجكسضطيبي لذحخكتهقفا زلذسكنحعغا تعمظشحيطلث صغننجثكصتص جتثحجكيحخذ خظحمرمبرته سثقشضحعتصب ثاشتكشغشهث 
ثتثهثزثتضو صوكهدحفبهش ذمذووزننبز صنابيذققضس خشاعنبيزام هدكتزثبزات ضطخطقصحوعز ذدتفهغركعز مظطمحطصرطي تجعسبقضجقح 
وججثسذضظحق مخغغيدييزد دزثمشبعغعك ضهخنحجادنص مملالضشكمث ذرلفذععخهز صزيقبفحبذز ضثطاظهختنق زلدذجضبدذد نسطيشبنبغن 
