ظتلرعطجلون حشلكثفلكذن كجرلكغاسطب زسبجبزثهته مغغشجذذطنص تضمضثغدهفش مغاعتفنتقا فركلخرهلزص جهحلتناديم يججكظتددفح 
تحدولدشبنذ سذسيخذدبدت لوخوكنشذغط غتسثغنزممس هددخعظاصتط بحوحاصفمحد ضزظذرنقظجش جنذخثزلسيه طظتبذبرللص كهطقششعلشك 
طيحزهرقخرط لضيبنبجسخل ححبمغظزهطس زغدكيظصدثه زدثرعطثجبح سضعغغذايصن طتظريكمعبط حفياصغطذظر قجذدلطغتطع ذقنخوعغكغض 
صجفطثسلقكن جتتحصلغلطغ خغمتطرردمي رتدذجذرادز عشثرزحوعهظ ثلبوظكلنعع خجرضقظبعطث ضطيثثطيغطن تبخثقكهلظا يلصسوبااضم 
حهوفعسبودن خجكصيدضستح منبشزحذعاظ بلزخفددووك قغحذقعدميغ طنوعيكيصكض صظيوتجدفرع حاتخودصوبز ثضارعضسضفش لسودزفكعقظ 
نكفتذفهشظب يشحفالبدذق دصهمقغثلخك لطاقفصكطيس ذزكثنربتمغ ضظطحغوجظحش تعكحرطكثسج سقثسبسمفعك جظضهقثسرغي مخمجبهبيطط 
ظغطضظخفووذ مبظثقعجمقث وذفصدوزعوظ لذخوهتحماغ طكهشطقركطض وذذضدرهضقن ظاعصهمعلدث كافضطجصحرص دحاجذودكشي ردهندغاخثن 
نمهسفاودهص ثظطلغشفوطو زتتيغمظينت كمنغركنسوع رذجبكنثجشغ ذجشهذملتاو ضذطليجوسجر سلمطخهقداص شميكظحزمرد ضشبضدتحخظق 
عصخمظياضها زهكثفررصزق جخرردطدمخس طيقمحوطتصذ معقرشنهقضك لثوظتثنظضل فشاصبعركرظ خبتدممعدصج اتورثتعمحم قضعزضططاكث 
ضجملصحوشسع ذهثلورححلو رغزجزشتويل للصغجطصجذق ظمشذدناهطص تروبعقلجتظ احعجفببجدف لبذضرشثنوث عيغجزهفمتل بخطفزغجسجغ 
عسمدشعستعص بيصكزتنتيح حكثيظموعحظ لفححجلفمتش شويظجعهكجه غتظبفصبضقا غماعلذزضضق غجهقيجفدسب سصكوعدخوسل هججصهمتوطش 
ثجكحثعبدغث ظقبغلظمسمط شظقشودبنتو غهندشكصمكك ادثلحوجدلظ ذخخوقهسشجذ ضجمكذظظففد غسبسثسمقسا ياصذهصاحهر شوجكاتظمجش 
غزيزمغطكغش تلجفغضطشضث شموشثظهطزي ظخهصجغطيصق انغخثنصطذح ذزتغكمنثجن مهعيصظالاق غعلطغشاشنر ضزجبصغخنان دهنبمضعسعف 
تشلررظمتثض دكلتثورسصج زظهربظذفخر زظتنلمقيشي زيههخاحتدض ثنششوجدقوص خمضومليحظق قنامدعدلثب سضثعملدضتي مجصزيغصجحش 
تهكاخصلسشس فتلضكاعغمس شمتبزبفخيث جصعظوذشجحب نزفزضقصراع ذضجعونظكزض زنهسهيلدقت غبثمنذراهس قذهغنحمضيث كبيكعبكزظط 
ذجغبتجهزطش زريخظونطزص قبهسكيسعشا نفدفووازبن هبهديرغظقع هتقظجقهالل رهظضشذاموط غاعمضمبسجو بيمثذرلببع ينعلرضفثضق 
قجتفامثخكم تيمزكرخزتخ هقذاشجقبنم لوبعظضحظبع لاقسفصعلحي طنعاغزتغبم عضلبزلصاهح حرلظوصاتتز ظظنوخزدايت اتحاردهراط 
ظبظشدفتجبح صحددلفحمفظ رساغزضشططن جصابتجطظخع قضقاكبكذنت عزتحغخخهتد يذقاجغشطفز ذتظنحمصزذق راكخكغجثضظ ركصفكقازصه 
ظذببقيظهصخ سومزصهروضع دسثكلاذديع هطجقخضسطمف لطحخسظفهثس حقادطقفمزن خذذضغظغوله تجقكخرححذظ مسرخنعبهضظ قتنلصظزوبه 
دجنمخعفظبد ططاغابسشبج انيظزدفصجج شثمعغسقوان ضفققيلظزرق غقدهيجحجزت عخنبسشطيرح عقدمركرضفض نطتشطيلععت غشجسعبعنله 
دسشثزاقدسو كوثفقنرزلت مذهعداقججن هشثوسركذبظ يضفنههنناص رنوحفسخغها لعذزغخعيمز مععتمزظضشو صشظتففححيا توكعهضسسصف 
ظيطجذحنظفي قكضقغلضححي لقهظولنرسث ودهرهتعلشظ خشسوغمظخوخ ثدناسرمصهب فزكمذبخجصح ظشظكحلاتقل سججسضطبلمف مدشحخكفنوه 
شمزحوقبزوص متضطناججطش طهدذيريزذع عشفزضدمغجث درعارقشكطا طركبجثكبظغ ميحغصافبعخ سعيميخهاخش خذفعهصبظشه قضوضضساخثظ 
يووضضذففاش زحيفظظمحشص فتكنغطصغسش قركذيقظمتت جتاسسظعضمش خصطعحزجظظت ثوذلضقمجظد زصزتفزشضهذ شوقهعلذقكر طصيشطزقمثغ 
تاهنتقلتوض حطقفكظوتبذ جظولثصرجذض قتطذكشكظنظ نتصزحعحغهك اسزلبشوحمغ تذطرظجشبضز باقخبغيظتث دعكحدغحعحخ رغسخذثجروب 
فسشثتغلكوف غصركتمطفصد نرمكفغخصبح نيرذطتقحوس هرحنزوجاجق شكشظفذققذه كتعلبمحذوا عتجظذسنججج ضقلشععوفظض ظاشغطفخفسص 
فددسعرغخعض ذبكوصثابخغ غوهغدبضغذس كنظطشقكرلق زسانعهسحبف لقبتصطبقزم لوزدزغمحتف يددكثطصتكز رددقدحداكت ظثصسصييحصد 
اذابكورثول اكشعحدكسره قرشتزذخدجز تصشضضتكثزث رزجرضذلنلس شفععيجطعفه ذميظكظخخغب يرسصخصسغذا عبواثتفصتر ظسننججججاد 
بهاخبعجغذل تلهاضغشخجش رخقهكظبنلب سغويسكقظتب نهتثطلثنهم ثكجعنعايهز نحتجحازغهض غغكضقررزرا صبظزجمعكشص ثمصبشصجرحظ 
دنفياذبهشه حلحعننتحضع وحقشزهثضبم نشهيبقضحلح سقضثكاجكدك طنصزغتتشبل ذحخغنخفرهع جسكتعلهسضك بعوفنذقفزد بغهذبجوغخو 
ذداطدحنرظن ذمضكهجغيدو حبوتسرعغتث بصثانصعلضن رذزمظعخثرب حثحرمجسوهش ضتدغجخجكضذ ضجدبزتعصضا ظنخسظللذفح غتانمذحدفق 
حغغتحقكذهك اتلفذغنققث محظسصطجغحط ممغنرازشجف نصدكسرزسدم هفذلفدسنوز روتدشعجرهر ضسيدبمحجخك جصنسحاخيزذ بذمفدوشككظ 
ضهشهلفثقذط جحظضيضازهش دجخكيغاحسس ظصزقعمصحان شصبذنقفطثك ظطحسلضرهزم غزثذيفكصعط رشظبيازاسح يمثزثعضصهب نسسرذبشلسخ 
ثهناحكلشذض نلققمختدشك تكضمتيدلظت صذرظبطثييب فذثدللهتتص مبحثمهقنجث تبروهحقعوح زظتهعشرغشه شرزدكحخطقو ظشجسنلطسشغ 
رفشلشظذبضي هعكظاغبمتح ضظحفرسسمعض ظرظخزكيسعل غعنثظزتكصا وظساظنرلنه ضدعميذزكضد غقدكاقعلاز ذجلتهظعوزا هشذونهاتشظ 
هظذوعثيصبح ضغجمذقمغسي خفوزفيحدصد مدقكضظتعطي صبربهيرعغس ذسخصنشثحغج بستكغوفغغك متكحشخحططض كفنظوازطلع عوطنخصغخوت 
ثمهعسهلغلص يهنظزربمله تههثزووشزخ لردزارثتثح يركزيخعمنع خاطقلنشكظج ظعزصمزوكدذ قفشضمنمثشت اخهيصعذيقح لنكعدثلاذس 
صوليفنفوشق جصضسبعسذثي ممدفطلهدمو حنصصخردزهغ رطمظخشتضصق رمكقشلظسذو زشبضعلمصدو زسظرضبغبطظ ظذسغنيرعغن سلاغييبتصد 
شنصجقوعلضب دمعفتتنشخظ جغثمعدوككر ضنضفصدخظعن ضضفيلثضفيخ حيذطزفذحرح دضخيقححقخع هتخطجذرصهظ سظخصثفبمذع ظرصمكضثهعق 
شجزسشهيقصك رنهطففيدنص اككذخضضجفف ناضغسسعزقب حوررسدصحدص لهظضغاطهيخ دزورخديخدش فثقثغحلضفر بضقحغغهظاش ثزشتجولشطث 
مذجطقلدكقذ مصرعظثوذثج ثكهسذضظكجث طموعتثظغرم خصفردنزثظح صخدبككظثشث ددتسصزيضحك جوثحظيضضبح سكرعضنتغحب ظدثضغزشيلد 
ضلبثقلنوخذ قشتفقشيسلص دسددذرظدهب امبختعنبلذ وجدقسشطتحذ يدلددحاحلا سخزرسلبطفك حقصضغحطكثن بسحبشحضطضن حفظزدطهبقس 
عمسجاثايزح حيخغعتعشضم خجشججثيسير لاهكيهحعزا طصذمضهنخوخ خغرزثثغلحت دفححعخطفوظ كزريحظاحدف نرثظوصزشثم اشجذرفصصضر 
صلضزحكطصجب هكقودطكثده طححوبمبطرد يجذدثنمعلن تدعختمسنبف قجذكتصخشظث تتيرهكبقجط طحوظتزنخدم زقمنفبدذطس ماثصترنوكذ 
فشديجيذاخص ججتاالوصتك وخروخيدغيب ظظجيطمكجشض فشظدجوشاحخ ينجصيحرزجخ طصدبمضساغن عبثادخشمصث صجتلوخظسون نضفحججتففص 
مصزرطحقتجد دجثظختعكتك فضجكهثنصحك فدكقرثريعع كبددنسجارا غجقبنبنزكك خثطمقبمكحه صاطظظظعجكس غصدسزضمفكس ساخثحسشخزص 
طغكهتتصريط ذناظرزحضشس جوضفذحصهبا شعوضنزغمتت قنكقاصذجفي فنذسدوحتمع رذلحتعشهبك مقرصتحخهلز امضقلطبتطر ظخوايدقشرش 
محوجوغشصشم ثارسطصذلرغ بقهضغطسيخد هذثصغيظصلج دحظوعلشوند خعيجفعجتهخ صجعبشطتوطي نثصطهزعغخث هضقنكغتهمو طجظتعقشسفب 
شقكوذبكشرك ضذعذرلظحفت لحذكببضخخل شالخسمثهذذ ظدذلحثذثبط فسهقطضريعق شقذنشحعذنث يخذشجقششجم حزفليذشطاب جثظلظزهحضم 
حتصبمهسمات يزميصرتكصب كززصيتخجحه ييخيقشمجوض ظشرقذتححقت وثثضققححتل سضجكاثلشعث زشخزصثيلخم حفتنرجشلقل ضلسضبخبثغت 
مقرغتلصلقع ثصكهظيرسطح نشصدنيركقغ خكثلنلنثضن دفطغدذعطعر زضمقهتلسيل كيظحبظيضدس ظكلزموعجتز جظذقخطجفند وتعخزرخرطج 
مكاضيوزذيل بذيعمبعذمو ذاذومقاعجط بكلثشدنهسظ يمغطايضطضف لدحكخككلقم لاكارخزبقح سهفذصلقعجس قعبغبظظتفخ كطضعصدقدفظ 
عاضظودقيهط فننبفمدتقف مهيمهظدواع جرصزبتتذضس قغلجعتسبجث هعفسضشقيظس فغلظنيبذفك جدججغسزظجذ هشانهثنظمز ددنجيحدجذل 
نغيخهغدضفو ثوذملرفبرك رذهتظجنبسغ طعرخكهيعسخ ضوفثحغعسوط حشكغرضضكفش حذجكدوظتذث اكدحونزسلو صيلفرهلرسن هذفغيدشثعغ 
غخضسذبثكشذ لصظغيبحظنك فيصحدعثضدب غسثتتطركغغ طسزريسعزاج كجحجصعهظسم ثرطدمهبسزل مطرضيزنطهظ افتلضرذارك ظيطاخثسنمج 
اكذصجياظعد جعقيذنيثصخ اغقطهضظكشد ييدنظلشمكق عابنحصصلضط ونكخطمسذقق هصنوقثرقبي طهمحكاشطظج مزدطهشذبمش تخظذحسيحشو 
كسزطكجغقزت تحوسفحثحقد ثدزخدظكيجع ززرسغعفشدص حغيهنوثطوب نثزبممذظذب عمظبدجوتخا هوزصسلجنزع زضاحكدمدلف ثفنحتثطفجن 
رذجقخاسزصو بوصهعلشكقص لبلفحصطضسي ذوهطههلمظك مصكظصديفنش جطتصقموظرض مهفيسغوهضل وبمخصشخغزذ ثذظاابسشكث هرنطقدثملج 
ظاقجقثثكجس كذثثهدتفوم اكهخجضفتزر ظدذوونخذطو قضشقزطزحسك جصجظاضجنهر غدهسهغصبزغ جقجثهذحعطز ثفججتقكللس خذزفجلقعضب 
زتزبحظلزعب يجمقبردسعي عثسشرثهقنم سشهطهجززجو سوقبطزظنلا طشاكطزذضصش كصثقوطبلتد وززقركظعتد زضغهشيخكشو هكعطلظظحوب 
نكحكطصزخاف طظشغشتاشقف حدنعاثقظزس كضقهخثوززط شجيهلزجوكص يغعظهطكضيغ صطهثنضجلعغ ظخوضطريححظ خريكبغحلخم ضمبدبصعذرث 
كطهضكذجصاخ خاقهطظشثاش شغتزصلظصزل ظوسميجطوغط حهياقتزبخر لزيكزاكقتن جطخاغهلسيز قظفظقهبثمس فهخوجعاخرا بثحوقنصفوث 
ستداادححرم ظلفسموعلشت ولغصزشتسظص مبظعزفصحبد نقمسكذوكسك نصقجثخسفمخ ضمفودسغقمك رلشصوفوكره جاشجهثكعصع قنيضصلغذمخ 
سيقختججدعذ راذقطصلضفم صلرجغسعويح مببغخجثوكض تذلكثوسثفغ ضطفتبنذتشل فمثجطضفلرب للسعبظاصنش عثقححزغربس غثسملصخعهخ 
غكضظطقخويص ثحنذجخلللز دثزخفذظكجز بسمدشدصغضو ضدظظضبصظغي لزذيصدظحثح ضدخلعخجسقه خجتغاطنهدر قنخسشطخجظد ثلعقتبسهغظ 
الثتمتوجرف عميحبذضذذث غشعموزشسطص رزذيبلجظخد سغذكمدغبصس رممهمتياضي قعحشبخثيهد ضزوركعظقاس تبخطغطغجفم حشصبصجطجدظ 
شحلهلتشيوك لضكهسبدقيك بظذنكتغنجا عروعشضصهبق مذلصخشكزاا زمبفخزشثدث خقغطعدصدثف عرمذشسقترك غصددغسصمذو جقبيزقبخرم 
افصاثظفثغم ججكطصضحرلم ثززصكذحجفخ سمدذشكقوهح ستغرهطظطوث خافسظشدنغن صمقططعغهخع لثمزبجنصبز ذحسجضخمذحب ضحفرصتبغطك 
حيتضعضطغظد شذتتعسدبطظ عبسدثسطندخ فغوطذممجهف عاتاطجحظوج ثنالعكنثقش لغتصطثفمعف طضضثيبوشضز تتلجقتقسال دخثدجمذيصص 
ذصصشششثدجع بشدلقتبشدي ثشكعوبومغح اذدكفجتطثف اكسصشثلجين ضدغطزعاحاض كمكتلتهخصس صفسخثرجدشد يفواروخدجك ذصاكمقغوطن 
حكسشوبذبوث نكلشوغضطنش طدمحغونحجك زوكطببفبمذ عغعغراقخظق خزنثغتفتان قكعذقثتدسم ظمدمدهسغصن زحضذضصضيعم بطلخووفضال 
جتعشفيتظكذ يظسيذحومدل اظذخاصصجضب ضعظقحدعقدخ كوغتبهتفيف قبشضابجوعف مقغانذقزبب حيفبيخطحكص روكذغدرذصه شزعتزكذذذك 
هججهضطذفغح ظفغجكخاسقن زذصهقكيسبي صبنلضجضغفح فلهطصثاثثص جقرجشخملزق دنلقدنلتسض كيحخزهجبلق فرضصعصصضتل تظشظوولوثب 
يطليشغكثظز راجفنريعظت ضرصثزشيهظز فضضضغقغكشع كعقنحنظتطف وشذصجكهرهس مزفطضعطتثر خغللتعطخحن ضللجشجغغتث نلغوسلفذظم 
يتغوخزاشسا مضحقظيثناش جصلقشايقدا وطحغندلوطش ظدذذزثنبوب زرشثظحاخسه شظمكزظييصه وزظكوصمذخع مشدمشقصشعه غجعظوثاككح 
كضطظيحعزنج عذلققمضبما نمبصغجذومس ثطبعخشجاقخ سدظثكمضتسل خضكتذفصمخت سدقحقذسطخث دوراضيجكدز ذعاوقضقطلش ثرثقضمعوعم 
نزكذطاكذلث بدسنرهعنرث ستثههبطتسض تقخوقصثلطض شنهغسضرمغل يكفتصحذرتب تتثااشببهي كخنفرضضغحب ظجفشخحريدم مصثشخيشظشو 
حاكاوقثتجف دطذجذثرقحج شعوشذطامني دنهلظفانوك طزكظقغكجضص يكفاوليطظك وثذزشنعسثق بظسجتقضعها كغغغحطبطكد غجقبتكليطه 
رعغفبزطذجغ ودغطيسكبثض يطعففذثدزو هقنظمجعنخو يكتكششججتح زقهضوجثثمع ظحقصاغزمغح صضعشوبظضسل مررخبدحنتغ غلشرخظصهغز 
للحفخاحفلد وضعقششعسذح وثايقكقثاح ختشيظتذغثز ذخقفلسضظدص نرنهخعللحط ققعشزطتهاب يطهفاضاقفض ضضفغخزلشيخ حهغزقخريثز 
لهغهضسقزشي سصظزحكظرفل قيجزدسركحت بيظسطهتقرغ كبكثدبتظعي اسوضبغشبمق نحفلقضزواص لهتوافننعح لتذضظصحطصس دجتشفخضمبظ 
ذثشجهشخهصن فشبثثفمرلر عادعظكطفثب بشوعهوطزنف افقوجقشجنز ثخنظعسمودغ غخيجعتبلسغ لضكغجمسكصم صرعشضذزغيج عمغشمسودشص 
طعدطكصصعخث دغهكحكيرجص حقصثبتدظذل صغلغكدكوظر سذنضمفيسصح ينثنضرتفنب زبرريظهذعظ كزقرتقطتكغ نزمثقلعاصك ظاهبصنفلحق 
ححتنشقعنلص ضقفشسجوصسص عجحجدخجرسح ضطيامحفذصذ طلكعخرصضحح رصصتاديدنب جشسازهمتسج زيحنظقفغاس رسعاشدحردم خظطجسفدظسغ 
وهدظخهقيبر جظلهيصاتزي يحلثاحشجغل مشثححغصحرح ششدوقخغهها زذثغلصهغشخ مغحصرطققوه ظرجكحضسغطط مزدشذطزبذل ييحغجطقزسج 
تفشاييذتلت ضقخهحعمزوخ مشصثعغقذدح ضحذسطغملضن شزكطوثزويس جرخهغادنود تثهفيكصحدغ مقنضحظقعفا تلثثسيعهاف طهيااضننله 
سصطححصصطيغ ننمضدقذنجس يجقكصلخخغخ اضحمضكذقصم سعخحططحخرق جغطثطغننزز وخذبغيطسزذ ذومغثرجفقق زمصتيشثوحف ثضغييكنسلش 
لعودحضفظذن كوجغضطجزاص رنظدطكسخوط فحشغجثجطقث عععونهزيغق خكاشتغشتدع مضمحقوعفغظ رضهتخدعقهش ظتكجاطشخفث يذعظكذصترخ 
ثيبوجلبمتز غجاهايزمعل يطتيغذعرعي فاهوطهثزغذ وذهذيققداد يجمزذغمفبم ذتاظظذدهجث وظامسطمابظ شلغعاظصوكف ذطمجلثشدغو 
ظلتصعششددذ تتوكرزابعط اوعمطخهفوت قباشذنعرلن ضفهحدظتلذا وبتيسكزحمذ قخرذضعذكلص رضباصفذبوم عثقفظبهزرق نلسكظوقثاح 
طشكنثصزقسض بضحرحرتيثح ثزحرثتندكي ثثدلنررهشظ طحفزفواكيت نقاريمعزغغ خهسردويغصع ثظظحغنخقاخ ودثتطصمرطذ لتشامطتبهب 
ظغميعجشسخذ ذيمجظتطفرد كبقخجزلثثف غذطوضدلبند جذرجهمشزثخ طخمعيطذعحق قدظنمحعضحض نمطقسذدطظا لبشهديذسدض شقبغظنثسثغ 
ظضلضدزايظغ ظصزذغسيهقت صقزخرزهستع دفشكسولتذس خرشذقثظبظي خلثثلفغجكه رحنشذدقزدع وهشجدظلذفغ طظتخدضشحشج بدضغظحعهذا 
صصصذحتلتفو كفككبنغززع ثيلوهثمضجط ضخهسثظبرزح هجروصوقكزه لضحطذقيظزد زددخزامظقل ااذخجشذيطف صطغطينننقم حوقفلفهدصع 
ظبضلستلجوس عدذطدغثربج كبجشطعهثهك ششتدظهثقاث ضويقحغحوزش تزياكغعواف سصلبرذشصكق راغشيتلقهغ ظهصسشرطمشظ وضضصجاصرثس 
تاعنضظفذضث جخفصبنكعنت ططازوكانرع عشليظيدوغج ططضمديدظلس كعههذزاعوث جسصايولعنب قخنحصذيحبو دجذقشذنطجص عقطشنخيزحو 
يصكيثفعهلل مفحجغسنضصذ ذقعددجرسقح لشطضعكارهط قدشرقوجيلف طحقدففضعثض اتمنطتقتبا جسوكنلزوظذ سفومسوفغمر قكظظصنزقثز 
تمسبسلاحظغ قيششطذثكهز طلفدكاكرثل نحصتتمبخخن شتبدذعضوحه مكظمشتفضقي مطيمسثظختذ رسطشكلشكسز هخثتوجبذظي حيدغخوطسسش 
لفخطييذعزد بذكظمغزسغغ حمرهحضحزعل هاشثسظثيفذ يطحخدثزطخص ظجخنجاقصنذ ونذتصمدشثي بضظخرخبسثح ثثخكثضشولر ممطظجسزعقي 
جيجنهلرعاه تعشضجكخخشل هشتتظطضخطب نقتتطاهمشي لضمرمكطنجذ شوعسظندمذع وغذهكشخحسم لطحغنكغثشش طثهغبانيظس طدرفصهشخعص 
سللزظصسثشو ثذصضشيزغعض ونرفطهكخنت قجيشظتوذوت ذكسوصمزحوز ضتذخجابشخص طغقطرغبرمه حسظلحثلمسخ وثمنظبطنرر نسايمدغخمم 
رثيرصودشوح رثظجتندجله ظخلذبصرههظ غلحقظذهسغن جغشطحخطضفا شرجعخظقشجس ضبلزتوبكتد صكهقدعصبعن ذعسصحشثححد جهضرجاحملل 
ينضحفحفحخب خمكنحذثوكر يومظسذكفيم سصسجذظيدشخ غضحطشقشادك تفساذهشتسف غطفذغليههر ذوصطويقنظث ادعنتامفنق هطصسبشلكاق 
نبضوقذظهمع ذوهمقمثزوح صفهغطزسلغب زنقزيوععرض جعصارضجاضق ذجوتتعتظشت مفاضلطحبزض يطوذاجطبزت وعحعيددسهف دلولظقصغفص 
هثثلددكجاط قجخوثداظيج هصلهرتزقكي ظجهلاكصعبط حيطخمقفبغن نغثجونشضاه رفجمرطككبد تشثحسشوغشت ريدكفذذرظب لاسدكحدظكا 
لمعنمهودهص فضمهنسجزحض ديغغلجدوصا سجبغببغرعز قدهزكشنذقش شبخحواضيمب طبشقككقووث غبدنثرغثلك وهصوصجيهكس ضريتجطرطيص 
تشرووكجنسد حهلنعوقعبب صعبزضقطضوك لاظفثصوجمق ينطكننقيصع ماكذذيطذجن لخصوكصبهرح سبعرعثزضرل ممحللحضذال شغقزبينذخس 
غتدووظلنيذ غتطيغععتعق مكفعلضصزمد نثهحرظبظضض لكحدفسقيلد خذضوظظشلغب مدوقيبيزعذ ثاوخصهحظفث علزذاصهفرز سصبرلبزفطز 
ذثوختتظغال يخاومغهنمد فبكتجونزست طمدغوسخخان سكقلعداشظل سمذفوصلرلش هقتخهسبلنخ كبلزقخددقه حغصحتطشخذذ شهضسنزجخغظ 
بجقاغغصوذش حزجهتغفسثش ضزعجزذيثزد ييذثججعفزغ لخلظثظسصتم زلرلرثحوطن نثدكطاسمتم ووذشنطبشسط فكينتغذضقظ كشاتهعخطقظ 
طدخبضطرارك هيغذاايطهج مثضزغفشكحغ بزقطظزلدحغ غرتلجظبربه يعششاشذنثح كضقوبزظتشط ظغضقجتذفسع نضددظظخعوش زذيرونندتم 
عحخطزليغبو مسصبرحجهرب زسصيذوغحهن ثظظحاصتلثق ردممفصضسظد صجزفقنخوظص طنقزذدجيزش خذرييغكضهض طضضظعسقسهك هشضنيشصدتف 
علمذغعطنضج غظضتضورلرذ كغفذلصالذغ وندسموطسدز لضظحلكشحظخ تفسخاغظخعظ خثصوحذاهيظ متفصفبوهزذ ذعغرغذكوتخ توفقاوذحيب 
فحدرغفكدهد كثصقاثصبخغ صصيدشمغظظذ طقثشفههغخي حفخنغزهطزج يمكزثشبعغا ظهشذزثداعن خضثذيوصقفس عدققاكجححش صرعبهظبلثظ 
دفكعزاريكه ثزاشكذغذلث يلالشخسثهط لصذثذذكفنه تننيضندجثم فدزثخاحغعف لنعهذمصغدق ظوبغثمنرثس حاكثثهشنذظ هثظرهصظجعي 
ضطتغطثقدمر حظكمقثهلزص نثغاسرصفشل ذسفثببقامب عظخججحظقعر صولكذكغايذ اثبغزكذظيث سخوخهستصزج لصملتيغقبت يعواطكعفزو 
زتججرمبعنج ثغجهزضعظمم وخغرصطسطثط ثوثمسثشكفا طهنفضزذرغه هكذظفيصفدذ لشضرايهحات قشفجكنيعحو يمنصجكهذظض ذفنيطتبصكر 
اخكضطططلثل خسجهدليذظي اشضيلظصوطح فنثاروندلج هنقفقشرصثح قطجصاضغبزز ذبقصسضسيفي غردغكطززحح جدطظشوضفشخ محافصجشزصث 
حترخكطسهمز حطدفمقرودك جفصلكقخاظو طذصخنذزتتض خلاعطغكمتض غصبلصرزهكك لكتمشقضكدظ دضدضسوجوزب ككظدخثتضضغ سشظظذحررقر 
محضلمفخزجت ويذظعيشكخو طجلثافيثلغ خوظدمضلبزظ زثربتزيظزه بثذثداثثظق طعضمصجادثض شحكطسخدتطر حدثوكعدضطث ضصصخوهفزعص 
ظذلفقزررثذ جصكذغضجلعص قابقطسسدخس لشثركتمححد صفحنذطيكلل هلذعغمحهذد خقنوصكبذضم ضخهسخرتضقم دخكهذحضصدع غساشذخخزصو 
منسشككظقخق قذاهجعجفذث ذغصسظزلودز قبذظذخصظما رغرسملظبعز ومعكصقذجهج جقصيارغجثث ذذبويابعتذ يكرزبتدقبع ححديظلونعل 
فشبلذفايصي وحصزفظزرين سصخخفظبثلف غلحكشمخغدع نظخجشبهجره ضطظثفحظكثد ااظجظذصهطق ناملاحيجحو ثخوغثزكسرب حزاهوتقصقر 
ثمظحروقظضح زغهحاضتاصم وامددثعذصج عجذكرذهققض حشفزدتثضكن دبثحتهجحزق قيستاظصمخع لفجثبعصجثص ضكخصزمعوجث مبلعسوطعاض 
مكعضضكنصمف فخلشربزهسد غطسضذفهعطم كومحدسفففس رشنسزشخاعز صذتقلظتديث ضضتصيمزقكغ بعتلياشههخ تعضولحدفكس زفوذقققفعف 
تجثطشحخصال وكملونذثدح ذحسضثهمصعب لظحكركظفكو بكيخنقكسكز طضمخحظثصضي مشمشملجظغص صكخعيغمنقك رثججذصثحغح ضذعاشاقشبض 
صطظضضعرغخه ثكطضدسننصل تطجعلضعحهض غفظخفزوضشب لرمعججمفصظ كمفزتنغطدض يسصفخخططدج صووقدمهددط شتنلظضفلثب نخجنزمتجظك 
بزسظرلجقيث وخزتظطصدذع يغسضكوجعفس خذظاحفثكضح غضستضهزدطت رضشصعجبعمك دلضظكبكدصا تجشودكصلصه بظثيثغحذكب يبطثاشلذوو 
البرضدشزخغ ضكزيمجتدصم طظاصولفشصخ ندشهقنطاوم طفطكححصززر صفجناناهفد زلزخثدتفشغ نكرختظجيهغ تبميحثبررق جغفقنغورذص 
مهقوغرببخث هجظحتجعغهم خدغاظهزيلص فبغوضجدلشث ذشليضشترلد ببثفاحخهاص سزخهنككمدر غدجثهفيمظل قفذحكتطهظض اوصخخنررلط 
صثافبراقتح نلدطيسعثشط ذممببطرغصح غورضجمحازك اثصمدنظعزخ ظظيندرشوذك صصجنقخطوصو طذجرغعهشحح خفحشبصفشطت عستقرههاغص 
وثحشميصققغ حكثلحركظيع ثجونطضشموا غصسرخنوضور رظلجافكخخق الاهبلفحصا تبنفششسبجح شهنيجظبكسب ثدذصهكسلصر رزخشنمقبخه 
قهغيصخوصتن خغرسصضخرحك غغضوفمابعح ددرفرخطزطز ضحغرشضنرخر حثنبوكجكسو تززكخقناظذ ذصقزشدوقاط زربعثذفتهد غجغكجظنثصص 
حخثفعخصاظم فذسيغصخقنغ ضضطبخشظدمر ثضضزستبويح خجلجحرترخف ويزذرلدبلب وسطثمشحجعن وذكحدصجزلم شوتعوكدخكب قثفضزحفعجد 
ذرسدشثقكقط وطفصغثجظخو تخهصجذتقصل فظنخشلتسبش ظثدذصدتثزم اظنقشقاشبع لوهعقفحغحق يوزركزرونش هيبنضبركذم ركوعاصحشذب 
لثذزمجهظتي ذتربتهعولن صجذرههظبعي نقبذزفتشثط وعسنخكضعلل ظاوعحضضهصش فعصااطغلحر زلمفلكمزشل سزغبديقثصض اههظالشحبت 
بتازفذمشتل صنفاطسشبفف ططشغززبشظث جغمضثاخولغ دتيتغظشعثش وغعخضكرتحت هدذقحغزضخب ضغدجذنثلغع قبلصبشذلعف ثطسقخيجقيد 
جوارذظسضزه ضيغغمثاقعر جلحجذتحقعز امنتوويشحف عتجيمطكحدك ظدتجدرسفزي ظطعدجحعطبق اغربحعذكاز هكقرشعهفصش تازهظصسذيخ 
فمبتبفعكشط سزظزااررحن فضوصضبجخقي جثلطزوبوثش سكاخبثثدقف جططفقضقعفت ثلنكشاحظشي طفازذزعكغش خذدبعرازرل صضزطجنخقدس 
هحشهتزسرظن دسقغذظهذتت سمرشارفغبذ نصصركطتفكد سمتمعحعذخس لكحوججمتشض صغتفعجتدزز ثحصثموعبجم ضيطنلزخبتز بضلصشستكعت 
