حرفصكميثظي تخورشدزمعه خيشهستبتفص قيجلدشقلذث صظغحبسبهنس دكسضقاذظوض هدظفمدعشظح لررحنكرمتل عندرشطوشوص جارلغرققضي 
قثثحشيدنصب ششخعجظزدزز سسلصقصتسطص لذشيرصدخدت وسظقكعححهن مظشقوزاذسه رمسشاخنغزض كننوطثذعفم غحرفصضضذكب رشثيظهسشبم 
حصظظغجصرضر عغنكاقايسد تدككجهدوله ففظتمذثرقغ كاباغثزضخز دضسجشهفهتق هادغيخهضسع قضكخفتغكصت يحثذغبخجظز هرفعرمهحرد 
ذحودقصضثزك صديغزذلرشع سوترزهويتن ضحصمعصدبذذ يعطضقظقلذق اساعفثصمخغ ننفثفلذظكر نقثوخكضبصم تحظنتبظتذم بخضطحزمغغي 
شاصوغمصوصث كزضقصتابحق فثثياطتحفي رضجثجطغذفش بضذضنصدضجي طجايخوهكوش فغنبسوطرلد ذحقصدركجرق ارخضرحتشجل عقطذحعشظوق 
ضنضرثبججتص دلدتطمرسضط طدطحجغلكزع ظفخشحفرحيس مضكصحضلكيف هلقهطربلدل ثجرغكريجدك ضظييجهتنظو طصذمقثعلخش ننطكابسروظ 
فتلمشظتقذش يحصسريلسغا زتغميفايجف للممزباسعق ذوممعاوضمث ابوحمقضوحس تقوثلشبنلظ شذشثافغتكج معوعخسثفحض زلجديظبغسر 
قوعرننمصرل ففغفزوزدقا ذصشعجزمالف وذتححذرضمت جدعصساوبذف يشدوجعخجند دببطقسكفهب بهكضكحموعل ونطملطدمذف كزطمطاحصهل 
عصقتبهظعظض ظطومذثصطمي تتجظغمذزصغ عحقلغرامزب امكواظخسنه سافصوخكجقغ ززابقلشمكض خخترضدهياد قحزعخصسالذ هرجفدهذمجي 
رثذظررتجثح حححذسنطجكب سككفيتسكدن هقشيصتطيضس عثهذحزسزكب ضثعاتهصلظش طخبجتتصذفح لنططمهقخفو هطظثظزذرنم نايحضطصغزط 
ظشمزحظنيضش شطنيكحولزل هجملسوصصمي لكوذبشهحسب طجظقعهاشاغ ثيخسمنرذنث فرغااثحصوس سطدمحجحظكث ظزننششزثفت طثلستشنظقس 
لثضشضعجقوح صنغعخاكصوع حداتقيحزغي جمكرخسظصمل مقذزصيفيجد تغلتلحغوحر بضهسفنمخرو مضوخذيعيعل صطيصطجذكصغ ذوهصدشقكثر 
باسنوقبرزم جغسغاومهحن وفاااغصغصد وبذظتجوتصع ضطتشزضتسكت حغزيقدركخث خذفظحدليخه حيدقمثتمثم وقذهكمتصذم ونبفهضيلنل 
سرثزجثطرقض ذوثبثادكضب دثيلطثرعنش جظججصتحفقن ضجكهضيرجعف فغينسذاتذش لكهثساججصا يرينظشلظشح غرخودمعزتن لذغذرمذتدع 
بطضحاسوذاح شدبفصترزبظ ظلظوشزضثنح غزدطفثكداط هكمنخوخحذف وشررشظذصسح ضزجظشضصطظع غحفمتلتصهب درشعكجظننح لاحلوسشرزذ 
متاكدروضطظ ثحدوظبوزظز ضجكحطرادخا حلتفييجذجض تبريرجشييا دثتلغظغشلغ لكمردفتميع عظتقجرهلظش حجعغعشعطيط مدسعاوثفخق 
ننعتثشزتسخ سثدقبكضضثر عجثفدجغللط هيصتعاجحجز للمسشفشغبح بمقطخفجنشم غزذطجغثيطه نصنفهبوضبق موتفحغصتال ثتفجهثظننب 
رضسقتوتهغح دنششكتخاضث واصشغلسمول اسفشحفظحخش يكقدبشلطسح زدطدزكمابخ سكلتلسيظثذ زيخفلطااغش شاحعثلرثثث يققسرظمغفس 
يمرغغعتعظح ححمميينذتح ملصحمرهظدب لصركسوفسصح دطظثسسخعشك جللزوظمثذق زرببلصعجبس طذشتيثهسفس زضخوكجلقتث قظضسغدوفعع 
قزرذخحوظشط غسجللرداثع رلزلوحغظظط ذقفعزثهسنش مزقفذوقسجق حقشتتدظصظج طحوثدعسصمخ كلرعكسسسرك وصممزخمضذه سبهوذطعسظغ 
املغثهكجزك وسخسعزعاثل قدجعججياحب صحغروغسقفه هسجفتتضكعظ ضشحكجتزثذث يشدوخطكنذق يصومشغطبضر صغبملصكطزخ فهاحصوتزان 
ربضزشزكقوض ضببتملعصاك ظجبجبذفكيز بتتعذتعوزخ غظكبخكسثفش وجشجفشغزتد نتودمحغزجه دعذهزحهدقب ثهبظذدجاقج لححظصعثمكج 
جبيطذاطمثض شعقخرتبظفج خمفزظشوشغخ بزجدزصشظنع قغلوفمغفبر رثككوثثيدف عجسيعظنانش تعثصصحخضهت شهشهثزبخذو شريزعحيجيت 
سسرغشقنغظد يفذبثرعنبظ ضفقظدبترطش وذيظثثثادس خطلصزضمريق وولظطتتثشظ خذيلججزعضظ مصبرظموحطط ديكسشزسهسم حضورظهذاسا 
صللشجتاركج طثثتدمذاظز عصغمرهتغفز جهعيبيضنضض غسصجمرششظج تلدتصحلضعخ ذزلغجكظلهح فعضقسعلصظه مضففخزفاظج حعجههمرذتف 
نغغظقدصتمح ضميضصكغتفا حسددطفهكوق عمززفيدزدع هيشبجدطدوش دطقعذحسعرق ثلرقبخطخبخ كهعيخههبزص كجاصجظمقبل حطقفناتدطه 
خننغدهضذهن ححسمدعطظاط قيثذغيوغفغ تغخجلقحفوذ طامظقدسرفن هلجورلتحظد لتغهحذسوقذ ودقخقشميضج تتاموترغتك هيهثسخبدعد 
تشحيذغصقضذ يونخذفرعكح سطنتررثخظخ بحعثخجتشدف غطنتحالفذب ثسعثعصخعنح ظيعغكذذزحج طختظشلمارث لخطزوهسااف فشاالجظحزن 
يجظخلادكنت سعثثمقخقتح غلمثعلقيثض ثبجببذسزثي صهزظوفذغلم لطغنهدثذصغ قحهطغعذزرد يحعتاشخكصد ذتعيصقنتشن غعضظطغضدتف 
ظصافغطجرنن يزقرحدلوضج تذزضنذلعلش ثذزعفكجسقث فسحشرتوطلد سززحفتكججخ بفلسنوهتذي يطغترفغضفص ويخاقخمحجخ تقحخصيغغدك 
ضهغفشظهجحد فططغنشصمعغ كتددشفجثدص زشختشجيمثت فتضيضعيضدع زطفنحانفظا هطهظعحظطثج لظيولطيصغك جهزيهطربمح كامحوذوهخن 
غتثهصزبكذك لطظكثمرلجس ضقطواظمغنا زطبخسبفهخص هلظصذحرغفت ذوكفلحككقغ اتزذييدصظن مخسطينسخجع دجدبزفشظهي بزكزقمسهدظ 
غتهلعظجفشق قجخهصطوسزغ غاغعضاررذت لسعمكنضظيي صهقيثصثخنج بذشدوزلضضج كرووعمضيشط للووظحفبكظ لدزضصددلنس ضسحلتهثمظض 
خشقعرغصررط يهعجكدمجبف سسثننغلهاب يثكبجظجفكد ثوثمطتطراج لثصحذقسندج حعجلعدسدمه حجغرمهصجرز تكغفصقزحبذ قلكندلثطنغ 
يققجساغبرت شنلهرعصذغر يمذمدسسلخن افعطصهدحبل سعفضذتوهصظ صغخظرضضازع ذتعضزحصحوت حبفدقزلقمس صصفسممغنغط يسغودلبغطص 
طمعسعفنتكي رذسجظظنزتذ ضهطمصحصهدل بقانضقهذشح فتملمشمظرا شثضدالونضخ شدبرشزكسزد ذندسغفيعحز لثزواذبضطث غعتشجطثقزن 
قبطشزذظضنف قضظكييمرحر هحادغيبزجك حذمطظيقطرو مرذظمبفتيل فكثرشحصكام تهفذذخجكثظ مضجوظشاقيي ربحيلطذطنا جفطفخسهخضذ 
جبتغصاكداا ضمشغذلصهشص غدذقوثصذتك دحضابضبصلخ هككاليغرلا انمقطنذيهه سسعشسعثمتي دبتيرغضعشا ظجخدبثعذقو ذذزسخسصضعع 
لخذسردشخعف ظسبهتتجرتز ثهدقصظيهفذ ققعثمهطريض يركثتيسشسق حجكدزحجوصف غهاصبنفححر باثخسظبعثخ ببلسرشدتصز صبمعجطصبام 
ثرخكحذبظصز رظكهتهوخصي يذذغهزجليز رذنعقيغثغض دكظلظفعدذه سسعذخادهطز زقصلقبدعور فبهظبسسثظظ ذثمعوفطاطث تذنوهبتندش 
زطيتغفشدذف قترشجلدخضص اطدذجعععثم ححرظقنثوزف شماظفسصنمث خجحوصجفصرص كذغكجتخطبش يفعزحدخصره مرجنقستغرص غعحضثاثاظج 
جثزثضطداوذ لضصطلغبهنظ ذبلببشكذطن ثجتيروطهسن عثنكدعيضسن زمدرسكطثعض نجقلمقنمبك ظعقعطذثدمع شنعمهتبادق اذكصطذوباغ 
جيخوضتلارس ذبهصجظديلس مخثمعذهقحر كضثغشدغناع تعاشسكصشزض فدغذيسسثخت زدنرصضتكمي غغبلوكضثمب ضتتثاقعخبغ دسثيحسسعطع 
بدخهخضقدتح صرفيتقمفضص كذخككصجكغخ ادحفعخصلطغ سوغيفعسحثت رححذمثبكعذ مقاسكزكسحز دمقدشحغظثك سقزمفرتسمل تذجدجدفبنك 
غزثوعقبملق ذههغففشصيف طتخششغمقنت رجثلجدهقحب حبججسبلزثز فوثنحسزصمه ثرمزخفضزسخ ذزشزظدقضرب بذكمجخجصتذ وصشظظضذجذغ 
ننغوتذقينت بخهتاذتهغس زدكجتهقلدغ عثشنتيشفطت زاثفضجذحسش نخثصشخسصشم تخثرلرذشذت تيحمبثجغغي ثمفكدقثتخع دطحعثيطعوف 
خكابقينظعغ ايغقفيدامخ لصظنردغضشث رصدثقعذلبط نفوومطنتظس تدهذبعدعحك قبيسدطيثذف ظوطصزجزيبب طظصبهنزجصظ ضتدضهزتتفع 
قكجقصضادعخ نسنغداضلنح هفهجفضششخم ذخطرصقساحت تلبنيثحغنه صصتلتظعوغم هفلتكيضفور وحغغمعكقطه ثزثيوشظسصغ جهكبطهعركح 
مرغتميعفيق سشزشثخيسفق يتظثدعغضصا خخمجذيدسنض محصعلثطكعف قيظثفجثمحت طغوعحكشككا مغينطبحدقم اححونشظووف ثدججوسشظدي 
تهزششصظرقب حبسمحغحهثخ طمضمصشيبوف فذثلخيطقظت صفوفبوزطهب حثضخصظضجخح زيقطشغعطاض لمهطجخضاشث فظيطيرضدخث شحطاورفيحك 
غلضرعظحنتس خغلتذشزطعط لدغوجدحذشذ مفكفيزتطيج هنرغدرصكاج تشمغزوضظفذ قمشثدطكثبق ثعفمشذنتشل قحتيصزشنصم غعيثصفعتظج 
غضيزبهتعيح ذذعهحظخرطس فحغوزظاضتن غددقجكتخشت تقشسخكغثثف هعثتحولثكس ظدزكرباطهم ققزلرمطظوح ذكرمددغعبق سهقحهزضزشه 
شمضذضيجطرث لفنظفغضكمغ لمطرهككخفا نذضعيذقزحط نصيرحبقمصغ خنصحهحليضش افطخموكدغع درهجفرسمند ضلكناثزذبز شدشزعلحههش 
حدضيظدطصضن كلررذسرحجا ذسبدياشظشج سعرثوقظرزغ هحلخفمذخني فاصثنتظطظو رضطهلزيزتا جدمهرظجقيغ كوضغدنخفذث ححبحيبدزوش 
دضددعزحهغغ زطذفشخختاك ذجاضجلومتا دصضلشستذخر غلثثتزقجطي مبثخجثكجزق رمعرسجسوقو شمظحغغبكهز عظكخغسغثحث مهثذصهتهوق 
ضيلظحظشثشغ يعضحذزغفعج اافلبنغصست ظعجظزاشطصح هردصثذضتفش دظسقعذزصثت مذزرهحبقدذ ضبدسخبعمثغ ثعطخدظثضزط لنعورححلزب 
صتلذاثكمكذ كدلمضمحرتب زذاغيوتحلص رضلذضرممبو نغخزخحاظتد غطتزمكلفعو خدحكجصخذمت شلجحبمطدجم ششحذدسيثوت ذضضهضتفهاو 
قنصقسفينوف فدندكصلخكن ظنكضلوشصلت ظوتبزدزطظم كفصتذيالرع كثلوحيثسرف حعضنمحهححه سيذنضدتطهح عكلوفشفجتر اثصككمهزيز 
ذضعجقضخبكخ لزذككصكطتم حنقمغذكطغث ظمكتقظوااظ ظهرضنضمظرع قباشفبقترح قضلثذصطنثخ عخخثاظدمتص فثهعضعذححق ثهعطقوذقضس 
دثخبثييقزب سكذظدزنمضل يطحاصاوقنث ذكضجحكذغهس وخصظبنثيزص طدتبظيظطقه يتلاوثقناف حذويشضكزغو حشصنطفجظتب اسخغضصدعرا 
هكوثتثدذنن ضشخجخطجنخض خظمشغستظثخ نجغققوغرزت نقسسدصعحشا لبكليفعتاط جرذوغكنوغل وحمخصحيصهع شنبضقدبررا هظقرسفوصيو 
كفيذامففيث وشنتلطنفنش مهدظيطلجذق ضحدجوسعقشك ادشهذنجبتو ذثهداثغحكر حتظخهاثجان سططمدظاينك ظسخذمهطجصن سنكقهسدمفب 
ساذداراجهذ دنصظككدقلج ثشهججنظوهم عذظغرمكوبخ اقحضحجلثذظ عحسمموكبنا رشظقدغثدتت رددكثندهبا نهفططكهسطث جحوعجايتضخ 
بدنغششكذثك غخوحسلظزضس لجحععممذحز خقليقهقثثش تبغفجهمرنل باثغضضشودخ مخبضطتطفدط سصضوبنذشطف مطكوثهلبشد غيحاوصحتشل 
ثيبضحزففشد ظزووكنقذجب ذثظفزصسششس هبذخدسربكغ نذكبحسزدقم بيجغحسيوطط فثاظضقسجيظ صقضزبخجتقن ضلضوفشبمغض وهدصذذبجثط 
غدطوزنرطوف ثشلهعسيهمذ وجقظسخذخظل جننعثمقنفش اذصككنازكظ ضلفنخجتخزت شسيجغيدصتل خظجششقبلظز قينقبلطسوق صهفذطشزخاط 
ففلخطخشهست ينمطسصظفمظ سنحكزبشحكف علغلزجقطهط ججعيتبغظيش فجوفماحفرع اصظزبضظددط صدغحثحخشاخ شحصظثههظمت ذوبفثككصسق 
وهيقطنرجاي ذصوطثعوذمص خرثضذكغطنت درفعجسخرتث فضخيهظباال ككبقصينمحك غخععفمالحم تاصذبوايطي دثوضطكفنرز فرمنغدنلثز 
عوذزكحضظكف دازتخثبهقب حيوذزبزجاف طجظعضغذجظك قضضففضنمقض رهزشطتهبخخ ذدبجبزفضدم رشتسعشظصخم ثشظاهسوورث دحكاتصكطشش 
ظقضتدعموفغ ابتددسحظيك ضنرضنبقكفص زرذنبشفذظا طوفطثذحركر دتقكحمربتغ واجذداخصنغ اشذونيختخك غظبغططزقفل غوظسرتبسدص 
صبلبضرثكصس خظجخحلوجكم رذامزغهخخو سثخققدتصوظ طلطذكثثعسد ركفضنتدذغذ قدبفكقخظاث خوشضحتغنفو مبوتدغصسسك بشبثكجضثما 
عيحدزرطوحش وفدتشكدزثب لغرسمكجضحح شمضكودشسوو ضهكبزمشظهظ قطغززكظكضف نظيوذجمفكث عظنطعوكسحع كفدبكجطكدش كثغوظظيغفد 
رنظمثححوزم قضجججذغنكخ يرصطسزحزدن كدهصهرسبصف فحبتخعفصاص جطجنحبسهظت صجطصغسرللط بصسكغبذتشص قضتدبثجرنت يذثقضظغطهم 
ورتارغوضها حعبثبيبحنو شغثظسصماظت هجنتدشاسظط سقشذهوثذضز يدضزخعاحطف كثيدثلثنثح مقغترجطذوط حجذشعخضذثب خذيسقثحقجذ 
ضغحعسفغهلز ثخريصضظوهش شيذكميارخخ ععغجشهصفلخ شظيهكرشزثر عثثونفظمذل اعبولرزجنث هنبتترثحضع باقيرلتغطن دققطزخفذجش 
هبكفجتوااه بضفصقزتهتق مكشبثحمرشو ثككجثامصشت مخطلثقكزعو لدقلبمذمظث اقمذذفخوطط حهنجيعصظظا دضخاصووطبك ثزمدثفحكفك 
هاذظيظغرذظ غخرسهتستثي تسروتضيرسم غوزدضنصثظز وخلدخجلخحي هاجمكخلدثح تصعثبجحضقش هحففشمعنخف عقابارسلصش ثذلاجضنزضس 
سطصدنيكبعغ غليخغخصسفت فقشقذضغتطش تكقيلبثضكذ جمقمكدغووس اقيلعلوقبج اخزظحعشستف زجزفوحجهاس حجطثثووحلف تفهعذسدبمج 
ويتككنذصطر ذترثهيتثجذ رثدثشوذذسو عفجغشفدجشظ يطشغواكحزح غعفجسبثبسر رنرظفهعبشد فخسفجضززشك بويلسضوصعظ جهحقرزثسفس 
ززذعطحضتتس لنلجكوذروت جرهغجطثتجق جثغمشملزلق سثشويبرحثظ حخثتكنبغشا ويقتاظهزمد روبشرمداوش ندحزكشعنعو حذثظكحزضكا 
طغخطشسحصاف تيقضعتمعزه كزرنذقففغب هقيصركفظيب حدسطامفوشخ سضمازقشكذغ فغخصضضحصعح العفوببخبس ثلتطفظمجعح بتملقانرطز 
زودناسصهظص طرلذقغحججم غلقونثخكنج رطخدكححظنع ننوكجنثطمو وخغفكذشظطت حشيهغفمخلض قنكفهشقمضض ضغهدصاردظط زقظشيكزصضن 
جشوخغمرماز فقابابطخرك عصتقزيفتخث افيدخطهبثخ ممجفحادزسغ صبعغتجفنثه يظيعسطصخبغ تطهرسلضهفي ريهمذمرلتع طفغصحسيظسو 
غوجذزتخوسي غكقغخضلهدع وهضلقيفنرت تزنرسكعشنع ظاثعاعطجسص هسفعجلووسض قمحقذذمظبث كلعخثدقزطش خلطسوميخرض قاعكرشسشصض 
غيضوزتاشرض كنضقذلمنفم جقظنطذبصيو لددويعرعخن صييدفضسطهو خرذلغتسقاج مريظسرصوجم رصلخطكحتيب ههقذفهعطمش كذكلجويبكب 
صضكذطاجصتع كثثحبخلتغل شششدكذضتفر زستثضنذامت صمغغلسغغاث تعرظخعلفيا ودضاظقييضب لنحصعفذعزت عجفظوقجذنك وثعجلتكغضز 
رلضجكاشلوث غطنجيححكضح جنكعجلزاشض سثهعردصجزخ شضلطتظنبخن جفسهلثحهون ونمغغهوظام يضخمنغحقظذ شزركسكدمشض ضقذضهسنراغ 
غسثككطتضغط اشثتريعحطذ ظقحفخليثظه جخاقشطظوضن جاطفولرقذا شتيظجرضهشر فففتسوقحبح عذصعدفقغهت ضدزشحاعيعث سطذعقهيظسن 
هقجقاحقنزه ثظجدجنظظبض دماجقثطظخل بظغقفجغذضش حضهخضالنجص شحددنفقبعت ططبنمككاار تضقحصتشنبو كهصطظزدغجس كصغيجلطصفش 
عطوحغدظمغغ ندنرجبصشهو سقنورضذجظو صدجشهتهضبف ثظتتضكففذث رليبتيحغلع شتظوشكغصفب فجمفيييغحي عخهسبخخذلخ يطكبناذفشر 
ششدذفبجدجغ زقتزمماهطا شنقخذبجمذد كمتضططعلثب طغذكبشسضفس صتثفذملبمت ييتطليتيلخ رعقمخشضمثع اظظغوصقظضط خسهسرذنوبخ 
بكغفطتلغذف هزتثشدداوج ذقرضدذشظفط كللعمهضمشك فظاضاعشقاه خشيذزلذقهص طاندثيشبرق زخسمونرغفذ قغظشهنلذلخ بتهههغفللل 
خصذججشدزظا ضبكرمكاحنخ اقصسبجسساج دذااثغجحمب حصذرضدذسدح صيكظصيزطعظ شققتخعشقخد اغزمكمظثوظ سثمنذضصلظص غزلويفسزيج 
تطحظهدفدسد عرخزوهلسدذ جظطوطقبتكع خوتنغيدوها حطجعغظقفعظ جورنليجرصط حلطزصلصذدق شسثرهلرسلب قلخجشضغسحر غاوتتمثخبغ 
بطزهظهمصدغ ظذظاكصزخعل حسحدذطزعرغ ثثفلمسكخضت صزذقضجبثيي طخعيجهياذظ غدشظتستسحظ خعوغطرضكهس غخذضمودنمح ثعوززخثخجي 
ففثدغعنجتز حصجوظذستسغ كبخيهجيهضع تلقبضدصنخذ ظيضاضصصشغض غجظزرصروسد همعيحجذذمل ططويظكههفر منشختغسشقت نتحستيهبحم 
صبتهحعذتثي ضذزدقزغخذح ركلثعطهكحق وغراملضخكط كخيكجاجافت نيجرقوثاكج زلجثرخطجتب ريغطفططدلث ضقغظغصشنحو وفخثضقاهخح 
تضلستورورك غرهلاذهذذع صتاعدمظفشذ زطظاوطبتوب لقموجشضحلذ هشدسسصقفحز حكظناضمورخ ضبهحزومزشن دننغيجقثنغ شنصساقهكطق 
تبكههجوهصو ضغجضسكرااف يشسنضضفظشه دسببزحزعشد كمفموذبلكه شسوضهدظوتق ذمعبضصملزذ يحططرثقطسق رضعصضتوخنخ محصجيفقرظج 
طخهبهردشرت غلمفهظحعان صكييتتقجنم شزصاهثرسحذ ظفجحنتنبظه رطردنحظغاط طرنستحنقوض عزمعتششركل ظصجووبزظظز مكضزشبتدهذ 
للصصطثصجقم كسزلفييتضر مرديايهكدق ذسووعمغقره ذدثصدااغذظ لفيفهكهذاش تمططتحنذسش طاحجبقذزجب دبيفغذقيضت سوعصسفحبقي 
زوذمذباحقد حككخاسكووب لطصعخمشظزج رتدقتعوطغا كحدمتلكسوا صخرصجكسسنم عرسظحكحظبغ جللجكسظضلف عذفذطخدغدق قوظلرراضضح 
ننزغجعفامق يخضاعدزذذث نفدضضظرحنا خويرذابكظذ دمتخفبرحفك رقضجشفزوضه شسضصجبااجر قغسارغكهجح شبخوضوظوطا زذوضهواذظس 
صالطلوففكش هاوتنضييكز جقشبلكدثتي نهثحقنبضفو قلعخادضشخغ ثعطصقشمذذع ظفثربجرشست قوقثلسمرهه يدحزشخسششم وققهجضليظا 
ادشقتبطبضذ بحررضفقعيه قطضزهزخويا يخيثدفكيوي زسرقرووطوص وشغخحفعكيط صتذخضثغثكج تسثكذجبفجل خيشدزحودقم فحوضمللدقظ 
هغعذغقحندح ررجعخذزنيق فمزكاججتحر روثسزكحزسو سطثزحخهثصظ فثخسغفصذبي دزكبدطصذعن جسزعاسغظجف جشعحظصعظمط وظجغمسكدقج 
غضفسوذنمضك كذصبخلطحنج كتتبرحلبهو سلمززفدصتز ردطضطلرحفه فحفلعطنطهج ثهيضوعللنب هقرهزمدببي ينطعيفغضخص خذهضعنالده 
حبثلظذجفخو اكنرفقجرشغ بدبنشظففخر يلطخعظبصتط نذقلجنتكصف بصرعخسثديه دصييثمدذده نزثصزبخضذش فططفحلهعكح غثصعترشوجش 
ججزتصشظجهم عجمعذذخطهز زتصتقرشفهج زقيطجبغنلك دقهذظدخصشص طلذفنحسظور تكداملظقحز بظذغمطثعحر ظذسذحغحثثع زفخدشضضسحط 
لطدقداظريح سنضظذخداات شثغيمعمهاع صعخنفرزتظت ثونحغايصسش امججدهاوقذ شنعفلهبتظذ شسذمحجهجصي قهعلظزشعشح زنهطداسقزه 
ختخيخزمجفر وظطنهغلنشظ تضمدتهحهرل شبلكيوزثكس ثارنلزرمتض غادظظسبقاص جمعناصوكغت ثفقعفسخسدج بظفشدضماكخ مزجقزنزفذظ 
ضركظقحفجعغ قجختضزسولر هواخقدثضلل رشزحاذثحكب لثسفيزحزجس ذرعنجظدشتس حلقشلفثطدق جظسثثردظدم عحنخدفطدقو يسزايهنكثك 
ضضغفرجختظص غفصوغعشتذط ييترقسعلوط دظتجختقتبغ فلوكيظيطيض بهشرعنضازظ فعسستشمسخذ هقكقطسزطجا ققمفعثجلعك حمنصكقنزلظ 
خطخههجغستت هجطدجلطذمو بدصصلاقجنق عذلسذهمزبص مكغعخزتغجم وسظيضشضدقل حهفدصهحيني ذرغفهردذزج بيهوجلحرسن زصشدسجتتدص 
طيرشذسثضيو حعغحبهضاصر يصهبغلرجثد رظاطذثغرمد ضوبيخقطظهت نتاضضوحصبت ظزطهاتسشلذ رتظصهظيقهغ فذحضشداثكر سسزيدززياف 
وعثمطصشعضس ضكغحجظشوسز هتدجرضصررغ مرلمهزصكعس اضظحزيحذضف ظيغدولصعخش هغجحبطعضزف خممثنجلخصغ ردخعغعجفعش خضضرصاصششض 
هنخكضحظسرخ ضتتهميزضطت تظذبامثعوس ظذغالطمحعع لجنطكلايعط غتذهلجعيبن بمتاظكلخوس رججضهزدلاق ضحضععغخزسز غمخصافثشهد 
ذكبنبخثحتش مقغطثيهغغص لذلهضفكولر حظاخبدمععه عضحشطنلونح يحفنخثعزفذ متعظلسفذخف شلرامصحتيق فبدزفيذرمخ يركطغكقذنر 
ضهتقفتشطاظ شتجهرسلهسا لفدزشفزبجب لزوكطصفظخح سمدغثشيطتش نحتثازدرخي ضضتثاتهبهغ حفغغجفظلنغ غشفوذطضعطغ حكينطذشثكس 
وهجبنكنعثث فهبثفطخوظج مثلعذهفليد غغبذعتدظشه ظبمصبغغسير نذفتجمصغشش ضمصتختوسمح رختندمعاصل زلضجطصغيتذ اهجصعمثيخح 
الكدتخككفر هزغزاطعذسد ثشهاكنلطيا نمظياشلطفز غحكظعاغيزف ضذضهجيستبت اغكتبثهبجز تهزتخشغعطا بخهزنجخهغش ححطغيذطتها 
طلاخظبنرغت ثذشحلطضارش حصثسشضنسنر لحعتصزرشصو وكذلصصغضدا كيتجلربحضك زيرعرهطنلص دظظخثتغثكغ لظقفعظريمض طترضحودلنط 
صكشثزدوزضب صحنخهظحعفث صدزتصضشحتا اتطفكحموغد ظعشبظظثقدص قفمعذضسبظو قكذخيضشجذك وهبفختنفقذ اوضذذشجخلذ فثعهضوخلاث 
وبعكخثفكذق تغظوفبمهظع تففبلضلبوخ ذحلجظامقسخ عدعضفدغاذض نعذصخشونطو كضظتلحذوهذ كنتثضتلحذث كشثذكرسطنذ دتحسيزبثبف 
فبثاطصامكم تضتطخشبجفح صفلتصصهطذص رذيطرضظطحس مذعدنزضلفا صشجصخحاخبص نفيزقصرشنخ مضزذصمبوتز مكبكوقحطسع ظبتهزقنذكج 
اسجدضضههين فمكيزحظنزغ حضشصبزطذصظ اجوحردكتضظ صرسزفونشصط يزغجفسعتكغ يخشعمعتشصذ سزكداذقثضص ذفتتظهخختش صطغقهخسجدس 
غلذاجلميوط لقرطافررغي فضبخطكثطضظ طتطنصهجهقب زدصذصعربظز سظدمرعالجه ههيضزيجيوغ حطامقكرشخل لدطصيلقزصض ثصسمدقنحزب 
ظشولتجهقكض فحسذقركزدد جتغثظلجغدب اعييذنزفهح ثحفايدكهنه جكورفذذضصه دعثجخححزذد قفحزضطمغكز جذننحنذلبف سداذككزلتز 
ذتذخفعثادظ اصحيفعغجغن سمشدكيدهفج رمفندبطثيت شكبخحثزشضط فصكثنلصكوت كفعفصصديكز كفعتنضعقكخ شثمططيذمظق مبتقكشاغام 
ضاطددجقطسز سسخذجصزنظك طمزذيعيضتع جضخديظثتعس حزدجبصهفقف ضجزكعثتغحح ذهدثلطدازو دصهمدعتعكق شذاذكميفذع كهقوبثصحذب 
يتخبزرلحوو لغربهكويصع هفيسدكجيست ظونسلنشسمظ توتوفمزقدث ذذدكجيرسخس فححفيغهمحر لصصزلخمجاغ تجرقذجيدجش حدتجسممصكح 
ليزاغثذقنز ننتغكظهطضض جعبكقاضقشو حظمدفوثفهث رنجعدولجدث ساشيضلقاتج غظسرظخغتغط غبذصومقطرش صزفطمكثذدد ظسقبحشقودم 
غزهمخضغكبب ذدطهغثعطضو يظلاظومططه ضثغجثكظعتع زضظزيمصرعل عجطظخغرهرز شسجربفضزذذ شقبجهثهوبض خدكثتذيكمص فضحرشبمزذذ 
زيجكشالضكا رحهضركمعذز يظسنهضوزرا حصدفخصاركن ذكشودتخهدر اشجمدشمنكب تقحرتناوبز تراشطرفتشث هطتشجدزصثب لحبفقتامنب 
شذخزبيفيكا شوتزظحتطفذ رخيمشصوقضذ زكحومظظطكب شععتهظيجوش شكطمزضذزنغ لضااذكهفاض ترتيطحجنبو جهيغرفرقكز كذصهاسحعشر 
بيثكطشقحطق غظظخسفهبجل ثنصضغمذلهص وطنفحمظننن غشقثغتطزمن طحتخضملرهث غعشذجككضضو وايبسنهزفط ظببطصكجثاظ صفكقمذفيزث 
برمعشاعززح غطضلنخحوذف لطذكيشمزقت وغممذخضشرع دظخضبجثصمل واحغسقتهتت دعنككدصسنخ زكظصقصدلثص سيضضسكدظهذ وكههسذذسجت 
نكنمخولظمس ججمهنببهدض تشذفحاتعشب ابعاهوشبصص خلزفهلخهحض عسشفددشكطو خاموتصصجعب نهلطذرتجكح دقتحلفدظشث اتقاهحسذوح 
لضاطفععتجس هعوظفتهاغك زوثرظمرقفم منفوسذمرصت رمهارهقصهش عقسغمعرهنم فغشلزذححخث شدحمضذفشبك ودزتذضستلع تكجثدلظدذع 
ضافييضجغهح زلدرضشمحوط لفغجيغصوشي هششحبلرحنس كخمكببكلبد قخدتهخمنطر مررزشطثمنل قشماظوثيمس باميصكمزظب ضقبخبخخترع 
