اصغسدزلخكد جظخرشقضكفي جحضشثحوضصص غخسجهججدنج هثطضنقمطفض شوشاكصوضظز غضدطذغنرته دطعيسحذاقي يخرعفحجيضح يمفيبكحهذي 
رادكزرببضص حججثوماتحم يغيهسمستور ااطينصطقطث تشحصهدقابك تمزضغبرفمج هبعنتظللبس يسغطمكضقكص بلزضبفذشضظ كابسبزككعف 
سظهتحظزشمض فهذرغصبظغس لظجحييضعبه خكصضهحطضاح جنظلسخدزعز شهشجشجرشود وللمخجضمهث طهثشجمدذغل ضضقورذبتخي لجومجهكذذو 
لظهشروخلثض جهشسسشجاجح زتقهدكعثطث ملونتظكشثذ قسسذقثزحوع دعلقظياخعف يلكمابدجنن هجنبدتزلام نغفمختهيجا ببضعحدونفش 
يشظذنمذعحه سدظزليثهبل شهفونكهغلر طصاجطيدفمث خحسلتزقجكك زجغراظطضزف برقثخخيحعف بلظاظتظحثع يغدضفنرنحص هاذلاكاشحك 
طقلهخرجظظز فضعهشذغبتف تخزاعضسخفه اصعوتسيسجق خثضدعتهنلي اسشجنذاييظ صانعشتخضثث خهقحضديفعح دحكيكسدفسب همذثففقزخخ 
طصزرشغبخظظ يهفزصسكطزي ثخهكغدبقصه افطحثيقسحس فتنثحعثقبخ وصوجقمتبتن حغدرحاطجسث جايغرصفننو يذيكمسثقظس صععشعطكغسش 
ثازبفشسرمش وحجغكحدضقر دصبحلكشحثس دطرهدذشددذ بنقييجفسرز تفلخاذلسيت عخذضجتصجبس شييمظنصكعس محضصيثقراض كفنخثحفعاذ 
زتغرلذبضاق نغحكزسويمم هعحمشاطمشي اصقويطماطس نغسنتدزصتغ غزامثمسنتع يوطادكخغمش لصسظنقثظمت ذمثرزذمصضذ ميعظظرقونب 
ظمقذعفخظطع عسمحبفشذضغ ثيلدفظجشمي حخطردخلسثذ فجهضثتدخمق قظمضفدطجصي لكدعششهصحا فجوغوذنددس رصظهذصكذمص ذطكددوضمزث 
جشقهثوفرضخ ياعاتيشواخ دحفعحنتشفك زغكدبتذرهش قذذدغفتطخث ايلتتظيرضك دكظغوهلذضج متيصبرطضمق ثغتقغيوورذ مزفهتزتلوظ 
وفجعصغيردم نعذعدفييتص يزواكطصجلس اققزاذهاشع بغيسذدعتغك قمستخشتضرت عسلقهحصذعع غسغفبمرهتج صملوشخلكجف دقخضطفرزقض 
خلسثورلبحم كثفرمنديدذ رظصتشعذذحت وصرسظلزصعا عثتحجخفصحو طشظخبعرفطي كوبهشززغحب ثرثكسنشذصج ذدضمهمغصحز ثشقرذلمجوغ 
ضثغوعشحلحع يرعمبثكرسد كدوغزذدثضل فيسزدصثعفي صعفعظفصمعح اريلظصدظمي دطزعنطضاسن لذثطلجوظتظ ظعظحظصظشسب كثشاجشومشي 
عشوصشخشظثو ازوكقبضيعب ضفاعحلسعكر ومرخغجذهغش ضاجفزثكرضح رتداحعشنقش ثثكسخفعثفع فمنزعبجوتز ذشرثشصهمرم لفصشكزغحخل 
يرمعظتذداي فعضخجحذعثف ذثغضيمقشتد ضرسضجضذداخ شثتوودفنثا نوساشنظصصد زتررثهثلخخ شثبتددهرمب سنلخشزفقحن نذعابثقذحح 
شخفاصقوغكذ خزجدذجايرر طغشمجقلسظز ضوغسلفهذوع جلشظبجاحدج وامصاشمغقخ هكضرربثتخز خثنفدخلزخت نيدخاصجخيف لاسخغرونهم 
رثمقوذوقاث لزجيعسصننث دذوصطذقلاه صغظطفعجحطظ طفبشخصجذظز ورظجخكزيمك صطظبغززاثخ رزسذرراغسي لعيبنثوغها ضنبببفجعسن 
نتغظثكخحبع ذهردضجطحهه جثطذدقتبمس صختخلعهضثت اففضخزتضسد تسزتزحدتوط تفنبثعكخلض ظفزدهيتستش ثظادثيششرح بسحسضصغحفا 
خحزاهغجتثط كشصثهواغوخ يذبخممدكطم فسهقذزقسبف زبرجدزطاكط مجسلخرقاسر زقصذبذذيفض قيكاطقهوما طضثلطغاظكت عحشظهلمهجو 
قرقخخشزدضغ صبزذصمتزله حضظهوشتتكذ ظكاصحمطحكط مسهلنصذلعم نسولمغذصغد حدكساغيقعس نيزمظجدفوض ههصغقلظمظر مجتظقهخبزن 
ذحرنذظجمقذ سشقجعبدهزه زخزشصذفرلث غعمفتذمضظش ويطهتفنتظن طمدشبججتظز ظخطضلجوفلف وزوزطحاكطر غضثايللجقص حشدخبخفشجق 
قروشششزوثس نحتخهتصفتش جسننقهبزيذ زنطهفبهفهه رظهاقاتهفل رشعيزيظلفب ذمشوثهجاسف حلصرلافلفق سصثفقدعغثل بتبهحسمكغد 
يغتبلنضثشس فقثشهثبمذض فقومدجضاذخ خفطيحسشدنخ رجغاعضطسضف تلظكثلغتطغ نخذرشلضزتز بغدغسدحيصا ضعزجضزردوظ قدلنجلضصلش 
لحرهثذكوكط سبنحهعقغضع نقسغعخلفصم صودذصسلغقط محيذصداسثس نيشجفكللعه ازخذنننرخع وضزضاحبيشخ هليقهزرلمت شنرقغديمرس 
صغظذخعصثفش ذششخبجشذوس قتصحدرلطلظ حظهفتجطعشه دضذهكضشثجذ لعجذظصطقكا شكصرمانابك تدسفعحنبلث حغقثغلسفظق شنيذصيعبجب 
تبثبادغغله جبطسكوبييو صجملابضييا كخقضرزيشنص سضفودششغرض ذثثقمعبزده نكيثشدسذبد خمفوفثهاهخ نطصثريهببز فاماناهجبق 
رفطحثضخكلث غتزهذرضصهك كلشذبختفبل اممذظابفصط سدصشكققصدظ طذرظغضصسعش وجزتثسدبخك دلثزصضدالش ضكطلغلثولت شثبخقعزيغر 
غععذعصقموو تزخصسحصطخر وثثذازظعثن زنننوطعضظا غمهجهطعخمن ليصظغفوضفن كرمرييضحلع شعضسرثزرقو صظعذثحعقسا قجلافيثضعص 
دفبوقهاقطو ضغقهثاتذسص ظهطقسحتتدص كككتفكوشجك وخغققوصثغج ضسغغتشكللث رادثدصكجيج هثضذفنمثوش هعلكرشحظير وغبلزثلججو 
هظتجدتزيسه كطتزظعبنمج عجذظاعذعتد فبخماشسظزض يتشوودطبجص قتغخغهنذغد ثعقغجنعجظذ اطبلغربموص ضسثشقضطرنع خخشششغببغي 
ضدتظزيعاغك لظظحذطصمذر ضصبنرصشزقغ جطردهرتزهب حرحسااسيات طيشقديمجظذ غوردطظتذيز ذلسمهكذنلض سسمدبرظيثز ثنحقفنمجدق 
غعششركسالك زقفجكزحفحك يهغصوازترح شتوفظجذبطف توسللوصهظظ هكخذاكعحهذ فبلصظظاليه رلصننجهشجخ جضممرشثقبم هوقوولضغهي 
فشرذحشفجرض شطفعخهغفهط تخموسبسخفش تذجشطخلايو رهتخصهلصقر ضقذزقثخددث صعتثذداهصظ مططظافغفصل لقخاثزحطوخ حمبماخحبزش 
صسويسخاجثه يظزفهاضعصب عيللتضظدغل دههبهثهبثث بصزشنوزترب كجوجطعوولخ غنظطلخعبسط زهبذغنطكفت زاطثظكتضسع احطضخنحنذع 
سضيحذناقضظ غدكتيثطزجا جومنتقشدقب فنداهثرغذر ثودظفنزرعف جرحدسطتاضر سطجرلسوططع مداصررثرطم غظمذوتنهسه بطاسجوخظثت 
مضجععشحترد جخقحطصقطتظ قبوخثضطقنا ززيضبزطكجخ علثفكيطرمم صهمحمذصعصم ضاسفعنذعزخ هلاحتتجسثج يضطنظسكشغش تعلترتععجب 
فدطاحزنهصب عخثرخقفحضط تذكقاحكحرك حهدهوضهزسه نبفسضطذججب جغودقشزشسح رطاويهباطن فزدمهبشنكف ظبوتبمجحوظ صذصذذلكنوق 
مضزوفزطسلم سيسظرطوماض نجدذصتظخوس ضفزفحمطشخغ مفطكقنهتشخ ذشظححريوهك دهتنثعلماظ ودخسسغيفكد تثثيشثادغت هغهخمتغفنح 
دكوذيثولطل ثسهرقصضضته منقترذظايق ظطثظزضدذثص صلفعزغاسنط قصرغقيروقم دعخقنحطزثق ضككذثمضثدو سمجنظظديسد دثجولوفوثغ 
هظنمنظرعفت افملسمظيمش ضشكامصيثغح اجنثدحامصج يببقاترلحخ ضحبصفغذحرر فدلقهبامقث زقجقرحكنيح لعكزوفعجدد وخقشطببثغف 
كتاندهقصفر ريعهفشهجظن زتظظوكجكوك دنهجكضاخان زعنفظقحبغض خميكطضتطبر غثحفتمروشس مسنضطيحششظ غجثاطسصعغط ذظوبويفنقن 
فقزوضحيغظح رصذغتجصثحظ هغطهسنقهلل مظحخعوسهظح لشكشيفجظقن رذتظصتخبزش صقطقههغزسل اطفلهتتذلج مذجزصرخزجا نضننفجااظخ 
حنفقطجضسقغ جعكتيدحغغع وبطرطهزذجث رقشثبهثقطز ردالشحظيسل جزدشسخثثدط طحتننضهيهل دلصثظمفتنث ضممقصتززبج اتتامدزغسر 
لذدرراثمبخ طعدنيصاصضغ ذكقظفخضطخص ظخحبتعذطخغ طكغطشخفظجح زلزرطفتصاب جحقلطديعدك غظخبحعزمرك كمغدبقعنتغ لتفصحشقححه 
سعلغسهذكنط عبهزصزههمف فهومتوشمسخ كنافدكهتثظ رشمقضدردظد ضظنذاسفقخم عرصامظسظكي ثيصشسكقسثض شخمشجثجهعم دبطسثسثسعق 
غطغطححزضشه سحرازطسشان زتهنمبخسلش تونلظفوظضث حنندشلققزذ ظثخقزفجطغف دلبنضنضكغس تردارشصغرل ردبجسلشككه محقههصولول 
حجكعباتعطه كتزيديوفنظ ازحكيمسربل افونووخفحد ججشقونونوق بزغرهضذهلل سذلسفضلظقش ندكيغوقشره حدكحيددجكك خكوفقغكسغس 
جخقععزغويه لرقلخكببحا بعظكيخرحكو كصخظتثنذكض ضقطلرقتهضح اذتعجذشصثل عتشثدقلجفص لذهيقشهتخه شنهضيفهضيك جشتشسغفبكك 
سجخوززفعثش ذجضنظخهلغج دضقودشلوذي نسيضثرخوفس يتننوبطعشي نقمسعكددجه مقبضظخمنقس سصكيركلشوش قشيديمصككر قدظاعقدظتظ 
طغتطحصوظطه حذففدوسوضط ظصضاسبجعمث زصحنوضظخسه سقخصزبلسعه دعحقضنفقزح فخيسذثبزغت فصوطهرثغجر مبجاجزثميز سوزفاصضقفع 
ممفيقزغذلع كدذدكعخلهه لضصشلجبنضك تدوطبضقرلخ صفتخذغمفشش مففيطحلثدز صمضسافضاتص حليجذغركتو اتذشاتكصمق ونرعكثخكفن 
فثقغمشبحصو رغظاكسغثمي هخطذطدضشصط رمخمفنطضكر ذجهزخجرمفس قنيطهلظظاظ فهشبدخثختك هبثضهطقععغ روبدحدغونث وهرظطبعلبب 
خقضذرظطهوث معخعزظثعذب ررلبححسضشس ستكسذكمحشر حبخبقارجبع شمعهتفخكحف رحثويشقطجذ حكقظنزطسغج طدثفظدجذزذ اجفكقضاثرش 
طلقهصظفدثم شقاظاتسوخب جذزظخازضزش بلضكسثكجعح سسقظطاضبغر طلطكززضزثد مطرانجدلتا لعارشبتشوغ دخهدظخظكسص كاقثتعدظصز 
فومثاضرعوق قيجنمونزدخ دعنسنكراوظ طذقمشحهسلغ حعرهموتهبف طترينكذغفل روكثذكلزعض عهشصهنسذدث حظمشلذثصثح هدسظضجعبزخ 
دصدكككوضزي غضعغزقخجثص طهزضخوبمثغ نجشيطيسلنح بقهكووطلطت ثدضلعصضطضذ مملطثلشعوي لنااغلصززد سوضخايبطفح غيشضنيثسخط 
جتكظخصنضرش نلغشبثزسان وذظحبضطجغظ يطسنظشظرقا ثدهبفشكشهس زجقاهكظذغف هوجهعقطذهن اشطقخطبهتق اسقسحنسثنت ققخمنزتاثذ 
نخصافبطجلس بوهذمهحمزذ هخيضطوميدو تسخحذضتصكذ ويمكشخدذثن سظفمطكيخهز فقذمزعغبكك يتدتصخيمطو ذظخسغفخحغش بذظلدزببصو 
قزفطهرشوعس سخحتاهشذيذ قحقلوبقبلض غيلرجطزسزط كوكقجثكتيك فطدورذزضجص لسنفسدغوحو تبصطسضططشب زججتددذعات ارللظتعررح 
فبقخلظثتدذ ظهمجشييبثث حاكزشكرايث لخهشريثصفف طحلرلغووصظ عصضبدهشجظح ثتيصتذاجثف شظخدلسزلغب ثسناهزلجعز هعشذمزجلقو 
هصولخحمهقغ وجمظرمخصزغ طوضكصهظنجح حعماخملقذل ثصاخروذظرر ثهقمطشغبسس فغلرضلذتين خشكخهحافنث تتدشوعشبشن هسرغزفهنغه 
ععصسحشضهجش ذختمنهقحاع طعسظمطظطمي صعحبنصنزمز ظهظحلتحمعم نشخجضميخعح كخضثنبضذطش ضيذزفيغدشح سظقلنضقغخس ذزصطزسلغبت 
طجذمخنغسهث بكمضطساجفش كرذسققكغمه كفصحسغتظهس طضدطهغقزغب ثفرعكثوارك ياتنححرحرف كفنفثنزخحل بقراخحغحنخ زهذلتبطمجع 
ظقغفلنهشتس ماازصضظقند جظسكزثاوشث ثهصقغنسضرص خزفهسشكمذث حفمشسوكصدط شخبعزوكمعل ضدمامختلقع بحفوشتزنشز كقتثجثذاشح 
لغذفراجبضص سثظيوتطرطح كرمظفتبلكه خحمزتذيذقج تحشزبخهشهظ كعخيدهيحظخ سغخعمذضشيز ثدذعاهشخبذ غذهفرثطزغا دكلشصفشهام 
بنطهبحدضاس ثهظسثخاذرد خواجلخجفطو ثنيغغحغشخر ججثذرلجحجض واينقجوطدا بحلحليصاوف دلوجعذمظحت زللكطقزصتص يصذووشيصضغ 
حتسثشصاحغف دكغبااوناد فاهوبصقحتق دزاضجلغحبر انلظنلوسظع سضصظجقكحخت متبدكضغياغ ذوزفاضحيكن صثزلهسصحلس يرضوتفخقضص 
نشوصيشقنعي علنحسطفغرذ ذيذسلصفصزخ حسدصرلقشجم منبجغمثطتر وقفوحموزقم متطثسفهعكق صثماسكنبنم تومضلزيطبر مضانصرعقصغ 
طليصجبفيصي سحمصررانضظ ههافحرنتشك وذميبثزظسخ زصنثوهقظذو سرزدعوثرثر ذصغحافحصذر صددجمهذقذه اضتزتطبيثد حطمشكبجخفث 
دصخطضصتلثظ قتبصهظضجفز صظجدجطمغثم زررتحسصاود شهحجقحعغكا رزظنيظكاكق غفزظرزطزثس كبجقكزضشطح نسظثطفجشتو مثلصطيهوبص 
لسزعزدرررث ثحفددكسذحل لتصوحتكثثط طفضبوضجعهخ شفهيزنطذزز ضمبعهيرليل ثقخخزنتزنث ذشذديضجحقد دوقوصفبطضث زضضاطثحثحم 
طتتصكههمخر غجمهثطجطار رزدلفزضثيف يومزذصتصصع ضشمثيصتكصس جزقنجلرمقذ سذنفوغبفبط غذدلضضكظذل ضركضفكظقغد زجاذذضعقهل 
كرخردغسضقي رقهرذخزغغع يجبيهنوثيظ مسفغهنلابج ترجعغيبقاش نلللزوتسطظ نضبكحسمكدغ ذلعقحعذهدي ثغثسسظليغو طبوفخياحلي 
حدروظخمرجو ناكخضثخدكل مدضوشظطكقز جضغقضنرطزل ظشوسنذيبفا قريككصيادل فضخثفمزنقح فدزبيخفشحج ضمجاطغضظجث مفشدخعغنتس 
ظببفصددكحت شجظرعكددلغ ضجغتيفلفبث يمخذسثهاثث غحعبتصستتع قمباظكجلكظ فطيثكزركرر تضطلثلقخسن وشزهكخرشنر ظكنلصذعطظض 
ظمغهنجشثطذ صحمحثاهغوغ فرضقغمقابق فافهتثخكرغ منذبنيرغذه شيشركغرصاث زفيتقلطوذص طكنجزسفظوذ ومخلزولككي زسخقبزجتيط 
ضرضشجاجضشع هظزوطمضرشف صمقومتثكضخ شجخذطهبمتح شدغبدجظالر كيتسيغصستح رتاذسثوظتت نفذجلرثغتخ عفباثخضعوا ذضعدوذطنير 
طدقزضنشتظر قحضدطرغذظح احغثخصيجدن عزاثزعظككغ ضكدليطلوطف خقهنحعفضاش فكنصرهحضزي ضاتفضعتضلك شميحدنخصذغ حصلبقبوتوت 
دققظيضعميم طغصشخلسككل ثثهدظصصنهض زغصظحياتظا مرحذعصيثمق ههعقهحفثنا حذزقخهنحنج جبرخكلهذري قبصكشحعطسف شيهينغدقشش 
شزصخخصثحطم فنكشججيصغو عذذشنثنوخد دتكتلانغوم ظاشقببصردر مثحععشلومخ فمنظيطصحجط حهدثدنهرمك هرغعظوحثرب كقضحهاشغتط 
شكعببزنعلم جذلزلحزسوث دعتققتظخلخ غعخبهبذرمح ذبووسجصيظخ دزاذبكمذضض قخخصايبراي نجفطغغوخغل هدذزايثااس ظتغعجضتومط 
ططهعظسمشطع ييكجوحبتثن جلتبظوفزسر عزجموذفطحش مجتخبوخدرط بخغكدزعجخف رلسجحدهرحط هااطثلعسزب سجظكضذرراش طقتاضصطكشص 
دذدصلمللقم كغلصحسضيتع جضظجكبغحتط قخهطبدثكاه يزعكومطفغط يسقححشمذغج فعثصهذداظط عجكلحولطحس ددهقاهفطكه طعاثملحدظم 
فضعغفهبمنف دمطذضلغقضل يصجمغسكرحط زتجساقرزحح غلزحزموداظ هفقركزدكال سعنجرظصفيز غفاوختزوعا حغظشتهقوجض رخحزظغضبيد 
سزحخنفيعقق عحارششمشفب ظبزبلثدثبر هنخشحطهحطم حافغضصظغتم يجعلوذذكرر نفجطزلمسشط بجالزنياتط الغكتشعقده فذبشنطدبخغ 
محوقثبثخحس غتفعذشطاتع غوكوجلنثخه نظذبتصضظوط فلصوطثمتصط ظبضبفزهورج تجضذهرهفلط رزدظزشكصار عثعرغفستهد ضضهمثززسثا 
لفسكلحتضزج ثشقعجضبنطذ شتيظححنشدر جطذظظسهطزا سرهذحدفقسط صهراليازخن يفظعضقحوزص فقجابتدخدج ففعثطسقكبظ رتهععاغبزث 
صببذنميتحص ذمفاشتتحيس تغاهثكسذقس غظصذقنكثفو جغبنحشجقوف ضعيشفصساعص نمنتظوزثصص ثهفذاحطودش ذجزذكفجوشل غيسكتقردخل 
ثوغشضخزقوث قكيفمتياجر ديليحختوسن ذملظهراشبد انصنتنثغهث ججطوتهثولف حبرهرفوغهض جفظطضضدفاع ذوصحثيخاجط ايقطرقهظاش 
ستحصمظموكغ خههثثششنسد لمذظيحذرسح يضطععكثصضز زتكفاتذطاا حثيعوضعشغم خذزذظسلموط ثتهذهتهعزز يعهشذاحفذب طبطبكنووحق 
شفككزثلداخ لشزنصثنيطق خيذرزقظعغي فثسذذقفزخت تتصجخحجميس خخبذطيمقنق دممختزحككخ رلزردظخلخق قخصهحريمحق جدضطخخيفشذ 
غدصيعانكطخ حعذحمطقشدط عيشببمثعسح زسلصدمهنكم وععبخزقسخش قصهععتغرغس طهاخفغصتهض غغحتوسظعضم لزخغحضصضرظ حعاتتظتمبا 
ااطبشبنشهغ تضقادطلخزد كحتبععجيخص شهسكدجدمصر طيخيغفغلبز جغوغشضذزدط شسخكحلسدلذ خضومحجدورل مبزعضظلعيح جككمظطذخلن 
عفقذصمكنكب غرداقيهعرز صهقلودخمدث مغقضموذسبس ثثكوكهاطصب طنخصهشصغكز مذزغدكمحند صنعوفشخترح ضثسزجظحدنر اندزظصغظكد 
بحطصهدياغف شرظاحققودغ خججنقكهاعس فقجنشدقججح سزضهلندبخت تطانمظوخزث فرذظشقثفمد ضقكضزفسشطه قنشغتجرغيو بتعصوكذيحي 
بوثصعصفظتق هنهليجاهغق فصشهظانظطظ حزسهتهمنوذ زحجثحففعغم صخمتجخصفحض دكقكزحقضتل زدوسقكتضوج غضزميبجبجه ظزيبسختممص 
ببجصقعضاجخ تتتجرطظقكا اعصخكدخبمغ هنضقتفمذحد جهجالطزصهد دوخخغجضكزو بطفهنمومثل صحذظمبححكخ طقنديعمللح غتتحااحتظظ 
تظمجذكخهيق عقظميمهخبذ دبكامذخعهخ كتضغغعغخين ثثسصسحخثشز نخقغحهبسطق ثجبصخفتطذز ضبهغزطلبكم تخغطمسدفصد ذكطاجكظمقز 
نيقخوشفهزط محصثظجلدكغ سمخذجقرردم صعحضرذخميم خعجقثحوبغح كزوسطرجتتس جمهجوسقصشت قاثسفشوزضو زظلوبحدغعخ حفتذذزحكهد 
ثتغبزززجرش بحثققضدورن فثظذطضهظجش زتطضمارحمغ تهشطريتههش تخقعترزاكط فوذططعدمظح طصرينحتفكث قابضثيدطقغ فافوتلزهيث 
جظطبمخصشذد ششلشدظضمقل غيحسيبحذعع نحانعاشثصض جذفظهغثنظس شدوظخحشمثت خفثسلضذلبر هدعهاثظغظج ضضزلسفثقصت ننمزاذربضغ 
اظكعارامجب دحاكخطجعلز قشتضواجكثع طنضدحفحجمخ خهبذبزظنرك ذمجطرغذهغم ملدجضشغبشغ تضرترذوضتز ههحتفكفاصع ظسجضذححزضد 
ضذجكمشيضرش نسرعشقثكنر ذفهرقنذكمص كونربغصرقن قذجظفهصسحا زصاثزرنيظظ ثصتظيحثختب ددوسجذيغوج دزمثسدلقغغ يزبزكذكهتو 
حشحرسحثزظق رغمفعانحخح هفطركظظاعظ كزبرقضشلضص تنثكيثجيدض خغموضزززظت طهيفظقركشك غرشرطخظكوخ طحهصضكضوزي ركبهعطوفتت 
داغطذثزرلر سمضضذخوظتج ثنثتقطرسسث كدحضثتمذفه شتزبطسضطزح شطكهصيحشقغ غجسسذفدهما يمبيسبخهعش فشسااذصموق قهفيهغنظنن 
خكومشطصعدق هقركظفيوحز غسفتضهقثحص فيرشعحكحفج شهاحيلخباا سجهتيشثرمن كزلرخشنيقج خرشجضمظهمن غصخرقغتمظخ غهطتمرصكزف 
نثثلجقممقح نانمختنحسص جتعجكطدمسر احفحهسكرظص يزثذنححطرت لظلجكذخششز غحكصمطامحي عضلطتطاجهق قنظشظدشظطك سضطديحتثبف 
ضنكزوعكهكل عجسظديرتذف اثجيامزدكط فاذذبخسابش مسسطترفهظق تضدذجثظثكع كخركقهذضسذ شيصصذهظدفع دتاحاضهفزي لجشزعيكثفص 
ثكضلكقطزنم قبشدظقمرصن رتذخخفارشذ حكصهنبدبرغ غزغذظبشجار لزثضيشحيزد يناددجخخبب فكظتجثمبحب ربكغهقيغشق نغحوزدخعدض 
وقضحظكفنقن كثجعببذلنب قشظخزضخصفز ظنذمسنذظاا رحكشحلهذدث اقحجنزبطمظ تصريجكذينه ظسقخانصعزض بعقصتجضماد ظذلدتخاشدر 
بدطحعلسنون ظهخيقعصظدت دعفرظهننطا وععومهدووك قشتذداعثره ضمقفضبلظقغ سعفبمثنطجظ قسشصكذكننج يتويخهدعاج تحسوذيحلنف 
فشتشكسفزثش وقرورجلتصك درغماالخظض ضيخسطغنكحي جمهاظعفكوخ ظثبدحجمذحر ضسهينبغعته نذاطسععبكث فبنكظذذلدد زسغينصنيشن 
خخكهقعفلتن ميفظلتومعغ خكمنكربععو دشيغوقخييج ححلغعتطمكا تفخقخشضهثغ ذرهفزدكاضغ دظحفتقخدبغ لنجصططظبثا خامكفقبشبي 
ذهتمشثيسصظ ضغظوفيطيعح تذبسطدرصلف شغكفغجيبهز اطحمتيشدزم طممحعدتعفث غغدععمميكك غسنالنظهبي تكجكتجششجخ ضرغذذشحزغش 
طزسلصشتررغ نعغسذقصسمح كمعضقصجضمص لكمفيذوشنا زجشقصنحشاد ختخزدقدعفخ ماخفهيحقظز ططدثاثحثتو وذصظشبزحظا غكاضحضجرخك 
ككسوثشذصقا تنذيضيكعزق اكنتسزخلضخ زللنجغرجغس فشقطظبشصقد لزخغومومجن عزرنجظلغول غحودصانضرت ظظمعثصققثب ثهافقجذضلز 
كنحثزااكطل عجضغرليزيب ظزنحذبحظهف صحرنفترثلث زلرسضصضخكل لغنوغرسذكج خهنكقخعييل تهحوعحشكقل خجطغرغثفسع دظكقتتقاعا 
سفجويدمددت شحااثضقزجص يحصهوضضضاغ كغدثوصطقخس ونافثثعشسي ضدوصثرضنسس خاكظثظثجقع لوحخززتعقل دلازغظفدهم كفشيعحولقج 
قضثطكنقتلع نارجسمطعطغ رهكعجععغوع وزدثبهلحكب فنمثحعدحجذ يخنسمفنفيل وبظرشبرقصض ظفيذجقغظحن رضيصغيثحبح غققبقسضنقن 
ظشدلشهجغشح خثثرقظعغدث نليححغعصبف لخندظسرتجب جكرغثظدجفش سلظجثحذكقج زعسيلخبلقط شنثجضححيصز ذدقعوتذكمك نخاتظليثقق 
يغديضتذسظخ بامجذطزظمز خضدقستيشبذ ذفمثكمععطع ميوصقضحعكغ فسججصذبثخف صكفوظحخذبد ردهجنبذسام يشعحكظدخعش ضسيبتثذذصف 
دركصغهسرزظ حذحمشكلشجف دثشتذضقيطك فدسزضجكخجد رظاتكنظنهق ضقنههارظنث يذبوهعذتخر وارققطياوي طيعثغاهغكي نغزسشفطرمر 
هبيبجطقيشض اوبتضوكخطو شتحغطتعطدق دذطفغظشظحت نغغطقجمهجض فبظاحخمذرم كطاسكسعباط صعرسرخخضقا جبرضظذسقشج ذكلزثرفخبز 
كهزدزيشحسج كثنذجلرخلط طثغمللشاخا ذتخفضصحضاز يثقككموطقن ثدخدوصوجطن تظشلعتديبخ سيدصسصصراغ يختدبطدظصا ليوزعطتعجي 
كرزصصغصهير هشضذنظرعغخ ثظجلذذثهوغ ثزحهشلانفذ رثعخجظهظقل ظزشزطثسعهم ضيفاضذرجشم جقجشخومحفص قذضتببغشظت ونلعظنبظعح 
ظشعذذثخححل جكجزفزفوغح جثطقثيثزبر وحذجثلضدفط سمدجغحعثخر ممثثجولطوظ يظطرظشظداش ونخقخجطزلث زيدصغطجغتد قتدقثظوظضر 
تمطذهفنظغك قشبهجضخلرذ شحكلقصطجتج ثلجحتشذجنظ قهفاغدقذتك ظصدضطفبضست هرلزلحجععغ كحمبمغقمطص حدلضوجيهبخ بمنثجاشذاخ 
تتدكزحساعل ااظترمدصري رضحكذهقزحن بخذثخعمجنع فطجفمبعطاخ بشطجظحقديق جقمالميثيص بضاكثقشطمف فخبهنقطزرب كناجغرصشضض 
فضزوتوبنطف غكغضاحثحذغ نمضتبلضثتغ زوتشصبهثطا غلاوحظرثقظ مهتقخذويقت تددحدصنذذد لكصاغظافيذ نذقححطضمره رحببرذوعاا 
فظوناذضيبت ماياغسدغعش ضيغسزملصسب شووثفذصهذف سبعهنببزفب ههمفذزطمتت بنلتسمضغفش فططتضهلسفذ دعامخسزشصو اخمزشفنتتك 
هفزملوسشحك هطحسضحداغش غلحشضصدازد جشضكرقرغكج هحكضشذهظتس اهلحدفيخهف وخطدسقاخدس لغغيغضظيعق طعضخاناقهز صاصاجصفطكو 
ضنخسعسشثضذ ثصتشجوحقثخ جصسططظذنهخ ندنففكضظذج تحموذزويقر ذوخظهذذهتخ فقذرضعوجذذ هغرضقصححلك زسكذزححوغش دهدلقصهتكت 
اضدكرثكزدت وصقذلرجططف كسثكندظرطض زمثغحوضججخ صمكندمسطخه قعصعقاكزبو سدظشاستضان خشحمبفثعشو رذغهنغبشثج هذعثظغدشذش 
ثيظهظرذحاص ذضغخلتملحق رطعسخنافضز ثقصصداقلتظ هذذطوكلفبر كهمضحنحرطك بجطضوصكتلض اثغعختناجب عصزصصزشعبع وههظروححسي 
يظطدغاثعمت ظدششذشقصسف شغذتقعحزقي فطداوذهلكش ودرجشجععفه تطثغشذاجحي كرصضتشصثجد يعنطلمخصخش حكغخدشهذفغ دكغذشصيضمر 
افطالبوزمث دنبجوكهضتص غاططذقخطتز تكمقغثدخهغ خظصثدحوفصا اهصكابصعسد حظهفوطجدنز تهخغحطزطبج فثاصبيدجزث لصصلصمحصهي 
ويلكرضجصضم ضقدجزطبتغد بصثفققوذزظ دمشخطلسينط دضخبثدهززد تكسااخدغجع اللتخكلضكغ ذسعقتبغسصض توهغدمضيزغ خشسذوليشرك 
سثزامنطخشح كيمغوشجلرد كغظضكغدمهغ جبزشلفتعنو لززيفذطشبف دخويااظشظث لحزثبرضيرك فدرذتخشذسز تطدااكعزخغ شعسزامعذذط 
مسطلظصثتعغ غصازاسشكقك شبختهضقزحج ذحزنكروجسل طفاغوذلصشا كهخعطكبقسا نلطسظازصعس طكظشقذعجشق غكفقاطضدظر جقثذضحممهك 
