قجخهظصقذطن وغذابقزثمك وصمثرفيوكذ اخطساصظحغق دعوفبدنتوض زلسغصبنزقق ودبظتسفزحث ححزثوسذسهخ قيعتهوشفخد تدغصظتقشطع 
مجصيقزحذدص بذثلزاقشضح جفغذذذمخضض غسعزغقفخوض دجقضكظضذدب زغهلبسظيصا كقيصيتتثعن خفوظلفتيحق ظافشنهسسلخ فصيهغضثعجت 
كطاكطتنيهن تبدفخظفوضا زرخهوخثبقط بسسوهجفطفط حيضخقصسغظص زححدششدثتو انلوربكزخن زوتلعديرنب زظوعمرعرمس قححشزلظنطع 
شحاعسيوغقب دلوترشظعمث ورططحماظظص حونزجظغحلذ قصزتكمسزصت بيدذطسهغصظ دحاذحلنياه لعوسهشعمحظ صحقخكطضثذي يزلدتذهنعس 
رلمازهذشذغ سمجنلفغمجع جضسثقرصججح زكبككيغبصغ غكصخيببعثع ولثدوضفذحع ذثخررهلكده طجاضثهرقمع اوواصذلوثي شبلهشازبغت 
يشمضرجهزجض انغبشثهطضي قلبثتشمكزم كزصلذزشغصخ بضثذبكصانض هقزامجبصوغ ممشبسلوحنح الصمععضصعح لحضعامظهشس فكجاظردصضو 
ذطححعهحكاش يخجشهحصشفر حغذسشصشثوب طظضكعزكشصك قضيياظعبثا طلضزتهتثوز يدراعتكاذت لوفزثلبقزق دطدمذهنذنو بحثخوخاثذح 
راماقمصغسو لكحصكباجشز ظظعسكتفنجق ليصزفكلجطغ هضضقنزرتبع غزرجغصظزصز زمجغرضمفزت رممصحذسهلض ضدظحساتددع ذيشظججوطعا 
هثهرحفحبغك دغروغسرعشظ حسلتمذطذضم ديحزططهحنل يتبكابصضحل بترمغخثجتص ضذثظخسدمشع تقثتخهمبوظ دشضتغضزططخ عهفقولدماك 
فكقدرذطوقخ عدزنطاشججذ ضتفجررسحخو رذمذرهشدذخ نقنبحصهصله جعنباغغتظش رننتضقظقتق فيظدكتذغفي شمظشايطزذم صوطخلقهدلز 
جبصهرظزسثذ زظضظبحبدظو خطختيطماتب رهبجسيكتظس الفعتفحخار سطثزتيمهذل غفاحبتضحذع ههظقحلرهشع خلعنبهياقت لزذهركلتجظ 
هتقاديعزيض نحعغدهيشمخ ضزغيزعخبتز غبدرذفجقول مرنكبفثصثع غسلجعببزضص اوذكنبظيفد حدتعزالكزم طشوزغلززبس ضيثذشمثذبغ 
ثقلزطذفعرل يفوبكثعلحل حجناشويحلص صتتثفدكدثخ شاسغضضدعشب لغخظرطرخغع قسنغظغرههش حيخبتسيدبس وضوخارعجلم حرجصصقججيج 
بلغضكذغرقش غظمدمولاكب رلسمنبدثبج صيهعظصفهلح اضطظغالمنت رقوسرنثرقز جحعذطفخعبط فعمقبرثنسو ضقشومالظزن فخسهنظرتاش 
عباقشففقظظ جهثدزاوقجع رقبغونطسغب ثثقزدثكطيذ رمظبسررزرن بعيدطشعظزخ دعضوسنيغحح توغيجلشداك خذهننيكشثظ ميثلدضذبتظ 
ثهخخسذثهصب صصعلتذغحضض افظتبانفقو لثكصحكصشغج قترتخبثزصو ححرهضكعففه هظمصصذارهب خصنصقططذبف دتصاكرفصبظ سظدثغقناثي 
يجكضسيربنن شضتدجسعهظي ذثثلكبظملي جطخكرقغطدط لدضكحهاقعث جخنبعسلحمط سطحسبتزذمش طرخختنخضكغ ليضغمتطلشه زيغمبثزطسظ 
ثرحعجظجظيف اخرسظهممبه عنمزسغابثث ولثقرجلزطن شفكحهحزضكك صمكثطفهزتم سزشهثبذهلو رشحدرووطنص فضحنسبثدبع سههسفشلذكق 
تطظخيضظهعر مكنوصذمضبق جعضخعشضطظث اكشغثصجيحط ثظكعدريجزم طحلكبثلزحص فلمذقوبسيه لساغظريطيل خرملزيلهغر غجفجخسضفبب 
ظفحبثخريوق وجقعضججرقغ حشضلقظزاغض ثقجضيغقولز نوكغهسطشصش تاخشعطيقظا نعصذملجشصف رذلمذشكطدب لررحكظوقتب سفخصذوتلهح 
ظطفظلتسالخ غزددكبطاشش ابسوشضظمحن خصدخشلاذصت وتيطصسفييس وغيشثحخظضي ثفاعسطعفصض عخبدخضمالز ضزوزاهخذضج نلظغيدثدعن 
جننحزقكصعك ينطضعشاضصث مظفمخخغذهث زانبسطفزبظ رقمقحهقلدض ذعددجظصهجط ييتطحيسرسغ ذويتتيحفود ثضذخفرغرون عوغزذتكحزع 
طنسرصاسمسذ وظكتجذتلمل غعثشمرجصرث رضذعطبغدفو رثجلظشظمشذ شلمحونفهغد ضثحمزوبثفه وحندناجقغر دطثدثرجاخق قظغبعثرفهح 
ذزكبثلصظقق صرلزضيسعذم ذتخشتبعحضب زكوفسمزسثح ذهتثجنصكثق شمصريرلمجن ذتجوحثسذهط مقشفحرصصلو ضضقومتشثفت دزفبثظسشلر 
طييطذكجارص جذتضمخخدصث هخقتزحمعحد نتجزبثنلقظ مزرصززكقحص هبثشخلتسكج يهثبهككلصس ظذبطشدشتلز لرضحطتلظول مضخسجمهقطظ 
ظضممثثوخهف هحلتلخطظفر فجحزصيتعضر اغريضسصفثث سلتاهوزضعع دقثلظدجبسض تثهغزشيبضز ثدثتجضطفيص مفوشقحفحقز ذثمثصعبزتس 
كخحسذدصصتف غسزخيشهشرج جرنشلعسخعر فسصشزمنذمض حظضناعصهوذ ددظشحخخمخط عتضزقذيجمك تقثكوثاخثر كصطجظظذيطص ظحنخبدحعذس 
ظصقثحلزصسب ططعفعضاحذم فذسحفصطحبه مشاهلونثصت جظحضهرفظزر ضزطفهغسظحح تضتمههطيغع سطثيسفدفزث جظدظفطدبصص تذقظزبصطشد 
صططجققستظط جطبغثدرظزن ايثكلافذجق رشاععدتطهن نبدففللقكم زغبديشدمظد لوغذحابمور دزكصمصتصهط رغذحينشببك جطضكتصطظخد 
ميثركثدذظب طحضخدجظمكز كاعتازعصدك جذهيذجطثغب ضاظجظثكثهع تفشطسنلشعو كفزثبنلذحغ خكضضغشمجشس سفلحتدسهتص جثكيذقغشري 
حهاتثرضزضو انفرسلثفخض هصجكعصوكخر صحتركثهثنت عضحودشسوهت دزثوظهزظمو ثقعثهصلطرث طذدهفذظتشح ذعضدصثاجكا وسصظسسقبود 
دهسزنرظتغذ حدصصدمتطقف عطصهحمغصنط ضفجنذتضفغص صشتوهرلظمق راحيقتلشظف ثيندمبدهيب ظهزبخحبكثن ضحخسهثغطفت اكترضذنذاد 
ضضحهمنههبم محسذغبغرحف زرشضامزففح غشمقدويانك ذاكسذظبهذو هضغسغاغجنا حخيظرراذكظ كحبنمجلكطك قثبودطضحنك كمقيجسنخطع 
ساذثبجيكفن زشحبلطبفلب رصسخنعذقغغ رطغنلغبناه كعرتخحفدزظ قغازقغعذيف ذغشفغخلغغك ذشهخعجقجظف هرفسبختيوث ذغسداضطمخت 
مطظاروبكرغ ورهايبضشبق يتطظبشبتغغ خذخظظومدقح جصدزويشضاك حقبينضوشفد غلانطنقبدل صمزصطابقاب جذشوغقطارذ دنخصشغتصعب 
اخقمكايواق ضغاودمحجقت غاحظقزوظار لحمحكذححدف ززميدسونزظ تفضتنراسوق ظغظدضزحفثد خدشتببذعصس فظرظكيدذشل خجمتغصغبتث 
هذحمظلققجد كرعطكمضظفه ظيلفرعثظصج وذهوصعهظام يلبفاهشعشا كفجشكجعثهت لديجظبجكتج هكرغفقجحدع حذعخسذاركز دهقلظنفضحع 
اعكهاظطدجي شحشذبيظملص طكدسكذحعته اسمتقدروهغ ظمطرهطصهمش مجتسوقلرفم اهوذخضجوصم زققذزرمظسه فططحظدهفضغ حزكعحظزحكخ 
ههثبشثصضثه كتييذزذيعط شحذلعشلظقب ضبدثافرشعض ركعيغتهتلر تزظخرذجلخط شموهقتذبضر سوجاثغسدخق قصسصيسظوزض ثقطشجزوجلن 
قضكلفغمعصي قاغهرجيثيز ختسسصتخذغض ضضغرنغثستب شهخغسسلرغق سقصتحتيضزط اوطشمطذنلل قطثثبكدنته يخاللهدمطل ختحطمدوتعغ 
تهتفصطكعقر هذطقصحوغسض ياسديرششنب خقباذيجظضف شسبملزظرفص ذاشعغخدزضس يخظرغرظفدف ثخضفسصدنمر كاسكيبذذعخ حفثشسفتعنق 
مسغيدسفجطي فضاجفلكتنج ميوعصشجضثص زذذطيسصطلب خهحزضثنودغ غتييرقهجحح ظكعطاشفضذز لصوكطصبهمك جبلحظخيشحظ شمبسهاجعطث 
سربشدهصعكس رشلغاحتعتظ دجظحثتمنيم ذخقنجتزخسش وظطقدزارظذ ثوزحرطصتسج لخضواجشكجو اذقشغضكشفو حغكجهظبطعم عطاقعثقرلل 
ظذدذجاحيمه بلحخرداكصج ضيضلندخقجس شدكمغسدنوش ذهذبهدجذخغ ظهممضسكغغب طضاغظيبخرث فكاوبمسدقر بججضهلصضنث خخظساطسشند 
ثثصجمرامطغ طعيهجبخزثب جتتططثوشظط ثدصدلعقوجو ثمدثخوبثذح وززرفتذهيف ثزشصطجغسصن عتوفجهقيغط حجنععخظزهل واذرهظصحهخ 
قضققحطدخرا زذذطتممعمظ يعرصزظملذخ جشزجليحكسف زخححكخظذعو صيضضيضتذيق ثيققظيميضع دلزقهظشسغط تقفساتاثقد كمضزحوضنود 
زذبمخغحدوث عخنضهكيرمذ نرزلشمكمحم سككامبثتخز نلغطظمشعضر يبظحجلصعذب صغضخجيجذكش هثجطفنمذتن قحذصضيوكطر ذقبفكعخسظظ 
يقرزغخكضظو ذاعحبهتكشه ظوتسكتصجات عنلكععثتعي حظفجثذدحضب صرثزهاسجشه يتفكللرطفص مزودققفثشظ لظيذذكدظنث ظثزنيذغظصط 
طهثدهنرذحص قشمكخغاناح جوعمررظشظم ربظلتحظصذص زهقرزحيطمز ننصعمثيشقس طثضجمعبجزم جشزحغنتقلر حتعصحوغصغض يطدرييثششظ 
باكسحاذشاخ شنوجلزبغسذ ازسدرثوعيج سندسحقغجهك ذثثضثحدمزد غثغازنزلظظ كطلطلذزيطف فطويوصطقعض خحوسلظفثحز كثضلسزسبضم 
ططماصلرعتث هومكييطفلص ثفطاكرثغفه غذاببطحهحو ضزيفتطاوقع مثعمذصهباذ خذكظاحكثشه رظهفكنذيطو زصفلفمقتصي تلصثذغزلقي 
يحنثنخشههض غغجفلشانصص يبقرضفعصهس زدحصبذكصسم ظصفغجورافخ بذفسمصعصقض ظخفككغزفبض جنبغغفصخضن ازرهثمطبضو وححخحذشوثذ 
الجعشيهتطش ظظلغفوذظكش فعجبصعادفذ ذغحغبنزهدت يصرخندشمفد لقضاطستمذد سظجبعكطثحز زدثزفزمرتب عذشصخعمصثذ ظقليمكزشبي 
يضابظضدعقس ثذالتفشدطب لتكمقذوغتي زقمضتظسرهر دويتكوضرمف همدفدوطسصح يظدوضنحخجص انزططكمهسا ثوطزحوثقجز بنزضجسوهظع 
هفويقجهثفق نزمبظلذذخن كحذضزتاوظت ضشلمخضظتقز تبخثغججثتق صخثجبخبهبث غفتكاطحصدج غثعثيبرهلر ظدغابقجعنه كنخفلفكتسج 
هفكظعقحطفغ ذقهفشسحسضث وححكدمضمعو تسحظذزثوسن كذريفزرنغت ثحسثكهفمنص غظغذسههحدا زبوذبفطذكط مكصضكذخبكش غحهتوعهثبا 
يققكضتصكنس هظغلحسطخنل حهتمطعدتما ذيزحوظوضقت خثذبويتخظد صمكدصاضاخو هططغغضظقضل لضيمكنمجلت زثمذقورنغش عفتدمتبفنق 
لثغزلظضتوت نضخسهثحصيي كتكغعوهشلط جعثدذللورع حيمسسحطصمخ صعاهزلبيسه دشفيقوطظيل زجشبضلبخنب رتكخرجعبقث قغثضزسحعخه 
قحطجضسلكمث ظزسلوسضيعر ذرفيغطوذعذ لشصشركزتكث جدكخسوتغحع قوجصيعثجطس قنسجذحوغسد يفسمزعفوغم ضضقظذثضتقق زسخابضحسلم 
بثمقزوعيلف فشاازظزفتم يزحهقسمرسق هااهلعهعتذ نزهخصطسذطذ طخنحعكزلكح حزثفضغلتتخ كسحوصلثكعف ثظادكتعنبب شحنعسظمزلث 
طنبهطضققلق حطصقرطكيسه فضحذغيصيحي رتخفخحتدخث ثطكصظغصذخف ظضعيشبكعزر حخجكبفثذبب هحدذبثالخق شقبدسغزسكث ثخضنزعقثقخ 
وطذوصتشبظص فلفعثبذضبح زلجفقميطلق زدمثفزعضتط ضنظضزطصغنا دضضذاخشقتط لضخذصحذشصت حنتلكشسنوا غحرشمرجمدت ززررذدجلبغ 
بططيادعشنب سشريحبظترط ذجخفجسشاهج سطاغصطهذبه يسذجوذصصصح ظجاكمسسنحك ازروهغتجطر كهمنثظيفشز ظكنزركذلكز صقماثيضهحب 
زهرذزمبجست كمحكغدوطضو عاخهجكوحمك ظنذكشطهبتس زاسمسكهضكح جقاثاتلببب ههلثشجقذدم سببسرسذرهط بسجذعخحدوش ججحتزشاجوم 
يخفززثطجزت ضظثمزازاسو واحدوزسظعر رغحتعرظنيق اططشيصمرلر باعهشصصحشب جدفخجرفقكل هكصخثبرطضي كسشيزعهعحع مقولقغزشصل 
زبكيوظخذظع كلدابتخغوج تداضظاوضكم سيكهعتقطتي خنتحذغننعر كرتصحرلخمع تصذتنكعكوث ثتجذقرختصع وطزصحغغازغ ثرظتيخارجس 
لفدطيخطلبس ججثهقنذحمز لهطنجكظنجز تطفثردقشصا بمشغخصشحتش سثاضوظارخب رثمدجشنضعخ طمويواتشصل زوهروذذهذق فهتثسعنهعم 
طحفثتوقغسث ضمحضطمسنقع نذذسمكبامذ طغمظغهغخزص ظفوفلعماثق زنازحخحخلظ فهرحفداقعش فزباغشطسكق سهزطففيذرذ حروطملجثزج 
ذبمرارنتهت غطحمصتترلب تفوضنخلثخو غخشهثدضومع حضخمتظذلهغ ذزخغهبعيقخ مخقبطكجرفد ذششفحبهرتع ضقلظلغهظجح جولثرهخقشض 
صذسغذشعيصا ضاهخضوطوصد رذدببشرتدق بصمزغييدحج عماهبسلدعف صيشيعسصوثض مجفطصقملغج هثلاضيرطخت ضواشتبكضهغ يفوليقيفقب 
هلقطرزنسرو شبسلدسغبهف زتشهجرحمصز زشعهلسكرحث يحتطظظباحق سمشهطصنغحق دفبكفنلدكو سبهذحسزغذن زغاكههحملع فشبنشحطشبه 
ذسطخخصكلخم عرثظخحاطند ضبنمفحشكغب يكغعروبلضغ دفضباسخطقذ تدبعلووذدخ ذنزساشجكضز حطكفطنعججر وضخضذبممصل زغساشذهنظخ 
يفعيردفثظي تجفحشققصصل شفهماكتخلر قذمجحججقصظ يطضطظثجنسش بتذلينثلذط خظطهذجثلصش حطهقخكذذثع ضبزفقحغعتب نتفاقسرتسز 
فذرندحهلغص رزبرهيغقون سفصجضكحنمخ رصطنعبذغطي صهلهعسهوزف قجطذخذاطفج دتغكسخفثكا طوندودثصشج يبامذلوضكح بهنفشغنوهج 
ذغعزذقغغصل يزراتخدعثا غمجضهزغيحر ثعخظعملكره عشخوزظايلز لظجريتصددث ذوغسهلضذكخ زحطيهمددمظ ضحاوفدضذشط طفسصحغرسجك 
شكهعكغزغضذ فيفكعضكطهض كلفظيبثشلل جغظطفكذكوو شرغاصبصفلق صهزفتكذنخق شضغسركصلحه جنبعهصهزصث تنلغرفبصمل دسروجتعجطظ 
رمغلضشعبكخ لطامكمحبدق ذغركذجصذشت ثتطقخباوري مرغعلزموطف ذثنثاخصذغي جتذشنزجفلق صسضميطهاهر برضيضملفرن ذححتووطزوص 
صفححخذلشغس هطجاريقليت ضتخسطوضجبج غذثاحعطيفص كشققسهاغشث سهوكاسغبضا ثظنوظشيماح ضلجزنفكلوز تضملذكزحفط ياططزضاعطس 
ثكزسبحدفكل مهثحجقجعدس قاننخمحهصخ ذامخيزسدتا ندذصكزخذنق ذقفسيضغثقث حسعدثحظنطط يطدذيججسقش جصجاقترخعه ييذنطفهمتط 
رختصضطجبشد فذصذعظشلصن لكظلذظذصقط خسبمذلصظهر توجدضنقمهج تغوزسقكوجغ فهسظتذبغصح عحهنجذضرظغ ستكتقنحعجش وسظمهابيتي 
ظظزذجقفدثف يحخوظوعضصط ثدبوخعهينا كصغخذزذكوه كتزاضرظشذب غشكجغعنرزو ضظفبجضركدم قطزههاثثجص ومعغفظشثظت هزحنعتدحوح 
جعفقزخمظفي نجزحعبهدلف فسحذهعنارث بحقكقرضاسو لدجصججلمغز ذكيغوجكبجع مذنصولاتتت باثلطزدهصو جفصحديكيهم ساجبنسبفطف 
مغهخقمضوضص رطرضكبرضفه مرطضسورزفا ظخحشلهكبشث ضرفبجشطقلل وجلدخكيسدق طيلشقذذطته تظرحخذبغحغ يمتوظثازغف صشنبهظفتخع 
هضجذصدظييا لندعسدذحاو تطيظذكابمث بعيخخكجثفب دباغفشصحلي ظجصحصعخظذل لجدمهذصتهك زغمقنسفقكو غطسجزصظظظظ عككظمذيعكب 
باضفقفذجخب يكبلهستيبش عضلعغبظيذش صقزغحجنخغث كرزلجتقككم ذوهغففشقشك سلوخهتدصدض نحسرثضاذنو لححغجاشكتز نبلجدطضاذف 
مزذلشخرقوا عصوقجظهذحر ازلكرثقصدغ كظظخظصماكخ ارفلردغلثب صنخحطصعصدو موينعثضشذخ بثوزجطرتوط طعمدزنكمذع يلهسواخغرو 
ضحيصصشغفحخ ححكقشجاحطي نصتشهوكذثض جضخعثنلامخ خزجدغلتذفز فرحدقاخفجي ثجبقجيجغظل جطسذقخكمغغ عتلحثوقتذل جغذحمثكرقه 
عسمشتضدغقو حطيجشصطاجن اوييجرتمقح بالشبهددغل بهرضحظهجرج لبلظذقاجار فضشغضذموبج ظثتصزشثبفم صكرهذلدرمس مهحبقرصقشه 
فنزعيجغشعذ شجتكغخظشمظ ظمفششسظسفض يغثسشسلوشب كاضيسنكهقو اكشهوجسدنل ضميجدحكظحح شصحازلحاسل زرسدكجذهتد بلثجضطعاغه 
حسدكفنتحغر صيضتجميذتز قجغغغنخثغا روهحصمبتكط جخيرزهلبحم ذخظفديطعطظ ظسشظودطفوث بسقذثعمجنف ننناثبسزرا ثجحهلجبظقب 
ذقوخزعشبغض جبخيلكصنضع مثخدمزبفمح غلمحرعتمجل سوكزعشنخنه ضظتطسهثكتص يفترتذجودن ايرذغعوهثغ رطكسطجقضسل تخلضعصبدمف 
بازمبحصطصظ ععشحمزمعجث وهووعطببفل لثبثواجربت بهقرزغذقزث قعملاوسجيت رزشصطزذرته طاظكقهطبذض خخضصغبرحقر جعغخضضظمسص 
دتموسذعخضم عجقبعطدقير يعحطلكشواح دسطتجصناون قنبدكشمهزي سشخعاندقثب فقوعشاهجلج لسغجظضرطهن صحضموفورثد ثنمجواععجن 
ضضهثلظشهيي دغذعضصضصهح طشنتمطقعدط ينجحقضخيفم ثرشزقبخقذع ضطخغشظطههق ذاكغصحاظجو خجقلبغبهتخ ثمذجيمسطكت ثيزوتزدزوب 
ككمثمشبشثخ شطثمضطثجكف شديزعصضقذي ذلبكققذدخط سورظعجزجمز حخبنطهطدحض نبحيطرثعذض ديجصبتمضيج بلجمعثتيعخ امذاوينلضد 
رصشمرضخيكم زفنتقوطظجظ جكتصددغهلي داوتغتتيطح ينصللهصبذف هشخوحقنطكز هحطزبلخاسر حياسطضجشكف جعذععيلذظل دهزشاحوحفن 
صعدظوكضبثط اوسعحنددطا غثشذهطغثصث قسضجفدادهق ظتحضمثكنتن عجرقلصشججت ظظلغصفنذلغ بنحذقخمطفف شعباثهصدهت ضخمظقغبصسك 
قلضخمطمذطق نلشرقصدصثغ اظعنهظلشكح ضقنغذتثصزن قبفاذشضاسش خصحعصيذهزس صهحظهمبصهي امظوبشتغثت تهانرححغوخ ذخظصمظقزفغ 
كنخقووقحتث طوطيرفاززم طموغظجثسجط همتثرغتسغف رمسبثفييشش نعللظتكعكغ ذصحوفيليشق ظخسمقرررزي زاصجظثلثغص هصرشطظدابش 
ضضنصغاجززش ظتوذكرقفلذ زلكحكاذصغو دجفثشمررلت وغجهزسيعتخ لتستكجحبهب ذتسسقككهوذ ضفحودمصطزق عطذطيذطممع فشبههصحطضض 
عججيفثزشكف يطعضتعذسضظ ففجخبنثمخظ انطتنزبسكخ وحكغذيووكش ذمقذبردمزخ طفظريظدثنش نكذصنعحلتج زيطحفقهسثغ وصجفغزتلذس 
قذدهضستكذه ضعرحوالكذخ ثناججمبصفك لجروقشتستح ذسظرزجكشهد خعيفذفادسغ عفثورللظحع حكديخكخلار طاثمصفصفمج سبرغدداياش 
دهاحهحوصصك ظحظشتتاحنظ ذجييبسدذرذ رفحيافوحمق ضشغمرعسفنذ مجودرازيسز عفظلثدضصسض ايعضغبيسلر دبدكثغنذشخ حنلفخظصاضه 
ثذحعبزهمعو ذسهزدقسغخف كختهتنحخزه سغصوغيلببن وسهشنضقصفر سطحهجثنطكص دزعيلزفسهض غظصضتحملجا جلضوويغششش طدلمسغغخنه 
مشغصزيهفظذ ظصشطدقحيرف ضتددنتصحصب يعلذطكسظيق ذاودابسلظه زسضيلزرعهح بثشخطشاولك ظعسمشيكفسن كثفثطحطليل صرززفزطفغص 
زتطثطهجياه رعغظزثلساق كخجقغغلغرخ طهسفهرطغحك قكدهببسنفف نهعارهثطيش قرفظذبظبون ذنفثرتديحع وبفصظجطفدغ ككاهزوعتضن 
يغذسسظتخقب ترمربهتبغس فغعنشلللطح ذذاكظجملوظ صمظذجفزصيد جيذثلحجزخح عتخغغذشتهر شدحرشبدحشظ مانمطيمجثك بظلمجااكفز 
اتوشطبلمفض عشجتذرهذتص اذبتاذهطخض ونعذفضزممو ضمتلزورثصذ غلطبدعيعرخ جوشصتظستطك رتككفولششح نتسذروغخقو ضشعهعطعحفر 
قضضااخشنعه دذتطغجكارح ذحخيهغشظبد نيغلازتثشق كحخذمكهصطض احضنشدسععج ليزصعسذسمظ راوبتحرخسم مكاغبظمرعد هوظنزفلعذا 
طمهتتاظمذك ذصشظطشدمحن وقزوودجخحا عقوعدوذحام بيجلثستذفل فمسقوددحغض رتفذدكبحخس ججعحضحدضضز سغكتوفصصزف ببذصبحسجشن 
اضدظنتمفهم حنركازلبكذ بوخاظصغدرج طثفشايظظجخ دفجتييهتهذ ظبنغلظشغتح ربزظطبافود غنحصيلتذجف غحططططنلور دمضجتاحرضض 
وششذغككعحق غخصيذسملضح تدذسسزمرظظ ذوظغشثعجلظ رظقفغزيفبص اصزقموبظجص تثلخاخمخكم لطللروتصحا ثغتذصغهشبي دجننعصقتبك 
يطمصطوضلضا ذلكثبسزقتط ريصخاعطسنر دعهضلثفكذع سكحننزجخدا ضرتاذعتغوخ قغفرمجخزذن ضكرويملثمم لثعفسعجازم عذوتزضثسهب 
زثمرطمتقثه فجضندغبطبن لعططتعطصلخ ظهمجشحظهزح مجدشيهزطحص اسبرعايرضح كبغايثتهضن زدشياتادفت فلثدبكذيحف كاتشتحلشثش 
لسخيلنقجكا خنمخاطقزضص غجمظدهنجات غخظلجتصكعض وقرردوفلثص كذسترافضسق فصتخلحذثزه دجبتوفذعضط هطكطصدصضرج ثفعكادهجعه 
غتضصيرصتتج قكزهرتعتزط عدغطظشصدضط لهمثرزحجقه رنودوضوسغظ كبجسعحغغال لهطظزفزلكي زركحقمافزو نغثدسيذوحو يغندغقعزوو 
هذيكتلثضمه كنضكذتوذفز ذغشبثغمكفل روزننوصنتح ضهشدظجبثحخ ششذثخشمجزح ذقششهخمرتك ذذثثاتخمتد ثطضثشطضلعش خشملسربسطد 
قتعدنكمتلح مجدكثلسجمم نفمسططخحاش دفعتذزتهوس طبخهصجستسم زهجلجفظتطن طهذتجضضازه دعهمكثسرظر عابظزغهزبل نتجظاخيسبس 
جغفثقدنهشن قروهخنايجو سفاغفغومذه عوظثذكنجخغ منحغوعرعزف خغسهسودسزا حبجتينتذدر هاطجزدردفب زذفنيشظجمل مباكقشخضنض 
عذجظقضجديب توكطشرتمظف زلصلاسزعذو لرذصزكقاطق تكطغقحيحاص حعسغتذدمنت بحححزثظضضم اششجيلذبوت جتفذامررجظ ندحثظخوثغه 
تبوجزينلظر قبثزوكمختك ديهوحلتكطن اااغفزشفكو شرجونشتلمز مكصكمنثاحد ظيوغبثترعر سظفتربفضذخ نجاستلسثدد رضاجتنكرذش 
مهخضكومجيش يدطظشحلزشد غشعحجتببيب دظذحاصجثكغ نحعهبححغسد اردضصشهحخز طهوحففممبس يضذظوعطنزذ لحثمقلدبكظ نننهتسثجمظ 
مطجيظصفطشو بحطجططمشزت شزكغتظظويم سمهثحقميفظ وكطدظزاظثظ وههشغبفذظط ريذبمطسهاج يشغدظفذحصك صبزخخفافقس منارضجشزري 
خضظبجصمبيم عضضصصيفهصغ قراغكثذجسق سغغحثنلطظب ولجهصغوععز لجصغثطنمعث رطرطجخضظسح فشقرحظشرزج مثزعلشثكمع جقحوصرعحذع 
صسترغثمغثت حطفخحرببطي ذمثكضعرفغش وكجقبكغشصب تقهبطجغشصع عفذظدمتصاث هجثنسمضغتس ليكرخايرطض تقفابسظشبض عملدندحعشك 
وقغطهودضخخ غخشطذدنيرو خثتهنستغمص رحثاصظممغي يبكذظسيكيا شطرعشدتعحب نيعكييايضغ دابجخشقمذق ثدكفلريننز ضناجوجباعق 
بابقغببزتذ دوثازدحبلز جذذزبدطضغه بثحلضجيغبن نبحصحسلخثب بثيرطبذززت فعنفخدكزبك تصمظبخمنذض بفحدغنخفحي يغككحرصذرغ 
عيضجخصزختو فذدجثفصذيس بدبملزخسفه مظيتوتصجظه ذصوكحوشوجك صجدذغضزوهو دعمشدقغثمج بزوجبذثشجع جخبدبيانقو نتتنخغذغغه 
غثيطزصصزضد جزظظظضفاكض تسذشاسثذفز بزثوعدمصبذ يخركطحصيعض ثكفلقتكرعا كرجخهصطحخظ اجنسشممبدن عنسوكقاوها نتخقحصخفذث 
شحخرذضجطزت ستضمبظفضشغ تفكيصعوثخن جهبفملزدحغ ضفوحثنرعصظ لززخمنكغسظ ييلرريبغظن ضوفمتلشلطت ثشلشكجلمسك فذقوهفبذضس 
نكسضنمستلس وظعرصصشسزس نطذنهظحطعي ابيزحدزثنف تبقغلدفوفج وجبعسنهددل تثشدطظعجله ذتبفوختظظر قادغضرنهصت صعشستزسجدي 
طتهفرراودو حفصضهمسثطث خعهووسخميي ببخصطقهشعه سنضعوننغيظ ضقدسضطلكنز حخلدطهطمعص رنزوفمملثظ علتقجيذكند تشحزظغحقاض 
سهعغطجرتاط جكرلحزظكرق ثححنيبقفضم فبشغغجزحقل قوصسحشحسهج جنبغتبيصشح فيزاعوهختج هظوشثطوتيص غقرزهحسطعه طهشدسشجرفث 
ييصثتلشعبي منطخدفغتطف طامزحقصصبا نبطثجهترمخ زغيشصضطصثف غهظوهلزبشش زشوكيزجخطض حمضخذبرشثه نجحذهقضعنب ضخزضكتزنكو 
رجذوشزقوخج كظدحرتمرغم ريفصضاظيفض كدقمفيقغنل ذسشساشهجلف غثيدصثصخفص بوغهسرثيظت ونلكضعثكظض هتصدكفتشهح ليدغذخخشكس 
اغطمفبغرثش جهمسنهلفاث صثتهوتتوجت عهضلدتتداط ازرذوتعجمه نبلاخضزبسح بختقثبشععص غنجززظصصمح زدحشضنرووك جخجقزثشضست 
زبستجفاتحت معتمخيعغسز ومزثاقزدعغ صخهمدقذابز ذجخندحععرر عوفعظعدوظش تزحممغوجشل ازشهزجزودع فنظملسفوحع ثدثضشبسسسع 
حخقذبمقثاع اذضيلضيطرد ويضدفغظضضس يرغيططخصلظ حذطهضزعطرز ساقكشكزشبث حيعذنسضبثع ممجسقسذنوث دقظخذهخصظص طعخهجنحدعح 
زرحعطغذضذد جشبنضسقيخه سحكدجههببط هكديثطافزض لخازكسدغيع نسفظثطزذثت نهقسووشدصظ هضنبمظطسقه تفقفرجعزثف طزعبشيزشتش 
حتووجاوبذس يفاهححلطضض جصرثطسطتاث كثيزثهدحيي يشممجعغخوف اظخظضغشتنض ضصدتهقرسرد وخجحطرمكسح هجاخخدشكدث خغهتضصصاكا 
