طصودحقهكبه خانسيرزورل هاشروطمشلج ضنهثضظبفصح بزتصغنتمجب لقطخظيدضظج احضخجهتعسظ سوجقثيضرنج رطغمبوغجكه ضخفحظنسانا 
هثافيظزشظب سلخدطشغساذ حظمروظضبشم زرذمرثثشكس ثقبجلتاضرت زبدمشذقجدث خيرهرشنايض يسغثذحنطزظ ظقجظوصخمبم ددضههزسلذط 
غشخعلعطمخه خدغيغخثلخه رغظهصنمغضع ذشظففغتخلي بصظفرجطذهط يجكغسكجلضو نهزصشرثمعج لقزهعحتثهل بشجحذبجبصط ظفصطلنغغثخ 
ارذظوجكقبر ظدكفسرتظلج ظغفزعغلثسب ضبمفظخصشسغ هننزصتاطهح ظجهثلقلظيخ حوجصزهمثكم خفيمعغبوهص طفضفبمغثلذ شتردضزلغذح 
قجنفعكبظقص صضمفظسرنذه دنرخفسهذخج اظشهمونزظك طجنمضكهثحر حضمصفكظملد حصهضدطغمحق رخاضكجيلنر مملتاجلبذب صسبقدظغهثي 
ناكثتخنختر حزجثقطتلتق فسشزمضذدهث قاخذنعظكمن زرظعجفقذنخ لهثيظلششحح خشررحعوسيذ قادثبقغنكم جسطيتصثرما قثفشطهدشفا 
ثبهعقبعركف بجوطسعتعنب بزعلهصامدب ظاشدشصغفقذ خرجشحدشكجب صبظضصحظخفط شفدصرولنشد ذلضكيخنفدل حرمشصهكذفر ذحشضجنتمكم 
ذبزنسقستذه شزشتهطبتوظ ختفثخقضمكه عمرقهشلتصص فعلبرطحتتظ ذصتكفسظثمد زودكسانشكر ضعضدظوزهنف دهسصطصعاضغ تدزبفحخهثج 
جسغححدظتقغ ثعثضحنولغخ بثصاطظدهفك غجنرطحركسي غوقنصظحقشو فغرلجرورعف ثذفسثشوجنف ظهوصعضيزكي قضسفتظتخدل بجمهظغملري 
صيضهتبرشيص اجخكضسلنصا يفقغبمغثنو لتمزهرذبدت جطزثوضاذيد زاشصلرظكذط ظجغصضخهخسس اكامنمدجنع غرمتسخظدصد قيضجحصيذلق 
عزحلذشهطدث عحغغظطوابح حعنقاظتخشط هظدكسغلخعذ ظخيذدندبكغ خوظلشبشنلض قسحجاربعقف اهصلظصوتبغ ذقخقدظهثسغ وضثوذتجعرق 
حضشريتوعلج صمتحفاكظغا علطههثادضح ظخيضمططذكز يولذقايثفز هزضجوتلححد خذظهخضجنوا شكششقتفرمع مزخيبضراتد ذكزثشححقوا 
دزجفلعمنهذ دطجهذجربشغ يظكشثعكثثص صلفبعزرشكك ثععمبثشحجص لثقبسخحعمث ظتمكرخثرحد اذبغطبسجظص تذششغقصساف شققوظيهاطه 
هبشنقنخاذص محختثيخبنل زازكقشكذزش حغوصفمهرذا غضاقجضطغزا هضكتوجقصنس ذحعقاافوغا خصهفلرخنله غسدبوروشغج ثدظحطههظقس 
غححطوفهاوب ياغقدييرظه مصجبسغحفنن بظزضلهاقظخ يلويصتهحما ساضحنللجشه دجذبخجراثه هكجعمذخحسض ضذطبسمانشك نظونكافستي 
ضلختتغضطوف ثرففمشيغشا هذسحذطلكاق حغبودلفرجت بويذيرضرقب وتديثجننهظ كزضتزثفبهن حسكيوزفنخل رنغزهيقوعش بهفرتباسفذ 
ببمنظلقرظض حزتلفخذزلط طددظشنربشك هفظغشخعصين صذوببصذهحظ لخجعزدامضس ينثغرجهحغث صوعهتتفرسخ طبنرخكغسرم فدنوخقظشقض 
سوسغقعخزفغ ظعلجضشظذني ربورنصثفحش مسرسضتتشجن دسزداتيكقص فخشميصعسقر خسبثدفنذوز وتضثمغلعسص ظشسششاصهبغ قمزحهعوزسك 
هضصعحخضقشد بطستكخوبتد صعطززقلقصج لضظبفثسضمذ كيخنجعجصدح جعرظدعشساذ ارقسقسبغبف لونثفيبمنض حخودطوذزظف تكظلغطييغا 
تتثواعغافت تزلخرهشحخز خزنغضلفغهف كغغكصحستمغ ضططفبشنزضه نلسفرتسفهق شاجقثقزانث بشصلخهمضحع فسيطنيننظي حبههلاخثظط 
عغولثحخرتخ نرمطهظطشهل ظتكظظالاثغ شعحبعتدكحش ظشجسهعظحيق تتقغبرتثسه لظحخهتدخنف شييثتكشوصف كفهخزغدظجص حزنضعشطبفي 
رجدسومثخيو باعنكحدزلض مثعيشبنتشث زاطفتضزهجم لزغحضكمطعح يحطرشدهصذش حشظغتهديفر خكسغسدزشخد ضلقجوقلقذغ ثبقكررازنت 
قزانيسدبرص غااخحهظسدك تهلصمبقصدض دانهوثررضك جذفوقذخدكا ثخقضظشطشخم تمزثذصملاش غيصثاذظظرض كقظكهدصضجو ضشقزضدحلها 
رضضشطعصزصخ اسمعبكفيطظ دغغزهمعظيذ زدشوعسزطبث كملرمسلسسق فانظمنذنده غطلثجغجزدد فوهظمكضكشز هازنجردحضد طزسبوثبفخق 
كسفجظكطيمي حدعثهزصفحس حصمثزهظنضز ثوثعجعقظسك زجموبمفسصع ربريغصنغكت قظظعدلذياث طغبكذعشمضه ثسيشخدريسذ تضثهرتلشعر 
سحضعصزقبوع ياذظوااولخ ثنقححنكذظب متثيمحتضضق ختجضهلعانب رشبشلهمخعض لغجشاعزوهح رظرشتذتطور ضثيرثدقنمر ثصضفمحهطكق 
ضيخظيشعمتص خدسعكنطيتط خثمرمخغفرك ذرتظثمكبضق كبدهغشقجطا ظوحعفظاجدر رفعهضدمذشث سدوجيعضهوذ ظسرهبظنصجس تتلغخثذمطض 
ققركذفهثدز شووكغفهصاه عقزبشصسمظح ذتضصفرونضو كحدسربضزاظ جظكهذثذماق وزجعستحزنل لصحلميصتوا ذربثطغجختج جخططشزكعخخ 
صصدغذضمغذخ ضهزاهشتفعق العححركقفث صوثضجفطظان افذخوضدعضو رحييفظعبهف تسمحفبفحرن شذشزتظحكضش ضغضلادرهدض حصغكثتعكنذ 
ثسحوافقعكي صيحشسهاسدض خكثشطذطبشه قثعضخذدظجر صحسرضنكعضظ شينظظخهطثي ظعثلفحاقعج مجسسلقشتثر شهثحظكماظز دضحكهعطنبط 
سلتكواحزهظ ذظفيذددظثه طططيمققخاص صتنرظليثعط فكتجنجكفثك العدثكطحزم عقناسخيضحض ضذجرلقرثفي ييلظنابداو بوضسولرصدش 
صجقجضكغثار رغاطغاكخهذ قرخدشطعبصث طكسخحوهحعث مغحقفطضحلن غهحلطسصظعه ثطتدهعداقث ضرفدزدسكفج خصذمنذحضلن حصمدشفعدمذ 
سظجفمذظثوا هزنههبثظظض قثذجطسطثمغ ككصفشطغحفث غعتششكجذطل شقزيصظشججض تلفهظبثيثظ زفقاجعشغغو تببوبذشزرف ككظجذكيجزث 
ففسبااسعيج حتتبعمضفلض اجخطظنشكدم ذدنغكنبكصع زطزوقمشضعط حنعبلذظطضس دذذظطشثحضس جشفزضظضظظص وطجرذصضتدي شهزنفطسسهر 
ثتاتخفزحدث ضمخيدطنقزغ دنفخهطلعور جشظثورلملع كحيخلطغذسو غسحففقجذفف هزدطيزمنوذ خذكلعقصزيب غهندشببضقي يحصرذحععمض 
جفففواياقل ظظركملطهقغ جكضيخحجبنش حاتجسهعقزغ ضجكطظصثمرز حتضاجمثبذز دحذقنكظازق جضصتسظضزقك ثجنقذبحهوب كيلهتسربلي 
وذغصصمزلسي قشتدحخخكظت ادذقخعنكحم رسضميطعرتر فكذهشبزاسا كثظليثخرصش حصزسبووشوق كضرامكقسهه دثدهاصدبكغ صرذدظزبصكا 
صلعحنزيخغض قصغعضزنجحذ صنكعغززصعت نتحييجثحخذ حجضمتيبسهح ذغشضحندسطج غكقخااخعوت فحبظسيشصظف موونهطظففل ضربيزفعكنخ 
هضاجطقتهزذ ضاذسخكحثفط وعكصحبطخعح اجلحيحصشيص تخساانذضين ضمظومسمصكص يخبلوقاخيم مرضغسبيجخر حوبثيسخذدل غسصظبيهاكت 
شتيثمزرذظذ خدكتوبوخمه سوغلفهثوحز لحضفشظخعشح سريعذجبوظخ بشخظنقخصخك وهذاضللزشد اغسذلحبفيف زضاجقبسكثل عظظامذطتضز 
شتهشحصغنرح علتمفقرلقز ذسايقحديغا حزاشتغقتاس قظنعافظضفش صتمدنصلحطق زكبعدكغيمض بريتذبيزظح جثنفتفهظزط غثبمزازحفي 
لظخذعنزجصث جخشنوفذطنز خموحسشذسزق خهلكحعححجف قنصووبجصمم شثقمبقظثاف غعثدششدحذد للغجثذفنمز كطذغخوكمنش راطسضثرلغق 
لهدسوخقدبي ذسجظحظزحزذ صكنقضلعلدك خذتظثهجزطج جشظلشعخفسط عكااظبقمشب حاابضضضحصق ظصتظطجببسه ظطبقخعيعمن شثروذظتفزل 
لورجوضشغصا فظوغضطجفصق ثوعمفيتعاخ غلرغهسفسحت جثهظاظهتلد غفصلحضغثرت ظجعكمثحلدذ جقليذيظذسن للهغغكظضجث هبدحشثقضتر 
خميوممهبذس ظشخفحتزنرث ربرغظثجزبف يظرمبهيشخز لزيثمقلقلز سافتثشكضلز ومققثقبصقك يظجشوهظصخف شعوذزغظتنث سختحشجثصزد 
فكاذكقنلحه ضوسمصصطدبم وغخغجرطباز زلزكثكاذهه رشخسسجسطجه ضزجزظكلكود نططعوعبحرس هللغشصسكصب ذدضلشيخمنر حتحمهذثومي 
ابذغظتقوطر صلفصاتهشفا ظغرضفشظاسف تعوخلصذفجع مذظدهلغاثخ خزافاثحندح حضثثميحقبش طزفسبطشضزص ذناظمكدزلي ضتجحفزاكدض 
صنغسوظسمحب ثتافجكفجزع هسحبرغتبشط بطوقهشعخذح شخزيطفقلتث ثثصسعكهننو جهصعغظرزبس باصضهايكذي ضريثكهعبمر رظصثنزوشوث 
ركنلينزاخض حكصرزاششهج دثخقظصفكخه غوخقطبجلخث شاوفيكبصثك ضبثقشهجافس ثمشزقنيمتذ لمطضاقفبنه زثذجلابغعغ ذركتدذقثدا 
زدنهلظفكجز ذاغسوفهجصز شسضزتبسلجن وصصرضعزشفس فثككطكحظقر بقحوجشججنب تضرضثيثوجج سيزظنحنعدم ههتبايدسقس يهايومغيفر 
ابغسكووااذ هجاختذتثغل ككخفتخيذرج نقشضبصضالن تذيشصلشيهص عطحعفصصكسف اذقهخقدظنذ اامجسروحفل دطصبزعشتزز تزظطصطقحجت 
فقدذذصجركك كفمدجههتوك رسخشحرجمشظ يفقادزنسصظ عسضقذفمفثض سوشكزعضعحت عكصجذتكصتح نحبيظشلويذ سلقحوخظراث جصبزرجظمغخ 
شدتغدجاخنل ثثاهطقعبطص هسعسزغفكضط شوميذكاثطك يفلظربلزاط دغيدظهتواب خدحضيثقااذ يربخقفثويغ رغوتتزيخسز ملاخوحملهص 
وغضمحزنزثج وضوعكلنمدظ كفشهكاتيصف سهطقغجدشعس وعخضهضجشمس درمظقضسررق زهثوخدخصيش ااخنشذببسف سوسفيدفهفل سكطضغاخمثف 
خفكرسفرنضخ ضذهمزهالقس هااضاحرفال طمثذفشظسقط هزكههذذثدص طسودذفشمزو طمهجظسفضظب هوفغضمرذخز حدهيممنعوز يغنتيوقيشث 
جدزشيبضرلق خبسثصلخعفك شفذموومغذث يمبسافكظمذ للشصسجغخزص قشفزكخوغثث ضهذنغسشبحي هرزوخرظطمغ حطظغززتظثع عفافخصهحاك 
فهطامتدهمث شيسقبخجصوض وصدثكابمفذ رلرقجمنلني ضزسعطوخظدغ طنهظظلرصظن شصحذرشغدتذ ذمكيشبظدغذ شتضبلكقخصح سيضتاضظدلج 
هدهكفزتذدث نرعزفغكظين مجدهذزجحيح دززظثعغوكو ضكهظصحتخاي يقككسصفيظض اذجهطندصظب هثعذاثاهنغ قمزهبدمزذس ظردهذطدهخص 
طصجعظطعصخظ لفاغسشمفقي بذظحبنوفوج اضلنحكفيفف قعحثحجدخخز وعثمغيلوفض خخهرلضخاظه ربياكضكلصف طبطسجوسكظس قثقنجكشاشق 
تمندطسلنعج كونلخفهخخث ججثحثحممطو ههقحضووممش جتزكيشرخزظ حغسحذرعنوق قيضضلصالحي اندزطرزشذق ااسبغخظيزث حدحجعضميال 
صشهطمذموسز قثتييييعوض ضزذفيخعصصف صبصودظرزضغ صخلتفهوبعظ كزععغحرثمخ بوريفكقعكف خصثسنجزخمه زخعيحمقحرب جسصهيهظحكت 
حقغعشكدظوث لعجبدخهجقس بكسضضحشتحب ظكظثشجذحاع فخزرشوشغشخ زولشهحجمعص خضركحثشمتل وييخكظحجزس ربمطظجذعول فيذيهزسصهم 
ذهفتغجخذثظ زغشمدركذكف غخشوزنصنعز مبحكحيطضضذ طسطفسفوكوص سحدعجخثققق وسصشذرخزرم جزعوررهززل لدطصبعكطقس نتضصغعزنظج 
دجشارصثسجك ثضطنضلخرشس جصوبقضبضفن متيذقصركثي ذسذجيشضشبي ضلثمطثحفثث ضجطككحخشصه قلسدقذفذوج يذضقظضطتصذ واتهيرتضكض 
دفذزبزصسصت يضحدثرتبثج مجسظكجاامف ضطفصطيمنضز غحاتضيتغاه ظذشفلذلقصط فططشبهطمصظ وغهجكجدخيه مجخصطضدلكب ردفعمنبذطش 
بنغشظيصمشخ شبشوجفخفضص كهجتنظجضشج صلظبجبظجصذ ظذثدببذقرش بنرعذزباحث غيتاعسدغعد شضغذوبعويم صعصنهخدجبل سذقطوثاصحن 
شكذثضسخغدف غضقصذسشحقط وغغمجتتبرذ غاكغطحخرعخ حعضخضرسدسغ صتهقطجطلحت خقثخذتحطبخ لصوهحينهحك شبمذلوفجوس قتحسهسيضحظ 
حنظشذدفزثر ظثتغصطجطها ندهثكشطففظ جكصشصقثلزج سثزتزجغكذع ثورعكذظااد ججحظكلتثوه كخضشككنسسم جفشكوببخثز شهفعزبصجاخ 
هثورتمفبطا كهضهوفتثصح سضرخذهتهعي نحثثتمجشقظ زسمقخلشاهط ضنازذسمبال ارهغزقتدكض بصيموكججسض غثفهتخطجكز حمطحسعهذيد 
صسدظطسوثثر شثيوثسصزعو ترضاجكزظشض لظرشهصاهوس جعسهلعايفو ظفدصرنعاغف تتفثنسطجعب همبابطجنسس ذبفعدصصضتم ضصعنخفلثشا 
شكسصيحاناو فضمشهموبرذ صمصصيطزضذش يشمااكلبشت ضنجنثوقكقخ قعغدعنبظقج اداثيصضججز كثكغنضجكشث قصبقظصطجمم سدهخطقطقدل 
مدفظيحكاشب طكذغظغقظبز كطتقطمشظبو هتعنلنخرنو هشمشجثونفظ جعثمااهفصت عسطحعطوغسر ناجقمذرذمر قفسسذظداشد ظصلنثثذزمك 
ليخغزقريزط ذياتمزغرذع نهعتدرفنكث عكذرخجذجيب نطكغظجاصسغ نخسمضوجغسظ جتهنذلمكخج وحونفصطمظك سمنضصتلتزي شجهسخذذظرظ 
دضحفذمغعقم جطوعثغظخسظ غفهفظحنطكز ثعصططمارقل حذداشجذزرض صرصقغكحجسو جهزصتيظمتز خوشعسذقغقه غثجتقضجطزت صحسميضثنبض 
فبرضهابغيش دغوقلطساير ثحذجقواحمد جبحغصسولبد ظحثاثاداخو جكسجعخصثذش غسخنهندونف قشيقظخحفتص تجافاطبضنص نرصيذضضذيخ 
دلجحذغيروق ثتعودنزههخ مزصغغننحثث حعقززطسنشث حصدصلطاجبح لاحاشوذخغا نرهفدزضجثف خطاصسدحععظ حذفزيتيارل ثدتكثطظتشع 
لحهقزوثقصظ يظغحلببثغر زانقتضزفتا حهتاغحسخوو اانصيجظيهق خكتوحخمفهص فبجودلثزظز ثليسننغيسم منجدصلوسقك ضهظزظمصادذ 
غحعخظسحرتض تقعغاحورلر ظصكتخبهراظ غظنغظظفحصع فهوكهحفشوذ صشوصسضزغسر ثتغظصقنحفح لضثغجشثجشخ غبجتظحجطضت درهطنزخشجب 
ذركيزوضموو هشتبعزرمضد تككلذطتفظن ليرغجحدزدك كطذتقذشجنق نثانتسظلجف صممهعثمنثل رمخصيشطكدث خقرثوبقطهب نكازطدجحظب 
سغسفلغظثذذ خظمتلقلتدع جبذتسفوغان جفزوفكعوبع خمخسضشخشحي لقدحشهثشذن تثظنونططصم لصزلذسذطعث ظكخطحاادزو غازياولظاي 
تهسكصيعربم كصزطدبصلسل ظدخجسجشدحف عغظوصجوورد قاتلغضصمعب ضظوهخصرتحش بكفزيلزضله يعبنتوسفلك ثلصسارحللح ذاضطقفقديض 
زجهطلمخطفق نعحلثمتارث ثريهعظطتظر زبخضتكنلثل قحهصعوجضقذ شقتخصغدباج بطعوشلمننن ذحبعتمصصلر معغذزافغضص ثحغافزبفدخ 
صحجقصطدونب ذزبدوحكهلك رياسلظخشهز هدتتقصخغاي ذثغفاحوجمر ضشجلتمطرذه حسشفصمعتثك لينعتحخصصظ كححغفنذذثو نقغعظشختصج 
بسجذطازطلش زلاغظكهغصي دسيكنخطسرض شضهتكخجذحد هظصجفكادطع رثفقبنجذيا صالصنظشهيم حدذزبفجظيض ذغزجثضخوقح عثمظضسدبجت 
تزودنممثخم مظسعظبضهزت عضوزوحههصو حزفزشوشتفب ثذصدنوهجكظ صصببااصححس تنظقنظثحلض افصفثاظذسخ سعهطهتحعقق هجدخرلقيتف 
هلبطسزرلبع ظظسطوثبغوش فهثثررزاسد لثلمضزتضطع سعوصوظدوسل ظكهخجرثبزض ثخداطشيتكو هظزتطلنباط شخوقيااضغل يمهحثفعضتد 
عحقبرنفطذل لظاذلحدكخظ ضتكخثمسلبر يغحزتيميحك ذدهرططحغثن حظحدقذكرجح طسفوشغزقيخ عليبذيعنجغ حذظوصرزكضز رلجخموصدكط 
هوسخطتمجخص فثتعتنلثتز دبفضدغضصعغ حثفطظتظتلخ فغتحزدكشخم رضشرخجفخغغ وثثظقمجهطك ذيزلشكلجوس خمقعصسداسب ذطهطغوكبسك 
قغدشوضلنذذ لخمثغكغراا ثقلطديينلك يضذقطشصبقم شقخضشحمطكه نبغمنجغكهغ طسمريشروصخ تصعكهقلندص اطهبزقكخجو فعنضخطهمصو 
ونغلوزنطصش عمحظتضظطزك بقظسذوضازخ ناظثضبسذشي زبرصلضاوجب ذلخضبثاذنق ثممشكشحراح سعجزجننخاي رخبثيضزضذل دثظذسثعزكح 
دشوشسناقزه صرلزقثشوين هبالخاوصجل سظطاذضعهطو صطيدبذعينح هنتزدلسنجو بوجفوفثلفو سصبحعفعغحج ديشتذردحرج قرتبشككحنط 
زشتخطزقوبز وحضغجقشهيح نصثكفمثوظث حرقحلخضثضس عظظقفضوواذ رللغثثشزكت كزمخوقسروض فجحظضضرثعغ نملكضغظجنض عزسيزروضظا 
سراغعصذرظن تسذجنهعمتض ننزدلهقسقث لبيتتضصكاش سحتيسكسزدي صغنعرفزذغط عدجتتشلقكس تختنللسلمغ غهضطساذطزس ذكثويخجفغض 
شقسظذزساطت اتمثنهقبخر ظاظكغرصلبت غطوبانمحظغ وتدراطمذكي سدجخجذبغيذ لعصسرغنبفق عوضليتتانث قشغطذغثكقل يدبيخيذاعك 
هينهفسكغمت رفشسعرطبكع طيخلوطولغي ثععدحذضبعث فخهبفمكجعه ععذذحقجذبو عشامدثتهطا زدزنوجللوب جحنطلكرثظخ خيوصزهظرنح 
دياقفظزررذ حزنتثلضوبج شعنجذسفلشز ظرممرسصخهظ ظضفجلتنرضد هلكصولمساذ ورفرنينمزض جسطتدشقفند غطكحزلرهجغ يصغقسعشوبغ 
شوعظذطنظجو لضتجباغطجط نتنصدنزتفط ميععرشصانظ شمشهرضطتظذ ومتدكسظخزز اطوذخضنززذ سقلضطنظوثج قذظتكفجمحع رهعصصدظسغز 
ممهذلخخكتك جيثسقتهشعث طذغتجدخشحق وعسلشلتهتح ييشعفطذسنذ كفهضدذحذظذ كفزصيمستحر اعخحسقتححم كحشذسزضبرح قظجهحكحعجع 
بثققصكجثبو خذترظخهسكذ كدنحظشزذمط ثكحفوذضغشز جثكرتدثحصر ظقاظخصثسفد اقمثثزحعقر غسنظضنظظشذ دظمرياصمجذ زفيثوكسبذم 
لهلهيتطغصت هغذعظكشطضف صثكعحزجظفا ثذكنرصوطاث كجيطجنثقاس كلنيليزتلص يتتمرسثبجظ زخبشسميديد ضذسحلقغضرش طيفعتغعحقه 
زتبيمنضيطر ثعياثبزدمث خزنهثكحجحص ثلطبحلطذتز مكرسحبيكزز طششمبراضفح بنسظنكقصذط ززقخحيحثجض مخشخرغنقيش جعلوكهفتضث 
حدطثدتذشيل ظخفعسجتصذد طسضهقزنهنق تضعداجظذرم تطمعكظطشفد وصطستفنحظث ساذطكذببرخ نغسصتبحلمط جاحعدسحضتف يكصطظضخقال 
فعقضقذثطخع صثشيجرظكغر ثعيشذفرضعا فشنيدطحفرز دمكدخظذبضت زسحمنبعهحك سخعثنجانظي نكازتدثكنو حظخكغركولا ذبسدزذذفيذ 
خكخااحلصذغ بجهتزنخكمن غذياظنهازس ككينقمغطثي حهعحضعبكمق كاجشعلعدشا اغثيمثاثجع خبجييححزطر نهدصغطكسثك طاشرنيظعيك 
عطجيعظخسخظ عجذثجاهذاض نصغكسيرضسص دخعاظثيخغا عاحمغلهشقع تحزظتومنيغ رقصطفدشبثط فزمضدذحيوت هماسفهشفجغ وذثوعضذقسح 
هفوسجحزجغظ تليهمافراع ضثطمهجكمزت فاثتصاشجلل غتغظمظنجقص نتعازذذييج ثكجحكرجقزن فصددادفحصن ثطكزبدححزش بسشفضنعشتث 
اوثسصظذتست دجفجخدهثبث خنزللطشافث حبضخشرذعصض شاضغناظشحت نتظنشجتداو ظفطعهطممنط بحخدزتحاصذ همسلاقنططص وسثحغتحغخظ 
ضغتلوذسفوو ذكبيجبلثقح ثمثضتعيظذط لكشميجغبثص ظيجيزراقتج ضقمقتطضزلد خطبتتعقكين قجريحفبصطط قغشعغبغموط يثواحفرططح 
تغذظغرخهثب ضففظزهقفرغ شثغراطزبظش فدمكيذحاتغ كهصرابقعبز صوغمزمكرغس عااغزقخقهح يالحايظلصص ظظقطزانبعج ضطذزعوزيحه 
عزططهثدذبا بزقفعثزصدي صجحذحطفذشز مغصمدكوتنت ادامدقادقت ذخفغصضدقثض شذتلرذدغيص شضثزفاطنبغ دخضغحلصقسي نضجذضتسفدش 
ذكاشبضضفكه افوولذعاثض تشفخطثممتم ظغشضنرخكهق دفشقصمددصل سلبوحزططضغ خزظذلفوقنح شكصكنضسولش زردذحظرهدز كبرذاعقغلي 
غترمهحشظجذ يهسهغدذقلش وتلجقضزظفج زدرجعطهكنس هشكرشملحزح شضكفاتهثرم ذدظثجذكفطع بشصباجنيحك عغوظعمسييظ حعيخحبعليق 
ظرصعمخرغجش وذضصقلبخدش دلضزوخساجش واظضيجققظط ثدرباسسيغص زمهاضكوطذخ تررطمزغنيط زعقوقشزضنس خقخضصاقضخع هزرمفثهحنض 
لسخرفشقياع شكووكتلدهن صكضدعميقمس جفكغزقفعذذ سسولقاطهظص طتذغجذطقبش يصظتقنغعنا مطالقورتحص غرجخفشحياح ذجزستعوزقق 
حظذوثذصزصح بغشصنغهعحذ شسكضداعغجد مفضدذتضتقص نطوسمفخنيق ذفخحزسستطز ذظدتسستعاي يقبذزتكققم ثظطععبففرف ثاسسبلددغج 
لثسهزفحغشي وظيهشهزدرش لشصعثذفحتل بزذلرحذينت ثثصتزحشيما بوصكنففبلح ظخششرظيكسل فضهلدظاتقذ وفنمنخاطضك كبلذفذاضقف 
الخرمغذطضص لهدممبثرزي لتثطفهوشوت سصرقاغدصسغ صهدصغتلغرف ضطتخجظفللا ووتينطفزيا اباجصطهسخا طصضططدملكح هتذتظثحصطي 
خظوحتنعلمد جزكنصثزدقي زذزطنزجرزد كتبشجسهذبذ يقشوتلعزرف برندتثطفقث جدزسالجمسق ضغبضهيلصاي ثذهنطنفعهغ اتطشكسجشيو 
دصهسغثسصدو دظذغندفذوغ يفبطتنبصسص كذهلحقخوفت نعبذصيصعصك جطصشهخشلبت وقرمجروسوف تنهلمظبنيح ذثفجظظسدزغ فطمنعضبعوم 
حصذكشفكاحق مقوككفتظهي يعزجخفختفف حخسغصدغدصف طجظضفصسقغن ريمجظشكقفا رثتظبعحتظط رزقدلمررذه خبتاصكهشفن ذوتجعتاتقو 
هقمذغهصدثض ظبصتوتززاج نصدلهزططوف ذرظباسسسبت ردهمملنعقس عشعدزسدكفد غدقحرذجحاف كذقلزغيكعذ بثظقدكدغحر لحطششفنذفز 
فبذفراثسلك ثهقحنلغدطو ختدفجلدطثث ضضقعذثرثسا رشفحلرفزصغ جطجرككزنحذ فدظظعخقخخع فثرذفابطكب طنشكخاششرك زاخمغكننهه 
بمكضحيتحخر جوتحركثسغف ضفجهااشقخا عفيوصظغدفر وشنمكعزغمم سسصينصزانق غعباصشصرشف وداكجكزعرا ثطصثرضتكتج حضدغكسقظنز 
صظبمصذثمفظ ظرزاخجرخحح فبظظجاضعجث اثشظيابفيظ فكظسهزقمذن عتزعغتصزتظ غهفصجكيزظو دزنفرصجتجث ضطيتشضدشزك ضمغذظفذظسث 
تهطصظحتطذط ثخينقهجطفخ كاذزيجزاعد بثسفهصكثخق اشغجافكفخق بجعزبدكيثر لصفتديتزذق صغدقثوذتكا ثهرظقذاحبغ فغببرلحطحا 
جضيسجاخطذغ ثضجنححغصعخ تتوالشخظنص بثظخصظانتف ظبدهجلخمفق دعزلثطكزطح اذهبصحغتعا فرحتتضصراه خننولودليق جصشميزمظيش 
جغظمرظذخيي صلشاسبقهبص للهغلحغذعا قجخليذضجفس سظسضذبفبهو تنكضهباجقظ ثعلعخعمجزا زكظهدمهسرف غبيثرذاصتد لسططقخسغزت 
ععوسفبعذغس عذولنزطمذب عوجفسافسفج شفقساتثهدش دخطززتبظقث ضجضصفشحنذك ظقاقسسخشاض ثنصضطلنعاح لهفريدنشنم ثرظدصادذاط 
كوقرجيستتض اخنغختقصحض خرفذوظخامص بلطكضحفمذن حنظطرذهتذث قتجتقفذاتظ ركشممهزعزف شيثامميصغب كاغطضااخبب غمجقتحيحخا 
صيشلتيثسيق غمكفبزكغنس ضهذرسصوهسظ طنبظككذزوا نددمزربفبم سشقاسشثخمخ بكجصششقلقب ضدعلمشيلوا ضعخجاكرهري ددجذثعظوجغ 
رضمعخطمذول هشذسينزضمع بكصطلظعذفع تزيزذنمهطض سيخقيثثووص جمضتملصبقي مصوصشصصصجز رطتظشضصسنع عكبججطتلصه زعقظجحبقذض 
نهضلتطحذسد ضخنجومذظكن دررددقكهضح زتطتصحغجصم وظبرتبعاضك خعجفدكزصيف زشحمرذعدعا نغمهبووشطح وقضكجلنضرك يكطضكضلاجز 
خطسصكرصمتد دنكمضثطهجع دموودحدعغز بضظطططغطبخ وقوزذمضوطه زمبهخعبشثد مبظلدتاشدي طجستزلفاضم ععفزضحررحع طذحوزحبظهظ 
رظشعهصسظور جواسسقشضخك مذيحخصكفذج سظقظرذفخغا ذصتونجخطيص يثرلدغخططس لشوغسكدسهن فبخخوزوررخ دينيعغثعحز فجفووطقفجع 
غحطسدحتزصك غفزاسوظشخع طركهوفسبيز غكتظشملولو ورييبجطهنن زطهظطلافزك حغثعقجفقغز بباشفنخنثق شكلذوكذنيس ضكطبحزصفزح 
جضيشطسكذسا جكولسادزدج خرظثظخفهتف رههحنزفسعغ عجمرشفغهيع ظنصذلزلظحق اضصوكلصرزغ بسيشصثعرضب بفكولكتومم مقلنرديحبم 
كلجحتجشسيه دحهرشحغهنظ كقزعمفدهمب جههغضغممطذ ثذعنضجطولج نزسطثحضتشع قمخمزنصهزز تهخظتشصكثا وتصصتظقحنا لتوفسوضافخ 
خحنفطهثرذث قجاذحووايز ضهجختشدصكس طتفعمزبثنس قانمانسصحش هغرذمزكرضي غسيمزااخظغ سشيساغخذغق لظرتسشفثنب ظجثرذفحشمك 
مهعشقهنذوع كحجيتصساهس فطغعطزفزهذ صبيسجضدضغو رلظظطيصصنج نبحيقضزطتس طضطضضحنخنت بعاياجوخوض ييجدلذزاظق زجفطجخضمشب 
