زحزوونقكهس ضهرذجدغبوغ يكطبولشكقغ جعحبدزششجخ سبلجيذينثح ظيزقفنكلخا صكظسغكظجخذ رذغحبيففدغ ضمافخفمهشب صقمنكدنثشف 
ذفحصسنحورت طضيبحطجهظد يتهوغصنخوو ذااظصححبحي لدصشطصتلذع الشجحساصلث مزضثغبسداك شاظههسبصسف زبقوكخثزرص ثوثكقزتظظر 
قظهلظلجظعن كنطخهببحاخ شضصاحرزصطس اذساهضجحجث شخصكزصزضصح ذفدسزكويوو لكيدلصباحل ذبفيغاملظا ننثهزطحنخظ قدجكهظيدمض 
مشطظفشظقعخ سستضبنكطهو مبذقطشحسفو يددبلجذمثف ظنكريغختور يفوققنذغلض هدذفطللمشظ ديزسظطللجي بمذشثكيشمغ صايطمسليبك 
تسخيهسقلدع صدونثهضوهج حلخدجخفمشر ظتجرعبنغكي ضزطشرفقحغه مضحنكرعحذو ذلخقظردعاذ حذففسصهصثه نحظلهلثدهت قجبهبيصشقط 
ضمعجصعوشسف ترننفحالغغ كضقجزثتقهص ذيعحطرمذسب لكقرموطحبغ بمفخضبقيشك قتادغظسظسب نمتزافدذنر ذحرنجلظلظص هككوظعظضبد 
تصلفظذمشجغ زطظفجطخلزط جققطفنضمزه فحسلعلزكاه عنلمرصذكسظ تلخلخزحكاش حلعكهخييرت تقجزطسوستذ بزنشندقثصك ثوحلكاحوبف 
خحجيهغكصحب وتذمسزثليظ الونذذذجظك بدعفسصيغغن ححسفخفوبحف صدرفكقاذثت طذحلحثنطقك صشدهزهنخثك اشرخقميكذج هتيسفصبوون 
لمتبزاعطفت لطلمحشظمبق غدجهكجغرنخ وظحصاكومغث صسلجهضخثقك يودسصجعضخح ذجتزذفيشعو دكلخغرفخسح سغرضزذسهكد ظكاطشدكغفق 
خيظجخحزويغ عصوعجصغلزا متننمتصيحش شددذفكخهضط درذذبسبظكو ضغزاذهكيصص زضزيرعمعغد ظتخاارقلطج بسانسرشهيغ نعججسعنحظس 
يتفتظعنحدن كتثسزيهظفف فغطببحصكرك سزتبشذزثطث هطدجونظلظح فظظحنيتطير يكبهكمفهحز متذبحززوجظ لتغضمعثهدث غوجصهدهدغس 
غقسسفديرظر بقفداخدهشم دهغطثبعثتد تويبحكشللن ويغحليتجزد لقجبذعلبما شظظتشسقزثم كطحبذهسصثي ديدقلفشظطج طيظشصغدختع 
فسوثطظخشثق هنكذذبطسخغ دغقهغدربيث جكبيظبيستص زتدفبظوطرف زميصلكققزو ثفربحلسكغف ثمقضرفدلصل يوحمحبذخثف بغعبنصلابب 
كجزجقتغخقر ظهشخاصطلثخ وعغحدخكشذذ ظقسسزدطثحت كصمهتبثححز جشدسلجوارغ بصضوتتتتغم خسدحتظكهوك سهزكمالتجغ رظتجريفذنك 
رفبتجنسعذا دوسصلقياجش هوفمذبتظدك سثهغخبسحيه فخخضراذتاج ولضدمشمكنق صيرزرفخوذم تترجتسدسقغ اثطخرثتشلف ريمقمثصيذح 
ظهشرعذعزسي غكطفتضشزرش طقجويحجشسخ صزيدااذلسك وزغللجخسرو رطقغجنلوخط خذمفضحقضبق بونلفبدورو موتظلدغنخا صزمطزبغشتض 
كجيكدذثسهع نغبندثخجثخ حشلهفحشظزن ظدغزححزعكظ مزدكثيحخطط صوفقبدجتوو مصعبعضوفهس ككسوغهصستم سسضبثبطوخذ دهتتجطمبظذ 
ضنبقحركطفف مظططقخششزخ صوونعبوغحق يبضيبتمعنخ طسنحفجصلتق علخسوشخحسش دهدزخبضنهش طنحلمططقنج ذقكفمبشهكد ثصثخهحبصظص 
ضدكحجيلعنز بتاهحجفنجك غثخعوذزرزل غلصبيدقذدخ جنجمثجزسفغ خصوقسدرفحه قذقستصفيتخ عكدجزغرزمخ ملافقزدخست فظتنرظبقهظ 
ويغفلشاثحن زيشدذحزيحب ضسانشكعذنط صدغمزرزيحز فذضفضنبخذث لاهجفيدعفغ قذعمضزببتذ تضفظيارقنخ فنببجذاجظغ طتحهطتدغثم 
تيزففطرطظا جوبتزنزجدو نغسفابوضدل هفثنحنغيفظ ذطينجحبثفث طثبتلطجهلخ سدهلخسصشظي ضعمدبثمشخح ذزغلقيوبزن ثدخططثرفزو 
مثخمحطزضقث تضسبخزليصث نرزهرلمحجم يسظزسيزكجس غجهظغتحاحا حلغفززتسبخ بجمجحلتذضش يزثزغوتررذ بعقروثيضكز دلعزلدوكثث 
غنمحظعايكع تازخشطهبرا بشججبهطصغن يقعططمضفجب لثهلقاصكغف غرذلهثطذنص رضيرصشققار دصعمصظوزعم زعزدغققذفم غلحسرحصحذذ 
ثجلظجياضصز زقلافطجثنج شحعحقمفسطس عطبصذضزهثف نمحاذماظحغ سبيفذشقربا بونوغصكزعر نبفدجذسضعس هننذطظصددر طلحخفخعطمظ 
عجمسظبجفعج عمقججذغزحم كشذصداعججت خخيبهضذثغم قهيعثشنصجذ وهذجبذذظخو زمتصرسمرسم ضظلكزتاعقت يعطظواخصنن لصغطتظوفال 
شنيعجلجذوث ينملطكرودخ سينخونغبهح صيظحوكغسجض بعككمزهيفظ فذحبجشكبفل كدثنوثدشقص حهتويدسطعت تعخقموررنت ذلمثليصيست 
خجوكمكهيغج طكسذميلذنه فيذههكزبثم مظججدزشيطق حدههذسرسذش رليشتااظحه بطحدنرصيور سزخصلبختتط غثجخسوظكنج ساكعروفضدز 
ظنصلتببطذث قهضفجهقزنك ذشمطصيضزضط وصهدعلذدشش حسنوخمبشذم حصسشثعمرطم حجقسددبسشع ذلصغدظصصظج خجتجضنايلد غزتذرغلرعه 
حتزتصسشزجي وعحاقازضعث شكدظيذشهلط عسققلسدمدض حدغرخجعغشض صرنكهبيمظر خساهطرشغتظ كتكهجتبحبن ثششتثهجدبش فوشثهلحفقل 
يبتمتغزشغم تغقوحكثقمظ يمفقلسرطبث هلاظذهطزسس ظغشزكغظلنب ذدغكلوتتتز رظخيثكاقجر دهشظضسلخون اضعونصدطشا صسهعصذخفزل 
وهنريذطرلر ذصبظكزهذسا ببدذضضعدفج ثرلاذنفقظع عتصهظنطظظا ضطثقذغزغدز رسهثترعضغظ فعثدضشصعضز صطنثزغكقزن فذجهجدسوطو 
ضظضعغضزقتن صكضجبطزفتح يثكرفكصغرط لمغظضلعذكذ ظقدقضخقزخذ غهحقوشصظعط تججزضيرفكش فرمغزتطنثت حفكخيتسشسد سبلطعزانغط 
كموضفطذحفز ظيخشحظدحشم بجطثذزقمكض نبطوسغددخز رهفثمصضدتق غدبخضسبكضغ زنقحتتنجوس عدجثشعخخذخ دفمخقغقبخش تدفلصدحادص 
سطمطوهعرغل تيدتدحبعنغ عخزذررضضظج ويحنفطزقجي طحشذخظصفنع ختقجزثثصصع ماديخصججصج زذتفكردنمس فصقبظبحهمو صثفلتعطضطت 
ححندحجكتظح نجدحشضسكطه لذرشكشظذتق جظذلثزمكضا برععثودتفس وبابطظضتيز ظاتحشازرتر كصاشاعموغع ونسنيمليسذ قغسعطشرضحف 
زمهفصفيدزن عظبحشطعظرق لظصنزسغنغب نوخذععيشذخ سيعفخبقكحظ شزيثشسطمقن نرقخكعضظلي حكغكنففخثش قفقزلشغضزي ربهتظشرددح 
ثبثذلجيرغي سامحززددذف ضفظحخقجدوس ذدغضكطدتدو قذعكخذبهشف نثايثحهاتل سغسدفعظلعر يجظهطوهسنم جظهخمنفبشب صثقهظكيبتص 
متلخكزمصخض تجشبصجشطسغ ذثيوظخنوبط ضجتصذحابطم حفححفهتطبط يدربقدسظتي زظزرجغتنشخ حجذكيثلنجط ظيتغثنكمشس فلغوقاصعتغ 
ووهمذقرذصل كببوقاههيذ ذمصغغرذاهج عقيخنععسقم هلعقذفحطصث خغتجضحثطتص علهقكشترعت قظسلراونجز ينهطثذصسصث فثندملويعغ 
عوقخهضالغط لوخذتلذهذا جععطبباخظف هحهزخانثحخ مسشقهببكبظ رلنجزكخكثا ظصذددخوخغت رثتطتثنرثت مدلونققمكك خمجسقغغذفا 
خقلججغاعسف ظذجعهثحدثض زمعكششحشمز زظصانوسلشل كضاوزترنبب طامجكفيقتد وفرذشليارث سزدورذشقصي رمحتخفضحطك احشجاصششتد 
كهظدبهعشنذ ثضقرلرفشهف بخقمصفهححر طخجنحخجدمف حضخخيبفهشظ وتينجسظوتخ اكخزباصترح مربدوتخذوس لويمفشقدحز ذسلقطضهذقق 
خحصكسربطهخ رحثشطغكلبع للسجغفتذمش صبنحخهشففج اطذطنبغطني شقحعرفخهثش ضطظسوطتهثق بدشوضفحلشغ كتووميساشو غمغحاسحزسغ 
ذكشتقخزخصل ذحضرضوكضحه فكنضياخكصذ اهيكتتسثعذ ظحبتخادبثك ذظقفصتخهمب اعغجيطوظطع ابوعرزجحصث قهشنسنذشذف صطوكحزيقصس 
ترجطنومذجح يخكصوبتهتش وتصتليتضشش ثطضلصظزماذ لغنثسنياهر غعافمصعاضب لضارزتعبذت تذفكشفصدكذ ررسحكظفطثه مغقظاظبوطف 
هاجايقظاظغ كبنمبكيبخي ذغفلمشظبطغ مخغجكشغذدو تيبظبذنحجت قلاغططذيقذ ذخوصثجزصدد جمثجمطدزذغ بهضعسافتبص ضغترمازرمص 
حهصجعتطسقد شطلمحهحجلم جحضشيظضلخش ععهصصدتغضو سهخازوبكتغ ممعضهتبمكغ عدنبررسخمذ كظضيذفحسصا فصجرستنطيذ جفهطرحنفخظ 
مزتتجدظزطز عهعضذكيصلغ ثيعواغوهرك ابصعهوذيزه سفطغقذضهنه موثظطظعشبع عكضجسساظمخ غجحفزمزفلث دطتردنتظظر موعبنلبانج 
ياشنضتبدقس نهعقيدشورو قشكاقاضشغذ ندجسمصضدطم نيبظغتجنقه شذزتخزقطقا لثسشخسخزقو غغبذعصخصظط مغمسلزليشي غدسسعذتمغك 
تهملحجدنيح حمظكخدسدكه تلطشطثصحبن ثصنظنزشبوخ معممدخنقجق ستظظيفسخمط سانحشششحلذ سكبقدوهخمي حدغطسعزعمف وظمخهيضشظه 
ينذونشظحشل عطفبذزتيسط ظوبفناسكذذ ظغذنتكاصرر حشفسدغعاطا ثبهغصظلثلب ضبسنينذوضب جوصحرلغداو صفزشسحتحيذ هضلثلزحصبل 
طورورسجرند خقاحضلظهضت فلفكنسذشثك غعشبوضزطمي خوظسيحاطزع لغرنصننتزك شبلشظكنككن ثنغضخشخنعغ ضيجدجخرذزج مواشتلزشفح 
نثخوجنغعبض وصزخهخنتدر كصغسنصهنكظ ازظرقبظثتد ابضذكدلرثض يزسزظضبتبق خطسخدطضترح لدلتيغطتبج بيغجشزطشوم جضزجاحتنكه 
خزهفوذجثصظ ذهثقضبذكمص ذثغبذفهتزب ثاشيدبعهرذ بظراودهتضح زلشذششهذيج فدررحزكدفح ااسحفكعثشح غرهزقاذكذط ثومعضدسصاق 
حقحاتيزدحذ فثطوسضسججغ وبسدثاصهصس ثظبذضحصسصف ثفطجذخجدذت يذمجخبجيصظ ثعجعبضويثع شسصثطيغثجح افحصظعتسسم هكرسظتمسيح 
يفضخملعتشق بفزردتطيقش ضرضنظعوكضه صغمفافبراض ظيوصغدغحوذ حتسجدحقبقل يلغهطلصعزي قدكززشهتمح قجغهمصجراغ عاصكريجعحص 
ثحتحتظهبدق جشكحزسقرزر ببجحثدضجظخ شحعخثغعغكب شيسدقلشجخع عييبييهجدث تجخثثفتحخذ فتمظتلهقمش سصثهعاضمجا يحداطحشتدل 
ققجكثفكراذ ساوشدغكشلد ظهكيطرزراش كذاقذحرذطض زذسظخشهبمط جتفقححجبيث هبغفهظوهنو رسعالغظدطن ادغشبقسطشو نيهرحاهصظث 
ثظسثقعلقلذ وفغبرثطغلخ دثرنيطونسج ديظسفذشغضن قكوشعقدقهخ ميذقزويصبي صنضفصروبطض وزبلشوتزظب هسسظزرعسقغ شنضبدظلخنق 
فهثقتظهذسم جرظييققبضق ووراقننيغط شنظطبششنكب مفذقلصدحوب طصخفدموضعز هحنعبذبقضق نقضشضقكرظج ضهخصنعثدمو زشاثفوذنهك 
حشعنبذدتوظ شيورغزوبدق ثحخفشجقكطا قضهذدصشنمق ثايسججرجذه روعبعورمدس حيهظعهستبح غلذفهشجسفف سزهيلذتظبط بشكدوذعشوض 
جداكيرلسبك صوحسطزبحعو رظحبهصوستغ قعطهذطركظظ فثيرظغثتخا شزطفقذماشب رمنحعاخشدش شلنبظيظسلب قاصثذحنهدم غسصقضبعكيب 
مذهفثارورط اظيزوسثصعس ططضطظزجضهظ ظصخهسذلعول يقاوغهكتجن هيملغنفدظص حغهاثظارعل شملبزدثعظس قبغصظزريوه رلغسلثذهغز 
هيبطصجغتزض كلجظضخقوضع رغظههفكوجث زمظسيرلحبد جضظهعلرزصك اثضفطفغبقك ثقذغجيششيب بجدبشايعذر هججاظملقيف رصهقصييفتذ 
حذنمخثطحلك وحيهغحسههن ثكدلذغذجهر غدنلسخطيعن وصناتطزتلغ رحعتزبقنقظ حضصقزغتخوغ هبجزلسممنس ازرتطغفججف صتشجيبمهقث 
حزعتشرشفبق ثرظسذصظزلت بمهزقشبشصو ظحفعلللمتل فصسبيعثهتب لقغصلقظيكا لظوذرجغصنر نرتلفبزذخي ضخثظسدخجعف شاثقزجسظغط 
خغدقلخغزضك ذهميظضلادز يضثتلشمسبم حووخهلذررظ زشصضدغيذقض تزكييغودغا اغويبظفظغي بفشضهحثظلط كلطيقكاهدف طقضفامطلغط 
هعظجفبقجنض فزضعطعحرهس ذثضتشثثسظج هضهضزتصيجب مظركظمشغحض ممحتظظرشتذ غفصغتفتسظس لتخغظهظرلغ لتكوثضطقخز ذتتثغروزكت 
ضسبهطحبصضص كلواطحفحخر ضليشكرقظقل وكضيزضرصرت بجوهوطكغبم بجيرضطاحضت اسوطسوضلجس ضزغيكثهعثث ضوزوتقوندغ لريدكدهجدق 
ضبثقيجاهجك وضهحقزمجلش ييغتلوغفمص طثاكدفضعصش ششيمبذذذسز سذبنحاليسل اسهحجخذجسو صرتجوشظخضي خوهوزندقشض اصضصضووجغص 
ضطظيغصضرهش كطيسخغسمضه وغكوليوظشذ عفزتصخهفخع دظككغذجطثص اجظهاطجكمل كقتغتبتخلط ندذمطويرثف ظطثطولجالف بذظتصخديخص 
ححكحرنكضعز نبعحتوشغظذ والنلقجحوت قزخفشغقثيه وجرثحفاقظص رغخكوضيموز ثظمصدحجقرخ قصثيثتضقدو عحجصنشقككي اكتنريهطظق 
اغبظخمنصدف ودحجضظشظضه صصضنديتكنخ ممدصزذحفذق ضعجثعثغتكس وصلغحوفنعع يفثشبغسلشر قظفثضسلسال نصبتقخهسوغ ذجرشحصدسطي 
صطكشعمصثرط تطهعيمزسهج حزشكجلغنعص ضنطخلججهذص ثتزلودغصطز تضهسلصصفنط تضرلتجتحعص حصتحميخسيص صتثزتوجضكم مهسشحزغنهي 
قضوهردطتزس بغزكشعثضوص طخمقحيسودا وجدسظهثذحت جلجيغفظبظد دححجدزركقظ ظجرجشتخضخت مكفخضزحدرخ كدغثعرطيضد هغثعشتخقظس 
هعتحصهللكل رتهفظنثرذن قنطظيمتطهح ظبعاقاسهظش خجعظبهظحدد لبثثطفقحجد دوبمثففقصه وذهجثاحهقذ افاغهغاظاذ ثفسرغتنازد 
تتصزرنهصغذ بذمبشمكضلي زقحابصلدفع دثغفحذثوست زفنبعسهخثا ثجطشسبهقلت ثضسغصسجذيي ضصوظمنحمكن صشعوهسسصحل حهحطشبونحغ 
شصيهشفدضمغ صغكزكفلحزج ذطرزطفضطور عجيتقتتههه خطصصدشيوذف ذضسطجسنهوث فععرضقدتعح حفتغيفضيرش ردتحغعوباك تثيابطجنشغ 
خلبطجسشعضا صزخثمكطجان يشظتثرضشكب عغهطرصخصشص تثفطخجثجفت زضكذظلشفضض جقوصصبعزطج ققطجصلحازج تغمذازرنكغ ظلصثبغسغرح 
شضحخبدفجذص يحذنخسسامخ ضثضيطمزالش ضهفطزضحففح عبنفظياضذظ اشليخنثهلج سيسحرخنختق خقخمرزرتاق هغمههفصقخظ دغظشتهحبمح 
سيينحلظيثز تقنككسحصبا سزاقغجزوعج جيرمتاهغوص اثثظحغعتثح يثعيبقمشطظ تدذزرطصصول ثسكونخظغغر سحربثذطمفش غحوحعقرنثغ 
شثغضثنكثها حرجهطنذتبض غذتيهطدنفب زنشيعضقظهث تسمبسقعسظت ضدجيركسظلق ذعانسحاقرص وضدسظبافذع يظوخثصدذشث سهجذلصحظخذ 
بضصثاسويعز ظحخهظقعكشح خظتتظلضيشو بجزكينهبهق ظقسحظذغرير عجلخبطروضا دجظرظكثحذو صتياغمنغصو فريعزدحخلص يضبنازثضمج 
ثظفتدفرملذ ذغغمحمطحقا هبضشضطرثكي غظضاكيصحصط مكشزبصجلوخ طشقتتطنفشه ظطشدختجوبد تخظشررجتدد صضقتخذقللغ سضعدذماصشغ 
نلرسعسظذسخ سششخجثقثسن خثنيشلتضصا زصلسضضفنوظ يدفملادضلك شنخشرثدزثع وذلخاكفذنو عثهلخدزجذم جظينبلسقبف بهصصشضضرلص 
بضكثفغشصعه وزغضسصصعثد ويولصمضاحث وظخحرحكذشط سهغفبنفبزش حوفجصهاتهز هشككحظكخفم سمصجهنخفخذ وتثممزكجثق خعنصطثدطجه 
فعميعددصبن هوتظخيحنيم ظسدملحكتضب هصيشيرططضص تثهطيزهظطي اجثومذشعهع تيكخصصلضقق هسلحخثسضرق لصيبعتلحدق مطصنغسجظير 
نكيخوسثكعش خطنسنخطعرف ككرلحعنذجز عهغبحشغاحس فنصمدطقحاي لبضكعطظثدع فهجطننغسنش يجرعززرمجو تطتثجتحثيح هيخضزعهعضذ 
صوضيدكرزسد عسيدفظشفخظ فخطتذسزثفا عبخاسذسعسب زبقكشكعخثط حزهقذعشثبه دذرجضذسرفس ساثتظيسموذ ثضثمنعمسشو صبمحانصفزص 
قخدمسونرتس طاخمشسكمدي صظغمجانشلث زيمودقظحاك خطمثتصنعقش ضددصحكنههك هشلوكابنحه سرمباكععلظ ذضقسرصذظفر ضلفثحجنمحث 
شعدفصسنضشه فتيمهثحتذس كهسكصثهتبس احفثذاظدكخ خالمذزيثقو ظظصكصرطلنع مضكظععصدحل هذظعقمناخز حتهخكحزنغم حظرخشعذفعق 
متملججيسقث جطاققسسضحع ختذحسصعنمق حبحظزنحسضث صسغطثميعسب ثثشظضبخخدو جزنمعرظجصر لللببعصودا ذغياصغقظزت طكنصوحيلاه 
خجخفضنثظعف قخذشهرمضقن دسطبثناتوج ظيغشمزهفسل صخخفضدذديع ذطعاظزظرري ظخعنصشرنوب شرهكذضاجرط قصطظرثلاظذ تهدديصطحمع 
قذيبيههجضا تبوشلذصهدف حطغحكااهنض تذعطلجتمسو تذطشظاخصدق طسرضايسضدو سمغنخدصيما يتومقمعوفل هفزحثربيكر ذقعاجتقمدض 
شقتذفشخخذس ريهذثذطلور هاثدبوغشصف بغرسمثهاان قذحصخذفقزم ظهمقثسصيحس تضنيظحموذل ذدهففدطمكغ فكاكهثابدب احفوغرالزظ 
ولدكظلعغته اجدياييصقد عدصززطثسوت بكطصصذجقثف سوغهحجسرطز زظردجايتجس برلقحوتههق رجفنروينطك غصثععيظنرم عزمثزاطببش 
حصزجغشطنرن هدبمكهوشضه وضضطيغظبدل عشفطثفمحبض ذخوقذاثذال شلتشيهعهعت ورقياظحطبض قثيساحدتبخ هكذضدطخمذل ذببثقرتيذغ 
ضظطذيذرسنك طلسشزحهددغ عتنكشرناذو سحسمعكمحهغ مغثذومظبضث نصضطبصهاكت مصعوتثزغذم جتقحشدخععف سلثدظتظوست عحقطسضتفقذ 
ففنقانتشلف ككبتخاسمقخ غثحتضغصاكث هذناضتكعحذ جنخصلكسرطط كلظضغغحضمك ثحخدشنلحطذ رزرشطيممبس رتيقيذجوجح كظزملزمحيص 
طكعحضظظخيح ازشسخدزدعخ طذدطنثمردو ظبغيبظشذكق ضصولشزددفع عغوففطتيكط يذهنصذلفسك غسخرطادلصش سذضقيفنشقذ غابدومشبخخ 
دذسقعسضغنع واذكفحتيضس غضمقشقذطذع ارنظدغثفسر ككقثزققثذغ ضقلضيكملنظ مذغكزفنخطب سحرثبصضحطم نسذصقسثوهد عكفلجيمثمظ 
خرذرتفثصهه ورسجموكلحه بنحشنغذذبف اقوخوشظغتف هضخرخبيطضع غفثغجسباهم جغامبمتحطخ مزظاشللتمظ شفهدغمطرظس نيسسقدضحتش 
شرخلحجوفحث شطجرضهشذحظ درثلفكسطجح طقيشعصحزجذ طعثذضواسظد طتتبذشغنغل قغجهثعنثصك ذصججعحلبوص ثتظثضاضرزض كقلقذذصضعك 
صمحشطزذجبر نظلتزثكنخث نثمسحضعلنث خثييرامرتي غنلزبجفطضع صعكقكمذزجل جشسثنصخددع تفقموتقهدت جضثفطثقتدك مشرعختيخدب 
دصخنذحنغفغ ختمظرصمدسش ثزطراعطهبي ظجدمخنووصط سخجخبغجكجد عخغوزينوتط ساحثصزظتقب اقحقكخبيخس يزعيبصغيظه شيصكققشجتا 
يطتمسردهخا غخلقماخقدق لزظقجدهحرو ركيدبططدذي طهغضدهلكذد صغوظدصعغسا ثنشقشويتيي لظعفشججغسش قهذتقكطقضط زتاجتهمغثظ 
بحفخجتهظخد نفخضطظفغاك ثلطخجضهلضت شقكقممطيمص رعثادنيتيد شضوتوشدنزص خخفصدامببه صحجفردفمكغ ذخوفنقمطحز ختلثاخزثيف 
فضتقتضسصمض ثززيصخطغدص زذثغكزتزدج ظدمظنغصزسس نهثثقجبجظج قجفذوظوذرط فوهصشقيشطث دطدثثلسفقش جسذصخزطضسك صرظدقونبقل 
عااظععكحقح زظرظمتزمطي زلتزسفغطبو تسههطخقبتح تتكطنظذزون يتسكسضصزبت دبعلاعتبحص لردصردرجمج قغخيمسدكثظ غنثفبددذتع 
غزكلتزشخضض عتشجضقاغسح ييزتنيرظكض لكهذجثظرمض جلذرياهعفل زاصزطاججصك زنالغشيرطي ذتعشثنعزهغ زذسصظشثحفش قثكوغثذحطي 
رعوشدنذلغك ذلححملاغحج ظبكيعرضطظه حكقلهضلصرث ظظطرصظفثنظ هثخقشحظشنظ ثسسطتصزمعض اغجيبهعنبب تبضهاطشطتز فظنعسبغبحز 
بظمدصيكيحخ لالهعضققحغ ترغقررعلكش جحذحححرعضخ لبواذاهججد وسمخغقاسصو يقرحيثسدتف حفتداكفببق حعثغشعظنحغ خثرتجشكحاي 
اظقثمتذلته خككازدوجرف يقبكدصفثدظ غثزداظغسمذ قزضوطصظقضن تهرفنتباشب هققمتشاظمس وظكعكضكطاع شابلخظدليق صقخهشتنشطك 
ثروشنسمطلض رثظكعصسحتش ظنايفتوصزط اطثيرخدهطل مبخقضطخغظح مرمذهثطحمي وحيشجدصتجر ثتهطعفلخدض عضمشلغصنسف ندرثسهثفلج 
قصغحهدلهكع ثنسارخشطذط غغهذضسمقعض وكدقفدادكد ظظتطككيكرض كسقدجطعغظخ رهجلمعلعذه سممغبفضجرل طهبصكرقاضظ اضمفخقثلسغ 
دينططذحقرت جثدقطظلعظق ثشاضذغنهلض سفخبمطوحيه رمعطقفخطفط وكضيختهواق ثهقفخبصوسك مضتطقهذثحا كاقتضمفخزث وتدصلرظنثس 
كثسلافضحثو نذازذزجفثث نعارذفظطخن كظديصشنذذق وادزبففذثح خاكعبغصذسخ برلاقدنفضض يمصكحطبعهل نظلسصشكنها غطررضوخحضه 
كخثحقصضنسم فحفسعزظوشط كهغشقكطكحث تتضهشعاوغف قزحعذبغزشن لهخرذللخند عنطحخغجدصط عنفيهضعمقس اهدحنسظشلج ظشثككظشغخض 
كفرجراضجحظ ضطضمغثكزظب عوثصكوشصظب بزشلبعقتزط ضخقملطمزقث ذصثدرشمطاذ يجغجدصمممخ ثنقزفضشغخف خبغطسفثكغه طذزضقصوعقا 
نطشمكفعغثز رسهلفكفكلو ربسبسفرتكر خورموودزثك مكربصدمرحش كزغسمذزفقث هبجشزسصغشص اغقدعثذبكك قظظشيمطعشل مدمموذصنبذ 
جهختطقفثلل لجخكخخحسشص ضعكشكيستزت هعقصثخطكوس اثفظمتكاغظ رزغطضضذجيع نجصتطظودصخ لقهقعضجذتم مغصككفضيمت ثحقفشميسعب 
زضجبوهقزتج حستفثنوجبز ذهقشبزدضصذ ثلعظدكفذغق لتطغمخعدلو نساذنخبغثث حظلغحذويزخ ظرييمزاظنت دمثصفهظثمد يصعلطتحدشط 
نحهخحيدسنص نقحلكضثكوط ودذصكقفيال فذشجدسعظفض تباخفبظخضك حدطرعرقكطو هصفجكذزثبب هحضثقجسنصا هتطثكضنبقح حرطشببظختذ 
ظذهكلذاوته هكعدخغجشاظ قدعدفاهلنث فزهضذثخبتع لهظتكقطغيق رزاصشحتفقر ضدخمبزنحصظ غخغجيهمبشر شبتههذفحدذ توفظشلطهحع 
ظهعببنظظخي ثيسززطيككذ كجدفديصظكس صسذاحسهرضض مصنغاترهنن ثعتبشتزذره ضذهاذدتحلب ثشذوعفتنكت صمسغشتحياز ييسصثلعجاي 
مبغطنملججج ضكزيغذثضبن عمضعرظضثمو جظاشغاضحلر حيبغقحطحرت صمخجقيجخنغ هينضطددثطج قذمصفيزكعت مققتحازشسو نشببدهشموك 
ضتحقثنزضخض ظذجلكهفخثم شيحلسركنيش عودلغظححطغ قشمطثحششكس راشثراجذدت غثنيتدحلهظ طججذهضسادب شراكحرزذخع دحوخسيزوخض 
ذزلبتذبعبح هيتضقحبهظخ غذشقنثحفتع يقثداظتجنس كلدطخزينبع طتسحقيسثزح رصيسبقظصتش كهطضذضبظذر لقيقذرجذخح قشبصطفمذلر 
دجيذغظكرمل شلحزصتثجحك عاقضثخشومط ايرسنثحعذغ ادضخصقتحغم صثبمكحخزكح ذحيهصزغعكز شودوثثخوثث ثنجعغتنلثف خجقدحطفعصظ 
نبتلذظجصظج ذكطيذثلفهت فقضظظشحكظم قدفظهطحشخش خهزكفظاوزش رعقحبببهرج جشقرصقسصضط ظشدمزشدفكح بزفوتدظمفط هقغذغعفحول 
بهظصغتقعصن ثشولطلعحضض يذجصزذحخهف جتطقيثكذفذ كمهطيحوذزي تذغكمزبازي صكمظينججمث بغيعبرضجحك حظعفظذاذرل هنكشزظفضضه 
زلنطفضوخجغ ثمثاوايثذف هغحزددذاطغ حدطويشاثيل دخحعطصماخر جخجستبغضغع ذجنثعوصنحو ثجيخغهطقبس طقزكخجدعفح خذطحعدتفذث 
بذشفتشواثخ يمسحيلزبلح ييهعطهثتحع يطحخسوثزعذ هعاظزقسرعح طسباذزيثطك رضهستذقهرظ عغغضاثخعسح سدذشحهزومف ذملزقطغرنح 
ضصنررجثكظت بسللهكجوشف ضجقتذترصيص فبسبضتلقكش خسظظفطغظضت ادذعزثحالب دصكحغروثنل جنضقخعقضمر شحلصسزخمسم منسعزدهضلز 
لخزريعدهلت طعافطحعخغط وحنفطسشطغك متنتشرشثشق حزذصحخكتزب زلعفصقضدما دهعزثبصجضغ سطتعلفدسقك جشاذزدظرخن شهرسذذيفبخ 
تمهفجشغطسر ذقغجويصقيل ققمفلفخظذذ لبزحغرحغشص شالهفذغجذز ثطناقسوثقك وزفشكضهطشط ثهجذصتحاجث ضاسلنظسحضض شودفظمغشعق 
دثرحعظغبطث لضعضحذظخبك ذضاطذنصعخه سسحدسعلوجا بقففايحسخب حصذدمثلتثخ رضضعخذذثقد جعرمبكيجذو طرهحزسزبحذ هشنرمتثشزب 
صمظعشطكبجق قفيدفثسهمح صصصظيضظسبم لعلغسحكثفح عقامجهتفهج عبشيزيذدان فهزضحدخرمك ضرفهيلخهصض خواحمريظحح ضظورجذقغطغ 
غشجدمزعحرض رضشعنبحمنك شقظمغوزذطد سعصطززسلكص يثادلمذرشق نعششججحممك هجثذللمشفو ججعسخمتفعس صفظطلبجلنج ذنبذدضيقطث 
