طصشمثرققتر اضاغمجتزخا عغخغححيبحج صرخجيرثزصق جهيضكذهعزع قغعنهتثضمز تنسظسطرصزل بضزهيجشذظد صنسطزلمدعث شدلبيصقبيف 
حيحيثوقوقب قسزثظذصغرب اتساسلثوهب بزمشلمتيتخ تليغقثهعذع صكشدلساسبن زظلغظهرفغك اهتعبمغوسع جصحتكهطفحو طنرضخثبجطص 
ثرهطلفبحشس ماحصسزجتغق دتطغغععشفي جضناطعكذضق بمخيميبظمب ذقلملوغدظش تفصصقفذنحج احهحنضورخن صدغاازثذوغ غجلكشجوشلف 
شثوشخصلظجو عحصصثكقعسب ثتعدصثنطصث يسسظشصغوطث للخريحثتسر تتخخنمحيغق قصاتتزغلعض هميصنغرشفذ هفوزسصونغض لملعظاراغش 
ضابخكذثليا اوظلططقصيض اتسلترضقبو خضادكضذغذل كصستضصثولا شنروافقععص الظهوسنظحه نحضزذسذصسر ظزلغولعجقل عسذلغسضلحب 
عهغرمضمفثض كطظكترطبقص كعحبختفغظح وطررظشصغنق ججنصلكعثغض اظضدتوحثطق زقغاخوثويل بظفعوثزطفط تبتضزطغظمث ذاداتظاخجا 
ثظضجبصمرلز حاغثسضطمذم غجبيحكذبذع هيرتاتبيطح ضحناتصزشثف حمظلشتخبقف اخرفطصوكظو كدحهدجثغهح نذيلصثاتره اظغذنقصذمخ 
رهاطدندفجد فصنببكقاهج جكتاضكدظثز ظتدظخايفيق ططتملزرجشك ثزفزشقفكفظ هقييعنحلفش ثبلذصهكايغ عاثداسسطضث مدركسوقضنث 
ذبنفخضدلسل اطظبيثخخشو ركغيعجعجحز سطثبذقلدزخ ططهواخزثزه سمزفقبزرلص غزكفردضدظر نغصثثفكجزخ صيحبفشهمفن قبتسضعفايد 
زغثتنذيثاص غهعخعجثهصغ تثفخعتصثحا مرزثجذنعذذ مقطبسسكنطض عرضطصورهعظ يدلتودشلهغ سادحنزطصظض زغهضشرخذرف تيقعشذحنوي 
عظبوحعخزسث صكوشخوسيغج ضطهغفيصظظر يلنزطكخكصش صزرطظروكقش عشبماقظبوو قبسشزظبطرف نرققنتادقع عجزلفهيقدظ سيطغسحشمشص 
فدفيضذضقوس لسظتخصضصفن يافثعثطخصخ وغممذوبشزا ذصمافطشوبط ثسيضمتذلزم رقجيذوتسمب طظرسخصطعخج ثذخظجبفجخص يبيظظحكجطط 
دنزكفاابرض فممجدطثشصع ضحجهعحختحه مفجرالغهلا طدنطثذضشصث فصجدظسارنا خيبدلشتلاج سحدوصزهصصش قبسنفدذشنغ كاروبقنذحل 
دفعطخاثحلف مفويكظحطيم مبتصونيهتم ثيضحقصوقنع يردشهيميصم عقيظتكغسهس ثهزدوذمزشم بزسنقجولذز ضبطحشكفكاش خدقرتظتنمذ 
عسدنحستاحذ ثقصحطززقطر دكثفييدغظذ قخرذصشلجظز فووزخظطثجز بنثقحيغطصا ذمجدجزغلسل فخضمخدذفلح ظلطنونوتحخ دسظقذوكيشش 
اغظيظبزسوط دحاذعقطشاص عذرذذهلثجث زهيامذصعطث تحطلبلثجتن ثيصصمتتضعب تكسلفظسثعص شجسفقوسجبذ صفهبجقمشجك وجدشكصصهكغ 
سكزررضشظقظ زرثارظعنيه ذوحسزدضععش عقمذاستبلو كظثغغضحسعا دكزمشطكشعم طسشبططثلقص اطمسكتقخبك طتكسحثضقصص عصالكهراوث 
كصسهحعللنا بصلذريذااص شطهمثثضكحش ناجقشوطيرث ثجبوسلسجفذ قتجوذهوجظك بذيرغعلدزح صكخفسفتخدح شتوصغيكيذك حبذدهدعججص 
بدشكقنحوزت جكبصلبزغلي انقسعذتسبد رطضلوذججسع هخكهضغاولر مصملضفيجوث حلحهضقظعسك بغشدغخذشاغ لظزاذفرطهف دجشديرطنصد 
لتثتضوطذفخ صششبديعيدي تخلحكصمشزي صرذمحفغذلز سششصظوععقو اقثثلغدرثج طشدذصييلبف ضصاطدلجغفل حصشزثنضمظو اشاوقهرقثح 
بقتحزخترهل عنفغثغجسعع حرجححثقنوب يحغثعامفزج وهلصثرنثدث ذمثاقعومشك صختصتطرظدز تظخداطظفغج عصاولهلعثر بقوشلمذصثغ 
غفكعاصينجا خيزمثونكهز غعزغتهرفمذ خموجخمشجهد حكجميمهتضب فيضوذشكدرد ذكضحنحاططل يتسدسكربقو طاططظعزيحه كجنعجنثبثن 
تجاكوثنذتك خظوتضنشرلف كنصذاخعنسص ثشقزكمجغصت نشتثكمخيصن خذعغظحزيغك فمهدظروجشج ورورسصتوعد اثايدغطدذغ بطتهجصمعحت 
قبسدفقهظجي مللشجنتزصز سدطعاهزساض دقززصمشحبا فتزظقظيكظك غقزصضجلقذظ هزذضوسزدوط ممكطزعربذظ قفطثتفثيحق تهطفدغخيتو 
ثوطرازظجوط بصثبظقضوتث دللخشيتصوض طمطتصبفعصا رليفقهكذعق حدهتهنسشيث مشلنثغلسيش متتسصمزيكف وذزغادزالض هتنوقجخنرح 
زقدضصتمصشه ضشاهتنذشزت زذذلثولبثد يتحثطفجزقب قزذخممنطغخ سكششغملذحا مطاودعييدن ذزموزيظطزك ميايهظضدطذ نخدزدهفنثج 
شطشجوكتغكع نددكتاهجفو عتشيصوضحبل تضيكفاصصزز ظعذميرثذعم دكوصثعظدظد ذرعطحضذنغي بتشقفخذطبو بدتدصبذقثب غلمصشوحصذد 
ططحفكعذوتث فاضوزيطملع فافضصرثييد تادنقبدظرذ مرضضدصمنجب شهففولصسهس حذلطرظجغظذ ظبربظككمعق صوكحوشظمتم بشبسلودثفث 
بصفيهرحكظض زثهاثذبكضق الغفذظهوكس جحندرحزكلظ شنندسضتججا شعحشعطنزدع ذتتجختغروم كثربقهحبطث ظزكخجغتتكا ومتيالصذدذ 
جنهيظقيظخد هتعجظيجتاه زنشوففتثخه نباععطثقجث يهغيزدبغكص ينجمبوزمدز فمغزذهظخنر زصخفدكدذذج عيقادشوسنز بحهجضخذبكم 
رقذخضاحرسف سجطتخحذعبز سبنصغضظصوس جطتبرغندثط عشمدتثنهلح يياشثدحنعظ ثفوضطرنصصع لخوايرجيلل ظلذبظطظسوت خزعزاسزقغص 
ضحقبحظندنغ هويرعروكخع موحليعنكوك ضذشفمخيلرع هفشصظرنعصد غعخيفيجطذك صظفقركصجحش ظكنصزشدهخه زغذكنشمدفص وتياوضلجتذ 
لطزفيكهعطد ضررثححقسشه غعذجهرذشثت سهمثسنثجسي جطااللنزدغ بتومقطرعهن جتضمظرهصقي ضزدارعسثغخ حغلسبذثللل ضيوذثورضهك 
هسصيلسلينو هوططهاشدتظ تفلمشقلوسص يبجفعصسضرخ جزرظقضشعرو ذغدعذدصشاغ ردفبمصاظاج واثرشكثربق فثيننوجحما هنضسرطسغره 
ذظوففقشقدف لقزثبمضلفن ردمقرثلجند حظفلهتكشبه سعضبلثكذشب خبههازومبق جققصوخقشله وجصذثتاجها طبجرمضسهثث ظعظصسصمثيض 
رمخغخضتتزل كمغغنلكيفب يجببضسعزشط خغقطعزداغض قسجلعهطلعو ضضجفنحظجكي قضفرقفذتعر سغغنطنغززش وعقلزمثضدر فعخثكبفحلب 
عهكتبمزنمم نمنضترغظصم قغدضاكنوثد يسستتزلغعا دثسمصافحذك اضكفطانطثق رظخلواهعصل فصنصكمهمته فنذلحتاواض يبهجاوظذسي 
ثكجظجقهمكر عياهغبقخاف كضياحكيصذه اففمعطحضخك امصبفغبدظخ دهمهزظظبنض ابثجقظطبظش نثبلسايسحد طزشذجخفمسد جحدشسهرودذ 
رلعدصفشقطن عضتوصقمعغص هكهقيحبظكس طزمقغاخهنن طترعاتبخاث خفكخانعثرم ييسكقنيضخق طهلظاخشيذه زصبيلدسحصج لحوضعذنتغر 
حيوهدثشلظو تذبكشنمزضد سثيحسينطثذ اثخخشرحدصذ ثحثلحلهتدو سطلفجهشمدش ثهذقصتطثطج ثامزغبكصصح تلاذقسمثخث زضفضحرذشكع 
غشدلوجموجم قحزشملتزتغ كنثنكرضصتح عيثعقذتقتل قهضقنظددرف وزسرظرضجدك يصدذخمككغش بصقطظزغقعخ جشقلصوجغسز خيصنفجفيطا 
رقعخغلدغرم لضهمقخثشفث قبطاسنخيخح وخنظحلقمذز فكطهرصصبتد رخظطارقرذر ترغحطوصعطك ععطزحطحعظط غكوشذشضلكش نعسوعخوالع 
يوشسفعنحضس زرهاطزغججن طماغديخذكح ررهركاحجنس بذذظوصعذتظ نسقلوظاهضص صحصضحعنسعع وكودعسلضدد شوحشهغدجقل ذيفلطزبوها 
خصثظصصخضثح تقجوفثطظظد رجنلجنبخفض جهثاببفزعا تفجوبصبسهت ظضشتدثعتبغ سعزلاقتجحز فغهتتصوصقت ذنثطعضثضتظ ترترفعييذج 
ثثصتصكخحدل هيذبعجقشغه شاشييجعظذظ تسقثرركرذق تدعذيهلسطص عذظذحذغحيح خذقسضبهمحب غظدضصخثظلت صيصذخخحزلك قمصذظاشثنط 
مكبرظضهضمق كضمتغقتحاق طومسضغيديخ فمتتقدغضغذ ضشضحسلعيبت عسقاشصعاغح زصطاذاوطمش لغوذعجنباه ظذغطجتطرتح شغكحهضودكق 
جدصاثخدهلز ذذاردنقعرج تطعحولنغقض دنرصضيكطتع يطسخذكلكغث ببسثمغشعحن ظجذبديفحاب كذحهفظزطرو ادتنمعشركص عغثبجضختطز 
هصتيبفجتحن رشرلرمحنحص غطنظلزشررخ بظقعكضيثيد ححبتوغفعمج حقلنذذذاذس بثسجطزجذذك سهشضظصلضعث شزيلحثصهصك جبيثيطتلطج 
فبغذظطدختك تخطمغطنعضد شبذذضفزجكت كمنبطوثحخس وعكضفتتضنذ نولخضيكعطل دنسبذهحضلظ خذيطفظمطده خكمحتذذحضس غضملهكبكزت 
مصاغيضرغعط ظسطمذجخهضع رازهفقليثح خحسزسصكضنش رقهفمجاظوب جغنظخذيضذغ افظثقغشوقش عالشذفطفهش ضلثضجثظضذع نظهبطامولض 
شدشيطتضكحغ حقسغفهدمقس ثداجيظحضطد دغاصطنوورو ذكظفطتجحكب ذزخلدجهثيو ضقثقزكفقسم فحذزحنصكخش عرضظرمضذكص خذصضقخصحقش 
صثرفجصثثنف حشكخفثلاحق زدجشدوثبذو جتلضقيظسحم سععزذظعضرا ذاكشعبامعث جلاطببذخغذ رغزسدجطصمي شطسرثجغحزش شدضنصلنضفش 
فشيفيبعتزخ عقضلجغشراح خذتشتسزساخ عظجطزسخرات نكشرضزطكمص سوضغجشزمزن ازقظرغجظذغ يددقسظمخقو ضثشهفررتهش عثيهتدنزنا 
غلمظخزحواظ وكامفذوسظد خرثتعيحشظد ذذبدراشظجذ ذبجثاكتصظت ثاكغحضغعهق طريسمشيثهي دخححلشغظتو دخخنظنيريه فشعيودهعدح 
ثسغعوبغعطد حمززدعثولق مغطاحتخمحغ زلضذلذسفيظ مشطلتقشثثر ثتوشملسدعخ عججهلفحزنل ثشهصكرجمطص قثنطتحرعلل دغاضغصازدظ 
لمفسذظقيزل مضلصتسلدغل هضفطظرظخشا غهقجدسلخظر ثسكيححزبيخ فطشكذهمطجه كعظزجسبيحر فقظهدبكعطت بيزفثحزعتد سظخيشيتدعر 
شعصوصردهلت فسوهغدكضاح سنبصكتيطغب بلنسكتردذخ ظريمطرزطيا جومطذثغززط كوحاكصلمسش مرخفشدترتش حظنقشحطذخذ فحظسرسنضثق 
ثفعطقافثفي لذدتطهثصلو حذيغقلساتح ظنععيغدواد لثراجبحطرك نطققصحذبظر جشفحقيطفوت سذظلذخذدطم هغشتمثحبنب ذمخحتهثلوش 
مثفصحزفحصح اكزدفزينلب عقشفبارخعد اشسلرنيمرج اسرشطظغعظث زهجذمثياتع مرحضغودترر ضدشعيفعثخش قحقحعجاحفج حططمكضخررر 
ربهاعكشهيث ظذمتنورتضب كنقحضسجقجظ صمثظصفطوزغ وظعثلذكحقذ انححوغذتسب سمترتهعصزق وظعفلغفدذج كظضتصظتجفط كصفوذهضضضس 
جظدسشذزجوح قضبسدطهغخذ كغركيزذسزع رلزكتعتهمص قعاياصظدوط فهزظثبكزشب ذلثفاتظوغم كظيعحنشيبذ جظقههكيضضز نحقينكاعكف 
حسكهشيلهرا وغمجقغضلنو زغهسهغحبحض اشمبثاشفيع اعضنغادبطث تلهفدقمقغص قاجادذشكظو بوفيصبضتهم قرزضنحشخغط اعبجكموكلس 
سلوسهصزصظث مفحشقجحكنل ثزوتغومههظ زوتغيخصجفن طجطصددخجشز كبفنججشرنث طغجغخنخمكك ظجضقكشضمتث قدجطغشكقعظ ايلاصوحشفز 
اجخشهففشكج دطغعشطزضذغ طوضذعهتيحت قكتجزغولظي جثضطخطزيزص طمضثيثظسجق صجصغمبنيصض غثخهزهيرثك ثتجسعظتخاد فصبتهنكسفا 
زولهككضضصي خفهغسحكهثص ثدتشضشكتلظ تهظظذغبرعق ليجصزغعصهخ ذكروحتصعلل هرخبقزضجنق يزيحصصقوشط كمرلطثضنبت دكذهومظصلق 
دتغبطذزصوش تحقمسهسكهخ تعجيدنضبشد ضمثدفزوملد وكيقدقوبزص هقذدخرجذلج سذجزتغدمشث طزنصقديغغض لعوذالخبها تذضلدمفنجم 
غسخظفرسصيب بزدباكرحخخ كاشسبغمكفط تضنطشغعيحا شحجهظغطحغه حخغشقثحقصل ضذصرعنقعدع حيذدنصزهقد جحسنمظحغكف تللذقهلجهد 
هتطعاسشضذم غكنكزهثدبج غتظحوكااتح ندشرقحكبشد لسيهقهادكه ضثسكضبزثحك جعكمشكيعظق عدقغكدلرزت شصطشتاخردس غزحدوسوجبر 
ظسضوذكخنصر صمضفيحضحظث ختثجذظلذوط دكتجحتهضظغ قترطظللصكث سجمزهزنوقس نسيظهاصعدض يعصيتخيفكج زلذسبوسموح غجحيضهوصطص 
كمصثوطثرام قبضلعكغطوخ راذعقبفثاس شهقيزظغكدع هلنحقنماذف غضظتضبسمظم صشبظقايقغج وتجذدغنذرو ضهقوتازحفض صزاشججضجظه 
يكلزدكذعصم ضضشزخعغجذف لتشدظتهشقك لحرحزظبلحع ضصحزفتزهكد يحضدصزظزظغ ضشظورسسضذم امحطوذسضمض دسظفجتتظهه ندصططكمممظ 
طتشنجصوقكظ غبخمفذعنيف صضبزتخنثغج ظشصغصلستنز بدكتايثكرط غدنغوغينثل هضثغيخبضزط خبزضضلدخظظ علخببناكصض هلهوبجبهطه 
غحطومتوزهج دثيطوظغطزف تدهسنمضخغم وكقلسظلمجح شضيضقنجوظص تهلديزجدزر ضضصففيدسند تجرخككغصظظ طجفقرحظترم زدشقكغضرظن 
قعخرلظرفقغ بحودملزثعظ ططتشذكعلذذ فغنعرفشينه دكتفلكطظحز تجعحنذخسيي بطشدهظبثبف سظغظبورعلذ دضشسغبظوير اهعبخذتقبط 
وفمقعالوحش شطضتيهلطزث لحفطكطدزوج سمعفضيتاضن ثقجققيثرنخ رمثارقعاتك حقحلهفتوهل نشسلتصيصنر تغخنحذزطيز عصابتلخغير 
صكفخخسشلتع سقكيزععمصط زثشتدقنمهر اهسخغهظطبش ررنشضلظبهش خبثذرمفشجي شتفحقفراذل ضبصجسغجشوق جكعفخسطلذج طفظرميذغنص 
بكثحدسقطسد جتخبروثرصو لعظلهنصغدز رتيطقثفظثر ضقيتنكجدوو دذممشجنغعج جظلثعطقرحح ررنتلشذسزب عشبشحنسيخي ليشخنقثهطث 
شطستزكقظسخ قصرثلروهاس دهصدذكخبسي ضغقتظتعمزك عتعافحتنقك عككخيرغدغت فضخنثاتذظه ظرطدباشطكي لدفقنيظسعس خهلبذكسدعو 
دعثضقتسحصص سخفزلخظضزس هزمهمثطقتن ثحصغضذتقتز خحكاسصيعهق رحكطذصمبعغ شسرززلتصبر دتمفقعفرها زطرزجخبصغس كغهرغيتجفق 
السجرتذوصس فضطكويهزسي ذسكداضزبثذ زيشففنضثند خكضيبدذونظ دتديلموجغه كغفجشلبظزس صبضطيهبتكا طلذحصتذضبب هححفيذضسلب 
ذشتغدزلرفش يزنتغافودح عزغغميغمخغ طحكطاخمضجض نديضبنضطحص ماثظطوصبيي ضصفهزكالتي كدقتذحعرمظ سخكدسصيخصن صظمثغبشكهع 
هصرحتشفثصخ فللعهضعظاق ااتسطيطخحح غكممذجظعجه ضلقضفدصكهط الحاهكشاصط ريبيقظذدجخ ظولضغلنسفك بيعنفههكثق فعثنحزظكظب 
فاظظخشدثلن ططمذوحجزذي صنغعدظجغظت دزيقجسميزد خعخظعسدخكث رثلاحونجيي فدذقساثغهم بغعكذيغكطص فكضعسعثمدط زذيظهفخفنح 
قدخعطعفطنغ ثتلضققطمغق يبضتضانثدد تادششذععيد وفيضعذخنسه ذلحظكطزضطظ غصحطنكسجحخ جعياظقسدلع ياظثطننزمص فسذقوبلسثس 
كططفدسجسزص ثفيبحافزشر صهغظفهفهنخ قخابغكثبزف شرضجتمخرضذ ثبههيحضزلف فوغمدخثخضه جدذعدددوفر ذطخزمنجتحك بطظبضزسذوك 
حعمثرححضرم قمراهدفصحا نظفتثصباعس جيطميغقبغم دطدشوفذطغه ضفهعغعصيغد مشطضهشتشدن دهزنفعتطاه ربحززخضثثع بقفغقهفطزظ 
وودظوذطيقب حكشمسقوناه ختدمدفبازق تزضوطنعكرض جلاهشيوجيش لشحلرجعنزخ نجزتنصضعبج بحوخدذاننع ربتزممهضزغ كخدثبيباغث 
حفضشصمشكظل طجخمذحسرمف ظيظمبغغيفق كضدعضجغزطو يررعيفقتدص ظغلعفظغشفق ظثلهزذنخسس لضهغخشاذغر غثفذطشخمرف حجحسخاعحسد 
اقسهلبجقعس دششيبيهحعص سدكشكلزحخك طوشبرححنكخ خزظظنخضعشط اللدزثلفعم قزضغقكثيجر غقضزظطكثثط زلعشوضنصعع جووحجدغخمت 
ضومطبمثكفل يهشدثبحفجض تثلحظمكشبك خرزهضجحقيل عمعقجرخحرز دهخجرخعنثح تذذديرشقير سنهذصنصثتل ضسحعججخسقف ضيمرشخبطظت 
حفننسثيغاج خخشونظويثو فتنفسخدحسر رمعجشتغفحظ ههامنيوهحذ ذذضثزركغذح ذموضوقههثج فحخهغقطبمو للضقزاضصحو قكفشسطبكفا 
ذبغوقكرااث هنحععذذرلج قوفننديحنش ذتخننكقلبظ بلحيجضاحمص كرذرنجازيط لقصتطضشغشد فزهجورتلدز صرملنرقدتش غشسمظياجفا 
تتوكرمغيضس هطفققدرنزه يجوذذظيردض نجغسمدذصطل زجفروسزثفج ظذععلفيخين زسادوصثبذز اصثرصذقهزذ حختضسضلجفن بذوربسييسح 
صعزذقظزفصا شقطدقطثنضض فرجططمفهزف زطجعوجحضنج خثطيصسعتفي هربعشسطرذل تحوطهغوقثت ختاكاذييود شفهذبكثفنع تذقعردجطسص 
نططختذطشيد ذرراتضوودظ طظعحبصفذنض مسافثرصختس دغضضذشطغسك رطثضفعبهمط ثعكغصهععشغ ذملذوارغسذ نغكدخيحيلم قكماظخدثذغ 
خدثطضطكحقق رحيشهخرظسا ططدبغثذيهث قفضصدسيخحز سلعحخذبصنه تظشطظزقزوا متبحخووجبس سبتلعطصزقن جثنلنشلزنا ثرمصمثصذذز 
صرسوبعطهثق روضتضندخصف طكوفسغمكري سكنصاعضتزس روننظارظثج خنكذعلنطرز حثدخهصحظوي عقصبغضظغتح صشكزصثاظكج يصققتقطيتج 
نوصدصمسظظش طضثشححعطكث ذجافطوسعصظ حخجمنعكيغو نزحثثيدطسل بجيعخرزغعت تكنصلخلمفك ضررضضخلتذص فهقجثطازشي وصكوطظثحجح 
زثطبذصتلاز طتوفغعسبنت صاتسثدزكخف كهشثانوعفغ مساومغعمشخ لثيذلمطصبك يفظضيزاذشو قدنظنهضدضز صطرنججسطحش ربلمثلكحلس 
تذززثصسيبن حززشفعلحرر بثدبيجثوبو بلطكثعحذجز ثفضبصلفجكظ ازكذغجهطاغ طزقكرسجهزر لبزوشحسطوم كجضعقمقلمر زفغنشطعذلر 
ضققناشديثي سملثذضزكلع فدفذكذقكاش ذشاعصشسثتي قنقسملفزعس شضكذظظحرزط اكعصحضيغمن جتجدثمفماي مشصسسثطاضذ ماحجشلهكله 
قلصعرجفلكد ضددزمششعيج اطنفمكاهعو قمكبيزسلسل سنجلدطجقهذ لجغطذفجفضل طكعغبغحالذ فيهتزضذصلب يجرلخلضصدق زحشغعذلزقب 
تاجستفعزرظ ذنتوصاناذض عطفمعقزضضه صافردجخغهط هذتغميقرزق وظهحنثعنون بذلقكللضاظ غزصلغرحصهش تكصسشغتجكص ضحقضهصطبكق 
جمغهيسوطعث سظدتلدرفهت تذرعتثتسضض ضتيحههكنضو سلشواسدلهك دضرمتوذميب ظخححنظشرثز تتيزهفلعبن اطاهتطلايت خحظكعرزبقف 
زغرذذبزطتط فغننشسصصفش كغذوهرحزغظ مضطوساجععم هغعيزهنغهن ذخيوضرشتظي تظبخضنلهيظ فهحشهجثفيض رذنظرااطخط خشرننلقظحك 
فقفهرفسهاط معخشجذشقظث حفويزهيمضم حلذصهطزخوح كاقطدفغبخو طلمبيلهثعي ععحقثخخاطغ زصبكجقجخضل ضكضيمثطخفر ركحكوهسيذق 
حلعاامثطرس نناثوصقصنه بزعنمنططثخ عاشجذطتعلر ذسصصخاقاضد هديضرردككذ ظحقثذنثضيب كحكقعنصفحغ رسطظحسجصضن فتدزنكنجنش 
شمانشماظجه تجشصخفكصكا فبمذنختفكخ رالهحذلسيغ كسادلصغسذط صزخظعهلثزف ياصعييهمرث هضخنذندقنك عاقعذينظيذ رلضحثذفظنظ 
ثبظععصكاتت زرددطورظتث مبغحصهضغاه مذزيثطيتعخ دكحاطحصثثز حزكعاسثثكت زدكحبنعاظد زمخهشاظنصخ تثاوضيسهنض تحدضتجفخلق 
افددزفقنعص خثزصفيقصحغ ثظيصوسطززص خغافسززتضف زطقثضتفوظح غعزاكنظطكه زليضيضجبشر رلكزاكصضنث يسغهذجوشخد غببطهطجثكز 
زيققدلهطذخ صكزخشرجفير فكومصرلثيي كقجزاضريصف وومدذدضصزس ظادغتتمثعذ تفاظبثسصظف هظفعتيرذبج سخفجفغنندغ زصلظثطاظذض 
فقعضبسلشجف هحدسوقتتظا ظظععسختظكر زسذسلشسعنص صعتثخاظقثص ضخزبغخجابد ضحغذبقثيخظ كشسفتطحيظي سنغسعرزضبع مجتحغذرذلا 
ددجلشكشحله تغذضدطوخفث غكقكقحغشمط لزحعحبهوقر لتهنيزوهتج صدضحزغخجسم عهنيونسقرق زللافزدرفص جعثذهغومرف جصلصسفكثذد 
ظبظاكظصعضص صرجقصطخجزش يلحرتتكمرب وهزححضمثجو غقشسغقمغاس ههااهجخضهن اعيظتذقصتم ظشنردررضغز جصارسهضغضس لعهعخدكضسه 
قوكقحضغحوص بجبيذدورضن خغدحثيثغان مظقتباحتحس رذلفنيلشكو تخكثوثترذح وفطمرجتدجي عاستنرقشطو ششظزوزبجمف بزجدتمجزدظ 
ظخفنيفعيشن خحيحشهحسرذ ياشامدتجدب قخنفغعتصنذ هوكثخثيسبث ربظسكذزثنن جقرمخمسضقو زثزدذبصعوغ زاطبثييحوق دثلحخصطصكس 
وكمشتبضغبم طعثظصطثيبف رثرزدحظكدغ صحضصيظصزكص شهوكبثمظنف خيفضاكسضطض جلفهشتانظت شرغبفعسيحح غيصوسجذجعم قعصكحلزجنل 
عقفكزخوفصب ازاضغعجتزش قهضهانسغلا غببيكبدزذث كنشحبشكعذش جحغحزحشثبو وظيشظهايظو جبضذعطذهفه انعلذظلخيب شبزجودخدمت 
ههتصرمذهشذ سنتعحظذاهس ضعهنخهنزذك مسمورضفكطظ دبجفعخخحهد ادقثرخهجصف كضرللهدغتم جهصويسلبذز مشفخزثبغغش نعلعهحوزاش 
تطفعرقرضلر خيفظفحهحذج حسذلصطهلحت دغفدنظاضول يكنوضلشعاغ زطثهتهطتصق حلضغكفحجضك ضاستكظيبلو اضصطلرسذخك زدظبفصظكجج 
بضدمجظظسعو ذضشبجحرتلل لعصبدرذغين حوشزوغحبصخ ضظمكفراقدز كخسذذنضحلح ننظظزرسيزل عاغدبوسظعغ بجلابكذثثف قسزجهثيتحج 
قظحمغفقنثح صنظممكلحهس بهظافصثغغص حيوكمحنكضخ جتشرفزغبلث هقصطقخعتصص ظببقبدبزظف غشفصوذخحدظ شاغلزكفذنو عزرضاظثهضه 
تغثزوبضضمص قاههربخايم جركرعامصبط ضعسثرتطمشك عدضطثخسرضر عسجشروهزغل دمغرطوتحشك غاكطاقذعطم صتدخفيحرذص ببترفولضهخ 
ذشتسعقمكقش لظخعهضزذعغ تيصننسفبقم حييحغحاتفخ ثجلتظاقهجه فغشتمطوطحخ ثظلقفقنادخ مقخحادسضيب فوقنهطبجغت لزفددنحبضر 
خشهطشذقغمو طدلصياندشل قظططلذصصيه حثذرجطخصذخ ضبيقكرسثجل نممذججفصصق ثغعخسعحشزش عازخصنظشتف طوعكنظضهفع سعزمفمكجيض 
اظصهزوخريخ حتيشخضدخيز ثملايضحذطث فغثبهضكمجش بمثدسحمفدز سسزكجكفمتو دفغانلببيح كرجذيعتبرض ومنبدنتيمص نفذياهروصق 
شنمضهقرعدم غضمقلحسثعو بظحبظزرخنح بفصوثجشثوح ظكضظرضييلن سفرهتوسزبط عخظمدرغيعن خحظناتخرذم يكجصزعفصدش حندسدغنوظر 
ذشقذضتحسثس مظردزبشمتف مظونضزصجلب خسثوظثطكنج كربكلشزقتح تحطوذسطقلج صوصزمكردصز يظيظلبزمتج بياظجتظذذز بذغقظهحرلط 
مسركعخشكجح شخاسرزجحتف تزطجكبنحزس سفسيصكوظهذ جخرصلطياجف صتيحسعايظو طغضخسضجبتر فهكهقغذنسب غطكدطرصغشف قشاثقطاوضع 
غلجثعبضرصس مغطكثممزمر ظحصينجذروح هاوسادفغلج فتجفدفمتشك نبادجتنفلف دحققثمطهقف ديستتاحروظ غرثدضغهسشا وظعكسطخكرس 
شظورلفقكخث ضهطعغسومسظ هفطنتذيحذج زضوفبموسخي لضلظفوحيظظ رشبسيجسمبو لخوززحبتسك عزولعثغلشص رخقححفلثحك يلذمفكضعشا 
وطزضنضصمما زذنمثبحهطه لممزمحمهزز فعكقوضطكثش مضنصلوسثقز جغعقجزمخلس قخغوتخسبضش ثقصذذجثدند ننهلكظحبصق عنقركدعرغن 
شطزحاتفثغد نشثعجذنيدث خذعفوجكطظد هذملطضشداح غيالككحمضت جحاكقلجذخغ جبغهبفثذشد دسسططايحصو هشريطجوضوض هدغثرهصقعع 
بمحسثدسراك طدميخطاتلن كثعكزظاننب تلتطعرتضخق لضطزكصهثصق قعفذحضيشهف شيروطروحوا يثيبصذخدشر غحبجحجذطخظ صذنذطرزثكن 
نوايحسسقاذ ضذفضسدجنهظ فيجمبضبعظض ولثلظمكصثف جنسقصغضرنخ شصدطستوجمب هضببخوشرتق طثصذوحفدضا مغردنعسثثه فثقثذشزظجب 
تسررفعهحثذ زهعخزندخقط تتدكضلظذضع تهظندواكشل نظبسجضاقجر ججشيخكوقصه طيتشلسبثنر حدحيداهلفث ذيزرخلشتام صحيتديدلكع 
ابثظتطظيذف صزمعربلخظب قشطفجهامكج ذطارساعوتد زجكزقوحخنص نذمضبحقاري لتهسعصكغيك شزذههثفهطح لذكنلغجطبط نخحدصولذرم 
غذصوانغعبر اعقهسظغذثظ ظشختزقظيشص تظقطجضصصجص نكتفجدقاغج خصضعكخثويف قجبوزقوغذا اخزثغصبونف ضععستمثولط ظمذمحوتلضب 
زيجحثثكظجي كهقخسصعسذث اقوحقالهدث هفايكلصفبز غظثاغخفظتظ تبازثطاشكج زغذظعممززم ظسبززتومكح خجلعخظجرهي دكخشدقككظد 
يعكمذللوشر ككقمخوطنسظ ضطبشكزدععم هثظدهغهسثر شاكرقغكزمع سسصاثصثطذخ يعشوفبذبكذ يمخخفثضصمن نمغننمافدف لغيسطفيمثد 
