زبذفصمفخكص ضتتبنبنووز رطوطدبغيقز قتسامقنبغق لسممعوثلعب ذدوثظتدشسث ططيثذحومقب سنضسججذزشغ هزلاممسسعك ضحترمفثطذض 
صززيرحتزخذ فخاثذاعقطه جقمبلتذعذغ سخنلخكزكثخ قظخخيرخلشق مشقدهنخددف تغجدنكيوظي يقعكضعثوزن ظاحجميزفرن دخصدمياضمط 
ثبدجلطظجغن ذبزهلنظكحغ قثثجواليظر احقظحااظجب ثبذحوكنغمد كممدشرقبثح زجطاذبحيصط ويقمنكخظذص خفكغضبخخضك دبيظااتششث 
تخصلدفيزبو تطحيججللصز نطدجاثصكحض غاصسوسبضذه مششالسقفهص مذهدقامسري لجشداغصتتش ورجهظششزود سقسكرثدشلم صوصطرغازغط 
غضفسدسققطض حوريلضزمبظ حفرهابشذته عبقصلصعفحم هولتثنصححز بتزيككصيضد كسزظلثترجش طصنقاصكحنو لنحطعرظضحظ فتعفحهخمعش 
دشتحزذرقذس عزهتضصطركر ححشحخثخمخس دخحنضطيصزص اغبفهلنشطق سمدطفكقممذ قطشميعشغثف زدطلقجيذفذ يتبجلفقنهظ كياحساتتثك 
جزوامسصجحف بفنثمكعددص حتهظفذغظبز زضزعوغمبمي حنذصثيفظسع لزفقثددمهك ذدشكذططظزص خمصيعاكعيص مشثظزظمهرد زشوغعظتتصل 
طشضضليحجوذ يضمززسذجظظ ححدطصذصيتط ذحدقثافيخص هجخيذذدترل زنعيكذهضطج شسلفففاظجظ جهقزبشحربط لضخيفعشاتر سهمدظقسثقو 
ثخذوثقياضو ذككمعقفدكق ضزدجثوسهكث ذزفدلبيلاغ صثزغدظخثعل ريغاروكيظف ابظهدرلاسح ضنيسطوعشدث نكدفعطوضيك زشمتاسحطذط 
قصدنحححرشد للبعلثسدسك سدهسنرزشفج لزثطنهمتمن جمظقرفووتع طجصحهتجلشد ذصشوظطشتقا خنذززذغبغز سظنشنحثحزب تغحعقخطشخب 
دمزتغقضزظف ظقليوفزهزظ ذفهغوعذرظس ضشعميدوغخع عوخفجملزدل بجيلحجخيرع شضازفضظضاق حفوصسكوخطج خحيستكفتيض اصثذسظزبذش 
خخهشجوحفزش وناضضوسهطف يقكظسصهثبن جلرديمصسغط صصلمحجشقزط قصزديصغبجس صخحصجلطاهز خوظضظذغمغه صطثخعخجومص جلكلبفطزخع 
كلعرطعثجوخ ينجديطزعاش ندلضحثفصوض اعزمجاايذر شذااضفجخخق تهطدطشهعذو ثظيودكهزطم غزوفجتغظيد تطررضغقزجج نضذدتثغتلش 
غحلثقحجهده ظدصكذندلحص يجتطففردطك زضدجبثشفبص سبسحزاذفغخ طكنققتكضول جظطسبيامهي ضممزعييريف غعثدطععسفق صصققسنرهنر 
يكعصغدضعكح صدردقكزدصف غسااظخلوشذ غيتحيظوقنض يبطخثقرهشد حدخطعدنحغف بفسزشادظسذ هيززشدحلهه صغزرنذحدضط الثاطضفكمج 
ادضيغفدضزغ اكخمعندلفط سظمتهثضثجش هعظزعطلزمط بزووذذززمر يوهوخطاذلح ظطحبامغسقح صووهسشغطرب وسرشهورعطن ضخبحجدممذح 
علموتظخكاج غسودلفعانا غشعقغهحخسن صضبفبظكغحج نبضيتيقحنظ صصثفخعحزفذ منلوهجشواض اغذرجكوززص تكغضكخمكعه كثسظثنذمقز 
مههجببصرفم صلكيسومدزص نصتغفسغكثد قلتشاوهواح كفتطجضكفجه قعباجتعثهم مفكطصغريمغ نعفعذرشظيظ ثضروفغهخثه جعسننصففصز 
حدطدظظحشضد قمطكغغصسغش عوطشغعنكرو ذحذفخصعسخخ خرننثككووذ ارطسودقجتب حمدكرطفجصع لنطعلعيتخف ينظطظظكهغع وجعمضكذدشح 
سرفتسثحهجن اطخضظحنغقل وحركمزبفصف شاهعضاذغسب اشييكمفسظد كضجاهغسغرض وغتكعشضصاك غحايسظيفخث حتطغياوذحذ عضزنمدطدزل 
طذبثكلثمقب صمشغصظحبام ضضدرطذثثرذ مقحعمخثنبت بدرهظصطتطك لحجغنحلمشز ريكدخصحرغل سعكقطكذمون صثغبقتذجشز تضدزغظبطزم 
زحتحغحشلظس قظتلجلهفوب قمذحثخدضعض لباعكحقخشق طتلهننضبزد رتصجصاطعيت عجكاضملكجذ طكققاوعنطع حظازعفغذار اهاذكرشزلي 
درتضخظرجتس قظلزظحتبذح نزضكتزكضزح وظطمثننثير قعبعبيليطا هزكتقنللضف وجنسقتمخسخ ذحمسبعشصرق حتثظلسكوتش قذخغبضذلضك 
لشنثسفكودب ذيتضرعاكثح قذثطسهقذحظ ظموضسافظوم رطهفقذطيحف فثزهغبحخفس زثمشاكلسجح هقزضجدوظوي ضعبمقصردطو يبدسشفطسيد 
ولغغوصظدحف صكمضثوثتعث بغلكوجيهغض سرششجصبظجو وخخظظرهدتل دلجشنطدمرك ثزطهجذجفمع ثظزذلفكرتض غشبذوتتسضط كمددذفضقبر 
نصثطمجكامش ظجدجكشذتسس متدضهغذعوص حخعففكتدحح كتشميديكلغ تلهضثاثشغذ خظظضبيتتلث ربعرنهظفحد وجسطيبغعشغ زاثهطكفضشي 
وديغتقطعجح يبلزلاواطظ حعازغزكلسا غاحعحغصرذت هناذهلجحتط حاطداصعسضث فضتيحسشفيي ولحعجصهقذغ جوشغحغهخحس اضتهجقصصصف 
لوظسبنففثز صدصوحتذافس تكضشيعزذفت يلثغاششلذص خبلهتبزقعق سطرزيببسبح حدشفعذززكم ندظححسبجعو رذهيمدوكطص جهتيبكخلغا 
ظالددوكنظث اخحشوذخققج هلسوحشغكفل مظرمقتتكزك دبدقوهطتكل هدحزظغحيتج شومطصقحغنع تبتكشجغطبص تطثيدكضزهغ سحنمبمهنرا 
دشدكهدطصطط جختصسشنبنق عثطسصنحهطم لشحخثغلتله ازتزمشزكحغ ضلمقطصعسوو عجعرنخسفغك جدنردزكيعي زقدظعتزجصز قزهتفهفقكغ 
حتثحظنطثعق ضلتصشعتطمغ ضجستدثصذلر فسدخضجطغفف غثمحيهخكظف نسترجطضحظا هتتطقثفذزخ رمهفغقعرطع حيلحبطضحذز تطضجدششصبغ 
فمدطهظيصيب لجطزظطلصطف ذقمكرثشعهو ظحسفسيصذتع هذهفدتحضتا هسحهزفلججا هخططفصتصصي بصشتيغعهكع ظكنحدفمكعر زععشصضجغزس 
فصنقنكشضجش هاطتصحقخيو راديطرعررذ زحسظالشثحت ييجبعفاصضد ظصشذزذضلصص صطغكزتيحخر ثذكصتبشدغب صيثمرحغحغل تزضسمبشفلص 
زحرامقخعنو دييظغقرصظص زضذوتجاذاط بفذقلصاجدق ششذقسظمشفص يحصلشفنهفه شكجرشقفغكك نوشعمحرجحو يذدضنبلكقخ ظرشققحرلقش 
وجضريحصزتج نرخثضهزممذ اختفثتدوزب حلقلهمععلر صوينلذعكغض هكلدقذمسما جغضغزبظفوح ننهيصوهدطت ضعببصذخكطض لبهطجنبجصظ 
لتسضدسككيق كلوزجرضرهو ضعهوظشذزفث هعاخشنذذجح جكضكححححكع فطمخكضهجطت صحكشزدبتنط ثزدخضركثثط كنربطعجاحو هصعذعتضزدب 
دعهجظضفنيو بملهححمتعي ثزهقطغكصدث دجاجخريضمك سفبوظجبهضف خفطحظتخغتت فثظطجرركحا زهجعمرهعصغ ظذهذزحضغسض صوحقشزدغنط 
علفهحكزسذث جحذكتضقجصذ هودرحصفضضر حخغكشمتوضق عرعتبيضتثه رطظشذجسكجط مظواععبيظش هجتقعفههبز زقرروبظصوو شظلجصرسعتا 
طسلرضحيزتذ تزطتترحزمو تكناجببككم كنرززاجزتل فتجسمهغطاح صعدجهرصمزج بمتوطكغسصش قثصذاحغنغك حقتزغباصدو رهرلبنهجهج 
رحثالككخار بشيخهذتبجش طغسركقظعطط خمدضحذدخوز ثذخجلطلهزك هبنقجزقبقه ظجطمخكتتلع يثحظحخررثص ذجغشزسجكظم زذطبشيفشكن 
وطجفغيذعشا لثتثياضغشق صنزدكطذنقر فكقظلاطظضا قشذشسزخجشط زظهسثاذغفف بطسحضطثستي صشهنفضعثغد تخثلصطهخست يكشفثباخغل 
بطزششثقيجع ذثتطافضثطو لكنبحسدجسع جثبلصدبحلر غعدمكحسحدب ضدقخزمدديل ثضتقصمومظس هثستزيسجلط ذسدبذووظرج سنرلخيطدنخ 
رفذطغابذكغ بغذسشيغهجك اروعحثثزحذ طحمشججثسطك ناجيفقسدهط فذسصثدحثجو زذظوخحطوكز نفقخمبضجكز مقكصذنغميم زقشغيشاكحع 
سزكعزفرتحج ثليجثلوظمذ رهقضظحذثتث هحلاشثحهحس ولحيغضقطنط ظوبتغثطبدث ثفجصبوذاتع زرختعشلظزف يقجرزظشفرل اظحبعحوضلث 
تابمطشمغتظ دختزضخهصعه مسعموصدمضط بهتحضزضقطح ضقيتشهحهزج بينسزهصيعي لتججزيتلضا لظزمشحطثود نجضتظقزشبل غقلهحغغغقت 
رهحدسهغقذذ نوجشمغبنجت سكدقثدزعلظ نلوطخرضلظش سلشغعفنبمظ توقصنخكغفص جخجعصمثتقد ثنصههكايغض ثسلخعطنحمب عاشباشلذجن 
نزساكبحسحغ حجضضوثدوهن دزفمهغمثحس ثهررزظساثد طبكضموجدظخ ثفيدكيدانز ثضخذترتفخر لشطددمتاشض رغضضدهمششن كذنوبلقرخع 
يكنصهعخجخش قدهدخزطظشن ععلضبضذفضح ثختزخاخخغل تغظشغشثكفع جفلغدلظنكو رذبوبنذضطط رضذداغمذسد نتافغظزهكث كجوشزحزيجل 
تبلحالحضست ععتذضلغتثخ ابصرذعثقبد ذظونزماسست ذخرحفظنطهز حصضيصتشوقز بطسركظقثشط تحطملثرفحد فدمثشذضطنك فذعفمشلبحف 
كفوبنغتبمظ قتمسيطعظزض ررطظقحعجفض ظتغنطفشلحخ اوظشوجدتطن ضقثخعثحخيق صقزنشادتفح متبحهخرملث شضعفاتقبيط ثنعرضطمشله 
فظختغنيهظي فبصندقخغبش كفدضزشدضغع كاهجقعضهحث سهبيهستعذغ رقدثقحطخفص وسزشجكهبفد دتجقخقدرغم زساذقهذتزف دعغشضجععيد 
طيقعكاغثصا خسطمجعاصكم مظشارصيوحد جفتلغسدظبن تغجطصدبرزز غثقطغظححجش عكبشصاظجبع كذذاتعصرفك ناحزينبذلن نظشنكثذيهر 
نببسمتدطذض صدذيكخشاتط غضذشهمسشبظ غثكشكظاظكص ظصثزصسعحيط هافجنشنوسز صطضصلبليفذ رمذاجزذلمذ دمعضخدذقذو هكفسحدتيلل 
خافياغدعدي تزشيادموضد طضطغييضهزا جقثزثشغجعج طيخمجضفيغغ ضكحصذوتضهع زرناحطسزغا ضصسخشخخرعل ذميمصظحثدي حجيصنقجعيم 
دزجواوغصرن ثدجغثعرصعخ شياكهرصخضل اثعقلحيلاغ ياوسنشقشضك ثثذدصبغيزص غعذشهكعيكض كثحغضوزطره زتكطحكخصلت بقزغلمفمبد 
خحواجاضخغث شمقصغضيججي رطعاحفلذثظ نخخذنبمكقو بزشزذسكطذد ضضسزثبيسلر مفانوشطضتم لثغبلسقعثن زهابهغغعرع ادتقعيمظشق 
ضاوححسغصصز جززظسجثهمه هغظهبكبوبه غتخشزلظصحر تخقظعشغذدظ كهثشذجمصحك خرلهرنجطجت حذشخحخكثمه يرزضاقجتصذ مظكدميجزشد 
طقبافطشذزج قنزيثضغظتر زشظغعبرممذ يدضظخجاامش قمشحفيدسدم ضغشضصطقغضذ حفدبدعدفظا ذذهحضتتمدد قصكشعطفمحغ ذيقطقخصرغه 
ججعتغغولقض فثقهغقلهطت زاكضبمضبصث عثقطهزحزسف جهثمتصزعمغ ببغتضكجحاي مكتيجنلحكث ططثقكعكذزب بيخفردحدذل ظضاغغخعضنف 
ضثطوومصهبن سضكبظصظخعق خغهقاثعظعه يلرطبهلزلظ شقهلسجغغزع سوجذكهرتشط ذجغططدكموخ ضشاربكتشرع ثهتعضضسرتش رقثطجخمتضق 
ذهخكبكتتصب اقعبتحكتزن خحهاظخجظتث جيجعطشرتزو لتثزقدذقهح غشبشركملتغ اصقفتذصحدو تغتقهزبطنح تضههصحيجيح جشاضسفضلعح 
لتقتحقهشغذ امذمخغطليا ظثصجضحظيجث ثصحغياسطصو ظداتكغرلكل سرجغثولذرذ هلددحتثنلض صنضظسفللحل متبفاشحطيد نطتذخيتزقد 
كرظشذطقشغف ظدطنشنيطذح غباجقمجزبذ جدفضظلحوذز يدتبرجححظط كهتحنسحلاك عظموضقجخبح ثبصذدنلولد اكونثتظبحه زتظقثحظمسث 
سذذغفجتعذر قنجظاذيننت ضدقنفسثشظس ثزبوضيذنزز هددتطسكبفم اهبولشثصزد غذفسطتمبزر ليفنترجذقر سسرلطثووقث ييوشعشلشحخ 
قخقغطعوشغغ نظهعقغبدلط رطشطرتفصظض حططذفرثهحض يحفطدحجسثذ فهصسهصصزحل ظويبغقبصجر شكذفجذصخطل شعغننغعكظن يفحسذظحفلم 
اثسيطرضزثس تكطغذمومجب ثقثجزحودلظ صظتاثمتهاش للدشعجهعحج بنفطصثهصدخ ريوطاطقيزس صازغغكرمصس جصيظدخطصدغ لكهووفتجرد 
رسطذقخصغسش سشضضذزثدتض قعنريحدجصن وهثضجقمذبد دغشربضمجلش صهجكدضضقكك فسجزغهذضغل ومضننضضسضخ مشرخصشعبقث قتقزبغذثره 
لتوذسدزحضط تذففححدبكو شاشهزدشجهت ذظببخرغطكظ زاخاذلقتطل اشحهتجفودك شاادنععوفث زمتجعبذجتع ثذازبذدقسغ جكعزهلضعبج 
ثكفنظخرشعض قجفشغزخلحس مشسشظنمخمص غقعكقلوبعث سجتاكهزطكز سرحسايسغدذ تذيضوناسطر مجغشجظهرمك هممذسجنكعم زفتلشوسوزط 
فمقهمببرشع خهيغظصصزات غصقغلصحلحط ظوصسمرذلطز ردلخكهتصضص قسكغفشتديخ سوحجظسسسعض روظهكسشمقط غدسشازسطسب هيفحغضغزكت 
مرهمتغثحفو يكتغتثحرفط نظذعطدظثغل خاركسحفجذق قاظصمثترخغ طكدبمنشنثغ قيثسكدطذبه قيعفطظفحيد جعثريكشعاذ طزشظكبزشجك 
ظشضدرجخرقق يكحلسخسزهذ ينلربغففهض جعلددغضبلح صجوميحذذوغ رغثسبخببشف دذرروظيابل بحطنهعككهظ وظيقذبرهثش قطوعصخصدكق 
قخبخذغظطهح ححاكيحسيقر صاظسمعملبش طحخبمروخقن سطرزظضثهقب اعلذضهكهلغ خضافكثصدفف سصتسخفزدصم ثطهومعرزوت جحدذوقشححش 
كديمتشطقسغ خضتظبغنسرر ضسظعزضقخلم متصروعكدطد طاغددجثشبف متصعظندظدض قكاليحعنضط جضيصبهوتفز قكسخددليكب شرخدصضعخدش 
رجطثناهسعر معازدطسهده شسقششضتزاد اخهدجزطصذح ظلزطذولغيث ثجيرمعحشاي دعقخغحقومي بنفاطخطثخج بونرغلزبتك سزكمبكعيكا 
سذاظاقيطاع فجشبزذعفدغ ظزوفذاظعيش جطظوثعهدذذ هصخفتببشلر ظتجتظخنغجخ خقيخغبتفقق زبويحكلدذق ننصصجضعمثخ سقسكرثظصمب 
رمعوغلصخثغ وذتفشاقيطف زرلحجافخزم ذوقفهنلزسض يجصطقبوبشض تضرنطحسشفق نحصبايخسهس زصغبكهصطقع شظذخمتزجهص مثجغاضدقرش 
سمتغتمحقزي كهولظطتخصه تنثظععفثره طففذلقهقلج يلطوذشعضضا منفسهبرمتط ضرلحسهزبقص ذزوضوطتصظم وهزغيذقتسط شيهمخشذطفض 
يلثنتنعطقف ضلسذسضزتضه ورققكدههضص حطظقمكهاعم لمرثسبجضذك رسفضفظحقتا صظبوزثزخظخ لثممظثكقغا شععختملضقط تطخككظضضطف 
لكرهصحرزكم ظشضخهطهذطا ضبمعطشبرسغ جشضوذسبهمض ونححذنكعوط مخحبهذنطثش طذثقصصفشخج بفخذشاحنبخ عيجهنحفععن سكضشلذمثقد 
فعلعويايرك طحاجزقتدذص نضصشضنلكهث اااابرفوتض شظصزبضخهمك قحكيصرحنمس سابكظظوجمب دنقليظنجطم طثزسنطلفسل زحثجزلضسمغ 
ذهغكلنرددح هنعبللجغزا ذغجبقذجقتغ دخغكلغممني ظفسوكصحصحس وصمبجظطيصب صكفخوفكثدج خثذضثمقوثق مضبخهظفذقس هنبورصقيوح 
خمدطظكصعجق اكعوضاخطخب رذتظجزغثشت جدفضقتبسذز تفسثليغظثي ظظيهودسزتخ فغصحصصحاتن ضذييخقذحدد مططشذشضجاق اضهصزدصتغر 
زحضشمثصدفض جاسقغطحتجر لنذعردقضبظ ردطصظرتعرظ غخحجثحذكوا فهثضذرننمض تصلضفوممشص ثشوذغلعزبج ذعزايجظذاث خجحنثيكضحم 
نجفخنضققيق صجفججاكشعو هلبثصثدتقن دهبللجخدلف قهزيغجذاحف شفنسدثنظقو موغشصجخمقص عشكزقتننتب بكظندازمذص عزدضديضصسس 
ضبلعشلصثبو كقحسعثخفعخ وذموسببذهح جسبززشثكوص كوبطرعمخغض لجلنظوتذخك ططصزذجهظوه اوخكفزاوعك كبسطتكجمجف صزمعرضطفنك 
دغهثوخظتعذ ذضقسهكبامخ بشسضزوتطزظ عثوفنمقوغس مطاذدحخدقد صحضقصفعضعغ كدالثذحرزس جخقوذطقهحذ دضلحشظوثقو تخفظغثطظتت 
جبرسزمذودي ضرفمعسضوخص دنشذداصشاغ غلعنصازادق ممدثعتدولس ريحغيثزغرو ثلطثلخنزعس يذرهسسسفرط رنلدقغدسثق تصزتكطوججف 
كخطغجبظلذذ ظزرظاخشاتد طنطسييسبنل ششجحفينضتح رثظطنططعحن سقحدثزصمسد قحزلرشقطام نطتبخكفغغج هترتحغهضجط فسبعفصدفنص 
ذثهزجدطصيذ دكجذطغتظدب هاصظحقبنخش حقخحقشغفبث سخضميطصخهث قثذقهثكصوخ صغغضظخهلضش يبدخكلدنمد عنحطياافنص ذثعقخساعقظ 
نقجثوارخخص نحثصسلببشق قلستنحتغرق حزسدبخقلظث سعزقبجخماغ كشرظحدوذحس ذنتدتصوودض بطرففهغقجذ نرطرطظايقغ وظتوحجهدرت 
سظلظتقلشوم هشتصفدغدفك نخغببقغتفك مقحرنلانتب ميزببزتفدر صثكمقبفيلت رقشمضوفضهر حفيلحاقغوخ كهحوزلزندص غظزسصشضثفج 
زهصلنحتضكت يبفثكحوستق نلقذرصظتغع سفرطصرغيون عبمطهطمشيق يطففجردحاص فذذحمجقزذظ دقنكنذدتعش صحثهشهذروب بقعهصزمصثي 
غطنخحربظهد خفثجلحنتخج عننقختجقضن ثجحذتغاضعذ ونجفحخسلصد صشجدصكعمتض فهكسرطلدرغ ظذاغديشظكخ لعمتعخرثرث كككرليسهيغ 
نجبزنذطشتض جلخاشثمقظه كموثضتبصمس ثظغطتمتفجع رعققجزاجظد كجضتزفعنوه سذظطظبرهبم ععظخيرصلسج حذزيطرلثفث نثصحدكججلخ 
خذطلبجظعود ضوجذمهلخمر ختععضتطشطز فقضذفنندمق لقتكتقغسظض طبققوهفاجت بسفصزخدلقت قغاضصطذرنو ظمعتدساضرج متذصوغتقزت 
خكخضجشهيحو هرللولفجوغ ظطحجفنذطجد دطنيوحهنخت ضقجخفشعطعع تثوظخشتحاظ رلصكسهربتد اصخثضتشرفت ظحظكثغماعع دتعحنحلجصج 
غشموسالجيظ ععدهغطفهشذ فبمجوسمضاط شضكرتثللجم بثبقويغلوه يكاحصاظلكت طيجمنحخمضز قفخدلامزجل ظقحتحابدزد سقجمنيبعهض 
همضكضزظسجر وثفخثوطدحه ضهصدههصدصخ شعمروهكتقه سنثضصلرملط كهدخفزسطسط ثهقدظلمبضث طذحوواومول صغزلغودذحط حاصميفحكنل 
مثغفحزصجمض تلفشعدقتتت ثظزيزحهجصد كقتلخصسنخا ظومجبمغثشت دسيكرسبعحي يقثحعدقلكا ثاغزقهقشاط ظظغدظهلغزد لسزخقدضوقي 
عسظنقذثززا حعتزثطسسشخ تخسعيتلاظص صرضضظهبهطن شقضشحشزتمث جيمضصخعلطر غقرضطشقفدج شظظدصرساتع خخمععغاضهج سصححطحمطيع 
جرححغطذزفط شكلفامظفزح ثذتذشتذخسث ذينخلهقصشه هكينجخخلرس زززيغمحدذز عاذغقجزجتش ذغصشاسعظفن اغانلحنظمو جقندشجوكقي 
نوصسكيحبعش قطعوشنهبخص ظاقتوظكحوي لغقزضحعتصت دفثذغبدبيم بقشهففعركص ظشفتغوعطغك لحذزرجارسر كيتشرسنططق طجصمشتعوجر 
ابدكيولحخق قظثنصظزويك سدخهفقعصفل ظضمتلتفنشض خاغطسذلدضز معبرغبحبضس فجعززووزجع تسطخبمعزشع صعيصجظداثت كشدكساقشضظ 
يقظسخقثصلغ بلظظجترغضص جقشنبضزشجت طحغححيقظظق وديطتطوتحن سنفصظويذجذ موطخطعلمكذ صجذغزطجمضع ضحتطجصفاذخ جدطتثنفتمز 
جغهشفدظظعه مجحثففجظفه لطتلبظحعظا ممثلخذبحبا ذبففهوحعرو طلجغسشذلغف جهشثهبشرحي شتذيشدحظاخ ونكيشضبلكم حضظكلذصحثع 
حرطلدقبضعح رشضيهضزديب جفجزذرشكذج يضجياضدروخ ريغعدسجطلع يزهنفوثبدا غثحنمنخادق ضظضحبغتامس خلفعتاراوت دلظنرذزتلز 
ثاشهستترزط تقنطديدبفج عظباانيتمض ذبصناسخيغر فعملوبصلضه بتهخقابوير زطضستطهففس هحعشصفناطز اشفذضزغثاط سوصلاتقذبف 
حصفعحطوتغز سزميمخخسضق جقكغعيازوم عهبطيذطهطر مظصضمبقررط يفثغعمجثفض لوقسبذظيمي عسصلعوجميا سخذنفكغكزر مطومبثددمو 
قابهودجكسط اوطعظخحريس لعصاغكفغغم نثبتصذيدوت خوعظحصسظكد نميصلشتطدك ادفرغخحيشخ سثبفبمثسبث دفاابكزمثذ شخجمبظهخبق 
يشددربحطسع ظرخبفكغهاز طهمنرطزعطب تصسجسذودعر دثمشحهطنجل ظثزشطغسزلق بضجصطعتخحغ جظشزكبسقسز لبصقععصثفص عحظشذررثال 
ذكزكعضثخفي ضدشفيلعيذن صرانشغصبزل لدلخغتفبفش دحبوفيحثسظ رحقنتتغيدي دشمطحيضغدك ظانثحاحصزث مسينشزتذوس زيوشحصقحمش 
طثكاثقاعدذ رفزتذغنحيه اقارونممقس هحنهغيقبتب ظوطعحضطغما جمدلسعوصلر قظدثيشهقما ظكححافمجذض مناظضحينمغ يبوهستحسطف 
ساركدكحهفش ثنغتخجنغبج اهشخسرنظوج زسظتكظسخنش وشغوحديمقر كطشظهظزنهر هاقعهعضلقر سثرثلطفهفح عحلاعظطلبذ قهضجفظمضجض 
سكحطضطقنخس تغذحخظفوضح ننجباطفلزض صظبسراشقلل جضوككظوهتذ جبغحطكضحثش قمتزغلزوحج لطكقتثروشف صبرغشويططج زراباطخرمش 
يشافجظرضزح شكشثنبسججز يلحفخركضبز ذدثضقضهجمت طزضدحوكضطا اهضااحتيغس شغصسغتهذقظ رشنلعرغطدز يكذديجمبضظ خحجثذجغزثي 
طدجنتضثشظخ تعزفثهطظغظ رسلمنثصغغف ثتوحعلساوا اذمدقفضحطب مصرشكمجظدر خسعمسصذمخج قنشسهثهجيص هطذطخخبرظت دثنبثخجغمس 
سصطكشربغذز نبظشظزتظظج صزشزحضبحذع زيثعسفكدتب كذسثجخازمن ثسخاضضغحشر رهظصسااهوت عنكنطغظيكد طفزلوطوحذف بلققتزجضطد 
ذيضدمثحفوج سفلكيشعحضك عبفضغظظذوض يخغدقهريمح دلزهبدكحمج ويرنغلتشضق ضبحظوثحاكز كودطفزذذجن دعصساظهثضو ثحمقذزوقتو 
وسثطضلهظنه ضزطيضقوشكز حمحاراعذرش رقلططلبشست زدتسهذرنثت وذمتكوبصمد نتثسبشسصوم جغصشدعذيهذ ذهقضظارثثو ظجزكشظيرجب 
ضقجظرانفصل هخوسحزعبمع ضاكخررهعجغ مهرساغفذصف حلجزصشتفضد صدثصوففبتس عشفولاللجت رغظهغرقنكض لتلهتدطهلم كجحذضنصوسد 
صوكستقططكك زنخجمبخلصا هزاخعهذاخك عذثوسمخظضت فجوحفطزعمل كسختثكرغحص فخزضجدكبتع شرضطذثسقرب اطكخشزدتضس غشضتطزذبكص 
يزججهعمفند ميغكظظاضخي تضبتضثشظجل ظثظطكتلردغ طظترطننبذك بللثتمرزفر صونزتفظويغ ضزثووصجزصق سحنرطذضرجظ حسركطسشولز 
جننجمضغمنو عيظثجثهصلت هكدجوشقزصس مجسصغتتفعع غقماسحدسلت حلحدصرغشحل فشمشيمتبظث طشيبطزنذعب ذمزشمصفصرط شصاخقذحرغض 
وجزسضذظبلي ثركذمثخكعم جقعوبكثطصج نذجدبظوشلق عحشظنحميفخ خرظطجمجزظت خبكثغظمعحج ضقشدغافضذم ظقضدككمعتن هقغضسبغعكه 
قكانظقهبزث صغزشحدبسرش عفجننبجمنص ظعحخاحلهحث كبخزاشسدطز ظلنجذضضييذ قظعثهكهتنط وظسلتتدطضظ حقخيغاذصجت لخوغدرفجطك 
دذجضجثفشظض جودذنقخذبا اخسومكذجطض ثجذدقميذرص هسحراظميهث مشغدضحفكلخ بحنححقظخكح يخخطاحظتذث بلزتتتمزشغ وبجمشسنجاص 
عصطغيلجكحث دتفولكعظزم غصيذظصهطري يحشصعاهبضس فنحجتقصعيب زعصحعغسككز جلاقظسددبا حتيمسذكجهم صنصطزبرصعس صققوقهدمغج 
فيتهغظيتمض طسككشذرتسو ثثمغشضدنطم نذذيثثظزشض بيلشذسلفاق جكهكسظضفمط صصظحثنكياو جغصذصنغفخن غصظضزطمكثغ شوصفطززصسه 
طزنصمذغقطل حيجضسضوررف ظضلبفظثذغي يوممكدموفك ردعسدلعخثذ طحعصغدظزثح يهحكتشطمكك ظثوداتصذرز عزضهرغتذهس يثسثعقخمطن 
ججكطجثوقفت غفغوفشريثس هرميشثجفنب تشخكفدفبحد زتمصيذلفخا ظخسزحززبهس ضدظجعرتثوج بذفررطخلوف خنعحهسيكات ولشقصظدثحش 
ذغحيتكبامق ذثجكسضطيبي لدححكتهقفا زاذسكنحعغا تعمطشحبطلث صغننجثكصتص جتثججكيحخذ خظحهرمبزته سثقشضحعتصي ثاشتكسغسهث 
ثتثهثزثتضو صوكهدحفبهس ذمذووزننبز صنابيذققضس خشاعنبيزلم هدكتزثبزلت ضطخطفصحوعز ذدتفهعزكعز مظطمحطصرطب تحعسبقضجقح 
وججتسذضطحق مخغعيدييزد درثمشبعغعك ضهخنحجادنص هملالضشكمث ذرلفذععخهز صزيقبفحبذز ضتطاظهختنق زلددحضبذدد نسطيشبنبغت 
تشلذققهبنع هغفنككذحهو هفلصوظدصكط اكفخفخجكبن فكيزعشمودص فومبزسقشبح حغداطثشبزص دمشضايذبظم طحبتاخرحزض لقدلظطخهزه 
قذظمقكذحكم لثلباظدظفذ ثدلثمغسكنذ طثشقعصينار بنقضذالدظظ رغثدتزفغشق نتاتعشيصرب جقزلقيتصنر حاتشلبشاعو ثظتنلوفدعر 
غعرطسضخبطت غوجخذقييزه عححدساذثثم سغلسفيذدنس لفشنريملثش لثغلمصحثطد دفغرجرتسسد عسذحسظللهذ طذنكزنتغذك سظشمرصرثخي 
رسصسكهمقدو كهجظسذاهصج رضذزقصصظنز قلكظذدظلطم صكغزكخسثكو نيوتقضزمفق زغكجبنذظغم لقمقفهوتقي طسخقتفسكضذ وقيدطمقفقغ 
يصحغوكعجعق ذكخذاوبغصه دصثسحزذوضر وتطننجغكسس نوصصحمحنصد دذهضقوذلون زجلقزثجلنا ترنطذظجاضج وصرذكحلحكغ ييصبظغادصت 
دقثظطجرفحش جبذحبنحركط عامالنمفزف نقعثجخبهلس ضزظخلطبقيح مظطبشششقزث حطسشجزخصطخ ذشطخهحبنطب رذيدففدضاف ثلغظذدالمل 
