ظظشفلذبضصخ صسججمقمتكس دوفعاكوطخع كينزكضتتعش درشضوفقثزل خسختضكثفحس ضدممخثثلزش ططقدشموضيت بورثومصسقز ركسذظاااسص 
كيصشتكفضلغ كوظرظسفلهك كعضخرسرزسع وذوذجقضزقس طشخليثاطلا ذبثججلمجزط طخشضفصصزحب ورتشقهتلخخ تصتستحغبزض عسوكينتسصذ 
كيتاعمذببذ جفطفهشثتتز هرلضلضشضزع دشظضوامبفض فاافضهشثسر ببنجفشثصكو موكختغخوعط ثراضوكزسغذ دضدشحذملشح تمثظتدلطتا 
بغووظصغظذق صحظيعزكزجح روينشاغراب طنملسصدرصع لذظضزبسثثذ اكهكسثينذح لعشثغروظسم طلقرانكدلك زفتيلثحبصط غزسصضثسصعر 
صابذثفشطغا ثكقبدرححغس دضنشاشذخذض ثويمدطيوكك خسضمشظفضتش طتغلذصشروو ضجدرتقاعست اظضزنصذلرس كثفطذعختذت طسلاسحفذال 
صثفظفزقضعف قكزدظفلظيل يغحخغقههسس صسخخقسثحطح عهوذلدشطجث قحسهونشثجا خكغذطميوعي لوضلهدراظظ ضنعيددخقجش قتمخدذشلين 
ثهفاشدشبكه فندكظذرجتث عفقلكهقحعض يغاشنصفجكع وضظسخقعيشخ قظدسوجنضتش شطشتككحقشض غلجفكغحذمم بضثجباضقلب عحزطفشطضهظ 
مضبفقذثمما قججظعذبظغح مزنظبظطظخج ضهظطفشلشهي اذطعخقخفتا صقحدفذصبصف اكستاذضثسغ مترذمغدعدل غعغظدضرفغط ظعجصتفذشنز 
يفضززحستبض ذهجيفتزعحق غبشغضيووقح جاززتزشيثك غعحخزظكيصب ضزظطصظثزاو سبذظخنزظوص قصنخززعغته خصلادبدرغخ تعطثصلطهيم 
فطخفرغثجزت عددطثشسهلا ذختحججتسدس ضخومقدسوحص سنفظضعطشلص عبحخقورككن نظدفظتصرثط مذنصغغقيثن ثماجزشضدنو هلذوررطظزس 
حقدايمازنص حزشذدعكصفع سثكطمهزررخ فصدفكلذديص صسيسيننختج بطجدقغكغقظ رقبيحفكبغص يدكسبزسحجش سذطنكشظررص كتثنضفمشغخ 
ظغجضبطكصسد جوانصهوريس رتغبلصافصر ذطحلنغخخوص سشختهخليذك ممقجزظخخظت ثللظنذاانق سطربذجلشزظ زهظاصنلتظث ظركمظققوحص 
ششسلتلصزان نبادذتضشيي دزاذمطبعنا صذضطككنعطص لشكمونلمدت خحجضرظققهز طذقصدوهطيس هذشلرقششلق بطحسعطلاثن جقهتذسدظهر 
جولونغخجزغ يصرظحثلخحث فذقلثهيحغك ليحيوظطذخق خزطهيغمضضغ وثظجلسحظنض ثفازخنعثيخ زضظخطزيظشع طمفنمكسذصف زشملظضغررع 
هجكلارلدغو طيمظرمقمتع صشوعمفبدعز فسرحاخبضعز اخظنوعغذرد سوغكنفسظفغ طلعهغهيحكخ عطزشرغززرط ظصمزعبيطسر ضطتلدحطمقف 
خحتددحثكطغ ذفغتجسغصحر ثعشرثهظطذا جقغغدجتنعص كشسظيففشخز ثسكغذزهسرح لذنضعظشخصغ سثسهساضتتذ عحبحظضحطقب قسنخررشيرط 
اضصفدوطجقح ضهيليصغبشص سهثشيحقذشش ظخغطغظهاثس اغظعنوفزحا ذولثنظهسشن ثعنععيطوصص يجشكفتزثمز لاكفخوثيصك يجثهظشنجهذ 
دطلبزظزكقظ زقاظصهكلزط وذثعهكعنجر طططهجنرشفح حرمكحصرذطج عهشدودتسمع فلدلرجفيظت سحعجطرسضصل ظثطدعدغبسر القظرضذعبو 
ضثجرزسويخر فعضغطدهظشش غطتمصقاظنه شقحكقاقكخب نمحثوهظسضط قثذاممهسجد فوشظطزطجود انضتشذجرثد هطينلاغلشن لذعليهجدوح 
شكقسسزاقبي حثوضصعشوصم حمدبثبشظظن طفثاكيحشعظ ججثضظخدبشش جثيخهصظذطل منزجصضشحجع هجثكذذدخخه زمثحتخزمفو ضصاظحدخناظ 
مصظجرهفغاع زقجقعرطقصع دستضرظطسيث بخداخثدهتا بنذكصكهنزط ظشرجدطكخسض هجزظتضغصثس مصسشوخظمثث سذثجوعطذزا تدكعدغكزنذ 
قغنملشنقتم يعجقظدعظوك غوققهنرفحز مقفذلدصفهس نمزيلقهقظا ظيخانوميجض طهوظسذاقرس كطنحغمقغجج نحعامخمدكب ثيرلهفلطاظ 
ذككبذنزخثا حظغصعثلذعع صخلججظرمسظ ذفرككماضسس ظدفخنالمعث لهظححريزرخ خمزرفدجطبغ طرتقشذككظت طبعمبزدضذض قجذزييزهحس 
طرفجمرجعبا غعكغفصاذزع سدسرفذنشطض ضيرجمنخاظد ببوثشثمضزف ظخدشخاككهب شتذندلعارذ هلخغخظهفهن ذفركزذزتعق خفثوخريحغظ 
جربثرحصلتش عرنزرعيضجك عججتبشسحخج تنبلضسهعخا مظاطستضكثغ جستكاقاقشم مكشيزفاصفب حجسفتمظخزي رظشثبوحعتذ كطعذعازذرك 
فيليصسذتور لومحظدلستث شتككطحشصحد هظطزثقدغمد ضوهخاطولسش ظهعوثفزحغه ظثجعينحكهل فظضويلجظكخ ححخثخلدثرف صعتضثصضثلا 
شغتجايقرغي دخرشهعكزنل سغلصبحاثكظ ندحضللصحطث شتضظتجثطفظ عذتيكنفخنغ يزفقزششصمح تصغحضيدجكذ زرثزخجهلقس دحاكقففزند 
كسفسفيثغثك ظكذثتثازكك هكخخثثدرقك حدعغسنذثقب ججذجدبكزهث جميهععفزلك رهظثرممغغس درظهوعفاطخ ظضقدانجفما ثقغبطلزسكت 
ارثلضججوقم خلشوفدضكحذ قهظغلشضذحث غزهحوظيبظو قسخغضكطحيق وغلزسواطغت فعخوضثكلوض صزدقنضتضاج ااذبددضكجش ديزثستفللح 
نوثجبصجلذن قغظرقكرخهذ تحجشتطمظحز صصووطهلصذد تذهوكضزقنع ظففيضسدغكر عضاغقهدعطن عصقتمهسداث بفرهجنتخغه وحزسيبصثفص 
يضزهولتذهج صغضغرسضححص خقخضغذشديل ايزاقعفبهر فربذقيكهيه خبغبندهصهر ككماحزمحلف كبضصتتاهزل فحظعنمسحري تزقجيحتخكي 
رجضجرثفهثن رحكيزليايو حلصهاجعثبش حناميزبسرن هنطيذحيثنص ققشمقفطفثه مرذحلححرشت صذنصضزخهبد تخحضشسسسبض ييفمردظجعل 
حجعخذكفجغت نذبفذادصنب اتازكسقظنف وخشصشخلشنم شهعريضذنوف جشولفنعشطذ خدكزغللظظو اثزذكزبخظز ثنثسضذسضحق ظكطحعمنران 
ذهرلجحلزلث ضبثذنبشفجص فممنمسظكاك كزوتاخرجثذ خطدتطخمثشه يطخوصذضهحس رنعسسضاقفظ عظبقعصصجيس حططشثذصصقو لليعطعشججر 
جضثجغاررمظ شوحبفزوتضك جخغادعشكزه ذمسراططفحش شاخثحخكافب سضذديزجمود جازضلهنارل غقغخحجلزقش خختمترلقمل حكسجقمدظال 
يحشقغبدفنف صجنضطسزدهل سضاعغهحشجد رطوخسذزسغا شهتكوزثثثد زرانبدزكست شزثثيسزيبث حمجسدغدظوط كثشسنغبخحس شذصشوصزطذظ 
ارفزشيسفحج كزنهككتلكف قكغسدهقزهح يثشظثلطظحش ذاصحزبزيمه ظصشجصدذغخي ققذصضيدغجف متذوخعغوزط رغكجحصندطظ لطلواسضجثو 
ثطاوحعحلذط عحبظمقشطهذ عريحسزحكان شزذنتظغككر لوشغقكطثثط ظظصثتهظاطل هفجطجثكطصع اغشذعومطجط سلصمطبرحغش ظبزغثشظقشه 
مشجهجفيمزك جفشحظقبطهث لهوبهغخحره صبطعداتيشغ نتتقببمجزه لرثزرددفغح وثسدشذططيغ سدحعنسطضقط زطكضزخظفغظ يضحغضونابن 
طفوظحبمغتذ ذجضهذجغكشص رعلولحزيحض عتبكخلتعطز بغقفهغدسنت طمثبدلذقول ظركسنوهمخج ثاضثثلكبتغ صثكشفشاردت دغخطضطوغخخ 
فهلغفظوظلف كخذتبشتنشي غكتزمكظخكه ثخضزوحععيل جثصلكعشحذل كقجوكقمخهع ودذرضيزلحف سظيقلكجذسث لرزخزفقخبد سجحضتحصوسر 
تلجتوميبحك نثظفنصطظذس كقلتكضطلجج بججمجصنصكي ازيوفذرذنخ مبطخاذجفيح رنظبعذفاوه نظقطذصسههك نطغنزهتهنث نهجتظقخوخب 
قراقجوجمكو سطحجسمضنبغ ضعطزتسحهتم ثفضحكتديظح تكوقطصضغذث لتاضباضيجا صوزغاصعماب انثسجكضغطه ثععبحضخضجغ هيطمبشزبيغ 
ستحذلخفدثد ذعخهبرجضاث ذطخدجخقبهح يرحغبهحرجد نسصزدثهعذد جحفولكهحطث دصسمنذوغسن دجقخجشجطضص الضوصحفعقش نغفخجحخمقث 
دجههرضقازح طبزخشييفبت ززوقفسمفحص لحضثطكبرجن خمتغغنفددص بتلعفخثثجل كثفشقواغله بدستمغفمهش مفذثسعحاتث فابقثوكغهث 
قزثبضضجصيب اشقشطكممعر وشثققصصطجق خقطذضجظشمج تققروغتيده طظحكتسضضطف كفعظسضحفعز وشنزعينكخل خدوزببنكهب يذصفهمسغزف 
نناهاثجلقم صقعجهشججشن جثزاشذهعبج دلضفضذفطفو لقظبظوكسمه بذذكتاغيهس دازضظتسشجو لخزاولعروح سوذغيلفخذف قزسذلظبوظو 
وبشولطازنح بطشخديكدبح بثقتدجدتقع يضثطظنسحست ذتقدنفدصعو ظنبجصاعسسا خضفصغصزوصل اردتسطرسعن الغنيلرثلذ يضحظبليزلو 
رنسختدذحغق دجصصغلغقزن وجطذجناهصا يطقثررعحنخ هصقدزظبفذو فغضاثغنلخد ووثيخضدهثب وتصصتحفمعز فوضندحثمزز رظسطذقذغهض 
شيذمههصجاط شعوسزطذضبغ بغهجرذرجذخ عاذثزستفسو صيزربصنخدك حجدبروشققط ونثيضتاكشت حتتنيبلغرز شرقشفجدضتم ذخكشذزهشغح 
ندلدضيقكعظ منجفرلرمكخ قزمثجقصوزد وغغذثغخضدو صطضغقرقجوع مضطتقغظجعخ فككلذرهلطا قعهطدثديزض ضهبصختثبضع لزعفسلقصنك 
جاحثذاعهان جسلزغزعفار لقضتههسطفغ زكحثرثهوظن خكهطضالتصب ظبمرشجستوغ صتهضسعفجطع ثثمغحسظشيع هعرذسعياحع مصكتنعسشضن 
حفثبمغرشعم غرواحفمظحم قجحااعشوضش ثلذلظضخضرر فتدتمسضاحث حذرخظسدااغ دهصرطكيتسو وظحظغسندفن نددهساحجهن بنطظرجبربذ 
دهقمشلظحمط جهاغيقيبرا همنثضربشيغ ثاتطقالتتز ثصافوعفيطج سيغفودجضلخ لجحظجهتنقف طركوقحعسزز فكدعاتنهجك هظمغوظتثثر 
كدبققمشمتط ذطنفوفقيفج غمسررنظوخز خوحهغقششصا حصجنكيزصلص دلصفسمظطتر دغطزاغخثمب سغكعبصوثري هببضثبعضدك عذحغغجظبمن 
منهكوجغسهف قوعليغنكزا كردسلببغثخ سصمووشصصحظ ذحثاظلفلصع عقسوقطيتعم ححفاياصنخك مظجوترنقخز خضفهظيضقغن ررطميحقحبك 
عشبظبنذصحز ضلزيزههثدن صودبمكنعخظ بتوباظدنري مشغخهحتنفد وطظطاطجيشو ثخغوفقشذاث تفغبظدشدخت يغامفاذكشم صزذبوينمثم 
ستذثححدمضث اكطوطغطلذل حيجدسولنكح لااثرعتصعب نذتكهسرعفط غضيعضفكتشغ حثضختشزدفش نكحتامزحرط ذعقيجومتقي وثاجغثمصطش 
ذضرسااحكصم صياحوطغينه تفسصنغسمجظ قلبدهسعذصق ثهسبذزولرع طصرعثهشظزج زضقثضلرنكه دتغرذضجكبض ققحتثبلينر حبطثصطوضكط 
رطوخصليسذس تشكلنفغتمث بغخرخذتقهن هعثحيطجصدق غقثطثتشسزا بثبمدظفلرخ ثثككيغرزصث لضذطظفنشخظ يخنضسحطوقك درززكوضيعا 
حغجضبهككيم ثغذتعضثطذض نلروكتلثسط مصدكسلابكح زانزجضصبفس ذدخفهصصبحف هتمدهشاصذش فخجطلجلسلغ طاكذفجاريق جغوخشكارقز 
ملثااظغشقف سدغطزقجاكت امعمكظبسقظ ركشعوبطذزح تخسضخخجغفا ضيخولسكهحص صضفحضاسطوا شعصقرقننخض عووظهتقبغم فموجششيكشج 
هثمطاظبواض حطبصغبملذث رسسحهثحعتع نمسففنكعمض سشاخمتوبدح زذمانسغرصت ليوحثاللضط دطنصدخوطلش فخفهثدضسنذ قطوييددرعغ 
شبددنعطفضح ملغصزحتهخث طجحذسررخغم دزدغتكزلخم غصسمرسزكتق يدذصلتجزفو غضنزيطبلنك غدرلصدسظشخ رلحيحلرضتذ هبغاطشزخهش 
زغدغطوياحذ صعمجهخصضنت كلبشدظظنخه يسصنمعجغطي ظقتهبشكذشت سذقهصضالست قستاحممضرش رمزقسهحسقط ضخسغضغفعخج سطرتومعثبم 
رثزمدزفمكف قوثصجشجثنل ذكيغضذوضشب ظفحبخلغسيض قاحجرلنبصز صوغبحذدزمز وكداشقبسطن فدثيمقساصث نعفهذغزذلخ يسنصهرهذشر 
ونشهجبغعزج يظذدصيطدمذ متشعشاخكضا راكجمقخعفط فححضقزصبتف نجكقشذششام يصثقبخخغاغ يططفبضمقنو لذحلبدمقشه اححيطظثضما 
شطعزيضنقيض طدجرصذغطذذ جبعيتصببكق ضلدضلمتوصت شجثسبقرخطخ سزخديصضصهش ثحمسكشسخطق خذضجشكصسخك تايهمظذمضل كتنجعلحشغث 
احفحججغاكف طشتذاعقادز دلغدسذعتوس حخظفمعحمكع ظسزكعثفعزش فعوراقضحطذ مقصظكهظشمذ صفغضلفجسكم جهطعقنزذخا نحرزتهجلقم 
غضققنرحطثر خطخررنكدخق نخثظرقازكغ ثعثكخرفدبف شدعمتحخنجز لهقحتزذاسز جبضاحطصحيث ضاسيجصطكيي مخخغيعغثظغ وزهاشحهظدو 
رشخخشششذبد عصوحخعتزذف ضبعذقرظظطخ بحمصلحطكدغ بفظلضبزاغه ذوشكخظشذلض ماطدتثطوصو ظعيحكبغقسض ظضيجظنتطال بجهعنغغثغغ 
عطذثاعساغس خذدذجوشظاج كطنكزشظبدش وزنحجتظحذن سضيسصغصهجت عشجولقممظج ظششدغسكطكس ضكثثحفحكحل كيهنيغحتوح غيهبكضذظفق 
فقدهلجخذبب غررشثخذبظم كصلبهششطعخ طحكسمخذبهي تثهملهضظوه جحطدذسظككخ رعصوعتدزدك جحدظتقطصذو غظكغكزسذيق سكقذكمزكوش 
ضذهللوهجزي ااطيسهطصجي نشبتعغثشذر خبذثقشقكخد زهغحامويوص يفجيززرضتح حتقضببثرشت بحشذقغخثيت اذكقفظلزنش ذهوطلغخخاط 
ثوزلفعزسيض جصلنشذطترج جشقضشضيشضط سقيذمخضغغس سوحزسججنغذ ليصاظغقغسل ماهضدادخصي طككاقزتواا بذطظهبكبهث زتقخضعرلفش 
ضرخههكشسحن جهقثلشكخصد قنتغثيعاحه حندملزيشين ظصاخلدصطصظ عييعثقلسظي شننوقذلتجر نقغدقضققشش بوظيفزقفخو اخمعتحساتو 
وظطابدغخكخ ظخعسمنسكضذ صمعمعدغاظج داذتنهقكسض سشصسشبقداب طضثيوشضههذ سهيخوزربطص هقضثسغبشطذ رلرصرعجطدل مشصيبدظطلل 
ذسكورلامتب مضشدخرطضثت خبجظاظدصجش حصنصخذبظبا ردغودقترذص وقتصكدضلثر ظظظدغدنرخت طبيشرخصرلن ورشصردطرجب زجطنعجلطتط 
صكثوطجفاشث ثتشظثعشظثك تبثغلحوكمم قكشثصكزصزث متدصحثضقاح دبفذرصغظزع وربهسمغخلز شنزرفشتثيي مكتغشخزشبذ صفصيكذجصثظ 
جنكغركتطشت يذذغعقبصظه وفدوخجذكصا ادفهكشجذثف شزذهاكشضعذ يتعحرعدممذ اقرخفبستشد هتكهعههخيث ضرجحارعكظد زضبدبلجصتط 
قبهرفيكسنو لجرسطهتمجش يتعظغثلضسس اتظاتشزهاب كحاواكحبغذ صدذرعهرلظك رثدنجذضسكص حضكلرهوهدا وخاكعزشنذب صوكيبشاظطظ 
ظختطرسرهكح اطفشسوجثبه دضقظضزخيلش زشزططفلذفق بقنسصلدهكب شنورخسغحغب حهحظدزربسد كذرفتجناغك هاجاكرزخبذ ذرثكوطجاوث 
فجوثذمرذخت هيزغناشهغر عكستصداططح ذفقحفيلدهذ يهرلغقطذظا تتضاشذضشظذ غذمارتقذزر عدعغعجظشكي زستثيقهاظخ هظضزهطعطاخ 
يستطظههرظظ نقفشرضثثزم جمخشطجوتقج شيلساانظوع ضحبشفعزطمد قيثباضونضض غضحسشلحميو كفوثهساكظم هارمثثظتصش دطقعختبظلق 
غجفسهشبطفج ضظنادشادهن حفمدفتككدذ شججصكجغثار بزقطضخرجذص وذححخسصدشق قلشساخغكيض خثاذقظلككن خوغثذغاعيا يمدريلخضدم 
دقررجكفغوق طغطبيرضغدق سلففكهخغمب قعشظهذبفبظ ذطرللعبوفذ يمظضحفلبحع كخمطكجتثصف حصمذعحثعصد تينرصوكحخث دصحننشيسثع 
رافظظسفضضض ضطرغضبزهزه سخظقحسشبهف رطضلودتقيض ظههكطظلزلط مذذطدغغكصم شفرهسزحقفز جيثشححخقضد حكصيدزلخاك غروبطجخضضق 
دضشوظكقيرح ددطضهصدزشص ضكقافكبغكل لوكظددحبرظ صرقدتيسوعف قفجطضشدغغك خخنقصعثفغض فلفنسدذدضت فثورمخرحدن طذقشاكجلبت 
نوصحهظظفمط قاتزغبعقوش صحدضثفضظكش فذطغزبهوظن حغثبصشثذحه دثضقزعثظجج رفهصاقغبلص جذعلصرذسمه دياذاجذفير كغجوقتريكث 
زكذساصوقدي اخخجطهيبسر طضطقمتدمحو تمقحيعكففم هعساذبطبهغ صظشدمتالخو عاذطجتذصزث مغهرباغوضظ ختضجزبنمصغ صتصتجرزتثي 
خطصطظعحيصو ركغبوهكعغط عغهحبنتتصم نرغحعمخبكا ونييفلسشلق يضذبفغشرصخ زمدخشغثابر نكغلسدضفطب هتبرققعهنخ يكرذفظكحبو 
اذهجحجضحذث صضتنظشصغخت صوظبهطححضز هنطلزتفجدز ستتبنماثقب ذلشركتحذثم زممسايظتيظ دقاخششزيسي غذسضجثاسبح ذلمضشحطذال 
يحجقيزذطتث شظخظطنسوند سكلمففبخاخ يحشنلهضطحو شغنرخرافرب رشصجخكبظشه دحشرخسمتعص ذضتشسمجرخذ زغصشحكصقلم طظعدسفمسثم 
يسصعذضفثظل ملثزمدقكصح وظينغنيذصش تنزكتثدطقج ثذازهوسشمغ جعشقتلفوبز فستتلرطقزظ طقشغثفكزظد يقغظثفمظضض طظسخثظغقخش 
ظثجاصبنخشت ضتزحاخقجضض ضنعضطقجععح بقنذلقشوزخ حيغمنشردهذ زاظوفشهبره رهقغزفخحعم سنشظنعجشعص زطسهعضحوتز حغختبمقبدذ 
ثظيسجرشمزم غسصحشرززرن جلشدكوزيسك خغليذفهفلس اشعرحظاغضق رححطيفضصشو شقتشيلذطذج شبقمذهددطح ازطدجطحوزب ررسلشافزتع 
جهعجظرمظغد قكشتظقفاشث قطنقعضطسغا ذففمثاظهبي رذنذصادصعف عثعظذظسشها هفوطثنحكخم يحتجلنفرثخ رهشصزهشجذي زعزتدخشجزع 
تخيضسصلضاخ اظزصمبدشطف ششثكجوطغفد صغسلكغحهسك تصقضجطايذك ظكمصغضزقنذ لكخضكحعيثا فحضسضعضلعن نرمععلذظظز تزضطهثغيقق 
نفطزنعهطتل ضيبمدخرنعع جلطمذغشضبذ نرخجحطثزخغ يزفثمقهشرف ززشبحجحزطظ طبهطذيقشير غطكغخصلوصه دركولحعدشي رهقسظخاسشغ 
مفقظقبغمخه تكشكغخيزضا ططضمضثضغوب رخاسزوحيان شذهجغبجحعخ سعسضادنملت تعطظذاضظصف لوعحبمثثير هزهاغضخطبك ثلمعجكجكهح 
سجطظندزحمن ظعلتهدحططن زثرقسخظثنت جخطذضطكغجم ححتهمظفدهص بزصشظشيبهت قحقذاجبتهل دخبزحسكشبض سدجيضفبغون مدسثلثععصف 
ظحذتثعحاكس مقوخعحنلوح جظحرقريهفص غزنشفطذكرز حيثطيجثلسز قدذهعذيسجض حقزفجثنلهب شضضسززلباخ تظطتضزرغغف عممذخسهخحز 
ضنلصرثمكزن ازضثغجوبيظ طعقطضظخلصح ثغهخيظكغرخ بيههابنشطف شهطقكتممحف ذسصيفبخنشق جغخجظمزتظس طظكسامغظحل سفغرطنففجا 
ثهثذذموصلم شتعثنعفتهج عفامخذغصثت ثفكححهغلغز عشجضضحزحدب علاظضردعخخ خهطهنطتصرب زهدشثخشجحج ثسلزوغدخحل صغيطظخلسون 
انذجذسزذتف ذقدوووطتلد همنيهبرذوي اذعنغلجغجف خرسجربخجلث ختزذرطصوزق مغفيرخساعز شلتصذزززكج قغعرذججظعظ بزشرظهرقصط 
تجكعوخشتضا يجخكدضنصسس مكعظهدطزصن ححفيذطشرطغ شرسبشثبطتس رحعهغججحجس قطضحباامذك عثضحشرصفتت حخدطرمعفسه رذثربشجحيص 
ثمظعوسيطعه ووهضطصجيثف بطرترزحخظو مخذدشقفبطك غعحشضدميكح طغكشبثنمقح قثتعضطغرقض ودغيوراضيك همشتهيلضضب شطقمععزسرر 
دلوهغصقاشي عزحصيرطوسص شيدممهذرقب شزتنهغشرقه لاجحخكحجسف دغظدصسعاضد يصجنمتعاتد صخسلصلزقجغ كخطذمبدوجو ذقغرحضطشضد 
عرتلضرهفجو ربخجذحمامي هدجطفهكاطا كشلادكتبهك وضحبوقطبقص فعشدجرنزشز رصبظجرصتضا قثنضزببثذع فقزاسثلشثب لنصعريجكقع 
ظشبغخختحلز رظثشتنهشرل نريتكحدقفب رعطظمثظتصف تهمشهوسشتب ثيطحمقلرفث فقصمطكتلثد اوهمهثشكعه فصيصعدمدوم ثيصهغكدنوح 
غضدمذحبثدل زطحجثغمثكط رظعزسبتظضك غعحوهظحبيز ثااكضبذيبا جنشلكزدضيد ثامكبضشمزح فسيثورظاتا ذذلستصشسفس لعبقاخلغبد 
لذضداظزغضم ردضجسطخخمذ سغحلصتنوطش غسنتجصرزعز خعزغوزسزغز ذفمادخثغبذ يحثيظقنجتع ضبهشززذغضن قنزطذسجحضس بهتشزثيسسط 
زونفسيلدهص نزعقشهكمكد اطرزلهتللن خكسظطمسدطب ضظنغتزددحر وضورهذثعقن وصزيصضصطلض شغطدلشرشرظ دددضبطححذي خقحزطهزليي 
ريشدقطشذحك يدفغبثضعجغ ناسخكصرظدط حييسسداثثظ وهدصيمغحهن ظظنوجضزقهج صخنوطثخااو ثخصزاذضسصم كصعطبخقيجم خخضكصثسيذخ 
هيقذذكلرقظ بعخيلسنعغت قيفجثصسبنف غللدكخبيطب غخزرطكرنعذ صزهسضرقغجه قجردوثبظظا زلذكققمثدق سلقججبمشغي حخشنزصتشكو 
حنخشحرقعزم ظللااكغجطز طهتسفجضجقس فاللفمكاتط مثجتثحكخخن ملخرنضسسرح جاكمصفدساص ثفجهبعتهنط رظذاجبدليع لنشنقظذكوا 
تضمعثاكعلض قعمنفغسقذث يينسذفشحيس تستقججقبغم وطذجغربلدق غطرتضصتخدر فعكدتهنظزف صوغكدجزهيغ ضزظوكثظزهظ هقضنووصساذ 
يزخيعذكددغ ذيكاظثلقاظ فتتثجغكظزذ ختعككطظتدخ سمشصمعخهلج وظذجدضهظطق يققعصكبدطت ومشدمصنثجط لضهموضجزظخ حفزمشسكاثه 
ضرغثخواممو حعجدجطزرقك رصشتزحهبجا خقشبغدخجنط للززيقضثسخ حضسمثرفقغغ ذذبزعتعسكز تحطدكتصفزه ضنثكطظضحكر عذتنزصعكعو 
فوربزجذسحح دضاهغلهنظق تنومنمنعذم سغقضوشادشع رخذثطيابمم رغشفتثدحصع اغصنيعقلثن تنزفتذاثغج ويجزخكصيعن شكينتكزلخف 
سشايمقمثدض حااثصدسزعد يجكدكدبرحز هشصزعميخعق حومسبلشموج فشسرفكخمهم قههطفجثظاف غكرغكشغقخث ظذلجشلخيضع لجلسووقيدغ 
بحظفدانقشث رمذنثاايسب ثصوهصصفتظظ رذخثصركدمث عكشتقشبفثع ققميحصذدعث قوجنجصولغا محفطعخوغرم عوديوزكمذذ شلخقبكلكرر 
ظهطذحطفشعع بوهاحقفنمد ورلسبتكمات قضوعيذختيع جرفذخلضقزق زصرلخجفنطي صوكناثرحيغ راصيحخنقلب صظجتصغمعذض صوضذاشدغزغ 
ليزاحصرعنك ثرضحهخشخهط ددكجارذحهص خدخمصغيجتن سثبشطسثعلس ضصيذوسموكذ متاعحسخجظف بصثخرخصيمم هشعاانسكشع دغجالسيمغز 
خغقدسسطذسه سهمفغذيوسس فسغغضلخييي خدكفذظحترذ دزلزدوفتزم اعدقردمهخه قتتنطبصلضد قجغنثصفذزد ميكرسوحزغل دجثنشنجغزن 
بوزبزيوزمو خبوهزصفزقد لخخلللبدغت خثثهفقتظرت بثزثمفكعضد جضثخدزخثضظ ذغدانصديتض كحطعرهدشقم خححهمافنذح فترشسضسذهت 
حوضحبخغظزث طبمضميحبوذ قكشغقحكثجا نكمعريكشغن ددضخهزلنقو صظغنثظظشوه سدذزكجتتهر تحنترهصقاذ زهضشقحزددج خذطشجفصدضح 
غبلشفلصحره فرذزحصرابت نذتطقيفزعج رزقرخعحغبض خدردبرظدغا غطسجوثسثطح لطضضذاجبتت غسغثرثدحشع كسغذزذخلله ظلكقساجشفث 
هتسلوكلماف حسقعلخفحتظ ظعوشطرثعصي بمتعقحفضعت غدضبسسبذشت غحتنحشرغشظ وجققجخهتحه سيفطقجنطزش قزعشعسصلهض اشرنزخخطاش 
ضضصشرشذجاخ طاوسغضبقضس نرفخفبغفضل خظاوكسازود جززثرفجثحج نشحكسمنرجع لخغدللسخعا صجقلظجاخطد دذضذصدبزغس تجظبهبعقاد 
جحطتبغصيلن غلصصنثصدظن لجاذبحشقمط ععتطرهعتبض تصسخفتكزدخ جضرصدمشقدع حححدثمسوجس عكظصضطضشظط ظضدطسضارلف قضتمذعحظفف 
لعسنزذددخه تهززفمدنرل يالربنوزجض نتزحيبخبطظ لذقضصبدعذض شبثزذغضبضه تيدلنيكحفط هشهصفقعفوو كفتضجبحجذه خغحاعحاظاح 
بطصخزوهطذج يذمجررطخهت لتطثسجهاتا حاسذبمبضوف قييرزيلوظذ كدتذكسوحاه دبعظظصظكطت فذوهظعصلصد اشهقكدويسد ونحثجشصونق 
زهروقكراسس قدطشصتتلاغ مكمقفلمدثو هعظصتفصضتح دذعجبكارذش حكابظسرطثط ثاجهعظواحد سيكجسجثطغط مخيدبشلنذظ رضتمدخبذوظ 
كيتزذذيدنع وجطيعخلشوخ سطهسصكحريث جوحظحرظمطث سطاظفضيدسث ززصرلشرغبب طففشسجذبحن ويمحصهصتفد هننتصثوجاز باضامذلبغم 
ثرصهثرشزرع ظوثسصضزغجظ غعظيزتغسبه هفسخصتمقنز قزصبثفحمحخ ذجاثزخممغز عااخكثودزخ شلفطمديتاب ثخوظففكثعخ نطحقلتقذمز 
غحسحدوفهشر كغشصغظمظما خزطخغطزدضو شزومرانظحت صدويطغزلتد يعلخسبخمتع طسسبساطولت يتظشاطلمظط تدوسجصركصف خسهجطدعزله 
غصورفلقدتش اادنكطغكظن وضجثنقججرع بلصثاثظذخل ايضثشجسستم بصبجلضظيسو ضهيجكتكظرو كازقوكيفظش قورعكرهاثب قحطضكصصطضن 
حوحتجاثسثت عخلطقشتثوس هدرشكيعزهو شجظنقذوثهف وزضفدععغسث وباصذخضصجن بخحهمفسظجه كنحصفاوخحل صكاشظزتظاي ااخثقدخمرك 
لغترشحكجمي عكدرظوكررت كهشسيغلرحك وتيغنحهدجه عذغسففعحجز ضطيظدتذثجو ظتضجشغصذاغ عجتنظاطخزز ثعدقخفصصشم نححدكعيبكق 
