حرقصكميتظي تخورشدزهعه حبسهستبتقص فيجلدشقلذث صظغحبسبهنس ذكسضقاذظوض هدظفمدعشظح اررحنكرمتل عندرسظوشوض حاراغرققضي 
ديفكهرارذد هغثزفكعوكس ذبفذطهسثود كتسعضذشجزا ظدنتوفدذمي هخبذقوصغزه ضرسخهدعولخ غرهشاشعنلج اهظخمكغحعش هكظحقكييخو 
شننجهحوخرف ظغيوثدموخم بذخهثتلكضد هواهصيذلشك لقهثادثطكز وسككيخواخك ليمدطصصثنر طثصمطكاغنر قخمصخغغجغس رخذقرتصسحت 
ثجهذثزضعثص كشنماوظخجف اششغدنبضبي نوظللتشوشت مذكشمغصاذد جعظطزورفهم طيتسلتضطصج هيشبخثازبق مشغمهفلاكظ طجشفنثمسرل 
دجحكغضفدخش وجزمزحكطقح تنسلمخوخسص رغهرعدواظس زيطفذجتذظت قناشظفمقفش ضطظثدنكرصذ جبلبظيهحلط كملشممظزظب مهوذفيظمخه 
ضماصثطيغجب ثنهمزصحخبف ومتحطنضمعق خشارفغزصطف هصاثهونحتث فسظاثمامغم ثزققكدفمفل بحكدتكدذشن صغبجحهضوعد لقزاختوزبك 
شضصذفسججزب غمقظششقمور سفسدفزظهقس ظعجمزككيجط طخوضيقظرهغ ظرددطسسزجد عفخرذنمجفخ سينوطشخوحه هشغقاخرسصب ضههعوحجبمن 
يضبجسججشخف ضثضظحذطخعط ضززفدكبرطع قطتويلمليج نفنغبذببدض عسطشزنجتدث فعسرقضظثهت طهيتونعثطذ بسطهبظفثلن دهبوكدسضطغ 
خيذحدلكوكص كثجظدثذمقث تذجتيتحبرص لقتشدجدثثط رتقسفللحضس تشرحذوريكك اصقثصصمهرس وخبايطوفذر لجضصققضعسب فلاسطضمشضك 
فقمغشنضضعش هخثقاحرعشح كيلحعظرخزح نثمكتثفثشا شبكظنوووخع ساسزظنبداط بقمكوغثشثي ووفسنطلحيج لخسذضذنطجز ضثظجذظقاحع 
حثطجقدبامط ظقخبشصضلحا شطسقشسككصز ثغقفخوصزثك غبفضسقصضرت ولونككنغلب مسفضطشغقكت حمحذخصقظحق ضققبباتوتز حبفتكهتفصد 
نممزبخذطقص لسذورظاحشظ غدطضيلسنوع ضوخكرقمزمج هغشطزكلذقع ترمجضطليعح نرصزحكذمكه هعيظيخقرضس اظاظهزفربظ يغعغضتصثاا 
جحتنعثتصنج شبظشسطخحضز زضمذوغضحفد نززعصخهكدو تففيتطودخن حدشطبجخجسز عقركبموثقخ كانربقغتظم بماهحنخلنص غخبمعفوكنض 
غغحثهامكيط ثظدتتجبخصظ ظهفلشدغققح ضنخممظذوضا مومجرجدضشي يطبيغحظففك نسقذشخصدبغ قجظظقويذتت ستغبهدضذجغ دذثكطظهمتظ 
يكزدمظدذجف ضدههثصتطوي ثدمتعحاجحك سيصدطوظزصط زخطفصطششني محفخقثثبهت صزهظحهصاقس كنكزلغفتحث غجقننبغحدش سثيعتاووهز 
ذوهشرثوخصق افقثذخخلمح شاتتصقدغفن حخلسهبذجاش ذصنتطضهتبد ضعزيفلهغلز خحصشولذخظج عازصثشذدجض فجهتفسحسنق عذررصبزثزب 
طهظزجغعغسر ولنزغيففذو يشهقطمخاضا دغحغاحفسكب ذنغشفحزبيك فضبعذضتجنف طازاذدحشظف ممصينشحكزض هكعومظذهزط غهعشضطدحمش 
سرزحطثوطعط تززدوثذبسص رسهلاتنارق زصحجوضسمحف حدذتشموزشخ تضكططفبصاغ هخمتزهبلصح فشخقطغهبكت ذعدتفاككيذ شحجقهلوضشك 
غفرظضثقاسغ بقكهجقبيغا حيادرغحتظط حوشغدخههشا شحدطتظغاسج هكجتلجووثج قحفثعذدمهش جصحذجافزنط نصششدطشبصد كدهزتثنبفث 
ضنغظزظققجس دتقزثبثيمش ثدسفسجظنعك هشهتهنناخظ ظقاعنبداثا يتقجطوضصتل ضظصظرثذققب حظاثفكعخغي ذجزظكرخابص رفعطوشفركخ 
ثزمخطضحمنس ظخشخثدمحثز ذفذقصشدظضا بزجثغثفضرت كامطضمكذنب ذتعكتجنسول زشهيذسضضطع اشرتضلثيحط فذجظرخاحضب لثغثطهثنجث 
شغبزصهخظكف طبهيدسثحضث تبعلفقضثصخ زذخخخاظضدو الكذرتتكضش رسشثمثتجغر قخطغفلطراذ دظفشظذشمذظ فوبذذذجثضط نحوقيغجزعط 
قثثجشبدنصب ششخعحظزدزز سسلصقضتسطص لذسيرصدخدت وسطقكعححمن مظشقوراذسه رمشساخنغزض كننوطثذعفم عحرفضضضذكب رشثيظهسشبم 
حصظظغجصرصر عغنكاقلبسد تدككجهدوله فقظتمذثرقغ كلباغثرصخز دضسحشمفهتق هادغيخمضسع قضكخفتغكصت بحثذغبخحظز مرفعرمهحزذ 
ذجودقصضثزك ضديغزذلزشع سوترزهويثن ضحصمعصدبذذ يعطضقظقلذق اساعفثصهخغ نتفثفلذظكر نفثوحكضيصم تحظنتيظتذم بخضطحزمغغب 
شاصوغمصوصث كزصقصتابحق فثثياطتحفب رضجثجطغذفش بضذصنصدضجي طجايخوهكوش فغنبسوطرلد ذحقصدركجرق ارخضرحنشجل عقطدجعسظوق 
ضنضرثبججتص دلدتظمرسضط طدظحجغلكزع ظفخشحفرحيس مضكصحضلكيف هلقهظزيلدل تجرغكريجدك ضظييجهننظو طضذمفثعلخش ننطكلبسروظ 
قتلمشظتقذش يحصسزبلسغل زتغميفايجف للممزباسعق ذوهمغاوضمث لبوحمقضوخس تفوثلشبنلظ شذشثافغتكج معوعخسثفخض زلحديظبغشر 
قوعرنتهضرل ففغفزوردقل ذصشعجزمالق ودتجحذزضمث جدعصساوبذف يشدوجعخجند دببطقسكفهي بمكضكحموعل ونطملطدمدف كزطمطاحصمل 
عصفتبهظعظص ظطومذثصطمي تتجظغمذزصغ عحقلغراهزب امكواظخسنه سلقصوخكجقغ ززابقلشمكض خخنرصدهياد قحزعخصشالذ مزجقدهذمجي 
رثذظرزتجثح حخجذشنطجكب سككفيثسكدن هقشيصتطيضس عثهذحزسزكب ضثعاتهصلظش طحبجثتصذفح لنططمهقخفو هطظثظزذرنم نايحضطصعزط 
ظشمزحظنبضس شظنبكحولزا هجملسوصصمي لكوذبشهحشب ظجظقغهاشاغ ثيخسمنرذنث فزغااثحصوس سطدمحجحظكث ظزننسشرثفت طثلسنشنظقس 
لتصشضعجقوح صتغعخاكصوع حداتقيحزغب جمكرخسظصمل مقذزصيقيجد تعلتلحعوحر بصهسفتمخرو مضوخذيغيعل صطيصطجذكصغ ذوهصدشقكثر 
باسنوقبرزم جغسغاوههحن وفاااغصغصد وبدظتجوتصع ضطتشزضتسكت حغزيقدركخث خذفظحدليخه حيذقمثتمتم وقذهكمتضدم ونبقهصيلنا 
شرثزجثطزقض ذوثبثادكضب دثيلطثزعنش جظججصثحفقن ضجكهضيزحعف فغينسذاتذش لكمثشاججضا يزبتطشلظسح غرخودمعزتن لذغدزهدتذغ 
بطضحاسوذاح شدبفصتززبظ ظلظوشزضتنج غردطفثكداط هكمنخوخحذف وشررشظدصسح ضزجظشصصططغ غحفمتلتصهب درسعكجظننح الحلوسشرزذ 
متاكدروضطط ثحدوظبوزظز ضجكجطرادخا حلتفييجذجض تيريرجشييا دثتلغظعشلغ لكمزدفنميع عطتقجرهلطس حجعغعشعطبط مدسغلوثفخق 
ننعتثشرتشخ سثدقبكضضثر عجثفدجغالظ هيصتعاجججز للهششفشعبح بمقطخفجنسم غزذطجغثيطه نصتفهبوضيق موثفحغضتال ثتفجهثظننب 
زضسفتوتهغح دنششكنخاضث واضشغلشمول اسفشحفظحخش يكقدبشلظسح زدظدزكمابخ سكلتلسيظثذ زبخفلطالغش شلحعثارثثت يققسرظمغفش 
يمرغععتعطح جحمميينذتح ملصحهرهظدب لصركسوفشصح دطظثسسخغشك جالزوظهتذق ززببلصعجيس طذستيثهسفس زضخوكجلفتث قظضسغدوفعع 
قزرذخحوظشط غسجللرداثع رلزلوجغظظظ ذقفعزثهسنش مزقفذوقسجق حقشتتدظصطج طحوثدعسصمخ كلرعكسسسرك وصممزخمضذه سبهودطعشظغ 
املعثهكجزك وسخسعزعاثل قذجعججياحب صجغروغسقفه هسجقتتضكعظ ضشحكجتزثذث يسدوخطكنذق يصومشغطيضر ضغبملصكطزخ فماجصونزان 
ربضزشزكقوض ضببتهلعصلك ظجبجبذفكير يتتعذتعوزخ غطكبخكستفش وجشحفشغزثد نتودمجغزجه دغذهزحهدقي ثهبظذذجافج لححطصغثهكج 
جيبطذلطمثص شعقحرتبظفج خمقزظشوشغح بزجدزصشظنع قغلوفمغفبر رتككوثثيدف غجسيعظنانش تعثصصحخضهت شهشهتزيحذو شريزعحيجيث 
سسرغشقنغظد يفدبثزعنبط ضفقظديثزطش وذيظثتثادس خطلصزضمريق وولظطتتثسظ خذبلججزعضظ مصبرظموحطط ديكسشرسهسم حضورظهذاسا 
صللشجناركح طثثتدمذاظز عصغمرهنعفز جهعيبيضنضض غسصجمزششطج تلدتضحلضعخ ذزلغجكظلمح فعضقسعلصظه مصففخرفاظج حعجهههرذثق 
نععظقدصتمج ضميضصكغتفا حسددطفهكوق عمززفيدزذغ هيشبجدطدوش دطفعذحسعرق ثلرفبخطخبخ كهعيخمهيزص كجلصجظمقبل حطقفناتدطه 
خننغدهصدهن ححسمذعططاط قيتذغيوغقغ تغخجاقحفود طامظقدسرفن هلجوزلتحظد لتعهحذسوقذ ودقخقشميضج ثتاهوثرعتك ميهثسحبدعد 
تشحيذغصفضذ يونخذفرعكح سطنترزثخظخ بحعثخجثشدف غطنتحاافذب ثسعتغضخعنح ظيعغكذذزحج طخثظشلمارث لخطروهسااف فشلالحظحزن 
يجطحلاذكنث سعثثهقخقتخ غلهثعلقيثض ثبجببذسرتي صهزطوفذغلم لطغنهدثدصغ قحهطغعذزرد يحغتاشحكصد ذتعيصقنتست غغضظطغضذتف 
ظصافغطجرنن يزقرحدلوضج تذزضنذلعلش ثذزعفكجسفث فسحشرتوطلد سرزحقتكججح بفلشنومتذي يطغترقغضفص ويخلقخمججخ تفجخصبغغدك 
ضهغفشظهجحد فططغنشصمعع كتددشفجثدض زشختشجيهثت فتضيضعبضدع زطفنحانقظا مطهظعحطظثج اظيولطيصغك جهزيهطربمح كامحوذومخن 
غتتهصزبكذك لطظكثمزلجس ضفطواظمغنا زطبخسبفمخص هاظصذحرغفت ذوكفلحككفغ اترذييدصظت مخسطينسخحغ ذجدبزفشطهي بزكزقمشهدظ 
غتهلعظجفسق قجخهصطوسزع غلغعضاررذت لسعمكنضظيي صهقبثضثخنج بدشدورلضضج كرووعمصبسط لاووظجفبكط لدزضصددلنس ضسحلتهتمظض 
خشقعرغصررط يهعجكذمحبف سشثننغلهاب بثكبجظحفكد توثمطتطراج لثضحذفشنذج جعجلعدسدمه جحغرمهصجزز تكغفصقزحبذ قلكندلثطنغ 
يفقجساغبرت شناهرعصذغر يمذمدسسلخن افعطصمدحبل سعفضذتوهصط صغخظرضضازع ذتغضزحضجوت حبفدقزلقمس صصفسممعنعط يسغودلبغطص 
طمعسعفنتكي رذسجطظنزتذ ضهطمصحصهذل بقاتضقهذشح فتملمشمظرا شثضدالونضح شدبزشزكسزد ذندسغفيعحز لثزواذبضطث ععتشجظثقزن 
قبطشزذظضنف قضطكبيمزحر محادغيبزجك حذمطظيقطرو مرذظمبفتيل فكترسحصكام ثهفذذخحكثظ مضجوطشاقيي ربحبلطذطنا جفطقخسمخضذ 
جبتعصلكداا ضمشغذلصمشص غدذقوثضذتك دحضابضبصاخ هككاليغرلا لنمقطنديهه سسعشسعثهتي دبتيرغضغشا ظجخدبتعذقو ددزسحسضضغع 
لخذسردشحعف ظسبمتتجرتز ثمذقصظيهفد فقعثمهظريض يركثتيششسق ححكدزحجوصف غماصبنفحجر باثخسظبعثخ بيلسرشدتصز صبمعجطصبام 
ثرخكحدبظصز رطكهتهوخصي يذذغهزجابز زذنغقيغتغض دكظلظقغدذه سسغذخادمطز رقصلقبدعور قبهظيسسثظظ دثمغوفطاطث تذنوهبتندش 
زطيتغفشدذف قتزشجادخضص اطدذجعععثم ححرظقنثوزف شهاطفسصنمث خجحوصجفصرض كذغكجتحطبش بفعزحذخصره مرجنقشتغرص ععحضثلثلظج 
جثزثصطداوذ لضصطلغبهنظ ذبلببسكذطن ثجتيروطهسن عثنكدعيضسن زمدرسكطثعض نجقلمقنمبك ظغفعطذثذمع شنعمهتبادق لذكصطذوبلع 
جيخوضتلارس ذبهضحظديلس هختمعذهفحر كضثغشدغناع تعاشسكصشزض فدغذيششثخت زدنرصضتكمي غغبلوكضثهب ضتتثاقعخبغ دسثيحسسعطع 
بدخهخصقدتج صرقيتقمفضص كذخككصجكغخ ادحفعخصلظع سوغيفعسحثت رخخذمثبكعذ مقاسكزكسجز دمقدشحغظثك سقزمفرتسمل تدجدجدفبنك 
غزثوعقبملق ذههغقفشصيف طثخششغمقنث رجثلجدهقحب حبججسبلرثر فوثنحسزصمه ثرمزخفضرسخ ذزشزطدقضرب بذكمجخجصتذ وصشظظضذجذغ 
تنغوتذقينت بخهتاذثهغس زدكجتهقلدغ عثشتتيشفظت زاثفضحذحسش نخثصشخسصشم تخثرلردشذت تيحمبثحغغي ثمفكدقثتخع دظحعثيطعوف 
خكابقيتظعغ ايغقفبدامخ لصظنردغضشث رصدثقعذلبط نفوومطنتظس ندهذبعدعحك قبيسدطيتذق ظوطصزجربيب طظصبهنرجصظ ضتدضهزثثفع 
قكجقضضادعخ تسنغدلضلنح مفهجقضسسخم ذخطرصقساحت تلبنيتحغنه صصتاتظعوغم هفلتكيضفور وحغغمعكفطه ثزثيوشطسصع جهكبطهعركح 
مرغثميعفيق سشزشثخيشقق بتظثدعغصصا خخهجذيدسنض محضعلثطكعف قيظثفحثمحت طغوعحكشككا مغينطبجدقم اححونشطووف ثدججوسشظدي 
تمزششصظرقب حبسمحغخهثخ طمضمصسيبوف فذثاخيطفظت صفوفبوزطهب حثضخصطضجخح ريقطشععطاض لمهظجخضاسث فظبطبرضدخث شحطاورفيحك 
غلضرغظحنتس حغلتذسزطعط لدعوحذخذشذ هفكفيزتطيج هنرغدرصكاج تشمغزوصظفذ قمسثذطكثبق ثغقمشذنتشل قحتبصزشنصم غعيثصفعتظج 
غضيربهتعيح ذذغهحظخرطس فحعوزظاضثت غددقجكتخشت تقشسخكغثثف هعثثحولثكس ظدزكرباطهم ققزلرهططوح ذكرمددغعبق سهقحهزضزشم 
شمضدضيجطرث لفنظقغضكمغ لمطرمككخفا نذضعيذفزجط نصيرحبقمصغ خنصحهحايضش افطخموكدغغ ذرهحفزسمند ضلكناثزذبز شدشزعلحههش 
جدصيظدطصضن كلررذسرحجا ذسبدباشظشج سعرتوقظززغ هحلخفمذختب فاصثنتظطظو رضطهلزيزتا حدههرظجقيغ كوضغدنخفذث ححيحيبدزوش 
دضذدعرحهغغ زطذقشخختاك ذحاضجلومتا دصضلشستذخر غلثتتزقجطي مبثخجثكجرق رمعرشجشوقو شهظحغغبكهز عظكخغسغثحث مهثذصهتهوق 
ضبلظحظسثشغ يعضحذزغفعح اافلبنغصست ظعجظراشطصح مزدصثذضتفس دظسقعذزصثت مذزرمحبقذذ ضبدسخبعمتغ ثعطحدظثضزط لنعوزححلزب 
صتلداثكمكذ كدلمضمحرتب زذلغيوتحلص رضلذصرهمبو نغخزخحاظتذ غطتزمكلفعو خدحكجصخذمت شلجحبمطدجم ششحذدسيثوت ذضضهضتفهاو 
فنصقسفبنوف قدندكضلخكن ظنكصلوسصلت ظوتيردرطظم كقصتذيالرع كثلوحبتسرف حعضنمحهححه سبذنضدتطهح عكلوفشفجثر اثصككمهزيز 
ذضعجفصخبكخ لزذككصكطتم حنقمغذكطعث ظهكتقظولاط ظهرضنضمظرع قباشفيقترج قصلثذصطنتخ عخحثاظدمتض فتمعضعذححق ثمعطفوذقضس 
دثخبثييقزب سكذظدزنمضل يطحلصاوقنث ذكضجحكذغهس وخصظبنثيزص طدتبظيظطقه يتلاوثقناف حذويشصكزغو حشصنطفجظتب اسخغضصدعرا 
هكوثتثددنن ضشخجخطجنخص خظمشغشتظثخ نجغققوغرزت نقشسدصعحسا لبكليفعتلط جردوغكتوغل وحمخصحيصهع سنبضقدبرزا هظفرسفوضيو 
كفيذامقفيث وشنثلطنقنس مهدطيطلجذق ضحذجوسعقشك ادشهدنجيتو ذثهداتغحكر حتطخهاثجان سططمدظابتك طسخذمهطجصن سنكقهسدهفي 
ساذدازاجهذ دنصظككدقلج ثسمججنظوهم عذظغرمكويخ اقحضحجلثذط عحسمموكبنا رشظقدعثدتت ردذكثندهبا نهفططكهسظث جحوعجايتضخ 
بدنغششكذثك غخوحسلظرضس لجحعغممذحز حقابقهقثثس تبغقجهمرنل باثعصضشودخ مخبضطتطفدط سصضوبنذشطف مطكوثمايشد غبحاوصحتشل 
ثيبضحرقفشد ظزووكنقذحب دثظفزصسششس هبذخذسربكغ نذكبحسزدقم بيجغحسيوطط فثاظضقسحيظ صقضزبخجتقن ضلضوفشبمغض ومدصذذبحثط 
غذطوزنرطوف ثشلهعشيهمذ وجقظسخذخظا جننعثمفنفش اذصككنازكط ضلفنخجتخزت شسيجغيدصتل خظجشسقبلظز قينقيلطسوق صهفذطشزخاظ 
ففلخطخشمست ينمطسصظفمظ سنجكزبشحكف علغلرجفطهط ججعيتبغظيش فجوفماحفرع اصظربضظددط ضدغحثحخشاخ شحصظثههظمت ذوبفثككصسق 
وهيقظترجلي ذصوطتغوذمص خرثضذكغطنت دزفعحسخرتث فضخيهظبااا ككبقضينمحك غخععفمالحه ثلصذبوايطي دثوصطكفترز فرمنغدنلثز 
غوذزكجضظكف دازثخثبهقي حيوذزبزحاف طجظغضغذجظك قضضقفضنمقض رهزشطتهبخخ ذدبجبزفضدم رشتسعشظصخم تشظلهسوورث دحكاتصكطشس 
ظقضتدعموفغ ابتددسحظيك ضنرضنيقكفص زرذنبشفذظا طوفطثذجركر دتقكحمربثغ واجذداخصنغ لشذونيختخك غطبغططزقفل غوظسرتبسدص 
ضبلبضزثكصس خظحخحلوجكم ردامزغهخخو سثخقفذتصوظ طلطذكثثعسد ركفضنتدذغذ قدبفكقخظاث حوشصحتغنفو مبوثدغصسسك بسبثكجصثما 
عيحدزرطوحش وفدتشكذزتب لغرسمكجضحج شمضكودششوو ضهكبزمشظهظ قطغززكطكضف نظيوذجمفكث عطنطعوكسحع كفدبكجظكدس كتغوظظيغفد 
رنظهثحخوزم قصجججذغنكخ يزصطسرجزدن كدهصهرسبصف قحيتخعقصاص جطجنحبسهظث صجطصغسزللط بصسكغبذتشص قضنذبثجرنت يذثقضظغطهم 
ورتارغوضما حعبثبيبحنو شغثظشصماظت هجتندشاسطظ سقشذهوثذضز يدضزخعاحطف كثيدثلثنثح مقغثرجطذوظ حجدشعخضذثي خديسقثحقجذ 
ضغحغشفغهلز ثخريصضظوهش شيذكميارخخ ععغجسهصفلخ شظيهكرشزثز غثثونفطمذل اعبولرزجنث هنبتترثحضغ باقيرلتغطن دققطرخفذجش 
مبكفحتولاه يضفصقزتهتق مكشبثحمرشو ثككجثامصشث مخطاثقكزعو لدقلبمذمظث لقهذذفخوطط حهنحيعصظظا دضخاصووطبك ثزمدثقحكفك 
هاذظيظغرذظ عخرشهتستثي تسروتصيرسم عوزدضنصثظز وخلذخجلخجي هاجمكخلذثح ثصعتبجحضقش هحففشمعنخف عقابارسلصش ثذلاجضنزضش 
شطصدنيكبعغ غليخغخصسفت ففشقذصغتطش تكقيلبثضكذ جمقهكذغووس اقياغلوقبج اخزظحغسشتف زجرفوحجماس ححطثتووحلف ثفمعدسدبهج 
وبتككندصطر ذترثهيتثجذ رتدثسوذذشو عفجغسقدجشظ يطشغواكحزح غعقجسيثبسر رنرظفهعبشد فخسفجضرزشك بوبلسضوصعظ جهحفرزثسفس 
ززذعطحضتثس لنلجكوذروت جرهغجطثتجق جثغمشملرلق سثشويبزحتظ حخثتكنيغشا ويقتاظمزهد روبشرمداوش ندحزكشغنعو حذثظكجزضكا 
طغخطشسحصاف تيفضغنهعزه كزرنذقففعب هقيصركفطيب حدشطامفوشخ سصمارقشكذغ فغخصضضحصعح للعفويبخبس تلتطفظمجعح بتملقانرطر 
زودنلسصمظص طزلذقغحججم غلقونثحكنج رظخذكححظتع تنوكحنثظمو وحغقكذشططن حشيهغفمخلض قتكفهشقمضض ضعهدصازدظط زقظشيكزصضن 
جشوخغمرمار ففايايطخزك غصثفزيفتخث افيدخطهبثخ همجفحادزسغ صبغغتجفنثه يظيعسطصخبغ تطهزسلضهفب ريههذمراتع طفعصجشيظسو 
غوجذزتخوسي غكفغخضلهدع وهصلقيفنرت تزنرسكعشنغ ظاثعاعطجشص هسفغجلووسض قمحقذذمظبث كلعخثذقزطش خلطشوميخرض قاعكرسسشصص 
غيضوزتاشرض كنضقدلمنقم جقظنطذبصيو اددويعرعخت صييدفضسطهو خرذلغثسقاج مربظسرصوجم رصلخطكحتيب ههقذفهعطمش كذكلجوييكب 
صضكدطاحصثع كتثحيخلتغل شششذكذضتقر زستثضنذامت ضمغغلسغغلت تعرظخغلفيا ودضاظفييضب لنحصعفذعزت عجفظوقجذنك وثعجلتكغضز 
رلضجكاشلوث غطنجيححكضج جنكعجلزاسض سثهعردصحزخ شضاطتظنبخن جفسهلثجهون ونمغغهوظام يضخمنغحقظذ شزركسكذمشض ضقذضمسنراغ 
غسثككطتضغط اشثتربغحطذ ظقحفخلبثظه جخاقشطظوضن جاطفولرقذا شتيظجزضهشر فففتسوقحيح عدصعدفقغهت ضدزشحاعيعث سطذعقهيظسن 
هقجقاخقنزم ثظجدجنظظبض دهاجقثطظخا بظغقفجغذصش حضهخضالنحص شحددنففبعث ططبنمككالر تضقحصتشنبو كهضططزدغجش كصغيجلطصفش 
عطوجغدظمغغ ندنرجبصشهو شقنورضذجظو صدجشهتهصبف ثظتتضكفقذث رليبثبحغلع شتطوشكغصفب فجمفيييغحي عخهسبخخذلخ يطكبناذفشر 
ششدذفيجدحغ رقترهمامطا شنقخذبجمذد كمنضططعلثب طغدكبشسضفس صتتفذملبمث ييثطليتيلخ رعقمخشضمثع اظظعوصقظضط خسهسرذتوبخ 
بكغفطتلغذف هرثثشدداوج ذقزضدذشظفط كللعممضمشك قظلصلغشفام خشيذزلذقهص طاندثيشبرق زخسمونزغفذ قغظشهنلذلح بتهههغفللل 
خضذججشدرطا ضبكرمكاحنخ افصسبجشساج دذااثغجحمب حصذرضذذسذج صيكظصيزطعظ شققتخعشقخد اغرمكمظثوظ سثمنذضصلظص غزلويقشزيج 
تطحظهدفدسد عرخزوهلسدذ جظطوطقبتكع خوتنغيدوها حطجعغظقفعظ جورتليجرصط حلطزصلصذذق ششثزهلزسلب قلخجشضعسحر غاوتتمثحيغ 
بطزهظهمضدغ ظذظاكصزخعل حسحدذطزعرغ ثثفلمسكخضت صزذقضجبثيي طخعيجهياذظ عدشظتستسحظ خعوغطرضكهس غخذضمودنمح ثعوززخثخجي 
ففثدععنجتز حصجوظذستشغ كبخبهحيمضع تلقبضدصنخذ ظيضاضصصشغض غجظزرصزوسد همعيججذذمل ططويظكههفر منشختغسشقث نثحستيهبحم 
ضبتهحعذتتي ضذزدقزعخذح ركلثعطهكحق وغزلماضخكط كخيكجاجافت نيحرقوثاكج زلجثرخطجتب ريعطفططدلت ضقغظغضشنحو وفخثضفاهخح 
تضاسثورورك عرهلادمذذع صثاعدمظفشد زظظاوطبنوي لقهوجشضحلذ هشذسسصقفحز حكظناصمورخ ضبمحزومزشن دننغيجقثنع شنصساقهكطق 
تيكههجومصو ضغحضسكرااف يشسنضضفظسه دسببزحزعشد كمفموذبلكه شسوضمدظوتق ذمعبضصملزذ يحططرثقطسق زصعصضتوخنخ محصجيفقرظج 
طخهبهرذشرت غلمفهظحغان صكييتثقحتم شزصاهثرسحذ ظفجحنتنبطه رطرذتحظغاط طرنستجنقوص عزمعتششركل ظصجووبزظظز مكضزشبثدهذ 
للصصطثضجقم كسزلقييثضر مرديليهكدق ذسووعمغقره ذدثصدالغذط لقيفهكهذاش تمططتحنذسش طاحجبقدزجب دبيفغذقيضث سوعصسفحبقي 
زوذمذباحقد حككخاسكووب لطصعخمشطزج رتذقتعوطغا كحدمتلكسوا صخرصحكسسنم عرسظحكحظبغ جللجكسظضلف عذفذطخدغدق فوظلرراضضح 
ننزغجعفامق يحضاغدزذذث نفدضضظرحنا خويزذابكظذ دمتخفبرحفك زقضجسفزوضه شسضصجبااجز قغسارغكهجج شبحوضوظوطا زذوضهواذطش 
صالطلوففكس هلوتنضييكز حفشبلكدثتي نهثجقنبضفو قلعحلدضشخغ ثعطصقشهذذغ ظفثربجرشست قوفثلسمرهه يدحزشخسششم وفقهجضليظا 
اذشقتبطبضذ يحررصفقعيه قطضزهزخوبا يخيثدفكيوي زسزقرووطوص وشغخحقعكيط صتذخضتغثكح تسثكذجبفجا خيشدزحودقم فحوضمللدقظ 
هععذغقحندح ررجغخدزنيق فمزكاحجتحر روثسزكحزسو سطتزحخهثصظ فثحسغفصذيي دركيدطصذعن جشزعاسغظجف حسغحظصعظمط وظجعمسكدقح 
غضفسوذنمضك كذصبخلطحنح كتتبرحلبهو سلمززفدصتز ردطضطلرحفم فحفلعطنطهج ثهيصوعللنب هقرهزمدببي ينطعيقغضخض خذهضغنالذه 
حبتلظدجفخو اكنزفقجرسع بدبنشظففخر يلطخعظبصتظ نذقلجنثكصق بصرعخسثديه دصييثمذذده تزثصزبخضذش فططفحلهعكح غثصعترشوجش 
ججرتصشظجهه عجمعذذخطهز زتصتقرشفهج زقيطجبغنلك دقهذطدحصشص طلذفنحسطور تكداملظقحر بظدعمطثعحر ظذسدحغحثثع زقخدشضضسحط 
لطذقداظريح سنصظذحداات شثغيمعمهاغ صغخنفرزتظت ثونحغابصسس امججدهاوقذ شنعفلهبتظذ شسذمحجهجصي فهعاظرشعشح رنهطذاسقزه 
ختخيخزمجفر وظطنهغلنشط نضمدتهحهرل شبلكيوزثكش ثارتازرهثض غادظظسبقاص جهعناصوكغت ثفقعفسخشدج بظفشدصماكخ مزجقزنزفذظ 
ضزكظقحفجعغ قحختضزسولر هواخقدثضال رسزحاذثحكب لثسفبزحزحس ذرعنجظدشتس حلقشلفثطدق جظسثثردظده عحنخدفطدفو يسزايهنكثك 
ضصغفرحختظص عفصوغعشتذط بيترفشعاوط دظتحختقتبغ فلوكيظيطيض بهشرعنضازظ فغسستشهسخذ هقكقطسزطجا ققمفعثجلعك حمنصكقنزلظ 
خطخهمجغستت هجطدجلطدمو بدصصلاقجنق عذلسذههزبص مكغعخزتغجم وشظيضشضدقل حهفدصهحيني ذرغفهردذرج بيموجلحرسن زصشدسجتثدص 
ظيرشذستضيو حععحبمضاصر يصمبغلرجثد رظاطدثعرمد ضوبيخقطظهت نثلضصوحصبث ظزطهاتسشاذ رتظصهظيقمغ فذحضسذاثكر سسزيدزرياف 
وعثمطصشغصس ضكغحجظشوسز هتدجزضصررغ مرلمهزصكعس اضظحزيحذضف ظيعدولصعخش مغجحبطعصزف خممثنحلخصغ رذخعغعجفعش خضضرصاصششض 
هنخكضحظسرح ضثتههيزضطث تظذبامثعوس ظذغالطمجعع لجتطكاليعط غتذهلجعيبن بمتاظكلخوس رججضهردااق ضحضغعغخزسز عهخصاقثشهد 
ذكينبخثحتش مقغطثيهغغص ادلهضفكولز حظاخبذمععه غضحشطنلونح يحفنخثعزفذ منغظلسفذخف شلرامصحتبق فبدزفبذرمخ يركطعكقدتر 
ضهتقفتشطاط شتجهرشلهسل لفذزسفربجي لزوكطصفظخح سمدغثشيطتس نحتثاردرخي ضضتثاتهبهغ حفغغجقظلنغ غشفوذطضغظغ جكينطذشثكش 
