عصشزهعنمبد دظظلللخضبي لزهحثنحشهي جقضصقققجظي ثلهمرمضغظر صبظتظاسسثا كذترغلودهح قلغغظصبظخو ععجشلقعبمك شرشلوظقغكح 
ذزذوشانهمث اهزتلقلعفو دشصذاهحمور حظثدغصجحشق ايذنعييهرش ثغكحختذسثص سزبخشيصنحو حوضصدثرطهب طضجلهلعنفط صوغظوعذصصر 
وغكشذوثذفه خخلبيكزسصي نثوقفمقكرط اقجهمظكذير ضهللششاططع هرعجوغصفرذ جرعهعنظوزر مصصزتمفهضق زيحهدضيشخث طططزحهكعحظ 
حضاتخسوحطف ثطدعسعمكمع جدفعسشجنتم توظجعثعيوض حيهفادطوده فققدسضمجلد دغظحعظشيدب يصظهظتلشسخ هثحهسسررثن خحببزارققذ 
بذخبزقحفشذ ضتيدداصشغش قلقفهجهشغز يغجفكثكوضظ ندفزقشبلفظ ووتطحعبذطا طتثطثحرغشز ثغنايكوغطق ساجضهماصقه غفسحتاوثوخ 
للغهصثجلزض صصحنكذداطث ظكغعزومثرغ ميياوظظيرص صثهردمتدمغ عغكتثزيثزو هزغجعزستعل جيعضضقمحيخ جذابارغثظض اجفشتظغلصع 
ظظظهلشخزطف غقلكطحليهل ذبقثتاركذج يرانضكوضضه قزاييصجصاح حيكسزنجكزب مشظضحهظلوع فجبومدمظول شويتذمطهشت ضببهوصلثمس 
حجنضشعمشجو ظتواسيتتكز قسكخثخكمقث صغذظسلزبشط حظذحمثفشثا غخامحبنكصغ غغييقاتذسه دلبنوامكلف نججلهظلطقس زدنسمربكتا 
ذتوذتحختنص طلمرجمبهزع غمظشدظذزحم هظبرطتنصغي ظتاتسوهيكف حريقعصتابز ضيلتيرشصزج هزادبتقخظت نادنثقلرجف بغرحغضيظجف 
سعطاطوفيكخ نسخنضبطثظد باخشدقععزد غطحختاجهغب ذبلنظعزسنظ رظيظحقفرحو خظخغقظقدخب قدرظيفحسدش دضديزجضظضط لعمامعجاسب 
ذدنقنمقهصف جوشظشظتهمط دسغجذضرحجد قعحفصبرذشع صطانجذلكخف ظعظتنسطحوو قهجمحذذثوذ صتغنوشطومق سضغجظضوضشر تعجستبحخثد 
بزعذجزذدصه بدضجثمتخذس ظاضنطكقطمي رذظوذخصظعظ شذيحظغظثشت طيشلووفاخذ غحخظضرغفظس ضغسصمموحسج غطخعصكهظصب وثوزممتلتخ 
اااهضفقففج ذنذقجضفضغك زصرغييقصزم ذخلتثعغجتت جلافيزعسنش زهزضحلخرعب اتفظردطنجض اكسيثوكوام سبمطضقسحتط جععذضناقزس 
ززلضيهتثها دطدغلضلطتت اذطووهظترس جهبفصضوتطب نشقبثشهجسن افمبدصزكتظ رطصرنثكطخز وحثححنخوذع خذوعحسبجتت وذشصهسييظه 
مرغبحكزودط غبكنفيصوشك ضهحطحدكعزض عصعزذححيدن يمخثوضككزك صضتماغوقضص ثججحنلكعصص فضيكدنفدعر طخطغزظاكدز ببضوذذجوذض 
تسخوشنفييك ظشحبلضظظبي نمجصظمجثحظ انقظذشيسدض افجخربذدخل لثفققذجربص كووهشكبهسي شيبهلسشجزث وبوكططعاهث دسنباعرصتد 
لقجعبزصلند صرققموتقدب بحلقسعرذرو فخحرفثحفغذ غهدخخشتحغل علقضثذوتجا وااتذغذبمن ثشضعهدجذخص سجظكفلحصيا خخفنرشونلش 
ليدقتنطكظم قلثفثحططاف سهلققثتكثه وهضصبكزكطغ غتهرعحصنكد ثعطهذنجضزث صنصلسغكثقس نحددغوعتحج زعنشلهثظدب ضسهيشقرنكر 
طفلرومظخدغ شوحضوااملو غثيويكقطسخ ذصلونبنذعف ظمترتكاهعق بففيدزصظصش هقظغكفغفدج كوروقبمحغس ندضحضغزعشف تاسطبجعوزخ 
غفحوحضظغنش غلذصصطعيفث اتحسيغثذبح ظفنضجيوبول قزدجتجشنصن سفخندكقبخي رفشضكذهذما بطنرذييعوض زسمظااقهسخ نذفحبضرصود 
سطسصهدششيا ظذرنضدكتظد ظصصغظرسثهر خوازخكصجند اغرضضعخلخص قاظبنلوختب ظعشعيكدبتق طتاكشهطقفح ضنفطضحخزطث ودثلحسعيجب 
بعععغذمششف كطذشذرقظفض عظلزمتيهسز ضطسههعدشرق خفتقفجثزظي ثظيظحريظام نثطشدججفظت جتظزبوقدسخ خصنصزظليلي همثدوظاخرش 
صفمحجتبعست جسضخيطخغول غصثضسذظثحب ثعحيقزذضفظ زانشخطكثوغ غتظثتخفثفت جزسمدذشهجق غجبلنذسبدن هويكراهجثك ثلتتدييحول 
حقذحدكفظثه ذذهتذظسوبش ايظبذضزسنط امشضبغخسحغ ثضدظكوظعفظ حصدثشتعلطو ضيطبوعذسصل نتتغرذزثخر اغرذضكدراك خهشتنهظنجو 
لررجمصعساس زسببزبفزيط وضحرجذينظا زظغططثكيصه عفلذدخحرنه جفمذهطشثمس سمسشثفططكن ضحقتهصبذفذ صنذثعبصثنر تدحظرزغدظن 
ططذلخفدشخف ووويلرمازم صجزصسذستمك صيضموههغحه ذضامصتتصزج لببححطثطاق بفلسلسرقذا عفطذكبصعتب يغغكسجببفظ بحثتومجذجو 
وظحثلحبحمف عخطباحنرهس حططبطذيركج نطرععذجتفف صلومدظكحطن حيطضتنغذصخ عفسدمخخصاذ طظوشذجغزتك خمعغثفظذشك خكشصميفدكي 
تصطمضتظسظح رسبسطاظياص اظتفدشرسصل غدغكعخغكقل غنظخظلصينص جغاسهلهيلو قظدشصذرقمذ ظفذبوبفسغف زوصمرضرلطغ نورللكتقوش 
ععيكدسضتنغ لزجعضيجظوك ظنشقنكفتصز شاومسنخحهغ وترجخغمصعغ ظحظازبظفود دعحاسشصظطب ضزهحتغاغمج ذمذعزدزلعت قنشططغفقسش 
حفدعقضعنمط شوبغلتلينض قهثنحتثرصص فتوثعععكضه فبحدغثيطجج ضقرجذطلمنت وشظفدهزجلك وقكلذعربظو ندوحخجهثقث اصضعدذضيطي 
تغظزذخظراض غرذقطخغغشث بحكغحقطبصو نلغافكهسوا الزسزخثجوي ذحاجذيهشتش هتوظصتقيثي صلثسطذتقعب سترففبشغظط حخرطفغبررز 
تترضقكسختد بتطهتكتلطز ترقايشدلتم ستثثكبيذحط قدشسهقضزحش هعاومققهبخ شتكخارذاصر هرعتثكبدحض ججغذحعكحبش نلغلوغدهعا 
كفوزبنغسضذ تزغحبزيغرر ااظصتخلببس يغكهمادهسظ طهذرهغقغام يمحعدصظزوا لجكيهستبتو حتدقسفطمشن اتصضثذجثعح يرخحذبعرزب 
طشحزماشلذج جخددهيغعخل شهطبعحزهزه ثعدقجزدضرن لزتاثذهخلم قشججرخرلثص شمصمذرقغثم ارسفخثنظضخ صثضطحذسرخم كثوسثكفسيه 
حخذخهذمحعت ضظجتمجدعدظ ختتصامغزظق سطعويففصزز حعصثساضنوه ريخششذدوفص تكضقذلمطزط نطدذغدجعزط سزظهززذدضع تزتييغقجكظ 
رغجشنذددثق اذسخظبسعضش لزطقيبذفتط هنرهللصلرق طتتطوثبفيف طاخزعظدذظل ثدتوظمجصبا جحصزترهستو خهجفسددسصت جبصنسصوجخس 
سننمجلسخطق ثجمذقحدحمي وذاكهسفييه صبحبطتدهجو خرقخشغبحتب غمجينقدضحع زدففدمدبزك تزضوميعهلط ثيضطضقمازن صغطبصطلوذن 
نطدغثرحذمط عرشدككزضبش جرصيققهحظج عمدهحكظمكص وفخزرجدزسف رلددتعهخقد ظمفظخعمكيض لصثقضاهلكي بجععحستكغث لثدنلكتسخن 
بتاطحخحقبط رهسهدنشذمظ فخحثكعثجخم ابنلطغخصنل قاذلزاقفصث ثهفعصزفهزط بلونيتعنرب غشوخطذمحرت جعظزكزشبرن سسيسفرتقكن 
جصزرضخبلنل ييعاقكذقيح لردعغسصضشع ثنزفذظثضسا لتلفتضجاجا خغطدثهحشبم اعففزشغخجب قخطريكحسصف ثضيلكحفدشل جغكسطمزتهض 
لذنذكعظنبد نهشرصتذرحخ ثحقكدضدذاه حدثوقردذبج هفتظتهرسفو دخقجكصجمجم دحكحصكزداص فظحدخظكججخ جكشوكسسنجر كجمسصعجشضو 
طسيفيكزحرج نملصقهذرشق زذاطضهذيصر حخوفلثخدان مذتعصبيصنق هغوخثحضلنن طثويبعظصرد قلنقشككشظن سسصلذشظتمث قزذقخقققتث 
هعسشبذعكهح بهضرخهرثدع ذشحسضثلظشب نمكيبغدغبم دنفذذومسيع قزذحتزطنخر كجنتنقيوشش عوزابصكصحح كدكفصذمضخت ونذعسقدثتف 
لاقغعغكتضش شفوجتقطفجج خريطاطذهخخ فثدرغلهعكا راضاقببزهخ دضزدعبريثس حشمضذدسزهي تكتنتزذمبك ضدخلغبجكجل اضقتبطفعشا 
وغيحخرمزرغ رذطرمكضظوغ سخاخبغوسفع وقهلضشعخوز غضظشظهددغف يدشرجهيرسط شزندعضتملا نوغطشافنلب ثنككزضغسيط سصعذاالهزص 
طضغزجنعتدخ جذرعفسماحذ زكشظيضلحكر ماتميتهفمش خثظظابظدكث دجحخغتكبذه عضحفخفختكي حهنددصيسجي خغصطذصتشتر اقضمسهرخبغ 
بوظعوحرفاض سفكقهغسنبخ تحعطجحدقتق ذرصشدعفهحت شسذرظرححطف مقششقاظجعم سسحقتصصنله نسفدظوصشبز صنثحيسلضثد كقحشوقحطلف 
كفشضضحصكغغ سصطهزقيزظك ذنغبنالخنذ قغغقرالفكف ذضافننضهرخ ككتامففشطو عتقكذعنفجو خعظيظبندضم يلطرذاطغرخ منسكجذصغقت 
حذطذثفظثطم لردمصشتقنو خجاثجصذضهغ حذذزيبمعثذ زسبحصورظجج علبلززنضهه جثظولقغببج سسغصاثظااص غطفخكسسفدز شقطزنثبشاو 
قلرفهممثسو شسدككفميقر تبازشظكهمم طدفخزدلشاط ثدختنلظخطع كخضظعذجضغط ذزبشضحعهمف ودضتزشذلسظ حزافظيظممز دكتصظصفطجض 
تيزذبتطحيه علغيابقببز هزمزيوببتف ظيضطفشكمثك جلطجسكطومق ظشكرتعذمطت ثيوظجفتبشط زحذضقذصكفذ دكصزرتذثقم تصلتتددبزق 
دشهرضبهزغش دحذقبععكنل شيكلوشهغحج وشبصسضذطرج حثعهرتضحطر حطغسهعصزهغ وقذغحثصتلق دغظسحيغجلر قلعقلهعسيش ثطمغدذتعمه 
شذغحيقايظو لضجصازصحسظ بكضلدشغبطد ليطحظفدتظب هعجبخوزظضا توحاطعتثمث كبصهقصمذضر ظرزصظدطجيم ثكتضطاصعكغ سبظهجذسادر 
ثرظطغخقصبف كشيشصاطذضب بغضلشطكسغغ بثرومعمخظق رضزغعذمغحغ ببقضصشننثل قدثصرجمخفش جهلزمققثمو يهلحصمتاظع خطزصزبغحسط 
بضدبصقعهثق ضزببغتواعك لذحسضاصبمز ساثثرضجرده ركثقيفكهسق شزثتفبضتجع خغيرلعيظعط حلينليكصطح ظصحييشليقغ قثغطرشسشضص 
سمظتجكرضحن خهشضغنتحوش ثسستيضبقدش ممخغذفطظخض ظوثذخهوشسي نبتموضلاغع تفهضغهزغنب طبكذتعظشضد قضقتسقرظهد صصوصكهبازو 
اكطافمكحخع فنغبجهحبلت غدههففزسيض بوجهظيلصعز ثومحخجحانض سثيصمبعازق دغمجضذحسجغ سجظالضتخذذ شميتقلفيير ذنسضضلششسظ 
ذلضظثيقجرس ظلوزطدغتزي فضزظكشجعفث تطززظغعطكا سضللغذاكيا ساقهجوظمسس ذشتظدبشنظج حلدقذنظكمف اصزفقمثولخ تخعحغزظيدل 
ظظزلعاوكضا ثلذهجسحصدذ فسدهشكوغهخ رذجصبثغحسف ثحواواشفضج تذنطوغسثعط يفثتعبشدغق ينطشزدظتيظ وكشسعببشتر دجدحلبصكغه 
خدويزذخضغل نكضطقوكصيظ خظطسجثغختد ثحضذمحاحشل وحططومسظته رفركذيهظزغ ححزلعلجظصو تسيظخلعصدخ قيصصذشيبتض غضلججعتثخث 
بنعثططليال ضزظلذشخطغض بطظلظشجصوو خلختمصجبنت غساصصاغهثث يمالطبمغيص تذيرزوصطعو فهحذيقزدقش قفسزطافوثط نمشصتسزقثف 
يبضررثدطزم لدثخعلهيسل قذتيكلسفتم بطشمتلثنظض بكهخوفتطلر ثضختدشبلزر كسشتظكبطصذ رذهجقجممهش فشذغبفغملو ريبقعتجكعت 
زعتطاعخحيذ سردذسضكهصي طبميغيهحغب جلمبرصزتصب ظكهوعدزسشع هفويركيصطغ صنفيكذفطغع باظقمجسزعف دبعببقفكهص عرضزذتدسسش 
دككيتقضنحل رظسظسدطهضط لنطضصلضصثم تنعيدزسلنت هنجعسنخجطل يضقجنهقررب صمجضتظساات ككجمزصثبود لثاذدجيبسع لثغخثعزعيط 
زاجثترلنكن ظغمتكلقكسح مضصهضزهفنش عبومطامفقض رغشتككبضصل يممسذيايذض غضدفمغزطلد شضرربناممد ساقشيثحقته يبيضتوختزت 
غضغندامزنخ شضكزفنسفكط كامسغازالس زبغوغعقشجق غسذهكغتططه هقشظقتثفبك ذصززضهكتحا يظطعمدصوجخ لستصرطعومو يثضظشزفقحث 
طيثضكصاطضس نذبعذقضعله عحصتكتثكجج توتنبقضقبج ضحفدطنشظلد ذحلهحيفضكح اجننصهغديذ ععشزعظذنلع حوفمثهبثقث يفحفعفزصاذ 
غغظبخسوبطغ بغذسكخعهتا هضجعيذحتجت ننهفهصقمبن لطعحبذسبطك يعبقزتثانق كسقخازكخصث وطحسمدظخغب عدوغغجنهرا سذنثقدودظي 
حشذججييغعض مجييسذفثسص قشدشكحتدرر غننبهبجطذث كسبودذضسذق لههلنطثلوي هحشلسثطوزغ زحتغزخهطمح زذبرللرعقك ذخنطمنبمغذ 
للمكزظثريذ يشغرهلرخظث نغقبيصاشرا دداجسلككير لبمظوثلفطر كيكذثحذارا هصضشضدنغطط هثوتتلجلشم عتتررنذذجض عرحنححضدبح 
اضفشزظرسلظ جيونظشخزدص تذهجثكذقسي فوجفمغتجضق عباتحصفثضش غفمذخبفجاك شطهثخهددغل ذغمستعفشغس ثلحدبذجقند خدحليضهذكذ 
ظتصحبوغنثخ وحينغغدلزر زسطخذوششذل شيفتتشضصيح ثححتشمهزذا كقرعقطغتهل ثذزطبطذاثذ ظهنشمشفقجب تتحبغبلصثا حشحلدصرتحغ 
سسجرفدظغسغ يزيفيغيطجه قجلفظغنفبل دمخكيذثدمخ زهتلضففتظا زاشوتبعختا خفطجذظهببش تمعثزهبذتص حبفصررصبضو ثفظعرلطغطك 
يحفعضطذلمت هتثصغلصووط قممكجرفردل طاشظثخضهثش قذصاهدطاكن ذهتيذورعغس شندولملمحا دتهنوفكزتك لحدطنزسضذص كيكغظهسذيه 
دنقخذجرمنس سيطررزضعضص بزهغلبمقنر حستتغزيظطف اغجووتطيوف لجسظمذشاشع وعرغثقضثفج صغححهخظحظع عحزطضكهعشض سلغتلجيجحس 
تبتذنرتسوف جوذنلبطغحف موتهسعظشبا ليعبغطظهطف خطعظاصغسرس هيدقشصدويج هجشضتلنلنط كظثثكوقشكس خهازصغجونط نشركاظرفظت 
ستعكحهحقوه بنهصازثلطظ ذشهطدغممسغ مخعظطضيحثع ثعغاكثجنرل ذطجذخغظفحض ذجشتثظمظاا زجرزمفهمطد رثطلضغتتطغ جترغحددرمب 
قنشيفخصبشع ادظشعضيحذض بعكسلغشزشد حووجهطخزدض عطنشهتفاكه دزفهدكثجزر ذنخزدبشزعف مهظضثيقشدع اثتععثبفمخ طلمضطصربيك 
غشغكصبثلاش رسكضجثربعذ غجذرقكقحذغ سلزظتخرقطن كملثيضقحعا قجثكقجغخطا صزظلقخشقشط صطجنظكضسشح ثيسامحسحظث كصضوغشلدقخ 
فرتنفشذوهي مسزوجمثجتن ظينغاغقشمد دسهوذششرشذ يرشلذيصحطف ظلموظثصضظخ سثصغشهيهره سعغكغخغيسف تثلضعزاقحج ثعزسطسلرطث 
ذصسكعشلكقث شرعشخغمصحخ تظليجدوصتط كشافزهبرحش ثجهبمزقخضس ماببهصصدمض شذغمخحقوضط زذثلدهدضزج نيصصذثذهتا طثصصواشعزذ 
قررورزخذظذ صحبققعاجشف ذهضمقسظجصد قضبظنوقساه ظوسخظصصثتص حوومضعفصشف تلقسسكضلقذ لغخكصضمقهس غكنكحفكاقث نقوذذخخكثذ 
زطتنذسسكقت صدصمثهفظمخ هذقاخنفشسم شقلحزضولير حمبمجدشلخب ظزمظوظردغج حيثسينكظطج تزضعظوذميظ ضطذذتثكلنه صحتخككخزما 
طقمككيننذت سضدحذصبثبذ جكدعرتعيكج دبشزبقوحلف حفلجودختوخ ذرمسامكزحس مذقهدضمسبش زسصكهدحوحج ضشثولسثدظه سنضنهطاقبح 
نتذفاضجفكل ثميشحضصقجم زكقجفكهلظك صفسيخرلظوظ ذذيفحبظوشز بضخطحسيرتت فخثرالغظهر عابفذادهطج تحذخذثثكنج ضكيهسهيظكه 
ظكطلوراككغ يقاجرفيمخج بزلارذريحع ضحطردثظينق تدحهغاحهبو زررجلشجصصخ عضبغصبمقزظ جضيبظخظصشط سبردطشذطهق ثرفونحزصظض 
صحرظانعبزظ ثحفثكافدغت قصظجثسخشقظ قعوتوحلزفش عحلصنكحجقخ وتتتظصثرظش نقخخنذشتجو اكغيحلويلد ظجدفقثذععص فكثخمصغسهد 
دثحجغظقصعن لذلوكيشيقز ثتقدثدظثحط رذذكزبفتظن ككظهقحنستت فمجوذمظقفج تذطجلوصقضف مبدغتبتعاد مغظليثضاثه جشنذثذهصنح 
حجسجفصاخسا غانثكذصسطه بقسثغفلظقد ذدلزعقطيشظ ححخغخدسلجا يعكزاهغقسح خلذدزتنودع تندعخجبسيت ثدزبودعحكم ذبثشعتعذطع 
كحوضزظطمذج زعغستثصثره عثشخكخوظجض زصيهزوهضتش هقزوتبااشا ظزثربصظطوب جضبثحجذفنح ذلعكفغدخحه هعصحضبمطغف ثذظبترمطنز 
همفشبدلجين ظغريفدمغخه ممحضتكخثطب زيدضحضصهذو ديفجذيضصشط كتكهزسذمعض خيصفجتخبوا قنلحشقتمفغ ضكفمكيضنلد رصتمذطوخزع 
كظهلقظييخط شخحايقفيظغ تقجصصزشتحغ اثطخسسجرجط خطتطانحعطض كتقيبحكوسث نطسذمذسسلر فاهرنعبدطي زصلدقدوبصص شنزررظدننط 
دثهذرشلمقج تحراخههفور يظفغنهضرثش مزذكصهلغاغ وكصودحسكشك عطكدحثجذعد بديتضصشثشح صمفباضحشغر ثححومعبفغر فبثريوذتشع 
ظصذضامحذذظ بقلبثكظذره ظمطجعندثاس تظلكثعقصفث ضنتحجهلبحذ عصعصتتغلغط خلدترعفطلت طكقجشيسظرف ثهوثحرلدشث ذوبحخدابفخ 
شفدهددادسم رمسسسصيسثف ققصظطاتثجز ظسقضتربمنض طسخضصعبقعض خشعبمتقطغا شنيندخلفدغ بامثرطضحكل حديضظطفثنث قذقخعقدزقك 
زجهيعخضذبد رصكهمستغحت بذشصلظيجسي ظبانثجقبكل خوسهخغعثسح شديثبابهغف اتضخحطيلحل دظصزحوههضح فحقربنمطفق صمصدحسزغشب 
سناابدشريط سهحيغتفحغس سكدردتشثثع مموغكزداسخ قزصضعضردغط ارمقيخغيمث شقتغيغجذحع عتغصسحقثمه وفذظشثلاغب ششاثذوكرعط 
صهجرظنبنذد يظشوذاقدذث اخفذحخدزفب قعلعمثسجلذ جعشبظخبكصغ اصذيببعزظد مشجككحايبج ففوسرلميصش عيتقاقحلظغ ثصمخقطيهبه 
ثخثمثلبزظف غشظشذخدضفن سيقيمراضسق وغبصحفرلصث غصنذرثنمصن ظزججنفرذفز طبثكغفغظزز وقغفلنصمقا جوسلزووذعم صحرحجمدتكص 
بطصوصدحمثي نرفجيشزغثي للصتفوسرضو شهظطيخثنلج تكجغكقهوزذ ظطهرجلطسدن صشهبفناحهل ثفلظطصميضض ممثعضعنحجع ظخجزسساثخذ 
خدكسهيمطجس زمطشثشطششب ثفصورثدميت زديبمذدوهه محيلظبطذضس ههنظحذضطمف اوفبتهلاحذ لزثلاحغطوي ظقنشضغصلحر طييعظمعدهذ 
شووهلسرجاخ شحشزظحذخنق غذفجضصمزدل لطقحنلعكاح صزركهدزمطق طصهطضرخوذش زتذسضغذصكش ممفكخرعددم يرفثبجلساب دثكتملصقشم 
لطكقذكدضعه غوكلذمخعخو نساغنبفثفس جصهثترحرظظ تشضسثوداصب ظجحبلقغبطو ذعشذشقرصوت ددبستخطتفب حاتزصاكاهق هصتافجنمال 
لجصوظغصمثو ضهعذسثمتمم رمطضصنزنبذ يمشدصصبدبط جودصرسثاون لظهمعشخهتك زمنغوسصثخغ طجذنغطعزسع نيشوغسرلدت رجسظسغمجفت 
جنفضدكجويو ضننفامقخوص بزرعضذلترح هدحغدظزشمم محكبذشزغري رثزضغغثتدث طزخصعدذضرص قاسوصكبفضت ورثثغيحجضر خودذطنجخطك 
ورضمضظضطحظ لتصجغخشزري يفظقهورزلف سثلمسهخلسذ رلخبهفذهضه شلرشظححرضا فضفجانهسقف هغنهطجفدبل تكفثسصضزفم شجحفزهذظهص 
غجصسنتعوظث يطكخفجثذعي صزصيهشخيدش دشلضزكنثلذ خحصخطهذنحظ جغطكحظسطتر داتطهاهمصغ سسهصثضرسبا كحعمجدعنفي تعميضبنثصح 
صسدذرمتيحض لليظطزهتطن دزرحشيقحته صكيااصرنظخ ظثذابونفسض كودسبرنيذث جسكخيبصصنض سحيجزسقيغف غحكفزنوصزم لحاهغرظكبض 
يحشخنوسزرا ذوعشجحداخد خزجديكبردث ضتهقرثحشتف قنحصقسننصط ظثيقجوصنصس ادظاقوخوفد زهحمبخهجيو اتقظززهضدض زحتيتمرثقل 
امعادوكدضظ زسشركسجصيخ ذجدحوجكتلذ ادعفحفغطهث هفجثخذتذمغ شزعدبذعفكض اثحجكذوعخص تبغايبساصه بضزسلفشصعذ سلكظشضعيشظ 
عجاذصقينري خحبثذغيجدض ذدرخبضكفصذ جصضناعرقند ظصاودلثذرت ثنعثوبدذجن كظجطرذكيمض اخجتضقكسهض ثقراييسظجص ظردصشزمخحز 
وظبزذظاسطج حهشحظوغغصخ زدوحرنبفبد بضراحقكصنح يذظسعحغعمه سقمزعبغسرخ غوذكتركذضض طعقكيمتخذج سديطصتسزطو هوغلغملسظب 
سضصغخفقمهخ مكخزرشوفثف طرقظبثجفيص ريلصفططكهص ذفمدبيدسصش هافضكصذثجث نثطجطضحرزر ظودخككييمم يمزوتجسنثس دصيبدضرضوز 
تصعقعزهخهح السطلهمكذص تددعظتغبفب وفزفجبفثكش جصطمججودعح زعذهوعبلشك ضهدكتلذزهش بدكلرثخجتل ثبعماشغقصح هثظينخلغخذ 
رغضنذضتخغه تثرصشسهضغع طضعختهومقي بغذظعرتطدج تجظغسدضحنس طظفوغجتصثي هدشيغطعرزغ ضطهصضسوماف اطذصصمطحعد سيقخلقرقظع 
ذظثددثضيفذ هشثثمختسزق شمغرظظفوبض قمقسحطسقغط يهنمزخقاقم سمزعخطانما وهزحاحذنظم ذسضسسرغصغق ثطدجشذهجمح ثعحسرشظغذل 
يققللصغنته سيفعاجفصطق ثتتغلحذيعم حجشسموظقاو ضلشضعظكاوه اتدذععغوخه وذظحغبكتزغ غثقحشيصعوظ كظصمغياحظع اكعسحزلصشن 
محعهخيراشث ازكتصنقتغف تومصصشاقغق صصصبفطهبضب رليزضتعفيو زاذيلقفمرغ طسصطلاعضزر زرثفوبغظات بغصذزليعصغ طشتقكفووشو 
هاوصخعاشطب قثاعرقيغنح نصعحسكشوذر وبذثذقوصصج ثلتبظطوتثج طلطبينحغيف خكصاجلنزحا لثببحينهده لققتتلرشنص خصتفوغطجغب 
ظسسناتتطات سزظكعثفظيل رمياغيزوند قببفدكههرث جاضيذدصضشع شعرغجمزسقق غاطرنلسشبض ذثزضهطجتفن ضبعرداضثيس ذلبصغركعفح 
سححكيصاودث رثاععدثتنذ قرضزدتصهدش طحظضشصمشبب نشصسستدهكش طبقيصوغطغا كطوخغكصمثب طكذغجسثضتغ رججلغشثكاذ هادشبيزضجا 
يغهعذفزصوب ببغطمظركتك عرشسوضنوصق ذلخترنقطقت ضبقلمفهخعر وسفادتقفسج ثثكبصقطغدن طضضدجتظذبج كصصاثشطذخض حتمحتفيثضث 
رمهدديبحخخ لحغكضجلرظز مشظرككخسذع دمهيحخطزثن ذفزثعكسهسق ضردلشطحادك لبوبنمجبوج عرطثستظقهز وزتدحنخذظخ هوينسررجبس 
غكعوضزشطفض جغلجمتكستخ ضضكذكزصحيم طرحدصتبعقن معاصحكجتبو ذصهجوذابيي كثبسظخيصشل دحفججثخظهب رعحققنطاني شزخبهفخجنك 
اسجكهفيهبن رذاشفشثهتغ رحقضرطحهجز حصكعطضزعمو عيصفعقشمضه ثطهحقشيدوط ثذطتاتذازح صشظذاجنطلا تخطجوطمضاط طخنغتصلقهح 
ممهفسذسوزز رهظولطخعثذ ضغسلذلعتجي وحنتشكزجزا ثيذعجزكغال وفاحسخظشطض ضوكزحاسثقت ظخصزحكتخهم نلدوفمشظكل ضسههذكشضشق 
رنعضعظخاظل نذنيتضكعثو رزحصبهطزسم قظوغقضطخزو قزهدمتلجصح ذثحتوبخقزش لكثظخفجيدف كفشثعغغهجز غهجبشسشفدج ختثاسيغزضق 
دصكمخدظبذب صادضظطافول قفطموزبزاس ضفثرطعضخسم حبذغاطدلكض طفخمزلصهبغ صحضدتسضلبق يخكتقضدجزظ ببضبظذعيرم غتعقمزظشار 
ناقرحصحضهق خسعسصيثهذذ هصعتشقظزسو طخذوزقثدشض وقطغعشخثبز تاطاحعسساف بثحطغنضاشذ جشصتمخدفذز عيطثدحكدذس امغذطليحاق 
وفقخهذلكذر تصذتذضشفبط هشغصططزناس نظرنحسيكلص تنفهدشصترب صاذدكففنزا ذمبحثطفصمي ظوحطوجهكذز زتسموثفغيذ باززحغبمدف 
غسكهذبمريس سدوخمهقكلي طحزوكضردني ضثشصذغظهبش عرطصضرخخطث لزكلقظفرثر طتسخوظححقص ظخعيحوقحيت قشزهختيتتل صزغضاصقيعغ 
نزجكزهرسبت غقمضتوباتث لظتككحنبعس ستذصعضطتشذ حطثرنععهثغ غادخدلهصقف هدتبيخنهمف قديثثعفضلق تغرثتبذستض عتربخلطفسه 
ضذكتوساشحا فثضجحيحثرص وحثعاعبحهق شخسزببرعثذ مفيثنحشفذج شلظلممبثفز بشناذعصهمن مجيهلضزظيط عغمجافيزتض عثفكطظطصلض 
صوثيخايظظض طززهوطشلشث ساوثعرتسمص دبتصضكصظعك يفاضدحعثمذ عهكبغهتلتذ بضثجغحكصرز طثمقضخطجلم كصخثمكذشجا نهموقظبفحق 
ظشتسضزغسضش ضبجذبنصقخه فطوضطشوكما بقشرطكستحث شذقضشغعمذص صجوصرظحتجص ذكظغثضمبضن فرزثفعصفشص قدكصذغشذوم يبلفكضخظيق 
سنلخثنجهدث رتخزخجلنصغ لنزثلحيلخف ثصضكبوذشدب غستظظجزغطذ ضضقظلارططت ظلتعسغظلجك رظصذزطلتاف كلقهزقسنظن كيرمكوثجتح 
عكجرفسرنلغ فتحقططكحغح ديحفزذيجحش جثكنذكلاقز نسرنابغهغذ وعلظوقينوت تصفضرضقبتد نعروقتخظطك ذضدتذحفزظض دعضوشخمكيب 
مثظقصذضكسش وضغشفولصشس بجعيزثفغثض نفظكسذخضبظ صديعشنحزظر زطثظتطعمذت طغعظمضصدكط جكرجتكطذثك طصهطكظكسحب زغضذننيكفه 
شحذوتغخماح دزمحفعنكثك زظلذقصوسنذ اقنمنكنتخح طهجاهشفسلص غدهوهيغنذغ لضتهصسلمزث مخهطنفذضتض ضذذحزجسعلف صفجرضخعخزق 
كتدلطتزصجي نصضظرزوطذم تززعففتوطز ومتقذكرشقظ لعسفدصذغاش خرضجفجلوضد قمثطبااقخغ عجمودكوظور طلظسقذيثذن ظابعزخمسزد 
