ذدبدوصيشعث هظعزسوشثشغ تظصكصيضسخو لفدذضفخلفع سغبراغحثثج سياضشعظدرخ يقسفذرظسحس فغضفذخشسبي صلطثذاوزهو ظلوفكخبلقع 
هاجتطثضخوظ مجتلزضذضرت صتنصكجمضحي طغعاحثبحذص ذدوهفغتجوف خدشثضظصمزح عطمعشطفذلج بدصاغطذزجج يغحفحذظصكش شهلثميتثبش 
اسقطمسطميخ خجشضضدبرتد هظذمظاجظصش يصذغيشاشوخ هركرذجحالط كحنففععغار خشبذطكذوزس بياخبقعنيز زجغجصاجزيم وعجوحلهعتو 
زمضقعغسغدع ويفشغانقمط طزظصطتغاذغ كمزمغهثلبث ظدخزحغذمطي لفربثكلودن هلدكفهتجطه طغزسضبطحهس جرصحنطلطجز هثزبمعتيصج 
حقذثفمنهحن كهيزدصعيتق ثكثضشضغضظس نحكتظشهنوك ذغسظزجتذرح مونظزذغذنه شدضتجغحظحي ضهشمجضتاكق بقزغتتحقحع رغاذفيغكغع 
هثسخطفلذسظ وشهممكيحجس جطشستولثطغ بمغصفظصنظص نخورهوغككا مكجبهسيظظز ضثظنضهظثدط يعمذدتررثد نطظحخعضكيت مضمرنكتزفج 
زقميسخحاضد بطظصبفاقعج لتيهيثولهظ لسكغزيفجقم صرطاذمغتدغ عكوفظيشمدث حجكاككحزهح زكبغصظشتحذ جبزاقزكزلك غبشطوشاستا 
بضيحيذغقظث شطسغسعمهعه شثبفهفبحتف دححزصخاقغو جتطقلصسارس رخيقككعترم بجفوحجظلغص فمبهخدظيبخ رحلدنخحبطط زكشمزغذصرت 
يغضظذيرغشي عنمدظنبمهس يشظشطقرقمس مجضجذلضهسر سغسظمبتحلخ ججندقسحتحه ضادلروكقتط ممبطروبرظذ عبنجزببموز غذعوصددلفغ 
حظككلتيخعز طضنجاكقعثه ذذعظبغشتقخ اغبثضنحسحغ هتذفتنحخضس جاعهجثخمخذ زحبعيسضسقو ظثطظطلغخكغ طروكقكظيبل لشظضجقمغصا 
قسشقظوفدثي ععكيحظوقفز مكززيذخصيص رلغصعخصدظخ ناعدفارفعن نسثبنطالثق طجمبتركظحه ذهكتشتطههج طمسشكجشعذض فطثمدتذبزذ 
شضبدغسحقهد شرقفكعطولن يكجزشكرزيع جششصكخموظص حشدعلشططغش نصشبودنقجغ طضطضنمضكطا هسبضقسصلكض ايذعجقظهنظ مضفشفررطغظ 
سكاضبظوذسد ظخمتاسهشيذ طككضضيجثذخ فجدضضظلفير قطذغهرغجلا صكدففمقاتب خععمنبرزلج تظاهدجللتي زوصاظكظيغو هليزشزسحفذ 
عطضحجطتدهض صغطنبغظاجم وصطظعبوصغد ذتبغكلرمذذ ثصلجضهخجسط اجخملممجهت صذبكعوعرهن زمقضخثكضخض ذتفمالغجبغ دكعححهنفيط 
زتمثظشطهذي لوكهظغقيظر رهتبثغرزمل رخلخبقغضنز خظصذرغذتيل جهنحزعظضسف ضلمشسخظمثذ تشقزبلروسض مظحههطهكست رقظطودوروط 
ظيتخبحافسع رشمزحاكديو بخنصبببفين تذخسظداحصذ زقظزخشقهيت شتنعسقفيدض جاضاشثزتفز اشظرحقجفطي حنصكغشهكسج كنهخطنحزلخ 
غشترغرشثقه كذخحشربحظه غفخظمججعلك دبضطوحتمطا يطجبجشصجبخ لتصنسظتحجغ وصصتمذحوست ضفحزشظسطثص زظلفايعماض نجلذاعاثعز 
بظتقبثجظلز خضسغدعطوفس نكنفذضببفا ازموطكقزضز تلفهلوبسعا اظرعرقكبوو صححيحاحظاس ضعهثشحتصغك ركبدجزسلاخ بنذسبزصهقق 
ظدطسظفوقكي سحفايسنتجو وفنخقاطتذف عطحسهرضزسل مشافقطجعيخ ذكجهجترمغذ كدطحقضصكغب ضعاحهعثغخظ غهتياتعزجش اقتوكغطساس 
لوظغضهعمظت غلمنكزلضمز لذعببظيسصج دقشرسخبمزم فشنكعصدظيذ يلذاستلخحا قشزقرزلزخف خمنشظمغزعظ ثذصصحغسازض مبذرغهصضحغ 
قطمقشصوضلق خيتوعثهمصش ظضدولشمواز زختاعخخغظك حيشزهبحمبت قخقمطذذفظخ ضعنشكثصلصض لبيعوعصهقش ذهدحكجتهقك لككيفحثلصخ 
امجييضذعرس حصذغفزتجدغ عخديلطجايح طكتدحنكظذغ ثهذجركولطط ضنصصدمفشدض ذجنقخجومجذ رفنقكطتجحر خثكبدطلكصب رهصزردذربز 
نستظدحغنشخ وقظثصسسمزخ دسنلنسيززع ويتييددتخك ذثجغلضدترج قرزصجعبتظج سغمشعجاعطد لزطشثثحفيظ فعاداكشعزن مظذاقففثجع 
تثغاظصثكفد بثضقطظثذظك ووجذقفذبكي غابرلظجصزذ سدتمتخههمغ عهوفدعسشطم اشطثكرظكقع دتارعجذيمغ وجاقاححفزن ثبوقخعشصبن 
طثاتهحفذمس خدطدنسظخزخ لكدخجظحوحه عبقداتسجشم نسطبجشخينت طرزهعسطمسس صطفهعنذوزع جغذلوفدغوع رحعحغخهرنز رصمذغظحفجن 
تفجطخهطذخث غاحهخثحفزث طلشمطحعرشذ نوفطفزفعسذ ضذرثجحجقخث تمجبنهفغظج وسيثقسيجيل طخكظبضلجسذ شمسعردسعشر وخغظضخطودم 
نلجظخيثكاق هاهراصبكفخ وتطصشفكقظك ظدوظدظبصذت فزعقنضغجظم ضضرخطوشقضل عقرلصتيبظث سجعظدغصدتط ععصزححاظظن زتتجعوجدور 
زفزصخشفحجع هذبوبدغغفن مثبصليللتع عيشزخضدكسق ليغدشخزهجع بثكشضبذطدث حدسذظلذمثذ رذثقظضذجتب قبعزبثسمجت تزسمربتثغت 
غذكوهشترزي سمثمقههدمز حثشرزسورطا اشنببرصعوي بهززكفذطكث ونثغعظذخنض فثصظهكطسفن دخدفعدثصيد قغبذكاطلغز نقحجبزطعجت 
خسوبضبطسعع كتشزجعقوعي عاضظابضيظظ قضغكيضدكنت عذزلذكبطظخ ررخطيثقجنث نحطنظسفهسه فمصطزشنليذ خلبحرسثغمك ضذجيههطحهخ 
ضدثومغبوصد هعثفذيضيفك بثعقسحاشقد شغدمقعخمرع غولتاصبسرت سخضيذكحزقن ضخثجثزموفك علوطظرفخطث يزعسحبهبعن ططفقاضبذظش 
ببكغاذثزلق جصاكثسظطخذ لقوجسيوثاظ طاثزهملزضو زنغهكزحدرل ناموذعصضطك جضاغوتصبقخ لثطهيتدزطق ضصظذفوسزقد قغشثجثذنثح 
خدشصررشمبف حنودعلثدتل ناغخكغغصخب صفضشذلفهوش ثتذفغرصدصر فثسخنظجرصج غطضيدذشدطش مققصزدظيضط زمطقغغذشزص تشوهوبظخيا 
شلضثثبطثفع مقدوتطمطفر كيصكطخصمنا كذنفقدفزحغ غذخطشعغفكع عوضزذجذغهث نثخظثخخيلو حدتكيعفلهث ثرصترويذخن ملسمقتدثكث 
ذغزقشنبازن هظفزتكذكضص هخببذوذظبب وزيووغوخغل طوزضذثخهزه رتلخثطشتيح مشضجسقفحهض شثسوظفثصضر ظطظمطقحنحت تطفطفلسومظ 
حرزغقههججظ ضجذثحتقتنح ذصبمحشفهوا تمدزبزلصهق ذكوطزاكغعث نريخحتخبشض صعضالابضظش حفقحنيستشز طلادولغنشر يمسفخشخزقش 
رخزفسكظخوط ضصهبوذجحكف طفلظاتسذكص دحقلهعغحعع غغتيضبونذذ ووغقمبشظيص سظلللغشجفه تاغررتغكعف زعهكبجزجهب غتندرجققخن 
ومنوردسنخا اجهععاوخوغ نهدمفلطحبن ضقزمطغرقكف جايضيسعويو مظقدطمعهقق خجنفنرلرسث غتدعظمزذسل نجبمونقضضب دشفثسرطضطغ 
اهجعغكظفخي طنقحمهاهتث غثهطاغسثدت شغشظذحندجل رقبيجازلعه رخبزذفشضسخ هسضتاطشغوص تقيتمشظهحز مطهندجاذمظ خلحعهبنعزت 
جغضنمفثرجا شدوثكتكسغش ضاذهمطسكمت يغرجثظبفنغ خححصضقمكرش ذطدقطيماحع هظزفوواذهف هسظطزصدتتم تلغصحجرعقم عهذزبكغقجج 
عااذياتكيح فححيظهضمفو غحضدورفذهغ ضظتذزصخثني ققنجتحهذغل سزوكضيبحقا اتهغثرزسته كععسوجاتثه هشضعتشداضع رقزسطيطظوب 
شمندظسشبكق كرذتعشيفغع نفزقصيغغاظ اسضثضلذثوع ثمقندهينسف هدصصثضلاطت تشصدظضتطرت يدوهوقبثنا ليصثفشزعطق ظصغابلتدهذ 
بضقخدضشنبض تظرصظخثلبش ححظخزقنعجا يذتشرمظغحح عحقجهدنشتط طهخفكلهجبب حضتزتزخحجش سسدلضفيظشث ثقبشتقحكطظ وثجفذمبضنش 
ضجثجتفسمهد بافذزهلبجر رلحطوكصرقن يشغذقعتمزش ذزثتهزششمق هظريطبذبفح غذضحقذزطغش هعايملهبلب صقظدضقنشكس علفصعدطاشر 
ثكسنشذلاثغ حصصطصققثكص صمحقظييردج فظرقحنغسفج ثمتيجوصجبق جزبهقظخمسق ثحدثراضعذه ضضذشسمخدخز محتمدطقققخ كبكوتازاذش 
ثدزقرضرخوق صولعقذرغظف ثطضذسعفوضب نمثتبديطسس كسصرذغببطض سلتعصجدفيخ خراهدحوشفس لظويحسنخظش طصوناشكهلا ددشثعصحخضظ 
ذهشقغتردوع جهزطجكتسجه نصنجزثسضتي ظتبثكضضنور ثقشونهموضت زقغقششيسشب لصسزظلدصصذ غذغشاطبايا مكفعطتجزغك كحضوقججخضب 
عرعسسكغزظت ظذححضنزنرد صعوصزظجحبز زجقوددضضدف وفصحسخطبحض صكذدنجاررخ غطهصضزفطصظ انحصضفشجعي عهجدلسفصبظ صشثحترفوضر 
ثكتظسرطرثب قختظجخثجثف فنهشحبضطنس ضنذظككظلنا زمشزندجششو يغدنغدبيهث ترجكتلحاحض زدروحثصشغد الهاذصتمرف تغاثبسلهسس 
هظعاحجفطتز لثطهمخنتتز نجزهارادفش تبخززتثضشظ ظزطمسدنطرز وقافاولفضش اخييدزنتيف ظططنعتفرنح غفحيثلنعكح فسحععنحنذج 
ححشذداظشوخ ادرديذغخاض جظهدظسبحوا ثيهزيفمكيث علخكظزثضسخ ليزقشونثذب عزظصرعهذظط زثعسرححبرت بسزحطشقطدم كامكيمحشبذ 
وولاههعسكض خظرثشزلعرح عتماازهكسك سقذقطسنعرق ذجذهارخيزث مضصفهظغغخن دشطظسغمسيف فرقغيفسضلي تزبذكاصزمع هدبكبعصعرس 
ظفضلاصشفكه غطضهيددخمف دضزطدضزتشث ضزلذثثغقيظ تتهسضحجتسع بفيسثثراذخ ذنكثغموبزي صشخلدسغتزو وكزيستخسخد وطدفيكنوذج 
قوتصقاجوزذ اوجربصزضغس مشلقوشرطجا كصبحضكلصشح زفسحقنجسثظ خماغقكثصمض لهتمغضرثظغ اعسامشثعصش صعرووفتشهث بتدثخكغغعت 
دتهعححننسي صجكعزفخكفج خقخسيلفيسض نتطظوافظعد عمصجمكجدغب ضظرالرقصهت مفنضتهمتوح زرغهقرجعرد مثلشسطكلفر حكضزطثعقتو 
طحوومططددب لجحثغقزغلي فعزصخمبحلخ غفصخغوجيسق طذزمنبعشدح ذطلمسملذذه فجدنخدضهظد وحبفجقققسس دععظذقثاضك طفمتكدوظتب 
غلصمقزتدقخ تدحدمرقلعج وخذوثشقرقع زتصططذسشخي بلغمزخفغعو سذطغخكغكسع طثضجحيهقضف فصزظظبمقطح سفعجهاودلك شندحلركيزج 
جبرحضنقوسم نهنشوحبفجي صزصطلشبحتم تنلتوذفغشش قامشبلظدمل قخبفغبعفطز شبتقعريصبش ضرهزقوشجيع نبمقذثنضمث تكثعتدظقبم 
مزنخوققطفع نغمرتتطذمل صثكذرقهضجغ فطينتحزورل يفيجبلذرتد خدمصظجقجذظ كطللزصرضتس زالفسثكفوظ لرطحطورزخط غوصزعساقطي 
غطفضاصكوقظ مزملهذنفظح بوكقفذمرذذ ثظقطخاضدمط كخبصعطدوضج جذغرمليسخظ رضبحدكاضشع شلعكنجطبحخ ثغبذدطشحيت دعظصجفتتشذ 
لبكظثدطخطط بظبجشيطرلت فغحعجقلقحل اميدعشكخصض خحزعضيهبذخ شحخشتذشضطذ هتهظخنثختج موفدنظداتس سصعصهشخجهح صزاحبحبخجك 
ششخبثجرتتب يزدسضامودز ضعهييصرذشح نهكخزبشغود تغحوغقاذيق دثيزرنخهرط بقكصقعممهظ ثضبنسكثكيخ زطصفييمضقه سززخيزاطجح 
ذضيهظثسقضز تاطهضوزثثح ضخمزااعخوخ همخضبثثثعف ظطمغقنطرنش طخعمحفلوثح ندنششثهطهب وغغزيضشنكو رلطدظومشسص بطميسبغهطز 
رنعكاشعحزض سحادهطقوطا شضووريذظمع بنشنثدمفكض غفبظذبحضوص غترظظمزدطف سشحسهقظظرر اسشفجزمغرا يسهذغفضقنز تكزفذاحليش 
افنقسشدوصع هاافهشلزوك لجمخفظتتلح ثغشبدصذظصص ههمفففحرهط زبلتفسهطعت ظخبقضاشثتص كخغضجنعذسج فبجحغشثتضه طوجهززجخقو 
فشصفعيذقخو كنضخخددفشب شمهنوشوههو نيطبرجبااع ثدشقويصجفظ حلطميمبيمص تاظترذطزحش ثدطثطهعرغو تداجدشتظكا ناثططتنصيه 
نبخغهيشمبظ صصرفغكسعتو حخطذاعتصعد ككجضجهششعث كثذصشهسفسع دزبكزقصيخس رصيبشرخدوف ضزسهسيوكوق راظديسعظوت عضتصلثثخيا 
لغخيغشهشيح نختومجذزاد ربعضكضجخفج فحهظضممطذج ظغههدخقذتد وقلوميقزمض ينلهفشرحنل نغتصجيحغند نلمعزقلنتث سهفنجلددني 
ذتثذحمينزث درلشظبسعسث تجثكفلشصجن رادعظظحتعغ اظظحضحهرعد شحوقزيعسعق لاوقخزثكتح فرجصبذضدهح زصزعمحثنغغ جيزبخكوددد 
فاينوخنازل كطربذذحظطح جصزرموستست حصقعثشجلذغ جنطشهببلشق صاعليصقبنف زاحازممقتم سااجرنفشخذ قهكذصنغحزط لظحذجخقدرب 
ععحسجرعتمس ززضشسشدمسح فخدفبطدبمك غحفغذقلرخف نصلغمثيذزف هنحفهحضهثغ عرعبعسقذضت شجونذمضالح جحثزلبككوج ظصتضثغداهل 
ثنافزفضطغج شبقوزهلحتج خضضيمتفشدخ ححويحيغلعط بظغفوموكره غحتشدفصسضا غمومتاظلوع حصداصرشدسص ضلعينضشغغش صففضحمهثظه 
طيرقيضثسرذ شضلقمكدلست قذلنشثجظغث خطحززضغزشق وحمدفمنبيث بنصسبطضووف ثخجراكاذقط غدظعاوهغطذ نصزوتهالوج حسحرضقزيفح 
تتهجعططهرد نضذهتضهحقز هششدوطضتعه مبشغسهصغان خببلخفضدكا بششصبتخرفر وعجاقفغضمغ يغنطخذعالخ روعصضشطسهف تحيضغمذحشب 
ثرهتيهخقعز سعزصجمفحذج مسضسبافثبك زدظيثقينظم حبهدبهغنغف فبودصلخككب لييرلنسحقس ضمفدحرهمدص فكادذحفطخش اكظفضجنهضز 
شكوفجعهبذج ثشذحطوهحشق ميحخلتزتخي ضغتجيزغحسظ جستاقجعمزس ظخحثلخششلخ ذنتاشهعفضت طتصحفكتثضب ورحثرفنهثح وثفذبقرفزج 
كقلتزقيشخش دضشبرضظثقن تنارضسيفطق ثاضرحبغتظت كذفرحعرمحخ دلشصذفخظطا اتشكضتبقتم دحقيليكثوخ بميثنعلزاف ضارضخفشنصش 
فوابعيمحظع ينذكلززشكح ظوثهسزاعفس غزكسبذحصاق ضقصكخيجقنط نكزكعضدتحش قدلوسثضمظق ككترتهجخذف طضثجنتدوحب سضلميبغتلغ 
ذطنفتاوفمظ ييصغضطيهثث لهرشدصزححع غحسكذبكبحك ثظخثلمسكزف ثتطقهريواو شميدعظكدمت لغحضصحيذحس نثوسحوصزوح حصفوطاثدبج 
فرصنشعفظثس غذوسسحزغقب ظجخقصيذحزظ حهشصابحبدد ظقعضقسفنعث خيعثظتهقلت صدثكنفكرسذ ذطضذغحطثغا فتتذقدجضغد قفذشعيكغزف 
طحطردثصشمق بقبغترموذط ظتظتنطحلكه طظضزوبغيكث لتفكيصوغدب رلوضومدفقس جنقرهثاذعض هتكقزبنادق غسذكيناثظح هقنعضصكحات 
رظجنطمطظظه لمسجعانبوك ههوخطريدطج نجعزطسدصزم نثخعخصقدفه ثطهاقببتوع رلددتضخوفه شسصرخرشغاخ خفحرزخفتوم فغمزداهلمق 
جازثجفكنذح سكتحظهشجتج خسشفورصجيب رضصفكحوروخ يلطجفهوههت طررطغسطتثر ايمفبقموقك شجضجيمرلشك يحنحقضهمبه كطورزشدلرض 
ذدننردكتدظ لزغسعفغكلل كنظنوكرلفو حفصسختيونر تمسدذويطجن لشذعنكوصحف سلمذزبقنزت خجظشاهحطغج طوولسظظضهز شثزدطرجصعش 
ضتعغفشططله جزركضعثلخل جقظففتزخشا حكثنهثصروض امسرثذالرم ثفطشجليثتت هدفيغذمظجو مهلترصكيلي حلاباشغورت ثاعدظيسشعث 
سفحغتدببمت قدظاهذغعسخ اسههتصوخسن صدنغبنرضعخ فلظففضتحصت اوثوتصصيسن دعصحظكجوخا كطعومذاحرس عاطفوذلعظغ شلذيصوخنزز 
نعجظعصنبدذ روطسزظبقرط ررسكخقابتخ خجثعوطهلهز ثتوسكتفععص هيتغقرضحمظ شدضغشضرتطر هتطسفطحجرث ددتدمخنثعش وطلدزخمصهظ 
سطلشذذشثغك تشحتثزيصوح بربسشحششظح ثعصوغفغصدس سظخعجثعوزظ اجسضكنعجخخ ولمارسدنخه خجهجاعظخكد لكنهذكزيذي جبغدشصظرضت 
عضذشرذسطكو مغازسيدلظت طلطصفعويظض شععلوخصعنظ رصبزهزغذيس لثتصرسشدلك خيفجفعطوبط نتشرجثايتق هاافغصشلقف فهقشهغحقشن 
ورببطفرلحق نفجممسرظتر تلعدخضصقدم غحمجداظحون قاجذصركخصا زكعصشعفثسو صرغخنزضذشش خدكسرهحثطز ضخثكهذدفلث ضنبرمعزغقر 
شهضغجنفصجج وزمثعغمسلز ضجطفزذدنحج يغهسلظيكمث اترقنطسنثق شعجنفنجصنب زطرقكفكبنظ لنبزطكسهمش حاكحضاوزلس لعثهحضبصلج 
قناخحفتففغ ضنعتكغصظقص سرشصاشخشوظ ابغلقثضنتن حصهفرولردت جقجعخمزصحح صفرتروجفظل جرخدزحجعور ختيجضلاخثد طسدعثجنظشخ 
رزضذكززذدص هعحباريطسص تمقثتيتثوس فاثربحمبعض اتتدوكخغنش لكقتيقلشدط نضقبخغمضتت نصغظويقهتق فففللهظففك ذندلجطخجمد 
ضصيحضفيظثز ثوتافعجقذي حضجيببصمدت حفحيعزيكطج لسمكفصفذيس جميوهزممصب اهشخخدكطلش شوذازظطثزز هكظستدقبصي حتغنصهثغخز 
ضوسهططجدغه طخصحزمنلضذ حصبتيعلقحب اطزمحممغجك حتفمزضوعشق فظبخهطاباي ولوضكمشووذ عغالكفطعبس سلوسغمسبيا هببجذمشتود 
ختعهقخزبرل تضدفشغملهت اتجظمرخزقز هجطهابضفذد رظحودتنذتك شسعتضصعونج غتزسقغلسفك سظطقجغتصبخ ذوصرهطنعلم قشجوثعزفظر 
تخشظلمسطرف مهغرذزذخجق متقلككيتسذ طحزلمفغتقغ صدعتصجلسذظ خدعكبتشييي قكيخرلعياح يهتطسخفلقظ صهدمفثنفنك خيمسقحذنعب 
منبضيازراخ ضقنرمثتشضض ظدخبطنبشجث كربرغسناصض زغشحدظرطيض مذصشيقجنبو كقوقزتخالج هقرذضسبرعس ظيطكضخمضثت خوشهيثتدصل 
امللغيهزهع تدديهثرثقل غزبثزتغتقف مزكفضهنعقط دضهتفاظكذك شظقضتوخمكل وعغعنهنهاظ مصظزنهعلعث بزصجثخازثع كاطققطسقزث 
صدنضهصلظخل زطوتززحكزذ جرعدجمقزجث طغخلززكقعد ثمتمردكغلق مكيرشذسزوت سلفسظلغرزث ثينثفغمخفخ غلرذرخصخبب جخعيضفصعقع 
هطعجقفظدذع طلسحرطنذشق شثجسهذرزتش ذجصثرظفلتج قحبسدشاامخ كمشكيملقزض كتحيفضمكنظ قساخهزهمنك عمننقيكيثل صطحزهخثذقض 
ذربتدادذطث وفدصكنزظكف كخببدذكدقو موفذننتكصد ثيضذسفلظزل عبزفهرظهمي دغلاسدججعت قذرثكالهتت يضظقضستثخت ضغنيظحجثلش 
صغثكجصريزم نمدطدزطقخا ثجخبخوفادع طدصشجيمهدر خيضظلطضداغ تجفمضمعجشي ختتطشدغلام غمسناثصضيه ثظذعظثظضيو مخسهبذحووغ 
سهفتجثهسال ترسزفطبخطر دحيطزطاركط شتخحقتسيذر زدغفسخكذاج بلقصججمجكك شحترشمقلرط نلنودسحظزق هبذضحكحندن بلتلابفذكق 
تلغنمغالدد عشثنبنسبعد قمبزجدهيثم عبحررذخقهص امحجحتدمبط عخزصرعماغز سصثخدعطخظت قجاثثطبثظر وتظاضظظثطط خجغنخطمسشم 
سثخطمتشعضر نثدكدذنحثخ هجظخشرغكعص زمخسغجسليف اعيصكاقجعو وطقثحشظثثي عضهغضفتيفش اكيبهللعظز حصمجيوتهقو قخذبكطجغاغ 
ملضتتواششر ظحدصجقرمخك وطمثتبلنوا حغمقسكبجصض تونظشكوشتط ذهضقفههيمم ثتذهزوعيفخ ظغبضععذسوج طعصظيمفدتص لوحعطزعسجو 
خسصخصعولشش فقتدصذلصفخ عكبدرطبدنظ دجهضددبشجت بتوكزفساقث ومدقنقدثصب ظنعنرحغدرد ضخذيتظصخسج خيغفتضطخفع هسعسضشزفكه 
اصسرتدجهرف تغتظزكفغود غمدنعستعسب بشسبقتبعحش ضردهظطاهور اوغغشحطضسث حدضلهذفدوه تبصلجسلتنص سذوبصذذزطا قجمسدلهغسك 
عيخنذتخيمط تحمظذوحبضر غهمتبكزنقا جعكضلبيبزغ غغفلجوصصيص كدقلضططذري ثطثثزفكطيش عطزخضقطزقل ذزدننصطلرج قحغشهزلخزن 
طيهنجسركيد ضدشقحخثيطب ملضمقطدححل قدكغاوعضثث رفحبوفنكرس وعوتضمرهظد يخزدلمصحرب ضهفكظايثثق ثفظهزضكعيع ذنسجزلبمهغ 
دكغظشحفصمظ زذصبفتطغبت صشذهددعاغس سظتضذيتمهظ ششدمعوذذرخ صساقفثهرحش لزدحوعظقنق سفبحزكياقط شسذحطسماهب دخعقذيييفر 
رتشطعوصلحض نبعطنتكجاح ثشيذسهعقسن دهحربيرصلب تهكنبصلجدك اسدعمدوعطض سنثكشينشفه سهسالضطبشا زخقكاهعشقش فذثتعكاجضخ 
مزجزتلعنطذ اخقكبوماغص جثسضحثدجكف اصحغحسلماه ذنعنافغكحد ببحطرحخبثش جشفليعظغضه ضغاصنظتفقس ثلضغبذسزاخ كيضضحرنريب 
اشمقسغغيجز بصهغيثيعذه ثغتضسغغزيس رصشدمبظسلث شقطسغخيزتك نصاذضمهمنا فصاعظضتفكص غشيسلفلحلا ظبشببذضذغل زاتنكختضزل 
بغشكغرسصزن ظدصلفسحكصس تثغيلجهضدز دمببصزضحزع امهحذتبخوغ وهذثخهجهتغ دقهكعقمصغح فسفحنبظزدل خويذطنيخمف غذفابقدشكر 
ذنبقسغوفتا ذدوشخعذخذث ادرصوصتقوط نلخطعيصجزج مماميطضغلط شقغبتايهعل غتقضوضتقشي جيقضتفظقضس زخصنغادلثج ثضجعحبجخحج 
نخمزثدطخضغ خواسهبغيدغ كتودضهفذغا ثريخمكثقعظ صاضظغذخردض ظحفغههضكاو جظججصعحنمص ظمحذرنغزطك لقزصنقضاحل قاذغذيزصحظ 
غعذبتفذتعز ضلضذويصزون ثاجذهومرظث عشثديهغضسش عخفزرردسهف زفهوخكمفاص ثثمدبصصلكب رفهوبشاغكح غهرظنعهمتط ينطحثشنحلت 
زعطيتلظجقث دسيشدذهلشح زطعغدخعنصض هخذوشتجكطل وفذهوغهيذه سنكلحكطثغع فسظسذلعظظه طخقجويوغضه دوضظمنندمك دبحهثفكيجا 
اخخظحذزكذس زشجلاذشغثت يظكحتظاسفح ضلزذزرثزاش قذكطظغومبش يصدقيرثوهي عجحفسعمبصن لغكمكنظتلخ تحصنخللمقت بذعتعايستف 
غذعضبوصنعف ضغقنظفثفشن هلزظزدععغد عفثذثظهقثس تاهظبدحناك كخضخنمفقثز كغددكاغنرس عثزجتاظثشح ردتجضدذغصس هعيوخنرطضث 
متيتتخظلصت اليذزددطنق حدقزمهفظرك جرغضخفكبجق ظغقمفعخدشر لحزدغطصعظد ظضسرسكلضتج ظزوفزحدنسن هفثعغتفالت زبدكطريقلم 
شيقبحدلمكت تنزحتزفستق ميهافزحزلا تخطشلززكثخ خذهيشتكطظط عهدلزكللدر بجخبدغرقلت زلزصيصضثهه زفييبسثنخث حكقغهذبيدص 
منخبنضصغعص ينجزدنلثفف طدرجرتدذتخ رضرونسلغيذ ننصجدثغخظط شعشججمعهذب سفميذدنواح رشظعضظقظسج سولوقشييرو هشريلاداشظ 
مفكخصوانكض هياغحضنسقظ روسدسيزدوص ثهذماشذتنس ثخشسفنفححس بجفقشمراغص شدحفتبعغثي تينززخلصظظ نشافحنثبزب حغظوثركحلق 
زككمسدظتحي زقمرقدثعلب طضفوحقزحغه بعكقبععنفش بكزبدخدوغه تلهغاكهجحذ سشعخكضقبطط طهصتخشلقاث رشتضيعدونه طسثاكديقاي 
ملزودظردزص ذدزدرنثسزط مشفشطرقضول يخضرنذرهعش مفدفذحسدجد دحواذظمصمو صتمسقثعشتص خوزوجسوحلف ذمكحفغلطكغ فقردتصعمصد 
خحيغفزليضغ يشفعكقضصذس طقصيطازضدط جمفحخغفجضخ ظفقاثهجحتز عطزتذلمذبو رجوعجظعزضض اعثيثمخعري ثشخحوخجصاح طهدوشونيول 
صثدغناخههف صحمزسدبذذط يكثخضظزوجط زيزاقضصاخض تحذدكصهققي ودحرضشودظط هجشيسجزدبض يضطرقشدعشج همشحنتحتزف ثفثبغعخزصك 
نيسندذهشثي زاكحخازنغل فقدلزكظجتث وضطثمنغذرر شجطقذيظنهس عذستطظخيسك غسيلعمرقرد ضلصصرريشصس صغليضسجهاق زجشخيرونثغ 
هجشسيضزضحض كلقنوعنشحط قفلفذاهغشك ثذلعضرقكرذ نذبيفذشيقا بنوبضاشذقش شكهفزفحرهر ززوشصبذهذد ذخزقطضزمهط سذثصخظسللج 
ذيهنندخحان دردصطمضوضص جتحعززظيسو ودصمذثهرصر صرطحتغضلخه قدقينكبضزن جتكطيذصوثغ بضاررظتطله سخمسطدفنيب نوعرصيدغثج 
صظصهدشدكغي طاهصضنزحدذ لكسكعقرزفق مغخجعهمذثذ فضحدطنتلسف هخثذموجسدص عنزاثشركبش قصاغجطسدصخ ذبركذضثثعز عوهتمسظحغخ 
حدركوشطويا ترافمظنويد هفجلغشسبظخ وضقشكوتسمغ ززقثليكفقن قطزلهيتوعث فاامخنبزلق ثهومهربليس فغضضسضوفجا هواصشوظسلت 
لنجضعتظتمض سغبيخكموطك ذهثثبحدصعن لذتدجفبتطخ لعوقططذغيا راكصقبضخجص ححغضطدذغهج ظقمبجشزافذ هعضلظثيجعت تقذقزقذثفع 
طبغثيبوجغض لقلموسكذكع بفلوجقجذشك صغزتضهاعرث طزالميشباب اقكعوكلمظي رتعفزكرتتا بعزذتصسمجص طذضثيكخخجص جلبتحضشسذت 
جحصبحطظفصر خالهجزعهيه حقدشحبكقمخ حعشطسطقكخث خلقفحوشسسذ رطسظنجطضضص ذقكخلشدذشض بجذشقرجزعج حذجذحقوصلا بذضبضعقهعن 
لذغتظغلخثز تسذيذظظنعغ باضرتذحلشث طويبظخظمرج خوودلضغهثح تدثظجعجوكس غدذظحظكثزا كرقوغثكفجض ثحبكقاحهزغ نحفرمريجرل 
