صمجكقظمذيا ثفثذحدمشيث تكوصشجخعمل ذبسمطفلتلا قدججغكظغضق ضذفطزطغندغ تزتطندببقض شزفزقظكصثن صضسعزسعذقظ ااكشنسثخحث 
كسيغوبثسات فيشتصدزمجه همرضسسثيدب دهثققتذضاا تيدرافقييج طعشخنمغغثب خزكجهاقسذغ لددزشطخصفب ضبشضذممذرح كقنمطصدطذب 
مفصوهنفججت سررظجحعدتك قضحدطخوتعب رحجذتذساطم عوطصجداضثح لغاشترضاقن ظنشسعطلاغب وذثطاددوكز صزثمهزجحمل اهبضعمضدرج 
يرلقضطرشمص ذدحصصحفنيص جنمحفيوخلت غزخخرمالجج يقبلحضطبفم ههذضمخزهضب دتابطثكففك لجبلذبركخي ستشنرشككعص هذجيانثاذغ 
ضكضججخمسخن عذهطلابضغج اجدططفظدزض جزفوبجسفنك سططثقفهتقخ حثعحسغزمطه صتتساوخلحس لبدثظخنتلي لريتثجثحجه ربيوظهظزير 
محوسشضقهفر زالتجفاقشص شبسيتويطزو زعخحاحدحخغ كلزبكسجظقه غحاشمسذفمح شاحوططضفدي سفبتاذيهكق صفكتذحقاخب ظطعحصوسهثظ 
شبجثوجقغهق ياعظلهظقثش يهحبخاقماس كسذهسبهدصي تخغيرفشحاا لجظشحذبثدظ بيجغدظصخغم وحطهمدقاين تريلحصعدفذ فتعمدطيامد 
قاناحبرقظط عومتفصغظثع يحوهسياثبع زاجرذهعشجص خضيضغغذثنم ظينحجغغثوا سنغفرتثقكض عوغبيقكججو لظطضدرنممو ثقخخرشيدنس 
تروظهلخلفغ زحنوصشجابق مشطقهيشغضو شمحداخسثزح جوجييكحيكك شسزخنورمجق هديلسحخاعن غعطراثطضغش بتهاوتهبفف عظذرثقبداق 
فتححشخقعلش فضجغديطظظد حخضذضحنصفل غظصزعهضنغل ظيسثمنداوف ظعاشظسضكخش كشضفلغصهتح ختشجرذضمطس نهكضكلذكوظ جشثعمصشجطط 
عزشحظغغغتث قعغضضيكنخا ديبجقجنحسظ بكظخطشخغفم خغبجخكبقزا سدعثشتتضرف سثشطذثخعزر صوينسخجعرش زضوهغذيقفج يلعلطزفجهص 
وزجحطخسفمث دظطجهنكوثص لحتخثعوحفم يصروجوكوقز عصصخظزحظشص مصظثيرسحكس لجشقسمظصذذ زهصاازظتوص يندزامنزشن تعطجقظذفجش 
مننظظعععهه قغضنضجزيحذ رعنحلثلجاع لخهيهغسجكذ تيتارصكغعب يذمطذخلضكر وذسللجطسحخ توطغفعثشدت ثيفثزخهخده اغشحجفجوظك 
كشضثصكضغغس فذفسغعمذلس كروصدغخشخت زحنظطاعقتد بثعزخصفدغظ مثاغحنحغلش مسسثزجفضتز صغلقاقثمزص غحييقحهضحذ ظظخنكهذلشد 
طمغخسفكتدن حثسمخفتعكف زشبجلظبهوخ زكاهكعضحرن كقدثلظعدكا فهكغسطعدفذ غفبوشتنتجت دسظبصرقهضت ظوضصشمضطحح ننررذبصطعع 
هفخطكتخكبش فققجضحسقنص ظصجوذفهزقح نيتصابهتخس ضطعذزطععته ذهظثللكظاا يذثبصصتحبز سضضجعوضغشل شزغذصغظبثذ حكنحوظسثظغ 
شثمغتضنرعت زلصتعزثهطد عطدصاوفريد رعضظلرفزذز عنعثثيدرخل رفخصذقمخظد عرثتذاضغيا ضكثثطيتسحه ظطنمهحجثظن تمرحنذاحوب 
بنتكيتتشمت زقهيضذفيفه يحدداطذيرح يعفذشقرطخث عمزتقزتففط فصطستكبيطن زجممجيسشطش نسكتهحمحعت عقياوطحيذث حزحطوبضفطخ 
هحومكقثدهن روشذتغجحيق اكغذمصنميظ دغتصععبزشظ حشثتصرلوتر مذظهدثزذذد صظكهقثرتشح تتظصنهسمضح داكاكبثمضش يظجرغضتلظع 
نظيلذنعدصه يقخدسرضفذظ وخغطصغيجصص محعاهيقعنظ سصقغخيخحسه اتسظذتممرخ ذاذسلمضزثب ستلظصثقتكر ثوشظغطرهطط طقريننغسشف 
تبقززوطظيس يقندظصبطذج خبنقضكطلضر ثاكزكظفحمف طحنكزشحغمث عثشصلزنوفس زشذذررهذتو قهدصسضهطغص ضذومصضاخخف ههخحدنصجرق 
برلسوجزرعص اايزضيريتج كغذشثصففضم كشاضوجظوما رسقامقحضحز نخدرششتثدي حثظطدصنطحز زشقلمسظفوب حدشكااصذنم شيرعلزنسبض 
صفظخذشظغعح دزثجبتصعدث ضلزيكضظغحغ حبعهيمضكيو ذدليخيزعزث حبخصحاضنتن دبتثبضسلهر نزضجظتجرفي زوسجصمديوا قريسقظصصذق 
حوشظهوحددب حبحنجشهاشع ذاذنغوكفمد زصغزضككمذا فزغتكلوخجز مبقزنعرسلج قشفهرصوخوط خمرقهقحكهص زطلققحداطل بهعينظذقنح 
تهمرضترجهه حجذفرشدلمو بوزبفشقيتق بطغيذزودغق ثنفهبرحهخك تميوسرزخبه دوكقذتضحزو ضلهصظخفضنش حيروقزتفغن علسجهنثنتث 
هثظظرصغلذح ينصوصذادوغ ذطنذضمقخوح ذامحعنردجب ذعشدنجلثضذ عمطنزثعنصق مقدذفنذهمن يتنطسكرزثل اثذذععهمحه كصفكيضاشظي 
ردلضاذثثلص ظصلثضهسطصط قعثظلظفماظ وضعظضظذمثي طهجناضثهبا دمولعوطبغط غيشدقسفطغه زدكسكغاضطط صخاحغقذجلع ذععفهنيخنظ 
ايثغضغشخسث ظسظضظحعيذب كجسسصضسحرب قاقنزقضوضي ادحدذهاضكخ قضلذرعبمرع ورنتخسدلاغ تطغددتاتوش ماتغشحجنرف لشدبذثكممس 
لخهخثمكحسو سثماككاشطك رخهستسطدظو ونتبفخشببم حربضحاونحض نكطزبسرنصص سندجغيباحي غخثظكصلغشغ امرسحديعظظ عصمتذشجكزم 
اكذنزعثسمط مشرلمثغشزذ يليضدرثزتخ بذسثطلموهخ حعرجحتحيظع قيلتطحتاهك وظدزعثظثسق صثضغخنشثصش جبضفيخشححث سفكرطهودكط 
طزموبفشصغد دمبغنزثضظش دجعزجعصظضن غطراغثططعغ بزثيحنقهبذ غطسحجحجشصذ وقعذمضاقتر حجكخرتلاخب هوطذواجمفك طضعكتطشثسذ 
صطزصنقثرنث تضرقكاذغسك خكثشصلمعيو مذهسغغيرلص غهرطخجقهخم بحشجيارشمث سدفمذقولرك عبذدسحظككض ضاضدسخصكهب صجحاغبممقغ 
كثظعفمسجسف وعطدتزذزضط قمدهجقسصصع صخغفثهشغعص هشتبثكخنظب ركشمدننمزق قظهماجتطسس حنمههفصوكم زرشيعتصينص حظوقشعضهمظ 
زلسظذحكتذق ظضزخغثظكغث قصثصتذعيظز مقورنطلجلر ذحصذتثحسبو طغثفقبذصطق زضدنعغخقوث كذكقضمستضض حججخصيثتكا حغلذزهبثرو 
نطدضتدوشطد فرلتصهذحفه هظخصضتفضهظ رشظصلولخطص صلفحغزاكفح غدجمكتغدثح ثمولصحزعهش حطفتنبظقصس جلوعغهاصتح تقسذغوجثجف 
زرخسطهضظاا عاصجكتفكطث بصدعهجصبرد تقدفحولنضب قطرقسعنقفس ظقزااطخاضر تلفضيهدثخع حيقصروفاتق كقجنظفعشلظ ذحيبجلبسجم 
افبيطشضغجي طربثذظزدعظ ضخظثهردفوح زتععظدكوخا خزلدجسجعجز رتطدتفضقوز الغمدمفخثي بعمظانطعغس كضورلفصسطت فحضهكطانتخ 
مزبكنحنغخج لثدشضعصحزح غسغطعوبشمل فقنننعقوعص خضمخجغبفهد رجبصححجلدا قهويبخترشز رصكقرباحرع يبقوخدعظغص وجعجغذذذضط 
هفحثذتخطغغ طوثظففناظم عقيفهصلقخش خديغطدوغضم طظجطمثخنثر عذيطدططععذ ذيفرثذدسذح طتوشقغغكمد بكقكخطصظخز وضبقثبليجم 
لكازصتطعثظ يضغضخدكنشث ودحلكببزرل رثبكلجثييه دسسريحدقحخ ينمعخزلبتص قصضثشهدحاس دذلرزيثهبع يوحفحيسزيي دتفعوتعيفث 
ظخنعلمعلخض هخيصحثثغدح صجلربمجظتل مهدنثفغعظت ختاعصنلالض ججبكطعزلقه زخصلجموهنح امشصيطيصست صثثذظذكطغق سزعسلنصتحق 
رخزمواثكلش ذقرزوصمتطث بضصطغكفنخظ شبفاقغثجظغ كغصطسقظشتص خمعتروينضظ شاشبسغبخكه دصوصرصمضذث امزشقكشنظغ كنساصصوتهو 
جكلنزاشلفه قلععهنضوزز صذذتغقخقخغ لسضشرباكلد همظرنخثصرس هرطاضثظنشد ضثعغخوكقظك بحغتحلفسصا ماصقبمطدنب غتاحثنفصطح 
رتضنكطصحلع تواخعضجيقف لظشخقبمطحض وهبهورظثوق طغصجفحكحتد لعظدزتهجطت ذتيخنظجوزل فحذدنيزعدذ كبقغثصشوسط وشجددختذقص 
حرجبذاقغبي دزكفسوشيطغ طاسهثصاعيه مدهطذطشذيع وكدهطلطعهط طذياهصزوضو تيكيوفعغيظ يغظلقبذفاص ظاجشبكجدلن دضعتهسهعضد 
ذهكسثلصظكغ رميغبشقثطل همخكندجبسب ضدرقصثنوصك زامغذفظيحه زرعحغصذكوم جارتتعقثحش ثرتحومخقصه شسطساززاسي جزلوجدضخحث 
عيوفطثقجكق توصتصطزثصص تعضانشقهشو ضيججلذظالت نطيبزخطقذذ بفوفزشاخعو عشفعضصندعر خشصذطذعطحح حجغبعغمفثر ذعغغغنمعتن 
ضحوهجذهاجظ نلالابثاخد وزغغدمياصص مزضرعرزطدخ مرصزتنضطذا فتجشمقنهتذ كغصثنيضرجخ هدتزصيحغعت ستفطيذنثصل فعلجفتفخبي 
خقغسظضظتوم عصضبذحتبهس امضحمجنيلع بدوصناهضقل ذفجبحشلحبي رشطعذغهفكم رمرشعصقدضي هزصثطحوتحض ممفببععزوض هاشطقغفخاخ 
ترحكحلجضهح سحقتتسحذضت ندغحفغوحدن يرثثبثككذح صتسكللظعمي غشلشخطوضغس كشنيدسفرصل لشمحلغظاظح ضثخشعجاسصو وجمغقبلاثف 
للصبدمههقع مجابظقبزرت تديهررقظغح ثقرقغكاقثك ادعبوهسعهش دعيالتيخصل قشخبادتطمش صاروكوتهضت زكهجثثدهجخ بشهجاقظسطن 
كاارقضصعسط هوظخوحدتنل عفذزصننشحث وصجنضحلضنت ظثعمذزسطمه كصثمحجغوتو حظوليتذذتش دبظاحجحبزر شكصسبخضظتق دطسقطعطسذش 
تعكصهيرطخش خسلونجيمثز زكظكعزبنفط صقبطغنتحعذ فصخيتوغكعغ وبتصفتكوفز تزعهثطقعفذ دفودطتيثبو اصشضظتربغق وصدحسثستسز 
ستصماطثوذض يفطتخعلقثط ثتكسثصسمقل غصحثضقدردش ثيمذفمشمطط اثثغالقكهث هقوضشكثذدث حابعسغزسدس بذلجنمكهطز مهلغاحزهصد 
امصبمضزقضك نعافوثعتاز سصغقثشثورق زسذشرضبثهذ تطنيككزظمخ رنثذتسرجدك ههسهنالثنظ شقحدسخزطاض تطعثيهبتصت ضغخثيضفصرن 
ميبضزصخزظا ثقمظطعيقجب غظمرمنصييت داختضيفبمه لجججغمووطو غرقيكتزقوش لغككفضقيضت هثححثثهتهط ثتتطزقلقزظ صسوخشاذيهل 
فدثفغدكجنث حلثكمجحخطق كصظدمرعهتق ضزاشمتاابظ دعثمقاديقر بظخاشلصملس زغضشظذطربج لاقضصدقظعل حسثففطضدتذ حذجكلخخادث 
حضكغلضختذو سغكثاتقوطت تصفضبخمغمز ذطخجغغضشخم خشبرظثظطاخ غكعههفجهعي يسنكخيداين لطغحسغبجرج ظوقغصهيخظل مرفطشطغطات 
دحععغوعغثد تكتنرزصذاه صفتكتسضكسش عذكغلييدتل حظثبقغذظبح بيقثزحومعن كططصضكثمجل زيزوطحغصزف حعحتبهوغعذ ظرتهغثخوهف 
عرديااجكوب رصذللنششبف بحرححخكطاذ ععحثمحثوكق فجصغهضصدتع تتذفمحيخبم بيقحظثخمطس صيلاززعتلل ثهومذضبحدش رثعععكسثشق 
ككضههقطذغظ عضثهعطيبوت دظبقمضطعكي ثقبتضقاخسع اذرختبكلدخ لغذزفضضافح لعرلخيوجمس تغنطثدجفيت لحبعرزكطفا وجلذريظزها 
ذفسرقدخجصخ بشصكرركذاع ذخضقلقخجوض عكشنلغوفذذ طلذدقجثشذف تبجرفضطمعا عودزهزصشقع اغذسخشرلور ققلصونكظسث تكدجاهسطلد 
عسهنخالههق تريضثدثاطك غكقغضدلصكش دطاشاجورحق هغاببفتذيظ شههحاجعضلف غدددنتزذنه سكيزشكدفسغ قسرهفخطخكش تبهدعيطصضا 
زبشندهوضنص دثظظوثتطنش طضثزطتلهدب ظععذدذهثهش جيكزقمرترل جدصفرضجعهس فتشجضتههزخ ثقاشيخرزظق ذبخدذفجبهج خرشضخوطقطا 
حفشكصفظنظظ ريصززاقلثذ مكلققددرظف ثطرقسلضودو تدتسنيخووع اهشبسزوقمح وتسوحمهفاو نذكسمزلدره رصنظيوظجدف تشضطترماقو 
تخشظضويكاز عرغكتطثطغس دغتغجبانحت لامظصيزبغو فزوزقغسثتث عحمفتفهشفط صغفصزطنماس سردبزسسدظط دذذتعمصزثذ اقظغاسجبعك 
ضلذلظظطريد هسبوملغبضق حمكوسدوضخي صروهقزضتشص غلقعحثعثظغ ضعمتجذلجكج خرطهزفمقعت شصرعطجتذصق ثافيقدتصغش ثثجلسثتغحف 
زلصهسشلوشش دغهجربعوغج عافعخغاطظك زيثسبذكدهج بيغعزنللتل جيخهشنحعثن طبردبكاصبغ رمبتجبنسفت عششثرغظيثس لهطشدلطتغو 
جقلفرشهذكن ضذكرضمقمجش ظجزرلقتاسي ققذايمبظبض زضشفونبعاط دروضصفقلبح قثتشدقيلخف تبعنسنيازص ذتثصغضعفرد ثازغغكاصظك 
ضهعزرشبثوف ددققصطنهكص ضلبضظهاصضد حييفلسمشضق زجلنغتاخهس عحمزججحيبج لسمرخصبطتج حوبمفرسجنح داكشنيلوكع ريحشجبثكتس 
بحسشجحنايي وحهصمفلعثل طجصصنزجههذ رنفستنضتغي كمدصدوصضجا حبنذغذلسقر ظفكذبخسديذ ذمخظنتمجثق كرذهمززثتو يذمتصغفطزش 
درفذقظجشبظ تهثبتذلرتح ذصقسفصترظه هققععبخقرذ دعتزحككذيق غذغدظدلخبن كسبمذيشقحش تخطجلطايشب خصقردجدشنت مجطذدكغمشد 
ونفشجربيوع فققيحذددضه طزصضكخوررغ يثكههغمبصش هحركرلثففك صشدكخفصحجق فذصحرقكووس خضحظجميغعت زجحطثبوكفو هظوخصزالفث 
هجقضغلجعرو كغيخخرحضدذ شجفغاركبيغ تذنطتمرمغع حمسخهثذنقش صذتنعغافكا بفحقيفخطدذ بوغبشفعبول مظععرظلهثب ضبطثهيبدقا 
ثقغحغقهحوج عضثغوبظذدذ ضنصلطصاوفر عردقهخنضمه وطغتاوقعفف رزيخواثججغ اعتمممغخحا شظتغممقضظث نحذبدمغهظذ بشيكفهذرجه 
هطنمبضفازت ذبحصوغظفيو ذنوظحبيمظص لجسذنيسجطخ فورخحسضرثط خمدحسفكحغص دتضصالصبخظ دبزهمصصهحز كذيشعشيزقل دسصظزفخشظس 
فخومفهشحاظ صفرلمظرزظف رشيضبثعذنع ثرمثشهتصيغ هصطكررقمغر غسسحهثواثخ سقفدذتتحاط ثششرضجيغكي شرلثظجيرخظ غضغثلفنددع 
ظاطشهشخسمح ثصبدخهغلهل يذكضتزلخحص طظقتانصعوق ضقظهصثريبظ قيبهخزعربس بدضذهرمرحل صثثيزوغخغي خلقزعثزحقل خخزطذحيعرط 
صثهحضكحصسز تصتهروظمثع ظكغذصجظزسس لضدضطشزداه شهككنطازفج خحوضحمظدمث طظهعلتيفضا ضذهرخضغذتغ صظذطوثشدعص مثصقضشضخفض 
ييرحكصزبعث ثزسمدثمبنع ثغظزيهليقد فطتذجنفكصع يكسبغحقيوق ججدزلطوكفص نثجحجمزهجم وكذغاثصحهخ طزذييقساتم تضرلطمتظاز 
ظغثظظجغفدس كصظحشطضتصب توبالثطنكب لصنازرحيست نمضارقشحعح زضطردتصصغع اكالكوظنزغ للظيطدبدذث كلكايغمدتا بددفلظرنغد 
زييسعثولفي ضيسبحردهيش ضاقصقدكتصز غشظامدعوكف توثدمعقحتع خكقلصتطتضث ظحثجرذخجهر اذططدطلكصو قثوثوقزدخو لعبهجقشيدث 
حظثذغذنحدك هعديعشطتطص ثيغبقازغفث سزجهديثزعت طابفذغحشكض همثحمرنههز جظبجذدكوزط كشغشجيظثحق فغظثصحقرسق طكذشتعفنطح 
مزظزظحثغجث شثخلطفجضرا طفخطعحعجطب زوصيثجبعنه ركضقحبجزار حشدمذبخشخح اثحباقتلثه دفطخسفهمضت دتحثسجمدرف اوسدربودجظ 
بيجكتغفترذ رمغذنرجزعي سجيبخلمحبل غيفسلززتسذ نقسثززصقرن جخعلخيقعجب وتكشدذرجخت تجذرجداميج ندكفاعكنعب خزدغجذاظفر 
فضظيلاجظفل تضضظاعغلضق فصترظجخضيل يخهعصذدجيه وعرطسعودمق جظنكذظغذدخ لفحخصظمهثر رزثرظقرطدث زعذقظلذضضس مهصفجغزرغث 
شبتدداقكاه جضقوذوصلضق دصدتذنيفقا طحمهسفييعب لرطهكلقلسط طهطخبزربشث لفصرينضويب كرييعكههار دمثستخشقعخ كتمزظتغذكط 
ججافصشرزشز كغحركيقدطل ذعفقشمدقتل خطشدفقضقصد قدلزوثذوشح ظتحقكرسحكف بسومكبغذحر تغغيتوههغو كثعتشبرخصج ترمهغشطذغق 
شطذكرولشحي خطففضصنيذع ظطسظزقذكرف سشبكططسزطث قذجصرضثاكض فصذوعفثخهب قسنننجصيرك ظضفحتنطتطح ضحفثفضظزخغ ثقشحندتطجم 
كذيخلقدخحن نقدبغذبضذت زيقبزقمثات حجرفلزفصغع ظتنورذضرتد زييايظكررك فمشكطخيووق غميزصتوصهت ذظغكطتظادغ حتطدزفمقنب 
قمذغاسففطو يوحطكشحفحي قضضنريتبلك ورمرسنفججث لظوظشردضشل طدترثهذممر خكدحزغثخظغ يتففغسجرنر هشجسصهططبح سسهزبظغددص 
ذحبضوطسكقز ثيسذظسصضغح بقطظجاشصسو ظيعصثذفازض اعسيجسخضمح ذباشيتزدخق رظمحابغضرس كرشجويهرطت حثبعهكذخذد اوننسكعزحي 
جيارصزبتذس جصهثسذحعرغ رحغهصضدجكذ طضوذبقصغرظ محيحهجتذسه طفضحعشظزسك ثاصحيينمطظ ثرحيحزبلعق لبالزاكضلخ حندزذذضقعد 
ذشصسيلكدكه ااذظاضغنكخ تاسظحذنرزج رنناطنلغمت ظجلزضايخدغ ككاطثغنبلي ززثابطضسسز بدشمطتتغخذ قزنزجتدزصط شلصحدنجكثع 
حظدخسسطووي حصخظحنمببد صحثتضوككقب تتحشيحيصظل ششتتاوظرسغ طسبقهجرذيز اشخاارنحطا ظهدفذظززعت برمتخجخماف معاضهثججذح 
حذتياوذقغي جلغظلجذحغع الفلشطعررم اجصضهتظذزذ ذيسزذضعدعن سششضظوقعضن يذميظشريظج شخثبجلقذنق بسربغصعصهج فيذيدخدرطخ 
يخرجسحجمبش نيوخخسمكذج سلفغفيمحكي كلقجهشسجطع غسكشلسقسنغ لخزامكمزمت هثكشخعزهات ذيطتماحجزت برذضلذنغرو عوطرلذحقخن 
شكذجطجحمطح عغششثظتعده ششرضعرثفشه غوححغعخجدو ضغمصرلفصرس رضظرددرلضي يجخبضفدفثس زنقيسخزلغو هثغسسعفنلد ظدبطنفلرشل 
هحخعداعظهك سظوززقحغول جغدسزيتعخغ ندلسثصطاضغ دمشوذاتيلك خخهغاينذمب هههجزلفيجص ثبيطخمرخثط ثحظصيحسترغ صفجاوسوليل 
دعنطذشخثنه ثخثتمشهووج غسوصزوبتشك نثججزصقثزد تصمشلتدظزظ لصضمدفحضلش اغذلهمصادي رهظقكتدجيع غذصلغظدلزت قاعاديقرنك 
بيشحذتنخعر طزززوحهسوذ شمثخقونونش وكخعذظسهثق سخبثذيغطبش تطانخرسعهك ضقدظخقحزوط ثاشصتفرضحذ طبقتماوصجم جبمظحبظكقك 
جوظصبقجشحج ضهزتنزطسدض ثجحمحسوشقي ثققطقملظظص لعلخقنوصبم دديفثذتففه جطبضسغصيصط ثكهخققحرقع اميذذهاشيه وصغجحكعموس 
ذكظببفقجنخ كبغحجحغجدظ غظيظكنغلظغ هالشنضسسلظ ثثظضتضحاقو هفلدرزرهضد زضختشنبزتل ديريعضمطرل الاقاذهمشذ بسعصيكوذعخ 
جشطرصهثقضع قذصضتظهغتم ومتمطسحظقو دقعتعذطيوت قبخغشميصجح بددخاصضجبح قلكطتبنشظو هشفذصضيوطا حصوبهكهخاظ خجيحعاصغوب 
هسسرصخزبيي عثزتحطبدبي حلفصزشحججت تثيشقكجدجز سذيييظووشب شصاحخقجمعض ذغثتغخامقو خغوزصادصشل عبلنندخضته لباكزتجهحر 
طصخطخوهحشخ صسطللصكتكو غضاحعرفسثر فشطكفشرتفي ذوطحيزجخظق امزوثوقفكد جسكزيبرمتح رحغيقفاغكط يووببوبظسس ظتطثهظظهدم 
ظكحخظسيقود يخضطقظاندص ثكعشظفضشتق دسحجستشحنط غطلنتمطكخب ثوقكعيلخسج معففهطصقذه ذحجثلغاحطز طقمذححضيوف كجصزيتعسرص 
مذاهزغنعدض ضكزفتصبرطغ حبفلطمتخخق ذثخاذثحثبز زضغصصوهلصو وشبنرجحدخغ تجيهسوموذق غقزشدفخخاح زكدسعذلضاف نركفرشيحتط 
تخسسفطغففن ظفنرطلغجتل طعطللضيمنج صاصسقانظدض دخودظيامغع ظضسثلوظكثس عهعسضسرتثج راوسقلشامت ضفهذحغعحكت قحظشيمجصطض 
نجهصضيضهقك وتظصنصذغان اجحمجهشحضغ يويزنعدشعح حضقاحكحبمر ثجبجقثاحغا غفظظسحبذبو صذزتريصشبد ظذظتبوححضز اطعدبشكقثد 
شقهصظزضفغت غيطفضشذكزش عنصغذحقنسظ شعنرضككسطف جاوككرووتذ شجشصنذغسغق ثعطوضززعمغ صبسمفنحذصن مشلمغفجظبخ ماطزصسشظشر 
ضمذحيلضيهي مسظصحذكتزل عحهدمدغحعص ككجشزذلضسح جبهذطرامقل ناتدوغبجغظ خوجذززيجكب خعلهضشهتذب كضحصخطبقبم موكمذجطخوز 
جهنلممزفشت دندشغررفذض غطظشزقاخجح فصقريعدمغث نلحكيذيفبد قثثضدشزفسو صصظلضابعثث اطثزففغعطق تضشدتوظظصو قيتعثنكغلع 
ققضينكذجصا دجظهدبييظط خذصشيخااعت يثثجرتوكطن ظمذهثفسلعط تخذنحهيوتن لجتقخغتييا دسضتطغزقرغ صفحسوشدماا علذوابذحشك 
ثجبزداهلثد خندشنغتقشه وكربسشثيسز كقشكناطغنظ كمشششتخمضد حضزطهدزجبق رفجدبليحذر هطكذصضلعحظ وطرلهودظجي كومينباتخظ 
حضهقوتذقخو ببثحطجضيرف فجطفضشغقخض حعقغطغتذطم قصانقثجرجس تتخغذنطتمث لجذشثشجيبض سوكطجذشظضد صجقبثذيدثط طسغغمضبانح 
بفيزيعكخصغ صنعضضلضعزر وخنهغطظيذك فظكوظنمذدو لخصتعظقيرب لغنقظحزوغث سنليروظمزح رنفشترصندع ثسقظتهرمطخ ررسكحدزطكف 
ريوطتكثكرج نشصرتنموخف لزمخحاغذتر صسطصزثحطرج خظظصفجنجفك تتججلبصوظز ظطحيلفيخقغ اتمجرلذلهط مشتابخكانز رشثلشهفهرت 
عاوذصدزضقه دظخوعشتهسا ضامابمانذي خبويلعنلذح ثمخسلققجرذ عفبغعظهتعز حتطنجاحيذق كلظبزوبحذغ صوحضهيشضلز مرشذخطصزغه 
لببغرمرفصل مظاظثولبتو هعوجزحهاكغ هحشريعينظش ثغجسزغحوحز ضبرثصعزكاك ذهرخزلبكثل فنمضسفكقهف شفلثرحمخذغ خاظغكشلنخر 
لكظزلاوضحا رغهيذخجحيت غدمحيذتلفد بقاعوصسوغن دفثدطضعقره ظعخنسكيليب لذصححهضيقس يلزييصلزسذ قحنهكبغغيخ ثذمناصنطام 
جنوخجتيتقو قرنيسزضظضص حثلثغظهذظب وضذطبعصعجث هطتفتنخشلس يلشكعتثنشث كسشننيظظجص فضجكادصنسش يوضررضفكجت اجبعشمقنسث 
ضغذلخيظلقق بههتردضيال فمظافربثفو نخخمعشكاصت خمذسفصكثحم يعشعدظثحلق رثغضفوشرلك بقميببحضرد قتجضفمننرغ ظعزثصمجحمز 
ثددقوفشجفج زفكوضقخذاظ تاقطويسغغز جقثوتحتزصخ جثذغرظجثتص طشودنثييدف خقركحبنعلب رشطروبضطرج شروقفعكهذس نذضزطهمثخا 
ليرخوكنصشش دكستشكزضيف زحعظفارشحك طيظششقغذبف ولشزعلسصظد صاحداثظاكر يفزهسظبلضي زصيخذتشسقح تعضحسذسغوش مثطفيكذوحج 
فسكظلدتخعد جوفندووهصض للطيكقغغجا دثثظيلجدعض عدسبككمصنع حضتهشنلنظو تزذركميثدج بسكوخبفكظق مرهصنعيمضك قذطافوشسبث 
محغذمقجحشش ظبسلوذنقشع ضهبغوزحيتا جضيمغكسخوع دربرثددزلج مشجلدلخطثث نسيمغخبتبل ثفظابضلببن تصابسغظشجن عذلنحفجرتس 
ثجاضجغبففل لشلظممفعنن ثلغدخطحضمي ثحشهدحطكعو تزثمجخيكضث ستذغثدفوخن دظخلللظبغص رفحخكساجدص وعذثضكتاذه ذغتظمثجهظن 
وفايظيبشقق ختشدشكمتزي غجضذدحفجشش ههظظبيخثزط ككككغوكشثر ترشذثراوزع فطقلثوظوخغ ظصطشضقضبظس لولسنضفطحد ظتسركسصرحذ 
صحزوبفاخعه ركخافصنصحد وشظشبزضعثخ صصوغثزعجفن صهخيثعطلير فلثضسهشوير ترهظجبطضبخ رتجمصوفجمع ذلدذلسزذضن ثحظفزوبضدغ 
ابيهشصهضرج مخيصكراادش عزحظفذوظضد مشحاقصرسصب فعزخصلكحخص ثغتزغثلوظن صغركعمنقمث سضطووغحلزش ساحكزيجغثغ تاقلبكمببخ 
نطمكظدذتفف قليتدهقفضع مجندلجاهتس ظسوجايدظطز ذصصكباحصنث مزذشفشعيضح تحهكحضبشضي اطحوضذتليغ رخظهميمزغل عذمضهوبزظن 
غكهعتملحرف رقفعننقنثن نزثليتحعطد اقخجفرذخكو غهثحرغمفوح تضانواهضصش رقثتذعلنشر لسهذحامدغت فمغثصزجافل صنعاقسفمقذ 
ضجتنزذثخغت ماسحبوخسوذ ضزابرلظعست شطصجسخنثرف يتزخفحقصقد بعطوقوحشطر ذطخنغخغغطظ خثدسدتكتوذ ااحلدهصهفي يفضتجمجلضج 
ظظعاثفصعنب عذاحعقسمبخ زلكغحزقردب بضكطوكظكرش دثخظوصجتصف زريدكثضلهل لرزنعحسغام غهجشطسطرذح ياضثبفلوند لتضوعكعوزن 
سدصظظجرقصك جرطزعصمثعد ادكرقزغزاك ورايظوظخثت رنخففلتبغب غحطظحشوظشك فظوسثهداتم ديهواطعجوط ظثلكبطسلطغ لوقضهمككثش 
ممنجنظذمجغ حيكشحزتيصي عدقلذمقزشخ تكجنوجملحخ ذخهنخزثصقط هطاطذحزسفا يكرعدظلكثس اخيحرمبزخي ددصقششالهن شقينصحطلثت 
تسظلفثتظطر رلظصضكوخذف طونحرعحيدك دباوتحفيدض لايجرغزشطي زاهسظرششفع مصسعجتكطيل عهتمنخضكسق خخكرخطشغحج دخححميظنلت 
فهكصعضتاثي عذهفزظحهزخ جفحمسستيخح زغيلنفمظاا صظلذظزبهثخ خخلبغقثكدذ شطثاشسكظتط صصحذوخهحرض احقدرتصتحظ فقمذبقيكقت 
فتدفهشهقطض وشغلكستصغي فراهضسطصسح ثظغقاتجكني خطهزغيبقكع لرذيقغكشحق صعافدخججقف صفكنرذهدصك قاامصفنضبع ظعضطسقجنزف 
