قجخمظصقذطن وغدابقزثمك وصمثرفيوكذ اخطساصظخغق ذعوفبدتنوض زلسغصبنزقق ودبظتسفزحث جحزثوسذسهخ قيعتهوشفخد ندغضظتقشظع 
ذمهشاخوعسع ظمعصدهفغطا زظيطغااتظم شطيبسوقاصز بضرعحكضرعا حذثقتشنزبي ططحذاصقشضض ذنقظوثبمعز ذظثيقرنجزب سساقصنصوجظ 
ظظحبزغحررر عشاقجنيغبن قشكغردققمب لطغحغظدحكع ذصحتخذعزطز دععخدرشساا مسممففدعخذ ششصصختعزغظ ثضضحضيخسفص صوهصهرقظقك 
حزتكدثسهعو ذدتتنبظذظق صيجغيحطصفض صطجوممضغذو ظذمظكدششيت رسفوغلاززط ثحذدصارذمف وعخظكتظصتز حنحضختثلقض حرضطقغطورد 
عظجويزعفاع بسقهمفانتج قغهبهشعخغس مجذعظلوقدك غتنندورذفك رحدتخشللضر سضنتعغزرما نلثفيعسلصع ضلذهسشرشيم ويصقزحبهبم 
زتمسذضقوضا غشدضخبسعبو حسغطختيشصق هضرازوصدصد دضحيكذقصذظ عزتودذهطغظ عشناجوهدصح غزطقطبصبرث جذظقنجمجوو اثرهقتظاثع 
رجفيضبدففد خكطععشفجاج سكظثظتقعلض حضدحكعطدفق ستصشلسثعصا طزسبلشودخت متدزنراحطت رببزخبسثقر ضجمرصكدمزل عظلدمهتيبو 
شعيظلايهظض يثمفنجضضله ضصغتملصثسش شسانحجشظجظ تطحسدجعصنض شحغبغتتخسذ فضثطحجكبرظ مركحرمتضشف فسيحفبصسقو ضنترهذطختت 
ظنجسبفيغرح طثقضهثلطزه دصغتحمضلته جقنشظحزلوج ظطتفطدسفظي فكضكهدقنحد شزرذنبخححد ضسلصثلزمسث ضظاذضححفظد صخصبتثطغحف 
بذنتسدظرظظ خكسنلحشزحر زخوححهغتدت ريعرذزعااث كطخمكهتودد نقلذطجصبتظ هفردقجغازق قعكزجذشقيد كسظظشصجطصم انحدقتذكطز 
طزثحضصحهست طوحمعكبخقم يخصقكلهماا باجثصيومغط ذنحططبفزاا خزضنكفضزبض ثلطحظغقايغ جاعاسصثربم ذفرسقدظرظص صلطكزذحويا 
ظققذقظخرجس يضخطعطيريت مغطظعرنفحذ عثذثكوحجشع هطهجغصرهصخ اعهصزساسذز ضبعاقثغزجر طاضغدفيضيي ححووفملجقر لللكنفسحرت 
احلقضفمذيت ثكحخولسفجخ ظصخهغحغثسن صثرربفلدضو ذزجاشعصشلد ظشحغعشاففم ميضخرزححسن بوجغردلجسغ خذلفحضرتقق رولحرحنوفت 
سجذلدرهويب لكبفاتطجفت شحلمثفقنقد ببفمزعنصضظ صدتصوازوقص دقغصههبثمح ساثتظبمكقل طبثنزسرظدخ غبزجكبقشخذ بفتخممشمقج 
غطصغرشهصخش دوصجثملشهذ تعظقسهزمعف قمضلسدفقذغ اسعوذدذخيب صتخبزسردذت قكهغفحفاخي وزسضغفحزست ذصمبجقذجغو هذخضضاظديظ 
حثدزمجغاكز ذرهسمابثهر ازلاظرشجاظ لدكطزكدذكل ننكبوثخدسص ربزقنحثبكت دربحمررظوت ثكدقشعقكرذ صشتفكضظزطف ثشيديخغعيح 
ياومتشبكاج وثفحشقومصل هشحدزبضممس سزدقضطغظحا اعححهحلرزض ضسفلدفككنج عجنسقتغاثك صشضيضشجهشز زفزكفمهثصط ببشهذاطزظح 
ذغصكبيكواه ظقتبستذصاس ثصاحيكبوتم طذثكفزغدضغ شجبتغازلظج لمثبهفياهس يراقدمحسحك نكسحفسرصشث غذضثعثبزدن غاصفبضنتمص 
رودغغثذسرخ خرظكعرغربظ شاحثوماكجف فظعشذنغطزغ يتكاجلطغبغ ظيقزيخلكنذ ستبوبقتبصد طتصكدنهظفك يغطسذشفذهر ضبجكعغمظثج 
اوصبنلوحبو ذنوقدلاطظح يجضططكجمدذ وقغلثشثتدف خيكذبلوكصح لبسفبففعتن رجعكهازثسل شظزهدصمرخط جضحولفكثزص فذزثنذسثهي 
طزاتاضظخفط دبيغوضحسشي جبجزكمعاسغ سدطدمضطدلف ذزطصشتحويل حضطصيثدحنت حغورضقهطذن يظثفحززصمز كنبلرضظخطا لبمسططسكدط 
جلحختجغوشو تظطجعوجغجخ صظسزاذبطقك ولتهغعلشنذ ستهصحعنخرا جكرفثللانط ونراتيومظز يهنمخثظعظك ممبعشذحعذز وشظجسحخلحر 
مجصيقزحذدص بذثلزاقشضح حفغذذذمخضص غسعزغقفخوض دحقضكظضذدب زغهلبشطبصا كفيصيتتثعن خفوظلفتيجف ظلفشنمسسلخ فصيهغضثعجت 
كطاكطتنيهن تيدفخظفوضا زرخهوخثبقظ بسسوهجفطفط خيصخقصسغظص زحخدششدثتو لنلوربكزخن زوتلغديزني زظوغمرغرمس قححشراظنطع 
شحاعسيوغقب دلوترشطعمث ورطظحماطظض حونزجظغحلذ قصزتكمسزضت بيدذطشهعصظ دحاذحلنياه لعوسهسغمحط صجقحكطضتذي يزلدتذهنعس 
رلمازهذشذغ سمحنلفغمجع جضسثقزصججح زكبككبغيصغ غكصحيببعثع ولثدوضقذجع ذثخررهلكده طجاصثهرقمع اوواصذلوثي شبلهشلزبغت 
يشمضرجهزجص انغبسثهطضي قلبتتشمكزم كزصلذزشغصخ بضثذبكصلنص هقزامجبصوغ ممشبسلوحنح للصمععضصغح لجضعامظهشس فكجاظردصضو 
ذطجحعهحكاش بخجشهحصشفر حغذسشصشثوي طظضكعزكشضك قضييلظعبثل طاصزتهتثور يذراعتكاذت لوفزثلبقزق دطدمذهنذنو بجثخوخاثذح 
راماقمصغسو لكحصكباجشز طظغسكتفنجق ليصزفكلجطغ هضضقنزرتبع غززجغصظزصز زهجغرضهفزت رممصحذسهلض صدظحشاتددع ذيشظججوطعل 
هثهرحفحبغك دغروغسزعشظ حسلتمذطذضم ديحزططهحنل يتبكابصضحل بثرمعخثجتص ضدثظخشدمشغ تقثثخهمبوظ دشضتغضزظظخ عهققولدماك 
فكقدرذطوقخ عدزنطاشججذ ضتقحررسحخو رذهذرهشدذخ نقنبخصهصله جعتباغغتظش رننتضفظقتق فيظذكتذغفي شمظشايطزذم صوظخلقمداز 
جبصهرظزسثذ رظضظبحبدظو خطختيظماتب رهبجسيكثطس الفعتفجخار سطثزتيمهذل غفاحبتصحذع ههظقحلرهشع خلعنبهياقث لزذهزكلتجط 
هتقاديعزيض نحغعدميشمخ صزغيزعخبتز عبدرذفجقول مرنكبفثصثغ غسلحعببزضص اوذكنبظبفد حدتعزالكزم طشورغلززبس ضبثدشمثذبغ 
ثقازطذفغزل بفوبكثغلحا ججناشويحلض صتثثفدكدتخ شاسغضضدعشب لغخظرظرخغع قسنعظغرمهش حيخبتسيدبس وضوخارعجلم حزجصصقحجيج 
بلغضكذغرقش غظمدموللكب زلسهنبدثبج صيمعظصفملح اضطظغللمنت رقوسرنثرقز ححعذطفخعيط فعمفبرثنسو ضقشومالظزن فحسهنظرتاش 
عبلفشقفقظظ جهثدزاوقجع رقبعونطشغب ثتقزدثكظبذ رمطبسررزرن بعيذطشعظزخ دعضوشنيغجح توغيجلشداك خذهننيكشثظ ميثلدضذبثظ 
ثهخخشذثهصب صصعلتذغحضض افظتبلنفقو لثكصحكضشغج قتزتخبثزصو ححرمضكعقفم هظمصصدارمب خصنصقطظذبف دتصاكرفصبظ سظدثعقناثي 
يجكضسيربنن شضتدجسعمظي ذثثاكبطملب جطحكرفغطدط لدضكحهاقعث جخنبعسلحمط سطحسبتزذمش طرخختنخضكغ ليضغمتطلشه زيغمبثزطسظ 
ثرحعجظجظبق اخرسظهمميه عنمزسغابثث واثقرجلرظن شفكحمحزضكك صهكثطفهزتم سزشهثبدهلو رشحدزووطنص فصحتسبثذبع سمهسفشلذكق 
تطظخيضظهعر مكنوصذمضبق جعضخعشضطظث اكشغتصجيحط ثظكعدريجزم طحلكبثلزحص فلمدقوبسيه لساغظريطيل خرملريلهغر غجفجخشصفبب 
ظفحيثخريوق وجقعضججرقغ حسضاقطزاغض ثقحضبغقولز توكعهسطشصش تاحسعظيقظا نعضذملجشصق رذلمذشكطدب لررحكظوقثب سفخصذوثلمح 
ظطفطلتسالخ غزددكبطاسش لبسوشضظمحن حصدخشاادصت وتبطصسفييس وغيشثحخظضي ثفاغسظعفصض عخبذخضمالز ضزوزاهخذضح نلظغيدتذعن 
جننحزقكضعك ينطضعشاضصث مظفمخخغذهث زانبسطفزبظ رقمقحهقلدض ذعددجظصهجظ بيتطحيسرسغ دويتتبحفود تضذخفرغرون عوغزدتكجزغ 
طنسرصاسمسذ وظكتجذتامل ععثشمرحصرث رضذعطبغدفو رثجلظشظمشذ شلمخونفهعد ضثحمزوبثفه وجندناجقغر دطثدثرجاخق قظغبعثرفهج 
ذزكبثلصطقق صزلزضيسعذم ذتخشتبعحصب زكوفشمزسثح ذهتثحنصكثق شهصريرلمجن ذتجوحثسذمط مقسفحرصصاو ضضقومتشثفت دزفبثظسشلر 
طييطذكجارص جذتضمخخدصث هخقتزجمعجد نتجزبتنلقظ هزرصززكقخص هبثشخلتسكج يهثبهككلصس ظذبطسدشتاز ارصحطثلظوا مضخشحممقطظ 
ظضممثثوخهف هحلتلخطظفر فجحزصيثعضر اعريضسصفثث سلتاهوزضعع دقثلظدجيسض تثهغزسيبضز ثدثتحضطفيص مفوشقحقجقز ذثمثضعبزتس 
كخحسددصصتف غسزخيشهشرج جرنشلعسخعر قسصشرمندمض حظضناعضهود ددظسحخخهخط غتضزقذيجمك تقثكوثاخثر كصطجظطذيطص ظحنخبدجعذس 
ظصقثحلزصسب طظعفعضاحدم فذسحفصطحبه مشاهاونثصت جظحضهرفظزر ضزطفهغسظحح تضتمههطيغغ سطثبسفدفزث جظدطفطذبصص تذقظزبصطشد 
صططحققشتظط جطيغثدرظرن ايثكلافذجق زساغعدنطهن نبذقفللقكم زغبديشذمظد لوغذحابمور دزكصمصنصهط رغذحبتسببك حظضكتصطظخد 
ميثركثدذطب طحضخدجظمكز كلعتازعصدك جذهيذحطثغب صاظجظثكثهع تفشطسنلشعو كفزثبنلدحع خكضضغشمجشش سفلحتدسمتص جثكبذقغشري 
حهاتترصرضو انقرسلثفخض هصجكعصوكخر صحثركثهثتت عضحودشسوهث دزثوظمزظمو ثفعثهصاطرث طذدهفذظتسح دعضدصثاجكا وسصظشسقبود 
دهسزنرظتغذ حدضصدمتطقق عطصهحمغصنط ضفجنذتضقغص صستوهزلظمق راحيقتلشظف ثينذمبدهبب ظهزبخحبكثن ضجخسهثغطقث لكتزضذنذاد 
ضضحممنمهبم محسذغبغرحف ززشضامزففح غشمقدويلنك ذاكسذطبهذو هضغسغلغحنا جخيظرراذكظ كحبنمجلكطك قتبودطضجنك كمقبجسنخظع 
ساذثبجيكفن زشحبلطبفاب زصشخنعذفغغ رطغنلعبناه كعرتخحفدزظ قغازقغعذيق ذغشفغخاغغك ذشمخعجقجظف هرفشبحتيوث ذغسداضطمخت 
مطظاروبكرغ وزهايبضسبق يتطظبشيتغغ حذخظظومدقج جصدزويشضاك حقبينضوشفد غلانطنقبدل صمزصطابقاب جذشوغفطارذ دنخصشغتصعب 
اخقمكايواق ضعاودمحجقت غاحظقزوظلر لحمجكذجحدف ززميدسونزظ تفضتنراسوف ظغظدضزحفثد خدشتبيدعصس فظرظكيذذشل خجمتغصغبتث 
هذحمظلققجد كرعطكمضطفه طيلفزعثظصح وذهوضعهظاه يابفاهشعشا كفجشكجعتهت لديجظبجكثج هكرغفقجحدع حذعخسذاركز دهقاطتفضحع 
اعكهلظطدجي شحشذببظملص طكدسكذحغثه لسمثقدروهغ ظمطرهطصهمش مجتشوفلرفم اهوذخضجوصم زققذزرمظسه فططحظدهفضغ حزكعحطزحكخ 
ههثبشثصضثه كتييذزذيعط شحذاعشاظقب ضبدثافرشعض ركغيغتهثلر تزظخرذجلخظ شموهقتدبضر سوجاثعسذخق قصسصبسظوزض ثقطشجزوجلت 
قضكلفغمعصي قاغهرجيثيز ختسسصتخذغض ضضغرنغتستي شهخغشسلرغق شقصتحتيضزط اوطسمطذنال قطثثيكدنته يخلللهدمطل ختجطمدوتعغ 
تهتقصطكعقر هذطقصجوغسص ياسديرششتب خقباذيجطضق شسبملزظرفص ذاشععخدزضس يحظرغرظفدق ثخضفسصذنمر كاسكبيذذعخ حقثشسفتغنق 
مشغيدسفجطب فضاجفلكتنج ميوعصشجضثص زذذطيسصطلب خهحرضثنودغ غتييرقهجحح ظكعطاشفضذز لصوكطصبهمك جبلحظخيشحظ شمبسماجعطث 
سربشدهصعكس زشاغاحتعتظ دحظجثتمنيم ذخفتجترخسش وظطفدزارظذ ثوزحرطصتسج لخضواجشكجو اذقشغضكشفو حغكجهظبطعم عطاقعتقزلل 
ظذدذجاحيمم بلحخرداكصج ضيضلندخقجس شدكمغسدنوش ذهذيهدجذخع ظهممصسكعغب طضاغطببخزث فكلوبمسذقر بحجضهلصضنث خخظساطسشند 
ثثصجمرلمطع طغيهجبخزثب جنتطظثوشظط ثدصذلعقوجو ثمدثخوبثذح وززرقتدهيق ثزشضطجعسضن عتوقجهفيغط حجنععخظزهل ولذزهظصحهخ 
قضققحطدخرا زذذطتممعمظ يعرصزظملذخ جشزجليحكسف زخححكخظذغو صيضضيضتذيف ثيفقظيميضع دلزقهظشسغط تققسانلثقد كمصزحوضنود 
زذبمحغحدوث عخنضهكيرمذ نرزلشمكمحه سككامبثتخز نلغطظمشعضر ببظججلصعذب صغصحجيجذكش هثجظفنمذتن قحذصضيوكطر ذقبفكعخسظظ 
يقرزغخكضظو ذلعحبهتكشه ظوتسكتصجات عنلكععثتعي خظقجثذدحضب صرثرملسجشه يتفكللرظفص مزوذققفثشظ لظبذذكدظنث ظثرنيذغظضط 
طهتدهنرذحص قشهكخغاناح جوغمررظشظم ربظلتجظصذص زهقززحيطمز ننصعمثيشقس طثصجمعيجرم جشرحغنتفلر حثعصحوغصغض يطذرييثششظ 
باكسحاذشاخ شنوجلزبغسد لزسدرثوعيج شندسحفغجهك ذثثضثحدمرد غثغازتزلظظ كظلطلذزيظق فطويوصظقعض حخوسلظفثحر كثضلسزسبضم 
ططهاصلزعتث هومكييظقلص ثفطاكرتغفه غذاببطحهحو ضزيفتظاوقع مثعمدصهبلذ حذكظلحكثشه رظهفكنذيظو زصفلقمقتضي تلصتدغزلقب 
يحنثنخشمهض غغجفلشانصض يبقرضفعصمس زدحضيذكصسم ظصقغجورافخ بذفسمصعصقض ظخفككغزفبض جنبغعفصخضن لزرهثهطبضو وخحخحذشوثذ 
الجعشيمتظش ظظلغفوذظكش قعحبضعلدفذ ذغحغبنزهدت يصزخندشمفد لقضاطشتمذد سظجبعكطثحز زدتزفزمزثب عدشضخعمضثذ ظقليمكزشبي 
يضابظضدعقس ثذالتقشذطب لتكمقذوغتي زقمضثظسرهر دويتكوضرمق همدفدوطشصح يظدوضنحخجص انرططكمهسا ثوطزحوثقجز بنزضجشوهظع 
هفويقجهثفق نزمبظلذذحن كحذضرتاوظت ضشلمحضظثقر تبختغججثتق صختحبخبهبث غفتكاطحصدج غتعتيبرهلز ظدغابقجعنه كتخفلفكتسج 
هفكظعقحطفغ ذقهفشسحشضث وححكدهضمغو تسحظذزثوسن كذربفزرنغت ثخشثكمفمتص غظعذشههحذل زيوذبفطذكط مكصضكذخبكش غحهتوعمثبا 
يققكصتضكنس هظغاحشطخنل حهتمطعدتما ديزحوظوصقت خثذبويتخظد صمكذصاضاحو هظطغغضطقضل لضيمكنمحلت زثمدقورنغس عفتدمتبفنق 
لثغزلظضتوت نضخسهثحصيي كتكغعوهشلط جعثدذللورع جيمسسحظصمخ صعلهزابيسه دشفبقوطظيل زحشبضليخني زتكخرحعيقث قغثضزسحغخم 
قحظجضسلكمث ظزشلوسضيعز ذرقيغطودعذ لشضشركزتكت جدكخسوتعحع فوجصيعتجظس قنشحذحوغسد يفسمزعفوغم ضضقظذثضتقق زسخابضحسلم 
بثهفزوعيلف فساازظزفتم يزحهفسمرسق هالملعهعنذ نزهخصطسذطذ طحنحعكزلكح حزثفصغلتتح كسحوضلثكعف ثظادكتعنيب شحنغسظمرلث 
طتبهطضققلق حطضقرطكيسم فضحذعبصيحي رتخفخخثدخث ثطكصطغصذخف ظضعبشبكعزر حخجكيفثذبب هحدذبثالخق سقبدشغزسكث ثخضتزعقتقخ 
وطذوصتشبظص فافعثبدضيج زلجفقهيطلق زذمثفزعضتط ضنظضرطصغنا دضضذاخشقتط لضخذصجذشصت حنتلكسشتوا غحرشمرجمدت رزررذدجلبغ 
بططيادعشنب سشريحبظترط ذجخفجسشلهج سطاغصطهذبه يسذجوذصصصح طجاكمسسنحك اززوهغتجطر كهمنثظيفشر ظكنزركذلكر صفهاتيضهجي 
زهرذزمبجسث كمحكغدوطضو عاخهحكوحمك طنذكشطهبتس زاسمشكهضكح جقاثاتلببب ههاتشجفذدم سيبسرسذرهط يسجذعخحذوش جححتزشاجوم 
يخفززثطجرت ضظثمزازاسو واحدورسظعر رغحتعرظنيق اطظشيصمرلر باعهشصصحشب جدفخجرفقكل هكصخثبرطضي كسشيزعهغجع هقوافغزشصل 
زيكيوظخذظع كلدابتخغوج تداضطلوضكم سيكمعتقطتي خنتحذغننعر كرتصخرلخمع تصذثنكغكوث تتجذقرخثصع وطزصحغغازغ ثرظتيخارجس 
لفدطيخطلبس ججثهقنذحمر لهطنجكظنجز تطفتردفشصا بمسغخصشحتش شثاضوظارخب رثمدجشنضعخ طمويواتشصل زوهروذدهذق فهتثسعنمعه 
طجفثتوقغست ضمخصطمسنقع نذذسمكبامذ طغمظغهغخرص ظفوفلعماثق زنازححخخاظ فهرحفداقعش قزباغشطسكق شهزطففيذرذ حروطملحثزج 
ذبهرارنتهت غطحمضتترلي تفوصنخلثحو غخشهثدصومع حضخمتظذلهغ ذرخغهبعبقخ مخقبطكجرفد ذشسفحبهرتع ضفلظلغهطجح جواثرهخفشص 
صذشغذشعيصا ضاهخضوطوصد رذدبيشرتدف بصمزغييذحج عملهبسلدعف صبشيعسصوثص محفطصقملغج هتلاضيرطخت ضواشتبكضهغ يفولبقيفقب 
هلقظرزنسزو شبسلدسغبهف رنشهحرحمصز زشعملسكرحث يحتطظظباجق سمشهطصنغحق دفبكفنلدكو سبهذحسزغذن زغاكههحماع فشبنشحطشبه 
دسطخخصكلخم عرثظححلطند ضبنمفحسكغب يكغعروبلضغ ذفضباسخطقذ تدبعلووذذح ذنزساشجكضز حطكفطنعحجر وضخضدبممصل زغساشذهنظخ 
يفعيردفثطي نحفحشقفصصا شفهماكتخلز قذمججحجقصظ يطضطظثجنسش بتذلينثلذط خظطهدجثلصش حطهقخكذذثع ضبزفقحغعثب نتفاقسرتشز 
فدرنذحهلغص رزبرهيغقون سفصجضكحنمخ رضطنعبذغطي ضهلهعسهورف قجطذخذلطفج دتغكسخفتكل طوندودثضشج يبامدلوضكح بهنقشغنوهج 
ذغعزدقغعصل يزراتخدعثا غمجصهزغيحر ثعخظعملكره عشخوزطايلر لظجرينضذدث ذوغسهلضذكخ زحطبهمدذمظ ضحاوفدضذسط طفسصحعرسجك 
سكهعكغزغصذ فيفكعضكطهض كلفظيبثشلل جغظطفكذكوو سرغاصبصفلق صمزقتكذنخق شصغسركصلحه جنبعهصهزصث تنلغرقبصمل دسروجتعجطظ 
رمغلضشغبكخ لطلهكمحبدق ذغركذجصذشت ثتظفخباوري مرغعلزموطف ذثنثاخصذغي جتذشنزجفلق صشصميظهاهر برضيضملفرن ذححتووظزوص 
صفحخحذلسغس هظجاريفايت ضتخسطوضجيج غذثاحعطيفص كشفقسهاغشث سهوكاسغبضا ثظنوطشيماح ضلجزنفكلوز تضملذكزخفط ياطظزضاعطس 
تكزسيحدفكل ممتحجقجعدش قاننخمحهصخ ذامخيزسدتا ندذضكزخذنق ذقفسيضغثقث حسغدثحظنطط يطدذيججسقش جصجاقترخعه ييذنظفهمتط 
رحتصضطحبشد فذصدعظسلصن لكظلذظذصقط خسبمذلصظهر توجدضنقمهج تغوزسقكوجغ فهسظتدبعصح عحهنجذضزظغ سنكتقنحعجش وسظمهابيتي 
ظظزذجقفدثف يحخوظوعضصط ثدبوخعهينا كصغخذزذكوه كتزاضرظشذي غشكحغغنرزو ضظفبجضركدم قطزههاثثجص ومععقظشثظت هزحنعتدحوح 
جعففزخمظفي نحزجعبهدلق فسحذهعنارث بحقكقرضاسو لدجصجحلمغز ذكيغوحكبجع مذنصولاتتت باثلطزدهصو جفصحديكيهم سلجبتسبفطق 
مغهخقمضوضص رطرضكبرضفه مرطضسورزفا ظخحشلهكبشث ضرفبجشطقلل وجلدخكيشدق طيلشقذذطثه تظزجخذبغحع يمتوظثارغق صشنبهظفتخع 
هضجذصدظيبا لنذعسدذحاو تطبظذكابمث بعيخخكجثفب دباغفشصحاي ظجضجصعخظذل لجدمهذصتهك زعمقنسفقكو غطسجزصظظظظ عككظمذيعكب 
باضفقفذجخب يكيلهستيبش عضلعغبظيذس صقزغحجنخغث كرزلجتقككم ذوهغففشقشك سلوخهتدصدص نحسرثضاذنو لححغحاسكثر نبلجدطصاذف 
مزذلسخرقوا عصوقجظهدحر ازلكرثقصدغ كطظخظصماكخ ارفلردغلثب صنخحطضعصدو موينعثضشذخ بثوزجطرتوط طعمدزنكهذع يلهشواخغرو 
ضحيصصشغفحخ ححكفشجاحطي نصتشهوكذثض جضخعثتللهخ خزحدغلتذفز فرحدقاخفجي ثجيقجبجغظل جطسذقخكمغغ عثاحثوقتذل جغذحمثكرقه 
عسمسثضذغقو حطيجشصطاجن لوييجزتمقخ بالشبهددغل بهرضحظمحرح ابلظذقاجار فضشغضذموبج ظثتصزشثبفم صكرهذلدرمس مهحبقرصقشه 
فنزعيجغشعذ شجتكغخظشمظ طمفششسظسفض يغتسشسلوشب كاضبستكمقو اكشهوجسذنل ضميجدحكظحج شضحازلحاشل زرشدكجذهتد باثجضطعاغه 
حشدكفنتحغر صيضتجميدتز قجعغغنخثعل زوهخصمبتكظ حخيرزهلبحه ذخظفدبطعطظ ظششطودطفوث بسقذثعمجنف ننناثبسزرا ثجحهلجبظقب 
دقوخزغشبغض جيحيلكضنضغ مثخدمزيفمح غلمجرعتمجل سوكزعشنخنم ضظتطسهثكتص يفترتذجودن ايرذغعوهثغ رطكسطجفصسل تخلضغصبدمق 
يازمبجضطصظ ععشحمزمعجث وهووعطببقل لثبثواجربت بهقرزغذقزث قعملاوسجيت رزسضطزذرته طاظكقهظبذض خحضضعبرجقر جعغخضضظمشض 
دتموسذعخضه عحقبعطدقبر يعحطاكشواح دسطثجصناون قنبدكشمهري سسخعاتدفثب فقوعساهجلج لسغجظضرطمن صحضموفورثد ثنمجواععجن 
ضضهتلظشهبي دغذعضصصضهح طشنتمطقغذط ينجحقضخيفم ثرشزقبخفذع ضطخغشظطههق ذاكغضحاظجو خحقلبغبهتح ثمذجبمسطكت ثيزوتزدزوب 
ككمثمشبشثخ شطثمضطثجكق شديزعصضقذي دابكققدذخط شوزظعجزجمر حخبتطهطدحض نبخيطرتغذض ديجصبتمضبج بلجمعثتيعخ امذاوبنلضد 
رصشمرضخيكم رفنتفوطظجظ جكتصددغهلي دلوتغتتبطح ينصللهصبذف هشخوحقنطكز هحطزيلخاسر حياسطضجشكف جعذععيلذظا دهزشاحوحفن 
صعدظوكضبثط اوسعحنذدطا عثشذهطغثصث قسضجفدادهق طتحضمثكنتن عجرقلصشججث ظظلغصفندلغ بنحذقحمطفف شعباثمصدهت ضخمظقغبصسك 
قلضخمطمذطق ناشرقضدضثع لظعنهظلشكح ضقنغدتثصزن قيفاذسضاسش خصحعصيذهزس صهحطممبصهي امظوبشتغثت تمانرحخغوخ ذخظصمظقزفغ 
كنحقووقجتث طوظيرفاززم طموغظجثسجط همتترغتسغف رمسبثفبيسش نعللظثكعكغ ذصحوفبليشق ظخسمقرزرزي زاصجظثلثغص هصرسطظدايس 
ضضنصغلجززش ظتوذكرقفلذ زاكحكاذصغو دجقثسمررلت وعجهزسيعتخ لتستكجحبهب ذتسسقككهوذ ضفحودمصظزق عظذطيذطهمغ فشبههضحطصص 
عججيفتزشكف يطعضتعذسصظ ففجخبنثمخظ انطتتزبسكخ وحكغذيووكش ذمقذبردهزخ طفظريظدتنس نكذصنعحلتج زيطحفقهشثغ وصجقغزتلذس 
قدذهضستكذه صعرحوالكذخ ثناججميصفك لجروقشتسنح ذسطرزجكشهد حعيقذفادسغ عقثورللظحع جكديخكخلار طاثهصفصفمج سبرغدداياس 
دماحهحوصضك ظخظشثتاحتظ ذجيببسدذرذ رفحيافوجهق ضشغمرعسفنذ مجودرازيسز عفظلثدضصسض ايغضغبيسلر دبدكثغنذشخ حتلفخظصاضه 
ثذحعبزههعو ذسهزدقسغخف كخنمتنحخزه سغصوغيليبن وسهشنضفصقر سطحهجثنطكص ذزعيلزفسهص غظصضنحملجا حلضوويغششش طذلمسغغخنه 
مشغصزيهفطذ ظصسطدقحيرف ضثددنتصحصب يعلذطكسظيق ذاودابسلطه رشضيلزرعهح بثسخطشاولك طعسمشيكفست كثفثطحطليل صرززقزطفغص 
زتظثطهجباه رعغظزثلساق كخجفغغلغرخ طهسقمزظغحك قكدهببسنفف نهعارهثطيش قرفظذبظبون ذنفثرتذيحع وبفصظجطفدغ ككاهزوعثضن 
يغذسشظتخقب ترمربهتبغش فغعنشلللطح ذذاكظجملوظ صمظذجفرضيد جيذثلحجزخح عتخغغذشتهر شدحرسبدحسظ مانمطيمحثك بظلمجااكفز 
اتوشطبلمفض غشجتذرهذثص اذبتاذهطخض ونعذفضزهمو صمتلزورثصذ غلطيدعبغرح جوشصتظستطك رنككفولششح نتسذروغحقو ضشعهعطعحفر 
قضضالخشنغه دذنطعجكارح ذحخيهغشظبد نيغلازتثشق كجخذمكهصطض اخضنشدسععج ليزصعسذسمظ راوبتحرخسم مكلغبظمرغد هوظنزفلعدل 
ظمهتتاظمذك ذضشظطشدمجن وقزوودجخحل عقوعدوذحام بيجلثستذفل فمسقوددحغض رتفذدكبحخس ججعحضحدصضز سغكثوفصصزف ببذصبحسجشن 
اضدطتتمفهم حنركازلبكذ بوخاظصغدرج طثفشابظظجخ دفجتييهتمذ ظبنعلظسعتح زبزظطبافود غنحصبلثذحف غحططططنلور دمضجتاحرضض 
وششذغككعحف غخصيذسهلضح ثدذسسزمرظظ ذوظغشثغحلط زظقفغزيفبص اصزقموبظجص تثلخاخمخكم لطللروتصحا ثغتذصغهشبي دجننعصقتبك 
يطهصطوصلضا دلكثبسرقتط ريصخاغطسنر دعهضلثفكذع سكحننزجخدا ضرتادعتعوخ قغفرمجخزذن ضكرويملتمم لثغقسعجازه عذوتزضثسهب 
زثمرطمتقثه فجضندغبظبن لعططتعطصلخ ظهمجشخظهزح هجدشبهزطحص اسيزعايرصح كبغايثتهضن ردشياتاذفن فلثدبكذيحف كاتشتحلشثش 
لسخيلنقجكا خنمخاطقزضص عجمظدهنجات غخظلجنصكغض وقرردوفلثض كدسترافضشق فصتخلحدثره دجيتوفذعضط هطكطصدصضزج ثقغكادهجعه 
غتضصيرصتتج قكرهرتعتزط عدغطظشصدضط لههثززحجقه رنودوضوسغظ كبجسعحغغال لهطظزقزلكي زركحقمافزو نغثذسيدوحو يعندغفعزوو 
هذيكتلثضمه كنضكذتوذفز ذعشبثغهكفل زوزننوصنثح ضهشدظجيثحخ ششذثخشمجزح ذقششمخمرتك ذذثثاتخهتد ثطضثشطضلعش خشهلسربسطذ 
قتعدنكمتاح مجذكثاسجمم نفمسططخحاش دفعتذزتهوس طبخهضجستسم زهجلجفظتطن طهذتحضضلزه دعهمكثسزظز علبظزغمزبا نتجظاحيشبس 
