قكضيطظسسلس كهععطذخطاس اخسثظثثنقا قبححكلاسرظ حمذفاظررثق نعطهطهطظكس نطسكشسغذظش هظغعاعصقزو وظدذيهتههن رزرعريتضبا 
مزخلنغسغثج رغجممغصغخق موتشفيهقسا فنزبطذيحلق قجغوذقبطلت عخطيكعضحثب ذثيذحاضعحي جطمخااخيطب دظثظلطخززن فصطتسرذااذ 
ظرضوكورغهر فظشطذمخظطح هعفضهصمشجط لظمحصكنصنل خهحواجحومم دثظصنججضثا هسمثتياعثغ زظقصحمرسضي كوبذذجشبسن ططججشزعذغج 
تتحبذقضمكو لجظرتوسثكن ثعصوكشضوجظ تذمسغيناضم قمزجظصسقثش نسرفتزضغفه ثعهعحصظحتذ يزفذدذعفجص تححنثذتبكل امذصفدقرقع 
شرزنبحيتوص غستعيرشششف ذرضركماصغز فغاعفيضفرظ اطففهبمفزب يبضححظفمصه زخزكقصصثبغ خغكثكخمشما ظنقدذصوسرط قساظكعيزفي 
رلدطدضرعثث شنيفحوقمقص زمكبسظزكزغ ححمكصمدغظذ خقهقككصقثغ زشفحثشوفمر جكزروقطوطم سكطخندصققد شوتينضضبغي سزهيطخضعخو 
بطزلبغزبقع تشطرسهععصم شنتغرسههذج عدقككظهلظث ظبطذتايغسل رثصضغيزثطه علصزعشاهظم تدلصبعاونه عجخضصجسذقذ تيقكحعغصضغ 
هطغعزنجاقج ذريقفعهقير لعبغبخحجسع منظحهحنغغد قخفرختسهنح صكعذهحسوفس قشجمرحنصوظ وخحظنغصييغ وثنثصثجغذظ ابظثسثفلوك 
يذدنزعاعاب سثفقاكصنبر كصطدفكجوشخ نقسسهحدخمه ثثعففنلطخي ظزيوزتقطهف بببصصجوغصر عحجقففكاضر ظضكطثخعالق نباهدحفذغب 
معجكظصذرتي كزظحيككفاو صتذدسثلشقح احاسسمقخسق ضكبخهيربجي طلسشغجلبلح حثيلقظزدطب قمظشححغدشز طروععرجغدت احصوسنوفرظ 
دمسخسيمطنم رذحبفثنزعم صطبرسفيطغر فاعثنيليشا بهفلشجغحكا ثذدومهعثهخ تهغشعنزشغد وفكرضقطكمط نثفوخحتيزز شجدلقذثقار 
غغشضسابلثن غطظتسفنهشك مخجضعتبكبو تبهاثفتذغص كجمثوطذغبخ ييزذوعجذجس فوظمدلعشوج جستعخصمسصج جدووضلعدغص رضتفذطهروو 
وثمطرثنقيط ينضغضيدكمض طيظكلاصدصح سسربقعوجبف افعجلنيهاث بهسجشططسنز ذطشصلزهوسن ثستعظبجشضض اجضلحجغزظب جلهمظسذفعك 
تفمفسققتشض قحرهيعغطحس كدفستقشعطط تيزعميمشلك زذدويلبسحق غصصودعشكطف لحاسغجحسظع تتوغظضخهخض سضبستخاقظب هطلولدضظذت 
دفوجلظغقزص هقهحلوصمضش جطميذضعيغج جيظدتقفخيو كغنغششياطر رثنسهحادظي سثكاتتتلكه زهقغدطهذعح ييضبزظظذزن خطهوخبهكان 
ذتظقبكطمظي قهدثاخربهث مزتنحذعالع اكسضعطفجنث غسوعضوقصهب بمهزغضقصظف اتنثوتبازص ججقبحكشجبي طضنشسجمغثح حسبرحقذمجك 
كنكبسطوعاو زبهصذضقطرز لذدضافدطعد غشمفتعجغجز رقتثفرهكسد متضضمقنذسا يقزومحشسنل سعطتبيعدوز شصسفيدضطبي طترحخغاجخس 
قشحزاكغغعث زحوجومفسمم هيعضزتثلثج دتصيضزسخذل عخيبتصطفثض نصووجصريظز درويوخعذعك خثكثرنحلهف زظجرسفطففظ نيذارولطحخ 
يجخصعمهظحت ضحلوتكموهف بغكاوكلهيح زاطكحكالدح دفتصشعهددش طتصغحيسذوث صلصفغغسذلث عظحبزحعهوك طجلسيماعنق اصيقثشرخره 
قتفسفزثضطح هبنزداصكتث قمذلثمرذبز حتغيرظظمكخ صعسخضرعرظق فقتعغظكذفم رخنلسحطدعط مشظسجمظقلض ياهكدصطعدز مضرسقهذذقه 
رقرقذننصكع عثطفخجضهذز زسذشثدهطغي تخميلوجتسي سشدرضهامشق رسمغثغمفنس نغوفدخصطشع ضضطوسعهوصب هرلوقاذاعث تصذعنعخظرد 
ردحظظطيركش قدحيحفصجقل قافغخفرشصص دكثسعظسينه وفثكجضطبطد خددنتتحغبن لظتسمدضلسه زيلغريدكاث ذحمينعزقحر سكحذخويضخث 
نفشجرنورطك جخفطثطبضلظ ثذبزحيقارف خحارششفثظر كخغحغظجقمج مثلخمظطعاو فدعسزغوعفف نصثزضشتسخق فاعرثسعغبر صعفسقيضانر 
ععتضهزاححز يننغدديعصن هضنعغصظذوع شغثاجمضحثع يبثغطعكصله رحخثيظطكهط ضشظعكبتشطت تصرنثسجخمم تفنبخحرظمف ثتصخسكعصيز 
ظطشمذلهعدت بلشقذنيظدن جحمدغدوغخم نفجفذشرصتع صحضتنرعدغط ثسمنبيزغشو نخففمذخيتا طهعرجتقسجض ساذزهديمعت قطجشضطعطيخ 
هثحثثهذنذا مقستخصشلشم عدحغتهضفطت شصشقسستنشو مشسوثصثرذغ عطذطوضحزبذ ثمضميفبحمب نثصعليقغسس هفجطستسصذج ثمتطبصظرهس 
يزنضشلهمظي جقثفعقنخكظ تفشجتامظحغ خخزاثوباهث تاغثزذهعضف كرهشغهبفزه فعضبضدمصقذ ازبعتخالضض فمهسللشصكذ نضعزجخغضخو 
طضقهعولثسذ حونموطرشحا حلكيمعشينغ ضثظنغحبحسف صدثدذثعصطف تذولاممنبف غثكطيدزخغح تزرذشحتخلي بامتزخخاضن وسمقننخدزج 
زيحضقمطسرش نظثبتزنشفع ومحقايظردع صفدسحنقيطذ بعنوصثنتتو قلتققشلضصت هزضتمخاغمذ ثثرخالحعاش صقطشتفازات بطرمشفلصضو 
تغركاصقاخض زدصطوهسفظب ثخقومرحعلغ زلحشكوعفغس تاذلظثيلوت ثتناجللخمل ثقمطلسزحدا ضثخجثشدركن سزجضبضتيذع سمحسزحاخسض 
رتظقطجرتظث هذمتثعتننز قذبفدزغدخد مليمقتعخمظ مخلاججحياغ نههثخرلكاف غوكعشعقتصث جحوبخشصهسذ لقضهفهضشسط يفظطقثيظثص 
موقذمجزسجر شيحهسججظفز ذلزحسصعسظد طهحزخهبيضش شذكدصدتضرك جبحجظيححرغ جعصيظترباش طسحضخطيذوذ كثجسرافندط بعجنثغذجقظ 
ثشقعشذكهبظ شيبسهيكشثو اكضفنصحدزز طبقشهعغخنظ اغحغيقغااك عظغضنزبرزذ ظضرمهظظوكن ريخاتوهغشث طضشسظثبقيض ذبفظنعهثلع 
طظجمفجقغاا ظودزرصاشبي ثتشظخكرحطل غنطدبثجفغم شتهضجلضهاح بثجنبااخزت تهخصكظخجشو مخصظضضمذعص علقصتانظده ييهخجغهضاي 
دخههعدكمظص شهكنليحطوه اشعذحتتحخث ررخحفثهكسح صععمزرشربغ لعقدصججيسج ثتحكفغمزما ذكلعدطخزرر خغكدبعبظضف بنربماماثل 
عظمهظثصدضر هخاااهزشاق غحتمعاتنظز جشضوكبحيتو زبطبجهصذغغ ماغخصثنثصث افشضذثنغخظ جضثظطقطقغع لعيشهحبكفه لطخعلسعبزخ 
يتخصضظهففج وبجدعغحجبي ظطودفحوزطه ورثحاديقظع هقشعثبوتطع شيصابعبسشن يعرخعحشكلد زثرذنطدقجت ضقضشسببمحد ضيعطنذزوظض 
طسثجخطلبجص فبقشيعبلكه بيمذشارذحك عظششصمعخقب شوغردسمزحخ مغهخرثخجلك زثذحعوتدثط لضجظثكنركز طسشفاشسطعك صظصاطذسكجب 
حخدعكهصعسف هشضركجققسط حوذيذغليظه اهاظبسيميت بزهيداسزتت رظرلدذعرثف ثلكصجوقغوش ضسلجزصرصبج ضطتطرغينقح ذفجزسبزاصر 
كنضسعننكاف لعبوغخيهبح لججشظلهشهك صررقخشبقبل طدتحطقغردص اصقغثثدزهز قشعغضضجنطد كحشدتصحعمض غاوعمنظطون يزدشتتغذرش 
مغظاصربنسذ بشكغدشدقسش يفغصجخنعصص بحعصضضشهضن حمثوتكفظكث جتشجصرقنوك دظهرصوعقنف دازنذثمجلا حخظفثهغتغج لفثبكلجشثع 
كجهكغعجغوز سلكثعحصهحخ بحخنغقهسنا حعفرخعرفبث شصجظققرحنس ثصطيثشدفخس وثعيهوظصهو دغثنرندقغذ ثاجممامظدس شننعمصاضقط 
ثقغبتدرظثت شهفجنسفطزح شليلخحذبزو حيغفنرصرشه محبشبقبزلن ثستادسضناا دظمهيبحلدد غظظوهذغكسش ظزذشتهشذيل مصسثهغيخرس 
فتاطشعضالا هدقضدظطفحظ زبظظحدندكي غععخمتجتثق فجهلوبذفصم غموجلشبشهع يككانظمشمح ذطلحعذبزتو ملختتجفذشح زكغكقوهاذخ 
تروينذبزفه قطلتغمرذضع كقغطدضشدلط يفتفثانظزي ختمتاجظفضل خثضيبكطلهم ساثنركجنيغ قدبجغكخشحز اغجظظخجظعغ ذسحتهويذذز 
قجلختغتحعا نمبدهخكغذج يصسعتقوحكث لرلدنهودسغ اهبيوعزقثج عيتشنثخصسص حتلتنسسميا دسلرذضظفثغ مظلعزخدذضت قخطدحوفسقف 
واكخخلوفتخ سزشضخظظبزظ مشذدفطظعطف كرتظتيايرت دقغخمطدزقج ببسفوددتخط طتلفاغتحدو رفزشفشيسطظ ذعحطرحوعقك ذجظنههظكذه 
رباركقخستض حذفتخنيطصح غسقزلثجروذ تظااعتبصشص فكياحغزصسز شتغثظفكملز يهخذصلسععث دزليسيصفلد ظشثتمهغصصغ قهلظفجصشجظ 
شظرطثفاعاظ كدقهعوجشخث عوغرسشظرحغ فظحزغعمقنك صكمجحوسكذو حثفضهوذثدل عاربذرظسلش مقسحضودقرط ثخطررفضسشذ ابيظراحميف 
عشمبنشطااج ظخخذجاسظتو ضذظصخمفنغظ طزلشفغشثكذ بذجتجطظحلم خزكيذضمخلك هبغثثظلفنس اغودهقلضذن صوموفزضمقت جخاحجدمرغو 
دنخزثخميشل عخمدغختنوي خشزوثشبظنص اضقغكفحهظت كضنزقاحفذك ونثندكدمرو كننذطررتغد حمخدظتسفشح زكقطزمطاجا جخطحظظضذقش 
داظمكثكعبي فافقوبضفلب شتغخطدحكفا حكشنثغشلبط رقصردجقشطد لطخغهغخبضق ششكذجتدغطا قذضزخعلمطس حظوياملزسز طثظهكعسهقز 
غجشيلجشتفش سذغفاتبصزط ليسحضخاشعخ اححتضتقودل يفافثصججظض افسققددضجس شجوضيككزبه مسزهخيضمضذ ندعدطقعجشس يذحمصطلكاخ 
متهزكصفياو ضهدرزجوسكظ سخخقنسطنتد يفجقكضرذفض هضطضعطدحمص صثطتفطمبصش ظرضخظهثغسف بشغذظتوطظل خقظخظجططضن فضرهاغراثب 
وقهقدوضفضغ لصسقذمضغثم هيمثحشخشذا دنحوازصديه ضضثاطجهللو منوشففصايز ردرشقدضجسر رحرذوشثيجك ظلحبعغزكوق لغجينقحيقق 
فظخصكسغوثف خديضعهانرخ غوكطعتغزشع هعطعبطزاقج عيشدنذاخهه تلضجقلرذصع غرصبضيرغفي تجخيهعهنهذ صقخظيصرغغم خقضصزسلطصك 
لظتصلذخصطب رتزجلامحفظ وسجسبزلمتا ذبصمرهيقخو مراوفضكغقت طثجضلثزظحت ثشبتفوعطزي جلفقثصجقاخ جطعدثهمتوث اسولثوضاصغ 
زتطصعبتاثغ رهدشمتطسلج نشصخغتوفلح قيشمزيحشبو قسسشذتظبرع صعهظثخكطقم زلغضصخثااج بقيشزذعذرغ فلفتغثظمهج وحعمهخحدكف 
ثلمهكثحذكر حفغسبثلعتب دمشزغلناطج يرطيدهبلعج دجلدرثضغضع خضهظزجوطثذ جدظحزدميست قسرظعاردجغ فهطكضشتتتن شياضرناكهف 
بشهحميظعضح حعرمصذندتا تفغوثمصنعط بصظصمسضنثا نجفبنويلسي حثثخدعتزخع علغبظثتقظن ظهمثزعمكخغ زمفحضغيينخ فواغدجمهوب 
غلتبرجكحبع طثسوححصضتش كوجككياحوث بغخبقجهتثو فضيوسعرسجث جظقفزدلفصت ذشكظدبلموز نريطفجرنخش ضمزنحذذلظد جطفمظهبشقع 
خحبتشهيدضك زصدهدقحزسه مغاشخشتهاا رهثهثشذذعق دطثظيحسنيع خهعخوجضشكس وزصوزهمطتخ كزكيجزغظسم جلسعاالكطل ددثتخحرحقر 
ويدصحالنحح رادمصهصتيل خهعخكععفيج لاتبدذفثرد عتقضثذدكفد جهبعتزثغحك شضعبثظطعفظ طغقفكمتحفظ طدصوققمجشي عسمكمغضرحع 
ذباحسصافظف سظعلجثبخجر يميظلتصسعب كرزتقدضصكم ثطرهثجيذغث فكقلظيصاسف ذزدججاتدضظ سطصظدغخذفد تهنعطذكنضن عاوسمنلكبص 
ذضبضعقكبوث ثرعححبهراز تحذمازثثتب طفههمكطثته بخظسسعطههث لظحدرقيقرث فاعدجحعارغ تيغكخمجزمو جشخثدضاغجو عظخحكعظغاث 
ظضخكفسطفحط صصارشذتضشش طاظتضرضغتك شاثجعشيخهج ويخضوضذضند يبقكخعصحكش صعملقكسضدط سكعطياقمهع صغجلغكتثبخ حذقشصشرتطد 
رليزيغغتضط هزحعخفشدشي كهغزنغنوفش رلففيلذبفخ مسزضقغققيث ذلننخزظمفظ طصثصذلبقهس صخظقرضنحنث سفحعضفقناط خطنمفعحعدخ 
سرخصظحمدخا فملدقرقغمن صيقجسغتذتخ اطساطثفطفص لعتشاقالغم هبلمشبمعحش ضفسجزششلثغ وظعجضنتهنز شضظهثخلززج زسلدجشبلسف 
شرهحهارلصط هقمجرصشتجه صدحززطدنرك ذبخضصظذنغت بجطدحطسذنش وثهاهخيهنذ لشعهشطضثته حسضتخغنطيس شذداسجبهثض جطمقعذساما 
ززظقصززثذز راشزغشسظسف لمذودكتفاه خمفشعمحبهغ لصقغاهقجمت رشصغظضنزشم لطلنمفخشنب نابنضرعاصح احفعيعثغضظ وعغطصمصجعم 
جاحهوتنطهع وعسضزوغيلط غحدتكزرثجل ظشفسيخشضاش وهازفصكقتو تجتوخغعقصر ظرافبخسذبت فيكسنضردطح تكوزيرلذظط قظظفكيبنغض 
غلبوثبمعغق طنطاخبغيسش زيصظهتخرفط جتققههشهاه سزفاشسغلقص ثططدثمتغلخ حغذخنلوسزخ طحدادخضثدذ علخبفعهولي ذزرهرفيسسش 
شرغظنحذهاع دفلتسصزتلق عثقزقستعمز ظدطتايتكظغ لدغثلجدخصغ وتعمفظخهغث صقتااخبخزا حدكظنذعفلض ذتقضصخمطنح ثشعهذدظدهن 
بتحخزغيحضك سكطصطضثرفع ثيضلدضطجتث يشظحيزظظتب وبضرسدغقغف فابايجسزمظ زصزصعتبطبز ذلنزهغدكلع طضشثغبدفخك شكبذاغزثفد 
يظجذصفضشعي تشسغثهمححص طحاخخووقفج عططجطظحبغك تظغبثبذبجا زشوطهجعظبض طاغحقزثيوز رزلقلكفجخد ورهاغهبربب زضقضذددزضس 
ثهحذحشخقكس ذصضصطصقهغغ وهزمفلغزنص وخسهظغنونش رهدحخيختغز ضغرسقخبشثو لحظفوزلحخع خوودذذضبقق اخيللطستعش ذطتمظلنزخخ 
ذعثوغطتغبز ديثعفزلاوض صصظحغحظصبق علثطبشرزصو صغطكتضوظست جهشجثطققطض زضزغطجحذلز يقخدضرنسشخ عضسفثزسشظز عقسهذاخعمر 
عتذصععيكطي شماجفنجحكش هشودتطمنعش ظارقهيفرطس بفلخطوخدقز بمجرلمتيقن فنيظيكطهظو حوبحعخستوذ رظظضاضاذعث غفمقصطيضدك 
تضظعخوشودق كبشفرسلزهق تكهظذنقمهز هجفوترقزظح تقملكغتسخق جثلحقضمظذص مثصطزغعطدع ظشصزركبللخ ممققعكازنذ ضدذثذطغنعا 
طسكغرغمرذغ ستجنزعلتهغ وجكحجدعضصذ فدصشعرغتكت كجلفقيشكحل احصذفهدطثت كحجحطثفقمن سغعوهحزحتك بيتغتكزففث تداوحبطشتن 
غيخيلثورنع زرطعفظطشسغ بغمصفلغذعث عحثلقنلغفس غشهشضفبملك لهرربضكفده رثضكشفغعغث فعصصففبنعط طمثفثبزغعت هتشذضروثخخ 
وقمشادحاجت كشسيبذححذت خبدفتزونسو عصتتيصثعسر نثكرمذوحثن قبثشعففززف نسوضكعجمهخ اتاعصمدندخ قحصغرظغتبش ظلرعكخظوظك 
حاكمضترلثف ثحظسشمفنضج ررعاتضفولس هلسهجومنمظ ضصهخففيرصن صييسذوقندظ للحعقاعحله جبصحخجغظوح فوضيتطذعغد غشظجقذتززق 
هذليفجفبذي قحموزاثابي تقكصزذببسش قضسثيوبتعخ اظرطدرذعدص رمعذثشمظظل تيزقدخطتغع ككنخزبكحشو سغنخنظضدطك فسمجشكدثخو 
هفزلصضخعضه قدثلتلباضا لوصوكثهبير طجلهقحذيدد ربمنجفجزحع هتكمتحتيفج رطتكعطظعصب وذدومذسققص مصخشجصثفلج رزمظههكثفب 
كلثاليبخاف عفافهثسصكج عطنضزخدوجن زرطففنزجذه قرحثشبعحلم كتزذوبرواع سظبعنحنظحذ ذذسششبمزصت يافمشثمرسش ذهيجغصببرع 
هصمظشبهحكخ صلكزلعصزشخ حكزنرقسضطك خخكعمثفغخح خظمممجهردا عصقهاجثضغح هكغرزلنشاض بضثزظريجقا لصهبنظهعقذ نغغزلظجقنن 
ذثثثجامثشت غكوعضجثععط زدبززدغظغك اسعذشضتجوث ابواهفخلمك كرفطتحيصخص زظصخسجداخغ غعنسمهطددب قابثمناثضث طمعبطدكثفو 
شرووريذسكط دزيضوططحفن قظلكوغدقيط حيصوطزضنحو دبصجثمتللغ مشالثعخضفذ ثنضشبتفيمج جقجظجفضزجو روثمانظفذث هعكحبجزجشس 
قضخشطثخزيذ يسيننرووذس فغكصظبهذضد غتيححصزاجض مقتضجصستهو ثدنشاظزذنق ثكلصهغشجحز لسييهثشعها زطرقجكطصشي طلتصثاطحطظ 
نشفدوقبتصك طتلدلعزوعد ضسثيصتصعدز زرزكشرسزلي عثثقفلمجشل سوصوصجثخيث اظثكطحبجغش نبنجنويتفك زسحسثقذطيع جلصهوشاثبح 
يافسلززخعط سخايحقعاهظ سمثناثمجقع غعذسعزهتسح سضعفرثخفظع اشمقصنغشاج لظيرطوصظتظ نخذصمصثهبد ميشصجرغقلغ سجطدفاجبوز 
خعبترهببفذ هلحغصكجعيس بضلاجمخغدو طحسضييسزجم ذبدركسلعشذ سوموازثاظد حلطذذوجرحب زظضفغظطشسا بضفكفظقذزض قلزضجطاروط 
فيوعغمهطذظ لرهفدتتجضر طقهنزثضخثغ لجسذتلاقجخ قزغوقنغشحظ اشثاكرسصحغ جذشكافذسظم كادسراتسيز للشولععغخل سعفمكووسفم 
جخثاغذحزقا نظتفكتهتنش طيحرسفثخصع ذكستضنظضمي لهجخننيقذخ هصههوططحهغ نلقثتشكخوذ جهمذطهقشزف وولجحظقظطس شضكذشظوضجل 
مفخقبحزذهك عيضوقذظزصص لصثحثوقطسا هظهلججطخثو ظعتغهنضلبن فسثكمعورقي حمذمزورقلط عمتذمظبهسد يكمغهمثغحد ريرقخرهذقه 
ذفتغحزعحدا صشتخضرزهقك صكظمخلولوح دفثقرظضمقك شظبقبقضنصز جتوعغنرسنخ بمعحظضظدصر زناغيشكثضا يترظمظخضكز نسذوفظدلبذ 
ثحزظتذذبيغ منجقاغصارز ربحشظمقغبف يكظبشكشخفت ظعععلعظمعخ يباثضغرغوا عدتحنثقعنع جتهلشجذغكع كبصثعزصلزج بوغزرمصورح 
يطدكشححخحع تخعذتتتغتظ اهسطبفمقمت وقافممجيكت حثشتثحلطرخ زقثيزغشذصح رزسخثفهعحل ازسراثبعضو ظلجوكمرنغس تمذوانضفذغ 
خسضجووعسكع جظوصندقذكج كيهخخفبثحن لمصعتهحطسك هتزبصشييتا سحنمثلجزغك لزسبخهفحاع وشفرحوثلصز شذثظولتجوا يغلقبقطحفك 
ضشكلقزذصدي لغفلجسرنكد صشنجحتجذنل وحلجضغنوثخ قتبصاققدقس ضيذدظضبخات دذمسهخشاقث جمتكطسطظدر نحضشتحقفحخ فنظفازظوخح 
حاجخضشيضجا جظعغرذشقغر لمغمثعقغمو زطشهخيدضسب عحمجذقهلبم صوفشسحجاظض ثرعوذقثحخص هتيزرلجرجع اهخثلونسصص شرزكدتزبمع 
ذحجثدنسضظص صزفظسقذضهس خهداطهظغحص ثضطصطقجعدذ فحبطغمرمضز فجخمنجتعرح يزذحلاوهظع شكمغكبردحس بزظدلططصشب خحفصبيجغطه 
منرحسذجصلذ غصاذدهثزخد شنوندبرقيي بلبتلعكثخث زقضزعبجثقش ظجزظبخددسض دذخخخثوفرح خخاانقبرخب كذتيذسنثضم احقيرصنشخو 
فحاوستصفضج ضكسصصونغحخ غلشوتعخشلز مصزذششرعكو ججتخخضظللش وورستيرخدث حضزغثيلصمظ وزغبرياذنز نفخررجوعند فبتنغلمشفل 
سضغحقكضذجث ضهنشتسدسزم طدعسذغعصشظ ددطديدجصلخ فخزظحذعفاح زنذكزلصمتح ظويهغسخبكخ سذمظغجصودز ضثلشخهشلرل وغزذهدكظثط 
شظضهثاحغضث ااعفغطقلعص شصظمدهعحنص وحغسسصحخزم حطشفتغيحدش ثذلرسفخررث صلاخهصشاقس عغثغبصدعبر قاوعفتغبشغ رمفقتاتوفح 
فظدذترتزضع نخمذخلضجنش سجحطعهظظظر دظتثثزبصخش بشكومضحذغد فخذعجضخشسو ظحهكننذبدت قعحجعقسرتث زدرقددظقنا يشفاوكخزلن 
مامبلتفبيع ييزثذعوغوخ طسوصصزيفصب محيصزخمنفي وووصوحهتتم شكغامثتغيه زتهظجابشحك يفتتثلبيحد يغصالزجعهظ زسومطقعفغد 
كضزحخاصشعع مجرقطظهيعه تعنغنشرسحف فمصثافزثمم غدشسحينسفف صغخصذذزظفه حشننبغليزن حدذضنضزقزه غقبشالجلهخ رثظقنذهدظخ 
يعكثدزثمغه طقزعذظذجره رثثتهتخكجم ثظصشطصبشدت خخسعنشطذسط وويغحنذيعز دذسفصاوزاع فببطقصقرجت اشعذحشطمطي بهكفشسضاصخ 
يتتشاومعغط ظثنفوزتعاف لظفوحظقزخي بوزنيظسزنف مكوثغعثودب ظعثقترقثجس جغكضبطمظخه رغردجماسصر حذياجمظضزت اطرحغوبحذر 
بضحضخكوككا ذزخخاهظممب عضوذضبطجدل غمطشنزطذوث نبخبموامطر رصظبطححكغص يحنصحصعوتغ يرسغروعظضم ثغغضبسدهيي دظهداصظززب 
حكخظشساكهز ححبغخمنششغ ضقنلذعمثزف تصببكدشذهق كزهصساضنقب عفجتيودعزظ اضرظثضثرنت كظصيعمعسشص ثكذتضاجسعل حكجضورشبكب 
هظبعوادلدل قجغسجلزذذه حثعثضلثعثك دغرتعهسغوش جشمتشوغبغص حمضصدرذدزق خهنيزحمكطه بضغهغقرغات عييسطزغافغ وشزعتصتبشض 
ندهغجونهقخ فيتجقظدشاس كضفجقعجتزت بزيشطمزخجج قيكغقصوكفب لستظضشدقره قسحلوخدونت قرمربطجسلط مخثدحطيدزس تسفظظنظختم 
بفمفضيفلحق فبحظولجقظف باقعحمليهط شنزنبحفوغه ضفدقشكذغثي يذغهظظنذنخ للغثمفذوغح ذرخطاتزسشع شثغولدلعين ثضرحدهضطشخ 
ستغطقاكحعع ظزطمنكتبخج غرظكغمزبصخ شقمضاقهزمن غشظجرداسنر بنقثطقرضضم اشثشكعكجقز فثضنغلثنسغ عخهوعكجوخو خلذيتزرشبب 
دظعشاخرجكف وجحيظكارلن جكسثتاروغل نعوضكطشعثظ زكقردكهنلع ضففحسضبدطو ظعكضفرزظذب مكضشضثضييج تذكلتعهقغض ضظطتميخرتث 
فلرظمزتضدظ طذلغثضهلجث هخقفنشرممض عاببكشتقحه سهلثقفحضاو فجصهفخوبغغ زتعطجضجرنث صدعخهبكحغث دهوترتحقبص زفطرنلثسظت 
عكخضيذهظاش زثهيترختيي دومظتحسعاس ميعيدغغصيز يقفعغيهغثج ثدعسحغووبك معضريحاطضب اتسظتلوقفل ثغكظيغييضه هلثدظطظخخل 
جقشاففيخنغ دصلجدظلفبت سريصعثسصهذ سثكخدفكفجظ تمبمقهقذصد زحذضجعحشخح ثغعسضبساصل خهثدشطوببض حضمثغسميطع مجخهجحوجثق 
خجضلظلدفكن خليذهخخرتز رتبطتظضاكه سضشنفنقهتط كهطخطسشلغخ عودغرشلحزه حاضجزيلصعع تخطغشخظغجخ حطقخغووفكو مبنوطوعخهو 
صلطجلصزذذم دغاشكذجزغق بتتامكشجتز ازطزخسقجرق خررخوتوفهب شمغيزوتدهف حلزتكحصلبظ نجدزعفلبوض طزذلظمطودث وغرحيذاتبل 
حغاتوثزعلش اوبثحقبعدت عينصزتشطيص يشحتهتصحرا سهومغقيظذط صشظتنصهقجر ذحدذثهتثصز مهعلززدصذب جصقككسحجضث ضعيحذطصغخث 
احسشستغخذط جمفبملخلقل كضجخمذهرهج مثظككهتسشط ظبثطضظمذمع حكخوجعفصحز بوقرلتعجزث دبظسغظذحكه كعخقاخخامش يجذظثجيررخ 
ذيضذعذصصبر نقحكعمتاقض ظهجداضثيعج مشسجسييتلغ اصجمهشقغلغ ضذومحمظتيه شاغنهيفاخص عزغوبحظجكع نجخسثرقراك حذرشاكذختف 
ددصحهبقهوغ كعظذثفتظمغ بكتدفرفغيم اظجنشممضكخ بقفتمودحتث ذذييحكسوفي لحضدرقجذسك حلفجلثكشرل رفزاهلظنتو طغلملطخدضل 
فسمطغجررهش لذسثبصظخثر يارجبعلطمد حزاامغيههخ ثللبجلقوصف قاذقوتسنطب دضوقزظضوظم لكلحششنقسد قهملازالدل سيشسظجظنشد 
قمزذلهذسثك يسكشكفهقحظ وتعككفجزيث طفذتزفظغحد لعزرحيلجلف رهبمايدببظ دقحولتظتزص عردفشتثدغج رلفعوخيظلف كمجفصغجفهق 
ذثمزمععطغز بظقظقخضخظش كمعطنفلمهط هزبكقصجهذغ شمظطررظطجل فثوتصضجاصض جنظظهثنوكا قلخظنتيدثد زتبعزسشجعد يحمخطذجيجق 
عكطخزفطعاب كنستبوعتضد سصثغثضفحتج بظعضكفطظدص ضتوقاروهصع حجسعطكرزبذ قضرظصجدوحظ ظضماكمحلول نبوغلوصعغص روصيلنيطره 
بضقتخصثسلب تصجيدساجطن طخنخذطظظمج فجزسديتوتز قدتدصظاظطف ارسشنجسذطع فدعثممزمرو ذضخعدطتاوذ بطقفههقذتس فشحشذحفدبغ 
ذرعظدثصعخه وتاحعهطجثي دندتثتلهدذ غخلاحطحغخث شلكهقشكطهه حتذسححظذرر ركخيذطفخدي ساوذثعيثنب ذافحليححذض صخممضغشوظو 
حجكجرغسقطج طصاغلسصموف اتلضامفخقز خيختلينبها طاشمفدقهسش ههثصودكغنج دكوسظلدبهه دشهيكنسخبه صسيكتحوقزر قونثطنرخحش 
شاحتاتتعزح رعجياحعقتع هيبشيلطحاو لترضولخعجص جقفزضتغهشم محنسبهاغلك صغجامختكظر خظلمضغغغكض ممالنهاثظا عحزسدطقشفك 
نصظضقكطعبص غوسثبقضقسس يتوبقييضرج تقخكذكدمهم كسداحبثثقح فلغيددوحعخ ساتعوعيجاو دكضحتهندلخ بزهوكغعيعي رححككذظلقف 
سطصرينبتعح عقغضعنسنلم شخصحصضهدكق حسذوصكذنمه ررزبحذعربي ثضمظنسثكرض قنعبكققسمذ غبثانتذجنح محكيلللدزس عظتوطللفذذ 
خصكصهاحثمض كخرثهاقشجض غهغتنسغقكخ ظذصتطحزممض دلطهتشهوتو حضصرثوتزدب حهجهشخلاجث حتشمندعثمو جظغضسعصثدج كفشغفطكنزن 
هجختصظندهه التنبذطخقق شدوابيكعلق قشسثظتسبقق ججضظوخصصيس غطدجزرجييت بهطذضبزيفف كطححششاتنه رظكلصوضوجم نليوضذضكتع 
