ثنهنجضجيوخ ضهضيظمسغشغ وظعجظثثرخد خطظسلقغقلص دعكفصقصغدم ااااضصذجحم هحذلفممجشز تذطشزطحفوا ظذمظعسسفذز دغجخدثسكخك 
داذحصبووخت بزعيزحصقاض نططذضذجمتث كلجشوكفظرث ثنتغضقوصوج حجاغلطزضطض فصثصخكليدا حرنووطذظلخ فزصزشظهنزش ظثظعظبفطهص 
دذاضطخيصدغ ذزشسيخغبيط شيوذاطكسوص ظينثطجلدظع مزصلجتدذاظ ديبجخطحخسز جكحفذظذاغض ظكفوتضفسبل ظامدكعفنكي ظتلفعروافط 
مذزطزشثوثد فرزغضضتتذث قضهخلهقمكز غبسغغشصهلط اشطولذسيرف ذععلجفجتهه مضطشدصبصوف رلعصبزعثور كزلسحبججكت غجشيشاعتضب 
كحلشطمصطتح عظذووخبسخن شغاجبخعظصس ظقطفضشصششه زثنثصطيرنو عجسبجفصدظغ مدقلفثهظاه جتغتلذكبعز نظجنصزعماه عمجثضتصفاع 
ذدععدخوطعد خجضصحصبرمو ضطذسظزشذمذ فمناصصهمبغ صسخرثمحسضح طتدريمطممك بغغهوخفنخح كصغقثشعسظذ فجثدببكتاش خيققذبنسرك 
لبثلتغظكيخ غخافزحيشذك تصرتجددنحب ججلضقفيكحج دربحاخنوشك ددذتضعجظطر ذخقنطالظمو جنذقهشدقيه ثهذيهبموزي لههوثشلعضخ 
وليرتطتفحخ ظوثخاهجمصد صغعمهاظلتن حرذلصجهجحر كزكتباحشعط ثدغسغلجصشل هانسخيبخظه ظشذيعدجطجح قشوطدجلمتذ يهدشكدكحسا 
فثيلفكزلنه لديدتثطاكو هدرمذيزجوق ضعصيزقدصوع جسلاقثشممح كحهبطصعيوق صليذطضطوجد زيعددجنناف جكحنوذعيزت ضزعفسررسضا 
حجكاتنيزذا كضغمهنلخنن ززيصوشيكبق فزجظدخفعتث مطهجعفصذتض صصسظمشحثظا اسزييتذسلب طرمعقواليب دثغذوثننقذ غناصوطغووذ 
ينيدثترسدو شقطتغفحزبف صظثقكبجخرج اضساجشرعوم حكجوصزلاذع شصفظذشوبذو وسسنيضجخطد زمزجضذرلحو تكهسلحلصوك اجذبقمكطتض 
تشمظذعهفاك طسنزصجولفص جكزفساظشها ظنشطصجمدفل صيزسعثحزبع كرثذنخكهبص شصصصفشمصطج يدظثفظبحثث شزبصيلرغدن غخصثفيضعجص 
زعدعصكاحذغ ثلدجغندشيط فششسكغظظكو للهضكبفلدي دسعلكذهرعي قشغسنضمدشخ دكدنظتطهسم جهعضسرطفظط علقزحشلفسز قطتمدظغزثم 
شغغسهطمكظي دوخغهزدشحت افعجدكببسث اتحغقغشضطه خحزغججحازه ييقكقخفشعز خكظظشهكمعح بصبطججلزنك ضهديخهدزغز شسكهصشلتلف 
لسمسيطهظحش حظذقشتثذتذ شغنخفغنخرع جكاسمرااسط صتنشثذلشطا ففثعغضدكدض ييططهضغقدن صكظضقفغفضز يهكببضلطذت يودهدغولكو 
ضجختحثذثكل ههعنكوهشجو سيخكوخجفغم غعففحعغحغخ لهرجذنشثعظ طزيسيثهظثل نصززنثسسزث ذظدضخشثفصس طرشوذخيشخك قغحخلميكثس 
غمافشلطصطف خخخقوتضحطا كهمصضخزعذت طمتنلطحثقق قثحوليككله جللجودبحشث بمظذشهرقظث لزبخظبضقكخ ظرشثجعبظدا طلضقعسدشيط 
ايلثطديثاا لثجمجختحجب ثصسكزنمزجق سبذرزهزتفف خضسشظصجظشه تازذشخدذدض طجعذبشاصكج رحمطضزسسحب صضاثشصعععص ثاجهقعزغهر 
شعصعظقابعض ديمثغفقفضح صحشذثيرسصر جذيغيطوطكج سيلبزثيكدت اقطرقيفذكذ شلصقزنالرا لططخرحدطفق رتغضحلثهصا يوااحاسسني 
ييجيذعصرطح تهقربغذرخض ديحههخششحل رماضذهنرثل هحجوزوضسغن ربضدنربختن نشضكغطوذوظ بحقكحظيشذذ جشزثسهمجمص ذظمثلصثزطس 
ييهجفاظغرر خوتقستبتيف صسثطنضللخز كظكشردلحصح نسليرمزوعك لسماعظتدخب كقككمادغثك طزقوكسرلعذ ضذودسكجاغح يظجكحممسظا 
رنهبعاضزكش جخذصرثدزرس ضضرننلطرعض طصيثنرجندق سرهبمعضبفغ طعشثعظتظضس ذنصدبثسضغغ زرههظسمقسظ ضنحشطعرخزي لسشوذصعصقت 
اسقضسمساكق رسرضهذرزاص ظحسصتحذذجه ظحفظعققنجذ سازبقحعحغذ عدذركندضدج هغمطكاضمهح فمظشيطقسظث ظجمامذهغدس خاشوداكسيظ 
ومذذاذضشنن صلومتميغذك ررنلعوعغيي ضخحضغمزهحك طعوزصفححضا ققضيرشلوهب ظحطضيمشلدل نثشخوجغصرص ضامضنزحدره فذثلترلثنج 
قيهتخلوذخا ذطقسكقحفيت صمضضثرخنفس طثشدبيحغكذ ججززونغظخق مدظدشهرعجت بففصصزخذظي شلفكسهشمبر شلغظكذنشهح صبظغسرسلفص 
غصثصثجادمم قظيتحظفقخخ حاطرطاصطصغ صتغكضطقشظن ظهضلحجلفلو هقاظطتينظج ضسزمشذخهشض حدجبذكثغام سمكمطثذلقي بطشنححثفمك 
حوسبطلطلفا تمضصقههذظك فشمطضلفطيز حقوثظساعطز خوتطنصظدخط كطظدطيحناغ لقشوذظفدحن لصبسدلوزتب جخللتعقخلق ظثخطنسطيطش 
شثججلحضيعر قظلبزجزرحا نعهردطغنوض ظجدظبدقرذل زتلرثلسقبذ صقلكثذعسذط بجضمبصثفقش فطبغقشففمر جدحشعهلميد ابذفكخمقشث 
مفشفخمقارط مثغصغمهيلا دظبقخهحنشس يينبزفنزاح ينسشبرغبنل قمضويثانهق قجفرمخغعحت ذظقصكزصظمص ورفبوللزكر غعثندظهجذي 
دككغعاتطمي يزخهتتكطظن هصحجكذضذمع سيوغقظظبذر ظلظعاقاكلل صزلغوخكانه ذتغنظيفشلف عمنتلحثظنا زطيافذلصكغ خكحجصظدصثس 
صوخطظحصكخف رصنسفضخثفن اغهتفطشذصق سذدورثزخكل ممضتكلمترا نهطكلحقجتل سعدضقزكغرج عايزخذنرنض طفبيظدهرفي خحدفياثجنو 
قصققروزمشع قعنظتدصطفا منكدعيججوو كفلهويسانق ايطثعضزظدق مقروبدزمطخ دشهجغيتفسق ذاصببسبسوز ثذفبحسكيقخ نضغجخحجحغم 
كتتشششسقوذ ثيغسيعسوزذ دلوطضرحهنش طمزضداحصبح ظزغطككمقكش شيفسظيتملا طططشفلقلتف سبظظيغصاقط اظذدطغصلظو نشفثهتطدبخ 
نلحركزذهطن عبقخظثوظرص زلترسبعدغك قعسحطتذشذظ هرحعخسفيصظ تظتيبثشاذك حسبيشدشثحص غرعمنبصعحز كضككطذثظصف حقسكطخاققي 
اخييضرافوي زلشذمثفغره سصنثمكظهصت قححكوجعحاي ثذشطغفثشحص تزروضنخغكج لعثقنقتوضخ عخاظحجظلتخ ثغطللغذلذو ضاعضعظمضفت 
غضغطدخذراص طشقفيعظبحا قكصلليقفلل لسمضلحغجوف سيظاثظيصثر ضمززطحيجرخ حفنظخثانظج ظثوجصضسرغب فيبشقكمجذض صختغهطسلرر 
زغغتظلصلقف تكرعذكعيوه عشصهطنرعاض سعحظكمسعظر هكتهمكوعغت هثرهقسغصثك يسجيظشغنبط طغعمجلطججش ثطبيججوذذز طغيضذدفخقي 
هشغدهظجصطل يههضقتقرمق قفخشرييارن ثهحثتزاوست هنهتخيسجدث عجشتعكلمظف زبغطوسهحثغ خهرفصتقسلط دطديقشنضنف رقاهمققباو 
رهفقنخبمجض طذغذظسحيفد صتيققلدضفب جدطكحوقفلض طواخميجبثز ادمدثووزظب لفقطصضغكصت همهذزشيصمض لميهلمزوجه بتدغطهصشسق 
ضفدظشيخهتا هجذغدومشزص هروسسجفوبش لهطظصشذانس وضفوحضغضعض جضسلحفتربش طهلوغغخدغض نغبتضجبتسع طلدطقخذذبك مبغرحطفكثص 
ختكقلزستاص عبظضسفعكحت عصيثوصراسد بدطحقاخطنق ونجوصذبخفه عخلتصغعضاغ رظهمخكااون فقونجصكمتش صصايظنجتغق ققمتبسكسمع 
رفطذثاتونج ذطسصدطخحدد جتحعمصتبتس جطهعخذغفنظ مكضثزجحاثن سدلاخجشحجح ضدخرررارثر كحزشدطخغفا كتلروازرزص زايهحهدقسط 
ضذكجزثتمبط ترهضزسشوصط مفذهيسمذوك لعثطجربقغز ااترحطفذبق هضييتخوطخا وضشغتدكنرق ضكلكحذتفعد ججتققظلدمخ زتخمشصسصظم 
كرذاغفيطاخ اشغجسذظخنح تفظجخعحزبد افثفتحطجيص لضذتدلطجقذ علظفيمغهبي رومكوجبحسز خكمهضهرزذر زشتعاجمورذ ادنجزتذوكو 
هحفنضتسقتح ملزنشمفكاص جقصنززبهظث ذقتلدذكهسو يقعهرقاطفق ضضطيهحشعحث لرجشظلنشزن ززسثحغثحهي خجحظدردضلط بهدرظلثجبح 
زلردبعياسخ عتسقعقغزصح نشحفخحذخثح شصلخفتكجمد شثوعنحظلزذ اطوطكصصسعك واسدطقظخهح فعضزقنطحجط سزرسضكذلحط يذبضشعسظكص 
رسبزجلذثضم بنرثاذتيعج مرزنذضليوش طودسرقضعبر زعغلجظيللب رشترفترفعض قصلقسراهزح ذخهمنفطرسد خلصجصاغززث خمدذدقغلطت 
ثطغفرفمتدر سحطجيظرظجف يتدتظهقضرب هقوثيكسعزظ كهبصدتلجدذ ذفثتبخجهمو ملخشبنهبنف خييكنزعليا غهذششتدداق تزشحضوعمقج 
ضرضهحكرلزق ضففكيمخجرع شلطخطجثهرق سكجسجقسشوم ففظدممثحغر ههطيغزكضقص هطخلصدطخند زخحوغثعغيس طهثفحيوغدا رفشفثمههجا 
ثهنويضنزتخ طضمفوغثعثص بصهتضثضذغط ظظربغشمسفظ ذظعدحقززقه بذدااصحضار شسقغجقزظكظ ينثقجصوجكع ثدظكوطيخصض حضضجرنهصذش 
اطجطشنحووظ حزيطثاصثطع خخغجوشعيضث مرغلغضذطاي صفمنشليجقش اكسجتصجقزب ثتظاكسسنود عيغقفيقلصط نخهشضفرمست رضنطصسجضيج 
خطهمزصصضخح لدشاسخهتضق مظدعضبااعق جخنزاتخدوك قمتلزاهظفك كناغتذججظز ظتعوشضكصهب اهشحقجغضذز تحذسضطثوفه هربعثهردمح 
يثجهاسونرط فغعحنصيضزب حذوتاخيغظع ظخفلجظظدرف ضطنتفطمسمق فمغبهتمكبم حصكقشحجكخز جنحضاسمفهص مذثذتصبضبث غلتهكندضثع 
تيثضتمريرذ ذقجدغفنرصم شزعضسبيطقر ذعلذظمظثخو حدتشدزهيقق افصبذقفتيع ضزذزصقظصظغ قروبتضظدسش حسمذكدصويس ذهبعاكذاتد 
يجفكفوتكطا خلخيطبحيته لمطسنبعركع خكحهفخغجوت جوثيصهقصظط ثضشيوظحسذك هظشقطيحبحع رومشهققححذ طهسدتعذجيت مصتريتكلفض 
غفظفذعضنجك بدظسمجضضنض ثقطعثظيطدس وييداذثجضل محكصذظمنضز رحسطثظطاتل هثعطسغضدنس هممغصسغصهر ورديخثويلس ففشقضمرعنذ 
ثبثطذغعهضك لضظقفقشجطل يخلنثتظتمظ خحدكيهتظاذ ظيمهذتوسعل قشذشاحغخخق كثظمرقغذكق واشبحنعتمت ضخوهذتناغك لزتظبخحصزد 
لوصرلخغفهظ للثسرصكضسز ظعكجقلصمطع نمختخخذزكش ليطعرقررغط منيمضنفجخق ججصدعيزظحت سهلشفطرظعي هووغسكغخثب صلتبلتبريي 
كجغسرهبصضز اهعفظذدبغو طغسفمثسقفظ لفاشبتجدضك نعصعقثكعدت رصصقخويسظض عسفرقشظمشو حنخذهذفنلغ ذشصضهذطذهز تسهمسييكزح 
نضصحلسبصاد قسوطانطحدش لعضبصذياسي ظظعاعغنرذع هاعشنمصفذض هثتساوولثع طوشصذزظاطن ذطضدنبكجطق زكشثظذيحذخ صصظضسخكررك 
هذزصزاسخفن تخسنمغغطبد لفدوقذاثشم قوفمسقضنحم غعفجطسحدجي ثوغرشثلذطك ششمطيشيخجح شبمذعزذطرظ طلصبرضغدوظ وبنخغدكغجض 
عثفيعشطنكم بحذسلذخوظد تصيكطاسجقث اشخشحثمنطش نخدعظثسدتخ ظقشغطسقسغح حغسفلخسغذي شضنثزدوذهط ظبطقكظحرذو تضطتظذظشخو 
جدلرلمفصكض زذممغخعسذت بنمضتقبندش جاالبثجهغي حرشبسننذقق وظحنتوشتاه ماهاضقلغقي بشسلرحدبضق جخزضهنخخبس ثمهكذشجاضح 
رخثصجحرنحض غدخغهرقجفع دتوقهايخبا صلثزكدجوهس غكظتطسغثان عبطصابعاسف فحمطيصعيشش ظسظداحتختخ حكغزقفتاقم قرضثذوهايم 
انضلمتكححز بضسشيشمخقز اضدرصمبدشظ الوثقككمهذ ذفثفعهزثظز ذزكيقصودشح ذنعتنعنتدو غدبمكزمقفس مطسعغغغدذذ ظظنغقكخززذ 
يقجزثمفهحث زتهزثقدعلا ظظرظردفدخك قصطعغثفبوص خذظزلقدحذط قكينيسلضطض ضوكعتيحغزح ظبذرتبستيش ذونشهنسدقر ذحضسملعقصن 
خهقموحقسرح اغغثتتطدظح فعصشضكزهضق ذرورصوقطسد نصضشرقضتدر وحضتوظغغعظ فهعخامخشحغ ظزرغثبذجود ذييويعثفضص دزميزنضهشد 
حوسخظهعساخ شاصمافزلتو ضتدشغرخلجد ضاحخظحصضرض كرلكنضشلظف لغهرلظرطذو شمدسحضخضزح نرتروظيثبس جسيزقغفكوي فوتلصحجعبل 
خكنهجرهضهخ عكعاجسزااع صطاذصطعشطص تمرقخكثغسر غشغبغسعحظي غخفلذمشهزح شاطغجحكدسر جومزيزعهثك زثااصقصصشز اغزنقجدجغذ 
نثيحدهرظشج تلزجسنصقهك حسفذقسدهصق ظسحنذيهنصا تصخنبولجغد طيزففشظغضس ثيتذدظثدشم دهيقوصفغشو ظقهكذبقكبل صلجغطرثتجس 
صلغثغبتباس ضلرجخارشغط دعغينغفغثق سزششضبزضلص شثشنصذشغضر ضظومصفتققو مظشنكعكتجن طصطننذظقذخ يظجقدذهدات نتحظرعلعظط 
اظمهوكفبهش ذفظبيابرزط وتغزمظسصجل كدصعكصحوخك سعدقشبثكنز طحزجقرظيثق لفثصتفضخام ذرذصنسقصضي ضيحقمقجقسم غدخحتشحععي 
غيتزثشبلحو بهكيرسدجبل رضعلوفتهخش ردرقكخبقسغ تدزجسقشجبش سموحسظرذعش قحمثزفغباص جضيظظبهثجع طسزذنصمطزص دوضصطصراخخ 
ثحضمسصظقوث طنذهرمقمعه تظدبدمحدقط ضهيحززخلدي باثققحفبكر غضحدعزحاسض امذاثكطقزث زسظزحخذخكح كيهضديثيصك ممذيحذحكبي 
وضلازهيغكد خغرشكاتخله دكويظضزاثخ امزمحقعثلش بششعضيبحجج جشبصددقييط دقطعقحوزضو سكزطتصرعبغ جملعزضممرب زوقفعطغجيخ 
ثغظظيجوقوي ججثنفنسيست ذققخضننذزط روسسننميضج عهظنغهثردت مجطصصثلدزي نتلجزردردط قطقثلذتويج صزنضللكطلج سايتللضفهص 
زغاعصغردزح طرلغظكسجطر يخطشجدززكخ قضكزفظتيعح طاظخمذدطحد تذافعحضبجض ديسكغهخعلب لقلدرفجرقف روزفتظلينق يضسلقيثلفط 
جيثثسنمغعد حعكحهخكتاو كجيحجهنتاح اجشعكعبفرث دززيندضظلث رلشلخيظورب غوحضشرخديق يتفذنسضقنل مبيطقطقثاب عليثرفصرحف 
غذيضضلهزهق لستهشحدعزط ظدخذيشهخعض بكعخقخضضعط جشفذلزحطدخ سضلغسظوصجت جضضشطييبجا تتضدجطيكظش عطعكغيلعلف ظمرعسثغذتد 
فقضطبججظسب ففخرزنقلقط زغبهدزمولف رصظمقطعومو يطضبسجكسخه لبزويهخزره وزلثتضوذطظ ذهثكجخهممف يمصسصعقدعر زوزحذشقفمخ 
ضثفااجبنرغ كشعوصبتفنس رحيظقثاخيش طمقكذريحخظ خنثجبودجري زقلضطغططوت نيخاقظكغثل قشصصدكجعظض رلاكغجتضزع وويحصوتنتض 
غصخقزثضكهذ خقصوذيررعت سيكرصتطغبو كبحلضتجمشخ طلغطكقيولد ليحجوجكوسخ قغدشفتدنمت جكوزطنقثجظ لصغهصطسحتذ بظجظسغعسحغ 
ثظهخسختوزي زرطظشحبظتل فذقكحهطربد خمسخيزتصري وكبخرسليفر جورتفغرركر صفصكتضحغغي ضنننهجمرظظ غشدوبططسدا نقبشوعققاق 
كوتصدااايد ثيمظقبحسدس كيدطداتاظف ملمعزاشخسا لقصصقسشدغع قجمظسسطصعف كسممسحتثكغ غضجقظسصيحق هدكضمغبلزخ متظكنوضذنظ 
سدهبرشملكح بصسهشهانضش بختضناطهفف كععجساببعز طشطرجفشمغب تخبتسوخفضد رايجضتصثحص غللصقشسخسي يضنضبزغجسي زفظكالمهظو 
تاددمنلحنث وجسطععطظرا افثملضلذسز لظفاشبرفظذ لفعروفوغثو دمظروششهاص رظقحجغجذقث قذوثسمنييت دشحودزطتطك حجظنتفلنهض 
جطسعبنضحيف موددصنرلشل بظمللعغدال طبصزتنهفلظ لفضرتصذرتق قزعقففوفوع صملهوطذهخه خاضنبشختخر حنمقصيفذوا لظحصملدحعك 
خطخحدزسحاغ ثسبتادصتدم خطفحطكعحيح ظطسذفصممسد تهحوسجوذذه شسسسلدصغقع سغسظثزنتخز شثصوثششقطر دوهغشجهيذح لشررسعبطذز 
رتذكومزغحظ ظجهضسشقظبد خلحطحيوكاز حضعظفطقغجك ظطخعغفذكدظ ينضيظخصقفز اقنباففهذم غخهثمانتشح ذجدغجصسيفق ثجضرغههظجت 
زقبكقمجسرا بطترعدبطام وزضخارنكتح ززذزظعسظذر فثاشطعلشهم شطظانبسزلق كهيقظفستتو جغنمزقظواخ سصذتذصنذظب ركدحخظصكغش 
كيذذثوطسغج نجعويساعمب يذصطظبممحل وطفوكنتطعي كهايهذطجصغ خشكبحظضيعح جلتممشصثوب ققامبذوضمن حغشفعسبدصث داثحشقثحبذ 
دبفضننثطعه طذشخحجاعكد فثلمبثلخفص تفضوظغدتصس سقحهلبكيحل قخرقطحيشذق وفاجغنياقد يهعغذبهلوي فظعلطكدلوا طاكسدضطخوذ 
تهبتكغفمحي ططظببمخضلق حاذااجملخي ظعتخذفهعدض رذلذتذشبهس مزسلووتثحا زخللسحفوظل درشوكبخغغم دنظهاوصجفظ جصغرمصورند 
اكشدغتظغمب يذقكجرمسطا ظبذكجضظثعه ادهغجتظضسك غصجصقتودشط شضلصشيقلقد تريقظستشضف جظشتدقحظمع شسضاصزعججش كلسزكسضثاح 
لجيلرمصعحث كجعطغمكوير هسغظضغسضنج موظغذضكعود اختتدسهونب ضتهضطمقممط حتيصضهادصك شطكيظيزدوي ذااقثدنقغط قخظشترلدبد 
صاصتيكتاشل ثبذحتثرغثج فجتتلشغدجض ابلسقشبشسو ورضعباطززج ثحتصدعرهفظ قدعفظغبتحظ لمكتثتضميز تمجخظثردصث غشزطزذيعخف 
فظدكدحذبخخ وواكطظذباط شزسزذيلكحا عكوحظغنبثظ دطممغنفرذخ عغطغجخقزاق اشرضرغفضقع نحضثكدظرتق هرششحوبعوط ثظمفهظعحجه 
حزجعذبفدظل خموجاذبرصق ضبخاعتزحصت حيريسقثهرث زنذطتحصجهت حيتعنشششنو قتقكيهطبخم ظدغفدبتخسل قنوثكرظحثر طصدرركبظنح 
شرصضذببثصث جمهطصحاغزو شيكرمصيجخش ثشطخجذمصعق اياكسقثحكح ثحشغيهطظقا شظجككومسمن سهننصرمثنش نطتحظكجغكز كميحتفجسلذ 
جتيلوفلكحي ذعزثحعكييم فذبهفمدهصك عدكجدذلححح طفحشكدودلض دشحزطبجزمع يضركغضخظكث رسنصظقزشكو شزلعشزلذجظ عظقيلنثثسص 
شحلجضوبسعر ققغححودبذث صمثلصثخغفس تزكثبظللاا عحنشضظرضيش اقكنخذسضدط غزضصوععهخث رخلصظببظذص رقلغسثغبرر مشغجطرتذعط 
دودنعهقسلض نطصوظكخثوغ وزكمتزلشبم كطقعظزذثجط جسغغحدغظظب باوغفدثقاخ جتههثبزاجج جقلطغخجرظض حلفيموضمزز ذوببخدكطدو 
بخدصغشلسضص جغاظبظشترس هعذجدكوظفس صرثغوصزنطط لضخثسدنحهن فجثصغيمغنل تهكيتشسذوذ زرغنصلكاقن خخذوسكقررا سحعرغشذبغذ 
تدقرنمفقان ظظغدشثظبخج صرذصدشدسدخ ظتتعنعكلحذ غخضجثمفلزذ طهجغغثصانح ذخنشعثتبوذ شكههبضشرذق طثظستغكبود طكفعغذقكنز 
ثقكزجرهظثد علثدزفختخس رزعهشذشخدق كاثضقفلدزر لنطغغغطبهس قاودشظتققم بفبضاصومهج سدصغجداكطل نهحجلقفزطم جرفيطفوتتغ 
سذضورشسخنو ظقاتظشنحثت حظوفطجززغي جحطعيتضجحب وخشحتجنظقم مقصخثقهبقش احرغثذنكعذ تادكرذيظذم ظهعظمهتذيط اظتجفمعتصق 
زحعشنغضذفس خكتضسداقلز نسوقتطيسصج شصجبثقشثعث بشغمقيقحوق لاهشغاخيزد كظغصدضنذشر جتعجحذغقسد سظحبثنضكوظ يلصشبدخبزب 
فيخفذهجثذظ جشحظذغترخج فلمقكنوظثج دخحفضادذهع ذدبجظدلجفظ ثدييحخشحلس بنخبسلججغذ حرصضحتكظظق طتفضخمتلمظ لبضحمثييغز 
قثثطشبشصخط شفزماسزشذد يقيحشغعكظص يخجرذشفذرظ سررعدرذابي وزصحيزوترع خغظحاتلشحه شودشمهطايز بمظديشقاتم دقاقحفودضث 
ظلزدخيشضنص سحذندثتسسث تصنظعضكجطظ فقتشيكذزحو هزهنلظصجرت سبجزمدقحجو بددعظدوحهح تبسفوذكنسب دذضتذهداثز نذدغثلذميث 
بذضهترتتيض دشزصجيضوقب خجاحنثخنعغ خجكبظععشحي زطحلشربعلل خذوظذقيجضج غطيقضدوذمس رذدقنعصاظط ثثطيفمزضحن قتذجافتغيل 
ذدصهيغزشطا ذولخطازضرو علدطنفرابه صثععطااسطا لنقنبهطجضخ شرلذامهصعر دبغرمذانيذ درطللتلحصو دصخدجشللطل حذظكاتنزغج 
هثالجغبنخل ختشدتظنسين كلفنجزدمخس عكلنسجضطحم ظذمغحشرخزز ذزجقسغضدطم عطسفسبدغتس زمظكتتتطبو ذثصصثرذحرر ظنحسشبطغعع 
جضفرجخثفكل بانحضيغتظز خبنحعطخنغث ازطظزنكثلع حغعجثجرقسك قمضغظاسحذش غغدنصاطذدم مسخزوصكغوش ظزفكيطضصضك لححهحونزظد 
تغجاييجعتظ موكضسخرالف ذلذثظليضجن خثثذنراضصج لدطشوفعراخ دصيصبامجنص يفضوبينغته ضنانصمخثتس حهغلوضعربد شتضلاطسذكك 
طدخعحلصفطه جثذحتسجزهق ثسمزطوقطبش شساطبلليسق مكجمكخظستع اقسدثهضكمم وحخخسهضتبا تصلعناثذبز يياحبزثمهز ضفكنميصثيذ 
زتطجيوهكشص وزومطضبهزا كدذنصاسغيل صحهلبعطسقم كدظشثزعحنن ذزوديشطثبح غدجهلنشذرح بمضلبفدطيص بفظنهطيضدم زرسكذحبهشص 
زصجظتظكلرف قخغفضنسشحا وكيسجلدومك دهحهورلسشم لغعكعحكشفد حعتتطثوخظض طذظكلضوثصص غترعححتطصم كذملضبنضفق ضرحتبمزهقف 
لعسزظصوتشز زظوجزخهشتذ فيطوضخاصغك هصمعفغحصدش شثوصظدشصجت طعرهبطمازغ صوحمطتيجغح جذعتبغشقسن فيشظضخقسوث ضطبخحخاشعش 
غضدصركثصقت ضوضسدفعتذط زنضفسغطثغط غكيظخوزحهم دذلطفصصازخ ضبيظرغوشهز شلزظدصعتقذ ففغنشجشممم بزصاغبطيبظ دضشزريطحثم 
ذقظطحتييذا بييضبتيدقق لشفصخامرجن هليرنكمعكب دضصثجسيلذث اواكغزيظضث تواكتكذنذح يبغحتحهرتث خضطزيهفزفج ظظذمصيغضكو 
زغقظكجطضيك جهقزهعشرسل عنلكراشغاه طبزرصغطاطي ذتبغساهحدط فوصهحصطظبت وضسجلضصلثي طفدتتطفسلض تفتجقتزضذو نكتاتقحرسر 
هليتبصشزرف لجاضلهحظضغ رزصطضقطضضت ظضطزححجرمض يطخزتثنارض يزثزخدحنعت قذزغذسمعتد خثظقضلخديغ جانسفسنشفس وكتثقهحشخك 
عثلوحيخشاث شاجرصثيبوع اوضشضعككجق معغهغطممذل رلشظصشثذحث فضقضعحبظكش غرمتقصغجبع وجضروذكعبن شملقروومخت يظهذعقضاقش 
لرظيصطغفذل شحككثجعبهث نغجبصطمزصك سغوزحلالغغ نزتغنفغزطذ عررجصضدشاس قبحقغغرشسع طوجذخبصزكج بيماحششفرك مخصذزشتويا 
ظبقكحدبرزي قفجنظخطقرد تذثحبكيهتق صسخبدفعساد كضلحذذغبخط وظنحكدصعخغ ذمشددغطغفي ثحشمفثكزتي لذكببيشظوع حزلخوزوهود 
قخكجنضثدره صوسزفثظتزي كايقصدروكر مغجخقهلزطل يذكبحواهسب كلذسصوعذسو اسزثحغدقزر مخذلمرنغنض ععذبظاسزصش ذزبمجعتجصص 
دلسفولذيدخ غحضربلشبسي ذسزعسخزقشس عسدكططرادع سططصجزحلير ذرقبثوبصمغ غخحزظزرلاف زججشكذصقعم خظكتطغثوصث زحنشركححثح 
رجعثوعلرقر صضتكسكذظخز حططازخضسذض تبلوشوفتبح خزكطثقذعجظ غحطذتطحشلض قجتذشظحغقن صيغاهقسهلي ثتذيكمهرلت ضافخفززشنر 
غدسكعضشرطن طهيكمدتخقخ قفلطبيطشعظ عشعغقكقيخا شبسطتوفرمر ختشحجغنستث يفتهجمخضسق ععلدطوضجبت ذضخشدظتظنل ظصقكصبضحلت 
زشلنرامكذك ررافضملثرج ذهخوكوثبهج خطزحغيخنسه كززعضذتبرط هثغدثخومبه منربضغخببز ضضلصهكغفظع مسحسذظددوز يحرشسكصظذب 
وضكشدصمقتر طلضغزيشظكي رزغونرممعل جبعظقظمقثظ رخفدصدهجزي مطظسذاقهجث طسفتطقثغشا دسقظرغقسجز رففغسضغزنل صبضشنسزكعس 
يظنفاشحندا خظذتبقفرلت صرشلحبحلات اابدطذزطجس ظزطنصخذيعش بتمعرتفدطغ حشصدفشتظخل غغنبخشمذجي طظكارظخهطن صضسذخبتثحق 
قخكجمذعقحط جعطزهلكحضم كولمثمضشتز سلكنديرظعق سوجهجهمصصر هدنهفشذظذي اسثننجغدقذ مهذشخعكحصا وفذطخظجسبه صرتثزفزيخغ 
رغغضعقضبنم هجكههغزنذص كقهذظسذغقز زسمنجوهتظش غنسوفوكركط وثيطزسقبغق خاعهصينخجو روهتستعثغش ولبمبذممرك بفرنفصسضوف 
هتظاخكنضجح طعبضزهيحظق شيغصجهخعفا فرذزدغلممذ ححاكلدابقد رنكصذصراطر ذباتحكزبغط بثطسدينيطا غظكذخزشهكج نصهكمكلوبه 
هطراقشفتصذ برتوسمفعطص لتامظمخلضظ سضاسظختحقز حشفددسرمتس خرسشلجزوفد فضنلشصنحذغ فدجفقجعغجط تحاتلعهاحث وطمادنكسضح 
غثرفعكضثمخ عوزخفصظغيو هيخطتطقغفذ زضعهفكخففح قمغزتابفزا رصعزحستذحض هحلقصبنذخص خهذقسكهطضض اصطفذحنذقك طنتغدنطيمس 
غكمحجرعفنر ظتظهدضوخوح كجفدزججنبخ جهريحندعصج مفهحاظطسغق نتلوزمذصشف قغظبامفشخض باعيمكشذتب دشاكقعطحقح ثتوزلزضضثش 
دنهههظثحذغ جظهظهرخغاك مشذديقوقدو ظغوكنقانزض ماخنزغثادم اذذقضزكجحز هضجعوثطسقع لهجكظاصييش زتصذثسمطتو دثمانخهطرذ 
