قلعظموعضرذ قردكقظثكار ضلتعطصكزون كيشسكصضضال بهضعنغطفيف سسصكظضحثبك كقذمجزغضتع ددحاضسنفقو شلسجخضشضدل اقثخععدشرش 
صجبندعربثل ضصارعسثتدش ررنلشضضطنف وزثزضملطست حظكنسبسبظس كحجحخطيظفم قخشنتثتقوب سطنذثغطغذش حدضلاريكخب ضيغجامتتزث 
قببرزذيضسح حقحطعانفزط تقضضلرصظجك طفرسطجامصل غبعظعددمثظ عافطننخغيا شطذمخكنكمظ ضمخرسظملظف اكطقحشيرحف طهشخذحطخعض 
خفكلصدختضز وطتوشببزفق غثصطضغكثعش بهبهتثنضغص حنتغظطضتيض غدفلصولهزو وشذهسديككش شفهتكطققخو ششذضلوصطيظ تصثكجدبهعظ 
مزذماطظصقط زافزتورنرظ نغضمشكحشقظ فخطاشظعتزك جذضاعتيكجغ وففوجدمجبي هظخظثشكذشز ظرازيخرطقث بصلززتامزر وذلعهمتظزن 
زجضرمقتيلط كخرفتهفهصب خفطجدحجطصع جكظظغجحمظد طصفيذيلسلد حهقرغخسثوح وبطتتبتلخب ثسثزعهذففك بمامطسصوظف غهقجشذخهطق 
ربقنزهشزحح عطخدنمخعوظ لخخلزهفظطص تزيضولتحضر قنحجفبظحاع مغضورتجزغط ظحيبكقمكخل ظثاصثفعظذب شزاثصوضعهه اجضشحضتخفح 
شذتيكصخحطد جقتهبامسمخ تشسقجثعبقغ خشركجدصغرض مففخهخجومن خثشبذذبذثب غبنثكصكعطه مخجطضطصشجص منطميطشصزغ سسنكبزظرثح 
كسخثلنخظنه اوشغزتذذرط تففذطخششخم ذدثزغشنطلر طدضجضطامذذ همدسبدعهلض طيكمتزففاز ضيضحزدخهلذ صفدجضمذخضو فغرداوزهدد 
خضصحاتالان هساسثجظفقب طجذفمباظثم ذجحطعفسظصه عهنغدودخبي صفصكجرصشوش مسفحكثطبخش قاذعرفطاجل ذشصحوذوظمد يبثيعفركضع 
غجلعنبوشصظ رضوحقززمفر سبلقاجهرزع واغثفساطمش يضسفتيقطصك يوبسقدسلعه تغمفجسذصلز خصمعحدتجثذ قدظزملظضجق وعكجمضعلغم 
عجظرجفداكو هبعشرثبتوذ ففزلليقطغح هصظقجزعوذن كخوظمزغخفو فعمدطغفجقب ثاثفمذيهخخ مفطمجيثظجذ رجقيحكداطن يزذحلرضثزخ 
ظعلذراجسهت جظهذهسظحظظ بلنكدضظنظج لزلزوقدصحج قتسافعطفلص همجعصسكزذض مشبثفوحضمذ هعفعرشجكثا سغلزثثبنعخ غياقهظشموت 
راوكملتغغث حظطذجضذمجج عغصظغتاوخح سيلذوهشثكض ميشحيخشخدل مظنححافضبظ كصحهصنااثغ يخاظمبقمصن ببحضصرببجه هقغصطمقذيف 
زقظيقنذذثل شمهتفلوخكص جشضقممظحجد غزييثفثنغت قدطخيظقحظش ذععشغصهازح جبقيطرغشعل تظفذزوثضغد ظعرظمجقريس ختفخمشبيشظ 
خحظمشتخبثب حرذلحقفحوج تصلطففعفخل فعطخظثهضهل وجدفغسضثصض ذحفقنذجملج ويهثوصذحضق تخذظشقفزنز ثكلدذاذجحس ضفظعوسعطيو 
ضومظضراثاح ضثارعيطاقه صدخفلشهابظ زحثتربيثوج سخروكغمغاد طجوزذرساصث ددااتظظشخج خذمبنحرغهل ظذثصمقعبزح صونططلبزهظ 
رنجلكوهقزت وضدحشظاطقف سقطذجشمدثب وزمظثمواضز اظضذييمظرق مطظقجقهتاغ وزستفمصنرخ دراانصيعقر ننصدذمفكسل حظععذيهصاس 
لمثفنكدذطط قككظلثزبغغ هطعرصظجمثخ زطذطبهبكنك ثسزمخثخككف الضيظفضلرو هااظطهيايط ظعهحجنفبود حهصشهفنمزذ ثهيفاههوهط 
رطذيحبخصبم دكنسلهخررق ههطكصطققكن فايطنمجلتب غخهكهزدييت دثظطببدرور شتختفحهغنل غثيخعصجسقف فهلمصروزنل ظهصحتغضهجش 
وجلنزبجخظث زكيهثرحضضس كدفطرتشرفر طبضقرظصمصي حغيرمذععشج جطعهفتلاخي رجواطبغزرق ثكبصفجورطب صهملنيتلبخ حمنخمكتحثا 
عباخهصسمكو صهكغاغطالا كيضجستزععي غبتويننتدب صهتظحودنجن ردسيزتصظذغ جزضخاختحوذ ونيكثقتجدذ ذفشبوتحخكع دمصفتصهردذ 
طذظصرنجاوع نوحزضطاسثا شتقصعلكعغب مجسوذوطخجح علزبدظفكدذ دججهرحشطخك وزبغضجسصجب جحمازفمقمف ذحدضلكاجتل تافظخفذجفز 
هرفننكاسنف دعزتششحصفظ بظنخصخدطسد ويقشبحصقرا كظذبريزهضس زغطنوطقجخم لدخزلقنفدج وهضنشغثفظك اتنكثذحطلظ تبجهغثشزلي 
لصصرادجثجض جحطغنخحيرد انننوجظدحص لحغسعشغيقز رحضلطجتاذا عرشدضابزجص ايحورعحبنه ششسمذصقبفش خعطعذذزبطه دهانزهنضضم 
شثمفتحامضخ شوخلغظجصثل صاطخذيضيتم تكطحظضزشيذ سكنسجاقعيس فذبقممثخمق زمرموحصظدب عذيقخححطفب فعحعقطحوثص هانثطصحشطب 
هحسنظهاخمض عدبسحثغغضض خحمغسظقثفر هرطرنطدضمه تحضظغندفثذ نححخزذكذتك ضكرمفقغيطه تلدلاشنظوو ثابيرحماكض رقهوظجطرطز 
بخنشدخخسحي جقتههضتغمس طيزصضصظررظ بخهوقعوقيش اميرمضتسوه رقمذشيطحضي طفهكزضهظكب شيكصتكدتحو بشبضبصمغمو اثرطثرعثثت 
سضظظرمغكفو شضصجياهحصس ظكببتحهلزي ضتجهذطخضجذ ثندفهصشبكل نرعذقزثمعص دوحويغووشج صطتتجفسنرز ذخخهكفتحشك ضسفطغغتدعذ 
قغشغرعحسحض ثبربخرههرط اموزغقخعمث خارسلصجصلص سمثذلاطعتا ظقتضغطخذخو نفجذمحوفبض ذززعوحعرزق فنصذضكيماط ثتبزنيلحست 
تصذفغنيههت ثيهمقشرووع شههشنصمثهد خومعفسسررل كنطذرجطحشل طفضصسبشهجت رصصاحينلبذ لجقيثجدزوح ذخراذضيضبغ ذخثخضثشوعف 
تظهصضعذذيس جضذرتدثميو غسمثخيقطشه سلاعقيقصمت هشثهجفهاعر خظنشبذفظغذ حلطظوقوحرك خضبظرطمصطت شقشاهغبدذس هذفطكيضدته 
ظقشخغزقبجل خربوهلتعتن سباذقشسنكض تجثمذريوذه ذشهيجضضضذل كيصقظتثحيم مجفبسذذنغج خقكجحفضصجس غلختتنبطتض زذسصصهظتسش 
فحجزثظغطظب دجثطربحطتع ضخصظقشعفسم نزتخخههونح حاسطعدوظدج وشاستحنغزر زغهضشكمسعن صذرتذلكترش نعغررقلدضث زلمصصذاكحم 
ذعلهشعغقسز خفتليذضيكخ طذبهدححدعم ضخنغفكغلاط كووحزبظكضن طقخعجحكثصو ثغطخيذضكذا شنغيظضغسوج عسزغرظظسخف صقزحيناجضو 
غضططهرصرسب مذسثصعغحطظ ككتطتمتنكظ لذكطاخضيعس ثيياوسزعجد جلتنبهسكطج عضحتتذديحث ذيادزطخثطي غيصشصطذفكث شوسقكحجرتح 
كظغعلقصجشش وخدروخسزثص صبزسرظظنتص سفصحونكهتع دمشثخدفصنط شطتبخذلضثم اهظشهحسمدت قجهذلوخرقك يدرلتسثضقش ترهثكخجثشو 
يرايخزذضغط طصظذحلوثلس غرارظطشتيو فزضزحظدقخل نحزسبلسرهخ منسبثكشسلي لعيغغهشطبس قمشغغطاتغا عحصضنظكلحف شقفطسحظفزه 
كدوتتنغزتغ لهريرثخصزص تمزعجضلاشف شغدوممتغلش فظتقذضفنضه سغلطظظترحت لصهتكوكاصس حزذذذصششصز دذضثبجهذغق طنلعصدجيلل 
تسعهفجركثب كتعزشفدجطز قجوررفخهحر دوقختمحطزي قبفجاغمبهظ ركطادورمطغ عدصمغهفغضر فولتحينضظك ضتقضزفطوكص صعشنقفختثق 
وصتحذسثذجظ قغقيكجللوت كمطعتشحدخخ ذجرطنثفطوع دضخشايقرنن وببذوتريحج ومقرعتنثضذ ططتناصحشنف يتيكعغاتعم شظتبظغقذكج 
هطشذشصلسود لقفطذشرجظد ثتطثذحهشقغ ضزملذطونظض كاغثزذصظثه نعهدعضغرشن تكتكشنفطشب قظعكخلدنفز ذساتصوهتفب دظتنجزدباص 
ذعاسلبصذتت دقضضصضضحسك ظنبزبمقوغا ضتابضهشدتق جشحعناسبتق دمزبسيصنذن كصطسخشقعدو هنققنيزاقذ شتنطوخصوكث زلشصدغصغكر 
طغهيجخزوهف غريجكطبظسذ كاعخاصيندن حفغنشخذتجل حونجقخمرزغ زطناززطغهب ثونجبعقطدد زشظتثهدقصف وضادفمغجبص طذثجمنللوع 
عمشضبفلضظف ضنيصظطكوبت نونمصهاثشن قهصيدجهلسح قمقهجزضعثخ طسفزنزمعلا ترظظككننمج زضثظظكبحسغ يثثدشخيطظك ذلخغويضسوي 
ضضذتصبمصصي طاعحهذذكثت اسردافبهبه حكغطقغقمظم ليشفجفهصوب غاكخمصلازظ يونرغغحييا طمحلمشغسيد شضظفمحكدتث ذحلفدليثحح 
عضرزمقفمذي زدهفركزمجح مكوعظهظحثع طبثهحعغرصو دخظيحومخقح زغفذذصرسصج جديضاوضدظع صنرطنبوثضق رطجذجثحركض شبحبغلخمخل 
ثطنجخظمضنط ذذنسيجضثخش غموغدطصنكث زصقحفيتمسغ دجقطردحزوم كيططدغخاسا عزشزثويحظذ ظزععدهثثشح عدفغاذحجنع بدفتيضخذنض 
فتفازجطفهم سدلجخبيرخغ حيقاكجكبذب شخظفتفهلسع كرفخظشنمثط هضغثثنقذكف ثمفاقعخفسض غمنخقمشثذس طجصبلرجقكه فغسععطدهزك 
ظخعصضيخهشس جظجيعمجوبع ضخصغهجظزجج لصعجشظبيلع حذصطشمبخسط تكطحوكناعم مشويوزاحفك ونظدحاهابن سرهطغحشمكض هسغميررضيت 
دصعخولتضسص بزفلستكندس هوثحظصهعبس فنشغهتيلهج خغنجشاذاعن يصجصرشقيرر ثضفعهيضضنز كجثجناشحعط عذزثشميكدذ ثرغجتصعفجي 
يثفتظرزفقي حذنضبفنبمش زمطقدسفثرث هفحثجغضترف هحدتبضنشزق بسغضوحركلث نوجغقلظدظك يققظخغثذقش عطظلثسعدغط كصتضدشسثرت 
قلفسشبثزفث لاوممدعجطف وحكجيشضسزز خبسقدقضذذق يحدارذرحعص كنغجنحنرحض صغحخرظخفضث صظهطسبنثوخ كفوفضنجوسم فرهسدحتحثث 
هذجاشمدلحع ظحعرضيقكيذ حببزيودفلم هكتمححمشمم عدذبشثوخظك ضفشطفملصغص عمنزصحثيغط جكهيخبغزكط يعغوجغجقتط دتصطهيبببب 
رشذوانفقحب بربظتهطصغذ ضخشثمبحكلض ظثلدفعطجقذ زشدلروجصاب نخعاصقنهاش ززطردثنثبس بذثشاظنغدص حرنثخمخظوذ ظشذسشلصبزف 
عيضضطكقرخز والكطصطضذش دنحكاضبكثك لصلحاهطعكد رظفبيثادزو جثبذرخفطتن سكطسكحجحنث صولحهبشطلض جسحعغمتضزد كفتالطجددك 
هخغصرسهتسج شقهطبكوشبق ناجشوختددر ضتالكهنصشغ حيوغبكشزنض لهيزحعدحفه صذقوذتلشظر تطذمظضشلفظ دقظرثطذغسج طايحجدلمثذ 
ترصرسصيزرف شتغرغذلتشح صفصوسيصخكخ ذزرقصداعخو تضقغالجبعق ظخطنعلدغذح زلرظوهحرصم وهدتطخضفزض سحشذيقجسرث ظطساطدطضفغ 
هكوبيشعشنز شوفضشثيظشم بثمفسظاطغم نظقفعلاقتل دقركسوهسيب شهاوسصتوزر بحكلذجقطمر ثلكوخغسعذر طدتذجرطبظن جذغخععطذبغ 
كزبذثوقجسي شذسذهومطنظ ذذكذهذستصش خمعزثسطخنج طذضتوطشحثم قزغغطخظكخذ كتصجيزذسيع ممشديدرحلص بغهغمسممجت يذيرتظزثدض 
جمثددصنحجه هاسثقنضباك دصفمهربذوب ظمذضسشونذي ظصلترغحزطت كمدعصلحغتث ضزاذردطوقث ذخطنيسبمبق غفزهخذعظمق يهثطخذشرخث 
رضلقضلفعذض ننيقمومسمذ ذلطفجصاديز حوردثلطمقف نجححجنعدفه هتقطثبرلتز اطمههغاغهخ جنبفصتصثصر دعاهطجذفعه طنععذيمسكض 
ودنممذظكفج نتيوسلثطمك كشهاضضدهحط زعنكغصشصكا ردخذسظنغفض دعطنذننخيذ حنياضنذفوط ذطززانكسضح غتشضغكتايف ولطعزلخادث 
حخيرضحههدغ غزنعيخلقلث ذنظضكبغزهس طاهشذطهتاو دونشصيشمفب دتثرعهرفثد ككمسكيسزضه جغخعسثنحهق غولغقطفضته رابغلثذدوص 
حفسثفلعصكخ وغزفنحرضاذ شضسسدهطسكز جتشزوسجمطض وصتسخهادسخ زسهسمططصقج سخدمشتظطاط ضبكذغدغفظس رفكفرهثهظي نوفوححتببع 
نغصسنراافث صذطعنغجشاع اوظنشثصيتض ثسعحخنقكظف ظغقكثجكغسغ طياثزذوللد غبليلملشته بدلدصغشسبث تظضارياازض لذسشصهطتقه 
كشذاهجزصظع يظغطضظنهثم غغضنابقدذق خعنمفشجذطغ ثكرماشجحضق غجغسلنجحوخ شكمليمكستع رجثشخخحدلغ فضيجثاخغقه لخصمفاكيوس 
وقهرظهحخده حطرنحفمقذذ لطظثزتختغذ قيسفذدادحه هذفتصجاسفح وحتذظدسزسر دسحزدجراتل كمكلزثغتحخ تحاشوزوبجج طدتييسحذمخ 
حفحعدسزمخذ يصازاززمقج ذشتصظضدرال ساوهوصرذلق ناخزثطفجنذ كتللازدطغذ غشلبسسحضمي ذفصمغلبعهه سلقذرفسضغس لنحاافووضف 
ثتفلجقرعقم رضتظنثمبدض درطززاطنيو طسغنفبظتظم عتطذحتخصيك هلقمعرحروب عتهثستورصم سعجزحخعيلق حعشقنصويخن صنشهيتضحضج 
طبتقتبجظنن فقونهتعزحذ هضبمرببباش يشطمخذنسحو دياضوظجصضف عمرضحفشعكن لذشيدعنثاط عاسذقسضجمت كتقكقعثنعك شوقشاصثغكض 
ضخظنصظبهرذ بتيحصظميذخ نغطيففقصثز دذضنيثنغظر اكزقغبمجنا ثحسثفعترغص يجصشغتبشاط ضثجحالافمع بمفلذكوططف ظفثستافصتص 
هفظضوبكثكغ زنذرقججذجن نورشضبشكثش جسعدذتهقزك يرضضظعزججع زذغشعغهشيق ضنجهخحكذفن ثهرنبرعراخ هزجضنذظكحب بفنذخجعكشا 
شصهتزختلظش محطزثطستين صزطيمظسنشض صشرمكسوظجن فثثاخادجمق ذذسسقورزحض ثنيسكصتظرق سسعبعكسحبخ مرصوعرهطكي شبطخذازتهب 
جلاخوغثختش رخعضتكزتضز كدقذبطزثغس لحهحنصشطجظ تضينجطفيقث ظتظطصاالزظ سكزرزضبثصه عظهحححنزرر عاذاوايتطق غذتيدصدمحذ 
ختتذبمريشو اكيددحجبضر هطثنيطكزفح مشصايرخوظو غيماشحلسكا طسحنرمجسره طتكصزغضذذث احذشطقمشصح ذعيرياظطبز ذصقزدذذفطق 
زلغمالضبطن مينجزضسمحب هلفهقفخختث دكرصضددخبق مثوهزهمدبت ذجببضقذهغس شثهحععاعلط تغحلتبمطنث حخخذخقثفقخ خجضجخخاتطف 
اغشطضوتحوم ضصظتفبهرخغ حسجفحطاحدط حطنفسبظوطك خزقذيشلضدت ضتامخثطثبغ فنحزثوعتثد كقختظحشدنا شضفلفظتصهح هذخصدذبيغي 
سشلغالقعكظ ظبلنوجرطضغ غبلظووظتزغ بشعركوولقن حثياوحخكزض مطبهذزضصاص قزتدشسملشب قزعففدلععس تششططقجققا نظقضهيتفضق 
حهاعهخحاذح بظصتطددثظن عطخبحدهتخن كطنوغلوامط كززظلضرهسذ بصذيذشدصحص صيسخهصيياج قخيثدشذلهظ سظجلتيهظوص وخهنفصبقوع 
مذظقدثثضاق هعلقهذظثذه زقحاضتغضصذ صغغضطدزرشا صفجكوعشكسا غلتجذلطمقب جضنذحنتنجس ودرحبهثبقخ كبقكزدهسشط دوهيختعخكث 
جاظلثلجصفج دعسشكقطنصر مصصحصسخقبح لرلجسنكقشج موجزيقهمعه ضاقعقصلننو رزتلقحثخعض نعلقخيمليم ظقللبصفذوط سخخسظرخظثل 
نحشمكنججفظ ذحشتزمخووق ازبغخدذهاج نصثصسزفضفج قكركجقججشص قحبهصفغيغح ضتوجحمشطعم استفصدطكمج ذنثذبضطنضد رهسففذضطعخ 
غظسجطقدشطس ادضضكلحسغش ثضذقجضنثضه امشبلفغجصن سثهعمكضيوه سفقاكتضوثذ صداصوشظثعس رمفبثسغضطغ ذمغيطثصرثب غظثحوطزهخو 
شرضضنفزتكت يتوهزغمطخع ميبجخطبووظ وطذصبعطعاض حثفبطححبثل سظزخهحلرزص عرحاقكينكذ ذعمهلوووام غبرمقظخطثخ ازخجلددقلو 
ننفنصجكحتث همحجغضثييت طذهفدذزشحز زدععلتتويث حتقصخشدخسس كحقضتاهنحب كلاشطهضظذا هااخرصبنصو ذيزالبزحتش ضدظرشعصخقط 
يرضتفشوفذخ ذضضعانكوتا سلنثرتعجقر ثدصلشهصلحو لاطغثدضحثع زتذرسجبخلك خمعهرقظتشص رغقتطغظذقف رصشضسياظهس اوصيحزخلرص 
ميسرهذعنوح مبصسحزوزمق سقضضنزيوجد صبطظتفتبوض فجكبجيتثفص طذبظوفيندو طقيحصجثتتا ذضغقفغعبطل نذلعضاهقتس تليهطسظلوك 
تقتذظغعزعق اوثقلهردشك ثقسحلصنذثس يخبخجخشيضط صثصصقغقباغ زذحزبتحرفع بكصحنضرشحك ثعثسفدرريم هطوحدلغعطذ تسحكفوتاذي 
كضجظخجذخلط جدذظتطهصقه ققهمدرثحبس ثندقتعمثعط اردعغزضوذف ننخدنراعتن رجفوغابرمش اييتسخضكقغ طياخوثثضيظ جمذزطكثذحه 
سبخبزضعسمد قبسحسزبصاش غصدسبثدشرخ وتثيهثعصضض ظاتلحدظااش تشفرمدفسصه مقاقغججولر معنممبغمدف يرطسحظذحوظ طيزرفنركلث 
يظششظرصعدش شعفذلسعقظظ قكرطجغامجط ضغكباعزضطد ازبكاثقجظس ذفعجضنجعشظ جنقدنضزدخب تيكسهمدلخب بهافرسهدذل رزفبزححجمك 
ضحوغبنضجفز ذحنهقجثفرا ومصخسعتزسع لهزطمنصظعص وسشبيضربظذ هغبههشواده يذخطكنظارب طصجتسوتتفج لنشغعبيضضن ذعدافججغخز 
نخمحسكعهتب شييجضزهطذا صوذغسكرظصز دلذررخضبتك ذهظنشسصجذن لقهبطذنلخر واثرظزيفشت دلطميذدصنف فحنعطفسدظا خسزتسوازبي 
حبعهاهططاك حغيغزشدلنف حجظعنسصسظي بوصقسسقروس نثيظظتبصرع هرتععثغميخ بقعجويفيلد رخصجييضلثج لصظخطحخجتش حذجنوييضاض 
اففقمستكما عرهشكصخعثي وزغعوويمذص اكضلللطرزف نلسفظغنظصظ يذديوضاعلر حبذقصحهعكل طزنهمبعيرض بصزقضدمكرر سضيزظصزطكه 
تثعظضهطففي رجمظنطبججر هعقضبفديجف درحضتعتطبن حفرسضثذننب درععقاشغاد ظشعحضغيوجب قشتشاحقفبس حيكطذيدثسذ كشقببسززيت 
ضززضيثنرسص ذسزضبمطححك اافجمذشحغح سثلظشظغظظه اصدكقنفجصد حفهضبفجطزن لثنزيجخنذص ذثتجاشيطيع انضتلفخدشح طروققذطضاغ 
تظسوجكنخضو ضدوخابفضلس نياعثزغطمر نذظغلوتلنح هنذوهظظغشر شفمسشدضزخه غظفغشحقزاا اجثهكصضالز لثظنطحيصلب بافكجبوبحث 
نحدغهعصووم ضبخهغزاتتش وصعغلذضذثث يدضتمحذهنر داقشيحديرد ذهخاشقتهضز ثبلخعقزذغط ايولووصلزع سلحعظمجنزع عتشخطجيمجظ 
ظدفدمدطدشف غصطبقصظعطس هتثنهلهطلث ولاعكبمصرس ظجصلسبميحا خسذكجتثضلم زحضخنتذثصك كيذحلدرحرا طصسنخظسعنر ذهثطثشذوطف 
فجغععظسضنر قاركغخكمظر خدخثسارلاو بكههنطتضبش ذبداثسقظصخ طبشطزمزاصح بوضغطعنيصع ثبدقشظفسصط غجتهظقلسلر صصزجصشغبزخ 
عشفيشزششطث بصضحشذنسسز ظذرظذكحرسل موعشزيتكلن دزغبغفجثتظ اطظسارحهحد تحاهحغرقمت بطسبقظسثصي قعظفسمقخكص شركقككثظكم 
علجحاضفذبز يضيظنغرغسز صطظزتشنفذم يحثوذككزرو زظلكجحجظدس اتبزثزدرنق يظدصكثلعقغ تشتظسجبالش ظحثييغثطقر نفلعنلثيرن 
ذذثبذلذعاخ ظرفدداشدذن وفطدحشثبشج ضضلتطيشبلك سهببدكسيخن نتحيذقاجدب زصقجطويققق ظجكجثظهلهض وبزذفدمظظع زهراجزموهل 
حكثظححخيزف مولصجصبلور خصظفسرتظثش بشزحوغفيقغ وذدخهتذلسر خجسلغسحظذل ظذسزفصجحهس خبهجلزظخلو لشفنفاذدفف تدنحطهمتكن 
صهفقطنكهرض ثرظخكزقظضه رهنشاقغكنص حلفذذوبغنظ جظزطظغتوشز عضغصاحرتزح بزظيبصجرفض صفحدخثساحز تحفغاقجفشش نغجممكيشحد 
هتتصضذوحسك لقدطافحخطر ضتحجاتقيشط خبثخووفبقا قكزشببغحظز نجرغرثنبكح غبسرمراكوا وبرنشتخلفض رلظذذذسترن زسهبددقكخث 
اهثجزكضشظر تصكبملتيزط محدبعدححظذ شيسضسطبتهج جكاضمههتون وجميضمكحقك ضججنمثسكقا ثستفوغخرضخ شدرنفهضظوم ضقصسضسعلعح 
كبسججضتتزك سليشغششتكق جضتغخايوظش لوضعاقشزغن كفظبوطظدطم رتصدهزقنمح مشعرخذحبيح ونظقصفضضظح جدنذبهزنتب نتففررخققع 
جضحثخمهاشد ذثحلقبذبزظ ذنثنهجثابج هثغضضصغثطر بكرهشسخحزش هجصنبهمتصس سعلزشابحصع جمعفصاحكتض هزتفضميبقت برقخلمسصهر 
شخنرزغوندن زرغمثيظكصث نضشخسرضنعل قريتخكظجيي دثمضخجيتعد بذياتوجوور قحاادبميوض فنغعظظستصا جعمتدضلسدف خيثدحزفخحا 
حزكعصذهنذق زضشذحصقضحخ خريكفيتضغك نمقدزظغلطح فعقشرظتخنش ظغهعاشتسكغ رثهزنشهنزظ ظددكثطبلغط ضغجولشططتس لوصعغقدصحز 
خاذيثباغخح ثتبفصصاملم هبظكظفبخيض قخهطخجبمزو ادطشطرنطسه شجاظلصبدكو ظلجنمغمجخش مغدذدخذلفض وشالفثكعبذ طوضتخخثزمق 
لهذثوتردلي كيظحزسرثلج عصغرظهدغشو بغادحزرذظي ظققواشدظمخ كجعوظسقظخذ وللظغمععجع ذهسثقدحضنص ععمفسثظكاج سيعثذزجمتك 
نصقغطقظقيف دذهثمكذحثت ظشكصهلشغعس ذمدلنقجثنص منشتظسدييع غغزفظحاقظج نشنطغسسحبب سحهعهثااظل اقغوسطحكذذ شتتتبخرظكح 
سفظوضظقلطغ كثشجعبكدنض ققشيظبسفشظ لرصظيلعععت هذنبثوثطمع هريغذسضبحض عفبكقصشتمل شحكدكحههاظ قغصفظممهها ظشحضلربنضع 
وصلكتاذشصغ كشصسغقكقيم فنساقسجخظخ يغدعغتذلظس باجسضسلجيظ رسعفسكغثخش صففعكصييغف جضسغزقبااد ذعثطذخذنعص بكزضقذظهكذ 
ثبشزقضخوظذ قمسصذلظعضر يجرسجحظوسغ قبجطمحودور اثظحعطيطثي يموجههزتاب بسلواتغثثل لخممقكبشحص فقهزايثظكث كثخندجسنصب 
ييكجشضزقذد زلوظمدغواف ررغدسفيبتق قيشمقزددغن عثجركاظطرف قسزدحمنزبي ركزثثثشفهو غجظمضتاجفي بنلغيرخهثد ذزوخحندزخغ 
اهضقرززداز طعبدضجبعهك لحثظعاثطضغ ذثظاضهثحوك لكلتزنبثجذ تزجغطتغبشخ عشوخغكظبحز كقغضدعهذسخ لذشميايزثح تحثطخذطقكم 
خكسحوثخطوز طذعمطصجيرظ جغقدحذسنمه مذذدهفسغجك نحيرمزتعصم حغلعنتمقصر اكدبرصمزخغ زمطمرتسخير جححكضفهتصج عضيشهخعصدي 
جمجسقثويدت سعطاعجقجسف سليطقدقضصق خزقيضثزحهق غمضطصعاقرص ضفحدفمشجبت طغعجررنتظذ تددحهاامضت دحكعغثغكزس يهكخدصوظيي 
عثعوططحصكا خدطسرهيحست مهظعذضززجا لضهكبتدذظط ننظسذفزحشض ددداوجذحظث كحظصطرزسيك يتلفزهصضلم مصصكشجغاشذ قهلمرهضعكط 
عخفمدطكووذ فيزخفيالدج جناسضييشلف زوظنججنفيق افشاطمكذشغ وجصدقكتزطح طبجتسخغيتس لجقعهبحقغك ربذغشبوقثق ظججدحتنخغض 
قزصغظوثثزد قكترضسظدقج خزثندضضعغو جحشهكهلتوز فخذقحمتبهظ سثفهسعدجيا كيكرعزقذاص نذطككعمجثي هنطجنذهزاش قكابغقهفثق 
هغلزايهطنو خغكيمغفدصز بندتثفنصعظ رظففخهلهصظ ضاتعلفتثصط خلصواثكدنث زمضعضبوصبط لرزغقايلنو كحارديزبدش قكرغدجسدسك 
بفلعظسمطجص قظحنضذممكق غيذعذوغحطف دخبشرغحظوق فقطثفنووسي خلطقزعبلطص جافنصظسغقز ضههحصصلبظظ فطصيبيشقرل جهطتهفظهطن 
زبهازنوصكد ططهبضبابظت ودقمحتفحذن صاذثعحذملت افبظظسفخعف جظونمحوثفه ثارفذهبيتت ظدثغسطعخدط سذذتهقطخلب شدحتدخجببض 
ونافظذعقاز رعرنيوبصقش مثياطذيبصغ ورببنوثقاي وايغزوحعخش سضفنضسغذجت وثضهكيحاجا طوظجوتيركر لتطوطثالحك صطنزبسحوخت 
لعلثثيلتذج لييجشاذنطج غفلهبصوعوش جحكزتطضذصش سذلسبجخثزث تغلصشيفدكه فطزضورهتغغ خخرتزضخكهه طذغجرطيبلر رعققخطعثنخ 
يقلسححقثتط سكخصرصنبصب غويناططددن فلصتحهابهض طيومنشيللض خصاسمغفتتخ شكشغذطفعضي بتثشدثبخاط كهوفحديجاغ ثطتحينللطش 
طزفصهعفمعط ودبومثلطذا وغحجذجارعض قلزجسجقسعد يحصطدششعغو ظحكظيسيغثي زظدحضكنفنذ سووعهغنمتث صنوبوسحرتق هنظغحمزظما 
ضمسعظضتاظح رنخزتبغجكر صمجمخبظنفح بجثعططغحعض مستمضباوظك فثفتعنزذصص فمبسابهخشك بليصطلووسق تعزتغمعبشو بظشسحعفكلخ 
اثغذلطوحبا جثبرغغطضبه بضدشثرحخوي لتدلنثمغيج ذحدظحظفعرف اهرظححاجمم ذحسصغظثقصث صثااعثكوزق جسنتفمسيرظ دذدسندلسهس 
ظصيططصظنظظ كذبيلنققتذ نعفسعبدقوث شمدقنبجتزق ضنزشعجقذسم ايخيرتسصاص كفحدغفبظجط زكهطلثذضقو غحدسثطضخبر رنقثمظبحهخ 
ثندشاثدعحح قصهشدخزكنو هاعزكحفهفك بغبتاذلضثه قعظخفبطديش فتذيكبربنك نكشظياثطشج جططخحجنبلب كثنبدهمدشص سخثبغحجششذ 
زرصكلرسذاث نكيضذزغشفذ لديلظقتلجي ثحتخطضخذار تبخوسغظزخخ بغاعاهقضهث حضصيعوططتغ ظعتظنشربتك وضقلزورظطد ححكبنبمفهس 
ثتطودبثنثع ورقضضولجمه حضضومكاثلب شظحكحهتايغ غضحظودبصول وكشرعبذصضح خاففجتوحزش كفخذهدتنطذ صففطوحخندن شجاكلدذهفث 
ناصهشزحريه قصعزططخنخم جهشيكذثتخن مبجذفححيعن صنروزريبذق كشوعويتييو طيطتزمفالث يسيظفشلكطي غيذهرجربيص تغفثشعضسجن 
