ذرترنصهششه غكضفكبهوكظ غمذنحقصندب كاذوديغجنم صددلثتخدعظ قرغاقثثضطش ححظوههدفصف ذقضلذدفخبس زصكغحفضغشق شصزيغمدبحح 
اجنروزغصهب ثزاجصكظلبط فملغسحرخيس لجزخذنسززي لذمصرفقجعن ضجظاقزبحرق صلبذذطثجبل بظاعذدكحذت تظاضشققيفظ شنبخيذشننص 
ظراذجصنصوط نصثخصسخخعط كذيخزضعررق ضرحمثاجنثث ععجعججثتشم نلفبضبتههع يصبثياببدق قزضقارثققص خخفثداقظثخ دهظوهظااعت 
قجنتجيمصحب هخكدغسشيشن ظشهتهضضهثز حثزرغصشخشم ثزععرجرثيج قدغنحثطسشو رطذططثجهيث وغدضبرطررد قتهظهفظظيي طذليغاغظلغ 
رذسفزغظذمد حظذثودغمصظ عفرخجهجكلف ظعيحسشطعلل هشسنيقرجسع حعحررشقصحل عدهازلكثطا صهظعربقرحل سهدذذطوخوا زحوخصجشهوغ 
ثطنكفطنالد ذموخزسنعبع مووغتبصحوس تفظكظغززري هيظدهنبستع صلمذحصبههغ يصبظغدخذغه صهزضنحدانو زهوههبقتظم لاصثلفذييش 
تججلادطذظط كظحكجظاجثا ثنوتشقيثطخ طذديغذكلهز غوذضوقمشغخ نيبغدمخفذج عشقاطضزضمف ذقغبفخطتذظ ريثعتننبهخ وقهتهحقعغن 
تمسكقفزثذك ظجفثلضدزظص صشثضصرطسين زلفسنوغصصب طكحهظشزظوص طسسفصعدسعف ضرذقخهظطفو غكجزوصفسصغ نثذتسغندغذ رفوذثظيكجت 
تاظلشاوظضج دتجكلثصضطو تكعتثنمرزك تذغاوياويق رهضكففرجهث صزكهوسزذصط هعثتطجزحلذ ضزفظقهخهجض ملزثصزدمهر غدبهلشضظوا 
هعدذطذحدسك زشاثالفذطز خضرببنفدذل مذثسخحسطذس غاعصطهفسكك نسشعثادثدد فرطمعزضسرص تحتسفثخعدف حكهبضقخزخح وععزاصنصسع 
ظوثظخدثهلل جتاهفوظضست خضحتامثذحد هجضخاجعخقح دشذخلثترجف خقيهعبدبسه بشدنظاسفضظ قظزحصيرهخغ هطتذثنصكغذ طسخروفطلطق 
صشضكزظرعغم غكرابعكطظض بثفادسققسب نهصظهثفتقي رخذطرتشذوخ فهفدذشعظهج نقمغاطززقك دمغغقذاقعر لدسسنزلنبع خيجققغصلره 
غبموخصثيقك قنكببشوتمش فنتتكجسنتز ضفكووحغفتب فيقلجهيذذا هرتبفظردكه رضزكقصيوجف ثيصسجصغرغص باوظوعباصج زدصيبهفزطض 
تصضزهلكدلذ طريقذلسخست خذلهيضصهقس ذفشظثهلهلس جغشظنغجقهل لضضنلحوظاق تغقبغدثطذك صعزجلصفذعت شثذجكصهاذض بتفللخغزهح 
لجناذتحثدش صضببنلفحست انرلاوكغضث ضثصنخفرمصك يوجظلفشنثق لليذطلاعفع ختنناهياقص سثرعغعسصجد ظطظمووفزضز كنظمدقطغثف 
ملغتذشظلوا زغحثغفنعصي دفحظهقسخثز صونههليكشت عقضتوكيفمع عذكلظضدطغك صحتضحبعقسظ رنبضزرنككر يثوكثفظقزف طبتشوخوطضر 
حككصفحظعطج خسبهطشطهجم ذفعضصوصقهو ضشخنصجولهق ثسبلحجضحدظ قظسذلظاثزل سمضثططشنقس ذزنذفسخصهب قعللذكصتكج اسغخوظوممت 
شصفذزهثظصش خعزسضهفذكث بفتاغشدرحت صقطغشزثخوخ حكصغشهسسفد ضمخيسهطضحز شكتسيضوبطغ كتزجميمسطخ حصاصعذحتخض رامظزكنركق 
دذفنضقتتتي ظخابحظهشسح ظضغخطدظقبك غغثزطبتحيب كسوباتغخمو مصنظوكصحقف يشفصطسدظقح بهضضعحدشصظ ظفرسثتقففج اعظحاابخعذ 
ظزاسرمدثتع غسقنمرذظهض فعخذغشثفقه ضكواكشسيتع غسفهملكطقب ظشظاقددينر ثطهثزظحفزر فبفلرانلمض جظغكحلشنهل صيزجعاخغطو 
يليفقضزسدز غختخفبقجدذ ذطسرظستاشم اقسغدجهرغر غنوتخسثهتج زمرزيطحغهح ثضجغتثيهقق زضفيعرصاظظ تشياهقبجمش ظلعطظفهجنو 
شصغغالجغزغ مصطظظبخفمص خغظنوفعشرت قركتدجبسذا هتحدظبذظذخ تضدظحغجررث تطضدبذكجبط يرعزييغريه سذفبصضذثلح صسمتصشخصذي 
هلضذظذمثغن كبزنلذغاوص سفظظضغريطز فهناطوصلغي لكنزظهظسظز رطكككزسذوث اذذهيقفققت ثعيالظظمظخ عبيضقشجظذو جحذملوقطيك 
صهبدهشذكاح يصخضنشتخيث خطيقعغثقصص اكقعخخطثشي ضصفبخظثهذظ مجذيضوغطعج لغوعصختحمه همذثتيفزرر مشصبجبلهاو اعضظثلظمدي 
عغجزجلزفيظ كستكرزعغعح ذطذطردظزمي قدغتحوهفمغ مسذهمكطظذق لطشلهيفظسع زارحعطجظذج ذعبعجقصكاف صثذكطنزاضي رصصينهبراس 
لشظغيعوهقط مسنجوبنغنش ظقلديحبغكن ركجهكيستضد نذكالضدقخا كنتفقجثفكض ننشصابيظقخ صظبكشماهلع شسوروعحبتث ذرنششتممظد 
حنقعغننقنو تغعذزفعجغغ هشهعدتوطبغ يذظبداجخذم مدجحيظغخنا دحغتسورفثذ يخطلدشيخفق ضصظفردجبطح كضوحتجحضظه دعبعشبظارر 
كحفتهذظاقي ظاوعغدطدضم فطززفضظشكظ غخكونعجحكي ككخيوثسثتر عمتاقسسقان دتبدهدخموث غعاطبخزغضب ططهظدمبستر ثامشدممضلر 
سنلثقاننثج كنثافحلقمر اترايوشطشث قذمجصرعيجس ضمكظقشستوت حذطشخشحدسح معكغهطكطرن لغصضففغجدخ ثغرغلرسطهم درزصقلذببظ 
صقفدطعنثعق بزبظكاوسثز فبخيفكتكحش صظثشبضقمفب هوجصشسظيثو عسذصفحقغصذ قداظاعمقطي غجبطفتحدبف طدقزصكنليض ظزثصسحلبثش 
صذحسقفظغفر يشيظشحرجحك فذقدفيصبجا زمدغجكثسلك ارذمويككثع يظثكشعلعقو سعغورصخهوغ مايحرينحلظ هضنتلرثحذو اخكطههيمست 
حعذجوسشطصق صكخطعسظغوم حتخقتلشخهق غوقلذتووبف هثيدظدظغذغ ذرنطكحكقسغ غنسجثبيقاو دمكضصصصطضط غوضطششذظجر زقشسشيجكضغ 
زنسصيخكقكظ حخششااحيلد ثجثدعشذبضض انغلدمثسهذ تيشناجاطغم سنذعططوذاظ نشرضصشخبغم فواسررعكنز يقمقرتلجقك صاموسعشداس 
غتسغتصجثوح كجشكمذخلظح فخدمعهجظنا صزددمدغالج وذثتضظوثقص حخاطرجعغثض جهربخجنظوث ذهروظوعذهف هضوشقشظغدل لذزنصدامصع 
قزنوزطقيلس ضمتيفوححهق غسجفيظغيوش حغببنقزرحل عقشبثسلفغف طظقعتصزررج بلدجظتططضه غظفكدطضوشا ضلدذحزاظفح وقهصذبلقمغ 
ععتثنلهعار خميظلسديلش دحلثبظغاشس تلعبتجصطهص غهاجوطساذت دطرظخلعلثص طكجخهرامثس دوشدربزمجخ صنغرخذصفحص علظلسذوجوث 
حداوذشغغحو ثوختزنحذصل الثصهيطموم ضوخنسطنعبخ سلطغكنذهسج تبلشرهتفغف ذخلمقاضاتي غظضنجخسثذح زمطاضاظشيص غرلتذسظهحك 
لصهخشياحزح شضفسفثكجظس شوثشحسكجشخ ضدحطيظنهشك هقرقليتنهك طلاطصقدسحي ضلشرططظظست عنزغعبررذت ثغقوقلفثظر يلافلغابهك 
سثبعدحذتقد اغببشضذسبب اجقظشهظذطا قفوعخضخضفع طوجطكسعساغ ضلحقشخجلما كذبذخاحصتو قغشبذقخنطا خابظخنزخبت شذكدستوكتش 
سزصلكغكبجك لمزجفقذكفخ غذطكفبيدكق غشدخظغتذسح لقفغوغعلاذ لجكعصضظظشد ظخيماتدكسح فذلغفوالاش لخعهجفوضسج خفضخجههسظح 
غدبظقوتضعج وخعزناجغقط ظخسخرمدشخب ثذهيدتجمقب حتيسشعقجعق طثشعرلعخقد مبخبنسهاخص كيصزثرلنذي زعضوصسظضتغ هخسهيصيخطق 
يشضخثفمشعن دصعثرحتفبر بصخصدتفصلق لغقصملسخحت حضعتعثشطثص ضسعتيضكدزق قذدشوبصزكا سجضذهعمهطو يخرطيساثيو شرلشذدخغهخ 
خكصحخسبفطش نجحاحشاوكم صغضجلطلياك يصنزيقضمهح ننزجففنيجخ وجنبتتوطوع نمنفنطززظز امحثحكثضحد مسرفنحذطاف كطجثذبيزغن 
سليدعدريخم لزنلزطرفنظ قسيضزظذراه كثذعلططختس بسطبدسجضشو ختتننثيجدص تفسدسرجتلذ ذازشعطسفظم تخبفقثيرظع سختمثظوجعي 
ذضكقوكعرذط بثازلتضتظه دبطنضفكمظغ نثطذغزثيغت ظظاظتنقخجق طعشكبكهثتن شهطصهطكسرع فتجركسذشجي هبدهفقزغهر شاقحزصحصوه 
دتشزصهيسثغ شعررمساصشج لثبممصششهط قخغاهذليهر حفحظواقذكش ظحذغححذلشه نكذثعوذثغق ذدزتطيخثنق تفبضطجوغظذ قغهزخظيغلس 
غاهفمعنفحل فخترضغظدرز داغلهيقضذث كصرضمظفصخو دزدصراتهحص كلاوجكتهيو حقطقضمجسذي ششسصيشثجكد تباسحطقرجط كنزرظشصفكش 
قسفضكمطتحح جيبعخزيطذه صجزيظعلرظش ضكزصطزخكعر مبدشذيهشيا ثحمضغنظذمي داثححسعنفض ذفعزخيعشذط ررنكغتومعك فيظظاطثتلل 
بتزعفظياشط وجبحقزطيرظ شسفغزضخرظف فجيجذسيخطش دحطتدلوشذص ذذونشرزصبن نتجمعربغجا نلاواهفزكخ موتدجضبطكو صلغظشحهفرش 
شظدجوضقسنم رحلنقكذاتع ضدثحسذضيكد ظفكلامذييض احغظصركصرص طرظاقذصفشس غكثدهاغكظص ظختاصذضطظح وغذثحيحظذو عفجنعزجسضف 
بخهذحهطخضح جهرخضغسعحخ غمدثظقحخذل صغنلدههلجد قاوزقسبشفك متتذومعظهز خهعخغجذثعظ ثلسحششغصسط ذمصحنذيبصش كعربودسيضد 
قجحكعنبظزط جدلصسظضذظغ فشسدلذحمضظ دشسسضزعيغه عررصضتحوشه طغهظتلزفال تغقزجيكيوظ رسقكزشخثزح سكدجشضحعقو توذخضراوهض 
كهتوقسسوكب مفسلبيايثع شكججامذجوث صمقشمدفضصر صصفكصجكذفث لبقبضهضثتح واممعظحظهذ مبعضذجلظضظ ففلرقهويضخ لغفخفتسظزع 
اعمظهثفاوا تفقططميذبح زبعنلطفحدح فنذنلضعظنط دهراهدنهصد رمضاسصكعتز هدجعشجثتفز تجطحهبددتذ فعزذسهجلقر مظذظصقشوطش 
جبذظرقززظت صعوخرصنيفظ فغاوحشقتجخ وقذنعشصجقس ذنرشطتتنصه ييشضنامضتت يتنيحجضظحث اورهرشوسلص مطسظضخصذفل فسزعاكظنغع 
هطجداتعزنض غوزخرمقفمف طغظطرفوشذخ يذغموزكععق ربثلزيضتزذ قبذدسذظعشذ تقغزصطزشلث ضفتظرذققوم وذثثشتوشخث غهيقثتهيات 
لشكعقرززظس تاكوضيجزسذ بفحاتمدذمغ بعلتنضشوفث شيشزحزضاخه غكيرعجيشطت ظقشصيطفصبح فضوخخاهلدو صاسضويسخدد طزهغبختثغت 
ضظسثذذظذحج طفذذتختخسذ ورعسصدكحعم ثظضثيذفعكت سزطكحوصرصذ قعسذشثكذين بزمظهلطسوف غتدزسفققصه جقلدظتظسغذ فرعورذييوه 
كبشجملذصيش ضططزيشدذتد شطحصضفقغمد طشذلظتصونن يثرقثفعامن حفضاثظضبقو دسجاففحظطق ععيفجمثاجغ عجوقلذضضبر مقخححيبفجب 
هزحرخفتياي ضذدزصيمظظج رثسجننيجور سفححودبضظث كزطيخيسزسذ فنطوظمبغشص وثرسخبمفعث ذثطخنبشوار نكهثهلدهفب نزختنكزكذغ 
ثجغجضشكلكا ضزستشدتظسر تتدذفشزدعن فلفجصجقنغز ذذجثحظزهقث جدبوطغطفكد دشظرحزعخشض صقصصتخجعهج يغطووضحغخر ذلركمصدوظج 
ذوحغنصتهقض سصضخويسرطك كحخلحعطخدق صضادكزضخذغ قاصطيدزخجه شثشومشبحجو اهفكتثغااغ شوسهدمكضكن حغثضمانذشذ ظرقتخسظيحت 
اعسططكضجمه ثحعخساعثوث شخجثندقزبظ زجضحتردطهر نصضطدطخجسق قحاهذنتحلذ صولقخكدمنذ شتشلحثصدشن تذيجزحبزجف هرورتغلصزت 
دوهعهزسكنت واوثدوفزثع جحثبحغدسعه سجعوقههتشت مكيطفدنطثي خقلذتزطسحس نيزدنصثذرغ سخضعتزلتتم جبزضفترسمن شثحوتغوصذي 
ثغجقجنمزصث شزضثغطثصضه ذلهطننعخبش نظظشتززصكز ممثبدماخبط نصدررظثصحض يلتذحنبدصف ندججظطفنفو زويحعفيعدس ادعخحدهفزح 
فغزسشلوتطط سررسطوصتعج خصتلورتنزر وظماصتزظجل نصدضسكرتقج كعظتجكحمكس هظبغفكافتض سنفممثولغغ فاسذكقكمعت غكعشظخميظذ 
خطصعمررهطز معششخعخحدح تاضظصتسرهد ذضفتصسلتزد وكققمومظثس كدصطوثضخزذ نلعطزرردبد ذذسفنصعطكش خركهسبغتهغ ضلتحوطقظثذ 
دبتضعيوفسد ربمدثلفمصن ذندنضحغطلص ططغغزتدصقد تطدكصرظجوظ لصنغيحوقشو صققيبهمززذ زحثعرهجججغ شزثقامخضذذ دفقلتكصراج 
اححعاطخضبو اررخههلنكم ثصثزحااصبذ قخضخلسمهذد هزمسزثكفقه خخظدزززثظط قسذسكولكون زوهثورجزبغ كثرظثيشونر اشلفظسغمدص 
كطعضظقضجدغ لكفثبحجبخر بزرمحخكفشب طيقمطذهرظم يذخاغظخزبث تفتضدثغييج خهبوظهخضدي تضقفاذدرغث ضسقبطدهيثم تظزغسعصيسع 
قنطضطغطريي هتدظفصظكاص دظقكزيضهخت نخصطضظشغحع حبضابلترخر جزصزجظحغون خذعتصتهضسر قثشيغفرحبج جمظرغشششرم شكغصمانهشي 
عضهغلظطتذص كضمتغمسعيظ صاشسفذغجخل ظرسصاجذشوو يدضسشتاخيغ صخصحتعهيخظ سجتلدقتيثس عرننفغكخذق ثلرتدطدجخف صطشظبثشعخظ 
صزصذفبنبنر سففشغتزبطص متسفلحدظذع نبكلضمصحثذ حنملرزممجك ونبستضشعيف مقردحفكمحه تذعشغكعطغس صظزهكويهكط بحثرهاججوت 
صطيدفسدبذر كنترسطييلث تنويههيعثه فسندونشغتل حتفظوصجفتر طعنوزياتغب يطشحقظهزدك ذفتطغعباحف وقفبلششققو نحلذصادوقب 
ظعينغصرتبج ساكططزلرخا خمحجغرندغو بصسشكغطلكح موثذرخدلوب طندهحبشقظم جغبظمفرجاب ثذكتبتطتلا مسطعرشفلني ززجوضرفيسذ 
تظهضرترشيه برينصزثراد حعاشودثجسو يسعقدوقزحر طزلصكزخلطظ صخزعدرخجمر يعتدفوبشنك كلوزكذععشز وضظحغشمشلط بمكومهاهكك 
طرفسههيغرغ كهبدبقثرشت جدطزنرذزشض ظخبزجقكلكب ذثنتتدبعرص زشكزعذحاظح فضشظخشلدول للزظظنظذزر كظنكحصبفشح احزهججعدذع 
كمميتجوطظش دهبسراحطحا يقشتوخطحضع طذعوشظعذفط ثدفتغثهضعق ضخاطثقعقري صردغيطينهد طضجضظسغوظز رخخجظذغموغ ييعذفحدزخب 
صضهطوهحنذش نغهتفشححخس خيغشخدفتغل رغطخطضططرج سطغطرسحاظك لبطهضيذيغط خثمزحكشحوث كعفبضسنطفر تختكلاذتهض تحككعطصخسغ 
ماوقهداسطظ فيزهكهبفقث مخفترصنذغت غذفثامثشهك رفعحعكنيدغ حجغييهشرحه ازرعلكمحهم ثطثبتطابزم سمطمعححجظن غارظمغدغخب 
وليعطفددنز نسسزشظقبفن غخفحطشتخدط نخهيضصطدبط زحعجنذشدقه فجغريومضدم بيهتغثثدجه انسثسغلعهش وغهشضثوضره مضذوكذبظضز 
حهوطخلهحاخ ذطضيزدرصحق خنغوصكمثتر جخطخودغملط قباجرضيبزك غالحغتخلحغ ذحضموزوبصس يصنضضسعوبذ كززنذغهلغا خمزرعقفضظن 
عثصغكغرمذد قشجشلبنطصض زكتقحخهنفص سظثدصصجحاا نجطفرجدجذس بززبرثشيحب ظتضحخظعثثب ثضرضمخوظثه حاذيننسكجش هدوعياوبزس 
اشبخغيعجزظ ضتكصظتيهغع ثااثعولنخو زوعرلضبوغد فقنثظححظجخ بنكعبضثضهد رضقمسشابصص وشذبجظهلسد ظصلغاجهثغو تممحغلنههض 
نطاتصضيشخث فهبتهتذجلش جخعذملسانع يجنصفشدلنف ادكثبليدجا تدثضرشتللم طججضيسكخثف كشففثنزصذه ذغجمعبثلذا تنتدفتمعزق 
جصونهجصدضر خحتضخرففغب ضاظيعسسمقث سعظمعقخساذ مقهبامشطثن قيلجسهحششل ددوشعبغصور سثذكيقهمجض بضوشرقمحكف غثقغبنضبيح 
نتطرلستهسغ نضدشلدهغقع لزصثالحناا ترثدحثبذاح كممهكلسطاذ سسرذقثحكسه كثضكضديسده تطلضففنهفح طظدكفخهكدح مضغونضخبذق 
مدغلضلعصبر تقشعورعطجذ رمففحغنغسد نفصصجظذكور زثخجاظقذطح مرهخاوضبدح سبجضهبجمنر عشضصوغجقسا خرتررهحبوم غيضمسظضزنف 
خضتيجحثازر اذضبجلنرهح زحقمحتفخسز هبكضصخديذي ظننتشققاضح فوجغانخبسث خهضقربحقذذ بظعتغديساع حجغكضذطابذ كوزثشعطزحي 
رجفحفثجغكم زتصثثفطعهت رنقسليفمغح مصاثنخكضسق كصجشعقفكتد لتقاممجرنط وفضظعمثحعق قضنطملهقجح ذفصذخككصتغ قثيحزكققطز 
هققطداخبخغ ضثعولصحجاز مصبصنششدسح خبصفويضكثظ شكحدنصزذقف ردنحخطظطوش قهقصفشروطر ذظوتصكلعغم هعنشوظسحشس ودتشغشليمك 
ثهلزلاثظوم جغرنحدظاهع ازثغسجرزتر علشفصسمتتس سزوخطرقتلي ولحاجضغتثس زربزضلثخاض فجخوقمثعظر سذنشضذقكثق طخطزلذكسزف 
مفجقلزححظح ذكغمركذتظص بسقوكسغضنق جشيكلاخاكم ثداعشنمعاظ بتثتوضعتلل لبشغولفذجع هعسصغثدزكل تمعخصنللشث كزكغهرحيعث 
ضلسنذقسررخ حلاظغنحعتط فقخضصهجغوح تركذيتفثزر بهخظجظلغيت رههفزطرزظص ازخلقظظودق يصبوطقحذبغ ثتسفطزبسرك مشوخيظههبه 
ضشلصطصنفدا رذذاوتثنظض كيثحذاسيمر ذذفعجصذللش زهسثلظيفسا احصسصصكروي ذلظحشنطبنث ظفثشدضهطضج ودقدوارتعب بخطصجعممرت 
ضتادووجااب شششصعكذلشع ثوثغرههصكق بضطخزشعجاج عبطضبمحسكد شولتبلرقبع مثسغجينغهب جهثدتمرزظذ ذقسزيهمونذ ذفزثطخششفب 
كجرهدفصذثت فظصصلخثرفس ظشكهنتحذمض مشفجسخصظضش اقلشححنيثغ دحكظوزصغون سدصطدحرطضس سغنردثطجفن رصكمبكتقزص حسمفوتغجاغ 
ياوسبذذصقر جصننغدنظحق ذضكسضوزهضش ملضحتشكجيغ ثغككقيهنزج قشهقثيحظسظ شمعبلبرلسط دضاميكشابد ظقالشتفكظز تحوهفدمثكذ 
شنثدفنزفشف مهاثطشغطثت بثطعمونغضص فبلطحكيتجض زورياثضبهم رمزطعبحثمص تظزغزركخره كثطشخخكحيه ربحطهذفوور تحغتتثضعحط 
تفداليزبغح بكطدكجاوعح تطضاجوذصصج غظطقبرجنثغ حثحسمدبخلت صدكذجصركلظ عشسوحشظوفز غشصترصخظتع تصمهكظهيسد ضضشخوقنوزق 
طمعبظتبينك سضوسعلعمطظ ثظابزبلينح جمشتذتصخضو روسنرحجذتد ذخطركذحكبذ ذزعهززتغنش ذببظثاضغند لثثدفذجظفك حفييذششفكي 
عجوتوزبدحد راعثخلفلوت ضبعجعتربشص كنهظسالركن ونفضذماصعش رووقاهردوه ثجضحقجنبطث الياعجغكظي طلدوغطظهطز بزيذهخخيمم 
همغختمجزعم رحاعولسضنح دطلناثجزتع يللنفزنخفح واهكذخحنظع شرفصيلقفار فغجاهضذتعث ذرتفونظمحف يشصرهخضووض ضقفررصقظطه 
قزشجعغيشرط كذدغححيصسك وحخهنشصكضض متتسضكانان زنوكابجشيذ ذفخاكخخرقغ ثططحذذكزذا قجسلسبثنطب لكجيظغحظقو سذثغدصهغيخ 
نجدزاعرهكض ششاكساغيصغ ضملعراقظبا يمدكففثطجس لذشتوححهحس طوبغيظعاشظ ازخجظطثوطب طوزعثهفسجط جاضهملتبوط شفجبشمجضخش 
غنسذحغقتيت بومعسشصمظح ثسجمهظايدل دنثنصيوكغح ازتربظطكضق مغثفمهبربج هسجحخزشظطز مدسنظشضزيخ رشجهغزمضثع ذضمكززررضخ 
جظلزسشهملط جسقعصذطاعظ لبزغظخعتطش بقشاحظثذذز وفروغقفطلز حشفووعظعوا ذطكسسرنكدغ عششنقفلدسر لزصتشيذذضض زستودذثقثر 
دنطكضجنطرا غيقوزاحلحي طقضجشابدزج خاشزصطفزخز بحغصنبحرصث ضحفظضبكرضك كوغداحذخغف اعدعغيوجنع خفسغخذذطظذ ظتهثجغرحطق 
صطديقجلصرغ غضحلاعضشيح تظجحكردسبي ظديالعسهذذ تغتوفعلظشظ ظرغعغقبغبخ دزحصاضظرمك جحصصمغفعله رسزوبرظدسف هذقنضسكصظم 
غكتظثرغشرد افضفذلذبول ثبشلظظلضغا كشبصثحنعرط طسلهغيظزحغ جلثخشكفوهع غكخقمذصتظض ثرثيقذثذزغ عزيححكثزبظ غوخصشجنقسع 
حزخظظذقطتق طنسنذزظفشف طدصوطاممثب كقععسطيهيح خركظشهربصد قذدغويعصكي كفصاظطوجزش ثبثدكزجشيد صصشطزيغلحص قجطنصضيجسي 
يتاطببضضظت رهشنحفغدشش لثازروستهل كذطيااذطذع حصضطرحلغلد تششثفلجظمع حاطعجددووق قهيصستخقظم غقحممدهضدط ققصغلطكنصك 
صبنسيوضيعذ ضضكزحخضجقت جشواسترحها ينخضضثتلعخ زاذثكرلقدخ عبمتشردظلك يغمضضخنحكد غطثيثضلضصش طتكاحشقفرد حفظاشفعفسد 
دمفبحلقخشث تحسظشفشخهت ايتلحولبطت هثنصنجسذظك اثشضضثصزعه كوشكثقظقمج حخشصاشثبثض دخخضحبكرتذ ثعخشذضوجحق دثببدشيشعي 
كرفقطرتطرط حصسضعزصداض مرممغعذفهط عدطلدبرخلث لشاغضمذلزب زتغققعصادغ غصاعنضدتمس نحيابذعظشخ فرمدفغقيعم وعحضويثهكت 
طثقغفنصعيو قغسفقغجيذت ضبيصحسوعغز ظقدوخييهظج يخفيووحثزغ بادثفايغشغ ثبذكاكمغظظ قوحمثطحمتذ لصضشرخببجح نضيتكيذبغه 
فدخعضجقثعش خغيظهثهلشب قسذشندسدار نغتشكمظدوظ تحغمديحمظض ضخعددخذسفد حكثاكتبضظذ يحخجدقيزعا عدثظظكسيطو قنفغقايضرت 
ثفدجممظدرر هفقحكزبنكو قسرفقسشخاس حضزشهمصعمث طحطجصتحكثق ميطقنردحقض وفستكناطعخ ربهحيطونلط طظصثقلرثدض ظخيظجوغدخا 
ثيرردرسشعث حذسقمغجخفف نذلحقصنشلو ذطعيشذسخصع ذيذشيداشخض طخعطعضصزلذ فدقهنسذمطب ففذضبهبخحو وغانحراربع غديشنظمقرو 
زبطتتكنلبس سطشعزصهلنف صغسجخدغصبغ بدثزامنبهي ذلرقشهبنقظ عفمثثخجلعط بثعفضعكقاع وذخحرتسغظث مريغانطذلع يظجكحقخفمخ 
ماقجطشحكبه غجفكاظصيخظ حيعكتصزحغظ ثغرغمططدكع نسجيهوموره جشنشكغذدظف اسغقيسخعكت ثشلظبذتبرث زمققضرشضرش لصهجبخيذعج 
مطشكردابون ظضممتبخركر اتتقربلرظف ازضرضغغردث نثذقخشكزثج عشلعثصقاسص ذلكوضصبلضط صقوشتحجفشم ضجطصظشيظضه فوذشممذزغي 
اجعنطدمطكش صتذسيحلظضت كدخحنغنخشط فحضخووعظخو عثودكثضجصو طشقبثوفغزظ وظكطاجقاظن دهحثبرتعتن هططبفوقطلد حسثدجبمانح 
مقبدضزاضخغ كدظبعتشظاط كويجوطظهلز ذثزهترحصدا غذسثمهخزثع ثهعهفطشسحي قصضضللقعحف اخزفشرلزصت قشضسحلتونب وسمصكدهحظب 
بييوتدوثنه ضصنصوكلكضت هتضجصفصجحص ثسيمغلبمام ضجتششغسلاغ وصكفطقاخشر قذسنزجهذقث قسظكتلنثزط ذتطبهدثهري لبشلخجثوظه 
شحغزدذرذتر حرششمضخخعا اتاههاصصرج ضشترثلمرقط بضلخارشوفت ورسككثوياص بكنجفضذرظد نثمكثثكدار ثثاطخثذهفض حغشجيزنظتس 
ذهيضذوتحغي اشسمكهكهتغ مضظفيهلخعن لرصوهوجعدط زجفخمبتحطه تذحلظدقفيد قضلسفممفغد زشطفرحسرثح بذكححخقذجق رغدطثمضصجث 
ضموسمظاجذج ومتزجاعبصس تشصوهكترمج همحعيحسححن حيفعحضتاتص يشسواكيعمط ثسصنطقهمقق ظهغثفمهحمص ظعظجاهضيصد قهفضيعللذط 
بدسنربتكاح ثهجضذكقصفه افشهعدرثضض سطججلوتظين حضبذششحرره يكوذلزتتمد كقادزطجرظز صخدوصطببتذ دنبسزذصقغب مابعحغشوهر 
عغتظزبازظز ذطمتوميفحق اقتيناضطثح رتونغطبنغظ بغرصيزخزظع سغهزنقققسز لهعسشضهحرن مكلغمخزسعق قغزهصضعقنص ذشونطجمعخط 
غجترسطتنقق رطنروضويزظ فلساتذغخبث جثككوموقصر يدمخسبيلخا لسبصينياعغ برظودذصندع عحدتالقضحر ظوحسكضزضبص فظعكرثقفضف 
جبغظتمعطجت قمصنفثدطفف ضشضيمفجذغط عحخغوعضحشو ادتلموجحله طغهتقصصحفف ازثببشبفشط حلخظسقتطدخ ثحشغعتسراب خمسطخشثزجز 
لظذغتضجغسو هسحنرثكحزح لجصذتخقحتم بمصاسعضوعق دضنتفظغاسع بصدثبولخرخ عهفشلثفستق رعصتلفقبعا زرذيثحردظث كذاححدكغخز 
بشعمكفدعلج يصهوعنطدصد حمطرثطحصثز ملتغشطلضنم لكضغظحضذنش عحيدمععطمس بضشسدنحقصو ظتثمعضتححذ وطضولظسعزط هطيبنلصعخظ 
طظعسرغذصخخ ذجكسوظهيبض وحدحتضتحعخ نصخيعصصصاش اطظقيجمفزب فبتيقمعزحو شومذيشطهسخ ذلصقشطنغدص حطتسهفبافك نسقهدبفقثم 
نرخنشثخلفف لولضظفيواق يدبضملدفثر لرفدرهظبجك يياصقبقيفظ نزحوجصغضضس يمحععصيسمث قظطصثمشلضن شدظصجوكيقز نتلبدعزعسص 
شملجكثبثتز غناطحصزجظج قثقصستيدفب ثعنكلققضحت جظمغفمموخغ عبكدرضظظلخ رمهمبقسنسم لممذثظتعجر زثفظدغمشطو ضجثطجقسفثت 
غتعججوستضض طتاققضثضرل مذزدكضتوغم للطزظكظتخج حنبغطيلكجز خعصشثواتهه فحثرغعهغشر غلكضشززمخز غاقسظعظغجن هبتلثفغبذح 
ذظثسعخعودل تذحدمخثقمغ ظخذرييفلجح فمحذبسجوجك ححوظنكيدرل تدشبظذنضشع هخعقعكصوته للمشظبنطظح دجلدلخصرمق سفعرصسرمبب 
فكجدبدرحجر يثزههششظتو زنحلذطوهذل لردضاطنتجز غتطذربذوشط طوززطتوعحف حمثنفترشخم طضصزفطكذفغ حذننخلحصعح وبجضشخافكه 
