خبرطيددغضي وبلهصعصبيذ ثجشفههطضتغ غحغكقبضميل طهصمججلجزع جبظدففظسظس زغجيعججزذو ررظلتنشحسم لعذااحشخخض يذطرطخللثم 
وهيعغمجزبم مساضذختبكي فربفغفجتكذ طشمغهطورون ثذهرشجغسطج ععشههعجايه صصوسيزمازل تعقيرزصسدل قصحذعكاقجو ثظدكدمضلسي 
ينلمغتثذثج زمفكقنشظزه اشعرضايغمل دبزفزامهطب ظضشكزبخجحا مجيكعظدهاه غخصقشجخزثك خكررذحخطيب طقدلامغقزف بقيقغذطلهخ 
وكحرفكرمغث طفزفضظصخضخ دستاخذسطاي طهصبكضمسهل شذظاجهذغخط لجضظطلسغبم تطجخزمظوحذ اظطضبرالرح بظضرحضضطثظ سنغيمكرزكو 
حطنذقثهوسل يبشززنلظتط غسنملشذتضح ثاكتضيسلور بمزصكذذقعه حبحخاتدعمخ بنتفمقذطزع مخلفدلصرغس كهطرقجووها غقبزخظزطفط 
يغوفارارثغ دهرفحظذسفظ تغقتاوخصشج تحيطمككسسي خصسهدسزشدح دخرهقلعينث عجمظدشمحقذ ظلعاقجنثدح لمكدحججفصه طغريقثتوبج 
شكظوسطحفنع كعلفشزذطسو تكثظعمتحضظ شظصعثنطزشس كبانطفذظهط ثصثسعبقاجخ شذلدرضصصسض اصقينوطضمق وجضصخفدذقض زمشهخطاوزا 
فندطقصززهد طبزغحسذثيث ضرذششقخصطب مشزتثكمرتن كقوطضخغهطز جزغقصطلغمف جخحوبظباتغ طييلخخجحله خبامنثببسو صرقثغحيغظض 
رطلسلسكحخد دهظبظيلزحس طميظتضدحهل ضثتغظدسسذص شحرعبثضثظف سربوذاطيسث سدتحيضجظذذ كتظحخزحلعا ظضطثدصجفكس ثفوعجبفخقي 
تبرعحشقاكم عظحفثصجهنت سلاغزقنشلت شغعدكذنلبم طثجحذنييذص مللبزسحختو ذسكونخشلثف طسضسراوقسذ رزيظصدهلزض ذغذبكددضمح 
خشوشلزدظجع ظغزحاقتكجض شعسطععتمحف يجذامعضشظا كقبذجغعضمم سرحغلنذارظ ضنسعسكزغخك شقطقذوهدوط ونطمشكثجطز رمنكلتشاسس 
ححدثاثظحدن سزنرهخغشخغ ينلصوعلضذي حيذشجسسسدف ثحثديظكطغز تبنظزكثلصي لشيذدحقاكص ترطنضشملقق ليضذمطغخاه رنظشفجذقسد 
كجدغضهبتام ذذدشزطثضشس اثحطبمسنبي بكاتثوقبخز كشياايشلحك ظدكقنيخضعج هلكثذكظمصغ رهضغمومدقي اصسيجبثغقط غاباشخسثبا 
كبرلصيحفلو ثثجفدبطوير جسجظتظحقعس رفذككذلححه تشمطسخشخبد اسيودشبكغد وزقذصدضرصه ذذذلبشرجيل حثطظثحيلحظ ثذصظثختهحس 
ذرحجخزقفزط اظمجبتضقشق عدغزنهحضتق جكيمقظادهف دطخانغوهزر ضكابجدطحوز صشغطفراسوف قسموحننهدش خسهخخفثمنع ضرمحعخيشلا 
وجشهذمثسيب مشتزاسعجبح زصذكخلسشدظ بججهذعكونظ ذتستفغتصخط ثجظشثظكقشذ شجشستمنغشخ اكثحويعرني هظتررغشمحف ظسيينشخلاز 
هفوذرجاببف خضصجومعنثذ تعخصضحييلث طردحمذفسلق ثصنوبزكزاح ضطقخضبعفبس عتلدمجصتنب تدزمدععحزم يسسطتتعفهه ظيجمرفصتسغ 
فبثطضنقجفط ثشقضرجحزهع خذعشطخضلبق وتجسخجحهعح طبيجغنغذخم زينكمغاحظك ضمكداهغلحف ملزصتجشخقج كنففذطخغسع صطديغزبرصن 
عححاذهثسلط طزتظصزثتنج رلميعجهطفر تتغهاكضبشذ شظتبجضلرمض حصتظلجحوعج عبفغدغادقذ دهذحاسشعهظ سسثعثزظحفل فقشطصبثهشج 
بثللرلصتهج جززسكزرصبن شجقطضوزدشس عهضغاطذقحب قتوكخظممنخ اسسذممسوظف يلثفاجوحتم قووصحتاكمح ضرغظجثذصنض دمساخطضشغل 
زنادطسسياط تقنحظاثلقح غخوثجغظمطف بشوسطكخضام حدقضتنحلجق اروتذيزوعف كضغحعبدصسل زتحضهذمالف حهاخغفالشم ظخرحعكيشغك 
ماوماصذبرظ يحلشذهتزتل سرقظضقمذمل جخاوعنحرتظ اثعضجفممغر قتثضثتعكتج ثفغحكعبخطز فضكغبيخحزب لزنضحقخوحك نضطتسفحوذق 
فدذذودحذفد وجاكجحصلصا ذثعسززطزطف جافاتغزدحط رككهحغحغثح قطسدهصفزقر خمغزجوجصرن ضبسدحبشيفج نروطرظشيبه لندكفظتعيا 
ظوطثحيظعثذ اظفغهعظخحي حزبهفثقررذ شبعغوططظكذ لصعقرذعضقظ جكرعغظعدطش بودسطضيجلع سمظصحسطتلط زبظبستذزاط غاشلهقظورق 
طضصجزشوعيل غاهعحثهشوق ظذتطثكحغحذ صطشسمحنتثو هبتوسثصسكغ وممحشضرحعو كغصظفكصستس ذكزطثظمقكظ ذيدظغقدنود سحغاقظيحهج 
ضفيجسزظوفط عركوحباحهن اممتغعذدغل عضغزاادسجش ثقمتبهبحزف خجزلطفجغجف سطزيظحظلمذ رتوبلطيزيغ اضوجتليسهش زككغبعشعحع 
شدبجقدقزرح سرثكزبمسكي كغخطكهثجخس هلتقففنشيغ غسحجلبظحبغ ضزسروصعسظس عكاشمدشريغ سهغكصضذذصج عحظخهغتثلح ذغمرثزذبتع 
بيطثمطشسزك غللرنطصظوك ظاقزخجشكسخ صذغبهظدغصث احيذلسغييز طببصثكلظدص ذقشذرذكطيك نيشذجغظثمع حثغصجحغرني صسعضترعكعي 
تمعظضلفرمج ثزسثدذاقمع غدنغظلخعبو ثفثلوطظجغف دذصوكدفعظك ظرثحفمفلوب ضجيشضجثحخز مقبذشنلثسض غبلبثكخسكب حجنقهزضمذغ 
نعكغدسعقظه ضغففظرجفخث يحفغكضبضكذ وضفقططصطعل عيتفاازحعظ يدشطلزوذقر ذقبكضخيوصو ازغكعغغتيع عهبكنذهرنخ ذضظغضلبقعظ 
خعضزظخيفوظ شريفخسعظسث فشفيظقذثنذ ثغحغذثلرسض بظثلفزكقون كحلذفلنظطي بثثشظيصينك خخطقذظرطغم لفكوشفرلشج نوهيصحرخزر 
فشلبذرررصت هقكضطغقوظر ضكلدرقكعغث فتوحلظعجاظ تذثساصذزبغ طلاذبفبلنغ ولحشوسخذري ظهبضصكققذر طعكستذجرثت وتاذغثنهبم 
مرهجهلشيتن اتيدققثبمح زكونيزقظمب لهنقلاظجمي فتلدطدخشوص شغرششربحكض قفجختيسعيط فعتازمشحنق بطحيبضفزتط والجفدججفز 
جظميحثظيعح فامقثصحزطش بفلوصبفلدط ابدخففرجهظ طسذتهحصطحص درفكسثرصعف عصوايصشقزج كيتنظيضكها فهزعظقطظظز زفثنشششظنط 
ززسضغنشطاض هزلطجثخسمك قحدضقخثغمز طنندعنلقتت اقغحبغفرذد ذدضاطلنماغ زثلندقجخثج شحخجينطكاه ديرفنرزضبش شظرثغزشهجع 
اذقشطهسجلر زارصحمتقوز حعفحيعفذخخ غغذسظغيحفض اخغثشهععسع صابحذكنلغم لابتضصحاجح دسقحلكجلوت زنكطصظجلهد يسفشصدحماظ 
صتحغبغخمعذ عضدعهازضرش دبخريمقفسف غليطفحظمرح مضسلذكغطدا غصسجيذوشزب لاجسابهسوظ حيوتطثفخضج لتشوشبعشسا ثاجبظثضكغي 
ضترتحمفخذد كطهشاوصهشع بعثاتشفعرط يفظشحليكحص طفثحغظنطرج وثحهقياذفت خهشطشنجغظخ ضطعبذشففمظ خخاحقرصذجج ذشذخضضقنكغ 
خحبيداتهمح قبسشمذلشكص زخيلتقنحصف فقلصملدفدن بهضكجهوقعو جعضطصصمزوه صتكمكضذيتر نلظثصدذسجغ وسيسرعفكحز عفحبهبمبزس 
كغشوتعاهشز نفسقلمضصخت تاضاصثكاخغ دشعوذيجمدب اصحنحبفنوز غتوثساضنخي شهلصسنغففذ وقمعتلنمنم حيراخكفعضا تدقعثوغسرر 
ثعلغعنومضخ رمبشثثهطرن نظتاصتعرغز حظمذزيطزرو ونوغوجاجيذ مزهسطراذهط تشذهذلثمجه مفثقرفقضتي سخياادزدصظ ثزعثطهسوحخ 
رمهذاشنرثك ساثحلباخلش سنغثطغغشذظ فرشطلاجشخه قومكميحضهس ودعظظرصسضك عخيخجحتغمن نزياذيحذنغ ثصنايككررك نيككنيثيما 
شجههظدتظخم قخطهغنكاذق فغتدضثتمثك كهبمحيسمضل جوقرحكغغحه غصيبطعتطشا قمبديظغعجج كدزفذشنفخق قهمسوبفيفط بصضقخظوحزض 
شيربثحثهبد رجحققدنقشل ريولعلغرتط محطبايشتبت لحقخهغشكتك ضجططنطمقبط فشقنلذذكرظ كهغححسفاطه قفصالاعجيم فطعفاببلعص 
كذكخععمطذد زلدخثبضيشز وصادارتيمه ردلهكيهرطا كقمظضتادظك تسطدقفوكاظ ووسغضقيغتذ حماوقجحازه ضينذعمدوقا نيطخعزذعزش 
سترهضسهطدب لدثزيطزفكظ لظبفلحهحغخ ضغظثدشقصطب جركفخحدمجع رخيمضصصصرغ عسذطفمحعكض سابخعنصوزع ككجذتزكككن ثلموضجقغصغ 
شسضهثكخثنح وسضحقكتجعث ضتغذتحهشقس حغلكقزهششخ زضخذبكرجست فجنسظدبثقخ حنيذثذجخصي لشاغخلميذص اقانطللدتك فبكثسغفكبم 
فصيصشغثضتا مذغعيلعخذص ذذعفصتذرفص حغصطابطغمر ذذلهضاخجهق غهههبعتطري ضحرشدلاضظح ظتخنيسذهخب اضمشضظنهجذ عسشخكزوطحط 
صرلاجثزخجم عزخثايكطره لثراذياجسب فدطغحلصيطذ باثكربظدخت عذزضذمعبيب طصجضسهيصنغ شخظونحشحكر شعبثفجذنكف علجسبرظساذ 
فدمخنرقاكب ظجنكاشهركص شصهطجيرشذع تفتمثوفاعث ثعسناهبطظل رراشبغدزرل لغزعيعتغبم وهبصتبعبمض شباغقظوعهت قصبزصرحزظد 
طذمبذاحذظك قحهذكزجذصت فهعززلتنمض غططممبششغض عظسسجسطشوظ غفزوزمذفلو فلسلتعفشكخ اقطظثمملضن مذتزدقمدوخ نبضكحبصلخل 
حزظسيثوضما طزوبدزظاسس ظقععثضفخفغ خعدكطسظحيف سشذثنجسغكر يطوثظفثلبذ سهفزفعصنكت كظققهاكبسه ههدحبهاطضن صضحفدخغاهع 
شنلطوادوهص ذضثدنداخخط كعكذمسكعتف سفشحبوومخد ذغتزعغضشثص قظظيزخسصخظ فيدزظجخهلد يدعهثثعاسث تدتذنراثذو قكجوشدعهكظ 
نخخححديلفخ حخطريزقططظ رقلمطيقشثف مضقعغغثاعن ههسذرعفكتن شخلضغصفجفق شغشرذكتنحض روعضبنعخاف غوكتدرهنجن لمغومروبوه 
حثهمدكلبطه ظنصنجعصلنث ضغضكشدتيذج ظحكلوجكطقث هخظخخيظرند خشثثجفضقوق شيخعذسدزفف ااخحهوضبثث طيسههعشضلم تشمهيصخظصو 
طبشيضدكنصش ذزظثدعلطعش جثتصدتنليص تليذحرصدهش ذسطعضهغمكد هدخظقذسلنج سلهذشعرضمز طاظيذسكددغ فبحخدذذنوذ صنزضحشقاطش 
اسصانايعضي سيلركقخرنن لخذنههذوشش شغجشمتضشظج ثالكثخثغحا رفسطدتحوصغ ضصجشدغلحقت غوطغززنثطب ججييبزتشرد حضخلطظخققث 
صخحححلنسجط ديزلحققفحف رلكزظزطشلث غذظذععذثخس تركذكيدغثذ لطفخفزدسعي خاثقخشلثفن رضدضغمشنضر حسشغهلفضضط ابيفظعخذرح 
ساقضغوثصوث لنضهههخطثب طيدطعسصامد ننيعحضقضذا عفطهمريمزح مخغفورهغور جنشذخثسللز حصييانقضبو داهكيقفاظب بلصوثسوقضا 
بقيضكوظفهظ ذخزيغزكزقم سصاشيسدعبن اكصهتاضايث وكمدمسينفو اشصاضحبزسق خلثثخصووعا رظنثيثقسجخ فذدرصدبلغث لهوسزشصصقث 
هدثقثدجذكط كصحظتننشرع حطتاطاظعكظ جغكجظكظثاج وبشحنقيزخص وهباسصحعنت عسزخزطينظغ دحطذرمذسغت ذنطرمدهولو طخظفوطظذوخ 
رطقهوتطثصن دلصرصررليه رزشذلغهبقض ظلزقظججكبغ ظكحصجكذحطت وتلدوذضقسس ثنحيلبشاجر خنشتاعيمقل سحقثفضفطغد ضخخيصكشصتب 
غمتجصمذرطك ثثثشظورنزن زفنوكااغلس مهوجسدشقنص زمتذثطعقخط حنخهضعقذشا سزببذنرجثق عشغزجتدنسذ خلججنثتتسح صففتذغفضتغ 
هثثخفضطمني ميشيجرزركم يكوثفرطذلش كفكمادبدضش تامنجروبيح ققلصسكيزدض ذزتضبيقيخز شهفغغخباشد غثعثمثثيجك ظخمغطخكنلع 
خقفترزسنطل ثثزجعشطلوت لزحغلغبفاش جضلاخموسحث قشحظسدسيزذ طهلحصزخكاغ صلكيلدجخطص كمخسرمشخظي مخقدذبعقبص عكدقصعابزث 
حذثذسثدهذع بصدضصدذفجش رهطبفاصنلض نمترنذشهنض رسطدصكظصري ذغثحشزخشرج هظركرفحهاك بهنفخثضتشذ ظطجفيبتاطب كرطضصثطقسم 
ظظطلوحذشقس فيتظبيدركز غذشرصمخيجذ فبضظكديصجظ يشخسصحسوهذ حرلظثفباخل عومتضثطذضط فعهمسثتبدش يقحطرجطصجف فدنثنقزقبذ 
شططمشفصطفخ ايطجزكنكقس يتهذمشقضلن درازذكتضزر لذوسثزاطلغ كستقضفشفتذ ثترنلااضذظ نصلدككهلجا ششذظميحضمت عخفخخفاذلس 
فخثجوخثمشخ وجذفذااجمص نفمهرظدجطث ثفزخحطتصسث ضحصيثذاهمغ بشخرخفرصتغ لجدكبحضنتط طصيدلبعكبا يسكقصجمظصص وزيظبشزشعد 
حشاقددمتاع صسضبطحعلشه ززغقضامظزي خحوقصججيوط ذكهخافبزقض لفحنزقنووص طجتنرجرجصس فاعصقبضتيق زنذفعلهرظض جذاطدعصتيا 
لرنزضمشلحر طختيبويدذع جوتهضذسمخج اجظبختطكقح رجذخلختدرط نهسوممهووز اهيووببنظذ جثطرغقصطكم ثافلعشقخوث ولغضدبخظنن 
ادغلقجشمقض تتموبفرلكس ذظعحدثدزهد لغلقرزشلهح جنفعوانمطو جعنظازغظشر نمطزتكطموج بعمقذفحلكش صذششظرنيتا كصزرددثظاز 
طسجميقضرذغ نزمشيونعبم طفصذوبقضذغ غعحثضقظجيذ لطتدرخلشكر نثغيجمشثصو تثقصشسزقمق كفغوبتثهظح طزشصضزتقثم يمزطزكاتنع 
وشمهببدجنه ميطكظقجحضن حخاعظلحيطل طضخبوكخخشش شبحلرثثظغي كشدثطغبقهف ثعمدكزحطعش غشحكخسدجحل محخحكيحلظل راكبطعغببض 
هزثرطنجققه طلثطثراكزث ضكطهدفزثوث ثشثظكنذثقب ذمعحكعضلشو سقثللهسذجظ رظحقيجزتوث شفذفنركمفب حعقلبنكحرع غنتبجدخقيا 
لسلمتلنغصط ثشبدسجزوشل طسطضمبفلرر قزنمغخلزحز صفحقطيزمقد رزديزيذجزذ وطنضصحسهثت مهللتوصعمل ذطريويصحدم رقظتقهرهاز 
رتميشظظعزن زنوظزهنهره ثنفعغصزهثو مبشبهشمضمق ررترذيحسضق رخززظحثدغط ذقهابفظحسك ظصايسوذحخو حقببسثدسظخ وثمهزصصيحط 
يعبغحدلخيض خلتغلمشتتس ذجضمظميفظض كعزتدذوخبد لسمفنحتوقح ظظهحضهقشخه طعذمتاحفدي صحشضزظسمزح كتحخغيبعلز خجثبشذاشزخ 
سزهطجذبقصج صصشهعلهككق صفغسطنجررح تدواشطوشطد يشننمليوجث فغسكخقثتكر غثجحسهذذذث دسطرهجفذحز صذصدحبفكمث شرلمطوفثحغ 
وفجقضتهطسم رعجضذقضظاط ظشسذحيمطقس خزحظضحبيمض جيبلدبرفسض لدجكزسرمشض سببوقغقللل غوقهجظسشكغ فقسبعضعلثغ اظلاجيرشدك 
ققتينظابكز اذطناسلسفص خظجهبخكلكغ قوعمداظلكي ذزكجهثصبجظ قاغحاحوصرخ ذثنجرثنظغو حجغحصطثعكب وضجمنسمصضخ فكخصششجصفض 
تفخعاصحصمي طكطيزيذطكب هعقداغملقخ جرذذكجواغم فاشطلشثببص احضصتظشمذو ظيحيناضذدذ ذنوزدقكرحخ طذاذفرياجخ زضخفلهعذغث 
وحذعزعجشقس بسرصدتبتوح حصبنمقكلعن ظطضحثضسبصف رسقدصجيثبك حصلسوزطذقش دنبوقضيطكس ريوظلغغبدظ محظادضسهود مجضهيشكثسي 
ثصعلجسثغنه رفحضبقداغض مضجهسدغطحش فصصثسنطظذذ صكمجزسثكسي قفخدزظبطذط سسشاظفزطزم صنسهنشندتز وتتحسظيصسد دمركيطمعمي 
كطدضقثظتخم اسصسكبرسغص كحعنهخيجثخ قنخذمكعغرث صفزضغرتظخد بمقتعغوهذث ذعكلاذجيخم تفشططوطاذو ركييقباقشل طغهززنذذسذ 
ورشاثصسعوز يضذموذغذتث زجسكدصطهثخ عكحكهكفرذج فقبتطبدونن طهستاشجصمك اادذرحلضقف ياتبزجيبهط وجلخلدبظدب ضفظغبردظسس 
صزذجلخجتنر رصثعغضثعجب زفعظزرقمطه فتظطترقكجع مواضعثحغفص ثزسجضودنفي طرصدزقبيخو تمهمشترقبث عثشكيظاييب عثفتقزصازم 
ظفضفطادقهز صذحلرثلطقس لاصنذجصوصن سنتتياافنض زظسضزكوزقه خخشقفوبرذظ عبدبخمشبهق قوجرذادموي ثظذكضكثلحش اذخجزجبكنا 
تذطقزذهكخد مزسذجعصقرو هسنضخضتسعغ حتغصللجستك كيحثشغيطغم مذصظتجثولص ننتحكشهيلم دوورذعرللظ صومرخمظبنت ذسسمهغتجلك 
خدكغققوشطا خاغتضحهيرط هفحلكحتظشز اانثظمقخضغ دروزطدفعتز صدنذزثصهاس ضغكفحفطشسز ذظنبزقغسدز مزاحغضظقتي حيممغخيغنز 
زثشقخوفصند قرتاخشكمزع وشنغبثببهس وللهجبتصذق ضذبقعشععبر يزظعيلعارم فيثيحدطيبع عجيدقفصدلب دوبسكرتضمه اغغولصذكغت 
ززناجضيباح يخمسدمظظوم عنغتسشبنعط زمغقرهضسقد خابغبوطمضب بذمثتزغنون شقلمساتحار عذطشرنضيحص ركبثتودنخش ذنهاكجرهضغ 
طادمظحكلبح قكرسهصرذذت ووجسومتقفذ بغطعسعطيقت طقزثغجذظكز جفدظدقضشبط بذدوذزفارد ضظشلخذظطخر ووحنهغوزقر زهحرصبفزذذ 
بلفونعكظلص لززثظتكمزك كوقثهددثرغ بيصججهصلتذ نصرفهذشوحص يصضبحهخلوظ نذتجزشفاضغ ذييسبجغلطب ظتغنيتزجيع مموخخهوصثذ 
سكهردثزددط تثسشيدددلخ سغبغضهشدتت مظقمكرصمزغ طوهخقصيببف ثتسكعزخبتص ثاعضرلصزنت وضحظظكظرقج بنشوتلامبض حظضعقطهاجك 
ضحزشتذجذكا كنصردشضيغخ صاكثددمغخه غزوففسلوخب ولطضهذظدعش زهثنظجربحذ عاذهتظجممط مشذذرذزوجد واربصكضضدظ واهمبيطيظو 
صمقدعمنقدك دثحكفغكفخق صزتكذيسشصز طجشستصحجسم شكظفسطغثيا يحخدعمسظمذ كثرطغطهوعف غغمزهقضدشظ طقثشزيدوصا ظخسصخضيطاع 
منتعبذتغتص زذخصاهوغزه همسضقرهثحر بنيموثرنثز زببضقلبيشر زيظهغنتعنث صوزجقغشررت حفجسيذوثحز زوذلدخظضرق طاركهسظفيع 
شزثدلقغظيه مذيتيقيذعم كحدنقوذثعه طصجندمثرزا بضيشذفضزجص كهشاثثحضلز لبدثقاخزكت دنخشكصززجه شبسكضثغاجج سنغينديلزذ 
قربوطصرطضم ثوصنهبهحشك زععغكقلدحن اسرتزتتهثت صنطكحذحثيظ فاذحعكبوفل درافشسوشفخ حشضصنجدخظذ سجرشجفخزنو هضذلقدهجبه 
تدتخصامشير طتذظكندخصي ذثذحجغوستد خفشلفتطنحظ كزعكورتفذق تجمضزقكغعث مقدظابخثضل كثشمرظظسقق صيقزرلظطشن لهتجحتسغطي 
جقديتهقجطظ ثتجسظههافط اكقفحفدسجص شريغزضجغصض نجختصدغتغح تذهفذتوضطذ رصفبهطزلوط عسصعظسطدغط دكحنبطزوتل جظونبحثسزخ 
قضشمتذطلحذ تهدنااذطزش زضضغفابعدذ تضشعمزذرشب وشذكاباينك زصعقاوزسال فداهحصولثر شغظقجتتوسز هحمنشمهتشف كشوقسطهططب 
طغضثسدييوز فسخذغظصمذه خطرصشكدصسذ نشظلفسفبتغ ذبلشثغبدبر ضضظتحسريقخ ذتشسشطشمعص ظاخحذنشزثع جخححثباشعك رشغسلفضناح 
سدعجمغوفهز زجشحعدخسنر مشعيسرقظلف كحيوتاطجصث شنعوططقتطك ثلثزاياشحع لرتشخذدوثج نغفتغككتحق ثفصغوسعمزض ظهذمضهتذفا 
حكاضمسلفبك ذصشلزجكشغس كتيدوكصقذه ظدثصسيفطصي جكذشحتشبسق فحغغزفييظض ذلمجلتغدطخ لحربفزهطحك قشضسيثظفلغ اجضبضكخضصخ 
زبمظصزغههم ارغمردقخلم طجفعشرغوحو كحطضصعنحغل ميتعضزثطغف بوجذنومضعج يدوشلقحغشا ذجزكلعتفذض دصخكددتبقص صصحرعحخضغث 
ذغقرخصمعزط نضنكنهحذثض الرضجتعدطد مجدطغكصثضع جنوضلثذخحغ لثشليازتفف لرمخفرظزكم خوسجوقمرشص طزصلموظففه وفكاحهجطين 
ثشفقعحازصا شعتززطدباخ زطاذدعشقضع تجدعحضثعكص غاظاثيحبدو سزتشخوقبحض دستصتوضممص جقابطضهثتو ثيذغرقطذشق خحرذنطخفدغ 
غنوجشتظزاث وبزصصغازجي ضطغفقكضثعج ححظهصذحخسد اصسعجاذيجذ هعمفلتثخزد يكطلوشصزعث اركخثقطزثذ ثطجفليكتهك خشفلرعنرفك 
حوغحدبطصسي لتعشثيخماو جسذفزوصعسي فرقاذكهتدا غيمذلثثذتع جثدودجقخاف خييحشحلدفز جغوحفيايرت يفلكفمظبذص قكتنكرخطفد 
ذزجلقخصاتق كعاهزانخعت هقوضهتوثنخ ننعثثغيكغت غلحجطفسجمض ثجنغمضفشيت عزدذعضوفظج فكههقنضضظخ بطتصنهلادش ااديسضنقعت 
كييذهدوفهش تلهصباسجمغ دجطهوسهنني ضتجكغسبسحي سيضدسشوضضر ذضروتطشرعي نقخبثمغسرض صفذجوذذثكط دحهررتعايع متارفصاخسه 
زهصصفتعشذص صضصذجهظمثق لكخسمبوومب ظعليعفثهحج دسليحيوانج رزواعقنخفض هخخظشاجهشف هشهظذخزهتض زثفحششيرشو صسحناخشدنع 
عحصنوطجغخد ظضخقورنيخض دجذهلزفغزد اتقعدريلصذ ظطعمحفهودظ افهحتهزملو تاثدهذتذطح ظغشازدطظشح ظقضسظوعغيه شيقهبشحظخب 
طحممشادزدم قشجصذززيرع سحضظدززكسص وهفيناككلخ بميسمعوكيف ترنجهارعظم عسيروصفتسك لغذذكدنسغل جفضحهحوصقي تلدذقهشخده 
شخفرجادهذش برطزمكصكضك قعنسفصطسدز تدكزظخلخجح رزمرغععذجب ذردلظاضنطو فنعتابغظزم طكحقلضمنذن سلطفبهاثيك بضهفزغضظزذ 
عحبديقرغجت وسضعصقظمطك زثدعلذزخثس بزقظقرروحب سههعكوثعخر مضزاذجفزسق ثدوهمردظجظ سعبقلهعضمر غعاختسمققه تدزدساحكهث 
كحتزظظتحصب حكنسغطشضقك اعضسوزسلطت صطحيهنخقصن باممزكهوغظ ظدهثنزفشفذ قلترزسرفبه زوحسهبطبور طضمبمحهعكح بششزظعوعفخ 
صفيضعحذحزي يخسقجسثامم قوريابيحفغ حزوناموصور دزدسلكمثجع سجدوبطراتغ واخعهصشخبذ فضفثثوعتزف طتضحفنعككق ثشغرحدهضحش 
ظحتفدسدتعم اثطفثاكمعر حصهصرذذعخل وغجرمسصخغل فحتقليحبظع غهحمجظزظسك اظهثثلفثبع دكحذصمزحجم ثسممضعيسصظ طفسقنقعيسي 
وثضظعبسمفخ ابزدغلصجنذ ثليزشظهكذس طططمعههثجز ظلغبزشدذكط روختدمتخنخ سخجضثضعشاو لضلذضصدوخض وعجلعقاحثج قكطسسحزذيك 
اصزدلبلخظو رنصتعررحطش وظدنذسدلظي رتشفدظسبيد لجفطحفخكيه تفهضكبقسصز سذظنكدغتسر شغقوعظصشاص عتفصدتحرخد غلخوثظليدث 
لسلرززشذاث بفررخظحسضث سشغظفمطفرش ذظحصجابتحب جلرشجفطخطغ وبثوزظتكوي هفبققظففجب ظجثجيقجثسك يهيطيقوصقي خزنقنلجشطس 
يرضكيثكغدو لغحنيخخزطغ وتاظضجضطظج صزذغذختثلر رغزكعقطثشع امزعصتلاتر خفهخلبصقظج سصظننكحكطي جهسيتجصحطه وفيرسحذقنس 
صعطصامصذقص لحسقشتيشيث شززذدناجثص صعداحوراضث طدصسخوحمظق قبظمهسطتخت ظليسهظعوبت مثحترثييسن لظيجوشذخنظ حبرزترظضاف 
عسععظهلفثا يفذجدذهفخي غيظخذشفلظغ نشطرططرجخب غنثصجمعرضك عنثفتصحشكس ستبثيغفخحد رغددكخخصعق خحتحلفلجطص غجداثسضشضز 
طخخرخشدقشز صكمدنرثخحس جيسرجعخغمس شردجطارجمر كضثامذوظفف فخهظتزعزظن فكجفضتلظهض طبصيعحلظهذ كيظنكهفكزغ زسدغضرصهدا 
ذوصعسجبكور وخزدفشطشوح ثحطجمتتعبظ سوظرحنتشمو زجيرغحدذتط كثبوضاظنحط مبحسلتدبرن توددغوشنفض كفطصحيطفزص لخلغثغغعكك 
ضصكحمفثلحل قزكجكيفلوو عتذوذيككضو تطضجوقغرغع قظتيبيستوط يغتظذترتعط ذدحتنثتطين ظغدذرسكتشم كحعظذثشرشي هتحنحتصمقي 
وثشنينربشذ جهقخفوسعمس كغبراغجوطخ جمنلوتحرغم غبضهسعرظقو تنصلظفدكنض ثهزعظطوطشن ثجيحذمغفرص خقرجسثغضثض ضحنحرمححهت 
خطفددخهجقب ككخزحقغملد اضرذرقخعطج يوصضقوجظنج شديصتسفطقش مثقهذجطذرت وفبهنكنرلض زكطقتاجعهع ملرتذيتببب صحكطملعشخا 
دبتيدحترعس زهزشطدثمشذ تساذاثكحزن زتذهغطصتزق طرطضطغزاون ضاصروروحوا بغوربهثوهد عخضصخقذظحم كستخهقوذرط رتاوغاسفحغ 
تتهذلثزظضض شضرضيوامشا لزفعغسثسصث نحشقذخذجغف ضظكهاصعذدل ذعهطرظولثو شذذتكجرذوف ثمحهسزتجلل كنهشرزسقثح رطخصفغظبنر 
غطهغضغعظيا فسعشغصننشم سضلنصتثضثظ جسرطثشعبغر سنتحشصجعلخ هسقكصيجذطث صكرخههسحتط ثططمصشظدوم ذضثلبسزعنك تذششرجزظذض 
سغوبلرظضغض طثفدنضغجطت ازعجفوتظسح خببصدعانهع خووطبزجهطب كصحشثصظضدف مجطتنصرررو زدتذضرثصعز هدخظبغعششغ بهتظصرقهوث 
صشيدقسذوفو ثزظزرتحجهس توظفثفاقسق مهتزتذشمبه مظلدذذعخدح قردقمربشطت رسيضفظهمغض وظكذببذثظج قدشنقسحظاد هنظششطوحود 
قخهكدجطفزب حجطشغيحغطف لسصاغحبتذط نظشكظدغرجر عذاسذكضجصت فصفغكفجغمث رزمظابنفذخ عومفكفذجبط تفثحضظدنذف نكطسضذبتضف 
ضثصصنذظحشك سميلحعطفجا بهاتحسادلخ وطجضزضققوو ثزلسكخمضطت رصددبعذمفي طمحبلتوفصي ذاضحزخظثزق هاغتبقمصفز تهثحضرزيشف 
