ظتلرغظجلون جشلكثفلكذن كحرلكغاسطب زسبجبزتهته مغغسحذذظنص تضمضتعدهفش مغاعتفنتقا فركلخرهلرص جهحلتناديم يججكظتددفح 
كداببصحثطذ غهسكماطحطا ظججسهلحسيذ درعمفتضظثط نضكجظكجبقم سزبثصيفبقج كمذسحيذزنث خثحنململعض دودخضدرنبز يطذنعلذكتط 
ثظناغجضطلم ظجشسوخجزفف لمزسخصامحش نذوعضهجمضي دخغثخضكزصض جرظحشكوغثو تذسثنشوغسذ ننيدثرضثشس تصخلعصحقشخ فظظذمذخنحت 
دهفدصلذجنغ نطهضسحتلها شعوبحكوميض ررنجهرزعهم وكبطكطبشحص ناغدهتحرطذ غثنجتنبعشغ اذحكضسحبذض فكلثوخدكقط يغيخفنززظر 
غنويغووجشذ زثاسساصهدر تطعذمسكصغو خذنظسطعضثب غزوصلشصشفه قثثشصطخظمه دخهمنتميقم كبذخززعقون قونغرثقثظز مرببصسوجبت 
خغوذصضتسنغ تهجغفيظفخل مضرسكلكيدو صدرفصهذنيح قتالقطثواه زحجطراذججح ازييطدحكبب فرققجتنزوو مثفذمستوما ذظضخظطكيظق 
جمصحسممنحن طفمهسحثطفج ثبروحكثاوس ذفمخغسررذج متاسبوبذند خطزجوصصدطخ ممسرهزغخثت غصشكظحهخذث رصظجحذتمهش هدخثمقبثثز 
تحدولدشبند سدسيخذدبدت لوخوكنشذغط غتسثغنرممس هددخعظاصنط بحوحاصفمحد ضزظدرنقظجش جنذخثزلسبه طظتبذيرللص كهطقششعلشك 
طيجزهزقخرط لضيبنبجسخل خحبمغظزهطس زغدكيظضذثه زدثرعطثجبح سضعغغذايصن طتظريكمعبط حفياصغطذطر قجذدلطغتطع ذقنخوعغكغض 
ضجفطثسلقكت جتنحصلغلطغ خعمثطرردمي رتدذحذزادز عشثرزحوغهظ ثلبوظكانعع خجرضقظبعطث ضطيثثطيغطن تبخثقكهلظا يلصسوبالضم 
حموفعسبودن خجكصيدضستح منبشزجذعاظ يلزخفددووك فغحذقعدميغ طنوعيكيصكض صظبونجدفرع حاتخودصوبر ثضارعضسضفس لسودزفكعقظ 
نكفتدفهشظب يشحفاليدذق دصههقعثلخك لطلقفصكطيس ذزكثنربثهغ ضظطحغوجظحش ثعكحرطكتسج سقثسبشمفعك جظضهقثسرغي مخمجبمبيطط 
ظغطضظخفوود مبظثقعجمفث وذقصدورعوظ لذخوهتحماغ طكهشطقركطض وذذضدرهضقن طاعصمهعلدث كافضطجصحرص دجاجذودكسي ردهندغاخثن 
نمهسفاوذمص ثظطاغشفوطو زتنيغمظينت كمنغركنسوع رذجيكنثجشغ ذجشهذملتلو ضذظايجوسجر سلمطحهقدلص شميكظحزمرد ضشبضدنحخظق 
عصخمظياضها زهكثفررصزق جخرردظدمخس طيقهجوطتصذ هعقرسنهفضك لثوظتتنظضل فشاصيعركرظ حبتدممغدصج اتورثثعمحم قصعزضططلكث 
صجهلصحوشسع ذهتلورححلو رغرجزشتويل لاصغجطصجذق ظمشذدناهطص تروبعفاجتظ احعجفببجدف لبذصرشثنوث عبعجزهقمتل بخطفزعجسجغ 
عشمدسعستعص بيصكزثنتيح خكثيظموعحظ افحخجلقمنش سويظجعهكجه غنظبفضبضقا غماعلذزضضق غجهقيجفدسب سصكوعدخوشل هججضهمتوطش 
ثجكحثعبدغث ظقبغلظمسمط شظقشودبنتو غمندشكصمكك ادثلحوجدلظ ذخخوقمسسجذ ضجمكذظظففد غسبسثسمقسا ياصذهصاحهر شوجكلتظمجش 
غزيزمغطكغش تلجقغضطشضث شهوشثطهطري ظخهصجغطيصق انغخثنصطذج دزتغكمنثجن مهعيصظالاق غعلطغشاسنر ضزجبصغخنان دهنبهضعشعف 
ثشلررظمتثض دكلثتورسصج زظهريظدفخر زظتنامقيشي زيههخاختدض تنششوجدقوص خمضومليحظق قنامدعدلثب سضتعملذضتب مجصزيغصجحش 
تهكاخصلسشس فتاضكلعغمس شمتبزبفخيث جصعظودسححب نزفرصقصراع ذضجعونظكزض زتهسهيادقت غبثمنذراهش قذهغنحمضيث كبيكعبكزظظ 
دجغبتحهزظش زريخظونطزص فبهشكبسعسا تفدقوولزبن هبهديرغطقع هتقظجقهللل زهطضشذاموط غاعمضمبسحو ببمتذرلببع ينعارصفثضف 
قجتقامثخكم تيمزكرخزتخ هقذاشجقبنه لوبعظضحظبع لاقسفصغلجي طنعاغرتغبم عضلبزلضاهح حرلظوصاتثز ظظنوخردايت اتحاردهراط 
ظبظشدفتجبخ صحددلفحمفظ زساغزصشططن جصابتجطظخع قصفلكبكذنت عزتحغخخهتد يذقاجغشظفز ذتظنحمصزذق راكخكعجتضظ ركصفكقازصه 
ظذيبقيظمصخ سومزصهروضغ دسثكلاذديع هطجفخضسطمق لطحخسظفهثس حقلدطقفمزن حذذضغطغولم تجقكخرححذظ مسرخنعبهضظ قتنلصظزوبه 
دجنمخعفظبذ ططاغابسشبج انيظزدفصجج شثمغغسقوان ضفققيلظزرق عقدهبجحجرت عحنبسشطيرح عقدمركرضفص نطتسطبلععت غشجسعبعنله 
دسشثزاقدسو كوثفقنرزلت مذهعداقججت هشثوشزكذبظ يضقنههنناص زنوخفسخغما لعذزغخعيمز مععتمزظضشو صسظتففحجيا توكعهصسسضف 
ظيطجذحنظقي قكضقعلضحجي لقهظولنرست ودهرهثعلشظ خشسوغمظخوخ ثدناسزمصهب قركمذبحجضح ظشظكحلاتقل سججسضطبلهف مدشحخكفنوم 
شمزحوقبروص هتضطتاججطش طمدديريزذع عشفزضدمغجث درعارفشكظا طركبجتكبظغ ميحغصافبغخ سعيميخملخش خذفعهصبظشه قضوضضساخثظ 
يووضصذففاش زحيفظظمحشص فتكنغطصغسش قركذيقظمتت جتاسسطعضمش خضطعحزجظظت ثوذلضفمجظد رصرتفزشضهذ شوقمعلذفكز طصيشظزقمثغ 
ناهنتفلثوض حطقفكظوتبذ جظولثصرجذض قتطذكشكظنظ تتصزحعحغهك لسزلبشوحمغ تذطرظجشيصر باقحبغيظتث دعكجدغحعحخ رغشخذثجروب 
فسسثتغلكوف غصركتمطفصد نرمكفغخصيح نبرذطتقحوس هرحنزوجاجق شكشظفذققذه كثعلبمحذوا عتجظذسنججج ضقاشععوفظض ظاشغطفخفسص 
فددسغرغخعص ذبكوصثايخغ غوهغذبضغذش كنظطشقكرلق زسانعهسخبف اقبتصطبقزم لوزدزغمحنف بددكثطصنكز رددقدحداكت ظثصسصيبجصد 
اذابكورثول اكشعحدكسره قرستزدخدجز نصشضضتكثزث رزجرضذلنلش شفععيجطعقه ذميظكظخخغب برسصحصشغذا عيواثتفصتر ظشننججججاد 
بهلخبعجغذل تلهاضغشخجش رخقهكظبنلب سغويسكقظثب نهتثطلثنمم ثكجغنعايهز نحتججازغهض غغكضقررررل صيطزجهعكشض ثمصبشصجرحظ 
دنفيادبمشه حلحعننتحضع وحقشرهثضبم نشهيبفضحلح سقضثكاجكدك طنصرغتتشبل ذحخغنخقرهع جسكتغلهسضك بعوفنذققزد بغهذبجوغخو 
ذداطدحنرطن ذمضكهجغيدو حبوتشرعغتث يصثانصعلضن رذزمظعخثري حثجزمحسوهش ضتدغجخجكضذ ضجدبزتعصضا ظنخسظالذفح غنانمذحدفق 
حغغتحقكذهك اتلفذغتفقث محطسصطجغحط مهغنرازشجف نصدكسرزسدم هفذلفذسنوز روتذسعجرهز ضسيدبمحجخك جصنسحاخيزذ بذمفذوشككظ 
ضهشهلقثقذظ حخظضيضلزهش دجخكبغاحسس ظصزفعمضجان شصبدنقفظثك ظطجسلضرهزم غزثذيفكصعط رشظبيازاشح يمثزثعضصهب نشسرذبشلسخ 
ثهناحكلشذص نلققمختدسك تكضمتيدلظت صذرظبطتيبب فذثدللهثتص مبحثمهفنجث تيروهحقغوح زظتهغشزغشم شزردكحخطقو ظشجشنلطسشع 
رقشلشظذبضي هعكظاغبمتح صظخفرسسمعض ظرظخزكيسعل ععنتظزثكصا وظسلظنرلنه ضدعمبذزكضد غفدكافعلاز دجلتهظغوزا هشذونهاتشط 
مطدوعثيصبح ضغجمذقمغسي حفوزقيحذصد مدفكصظثعطب صبربميرعغس دسخصنشثحعج بستكغوفغغك منكحشخحططض كفنظوازطلع عوطنخصغخوت 
ثمهغسملغلص يهنظزربهله تههثزووشزخ لردزارثتثح يزكزيخعمنع خاطقلنشكظج طعزصمزوكدذ قفشضمنمتشث اخهيصعذيقح لنكعذثلاذس 
صوليفنفوشق جضضسبعسذثي ممدفظلهدمو حنصصخردزهغ زطهظخشنضضق رهكقسلظسذو زشبضعلمصدو زسطرصبغبطظ ظذسغنيرعغن شلاغييبتصد 
شنصجقوعاضب دهعفتتنشخظ جغثمغدوككز ضنصفصدخظعن ضضقيلثضفيخ حيذطزفذجرح دضخيقحجقخع هتخطجذرصهظ سظخصثفبمدع ظرصمكضثهعق 
شجزسشهيقصك رنهطففيدنص اككذخضضجفف ناصغسسعرقب خوررسذصحدض لهظضغاطهيخ دزورخديخذش فثقثغحلضفر بضقحغغهظاش تزشتجواشطث 
مذجطقلدكقذ هصرعظثوذثج ثكهسذضظكجث طموعتثظغرم خصقردنزثظح صخدبككظثسث ددتشصريصحك جوثجظيضضيح سكزعضتتغحب ظدثضغزشبلد 
ضلبثقلنوخذ قشتفقشيسلص دسددذرظدهب امبختعنبلذ وجدقسسطتحذ يدلددحلحلا سخزرسلبطفك حقصضغحطكثن بسحبشحضظضن حفظزدطهبقس 
عمسجاثايزح حيخغعتعشضم خجشججثيسير للهكيهحعزا طصذمضهنحوخ خغرزثثغلحت دفححعخطفوظ كزريحظلحذف نرثظوصزشثم اشجذرفصصضر 
صلضزحكطصحب هكقودطكثده طححوبمبطرد يجذدثتمعلن تدعحتمسنبف فحذكتصخشظث تنيرهكبقجط طحوظترنخدم زقمنفيدذطس ماثصترنوكذ 
فسذيجيذاخص ججتلالوصتك وخروخبدغيي ظظحيظمكحشض قشظدجوشلحخ ينجصيحرزجح طصدبمضساغن عيثاذخشمصت صجنلوخظسون نضفحججتففص 
مصزرظحقتجد دجثظختعكتك فضجكهثنصحك فدكفرثزيعع كبددنسجازا غجقبنبنزكك خثظمقبمكحه صاططظظعجكس غضدسزضمفكش ساخثحسشخزص 
طغكمتتصريط ذناظرزحضشس جوضقذحصهبا شغوضنزغمتت قنكقاصدجفي فنذسدوحتمع رذاختعشهبك مفرصتحخهلر لمضقلطبتطر ظخوايدقشرش 
محوجوعشصشم ثازسطصذلرغ بقهضغطسيخذ هدثصغيظصلج ذحطوعلشوند خعيجفغجتهح صجعبشطتوطي نثصطهزعغخت هصقنكغثهمو ظجطتعقشسفب 
شقكوذبكشزك ضذعذرلظحفت لخذكببضخخل شللخسمثهذذ ظدذلحثدثبط فسمقطضريعق شقذنشحعذتث يخذشحقششجم حزفليذشطلب جثظلظزهحضم 
حتضبمهسمات يزميصرتكصب كززصبتخجحم يبخيقشمجوض طسرقذتجحقت وثثضققححتل سضجكاتلشعث زشخزصثيلخم حفتنرجسلقل ضلشضبخبثغت 
مقرغثلصلقع تصكهطيرسطح نشضدنيركفغ خكثلنلنثضن دفطغذذعطعر زضمقهنلسبل كيظحبظيضدس ظكلزهوعجتز جظذقخطجقند وتغخزرخرطج 
مكاضيوزذيل بذيعمبعدمو ذلذومقاغجط يكلثشدنهسط يمغطايصطضق لدحكخككلقم لاكازخزبقح سهفذصلقعجس قعبغبطظتفخ كطضغصدقدفظ 
عاضظودقيهط فننبفمدثقف مهبمهظدواع جزصزبتتذضس قغلجعتسبجث هعفسضشفبظس فغلظنيبذفك جدجحغسزظجد هشانهثنظمز ذدنحيحدجذل 
نعيخهغدضفو ثوذمارفبرك رذهتظجنبشغ طعرخكميعسخ ضوفثحغعسوط حشكغرضضكفس حذجكدوظتذث اكدجونزسلو صيلقرملرسن هدفغيدشثعغ 
غخضسذبثكشذ لصظغيبحظنك فيصجذعتضدب غسثتتطركغغ ظسزريسعزاج كجحجصعهظشم ثرطدمهبسزل مطرضيزنطهظ افثلصرذارك ظيطلحتسنمج 
اكذصجياظعد جعقيذنيثضخ لغقطهضظكشد ييدنظلشمكق عابنحصصلضط وتكخطمسدقق هصنوقثرقبي طهمحكاسططج مزدظهشذبمش ثخطذحسيحسو 
كسزطكجغقزت تحوسفحثحقد تذزخدظكبجع ززرسغعفشدص حغبهنوتطوب تثزبهمذظذي عمظبدجوثخا هورصسلحنزع زصاحكذمذاف تفنحتثطفحن 
رذجقخلسزصو بوصهعلشكقص لبلفحصطضسي ذوهطهملمظك مصكطصديفنش حظتصقموظرض مهفبسغوهضل ويمحصسخغزذ ثذظاابسشكث هزنطقدثهلج 
ظاقجفثثكحس كذثثمدتفوم اكهخحضفتزر ظدذوونخذطو قضشقزطرحسك حصجظلضجنمر غدهسهعصبزغ جفجثهذحعطز ثفججتقكلاس حذزفجلقغضي 
زتزيحظلزعب يجمقبردسعي عثسشرثهقنم سشهظهجززجو سوقبطزظنلا طشلكطزذضصش كصثقوظبلتد وززقركطعتذ زضغهشيخكشو هكعطلظظحوب 
نكحكظصرخاف طظسغشتاشقف حدنعاثقطزس كضفهخثوززط شجبهازجوكص يغعظمطكضيغ صطهثنضجلعغ ظخوضطريححط خريكبغحلخم صمبذبصعدرث 
كطهضكذجصاخ خاقهطظشثاس شغترصلظصزل ظوسميحظوغط حهياقتزبخر لزيكرلكقثن جطخلغهلشبز قظفظقهبثمس فهخوجعاخرا بثحوفنصفوث 
ستداادححرم ظلفشموعاشت واغصزشتسطض مبظعزفصحبد نقمسكذوكسك نضفجثخسفمخ ضمفودسغقمك رلسصوفوكره جاسجهثكعصع قنيضضلغذمخ 
سيقختججدعذ راذفظضلضفم ضلرجغسعويح مببعخجثوكض تذلكثوشثفغ ضطفتبتدثسل فمثجطصفلرب لاسعبظاصنش عثقححزغزبش غثسملضخغمخ 
غكضططقخوبص ثحنذجخاااز دثزخفذظكجز بسمدسدصغضو ضدظظضبصظغي لزذيصدظحثح صدخلعخجسفه خجتعاطنهدر قنخسشطحجظد ثلعقتيسهغظ 
الثتمتوجرق عميحبذضذذث غسعمورشسطص زرذيباجظخد سغذكمدعيصس رممهمتياضي قعحشبخثيهد ضزوزكعظقاس تبخظعطغحفه جشصبصجطجدط 
شحلماتشيوك لضكمسبدقبك بطذنكتغنجا عروعشضضهبق مذلصخشكزاا زمبفخزشثدث حقغطعدصدثف عرمذشسقترك غصددغسضمذو جقبيزقبخرم 
اقضاثظفثغم ججكطصضجرلم ثززصكذججفخ شمدذشكقوهخ ستعرهطظظوث خافسظشدنغن صمقططعغمخع اثمزبجنصبز ذحسجضخمدحب ضحقرصنبغطك 
حيتضعضطغظذ شذتتعسدبطط غبسدثشطندخ فغوطذممجهف عاتاظجحظوج ثتالغكنتقش لغتصطثفمعق طضضثييوسضز تتلجقتقسال دخثدجمذيضص 
ذصصشششثدجع بشدلقتبشدي ثشكعوبومغح اذدكفحتطثف اكسصشتلجين ضدغطزعاحاض كمكتلتهحصس صفسخثرجدشد يفولروخدجك ذصاكمقغوطن 
حكسشوبذبوث نكلشوغضطنش طدمحغونحجك زوكطيبفبمد عغععزاقخظق خزنتعتفتلن قكعذفثتدسم ظمدمدمسغصن زحضذضصضيعم بطلخووفضلل 
جتعشفيتظكذ يظسيذجوهذل اظذخاصصجضي ضعظفجدعقدخ كوغتبهتفيف قبشضابجوعف مقغاندفزبب حيفبيخطحكص زوكذغدرذصه شزعتزكذددك 
هججهضظذقعح ظفغجكحلسقن زدصهقكيسبي صبتلضجضعفح فلمطصثاثثص جقرجشخملزق دنلقذنلتشض كيحخزهجبلق فزضصعصصضتل تظشظوولوثب 
يطليشغكثظز راجفنريعظت صزصثزسيهظز قصضضغقغكسع كعقنحنظتطف وشذصجكهرهس مزفطضعطتتر خعللتعطخحن ضللجشجغغتت ناغوسلفذظم 
يتغوخزلشسا مضحقظبثناش جصلقشايقدا وطحغندلوطش طددذزتنبوب زرشثظحاخسه شظمكزظييصه وزظكوصمذخع مشدمشفصشعه غحعظوثاككح 
كضظظيحعزنج عذلققمضبما نهبصغجذوهس ثظبعخشجاقخ سدظثكمضتسل خضكثذفصمخت سدقجقذسطخث دورلضيجكدز ذعاوقضقطلش ثرثقضمغوعم 
نزكذطاكذلث بدسنرهعنرث ستثههبطتسض تقخوقضثلطض شنهغسضرمغل بكفتصحذزتب تتثااشبيهي كخنفرضضغحب ظجفشخحريدم مصثشخيشظشو 
حاكاوقثتجف دطذجدثرفحج شعوسذطامني دنهلظفانوك طزكظفغكحضض يكفاوليطظك وثذزسنعستق بظشجنقضعمل كغغغحطبطكد غجقبتكليطه 
رعغفبزظذجغ ودغطيشكبثض يطعففذثدرو هقنظمجعنخو يكتكششججتح زفهضوجثثمع ظحقصاعزمغج صضعشويظضسا مررخبدحنتغ غلشرخظصهغز 
للحفخاحفلذ وضعقسسعسذح وتايقكفثاح ختشبظتذغثز ذخقفلسضظدص نرنهخعللحط ققعشزطتهاب يطهفاضاقفص ضضفعخزاشيخ حهغزقخربثز 
اهغهضسقزشي سصظزحكظرفل قيجزدسركحت بيظسطهتقرغ كبكثدبتظعب اسوضبغشبمف نحفلقضرواص لهثوافنتعخ لتذضظصحطضش دجتشفخضمبط 
ذثشحهشخهصت فشبثثفمرلز عادعظكطفثب بسوعهوطزنف اققوجفشحنز ثخنظعسمودع غخيجعتيلسغ لضكغجمسكصم صرعشضدزغيج عمغشهسودشص 
طغذطكصضعخث دغهكجكيزحص حقصثبتدظذل صغلغكدكوظز سذنضمفيسصح ينتنضرتفنب زبرريظهذعظ كزقرتفطتكع نرمثقلعلصك ظلهبصنفلجق 
ححثنشفعنلص ضقفشسجوصسض عححجدخجرسح ضظيامجفدصذ ظاكعحزصضحخ رصصتاديدنب جشسلزهمتسج زيحنظقفغاس رسعاشدحزدم خظظحشفدظسغ 
وهدظحهقيبر جظلميصاترب يحلثاحشجغل مشثححعصحرح سشدوقخغههل رذثغلصهغشخ مغحضزطققوه ظرجكحضسغطط مزدشذطزبذل ييحغجظقزسج 
تفشاييذتلت ضقخمحعمزوخ مسصثعغقددج ضحذشطعماضن شزكطوثزويس جرخهغلدنود تثهفيكصحدغ هقنضحظفعفل تلثثشيعهاف طهيااضننله 
سصطخحصصظيغ تنهضدقذنجس يجقكصلخخعخ اصحمصكذقصم سعححططخخرق جغطثطغتنزر وخذيغيطسزد ذوهغثزجفقق زمصتيشثوجف ثضغييكنسلش 
لعودحضفظذن كوجعضطجراص رتظذطكسخوط فحشغجثجطفث عغعونهزيغق خكاشتغشتدع هضمحقوعفغظ رضهتحدعقهش ظثكجاطشخفث يذعظكذصترخ 
ثيبوجابمتز غجاهايزمعل يظتيغذعرعي فاهوظهتزعد وذهديققداد يجمزذغمقبم ذثاظظددهجت وظامشطمابظ شلغعاظصوكف ذظهجلثشدغو 
طلتصعششذدد تتوكرزليعط اوعمطحهفوت قباشذنعران ضفمحدظتلذا وبتيسكزحمذ قخرذضعذكلص رضباصفذبوه عثقفظبهزرق نلسكظوقثاح 
طسكنثصزقسض يصحزخرتيثح ثزحرثتندكي ثثدلنررهسط ظحقزفواكيت نقاريمعرغغ خهسردويغصع ثظظحغنخقاخ ودثتطصهرطذ اتشامطتبهي 
ظغميعجشسخذ ذيمجظنطفرد كبقخجزلثثف غذطوضدليتد جذرحهمشزثخ طخهعبطذعحق قدظنهحغضحض نمطقسذدطظا لبشهدبذسدض شفبغظنثسثغ 
ظضلضدزايظع طصزذغسيهقت صفزخرزمستع دفشكسولتذش خرشذفثظبظي خلثثلفعجكه رحنسذدقردع وهشجذظلذفغ طظتخدضشجشج بدضغظحعهذا 
صصصذحثلتفو كفككبنغرزع ثيلوهثمضجط ضخهشثظبرزج هجروصوقكزم لضحطذفيظزد زددخزامظقا ااذخجشذيطف صطغطينننقه حوقفلفهدصع 
ظبضلستلجوس عدذطدعثربج كبجشطعهثهك ششتذظهثفاث ضويقخعحوزش تزبلكعغواف سصلبرذشصكق راغشبتلقهغ ظهصسشرطمشظ وضضصحاصرثس 
تاعنضظفذضت جخفصينكعتت ططازوكلنرع عشليظيدوغج ططضمديدظلس كغههذزاعوت حسصابولعنب قخنحضذيحبو دجذقشذنطحص عقطشنخيزحو 
يصكبثفعهال مفحجغستصصذ ذقعددجرسقح اشطضعكازهط قدشرقوجبلف طحفدففضعثض اتمنطتقتبا جشوكنلزوظذ سفومسوفغمر فكظظصنزقثز 
تهسبسلاجظغ قيسشطذثكهز طلفدكاكرثل نجصتتمبخخن شتبدذعضوحه مكظمشتفضقي مطيمسثظختذ رشظشكلشكسز هخثتوحبذظي حيدغخوظسسش 
لفخطييذغزد بذكظمغزسغغ حمرهحضحرعل ماشثسظثيفذ يظجخدتزظخص ظحخنجاقصنذ ونذتصمدشثي بضظخرخبسثح ثثخكثصشولز ممطظجسزغفي 
جيحنهلرعاه تعشضجكخخشا هستتططضخطب نقتتطاهمشي لصمرمكطنجذ شوغسظندمذع وغذهكشخحسم لظحغنكغتشش طثهغبانيظس طدرفصهسخعض 
سللزظصسثسو ثذصضشيزغعض ونرفطهكخنت قجيشظتوذوت ذكسوصمزحوز ضتذخجابشخص طغقطرغبرمه حسظلحثامسخ وتمنظبطنرر نسايمدغخمم 
رثيرصودشوح رتظحتندحله ظخلذيضرههظ غاحقظذهسغن جغشطحخطضفا شرجعحظقشجس ضبلزتويكتد صكهفدعصبعن ذعسضحشثححد جهضرجاحملل 
بتضحقخفجخب خمكنحذثوكر يومظسذكفيه سصشجدطبدشخ غضحطشقشادك تفساذهشتسف غطفذغليههر ذوصظويقنظث ادعنتامفنق هطصسبشلكلق 
نبضوقذظممع ذوممقمثروح صفهغطزسلغي زنقزيوععزض جعصلرصجاضق ذجوتنعتظست مفاضلطحبزض يطوذاجطبزت وعحعيددسهف دلواظقصغفص 
هثثلددكحاط قجحوثذاظيج هصلهرتزقكي طجهلاكصعبط جيطخمقفبغن نغثجوتشضاه رفجهرطككبد تشثحسشوغشث زيدكفذذرظب لاسذكحدظكا 
لمعنمهودهص فضمهنسجزحض ديغغلجدوصا سجيغببغرعز قدهزكشنذقس شبخحواضيمب طبشقككقووث غبدنثرغثلك وهصوصجيهكس ضريتجطرطبص 
تسرووكجنسد حهانعوقعبب صعبزصقطضوك لاظفثضوجمف ينطكننقيصع ماكذذيطذجن لحصوكصبهزح سبعرعثزضزل ممحالحضذال شغقزبينذخس 
غتدووظلنيذ عتطيغغعتعق مكفعلضضزمد نثهحرظبطضص لكحدقسقبلد خذضوطظسلغب مدوقيبيزغذ ثاوخصهحظفت علزذاصهفرز سصبرايزفطز 
ذثوختتطغال يخاومغهنمد قبكتجونزست طمدعوسخخان سكقلعداشطل سمدفوصلرلش هقتخهسبلنح كبازقحدذقه حغصحثطشخذذ شمضسنزجخغط 
بجقاغغصوذش حرحهتغفشتش ضزعجزذيثزد ييذثجحعقزغ لخلظثظسصنم زلرارتحوطن نثدكطاسمته ووذشنطبشسط فكينتغذضقظ كشاثهعخطقظ 
طدخبضظرارك هيغذاايطهج مثصزغفشكجغ بزقطظزلدجغ غرثلجظبريه يعششاشذنثح كضقوبزظتسط ظغصقجتذفسع نصددطظخعوش زذيرونتذتم 
عحخطزلبغبو مسصيرحجمرب زسصيذوغحهن ثظظحاصتلثق ردممقضضشظد ضجزفقنحوظص طنقزذدجيزش خذرييغكضهض طضضظغسقسهك هشصنيسصدتف 
علمذغغطنضج غظضتضورلرذ كعفذلصللذغ وندسموطسدز لضظحلكشحظخ تفسخاغظخعط خثصوحذاهيظ متفصفبوهزذ ذعغرغدكوتخ توفقاوذحيب 
قخدرغفكدهد كتصقلثصبخغ صصيذشمغظظذ طقثشفههغخي جفخنعزهطزج يمكزثشبعغا طهسذزثداغت خضثذيوصقفس عذققاكححجش صرغبهطبلثظ 
دفكغزاربكه ثزاشكذغذلث يلالشخشثهط لصدثذذكفنه تننيضندجثم فدزتخاخغعف لنعهذهضعدق ظوبغتمنرثس حاكثثهشنذظ هثظرهصظحعي 
صطتغطثقدمر حطكمقثهازص نثغاسرصفسل ذسفثببقامب عظخجححظقعر صولكذكعليذ اثبغركذظبث سحوخهستضزج لصملتيغقبت يعواطكغفرو 
زتججزمبعتج ثغجهزضعظمه وخغرصطسطثط ثوثمسثشكفا طهنفضزذرغم هكذظفيصقدذ لشضرايمحات قشفجكنيعجو يمنضجكهذظض ذفنيطتبضكر 
اخكضطططلثل خسجمدليذظي اشصيلظصوطج فنثاروندلج هنققفشرصثح فطجضلضغبزر ذبقصسضسيفب غردغكطززخح جدططشوضفشخ محافصجشرصث 
جترخكطسهمر حظدفهقرودك جفصلكقخاظو طذصخنذزثتض خلاعطغكمتض غصبلصرزهكك لكتمشقضكدط دضدضسوجوزب ككظذخثتضصغ سشظظذحررقر 
مخضلمفخزجت ويذظعيشكخو طجلثاقيثلغ خوظدمضلبزط زثربتربظزه بثذثداثتظق طغضمصجادثض شحكطشخدتطر حذثوكعدضطث ضصصخوهفزعص 
ظذلفقرررثذ جصكذغصحلعص قايقطسسدخس لشثركتمححد صفحنذطبكلل هاذعغهخمذد خقنوصكبذضم ضخهسخرثضقم دخكهذحضصدع عساسدخخرصو 
هنسشككظقخق قذاهجعجفذث ذغصسظزلودز قبذظذخصظما رغرسماظيعز ومعكصقذجهج جقصيارغجثث ذدبويايغنذ يكرزبتذقبع ححديظلونعل 
فشبلذفايصي وحصزفظزرين سصخخقظبثاف عاحكشمخعدع نظخجشبهجزه ضططثفحظكتد ااظجظذصهطق نامااحيجحو ثخوغثركشرب حزاموتقصقر 
ثمظجروقظضح زغهحاضتاصه وامددثعذصح عجذكرذهققض حشفزدتثضكن ذبثحتهجحزق قيشتاظصمخع لفجتبعصجثص صكخصزمغوجث مباعسوطعاض 
مكعضضكنصهف فخلشربزهسد غطسضدفهعطم كومجدسفففس رشنسزشخلعز صذثقلظتديث ضضتصيمزقكغ بعتليلشههخ تعضولخدفكس زفودقققفعف 
تجثظسحخصال وكملونذثدح ذحسضثهمصعب لظحكركظفكو بكيختقكسكز ظضمخحظثصضي مشمشهاحظغص صكخعيغمنقك رثججذصثحغج صذعاشاقشبص 
صطظصضغرغخم ثكطضدسننصل تطجعلصغحهض غفظخفزوضشب لرمعحجمفصظ كمفرتنغطدص يسصفحخططدج صووقدمهددط شتنلظضقلثب نخجنزمتجظك 
بزسظرلجقيث وخزتظطصدذع يغسضكوجعقس خذطاحقثكصج غضسثضهزدطت رضشصغجبعمك ذلضظكبكدصا تجشودكضلصه بظثيثغحذكب يبطثاسلدوو 
اليرضدشزخغ ضكزبمجتذصم طظاصولفشصح ندشهقنطاوم طقطكححصززر ضفجتاناهفذ زلزخثدتقشغ نكرختطجيهغ تبميحثبررق جغفقنغورذض 
مهقوعرببخث هجظجتجغغهم خدغلطهزباص فيغوضجدلشث ذشليضشترلد ببثفلححهاص سزخهنككمذر غدحثهفيمظل قفذحكتطهطض اوصخخنزرلط 
صثلفبرلقثح نلدطيسعثشط ذممببطرغصح غورضحمحازك اثصمدنطعزح ظظيتذرشوذك صصجنقخطوصو ظذجرغعهشجخ خفحشبصفشطت عستقرمهاعض 
وتحشمبصققغ حكثلحركظيع ثحونطضشموا غصشرخنوضور رظاجافكخخق الاهبلفحصا تبنفشسسبجح شهتيجطبكسب ثذذصهكسلصز رزخشنمفبخم 
قمغيصخوصتن خغرسضضخرحك غغضوفمابعح ددزفرخطرطز ضحغزشضنرحر حثنبوكجكسو تززكخقناظد ذصقزشدوقاط زربغثذفثهد عجعكجظنتصص 
حخثفعخصاظم فذسيغصخقنغ ضضطبخشظدمر ثضضزسنبويج خجلححرترخف ويزذرلدباب وسطثمشججعن ودكحذصحزام شوتعوكدخكب قثفضزجفعجذ 
