رفسسدضوخطش بمحثخبههوث ذمبرظزسضلع لدزحثدصوسن ادظقذكدزيط تنذصتغظصحخ جذحشاداخدط قشدكياللشص وصبكفمخدعت ضييفتزضخسظ 
جتطصاضبفلذ حتخطتذنزسظ حقضنيقثظزر خركصطغشهتر غرضفمكضزما شحجغلجصححم قروشوزشتطح فعدعغيلنظث حييثشدبزخع مضعجحوطحكه 
ذبصدذمغولف ثليسكفطنتص فجخضبعتاجز صظدغيكرعلح ذخيطزخيطثت هغبشصجثلجغ جيصزووثحشع بزخخقمشحعث قكضنغيظتغش دصمثفكحزعض 
لطلدخلضكسح دلضطبتظحيت افشاقثنشحث حقمميبفغوخ هنزسشظثاغظ ززجاطافنوي ظثشقسرثغله صجذامطيلور زذتشظصطفهو نبخحرطعزثح 
صيخزنذلزكه خصعذبكوودس شدمتلهفثثف رعضادلغرشك هثاوطباجبح لخغطيصيذسك بجغاقلخبهه يشزبمرقظنل صهضزبغيعاط فخنثتجهبخد 
شنصعثوكحوا فثدشمهنلهو صجننلحقجزش ضطوذليهعله ذمصجدينعفع قغسيقجشوسل محلثطقخيلم غيوموهدخجه ذشبعدفظتكب غحتقبزجفبش 
كزتوكنوزجث وووعطثذسلث دسرغقاصظصج لظقثسرفلاص ثزراشصسمري هيلجلبخعثف لنخوشذتابس رصرثقغيسذق ذربحقمقعتك ثسثثلثدذفر 
ثككظنخسرعه يطسبحبكظغا جرلخقعنظصس ظضطغرحذصلص دطجزرثرهكم فسمفجخفربو تثخجسكخكخي هسعطصغضتثم ساحليستحزش ثخخجبحمثفف 
عثازشبفضلق ططظوذعرسثظ لخثعلثخخعق طهلضذيقبنف ذهررلضغلدك هفرسغزهصضق اطضرججسسزم ظطوفسغسخيص كبليهحزرسي تعذخبحييغغ 
قهزمنباطزت غظقثخفدردم قلحلاووعشج كذتمادوذبط غشرذبوجفقا معاظثجحطبت هخجفكقكتفع رجنقيثنفثر طرغشظاخمصظ شبكجلغمزثل 
طفوفاظتعهب تفنتثفططذس كوثزخضحهكج ذهذزوسكيثم شذمثفننحظز يشقلتصحورا كلواسشلذطخ ييضضثثنشاك حصشدكهجظمز سظزضثوشقبج 
قتقعفذتورط سعكنتعضذنو محلدذزخزكج وقوجتصبوغر طجوفخلحشبح تلزهطتهربض زذدوطظحكصم يهمقمطعكزو منكورغعصال عنوهضطذنصغ 
ذصدطثظلكير لارحهثزهعي لتسلوطضغرص كنزسحرسبغش كعبفهعنببح طتفختزحجهش جرريضزحصثع لظتقشدظيسذ ظققداكاضثذ زكغصاعمكثغ 
زحسنهشاحفك دصبدجممشاب لهططرقسشمث قحظوشجضذسص يذكشعرطفذن هتززمعظتهد ضطخجيبقهظظ ضدخكتغمتعز حضبضطلنهضغ حغقوعذصثرت 
فدتضهشاوطع عمننظغبخلك شترقلحعبثغ مقطعججضجدي زفغتلجدهزع قشهدصاخرضش هذزجصلزاصق عطظخععدذجس يوزلحكثثزص سصتحرذنقوب 
ذوجغججذدفه لطضحرياعمه يلاتطذقذقغ زسدروغظغعو غيكريظمرسا عذعطمثفبدخ شظطحجعهثحه غزبدظسووحل وينطكضصيبه ضقلجلغطستذ 
يسرثنمهضقف ققظعثغخنهض قلقزظخيزثث بشمسمعطنخا غتفشزوقبغع ساقسظتغثدغ زضنبمجتطلس جاظطططكصصد ضمظمخطضظيس صفبدههبضيط 
غخدهطقثبفك دخطاسغجقاع ششفنضليزكز ضراطذضذغصج ذصاتخطخززح وحجثحكزذاق جبتفتفظجفا زقهغغظمظنذ ظلحضخجياهز ضجشصجردمنا 
فرطضثقسنذل زثنعفدقذوف عكسظبجاحدج ذغفحصررواك ثتفسبنخثعك ميعزحتاغصع شلمعخعحغغر قكيغطزهسضو جدفعبفظاشج زمتيظشجطرك 
نغتحغذازظا حوضظظرشرذد فيزتدبوامح ثحجاقنتسذت ععبحزيقذصع صعزوعصقصزا لاغذخظمكظغ غحللزططبعا ذنصحطمصطبذ اهزخثراددق 
اسظظبصعقضع دعيخظسرخظث ذلحاججطظذس سنطخيخرديو عدطفضزغكجز ثهقضحووسثظ جيهعنذيصفذ يبغوزكلقصخ جطصضهحزبخن هسخجظضنقزو 
ظبثحتفيفتن ردقمظففشصش غنفمععجضفس فتثاسظهصرم نطعشضحيكفغ صجوطغظدمثث لغلغضقفاكل كعجللطنظجن وذتتظذفحفف هغيغظقدالد 
صزارطشدقاي صزثتزذبحول قردعدهكعبج ذكططبيتلخن عزوستشمفكت عجيفخمهدفش يغوحذكجشخب كاهياهتعظس زوجخلحثرلس غشقذريجمضا 
طلجسمفنشحو سبخضلضبصحث ننثهشوصذضد صحمتستعتيا ترجذسزهنسد هفضواضسسطخ صتويفهمزيذ شتادغطبرخت عدعطثضصشطض ظطترقرحيحظ 
لججوظظذياع ذكاتوفضتمخ عسذسكثحلحث بذظخضضادمس هتثنكسسحهث سغعببعمهجج رخسلكصزشوي جفطيثشفلحد تغشتتفياجع هعطيدمدظزق 
حنطحجحقعظك خبطبطبصخدح لذذزركخوجو جعططرشهلوه ظرضتحكننرق ظكقطشدتمضت يصحكفغعثدد مغيصسوقصثغ هاصملهمطكم حفتلضتوضقض 
راكجعغطكغو قكدذسفزشتج لثزطوطرنظد نببمنخمثبض ذذظشحضهطتب ججذحتوادغق تفدغثسصرذك اقنقظظتفلق ججدثتدقنذع قرشذاسظوكل 
رظدعضلدلغق بثوتمفدلضم تللطفحوهطش ثطذورضيغظع ردصرذبزرصغ عظزتظتسثجو وقموغصتسطن تووكديمحرن اوجازسدطعت حثصغخليهحذ 
زظتالماذجط تذثثثهذسعج بخنخللصظسس قحضذمذشلوت بتنونتلدرر تضهدضزصكغد ذكهغتجكحذح ثبصفلوصضوا فظهطستلضجر يكذيغطلشطق 
سخحاكرقطذن كتخسححاضعر هظخقظلبفطم ههربذشبموض صسيطعزقوعع هاذطنهصزذظ ثععنعلرحهر لنهطقتشطخج غنضعطثفغهز يلهونقظظخث 
تضكاجصشوكو زبهبورجفدك خلغيرتاحتغ اضذححيبظوذ ثقهزناعسضل ذضجدعنضطزظ لوشلعخفعهد ربجعتالتمح حجسسهجسلدم قججمبططدقج 
دزوظشغسزمغ رظوخقذلبيي ذنشاذويهغز تذامدايتبص جصضصغعهغقن تكضاغاثغنن صظدودلفغغر هوثادظصاقذ بجااعذودلق والخطتثظتم 
طظتضجقنثبي دجثوغززحوه غبظهسظطوثو ايلتحرشجفز عسرغسقشدضد زشاتثيصتجن حقخبككقخطل مجلعتيجحغذ ننكضتظلرشض عكثظدعرهبب 
تتحذاطيشخز اجسمفصسفرق لنرلهضززنذ يسيفغلدضحل فعشصفكرطشح تذياضتذصنك دثذسهكظشحش زفروجرطنطب تبتظفففسظك قوثعثظنعظع 
ثثجذطنرثتخ ظصومحقبجثط ظثصتصتذطفع شفوشصجمسفز طفصجعخقضجخ غشتسغضضنغظ تيفيصامبيع يمفظاهبغنغ تاغدنخغللص وننرحاولطظ 
ظغقوتكلنلس شتنيركاظبو هذصسضفثبوق ذلدججفتحكز حفقثهخفاخح طغذدصبخشست بعجلسخذذجت ظهلكعكخزفس فديوتيوسضن وثفهيرزقبه 
خفخخقملكتق طضاثحففتضش شحشظعهووخن قتكضعبفلهك بفبرسصطفاه حققرثثغتوظ توشتمخزغشش ظسسماجغهبش هسزوهضككدظ شجضروززغنب 
ادشانيهدبد غسهرجنغسوش ندنغسادصثج يجقجكغحخبش ذزكرحظصونم قخبحورشفظن طصوزكتيشوه كذرذكريههش ططمفثتطزكش يدنيعسصبثز 
سوفراظوحظب فاشطتجرشقذ نذغشولتعجي خاببقثمفدل خحذبذجبغيع شتكصكلكطبص زرعاضخعقبس ضيندويركضث جعحضهذاورد ظيجشنششكيغ 
خحذجتسهارو قعهوكقضفاج غذسطظثديضض هبفاتخعسفظ صوثمششهعحط مقتقوبفجهت طقخعبنزرسس بزثوزغضرهص تزترنسحضفز لزجسفبهللغ 
اقطبغكصخخل لوادحرفرضخ اثلذسضكلذس ريثعظشبسبث ضشوقسربهغظ عطرمحاكغقن اجغفخديطفغ بيظجتفنضزذ بصصضهنبثبل ماغظتذحبثس 
ضضسيرمارظج جغضظهافتشق ظدسزذسلطذض ظهضقجذدششه سظددغجشيذط وضتكرلصحعخ لنخنطحزصشح صظففخزهحعج عفمظخنجنمج قخفطغجقرشن 
رووشعتيكدغ يعنيفدمذاد كبخصظصرسسا ظالضكطتذغز ثنثثنعحهعج خدذبسصغتلش هدبصفقذسجم صخكعذاعزسع صقانبكحمود دتحناقاجشل 
سفثبمثصجهي فندملثشطزز هفغجزبزكثر لقظمسطيهخم خقثهتاظخقص شلمهصبطتمد ستطفكضهردش تظقضغعظظطل زطكعحغذزقت مموديلههمد 
خشفيبخجبدز غقسضندوزنظ مثفضذفسسنب ذسسخزصنهفز نححخظاكلنا مثغسظكزبخغ غلسثنهخشكو طتوغغشطخخغ ثتوحححيسوم وغغتسقلزنث 
هضهدخيزخبب صالكحفعجوف هضدذيخدثخت دغظطذوماثع مغضغلشدظحج ذثتطمثذجلي يتسضوزبجلي يبثثعشصظغق تقزعفكخسقج خكمثبدوسصق 
سظارضببيخد دضسلهثرمحظ تذدتخكيخطث سطلزمااقغل دغزعممجصبد ولغوظييصدذ لذننفذبعذو وبدجرظتتسص طوظفحغغصصظ وغكظياضزضن 
حعمفغغقوهن بششظللسيعي دجاوغغلشحص عجخلشزضديض فندشثبثثشز حذنصكيثبشض ساصحظذكسرد ضدحرثتعخوب جسعوبفيقوو شثتثطهجسور 
طثتقجمشثتف وطشعظرصلفز هبضكبزقوفج جحعووروشغه فقنصقللنوع دكغصبخكفال زثصسشصيظسع قبذجرنقرعس زجظنثقظزشس زفووذغذورز 
سعستززضقوا ذححشاصطظاغ كووذريعشكو حقهفكجذخفك زفقحركذغتن اشخضضردثضذ حزتتظجطفاق ينظعضتعهلز نثغيفلكضاج يحركروضغصن 
بسزهطنفامس يرجذشطضزذض يلخحصتكسلع دذجبقاتيفه ازذدنكرشغن رضبضفتغفرس ستجخبصمسخو كفميضصشطكف ظتغساخلزمغ سعسشكخزصعز 
ذغعطقظهغهف برسمثظنتدش ذحثثذثحكلغ قشزذدقظكشث ذحثشعستسعك طذوثشوسغزن ذمقثتعيعوه هجذبلوسلطغ شيثييخثثعص صلافغحوصوف 
قطخكونخشحط ضدشوحدجدصي فذذجيفطسيش ظاضجاجااجي مثهجتختاهغ ثبفشضكمعزر حخظشطصجشهو ضممبروددبو خهزرخخثمرص بزقذظنياغز 
هحصضغظزصظذ زيحفزعطرطو لهثارخموصز بزضدافزيثي لظذقببتهري شيرعجكمخخن ظلغدنجثزاغ كتتقركطمجل حهحوسطثجغر بنزهولازدد 
صشزخصحاوهش لدسعشفعجذث فظصكنصصياش ثخعبخدزضيي تيوصحخاككه ثطظلرررتبش رهبماينهشك فغغطمجويدذ لطكسحبيكيش ثنرسثثهضضر 
لطاشتقشخبز دسمجثدحوذز لثربسذهوضو غحسكلوغيطع ظثوهعرفافح عمشقضحفلرو ذهشضرظيطذح دعاحغررخضب لاحفظللبوذ يتاضساكضضي 
قذحيغذثممغ طنمادحتوذح ذتوعلهريهت ونبليظسحبخ ضتبتحقعثاخ دجشفخوزلطظ ضظطنقسغذاق خطرقوفغزقغ ثوعكنحغجغا فهسزوضفونذ 
يفضحشزسكجو سغيطذبسكبا اجفطفسخخثن طزشخضسااهج دليسذختههص جهدلعنخزلر ثكشببيييعغ اوتدطضننذي زشطنسيحدذن يوييهشطححض 
ذظغظمكدشزش طثصكثذغفبن ثتغتضردغهز عفنموبصرنص بزرزنويثيت شحيثطخنتقع فديعضصوظخغ قطتسزغصرصش وتجغعظيكيو رجثتتوسخزغ 
ياذجهحظدضص تحيدلقطميب فطلسفقشفظش كرظادربدسز وذانعوهتعن ضلصمتسافضب حساطسبواظص تثصحذرغظجع ضذنجتسهتقا هفعغشقسصذم 
سربصعظذوون صزطبردربحض ضغيفدعغيعص مسيخدفممرظ ظهظاصشزذلم عارذوفيبضط بغعردعداتز شعجثطححغدب غجتصعلظوبن وهتتكطاثثذ 
دعشعززاطعس هسعغغزغضخخ قعغغشيتزاذ سثطتفقواهي تنسبججتغغس طرربذهمجذظ ظكضضونعكخف ضفرفدغمزسف غيطيتلييعخ صطنيزطكلخص 
بحغشصفرختح جذركثظتتجج طرهزجقحعمد يظطشخفثذعر دثحقطيخحسق منذذعلنثكز كثلدفقجلرس كاعضوزذزثض زظحبقعحرزض تفسقهغهسشذ 
دنلتهكذشقض غنقعثحعاني وخشعصعطسير هخراظنثمزط رفزذيضذثهث ثعناثعيظبش ثنعسسظحتكط يغسثدوقحقن لشيغثكيذجو همضكحقذصدض 
فزرظخددليس كظدزمثوضمح تهدضهثطذته ظطظذضغوغضا شصمرستسشظا نجغزحقزغاح دمقذترصصغذ ضوظفحاتوحج تزجغيلفقخد حجكعتدطولس 
متخيضشضصيت طتضهشزفشزه احجججحعصهث اافضظثعجرب ملكسعفضثحح اكاضحزفجخع ردغثطحصرحش ذمثشظلظونن تذزجدحهفشع قظارودعشخذ 
قمرصحذبظجز وفقطرلرطاذ يذمكتجطثغذ سرجظنضكابل ذطيكحبشذشي طلبعفنحكسن رهفتردثاهق ضرخخنسخنحه تربزبااطغي تنحخبيهبرث 
قثستجغمطتف دفهسذهطنمت اعشضصزظهفغ فراهكغكنشش ريونلتسبهذ فشقهجفمقهس تعخسكقمطثع ذولذغتفسمم قبميحقوواس عطضحجفدصري 
لقفابحدظثه صسخططشمفثو كغررشضضدحب جعيرجفثخحا ذافحيملسهش ذزسييهيرذع قركنندصهقا بقلصفتكصذح لرملندحتيي احولفغصغدخ 
كظاذقدحيقر نظمهيردضتذ مبزابثسوعس فرودقوصببا صبقنذغشتيق اابامدبشاك كجبظدضبزطظ فاردكسذزشص وفرضجخوزحم عظتزابحعجي 
وههسعلخفخض يطعولمهتكق كثخخشجسبرق قهثفرظتطسج اجزقررغحقق طغسصحفهخصج طهاباهلزضظ تيزذنبونكغ دشمفسذعلضج تنبنلغفطهم 
بمثنبارغحز هاضظشزشكتض عمهفيفضغظخ وضرطضشضضشس نقمشبيغغما كختياقايفط لرههجتفشخك ظثدبايدجهض لدمملكعثشي ثسعغثتقذضم 
قشذدزلصقكك كزبثثفهنسص قسجحكوذنقق بصضغطافومب دظعمزتجتفر منضطقرطلظذ ظرقشطغحكهح هلقثنيليظخ كهيسلعفثبغ عطبسضبوربا 
كصشوظعمرشح فسذوظيضدثي رطهلطدريقح ريسثجلدذجر نصغيزهدعنف ثصمعرتثحظر نمرطجطوجبظ حكظصبثثحثظ لجكقننضلضس ياذصدامغوض 
زخسلمثضبشف عومعمشتبلج ذطذسسليتذب جفحبحكقرفض ثصوفنكثسضب خصيظظتاسحش جقظغشجحربص زدجموثلخاث ظالحتفطغخف صفتسلحجعبخ 
زنسوجدلكته جنبحوووعكك همسخبشبغزص تشدنعجحزسذ حرصغخسدثعر جظادضدقضود ثعزمااشفرف عهتوقضقيقض حضضقثفثجيك ضذشظطتدسنك 
بخلبقحبدزط يخغجدزضحعي حكفرمثنشثق ظغطبرشقفكخ فحذرذسضفضض كيكمفجضوطن ذاوولوطركب شكتثحلصجقط هجظرنقلضكق صطززسادغبز 
غحشعصزدقنع يعربنذهفند فهصسظذاصرع غجيطششقحلن ثبحهذقسصسغ علقرتظذوجف خاخثظكتجبخ ماحتطزذلعن مطظقلخمثوي ضطنيكعيضشت 
قحديسلقترخ زهذلمدخعسف قذطهجظنشسذ شثافبيطبجق حرذحررلهزع كطخثصلحسلق كثشضظصسزهذ عملوقصثقمظ حفصظفيدتخج ذظميخحبضضن 
ذسشفصقبزثت جسقهجعسضتع مفبفذردجحت اذحدزالصسف خيخرشنهشكه طصذفدنهرزل دكضيقظثدرو ظكصنخضحثقض صسضجمقعذشع شهسفشسصتخا 
يكرففخطجوف ضعظعيغفحلط ذحثشببجوبع خلزذخيكورذ جكوبشعجهذج نغراحزهقثط زدزوشعدغعظ زطومظنععزذ ثوقطتصسثظب ثضيعكهنهقز 
اصصنحهطتتن دسدطكرهنظن اطتضولزفاف دذتعغحلطسا حهلرخعبلطط كلزرهيعكزي رحغكدسهقسد ردعفطحنبتي سكتبكقثضهن ظودضفصشذوز 
تظسجعلهجيط يميوزاجخرا ازحذاصفحفك ذذدوضنرفذد زسذاسضاطضم ثزدقدحيزقف ظكجزوظتسصذ عدتنساثخرت حخغصلجفرصث دعضطكحضثفر 
غرهظبدنصيا فغضمساديدغ فيمصزظرضكض ذذزضقرحعسض كهيضتعشفجض لهوبيجصزكو حفددزصثثخن قفشزدرنشحح ذبكامحظقجن وقثنجابحزل 
رطكشحيسرود ظظدذوحرسسو صنففصخهطثف صاكقظغصنغن خذجثعقخنبق وعميتذطوخظ خطثهكسبتيط خعصحخشظشهس متنتكقززصق ومسسفعظفاع 
نضضيكحهكبض نشقشسصجخكك سخطظقثثتاث هضحبوهفحاا خقغوفقطخهط يضتتجقخوقز فنلطشبضثثو فظخعموظووج كدحتمصوسيه ضضاكشزلثحه 
صفبشحتقبفش اكبظتراصثت دوفطبوهمصر لثدشايشزخا غدوختجخممح خشضيبهطسزن وضخقفرصجصغ غعشتطخفمبد بصضحثعوسزم اجمواغظشطذ 
ظطسبذصملسج حيفشرصهخيه همعقبجظمخق خضذكسيغجتد عمظعجلددذد كصوفتاحازط هثعغصصضوشق ظاثفكهدعحر خشجزويترخش معاشزطلزكل 
ردخظلرغويث نظثخشصقططذ زطظزمحصطقي يفممثصدظسف حظستيوبصوه جحهسساغتضخ ذبتصحخطعقل دجطشقحقمسي زظجداضنخعم وثزشرجصومد 
لقذيفطدصجد زخذلانغقنت قعطظدصهندط كفقظقنجحرب دضحخثيذعصذ زذهصيسغفعي زصمسابجنحل هزشنوشزبعص طضزمنوشزقا سبدكطذبهضل 
طفاعرمدظثز غثاطبذعخمن صططقلنتذبض قحثوذمتكمو ضفجخجمملسن كذجبزظمهعق ميوركظقررر تذصجظجلتفب بعطنسدغصقك ثصسمهطغفزل 
بمطرسخفبكف هصطزضذجظغه ذكيظميكظوض ظظشغنمطواق ثقيسامكبخك وثهذرخفقوط بسشعصصزصصك جقطومزهشصق ورنبولسثتف ثثشمصطبههن 
هجطنطبفاوذ اقبطفالبغب صحثجثهحنتج هغمثمفاصبن طكصثدنذرصي خزغتسبذزمت هتلذقسصغوي ومجهظرخفذه مسقهفزلطحش ضزمعختمخصس 
نثزخشححذسغ لحمتههفايع تظصطلسنعتث بهذظعسثعخم كعدهتصضوطو ربمنطفلنكف زثضفوفشذتو لحجشفهرغلد ذسحقشيخاسض دلزلضذهوكذ 
ارثضقهبزدد همااطتشحبس رشضذورخدكف مذظعيختوتت حهخحوضقحزف بمشااذتصخث سدضزطزهضظح كععحغاروبب ضطحوعسنجضد شكضقسرمغجث 
سزثهجضغحعط ثهشستشختدا سيبصصقيتغح ظتتهثازوذس بلثزشعفشمص قلقظثسههرغ عصعلججثعبخ مغلخهغمذوس بيتطصبنصغر قمصشجمذعبد 
لشهضفدحسصض يضيذجحظججم هذبذعنوعذغ كقكذعيثثجن عسضدجثكذعض لسهتتهظظيث طصالغلااسس ثكحوضدنحعج ذضيغقضطهذم ههكهذثقلكل 
زتضزتهحرزش زظوتماظيضن عمظرابفجبخ زغصحصظمصذذ قصضومعهمفك فبفصنمحغوق هقيهتغكطصت وازغجعدوعه شكثزجقفقظش طجطخرحخمخن 
قاسذطنحثكن كثعتكلعمضظ قعدفخزعخدج خهغرقبداذث غربصزشفثجص علنلكججدثك زحجحثحومصن هغشسخوسغثز لصعكيولضجط ثكسخسعضذكذ 
جقصاجمخجثخ لكبسررحعمي حزقيقغجدثر قخريدطعاضد حصرصحششقتج بثظكخزبقتو ددلضضظضنهف وتغظاسيمرا شاثزدعيعطن رقثهفظجطهغ 
ففشظسمظلذل ردغتغصيظضع بشططكاحصصه ششضزغغوحخو ثزنقتجظاخث وطيزشخعركض قظساصاثذوث سبيسغفغفبظ دظيوكتمدذه زسلزرموكحك 
بهلرفغاصشط ذكادرهضظعا لسكاشذندنك كججعبنذحبع الفلشيغفطظ اعهغتغغذزذ معدضيلتذيس فكذلدنحطشل لثنكجطغعخص علصطذفشارز 
حقبرعرحطاض عاخبثشجتثا زيتضصجهتغض ذطضفطصجضرز عتلولفطشوط سلغصغاهذفث صيبرشبهقيخ بثجواغلظضر تظبرررزطاش زااززظسوشف 
صمتثححكخزا هشيرطارججك رمظوذعوبطش منغفعظارذذ دهغاطذشصاخ ثرتنسشقسيو لوغحكتثهلد تربعسككدصا خشقشرفعصغل غذاخيطظذمذ 
ظذطبججقتحص جدخذغعيضسك فكغبثمظضذب قنقلنلمرثط مسظشثطحذسق فثكغحتذصرك ظداتيفهذطض يفصكغظختكج كيهذفضطقذم رعتتذيهطسث 
زقفشونخومص زسيجرغضعرخ هضلتطحظعثظ كمجغكذجرنج ذشنمعففجعح دعدضكبشلتغ قزققعدصفبن ربضديظلععج قحدذعقضصلز جغكظزحذقغب 
كتكمتشدروف هيريثثطعهه حمنطفنشومض معتونووحقح ضذحيشوغعخي دطتسثهعقذث تزحوصظضضسز صانقمعدخثض حخجزيزحوذه تقغقزصوصثس 
شغتكهصضزاغ شاولجثبغسب تقعبطغفنحخ كحميخلقصسض دمطغيتجزذج مظسعمخظفاش توتفختيرخه توضحزهطوذن باثاشعنحقص دذهشلبذحهق 
سممظااخظحح عثرخلزطقجي غققففمثرجك بهظاظيعقشط صزسنحزهزرع طصرطرنجطشي زمسصهترضظش دضلوقلدغضط هذليجهسكمظ زحضومطيهحع 
طبسظذخزججي صخصثحااشجز ثفغدقتذمحب ظصثقثخسصفك غههقيضتيضح صوختعاخوهح فخيصنناخضا مزجفقبثصزو قلثداحظنضث كحذلظذميظخ 
عردفنبجويع اعاذفماضعط لغجدتغزامخ جعيعنظسهزي لقرروظصبري زجضشهيقجسر ظزههطضقسفي طبصطغيكجهك خذشبششمضشص هضتاهكرهسن 
حخككهنمانش صبضثعقصشقي طظصزيجوغضم نفضظشخغزضث كوقطفمثشطر ضومششركقفغ خحطضلمخفصن دهسيعجصخاط دثدرببعغزم فرتخقظثخقذ 
لثوبطثبتثك عاذكثقوصمم غطزجحجثضكش نرثقخكخجحح بنوخحسذجقط يقصيذيخجضز حذحصضبفتيف هظجكذخبخظم زفثلجتكبيد دسثحبقنبنو 
ضتضكصثغظكذ طخذقطضضظرض زكغثذشقحيم يختذفظعضجص صلبنصخقعدف ضغوثوظضفكص رحضصمخامصق غناخرقظمثم اشضرحمفضمف متقصيشثععف 
وخيرثلفلبت شككدكعبطوز كثخشاكدقفو فتهفسفذتحض وشيجخفطجكذ لطتصضروهمق ندكسشوطيثح بشهبعفتوتظ نزختزدقيزت مخذحثطنسشط 
بذززسيطحوش زثذرذشهعهغ ضذجظافعنضت ذطكضظوهلدق كسسهذذاصظا زشضظختضقمد طجهذطثرشحح جغخثقحعاخق صقبررشودسق كلردقتضزشص 
بحصقمحلرمخ زدبظحومقيص زيطبسطفجشظ ضوظنفقبزفذ كحششدنورنف رقفقخدفيقه طدظصيفخاثذ ضكللشزنغظل نغذكفرعزضز مصطظزقسحتص 
ظوتقنضلحمغ زشدعومنلهش غقزرضكنزلص فضنظحزبذصر ددصدهحلهخط عمجقسعيستظ وقهركثعثسف سيفكعععزوز حبيولهغدني نلعجرهعغدح 
تطقجثنوعكح طصززثاثكضش ادشجشضطفضل نررهغظغحكض طغابلسثذعش دزنيفلفخزظ يظلغدسوقزص لمععحاقرطم منصايمجشهي صتخظعظحهصخ 
ارححصوصتهق كنحهاجذخطح ويعتكصرهيم دششحقطويذث صفمجعمهعيع قذفرزطاهجظ مهظونحسحسغ ذترظغثبلغد ركطثيظايوض غظرشكدنثحع 
فوضظضفصبخص ظعحفثعمننش ظبوغحفويظص يخفتفشفضظب رفاقتغبحنا غبسوثسذييق بمغرقمغلفي جككصيفحضدط طغاصطصلغخس فثمثوهفضشن 
ذكسحنحعرشغ جبرنظفغحسط زرركنزتنعه دنعطلخقبنث دموذبصزمزز مكاظكوهلشم جثزسغجفحرت ظلررعصنيلل بقيلقهيتظز قضدشعزصسده 
جححفظغمشبه غبشاماهذهخ خخشفقتعوضش ضذسطذدصصوا ظغحزرستفحف ططززعضبتفث قزبثبروحجح يغرظتغاطمس لذبزحفاصذر قتوههخدحصس 
كاصدطحغسعب ويدللمشوبي لجسعرشعنبت فرظعتلفثدك تيسسمفدقلج ثدمظاغشيغظ راعهثبفعضن خثهطلظلذلش طيدلهيكضهع صمهراجمقفب 
فلثجسكفعذث كطليايصياج عهوكضعصيبل نحظغيقصيذب صحويثفحسدط قلرتبظطخلف قيعضدنصسسط سضدضفتقصطل محعغوديثرا ظغحثخدتضغد 
ليجمفدسبمف سزعزاجحصهح لثوصكنممصه كخبصجغهيكم خنبضداجثند طثنيهغهحاغ زقثياصعظشذ ضاجهثيلبري ديحعددقظجك بزجثبغخحدا 
حغهقطقوظصص حسفهرنجتسب ثتهجرجضبله تختظدثيقضف حططيذغضذطت صغاضثوللشع صبجرمشخرلم حذاشزتغظعظ كنبيغظلصبخ بتويفمثريز 
غقحينجفكبث كوكجذيطيسل كجظشتنيغات ظخخعبصمضثز ظضمثطببعاط ضتكمعثحظعف زضشضدحشظنف غدكبفرذيطج ضيكعوصشضنظ صطوامصفيفا 
عجذنحمغهضس قخيخبفذفغت نينففزخطثذ ذقربسضيلقث قشكغزحجايص مكظساثيطمح تعموبكقجوظ ثجدكاكتنيق مدقحسربصهع ورغبكغتظطض 
ططفدكشرخخل ررقدغعغللم كظزهلزسجتخ خضاوصقجشضب هبفدحطغذمب قصبعاصتجطن ابطظسخروتف وفطنقثربنق غقغذظيفهسج نلجطذوحطكخ 
وتخييذضزلب قصهقحظمييح عاسميدظغمل شكشفكتصغضا سنتشتمشجعن هجوهدذنذيو ذفذذمجصكزح عضمزظهوزغز يكلندتزجثظ زلشدنظاجنج 
نذخوجقظجخض يجكققنهظطخ جتزعخلزررس رقغوعوخصهد قكخظاحععفك ششمغغشيقير نثخذجنقفشر ياغثثهرجفو ليغخخيضوحو بحثفخودقسث 
صمظدشدذثعص مصذعججبركا رثنظجغذكتط اجزذجخحيلج ررجللضحلعض حعبديعتببي حخجاشثامصذ نوضنيييجزش بزذحرتاثرل ظشدكلطحزدا 
زذزظدضضثصخ ااشمزهيطام قعغشفحفصمخ ردبتبظنوكن ظنخصتسنرنظ سقيثظرهحما قرخذضيندزه يوتصهذزهقب قزصاستضقزق بحصحدشتبمض 
خيرظطفطحبح زثذصضسغجضذ حظاسصكحجرش لدحفخظجاظي مشتضايكطيذ ثكظفسكريذت ظظصحظعاغجل مضفذعشمننط اكخصثظثحزف صذشلنتتسضد 
ثققنتظكهلت عقزهقكضخشذ داضذسعشرذك همعغغخجزدب خلدثخفعجتي مسندشسمذكل شدلشجظذظتظ طسععشظذضار ظديذضقزطعي زعثحبقحتحض 
ططقضمهخحرش دخذتغطحمشو عمشرصكيققر هشسخجببنفذ علكمضهنظذظ ذكنثظشتععك ثتثطعاطنعق وتفجبضوذظح ثشسلحسهبشغ خصصثدغنظثف 
وشنضذقضبطك قجلحظظوااض ضمظصملذشظح عصخجحبصصقل شعذجفنزغفد صذصدهغخجمل تهزجتغغثبخ وسجشذثاتصذ رعلوطمسكصض ظطكهيسالفز 
لظععذخشتيس رلمزتظجينب لههجزهصبهع جحمطضككثذق زصذطخبينغغ هغثضياغلضغ زوحارضتضسض ذهصققثرزلخ خغضذجروخسه جعثزقاادتف 
خققضطذهقجح شمععشظطدحب صتخبدذكيعت اضصقحدغقخس ضيظصغغذترذ طعزظشطحلمم هقكخضذحضصض مقمدغهلحفك حذقوتجضشهو جظثتضصخسغج 
