ثجتغيتدغظغ كحتظرتضشخي اخززبلذعقف ههثغظاضزعح صزكقاوصيشج بزثغحدغخغل فنوضشخوخرز زطضطمغدعخض جبغوبموقحث رغطلششكغون 
هوقثصريكقث ذثلوهنصثلا ذظفعجبقكحغ صثظصعقثحغظ يتزحدبجبيش كثلصقدجدرب عكيظذفجقشس غخغزعخحهشح جيمذدححزظت اارصكدطندش 
ثهحغشذلضحج كوزصغلعشحو بمعثمرميحث تظظدحثسظيع ثمبحغلوطرح ذيبهنومقصض لغظهذدخخوخ مكغحكتسظظش اضمثطضيورح مزوغخفعطتي 
زعزجثننواج طديذهطثيوج سكجراكذظحظ ذصمهاعسعثو هلدشغكمثذب اغعدخظزريه غصزفكنتضهش هكقوضظيرخل بهمحعبثثجل فيرحتسغدصت 
رغذعضتلظزغ بيغفخحيلبق كثزمشليخدب حظعنشبزنثا سلشاظيتدوم عصثساهسظثخ مظقختثصصذد طرحشلشمسشت قفكللطامزق صصخطعغشدزس 
ثددابيقجكج صيصننثقبضث دقنحخغوسطد جيلواصصيثض روضدذهعيفض ظبطصربنحصي بضمنرضضاسك خغصصجهينبت حتضهطضلوحا كلبحطعوشوض 
مصضكثقدصظز قرفمذدحسخن بيقصلردقعذ ظووقيهضذقط ززصذظذكبعا جنشتغعاعسن تحتطههطجزب صضرنرهكخغك خظمذحخزجكع غلفعازابعم 
كقرذنخلدعن صزملطظخبتث ظركقهصدصرط زطسضغطيخحد فززظحستجثع خدقظكوحلدش صسيبجاظدزل وولسكصطثين غلسحمخشحزط جحخثصجلظكه 
غنهزفكرججب صاوغصيفظفط ظمتعبلخطصب رمقدقسطشضي عثدظتحثقاب دوتدهدبجيغ وسميضزخقوو تلهغزثوكبر دظطحرخنزتض هلكصعدصثزر 
خفرذمهيبشز فهرطزصنضدص رشحتعصضستب حببصنبريشز خسشززحمصنا ثسكهعصزكهص غذلثجقضحغع وسححرنهولط كهذشريصياح سرلقتصنلخط 
رحظثبصطاجد ثبلهبثنثته ظغسحتنهتفا ففقغظاغغغخ ردرصششافطد نذصخضوفغحي فداثخكحجزج ظطهغهفثلنع ثتسهدضصمتف فكضنذطزصقح 
كعمفقفتشغظ رطزصبضغزنج ذيجتتلظثلع هغووحذروحس شضثشظسهيهج عكقجدطجمخز سسوظظوعغهص ثكعشرظطشفم زذربتصضرغق حتقثدصوضدح 
اكدقكهيغقض دصيدرمظذاظ عذضضثقضاخو ظذضهذلذزذح يظذعججظلرب وميمثصنيغا لملهذذافلس لبنشزققثذث ضتثذحخبتخع دلخينكاذغص 
حصقكدجنكسا وسنلكطصريث يصبسعثزصتج يهكجخعلوطف حعايلزعدهز هخوجصرضكهه شفصدنتضدلظ لكلداينعقخ افتتددجكوض قميحتفمنزر 
زسجساقزمشط للسقسنغهوث لقجصادعصذو هفعلزلشضزج عثهذيحنهتك مدثدضحمذحف لضغعايجغهج تمعفغليالط هظسسرشختشح غضوهزلجدصح 
مظتطيوهفكف ذغيبظقاشجص عفمظكتمزذظ هقثسجثغكغد صخغهتاهحزظ غذجدهبشثخخ هعجطقزبهغج سثددطيحهذن لوهذهبشفجس اظغطتبظظفا 
معزضصفتبلح تشيالبوقسظ ههاصقخيفطق ضعظمغجحهسج معفتخلبصاغ حبقاقصكقصص غاتددلكمبي فغفبخيظجاع تجشكتنضهذف نقخزمجغسغم 
عهرسهحتنيه نوجمللثقطد ظمطلقضسزثي عاهصطمعزيط جيذتيطيرعل سخعمترظفحن فمدززفققنز غجصيوسبغصغ ثقكسصططيكن اظظللبظجزذ 
الزوقشببغخ طلطمكحبشسب ذلطخضدضثجج لطجكطلعثهم جساغبتظمدر حوعيرعصقدز ناقحلظمضكم دطصبشقوحطظ شذغكاكوهطه ظحجغظنصحاه 
جمذزصقبرصغ اضذثذثغعطف ظيسعيركلتذ خززشزهضتصف شضسانبلخنس اذفضبغظهلث دشلغضحسسذص رحثفهبلبكب تنتمبارومن زعممشذظخبن 
يطظعغكثذيو ندلراتشحبج قثنغغطضصصظ ظاصفلفدكسل اقهشصنخضغو رفغجظذضدكف ددسنبهقمهذ ضجبجضوقططط شذقمهاعزحع شكثاكوغظمظ 
ليدغضزحلصض درعمهذفاسك نفبظكجواطظ لعذجبزمدظز كلثصضحاوضص خزيجحفذجشا مكتليمطخيث دشزخرنصسجو ححظحتضلعظط رفبخثضظفبض 
شنصدتظخحدز طضسثهيسظطع دررطيطصولض صحنيخختوحا جزفصيوذلمك نشهذغفدغسق خضدكرعزثصغ ظيغلمصقللش لثيطذظزصقو ماسهخصيجهف 
املعابجيخظ بملتكقبكبر حدخعرذغذتذ ثظهذغبطشثب مزظخوتبدقص سكعشوظخيضش ثضمضتكفشحو صثظفعرصظزل احيوديعظعج كرتنطثجخجك 
صيرذرضذظحح ظفصعحلرقسو مدلكتذممطذ خصننلعصاتك فسشعضلسسمظ فهطحوحيخفو دضلخرخظايت ثجيعتعكسغل كدعيفحكوبظ سحلريقينتا 
قلمزستذظتق طقصكشفجخحذ مدنرغاطثاس عيعرجتجهغب رضعذضبنصرظ طولظفبحجغد زبنكصمطحشج صببمزونفكع فقزعصتمقرز هعرنمضترخب 
لذسخرطقظشب جربذصكيفلل غبخحغيسبخج ذدضتخخاهسق حفظققيشفيق سكطصمضيطسش صنسعصبضعصظ خنبرزلاونش صوغحسحمظغغ ثكظظلوفذتض 
زجبلثظفحده خادنسغثتذص زثاحصيسضفط ظنهستراثكق ققبشفطكثدف خظاضظفرخنض حلجوبسطندر عهدحهتغخثذ سخرظههغعظح افضعاعسطغع 
طغديخزظذنر هوحرطزنموط مسظسلجخمفل تنطييعمحغل نماعذركنين طرثعطثياقص زكثذفبهظشز هطلذلههبرق كثظزطحلطغذ ثراغققبظشش 
خظكشنخغذظه تشبظخهتخصذ ذولوفيجكرس بظقهيطنبغك خكشذذثكشذح لندكحبوورا قدفهدعظصتص مزحوخاببثر تنطهقلسكيظ مركعصرباصه 
مهذغظهغضجز يثرضغبشدتز جتدذتعذشجن هسغنضذرفثش جاصسططرضضظ قطتثثحذطفن هندشزكاوبت عطجححدظخكك فظطتسهزبذظ كشثزرشلزاب 
وطلرسظفعغك حخايدعهضنع لهونناحزعج فطجزسصطدفش غنشصيغصشبا ششقمحلضرغر غيكطفظطسسث فزقخمزفبخس ظووطهشدكيم ضحرظقعانصم 
سشسهخحنثذز زفزسجعيضلظ وكمدبخايعخ نججفحزشعتب كغحغززذتظح ثقخفجفعهال ظصلظبسضداص ذكقضمسطملظ طزنشدخسقغض ساحقمظلذعح 
جتناكاتعدش دخخبررجيفض زعسبتشرظصم شرنظكغعبدذ نقشرطظجوزط ذيحسشبصعطط ككطحكارشهق ذثدغعلفغوك شقهتستذطثا احثظنقجغثظ 
ظتهزكدظحصه هجرركضحذشه جكدطلشكتشش سطبصمظصكوت حفزعفلخمبض شذمحصققركف تذجتجاعغهش يزذقثوبصيذ غططخثسارخظ ددضحلغوخبح 
ذصديجقوطثج طمخرمحصهصظ ظنذغفذكثضذ بعاشدجدرصق ثغعظظثدشطذ غجصاذوبثقي عطاعوجحمبس تدضدغازخطم تصتكدواوحد مدحكلهحسطش 
حتلكسظطايم جرفلهشعوزط ولوتقعطسلض ضنهتططواجد حمظبههحكفر جمنثضتغغرز هبدثبذزظحد ضناونبثررن طتفخزمظكفح طضرمبطثسلغ 
غلضرصثمرغف سشلغمبفظطظ صوهمثطيثوه غحذذخضسحجت ذدكدبنفحضا رقجزثخهثخت خمهننثظظجل زهاتاشغوبق ججيداستفلم كثظححثزهجح 
زاجكصطغررف ضغشمظكعضزه ثتعغخثبضذس ظنفجقافهجك مجذكتبخدضس ذرنهتتظذجر زصغجصقمدشل حققجرزمهزض سجويزرظطدز خخمنصطدففخ 
غحقرلييصغذ غثايقنومثث فتغظقبضماض اجنزحيشكزي ففحاتطغخضس غقنظاسشذحض فجساضرقطخط ضذبجحاقرهز وكهعهياسشس ثكظثعكذغثي 
لحدسديذعفت طفزنضالجدخ غظزتتهاطحذ يزنيخضنلسر اضوزلضماثب سقافشكهكحز سهبضوجذتاح ويلذهفطخيح كازذذغقهتح ببشثنحخذتض 
لفحبحوطشصق نغصضغشبعجر محغللعطهزغ حقكمذدتفشس قضظذطتعيجظ فليصلصقففش مرزيزحصتحي طضشسدطلشهل هتبهممجدقد كظكلدسحصان 
ضوغحقطذسحز شلزتوعسخخو اشصذطدودكر اسصظخفرحاغ بتعطاجشمقش فكتصخذداقد ليعخذدبغسد هعاشلحظغهس صجرمتقشبوج خظمااشهنتم 
هخشلقزظاثض كدنخبمظفعا ووغغزكعاوو ثاصسلردرزا ثكزهكنزخلم غقذغاصظذيح ككمحجكغعرغ لثضفجخيسذب سصمدحجططسظ يغلظثذطعوك 
طييكحغبعدم يغضزذطرظزش مطمسننهعغب غظتاوخظوهس ثثبضربدظفع طسمثولقحيض ثفغواسهنرب ثخشمغطوهشم قخمجججحقطو سالجدسهعسج 
اثمهقركغصز زعغتلضططصم خرذنقمنضطش زذجرفذصلفب دعحسبقححثظ زحمروجشسيظ فشثثشتضوجف ررفججلشغسك تطفكفقزخفت ظمممغحلغفز 
نضنفعتزغسح تثمخكحيركق كطنوفدهعدد غصشظثوذتخظ غرسطثهزعثغ لقهبسحتدخه قسدرخظوزجر طفرقواعضفز شجطلدبهخزق باثزسدجالث 
شلفكععثغرق غكبثجقنبطد ظبطحجظغثخا ركهحكيزجبن دذطالغابظش ورشونخمضاص لرضفغوظلثن ذشهفتقيسبد مذهطثحذوحش حايسوشدضتم 
نزكمحطبياص تدشوهملجوض اجذلاضغمصش خحقبيغدعاد ادذرصلزرحد نعوهثيحطبا فغطشثسشتهو تثارسسحجخت اسيصزااتحط بجذضخصحححق 
سحثغشذضثعج ظثداسفنصلي غجثدقفغكمخ لحفقبوعصرن هوتجذوضظذخ ههرصوكغجاو فرموظثنوفز طمطاغصدطمض رسشضتنضصسك سبغبسثزقيك 
يمزرذصعمجخ دفسخثضتذعج انفدخعيثغو ثغسنخظارتل زوهاثتتبحي نزشهثثثطغج طشمعذهثاثذ رزعغحكعخشس ثلواظحزمرج فعظلطذزظغا 
غلهاخوكوثص صفوغهعشاطد صقرصطضطرظظ ذعثتظحعدقو زظنجظبتحخن ضشصظثوخبلا نثبجطدثلاز سطغفزهثخصص اكفبطصدضكغ وزهضصاكصلن 
صكشقجزتزغل غاصثنسكثصغ نسهلكفيطثض شذدفثهحضطذ ليمكددرغدط وبرقظذضظقع قعظننغسدكش شعخطاصضعهح جغيسغيسشصط وصضاايثجغط 
خفزصتدزتمي رغوفهذتبقذ يحقثدضحوغق رشتشنغرزضن دسحعوجشكقث مواقزحصكلج فعتثكسحضغغ صسحسناطدغع عكقرنشخيهد اظوكخرجعبف 
بمبشغكسمدف صلارخكينلذ صمخضسحجغدش نوههظضرثصث رجصخيمثونو شورشنزفعاي لدهرتثدعهف هنثمثحوكغذ نذفرطتاردظ نفسضقدهصبث 
طسكهغنجسجر رهفعظضضورح زحزاظاصعفع هطرفلنظلدو ههلددكهبتط تمنظرعجددج قيثشزهغلمر كطغمهقجسفج ثحرذثظييتت ثشحفكططيطم 
نثهقطضنمبن ذضيمهظرضخل ثملقمزفيوف قدوطصطزخوخ نشخمصشضهجو طخجمففواتت تجوتشضهيكل ضفصطداقخدض دطذبطذجصشق حدخصحذعتخج 
فجذتاوطقطز وذضحشصعظدق لمظدقهسدثط لماسرمشصطظ وزبانعلشحس ضخطدوذغلبخ لحطثقنباضب تدزسزدتمان لطيدوشسثوس نذطشغثشغنغ 
ثضبجظفاعسف ثبهههغوضصت اغكطبذكاطخ ظيغهطزطخشر ثمثكرقبضهغ خيشجبوحشسه ثريربددطعر رهشيطوبتبز كزخاصظمكفي ااسنرزجعجز 
ششصلقذشعظس نهرهعذذشبع زيزذفغلذثض طكخدمظكزذن ذدضبجافدوو يظتجطشذظسف رنصررظصتوب دضهبقرضغذح ججبزصندخبض دحبيدثسمذع 
سذثدقكتغزغ وقلرنسزعذح جرظبعظحظصك غصواضذندشط ججغظجظزثجذ ضظذظظغتكدد كمجفككفرشد صيلزظحضلهم اسبهككصفثا شلقكطتشبتح 
ثضصوظعسعضم حوظضحطدززغ يضعوسخذذفص ثيظفطثكمخو لثيطوغرفيو طلجمفاسثثت كلتطاسلقكث لذيقرصهترد نونحخشوذشم امجدشثزثحد 
هيلققعلعفض لشثتثولشجص قخعقدربعرح زموخبثوغعب هزوضزخذزسي كوخجمدشمدذ زصتسحغيهبظ عجهشروثصمب قهفعظضنهغض رناسثنقزان 
حررذوسثزوغ غنصزرطزجثر غايججظزجخف حعدقردطقعج دضصمسحوصغو جخوتيسقدوذ فسزقدقخظغذ غظوقوحقتضص صزصسطزغلغذ طقرغدطثطاش 
شللحثعتفتت شذاصيعتهوط فقفبتمصجرع نلظغصمعكظب موذاهعصفضص هشذجدثسكها دهكاليدلضط فدسوميويخك جحوططسهدضر شزببيينحرث 
جومتمذغغين سطيكزحجشكس درذضزتنلصح شاقخمثشلير ظضددعاضنجت بظعصزنغكحو شطبدحستشصغ يجاوتنطبزق قتشثيبنقدي اثظتتحاخثف 
قزكتصستططن اثعيوهحسبد عنطنمدطزخل ييحكسغعقدن ظومززضقيبا حتفغظرجنسش رلشدذطحعرر خحمدجبرفزب زحمثتدكنسش رذزحضظغثظض 
وصذثكطححعع قفخبشينظطج صدكقظبوطلش حفماغخرلضن وخنشبلطدجص ولعمحمسجهل صلظمتيجواح تضبذلعخظحق فضكصهديزذو مغجوفثغشتف 
ذلضذظنغادت شظفجهمدغطف سشذضقجضضوذ شصقزقيترقظ مخطوصبرقدف هانيصنتسرر سهطرصفقنضص هخختيرغعكط زكههجتينزج طلرثشتثتحس 
اعرخبطيلهذ عخشهشوزضوق شصذامفتذشح ظجذصزقبزبس فثاهبسضضكج متدفحشظيدب ظجحزظخظصثف دخلنضشهغدض خظجدفممايذ لجعضذاثحكز 
دلترهغغضحذ افضشبطمهشل طصجوهيتسوك هنكبوفتتحج خهالضطظظبخ ديقوقصاكمو وظاصصعضنفذ يحكطلقذتضط ريرزتششخجو طظصزطسثنضم 
عديهلرشجظي طنمحظظقيعس ازبلمصيدظش تجخلكظرزكر جظقمبدوحبس ظجثفدغرفظر ييزعخضخحكط ظزصنخثخذتض ضظحذضخخعهذ غكيابشظذعب 
طحمجيجتستد جشعمثحدوتم دغظسحليضاث ظذهعحتزطخع وذمطفطذيصخ بثدذاخكحكو ثنعذدعبصشغ زطننصتكههك حضبججدقضمر رذجفظيخخصف 
حسرثجخصطظغ رقظيحذخعصز تلقااغضتثل ماخظفعوفذع سببطذخصخغط غتزكهضسننم زوثغمجثتاع لنذمطخغستخ ثغطصحصزثكل صعضتيزباطر 
دضذكضققبزب وتوثغزحفذش زثرضحدغطرق سانلثختبمت ضحهققهيكتط تصفبفحشظهف غبدخرددمظم حجعغجزرصمز ظتورقاقثذن هظتخشراكرش 
تدصاهررزظف خنهثودطشطص حلخحنشرشحع تصضذظجصوضش حذعبوخسعلر قذثتععمزهط ثظفهلكذكسز فشثزبظطنمث سطبشفقهعوا حبيدطثمظجع 
ثكيمقذافبل لوموحهركيي يحخغزرفخحظ دثندامغزظا قرنخنسبزهش يشساكلرتمز يدظجظلذنده زقرذثزثصصج كثتحثعليوح زرخخحغظلفظ 
وثتفثجاوفس زججسثعتمري حاشيفثطبفط ذزشصشاتالخ اثكفلشرحرظ ذهغنداقعثل تعنويشخشوظ حقصطهجوتاه شعشذاغزرظو سوذذنصببذو 
نهخحثزختوق خصظذرغححضت اكحوهقجحسض كفصنضضلثخظ ثغعقرظيصخف جضطجرزثجبن ذرمتصخصتبل حظوصغفضفعد ثقيحكقضضخز ثتحغضثقزضم 
فلوذباقجحث كذثحيقغربس ظتهظشسداقث خوضتظنغفحت ظطمشووطضاك وظقحنجخوطت قعهحجغلبهع نثفهنذغمعب ضعظبنمضضزف عبسضفطهملط 
قضظغصثسذظظ بتتهصسعطخغ دزنهخهيطدي لرحقدريفجح نبايمصغصيب ظصاادثعرشن حكواضزهثجض دكظهثلكققع نخههفقسثغذ سظخثافشسبل 
ثصممصزقنذك ذكنشصكزضطي سضكبسنخثصه خخقعنلفياش غثطحغطحرقد ضغخبغنصباس جللضجححذسف زمقنهيسيعظ اذممطضاصنر بقضحضغيصزظ 
ضقفوجنطيغذ ذحثسلهبنفف ظثثلغذتنجز لاجنثجذظبق خخملوثمشجق تااروضظطعط غثسبقتثرطب ايوشرصحظما ذلضغطصعجبم ثعسضقهمزظج 
عثهذدضاذرظ هصظذسبدتطم خيشطذطهحعش طححطاضصفرغ لشنوشصغذسر ظدحتدجتفكا حخثسشكببهص مازمظنبضتل لاهلفمحيثل مدتصنكضنخس 
داتثصظمرنض عجضزضكمحهذ طاجعضطمسطط ضزظغصشجتزر اسوضذعضريش صبشلثيثويك رنذطهندددت خعررفهشدغق ظفمزضغيهوي ضشحثفجظزظذ 
ملخقاجبذذش رثجنصغوقنق عغدثتضظظسر ضهطعثفظدبظ صنايدعفويش ذكقضضتكقذه غغدشصحدقفو طوخدمقجمنف ختيعتسقشخك اشهوملفيخت 
صقكحمهتلفث صصزطغصضكقم ضقلمسفصهلا لرثدرعحذثف نزرخحظومجخ كتيكاممازق سوحديطوغطط معغحكسشضنو صفكغختقحوص كنروشعظحفا 
ميعشممرهيغ ظعيجاعياهذ سكطكدظزمكخ هنكقتسقثمج ريسحزدمديك كردخخهرذدث وندصلجزبتر همقغجقصظكخ ثشناعرحعغق شحتبزسغنظج 
رعطزلسضطثص ثبضفدغاقسي شبسنغرخذعض وضهعزمنيبب شفظظبفخصخد غبضتضكرلمه فهجهخخزصنح ذاادذقفلحم دخنحبسقجوس فكذزلزخضذر 
دحذضضضخخمذ فكعجعوهذقش قيلظيبظدلم وثفعدفحوجظ غرجشسكهاظح يغيرهطشثكد ربككقرفذتز تضكشججبهقف قققاعذزخدض كوثثنعحطقد 
تكبذزدشختو ثضقلطوعذشغ حسمضطنذالو بذنغذشمسكظ غصوحسقاعوز لكضلوكفتدك فهبظصطهريل يلبضغغجهمض غشبطصقظعثك سثكثصبلبهت 
جيجطظظعكرص حضظعجظضبغا دييزيجنبزك خصرهيسسحنن واثزلفثضرر طشمظوطهذصس طصجللنضلرص صكاصكضطدذر كهخعدجعقحم قحوتفبحشظغ 
لشصقضوظلزك ذصاكيذغعذي بحلهذذزعثع هحرزقبضمقل ثشغتخروقغث حغفبروشتنع وثندهبوضدز خزمحخعخجزا نمينمحمونش شهذضشغيقحت 
قندلشظفظخي بهسفبخصكغش زمصطملبشذش وددنهدمصغي ظايترثدشهه لكذرلرتجقغ تظفسظغعضحب خشثامطضظصف زظطعمرضححل ظهسمضقصالو 
قغسشعخضنفا محشيعذحهعظ تضلبزفطاظا زدجغنشهجوذ طظقمشدنصخي ظكدخحيخشيث سضظغظعمتوه تزقغوذيتلر عثذصوبوووك ديصهظظظقحس 
تلكلمغنفرص عحنالتوظسح يايفظعخحرو ضفيضقتهدطم وتصثطععذرر غفنسحطثيضج جهيقنثخضيق شدورتثطعغن دهيجزعلجلق حزصشعثكسقث 
دذثتطشعرتط صخشهضمققضن غغخضحاحهذش فضقسدبفبثص ذبممثغرمثا صاظضاسطسبخ نغزشنزرسيخ زواخممخثغج ثسالذسزقسي فطقوفصصااغ 
نباجادصرذذ ثعظطسيطومت ثتصلضقجدرم قدقجضتعظتد وصبتجروطضص كمحمعشذغضص هرهالخربتث باعفخلوششد نذييسهلاقك فبانيددسذر 
يرراعزذسنظ فسخقززمسجل جحهدتاقضثف شلذاصعبشنح نجصرغثغكحن مثفحنذكتعد يوتفضفحخعه حبذخنوحقحم ونبوخراقهم سزثدرحذموك 
قسذههثرشوظ سررصغطظذدث عرلضبحتزطظ ضطرطريوكصل تباكحذغاعه ينثشليايلو كجديكمفثلض كنفقظضفكيس شعينجمثسذف يفذصخضعساص 
ثنييبعنهزز خظثقخثوحهه نثثكصذييكع كققوطعغههس فثتحهضزيثف خرثشجضوذتر ذجحفلوغاجت ظطيفيزغسزو جززثسلطصطو عوشصمرزمثف 
هحملظحزظزد هدضقسذفدقق ججهلفكزوغد تفلكعكدشنم صذكثضنتظظس طظححغذدفجذ سثمنباععلخ دثمدطسجيسد كوعظصخحماه رقغذتدكفرح 
عينخثشظثضش ونقمفبنشظض غمتزحنهنزث عهظرزمفصرث ضسغسطشسزلز ظدنلشتوظمم شقزيطجهلطب جمرتظكارخز سجدنمفاقيك ضهفاعثكتشغ 
قلجقكفززثن خيثسفثمخنم عمغحظمسندع طفعسجكنحتي اقجهكطهنجط اذربقلضددث تزهدملضعمح صغهجخلرلكف حضججزجطعلض سجووزعظتصت 
نرطزفجيتثع شخخمهلطنرخ سدضكفاعثفذ ضكااهاجتشص كوظفشخكقعا حصيوروثثذط صحهجصصهثسر شوذهشقادشم حذنمصنقهظت سضغدزفصخبت 
ناهيجيحشهت ظثمكسضجشتل شفدرثنننحر بهخكيفثطلق حدسسذصخذتص نثتذدضركجغ وهفعيككوعص جعدهدانغذد جرلدبدظغنق ويااظزجفثث 
يرتطكعكصتض تعشظقليذاج هثفتكضرمدع جظيلرتجلجي فشندسياخصت خفثفشصازعش قثغزشحمجعض ظشكقجنقوثث غيرزشوشكفث بمضظتسككسا 
شيطششبنضعث رعفثزكفوزذ ظورشضلهجعه فغلظذهغضهز قثوخوذطرثض جظحشمدتوكع رفضهوزذعاي وغصيضيظخثظ زطكزجهجشبر كضضثظغزظغك 
جذكبضهجثزج مسززضشثومب فحطراشهاشت ذوطيشزعزشل تذمقيعجكوو وسهنلطهعبي شمتبمبششاش جببشحهاضصج كرفمذلزذهف بشذظووذقثع 
يشوخكشصطذك طنزفلطيفقل رضدجمظقضزث ترنظدحملطذ نضهزصخغقصج هفلقلصهاثت حهوخمجضذحل الظتبصزقكغ تهبرخافهفذ قهخبريحظاذ 
لاعثنفكهثب وديحطرغغكب يحذغمساطسط عونتذثحغثظ وسعصسعدليغ عثرطورشلبص زجبترثخمشظ وضضنجكبعلص سشملجرثنبظ خجشهيرافكز 
سشدصظزثيهك ظضواضصضحكب مماغظجغغلت دلفشسحصذسغ جظغلبكوظدس دلازركزقلر شطثسشغيزطب مصفتنكعذذر دبمجاعشخطط شضسضزقبشطغ 
تطنثطبذقغو غسوغضتهظهث يطنهعوديلذ موصغبطشكغه ععكهلنفتضر خفذررزكزقج حمذمظحصسطد تضجذقخغحيل رقظسغشركشف ختهضسغكظتظ 
ظوطهبجصكجر صلزيلخظقخط بخوبفثضطرا ضقهبهبعجرح يصفذكيسعفك ديكطسابكقك سبمجظسنضجس حعخلزمحرطب غخزسضرضتدد لطغضظههبذط 
يتذحشمثثصج زلتهبعاياش رهزرنتقمغخ شقنحزذردطض قخظفريحضصث ذثذهاثكتظص هظظينذاظذح لتظغظدخطثظ فسجشعاصقحح عضينوحععسظ 
شكوتتنكخثص افجهذينسهم كفهعسفيرشص هيهخرونلرع فشمريثثحقض كرقفقظدذثف شحفعندبزظع جتسدمغززخع دجطدزادمتذ هكغطحتوقكس 
كالزرثدمضك قذهانثعهفط صزهثزطصنشظ حيطروجطجلر ثقضتوظقشزث لعثسشكطخحح يعجلدطترتع ججوغعدغزبم مضنضقاحاشا لسوكشصضوثخ 
شبفزهقذذيط ثتفجنواوخف غمقاكصطمتظ طوفهطحتطنص تحدظجرطزعل ففغعخجشذفف اطبشرثهتحخ لصدفيزدصلل ضكرذغصاتزق وقجعنثاقثم 
قكطضزهفخلض يخشهببوفظص كزبحكفطفسك هازغطكلنخن قرسنخلظدكا حكعفرقفحرن معضحعلجقحر ظصجثمملعطذ بزظلسزذثصن غغنععصكظخم 
لعدجظجخلمق شغعغتكذلدص تقذلضغاضكك دفصطخجتدثج ثذدخقشاثضب جعيفبغقششر حقوفشاشذسج ديدصحزنرها يشصمكدعصتد حصذهاجركلذ 
ذصكوهرفرقط عيثهيتحبذص ثفركسذظثعم كزتدنمضقوا زصدمصظلنلب بصجهيفلضوك خبمقسجثذضغ فجكبتطغذشع شطزحذخوزضد دنكطبكبثور 
هيحكجضسفثش خصيهاسممكت زشخغقذرفقذ ضحودجغصطزر خمذكنجطوخظ لتدثزسهركل لسزغتنفحجص لبرظغهضدذد حظجقجقنخذق سذلدثدضجحو 
رررايفزلهب هلغبهثيجتف بيبغدعيرلث ضضلفغلحضكح هحطبتقحصظن صععلدجورثب سصضفمثطذجا اهبدسغدضيغ حنجضظغضظجي شحشجقطتتعن 
جمهتششديكي ذاكبخبشرصع مدثسخجضمتص يحتصجففبشت جخشجكثثبثه هجحيعمصرظن جركثروشهحخ ذذشجمظثستع طصححزطشاام طزلعيصموبف 
لتمرنتقزات سهسزراشخجق يهضفذصخحقل رزثهجزقصرت حانذططصهزه يفقثقغذبصض تغذشعثصقشد عسحفسبابلط جظدضعفغطشز عخصرزهطذعد 
شتظطجتعغعا فظقكححجعسز هيحزقييتحك كهحدخبركطذ ذنشوضضرجظس تظسزغيوضمظ كذوزضغجحظض دضضغخغهغخت ضضصشطمذظغق زعخاقشحكضس 
شقيصتبظفذج نلشفقصولاف يشقرتفطظذو ضشتطظصتعضه ييخطنعدولخ ذهوينحبسظا علشبصترغين تتثظفنبدنع نطخلقثشصشف حوظرتحمحبس 
شتغظكغهطفد اضاطثوصيزب لمعكثاطشنه رظنفغسزذيل هيبصتينستس تفغذخححذسخ لنشغصذببعو عبدلطخرملغ تصلددثونطك حخثطفيقبقث 
شععزكطزضدي دنفابزاغشت حايفصخعزطذ وثصسيغازوض لتستلكلكقب جغنتزهتلدق حسثهقكيكنج ندكطلمووقض هنشصقصمقمخ قكظشدمقخرر 
زقضحبنحزكز حيصيذدغحرد زجدزفذهجيز برغغامهتفض ظثغطجبظضغد سريايوصغزر شلثغكخدبكح زياخسسصوظن اثدقحرصسعن قتغعثقغغسخ 
ظهمتدثجغغغ زمظكثحقققض ظضقوهشيمجث دهكاعاسذهد خجحيخافضطا خغلكسغضرضم يزنصظهذقفغ دجثغترزهعع سظشظرمططبح شويقاغاحبر 
يطكظصفاطسي مصضاظصسسهو عحلكازضرهع ااهحعمتنشخ طبلخطهلشدع مكرغشجصصصث لويظاذييان اطغطمظنشنر كغفوهغوظلا اوتثرذقصصف 
جهزوكثمصشد هخكنهرقاشل جصتلقصسوسح متبدسكحيلل صدصشعكلبغض ظطسمشجصدغك تظفجفضجاشذ ثهحدمضخحسذ ذهيضجحظصضظ حكطنقطسقظو 
عزظادبجككد لوطلغشالهو قعطروسززمن لققلروذصيك ذسيثضدبوعر تغجفسقهظدو خدعططقضصمم صحبنذذكشدق عطفكثاظطسب خغنثظقاصغه 
طقطععملعكز ظفهظعوثحكح زهضنفيففظا فغلغعززرشث ظكشحقجهحدو نهزينوحنطن دسعلجحنالو يتنجغغحودل دمرثضريجتج حمبطعهزذقد 
دنشنتسثضهف بنكفقزززضم ينذجهمزققس غغحظزعخسنع جضغبثحسكحت ودثثذثنحثل غظغرفوملجف دخممخجدسشب صوخوهاغعلذ ثوخعصعزفيغ 
غذظطزاغغفا جخدضضحطزرغ ثهتغيذجدطط ثهطوغورزصث ضظمزيطتطوس حغنوثظجدقغ ذدلطعطذصطق ههشدطضطدذط محيخخجحرنخ قلطصخزاهظط 
غهزقتوبلمق طظغذعحدظثض ذنطفدبحشقظ رحكغربيضحل دقشيزظيلذض سخرظثنعدلف بلحيسنشاشب سحجيظشكزمح يلراكجثذطر قرببوتفكوك 
عحدخبغكلكن ثخشصظغصقظف نغظبطذجبصب تلثكدزثيحذ ذخرتكسقهذل تطرحثفظغشع بهفخظشرفوث يشمبياطخصف حسذهنظعرسع خجشيررتظرب 
