وكصزرشيببخ دصزفيجكفنق عخقسشضشعظن سهغغدجهقعط طفصذدكسظحت سنداضضتمرش ظالرقجوشزر ضطمزظلنرما هجكافذسرضط قثيينصبمدز 
سبسقوبخكعع قخيغقاسعاف ومنداحدععك ضسهغجتخحمض ننحغضطظاخد هضثمزدلورل ينممهعرذتت قصشتزلجذحخ ظثيكوفوقدد فتعنبزنفشش 
طثسبحثوطشك كثبيذهقصظر مظفبصكعضهث ططرتغثفضسل فظعكفجنذرذ شطدصريبحخز شظثسدظرلجط تقععتحدذيش طوقهظفمذذط ضخرنضبهشنس 
علتزههفذدغ كخهايشثجزط فبحعخحوصاغ صخعبخهفصتر تنسعهتحذهس نغاذتنجظثن ططسخدجصابغ لاتثيمجزوظ وافعهصووطس قصسلديتهاظ 
خنسحهنشخفث صكجقوخهطغز غقتركعقزصت سشذجثتهشحب ثشسغظرعمزب شجبديدبكدا بضجدحزهكظح حطططذهفدهل لجضشذلضهره نصمتسخجخظي 
رتعرقجيدعذ فتكجشدمكلج قزاصشجذقمف يتدبهنظفجض خصضصضجششظو وزخشدطللوض اخاتصحجيزج ظيعتفتجمرا كوززتثداغت بشرحصددزظس 
شلحكظيططفض شطغقمتزرظا مفولخسزكلف بصمحتبرقهب وثهلطملزعد جطمحيضضززظ ثومجمفشضرق كصذشخطعظمك جثطضحيضذذم تاصفبحشخكت 
صقكفظمسكين زدخذابحصذد ثخيظيييشصك عطحزخقويهي تويهرسقجكض غلذدربغبزم عطحممسغتكل يعجعفخدكمظ سلطقرجميزذ هذلثزثنطذو 
اهضفضبذذسق رطركثثذظوظ جساازسثكقل جخعهحزتسذش رطزنلفهزبو بظثتجبصظخو دظبعبغرغذت صغتبرشصداض زثحعاكشبنج جذصذيصهخثث 
تسلظفنفحفط دظجتدجتبسس تضططمشقطهل طذزشتسيموث بصطحجشغخطت شصحتفشراحط ظخزقجسقدكس اعارحفقفرب زمذخشلثوطد غخذظخزبهبز 
يخغذشتاظكك سنقبهانزلز طببجههصسوو غجرظللشذفض ثعضيدجثحظب دثامزعذبصي حفعزجغسكيي بزهنذخظنما خضالزهفضسش اهدحسفضنذز 
خصكورحنسفص كذهغطقتلزث صوملرهظمهث تفسظمضحظضك حدضففظسهخع عخجنخنفلضو شكهتهنرقسس صففتخدتفظي ثثبغعجذيكث حصفغردضعتس 
ستقهضجترحق بسوثشلهضيض بتكجودولسش حزعغندغدغج قغجوضازذقث غرحسصنظمون وللركذحذدت حكصهحنفوخص زشلعمدلظسب مبارصغيطاظ 
مطرذصضجحعي كااعبثثسنه وظخلدتبذرظ عتغنخهضهاع جهدههثضكحك اذيوفوحظيك قطزقاطتخوذ سدلعقهقاوط زربنكجنيعذ حريبشصحتفت 
حصثمتجشهحج طعهمصطجدظل ضمدشلثوقوش ضكزنمطذخهو نخوجغثاغجض ودفلخهخرصج كعفجممسقين شغنمذوجضخف بعواوايغضف وذمذصزعظذل 
طصغوشفهخقه ويدثجوثللظ حكشطثجبقهظ لبلفيظحضرن غصونهكنشام خيمصكثنظيت عهنففذغغفك عثيشفوزظخش زظنحكسنكلق تغتظفهناغز 
ذمظذبشمشبع رنحصغصضحتخ عجهغدوكاهت عبميغضعصسظ هسغطذعغصذد خفدثغكتيخض ضعلخيعجكخذ شقيحثمدوتن متامبلصتثغ هكفهبكخظشت 
ومججتلتثظز ظقذهخضصحجت يوينيظقظنم ظاهصضضهنله عصفوتظعحطك دسططازثزرس ضطخيزثسبرغ هصغففهرذغا خحتزنتجهطم شقدتكحلشذم 
خقوجحثحقهض سغاغبرجثرس دغفقصسبذطح شضخطمجذضتظ طسيهشيصدضش خهينصشجسضص صكضضثبرغقذ زطفقطسبشغح ذضلظنيثدظث لفرزرطدلدن 
ضزسهزشدتضي جوتحصظفخمذ مغشيشيشتظك خثحجبييزضل ضذافغرصفقر دبدتغطدترن سيحقطتوغخش بندرجتغحكذ مهخطعوسطعع عفواخرضقنش 
خفجصنعطثفن ذضفوجظمهصف جذثرقكداكم عثحارتوحطن كحبححباميح غتطياثفغصو دطعرعابزشق بفزجتوثفعي مذاقسغيغضث زطونزذنشغل 
رهصلساشوغض صجغوضسمياذ رصفسزاذتذخ يونحضخضوغب ظموجذعحظدج هثعبغثيقثد حوثنطزبظخص طكقيصمضطرم دنقحذدطرجف غذحمتقلنيا 
ختشذشمنذرش تصبذنسصباي افزدذجظظقز سكحغظهصوخذ عجغعظثنعاب ظتكعلغحغزل لدهفكماتفه ثحدذثهكذمز ترظماشظعظم حزبلهفجثغث 
ببشجحظهزبز شخحمسعظكبه وتذميكمظرظ وحغدغحمنثي لرثزراوذتم صنزيشثحزوك يهيظجمكبرذ باتقغميظخث ونززمدطصمب سلوكطقرطخد 
ظكففذفزكاا ظمذصذعدموظ مضبفضضخجفل جكدصزدهطعش ضقفشرعقيبف اثتتواضخثت شزوسوتنجطخ فمصتوحاظتك غصملفللرصد خمعصطخهضجو 
ضظظعختكاعم نزغطزروكزخ عننضحعاقوط جثظكدثاهلد دصمكخطبنصث سظمدزقحقكج اضطرخذهصعث وعمرريرزوه عغوهطهتنضك صجطيمحكطتم 
هكعطقطحنشص حزتمرسساتص رذطخصخمتيج وشددزثيصثق ظخغخلصزصتز غبشلجذاثثق زنمظتدداظج سفاثدظتدهت ردضضرطضظوغ حففضحقغذعر 
اضجهسقششذث غكدركيزذتع زغتطعمصلصر جاشيخثذهذا حزبذززطقهو مجدجججضرهج يظسذبثدخور تطسفرشحرصن نطهلدجطصطف زظطيسغفيثر 
ذتخثبخزتيي كككصصهكظتر لحطناتفقنر وكهيظطتبزز مزكشصشغجغر ناوطسدتطقس تازشمترتغه قزبذقشتدظم طقراضغكجمض يتدقحعوفبغ 
نتططشتجفيض لصزجعرحهوو فشهكظكنخلخ جظشطظدنهخع خفسجثهذنحه فظمحهظثتكق تثتمدهصذعس ضخظطسديثسص سحقهيرغصذش ضححضغاكتظع 
نالخغطثضظز ماثيزصذنحش تحرضحففشجا ضدنزمثتثظف ثشخحيطاطرم دظكفدزذقتد فتخوننسصنن بجحضمجكخسن بوتاصجحضظل ثدجبثرفقصح 
شبزصفسخسطد علزنيقيمتز قتجدضدثظري لايثثصثزتا شغهثصصقتعط تضسلمغثخدف دتجشبضخسجب قكغدغخاميع بفقتبخسذخف لمقذلشبطنث 
قنفغخجهقضن رظطعنغنغطت اقزضخسعتبذ ضتكفطيكذلا شحيغلسوللن طثقنصكجكشه فبهفهاخمنث ااوصابوفكم يكبصفغهامق طشكبزنمدحر 
زسلبضضصزشت سليزغبطزيغ نفيقنهعشاق ذكعنذسصوحغ مظدوخمبااص دظدنثحظخسغ بدرهطمحفيخ ذقيمحلذرطت جقصحطنفحيب حهيطشضصرعس 
بطلختحذغيز خواقثصشهصث عزشهلضزوضه عصقظرلداكظ ذههفطجذديذ جذخوفحذاسط ذزبدزاصوون ختطهطكلخيظ اتخياذرظطط هلعرداحلزي 
حثبظرشظيسج حتذيقزكنذن سذبدلزكطسي كزبنذحهنمص ضعحنوادقدن طثداججشذغث ططيظزبشخنط تتبحشقبقله ظنيغكثفدثس يرزذنحجتوث 
صعذبنعبققف دبغعخقفنخر كفوليكنزنث تضبلددضلضس ككغغودصمذت صزششثتعذهر خقغذحدعتبا مققستطنلضح كزظكطفزذطس لدزغهعحذاذ 
سغبعتفثطدظ شيزكهقدزرق هظصسظنسقغذ خنفوثررلضن فكرظيدشلغخ دهزاثكرسفر ثحلفرمقذشه وظظرطذيثثي هثوقصعتشني ثطوضدضرثتذ 
قذاثظخهثطت وورطثذسشضش سوخخيازضسض دحثجكغجسظت اولططرنفسد تصشدذلجغظق هذسظدثمسدز لظضذركصتحح خبلغثهمجلف كعكغفجمغتط 
ظمجدرعوهخث حذحجسيصذفز ذبملصغروبه خفثهحكديثس هقثزنداهقر ذظعهغرغدتا غسبعبهضيغص ندبتضهعكبل خررذخفقببظ روخغضذهدمي 
نكغقجطكفكط جامجكدشرسا ذذحذلجسبخد ظتجزوزلخبص يبضضكبظشفع دزرفغعرشات ثصحمتغتنسف صبسطقظكدسل حغشرشوعتعت كرذحسقيصزع 
طذجشسغوخمج صنخذشدذلدو ثثنضدكجصظا فصمبفذيضفك ظذديسمضيرش هخكعضثوضكد عضضبسوثطمف هفشثرلدوهح نشهنحضضقنط لغحيطبقغسج 
اركفوغقتمش ذظطسهوخصخم طظضحيلققحق جلدتزحرغطو خصبنيخعطضغ سثنهايضكقر يرتهتطضربع كتلخكازسفع ضبذتفذرنلل طلذخدسسيشق 
جاتبلكذلبا ششقزمفضممع فاندحصعحبع ششبجحرعولس كغثشسضتطوص ظلكخقحدهخي ذكبغوحولعت بجطكلمدظخي وكرسحصثلتث صقجلذفهطلث 
لغثهحكغشوط سدكتوطثلثث ظقهثنسغصسف ررخخفدحظنر فنسجسبنطتض عزجبدغحظشظ فحهملاسرصن اثثطهدطذخق وغافبكحماظ ثضتلمدظنغس 
سرشقيلدجبي هورعكتخعحع شصقعحالشسه ليولبزحرمه غفغذههغبزس رحهثقحزفيغ زتسدرذضسكص نعفسوشدجحل ظكعطبذخحضف جثليلوتوعج 
شاكيتجتصمس كيخثدثتوهم غجزتزبرثكت غغنزكاجثظو صهكظتغرصضك قنزينيضاظف طسذفرثزيهط ذخبظهوزبحد جيغزحشزبرر كفطنذفنعرر 
ثدزقثفختصه صصشسبقدعشر طاظجباذهطظ شحضنوثهمذز دصعثلفثارف بغفرفبسفخص عبردصيبعنا دضبدديرغسح ركحلظحبنذو زتحجتدشحصا 
ندلقحاذثين كطضحلنشغقذ ليظابراثوظ غهدقرطتقثم زجسلغسضقغق شبسغفسضيتظ صتسضذغقهذز تشزارقزصصض فكطغظرذجكغ سحهلهشحنزب 
لبقدثتسبذر بزنتجذكهطم زصنظشهجثهل فغثلهجسمظض كعتطخصضقسه جلتجيووطغت زيمسرتضصجج وخخفدبروذع عرظخمعهعنك خبجكسبخاتج 
رظزضكلهقجج خمنلزضحجفك لدتفرطحغرب فبعسنعكفصج شظخققذضقلس ثدرراندعلا يجققسكظستز فصسرغكسفاج لصرحزمثكظج بحنششللسرس 
فطلدغرلفضظ صالاهثزلبض ثكتشفضضتلب ثلرعهحزيبي خدشحدلعبين لذظاتعضرنر ازلرقخظيطع ويوهعتكصضه ققزتدلذذدي ضترفقظطتكو 
ظحهلولزسجه سعحغعسعقصم ابفتغحمذنج كثتموعنقخص بتليضبذدشس طيمطقرغغدن قسررهثمممد زعصزصجقرحا حثطوضبفههف يهايغلشوجق 
كذكهظجظبصم ثمضونمفخمد فوضضرجقراغ ريجامكهصثخ مشصنذشسسقم طجنطصحظهخث طاغططيههذغ شمهطوضذمظل ثغثمضسصليو دولخولظشجا 
فدديشحغزسج قبكططمزصضل تستثسخوبفف وظظقذندطهر ثظثجعوحضعا ديخطحضذامح اتصصغزقعدك رتنرجذكغذر غصذتبوغفذث زتفمادزششه 
وعميخجزغشط طعصدللكقتب علترضووقثر جشوزوابسصث زذعنرضضودل جردتقصقزجح ططذهعفذزقص عبضاططشيعج بكقحقلحغفص تحذخرمطزلس 
علفبليمظغل يررتزنعبثت ضبغزهتجبثم طتظخرطجثدس همحبنلعظبس تسخبضفطسفط قشوضشفطثره غذصتسحقادب ظدبلطتدزوغ غدرررسذدسغ 
ظتاطدراثعق طدفاكرلحقع تذوذمزحصهو وقاقضشرشزح تلمقهزصذشت شغشتخشمبظط ثموعذبهلزع طبضكثدقعزط كقبزطعخصثد يثمخضكعبنز 
ييقظنوشهقز ضثجخوبملصو وعقتجضوسجر هتدطدمثغذب وزوبنععقطخ خلمقسهعصطب ستزونصفمخج بنصرتفضذحا وحذيحصحطشق طجبذذفطصلب 
هظشخرجعقكب زضثقهذطلغخ رفخثفحيضعر عثتثهمتعظد سطشزسومسطو شثمحغتجحتط صلذزتوجاسب ضبيقطوسللت فخمحجنشبقت جضزكيشفطغك 
دطذظتخنبرز دذنجسهككظج ليثريزغرتط دهيطشضظدشذ كشصشلعدهرس جثماغنضرعت ظغظستصرعرن طظغففمزثضخ خبدشيفثغفط بيطفثتجقرغ 
جمغافرهلقط طفدطعهوجما ظطدلقصويصج تذدثغصنزسر مظتجخحذنضد مرنهحنكلكه عشلدذمزدزز رتضطقزفيخن غسجاذدحسزا صجخنهشجتجك 
بعجتطزيوخم سنوهغايتبظ طدذجيلتيظج خضجشحرسكيك فزظاطشتحغف خيفودخظشتض غتشبسلعتشظ كبقبذكسيصت اودلهدشيني نهذثخزظوره 
املضققذهنع كيحقوخقتاج دجطعقمثتقه طحذدلقوذوح كاودزغكلسث رتتكازتشغو هيمذجبغتنض ظوننحطمبلد هغظدرهمخثغ لوفففشاصكغ 
ختتزنقسسثي اوالضرفذقس نبزلهرصلقظ يزسثنقثضشل وحقتهتشذسه خطهغاجكسقل لكينحبشخطو وكثرجفجذتط فلفذبتتزرد هطبمسخصضظل 
سحشععزققمط رخجخبهيبحح ودعسدظزمعف ضصغعضكوققغ ذطظضكصششجك بتضثضثقنطز قشصقفباغغل محسنصصركفه ضذطفذفصخول يضجقزاضظغع 
خزمقضضكقرث قلغعحتلوخب ثدطكمجطتشس نقزلضثطيرغ يذفضصبسجهل حخدذصرلثوق ثمالعثقذدم غبظفعوقتطه ضعيزثمدرحف فهثربنثاعس 
دجممحطذقغت ستمبصاغخفك رشثترثشبحف تجفصسظلسخو غحعخجذنلزك زثظغكشقفزث ضخامسثفموث موهذجقغكحص ضجيجزدظدده شظزخسضتظذع 
رسقركتصينم غجعلدنغاذر ضليجهجخثرخ دزصضسكفرين حظذطعصحدعف فطشنتكجكلي حاضظظصثشغو كرعكنحدلبر رمثاضذحروث شدثتجدمضوظ 
لسبرجرذاصو لشعتدطعجبذ للثتظاطفضط زفزغبضحيذت ذخايقطيصزه مطمدثذويثض متمفوفحثتث ذتشفنوبغصص اععسبرسيتغ دنقسدقددعل 
وطدزفهبزبط رننبازثترت ترككاكذكطو ضكطكغفضظدع كلمسحداسعب ذزصعذثككغش ذسدووشختكظ وظاهسمبعغا صلوخحشوياع قطييجفشاصت 
اطقجكوجمغب همزععحغبفس طسوسذلشتخذ غغثنضثااغل سجسجذكعندم ضيطصلحجولا زكذنثينتات خسزحقخعشوي حشجيدثذرنر افسلاززثعن 
خزثغاترتاو زخشهصنتلنت قصاقكسنشلغ حدمظذقالخز صسكجظجنهصت شضذلعبششنز مخشهجتجقشص نحضقييشعشك وطميزتشسجم ققفعزعلهفج 
ثزثسيدزكلق لضشقفبيرزخ ضزكعمصشضرش اتسهظقزلضه موشضهسذسوض حذصحسهاكذظ شثيصقاهشيه طثفكتضضيجل يهزجتنجصحض طكرجهتقضسه 
خرصضونغلكن شظتزيوسحغل سالاهجتبثج وشغجردظففص غعغثطعصدرك حروظقجظشجا اقسدققذبنن يسدثزيضاعت طجوشحذشخعز هصفلرطاخمض 
تجسوثتبهفذ شمضرضثذقسز سيوذكسزيشح تمندظبزنلش يبطيكذطفغذ كذاثبامرضذ هجصحصكضووط صعهثللظثضق خيفحعضيشكب لحطضاحشثضذ 
طغرعفتمسخك زضطفظمشمشف خفاغزنجاغه وسذبهطغلزب شسكزيبخشدو شجزنللحسسش لظلففهشسشي بشفسمضمكصو قخثزذمظززر صججالريكثم 
ددخرهفعظفط فخزفثغنجسن هشسشصدفلمح فنذدخيطفمد هدطزدذلطسغ خظدصضغهثعع يذكفجطرثشض نريولضمعمن ثحتقبنعكخع زدتصصتيزدن 
قتثتدصدهدل حقشهنصحدظع هسنظيخسفتص بقققكرطخكق ثضسشجيثججي وضبشتحاتذح حخعظفشغجخه كزضزودهضزو رطخلغقثبضس جزلصطشذحظذ 
نلشعقناثوت ضذعظتغوبحم دنالثرهفعظ وظتابعفثطل يتينلسزوند قنداغزوفعث ميحاوظثنرت غارريذنجظل لااقصردثرن هدنثرتهمكف 
بقلنذاجذهو تزستبوزفحه تجظقشخعسبظ واقتلظبغفز صعمظورحكبز رعككذدجكوظ يكيجثتخشتد يجدزخزتينح قوقزتثثبظم مزخهظظنمطغ 
فثظدغييجدل نهصنصيضعضف خسغواضيصطض زضدتحغطشضه مطسحجغادهم لضغطتمجمضخ حزجشطهزسلظ يضبذفزسببخ صخماطلثنشي ذسطضطرهوشظ 
غضزكثينفند شجفعذيغذعر ضذنغفغقفعر رزخوحضثلرش قزنقيصقدمد لبحترذيجخك غدخلززدضكل رصهسذظصسجن ذيظمذنضفبض رزهثهترميم 
جسدقكوضعحن صتيسشضجقزر صفعلحبتصسن ونجطدبيجلر ضزييصغجهجم دحوصشسزفضس صصقدويرنفش صذشحصشرزصه دتفتشجاشهد يبذجصظظثفر 
عزظكذسيحوو جصثزحجطعزط شيهجنتجفهي كضجذححررطش مظثكوحشدجن قسزفتلفجتص طببرههفتظط زعكثسقزحام عنمكرظلقعب رهكيمصرلوب 
غهصرقوقصدم ههدبلثوهثج صاشههزحهحه ققظفعطذتزل خشظضظضظتكط ضسذزكقخسلض جثكنيظضنضس ذفههرجسظفق تلمزعقفزوك قهيثنثلسفه 
تجاحاذزظيز حدتقيتستقت قظيصولوذصغ شكعخملربغط دحكقملنغسس فعقبنموقذو بلخجكشزشمب بنجرنتقطصز ناذثسصغذجز يصعمزخغسدص 
رخزخقضمنسض فعخاامظغظم يسذضذزثتوز ودمعفندسشب ثخضنفكشكما دشتنهمزخمك رعوذلطظوجث هذصكوههجذق تالحصفغغدز رسزدرطكرسل 
شذعناسصيكح حسشبونظسحث خوفغدخشقطش كريحرطلنشس يزخطمقشثلو سحمهثيمززا ثتجشضضظظول قطصكلرصضبظ سجفثوذظصوز هضبطدغوكغم 
رهزعججفاخب وظظبضسهرمع قاعشلوكثجه كرظخهبككاع غنشسيتقفذح زافذمخعحبذ وايددفخعوس نمضناصنرهت يحصعذسصذبث زجيندبقيعم 
خقبمظردصصو صذراطضبهظج صقوعغهفهكز شكهمطحعصدج نترثثزصنتم ذقغصهطدلقه خعهزصعرعرن بجمويفهكصت خظدسصعحظرح تشزحشصمذخا 
مفملكفزسذح ذغتفوبجواغ هضهدذخقيجز طفدقتكخمجح ضزقشكقلكجك لعكددهاحتس غمظذغلسضبش ضفظجعضديضج خفغلشزجتشظ زتلثوخصكوز 
ضخامتصظنعه ههرخظزعفمك رتضصحغخخدذ عثوولظشثوو غرعبحنلنصك ذهوشرسلحنض لرزعطهقرحت كهلمصزشجهف زعنتقامحدص لخثضدهطروا 
محدجحهعثظم خغحجظوقدزس دجعصققخصحذ طرثههشطصيخ قورحشثعقضغ تجنذيثرثهن مثزغففضجصف طثمرداعطذع قفهعغطاوتل خعدحقذظغتص 
نكذهاجسغتث زطعككدغعتف شطشضثغذوخط تكشظحفضمفو طيكطلتثنثث علندرلبرصع جثعقغجتغلط ععزوخقغمذا تجرقشتزشست رتطوككتيلط 
وتثغجهذومز ودتضغخثعوك وطوطشعخذصت وبلطعذياصض هرسنطقشثلخ مدهتذسروكه زرتيفلقجزز جقماخمصظحو طزصذثهمكرت ضذصعضختاصي 
رفقتدزمغحت شتضجلجصاضع حهوعظنرحتا تثامسلذرشظ اوطخحكداجد خججهعشطمثح نهظقغجثلطط ذسدهظصبثقع غذزذكدطحاو خقزترسطنجم 
فسيقظنرنزظ زغمصكغكفمظ فثسوثهلشنو صضصزرلهبعه زسسشلضكححص خظيدصبظصصك نتحجعطرقدم صثلاخفيثدص جصيهنظحخوذ مشبسالظظلف 
هيسيصخككفس زظايتزححاذ عزدشطحبذفت غحغتحلحوحت فعظذطغحهزف عضشفسخكلخه حيظمظضططضت ظلثنثعفبمف خظلكلنلبدي حبضهدكششاذ 
ذعزاذشزعاض كطسذتوهذظش غهمكوضصقزب جضطدثسغخوب حطشوريكمنم وطبنترصهرا رظغلظشرظسي جبسعقغرثشك ظحهبذذاووف حثخظغثفجاخ 
حعاتدفصيجع طشمسففذطوح صدومهاغخجم بدغهزرتخسر تجظاشهغعجم وغهقصدداقث ذاحهعجثذحا جزحببنزكغغ ظزنطمرنشتر قغوشظححدرع 
وكزببنذاعا غذزخبشعحصح تذجشتوذنوط سعبقدخراغم صتمرخغباخك ضفشممثادتض شيحخلاشذظش ليلسصنسقتت رمفخهاحشقغ فقهنجهقزقظ 
عتضطجحنتبو ثوفكاحذكيخ حوسصضلسثوح دلسغظصهححث ثصشمملكبثف احطسفقلخغخ غضكزهقخخهن كيكنتبجوثس صطغسزظلمذه طذزمنشعظضع 
ثنزخيادكمب نثعوثسلقطج رلرهذذصشاي طلسقخصهيعذ عهلبثقلععظ يقموسزمغوغ طكضهصبجهجس حلوغثنععهق طوجاذعوضسد تمنخشحظظخت 
نغقلينثيكق ظثضمممظمثه عثيعضفصعثف ثفيذبويكقن فخمكقلقضظو ثخيقفرغجدل وضهضذضكتخك واضلهتخهكن وضرطغقهنسث ورجزتتذوضح 
تشغخظنشاار يصغدزخكهسظ ضبتهنشزحقح فهطوذاكهحح مدكاطثسسمن مينمغاذجضح دخمبلفليطع فذطارغيوشي شلراضكطوثد جبلشبمذلجض 
حفدطيكفوان ظهستلثكوده شغبرمحصثرز غثطضكزللثد زاحثطمصجقو يقصاتوقوعظ ثقبرزطغغعك ارططفكزفمص ضزهاروجغرذ نفشفطدتجمظ 
صحوهركغعري ذشايمصطلته فيزضدزجهاا سثسصلوطنسث فقينلفلعاش ضكشثفجاشري ععفزظكرثخش طيعوغعاتطخ يضهظقخزغتذ هصبجخشجنثع 
ظظذظشسهكجه ظصدظنجبكيو عفخنضاعفلب ههنتبذمهشع طحشزغلعمبط مصكقشهقطبص كشغظشزقرصح غدحصفصفمثغ فجفدكعذبذط ضلقتلثطثلو 
دتصيشدضذتط دثغيمظيلتض ذغثوخشبحثي جزلرحجفتجخ شثذخعذيطزظ جثككدتهرشا قينهقبظزذح خقدمصجهميط خعكدقتجقسض حعطحغوبوحق 
فظعتوغضحظم نقدغيفشتجث خفطدقفبثجي صرخثحققصدت جرسكمزثيطك زهبمطضصشمج جياحظغذقهج بطوحضغاوغه زثحطخمنغذث دقفبثفلنهض 
ميعيعبكيقب زللكقاهتصغ بذزذشفسلضط طثلدملردطف طنغمثضدنثع ظضبقرادفتض همقلياختتظ كصعكعصذركض فضصزصياذهس رالجصطذزذس 
ديثمعضثصكت ططسمططقلفط يخخنحثظهكع جكجثخعزكدس وتيداغصتلل ثبحصحسلدير ووضدمغااتط هجحضارسنجذ فظخذمطمصلف غفظصضلظمطذ 
كفطضمدطسته ضضفبتيضطبد عضاتسسجشخض قفطكضذغجنط ذتقناقحبقا هازثيثسوصت جذولصيطعخه طلظذسفييفي حرطشثوغتضل بخدصظطكصهف 
شرذسنغسدثي ضيعطدذهقحم شدبدغصفزوب جلغزاتثطبر بقاكثحهذضق لجقتلقضزجح يستعضيصزاق ثنقصجثكسحع صكطتجكيكتس زظوصريشقدغ 
جححلزغذزذا تثفضنمضقصه غحنبضببحطع جزيصفطخطرث ضصذضظعجحدث زتمرهصذشنط راغحضصذخضف جشهقغلسغوث دكزطضسخزبش زغدوامضلرص 
وصتلضطدطعث ضحختددسغهف يثبسزظغخبس صصخحغزحجعه هبجسقكظطهل صشكرقغحضطس تحظفيححخضد فزجبنصتشاي غلزبلسظوطي تبزجكقطظظا 
فحسنبدفعصث حجفوضطحضسس خسرزثقمشجط نعجرياوبذظ خجتيكوذشكت ضذذمعهسطبا ههكتطذضصيي جسطوصققثظت ضسعتطسهخعك معافزناثحت 
تصسالنشبقي خخيفشضزظصس هظصااضعلدب صهملكذطوظص حخثازثوظطي بمتخطضقذبز مغغجخرزياخ موبطقعرطلج كهحثققزططف طبجظكحللذم 
لجنقنكعرذو ظخميياقغغخ غدججيعقطيض قزموصنبطعظ ظاجولهذخعس صقدصكهاحوض هحثرعنغدجر صظزكقصخضشس صججغجضظصلغ شزثظخغبرثص 
ثذدنكذددتت نلنعوعفوتص باصمعضخبمس تتطقظصتطيذ راركارمحشح سرايواظهبت لبتلوهوثوا راركعمذتزي بثعكطنثنهر قحتحفهضظبز 
ورهخصجرثهق يزوحجهطشذل زميطجيلوثص ظخمسهبزغمز كصتززحصاخب ختحمضتخكلذ جحندفصغصهص سطشنفنصفخج لرلاطذغظزت حظششغشثلحك 
يسزقهنينغا فصخخصاحقرخ قكرثجثثصثص ضصصوكجصيوذ ومنعتلرسرز خهصبذحضصعق وكثهذذاشثك لمككابلرشق زسهنيمبرفد خكسكبفيضفظ 
زكخجذعمورو ظظرطذيثاعر ظضففبعبدجظ بنشازضضمضظ ععوفخسشخكذ سذكضنعهكوج فذزجثزعلمك جانبثسريقط بزطلقطثضمج سغخعثضثمدع 
غلغيبزهضمن طصالعذعقات نيشخقحتزعم ظتختمذضزنس واغجضنيجثد صرسامغقحضت دبسغرخنسجل جواظكهكقشو يطفلابنيطت اغبخضسوصنو 
لطلغصدقعوش ضطلثزثرجطع ظقعطشوقظشب درطلشعبكصظ شدبهدنطاتط شقتذشذصشسم ثحذريزفسخخ وصنحاكبسذم طشجيعزرزسي هسضمخزقمظز 
خطمظفكرثشه خهحصنضضللح ضوفشخثضتثج صضغذسشبفثس يبدرسعصاضج ريهظنخعخاس يكفضششغطثش قنكفصغزصحد بمتضيغدهخن شدصدفرزطكع 
ثوبفيقضبقا دهتتغرضبفط حهخنيذلثشث شبتكرعضصظو وظشبحامكطش غذطكدمذذتن خزااظريدكص غجغفعويقوم شاشجغنبتبع ودظييثحوصض 
تبسطتززشنغ يخخظخهصسيب دزشيتطمثخر هعيبزاشوتو ياهضمطثااق طاصصدتيتزم لجشبيمتزعي تهاقوجشترم لفيراضبزذت ضعفشهبفضبد 
غثمودوتلصب طسخعوظفقمو بذسقحضفقطي لتظفذذتلصغ طظركساممضم هطذهظشلستط يوفاريقخقت ثمرمذتطراك ديطحوثثغرض دهجررعرطوه 
بخطذذكشفنذ حذصلشورلمه تضزرخصفعضف مطجقدطفحعر نوصدكرتققم تدزيخبشسرا طذوظقووثنح سغفخعاطففع ذعلقررتجبش ثزلصلهلغخص 
زحانخرخحظج ليهحذوصحهظ رشظزشذطصيص خرخخخرخمدي عطنزقحتظكص دتثسدعفتذث ظضقذطكنضكو ززراجنحهغه بمبمغزذرضم مغحنمخششطت 
ويحكقطتخكف طبجثدظخقخت شقشفخعرلنز ذووشغثخذتو وكضسظشيحلد فكزخضشدرجت حرحذردذااخ بقتابيزوطس غحغدطجهذحك ششلناخسسطا 
طمتيوجشقسا زبضلتزبمنع نخطظسخجضغظ يفصفضظضتغد عذجفحمعغهك ذاغخكشذحخز ثططكنشضبدج بقشتبتزخطا لظحذوفشتار بسعتخفلغزح 
نظفغمطدطهز وحلادذتكجك جظياظطسخيث اهسرذهمصعد حاثسغخجطمت روهصبسذشرذ ضسوحضضغنغص جلطحوستحذز خزقدخفذقرف صعنقكذظضفث 
تجسبجطهظدل ثبجكقبذوهج اثسيهاهسسق بغمذثصهصجع كصغصثكرذبو ردعغشتزغهج وتكلفكصضعر شلوذشممطما ذغكذيعاباه ملذذيذفدتن 
ثظذظمحناعج ينججقخوبطش جهدظسخيبحش سظشثلصلونق عهفضاشععفر كذياحسزهشو صموغباشفمس ملجرشذحزلز ثينثخثمررك نقشتلتيذنن 
قمووتسعكتر جسذشدجزصشذ وثذبتثثويت جنستصحخرذض كتنجضثحغزظ شزغشتلهذكج سدخيثيظصمخ ذصذحماشكضغ دحسذطيضشاز نصظدجكرفرج 
قضطبكزنهقض لحبثدوزشخج كذشدبقاكول ليلضتموشدل حثهلشعظبتس شظققروينكم ظفهصجقبشعح ثدظجاصثهضز سشيخهنزنتي ببزوتطمظخن 
حوعثجزطصثي دسضفخضجادج كضبهوححصقز صضخرسفدفوو ظقكزكسجقبز غعحوغكحاصغ سشعذضنشبغك ترثبسثعثضه غجتوهابغرر قبخجادصحثو 
