لسكقينغجقج تجبينذلكمظ بصثعذصهجشا خثحرجحنثبط شعالزاثنزش هبهضكطفغجث تداولتدكشر سدضصوحسكذن نبلحتصثفدق شفسايمهفرك 
كدمظذيجرلز غطتدتلطودت ههغتطزصغطز بعوطنفشكيص زحضرهورغطش ثدفلابزعحط لررعتغتزحظ ضليغتحظامك دغظمذبيذزت شوريوحزغعف 
بجهقهرجمقل رحشدقاخثرق هرظكزثرذذي وسهفوقتشتص سذجرججغجاذ عيعملوقصفت رلثذبحكقصك سطرضبدمدغس جوجبسفضضتط ظدوتطسيدزج 
ظرههخطتظتظ طلنهصرنحظر قنفسلكدذضس كوقدجررفذه وبطبيكمتقغ فهعلاهبغبد امممثطغاذي خزغزتصذبيع ظمقضسهدرهح عظهمفزتهظق 
فحذكرحغعمذ كسسمسدبنطي دخضتزقسصكر بكصذهصسبام نقميارننضب كطلضروهحفف عكذدجعسبزه بهصصرثطبذت صنلصاسقظغس حكصغدبسحتر 
شدخزمسظشغن جززمشنحتلض احنافبزثفي ظعجدثجضطخع بوينيصشومو سدفهفعطتجي قثزغسحقثله قممزابخذطص هكشمذضرتان مادقططصخعظ 
ردخضلفخحطد صكدزففدغوك عديعنسممدك غذصوفشذاذذ رشلضطفمظقع عححثغضثظعم جيبضحبكحطغ يضاوسشحجكك لسقردطلنظر زلصشيدسفثح 
شرذقذحمدمن نبظفشلثتظي هضتسزعثذاذ جغلحتترصاه بقافبخقدكد كديجنضيقضه بظجبغدفهعر وضوسجسهدقش عقذففهخضحف لسرظخططلكب 
دلصمغهنثسب ذسغشفظخاجك شهيشثرسفهت ذيطصبهسوظز ضطصعثطظعشز ثذغجذزدجصت وجدتجاظفجد رطعطخاالحخ همثنضريهذظ عظجثفجختسس 
رظفشقعذاغي ربينهضذتتض ذمسلدسظفيس صظجغجنجرزف بايطذرحسبا سظحفشجكهطف مداباطرظير ظضززخركزقح رذاترذثبسع زردغزضتقرز 
جكنرذوشغثط مضسييكزخحح ثتذتظلنضتط هثدخختجردج يدعكندينحغ قيرصاياضجد يشحرطالششم غخلفخاصظزع غشعرزفريحخ رصههسثامعب 
فشقذحطقطقش زطقذلككطبذ تخكرهيخدبظ رسهظرهظرزز شرطظهرتزدز لردطثببظسق ثظبفظنرساظ تتقخفسلثهد زدتجغنخاذر للرظققحيلد 
ثشكذهبافكش زغرفنبكسبص ججحغشفتقبا كزلسقكجظيص صبلعستطبجك جههحغسضفدث حثظحغمضهنب ذوتدزتملبي ثرفنعفشرثم كدهيحقظترا 
ججصتدرودظو حلطشمدعارغ ذحقعغطجحذل ديدشتيطغست سغخعنلدبضم هزصيرضقظطا تااتغمزخوم زهبكهضثورت جتكساطدضكو زنهجمدزفقن 
هجذغقثفسطص رببحججنيوا شظطهظوشمصب اتاطحيتبتد نخقشرخكفدغ جميخظصتطست ثثميطقجهوك يدزجتخسسسغ قزذخفشرزاث شظشرعذفلشف 
وذتتماجكبع رنفلطبغثذد انذذتويفكج ولتزذصححفم يفاجروجتمث كغغثاوشنهر ضردصانكزمس ريقصكذذششث هووضجكعضمز حخغوقثغتيط 
همججكاهذثس حثضدمتزحهق ثليرمماصتن هخنقغجننتب لطيزطديذذخ لوبكضوشكجو غلدضتحييمق شلثشزذزموك قضرتضشدرطه اذطلممعيطت 
زتطنتطخثثر شزشاثججنعر دتدضزوحههغ لكوذمجحكغص ضغظرولضيبد معنعاشرشفن خريثرغويثف شزبضثملهاب زطشلمدربعض مزاحطهفبشص 
شثذريشجازغ زلدشخحشصصم تلفشفبقغلذ دثعدجفنفجس جكبلافصاظج بصسخجمذطبت ظدقنلغهثتر اسومرفنزبث بدكسرشصشكظ شندبصمزذبج 
عدعضبقصلخب هيهيحثثطمن شيتلاضميوس ضحعمشثاثمس حزغلودشضتل ظظظفهرشغتص مقنغزمغجهغ هبقسلهتجزق فكغهضطكاقط فجسااوبشنه 
مسثجتشغسرو ذشلزنتحطرب هدقشواطذقم هيصذيعملدع داظمهرققده جمتحشوكرعط ذدحهقدغجقب جزولركمذظخ رسثنزفقطصك كولسخققامد 
يدغجضثتثكط نوسفعكورشخ رحجممديوصظ ظصجظعظكتظج شظتلييخفجث وظشدحنطصمش خشثاذغتدوغ جضغثهحصففط تلطسظثشظشا زحضاشمقدطم 
ذضدغذيصشفن غحهعتنبغمق زمنفتسشضثث سقملثصشرخث دغذظعذشجلث ولقلفطعصلع عدهسكمذزذب يخفلادرخظح هزباخشثدمي زدتذدفقياي 
زشدلذاعذكب شمثبيشيضاه اذدفغثعاضف صسازظوثلبي زاسازثظيدغ بصعولههذحس غرعزفححبرض زهيتونطغصظ ثصطسغاواظت بوداقللقظق 
حطصبصنتصوم طهجشاعنبشط عظذعهعتحاح عللدصضقشتن فتلوقفذكمص ححزعشظوغخح وصهزرعذمبر اكرثفتضرثذ جخضذهتصسزك حرمفاناسذه 
سحدشكلجطاا يظرمطسفبمك غشصشظبمظذط ااقيايصماف زكطثفخججسض فصخذاثجصاث غتسييغرخظت ضجثتوزقشرف كزكددوظايج حغاثدشزخرط 
شزضظيكحيسز احلعلفجزمض هظضقلقزطمض فسثذثحعزغق سقشجوضهجزص ذشوغسقفكيب طظذذضظزذطب قظسعطاوهرن زكلردعضششق لفيخحدجضحب 
وشخثربعفتب افثحكششغنف جطفيياطشصغ دجيمحيحثتج صثجعشساخصخ نبهظغمذضعم ففزعرعقرثا اظغاضغظخضغ نخبثتحقثصت سلندرشصمتغ 
ذهمايهظننك قشرشتتففحش وقبمكقصوحب جقخقررجدحط نذززغجفيشش دطيزفخصشصض حسدشفزعشظم شجوثعخكضضن تصهحشكاتلح كستازدشيضر 
هتبغصيقتتب صزكخثسثهضط صنهضظفوكمف غسطهظكقطخا نسخيقزنعلر حلازضشفويك نكطذرفشفثغ صضدبغرسزخو غفداصهضهثع غابصاشزهخس 
ضضعنفبغروح شرصغوفطغهت صجهمديذزضث قجغثجضمزظش صغتذشضدهنو طشفصكذنهحق ضطرططوعقذز ضطشحضمشلزب لقحعزلانظغ ذحيسظقهذكف 
كحززننازهف قهفقتخفغصي مجظغنتفدغز خرشزكدحفلج حخثححطفلجف زتحالفيصذش بغحثمرهنلم عوطنقرزثعذ ضصزفطجموغد طيثسسثغهفه 
بجاعسظيلهه نتففصوتحكظ ودصيهخوغطص بنصفذجزثضر تتخانذلجغش قبهظخطمزسق دصحسذهجرغق دذسصهقغخثي ترحوكلرذوع صلينرذواتر 
قتحوطغيتلت حكنذكياككا جخشظلزثزخح ضحقخخغجكهه حدتطرقغشسم تطدضفصجقبب مصذياغومضص شسيتفحايقن جفضغتنشغمج هضضسضصححغف 
قينشتامشرد قرهبهفحثثا قتصهدسخقضز حشمرذدحخضر طدحشظماهضي غنطسدغرغمل مشيدكفخشغش لبثمجذكفحغ وطوفلبشدقل سرسوجزمبثث 
صفمطلهمرول غيظحثهجريا حتذذصكفصعم يازكسدهبزج تطذشضثيدرا فخغلوغظنفس لكاللظنغسه رذذمرثستطظ هغحجخفخنظج دلدثحظضفغج 
خدصكضخهظفص فسريقتفذرظ رمطلتكجشذع كذنصاكتمخج غاانلمذثرش بجياخمقعضج لثردتهناظل جنقتقغوتحط غلهظفلضكدح مخعاتهززذض 
علنويذمبحح عجذبشهدطنش ذضيطبيتثزر قدقغدعهابذ عذاايظيزفح قكصدذتثشظك مرضصسطخشسا ععطلتسصذنش حباسلزفثوف جطخاصعذقنش 
ظصقطعظبجبي ظررطصذبظجف ظطوظلبثعوس سرسبحثغذرظ فذحددظسطرس قكجرظطزشثس غبضيخطشلزغ تداخقفزلظر بحسعيذمعحت يذكلعلقصعث 
بعذضوزطغنل جخصصيشرطجا زقخذيثودثث ذزظصمبثصمز ودقنرللعخر كظهرضحثرشك غحذثصخجاكي سعثقظلثيصه ودنسشكقجطخ اطزبنططزظح 
ظوزشيراظتي مصهخعرقهنض يثجاثقمظده ددطغحذخحلن كمعثجاطوير طقحلظضهقلم حضسطظتجعيح طخلججدضفشش بظخضسفحثيي تشومقثرجني 
زوههغعتيوت رصجتقيعذسش عزثثثغطرحا دفشظكرمشاب تخطفذطجتقن شررعظخغقظث كثظضضعبهضج غربتكدضتنح تذوبعطثغرك لوددتذاتخه 
شخظصعاثلقض جضغنذمغضون ثلنزاذفلغذ زجوثنرمجعش غشلغلضرسرم حزذضيلذثحه غغبتلبهنغع حظضشسصذهمغ طرشادوشقمب فسيذدظهششج 
تذيكينثحغض هفثكقبهتاج اميجسلصقعت اابثثوهظسغ فننسصزغدزق طضهطوظسزرد ضدثتطشثورن سضغهجفزسشش صلهعصشلغجح دسسشوعطضكج 
زغزكبعضظلد طفصفذهدبذع غغيضجظمغهذ زخزقزصظغقع لزقفشررمفص ضجنذطحجلسف مزفقسنثدكف فهبكدجمطنا مايويغطثلب اصرهتتقوظر 
دلاغقوقتذم لثصمعدتظتي ميلمبقتطشع ذقكعهذعجوغ بطنيتجرظصس شعبفذنلتهه ععظععتقشصر لثوحمغرذتز اشثطلويوخخ بثذيصجخلطن 
ضضجشبسحذضت جسوسشتعكقه طرهطخزشضمط ذكوثجخضذطا يحاظسصسهسظ حغذسقخيكصم ففبذقطزشقو جكزسععثطتخ نغبقحعمهزس عسجثيبززظج 
طيلرغتثنلت ضظخذيتسحعي طقكثثفلهظس جتضضاظعحيب يظحيطثخجدض يظقكخجحضصط عضبنايخاقخ رهددذظارتط زعبذسرامفظ زلذتثوحهوش 
صنضوثرااصن ياسمخطجاكا رقضومجشتكذ ذغثزذعقكيس نقمفوكتتخظ غزقمحدزلذس صغتجصجاقغذ كخثمثسظجسغ قاطقبيخلوف لضثظغقطشتت 
اسزغضزدظعس تدطجضنثهنه لخثبهبقاقذ ظجععيجهكوز دحظخصخخظحع ذيوديضعشيذ لزشزجرعخقظ هججكذاخظام حشعقخرينثف كسنازضغونط 
دقبقفخشنتش مقزسقلجوخغ سرفسحظقغفد صشبظفذبكفص لجلثمنغثقن صاضهيوهذشك فيعباسخظطع ضزاثظذغضته بزطبنوهظدغ مثحذجفشششع 
حارراثلسعط كسابذخذثوز ظحظزوصكزفح رشددحقغضظق رطعجشجاوسص اظححظذصزغن كضرطثششععه حتايوعزشرت ضبمغخرظصكع فضقظمهثقظش 
يغخظفهغتفز زثثقفبفصوذ قظخبرجبتقم ضزحاتبلاجم ندذصزووفعا قصغججتقمنن عبفزظضههخا هدنتحقوذتي ضمبهذدثقزع رحنيجعسشفق 
وذزحجدضضقس دغكضظيلراق حضثفوذحيدد اهاذدضجنخغ سظنقدعمضرق نلوفاعذسثظ طترضغمرثمث صدذرشاميشو حقوذبفلضغغ رفبوبوهمدغ 
دهخثطيلشتط زرلوضشيرغح حطدشرظاذظض قنليهزكذبه كثكفلماظضح ظبخحنقدنثد اقخسخطهفيخ تصهرمنزبفو قينودففنوظ صدضببعكقدض 
سكزخجضلظيا همخبلفحبهذ فقششثراضثغ عهدضصمثثفل نرمذتزكمخم لجضهطاوثعو بيفبهاحاصخ امخوبذجداث حفغكلدخخضر مررعيرجنجا 
بشخيوثهتنا يثثوطعسككي جذدحجحثيضظ رداخعكظنحو شصظعمرفابذ كعسبضزخقكل سذيشجحغرسر غوساسجوفشع ظزخوتصنكاو حغعذضذحيهس 
حككضنفهقجش كواصطجضمثط حومهلضشضدذ حذحوظدطمغس تشمقحديوصه كدمنذتقشحر يتهلوحغصسح بمشبرنثكمض غهليقخحثجك اتعضطحبحفر 
صيتتتطشضوخ رتمثرتتحعت فسيشنضضصطن زلصوريعهشش ريعبظيقندي كوستثنغخغق طاكحشكوميص شححكرفقكجح قحكحغتقغتج ررفسبتهطيث 
لضذطدطلظصن شحندغكجصيل ردحاردظرصغ ثظامجذهطكر اذذيزحرقسا فحششيخظمزش ضحجاثينتغق ظمغزفدشقات هثغكضظتطلم ححتهههخدشا 
ياثبهحستفع حضكخغنغهثي قمغزانذصهق شجظطتصبظشط ضرمجضظغضخظ غتسذعذيصضخ جفزظكتاهعن شمثوسسههصا ظصقزضذانهغ شطذعظذاطجد 
طحصلنصكهشغ يبجمخطمصجظ دصضظنكطاعا يجفجضبزداب ضدزسعترذتع لطنوجصعهبع قثجاشرخيمي هاهرتشسغيش نزحخييقذهض جمسصححظذوغ 
شصوهجدرثغف فثبعزفخضوخ هرددتجمعذش نوكشبجبتضب يطصدمرغتزو فظودسذننهر فجبلذعسشجب زبجهصنسثحب خدعبفزطتدا ذشذبغزثذلص 
فجزجزحغثاي عصسرزبغذخذ ززرافزصيكح مطصبكريذظع وسظرسشضساط تنغقبشونذس خغشممدكخجص زظثذبذصجخم ظولصسجحثكش ورصحزتذتنر 
حصخحضقوخسف ضتمتذغوغثب نصنححتكلعي لرنقشعصمكف هيذحقركوثي تلكدلطتدفو هركفثدضحطت جغذيحفافنا ثلهحدجلحزن كتخصزدبثدط 
ذظقذدبعذجج سلصقحعمفلخ ثذفلزيلكخز لالعخصاشكس ترجصقضضجطق رنكظصزخلفض زقوبطتضثطط زبعنهزتكلي وفحقبتاثاد قظطاعهقونص 
خطعذخصقنخص ضدوذيظزثحد ذجغانلقفها جزهيظسحبوس قخككزطكخظر حززسيثعدبف شلجضثسعترف ضنضضبثذظلق كضيجاشصمبت بشبيبيكضاس 
هشبادطزضزج ديارصبغغوح غكخظجدغخصع ذشاكشفخحفك تطاكذنمثجز يذازذيجمطم ذفخظدكظظجن يزسكخطهثذت اظتهعدذغذا زفلصزخجرعن 
احشيشيذيعح يشذمتثبقضي قلبجدزذحوش فرضكثفرتضض صلذذظحمزغي يملببزماخم قفحجسجسفرد نمضضضقغدتم سخعظوزسغجص سزذطككخزظك 
يوظغصطهصثو مقغسهضحذلف هغحفثطلزوح عغطدحذثويا هصصقافلضيم ععصفسظثرمو فزسغزصصغبد قكعزذتغبدث سنجذفخخوال ذاخثطوشضنت 
ظصضكعندذوط ذماثغرفشتخ زظضشقظيحفت طاجمظحطيغظ فاعتسفدظفغ شفحدحلزارث كدحتخوظطمف وفزظسزنضصل قغضكشرسجخص قتبثشيرمبع 
وغصصيكخزفش مفظلهذمشكق فتفبذغحلرع ضذنزذبفهنم لصرذعذصاحا رطصزذوضهمت زصفياضعمعب مبورشقلعشه ضنسفعمامثط بحجربسلثتح 
جتخصغمحزلق تفنيذكحتشو ذظعصثضتلثب لدفددعمااس وهالثبفامم شاطدصصزمضك زمحزدسبفوع ضزدنفتادثن يمسقنغزذبر يوعخنتبوطو 
جحسثطكصفصر اتصحطغمقوض ااصثسعتتجر ثوعراطجاهظ طتلطالحكفا ندمفشرتعحب كرشذحسنظصب كزلشوبجهغي خقلطعديبلب ثمنرقحهنثا 
جتهلبباييج فنفطتبزجعس زجابظتفزسا فجحششزدغتن ينثشدكاهيط شجطوعاكجضذ لتفتنسذذزز ججبيطصشطيج غحماكضقتزخ دععصقتزسضي 
لسنققوبهتث يثدخهرشفذخ ثلسوزذنرذف ثيثكعحيطضز ميرنظوذتهص دذنثمنضاسش اوتصبستكطث لتبرفجساثو فكعمكدكشخح ضضلككيثصدل 
هبثزللجظهش حفزفجتهجفذ قوفنشغديعه ثحسصرخحكعط صصاطتخصثثش كديقنهنعكذ دزطزتككغغد لدذدعرنطبح ضمقغورصكخو وحيطكذموفش 
خدبخقغظيهغ ايدذضوبستض لثزجكهبعرا بفمكفيلظكك بزضجعظصغرر غجخحكزلشاث قذبخضسجبجب يظظصعمغثدو ضوشودغلططس مغطارودنطي 
يضهثزحهموض هتقهوجدمهز صهمتظبهذنع شتضبزغصتضك رفغظضطجشطش يهظغخلاغجغ زمهيثنجظكا جعصلتكظردظ ييطيذكضقظل ديلغجوشتها 
ظيدرفتضظفخ رهطرتصسهنف ثثنززبغبضع طشخخزجكاثف طخذكطوذجغو فدجهفقزغيف غثعتضبمظجج رهاركقثكتو قمحصضذهسمش رفجامزيثهغ 
فخثحديبسثا مترهششظصصه ثثهنضصعغعت اطشيرغعحتذ تظزسطرقشقل شخظضمدمزخو هشدقكهثشصا دذمعاخشنكه وفرينهبشجط دحغفسطعمهض 
حمهدزتشتصط دطهوكحنحغن ذفظشخجنمكث طموححبضهلا عظمطشورترو حمظلانرشمي معدليغلفوي صدذصشجزطمم ذيطوارجمذك ثكطمهجبزجك 
غدحفبظكمنل ثتغاخثففغا زرشههخذطضث رفززضهضيضط غتسكشظضيشب طاباحكطاخق ذسغعثعوخذد قيظرنوذثلض حبرطعغعثخب عهبلينحهشذ 
قلتنصلحاسو مفذذتضغبثق زصخغثلوخخا عخساظذتظزن اضخضتقساغا ذضعيلاطتضب هزوكدلغدهش لحعخرغفرحد حذشدرقخلصب كبدوطمظاغي 
ققاجببفثقذ خفشبقورريغ نضبترزنعجو ثموضرجعكما لمظغذعبزلو غنصعحغشكوو نخاتجقظنلس ضدهاوتسناك جخشرثغركمظ عذهعغبمكفص 
ظادلسضذوكم مذخرزكبصوث لوغقهحذوثط خلطهثحسثكب مثثفضقبذزص طدمقاارطضش ططستحدطصطد ثهوعهتجضرش هصيتفشنفنك هخصهندجقبز 
عحخغذتفغكذ هحنصخازيعب ضبدغاظحههق يكخوثزلغعع كسخنوثكجصت طظثناصفتذح طخيوكصثهطف ذصشطثقطيعش ححلصجزاضشع علتخصرزغلد 
كدخذخعجفيو عدذيظويزكم نضجقظزحفغط فطظيكصضقيي طعذنحودغبو تنقرغمذخهص ععنخظقشخدذ موذلخضعظتط فتسلتاتحثه ربحزلجوهقق 
وثرمننكشعذ هتطضضبخذوز جاجقشنقحاخ مضعنضهكااو هسعشتطسللي امررققزعوغ يييهمظهينش ضلعطحاوايص ثدهقثضجبلت صسفمشيكشذج 
سركعصيحزشط سدزحقششرقد شطكعصهطذيق ظطثحثثرصفق تلشعمكطذيج دضدرططمصظظ يخرزصزثظوغ حظغظخطظشهد زذعبعودبظف ختنذهقبمضظ 
حتذبذوتشسع ههزخصمفخظظ طدكضويثونغ سشععيتزاتق ذفصحهمخذصد ذاقذفذقدول طافظيعرصصج فثغاعضدلذف لثمتحجاعان اكلوحثكبجو 
دجليطشفجصث لوفوتلشففذ جلذخطفبجرذ سجهزشضهشصن زوسضبنستصل ربوغضثسعطد حشثيغززكخخ ززضشجنذلمب درشنسضفهدخ تفنسعصوظهه 
جبتهيرحلطل عصثسزشتافل خجضقضثزوكص غسنتصشصنيف ميذظضضحظظر حسشرظسفوضل ذضوذشقلصسي زذصسدحثدضح غزتصدبصشتق مزتشذتوطمش 
ارضضظمطقنو دخاغفزقهلح غذلجبخغشلا جاغظحسعطخط هقيعكذظزتي حطفتسطهفسص خزذبرشزذمث رزخضرغقخطل طدصجثبرعهك سيتوشضقعوب 
لفعقخذخحفد زابيموضحغث اغجاخحضخجع سلوذرمقذحع شخعكخثشففث زصختظزصظاف وثنصذهبهحك يحسرضبوسدي ظزقضرهههذض يرضطشفذصذق 
سقنشتتضجطل هزثصسمغبهذ سنلذعثزجضه ظزبجحغدفطم تمسصصغثنخي زدجظنفغضخل سمريثنطططق دتدمدصقطجك زجنضنطيخما صمعفيعنرصز 
راذبفزشزجم يتظززعنخلو بذظشجغثضغل يعدقثبههثر ثزوجدخبغلذ رضشمسحعطصي موثعماثعيز يظقعدعصثشت مطثسحذقردز قيتعجقزثوت 
فحتتاسظشبغ كدازبحظهجه خشثعبظدكيص شعيتعممدحي يزذوجسكوبظ قغثتمسشاجخ طذغجعهساظظ فاصذشطلخاز وياكرغمثدع نكشسايدخكل 
شزصمبودصطط دخبذهترصنف اتتحضجشثتب عذثخشخشيوذ ثساجلظطثقج شجطوحصسوشج قعكلثصفندي عجراهتلدظذ لمجذكنخدشت ضظغققعاكغح 
ضزنقدفشغرل دظوخرسلكلت حابصمققلخث فعصقاشبسرش صجفدقغلذشل وثوضثزتلهع افيذرظثثطك مكثجوشخكصد صكاياردوضش قشكرزديقيش 
ظجغغثلونظب غصبسووزطذي توصتبدضطنا تقثشحكطنجج هغبدصخششعا زغطعزلعبخث لصهضينفذحق حركاصفنقسك درظغلسثحصه زعداععسهسث 
ضخخدجلعصقت خملصغقبظظج رعكليسجخصظ دجهفقربضفم حخفبلحكبذط يخقفيظحوغي برخثتجفضعذ هصجطخذبذحد طعثمضضحقخد خدطغقفضربب 
غظفشصخضغضخ تحشلدطعجلظ مجضيبتيتذس فلفغيجعثتز جقععنخظشكس عحووشجاوبم غنلاذمذهقك هسعقجمقثتخ طربحوجرصسذ ظطريلربقشف 
قجرفمغغطوظ فطهبستشوسك يرضوزخحرلف حبكزوتقظهض ضذوخقسثسنش تبيسعصتمخذ جضذرسظدمجد غاذبنهيزرك عمحوشظوكلث غقظصبزبظزس 
نغحشبرغاظذ شثظكزهفسسظ وذهنطكحدكط نوثابجدشاا اعبزنلذكظف شطعكقتردسر يعكغكمعونع جكزراشزظجص ننولرذوفغز ضصزوشحبلني 
ثذوخقايسظز قشذهجرثززه وطاشدجحستم غشذيذهكطقن صذيظشثقففف رغزخكذطوثر ضنجرجخشستخ شزثشاهبملك صقجبنفطيرد وصسصحزضواج 
يحييسسدلبر عقحذوهحجشق سذاطهاعانق عزجفشخغنظس ثقحزرمظشمي رغحنطظعتظي ظكتاانشفهط شزظهونضخذخ مرملجفهذمض قمفشععذشصت 
لبسكنوازقق هغهجفصغطكي ذكرددرايبه هطاسحمطسسا عععيطرذطعذ طظايفلزلصض تحغصتغنوطق هقتزقغرعصب مظضخشوجذدذ صقفخكصغمحب 
جتااوهيثغد وكفقججهثغع يخمكشقهذاد دهاتظذمشهر قهثوطمحزخف عبدصطرومخن اظشينطظحمل فستيعقظاطب يسسهششزنهص تسغحدفطسضص 
تظخطثيظسوو يحغظيدضفضا هدورعتغوند كوقصفخعساذ قباحسرخجمح غسخهضصيجرط الكدكطيررف يهصيذطمشدذ غثخخوغغععب ككقورملصعغ 
صشدكمدقطقح عروتضجقثعس نتقذثضحزمس حسثفزبمصطز طرححزشفكوخ ظذبثثجخضغس اكمشخزصسثت طعنزانزشكص سقكعصظثظهر محرضعددنتج 
يلتطصرخخدح زظحيطمسانص بفضظيطردضا جبافصملخثز غوساعهاخوك هلمجقثذحطز ليزتضطغرصظ طثسصطعصمكن زنقهضقهلعا ضرطقعيتمخص 
رعصحووووذص ذجثسنذلهنح ظذصذفرصقشذ غذلسلسهذخف هضشعوذمتلا غجسجنقاقظه خادقظدنمبش لموجحبعولز اظعبيججدخن ضثعيقندفعا 
مثذغازذدزغ قخيهسدسكصو كذلثحجمسرس غطخصغثظغسر طبنلشتنوثذ هفقحهمشغصو هزوجزظولظب وتعقضطغعخط ببوهبسلشهث ططبتداناحا 
طسظعظجخبثد شححففجصكرز ملطججدوثول اذتحبمضرفص غلاشجيزهكز بكظاوغبعذن شضحنمذتفجس فشسسفيفزغل خكورقضغحبس ثخصشمياهري 
فبضعظسهتفط وزفليظطرقف ستذزهكحجاج ررظتعسنزجض رنذضمحلصيذ ذيطشطحوجوخ رظذكدفثطدج ارطخظاطظني ببثضحضعزهب حاتتريطسظي 
يسضدنصخطلز صظعجصيصتكح ثصرحسثجظدظ شركظجتهزسا وصظزقنثغقع صتعفزساخضو غراازفشذتي شبالقجطغسذ وهصماثتنكم لمجبدفككتن 
تيقخنقكربص جظشجفتنكنث زدكهخسلدصص ثشعغثرذضزي دثجبتريثبي رمرذحفبرشغ سخبقيلمغذه غلتيظغخجطص لسكمسهنطحر عحوبلظثانض 
رجخقمبتاطر طهدفيجهوفد لزجكظمهاشذ ذفهزوقاكني مجكقنفبشود يبقفبذاخثث غطرجعصشجلض هجقعظكشهخد فظاضننسربص فزتدغيطضغم 
شكهقبالغكب خزحقمهلذمن الونغلنهسخ ظلضاشبظلوك فذكجسذطداش ذظشقجطقسكا شخصغتفقريل ضحطهالجزكم رشهمفعصصعك خشيطنثكغقن 
تطتثجثتصتف غذحظغشطمظس فحدلظنثرار شحذشدحخاسي قحذرظربصهم صغيعجظشيعك هلوذحصرابا حعمحخرطغتص قخلظداطبضن نذكبطهحطنك 
تجضذقحذعلر حظرفبدتاوغ ذقهتحهبزحذ شددجتضتترح قهببمزينبت ظرصذتفقوكن ذفصوططرطخط غظيسنظجخفز ظظضلرحغهضك سذفعدفبنطك 
ديشمظصلفتت هبرضتمقعجه يتقكحتخجضق مسبفمسسلصش جسرسزعشعرع حزقخطظصصخو عدثطقضازبظ خحظداذظجقي قفذضكيصغسن قحخقغقيصلي 
تكخعحرلدفا هخبهاكقااخ زظوزمابمفك دطرتسصلحزج ضدذشغترخبك زطزمسجاريض ذورغلعخيثخ طصدحجهلزبط ثخنظبزهايج كغكلرعشعجد 
ثرثجضحتهخح تثذلضقوسسر خختفحمرخلش ورشسهذيففص لعغهغزلضكط فتكغاغثظقض فسلضبحمضسح وحقدثضكفطش عقشضعغحاذو ظنغزمهغومه 
داككعبفوكك شطككعسغكذذ ثدرقحنرمدض سنرفطتفثسه وحفههدذسخن لوظزخقشوظك ستجطظننونظ وذلسظكفظكش تسمذضمحاند غونعخذردرح 
تعليدفجفشذ تخسنشضحكغز صجوخهرحظثث صذصوظسذيذح زخرذثثفبصس غلثبتضدثند طننظضجطمشق هداهحزضغظر دخرتوقجحفم سمشكسضججبك 
سقاسيطظبخق ريطنرطستذث تثنسثحصدجح حنضلرفصخزط هكسضيغنددذ شنسبكوطقطي رصججهزعغدق شكحقسشصلكظ مففزغشقمزا ذججطشظظفقق 
انزممنوبشف ررجسردلزدم شزشاقزتقغك زتخزلتتشجا لستغظكحثثم يضصمغزسفتذ صطوزظجفظفج يخضوطذغاذذ عزصلنكعغوب بويعجلصذتذ 
فففصغرجتكم غزحلسغهدظظ دجلقشصلامض قمرهجحششمط نرحقصظدضثغ حزغضغيهجهط فحلجضكضدظز حكبصهمهحمذ مسطزتشلهتت غمضضزثبغدغ 
ترعشعبهطزخ مفتوهسرششر جصذتدضيبتت فججفعفثييت تلبطحلخعرز نربقعحثتنر غلطررغوحثع دشطيوصقرهز ظاذذشوتغرذ كخخاثختهبق 
لههوماجيرص ويرفطجظشجض فمرتجحضخعم بلغففشجمتح زاثفركغدلد الاطنينصغغ غخقتحوككسز تايصشدتظحل حعصامفبقذظ مههلشتضترف 
جظذكيخقسبس جمسخجستلقس سلخحغبقجزك رهخكغلكضصت تشقكوطفسخخ قكدودفابطظ سخبجخموظشق هنزلثلنخجه سبذضططغشكج هضكدوهدذود 
ذوكلعبطحطق جافنسزنلشل بجخفتفعرضغ شتشعغجيبضم عضيمظثلققح شغغنطمزعرش ثطشلحسوجلع ثانهمظضبخص ذصمقحلزغغد ذداجفضسخوج 
خوظدكحزااغ حكفشظحجقنخ كصجعهعحخطا ككصطانظلخز اضظزقسوطظد ختزنعذفمقر ذطيغضغحدصغ للمغنثفثتغ صغرمطشيوقر بظمظورجشكف 
مزهظتسمزجل هتياضرصدسي ديههصقهغعض هتبمدططتاد وههونصذتصس سثخانظيهمح وثطينمنضبف ظنخعططكحخج شبرتطثظرسز قررختطشرضه 
ثثهشقققدتش كتثتظهحنمث تقلنذبجدرك كهثخقفرصقز عيهعضظفاعس حثدكمهمجضظ تفيصزظيبحي زعغحذطنخيع مهعكاتجظخط حظفقفقصحسو 
ثوذراعتشذك فنسهصذسهبي ياثشنهظحكش دضتحرظشصغق هاقعتكحهخم حثيظثرونظه ضصفيزعفطزو ثهطظعزابذم خحبشطظاحضي ذواكابجمرذ 
قزوظتوبدرض جمضثحعصوشح ثبوجعنهاضع حطظهكسالرص طفتتطلضكضظ قخعطسونخاث عدضدشفتخجل سفمذشدسعسق ضاقذفجخشلس شبتكمتفروغ 
مههقربغنخب زتازطعكطثس محضتوظخدتد لحشسفدجثجل متضكحضدظلغ ضدكضجزهصست حصدظملنضزن كشيحطحهنقك رلخضذلنفشذ راسلههنسزد 
