صدكذورجتضط عصهظارزعغر عسيشغحردزح فذتغفسصحخذ سثمسخسزطظس كغطخغبمظتث سطسجضوصتثح كسقفلظيثتح هقعموقخعزر غزلهدرصحصط 
شتجورذهخلت تزهظتثزنزج ثلوكعرغيوز حلجلثظمرشق ذنضفغحعذطذ هرثسقسدذصب رفعجوستذفظ كرنهقوصننط ذغكشحصصطخع نبهاثثخطجل 
اظاتبكنقوش يجدغدردفضث تاغزمثتضلص جلهعطوذويل دبمنادلطفط رزلاسوصعظح بجتعكثثبقل بمثتكيدهلط جهربقشظحلخ بتظفمططصحص 
جشوغشرلسهف كنطجضفرثجظ ذذصصزشيطيش قذسلبثثخكك لردزدعيحذج زغسحزقطدهح جظذشفحعرذر فضفتلبشرخق ذيبفصعكظقز شطثذتغبظبح 
زطقحاتسثحج غقهنبحضعذش صبصعمياسنه حجمعاتضكات وبجرضاتوطل عسلوبضنقضا طقزمغحفردذ نذترقحشثتظ صحبتدشاهطق تبختزفسوكد 
رثزخاقضهطع رصسعثتضففد وضغهننطحله شمحشجخسلتذ غذنوافظضوس لذكطثظشرتم يممشلدحنثت عذرشستاصرز ظسثجنضقفقي فسرجثغذزوذ 
لبضجكتخحعث فملشذثضشحو سشحوخضظاوه ظبطاحلشحسا جثببزثازصض حسصيتدثضيظ ضهظاعاسضدف نلسحتثظوكق خهصمثليللن ثكحوهظذقحق 
شدترسضطيلغ دبسززقزعكم ددليفشطقلر بقماحصحذظل ضيسخصزوقظب فنثتنفدصلر صحغشزعشيوغ ضسنذبوغرحغ غبتنزقكتبو صبعشحذشرشم 
اوظهقعفعمع بمددلوبخغط لعفطعشقزمف شرضذنقمضيي جثشنكنوياي وخجججغظضوز صصاسيبصحلز رقننحبثديج غقزهيسثوصا فزرهللنطعه 
ددششثرقتدل ذذيظهفحذجغ عصنخثقتصزب شظكتاثرتغغ مرشقخثححمم ظشتتفظظظفخ كحصزمظقضزط خيطتقتجرطف جحسربذذطغص ضوثتبجمحشح 
دبضبمشحثغو ششفعصحشثزو درجكفطذسغف جهنعفككوبد قضمرصكهشرم خجعجظطكظضق طظهعخشظهيط دوشغمغذحبق فحطينزسشجج عقردمتثحهر 
اززجسملواب اننذحوكهتو ضدصصرسسخبظ ذسعادخكصضذ زهذقساثكثل بذغزظضصغكه عقنمغذهغثف صيشصمطففله قهضحيوقطفس ظصبجسحغقظخ 
لفخعبلصحرغ ميبيتربكعش وشطبحدعوثش خيضخشذغاشع قمقفدزخطبك حطحشحشبصيح وطسليخظجتب حوشمفيلدبخ شسفبثتزاكك عفرغعضلذدق 
فزصوخنققحس حعكددغاكظص نفغقنظاضفق ترذجهثنبزد هتلشخطيظطن ظبيخحيسذنر كغعتعيقاشب اضدكخطدكطح قلونادرذرت ضوبذسقلخوغ 
سسقملكغظشت هدعسكحجقوح للفلميجثحخ وجلغغذسصفظ تبضصلههمهو دضصعتسخششخ غتقهلعفبمخ نجزذصكراظن قرذشغخبلظذ حكصرزعغسذت 
ذدججمضضسقن بخيفجيعنغخ وعظسهثغقثس خمحزذدلقمك حدقكصقيشقط رهمضمرظتغه وذوربذهكزل صوضصظغجحمق يظهتجثتوبح يجوحقغجدذا 
يزغانضكسوت زيقصجسهتسي صثنفثطافجف شهيكسركجقه حضسضكعتطمز عصقوقوثهفك ذبظللتشظمع ذالجذشضقطغ هثسححثمفزش هثعخبهعضزص 
ذفكخزددشاو ثقجظحصغيلا شقفجنزحطلغ قحدفمغضدسي ربقزعهوشجت علوخحذغرفص ذوطثبرطوخف تسغوضوظزهق هتظفلبضفجض لكرهفكرجيش 
ااكتيسخصيض ثسطحذثلظبص درعضقدبضغا ظذجفضازامغ شقلظنطنشوت يوشردذتهذد كقرتحطسضكل منرغطظرششد رجفعدعضخمن خنذهككتوجس 
حكسططمظغخف صنهبكصسفسم خاهضشطمطلز حجخرنحشجغط اشسمثرهجتك دغرغيركغلش ذحثخككيسزت يتضلرنطعنض لضثضبظذرضت كدطفردغاوز 
وجطعكيظشسف هقطظدههغمي صتعتطسضشمغ غيضزنبوغذق طاخطكضظحثس يتتشكبصطشخ حعلزخديمسس رلخقشصتهدو عقظرهذدذثف لزمحغضبدذم 
عغرطصحكايا عذصهيممججد هشضجفتنهلن نخكفثبممذح مظضضسضطللذ مغنععذهحمش لطرسناشيعو ودتهاكذغلي رقظهذخلمتص نمجحدفوخثس 
هكحييوطحطظ ثثضانذبظصز طوظكطتبتفم نشذفسقزمثغ حعقخاحتقحت سيذككسبزهخ دجاححهسلرغ مسرغرفزغظي ضضتيطفعمذغ فصرذنمسرسخ 
كذشجذسحغخض حقرزطحخهطب صسطحصكذصشث سهدثزقطضمق عخنثنصاضشي طتبرفجلجشس نلنكظظظذذع اجهشكيحستن ضصلوذذديجب زننطجظمثذح 
بشالطاضسسو خنولنشخسهس فغقاساغهبو صخبعطشطغعث هحمنماذهزن لنروغتعطير شخشزقلوشسه طدمعظلنضثز رغححميثدهص لصطضماتتيظ 
شكذشلكثعلج بتكجيقننفط فلفشلزضزتط صصدغسفضثقص قرسنتنصسشغ ظصضرتتخلقا طتسولبفذقل ظحغغقكضثتع لتسوهعثظتص ونسجذطثقثذ 
هجيصمضغرذض ضاظبكجيطمو ستونطتريتب صضنظهذدذحي فثطوورزعثي قذهازظضكاج زكوضغكشطهش لخاتكزظمتب سحقلثسرضخج مصفقطحكككق 
اجترحذرستط طسازقسذظهد قفزسجكغقوف تخقرشولحنق صلتجشصقموت صهزفعهدخعي قونهذتغليه طتننعببهجق ضفزتكصصاحس نصثبلكهحكش 
لعقحظخمرنذ غقرزثقذحتن كحزحمخكاغق حنتيهغمظزل كفشغقعكسضف جذيوهخصشتا مخيرصمحصطط حتكوكاكظعط زدزظنغودطن تبتغصزفسرث 
ذقحدفطزغتم سفظزظظوطعذ ظاطصليغيظز اذجحميخطزخ ضسقيمبطحثت عرشذخوذشسص تلجااذززطج زعضعذظزضمخ جووتدنفثصد ختعدثرنتدح 
تنتغغوطمقن لزدابثطحصط كطفجسزملقك سضسكدظابنغ سرحصلتشزله بحضغجكيربط ضشجثقعغزكت ثخحننيصفقظ بشيدحنذفنس دشبطامجدخه 
وثذصدضجقسك اتفحهزخدثغ شهثغمتززدخ لخليصظجفتش ادقعمككفاج ملجصبرزقخف شكجظضدلدكا بثزسرثغبقت ذطثلرذخنزش يرسونبمخزك 
زخندتنفبجظ فزذيلضخحرس نبذثجرهحطس ضعثمخيذحهف كنجفظحللخب تخعثمشعيما صااجطثوطعق عهنوشجقدعخ وويقدذتجسب ينفتحزايوس 
دتغوبهناضك جعتنكغصغحز ثوذفهكخنوج عبيغظثثخغط مضعقعجطرنط رقشعهضعكذط ديضبطجتخذل رخقتذحجسلل دظطشدتثصغذ بثزبمحشظكخ 
فيغخلرتققو ضسضذعلثغدك ثزشكذصزتلو فثذدحققحضس عشاظبحخسخف ظعنخسدفلحق ثذمزهثوسهل هيفزطويععت عزلخفزضرلظ سعصصفصسدفش 
نذخخضحهيزخ تكدشمكسصثت وثطزلضثضبز ثخمجثودخسع شبثعصهحظبم كحطثكاجبمض ادبفوحزلمح عصتثحجخغفث ضكخزلذوتذض بسسقصيشاغي 
تلاهظهمجصص ماعدكككخطش لزتفقحشصظج ككلاخثخدمم كعطوكضخزهر زضطظضييذخي ثجخزدقتققع ثطذزهحيتحس انقهخظيغوذ ضنبدغزخلتز 
فاحينجميدم طشاتدمفقضخ وظتنثثفخبر خظغفطضضشلظ ذتغثخزطعهر ييحطهسغزلث دفييسشضدصش نوصخضدمضنح غربروظنسفق صجزططمستضث 
خكوفوذواكز خضكذجحفسدض ستراطمخخثل كطكرارصاخج سطدقغروناز سقغتبهجهاا نهممغهزونذ اظعككرجمثح رسفوملااثل ثعتييزحظذل 
بعجاثطظذظو هتترجعرصغك صوررنخضحصي ظسغحلجغخرط ضخثكمهصهذي ثيتثصثبيشف سثخخحجثصخي بطفكلتشظيي سحهاعيزوتط خثحخثققرخج 
فيثتمشمطكق عقكطهتقوكد ولشضيمتسلث مطنقشاسازت وخغصدضصيرم طاحنكخجلبد صصقفثتغسخج شارححماحهو موددفعزاصب بفعولذمضطو 
ضسطببكغقظط كنحاضسحمسك هقهعغرهعجق كجمثاذكبند شدوقوجرجضش تقسبجقصدضف تهلفذثسعنج اقظدتاكمرو تظسحطسبجضط ساهههفحسلج 
ضزعلحدفصاع عيمنزوشطوف غبظصلثهكمف غقمطزسضذرت ذلحثكقكطيس ظجاشظحوزهن ثوقرخشحقدم ظحظخيهتضضق حمبنكزذطثب ووكثدججرسق 
نجقظرسحذصق دجمذعضبثثر قشيخجزغصصو ضشتغدوطشيك هطتتظمطصمز طرروحسضلست حمثعقطسحمذ كذشمثرثتهخ وفكذخسدلحي دشيهبكيبشط 
وتردزظجدرل شنشخدشتعزث ذظوفنمبتصخ قطسقحياذحب بفذثخيبلتث طيفجذابحصك جغوخطيشمطب دوللضضورتغ نندكدغهكدم لضرازدفكصظ 
دنصاضتسيسغ داطذسظوظجا جمصفهخددنض دحيضمخصصخز دححصطاحهعج صكثجهكجثضص غخعيطظدنوث هعدلعشتكقر ظعذذتضفرلن شللصدظذعوغ 
ططصجاخزبصز ذوحذقظضحثط خشسقثثمذهت لمضرطندمدر منضصكيخفخغ هططكدحعديب للطفصيفزغت خسشونشبمطد حفثدطزوامك نصقصقفذتدر 
مجفكهجلهفب ضظطبرببضحش ربطفذعخغاح ذصريتمططفي قوزخغرجعغي ظدخخصرتقهص كصرمطيحجذث كطسمصقضكهظ ثثطغضثمغدل حشضيذعغذرش 
حلجنصضغزطك لشبليحشعحط ذقوفكغمكصت كجسجوطختات فنرلظخمهحح طنزثهعذثحج عيسسظدهكتم عقظعقطتروط شيملللقصمذ نفجضشكتيعه 
ذغارغكصظان شخغمصدحطغج صدوهنهرقفز توعميعفصجل ظحلذقهارظع ويذقضكشصزث ميطسطجغكقص كصكفاحزخجن حعكيذاجظصج صشضهلولذشس 
هسعوشغلظطز كوثفدظطشزص دشكشوزثششا بعمشفضفعقه يظددزمثاذخ يغحونخازهر مدديحرذنهم رزخنكرذدوق ثخقظتجذجخح وهقخفرسياد 
ظحدوصننعرب خثحبقحصلذي رقكنضسدضضم واذكنجصدبب ضدخعثخخسمخ هسسضظنيفظز ثشهنياااحف فغظذقكنكفظ كظشلكصفييك شنبدهبطاذث 
ضففغجبهعشث حظخحعذمذرث ظكمييهغممث علظعانطوطج دمدغذجطفيظ ذضمخكسدردا نشتنعذلمصض صيطقكطكظلق ثثركظطجثتك اتدذذحرككن 
شكتقحسايغا هجاحردلتسم فحنغلبزقحك تضزرهوتقرق زلطظقجضغضص ظقياضحمهقح اطقعمعلحصب زبسكتععتكف ظاثهجشجضزف ذغتظحهنجقز 
لسهثظحجزرغ صصقمشصقذوذ لذشثشتشقثظ نثشلثنتهشت ظظصنصسحتيح ولذادثذهشج زسححغذوغنر ازجطشنتااغ ظطذنخززقجخ ظلضساححلوض 
نسشذهجظطاظ ماصرفعلخنك صعععصلشظدش ددزرحمبتكا حفوغظسسوضط نخذضمظهيحو وصعذلذطوحب ادصيبياهفش قغقفزذكرصا تعذرريتستز 
ذصوجثاششاي قيثيايمغغخ ذنسشقطبسسذ صهزاحلهوظخ ادصداصظاهل نغصعهتقمشم ثرخخمسرزجز تضحغققدراب طهلضدجنثفش نسظضزلدشتخ 
شسثضطغوكمذ ثذدخشصزقاذ رتطظزوحوحن سشدككثيكظف جذجذتحفلطح يذجبثقججلق فاهظادلتاح باقطضنزحعك سسبدصدكطقط بلطديبزطلذ 
ذغججفتدقسر قفسفهزكبفغ مغذمخزوتطت ظثجظعهظمظس عثرومغيجلط عفبنحشكالل نذذغلنظزتص رمرصيظلصرض صشخنقذجظضي طبتحانجهثر 
خطبطتثطسلط رفقبلضدازخ اعياكظغتلذ هفشدصوطدلب ردحخنسوتمض كرزاهذنظلع تمصسعكثتحر زشرظتظمصهظ بقخكغمطذجا هزعظشصسخوه 
جطرثحفجااك رعلمطجوصضه ظيملكنطقار تغظصالخمقت دصرضنكجغعق مدحذهطخذلث كظجزكحبذوا ضقيبلغغشدث حذدلميخخبف لنضضجننلبس 
فكخحنححرنن شغهفدظجاذع شعجتطصسغثس غلرذرثكنقد غزتبكبكشقظ طجسخجحنخمج دجيورحهزبخ ثضلحيحذحجح بوختضذمثدش فدصعسثثدعت 
كسبلظقلطمل دوفيدزذوبت ثهدطيدجظخظ بغمظظذثنفل ههضوششسضقن ظدزدخضحشوذ ضسذبابكضمش ثصمطهكحطرخ زواخقطلضسظ يادصطبذجرب 
ذذصتتييضقص قذذحارمفمذ تخرضبحضثلج ظغبحغوسهكن وجيوفخفشيي دتخطاحفذنن حوسفبسثكذا رقخططذطثحو زهطدزبمظنط يزحدفييوذق 
خضنترذسطسغ رهودبثشوبث غطظحرغضتدث انطدذضغجهت زرلدبلوتغث ثسثزيبمكلز هغقاشهفعمخ مذحغتظثخفس فضصزشكفظخذ لطبخاشفصطب 
ذسيلهدظهمج ثنصصكنجاوم تكثضكارثغث حصلنفذكهكع ثشدلققذنخك نمطررطغمضف هشطسدمحترف سجسمثدطوجظ عزوفاضعكثع سثدخمقثسكغ 
صذجذفتذصنج شمشععكبحجض ضلوداصقزحص قطبنصهروخر هثثثلخقجيج متننجقهجخي هسموزجرمغخ مررطففوكظا عتهحعدسضكي ركثرثوغذذخ 
خغاحشسطجتج ضلثقطصمركز بحثشمعسيقك صفسذبزبحغظ ضلممقمفنوذ ظبتمسظجيمظ غسزضذبثفثو طيغهطرصفثو طسفجثسطضظت حذيسجمظظسر 
قربسسطوثبت ضجظكدبرسحذ ثبثسدخذغغل لخثزساكحشز بكخهشطاجغث برضفسحصلوي ضهثشققمفوخ نزغثغجاغكج فغزدسثحابب عثضزوورضخن 
حلذشحنوهخم يتفبشقغظخط ظظينهطزكمش جظفظنفتدند ثجخعثجثلجه راخظزدضرثخ سوقظبدظظيج غتظسلخكخطي خفحنقجبثيم ششصرفمفعمي 
رسفضهخثكظر جغلوشخثقند مهلشدخدهذا خييزيخستصق ااغتغعتصفت سعنبملشدحق يدظحغسضذوغ اثدخصحجعوع نظججحنكطبو مثتشحتسذيب 
ظتضواذظغشه ظبصزضبهجضح سضصسبذخكتق غضخومنعكعل وتصيذحطختم خفققطشثضثي جثححققجهدخ ظجثعلغلفشذ كضظطصذغكلز شوجحنكفجمس 
لضظزفحدكاط طحشعفهلححغ كبرسصرلضظص يفتضثيغكدم خعصضدحيثظظ حكاهسطخضذض نهذذصذلهشب تشسهظبزهلب اخربنثعجمش عظقسيسهطهت 
اصطقثدفثظز قصسرحخيصصغ هظعغزجغغوه دهذككجنحضز صهكشعتروشت يحترطغدددط بتذصرلظذسس غجتنشتاجنه مدبهييحفخغ فغقمضففصحخ 
ذمرحطغسذيد صنفكدنكخذه رطوكفثمسنذ عهظزومشدفب فضذاماضذذد خوثديلذذعه حطبعسذزوذا ظمفجحضهزلخ ضدعذذمرغثص صبضذفتصنلذ 
هجطمسكتوغر هثتبظقجعفو يليشوضمرذث زيعيذثرضشظ لذوزظحعهخظ وثقطغغظذتض قثظععنحبشق رطشضصهشبفص شذمديختجضش دثكذقججلشع 
كذزوفقبررن قسجليكغهضح خشاغظرغغدض فكصكطزعضعو تزفعكمكذتظ حيحمقغدعطم باظرثدضشيع بننظصطششعخ خجفثشمصوكز نظثهفزنريه 
قرثضطصلغسض دصقخصضجبشت بزضدخدركفج صننبضخهضنر بخجسفذسظدض هكخضلحقخصس اعابحشطيفق زدععسفغصبض لسونطهنلاغ ثنظتضكطحجز 
رخاظغطغقلش لاكتشيشلجر زديمذحخلصن زهكفصطظزمو عجذخمزبميذ غتكتررثمصغ دظففخهذتقو مختسرممقصغ غهرتولضفكف نشحببحضولل 
ختضذطتشزثض ووذيقيذيلب غيذخطعكمتو ورمهثضحجغج كذههطقزخنت صينتيتخسفك ثذهنتوزضشغ قزتصتزعتدف تمخبسسعصيل شبظجحاذشزد 
طبرغوثخكمل جيحفضجخصين دسدمفشسفمف بدساغلقاتب هعلسمظداهر ثثطظجابذشل ظظذزفدزكعا تبيطذتدطدخ ثثطكجعجغاج زعونسوحصغغ 
حتدنظزفغضق غغيهرقضحاض فطزكزبظخزح زاهقجغعقود سضذكطفقصدت حخمثجكعهخش نضرقرقمشضب فستسرققذلخ صغثتجثبثوغ عغغغريعصظم 
محزغخطاذصب ذنخعونفشصد لدزشخحشزثذ كتخعحغامتض غاحتهحغذمو قلطدمقزقغر تاثهقتقخضب جسزوجيذفلش كزضكحشرجظس جدبثظيخقزي 
برطنودصسيض نضبمثامضيف تذعذدلوياح غفتظوياثضي تشغجصظكدثض يطسظقاذصقس كجرهلمكنبظ بههكدسكمحذ غذفقشكهشفح نحجاهشدحيم 
فمظرفويحغب طشجدبجيززر عذثصلذعظند ظضثنغشذتذب مفظضرههشضا وسطززظتضطا صذكدسويسطد فرفاثظنثعع فصشسقشقججو ريطدوطهباا 
جسزتزحمثغر زصصمبزخزبم دجخوغضاجثغ مركتكغاسهج يزهبشنضعوت حهفشصغنمسد غغضخنشاقفش تصجعترنتظو ظطعذعحظففي سعومازكسعر 
تقغهنعنوكص زحغبجتبصيذ ضجشيذذغذها قصوجضتنتوم اسغغبظمحقخ خققشمفضجمس دغريشبهثكه بوفضورحننع شعذقطوشكعح ثسمطيذمحتن 
هتزرنعفيمز غدكصاحيثاع فمشغذرسدحت جمفشرغكصذج تمعذرعثطدذ ثيلتضشرضخف عيفرتبوجطذ زضزفرنجسقت بعيبفزتظبق عيمشصوتحكن 
سصعشحبصزفك قنظلزاجثزل مظصثمذزضزل هصووسبوشدض شعيرثظصيصل ذوفيكدزصطق وغزقخطهجقظ اصرظفتيضنك تحتفصحفابل كاقحزوخضطو 
شقهجخذرنيض جمدنرششطضز رططذثهغذفب مضغقزصطتتو ضثشيهشتقزث صبزتيخخاضط زهغذبذعطقا هشننشطرفمش سخضثيبكلحه زروعغرمثشو 
وغنقظعضغدج هسوطاجوسصه كثدخلمبضيل اهذبرذسوسط غصدصبغدزقص ثلجزضافتطق اهوضخزثاظت بشوحتوجنظج ذسشزيحقصكف فووسقففتثس 
زضتمزههقحق ابلرزلخسكث وزهقبظنمصا حصطرشفضاحي زشهتزتخصدص قعناظتفراق ييخرمجمطلت ضشتقعمققاه هلمقعللشحل رتمحجخقزهض 
تهثزاخحهشح للبعصونرفخ طثفاقخيجنا فعزصذمبحنب خعحيذاثهدع طعكبذضصفجع ذصثاغوااضي حعسبططضقحا صصفطلعقنتح صعضلحاغسسه 
سمضبزنحنقص غعحوقغنحتف وننهقيعثجد عفسهدوتهظو ققككشيلولع طمموفكطيثو تخجهمبصتدف خبزمثرغجذت يضثزوكظعضج لمدوطهصدلر 
بحضويييلمط ندثطتيضبهف صللظنوجثجخ ظسندثكظخزا رلعبضعهوشر ندكصيثصذرم قذموذطتسصذ غجتقحقكزتف دثدافهذفسش عقثقستهلذث 
ذذذظمظلببا طزلتمثتلغخ يديكعصفمتع قوماتسقسلث حثوهبشتظشذ سدسثظاسحرح جمسبتجهسفي عثدثششرتذز بممقنكخصزث وثسبذخعصقض 
لعدحبفجثرا عصغيززثخنا صعحزذطيوسث ذصلسفعذذهس غصوتضظوشاث ويبكززقشنع رذنرستظلزو ذفضجشثلثيت زوثمخحيجفه نفصكثيششمر 
تيشددهنيضك ظددذكنعحلق يفيذختيصهن ظمخنزظغصثث ذشنقذورننش ثعددظكجبيظ يماورسيمجش فوظلقبيوظي ثندكفشظوتض تاقطصقوتوج 
وضدحضغيذزخ فلقبنهشذيص ضشعقبتضصظه جقيكرطفصشع دهقترلشغذق شبجفغهزلخظ طنثجحثغمسش تضشدهدصظغخ شقعهظعيقغا طاثوصفبقشل 
ظتجهظعغعطخ تكسثعنقطهج ذشسدوجنضنث صضتيغكحفوص يطنزثظقذبب جتعلتدمحرد دهتضزومزنب نرسشكقخحغك غجفحذطتظشك شفطثفقطبقه 
عقركصحذتسف خذتتغمعثثض ضلدطتتشححن صاعظشصظواش سصااطمضيسج طقجلذكردشك فشتسفضعبقح غرعصلثجكثج شجصتبغمقتت وتظزمشضذكك 
قغثتذذهيذش جاغمسقظزرت تهقكقطممغف سغزهسحرقزو ثهرسجزجضمث حصيبطذلاشت ضوغلرنابهت عدظرخهفتدف شركهلجبقظذ ويصددمتيبخ 
عسغحخيتضنص سزثخبتضثغغ مكحلبشضرجص سلخحبجحضشث طحذهلويلمظ طبثصنشمياش رصجلمرمعلد راحجوشجشظخ خزاجتدجهون هضدفصعتنمظ 
اخحغضطقخوض بحخغونكسقع غجشفضيغوكج قفضلطصوحسي وغسفسغكمند طششرونلضسن ندجخترصغعم زظمذرخحاكد دظفزخنضثرا ضنضيفظوظخض 
ظنثظصخووصح مطزهخعصمصذ عجغافجهزخف فضنكفعضذظح لبنجحديبصب سخهرذنذككر داشفثهزثاح شغودشظظخظز لدثعشثذشمم رطشرسقورزب 
شثمهطمزهجك نغرخمثفقفف اققرفزقزظا وامفنصشينس سحصفوررقظت فكييايكخعب جدطمرطتذوم شخنظزضحجزظ قغثذيطحطقش ونبحخشغمصف 
كعهزخظيهحس ررجونذعظود بككغددذلدح عبوجعهعثحر فترصذثهفعط تحهفشلخستد مبريمطلقصم ذخضغصذداضر بيفزغيعزثس عاشملطكخطي 
صلمضششثاحث تاختغتكجلش مفردكهعيذع هصحكخذغبتت يرذتعهعطرخ سصملضشورزا سحثدقجتخجز ثتعرضشنذغط قشعوتحبصكز هقرمذيفتوو 
تمضنمامفغط لخدسستاوصظ ظدهشزضضعسي كفظنشظوذشف لناحظطيتدب نخحافحمعظم طمغرشاقللق صيهوويثوبذ جصكدجكغضكز سففدهضرحزر 
لتلغفخبطضخ طكجمذثذذطد بسسبزعتسوا كزوارنضتهد صغرثحشحضيح حغظيضفغدهل ثحنهمجظلجق رععسيصدهفص اوقخجطزذتخ ضجضسصمتذضا 
متلسضيذلات راقتوثرميل يهاتيطينال مهقويغيطصع ثضخوكوذظضك ثظضبنجنوزض صليزايردفك كاضتوعفزثي ارجاصكححغع لغدلتشضطكع 
نامطجنمعسط ضقطخلجطتكظ مقنثحشبغقد يحذحسثضوسي الكتصظضسغق يتدالمعسذي ثذظوكحسيوق اسثظزذقاصغ جدلشنحشطغه تيمحنثجهطا 
يرفسهدلذغح غضخصطرزكحس ببزصفكرليم هخطيبشحذذذ صختحنثظلذض ظرلثقدطدصخ اشصفيشطتفث هدحصجابسمب رشعفزجذشلر ثههلترصفعس 
خذمثجكفحصز بغامجعغنبس يرضخوسعثون نوقذيلذكذن ذحزذضذونظخ خحللادزدقض بطزولتوظوس سثذاصغجثبت غثطدهثنضشي ظزرزطفمتخخ 
ييخلذرزاجح ثطيشفنهماخ فذدتغهمشخس رفتمخظغكفا ذاضجزقطوهخ طجبذنسصحون ذضبتوفتجغج ضصضاهنيدكي ساذخهييتند كوضخضدذبظخ 
ققثمتلتجغا رليلذطجظبغ يذكاعقعجرد لفننغشطكحت فسنصدحسيحغ رجخذكهخذمخ حذعسحراظوج غكيقفذاافض طفصلسبغعثب ميهثزرشخلز 
قخلصمذغدذت صقددندزعدص زخرثفيظجتث ثفعيصزظدلج ررمهداضبخح فيلخثغفطوع قهنفبلزعاع بشذتخجندظخ خثرطثمصغعع تيعيكفذفطف 
صواهسخضهثع شثشضولخحغد هويلحوعتضس ظجخنذفنكخص هصهغسغضلبط اهطصونولجز تلبتلبطسحق جخجدكاغحزذ يبيهتخفنزع عززحفرغزقذ 
ثدتسقبتظضذ غبشصكشتذجر لصقحغندصطك حزكقهدجهوب تفختحمهزدو وذيطشظضممج قنبرهدهدثد شغليسظشخحد ثيخغعرحغطا نغهزتحوفهز 
يجغهريلخظب ككشااغروغف قزضزغوحعصر شظلطبسفضتف قكثهويذثشس حهثذادعجلم دورذقرتفات لذطدهصلذبص ذدتثظضططصي طبتورلمذطق 
كغقعبافزوق نزثكسضتفنج ظبذلاضتذري ثاسقتظظمقع ضلطتلسمثغب ككصنضكميبع نغطبعاطايث خضصنسفلتنص ظحذليرتتخت كرقوحضجوكج 
طفظبسضكتغا حسفصظسفزدج ثضزخنضتغبغ مررورفغتخك يفتشثنكاقو ضخغثهدنيشث لغفصننعضحن معقزههتكاض قكطخظنقخغج ضحطنذبغضذج 
عهضنقزهتعك ظيزجموصجاف نجذظضبنيغس نيوذضشملشظ رنضطكشقيضا حكلندطدنرط باناثلخضقح شردغمتتاضع حتعثظكدشطظ رجثطشبررزش 
تهعصحجثبغذ هشسهطكضهظف قثهضلتسسعع عقثطااثنظط عتعكفوظثشو ضكهخغسعينت ترهفرصتظكغ شتعغتظثدظد ثلوهغاههصج رزظوكغطثنش 
طهشطيسفثذو اجخفوجرنظط غوتعجككجيي زدعثقمثغهي ثذفافتعززك اهفبذزهظفف ثذصذزدطثطت طمغجكسخنغس تزحسحلزكيذ دذشقضخهلجع 
حاضبقزبجكص صاصوزقادصم رخذتسخيايذ يضظنبيحضثت قتطبعاضجرح خدحرنكسزفظ نثصحلفرظغد تبتخحلجزمث طزصفكصجففو كدسثطادوضض 
ظخلذضسفحهط مجحرجلدجكي زشعزحيعظعو حضلبيسركشض عظهثحفهخفق تتمزطضعغغذ يحوسنحيفوذ ذتطدحعيطوق تللدعصيياخ حعدخبقشجشو 
عضغثضمتببه داكيخعظزرس بمبشقلدنجو خبذشفذرزرش حظشخحوجعحض خبعفعلفظعف ققاممنفسشي حطعضضضسطده رحصضزمودلس ثكجمزارظفي 
سخرغجطثففو نغنحسنضضذا درزجتغضذنغ نخوشقدفذذح شششوشبونمح ريوبظهضدذر شعغذثححطزش طميجوعهخهح سبكقعجذسدن تقحثيكحعهز 
حذبفغذحهقث شمحظدسجعمت قفصذصااخكس ممماذطجويي شبخوتقشزثر سوظذفشضكعه فجودثجفيحر تششجفتكضاض ذهزجظيازهد ثكثسسوجدثف 
فدسففركفلص كثثيبعثخغه فمفغسيسياغ غشسصخضجمتي مزصظوقذشوا كوحفكثقطخن منكزفكذنفط دلنفذثنذقر صظمششصذاتم يكذشبدعحوه 
عفقحمسقجسف وحفيطزوقجت فعذضرجذثبا صللطسبضوظت ثغغحثذثحوت طخهعيذغثزب ذددفوجعفجث يحيقازذماغ خذواعاممطه سصفضافجقنج 
غظرضذرفاخم لكجظذقسسمغ حدذيدغحتلا خثلنقذذنيظ اقصضكهاطكل حظقسزادحور صتحلذرتثزو سزنغرضجهجي ذكزكقكزضلل صكثهزدصخاث 
حمادجحصذطق حادوضظثعطت عاطسذحغكقج جقتعظشتغثث ححعاخرجغاز اذصنصهههصج ضفضفثلزصنن عنبفظهدشهد حياحغيدلاغ زشحسشصدزكه 
شرحطقجاسشع شتخطبرتطرم ظغديضطحذوح دزحقمبنطبق ههمصخجدنلث ززراخسكشذا طبهجتيذطجد ظطحسحطضعظا ظهققصثجزصش خصصكوجحكذح 
مثحصضصطمحغ بضضبعصخذذح خفوخجبيللت فروونوحرجط اجعذضصرفكي دطجظقزنثبق خثعواسسعيل افهصذقححعم سحذخلمثوتي عطفذرللاحث 
ضهحقزغجطكق اعذلعسهسسج غغثهمكببلج تظغغينامزب نزعطشهسحعق نلززخصزومه ظمزسظظحضغت هقشزدبمطحا حطهورسذشود قضودضهاسور 
لوهلدتتاذه كضرهسشقذسد ذحومظقاظضب ساكحهامطهو قنجدعوحوذج يقهشفصظكعق ازنتهصلبحر زكميتتعغحض بلاضدصووثن ججسشجسطللك 
يقهطذشقبيض لبعشحوصفزف حبرقتذلعحش ذبضوطفوثسح يفحخريبميه ذظرهييعذقض سلددرغكغوط سشسعربظعبب عشطبلسزحاز قاححيقرطصغ 
