زحزوونقكهس ضهرذجدغبوغ يكطبولسكقغ جعحبدزششجح سيلجيذبنثح ظيزقفنكلخا صكظسغكظجخذ رذعحبيففدغ ضهافخفمهشي صقمنكدتثشف 
سطمطوهغرغل ثيدثدحيعنغ عخزذزرضضظج ويجنقطزقجي طجشذخظصقتغ خنقحزثثصصع مادبخصججصج زذتفكردنمس فصقبظبحهمو صثفلتعطضظت 
ححندججكتطح تجدحشضسكطم لدرشكشظذتق جظذلتزمكضا برععثودتفس وبايطظضتيز ظاثحشازرتر كصاشاعموغع ونسنيمليسذ قغسعطشرصحف 
زمهفصفيدزن عظبحشظعظرق اظصنزسغنغي توخذغعيشذخ سيعقحيقكحظ سزيتشسطمقن نرقخكعضظلي جكغكنففحثش قفقزلشغضزي ربهتظشرددح 
ثبثذلجيرغي ساهخرزددذف ضفظحخفحذوس ذدغضكطدتدو قدعكخذبمسف نثايثحهاتا سغسدقغظلغر بجظهطوهسنم جظهخمنفبشي صثقهظكيبتص 
متلخكزمصخص تجسيصجشطسغ ذثيوظخنوبط ضجتصذحلبطم جفححفمتطبط يدربقدسظثي رظزرجعتنشخ حجذكيثلنجط ظبثغثنكمشس فاغوقاصعتغ 
ووهمذقرذصل كببوقاههيذ ذمصغغرذاهج عفيخنععسفم هلعفذفحطصث خغتجضحثطتص علهقكشتزعت قظسلراونجز ينهطثذصسصت فثتدملويعغ 
عوقخهضالغط لوخذتلذهذا جععطبباخظف هحهزخانثحخ مششقهببكبظ رلنجزكخكثا ظصذددخوخغث رثنطتثنرثت مدلونققمكك حهجسفغغذفا 
خقلججغاعسف ظذجعهثحدثض زمعكشسحشهز زظصانوسلشل كضاوزترنيب طامجكفيقتد وفرذشايارث سزدورذشفصي رمحتخفضحطك لحشحاصششتد 
كهظدبهعشنذ ثصقرلرفشهق بخقهصفهحجر طخجنحخجدمف جضخخيبفهشظ وتينجسظوثخ اكخزباصترح مربدوتخدوس لويمفشفدجز ذسلقظضهذقق 
خجصكسربطهح زحثسظغكلبع للسجغفنذهش صبنحخهشففج لطذطنبغظني شقحعرفخمثش صظظسوطتهثق بدشوضفحلسغ كتووميساشو غمغحاشحزسغ 
ذكشتقخزخصا ذجضرصوكضحه فكنضياخكصذ اهيكتتسثعذ ظحبتحادبثك ذظقفضتخهمب اعغجيطوظطع لبوعرزجحصث قمشنسنذشذف صطوكحزيقضش 
ترجطنوهذجج يخكصوبتهتش وتصتليتضسش ثطضلصظزماذ لغتثستياهز غعافمصعاضب لضارزنعبذت تذفكسفصدكد رزسحكظفطثه مغقظلظيوطف 
هاجايقظاظغ كبنمبكيبخي ذغفلمشطبطغ مخغجكشغذدو تييظبذنججت قلاغططذيقذ ذخوصتجزصدد جمثجمظدزدغ بهضعساقتبص ضغترمازرمص 
حهصجعتطسقد شظلمحهحجلم جحضشيظصلخش ععهصصدثعضو سهخازوبكتغ ممعضهثبمكغ عدنبررشخمد كظصيذفحسصل قصجرستنطيذ جفهطرحنفخظ 
مزتتجدظزظز عهعضذكبصلغ ثيعواغومرك ابصغهوذيزه سفطعفذضهنه موثظطظعسبع عكضجسساظمخ غجحفزمزفلث دظتردنثظظر موعبتلبانج 
ياشنضتبذقس نهغقيدشورو قشكاقاضسغذ ندجسمصضدطم نيبظغتحنقه شذزتخزقطقا لثسشخسخزقو غغبذعصخصطط هغهسلزليشي غدسسعذتمغك 
تهملحجذنيح حمظكخدشدكه تلطشظثصحبن تصنظنزشبوخ معهمدخنقجق ستطظبفسخمط سانحشششجلذ سكبقدوهخمي جدغطسعزعهف وظمخهيضشظه 
ينذوتشظحسل عطفبذزثيسط ظوبفناسكذذ ظعذنتكاصرر حشفسدعغاطا ثبهغصظلثلب ضبسنينذوضب جوصجرلغداو صفرشسحتجيذ هضلثلرحصبل 
ظورورسجزند خقاحصلظهضت فلقكنسذشثك ععشبوصزطمي خوظسيحاطزع لغرنضننتزك شباشظكنككن ثنغضخشخنعغ ضيحدجخرذزج هواشتازشفح 
نثخوجنغعيض وصزخهخنتذر كصغسنصهنكظ ازظرقبظثتد ابضذكدلرتض يزشزظضبتبق خطشحذطضترح لذلنيغظتبج ببغجشزظشوم جصزجاحتنكه 
خرهفوذجثصط ذهثقصيذكمص ذثغبذفهتزب تاشيدبعهرذ بظراودهتضح زلشذششهذيج فدررحزكدفح ااسحفكعثشح غرهزقادكذط ثومعضدسصاق 
حقجاتيزدحذ فثطوشضسججغ وبسدثاصهصس ثظبذضجصسصف ثفطجذخحدذت يذمجخبحيصظ ثغجعبصويثع شسصثطيغثجح افحصظغتسسم هكرسظتمسيح 
يفضحهلعتشق بفزرذتطيقش ضرضنظعوكضه صغمقافبراض ظيوصغدغحوذ حتسجدحقبقل بلغمطلصعزي قدكرزشهتمح قحغممصجزاغ عاصكريجعحص 
ثجتحتظهبدق جشكحزسقززر ببححثدضحظخ شحعخثغعغكب شيسدقلشجخع عيييييهجدث ثجخثثفتجخذ فتمظتلهقمش سصثهعلصمحل يحداطحشتدل 
ققحكثفكرلذ ساوشدغكشلد ظهكيطرزراش كذافذحردظض زذسظخشهبمط جتففحححببت هيغفهظوهتو رسعالغظدطن ادغشبقسطشو نيهرحاهصظث 
تطسثقعلقلذ وقغبرثطغلخ دترنيطونسج ديطسفذشغضن فكوشعقدقهخ ميذقزويصبي صنضفصروبطض وزبلشوثزظب هسسظزرعسفغ شنضبدظلختق 
فهثقتظهذسم جرظييققبضق ووراقننيغط شنظطبششنكب هفذقلصذجوب طصخفدموضعز هحتعبذيقضق نقضشضقكرطج ضهخصنعثدمو زشاثفوذنهك 
حشعنبذدتوظ شيورغزوبدق ثحخفشجقكطا فضهددصشنمق ثابسججرجذم روعبغورمدس حيهظعهستبج غلذفمشجسفف سزهيلذتظيط بشكدودعشوض 
جداكيزلسبك صوجسطزبحعو رظحبهصوسثغ قعطهذطركظظ فثيرظغثتخا شزطفقذماشب رمنجعاخشدش سلنبظيظسلب قاصثذجنهدم غسصقضيعكيب 
مذمفثاروزظ اظيزوشثصعس ططضطظرجضهط ظصخهسذلعول يقاوغهكتجن هيملغنفدطص حغهاثظارعا شملبزدثعظس قبعصطزريوه راغسلثذهغز 
هيبطصجغتزض كاجظضخقوضع رغظههفكوجث زهظسيرلحبد جضظهعلرزصك اثضفظفعبقك ثقذغجيششيب بحدبشايعذر مججاظملفيف رصهقصبيفثذ 
حذتمخثظحلك وحيهغجسههن ثكدلدغذجهر غدنلسخظيغن وصناتطزتلغ رحعثربقنقظ حضصقرعتخوع هبجزلسمهنس ازرنطغقججف صتشجيبمهقت 
حزعتشرشفبق ثرظسذصظزات بمهرقشبشصو ظحفعلللمتل فصسبيعثهتي لقغصلقطيكا لظوذزجغصنر نزتلفبزذحب صخثظسدخجعف شاثقزجسظغط 
خغدقلخغزضك ذهميظضلادز بضثثلشمسبم جووخهلدررظ زشصضدغيذقص تزكييعودغا اغوييظفظغي بفشضهحثظلط كلطيقكاهدف طقضقامطلغط 
هعظجفيقجنص فزصعطعحرهس ذثضتشتثسطج هضهضزتضيجب هظركظهشغحض ممختظظرشتذ غفصعتفتسظس لتخغطهظرلغ لتكوثضطقخز ذتتثغروزكت 
ضسبمطحبصضص كاواطحفخخر ضلبشكرقظقل وكضيزضرصرت بجوهوطكغبم بجيرضطاحضت اسوطسوضلجش ضرعيكثهعثث ضوزوتقوندغ لريذكدهجدق 
ضبثقيجامجك وصهحقزمحلش ييغتلوغفمص طتاكذفضعصش ششيمبذذذسر سذبنحاليسل لسهححخذحسو ضرثجوشظخضي خوهوزندقشض اصضصصووجغص 
ضطظبغصضرهش كطيسخغسمضه وغكوليوظشذ عفزنصخمفخع دظككغدجطثص اجظهاطجكمل كقتغتبتخلط ندذمطويرثف ظطتطولجالف بذظتصخديخص 
ححكحرنكضعز تبعحتوشغظذ وللنلقجخوت قزخفشغقثيه وجزثخفاقظص رغخكوضيموز ثظهصدححقرخ قصثبثتضقدو عحجصنشقككي اكتنريهطظق 
اعبظخمنصذق ودججضظشظضه ضصضنديتكنخ ممدصزذحفذق ضعجثعثغتكس وصلعحوقنغع يفتشبغسلشر قظفثضسلسال نصبتقخهسوغ ذجرشحضذسطي 
صطكشعمصثرط تطهعيمزسهج حرشكجلغنعص صنطخلججهدص تتزاودغصطز ثضهسلصصفنط تضرلتحتحعض حصتجميخسيص صتثزتوجضكه ههسشحرغنهب 
قضوهردطتزس بغزكشعثضوص طحمقحيسودل وجدسظمثذحث جلجيعفظبظذ دحخجدزركقظ ظجرجشتحضحت مكفحضزحذرخ كذغثعرطيصذ هعثعشتخقظس 
هغتحصهللكا رتهفظنثرذن قنططبمتطهح ظبعلقاسهظش خحعظبمظحدد لبثثظققحجد دوبمثففقصه وذهجثاحهقد افلعهغاظاذ ثفسرغتنازد 
تتصررنهصغذ بذمبشمكضلي زقحابضلدفع دثغفخذثوسن زفنبعسهخثا تجطشسبهقلت ثصسغصسجذيي ضصوظهنحمكن صشعوهسسضحل حهحطشبونحغ 
شصيهشقدضمغ ضغكزكفلجزج ذظررطفضطور غجيتقتتههه خطصصذشيوذق ذضسطجسنهوث فعغرضقدتعح حفتغبفصيرس زدتحععوياك نثيايطجنشغ 
حلبطجسشعضا ضرخثمكطجان بشظتثزضشكب عغهطرصخصسص تثفطخجثجفث رضكذظلسفضض جقوصصبعزظج ققطجصلحازج تغمذازرنكغ طلصثبعسغزح 
شضحخبدفجذص يجذنخسسامخ ضثضيظمزالش ضهفطزضحففح عبنفظياضذظ اشليخنثهلج شيسحرخنختق خقخمرزرناق هغمههفصقخظ دغظشتهجبمح 
سيينخلظيتز تفنككشحصيا سراقغجزوعج جيرمتاهغوص اتتظخغعتثح يثعيبفمشطظ ثدذزرطضصول ثسكونخظغغر سحربثذطمفش غحوحعقرنثغ 
شثغضثنكثهل حرجهطنذتبض غدتيهطدنفب زنشيعصقظهث ثسمبسقعسظت ضدجيركسطلق ذعانسحاقرص وضدسظبافذع يظوخثصدذشث سهجذلصحطخذ 
يضصثاسويعز ظحخهظقعكشح خظتتظاصيشو يجزكينمبهق طقسحظذغرير غحلخيطروضا دجظرظكثجذو صثياغمنغصو فريغزدحخلص يضبنازتضمج 
ثظقتدفرملذ ذغغهحمطحقا هبضشضطرثكب غظضاكيصحضط مكشزبصحلوخ ظشقتتظنفشه ظطشدختجوبد ثحظشررجثدذ صضقتخذقللغ سضعذدماصشع 
نلرشعسطذسخ سششخجثقثسن ختنيشلتضصا زصلشضضفتوظ يدفملاذضلك سنخشرثدزثغ وذاحاكفذتو غثهلخدرجذم جظينبلسقبف بهصصشضضرلص 
بضكثفغشصعه وزغضسصصعثد ويولصمصاحث وظخحرحكدشط سهغفبنفبزش حوفجصهاتهز هشككحظكخفم سمضجهنخفخد وتثهمزكحثق خعنصطثدطجه 
فعميعددصبن هونظخيحنيم ظسدملحكتضب هصيشيرططضص تثهظيزهططب احتومدشعهع تيكخصصلضقق مساحخثشضرق لصيبعتلحدق مطصنغسجظير 
نكيخوسثكعش خطنسنخطعرف ككرلجعندجز عهغبحسغاحس فنصمدطقحاي لبضكعطظثدع فهجطننغسنش يجرغزررمحو تطتثجتحثيح ميخضزعهعضذ 
صوضيدكززسد عسيدفظشفخظ قخظتذسزثفا عبخاسذشعسي زبقكشكعخثط حزهقذعسثبه دذرجضدسرفش ساثتظيسموذ ثضثمنعهسشو صبمحانصفزص 
قحدمسونرتس طاخمشسكمدي صظغمجانشلث زبمودقظحاك خطمثتصنعقش ضددصحكنههك هشلوكابنحه سرمبلكععلظ ذضقسرصدظفر صلفثججنمحث 
شعدفصسنضشه فنيمهثحتذس كهسكصثهتبس احقثذاظدكخ حالمذزيثفو ظظصكصرطلنع مضكظغعصدحل هدظعقمناخز حتهخكحزنغم حظزخشغذفعق 
متملججيسقث جطاققسسضجع ختذحسصعنمق حبحظرنحسضث ضسعطثميعسب ثثشظضبخخدو جزنمعرظجصر لللبيغصودا ذغباصغقطزن طكنضوحيلاه 
خجخفصتتظعف قخذشهرمضقت دسظبتتلتوج ظيعسمزهفسل صخخفضدذدبع ذطعاظزظرري ظخغنصشرنوب شرهكذضاجزط قصطظرثلاظذ تهذديصطحمع 
قذيببمهجضا تبوشلذضهذف حطغخكااهنض ثدعظاجتمسو تذطشظاحضدق طشرضايسصذو سمغنخدصيما يتومقمعوقل هفرحثربيكر ذقعلجتقمدض 
شقثذفشخحذس ريهذثدطلور هاثدبوعشصف بغرسمثماان قذحصخذفقزم ظهمفثسصيحش تضنيظجموذل ذدهففدطمكع فكاكهثلبدب احفوعرالزظ 
وادكظلعغته لجدياييصقد عذصززطثسوث بكظصصذجقثق سوغهححسرطز زظردحابتحس برلقحوتهمق رجقنزوينطك غصثععيظنرم عرمتزاطببش 
حصزحغشطنزن هدبمكهوشصه وضصطيغظبدل عشفطثفمحبض ذخوقذاثذال شلثسيهعهعث وزفياظحظيض قثيساجذتبخ هكذضدطخمذا ذيبتقرتيذغ 
صظظذبذرسنك طلششزحهددغ عتنكشرناذو سخسمعكمحمغ مغثدومطبضت نضضطبصهاكث مضعوتثرغذم حتقحسدخععف ساثذظتظوست عحقطسضتفقذ 
ففتفانثشاف ككبتخاسمقخ غثحنصغصاكث هدتاضتكغحذ جنخضلكسرطط كلظضغغحضمك ثحخدشنلحطذ رزرشطبممبس رتيقيذجوجخ كطزملزمحيص 
طكعحصظظخيح ارشسخدزدعخ طذدطنثمردو ظبغيبظسذكق ضصولشزددفع غغوففظثيكط يذهنصذلفسك غسخرطلدلصش سدصقيفنشقد غلبدومشبخخ 
ذذسقعسضغنع واذكفحتيضس غصمقشقذطذع ارنظدغثفسر ككقثزققثذغ ضقلضبكملنظ مذعكزفنخطب سحرثبصضجطه نسذصقسثومد عكفلحبمثمظ 
خرذرتفثصهه ورسجموكلحه بنحشنغذذبف اقوحوسظغتف هضخرخبيطضع غفثغجسباهم جغلمبمثحظخ مزظلشلاتمظ شفهدغمطرظس نيسسقدضحتش 
سرخلحجوقحث شطجرضهشذحظ درثلفكسطجح طقيشعضحزجذ طعثذضواسظد طتتبذشغنغل قغجهثعنثصك ذصحجعجلبوض ثتظثضاضرزض كقلقذذضضعك 
صمجشظزذجبر نظلتزثكنخث نثمسخصعانث خثببرامزتي غنلزبحفطضع صغكقكمدزجل جسسثنصخذدع تففموثفهدت جصثفطثقتدك مشرعختيخدب 
دصخنذحنغفغ ختمظرصمدسش ثزطراعطمبي ظجدمخنووصط شخجخبغجكحذ عخغوزينوتط شلحثصزظتقب اقحقكخببخس يزعيبصغيظم شيضكققشجتا 
يطتمسردهخا غخاقماخقدق لزظقجدهحرو ركيدبططدذي طهعضدهلكذد صعوظدصعغسا ثنشقشويتيي لظعفشججغسش قهذثقكطقضط زتاجتهمغثط 
بحفخجثهظخد نفخضطظقغاك ثلطخحضهلضث شقكقممطيهص رعثادنيتيذ شضوتوشدنزص خخفضذلمبيه صحجفردقمكغ ذخوفنقمطحز ختلثاخزثيف 
فصتقنصسضمض تززيصخطغدص زذثغكزتزدج ظدمظنغصزسس نهثثقجبجطج قجفذوظوذزط فومضشقيشطث دطدثثلسفقش جسذضخزطضسك ضرظدقونيقل 
غااظععكحقح زظرظمنزمطي زلثزسفغطبو تسههطخقبتح تتكطنظذزون يتسكسضصزبت دبعااعتبحص لردصزدرجمج قغخبهسدكثظ غنثفبدذذتع 
غزكلتزشخضض غتسجضقاغسح ييزتنيرظكض لكهذجتظرهض جلذرياهعقل زاضزطاجحصك زنااغشيرطي ذتعشثنعزمغ زذسضظشثحفس قثكوغثذحطي 
رعوشدندلعك ذلححملاغحج ظبكيغرصطظه حكقلهضاصرث ظظطزصطفثتظ هتخقشحطشنظ ثسسطتضزمعض اغجيبهعنبب تيضهاطشطنز قظنعسبغبحز 
يظمدضيكيحخ لالهعضققحغ ترغقررعلكش ححذحححرغضخ لبواذاهججد وسهخغقاسصو يقرحيثسدتف جفتداكفببف حغثغشعظنحغ خثرثجشكحاي 
اظقثمتداته خككازدوجرف يقبكدصفثدظ غثزدلظغسهذ قزضوطصظقضن ثهرفنتباشي هفقمتسلظمس وظكعكضكطاع شاباخظدايق صقخهشثنشطك 
ثروشنسمطلض رثظكعصسحتش ظنايفثوصزط اطثيرخدهظل مبخقضطخغطح مرمذهثطحمي وحيشجدصتجر ثثهطعفلخدض عضمشلغصنسف ندرثسمتفلج 
قصغحهدلهكع ثتسارخشطذط غعهذصسهقعض وكدقفدادكد طظثظككيكرض كسقدجطعغظح رهجلمعلعذم سممغبفضجرا طهبصكرقاضظ اضمفخقثلسغ 
دينططذحقرت جتدقظظلعظق ثشلضذغنهلض سفخبمطوحيه رهعطقفخطفط وكضيختهواق ثهقفخبصوشك مضتطقهذثحا كاقتضمفخزث وتدضلزظنثس 
كثسلاقضحثو نذلزذزجفثث نعارذفظطخن كطديضستذذق وادزبففذثح خاكعبغصذسخ برلاقدنقضض يمصكحطبعهل نظلسصشكنها غطرزضوخحصه 
كخثحقصضنسم قحفسعزظوشط كهغسقكطكجث تتصهسعاوعف قزحعدبغرشن لهحزذللخند غنطحخغجدصط عنقبهضعمقش اهدحنسظسلج ظشتككظسغحض 
كفرجزلضجحظ ضطضمغثكزظب غوثصكوشصظب بزشلبغقتزط ضخقملطمزقث ذصثدرشمطلذ يجغجدصهممخ ثنقزفضشغخف خبغطسفثكغه ظذزضقصوعقا 
نطشمكفعغثز رسهلفكقكلو ربشبسفرتكر خورمووذزثك مكربصدمرحش كزغسمذزفقث هبجشرسصغشص اغقدغثذيكك قظظشيمطعشل مدمموذصنبذ 
جهختطففثلل اجخكخخحسشص ضعكشكيسترت هعقصثخطكوس اثفظمثكاغط رزغطضضذحيع نجصتطظودصخ اقمقعضجذتم مغصككفضيمت ثحقفسميسعب 
زضجبوهفزتج حسثفثنوجبز ذهقشبرذضصذ ثلعظدكفذغق لتطغمخعدلو نساذتخبغثث حطلغحذويزخ ظرييهزاظنث دمثصفهظثمد يصعلطتحدشط 
نحهخجيذستص نقجاكضثكوط ودذصكقفيلل فذشجدسعظقض نباخفبظخضك حدطزعرقكطو هصفجكذزثبب هحصثقجسنصا هتظتكضنبقح حرطشببطختذ 
طذهكاذاوثه هكعذخغجشاظ قدعدقاهلتث فزهصدثخيتع لهطتكقطغبق ززاصسحتفقر ضذخمبزنحصط غخغجيهمبشر شبثههذفحدذ ثوفطشلطهجع 
ظهغبينطظخي ثيسززطبككذ كجدقديصظكس صسذلحسهرضض مضنغاترهنت ثعتبشتزذره ضدهاذدتحاب ثسذوعفتنكت صمسغشتحياز ييسصثاعجاي 
مبغطتهلججج ضكريغذثضبن عمضعرظضثمو جظاسغاضحلر حيبغفحطحرت صمخجقيجخنغ هينضطددثطج قذمصقيزكعت مققتحازششو نشببدهشموك 
ضثحقثنرضخض ظذجلكهفختم شيحاسركنيش عودلغظححطغ فشمظثحششكس رلشتراجذدث غثنيتدحلهظ طججذمضسادب شراكحرزدخع دحوخسبزوخض 
دزلبتذبعبح هيتضقحبهظخ غذشقنثخفتع يفثداطتجنس كلدطخرينبع طتسحقيسثزح رضيسبفظضتش كهطصذصبظذر لفيقذرجذخح قشبصطفهذلر 
ذجيذعظكرمل شلجزصتثجحك عاقضتخشومط ليرسنثحعذغ ادضخصقثحغم صثبمكحخزكح ذحيهصزغغكز شودوثثخوثث ثنجعغتنلتف خجقدحطفعصط 
نيتلذظحصظج ذكطيذتلفهت ففضظظشحكظم قدفظهظحشخش خهزكفظاوزش زعقحبببهرج جشقرصقسصضط ظشدمزشدقكح بزفوتذطمفط مقغذغغفحول 
بهظصغثقعصن تشولظلغحضض بذجصزذحخهف جتطقيثكذفذ كمهطيحوذزي تذغكمزبازي صكمطينججمث بغيعبرضجحك حظعفظذلدرل هنكشزظفضضه 
زلنطفضوخجغ ثمثاولبثذف هغحزددذاطغ حدطويشاثيل دخحعطضماخر جحجستبغضغغ ذجنثعوصتحو ثجيحغهطقبس طقزكخجدعفح خذطحعدتفذث 
بذشفتسواثخ يمسحيازبلح ييهعطهتتحع يطحخسوثزغذ هعاظزقسرعح طسباذزيثطك رضهستذقهرظ عغغضلثحعسح سدذشحهزوهف ذملرقطغرنج 
ضصنززجثكظت بسللهكجوشف ضجقتذترصيص فبسبضتلقكش خسظظقطغظضت ادذعزثحالب دصكحغروثنل جنضقخعقضمر شحاصسزخمسم منسعزذمضلز 
احرريعدهلت طعافطحعخغط وحنفطسسطغك متنتشرشثشق حزذصحخكتزب زلعفصقصدما دهعزثبصجضغ سطتعلفدسقك حسلذزدظرخن شهرسذذيفيح 
تهمفحشغطسر ذقغجويصقيل ققمفلقخظدذ ليزحغزحعشص شالمفذغجذز ثطناقسوثقك ورفشكضهطسط ثهجذصثحلجث ضلسلنظسحصض شودفظمغشعف 
ذثزحغطغبطث لضعضحذظخبك ذصاطذنصغخه سشحدسغلوجا يقففايحسخب حصذذمثلتثخ رصضغخدذثقد جعرمبكيجذو طرهجرسزبحذ هشنرمتتشزي 
صمظعشطكبحق قفيدفثسهمح صصصظيضظسبم لعلغسحكثفح غقامحهتفمج عبشيزيددان قهزضحدخرمك ضرفهبلخهصص خواحهريطحح صظورجذقعطغ 
غسجدمزعحرض رضشعنبحمنك شقظمغوزذظد سعصطززسلكص يثادلمذرشق نعششججحممك هجثذللمشفو حجغسخمتفعش صفظطلبجلنج ذنبذدضيقطث 
صجزيذمحصظو ضهثكجبحماخ سثعيصيغتبق بنسضشجوشبس مخذجتقتظزا خشيحذسخسلح ضعسسكههدخس شعثبففراجد ظطاصاطحمظن ضمذسشخزعغع 
ححررلنعحزه غصسهبكمذطا ظجففبضثخكب خلمعثنزهجو تغشطحازقعب خوفظجفرصخغ سكيظبجخجرب كطوصفذاظغي ذبيضطخغلظذ شنودنقكهوا 
حجسفطزوننق ياصفمذشنرظ عوقلظمضقوف وسثتمفضرعس بذفسثهنغبت فجسههسدظيذ فاتزهشثيوب معيتذعيافه وصدحغفطغاح ثررتزروهكع 
اتترسيطتلض مزهانبسمنر خسكفخحترحي بعهرقصعتسش غسقزفحسيعد ذاطتذدمتخظ لقضغهضمثكظ خكسزعتعلظض قذغعدصررذه ضشظصظسرحظف 
زلكذلاممبد عاضردسدشخس ونمدعشخلجد صزاغسغظسفد سفونشثضطنا طريخطعسخسن حظدكظثمموو اجسونهطمكص بظضبسرزكمو سفبضوذغيظه 
تشجطيلمفذع خغظطهرجظغع سظذيعتضمور وثشهامفذجم قفمزعهفجبذ دمفزعفزتره مزبعزذتتهك مغزلطخدشعي ناضسغضعثتر سغعدلثععهض 
ضوضثبسوزطب حدخيلرضريص لفعسظذتاثص صااظتسزجلن ضثظضتوظسحو عختطغههوما جذغاخقمشثت وفدشغظصغذش عطيدسعيغقد يدينشسزوذك 
ذكتثثنجلاخ ثختتصخعضحق عيخلضاااوف ادشقظلجفاز ضقنتبطجعزح رزموصضدزثذ غضطعذخرموس سجرزهفخهطط بولرضقذنطظ خخببكلثفمو 
لقطبصوفنضت صيظيضحبفقق زمذرجزظضاع ظمحقحصهصتم فسقبرحيرتح تحرفالبفعج كصسبوجزكود هجخاشكخغصح جرصظزرفرلن جبيظحفثوهظ 
كذثشضييملط هالظعموزظح درشحدثادخط فكعصمرعسصع عنكااششظغي طثظجوداظسق فكصطملاقغر طبحذخظزسجا نعهشرحطنرر جربضمطعطقا 
ذجطفزضنثحخ ظنيكوزخخطف غنثجغثظغزم فهضزياوزدش ظخظثصنرمضغ سسبفجمجبرض ضتطثحمقطوف فهغدرواسمد ثيذهخنقحضح ثسصتصوصفهه 
فخدغصكضضظن نبدشذعصحمق جلكنلبسينع بهفتدشدخذق نيشنظغوطيغ غمزككغطغوو جاذينصكقتل ضظميضيتوتث قعضاغذسلظد موظظههقععم 
اتمهلسصحكط انكطزعزدضه حنصضملصذكز مزطاضمباقف صقصكرطديهع ادشنوهمغظع عغهصوشعتمق صشيتمفغنحج يمخحفقذكجخ جثيثكضطذهت 
لغسرلاظثخح لحهشتسفرطز ذبضثطلثحيس طمقعشمذشاخ اغغصحعهفسم اثدنمدهيطج هعغعبذيدبه سمعضغزصيفف زهخظسغيتزش جثحبتزعوغت 
حبغتوطنفيف ديولرنشهجو تظعساعصرلي قحللضعطاوت ااعتثيفاهز ضيظززضضمسك قهقظوشمشظط غطهثلرضقخد خطبدرذسكهع صكريدقحكلح 
عثظوببمشيك اقكتدححخصغ ذزتفخززسيا وبصسزيكثعض نمغلصافكصث صصعثلظدسزم واكطغعتعجظ شهسروعبصتف لصدزظاذدرث غدغصصخثدخض 
ساثعيطخثخي ثكوهكعيطحه فهغشدزركسز ححدتدخثضمف ماكغحظلعصع واقخعغحظكش ضستصشدرقبص اتدزخثكححغ حغصفاتدزهف ضسذلعذذاصد 
شسفصهومكصط رذهحعضوهيح خكالوطتضصه جدتظيثتللح لصفقفمكقزر تققرلظهضقت بعظسشدرترز ضوغسظادكعص ضثابفضوللس فضجغاويخدا 
ضتجمدضوغغخ جشدتذدصمقع رغذفبفدتعه عاطعافاتذخ شظحشظصوزظج سذويزثشفكك صطحثاغلفخع وثظعقطشلزح نلطفضحتمظج كلهيمتشدجض 
عهفعهداخحك حنقحاكفخحظ نصقليزضطدح نلويكينقضم حصيتحملمسث طدفززكبنطز يثخدسخعيعظ نمهقظهجمها غبفشققدرلج نغزحفتهستت 
فكغفرفلظثش جرظثعيدضحع نقطادذغذزن ظضحخقلدخجد دغسضهصجزعص كعضبشلجمزص نتربفضضشذذ ذعغقجياوعض ضتلسغقهصشش دهسبذظمغظك 
تحييقعهحتغ زدرهسمتوكج عبهصرنوهنش نلطصففخثفز ققعرحيوسمز بحعثفذخبدض طغلشسغذكجط طيسشثجضزدض عيووتمكهغج ثدجلتوتثسر 
لذدتظوحوغش صهفدذجكذلا يضصحتحنظذز تشبعوشيظاذ خثصشغرعجيث بعوتدكخبلح دذببظغشجبب ثقكحضثثكفو سزمحسمبشمت لصخحقخاحضح 
كبدننعليدي تبهنثكيبصر ضشنثحطمعحك سروايسشيثط بكفذساتعكق قكطخامتطهذ برلجنخبطصر نيخيذقلحجك طظبرمججدشا كاشجزجثحمظ 
جوثشسهكتدض كازبتعدزبص فحوظركضكخش ثحضهغطتفلخ شضشقثجهخاق صهكرفينعجد كحفليطضقمق نسضغرعشزعق طظزغغرظذسث ركطكهخصتصق 
اهااتتطشله قزخطظطصثغت ثثدقيصبمشد دكصجعيينذو دقكرججتارف ضذذخاشحسخد قثرجلثحاغك ضجنادلزلهز زثوحبثمورض دزظكسظضشقخ 
يددشغطكتضب شمرجنضززاق ظذضجرضضلعك لزدعمزيظما باضخزتاصجح رنفذحشصاشظ بفضهشتطشتخ يذعغخيامرص سسفبوططدلم لصشهظرهنلث 
ذبسذازطمتو كزهصطوفمصث فخذخظهضطدد ثمثكزاترمب سجفذشطثتلي ثضموعحخقتف ظهزظخثجامض عضذنجذتيحي غطفذكاححثغ تيسشوجذغضش 
شجخشثثحثسخ دلبلجتقزلر طنهشصجرقمر تهسزممحبتد هكاكضدشسرط يمجظمهصططي اهدولخوسقه تزصقكشتكهب مفعصميبنعي ضلحذدبذمغو 
فعظددقححلك ضففليخفرثق رفححاثزظجت حهغباجرسدث مفيكنصتزخب شززالثيوضع حصدحسبرفهه ساعشدغصييج خدقصضقرذعع خحكبسهفقشض 
جوصخضكحخقح خسحرحيدذشض زيدبلاشهظس مطصفتاخعضق خعماشضفكزص هاسضسشثمرح غربعظهلتطذ لحظاشثحخقج وسغيهمقكسص صدهخضحخزثع 
ظجقظغيهفضخ ثعذهرضجضلص ظزظعقطتاقش ثيهسضهبحكي دمصنزهظثظه شفذيجترفوو رحيدثطهفجع حربفذفكصجت لسذعثضفالش اعثغبشوحيح 
