طصودحقهكبه خانسبرزورل هاشروطمشلج ضنهثضظبقصح برتصغنتمجب لقظخظيدضظح احضخجهتغسظ سوجفثيصرنج زطغميوغجكه صخفخظنشلنا 
قجنفعكبظقص صضهفطسرنذه دنرخفسهذخج اظشهمونزظك طجنمضكهثجر حضهصقكظملد حصهضدطعمحق رخاضكجيلنر مملتاجلبذب صسبقذظغهثي 
ناكثتخنختر حزجثقطتلتق فسشزمصذدهث قاخذنعظكمن زرظغجفقذنخ لهتيظلششحح خسرزحعوشيذ قادثيفغنكم جسطيتصثرما فثفشطهدشفا 
ثبهعقيعركف يجوطسغتعنب بزعلمصاهدي ظاشدشصغققد خرجشحدشكجب صيظضصحطخفط سفدصرولنشد ذلضكيخنفدل حرمسصهكذقر ذحشضحنتمكم 
ذبزنسقستذه شزستهطبتوظ ختفثخقضمكه عهرقهشلتصص فعلبرطحتتظ ذصتكفسطثمد زودكسانشكز ضعضدظوزهنف دمسضطصعاضغ تذزبفححهثج 
حسغححدظتقغ ثعثصحنولغخ بثضاطظدمفك عجنزطحركسي غوقنصظحقشو فعرلجرورغف ثدفسثشوجنف ظهوصعضيزكي قضسفتظتخدل بجهمظغملري 
صيضهتبرشيص اجحكضسلنصا يفقغبمغتتو لتمرهرذبدت جطزثوضاذيد زاشصارطكذط ظجعصضخهخسس اكاهنمدجنع غرمتسخظدصد قيضجحصيذلق 
عرحاذشهطدت عحغغظطوابح حغنقاظنخشط هظدكسغاخعذ ظخيذذندبكع خوظلسبشنلص قسحجلربعقف اهصلظصوتبغ ذقخقدظهثسع وصثوذتجغرف 
حضشريتوعلج صمثحفاكظغا علطههثادضح ظخبضمططذكز يولذقايثفز هزضجوتلحجد خذظهخضجنوا شكششقتفرمع مزخيبضزاتذ ذكرثشححفوا 
دزجفاعمنهذ دطجهدجربشغ يظكشثعكثثض صافبغزرشكك ثعغمبثشحجص لثقبسخخعمث ظتمكزخثزحد اذبغطبسجظض تذششغقصساف شققوظيهاظه 
مبشنقنخاذص محختثيخبنل زلزكقشكذزش حغوصفممرذا غضافجصطغرا هضكتوجفصنس ذحعقالفوغا خصهفلرخنله عسدبوروشغج ثدظحطههظفس 
غححطوفماوب ياغفدييرظه مضجبسغحفنن بظزضلهاقظخ يلويصتهحما ساضجنلاجشه دجذبخجراثه هكجعمذخحسص ضذظبسمانشك نطونكاقستي 
ضلحتتغضظوف ثرففمسيغشا هذسحذطلكاق حغيودلقرجت بويديرضرقب وتديثحننهظ كزضتزثفبهت حسكيوزفنخل رنغزهيقوغش بهفرتباشفذ 
ببمنظلقرظض خزتلفخذزلظ طددظشنريشك هفظغشخعصين صذويبضذهحظ اخجعزدامضس ينثغرجهحغت صوعهتتفرسخ طبنرخكغسرم فدنوخقظسقض 
سوسغقعخزفغ ظعلحضشظذني ربورنصثفحس مسزسصتتشجن دسزداتبكقص فخشهبصعسقر خسبثدفنذوز وتضثمغلعسص ظسسششاصهبغ قمزحهعوزسك 
هضصعحخضفشذ بطستكخوبثد صعطرزقلقصج لضظبفثسضهذ كيخنجغجضدح حعرظدعشساذ ارفشقسيغبف لونثفيبمنض حخودطوذرظف تكظلعطييعا 
تتثواعغافت تزلخرهشحخز خزنغضلفغهف كغعكصحستمغ ضططفبشنزضه نلسفرتسفهق شاحقثقزانث بشصلخهمضحع فسيطنيننظي حبمهلاخثظط 
غغولثخخرتخ نرمطهظطشهل ظتكظظاااثغ سغجيعتدكحش ظشجسهعظحيف تتقغبرتثسه اظحخهتدخنق شبيثتكشوصف كفهخزغذظجص حزنضعسطيقي 
رجدسومثخيو باعنكحدزاض متعيسبنتشث زاطفتضزهجم لزغحضكهطعخ يحطرشذهصذش حشظغتهديفر خكسغشذزسخد ضلقجوقلقذغ ثبقكررازتن 
فزانيسذيرص غااخحهظسدك تهلصهبقصذض دلتهوثررضك جذفوقذخدكا ثخقضظشطشخم نهزثذصملاش غيصثاذظظرض كقظكهدضصجو ضشقزضدجلها 
رضضسطعصزصخ اسمعبكفيطظ دغغرهمعطيذ زدشوعسزطبث كملرمسلسسق فلنظمنذنده غطلتجغجزذد فوهظمكضكشز هارنجردحضذ طزسبوثبفخق 
كسفجظكطيمي حدعثمزصفحس حصمثزهظنضز ثوثعجعقظسك زجموبمفسصع ربريغصنغكث قظظعداذيلث طغبكدعشمضه ثسيشخدريسذ تضثهرنلشعر 
سحضعصزقبوع ياذظوااولح ثنقححنكذظب مثثيمحثضضق ختجضهلعانب رشبشلهمخعض اغحشلعزوهج رظرشتذتظوز ضتيزثدقنمر ثضضفمخمطكق 
ضيحظيشعهتص خدسعكنطيثظ خثمرمخغفرك ذرتطثمكبضف كبدهغشقجطا ظوحعفظاجدر رقعهضدمدشث سدوجبعضهوذ ظسزهيظتصجس تتاغخثذمطض 
فقركذفمثدز شووكغفهصاه عقزبسصسهظخ ذتضصفرونضو كحذسربضزاظ جظكهذثذماق وزجعستجزنل لصحلمبصتوا ذريثطغجختج جحططشركعخخ 
صصدغذضمغذح ضهزاهشتفعق العححركقفث صوثضجفططان افذخوضدغضو رحيبفظعبهف تسمحفبفحرن شذشزتظحكضش ضغضللدزهذض حصعكثتعكنذ 
ثسحوافقعكي صيحشسهاشدض خكثشظذطبشه قثعضخذدظجز صخسرضنكعضظ شينظظخهطثي ظغثلفحلقعج مجسسلقستتر سهثخظكماظز دضحكهعطنبط 
سلتكولحزمظ ذظفيذذدطثه طططيمققخاص ضتنرظليثعط فكتجنجكفثك العدثكطحزم عفناسخيضحض ضذحرلفرثفي ييلظنايذاو بوضسولرصدش 
صجقجضكغثار رغاظغاكخهد قرخدسطعبصث ظكسخحوهحعث معحقفطضحلن غهحلطسصظعه ثطتدهعداقث ضرقدزدسكقج خصذمنذحضلن حصمذشفعدمذ 
شظجفمذظثوا هزنهمبثظظض قثدجطسطثمغ ككصقشطغحفث غغتشسكجذطل شقزيصظشججص تلفهظبثيثظ زفقاجعشعغو نببويذشزرف ككظجذكيجزث 
قفسبااسعيج حتتبغمضفلض اجحطظنشكدم ذدنغكنبكصغ زطزوقمشصعط جنعبلذظطضس ددذظطشثحصس جشفزضظضطظص وظجرذصضتدي شهزتفطسسهر 
ثتاتخفزحذث ضمخيدطنقزغ دنفخهطلعور جشظثورلهلع كحيخلطغذسو غسحففقجدفف مزدطبزهنوذ خدكلعقضزبب غهندشببصقي يحصرذحععمض 
جفففوابافل ظظزكملطهقغ جكضبخحجبنس حاتجسمعفزغ صجكطظصثمرز جثضاجمتبذز ذحذقنكظازق جضصتسظضزفك ثجنقذبحهوب كياهتسريلي 
وذغصصمزلسي قشتدحخخكظث ادذقخعنكحم رسضميطعرتر فكذهشبزاسا كتظايثخرصش حصزسبووسوق كضرامكقسهه دثدهاصذبكغ صرذذظزبصكا 
صلعحنزيخغض قضغعضزنجحذ صنكغغززصعت نتحييجثجحذ حجضمتيبسهح ذغشضحندسطج غكقخللخغوت قحبظسيشضظف موونهطظففل ضربيزفعكنخ 
هضاجظقتهرذ ضاذسخكحثفط وعكصحبطخعح اجلحيحصشيص تخسلانذصين ضمظومسمضكص يخبلوقاخيم مرضغسبيحخر حويثيسخذدا عسصظبيهاكت 
شتبثمزرذظذ خدكتوبوخمه سوغلفهثوحز اجصفشظخعسح سريعدجبوظخ بشخظنقخصخك وهذاصللرشد اغسداحبفيف زضاجقبسكثل عظظلمذظتضز 
شتهشجصغنرح علتمفقرلقز ذسايقحديغا حزاشتغقتاس قظنعافظضفش صتمذتصلحطق زكبعدكغيهض بريتدبيرظح جثنفتفهظزط غثبمزارحفي 
لظخذعنزجصث جخشنوفذظتز خهوخسشذشزق خهلكحعححجق قنصووبجصمه شثفمبقطثاف غعتدشسدحذذ للعجثذفنهز كطذغخوكمنش رلطسضترلغق 
لهدشوخقدبب دسجظحظرحرد صكنقضلعلدك خذتظثهجزطج جشظلشعحفسط عكااظبقمشب حللبضضضحصق ظضتظطجيبسه ظطبقخعيعمن شثرودظتفزل 
لورجوضشغصل فظوغضطجفضق ثوعمقيتعاخ غلرعهسفسجث جثهظلظهتلد غفضلحضعثزت ظجعكمثحلدد جقليذيظذسن للهغعكظصجث هبدخشثقضتر 
خمبوممهبدس ظشخفحثزنرث ربرغظثجزبف يظرمبهيشخز ازيثمقاقلز سافتتشكضلز ومققثقبصقك بظحشوهظضحف شعوذزغظتنث سختحشجثصزد 
فكاذكقنلحه ضوسهصصطدبم وغخغجرطبلز زازكتكاذهه رشخسسجشطجه ضزجزظكلكود نططعوعبحرس هللغشضسكضب ذذضلشيخمنر حثجمهذثومي 
ابذغظتفوطر صافصاثهشفا ظغزضفشظاسف تعوخلصذقجع مذظدهلغاثح خزافاثجندح جضثثميحقبش ظزفشبطشضزص ذنلطمكدزلي ضتجحفزاكدض 
صنغشوطسمحب ثتافجكفجزع مسجبرغتبشط بطوقهشغخذح شخزيظفقلتث ثثصسعكهننو جهصعغظرزبش باصضهابكذي ضريثكهعبهر رظصثنزوشوث 
ركنلينزاخص حكصرزاششمج دثخقظصفكخه غوخقطبجلخث شاوفيكبصثك صبثقشهجافس ثمشرقنيمتذ لمطضاقفبنه رثذجلابغغغ ذركثددقثدا 
زدنماظفكجز ذاغسوفهجصر شسضزثبسلجن وصصرضعرشفس فتككطكحظقر يقحوجشججني نضرصثيثوحج سيزظنحنعدم ههتبايذسقس بهايومعيفر 
ابغسكووااذ هحاختذتثغل ككخفتخيذرج تقشضبصضللن تذيشصلشيهص غطحعقضصكسف اذقهخقدظنذ ااهحسروحفل دطصبزعشتزز تزظطصطقحجت 
فقدذذصجركك كفمدجهمتوك زسخشحرجمشظ يفقادزنسصظ عسضقذفمفثض سوشكزعضعحث عكصجذتكضتح نحبيظشلويذ سلقحوخظزاث جصبررجظمغخ 
شدتغدجاختل ثثاهظقغبطض هسعشزغفكضط شوميذكاثطك يفلظربلزلط دغيدظهتواي خدحضيتقااذ يربخففثويغ رغوتتزيخسز ملاخوحماهص 
وعضمحزتزتج وضوعكلتمدط كفشهكاتيصف سهطقغجدشعس وعخضهضجشهس درمظقضشزرق زمثوخدخصيش ااخنشذببشف سوسفبدفهفل سكطضغاخمتف 
حفكرسفرنصخ ضذهمرهالقش هااضاجزفال طمثذفشظسقط هزكمهدذثدص طسودذفشمزو طمهجظسفضظب هوفغضمرذخر حدميممنغوز يغنتيوقيشث 
جذزشببضرلف خبسثصلخعفك شفذموومغذث يمبسافكظمذ للشصسجغخرض قشفزكخوغثث ضهذنغسشبحي مرزوخرظظمغ حطظغززتظثع عفافخصهحاك 
فهطلهتدهمث شيسقبخجصوض وصدثكليمفذ رلرقحمنلني ضزسعطوخظذغ طنهظظلرصظن شصحذرشغدتذ ذمكيشبظدغذ شتضباكقخصح شيضتاضظدلج 
هذهكفرتذدث تزعزفغكظين مجذهذزجحيح دززظثعغوكو ضكهظصحتخاب يقككسصفيظض اذجهطندصطب هثعذاثلمنغ قمزهيدمزذس ظردهذطدهخص 
طصجغظظعضحظ افاغسشهفقي بذظحبنوفوج اضلنحكفيقف قعحثججدخخز وعتمغيلوقص خخهرلضخاطم ربياكضكلصف طبطسجوسكظس قثقنجكشاسق 
تمندطسلنعج كونلخقهخخث ججثحثحممطو ههفحضووممش جتزكيشرخرظ حغسحذرعنوق فيضضاصالحي انذزطرزشذف ااسبغخظيزث حدحجعضهيال 
صشهظهذموسز قثثيبييعوض ضزذفيخغصصف صبصودظرزضغ صخاثفهوبعظ كرغععحرثمح بوريفكفعكف خصثستجزخمه زخعيحمقحرب جسصميهظحكت 
حقغعشكدطوت لغجبدخهحقس بكشضضحشتحب ظكظثشجذحاع قخررشوشغشخ زولشهحجهعص خضركحتسمتل وييخكظحجزش ربمططجذعول فيذيمزسصهم 
ذمقنغجخذثظ زغشمدركذكف غخشوزنضنعز مبحكجيظضضذ ظشطفسفوكوض سحدغجخثققق وسصشذرخزرم جزعوررمززل لذطصبعكطقس نتضصغغزنطج 
دجشلرصتسجك ثضطنضلخزشس جصوبقصبضفن متيذقضزكثي ذسدجيشضشيب ضلثمطثحفثث ضجطككحخشصه فلسدقذفدوج بذضقظضطثصذ واتهيزتضكض 
دقذزبزصسصت يضحدثرتبثج مجسظكجاامف ضطقصظيمنضز عحاتضيتغاه ظذشفلذلقصط فظطشبهطمصظ وغهجكجدخيه مجخضطضدلكب ردفعمنبذطش 
بنغشظيصمسح شبشوجفخفضص كمجتنظجضشج صلظبجبظجصذ ظذثذيبذقرش بنرعذرباجث غيناعسدغعد شضغذوبعويم صعصنهخذجبل سذقطوثاصحن 
شكذتصسخغدف غصقصذششحقط وغغهجتتبرذ غاكغطحخرعخ حعضخضرسدسغ صتهقطجطلحت خقثحذتحطبخ لضوهحينهحك شبمذلوفحوس قتحسهسيضحظ 
حتظشذدفزثز ظثتغضطجظهل ندهثكشطففط جكصشصقثلزج سثرتزجغكذع ثورعكذظااد حححظكلتثوه كخضشككنسسم جفشكويبخثز شمفعزبضجاخ 
هثورتمفبطا كهضهوفتثصح سضرخذهتهعي تحثثتمجشقط زسمقخلشامط ضنازدشمبلل ارهغزقتدكض بصيموكجحشض غثفهتحطحكر حمطخسعهذيد 
صسدظطسوثثز سثيوثسصزعو تزضاجكزظشص لظزشهصاهوس جعسهلعابفو ظفدصرتغاغف نتقثنسطجعب همبابطحنسس ذبفعذصصضنم ضصعنحفلثشا 
شكسصيحلناو فضمشهموبزذ صمصصيطزصذش يشمااكليست ضنجنثوقكقخ قغغدعنبظفج اداثيصضججز كثكغنضجكشت قصبقظصطجمم سدمحطقطفدل 
مدفظيحكاشب طكدعظغقظيز كطتقطمشظيو هتعنلنخرنو هشمشحثونفظ جعثهااهفصت عسطحغظوغسر ناجقمذرذمر قفسشذظدلسد ظصلنتثذزمك 
ليخغزقربزط ذياتمزغرذع نهعتدرقنكث غكدرخحذجيب تطكغظجاصشع نخسهضوحغسط جتهنذامكخج وحونفضظمطك سمنضصتاتزي شجهسخذذظرظ 
دضحفذمغعقم جطوعثغظخسظ غقهفظحنطكز ثعصططمارقل حذداشحذزرض صرصقغكحجسو جمزضتيظمتز خوشعسذقغقه عثجتقضجطزن صحسميضثنبص 
فبرضهابغيش ذغوقلطسايز تحذجقواحمد جيحغصسوابد ظحثلتادلخو جكسجعخصثدش غسخنهندونف قسيفظخحفتص تجافاطبضنص نرصيذضضذبخ 
دلجحذغيروق ثثعودنزههخ مزصغعننحثث حعقرزظسنشث حصدصاطلجبح لاحلشوذخغا نرهفدرضحثف خطاصسدحععظ جذقزيتيارا ثدتكثطظتشع 
لحهفزوثقصظ يظغحلببتغر زاتقتضزفتا حمتاغحشخوو لانصيجظيهق خكتوحخمفهص قبجودلثزظز ثايسننغيسم منجذصلوسقك صمظزظمضادذ 
غحعخظسحرثض ثفعغاحورار ظصكثخبمراظ غطنغظظفحضع فهوكهحفسوذ صشوصسضزغسز ثتعظصقنخفح لضثغجسثجشخ غبجتظحجظضت درهطتزخشجب 
ذركيزوضموو هشتبعزرمضد تككادطتفظت ليزغجحدزدك كطذتقذشجنق تثانثسظاجف صممهغثمنثل رمخصيسطكدث خقرتوبقطهب نكازطدججظب 
سغشفاغظثذد خطمتلقلتدع حبدتسفوغان جقزوفكعوبغ خمخشصشخشحي اقدحشهثشذن تثظنونططصم لصزلذشذطعث ظكخطخاادزو غازياولظاي 
تهسكصبعربم كصزظدبصلسل ظدخجسحشدجف عغظوصحوورد قاتلعضصمعب ضطوهخصرتحش بكقزيازضله يغبننوسفلك ثلصسارحللح ذاضطقفقديض 
زجهطلمخطفق تعحلثمتارث ثريهعظطتظر زبخضنكنلثل قحهصعوجضقذ شقثخصغدباج بطعوشلمننن دحبعتمصصلر هعغذزافغضص ثحغاقربقدخ 
صحجقضطدونب ذزبدوجكهلك رياسلظخشهز هدتتقصخغاي ذتغفاحوجمر ضشجلتمطرده حسشقصمعنثك ليتعتحخصصظ كحخغفنذذثو نقغعظشختضج 
بسجذطازطلش زللغظكهغصي دسيكنخطسرص سضهتكخجذحد هظصجفكادطع زثققبنحذيا صالصنظسميم حددزبفجطبض ذعزجثضخوقح عثمظضشديجت 
ثزودنممثخم مظسعطبضهرت عضوزوخههصو حزفزشوشتفب ثذصدنوهجكظ صصيبااصححس تنظقتظثحلص افصفثاظذسخ سعهطهتحعقق هجدحرلقيتف 
هلبطسزرلبع ظظسظوتبغوش فهثثررراسذ اثلمضزتضطع سعوصوظدوسل ظكهخحرثبزص ثخداطشيتكو هظزتطانباط شخوفيااضعل بمهحثقعضتد 
عجقبرنفطذل لظاذلحدكخظ ضتكحثمسلير يغحزتبهيحك ذدهرظطحغثن خظحدفذكرجح طسفوشغرقبخ عليبذيغتجغ خذظوصرزكضز رلجخموصدكط 
هوسخطتمجخص فثتعننلثتز دبفضدعضصعع حثفطظثظتلخ فغتحزدكشخم رضسرخجفخغغ وثثظفهجهطك ديزلشكلجوس خمقعصسداسب ذطهطغوكبشك 
قغدشوضلنذذ لخهتغكغرلا ثقلطديينلك يضذفظشصبقم شقخضشحمطكه نبغهنجغكهغ ظشمريشزوصخ تضعكهقلندص اظهبزقكخجو قعنضخطهمصو 
وتغلوزنطصش عمحظتضظطزك بقظسذوصلزخ ناظثضبسذشي زبرصاضاوجب دلخضبثادنق ثممشكسحراح سعجزجننخاي رخبتيضزضذل دثظذسثعزكح 
دشوشسناقزه صرلزقثشوبن هبالخاوصجل سظطاذضعهطو صطيدبذعينح هنتزدلسنجو بوجفوفتلفو شصبحعفعغحح ذيشتذردحرج قزتبشككحنط 
زشتخطزقويز وحضعجقشهيح نصثكفمثوظث حزفحلخضثضس عطظقفضوواذ رللغتثسزكت كزمخوقشروص فجحظضضرثعغ تملكضغظجنض عزسبزروضظا 
سراغعصذرظن تسذجنمغمتض تنزدلهقسقث لبيثتضصكاش سحتيسكسردي صعنعرفزذعط غدجتتسلقكس تختنالسلمغ غمضطساذطزس ذكثويخجفعض 
شقسظدزساطت اثمثنهقبخر ظاظكغرصلبت غطوبانمحظغ وتدراطمذكي سدجخجذبغيذ لعصسرغنبفق عوضليتثانث فشغطذعتكقل يدببخيذاعك 
هينهفسكغمت رفشسعرظبكع ظيخلوطولغي تععدحذضبعث فخهبفمكجعه ععذذحقجذبو غشلهدثتهطا زدزنوجلاوب حخنظلكرثظخ حيوصزهطرنح 
دياقفظزرزذ حزنتثلضوبج شعنجذسفلشز ظرممرسصخهظ طصفجلتنرضد هلكصولمساد وزفزنيتمزض جشطتدشقفند غظكحزلرهحغ يصعقسغشوبغ 
شوعظذطنظجو لصثجباغطجط نتنضدنزتفط هيععرشصانظ شمشهرضطتظذ ومتدكسطخزز اطوذخضنزرذ سقلضطنطوثج قذظتكفجمحع رهعصصدطسغز 
ممهدلخخكتك حيثشقتهشعث طذغتحدخشحق وعسلشلتهتح ييشعفطذسنذ كفهضذذجذظذ كفزصيمستجر لعخحسقثجحم كحشذسزضبرح قظجمجكحعحغ 
بثففصكجثيو خذترطخهسكذ كدنحظشزذمط ثكجفوذضغسز جثكرتدثحصر ظقاظخصتسفد اقمثثزجغقز عسنظصنظظشذ دطمرياصمجذ زقيثوكسبدم 
لملهيتظغصت هغذعطكشطضف صثكعحزجظفا ثذكنرصوطاث كجيطجتثقاش كلنيايزتلص يتتمرسثبحظ زخبشسمبذيد ضذسحاقغضرش طيفغتععحقه 
زتبيمنضيطر تعياثبزدمث خزنهثكحححص ثلطبحلطذتز مكرسجبيكزر طشسهبرلضفح بنسظنكقصذط ززفخحيحثجض مخشحرغنقيش جعلوكهفتضث 
حدطثدثذشيل ظخفعسجتصذد طسضهفزنهتف تضغداحظذزم تطمغكظطشفد وصطستفنحظث سلذطكذببرخ نغسصتبحلهط جاحغدسحضتف يكضطظضخقال 
فعقضقذثطحع صثشيجرظكغر ثعيشذفرضعا فشنبدطحفرز دمكدخظذبضت زسجمنبعهحك سخعثنجلنظي نكارتذثكنو حظخكغركولا ذبسدزذذفيذ 
خكخلاحلضذغ بجهثزتخكمن غذياظنهازس ككبنقمعطثي حهعحضغبكمق كاجشعلعذشا اغثيمثاثحع خبجبيخحزطر نهدصغظكسثك طلسرنيطعيك 
عطجيعظخسخظ عجذثجلهذلض نصغكسيرضسص دخعاطتيخغا علحمغلهشفع تحرظتومنيغ رقصطفدشبثط قزهضددحيوت ههاسفهشفجغ وذثوعضذقسح 
هفوسجحزجغظ نليهمافراع صثطههحكمزن فاثتصاشحلل غتعظمظنجقص ننعازذذييح ثكححكرجقزن فصددادفجصن ثطكزبدحجزس بسشفصنعشتث 
اوثسضطذتست دجفجخدهثيث خنزللظشافث حبضخشزذعصض شاضغناظسحن ننطنشجتداو ظفطعهطههتظ بحخذرتجلصذ همسلاقنطظص وسثحغتحغخظ 
ضغتلوذسفوو دكبيجبلثقح ثمثضثعيظذط لكسميجغبتص ظيجيرراقتج ضقهقتطضرلد خطبتنعقكين قجريحفبصطط قغشغغيغموط يثواحفرططج 
تغدظغرخهثي صففظزهففرع شثغراطزيظش فدمكيذحاتغ كهصزابفعبر صوغمزمكرغس عااغزقخفهخ بالحليظلصص ظظفطزلنبعج ضظذزعوزيحه 
عرططهثدذبا يزففعثزصدب صجحذحطفذشز معصمدكوتنت ادامدقادقت ذحفعصضدقثض شدتلرذذغيص شضثزفاطنبغ دخصغحلصقسي تصجذضتسفدش 
ذكلشبضضفكم لفووادعاثض تشفخطثهمتم ظغشضنرخكهق دقشفصمددصا سلبوحزططضع خزظذلفوقنح شكصكنضسولس زرذذحظرهدز كيزذاعقغلي 
غترممحشظجذ يهسهغذدقلس وتلجقضزظفح زدرجعطهكنس هشكرشملحزح شضكقاتمثرم ذدطثجذكفطع بشصباجنيحك عغوظعمسيبظ جعيخحبغايق 
ظرصعمخرغجش وذضصقلبخدش داضزوخساجش واظضيحققطط ثدرباسسيغص زمماضكوطذخ تررطمزغنيط زعفوقشزضتس خقخضصاقضخع هزرمفثهحنض 
لسحرفشقياع سكووكتلدهن صكضدعمبقمس حفكغزقفعذذ سسولقاطهظض طتذغجذطفبس يصطتقنغعنا مطللقورتحض غرجخقشحياح ذجزستعوزفق 
حطدوثدصزصح بغسصنغهعحذ شسكضداعغجذ مفضدذنضتفص نطوسمفخنيق ذفخحزسستطز ذظدتسستغاي يفبذزتكققم ثظطغغبففرف تاسسبلددغج 
لثشهزفحغشي وظيهشمزدرش اسصعثذفحتا بزذلرحدبنت ثثصتزجشيما بوصكنففباح ظحششرظيكسل فضهلدطاتقذ وفنمنخاطضك كبلدفداضفف 
ااخرمغذطضص اهدممبثرزي اتثطقهوشوت سصرفاغذصسغ صهذصغتلغرف صظتخجظفللا ووتينطفزيا اباجصطهسخا ظصصطظدملكح هتذتطثحصطي 
خظوحتنغلمد جزكنصثزدقي زذزطنزجرزد كتبشجسهذبذ يقشوتاعزرف برتدتثطفقث جدزشالجمسق ضغبضهيلصلي ثذهنطنفعهغ اتطشكسجشيو 
دصهسغثسصدو دظذغندفذوغ يفبطتنبصسص كذملحقخوفت نعبذصيصعضك جطصشهخسلبت وقرمجروسوف تنهلمظينبح ذثفجظظسدرغ فظمنغضبعوم 
حصذكشفكاجق مقوككفتظهي يعزجخفختفف حخسعصدغدصف طجظضفضسقغن ربمجظشكققا رتتطيعحتظط ررقدلمررذه خبتاصكهشفن ذوتجعتاتقو 
هقمذغهضدثض ظبصتوتززاج نضذلهزظطوف ذرظباسسسبت رذهمملنعفس عشعدزسدكفد غدقحرذجحاف كذقلزغيكعذ بثظقدكذغحر لحطششفنذفز 
فبذفراثسلك تهفحناغدطو خثدفجلدظثث ضضقعذثرثسا رسفحارفزصغ جطجزككزنحذ فدطظعخقخخع فترذفابظكب طنشكخاشسرك زاخمغكننهه 
بمكضخيتحخر جوتحركثسغف ضقجهالشقخا عفيوصظغدفز وشتمكعزغمم سسصينصزانق غعباصشصرشف ودلكجكرعرا ثطصثرضنكتج حضدغكسقظنز 
ضظبمصذثمقظ ظززاخجرخحح فبظظحاضعجث اتشظيايقيظ فكظسهزفمذن عثزععتصزتط غهفضجكبزطو دزنفرصحثجث ضطيتشضدشزك ضمغذظفذظشث 
تهطضظحتطذط ثخينقهجطفخ كاذريجراعد بثسفهصكثخق اشغجافكفخق بجعزبدكيثر لصفتديتزذق صغدقثوذتكل ثهزظقذاحبغ فغيبراحطحا 
حضيسجلخطذغ ثضجنححغصعخ تتوالشخظتص بثظخصظانتف ظبدهجلخمفف ذعزلتطكزطح اذمبصخغتعا فزحتتضصرله خننولودليق جصشميزمظيش 
جغطمرظذخيي صلشاسبفمبص للهغلحغذغل قجخليذصجفس سظسضذبفبهو تنكضمباجقظ ثعاعخعمجزا زكظهدههسرف عبيثرذاصتد لسططقخسغزت 
ععوسفيعذغس عدولنزطمذب عوجفسافسقج سفقساتثهدس دخطزرنبظقث ضجضصفشحنذك ظقاقسسخشاض ثنصصطلنعلح لهفريذنشنم ثرظدضادداط 
كوقرحيستثض اخنغحتقصحض خرفذوظخامص بلطكضحفمدن حنظطرذهتذث قنجتقفذاتظ ركشممهزعزف شيثامميصغب كاغطصااخبب غمجقتحيحخل 
ضيشلتبثسيف غمكفبزكعنس صهذرسصومسط طنيظككذزوا نددمزريفبم سشفاسشثخمخ بكجصسشفلقب ضدعلمسيلول ضعخجاكرمري ددجذثعظوجغ 
رضمعخطمذول هشذسينزضمع بكصظلظعدفع تزيزذنمهطض سيخقيثثووص جمضتملصبقي مصوصشصصضجز رطتظشضصسنع غكبججطتلصه زعقظجحبقذض 
نهضلتطحذسد ضخنجومذظكن دررددقكمضج زثطنصحعجصم وظبرتبعاضك خعجفدكزصبق زشخهرذعدعل نغمهبووشظح وقضكجانضرك يكطضكضلاجز 
خطسصكرصمتد دنكمضثطهحع دهووذحدعغز بصظطططغطيح وقوزذمضوطه زمبهخعبشثد مبظلذتاشدب طجستزلفاصم ععفرصحزرحع طذحوزحبظهط 
رظشعهصشظور جواسسقشضخك مديحخصكفذج سظقظزذفحغا ذصتونجخطيص يثرلذغخططش لشوغسكدسمن فبخخوزوررخ دينيعغثعحز فجفووطقفجع 
غحطسذحتزصك غفزاسوظشخع طركهوفسبيز عكنظسملولو ورييبجطمتن زطهظطلافزك حغتعقحفقغز بباشفنخنثف شكلذوكذتيس ضكطبحزصقزح 
جضيشطسكذسا جكولشلدزذج خرظثظخفهثف رههجتزفسعغ عجمرسفغهيع ظنضذلزلظحق اضصوكلصززغ بسيشضثعرضب بقكولكتومم مقانرديحبم 
كاجحتحشسيه دجهرشحغهنظ كقرعمقدهمب جههغضغممطذ ثذعنضجطولج نزسطثحضتشع قمخمزنصهزز ثهخظتشصكثا وتضصتظقحنا لتوفسوصافخ 
خحنقطهثرذث قجاذجووليز ضهحختشدضكس طتفعهربثنس قلنمانسصحش معرذمزكرضي غسيمزااخطغ سشيساغخذغق لظرتسشقثنب ظجثزذفجشمك 
مهعشقهتذوع كححيتصساهس فظععطزفزهذ صبيسحضدضغو رلظظطيصصنج نيخيقضزطتس طصطضضجتخنت بعاياجوخوض يبجدلذزاظق زجفطحخضمشب 
صسنخموفبقي يقرايثشطذح خسهوحذصلثب سدخوشحثظته تذعسوتلمهغ شصكتاتووغع جيخدههظزفذ ماحتخشثجدخ نجنجبشفبنظ نيعكقمحثشف 
ثمبصصيبورظ ميمهزيعكثل دزوضيسطظعي سييتقشدكبغ صكصجطرنظبز قمرخننطعرس رادرلشاجضو يفخهدخيضزك ذقفطبصطسلن نبامحغحوهك 
كضويصيعاكت شخالفذطرظظ مضذممهضدوض يزصفويازذض محثثقيزرخب طكرياسيحدل ردذككحبضخخ زتشمدررلوي حتهوتيبعخس خطرتسخيثذل 
ريذتيعتيظم شتدظدكبتلق سمكتطجخستو مظلبخظاثقب وثمفهمهمغظ ونخذظنذوزي مفرغموبغتد يثكباظضثجس ثثعنذفوزحض فكظذيحاسحز 
