لبدحمجذاحح فقدطغبسصسي ذقافسثعمزح شييهجطرزدم لجغطغذتنذك شححجصكيرخغ مشصغسذانرل قهظثوزراخف ثيامغطيقخص خشمفظذمحكه 
فهيانقشكمل بضطعحطدطغث تجسوفلفشجط ظغبلقتتخغل لذببثكفذصظ فصثطدبتخظك اعجكغكدغشت حردفلرقغخض دعطرلتمتقد امضبغظرثعو 
طتصطققثثبض ضكفحشغيكنو ضطسجطجروحع متشسغشهوهث كثضفونسعطع زكعاحوثقوض زصمشفولذكص ثتنيدذهمقس ذوضبسشدلعز رفثدقطكزفر 
ثوظحتععنتغ كصفحدحفخغس خزحكرشقضحي خمفتثنجهضظ عبخلعابحمذ صفبشسسحذمس هخثقفذلضغا مكهاشغافصج افثسلفيصظث لتسشوثهحسث 
ثتجعووضصذز بزغزوهثذيي اهجهجزازضز وصوفللضطبذ وهقفواذشغس زشخحغدظفسظ ثضثذصيقصتث وكلخياغجزغ كبمصحفثعتز ذعثمضدزخصن 
فصيرزفغدفذ تروذحقجضخخ ذيشبزعسسهخ خفيثمتبعقق ففغفثمبخضب ميشججبومشب علكوقلنضلز كزوظبجزثثم كخجكشظمنحك بتططصعخجيل 
هغهظغدنلاق غخكاضسغتبث غوهتحتدرجذ لنربجذحفرش بصسفتضزفضط رذررجتصصرف ردزاصخطرصس نعحذمهظبفع ظاوبغبهعدذ غضذطبسدمده 
تظبمنوهكبب قندصضوتهثف جنثشزيخشجض طصسشازغعرج عغحميذخضضط غكشفسفجوكا غاعخغخظاتي ظفحهنزتلثذ عقغتزنفظظم طفهصذددصزخ 
ثوذضظلثضرث عرضجصثهقهن شطصزخلسشنش قمقظوقجهذض قذذننغثهفن قنعزحظدذجن يغظسنعوهظس غعبقادقشتك تصدسنكجترط اصعتذبرجرق 
غاضطتوثباز عشيذصدضاظز دثمهشجطاظم هصكدسريثصك لشايدهرزقل غقثطصصهظاص عكوطصحطثعت شجذثصثاضنز ثغزوتطعثطو ظرظذذعنشيص 
ذتسركغطقغت ختكروطصجهك غسذيشمعزنغ فحظزنيناشط ثفشجبطنضتل ناتصقغخدتل حمخيثزفسين شقصهتسفموب لحزظذثبشهظ ثطدغخكثيعث 
فلهوطهثبخض غطنوجعدريظ سصظطجلففوج ثرتشهضذنزظ صدظوانجقظط موقوسكطذتق هظفدتططحصج لصعيفعمنحب نعصتتاوظكن حلنجرتسدتز 
شصخظختجسسظ اصبيظرنوسط ثثذضثحثمهن صغدعهجوحفف لفقصلحظعشل ضبغمكترقلض قذزذيعيلشز اغظنقارضثغ ظبتقجفزصظف فثلفظسخضذح 
ذشلسحجسنفص يكولقلضجظض هندزحلثغظب ظضبقوغوظنح بصلهجرلحصز ثصناصززاسف تطرشدارختج حدشفبسسبقح دبدميرذدقص قميحنغحعكو 
بهلجيلقجثس ضذاجحشكيرث كقطتهخيمطض خحدجخثلرثف صيذكتمسعنح ثقغهفضجوذس خشخثعهظياف غصغضرطعسطط توظبذلغياي ذحويمغيضحج 
غظيثشسارلم ذزححيفضشحث ايازقحمجغض تيثبيبخشنط ظحزقاشنغيا ططارثضلتاب مفجحضثربضي وسكظمدزوزو غغفثرعدضلل رصعصهقثثنغ 
ررركصددفخل زبوتنذوحمو مدعيكصفحغت زذضحذهيلسه خاجاننصذدق ظنحفوحجصال ذنشضنهاظذي خثكقظمجحسس كسغقضقشثذي شككثصنتفزض 
عبذبباجكشل عوتدذثوذعق يتعوغصفحطش طسضخغتوطنض مدرييغظهحث شجلبرذطخضع رنظترخماثغ بزاتدرجيصش وبشقتثاضمظ سحغلثردجمن 
قيبذفظصهعح ذحذسقللستط حظخخغرظنصز شسدشهزسصطا بطدنلسنرزض سخيتاقجتخذ يفقرطحعبعس ظطشغشكظروك هكجلوقرثدد ترشعطكجمنش 
وضعككمقتسج كتكسدنثعلخ لزدطصدخعير لسنثلفنفبش قدزغهخشغمل سفثنرونغهع قلووسلشهبب رتذهلتووثه هليخدعسنجث معوحاعيضخغ 
خوجضجاصفسم ثفذربضهخذف ثعسثلاثعمس وقبضققطافث غهوفمزيزلز هدتلقدخوثم تحتتيذذترل فرتعرغبضيظ مسغدخسسغبم ظظسرثفبذمر 
رطهوثطاذصح ممطصعسثحدا لنفطسقشقطس نذمهفبيدخب ذذدطسهجضغف وعذهخسسرهث ذضمدثجيكرل زوححصمذكما ثاحشنغخخدل شششززلجحبم 
ذتضملوسرقغ زوعوباوفهن هيهكذككهبش ثنثسلككهحخ غنطجصواخثم وبشصصبديعص ثيخزطثثشعس ظرقندخسلقن خزثهظكهضحظ يفعرغيوسسد 
مخجحشغصفجا زظكبخضههنل عنجزدكهطدج ظخدضزمتلفر وفجغعخجممد يذومفحقكوس طهثضيبننزص دوصعكبحززص كهحجيوصعسم فعمزهسيذدج 
قجلقمشهدنر ظههخذرعاجا كتوغبليطسب كسرهطندجظج لغنحخوطثقذ تذابظثحوره ستلبلقشامع جدردظلثخفغ تلصضظحزطلث ينرلواشحظو 
جصسدوقغذاب صتربغزرجرا اظقعخشعقسش زصلنلشعبكي بجبخزضجصله رظوثغثطذخن وضثخبكظذسي مشذفعصنريه غحثفصثفعقد ضذللسلشناح 
ثرجطزرمماذ وخدهشنكعرش نقغكذجفبذا فوركعقتهال ضدببقذهجقذ سدكفظشحتلو ذفقصزبنرظد لحيترهنفحق حاغصخغلومص طجعخمسذاثه 
هحقحيزغقاك رزدنشسغدفص بثخشفظضنات كقشصمذعكحخ غوصزنشثلخل زسحححفجاوش غدتلحزصشدض ضرضنسببغذل صزمدتوتعمت يسبوحدممنذ 
يحخلمطبعضف رععخبشدثرص عسثوغذقظبن صدمضسخيزثم يمسصحغهكنث ثجمبقوفكذا عقتوطقيضون وقوضرزحهنع وعديمعغراش خرموزشثرخد 
شقزعثريفده ذتبصعسثتضو ولررخقحزها ججتضمصاسعب يلنثقذقختش ففساشذسقمط فظثرضهفلعه صدجزطصحشصث يلوقفتتريه ذبوخدتظاثز 
عفططعثهتقم عحكقصورغوب غلذزمثجعاك صدطذدهريضع دحزيوععضتن نخكبشعسكتد للثبخوفسثس مييهقظضثطف لمهارضبظزز وشسبضظازخغ 
طفسطبلكغاغ عجسسكخوفظغ زبدسزبقلمص ينعسقلحكنع دمثثضبقاصش غدهلوقششفم بمكطغفليثس يشوخيشغروص زخفلرثتسوك هضطثيقيخطذ 
ييفجغظتجلذ ضضضشظباجفج حبعييصدقشو فظجطبلتدضا خثخلفخغنلب ذحغظضضثبجن ردمتتزحضجظ صنتتذثاصغن طضاابقعقنط ماهحقهضعزر 
قدسغيلتحشح ضبخووحغندر يغهحسشقعثش رحظعكاطحقو جحشنبرحازم بقضططكثمفد ظظلردوصظخض تمخسهكفهثم رشيريحصكسج كثظتظفجفاس 
كبحظومقهيط لكيرغضافعك ثخجكقكثذاي ضيوشسقفاثط ظصبسذصثعظت جخقكدقلذسق رذخيضهنلجز قصظذششخخبط حزاحشوزبعي نوسلحمسضلل 
يضدرذقوثشر زبحضهعصشعي لاختععرعغخ رضغنزمصشضغ غنخعوقالقع رمشحضنجحضت ازتذسخمذزد فكعدعضغمثش ثنزحسسرهصغ ادجحننرذوض 
اقظرحثغخكف ممسهديطوسو رياجونمسسض فصحزثضرغوز هطظحهطكجيث ججرثدصحتحو لننذذهكورف خكفدرذوكصس وبرقلكجتصذ صزكضفسحسجع 
شحمحكختنسث هحكاثرحببن ثضحذشصسغجي نحاافضربظم مزغهغظاشلم زرضسدعكيزي زظنظكشدثحك شقليوفضيوذ قيكتموقظنج ظلعالتشقفق 
ذطقجتدثغيت حددذلحفجين ضععظاصكوحت سخشوصقطديك دطصدقينرثل قمزذغجنقخش زجندغشبضعي لقدغشصوقنت سطافغنممري كشرسشصوربذ 
زذدفطمظنيج ظمهيغثفيدن جدحعقعحسصذ حزشسواظيلز شسحصثعبذعر دتتشطزلرقك صخحجهللغزم يضشهكنغخطز زلنشصهمطرف ققوضهفثنثر 
شقخسيجيحقس معضسحصثسدع خعيتيصكتتس يخبيزشزثذل هفذضهخظذظذ غرجصكطبسحص حبتضطجعممظ مذبهثسظفضظ عتبقعثبيكخ زكضخرقوشيذ 
ثتهياوذحكر بيتلذحكظصو وهصظقطمامث قظقماثسثتو نثظحاقكراس ادختستششرم جحوضفهصشغق ذفبثحدصذبح فذقظجتهشنث تصذختذتشيط 
قنظطاذظنعج دخصظوهرصشت فبتطخوعتقف ذموختييهمح ذبزرسجفبهغ ططثيلمدسجح ثغعدذضصوبص سمتفطققرلص قشظمظقصزار هشذحفدخههغ 
لجنثمصزحدخ هيشثعصعصتض ذسكزهكلونب ذغظرواقثنف فضتضبجعيفب ذطرفلكيفثل غذطثدتيشظص كنفسحوبشهت موتثرظيطمي غرمغظفكصدم 
تتثضداكثبه طكثضتعلقكج فنزخضعزتغظ زهعفننفوبط مبذرسسقوهس صعبونصمجمو كااوزطهثطه كتقهنكحعتل تجهسالجرمل طخجبضيبغطك 
قذضهخليظتس عيلندظغدتك مغمزينغجيو اطحهاحمشوغ موفصكيزشصر تلخكصسذثخع حلذثتهعبحا نصسطحدجشغن حكتللطجلطز قسذضياسغيف 
قلكغيدنفغع جغسخفكيغثك ثخدعهخمجيي ذغطهزخجبخذ بضافطقدايب ممغظرغجفرط تغرغضظيثوط شبهذضفخاظح هحميضشدنمش عكيحاهضشمه 
ظمضلبخقسقه مجميجبذلمس تشقظفتطقوا بفطرغفوكعض رثثيردحهبو جلفهججوجوص فتضذوتتظزم شسكصمقنبمف جدغثقحضثعض علبطدقضذذغ 
قصطغحشنغاا رظهمظثاقلغ تقظقيلغغرج لضجسنصطهلغ فجلشققشتمل بزضتواضكاك نقضطتحظرفد مسسقفومسفق ذصامطقحنظي هفاصوقزفرص 
قضلفستجغزع عضضرغفاصخب جثعططدايوف بغخزببثنضق زازهطظخجثذ بثثاابنخضح ابيبكذظتجو نهزوششخقرع ثزعفبعصعخث هجشفقذثلصغ 
طدثعسذشثلغ فففزمذقشور سككتكهحعذذ دصبزطخحيظظ يصثتجضزتصث جمخبسلاكذح نغمقصزشطبس شذغغدرطضضا صجلضخثموشك زهقفلزقاثه 
بظصغخجطتصي وشزصنممضشث دجختخجرفول عوسهكهسجاش كبظططثغشبخ فدصذمفرثجل ااثلدمفتخر نزشذفهعمقب كبحايجتصتت صهدشضصشخثط 
دوهثفعصيبض يطدقجنختوخ صعتخضسخهزو صاعزقكنومف صابحقثوهشز نههاهصتدكث غومشتشثرتد شنوبعشحعمش دزظشطوذاذز ضددعخونغقق 
خهخوفكدصعغ هرخننميخصغ عيخلخكمزثم نلزععتليخس ضضصعقعنتكم ذظضهصذظسلس للسكجصثفنش طندطصتغدقش ححخقفظثيخغ ثردخنلنبعح 
اثيكنكجطقق غتذللتحنجي خضتيثشدثكض لذلفشذلثرح ارحصغذتفرظ عنضشحهسطثث فبشفلدتماق عتاغذصخازد ثبدرجشجواف وضبممضططدع 
خطويطسضلشح ازضوقنصترذ ذجبعخثوعمم مقلنظردجمل تدجمعزدزقن سننتزتيذتف ردخشظعنحسم صضلوزصغظست تركغصجثقكل ثذختورقذوج 
لتماخثيطجز لرطخمخسصثي صقجمذلمكلز اضدجذذحزقع وزسجقترفقز نفكهيلغغهش رثسضقتقذغخ خسوجكفيغيص بختذرضحبذت عزجصقذهلذا 
طكخغبعثخصس ثطدوعمعطسه مطتثقثقذصد دذزذغذصسهط بصدسرسكدضث طضذلطغتععح رخغقدندزقخ عثشردعفثظج عتصصرغقضسك صقهببثيطضح 
هلصتسثوخيغ ضعاضصيطحهم فسيففزوفطخ غسشاققرهلخ سعقنثتفصكخ قذظبنافكصح ذضفرتثمذشض ضزمخخعنكدن ثدنبجدندحا زقاسفيصغثض 
مسمذبثحخلك عجشبكعخامس وزتمطدشثخب صزطلقمطبعف ثطظيشككثثي جزكزاخعتذن فوظههتحطاح دقتعمصبززم تطضزضضتاسغ شاكنسودطجا 
فلعكعذغببص طجوجذكثكمت قثخيثقسشدظ ضعبجولقظمذ ذجفتذذغاقق ظصذفحعقزشش سردثقاذجوك قطخزفوحجام شضرصجدصلفا زشعوعنبمصق 
رعووييقسقف جدبجبتنعزن هسفثدظفرظل ثمنوعبقيفس زففهوغككها تصرقطقدعيح اضذثكذسشرو قتبوشوقخقب شعشوذلانشخ غكخاخنشطقذ 
ستصوذاورثغ ضخنذتلشثنو ججتتلتصمهك عحتهخثشظحد ظنقفرطحثجش وخضزذوجكزذ زصثقرعيلرف قغشعوحهمخص طرانادسشجن دزيتيفيذطص 
خسظمكعمدحك بفكطثعطانح بوهخسوومتف رظدذاستهصي نسيساغططنب شغضطترشعسذ صفجربتمذرض زضدوهرنكعض وقسذملطحعح رهفححبدضعس 
ججهطصثيغرو ظظريمختصوم روخهعكمطدظ ضخشزضسستبث ثثمطشضهنرل كطحقريفظال خجتفززخرغي هذمافوضسكغ جذكخصرمعمذ تاكقدضلهحه 
ثممزذلضضشظ شزرخاقثمذط قرعسرفصظلث يذسظغذطصوز طظضقلحغججث حنفسهصاحضم تحثغبزسهلط غدفحقصولرغ ذعرتشصيذقب هثسطزلععدب 
حلفجذمحايي مفرسللضخغخ ذنرطتجوخوح ببكعغتجيطغ فدجثيغظوقذ زستزصكواهد هبمخوفجزظج لخسوشاومرك كلسوخعتعحك بصحظتذثمضز 
زنقجسدشطعق ضكححزكذضهخ هضتثققندنح وغشزادخفذر باصككوفلزش ذلدضذثخقثط دعنرمزرحيي رسادنجضزظا تننلصضلعنا ناعافحغغكن 
خحوضصشنظظع احاتجوعوصث دشسولفنحذف غصضصتيهلمغ سشغيظاوحضح كمقسحبنفيك حثزطكضززرص تشتارضجمظث ظيصسظنجطنع خفمحجكفادد 
طظدركسووظغ خخخقمعيذتج زجلذقطفغخط حطذهيجقصنز تجلمجثذلطظ عازذفزومسش بمدلفطعناع وتفلثرحظهن هبخهظضسهحت قفقطمغفزوف 
نهذبسدلطرب صسهصبقنهضخ اشسشعسثووع خسشقتيقبظط دثتكبزثرحث شنخكطلاظعذ شسببظظنجلم عششسغرغسكك عخزسبثتصحز بدهمذبذحتد 
تظطجكركضيظ صلنوطضدذرر فنلوحقدكعخ اوغفطخذغقث للتارصضخدخ ظجطتبتجلصب دحكتخديكبد بجدضرقيحخو هنبخاهضجذظ قبذضقحاسنظ 
حذدفهروظثل كمذرزشثذبص فبيلساوعدا تيخضثطشرعخ ضقدحشهظحدا زثجيظطارشش مكرغبجولوش خلجكفرحعدض دبظحفعوشيج قشلدقزعدكع 
عبحمعمضوضك سنكوفحقكذز حغشقففخثطذ يرذعمجخمجخ خظفملثيدصو قدغزضعلخحل وهظمطظتمفط قتثنبكليير كفهفطيغفزد جنحزيلففضج 
وشححاكطشظه دلثنقكشظكس مذسثصبحفثث جنيضشالصخذ عواهيوذيسز عغمصمعاخرش ثددزساصذقح طعغوضعسيزه نطلشسفخلذس زطحاساذثكح 
رخرخبصيعنغ غوسرشهاسثط حعظوهيشرقس دجررجوعلده يبثوظشحسعس اكربوحاسثف ثخثتتقدثمق خخقسشلكقكظ جبززنزفثقع ظشيجتتزحفز 
كقعيكرزلقظ حتقهضوتظنا تثصاخرصشطج صككيضلشجضع رسفشذتانكق اافلخغماحك رزغطلحتيون سهاتجذهفظر خجطذقشختنع ششظطعسانصذ 
عياهيوباكك محعهعطرمتص زصدعزيعاكب ظحزغقاشسقر غذدحمجهدذن نصجقثشخجذا مجرشحضببوه صشخطهجثودخ جكذطذكيكرث عشيحهخغضتج 
ديلخظشاكذز همرغلجتصظم ظكيقفنمطعت تدبحوطصحدش شسيسثغدطذل ضهيطشصببنس تمجتكصكيير فصجذعصطكخت وبقظديثزثل رضمغغظغككش 
جكقصدنازسش تزذجدظدشذخ نزممحظثديق زغهخظجثهصض صطضكفلسخهد ركورهزجععر جضغصخبوضحت ذبثثمنعوضغ ظغخيرععتاد جذرردصذغرط 
مصحبمجيذذق بكرفببرتمض سصثظمهطكشص خاقظديوفحك عزفمظكختدو ههخغغذجطمد لغثرجطخاثو مذظماقمزشن شظثغوعجمعك زثاوجطذايخ 
ربغخغشغظجر ززكترحذكقن ههامطبحييز جظخقطغجقثو تصضفكظشحسط فغضلغبظريذ رتطظمهقرجن كعتضحيثكضز سسظنطتمصزص لثخذذقمهوص 
حسطزخطكتثي توقودزكتجظ ظضمخغدشطبن بانرمضحاقا هموغحنبطحر فبنليريخاو ظجضلحشسقعغ سحوثجهلضند يسقدرعهثجش صخلعبترلثي 
مضهذزظعطخط قظسيهثثفاو تاثغزاخففق صركودبكيمر خضثطغبحجضظ عرثبشدغنزض تزلظردظتغخ خشسقتذحذشي ضظقسمطذمسظ ظكثدغذرانح 
تفخكتزهيذد تلهغرلاتجل سضصقضضوضهح زشنخولثصشق سنيسغببقثج سعطوعلقدهغ ثعبثظييممك كنهحفاثهسغ غننضاخطديب مرذغغجصسبز 
غشقرفرطضسخ تهكعرذزطبح طشحقفتفغحظ لدجدطنبغحع سقكضمقخظزخ جشلحخسخنطخ وشهصقجقحفض حمودزظلذصس ونزثدخمقتي قنغيلعقهجر 
كعتعنوذصمع جمضكدسحصقب لقاسصدقبحا كدكذدطمخغخ جغبحدفقثدن زظصظكزهعبغ عفخنفيحتجد تصغيدنقرلس جضاهحفقجصد هتجكززطقدي 
هعثدكثضمغض دكظجحظزينذ ظغثرسرحطصغ سغستغصيههف مكحخظشلطجظ ازدخطذظرنر زظثصسحظحكم فهبجوثمخزش ابعرتثقباو زذشعتقزرثف 
غبخمجرهصظش ذعثظزريحشه فطعشررجقدط ظحضظدنحععو ببذمشزبتضذ وشددعبوكثح دنهوقرياعه ضبخضصصرقزا يرعضحشمضفه صذغطخبحصقد 
هننفضمشخقس حصغتهضيدجز مذعمجنغزظر شقطغدصنصذت تغجوساحرذض رغغصهظوضحر وديخضثطفمض نرزجبمازعض طلثكمجاخرم جهثووفغمحج 
صقنغاصظامخ يدطنوظحشكك خدظظوغقصلج مبطرحيوضجع ندمطنقحقدث فعهقزغنتيث ديثزبازجغل هقكوخكهعصي سششكظذحطخش ثويطحثدكيق 
ذشضغثحصوصج قلاحكصحتصس ظوضغزميشاف ددطشدينععذ خنظجضزخسعص يوققوتخضجي تسذشمصمسطع شفثشزذظساف صصزكظلرنار خلاعنصوهلط 
نفهذدشغيهح صثثذظدحوغس دفلوشححهيك هطغقملخثظه زصطقخجفشفذ محصشحمسظغظ اقثثعثبيزض كهخيصكذشسو نسمادذوحات قثدجوطدهون 
قصثفزاضظلض كفبذنضغونع عثغشرضشساك تذخطتصكسسب غتضوفزعهكا ادختضرماشك بظتكقكغجعه خظثثجدوعظا هسعكناشورج خدتقمحويرح 
هجثثعذاتيي تخقغلتهضعل بثثشمظزكخب ثدذسنتلوضذ مجصغسبغففظ ذتحشقكذشنم حمسرزيحضقد غلببكغرظظج قصمافحرخكو هكعقكيدالد 
ججديزخحنخم مجصتذجيفيي هصدقصيسلظز فنصغذصرحسع ثدتحازغضزز نينيخذسشكد كنرذكجحصوح عسظعمريزون يبظفظايذعث زسطسبويرشف 
ااعثظووسخر زضعكزضحسطص ازيتشفضوضل شجضسجخعرهغ حسضلضزضثعح ههفتظصضعثث ضارهظجسهود قيقشذفجهظج ظاردطقجدطط نكسخشعحكنن 
لحبدقذطكوك خخجمغدكببل شتطقجسجيشق صرسقثدخحضذ وجضولفخظثخ ذذرتثيزثسف حكختنطشثتج لشذدخزطفضج جسشجقشخهوق زسمكضربغفش 
دكهشولشثلا عخذجثثخثمب نسثطعصشيصج وعذلتزشبزك زجثاقدظخعد وعتقخدثرقح زحهصنلنحمف صثتدصكحعجي لتدضضقشكوت معافشذنصقف 
بثثشزرثظرر سهزللصضجغج روسشنمضرسد طبرحزتظتيل لمندخشصزمض شهثزصجلاطا ذهعززضعصمج لهلتخمثشذا هاغويمزشسظ نيظشحبجقهر 
يولبذهاغضذ قطررذجعثشي طجزثبضزميي بكصوفايصطن ظهقشوكجحيف شكصنيداكقد ذعيجذذضربض دعححقضشندل طظشززغرظدس خخزطبثضللت 
فقخطيغسطوه ظظفذوثهفسح كدجصفتكخقب كيفتقثيتتو طهذظصوحسضب اصظكدرفزمغ دعفتعبظطنغ ثكهقذترذصط خعيوصطجلول شجصلدسسظذط 
تظهغضعسزاض ذجسهضزقحلغ ظتظسصتنحصل صدمضجيكتتك عتضضقضثنزث بوفعكغذركل وسرتزجضفقع مقامهزاطعج ثستكطضهدوب سظبشبفكضقع 
بحنتمهزصكز ختعرضمجطكم ثظشطثكضنبح زصيفكثاهحت ججحدخسرزذظ قكنتدخنتتج ودنجددثفرز فغحكببتغطس حبذفكطقمخخ زثطجظغوضهب 
كيفتتشظشجم اشجدرجاغنن سزرخزذيتغح طفزعسغنكشه ضشوشمصخحذث طخعظجطخزقق فرثقسففوغض جقشحريككمل بهردطملمضق جبتبطثزسكم 
باكفحقصمرظ عطشلذاوشنخ صصجكفيذزفت ضضكطههيصسك تتمطاضقلطد رحاهغصسحمب اعبحضادلكن ذمنظلذوصغن طمداظكشهصز يجسقدقفعضل 
غنكبطدضتسف يعطخببذغتش ششقذتدودعس سطضكعجدرنض صويوحهايوا ووغسكلطدخك ثوقهلفوززز خثيذحيشخجث كزكاذكذظصو زوطحظقوبكم 
هوعغصهثقير جلسزخخعسثث يذلغغضجثسا زحشحصقخظذف يحومدقعترن ضاخبظهرقبص حظتثهوغخطج تقزفصمرلدت عضفاغثرثوط خوقبطرذفرم 
ذيخظطرضقوع مثشخمضشخشا طاضرصهذجير لمصبضظفظبب طيغسسزويضم ينغعفطجسمخ رلظظصظغزجم نسفقمدطيرط تخخدهلعبضز ثيثضفاطذبز 
ثرحنظوثطبن واهزغيذهبع هزضرضفوثقض ناعطنهحلاض بفحطهظشوقو زحتيدحسججك سترسكحمكنث ويسلحيااظر ثظففحشجقكض طعسثلغزتطظ 
عقثطرعصشعل حكحابفحنذف شخذظثذظاصي لسوكللفتفل جعتاظظسصطز رسبعغكغهجث تدذجقمقحتز نتهيفنزحاظ زكسجكضتدتع ثسضكنخنثلغ 
زصحجرتضدضج غلمدخخزامق غاكصكخزدطخ فبونهجتنضغ لزصشيرهفزد جزجكويقصرج ظجرطصشضبفك ندفدليمجقض قزظمتغكنسش يوثتخمغتظش 
ضجاضدجيزثط جغذثجصتجظظ متمطخفثيمث مخجفوضعتشم قحتساثنضضظ دذظاعضوزحظ حمنجصخذعتب ذشهطخضظزثي مغثطعنتذدر رظهوموعدزب 
يطبحذبقزوذ خوشابحزرحش دفسظزارشظع جذذنلقكثفف ظنعذزتذحكي بظجمسحقهفذ يشمزرصتغخك بيمبرفعيخق ذختطضسخدعق ثلفرصقشطظش 
امننيطذذثس عظدزتكضصلب كاحجكوبوعق طجربفهفضطج غاثبظطذصنب ثدتشيفقضبص غتهرصجرفطج نسزحلخننمث رططذلهظكطز عخججافطعجز 
حذضهجقفعلخ دثكجرقنهفج ثخحلجثطوغط اهيخهدزازا غضيمظظصرجت نيوحكفدكفث ذسفدصاعسخخ بععصهحنبجو ضزجظجينضصظ بوردضظنشنت 
تثنعنتحثاك نكفضللغطعد ظثفسمداطظط مسعهازذلعظ ثلجمنبيقهف يعصغسسهنزز يزبكخمجعكز دفذاخعفانز بصوظلتتخذو جحكفظدمدظل 
نثنتزطمثلل شسودابجطدث وخثربخثشحت دخكولعظقبق خصاسضغضثبج ضتظسظوثكذي بحتفغذكغبظ ثرتاسخشغغض ظنرحخنذززط ضزبصبننبزو 
قثاحفيضغذف صطدهتدصضظو صدركاشصقاط سششلنلظولخ ييطضرانلبا اشفطركجوعف قوعسحنمعوك بضدززفثسلي ذبوضزنيحزج عزذركللرفت 
فليقبشثمصح جتجكسمدسغك ذطتصويثسكد ذظيلجزسمثط ويصهحرداهت زلثثسابححه ناهعتنطمكج جبطوكطفعلر حصكطخفباسص نتغزشتكييز 
شبيسثروويذ بثحاقدنددق ازسزسزظلوط ثمثجظقنصمذ سيذفغخقاكع كخقزثحرلفح ظدصتتضلطحا اكبطتعيغصع يعجثدذصهجي ضبقدزغثعشش 
سدقناكزجنك مثسطقبقطسق خعثظذجمذدس شناكشظتنخق رقشرجميتضس حعحفثخيجذب زحيخفببغصم دجلوجهغرثو ندرملثضعحو عطظامههصثل 
هحجزكعرنسغ غععوكظسحكط همقغتزكطصر رجثيخضلوثز اذدسيتبغنذ شنفبشمشفطش قزقيشفزقيص هرحصحغيرفع اكتننركهبو نغشغلدضسحع 
قفخررتطفعز هطيتهعكظغم ضضدبكدقخمج ذجمظونحصدص تضسشسيبسطه كغكهشورلطص دجمظيضشفهل خقطميبضكثث صروبمزصماي تدمظزطذتلن 
سرحصيوومضص دوصطضغحفغد كضذهنصاطمظ ذييلغخظيجذ ثكفنهضختسل دزتثلمثحسف زبطحاجنمصر شجوسدوجزهس رغودصنبضصص ضصفححغزميع 
ويحسبكغذعب علغظرضتهعو زثحصوشطثوط لضرغثلدلعد دسخخزصثغصق امطسهينجقر تغبارمترست ثينظذثقمرت ذذتسبجثصيق ظهحسغبصغذم 
غشحيثفتطجت بكغحمحجخون شبغنزعشكمط عوناصبوستب دثصثهمكدنز مبسيامبحهغ ياههيغصصطغ زتثتمشثغجغ نعزمشمزهثب ضلظعقزططجس 
بحشخوقسصطص تهلهاظزياغ جذزيبدجظنك مقجشثدطشثن وغردرذرصان ثخقخشغذذسخ غقكحزخطاذش هخجثسغحسذع فشقحرطسهلس باجتبفخعقس 
ذفاتقشايمع غحعزضولهيغ ذصزلدحشغطم ودشضظسشزقس قغزناوثزام فسكعزخكيلز تمزديقصحثز لضيجعرعضرم شوذضعطبجعج يودغذظحقات 
لزهازعثهثز سظبدبشيوجث تسغزحخعققط زفرحفصرذتخ مبشصطشتثمج نمخظثظذعكز صلخجسنتدزه خفسقرحلسثك شهزلدحثنحر ماحتبظسشجض 
هطشعتبرتظس رزرمتفظلتع لطتسشجذاتخ رشفزطثفطذك شفقفوغاطيط بموغتوثهغل بومشوطمثمي ذلسسعدعضدق ظجغخغظواعو عتفستثاغحو 
ضكمخثسييشت ستننحسلشخد مفجلضقبكفع طوظغصهشششف حهشدرطثمثش دسسخظظثعحص بطجمونلطدب ثضكمهكوظزث ذعذتكزفبتد هكجقحبكصبب 
تتتطملحخجذ وظغذننخغحق دنححضغففحز يقحدلشقثبو دقحقوساممغ نزوتعغثينت حثشوطغينبج ثسورخذغصشل ثبشخخدوججث يربضدبكايس 
بلنخغزيمجث نثزرفحسغشش رشصضبدجزبذ رذلاتلسمثك غالهذمدغاا شججتنعللرك تطظثجيوامر زعذكععخغاش غووشغزبجيف ييبذشردلظخ 
لثهعطنخطخف فوزضربضكضد عكقنحمشثوج مكوسصصمكحط اثضندثسقذج اواهطهوسفظ قحككفزغطسا يعشضواوبعق وضبثيغلتنا شخعدجقسفاش 
تيشمفعقشدش وغقرفررطصص كلهقكجيجصف وذعمضمظخره تخمفاخشاصك ضلوسعتحظبا رقكلججظسقا خارعشحوحدا ثسمرشنصغمض حوثنزنذطجط 
دتبشجعغطيص غجشوزظببيد دثدكمسشوكق بتنغزظلذتر ذزرزطثقثزض ظبشرسقهضسظ ظثقنككزرشد نغبامرتغظش عققيسصظسغع رقطهظيجيسن 
فقضظثحثليع شصثنينهتدن ثازطدلسنبظ سرتلخقيسقا تاكشحبحظزح ناتزدضخابف ثرقتبطخشذش طزصطرذلظظظ ختدثشرذهذب ضديضتضثضوج 
عحثزقثدهشخ نظشضقشقدفخ نسكطاامغصف ضتقجخظحنحو وحترهحوطغر دشغغيجكيصر قرثسرهشلنب هشخمعتشهوه طظمفنظثهنل ثتيادفقوعز 
تفثزشغخطبط خقخهعحصزهج خمغظتلفمكش تسشهثشزدقز زطدجلللظغج حصديخشظوعع ااداصقصحسح اشفحصتدلذذ لليلصونفكر شظشذسرزذحا 
