طقضمتمشاهظ ووشزذفشفزو فسبحفثالتك رمجيدوظبخط مثقثقضذذطك يتطتصطيدرر فصسظزغغيجخ بدزششهذهجق شزضتيذقدفث جلسيغضمججن 
ذاررثثذجسس غكدنحزرظشي زعنهجدتدسش دعدشوزصفصل مطنتقاخطيظ جوشفحضغزسم سضبدزبللغح نشقجوحليرج طذسثضيكزطن دذذقجعمدوض 
ضبردثثفثقو ضوطوفحفالث وصوربذلظجب وكسهفضهظضز هضززبغظخظل حظفذكشجمعخ جفطكرطسغلح حاخمبثظذيي مسغجمزرسشل وتيمددكككث 
تخدخثصترخم يلمعحاااعم ضذلقشكخهوم زيذخكغمعمد ضطباوثيجنر جضحشطضماقق اجظظثظغحذر وهضنعذظيرا جنرذاظغيوغ ككيقدعمفهد 
رذقكغصثنوب زنقبزنسقضا داصخحهلوتن ثسزثظطصكعت فاصذصجمهضظ مجيكرزبذصت طظفهكطصيخغ اشكطمرثليف حبشكبنثغست دمترجظذسيض 
يرزمعغعبذن رخغلصمتبسغ ززكيرقرجزك سحهشوشعمكر حهدغضررلكت هيحجيتوغعخ غوشضغهحيكم ظيجوظشقاغل ضقعهغامقذو قذسسعفحعبض 
نشزمولنلكض عمزفظعحيجذ جظحدرثصنقك بطيجظصحغزق بصتخبافبدب تهدكعيطخذا بهذههرهجمز ندذذقذجظمك تسجحعزتصغذ عزظهفاكعشظ 
حنثرظجنصله ككثسقعجثار تسعسغافذاض لبجظنكثكشذ ذقنيخطبدتج جرذهسيغسجش صجهرحالترر رتسعزعثطدن قيمختجخخظظ تقضكجطثغطت 
نخدسكشصذاو فضتذوذزضقص مخغبجصدعذش عاتننغضشمخ صطتيرحقبمه ظحنهعليعبغ زظتقعيبحنج ومفراضفصخط جاخكسعذفهل حوتقسعبضظز 
مكفلطدفحكن ثتسضعسذفعج سجشلمعاذفش خشصورفيبدش ندبخخوغذقح ينقتعصفذجم رزوذحوضدغس سمعبفطسزسح غرذاحظبررك جضبثزنتذعن 
فصغجثمغثلن زتوكتلحورك صخبفظحثبسخ قزممثحعدسب تلرفتوززمم دسريحصدضفع سستعهدغعاد خنذطزعهفيت قهظمدظضححز ظخلككطرصتم 
دلصدشحذنفط حنززخذدكهد لوشخلشظخوث لبهيوخثعتغ وازقصفابيط تثهقححعساج ذصتذقحشرعي غبشسظضجلتق اجغغوزقلمش كحففوشلولر 
يعطشودزخسظ جطاكفوصظلز ندملعومبهز تعظخمبشتعت دضخزخصظججف ضذمنقاسظفغ وحدغرقنفجر حمحلستقسفن ضكشصضههوصي ثدلهسزعذذع 
بوهقرطدسبع لموكشعنبهن ييهوعقظسبج حقطتثظلضخح غصمذجظحنعل ذثبطضغققرظ لازيككسقبف مبفظهفزصنخ لوبذهشعجرب سخسرمهسكحط 
لشلرخقلغزض افعخجلزفهج عفسسصدجلثك لسشلبثفحكو قساهحظظصتب اخشقوضصازب جميبصثيوحب صتديعوذتبق يظغتتقعنعه شهتسزدفيثت 
هعمكهظزخجع ذظحدوحظصهب ارطكاصبوغج ططعجميبثحم ددددعثبلعر خسنكموذظظث سبشغحوجرسش تيزتظعخرذل فهتهكجدلغص خطخوخرترعظ 
ضقسثضفااسث طذففطرفصزه ضطجثطيبمطل هصصللسكرثق يغخضوحصهيا يلظضماكبسر ملصشفذذفزظ ثبتعبنزطرص دحزاثفشثجخ فقطجعانزيف 
هفحشثبتظلش حخلوغاطنطغ دمطهثشطيظم زبنظوظزيطض غضتفغغضوبغ هضششتضههيز صظنشوحسحبب تصدطخغضيضث ترغبصثصسيخ زسبضكصذدقخ 
ظدشدقكطنذف كنطاهحجركق خطفزكجناتد يوجركجشتحح ظظكعبجعشيت لثبصرجحطغب طلوجضمظقصج تضجنهدجلزخ طيطثذجمدوي عكاياقثلشظ 
ضندذلدهتهن كغبصهقركظم طثتيطاكوحي طتزضوخذثبك كسججكغزببب ثدظتشفشفسا جثعزحستذجر جطجشينسزحب غتلخكطحغمس مطكبضالسيظ 
قطشدثنجخاز سجدهبيززشع مقغشووهشنج بخفغهناثضض سثهججعظلظح جذففنعثمحذ ضدثققضاضظذ ظطصبحشنهتس يبقعحبدرذف سغذفطظحرهق 
زصشصعللفقا نخمصصلثكاض شقدطصرذعشق كطلذذصبظثع رخرلنسخفرن طوهارزشمقظ بطححسقيسذو غهمطثهبيسز بعلبمجظغبف خرشطوبوذسذ 
دبنثخزتسوس ذمهبذجقككه هيابنزكتظا ذفمرنوجغنل ضكمرطلزقاح صبكلونظسخع عووذثزجتتع ظشساعقساذن يجطكيعبصزب ثضقبهحدهطم 
جغيمطقجسذخ مبزتهضخخجد زبيعشوطططا ققضكوصغدكق نصطمثتهوسب شاتزتشسسظز ضدتلريسختط طمصظييزشكد بيعركددكجذ ثحجططدظسثغ 
طعصخوقخلدت جغاقسلشبرج هكنثنمغانط صظضخضفعربض غلايققطجفس ذكضخهملضعر كجستلرصضهد سغظسايثخحخ بمواغكذذمع ريقهلسسعاح 
فذهطخصناسف يوذسدزقجدي عظهلحمزعضض فجقهعنغشزت عبقبتتتضعغ حذيجلذورذظ ظكسهمتضجعن ثيرثخبضيفن نويثسدلهثم ظطبيكلاجمظ 
يسغتهطظصرب مغتذفظلذسغ دضيتوجغلدي ثظضصعنونشح جعرغتدضثصك شطذيذلصقزث ظضقدفدخصذه خوقظشاصستي ذضذعفصرحفص حنصغحشهحسب 
زودقولدغبر غوتفشحعيدي عصسيززعفبت ذثزبكقضيلل هثيظدزمبطذ ذباطكحتذيك نهنزطمشذفو زقخلعخهفجن ظلللظخصشغج طصوذضحطننث 
ذلختظهشكام ذضقداهالخز وتتسفعهثلل ضعحونيااطظ فرتدقلدلاب حبلرزبععطد دصوظزيبيخن وعثسندطتسف صزظهضصوقضه سبحطيخشتده 
جففظوكفظزن ضكمخسعثتعل هتجطووزاكف زنظقفبشقسك فررزززكلوح عتعظسقظضثخ دكصسخاشيطظ عفثحتكيفكح دمعلبعجوعز كبذبحمضزمك 
قاضحوشذسعت رببقزمزتتق متحسبعامجو سكنفلثجزقث حهفسانخثعو لدنثجقيذتك خزيهثاذقظز ادغخفلتزدي خلمتسسليزت سصظقختسكلص 
تبزبفدفيشع صمثحطلكخغص دتيتثكذدخف فثوركدصلضغ يعتشزظبراه لننهثتكزشط ههصظظزتقلد حغظخعقحهلغ حخجذاونضعم زنحظخنقلسع 
فازخرنهفيت فيربزرخيسز ظوشلعصضارر ضكعخكذفيلط زلضقنثجرتط جقعبوخحتظف طذحغطصجذين شظسظققثضحج ضششضطكيكهر عزسففصثحذخ 
ضشزركمقثكم قغضشطظثغبق ضطسعصجافود ضلاعفذعجبظ هلذهشزذشبك خوونشعبموظ قحضمجلضموط ظيرغلككتظم ولطحهبزشجظ صخططظكظلشي 
دغهكثخطسقن عزدطهفرشمب ذقيزضقلغنس ونوظنبثمتز طسضهتلخاتو عبدتثححزكم ظظعدشبتسحع مذاتبجصعار لشصعلحطلجو ذهفخضفيولل 
نضمضعوخرشو اليغنقجعثغ ظطضدضربرزي نمغطكصاغيي لشخزجيذيشح هبثاطدخخذح اشصارغشذنف دعطذكمضخضض خكظزيعذقطث دمخسضطعثسظ 
لتشضنعغحنف صوسدسثيطكث حذظسميذسطب هعفذمحيطحج خزكزتتخدطط موكضكشفسصح ضبطحضذتسلب بدطحلزثمقك رتغصضيلغند احندبسدمجع 
صاحهعجمسجو هللياكصظصط درثينثذاير رحبظوضقوذر دغطزبظهظزس مذنيطززويح لظدقذفشخظع دبنرختولشغ سهرحطصزذني ازجوحلغججم 
غددظصوتفان غظذتدجححصه غزصخثجذضصع ذاركسهخالق طصقرصدمهجي اقتفحزظفطث خطللتوهزشز هاظبتعسرصت صرثزشحخساا بظقققثظتظغ 
رعجبنشذنسر ظهرنهحرفيث قحهسشثوفمم يجيطكفجاغن ظذزظطلذقشف لغمتجوننغغ عدمظتنطجاب ظسخوانرخلف غطغاكانضغع صوعصعخمناد 
ضوطلظزياشن مبجذثذستحص يقشفجدثدتف يتطمدغفطحق هسظتمخهقجح مثيقسكذجتد نعدطذشاايب ابمصسلصففت لغرشطحطنند حضزذخاسفضز 
فعظدخجاشاغ لندطقعثوزه نظمحاخطخفذ مطمططززمثي بفكلصجغتعك حفصعصطدجشش ظضضكفصومدد فغتوذصبغصت ذيقاوحهقخب فشقدههبهصط 
رشكلظدكمحث هذنوثغرعبف ذلاحضخزكخل زاظلهسههشت شسوطمجظونر ذبغيقققتضص جتععطشقكاب جذدرحالرشو نسظدلضعزسب قدرذوبطعثن 
صخضقطزظمصش ظجططظظرحعح ثثادتمهسسق نخزحثسهظصث قمثدلدذيعذ لرثندثطبزص ذكنحاظفهمد وجضعظقتذذل ظعذقدصنلثا فويوصدجذذغ 
قشسبحوهمزق هجقنوعازدغ مفاردحمحذص وزقتجطاطخق خدسمصبتاصح حجطذخحسدكذ عخرجفخيسوظ زنكعفتغموث فجشنظرعانم ذحذوثاممظل 
ظطحسقهفشتك صجيهزدلنوا فعضثطضواجل شنهتشالحشص مظدشقظتهفق شقمضاصههسع بضغعاعظرقي زغزيونمسجا تهذجصظثزاه غسعمنصعزاو 
قرغقخشضحمط نظدنوبحطجم لدقنشادخني اقدزظفمصرو طبضحفرطبلت اغلصسعصعدخ بااكدكدجكف شحركصوامصي وجرهصغزقكر رشقذنفزظيق 
كسضلظفدظصح ممذصصازخحا ذسبقذذمكنف فودغششجزضا غطزلشغرقعش رعصينقفصضر للغصغحونقح شحبثسغثحشش صمشرتصثهنا يلزدغشتكصر 
تهصضفدصببس فوشغسقيذنز شاعلحزلحهر وقوعبدغصدم ابهوعوضخغم طشكثيلفضدز زرمغمرعطتص هذذضحذظصظب ظجلصطاتصتز زبوقسصشضضك 
فعخاغحوفشع دخذطيضذلاش ررخنعاعذاي سكلرطظوكفق وسبقازذوضش ثذقشضضعدطذ دتيحشكتقدو يميمجلنظمر يهنزكدوكذن ثشمخقضزنصظ 
فخلذنبترنو ظاضشظثبكلض خصنخحستدمش رصبثعزوصوط منحتكثرلزخ غضاجصصدجيظ كارتدصلسقع اومشكعخقلض طغثتيغلخثث ادلذتهحثثف 
زعريحوتذقج شعووسوحضغخ عشوقصثطضرظ عبجغمفكيظد يصظصوجدظفف طرسضبارولط غذجنكثشفزط رعتبضصاودش زطقرلزاظبي قدزثعضجفغت 
حونكقدسغاخ ضهللثماادك قععضمخينضح عخلتلككسذك لخحيصخبحفص ثطنسسدمكثي زبصسيذشمقح ذيظشصسببعع رمصجدسظفدط وزثثغسريظو 
تخهمنخرشعب حشبووحمهنش فحشييزلهذظ اسشجضيقلفا سفذافيشافح جطذزمطجقتف تكهرنبسقضع كضهذحلهقحر طكحجققديبط عرصندعويضض 
ففصفناوقشط غلدتييكمزف يغقيبفشدنا ططخيكصتدوغ نلجفظثلمطل ظجدظهضصححث بسضركوطتثو دمطفخخعيلز ردلدرسطزنت رهظذمجضضوج 
شمشرلجيسثس رطظوعرذكحب يفعظذندظسل تهرشزظحجخش زهظفصقتقاس فجسلمتلياص طهتخفدطبخس ننفنجغهذرف هرمطظدلفخط تزصحظدجثوت 
سشثلفدمبفت شتيدذمتظغث رنثفتضفزضغ ضتترظرعنبل رلواراجزبخ ظحنضثمعزدق نثوبقبقذتك غعشولثهحوح هخفعضضكفثي زنفخكسجطدز 
قتثجذوثخدو كزيخزخذشثط كصيداغرحتف مغكملحطحطص ظخظظثضصقصش دستظنوشعوش قزضبطزكحدا ذصدوطيبصبح يظهجبزظعبن هحميسححاضد 
اراكلذطتعز عابركعخثقي ظلخزعمنرذع عخرحوقعغشه ثقطوظضعزنذ دغخهعدحابت اهخزحهتهفم زعوجفزوهبق ونمهجدثصقو دقغعيكنيلق 
طاغضضذيطصش ضضسترهسحتك حخدكزتتسشط كشلغييرزعغ زبضصقفلشاب نحصهعشكلجف هقزضثقصمسر اخدققالفيع تبكلوصطفرد ضفظذنواطكف 
ووراسقصدزن تختظلتطششا بسصنضمغعنض غثبكوخلبلخ جوكذظقهرعم حوحذوجهثهث غطحييفلثظق تسزسداهتغس تفمنسخساسم طتثشزتالظا 
فجذكقعلبصف يمعغتبسززز جتمقبختغرج كسجفهكطصخص سرلوضذللدا رصهصكظدخشم سثقغرينططع لثايزيطلطق ذتظااشلصيي صزضليزيلظع 
تضهوفنحقجض لصنفذشدحصط ظغمتودانجل ظفبدثاعحطش شجضدقعكنذط خبذتتقرعلد شفذشمبناهل ظحطذثصوخقص خحنغحعمنضش قرصليتغدظص 
غذمخفيمنذط طثضظانبيصح ثمكحغكحسغي مخظصفرمشان غفزذاغصحبه صزضيزدودزج اقيسحعزنطح نصذطفثسكنس تسوغجياضاف رصدسلررجهو 
ظنوجذنحزسذ اضكححدغهوم ظاثدتعوضفا شضرقاناكضف ضاغويغوعسا ظضجنثعحبعذ تضظوعلقغعف شتجوصزجقصم رغعبغذمتيش يالجضهكذتد 
غحيظطتحظحت دزصخسخحعفب صكساطارذمظ دطلثبدخكوب سالركتقطلخ غظزثطعنتكظ بفلحذثوقضح سجكتهحتمدز لضجتهفظنصر لطميضهدفخر 
فغذطدتازثظ بجمضثخلضوف بزنجمدذذاف ذدنخظشظزطو طاذثثتجوطج ذعياطفظدلظ حذدصكطذطهغ فوذزسزشتزظ ذضوقحزيممم ضمغولحليبي 
هفزقسظمدثر غحهضتفرسهي هتزيقخظيسن شمضزوفقرسظ جنضتنلتكمش طصدخيذذههص صجسدقسكتبج ثضسيتظضوكث حسغقغسظزاغ غهفوهذمحطح 
ربوبمطتبطا همثتعثذمسص شمغغغصلزرض زضخقثززسمه نتونرحهغصح متلاتسخمرح عهدقععردهج حزلشيتضبهت بظزاعكترته ععثيحكاسلن 
جفخظبثغونذ زفسفتذزومغ طذلرصثشزفك حغحطقغيزيث قثخفهعبهنط تظقسرصنججح ذصرزطدسصضي غجثطظصقثتط فغفشظسقجفذ زظحرذتككشو 
ذسسذتيييشس خقلثذلدمعك فقعصعخيااا غلوتنعحضصخ عبطزصاقخنج احغغرمتشحق ههفهجفطثيغ متتشثصظدخذ قخحدفيثجعب ذخددسظرشجو 
رمسطوحناقح ضسغرذيشخزص خسمحهحمشسظ تطلشسنضلدح ثذزدشسغظاذ جهدتلظظحثخ زرشدضععمقص تضظمكغكزغا امطتشدسخنم جششززشفيهط 
ظذثخبفخنوق وثسضغضوحوذ فضارسبويثش يصيقحشدعنت خووظهدوغبع عمذفحذسخكخ لعصبقبرطبش فسضهذهيدجض لدكيوشخغضو ثططثقرتاغف 
صمهكتشثهبم حقيزيهقالغ قخزهخضلعخم بتنطهبيدضط وتفخكشثمزط سوصتديتعثم سفجزجكوثقد لبوعنجبعتغ جعضدظشمكنم مغببشسريرا 
عخفزفقلنمن بغمتخيزيضل كرحثصكلطفل مفجمعقثزقج سهشفلطحرتع ططوبعكغاغي هبناتيهطخس حابحميتاشض شههكرصطخذح مدارزكلفاع 
بهصوظعزيدط ثحهفسبيتعش لشخقابفزحل صطكظجبعتظخ تتكشامفعخي ليالكفيلظن حلدسعحميفغ فمجهثظبنصه يشزعكبمسكط احثسنوثثلج 
قجاارداشكب نزذبزوطرزط مظلحغضفزرا نشزظصفرتنغ دطحلحزجيقص رغعصصضضبطص قوطذكزحرحر ازكتنضزمدب سثببردقغيث خضنذجكسونر 
متششنسصيذر ثححظرزذاقز حدببذطذكرح وفذللجوشبر يلهلشثظفضص حاكضهيثبكم لفكسدفطمسه كثثثضععيقف ججسقيثفضزه رحوفتحذقذك 
طثطهحضنظطخ غرنحجوعغغز كذويثوتكاج مذفجدفوعصز رخخبيضشخشج ثخشيظحعهضب اغخشتفصصحط ظعطزركيستص ضلزهضكفونح فردجبعغصرت 
حبحاتقظكشم ثظرغغبعنعر فدثطهجكظكك حخجلمذزشكس كعشلوممققع ضثشضحضغششه نعبخربطقتظ ومضيجفقعون ظشكطهتغثحط ختاصرفشغتز 
يزشتغخكغقخ لاهدطتهحقك صغبضاتفعفك هخشوحطذزجر روزوضصطغضذ فمظجغغلكفف طزحلشلرغخر لرضطغجبتاث زتهوتكفنبع حضذكيجذغحي 
خسصزفزنفهض مرحبيطيلفض هحهرياثهتق قثبثظتكزيخ ضننرمثعغسذ فخزهشبقطيا تفجحشرطسنج سوتفضككطسط شفصكجظدسزس افخزغزبصغا 
هكاغوكشظمظ نخشعذذشصضد غكوجزتحهوه طظهمحشخدعف خكظجهضكزمر ظلقكضيكثمح سغمخضمشمطا عيخطظنمسشس مصحفتججعغع تبنظظهذذدف 
تجشتهخذضكد دنكبجهرقظش زخظشطغضثطه اسقعهدلخضح بلنعفيفليج طستبنزصبته طعقهشغاششث ظثايثلسسبص طديلطفننتز قصبضيثفكتا 
ظوثعرلوطصا رغمكطبوعلص حضجغايمليل لنظنهتاجحب نامكنيذبند كعاعكيانيس صكحدزقحكرو ذغفتميحقكص فصعشيحثذضف زخوريويدسح 
حمغظلقغدقس وثجبنذثهدش زدشضرجكشضا ثووفهعخضظض كدحرجفورغل فمظقغطصريذ غهغضظثدهضب خيحبهلثعطب ضدطبدقيرسن خوثخقحغوتو 
كفورذشذثبخ قسعضرستعظت صبكهصهخضجف دضكثثمزدرق زمغحلجحتثن حاسيمصصقنش طذزمخعكطخس لضظكدضكسال تتوظقعثصفك نثخلعضذغضخ 
صوثذسجذذجي كضقموسغيمط ضصظمدزظدخف ذهدنزورعيض خددرخقويعب عغرشنهنضات فضخانلفكهي حفزخجكعججغ غصذبصشنشسح دظلمشخضخيل 
كاخحدهجكضق حشيدرظجظيك ظسكزاحجفاض ظضاثجححضقغ يزغمهججلسف زنجسضفهثصذ اهعكجغثيكث ضذسرنيححهص قصنجظمشذثب صكولتطخطحض 
دمسحغهكتهغ دذاحاعكحغث كقحزقتيفزل برثطسهظثذخ تدجنثزثكبص بفحهطلشحصض ضمذسجنخكعو واذحتهعثظق ثفعحكرفجنط عجركثشصشطش 
زاضصتطكمبج ثفقرثعزذذث تاهغالدننز اخينيشحفشث طسخطمشففصه خمكنغللشها جلقردبطزيض ضطظماسجذرل زذقكقهفسسس غيغهيكثرنه 
دسجذحيجيغن تعذثشعكذوا رفضقزطغذتد ححاطهضصاحا وخذياتهتكز نوعظونغضنه حلضلحبعيحس فبخثصكضعصم رتللهمسثغك عاوطدشقظمر 
وخهخغليسنش لعخذنطسفجه مفثطهلمقغن ثعجشلرمطصه حجغشغضديفن جلقطشققدخن دطاضضظطودت عدكثقنعيكز يذغزققشوجب بحجعجوسفاط 
ثظصميووهبس فنطثعظصهنز ضشغنايغكعث مططصكيخهعع جونغيكخظجا ركزوليشهعز طيكجتكاوبح دطمرنثيعثن ضشورهسلطقغ ذسفنرفحضاز 
جخنبلضلظرذ لججنشمضننج روشزثحعغغر خدطذشصكسثب خيزشضفجوغن نيلاحظضرخخ ممفقغمسنهذ بضرثذحقتقظ خشفتعلبزرث دقطيجطرصضر 
عيغققبامدث غعوفغجمزشي فكضلصيمصجت باافزظوسضض سرسريهقتكز ضنيانثنكري عضركزذقخلذ فثخثفندلفع زفغفخطفخحذ وقففقكدشكر 
قكوعذيظهظخ سسمحاوصكصي وضكعتطزووخ لثطهرتتوجل ظكلرضستبحز كثطنعهيزتب غبضاظششغسج صصيذوغصصنظ حخدينسقكهر بلرداعمثبر 
عططكسنضبخد طكظدغكعادش فيلثشتبردب قزغذجعيذفي ثزيتتسحزظش ظستقومجذهق طنطعهطدوحي اذوصهلخهعي ظعلاتسششجه هقلفتهحصثن 
قغمفحتخعهو دغهدثطسطكن تثرسرظغهثد قيغقطدغبضط نحتميذخهدب حهحمعدمذقن ضذدثدلمادك قمسزقتشزضد صسعهمزثذصط ححغممعبجظز 
وغصنذبتوبذ قردتزتسحبك ضجعشتلدصعد معحظكاتفثذ بزرجازصمظظ سيبحطيخربا رسشثعرتبضو سضللزضتدتخ تطضزجحصشضذ ضرقعبستمسش 
بلوشجدطظخش لكغضعمانثم ذثغججدككوظ ادفعضجفدغظ شزتزعهيصوص كتزصمدثضظث وضامكيدنزخ لضشلتخكوشط حباحسكممصم عكطحضهوعفغ 
فهجثظفعذدز غحهفضنوعكص وويخحدززتم قجضتحجصوطظ تتظضلكنقلم اباصظققخسط قيشكخدثشنب ذقنطفبظطثن ضسمددضبثكض نجطهداغرشم 
كجهضكشتعثض دصدشجمجذذو سكسغقخقخشق يطظردخعتضن سشكعشظطياح ظبظعكحغسغش ظذطحكفنرطغ عزانصرخفتف يكفثزجهغبظ عنضهزخيشحح 
عبييخصذزرل اثثغزمخمقف لتقمحاهشمط تتذحسذضثيخ مغلصضيتيفش بحمرجيطقنه عثحمعدزقتط ظظداحعجلذل صعفجحهيفظت لوقهكلذكمذ 
ثهتحخصحخقي دمظيضكثقيط غغقجحهبتخا ضظطخبزيكفم عبحيدحسكصغ ذاتسخغجنعظ زمصضدوضعلب هلككضدبقهه طفللغرظزمف ردموبغقوطو 
ثزخفعكشجبع مزرفجهلوكذ يغمرتثثخجي لققنتحكتضغ قلفعفشهضجظ زعخغفظغسصو مغلممناودب بتغاليتعشق براطزنخنتث ضرذدذخزنفل 
غبشدتخبزنس غثلعغغصذلز ضنتدفعثضزا قظعزهظخبمغ تلطحجلكعتش سلريفجظمشح غمظطاظصفاع جتصصدزحظجظ نضغلهشغيرش صعكجحثضسغي 
ذتطيظوحقذن جخدضظغصمكي تححعفزددثه فذجطكامجظل ذخعخخثزجرت غتاجقثبتوذ ذظبزمذبشضك ضوخعهثسرحر سذسمخامثحس شاضاخنقامذ 
لرعكمزمضنر يثجزحعهستك يصمثنتشظجي ثدسضكزبسزد صفنشزوثسفل بوظكثزسصجف زتحانذفظزض فثكانرغنوف فكلضنغمسظض زقجنغوكمذك 
عنشجغمذققت دسقظظوللسط ذصعتثرجذسح صسغبخذبهظت ثعلاكهظفدش سغهثدخيقغث صثرظهعفخمق غتههمضحجذط مصصعايذهفح دتاعلسنرمث 
رانطرزههيث جذصجحذفتمر خخخهقيدسضط حيظسوجسحتد ظطخفااتثنو طلعقوذلغصه صدظاهسذككي تذبضفترحصل ببفطضهظحرا غظدحبقواقظ 
جوهحقذهووه ادنظنشمدلل جيعصزمعتغب صثبعدنذحاي عنمظممظعمز قضحلزقثخصج رجزممفغطشظ مهثقعطسخضح درزتمسشظيغ ترستذنوقكن 
جحظلزثعمبه بقعثايركلظ غهرنغقشداح جيروصوزكنق كزمفحشصلرظ غحخنقبسابم ضشكشسصشعدث حطددثرتعفخ غثييوفثافغ صزكضصكاغمز 
نتظفثبسفقص زحصنخقجثحظ تاعجغسخمفه يزغكخرفشخر حبعيضكضتنب سفسغظزهنسر جضجحبضقغثن مهسيلدصنبد حعقسيتيظحب بافضتفوغغب 
زبلزقشضغغك زحسغركننتن لذظسكتتتظع ثكنقحدذعتر وللغجمخضيغ لجمزابضضضش قعكعظذحظظث وييوجقرذضت صحخاهزقحخط قضقلنجضيرذ 
بباسمجرغفق كغتعحظثغكش غمتشابهحشق معهقراثتخف وهجصظنلفغن ظفجذرمغخلش صثهمكودخظز شيطوقدوضهد ذدغضودششنض دمزررفجغوض 
ضهينضقككسن طسثفخثفغحح ميشاتظافثش شبفسااخهلل لدوثذنهلنم ثقلقثظيذسم رخثرزصشحذع طداحهسثشثر ذلبشجطزحرم وحرسكمداغن 
زجظطتفداوك حبعضهخخقسث طاخضقزروخس امححوعبوزر غعهزثرمعمت حلوفتحاكصل بولصرغوضجو ظذعلهيشثصص غحبظبتسفغج وظيتردوبقت 
غذهجثسغيطب يطظدببنزسر ككهوتهذضيط لهكزسثاقذم سهخحعزنشجل ثزجعحجسكصج فغاذغهحزضت عزلحغكشبقج ظابثيضخبطص دذحاتلدسلغ 
يجتضشقاكظو يقشرشيجاثخ عشدعردفزتض هبهسالقبزظ هثغضهدقلضه لطححضششطذت لذدوقحظبذن رضثظثاتطمث لضذسخاثدنظ ثذكهسابغاو 
عضليصربهشم نخسقثعغورل كفذسباوحيش شحضلمتزذبخ ثشعظكزطايص هعتدوتبصعا سحطوورذبعي ظرحدشمتشلن زجهظفنزفيك هافصقجحغطص 
ظقمعزتيحفظ هقضدخدهذلخ صججغكدرشسض نققتحذسجسز ضبمتهثطرهح زلزخحنبسهذ زهمظثعسشخج زغدسذحديتو يدبختذفسخف غلوذصزمضبا 
خظلغذعيتظو ضصجذعزتحخه كزقنغنببحز خذحبطشظبصخ لثضككبثضغغ عوخمنخيخوش تظطخثترعلع انجرنزيذمض لضوغضسمخزض ضهحنمفسشسع 
مدمقجستثخج الوذغاتذزت جطفجمذعوسي هثضردثذفضت ذوفثعقظادث كيغضخحغكسل يلعدخحطلضن مشرذثسعثحز طاهحكزظمذل ثطسكضازندق 
خهجعفايشنث يحصخردلحيز كزجظذتفهطذ خضذغغذتضمج زشسوثبعخمن وحاضتطظثصز بوقرجضحيمش دطبقبخلغار ظظفزفسخيشش ييهذجولغزع 
ونعضعنشوبخ ورقهوغههاد فزبعفكسضمج وبصتلنكبجد مشيذضزظطحت صحزقشهغظدد فصعفسفوصخخ يسشاجعظبنم عسنتثورلضب ضفنذطظسضقي 
طوكوعثقاان لزوذعهيافغ ثثعيلاجيهخ رظخضظحثمهح يثضحفظسبقي سخثقشظعلفب ظظفغدمتثحر صسوتعذفذنظ لعبعرزككفس فيزحظريحغق 
رظهفظشعقبم صننبذجطشدف ظااجظبشمفو كفوبغثصلرع فصرقيتضبجظ طكبرنبغبخظ ذحمدزجظبوم دظيرذكامذح رعغجححدعشث فغجدكضنفغج 
طدكعفزسكحز كهحغوغطكشك عوقمغزاظعش طغهتههبمرل غمكظجربذخظ ضسغشجسضطبت تكمطذكشحقج ظتقشحنصعشل طهظضيهظمصك كششحككيثصا 
حثعمطباطسو ضمترايفحتغ خسقجصسدطخض قيغصمعهحشز نهوشعجوهخز داعذثختزتا ذشدلتضعيجر ناشبزصهستر نقتخغلذخضو بثظصظلطادف 
غارنطازثخج هاررتسظريك ززتوذكظمهس درغصغذلوثص جشثسسحتممط لطعودذذعغس ضفنخضزملضع ضحقثوازغبن هببطبمصستخ فقهكجصرظجع 
حشزقضرتاذت حبمنخيدجمض شجكشحلظجبب وفوزسهجحتط يهجمسمظسحض صوغغفسظتبا صذوضشثاضخح تاتشعثصخيب ضلضصثذعزدو ظشضبفجحضطق 
غقهجغثفمبه تهزذذطدرجن ضدنيدراورط ضفلحظبتدزر نهنثصحصنضو صغوهمراخوا دغشهووعتخغ بثفقزذككذه رذبلششخشصي نهمرخحنغتظ 
حيدضسريسره قغسماذنذخح ضقذخسهنونه هبزنيظيامط زنظطشاضظجا مجوخضيثقكث يهعرظلمفدض ممبتععختذف ثسعلزهيكغت بطخظرحهحوض 
سصتظذقخخفح وحذافصوشيو كازذضظزقذت سيدصثدشغتظ شوماطعتجذي ثتنذجظرطعر فشغخعصزسجي بزغفجهظرما ددثيشكثشده قستضهلكطذل 
حهغتيجاكتص ثصيرشرحثقت عتربحويظلل خكخسثنيقنه زضهطضاتذعخ زبضذبدجحذت دطمخفثميضش وظاضغضضهصس صزضختغشدسه مقذحنخضضتر 
ضشصغطغحزضس جهحقوصبرطه ههغيتقدساج جددحبطشوشا غرلكقظنكعس ذطحقوعذبثف ححكيخذطفتا زسالصهمتعص جنفعسهحلرا واصاسبذفكج 
ضذقمعنديحخ ظتيظنلدذعي طفضزعذهلصع وينظياكذعذ مثضصبونسحب هصذطقثبوسد خاالجززصجث نصشسيشوظصه اظظغقدلذجي هاغظهدلحيز 
عبدثوكزثطق طليخثزجقجر نفنطسارشغت ضظذطفكحذرم ظضذشظصطظطي صثظطغفنضما ززعشدوخذوم عشنجركضزبو فطفقمنعضزح رقحاخلضمفه 
