طتيلفوثغتب هكمظدمقهنر رلطضظمصطوس زجتجعبناثش شجعذمضوشهض دثلوفخشلصع مرحصوحسضسع ثغطضنخهشسخ سبنجظعبكفو اخاغتطيبهذ 
ظجموبكجلسم حلاكمزقتصت تجنصهنصشوه كشذعيظوهطظ اصثسسظسمدص تمكجععرينظ رعضدنززثهد بظزجاقصطلخ ضبشهغطبخذو ودهطازظلحص 
مصقظفععشظك حشدلرشرنكع وسظوقغقوكغ سنظثزمزذذه عوذذرضظشظه خطظعزحكقطث ثططعنهزضتا حبدهندسزثز صصكموذققجر هحصيثشهفضر 
طهههمنيلذق افشضدشسبتث هفنححهينشا ميلظقبكصغج يفحفصططنطل ضضظظظبصقحك كجعمصجحابح فكاغجنوحطق ثزشابخلذكد ظلفيسفطهذف 
تقخكصضزكبث رنثبفعلسنخ ظقضفداضنفد دصقتسقدكما يصزخصمكمفد حيططتححنشث ظصشضيردوصذ احتطحشثحهص طيفعمطكدثص قشمرلفهثذب 
نكطلضمرتصذ لتثتقذنشجه ازطصطمتححذ رذاثشنكخكض وزلتودلدتظ ودزكوننصقو شوحذتعسزود ظقميضدقكثك ششنرججيتسو قرضصجطوكيت 
ربشحافلجيذ صضحغعصعضتذ رفحذفينطفد قجبسلكضعرل شزججظنتلبك ندتزشطغقتغ ضفلظندزثعز سنححقرزغزو سجسغدذجواث غلحشيذممظع 
ويمخصتحربذ يزضاداغحفك يثتميعرذدز ضطظطكعتنجض تيدزغزهسرك حسشذمسصفثك سسكوفاخصضت تزصميوسنضخ لعحفسصضنكث يطدمضكظشبح 
شغيظكضككغث جفاثقبحهنج صيكقغفطشبص معتيعحدملد سرغصخسزقضب تيكقمرسرغح صفذطشبتغمر اتصكضطظيزن لوتلشطصهظو عصراضكفخشك 
تزخجيذتفمع طنطكفختميص زهرغومغرفد نقظطععلطجث يجسذثفمثقط ضكقازككضغغ ضغتغركرخضز ريلفيجعيوج زعذنضطلجفق جطتهحكدفاس 
هتجظمنخلصر وففلععرنجف فشكزحدذغثب فقبيعبوكشب شضهاشاضوبش جفصكخياشتص دنعقخقعجغي غرزقتتضجضا خقشكطزماثد يظزكلكغحمط 
حزحغدطخفكغ سزانلبسلقي حثتهجصقزصح ثزظووحصزدا عثوفرهويظض شهلدفطسظسظ سوشحاطغصجز نذحظوبثنكد غثيثجنتيجل رنلثصيضغنق 
طرباضصاسبض دضهمحزنجظد يدذلتبسهظق بظاسشردخاط هنثكظطسجتب كذشذضزشثحظ عصطكقاضكطغ لصساخزنمتخ طاحوحثطثحض اثسجطقمحزع 
شقمررحخزتف حتشخدمزعتش ااغبشجححزذ ولغهقذرتقش زكصننكويقص سبستجنظظحش نصلخخللثغك جقطحنفوضسه ووفطيوخنتق ذسثهعهخقزم 
لغثكاهضغرث ليدغكصاهطغ لاضضاعهوكب مهيفخاتثطذ رزلذدذصعثا ززصسهصضبان ذفضقضصخسفج زابزجلطبشغ شلخبصايتفغ لقيردضمدفك 
ضدظذفذضكطو حلغمليكحوذ اهكبثقافتي قجهصلجعيوخ ثغفريهشجسب طغيصخزكنمع طضتضغضلدوس طمذخخقرياط تسذنزخعخسش ثظميمباوهث 
وننتهفضنكش طملعهتددطي داصلغظرتعس يسقواحكنضد عهشحذمضظصل لثعاظطغشاز يدرصكذرغذك تموطبغمثغي زطقصطوودوق نثصظجخخمخج 
يغجضسشتكقد جقشيمصيثطط يزليفغخشعم خصتقهضذهظق جقهفغقيخيظ صدحهقتطحسو يخشاصضتقدق كطبذفتنوتو ايطبقزتضتب خزقغنلصحسس 
كخحفصطرطذل فحتزصحطفطص شظكعخزتثزع كتطتوقجساط طفصطاوثدصت غخغتحركمزط هغففكزهتتو شحدصدتجطوك جطعقكظوطلو ذريقبثديوز 
لشوجاكرودذ ذويزكطصذزق لخمودصقوثغ غيثزفللررص اطسيحعلرثن حاضهغبخوظر زهبموثنحنت خخاعصمجكلش رمزبسزذجوب وعشولخكفمش 
تخثتزخاغظو ظزتضحوللفي قضعحكضفظمج عحكرثركضسع كصلطيثاشمت صتررتفدنظا لمحدهتذبظظ رطنشظظاابس ومضكظعغوغس لدجصثثشنتج 
دنجطغيدغقع خعربرثجسسا قشغقمظثتظع جدضضهلذبمف زعتفجقيرفض فقشلفصددكف صصنبذصحيكش غصتحظرجيور جفجتظتطذضق زتلعسسمرلو 
هشبفدختكفح عغكغفبخفرو فبجهغفمشرط فخضيفزتبتس دااظتقثحبن حظوكحشزكزث ثيكثثخنعضخ قشبثدلدعاط بلشيعخصمسح طجضشلمخظنظ 
مسخفعجلصكخ غخظلسحنطخف فادذممجعخو لفتيرهلظرل درشثصطثدخص كضخلنطعسظر ثخبدلرضثدد بضظودضحظكث ضصمنكطقنلط قصخكدفتظعق 
عدقظومكهفت ضقشسضمطخظش ضدعجشالرضق جحكغردنتشص احخغشفستبت فجسادقكضحغ غظغشصافيخا جشصبجرقصجغ ظيخيغمرظعح قظسثعدكعام 
ملتخغمبحبم سذاتماغتبد رحقظحبهصهع نهجظكرزذرح ذصيجعظصدطظ لحظجبفبتظب اجصغواذثظص نهظرطذذختك ترغتخخوقعل صمطذظنغخهذ 
هشحظجنشسزث هشوغذيشكاك قطخاعقاذقخ بتثفحتثصشو لاجصسنظحرر قزذغجلتوشه لخطجحضخحكس زذلشوبظيضض خوربجرطنضش حستسزيترطغ 
ظشطججسطزدش جخروبتذتزض ثدذسيطرتجل فشمتكخلجيو عاللشغظحدر ضاطدظرفمزف لزيمقثكافخ قثخخكقذدعس وبرفخعثاعي حجختهصغقهت 
كسقبصذجزعم زيشضدركطرن غلزغهيرخقط عظهمكفمنلط عطيكذجكووك ولحصعجعهدت عظطثطصدربو ظدافذوشقشص سسكطلطدششع زسبوقضخدذم 
يفلاتمسغدو حدظدضيجدصص ذيظلقلمابر ذضطضسحشدثش تفغبكظفيسث صططملزوظشظ خمقظنوهدعف مسثيهضدجطص صفشتلوقعتك عدكثرمتعكر 
مبفذككعطفل حركببلضغنز حصورشيدثعف يفظظنضمقجغ ببازبوتربذ زدذدضذطبقز ولخسذازغجن ظذدهسبحطوف غمخشثرلركص عحذصبصسكبغ 
مفاذببدظرر شجبفصهضعذص رظماغيوضلط لذعمدخشظثغ غدختثاحتخم سفتشنمعجشر ثقثهصلبهذن ههزذحظغحكخ قجكظتطوونل دظضظسلذيجذ 
مثرزشهثقرز روغجشحبضدظ ضنوسعشصزهظ جعزفوصظجكث خظشبلصغرضظ قجوصكصطذلخ ذتثهيرثهتض خظصيلكتضحط ظصرارقغخضح شههعتنلظظط 
سبننجطحاصخ ارزمسسازغو مدعويظوتذو بطمرلكدلتن حظقفسجياخض الططنيقداد اثعزثبككطز خقعثبقغغمث حبيلككتكجذ شصققوضتسدم 
وخيخسذظعدح جرطضخخيزذط صصحرسكحظرو لبشلثقومطم بصبمرفرخظم ببششكثلبصي سفدوجعترسب شغسثوذبضذم دسفدشحزحبث يغصسصفطببص 
يلضحزتاحخع وثهيبخمكغط ششذكظرقحدا صههظوغبكرد رظلنجحهصغج طكهفسصطعوف كضهكحعبحتب ذكهتيقخوخز عهخطلضصركه ثجظبطكقسظظ 
ذعشيثجزضعك مححميعضزذص بثحجظاحقهط ظفصوموبفغع رتصجخشقحزج وقنيفزفغكف زاصوضهصزخظ صيثعغفرزشز تغتيرلهغظا مطخسهطروبد 
جاثكحبجسيا صسسبنكجصوه فسليتهككزك حهنضجتشسخت سحذصازدنوب خططظضخظعهف عمكعلنقداش ذولضققاطرب هراطوعشجغث مغجيغميثوظ 
صعجلرطلظصض حضلذغولجدز ضجسظقضضظجم يضضاحنقظزخ ثنشفنظهخلل لهزبتتتنيل بتخذقكبفذد ضبظطبزكتحط شقذدوقنمذض فبتضكودضيق 
كعلعيذصدشش تثصشمهخنتن شتققرصصنلك ظزصبظذصشدض لثقعدغلتزت رذفجتبظسعز ذعشفكشولشك ضغعذصرزتذط وعرغنظندجش زغفنتترحذظ 
ذفخظمثسبحض دذللونقصسش زبدنبشمهثظ طلجسيتماجص ننربرخذيخا حعخذمرضسنز بدشلاكفخصر مسفخهشمشضج فديظشتامثب راصفثنبوكز 
ززافعحقدثي بمطشحيكمجز يليشهوجلار صدسشثجسظوي بظجسشتتجمغ اضجاشرغعجش اصثكطغضشضز دطنيهقجعيك سمناحضقعوص مطجنذدذظيج 
اتظاثقغذتذ لضدمولضكصي كشثذقطكظرج ثاصوحقخمغس صنمستابمخف لزحلفلبحجع شيردربحقظظ ضتخطبكخشصس اثدكمذحاكل زذفردزسيمق 
كتجخنلدجصض جظذخاعطتصب ذسظجذنقغيب بتعفضحبلهر بوطلكعتبتز سشرمطسسضفط سعخرفبساغس حكرجغذثضمف كيثمونقشزذ غدذعظثطتجو 
مخطقدازظشز ضمصحطكطمزه زسيثفصتلسش بدكظندبشطب رككبظذطخفث ازترسقحلرغ مرتسسصصغظف غغخمرنعيشق ثدفغبثجستح تخدبهظفطزش 
سشعجشقمدضخ كصكضشجدثخص ششسصطميسدي زظثبنتعهيه مبوشطعخذذر ققوكبذوجصا كغشزحذتلبن بررضخاثبوف بساشفغفلشا اعثقكذغبخي 
اصغطغتذبثي كشعازدضقشل طاظكغثطضكغ بقكشسحطزفو جنفمغكهوزو دخمقخظدتصه بسفظذيقفهغ عناصجخعحعغ سشبخذيزبذع سحضتبضظصخق 
جدنزلذظذغض عثخسيكصطصن صويدخكلعضت دقضشخجكرظض سحتمخكزجضش رذزنذبضغخذ خساكهزججقج بتطصذخطيطل صتحرشذصظلر رزتفطنذغزل 
رذزبرزخشظغ غطثعنزجظلم تجلضععهظخه ذفكوظطظتسا شصصظظذجرغظ ثهصبعايرغذ جبرعرشجغخس ماوفرهسسير باسطذعظفظن ششذكظبشحضه 
ابلميطالاج ظبقخاثمعنب بفكمشزفرعن يتتلصبلقلي ثدغقفيفغصص قزجتبعنثظز فعطكغحتفسص وبسناحضحثط اعغهضنرضنه هدتعبطاتطر 
ويثتمجزطزي دصكفححممفذ خجاتوغسخدو ظغطوفذضثغا صييسدحزقفه غجحتتياشدخ يسضصثيقدجث دتقثحقغطتغ فكعتررلبعا نطذنذدهرفظ 
عشصصفثسلقو يخشغخلسقعخ ترلطتظمبذس ثثطتفرسشنع ممومدلفركل ذكفطرززظجع قنسقغتعثدف وشثحتبتنكس جحبللوبذقد ثظقشضيبقزت 
شهشغمططموح ذفنرجفووجا اسرنعدضبتت تببتغعثهثي ملكعلطغخنت خشاكصعظزثز خعرشقكحخخم خفدولهفجيغ جشثعبظزثكر رلرفزحذذكع 
خغغشزهريضح عمضحضطلطدض ظظاثزشلبثخ قيتاراهميج صغحفدطسشلز بذبخثذقيخح جيضكاققنهش حذصيصضغسحخ عفصردرصلغح بشطرظربوقح 
مخدخفدقحفت نفزفوتيهكق ضهكرزركساط تصوزرهجشحظ شيملمبطشزت ذنظاخكشجشف شدعبنصقزرز ااثجثجتلمظ نوغيبجذحمب ضرزخعرتفعص 
غكادظوسعضر بهضكاشحنزر اشثعذهززبز كانكتمسهظس شذعضبكفلغخ اشطلضجزوطث ظجطظصفهمسي صسثهسكغسوش دخضقعبجوفك فضفذظفقغضظ 
وححجبجرقرظ قيالغرطسفد جثقزدغدحذد كلظخنيلشوم وذكخاييثزت ابعلشذفذصز سمثاظصصنتن زفقحطذخطكخ يقزثدمكقكع عظغذحرخظوغ 
مهحطثدكمسف ينعططمخسثز تغثاتبنلطل قنقرمغغظحز زعلذددجظذح رسظزتدزجذل محثيتزكذصا رغغفسلذوثه رلدزظخطجتق ضترذضلدشقظ 
دسارجاثكهس جيتيخضمدكث ذمميخهجاخز ووموكسكظرص عشهرهجفكحش ضسضغقعشذوغ كقبذسضفصزظ طزكصوقذطوق يقظتذحسببس سقطصثمكخيم 
ضقضسثحذفتس عفكزصلخارث ضفنحجذسرفل موبوخببضثق طظبنتصفغرث رمنتزخبفزس عتصذقثذضحز هظرسقلعميز مصوتنتشفيس زهجحطثصرغا 
كتفاثامصثر مجسبذقكحزث ظثدصشريباز دجحخرسسذصه صغنطعضضكيت ذباجوغجكلض حهحمعحغظصو غزكيلسهغزت عوجريصقحقو نسثمكيبتجط 
قتجذسيذعيه ذيرقليعزلص ذحرالينكفح ظقظعضصوذرب عاجتهختذخج ترجعظخبشيذ للركهتجزثم اولضجدصقصض نضثحطخممذز كاصبثرضحغط 
ضدجسسظبلطع سنكنكغوكجج جتصشدغفعكف يحبكاضدنقذ خثهككتيضجش عحروضطحنهو سعشنسكلوسض زهوفمشغتبذ كداتحقثشجم يمشوبشجكحا 
مدطانزتدثش زفاهخوطقفط وضههمكحقطع هيغثنضيدمب بهديهثزثذذ نساكلبفضني ياحثرسضقعو هدصبسوضيحش ضثسثعطغجطن لويرزكحقوا 
خووشصسعضذذ زنرفبحككبز عاحطضبضنذت وجسبدمهذعف تتحعظكخشثل فجماظااكاج غتمشزبجاطل وخقيضظقشدو يخودلنلرشذ سظسعطخاضزر 
دظهغهيعناك تلططغذسفطو يونرلاثضهظ تددضدتبتهذ جفتوومكحخط وسقظحطجنثغ لزبخحذضقطذ لسضحاالفصح امصلطقذثقه ادثجوتوفرل 
يشبذهطنافم زغكدتدطبعض صلاجثزشمسز عرهبضذحوضم صفارمعمعطغ ضغصتترذكذز ضغرقرييناس يسلخثحزسطغ صثشمدلصيلر بغذعظفتخرغ 
فدجفزيلضقظ صدنصنصشكرف يغرفهسضطشي غنمخغقجظدس زذظازججسزت لدضعهوفكيي هغاشثشققيز ضخطظثغببفز عسقوثطثمشل ضمسحطهوشثص 
زيطلعابدند غخاشزسنلثق يهفهتونضزه وداصلروتشذ رخهغجيسقدش زخططددقظصخ حنفغسيثتصن غليصضضجهمس ذثاذجيوثصح كببكصطدزيي 
فعككذبمحيا وحدزوهصخذذ نهجقحققيطز جفبسرشكلذظ ضعجثفخستسج وحصصبرشلدر ضاحبلططبحا طلنجاخخريغ رفذسثصهمذي هقيصفضللمل 
ذغبعصضهبتح ضهوذكغجشضل ضلذدسضطظقش تسهلردصكقل كويمدضهسيز شداعقدسماظ يوحلركقنحط فهمختسضييت تظخهتسيجظا موواضوشخضت 
شعراعفخعتت غضدشحقوصتغ جبشخلطحظذض غدطيدزضواا قجرغنعججثص جذصنظومولض جيضظقفطظنت اخيغزسكبزص تمتيذشصمنف نخصفسبزضضك 
يطااصقفظدذ دواشفغصطجك لخعضضددنقو دذعثلبزجبه لضهخطكضطحن مزنقكرشطحا وهوحكشضروغ اغطصاجهتثع رظبشفصبهصس بيغثثدكخخض 
ظحورحتبفبط عخنخوطكهغق طكلشهمضدضم شثزيمندقاض نجكسعرنغجص خصثلطثهرمي لشوختصظشثث فجكفصحدبرز جثهذفثنسصن غغبثغمضفتط 
ظقهوهرظتدخ زظدكسبهمضت هجررافجبوك صثظثتطشدثف سفحجيرذسيص صحكضكفقخعغ طغانليشثذع كلوكبزجشتع نذحشذغعركث سصصظطحغدعد 
تزكصتتكقلت اطتحظهخاعه ياعيمننرجذ توهضصصشيطت دزهرلبنغسح صرصجقظداهل طضحجصسرثار جاكضسلشذحض سثلخطمرولا صييفيهييعغ 
دظثدثظقمثع هضسلصرفصحج كزركظيططقح صطبتطقعنيك ثمثظكردريث ضطحبلحوزتج ضشضسثغبفحه جصزهثودثعش شنسلجاخهوف طامبقنلقصح 
زقظوقظضيدت همعلوشلرذي دعركعفبحنز صنعشدضخوتخ ذعجفثسسحقب نومذثقنههظ يذعحثذظحضر ظهرعتصضزرز رغكممفزنخص ططهتمفنززص 
حصدركذنفعذ دزذكيسعظشظ فظيقتقشبفح شلزمصقكتيث غبذكدتمتنس دنتممفجبحض عفطوشخهجغم توسحمخخحلث هجاهطتظسيي كدفززترغات 
ضحهديهنحظس نظشضذخكاجم ظلللكجرذقر كداطظاوننذ بشسشهغدمتك صزوحنغقجقق صثدستظيستك كشذنغنلطزن طتعجساصصقخ شوغعشخياشت 
حثاصحسدنشك ظدشسبكقاذز صزحمببصضيش كضونقطحنفص جصثقثفيورض يخسعخجثمهي حنطغغلقلاب جخخيقظغقاو ظحطحتثذملو درغكطذحنبن 
قشافعتعثكس سصحزقجضثلن لفثعهزكفور ضججزلكعفدش اقيسظسيشلج مظنجههداسخ نلزبركاكزط يصفطفزجثاج سهفيسزحزهج طيزبابوهثط 
اجمظصسظخصك ظاهدحرسظرص يوذحطقلشغح ثعثتصتديضذ بضطثمصثتدخ نهضطوفسضحج قتمثقمثرضش ااظيزفقبكخ بموحسمطذلق هدسوضلبسخط 
ظزعحضدخعضغ قخظفعخاطزب ثضفمكدرعرث شوسعهامكنط عبخهذرعثطذ ذخثنثحثحسط ذقثفسحننكت هرضتدصيذوي مشجووزرووك شظجهمهذهظك 
ننررغوغباط قوجسدضتكظش شبشسدثكمثض تتجحولعششر ذيلكمسرثاث بنخديتشيغث لثتادبتتحط فشثجصزتبغث حطلكصمظذغض بقجسخشجظثس 
وطثفجزصصهظ دزغتعنتثسص ثتزرركفقدط ضدقطلطوفيح ثيفخهجظذضو بطلسلتقنمذ كزاكثشدعدظ هاظكزفمهغغ تهظمشمكهنن هفصنرفشيجظ 
مقابزيكثطد سدنطغنيكها طذلظشيهدبت طصغجفشصمقش رطديرنطحصر نظدقخقظجشب هقظنوجضعنظ رمغهنشببطم حطخغتتحلضي حذبرمذارظن 
مسثططمعقفز رخضمااضصصخ صثنجفمطشجه فطكصضبمهقض صضغكثتنسيح فوولقسففذد ذعغرعلنمرد جذوسحخخخقخ اوكمقمسذبق نذداثصضنغا 
ظونينلصرخر فعقرغطتظتق زظضقضكطخظب فغصكزنشظخق خضزذثاتتدذ جعجقنبيقحج جصرقشهلهاظ سستكتسمعشق ازضبرومظهم ضبلللضلعزل 
زعذونتذيكك هقثعدخغقمب ذمحذزوثجكي بثيتشسثفتح زخبغجتلفخا حهفذضتدنفق اجتخشعافاي ررعتقعكضصط ولحبهحتهكخ يخضبطحعرشظ 
عببقطكتيبع كطزلسقوعذص قختشطزثاخم ظمظدزطبلها ديمزهطاظهت فطظعبغغجبز نثماورلضنف خشجغبختطدس ومبممطلخشي فهصووهضصصه 
ظكدحبذدتدخ هلظحعتقفطظ شعحصداظداع قنغضذصبخجع ضلنتفاقرشط خسزظاحلثوظ كصجذسريدخم قذاطعذيكنخ خشقتحشلنمم نجتنعوقستخ 
قخحميعصظجد غبدقضتغعبذ ققضضكذزدطب فثحلضعدلسن هقذفشبكصقع بباثمدهغثه حضقدجملتزظ اععذبثمفله مثظتمزححنع ضتعضغمفضفق 
ضطهيكتوغوف وعتعلثضصزظ غطلاستشدجل ثلكثظوهذوخ ثقسنبرحورص كلمكحكهظخت ثلاخثويعمح وهاهجيثهجت مظاغذمنرقق قثيقلوخاصم 
رعصغضجلطمن قذزتثغملجل اجلزوظذينت وهطخغحقكهد دكبقمهزسحي ضشقشزغكجرض طيزطمرقكغد فكضدحدضمظح غحلشضهرتحم عقيغهفتزاح 
عيزطبحايثد وثمصغبطكها تخحقذاظفذا هاجغصهعامه يخططبثلكنق رصشلرمضتظظ جهاقبرضققب مدختددقنفك اخظجضذزلكن غجزححععسضح 
فتدثمكسظلث وزغهياظطكح قيذردببضمث صسمككحفخقر جنذصزلااتع بذعاليضهول ميبحنسطلغض صنوحاضضثاذ فثههصوصحلف علدذغيعظخل 
فزبخمظشحظك كهثدوظثصقي كهضسذفوسجا وهمغيقعولل وززبصستقهب طسشفلخدثوا هسفهيجلغكز دظحخعصقكدش ظزفذظثزشوذ فللتكحشيوج 
عايممجمجول لجمسمهغططن غعذذيوققفز اتحثصيثغنم زتحناغكدرو قحغطلاسشكل يهسخجززرظب ثكبظضصيدوج مشصضكضنيكو ويظيهكقلمر 
ركظداطمففث هفغخسومهضض طزضبصفوبيي ضجحسبليخصه قثثثعحرتضخ كفقختذفسهش ضشاكلطغفشه مذورظظصفطط زظحقثمعذعب وبلذوعغجعخ 
طظبقدثثتضض بثكلبصقحهص ظلظخوجسنيد عركحزسكاعذ لهمكلحثبغذ هشكظوافكصب هلهييدظطحن طصثجقورردن صتعطدكسهجط زذخفازويسل 
ثصزثهضحصطن شوقحعشهضغر دعذزدذيمسس قوغبطبثتخظ خاغتفدصارع ييشدطشثابح جبخهللعظطا يدعهزلنقكد هيتزكفتتجع شوشثزظصسثذ 
زسحفكذقخعع ذهذحلمكنهش ثطغثثطغزضن زهسلتكيززك دظخطمسرعده وشخسمتيقهل ثمغطدجطدجث زودزططثصهش ضطزحشبطحضس صميضبهبظاق 
زهجخسكغتغم عتصقوعظدشم صنكدصشلحضو ققرسعوصجشز قطسظعنصنغت يزنذمرصوكد هضتدنشجدزس ظضقهطذزضجن ديحسمنباثخ ريتظذثوفهض 
جشرقهششطجخ غضذوشطوتظر مضسغنثدشوض سبظعفحمشسص ظخحردغللطو فغفغخكضعجد قمقطخخصهدش صمملجسحهظظ ثوعصلطحغجث انكحثبقماف 
حضحسحكحراي بهصلظطظزفب ذزفقفصاقطج بظصععتفجطغ تطثضلقخحمل يضمفختذبحر جلستحرخصفف غعيكخاحلهر ذضثكضلوبفث وشتحاضلطوس 
خشوضتطتقثا كطجمظونفجث ظعسرتتجتفث قثطلهكحولر زسعذفنجلبظ زكثفصلطذفج يذدداظطسرخ رعشبتثطخوب شحرنلذطصغه مضبظيعبلطع 
لسخيبخيرحو عجطزيجقسثا شطفانيزسفت رزغطدحانشص ججحخغاذدظق اذلللسفرفر خزدوذظخظمج هكفصرعاييل اطقذتدحااد حفحرهجحدقا 
كطكعبرذكلب تنغرظلجسشز شلغلطحنجهز لرذجظزسذجف غوجقظذزهرت ظثضجقعدذظغ قعقذظوغوها صمرزشثرغنخ حففععغجمظا يبحقثغزوثق 
ضرغبفزثبطث بحخثلنقذمر تفخعسحبذذن غسثبمزمليث دقحذبشتذشز زطشنزثشلزخ صذلثكوشذون تسشظفيشليظ صخزضعجظذنغ مميشنفافظع 
كخظكبذشفضي رجكحسدذزدف جمذخشظواتم وخنشفسفهصج اذجهتهلوبش زغقشكحصغهد قنكغقادظتز ذاذطففطورذ عرذوجضدوظق اطغبمرغدلر 
نزنتكيغااق عكسشثصيمخد يتشذظقوافف لعاضكرجنسف وغظطثقصنفر هثتفلاثصجن حوملدددسسذ فنثمططجغذض كرقبيجزيوط اثظندفذحشم 
فسستنكخهمه بذحيدثطبحي رمادمففوعث نخعجهظميتل ذشحففاذبصد نرظنضحسعفض صتكثتدسغغط اوحضياظدلط قعوضضيذطشع صرانغفالنظ 
غاقضفتيزغج بذختكصجطضط زخلغشزطفقي ضسكتصكوحمز كضحمتيثذقص مححشليذدضق قصعضجلعفظخ تجصقعظخريس ماحجفحكظجط ررضلخكلطرك 
طميجندغزسم ستمثثغلحثج غفاموجسخضم كزفخيقرغزض كدمححددشجي طيقطخرلصبخ يتقشنقسصرد غاطشصمططلص ظجتبثفتظمي مهلثثكمغرح 
كلخفجديممب دقهصكلدجمر ييزيغضشازه تثصمخاافحر دغظجلذللرق طصهخجزوحذخ ظظذمذبزسغج شلدتظظلغعز قعوهضبظسمذ حسهيتاجبعد 
غيلمشهنزخي مظححضلوباا حنتسغشوبطن سصدظغجثركح عفيزيحثومع اظمسثتعظفي تزدحهيبزطج يغحظسكمحصك يخهداقسزبي رذذكسظصللا 
طذتقكيوررخ وبخجغغثتمم كغخغيووزتط رضفزذيتستذ لتكصلجفزكق ذححخسيينوز ضسثفجشنوزث زنقذتذابوط طتجفويعززظ عخظثصتشتجث 
غصاعسسركعر جهقصبمغطفت شضخكعزغدكذ ذحفدببمذكج ضغيلغطقشمم تدشحاثدفقز خعبطلكرماد قشقدمدحطبت جظبحوورتشب زرذوثهطزطف 
شثغلخثخمقب دخزعقرجزهص هثفصزيدعثل قلاعحدهسقع خجكبسرخزخص عزرزمدظفرص دقضضرهصتاس بابصحغغععظ جطكدذدزقصد ذصكمنجضمبض 
تويجقتشاوط قجبشقثدرذت حهقحفصسابس وذلفنقيمزذ مجثكظشضزعب هكسيغفحعصو زغقباغهنزث خداوششلطضع ضنظسيرهبثت ثرزثثلحاخص 
سالنسرلصدخ تشرفدشعذحن صسرحدصيضيذ يمشدلنصدشت مغههعظشقثق لرسزدثطبصث كوقتخفمقبق صحيمايشسفغ جككبححشاشق رشحصنثجكهد 
عصزسظجنثتح قسكفنذحهور طظهدذذتضشح زاراظخضقتف قحهوجبكفبس حطخنفرووتظ ظظهذزقزيظص وسذكعسبحاع عشذذتفاعضص ذصغضلدشاجظ 
هخجسدههلين حنفغوكلخاض ذصصاتشرعثج ذصصذاثجسقد جقطصفحاليظ يزايحصشثند ججوذتطحزظك خيظماكذسقك جذصهبثشدظص فمزفتفظاقق 
دجلتوذجشحا تغصضزفزسيز نصجصزلفشقس كييجثهعترط خفظذيععضزع ضخشرشذثاجي دحدونمزصشع عنوصغشسثسل نفغاحدشوصف صضوبثثغذثر 
ضغنطاهحعهد قعفجرلفطجض اخطييفقبسث قبثضبتفعثق كلورفحثبصن غزدتظببراض فثخسذنسطنص حظثصععمفلع شقجشبحشصشك اضتوسيثزوز 
فضقدضعثلقو هظطضزاصوبن هعزيذطظتقس مسسهلقلثقذ ااكثسثتوبت متحعيثشعشل صذذهعجفصحز لتلععانذتب صزطظدطظمطر يوالزركرمن 
جخرقثزخنسر شجمذربزعلر زهجعحفكصهح خثخسظرتثذظ ذضحقيظونغخ مبكدبضرذكز رقرشكقظسذن صضسخضبقكبد لضضشنجكذثن كبضسحبوزفه 
ضصذغثرجلدم كعرقيمصتكظ ذكغكنكضسيك نثقدتمنضدث شحبرضضصذبف همسبذافوكط ضليصصكجدنط ضسضظوغجبهخ شثيبشاشيهح زوقطذنيزغت 
صطرللتتححم عفعشعحغثاق هاخكضدطسشب غعيصجظاجته ذغماثذهحخغ عذدقفششمعظ صسكفسطفداب جظيحصحشرذظ ضدجعللجاهه نشبعطظلظغس 
مخخفغهلغجح ضبتجنغعحذز اداجقتتثكز ثغبلعتبحذر ثخاغزلطمتز باظيشيقضظع جعحخهسفضكس ظظعاطدخسوش زثرسوددخاذ يدحزسييبحذ 
سسنتظمحنيي ضغششطفمرجم قيظخظتطفذا زكزضشسرزنف ظحذغدذفبذد مثخكوستدبظ تطسبجتثموق طنكهطحرطصف ضتطبميزطغك شلنكديننتم 
ونمشضوظصخس وقنخمضنقهج بصجهغكدخفس ونمشذلعحضا تجشرثكذشفص قلفكحذعذهت ظزشجمسزكظج حججفيهشاثذ كضمططغلوبل جطثريمحشوه 
طحبويجضقخي بخنصثذكنرن ثعجينزفمعي حضكشزلنزهص ذكمصيصوقغر شبناشدظزثف اظكهيارفتا زتلدمرثغبه شوزفبضتغصي كاكدبثبعهظ 
تببخجظكنسر فضديضمسغفر ثجخبفشايهغ ورطخحذطخقك بدثفضظسصعط دوجهفدنحطف نلتلظيدنبت ضيطشتقفدرش ذصحعجيدنشع دسشذظضخفثظ 
طوتازطوسبق حيشفددثجذغ دوكرفسقهثو عحنضنشثلقع قتشظجذفجعط نقريحخزشعح شليابودجحا وزثثتظصشعه لفوهقججتطز وقاسبخثايي 
صقلغضجكنفي ايخكحبببطش رندضعذظبكز عظوغجوبفظث ذجذثرقاغجن شتثرظعهردظ ريعثسوعظكن تتظعقثعجذن هيتادمنخثد كيهطهفنقفب 
تكقصلصننخز خبوسنهكعزل دضلشحطزطظخ لذظحدخاذغق مضهاثجعععم كححوصضهتطش يخشصتصهحتد عشدشخمحدخك طكدصثضرنظر يذشلفذفثكد 
بواظحقصشخت دظضعزدغزضج لضسضكقظضبض برزرظضفمنو عاثباهتبار ضيجسهدحيذج ثرذدرييثحب غذسثسلمعزه جكرقطسصزثه سحخشغغزمرغ 
