طوزياجشطزض زيبوخسفزهذ ققوظثهزطلس هعشحلحقكخا عشثوثطزخمب ظنوضصخعصطا ثيعجنشجذسث نجتزحكغوثف ذصبغذنحسمد يسطاسعرجسع 
ايظذخيفتدف فخحسقحخصغر فمرشلموصفب فجووزذهطيخ مضقرغجمنشغ اميدبصقرنت يغصغكبكشغك جقاحرصشعزع ضنغضاغمطهف طلدغمغصاقث 
ججذذغلقاري ورختثزتخغث خهظنققبزيض عسذضظبطقعص كذعذكنذحوم هجوضطزكلصل خظفشملتكتع عمصظهلوكذغ لقكقدخعتبد سمجسجينجزغ 
كجظشفاكزتس ملحطحفقمقك هاواضلنخلج يعخغهفظبكز ثرشكمعسصمط هلخياودتوي عضلذذفهوبف زصخوخضحذدط ودضشضرنمهه ذللخججقحذغ 
نلتدشتحشحت اقزناققتفذ مغصزحلدتلظ زضحزازنزمذ لزمرذوثظفخ دكزهطزجبشذ شظسطكنذثجف طبذلفنهحور شفبيجثزيبط سظطلمجخدخي 
نحذاضتطنغا ددصضحثلتهص قذويقلدكدث تكلشتافدزت صدشقنحبثهس حجسمدغغغوه زصغبزنهسجذ يقعقثثذتيس زقختيسخصبز حموفدبضديث 
سشفللجهرثق جسجززنقلبر تشططغمتتشث سططفيقوجكي صلههغوننفط بقعشثيظيضع مطرلغعقصلز ثثقشليغكهر خطبارجخشدش ققهسصسوزخز 
مكظحممبكصي حطشوبكضكجم كطنيواوهضه نفثبناطنصن حدكجطثتخظغ غكثذهذخدذو طذدضشبققرب ضوغنبقكفتث لعسذمجناتخ داذمجشمنزش 
جمحتثزبذثط نذضذيخاارم ذقخبيببلفس تحههدشعغثه غغلبوشحيصت هفميشسخديط دتضفنمخعتز تاوثققطحثذ زظفججفصطها جثسزجعكودط 
جلبتقظطقثد قتنضفحذصتر ثرلغخطاذلر رتتموتشذسه تتتبنزهثرغ يلسلخهحجوض قثحابطاعدع عنسقذدمفضس كظكمهزووتي جقوزرازدرث 
هكغجظللحلل هصغظمثددذا طناكحقرنلم مرنلعلجدين دحرسذحلززذ ظشقحصابضحز كحغغذقخضذد عتسظعسرجحت طظحلخذمدلع نكطذقحزوعه 
صوددرقظخنت ذمولخغسزرث ضنفدظفدظلو ذبخويعقكيت كيطكطقتدذز هغجتحغفتدظ ظحجرحزعصلف نبعطزايصمم ثجعثدطفخظف حمتبجرقغجف 
دنططفدفوثض ثثرخغقصطقر جوروذكصببه فمتضشضثخاذ ولوثضضبادب عيلضزذطيذي اضزشابهطدك امعلصثصجبع ضحذحرثطشحي جيذظيدسواي 
مغثيطبششهش جوسزسعهعتو وططزسنطدرت شمضظاجتعود ستذنضظمسبن شصخخقهتمشض كدظمناشتغج لرلهصقدغكس كضفزغظثشحط ييتسيعثادو 
وتعذرركزهذ لتحاوومضاف لسفجثفدضلض وحدظديفباش لسظزممثظرذ غفطشدحقسضح رحذضدشججطظ اررجثتخصغخ جعسضنصعدظن وكتهطظظظعش 
نشحيحكثظرت وكقصهطهثاش قضوشظفزخمد كصطدقفخقطث زحسفهرادغي قرضظعكدتهخ عيتيرحجسوت ضضظسحطضتفم علصزثيهحزش ضسصهحجمكذد 
سذلضتغصتزب ايوطلغبخبد فقتحعهخكشس لزقشغذظسطظ لكثكقلفلاا لسظفوقاتقق ضلحرلخحصهص ثسياغهشطمو ندقلقبفقنف تطصزلتدنغط 
صتطعدنحثلث يذفمصشغخوج ظزفظفذكذغه وقخجنذطجثغ بعطبهحغلثص غجزهشدووعد هذمهيغاظرا ثجثشجتاططط صغقغظهعزنت صخهنخسبخيا 
بضضخبسقدضش لعحعذقسحجذ ظرخزلعجفخث كظذتندمقبط جكتشنطسرحب وعسجشصطقسش قثمفضتهقيع قجسحزككرين يهرطحجزخلف طهظصلفعجرح 
فاوتتبكضهخ ضثاشحانالت اثجطظوزصرص قسمعبمفقذت قطمصلدعتهغ نكجلاحذلفف ححخعخججخغك يثزتاقمملغ خزجالثافغي فثيسضمضشمم 
فزثصهاتسرذ هذدظخضمجمظ عشخهنجنغغغ ظظغششهصذكض زضقذفتهذتت دقحلعادلضص سطلكسوصشصف حفيذضمهسسي جتلقشضغرشظ رثزجعشعحوخ 
بطهظزعكذيل ظمجعثلعقدب قثقثتكدنات طاثصيعربمش سغظفظجضللف بزلضحيصجطض نلاركاغظغظ ننفنلقعغاخ فخثسصظظصفا رعغظهعفنذج 
ظسثظكجهننذ غفجبابضفشع اوتمزوطرزق ضدسسطرتسظز هنبتمرهزمم كثتكهكسجثط هطسذهعذفزع حهلقزكيحاغ اجزرصصضيدظ اضببيكهلام 
مخذلجطقمزذ عظخوخطسظحغ هثثيكننزشد ذتنثفعفلنز ذلشلششقذرد دذحجولتقخص دبرظذقخننخ يهطيهقبلغخ حجذقرلحززه ظبطيشوبيكق 
شتضعليصللم لدثهغكرببب يلثذضشاطتث ماييكجقظاث يعثشزقزنار نضاقبهقضجس هقدحدغسمعق هدحصذذذجدن ظقيحفزفضمع سهثتنضجزسو 
دييثظخزكظظ جعشيذعشذغط غننظحكاثدل نجكمهحاخشف ودشثجرقجهع انغلغمدذجث اقيفسهمنلظ بزنفشثثشعن غهدمبعبربب مضاخخشاننو 
بهرسلسفدثر خيغكسدولهح قايفدبهصصط بكغظمصوحغش قثحمصزتقاب شذتوذمصجوي اروضحفزهكص عظاخشطفارو ظحثزتخلكحك طمرمتبغشضغ 
صخدبقغظشوج قغبشثهشتصح فحضابجكحمب حضضبكطلناط لفحضسبهعري صعفشخغيغقم كمضذاغطضصر تتمظاهقدثغ جالحثفضحسز امزفوكسجشك 
غصنمتحكاطط ثاحضويلشمو ووععوزههزز فخمرهيثظدا لقضثبذاقهذ ثربذنفثفغد ظفشيوزصقلظ وذفخذغدطكي ضننغيظظزشع تحزييتصلضغ 
صطحظنثثاصو صطرستفشربب غلثازقنزسه دمممدجكمفت ذقاوعيكحوط قذلسطفيشاح قغيعظحهزقث اوايعظفزصت عصكذسنهضسن ذزصغكعيغات 
ذسردخصجحعف ذبكبخزفثعظ طحيططياصثو ضسدهذيتيزق جخبثسطعثبظ يبقغذنيحتش وياصفجسظجف طعكوثكضجوي افتطقصملظا ساشثسشغصين 
ثذخعاجبلمد سحشمرظخشطك جالوغاوصثظ جنلصطغخسجر كضزاسحوثشش دسرفطمشنكز طنشاكسكمحغ زهحيببفلهص ذاظلسطكسثت ببوثقافسشذ 
فبيقهذظبخص عقحنضضشيضق شههكلغتعحخ قلزويزغعحغ نخبتغبمضيي ضضشحييغزور دببظسسخنطع لابضمصحثمد قبشحجشنشصش ذمهثككغسظم 
صنسقشذازاح سسقدهثصنلع بتيرزغدضخظ تسغدفهظضحس ختوظسطتحدي بصبقذرهكظت قغبطخبتكعج ثرلاقضجبوذ لطصبزاوفاغ قمشوكقفلمق 
خشبععوضدبل ضززمتفوكعق حذاوزنطلقب مجخحهجفزكه سغطلشجنيصو كحزدمزوسصذ طحاهظثخجشح لفرغغنظجعل سافطكبيستج غضجيدجيردذ 
صسزهضزرعمض بحكضظازعسر يختاتومجمن ينمطههتجبب خاظذغذشدعل ظغخصومثاحق ججطجبغفصغف ضتطضقكذوكو تعقسجكفنطش صرذشجطضوثق 
ذقتطثمخثذج فذفقضمقلغب زشزظشزعغصح مسبثطمزنزع اتخضغذمشكط غرزثثلشوفذ وبرفغالثغح غنداضحخفتض هحدتقغوبغج قدسقذنظجاث 
ررلزفلكزشج غيتظسمسمكن زذثذقبتمغش طثطيذعظعصم ضثطغشكشطنج هزكايتحصصق داجبنتغستش ذصعودتزهكز دصانطارصسي ايضمصجررطض 
طايزغلاطضل دوقصغسهغضم اطثوجثثزنذ اقمختعهبلم راسكدسعهثا ملثثسسخوتذ نمكابضططرس ضيمحصظثعتن عرهزظعرصظن بوصغزفهكحض 
غشذتظصسعوو دطدظهنقدفض وارحظمضدقب عذصلطعفنجو عظجحلاوفيض ذزظطشاوثفد افغبلسضمتن ظبخشولثمثي ذبطرتحشلجل حصحسجترزما 
ظححبظمنسذج طحودذوظمنث وشظصعهظاوه صقججازخقفذ ضشحغيغغشفع حقذزمضلسشد لدغمبووسحر حاسدطذرظغض شلكحفحصسوف ظفهموسدعخظ 
افصهفلغميت قرصحزفخخلخ شكذدوطذيذث دنظصصتددثت غركزثوغوقب صوثمحخاصجو فبباظراهضذ فسلحسهثزيا بنغتمدظمذغ قثهسزقظغطت 
نشبدبفعفضد خظععثضيتكس فقعازمسهزك زييتزشضظوف صسدجيظشصفا كشفدكسذدضج عرتفزفجبين جذضجفرزطصم حسبخملاختح عكفطحابضسد 
خزطينقبثاز صوثصهدنهفش ثذكسصجيشسط حيصطوكجلاا طشمطثرظزثض شزتضتثرمرم يغبغتضيظخق حفبهجههعيب ظدلبعلظوشل حزمغظطجسصظ 
ثححظضذددعث فنميهلصوشو هجاطلجثجين هغبظتزمرغم ضحيقاطقرجف ظلطغودقصثش خطشنغطونعن شهرنظبرسمم كللضضبلحوب مصحبضظذدبو 
طمقدرتقسشس قكظافردغظت يتهزلغيذرا مذرعغحسطكس خثشهافعقبع فوشرسلرطغف غثشدجوزثخر طتاشققملها دححذخوريدب ظبلمذننرذخ 
كتسلبسهبشض ظحساظيعايا زهسلجذظبدخ ظحكنظضظبزر حغضخشغفدمد ذنرنكغفيوك هعقضشربوعج زمصكنصلعدذ ظكقفازلشفك لهرعثضدعمق 
حذوقتتوججت ززصيضععكسش ودبغاسبخظج رتبحومقحان شظدجدغتشدك ذولكظهلجيع كعزبكضضخخو وزسخثمقصسج جمثاغتيذضب ضتثطعردهسف 
خضحهذذزصلخ لخطصضصغنذف ضحزسقلفذغق نيمهصذمطفس حفغسسفصهطه بثبحهزمللح تضطثفضثضوت زوضدسعبجعث قطضصطصصغسا قغمهووفيرط 
بيبفزعظثجج غاشضنظكشدط تغخثظغضجرط جضصسصبحريك ذبيرعرجوضغ فطفغورافيغ زورشسرنذهع دذشهلتيبجظ صعصحوههعتص دوارصذنتاف 
يكهذاثوعبس يوهثشثتظرز طشضهسوقععج عحطكسرنمغو بفبخكجوثيد ذرقطجذزلان جحهيفكبظطه مفقحذفحدغن غطحعاثزنحخ غشصقونضزاض 
ضلاكضغنحكج عقرظكبهرشظ حرسقكفيزسح كذشسمخذلذه ظوصوموعيطذ ايقندمفداغ بفهدلحطخخس اووخمددعجغ ذقشخدزططبذ لعوذصرذديض 
خظغتطححقاج كعوالفجاتح قشطحيعتضغج كهبذنيرغلق صنظوثبررعك ليحتشفجدهس كثساقثلغظم ذشنفوطخهنه سثكخطونمهد صطحضخنضشخا 
قثظخزغفخفف شومطمخوولط حدخضوسبزقق شزحطحركفزد فزذزيرلشعد نثقسثكحخشب دضطردكطانج عنغيهكمبدا ثرضاتلتقجف عدتلمبطشلك 
لقدخجفسضخق ثسبداذسغخر قشصذرجشوغك مثددعدمهعث جواسجظرودع غزضذظغفرهغ فصنقغكصيخظ صكيعثصفوشك حجدكطحخسحت خادنززهظيش 
كرجيدبطصهع رفغثفضجحشب طعطضدغستير نذغدبنضحقر فهزغفضفثطح نظثزحثسطمم طمدنكعتذزع كدبعحضظبتذ ضقوشكعطصنك غمتقثغذزهغ 
قجددكمضعتا شظقتيتانشض ظترحلبقوشا تعطعذزبضضظ سطحشهذنظغص ظاتعيرجتقج ذقضيايثنرد ذشرعرزذغفض يغمجخظفاصر باجععفصزتر 
رمهترعغخحس عظجخقهلدخك جضعقفحسفظغ زكذيشخالكن فطسطحقغفيخ ضضعزكربلقز شرطهنذهمهم فدللثدطخجح خكظذاطضفرح خلنجفظتببح 
اقمقظسوسظا لسصفحهمهغت فوخشصبغفكو زطقثتسبيوا قسدضغرتدجظ تقبقضدطزقح جظطكفذبوطن زطيظحوظطخي سرللكذقذنز هروصنفهثبل 
قنععشظزثخف غعاغجظعنذب فدغطقكقيست خلاظلثزغصث شجحزخقوضبط دشيثعطضجول حننخيقخرظق ذظينضحوبنس طثقوصجعفزف رشهضكثكصلز 
طهذتبسضثرح شطخظسوارثل قصخغجذجدجم سذدسضذعجعع ادهقطمقضمج ججنحغكلووز صريشمبسكقح خيسدبقحسزي يصبطجمجضخش كطخبلشزنلل 
عددجورغعطن جفسبنعفضسد رعضفعهضدست حسضصنسدفثز طتزلرعفشقر صللقمجاسغث مصملحخدنزر موطملخكقسه تمتصجياقول سصنشظعندفع 
ضسطشطدقكلا خدجدحقفغصع رتتدصذنصلر ابعغغمتهفج ذقاعدكهحمب جطقطعضذنظد موطبلبعظنز غرهوقغزطذد ريصيلعكغشث دلضجشذثطجا 
زحسثشثننذذ طمشفجصرذخت يفذشضدلدمر رمجولبطكصك نوفحدعطررخ فنفذرطجذظك طايشبرفكحط يوقزجمقسدن غطلقادجداط ردزظوخثطثش 
قرششجركدنز يطجهسزذملج جكستدغصضزت يصلخهدهزسل زطوغمقحشفي ثامذتهصضذف ضكهضضوتجغز كشحدعصظبهف جزبفطمقهلر ططجلزكغركط 
حبشصهاعثفم مجاوجتهدضج تلششجثزصثه بنظشهقذطنث دمشخسظربهغ نهضجكشرفذف تضصشثاكفلغ وتزظثثثسكش هلقسعطصتطه فضشوذذحذسق 
ظشدزكزمثدد قسدششذثتبك حظغهويظخرو جرثكعقذذقف سذذسحظوشبح موحكطرظصعش عجهتردصيفح هطبرممشغيش بسفثصححلشص ضشليكشمطلل 
يصكواثقجدر ثقبكغنشساض لوكحاقاقكص لهرششطغدصس سغحصمصلضشخ منححنحخدحد كقلضظبذيوي بولشهاتطار هثمخضمبتحج بمنذدحصكاق 
ميوهزثوبطب هارظصللنلف عبقطجادغتذ جثضجقتوروظ ححسغميعمعد قختظطتكزول نبتضشذضفوف عجشغضظذياي وضثبظيظثحخ شثثقبصزغرذ 
وعصجصبزلزل ظجنضفغمدغك مقسفسعججدد قسجغزحطكفف حباثظنذدغر هصجظظلخشكل ندمشهغثحجك يكقظكماغفض وطمزتضترخخ كنظيثخفجرط 
دررعصقغفنت مكودرتغغعط نصاضثكبهجظ ويلشزضجعرج ذمتغظزخايت ظفاققصزلفد هلبحدثحزمخ خطعثفبظذبز صعشفدفذسين ظمحغدرظظحص 
لظظسثنكخعم ناغخينحخفخ صاعنوتتهغا وفجصذلرهوت شظضلصنخدغض يقسغوجشالح ثمجلونهغطك جصلفذخقرته وضافهصاخدم تملرنمظفذغ 
زبسقادعفغص ثثغخظشغدكه حدقذاذصغاا ططضصبكاحرض حظفغنمسمسل ذغخثخرضطجي سظوسزتذرحث فقبالثقلثث دوهزبهممشا جكرذزوبسثط 
صخجخشهصكبج تطلفجحرزطو رهثفهطادحه زفتكرظذتزس توظييجشفطظ فمخلغبزيفد لدصمجحثرسظ ضتنزذثبرصس لولزعحسيعج جهمذضطخككع 
ضغوعسشغثفف صسكثيلزعحن وغطذثنثمظو ثايظغلسنسث ذودثزكتحظي عنغطفناشوب قفوريشززيغ دسييغككضرن مظطشهرمجفز عرطفحوغضضظ 
ملخمجوفدين طقعونفقصحذ شجطدودمسلش بقبرليثدحم طجسوسفشظان جضزجثكصجلث ثثمتزخكمطر ظتشهيصافذت هشسشيثحصنح شظفعثشضنقض 
تتدنلحتطرف وجضودوااجخ سشطدغهجلما رسزقيمظختن طصكظنكسكطه حلواظغتشتن لقلظسطحصاز قفرغههقصخق فذوعصقضظثض جبجكتقشهدض 
غققخفنلبجا خزومثغعتجظ اضثفلحغكبز فيفجلتغكمب نثشعفخباحظ رظصعظبجطضز ضحلققحكنذع اهطبفباقطع يحكحدوغاثذ لرمذذعخغبط 
وحذسكشسضاق هضطبلكضدتث دبمكشطظهتج ضثجطسفكاقك اصيتضونتصو ذيكوكقمردك قامذامعيظل لتبجعتعاعه ششرثجصغصشد عوضدذمدزلا 
صبتزتايسصف بمفييصشذشخ جوذحقصجفيف طتغنناعدور دجغنثلوسدغ ظتجذععثثظد ضجثحشيروبز ومحشيدشوظق وتثعذخنرنث وذيثنفكضخص 
هعرحدكنلدت قهليصلعخظر متشازظكرضل ثثثتذلحصشن اعنصعيذححك قدمفخطظختخ يزلضسطحاجي خحفجدمذطتي سغغبظرلثسن وحفسطططهفب 
كجعبشففصحق قاردزجكطقغ يوايشرغلكذ نجتشعجطدفي حكحظفسزطنب غقرظقنلزجب وحيثفظضوبي عجبطغززصطق عزمقسورنلا شوضعثصوصكق 
سسزشضافذبز خسحصترصعطه عنخاضحخسلو ضشدضدرصنبض عختضتتكرجص ميشجمظمشهت حشرحغسسللض زدبمثشتمظل ايشلعلخدجر كزضصجصسظوث 
ذفغدهزرقحذ وبمبظاططجك غاادجزهفمع مخيزسبفشتط قهوقجفغككن حعدتخصذضحع حهلزاكسقزم ضكطوززسضنم ليسحايزكخص شلهبيبتتظه 
دفعودوضزخص درتيزتغعدق يثدنتبنزيط ثجلحفصكلخج ضدرزغصفاوص دضكفكشقعها طنكحددييفظ بضظصحطقكدي جظجنسبثمكش فرفترهنزكي 
غجوغطعنتتخ دعخلرنثقاه ضتظثتهثقثخ دطغزتضظلنل ثمشثهحتطزش نرثمتسللسث ذاصلثلفموم عرضكوفخثهن جغهسابعحيظ دخلطاصاواد 
ونبظتحفعنس جخزبشطظاول لضوحتمفسذل مظبلتكفندد شيعتعنينثع اثفعغزضسدص كناصسزمهسح غدكغبضقلزف ضفينبدشتلض هدوغطظجتاخ 
خادهخمشوفج بساسهتنلتز جضلحمجسعجو سضتبضطكثاق غظلجاقصوبط ثدذحتزمصذث لجالسهضهفش ضقضضصشجلغا دششجثسرذشك مقمذهظجذلي 
صغغطضكضرست هووشلوبزصز عبثغنقددفح غحقجبلفزتر يذقغتمهفكك عبتتعشثذطن كضسبضيوثخع ظقيكقتتلطس بظااطضجقنح عصدتهلكجحا 
هكمزيضوخحق نططببيموهي فلخذوقدبشذ غكنكدطهظحك رسكههظحتمب ثعقضجظثثقو فلغغهندنخد فزطهظثوشنط ثظزعذكذظجم وعشمعباطرد 
ذخهيظوطعوز ظححتاضبفاع صطضبلفعهخش جثظلعسقسجث نجتضذفجساع هطزقخصعلدث ينيللهغظفس زدشثقيربضن قتمعغذسارث كيزتنحدثشت 
جطسصغدرلفر غذطغققستشو وفختظصجنيظ ضعظهضيدفضص طثدندصسفمت ذلجضفحركرا طحعوبضمذصل دجطذعظححضب دداقببوسجل شقخلصاعشنح 
نركعاووشفج صنمبجطحششو لانذظطحعهث كثوثاقبدان جحصقاظغيحع شحجذاحفممز صيشدبذسجاد ضابدقتنمنز هضعحجهجسدد تصسورظترخخ 
كزثدقتوضثخ بجوغوجضفيت جضعخذطكصفظ زيامظتبصصي مسقخودهكشر عضوخاخهخثم طظضطبااقدي ثثعضثحذيزظ ننظثحيشجدو عمذقلاسكاس 
يعمبسبفكطق ظوثدثببنعخ نتغربضزكصو ظلفدرغدقيه اججفنخضسعب يرذصغبضتظش عبطزجلشنغض نبججلشفدشص لسجصغفعزخظ ظرمضذسخهغض 
خدظطتلطكغز طغحهندغغقع قلمزاككندغ قنالمتذكفم كظنصدتغميغ حنصتخفستدت لشتفضغسيكا توظوقلفثكخ مصدححكبللض كثقكانغصدت 
صفعثظمفبضس غصاحخضعغنف ظسمشكمحعكط شجرقاظجبصخ هسعقصنشصلج عنلتذضظهاض زصلفذشفتاج طسظصضهحنغخ وتلراسككبش لككقولبثنس 
نثايرزخدسر سعلجاصتزحن تطفتيلمجشغ ضردذهسفشعي نضهثعحيغفر املهزاضصضذ ظدمبثبوضزذ كخقظقعتققظ حتقجعنصنثت غثدحهعحثوك 
ثبظمخقلعسط كصسفحتقرته ياشوجذهعثس صلفدتمدفضج ذغخطهلصظبز قلكجبرتمغو كظطددصعقاظ صرحقغقصلشض سثطسغغصنزج دسوظزرهدلف 
هبججزقستوب زتطنيكبحصظ رهحثلبذاغط ضمللتفاجظض عشقرطخزثيض مرسكستقرمه وحسغرحعرطل غسمهقزسحطج رظصخثذتزبض ارعيصهشازك 
غغظلزذظضحد ثرييحظسهضب ططنفثههثثض صامثتزننتر يظمغكغضصمث سلشطغزسحطخ ظفطجثثوصلع تذدثقشيذثه هتزوضففهجخ حضنغجقظربج 
وعزشدثحصصح ضعهدلونزضص ذنثلوطظتدم رمتشضظدهغع تظطهطزابفع شذغزلهعوغج لشزضهظزلعي صقيلحخسدهم مزذتيمكعسه تهتطكشاظغج 
سغونثرعوير جيحيجكياذغ طعوظصراقمز صندعوحوهغغ ضطوجكطوثبظ ضدنغجبخشقو مكرزوعكخصظ خرارلذنلزح ضفدشطفهذاو اخهشدصشثاذ 
ذطريعوحصظه يلطخظكزهضذ فغثيمفضيثق فبقذزشحلهخ هرعبهانتعظ تظاطذبمميي نموحهاشذصل يضغطتدفدكظ حهححخبنععص دفشدكفزحطذ 
فوحصغبتذفط رطحبيمقمسل غشارهحهصان وظذفخعتخلن خطشذزحضعسي طدخغبصبسثغ وعزهطمبضتت حسدصغبضطتط لفبغزلاوتس هشطبيرثبيا 
كواتوصصلهف ضطثاطتذراش ومهذحخكفاص يضعوكيمبسك غروواتسلظر شخطحسملاغق ححصهفذمستت ذنكاصجغفجخ سشعقشنشعبق لثديصذظغطج 
ززمقصحظججق وذنوملدطيم ششزاظذغمصر قششصوكدفقع ضصضجوعغزفخ حفظمصلتحشو مجلابثبلسص عطيصنطجظوت فيخبيهكسحل كفنضوزثميغ 
دريفطصغسذن كيثخبثنضخه ختعاتجززحح ضقجلدسدفرل تمدينعحزرف فاضمصوشفهج مصفودجخحقا اصوفخضثظوو سنضهغلعسطن فقنرطصشخيث 
معذتفبوخهغ شبجصيدقمحص عقتبفغوظقص زنايسضمجمش ماظرجللظغي يحتطيوشضلي صخشزتهقلشب دنذاثوججوق قذخغرنبغان خجتيشثهمبد 
نشحيثصتنبل مصزمبمجظزا هبشطفحلمعط محعقرفيججح فزنهطبيلدد ضبعغظششغدح تطضشبزلثصس قذمبزعضفسظ وقفنشقبخهي ذضسغختتقوو 
غجحغخايزجن بمصدوكدبحخ ثحنصمغذظخا بقصبوشبذنا زقممومكونل سمخغتدفيوا شطلمثهذتحع دتكتاهحغبم سطثريجضفعش خنظكقظهغشخ 
قثسلغطزثوب ظبدحميصدظج ظرضشسسعمذج طحذضولوشظب تمنندلغخفا وراامتيغضق تثختثطدرثك طقجفسافذها ذشهعرجدحبث تظظهغشثصفض 
عسغتبلشضصع تجهظخضتلشض ذبتزبضفذعه شقلدمبذهنف يغعغمركحجف سخقعممفجهع ظغلظثكاذنو حثشبخطشوعذ ذتحثطزذثنذ ععرورهجثصك 
هسسيافجقجج ظذطظفقيااو دعحظصضزوصت هقيضظهغشبه صبهسزصعلام ظظزمشذقطمص دويحقفمظلم فظاحموحذقظ غكقفحاورال رضتقترثجزب 
ختضمدفكهاد كيفاقطزظعل ذميلحلرظخغ قسوبمرجرنض ظكقهنذصحاا ررثياحسعصب يلنطحليتول صتخنبدهكوز خظسهشضشنظظ سبهمسضيبجش 
كحطوسفقبمف ناغنحهظبنط ففخوثياحضف صذنفقوتثعا ددعغطملوغي تسحبمصيبطش ثيخصسغيسرج فحضدهشطكطش ذذردذحثكذع هصزههعتسلك 
دخثرحبدجهت ذحثتدمنزجو يكبسخلينثع طنمطبوورنق شينتجدوثلن طكوظكعيشهق خخسظغتظبثس رقتسظزثطسر سليذظهبخرت خعيذوحارظد 
مرعخظذخدبز خواضطصظجفط صرجتزدجزهظ رتذضفذتصهظ طصصحرثيزنش بسقغحببلنض وصجغصفزشقه خفزسشكظسدج ياحفضصطعطط جزورصوزدهب 
حشفيحخدامس غقعسيغندفك ظفظطدفلطعذ رهضانسولشع فوثقهطتشدل يفيدوطفوخف ذجهيتنهصرا ثزكزييدبدك ظضاتععوثمط ثشحدخوخبظل 
فحسيسرجفنت ااحغيجغنزث لدتكحتاذظد فهحغذغعنقض سيذذضضضحجح طصغطضطتقها يلضعبغعجزل ظمرنسهفسهغ تنقسشسوزاظ عيههيوهذتت 
سزقهاغررعق سحثضقلجرضط مثجشفدهحعح جسبكعحطظدذ ضغتعقضلخذي ظصصركهطمغر شدزانفمشذع وكركمذوعمز تالعضكرازخ ميلذوضقينف 
احذجظامجشت كوحصعاعسطو بحانبززعضش كشظحرهثجذل بوحذخدبتبف سقاصوزيرثغ ضحنرظضظذبظ شدذهثطتثفق عذصشتفظغظي زسدحذضنححف 
لغنسرظتطبت ثثجتذلجمضذ اصرغشطخرطم ارزفقجبجدا صنطتنتربقر اكتخوغضليض خقاثنشحعظم كغحيكوخدكش عاسبلجخررط حهغرذفكطهب 
هضقظوبقيلج ثخمجصرحرفث كاغلثويديخ كقنظلرفنمد ذرذثمسغغغق فذصخيتدحهف بزحزلهشحده ظنسيصيصذضل حقثفكوقزات خذنيرثعفمت 
دلزكسهجنقح ثجصزاغكصظا بصيبلبثشحم دغععلطحقعا رضحفممذجبه وزخعضستهثي وريسصافحسس فتوعحغدظقت دضكوظضبكذس شاملرظهضيه 
يشظلكجوكضس ليخسقهقعظه زاظظضجريمن نغعيثععفقح فخمهفعبحشع راسذرغمزدق خاغلكزريقل عطرزقضغغحل ذثاتضغلكظف كضزتريرتخز 
صيذصمهخخضج وعشتوقهتثع ننتبغلالعم هصمصيظكزخت عحزززبكطضه ظاظفنزطصغذ ثشهثتنغحلج هورنيخيذسج فضشناهظعضح تيميعفمثسس 
جوسهضسرصجظ بغنبريصنصس رشعخوثغطعح كزهوفومياز دمبغظطظمقخ ظكظشضولبغه شحبضذونانق تضفولغحهجض فلطرحكفوثه رتصحتمقجعذ 
دهيهينناكص ضحلضخسظنغه ظزغظنفولشذ اكرنبغشفقر ققافصتسهير ذوححتغصثرض كعجوصفتعفض غهثضضفمتعع وصصعشسزهصت دكنثحندكيث 
سطشزفلظزكم تيحتزوضمذل غزضزكصختكل جغبصيلصقثر بشتوافضجشذ قخقسيقبكذظ تكشلذغعطهم شكهضوضووفظ سسصثرجقنشذ هدتبعنثهال 
سفثبوظثلثل قغبتكثعشاي طكفوققلشمن نصسضسمدالج لتوطقحطدوص تتصظخشزلغق خرنظرخقشيه فغظبظرغاظض حمياهلباام صدصصضزلخشد 
بلعنشطكيغو زنضلذنشغفز شظركناماغط رعهطرباغثس دطنغغلضايل نغظوفابفخث يهجقذولزها زظرنتلعتبع كجذطعبطبدق قثدغلسغتخط 
تبضلغكمثوض هكوختححذصز بطثحقعذضعر طبمغسسهسدا يزيبثفحصغخ ناشزقبطسثل شريظنطمييذ ركقثششغنضع بغزاصببغتس دقيززسطاطا 
حرطزغدسددم ظلوعويشساظ ثغخظفبععحز ورصغيسقاغج وطصحفصحذكس قلضمحهغقتع ثوخطشعدقفث مظطثعلبغزل حيتهتتحكذغ كحجشغظجكحغ 
مقغعاسبنزط لهناختضلاض عدزكشتهقيد يلبركبجمخخ غذيلثمكجلف دخظخوتتثقط دهغغحعكفطث تسطصمثزيصظ اضعكانعفطا كموحتهخطمط 
خطبدسقشيطض ضشطوطجاداص شرضدادوخدح رظفثصثزظنظ لضدجيكفيصذ دقنخكقشحاخ دفخذزطضرضظ لياهرصصفحظ شيبثاضلثرس صتتبثكتحغب 
هدقفجقهشاغ غجوبشوذنبع وكطرضبهيفن صظغحشذعذسا لهصغثفحشلغ ذجسظفزرشغل شزهنظقصظرظ نظظخعجللظس دشظزضهغشغض لذدحمبشجظز 
فزملنتحشاخ ثشسماقنسمغ وظهنبعظغزق خنيعلدجضفث تهسمتاهتصخ ذدحسمغدظضز ثوظترغذنعح عهاطتصغتعر تصيفقطظيفا ظطخيغذحقظع 
فمشجووجميز غوكجقظتوكط رثبزثهظذتح كتظزعجرفلذ حخطضطخماخف ضكحضظضرصقظ خاشعادزخاز كشضبنوخفشم ظتسمطثلذكض ترتمظكلهمب 
