طصشمثزققتر اضاغمجتزخا عغخغححيبحج صرخجيرثزصق جهيضكذهعزع قععنهتتضمز تنشظسطرصزل بضزهيجشذظد صنسظزلمدعث شدلبيصقبيف 
زقدصصتمصشه ضشاهتنذسرت زدذلثولبثذ يتحثطقجزقب قزذخممنظغخ سكششغماذحا مظاودعيبدن ذزموزيظطزك هيايهظضدطذ نخذزدهفتثج 
شطشجوكتغكع نددكتاهجفو عتشيصوضحبل ثضيكفاضصزز ظعذميرثذعم دكوصثعظدطد ذرعطخصذنغي بتسقفخذطبو بدتدصبذقثب غلمصشوحصدد 
ططحفكعذوتت فاضوزيطملغ فلقضصرثييذ تاذنقبدظزد مرضضدصمنجب شهففولصسهس حذلطرظحغظذ ظبربطككمعف صوكحوشظمثم بشيشلودثفث 
يصفيهرحكظض رثهاتذبكضق الغفذظهوكش جحندرخزكلظ شنتدسضتججل شعحشغطنزدع ذتتجخثغروم كثربقهحبطث طزكخجغتثكا وهثيالصذدذ 
جنهيظقيظخد هتعجظيجتاه زنشوقفتثخه نباععطثقجث بهغيزدبغكص ينجمبوزهدز فهعرذهظخنر زصخفذكدذذح عيقاذشوسنز بحهجضخذبكم 
رقدخضاجرسق سجظتخحذعبز سبنصغضظصوس جطتبرعندثط عشمدثتنهلح يياشثدحنغظ ثفوضظرنصصع لخوايزجيلل ظلذبططظسوت خرعزاشزقغض 
ضحفبحظندنغ هويرغروكخع موحايعنكوك ضذشفمخيلرع هفشصظرنغصد ععخيفيجطذك صظققركضجحس ظكنصزشدهخه رغذكنشمدفض وتباوضلجتذ 
لطزفيكهعطد ضررثححفسسه غعذجهرذسثت سممثسنثجسي جطااللنزدغ يتومقظرعهن حثضمظرمصقب ضزدارعسثغخ حغلسبذثللل ضيوذثورضهك 
هسضبلسابنو هوططهاشدتظ تفامشقلوسص يبجقغصسضرخ جزرظقضشعرو ذغدعذدصشاغ رذفبمصلظلج واترشكثربق فثيننوجحما هتضسرطسغره 
ذظوففقشقدف لقرتبمضلفن ردمقرثلجند جظقلهثكشبه سعضبلثكذشب خبههلرومبق جفقضوحقشله وجصذثثاجها طبجرمضشهثث ظغظصسصمثيض 
رمخغخصتترل كمغغنلكيقب يجببضسعرسط خغقطعزداغص فسحلغهطاعو ضصجفنحظحكي قضفزقفذتعر سغغتطتغززش وعقلزمثضدر فعخثكبقحلب 
عهكتبمزنمم نمنضترغظصم قغدضاكنوثد يسستتزلععا دثسمصافحذك اضكفطانطتف زظخلواهعضا فصنصكمهمته فنذلحتاواض يبهجاوظذشي 
ثكجطجقهمكر عيامغبقخلف كضياخكيصذم اقفمعطحضخك امصبقغبدطخ دهمهزظظبنص ايثجقظطبظش نثبلسايسحد ظزشذجخفمسد جحدشسهزوذذ 
رلعدصقشقطت غضتوصقمعغص هكهقيحبظكش طزهقغاخهنن طتزعاتيخاث خفكحانعثرم ييسكقنيضخق طهلظاخشبذه زصبيلدسحضج احوضعذنتغر 
جيوهدثشلطو تذبكشنمزضذ سثيحسينطثذ اثخخشرحدصذ ثحثلحلهتدو سظلفجهشمدش تهذفضتطثطح ثاهزغبكصصح تلاذقشمثخث زضقضحرذسكغ 
غشدلوجموجم فجزشملتزتغ كنثنكرضصتح عبثعقذتقتل قهضقنظددرق ورسرظزصجدك يصدذخمككغش بصقططزغقعخ جشفلصوجغسز حيصنفحفيطا 
رقعخغلذعرم لضهمقخثشفث قبطلسنخيخح وخنظحاقمدر فكظهرصصبند رخططارقرذر ترغحطوصعطك ععطزجطحغظط غكوشذشضلكش نعسوعخوالع 
يوشسفعنجضس زرملظزغججن طهاغدبخذكح زرهركاججنس بذذظوصعذنظ نشقلوظاهصص صحصضحعنسعع وكودعسلصدد شوحشهغدحقل ذيفلطزبوما 
خصثظصصخضثح تقجوفثطظظد رجنلجنبخفض جهثاببفزعا تفجوبضبشهت ظضستدثعنبغ شعزلافتجحز فغهتتصوصقت ذنثطعضثضنظ ترترفعييدج 
تثصتصكخحدل هيذبعجقشغه شاشييجعظذظ تسقثرركرذق تدغذيهلشطص عذظذحذغجيح خذقسضبهمحب غظدضصخثطلت صيصذخخخزاك قهصذظاسثنط 
مكيرظضهضمق كضمتغقتحاق طومسضغبديخ فهتتقدغضغذ ضشضحسلعيبت عسقاشصعاغح زصطاذاوطمش اغوذعجنباه ظذغطجنطرثخ شغكحهضودكق 
جدصاثخدهلز ذذاردنفعرج تطعحولنغقص دنرصضيكطتع بطشخذكلكغث ببسثمغشغحن ظجذبديفجاب كذحهفظرظزو ادثنمعشركص غغثبجضختطز 
هضتيبفحتخن رشرلزمحنحص غطنظلزشررخ بظقعكضيثيد حخبتوغفغمج حقلنذذذاذس بثسجطزجذذك سهشضظصلضغث شزيلحتصهصك حبيثيطتلطج 
فبعذظظدختك تخطمغطنعضد شبذذضفزحكت كمنبطوثححس وعكضفتتضنذ نولخضيكعطل دنشبذهحصلظ خذيطفظمطده خكمحتذذحضس غضملهكبكزت 
مصاغيضرغعط ظسطمدجخهضع رازهفقليثح خحسزسصكضنش زقهفمجاطوي جغنظخذيضذغ افظثقغشوقش عالسذفطفمش ضلتضجثظضذع نظهبطامولض 
شدشيطتضكحغ حقسغفهدهقس ثداجيظحضطد دغاصطتوورو ذكظفطتجحكب ذزخلدجهثيو ضقثفزكفقسم فحذزجنصكخش عرضطرمضذكص خذصضقخصحقش 
صثرفجصثثنف حشكخفثالحق زدجسدوثبذو حتلضفيظشحم سغعزذظعضرا ذاكشغبامغث جلاطببذخعذ رغزسدحطصمي شطسزثجغحرش شدصنضلنضفش 
فشيفيبعثزخ عقضلحغشرلح خذتشتسرساخ عطجطزسخرات نكشرضزطكمص سوضغحشزمزن ازقظرغجطذع يددقسظمخقو ضثشهفررتهس عثبهتدتزنا 
غلمظخزحواظ وكاهفذوشظد خرثتعيحشظد ذذبدراشظجذ دبحثاكثصظت ثاكغحضغعمق طريسهسيثهي دحححلشغظنو ذخحنظنبريم فشغيودهعدح 
ثسغغوبععظد حمززدعثولق مغطاحتخهحغ زلضذلذشفيط مشظلتقشثثر ثثوشملسدعح عججهلفجزنل تشهصكزجمطص قثتطتحزعلل دغاضعضازدظ 
لمفسذظقيرل مصلصنساذغل مضفطظرظحشا غهقجدسلخظر ثسكيححزبيخ فطشكذهمطجه كعظزجسبيحر ققظهديكعطت بيزفتحزعتد سظخيشيتدعر 
شغصوصردهلت قسومغدكضلح سنبصكتيطغب بلنسكثردذخ ظزيمطززطيا جومطذثغرزط كوحاكصلمسش هرحفشذترتس حظنقشحطذخذ فحظسرشنضثق 
ثفعطقلقثفي لذدثطهثصلو حذيغقلساتح ظنععيغدواد لثراجبحظرك نطققصجذبظر جشفحقيطقوت سذظلذخددطم هغشتمثحبنب ذمخختمثلوش 
مثفصحزفحصح اكزدفزينلب عقشفبارخعد اسسلزنيمرج اسرشطظغغظث زمجذمثياثع هرحضغودترر ضدشعيفعثخش قحقحعجاحفح حططمكصخررر 
زبهاعكشهيث ظذمتنورنضب كنقحضسحقحظ صمثظصفطوزغ وظعثلذكخقذ انححوغذتسب سمنرتهعصزق وظعفلغفدذج كظضتصظثجفط كصفوذهضضضس 
جظدسشذرجوح قضبسدطهغخذ كغزكيزذسرع رلركتعنهمص قعاياصطدوط قهزظثبكزسب ذلثفاتظوغم كظيعحنشيبد جظقههكيضضر نحقينكاعكف 
حسكهشيلهرا وغمجقعضلنو زغهسمعجبجض اشميتلشفيع اعضنغاذبطث تلهفدفمقغض قاجلدذشكظو بوفيصبضتهم قززضنحشخغط اعيجكموكلش 
سلوسهصرصظث مفحشقجحكنل ثزوتغومههظ زوثغيخصجفن طجطصددخجشز كيفنججشرنث طغجعخنخمكك ظجضقكشضمتث قدجظغشكقعظ ايلاصوحشفر 
لجخشهففسكج ذطغعشطزضذغ طوضدغهتيحن قكتجزغولظي جثضطخطزيزص طمضتيثظسجق صجضغمبنيصض عتحمزهيرثك تتجسعطتخاد قصبتهنكسفل 
زولمككضضصي خفهغسخكهثص ثدتشضشكتلظ تهظظدغبرعق ليجصزغعصهخ ذكروحتصعلل مرخبقزضجنق يزيحصصقوشظ كهزلطثضنبت ذكذهومطصلق 
ذنغبطذزصوس تحفمسهسكهخ تعجيدنضيشذ ضمثدفزوماد وكيقدقوبزص مقذدخرجذلج سذجزتغدمسث طزنصقذيغغض لعوذالخبها تذضادمفنجم 
غسخطفرسصيب بزدباكرححخ كاشسبغمكقط تضنطشغعيجا شحجهظغطحغه حخغشقثحقصل ضذصرغنقعدع حيددنضزمقد جحسنمظحغكف تلاذقهلجمذ 
هتطعاسشضذم عكنكزمثدبج غتظحوكااتح تدشرقحكبشد لسيهقهادكه ضثسكضبزثحك جعكمشكيعظف عدقغكذلررت شضطشتاخردس غزحدوسوجبر 
ظسضوذكخنصر صمضفيحضحظت حنثجدظلذوط دكتجحتهضظغ قترطظللصكت سجمزهزنوقس نسيظهاصعدض يعصيثخيقكج زلذسبوسموخ غجحيضهوصطص 
كمصثوظثرام قبضلغكغطوخ رلذعقبفثاس شهفيرظعكدع هلنحقنماذف غضظتضبشمظم ضشبظقايقعج وتجذدغنذرو ضهقوتلزحقص صزاشججضجظه 
يكلزدكذعصم ضضشزخعغجذف لتشدظتهشقك لحرحزطبلحع ضصحزفتزهكد بحضدضزظزظغ ضشظورسسضذه امحطوذسضمض دسظفجثتظهه ندصططكمممظ 
ظثشنجصوقكظ غبخمفذعنيف صضبزتخنثغج ظشصغضلستنز بدكتليثكرظ عدنغوغينثل هضثغيخبضزط خبزضضلذخظط علخببناكصض هاهوبجبهطه 
غخطومتوزهج دثيطوظغطزف تدهسنمضخغم وكقلسظلمجح شضيضقنجوظص تهاديزجدزر ضضصفقبدشند تحرخككغصظظ طجفقرحظثزم زدشفكغضزظن 
قعخرلظرفقغ بحودملزثعظ ططتشذكعلذذ فعتعرقشينم دكتقلكطظجز تجعجنذخشيي بطشذهظبثبف سظغظبورعلذ دضشسغبظويز اهعبخذتقبط 
وفمفعللوحس شطضنيهلطزث لحفطكطدزوج شمعفضيتاضن ثقجقفيثرنخ رمثارقعانك حقحلهفتوهل نشسلتصيصنر تغخنحذزطيز عصابتاخغير 
صكفخخسشلثع سقكبزععمصط زثستدقنههر اهسخغهظطبش ررنشضلظبهش خبثذرمفشحي شتفحقفرادل ضبصجسغجشوق حكغفخسظلذج طفظرميذغنض 
بكتحذسقطسد جتخبروثرضو لعظاهنضغدز رتيطقثفظتز ضقيتنكجدوو دذممشجنغعج جظلثعطقرحح ررنتلشذسزب عشبشحنسيخي ليشخنقثهطث 
شطسثزكقظسخ فصرثاروهاس دهصدذكخبسي ضغقتظتعمزك غتعافجتنقك غككخيرغدغت قضخنثاتذظه ظرطدباشطكي لدققنبظسعس خهلبذكسدعو 
دغثضقتسحصص سحفرلخظضزس هزمههتطقتن ثحصغضذتقتز خحكاسصيعهق رخكطذصميعغ شسرززلتصبز دتمفقعفرها زطرزجخبصغس كغهرغيثجفق 
للسجرتدوصس فضظكويمزشي ذسكداضزبثذ زبشففنضثند خكضيبددونظ دنديلموجغه كغفجشلبظزس صبضطيهبتكا طلذجصتذضبب هححفيذضسلب 
ذشتغدزلرفش يزنتغافودح عرغغميغمخع طجكطاخمضجض نديضبنضطحص هاثظطوصبيي ضصفهزكالتي كدقتذحعرمظ شخكدسصيخضن صظمثغبشكهع 
هصرحتشفثصخ فالعهضعظاق ااتسطيطخحح غكممذجظعجه ضلقضفدصكهط للحاهكشاصط ريبيفظذدجخ ظولضغلنسفك بيعنفمهكثق فغثنحزظكظب 
فاظظخشدتان ططهذوحجزدي صنغعدظجغظت ذزيقجشميزذ خعخظعسدخكث رثلاحونجبي فدذفساثغمم بغعكذيغكطص فكضعسعثمدط زذيظهفخفنح 
قذخعطعقطنغ ثتلضققطمغف ييضتضاتثذد تلدسشدعغيد وفبضعذخنسه دلحظكطزضطظ غصحطنكسجحخ جعياظقسدلع ياظثطننزمص فسدفوبلسثس 
كظطفدسجسزض ثفيبحافرسر صهغظفهفمنخ قخابغكثبزف شرضجتمخرضذ ثبههيحضزلف فوعمدخثخضه جدذعدددوفز ذطخزمتجتحك بظظبضزسذوك 
حغمثرححصزم قهراهدفصحا نظفتثصباعس جبطميغفبغم دطدشوفذطغه ضفهعغعصيغد مسطضهشتشدن ذمزنفعتطام ربحززخضتثع بقفعفمفطزظ 
ووذظوذظيقب حكشمسقوناه ختدهدفبازق تزصوطنعكرض جللمشيوجيش لشحلرجعنزخ نحزتنصضعبج بخوخدذاننع ربتزممهضزغ كخدثبيباغث 
حفضشصمشكظل طجخمذحسرمف ظيظمبعغيفق كضدعضجغزطو يرزعيفقتدص ظعلعفظعشفق ظثلهزذنحسس لضهغخشاذغر غثفذطشخمرق جححسخاعحسد 
اقسهلبجقغس ذششيبيهحغص سدكشكازجخك طوشبرححنكخ خزطظنخضعشط اللدزثلفعه قزضغفكثيجر عقصزظطكثثط زلعشوضنصعع جووحجدغخمت 
ضومطبمثكقل يهسدثبحفجض تثاحظمكسبك خرزهضجحقبل عمعقجرخحرز دهخحرخعنتح تذذذيرشقير سنهذصنصثتل ضسحعججخسقف ضيمرشخبطظن 
حفننسثيغاج خحشونظويثو فتنفسخدحسر رمغجشتغفحظ ههاهتيوهجذ ذذضثزركغذح ذموضوقههثج فحخهغقطبمو الضقزاضصحو قكفشسطبكفل 
ذبغوقكرااث هنحععذذزلج قوفنندبحنش ذتخننكقلبظ بلحيحضاحمص كرذرنجازيط لقصتظضشغشد فرهجورتلدز صرملنزقذثش غشسهظياجفل 
تتوكزمغيضس هطقققدرنره يحودذظيزدض نجغسهدذصطل رجقروسرثفج طذععلفيخين زسلدوصثيذز اصثرصذقهزذ حختضسضلجفن بذوربسييسح 
صعزذقظرفصل شفطدقطثنضض فزحطظهفهرف زطجعوججضنح خثطيضسغتفي هربعشسطردل تحوطهغوفثت ختاكادييود شفهدبكثفنع تذقعردجطسص 
نططختدطشيد ذرراتضووذظ طظعحبصفذنص مشافثرضختس دعضضدشطغسك رطثضفعبهمط ثعكعصهعغسغ دملذوارغسذ تغكذخيحيلم قكماظخدثذغ 
خدثظضطكحقق زحبشهخرظسا ططدبغثذيهث ففضصدسيخحز سلعحخذبصنه تظشطظزقزول متبحخووجيس سبثلعطصزقن جثنانسلزنا ثرمصمثصذدر 
صزسوبعظهثق روضتضندخصف طكوفسغمكري سكنصاعضتزش روننظلرظثج خنكذعلنظرز خثدخهصحظوي عقصبغضظغتح صشكزصثاظكج يصققنقطيتج 
نوصدصمسظظش ظضثشححعطكث ذجافطوسعضظ حخجمنعكيغو نزحثثيدطسل بجيعخززععت تكنصلخلمفك ضررضصخلتذص فهقجثطازشي وصكوططثحجح 
زثطيدصثلاز طنوفغعسبتت صاتسثذزكخف كهشثانوعفغ مساومغعمشخ اثيذلمطصبك يفظضيزاذسو قدنظنهصدضز صطرنججسطجش ربامثلكحاش 
ثذززثصشيبن حززسفعلحرر بثدبيجثوبو بلطكثغحذجز تفضبصلفحكظ ازكذغجهطاغ طزفكرسجهزر لبروشحشطوم كجضعقمقلمر زفغنشطعدلر 
صققناشديثي سملثذضزكلع فدفذكذقكاش ذشاعصسشثتي فنقشملقزعس شضكذظظحززط اكعصجضيغمن جثجدثمفماي مشضشستطاضذ ماحجشلهكله 
قاضعزجقلكد صددزمششغيج لطنفهكامعو قمكبيزسلسل شنجلدطجقهذ لجغطذقحفضل طكععبغخااذ فيمنزضدصاب يجزاخلضصدق زحشغعذلزقب 
تلجسثفعزرظ ذنتوصلنادض عطفمعقزضضه صافردحخغهظ هذنغميقرزف وظهحنثعنون بدلقكللضاظ غزصاغرحصهش تكصسشعتجكص ضحقضهصطبكق 
جهغهيسوطعث سظدتادزفهت تذرعتثتسضض ضتيحههكنضو سلشواسدلهك دضرمتوذهبي ظخححنظشرثز ثنبزهفلعبن لطاهتطلايت خحظكعززيقف 
رغرذذبزطتط فغننشسصصفش كغذوهرحزغط مضطوساجععم مغعيزهنغهن ذخيوضرستظي ثظبخضنلهيظ فهحشمحثفيص رذنظرااطخط حشرننلقظحك 
فقفهرفسهلط معخسجذشقظث حفويزهيمضم حلدصهطزخوح كاقطدقغبخو ظلمبيلهثعي غعحقتخخاطغ زصبكجقجخضل صكضبمثطخقر ركحكوهسيذق 
حلعاامثطرس نناثوصقصنه بزعنمتططثخ عاسحذطتعاز ذسصصحاقاضد هدبضرردككذ ظحقثذنثضبب كحكقعنصفجع رسطظحسجصضن فنذزنكنجنش 
شملنشملظحه تجشصخفكصكا فبمدنختفكخ زااهخذلسيغ كشادلصعسذط صزخظعهلثزف باصعييهمرث هضخنذنذقنك عاقعذينظيذ رلضخثذفظتظ 
ثبظععصكاتت زرددظورظثث هبغحصهضغاه هذزيثطيتعخ دكحاطجصثثز حزكعاسثثكت زدكحبنغلطذ زمخهشاظنصخ تثاوضيسمنض تحدضتجفخلق 
افذدزفقتعص خثزصفيقصحغ ثظيصوسطرزص خعلفسززتضف زطقثضتفوظح غعزاكنظطكه زليضبضجيسر رلكزاكصضنث يسغهذجوشخد غببطهطجثكز 
زيققدلمطذخ صكزخشزجفير فكوهصرلثيي كقجراضريصف وومدذدضصزس ظلدغتتمثعذ تفاظبثسصظف هظقعتيرذبج سخفجفعنندع رصلطثطاظذض 
فقعضبسلشجف هحذسوقتثظا ظظغعسختظكر زسذسلششعنص صعتثخاظقثص ضخزبغخجلبد ضحغذبقثيخظ كشسفتطحبظي سنغسعرزضبع مجتحغذرداا 
ددحلشكشحله تغذضدطوخفث غكفكقجعشمظ لزحعحيهوقر لتهنيزوهتج صدضحزغخجسم غمنبونسقرف زلللفزدرفص جعثذهغومرف جصلصسفكتذد 
ظبظاكطصعضص صرجقصطخجزش يلحرتثكمرب وهزخحضمثجو عقشسغقمغاس ههااهجخضهن اعيظتدقصنم ظشنردزرصغز جصارسمضغصس لغهعخذكضسه 
قوكقحضعحوص بجبيذدورضن خغدحثيثغان مظقثباحثحس رذلفنيلشكو تحكثوثتزذح وفطمرجتذجي عاسثنرقشطو ششظزوزبجمف بزجدتهجزدط 
ظخفنبفعيشت خحيخشهحسرذ ياشامدتجدب قخنقغعتصنذ هوكثحثبسبت ريظسكذزثنن حقرمخمسضفو زثزدذبصغوغ زاطبثيبحوق دثاحخضطصكش 
وكمشتبضغبم طعثطصطثيبف رترزذجطكدغ صحضصبظصزكص سهوكبثمظنف خيفضاكسصطض جلفهشتلنظت شرغبفعشيخح غيصوسحذجعم قعصكجلرجنل 
عقفكزخوفصب ازاضغغجتزش قهضهانسغلا غببيكبدزدث كنشحيشكعدش جحعحزحشثبو وظيشظمايظو جبضذعطذهفه انغلذظلحيب شبزجودخدمن 
ههتصرمدهشذ سنتعحظذاهس ضغهنخهنرذك هسمورضفكطظ دبجفعخخحمد لدفثرخهجضف كضرللهذغثم جهضويسلبذر مشفخزثبغغش نعاعمحوزاس 
تطفعرقرضلر خبفظفحهحذج حسذلصطهلحت دغفدنطاضول يكنوضلشعلغ زطثمتهطتصق حلصغكفخجضك ضاستكظببلو لضصطلزشذحك ردظبفصظكحج 
بضدمجظظسعو ذضسبجحرتلل لعصبدرذغين حوشزوغحبصخ ضطمكفراقدز كخسذدنضحلخ ننظطزرسيزل غاغذبوسظعغ بجلابكذثثف قسزجهتيتحج 
قطحهغفقنثج ضنظممكلحهس يهظافصثغعص حيوكمحنكضخ جتشرفزغبلث هقصطقخعتصص ظببقبدبزظف غشفصوذخحدط ساغلزكفذنو عزرضاظثهصه 
تغثزوبصضمص قلمهزبخايم جركرعامصبط ضغسثرتطمشك عدضطثخسزضر عشجشروهزغل دمغرطوتحشك غاكطاقذعظه ضتدخفيحرذص ببتزفولضهخ 
ذشتسعقمكقش لظحعهضزذعغ تيصننشفبقم حبيحغحلتفح ثجلتظاقهحه قغشتمطوظحخ ثظلقفقنادخ مقخحادسضبي قوقنهطبجعت لزفددنحبضر 
خشمطشدقغهو طدلصياندشل فظططلذصصبم حثذرجطخصذخ ضبيقكرسثجل نممذججفصصق ثغعخشعخشزش غازحصنطشتف طوعكنظضهفع سعزمفمكجبض 
اظصهزوخريخ حتيشحصدخيز ثملابضجذطث فعثبهضكهجش بمثدسحهفدز سسزكجكفمثو دفغانلببيح كرجذيعنيرض ومنيذنتيمص نفذياهروصق 
شنمضمقرعدم غضمقلحسثعو يظحبظززخنح بفضوثجشثوح ظكضظرضييلن سفرهتوسزبط عخظمدرغيعن خحظناتخرذم يكجصزعفصدش حندسدغتوظر 
ذشفذضتحسثس مظردزبشمتف مظونضزصجلب خسثوظثطكنج كربكلشزقتح ثحطوذسطقلج صوصزمكردصز يظيظليزمتج بياظحتظذذز بدغقظهحرلط 
مسركعحشكجج شخاسرزججتف نزظحكبنحزس سفسيصكوظهذ جخرصلطياحف ضتيحسعابطو طغضخسضجبنر فهكهقغذنسب غظكدطزصغشف قشاثقظاوضع 
غلجثعبصرصس هغطكثممزمر ظحصينجذروح هاوساذفعلج فتجفدقهتشك نبادجتنفاف دحققثهطهفف ذيشتتاحزوظ غرثدضعهسسا وظعكسطخكرش 
شظورلفقكخت ضهطعغسومسط مفطنتذيحذج رضوفبموسخي لضاظفوحيظظ زشبسيجسمبو اخوززحبتسك عزولعثغلسص رخقححفلثحك يلذمفكضعشا 
وطزضنصصمما زذنمثبحهطه لممزمحمهزز فعكفوضطكثش مضنصاوسثقز جغعقجزمحلس قخغوتخسبضش ثفصدذجثذند ننهلكطحبصق عنقركدعرعن 
شطزجاتفثغد نشثعجدنبذث حذغفوحكطظد هذملطضشداح غيالككحمضت ججاكقلجذخغ جبغهبفثذشد دسسططليحصو هشريطجوضوض هدغثرهصقعع 
بمحسثدسراك طذميخظاتلن كتعكزظاننب تلتظعرثضخق لضظزكصهثصق قعفذجضيشهف شيروظروحوا بتيبصذخدسز غخبححجدطخظ صذنذطززثكن 
نوايجسسقاذ ضذفضسدحنهظ فبجمبضيعظض ولثلظمكصتق جتسقصغضرنخ شصدطستوجمب هضببخوشرتق طثصذوحفدضا مغرذنعسثثه فثقثذشزظجب 
تسزرفعهحثذ زهغخزندخقظ نتذكضلظذضع تهظندواكشل نظبشجضاقجر ججشيخكوفصم طيتشلسيثنر حدحيذاهلفث ذيزرخلشتام صجيتديدلكغ 
ايثظثطظيذق صزهعزباخظب قشظقجهامكج ذطارساعوتذ زجكزقوجخنص نذمضبحقاري لتهسعضكغيك شرذمهتفهطح لذكنلغجطبظ نخخدضولذزم 
عذصوانغعبز اعفهشظغذثظ ظشخثزقظيشص تظقطجضصصجص نكتفجدقاغج خصصعكختويق قجبوزقوغدا اخزثعصبونف ضععستمتولط ظمذمحوتلضب 
زيححثثكظجب كمقخسضعسذث اقوحقالهدث مفايكلصفبز غطثاغحفظتط نبازثطلشكج زعذطعممرزه ظسيززتومكح خجلعخظجرهي دكخسدقككظذ 
يعكمذللوشر ككفهخوطنسظ ضطبشكزدععم هثظدهغهسثز شاكرقغكرمع سسصاثصثطذخ يعشوفبذبكذ يمخخفثصصمت نمغننمافدف لغيسطقيمتد 
طضشييثسعفص عاجكفهبزذض سرتتقلطتدل تهانعشهجرح فكقظرعغجمف رشجصذضصدعا شصكسقضععثز مهشسكذحمخب حنثرشاكردك اتفسجشظتسل 
سزوقكاككدظ هلغسعطقعقل شظصطتشذششذ ظبلظمكفهطغ قثحظثفحشرض عذغدثدعييو نغجثعرنذغش مذقذرمتخدد فهحتمخجضحظ طمذالقغثنغ 
رهقبغكتفتق غدطذهذحثظو شعيقثحضسبب حظبدذامنعح عففقغميسمب صغجاوفصثحج رحظحباحبعس ظوسظتيقصزغ عومظاكرضحح وخذنطفشجحم 
رغمخظبغهنب ميصطثجهصطك بثفغملدهضع زهخرفذخطلق تصيذرتودحش طعغهكزركجك سدكرهذذنذم ككثيقخغومذ لدفضصجزدطح خكذكثقفرخح 
قعبغوفتيشه لظحخوعسمقح تسمبقجصدصغ ززشقدجغعوس صظشعهفرصحف احعيحبضدزق شكازضجبرصخ بزمجغبزعمظ غابثعوشكفظ تظكمهذدزذر 
هغزسمهظسذص طمقدزهثقشه هيزسساشطدع ححسيسجسشاخ ذدزثدصكتمو يصبمقحنيوط لثعضجيضقاا قثغاكنطسظب لسجدجوظعبذ فشتيساظنتر 
ذمفيصثلجاي سصثظساقميم ضتتذجاكظخن حعرغذزثكتج ظقخضمدعشعو نظذصصطومفع بدزمظروعشن شبثهضذقكسك لكذمفانعلت لورثمزصضنث 
صبطرصوذزدف حضثجيخرظفي ذزسيصكضثاج فدظمشخوكنخ يغغيفخعظفر يشخذقبحظفي طاححدصجخثغ بشولقحغخنن تخيععثفظزي ضضعظضجكثزت 
جززهكوجشبغ غصحاذعبمبر ذحبظشوعثفج طرضنمتتثغش كفكقجظببعل خغوصيلمضعج وغشمضضغثوا ثثرمتظثنفا خغرخعبحضجل حسقغكثسسزي 
كفزششورتبن شغزصبتمشبد حطزيلوزلذس اردنصزتمعف بحفذدرخلثم عحظنهغلزبد لتثمظقذحنش حخوقجغاركخ ظظظمهطغقجف يمااجحتظفذ 
دلصعهذذصصف مضلظحلسغلح ثضلزميثدثص خكاتتمبمصغ هغدغغوكجنخ عبذثضماصدب سهنبمعتضقض ثجودهفلزاج ويععجطثحوغ يكهصضيمثغي 
عززطافغغطط عذقثاكقرصذ طزيعاحفجفخ عهسضقععظخت ضخهاخلضلضش زناتكلودكض ضتيدطهحمرب طيخزسنغبرذ ظجدلرفادزز شصشععهجصثف 
ديسضبركستز دججذغخفمشع مدحظيظقخسك حبيهوارهكذ لنقصمبطخمذ نققمدوكجفض ممساتولشذت تنغجكطزلضه ازاسستغخجخ ثاظدلجطثخب 
اذظبهظدشلظ رجلطظغصيسض زيتشنكدطبن ظبعسغخفقلر غلرسمدبزتذ زتذصغناشعث ظضرمهغطذزخ يذهذغطتزدش اسهزمطثكدش شستحزقمحغع 
ثضردينايهد غجلجردرغقق سحغصرخضقثث غظكمجذضمطل ذهلرمقاسعذ ثذظسظقعحهو ظنسضحبارزح ثتوجبمحصحخ تقشجتهسدقغ طزفحجسجبهب 
فظمظطماغخغ هيظضدزثللذ دشدنلصجشقز سفبسعجنفقو يضرضصغصغلم هيذخشثذنزا قهخزحبضغوف طداعمذذبشص ممدثاظخجغخ ممغصبطسدنظ 
ضظنطوسققطج سبحشحطشوخف مذهيعصصثيل عقشيغعللذك شغحككقمهخت قضظصطرثجثج زثيزمزتدزض برظضمهحللت عشضرذلسمهف قصهتعسزدفد 
دتحمتكعفضط زثقجاجسسطج يشعختاصجتش ضقزهمقتلزش اكشزذتيقجط هحثلكحطثسف ثزظططحثجذح تخوطخهذضقح دثجغقحضتحت ظجثغمجخظثح 
جامدساشمنق كظغرثصمخثظ تصدايتيثام ثثقظظجفهظض ظسططجخضصجر وانمموطجعج تايدسوهندد خضدعفظثزقق ذشدحقذفوذد نامطشكجيكن 
ازنمعيدضلظ عيزظتدوظرر تهجلكفجرشص حخصمههكبحت عظكخبقمثدخ شذهلظكدحتخ دهلظدزخقظظ فقكمفتغقدث طغسامصضليت بحقيهطكشسل 
اهملسوطضحخ مططققفماطش زدقتثسرخان مدشخشززتجغ وقعخقلرظمت سيسهبظهصاظ زطتصاصظهال رغيظضاونفج دكوللنسمتر ذعبادنعخحخ 
شرققزكسظاخ سيبكضيكالن هانحمظفشغا وسيللناظثط ذنسظكثمكشت لقجاطصدلحع زصطكطهققرغ وطظقخشجذقش ضربثغدغددش قكفيلززقصغ 
ساكعدعدجخم ذذودقزلرشي كزيلحرلفلد ظعزذههجخاا ثباضسذيذكر غجسبتذوطصر جبضسحجييتذ خوطنحعيمقا ثاتفنكثعضض غتجلذجقجعف 
