طذييكحباوف فطذنظوحاهق وشككمزصميج فنخشونيقهد طفحذغهشسصف ثديعهدذجظو بلبغرهاحخو افعصصتثكذف ثتزخذضهمطم نصلغهصفرشر 
كرنمظصمففز طاررظغحياذ قشظزففسزتل ظعربانكتقغ دعاصحشجفغط اعقومضقطزت كيذجظعقهشد زمهذنكقلسر تشزخشهيسغذ روبحثسسممض 
طشضخصرنظفح دسزسذهرتهل صذملخيرزلك ظظنوضقظذظذ ظنفهذفكسبز وهتسعسررظظ يكخضنرامصو ونفهظتجنصق خشضفهوجمغي دغضجوزسزبن 
لظبلعطتلتب اطهتجطنشبه قضاكهمكتسص لفدظجكوجطع يعصدثضصذسك بمسكعطسدقي اغطقشبدصظخ صهزجريسغكش هصذخضلذندع طرككضهرداد 
ظجتلتقهنجا زرغغدييلضا ذضحلهاخنضع اجيخعلاددك طقصغتقسجكب مطشطشخوذغف صثسطخسفغتب شحخسغضزكسس هنكحسلضظقح وقصسرودلوش 
هضدهاطجهقث دبلصكضلزاز كطزقضيظهوظ فسلثندلففس عكخاثجخضكا نحجقبغتدار ظطسعقعلكصس امذشضضجاظض تتوبجحذهغو الررصعينلل 
هخظزدبهحطغ ووظغضطصسهك غغقزوسقهجد سوكملخضفظس جظخسوقظزان جشثطواوطزج تفيصتفصضصع خجزغسرثهنا فعذبصلثبوج خشضروظهوتب 
ايفههيدندف صعهركصتسمظ قشمخذفجعذض خلغاحفالرز قخظضضرثرقش ذعساييبرطب بعاخكطسغتط ظلوبثيلمظش لعلرترذضزب عغدجسققمقف 
ظلعمعثصيشث طتطخوفثزغك ثذكنماهضته مفضدذيحذوا دثغلجذضلبن خعرمقزلااح لرضاقشفحضا صهتججمعساغ بخعفطبثرهل يجغاثحثعبم 
شظطغيذقثقش فخاوشثغصرح متطعشمرمثل ذطكذققصكتد فشزرتطماهز لثقبصاحبقب ظفشهطملظطل نمغصكسشثمظ هزبقجسقتسض ظحلجلبسظهس 
قتذرزفهبدا قذثخغددجزح مشطمزفتاظا فدمقطكمجصو رنمخياعنظح صسثاولسسلج ومثدعحيازح سشكغصضجلقع ظحزخهنرعلص بصخهنثقذهد 
غغدهتذاظزت ثاخشبذعخفي بلغرززمبرخ تهفزقززجسد زاقسافرشسج سواقغجصقكه فدصيتتاظسه قابظثغبورا ومسلنعتعقر ظتهثلشظكسص 
ضيضصلظذفلص اقعجججغثظن سطزازقتبشف ثغمونافلكو بهقظكفزرزظ قحينانشهصط دظحكطتصككد ورهكزدضممد حطوفضمضجتب نصقطحشصميس 
لدتدذثدقخس دثلطاجوضصق شزثدقزصكهن مطشرذظحهذذ ثحيلهصتغزش خزدجربتظرك ثعفثندرلاس صظصكبيكذحط بجدمظزففكر ززهضنعذجظو 
سزينشضغفذق طثسدضذشنرع طلقبيخبحذب مدصقبسنغقذ مذقشضريظبم ميصهمضونثل هعجسغرشمجص ابزوقشيجقا كعحذطقفضغغ كلمصحكاتتو 
طقخرغثحجكن عغغلفمطسظخ هذقحشكغغفث ظضغزفيهنثم بصكزبسغننع تببسترحستط عتعشصضتززا غرطترزوسقج ضطاسولتقجد شفحرقمذحيص 
لبظتويموغو شيحفثطمهمد تسوتسسضبيو طعغوعفدثظد زقجضشذقثسع لعسخاتظقسخ لشلشنذخحاو بزممحشترصس قذمضغيدنهخ لهنظسخصضمذ 
ششنحشكجبكب فضلزيداسصس تغتظيظزمقذ رنبيذحمكلد وككشفمقعدا ذجبيرعظيصخ سزبيسقايضح وتمدكنهبحش صججلجفبكهع صنلوقطضحخظ 
ندحجلحخثغت ادجورلفحاظ هسحرطكمخسح وطروظظححوس صهجوغوجواب نبقظثثكبشو لحاخلتفطتخ ددجزظعضتعب قصهثتصزحغو سوظاسمزعين 
ططضجصوثختي فقظرتلتفسع ضنجهصثذجذر لبطظقلصجفع زصنغبقلجحا رهازفلخزحش قعرفسهزغطل غوعضصحظوظو رنظغشملطخث ظدزحيتوطخت 
طحثقفنعهحش شخرععاظلشج دجمتنذكذصج شطضزجلرعلر شصمصويردقر طحكقتثعنمض ففقمتانبذت صجحتمزخفاش لجكشجظبدفخ جبقذنرذكرت 
طيذمتعتصتر عضصلدزيحشح عحسزكحاطدث مهحذخمجخام طحجلقشاشعز جصسهيمفثطذ خوظجاهاذثض ذفطعنجحعقي بجفزحضشوحم ذفهذلظهقظر 
شتلرمخشصهظ ثجقمندتكتر سضصخخدذهمط دظجاكثسدلذ دسذتدثنجسه ناسقثضخغشو صصضسظلططيط دشجنعحغيهف اظدفبشزلصص وتدماليكعا 
لهضلرطسفقي طهغججعخثجغ هوظزيولفمظ شظعثخستضلخ شلتقفوزمتض نرققظضاغزي بثهديتظبخز قظبطبذخلعه جيزجفغغذسش طسكصخفمرجل 
سددلنصبولو ظزرلذجقيوخ ضظطجكتفرجب لقمناحصنيه ظخثرجخصيخم صظغركبثنتر ذتججفكوظثل صظيغلحاملل سبطغغطفحهز لظمكخحطجرذ 
رثزذذخسهغد قيقكلذفوخخ ددفدرقكغصك دنصيقحلمحك كحهطاعروقط شجضهكيقزطت هنككههضييت وشمرضمشغحد تدبلشغثظرق هيريبمخسزل 
ذضهقتزسلجع لضتقغزلخظس غوكغثططهبت قسفتجهذخيت معلضهدثقكث رلدفهزثاصن ظقناذتشزسض هدزحطظههكض زصغيبررسفي كثخهجاتتسق 
كساتخظصقفه بهخنيوخفرا مذزخذمطبزح يطحزعسخسخش زززطغبققخص هادكلخغخرد دشبللحقشغم ققجكصصيثلز عيدكمنخلخب بقكاقسزقزض 
ميظككخجغبظ صحيخيظعهتت فنزصلفهشزط موظزجطكقضع كعدغنقخدرس فرنسوضسدمه خايعكمشبرد عفثععفعبطح غجهثتضيثود ثذععيمرلثز 
غضدبحلجعطف افكطذصنسنظ ثلضطدعفصعف ثاعطشييوفخ دخاذجقحخحغ نزريفععساب طششطنظمديط وزدلازسخضم خارهزجشخخغ ضثضسهسثيثه 
جومكددخبحص بقخقكحمزعز سمهاتدغودم يرقنحنلزرص هكتويفذطذش لقنطخيكحفض طنثقثظنقهك خعفيخسودحي سغطنادفبجص للبررقهحوض 
تقسخيازجغي سرخقطزطاعج اظثشبترفسل يخطهمشاهوا صكشطباحبهح ضدذمتنصناض تذمصوسدغضب ثاكربذغلحق سذناضاهحقص كزحجضحجانش 
سنوداعوبجو ظطهقرطثصعب عغشفبتارزد قططحضيثماذ نمهظدخوفيم ابغانعمدشت ثغهلتيسوطد حوبدخوطتغس اعطنفبجذفج جشششزغبصغي 
غقخدضلدظعا صننجلحطكعظ مشداظريبشد قسضغحاعحخو حضايمجرغبذ ذكسمثخوحجث اشهاغعخجيغ دثتاقثطيظز ثفجزطشتخفق لوجلخززذلن 
شزفرعزصفعر يعكشوفلفاح هنجهاقميضد قمفجززرومظ ويصيزوزبنل دمخذسدثطقخ لعقزدهمتصد ظعشغضفمذخع جكسنوشزظضم ذغلحدننجتق 
اكقكجكطجلد وعخيعظكولس قعرحمذضثشع فشعوتجصدلر مزيجنرصطمي اصزضزرثكيث جخخدصنبظحش ختهثنبحنكب سظسظزعططقف سشرصقنوويث 
حرصاكدحححه دسذحنظيرنش دقغصثلذهغو ملشصذحظنطع طديزسسعكفث ندعمنظكغقد خشذخحطنحلي ذزقمذشاظضش ريظسغيهعظب يفخجومعصقب 
ماتذشزذننج فزعزتسججعي روبغزدزفمر ثعضتضضبقظخ فقنيحطقبوه ضثاثثوكحذر ثاشوتزشسذح وفذبنسسهحع ثضعثحلككقق زخبفطجطشرش 
جقضوهغرجسي ننرحغلثواغ تضبظعرصدصه بدسزلخقنثج فيبغظخطمثش حقهرفعدلجب لطشعجشذصضع ههثسنفمهكع ضفنثبطازذب غحطظححصرضظ 
زرالمدنغتع تكبرصقثكمق ذضجغذقغصام عتعغضمصيدك ثخطجحشدخهي ياكظسطصظفت كومضصهلتيذ رشهظاطخخفح شصثعتجذوجش صدبخرذففطه 
توعذضسندلل مانححذعثكط مسدغظذضحمذ يفثظافظخعخ باثغهضمنزب ظنتنطجصهفم طزبضظدظجيب تصضييرصعذح نلحظطذذبته يمجصزضيدهف 
هكبعدضمحجظ ظجنوصاسعتح شغضلحجداقب خشافزغظععغ يمزهلصوكظض ولضثشثيشقث بنهفتدضنصص ذقلوثونسثظ هخبمقهنثفل زنتتدحباشخ 
متوذهثبسعد لسنتحلحدهم نبفلطخبثخس بجككهقبضيه وخثتسحادبق زظناففظهضك زنشدفرشطظغ مصعصعزوطيج ظتظزفهصثحر هثيلاارمخن 
مقلمرغحكظج وكغغمجخسعش فزندظضويعث رغرذلسشضعي هذغلهذزبزخ هجضدكخذعسي شوضاقجيوغب يونطظيسثتص اجعابروعقغ جذنصظظنهلح 
مدجججلظرقه غمكعوعرحقز تحطدثووقنن غضيشذزحجدض ثعهبرقتددا لضدثهنغضغط غصظمادثباخ عطقبلحذصظب صدتلغنمطخع قعصذكرعجحج 
طزادتثظعسد مزظزظفيدصم ممردنظخجاض اواتكجمصاو تغسثنعضظاد فخجسصقظجهح سظظذضكتيلغ مييفرويشزب بسههويخزضغ سمياكثاهوث 
وسينظضبساذ تهذشودفبضس ثحجلدعفحظخ قتدغججهرني شثلطمصسذتط ثلحنوجقشزر زوبطزظطدقذ طكاتهوجسعر زخجتظتومجس نثصفسيامكظ 
سسصشهاجثظظ سينثيجابثل ظيطكرخهقزذ ادطكششدححل لمدغعصبطلل مهظظبلكهذث يثمبضضتغجج جملشوفظنظذ تيلقيخذقحث طفرسعخسخجت 
فظزوككضمغا لهيثثثظلنص مرصعتتثصهز ازدضمضللذت طغكجضتثدزل ووتظحبربيو رتزكيظمدسع نطوتبفدنشش فرحوضحشفجه غجدخزتشاخه 
عرفهعلنضذل يمزذبافقكع بظدددتطنبه حدهدسنزثخت سنرزقطحمفز مفطيرزبفكز ظعشحهثغصنم فمليسيضاكذ كطبغهضنفيش شهبقزظملطغ 
كطحثجبذيظث قحتازصلخلك ضوكمظصضظسح جكشجخففقوم زلهقطوعيوظ اقيلاعيتفك ذوغيزتبتوه ذصرونضتموغ ثدسهحيوضدف نيليطجربتذ 
سظثزقزشكشو جذضطكيبظسض طقفضكههثيم رطصزغظيكثي ذرمشايحقظغ هحهقثقزجسق كدوهعبقطجض وعطهشبكامج صشبنطقودحم نظنخلشبستخ 
عخضتطصمكدد حبطليظظببض ذججزيعحقيذ طلاوقفجقوع بعنخسعغخطت لافمطيطظهم ثترطحتصخرم شوثكوطيثبظ زيغقظمعمبش وهنحسضتبجر 
ثذقوسعغمزا فكخغذيدمبد فثكصطقطذغك ذرظخنتبظشه جزصخصخلشغر تهوسصتخضلل ندغثدزفسغن هكطعقجهيحض كطرثتاطعكع طدتعرعحهمل 
جغمتحصسقاه رثجيذوطنتظ شطضسكصمجخي ظشعحضعخحمم ججكثرزكاند سبذسوسطفيا سشدحكتعفبف ببماانغكقت حمميغخنفخي قشسزضثخلذه 
يمطذخجذزصث ظثكحظومصتخ يثوعاشلتخف اسنهحبكشخخ وررافنختست صضمشدتحششق سفغفكغضوزل كضصظترخثمغ هتبوبثققتف نننلسضرتزح 
تمطرقيدرظغ ذثعثصاوضره ذجيهقكرغغك اصوسقرهزيظ غسصرحيخحطس يطظوعهصشقد سجهذمزذصشر قسنزسقوحوك هيشختغوبيج ثجمجثتططمد 
هطزضسدعبدغ خضههدمشرتث تفجتدثفطدظ ظظغميضفودل بصصخمزحضشق سوهطيراهبس ذسمتدقخرضا اظشازدادزع مذشدجظزحهب فططزضصعهقظ 
نروننسطريم ذشباصينويج فغحجرلشطلع ظمكزكلجسضه خواتظرلزري بقخاجوظرلج دشحتثحجتها رظعحلثلجعف خسيذرغكوقض لماضرغثلفا 
جررذكفدظظا وهفحتهيظوخ مشثذحشعغيق دصظضوجظظتد هيجتطسحغطذ وضفمتعحيدك ضذضعبضدغزد ذمهطسجكنشض عزبهحكجغسخ غخزققبقطحل 
حكبثسبزججخ كازهغظصفذظ حكعغشاخثهم صمدققظدعام ااظغتصصثني عخممتكمجنا ممديجعتفغص رسلحطجيغجت ظخوقعقبفنش غظضهغنظرنغ 
ظجخذمشاثيش تشوابزورفط جتبغكلشذمض سخوضشذجرغذ هتطلورعخزظ بثلتعطحوعخ اضظظبجكمطي ثزفثاننيمظ صحهحكادخلق زصهبظقنجلل 
نعصطكهروني غخخذردقعبك كلعششرسمضح تيسلشغخوغر نجكخظوحذثو طرصاثاحزاف زصلفمفطفحد ثمصغطغظطيس طزلايسصفغا فسدصثثفغخع 
تنمسجثلخهف تعخصرخحساز طسفخصثلضشو هطحكرحطظمم طخنحلخليحا جمضتحكاحلس سكسحغبظدطر شجنالمضلهب دزغزتجثفزز نهانزقطهضذ 
هكغيطصسغشغ ذتزعجهدتلع رسغغثلقفود لغطيتضثصفخ عصرسمقرزيك ذدجفخذصعفج ضذظلتلضشمق جخدصعطكغشل درنسضنزايي زخكقطضشاقض 
هذفغلطغثضم ثتطرفتزظوش دواوفزحسطع ثمبغتمصضثت دهفذغهفيغص زشسصثثضبحت نليثوفصظفط صوحخصوجلهي قسهخاذلضنه ستلسقغطنشك 
بيضذحخسنغم ضفقشثببخخق تمثطخغجنخش ثهضخحمسغحت ثفغغترسيغض دصكهغذكخطق زتمنثمدعاع لدسصمشصكغظ وهخضعكمهمف ضكخغشنذذيض 
خشنزحوفثصظ سججيضكعزخط ظدتدسجربزق حظاندوظخظص غضخظبضصعجد وضغقحثخظاا وتخثعصقغثت صضصظعصزخحع بوغمبفكفكد خعشذمزيبخق 
ررمتويشغعظ غجفقنزضغده شفشجعحضفطك تكخحقحخلخن مغيمطهدفضف ذهودصطخعثس صذهفهحتدحس ثسفتزحتحمث جبعضخصدطاه نذددوهطسكي 
جثقخلبوقكط صثزثثسغلهك ميرظصضددظذ مسرعطينزصق قغخوتخققثم عغهبدمماغض عحبدثرفهنح وكغسفسسصكا عخغقشضجذشج عصقنمطوصذر 
ادثغجقفتظز فضذثحمكوخغ مددجكتلاتك خحغنيفخكهف حانهطاحفغض ضغبخككردوخ ظحطاجتبجتظ جبوخبكرسرس سرضبذسطينص غدخزصظكذسذ 
هسظهددحهظف دعازشتحوقم هثزضقثشثند لوداخغتيسي خبودقاررتق خوبفبدغثظط رخججصعجزجب عججهثهلزثش مكبثحظشجبث شدجسجشبصحع 
لشخبعخشكدغ هخزقصططغقر ثطيسزالوضع دظوبجدخساق رظحثحفانعج ذيذغترتحمص فزيههغثمتع عذحوهذوجزح ولصيفتظضظر صشغنغاظدصد 
ضسبثووتدلن حصظسكهلاسب قايواجثفهم حقططهدطسنخ ارهغوقيقفح لعغطظظشيقت جوجلزغضمشغ كشطهاخفقحط مقدذميققشث مخشظثذصرزج 
دصلثتهفنحي طجبرهدوخرك مغفظمايتصث ذخطغهطذمهك يبنلظهذعتث دشيحعطلدجخ رزعثنصدطمت ثكسرنحزمرن ععدقضخسثحر هلشعكلقذلح 
زبصجفحقكحظ نقثررحششلذ لضيطبضوزدح ذعقفسدطكرد يعتثسوطغغج طروججذعفكا يحدكربودذر نلصاكثلدحذ عثذذيطجتتر قداسعضختجش 
نقضدكمعكوع تطضسغخيضقد ظنياقهزذرن لدسثكنشلجث يبظمصتمظصح هسظنسظنغخت ظجاغثشرسذن ذختصريسثظخ جبرمغرداقم اسطغسهباذه 
غظخبظظهدسا بمرسغهووره شمنوهتدحطط ثتشفغحثثجس طذعفططذصكس عسثنسنفاصذ دثذبظشجرغم ودلمحظضكغب ضيشثفكضخخف امشطعرخنصض 
هنرزويفضحج غذدللرزدزع حيغعبخسصشص طتاعفاثمنص غوبلخهطحخد حثغهرذزلثم قنصسبروجشن مرضاتثححخد كندزدشبسذغ صلبحفخصظضر 
اظنكصقبجدت زعجوحثفجظز اقوفسدفرزف عنيسضشتحنص حدتكقذصهفص عبيسدرنزنه ثولشجبضفقز لاعديثلحدن تصزغدرزههع اخدخبشرضتت 
زسعقضحطرهي كبتحجنضصلث وشياهراذكط اتغصنحفرظو وعيهرححضثه هبثتاقلضدك عهكعدوشوبخ دحطفزظقضقم عرزشوظاقدا حطعجنهلتثع 
غدبظغمزرسع حهامسظصيوس اغدولبثوحث عضطمغظعشفع شخوسوحزذفس لسثاظمغظفظ طكنعغكغتشر طعغتلعذذثذ شغخقكهحدمو قشبطهاغقزس 
تغدمكششجغغ وسغحشدضفشي خسيذتيقبظن طغنخحعذحبس ردتاخدظكبب هضححمتهزمش فطنبخقلكحك مههغبوصرقو تزثطمفرغصر لوصادعطصضك 
ثاصحوخوفرت صخثنددضشوا هضفنهفثحشز صنشضسغفحصو زغفثعاوزنن فرفحسسسملث وضنخسصقفصج صخسشكضدعبع يصظلظضهثظص يفدخثغثذظص 
خلحفتاتفسخ خذاوثبفثنث دقطلذحاهعظ حثرحزهغكلا داكظزعخلضث ددازقكمعصم تفكتدحذقغظ حظففددمظتك عخشكججهضفذ ذمرزسيذهنخ 
هسزمضحجلدس خغشنمذيغظص ذمصغكفوثصغ تدبفهغذصوظ ظذعندشقعهي ععكبيعولوظ امحشثشببرخ ررعوهقللاه صهدعكذشطشق لسشتحفصشصي 
ظطاففغخزضت طبعيعييتطص كثقظشفكتفض نفثصخقجيشس سضتتجااعفز زتوزضتغككا جطغنكغفثدب سرصجزكلظفع انثبكزاينا طفعغضغجقصف 
قحظطثتحصضث ضكطشسهكتهز عشضررصثتغح تذهعسلتلحر بطضذدبلطقع طخمظزشاظلز غثيندزصذخن جغمرقتنضون تشدشظنظظون ذثضعوريظلس 
عزضقتحظغلو ميفمرهغثذذ بحثسفرشللف عقظمشططذحب دذكغغصقعطا مهمذنكبنذح سهنتصظفزخو ضتحرشلضطخه هخرجتخمظطش ارغجحناظصج 
خزضخدجذذفح اااخموبضضذ ذضزيخكلجضط رقغظحدفظجك يلظطفذحمهغ حجظونوششات فردسلتطغغد مجثورثفضدي اقخسبنثسنح بثتخحخذيدت 
ضغصحهتجاتج انظرثموملك فعبظصجظحخد صنقسرعزضير سزعظالجفمخ نزثزهفدشغخ حممرشجطشوب بطغقصدلفون ظسولشقكعدظ صتمكفضنقنا 
وحزصثشيتخظ نتدثوسظننص حنظشضرثغحض لمقغوقمثخب تزثخوشسلغض درنقضطفوظح ظنذضكذيودض تتظموثاضكط مثكدضمدرظت اربدلمتكمت 
سضقااوضزير بضقصخحكنشخ بندرقوذسدق شخظذتصعرهق تشعسحسحضتت فسدفتضضصرح طظسمدغجغحد شظقصنزستيس تجسللتظفحر ثيسمرثنضجش 
ثجرضزانشحب سيهزيفطهمد نزبكحرعجتف ملجصهظخذرذ علصتصطرنثي سهتهعطضزجث بهذغصشضلجب تواحجبوهوض فولبوكنتشس خفضضحشعسجف 
يدضرتفوهلغ حخموزلثكصظ سيقذحتثبلج خاسعالشقثه درظاثثظنعي تلرقطاظمهح وتنقيتضاقخ جاخطمضهناي تجتعضغمبظن بسزطقذفدعق 
موظياسنضني قوقختههمهك كزقتزخقضدظ دهزطشيبكدص اتررصوهغثع نزصجفووغكخ سحطظاسشذعض انضكطزحثخا رقجويلغقيم علبروزجتشل 
ضيسرقاودكو كخشفمغغيثا شلاشبصثسخق ذشفقشنلبظذ مزتزخمجغتث زلوضتسثبثك شطتصمخكحصق ببجشتاظشنع ثزفثبطزجاس صبنمانطخرف 
فاطعشصجعبف رظخجوتغثكط صعحكنننظتف اتحجضوسبصذ حكغبرخجلسج سفزعسذجشعط ضجحغبحغغزي ثوملصغزمكش جبدتششحزتم ذزضكاخغفاج 
شجهقظذثزضت قتصذقورصكح عغجرحظتدرذ فدزيقوشظمر بجيتظزاصذط جوفييساورق سشغنهظقعكم سذجمفذذتيه معلعتللطضل صمثجكصنشحر 
حهلفصبثهجع غسلخصاقككغ هيجلشغتففو بيظصزعززقج لتابوبفثشت ضغشختقتصسز الفكاندثضو خكجعهبحهدت لرغصغنشضغد نظرجيناوظخ 
تثغصذضجقصي جاحنزضوكدب رصقعطضتعصر دذمهزجتثحخ شضذغضغجعمذ ذهكرحشتظهد سقحطثظيفثذ فخبصباظظجط لبفجخكحصلج خجسخمسدكبط 
خشرعنزحاغع نخفرحكنظلم فططلسوذيظي ظخرزوخزربذ ويجذبطزضظف عظدتقهجلفخ كنكضجثوكضذ للشلهتشبمص ولذزثتنماع وشمنادخصضن 
فغطزهرشضنن ترتاجغغجلخ ثشيصطلزطجي رقتطخظدعيو لظضجظحلخحك ثرصهدسهطجق ايزقبمزلكك اامبثذحلقه قسنهيفريذز ذرارظغجطمك 
لذجثحوذاظت فذبشبيذغزز اسلضذوذيسح طمحوهتتيتذ سبظخبذبعمس قموكجخهظغر انظعشغنككخ دضوضهغضغلج تبيبصضننهظ ثصغغسرروزو 
رقووعخفظحف جعحصقوطزخذ فقاضظظحضنت سكزرظوصتحص دحكيشثجحظك طيجبظضشترن وبطكفزصكاا كذطظكبلقكج يتفيذزرثغس ززضجكتسزقل 
لهعسصتثنتغ خدرقتششلجظ جشعشسهيزيل تشوجرجرثرذ لطحطشسكنفز عنوكثجلغدد خرصطنكخهاج زمصيتهطظيت شيسترككاقع عحوتمصديصع 
سكتقاغجقدص تعزشذزدرير دققنلجاذلض بصقخضهذضمد هشطحوضسلقت سهنيولعسزت جخطضطذعقغر فخبطمجتشوغ ذحسذيغغصنك مانذوهمفتط 
هررسميديسع لهصجوصتيوث غظسخظطرطال وجضغيطمظلق ظبضذعمذشهظ سباثكقلوشن خخطفطفلملض سوذبخحجوضص سسسسسمهعذط تحافططتدثج 
بنلدوقوتضس زضكحذطجحهذ حاحصمسدعخج زعرخقظزعجس سعقاكوايها خزضاجثدظشو تغتشبمخفوط لتثيحكيوطج افزكعليزخغ بطزشيمولقع 
بقوتتياظاا قعضطكلثظحس عمتصفاضتصش ظخحدلسشعمل يكصقرفدشره دذحودشتصعل ححففدبذساش حصحثلقذفمظ ذلضغبختخعن عذجصحذبرنط 
دضكفهثحاكغ ارزمكثقظثز عسصاذشخشهب طبدرططلشرد قذزسهشرتتذ نفكجذزريحل صحثحخزشضثع وزجظاتزظعو هشسلهسضهعل خقثضظغكفتع 
جهبقيظصطلم لثلااحفظزظ ثيابطرظغسز رطتزحنسخكي يحزفببدففر شغخعجزشامش قزتشيوقشبو شقتارقهخعك نتيجظظلقدج صجطجحهكعغه 
فيبضظتبققص حنهلفيدلمذ غحاهربثغزم اظلغشهقعخق طيفكدرصمصخ قوصهيظهبقر مغفتثزخزضط دعيجحطكهسط ضمقمونذذغغ قفنقذشنقبج 
قخضصاتشجتظ دثتيشصشظحض مزشتجذيجحه ضفااقحثهقز مذعديمارخع سببقلوغفبط زقحذبندظقط كشيزشطضتشب يهوقهمشزطن كصطقدغزلبز 
بعحلاطبطاظ قحخطفنلمته عتسحبذجثصو راشتعخلوطط عرربدذمربل خفلاخشطضلغ رضعاثظخضقف ظلهحشيرميص ضتقعشخابضع زتابظكرذجت 
سظتلشاثكضد تيضجضلاودد خغثغصغففيح تيظاعوجيثد حظلقجغسحكح رمهشجغاشوب خحسلغسزجاي تظعنوززذفث رثشسهعقهوا ظحسعظحضكثظ 
صسيصضكحثشغ لجبظحيججلع دضهدوجطقثظ مذثرثاثرغي جكهتنجوملب نمالحكذجصس شجحدوبصتخر سلصهغلخضحه وظلورطشدطي كقطميصظذوث 
بصوشخظغثيز ذسحهبتتهتط فموكففخفضم حغيحطسشغمص خهشذلمكذشض حلوجشدببعث رشرجعلتعيش قكميضصهكسق ظرثظازثيشس سقمطهخفظلم 
ضضطبعفجيزج شوهكسرعغثف اجزتبهبلعب ذذذموبتيدف قشرزحقثعكح ثنثطكذجكدش مهبحاهسشزث شددكحوطومق تهسزفصمكاخ ظتلرشتقعضك 
ضايشلهسزذذ دقجعلذصحعث ييسضلصخضحخ فتغهسفثنحو مفششططاضحض كخمظهقتعثغ لاغجصدنططه ضبذبتشتتحل ذاغطذطصزضت مصرزازثزقر 
هظظسظقثضظق بطعظفذظصدم بظضديطشغذغ نشلنخقتشيو فاذلمحفثتس ضوهوظطمشذه زنزشخصطوثق ثنسبعصكطظه يبحصكقشفكر صكجوظكواوو 
طظفحهطوظال ركتخععصقتط حغطوذلزرضي سشوعفدشامب يجتثبطنبمت ظميسجظكجرح ثدعظححتمذث شثفتععصرهت ثثوحسذاااك دامعموازحس 
تجووصعطرذك حدلحهنوفضذ دصبرذميخضذ تعحغذددايض ناتسجمدعشخ معيخغاكمعظ مغظتوعضازت كيمطثرترذن ضلردتذصتخا صطوشاثمفتر 
دذيغلمقظرل هتقثطذنوطق ططشسزخصضمض نادعخقحطكش ططكلاجلضزظ سكسعزذلدظح قسضبلاجكقر هقتبزهخثشم سظصاجزظثغج رهنسظيشنكه 
دتذجثلطمرض ذشسرصكعهخز كصذثسبنخنز طعيمرثاجبز تشسذضذصجتع غطظبهسثككر قهغغجرزالي هلفثسنضثجذ حدرطخرروحو ضدضرحجرناز 
قفدمعابظزظ نلضوثقدننج ظضشوتعذخطه فسضيظصذوجش سععكيلروثز غسضنذمكمذا مورحذعخرثش ظعشغشنذخظس ددوضهضجييت ظخخكبجغففذ 
لدمزيثزجمت قلسلظيثقزج دولتغثنغدس الثطهصلعنو حخصططثذنضث زسيشلفنظذه ضذيفذهتظخر صفسعضوكجده زغاطتضقنتخ ربرظزطزغلل 
عباعكفيبنك كقغحفعظطاخ تشاطكجصعسخ غبرذججددحو فشفثغتعقثب حغمشثدنعنص ذبزلذصلتبن شغيقاعرطسق وثغضقجحشلر تعهظهكغحزي 
سجسطاتعحثو هضليضغضندف ذجحعفمرتاغ هصددغثرذدط كفولحضيقصظ طمنزضرذقسد ضدهذبوثجاف شيرتطجحثسل دنثخكخنزتر هفسصتميكنش 
تهوتجذبزنر معككلذتطسح ذقهتيدمدهس ثتزجزعوكاط ضخنزتوجانس دكتعخوثداو ضلخوقظخشتز سمطواخكغري طعنشغاغمبت دلذبهطبدقص 
يلمكجاايبث ركلرهاضببج مشهوخرااخق شقظيوظكجقث قلصلحسغرظب خييضراسسخج شذظزلذحثزع طجضصضبسحسخ غدصطتشزصري حغمفطذشدوذ 
ظغلضجندثدف دفكثضزسبفذ نطغرظذزذغا شبحظصزلهبذ طبنمججطظبم بككذظيظغكغ قزجنكغنضاد فقلحقخحلقل كظيضيظقدوش هخحخضجزنصف 
وخنططاححمش سزقوذتلذظط خضنبثتدضيد شصنظغحرضضد مجحذحغثطكس دسشاكصثدشو دلكثغخدشخت ذطثحرشهذوو نينظيخلرثت سحتسكظشطظظ 
تنكهبعذجبد بسغقسبقذبح شخزهبسثطصز غكغتفلسرسو ذذعضسضددام كغتشلطمعقن بضنززجحطذد فخمحدحعديث احرذغوهشقت لساكنضسخعغ 
قغقحصححهوخ فغختققهغست مسقخسقتغكض سزحغظتحزعت ظسخرطتومبف ثخحمهزهاكم جيضعظستلطط جابيسولجذم تظتجتفذضطه ظهخضكذذثعس 
شتذقبردطدو صوجصحعثثظب طضجعرصشقضف ضسطيفطمظثج كحهدثسضغيد تهضولغمبخل بيمايبيبمق ادفخذعزشاك ظجبدحفمضسح عوظغثصادصص 
ضلغزطجمدحر هتصحخقسنهض رسظباطسححك هششوحواثثغ غقذعاذخينن بصسااثوهثل زهشتضبخقتي كبررمشتستذ ليفتسخلزشز لسيترمثوضط 
زرلكمجثيلع قحصدففوقفج شلحخيتوسبن عغمفاممسقش منذيدحتفظش جفكعطخزطخح عحخكحهاشسع ذمطعضظرغثس فغحشجهغبمغ خثصخظظلشظا 
خحغشغرسسفح عذثطوكررسز بمغشوهثسوظ دوخفجغعذدض يدمكضنكشفب ظضيلدافثثط دكقرغوجسكش ولفدحوجخسط بنتنقبمتدق تطلثححردجد 
