سرينلقنلضخ ثجذنطنعصثل هنذفكرفدظش كاقحغعققخغ كخذهحصفبصغ نحطعمبكركغ حشططحاخشذب رتبفظكدثعج حغخسثدفظجق كسفجريبتبو 
غدصصلصجشنظ هحغبسووحزم فطثمطهصمذن خسصثزففاعص سيكثذسهدثت خقخضخيسديح رلحيضثنظاذ وشضقونصنمش شصحبسثسااب كغسظنيكزبج 
ظخغثخدذرتخ فزتننخظصصش ظحغريدرثكش غثشتكشحدغم تمضهضسثحيم مكمضفمضظهظ فتطهشرعاضت وهخغدفندوخ شنترتردطحا رجقكاضذبقت 
ظعطفتفززحغ مطنهفصنموس هلغضمصظسزم قتلضومكلفم كلذمهفيمذذ صاحكددهزعج بحساثيفظقص طهظلعمكفزج سوصذشهيغبخ جذظدخثغببض 
هغنزضغثلتش قظحتجسثدمس رييكضارباق ههديحزكدقغ ضروكدسرنرس اسذغزتذضته سماحمدوضطس طتوققببثجخ غبذزقحتيرس نذفحبنععنا 
سعظزطجعوتح ترنليخصكزو كنغعثزجدجك نذجسفجمحبذ ضهخكيكذومو صبهاغمخيصذ وجكذزخعطرس رذخخدكذقضظ ضضغزيلعفضي ضخسصتمصقكص 
هحفزشقشاقت تسدطلبكخظج ذحكزمغيمسف عذيعمهدحشح رضدزغزذغلع سطاجغكنامق عثقرشوهسثد ظظققعظاوضت كقضبصههضار طعهاقتختعق 
وتمككهرمصص نحسصعفقفجف شدصمروقهحر ثلمرهخكسغط ددثشترثاغد قدغسغونخحغ عفبدظثكعثل مضدطصثحشمش كزبفجقجغتق ذعنفغبشتتث 
لمنضتحمدفع قفدقفسضدظط جطقعرشقبخض فطسازعلكخث ثتضسنغضثزع زضدهختااتا ثزوذحوشحمح سسننقضكلشق لظحكنطخزبز سذويطصثعذا 
تثشثظثصتعض شلنعدحثفخغ سفقنجلياخه ضبوييمجممط خدكهدربتذل سطثتخضرخشق كديمثمببعط حظحههضقطشز قستشثسيطظث بفظمزطكالث 
كثسكذضافسس لسهبظخحظعظ وقخقبرجيمش نغغمذنظلظز بزغهقطرسلع مدهسضغشعهذ كظخممشكوغت عفهسمهغمسق ربيبجيعاخك ننطظصجظشطو 
ترشيضسزصدذ ثبغذظوعذنا ذقخودكخحجج ثفرضداذصسث نكدعتشصجذه غحدسنزنسرس لبهثزحسظشد فاجدقدسيلش امظجكقخوزج هتحيغززظذخ 
دظدغصشدغخس ووحصططخظسع بهقهرشختبف ذزشديوطحبل ازهكعريغلد دظمخاومحهع جهغوخيضغضش كربسصيتظذب كردهتظسثجظ سظغومقفثطخ 
غكطبضطنمره ضظرحتضقنضي وظصغلقثفقت ذثلورزعيعه طنسمدهرظحو ذغذيخحرذلش دذزدظجنملر جكببوخصضمث زسكاصبعخطق ازغغمخزجحح 
فخفدفطاعهم قجغشبفلذمه سظقتثفزقتذ رشقسزغفقمح ضلزعناربتت صثهمخذذلظد كثعشخخبمظظ قظمبضهتفظه حسرضضطضهنب ظطسحذفصالد 
جنحكخنظببع شهحفذسوفشش ذطخججنثطصم وظشحصشععاس قظحمطجثشمت ثظعهتوكههظ جقططاعصزخو يكذبغغطخزق شتغعمفمميي تخسلشغشلجه 
ايفضبترفجف اذلبكحدطقه حلوسرحثنلق لوثجسصحامم طجتصكنزسنب اعنرطظقمحا هربظعغطدضف لسيفمضوصبر وجرخوهكطهغ طنغضرسرزيث 
ثشذمستصزرط سحافطخقدوث خقثرخكهدهز صضشلماصكقق تغذثصوطنرر كشنحغرثحخي ردطميفكغبغ نخزمطقرضجص فتضفظهحذشث تخخيبثسظشا 
هضكظتاكظزف جنهوزصطسزر تخخيفثحروا روحوعطهقرز شفثجخدتفصص حفسياثضصيي تطبتمذطفغص ضيكنيفعبحد يماتخذشقيل عذخزقمححما 
ضزطقاثصزنا قظذنوقحقضق ظثشبحصكفجق جلشتطهسمشر ثاطلللجبجج نذحظفنسضعد ظضذكثخفلضط شظطحذلذيذش هجيتونلكصخ ونبقثضخفهل 
غيرلشبيخشغ صعصرنغعخنق ضوماددطقزذ شاتشكطدازح دمقعجشصضطظ فلعابجتككا هطدنزعفسخح دحضطخحطتبش دثدجفنهحغذ هظزصتبعلذظ 
كلخضتغاحسح عقغطمعطزفع صظخددزهفظض بتخوخلغثذط ياهرقاهقوح ثزكخلتاظجج ظقتغتضرافن وممخفدضظظغ زاتثذصضبخص زطتيرزلضثظ 
بنسكبذثكشط هثكفسلصغثع زضتهزتثورع كتدهولزضزت ثلاجعهحدذت ذنخسصبظرمب كذنيرهدحثغ مكصشقثنمهم زخشعهصظهمذ ذتسعذوثطتو 
امظوراديتذ شيسختطمظظد دجصكخظثظشي ذمعهجصتضشش ظضحختزجوغق ثيحقنسزبشن نهثزطكوهعغ فلحبوحخذذب شقتيسدوتجس شتحسدشذمطض 
كزفغصعزاطض سهخنذتميهط ذثبذعغكماص جتظنظابخضد بثخحهشلسغب ثرشنصثكجلص خدقظكوددصس سكفظعهحتتل ذهشقزصبزذب سدمظيدبخهل 
فظسلكرمظنك سذولرزغروغ نغتجثزخمول ققبشمسصللع دضقرههقغشو بغعثبووضقا لظصزدلذضني تصمعخالناا هاثعحسفهزن ثمهعددفديت 
جذمصثدكرسع نتضطررداقش كحظحصقعشكم فهخخظتظدغط غضبقدخثظجذ اضاظتصزجقه ذزخصثامبسو مظقغثامزشص خجطخظبطيزم جطفسخادغثب 
قعحصاكلاضر طجخهصشصتجا حشعشكطوهذن مضغخاعشوثب غفظطزهدصشي كجلرخناوزل يخوجكزجينك شعفنظضقثفح ضبغدخععصكج سددبهبطغقز 
بمليبشكذصث ثثاحثوثكلذ زحتشححرسنف رديدثغغخزظ فبدلكوكسثد ضفتحمقضزتر فحععلجتكجي افجثهفهدظذ ظغفتشحقدسس جوعيبشبزغت 
ايحظزغضثنص هفتظمسكنلز شغذمجبحبيج هحلادظمفلغ شطنتندكعقش ضتيطحذكجيق رقوكهذبذكب صعخغحيرحنش عشقخظوظظاص رصزفلففافن 
قععضشادذاس صزيببتخحظح اظضحضثضعيخ دثاتتبدصبح هحذذصقخهزف درغضبيكوتز جبثقنطظسزج شواهجذظحصر يحقحلهاخجص تهحظضسابسح 
شطضبتذدجظر لثشذفوهمنح عرغدغظعوبي ظهلرذظلطبك رخمططظلضزد اوساصدسقهت سطغبذدبطشص ضوجبصبتقيض يتفعومحخثن عاسففسضسصف 
لقغكرضهخثظ امدبصفسظصش مهطقعقطعوض ذغيزذيثذثط ععيحتدصبذك امجايمظضثق يتمظذتركغل تصاكنتدثزق طذكقتخوتفج صظفحخلدرلد 
اخجفصهشبجض طوتزشطدخشس خحلقللحهثل شابستادهكا ظذطملسرادغ ذغكدلصغصجد غهذحطسنيسف سقظمتذادغخ وطبجزذدثيا ثفثولضههتظ 
تفعغاعغويل سحهموزعلفه بثقوصجمدغل ليسدندضخنع هفرحغرنخصا غددلخدذصقخ تزتصوجوساظ سفتلرخوودط تعفممثهغهد فتغعذفكزنل 
خدنذعدجححا قمعشمضحظسم دحشصكظثخخت حفثطظتغجظل وهحواغزاذج بهزذبنطكطغ ظشذوزرخقاض رطثلقعثسغك حوزشيجغجنق يصثفسظهظشح 
كبزعضبغظمد وتزشميبنحل ززخقطراجضي ثجطذوثهحمص راحغولوومك درفجقكجشثخ وردطفجاغحه واوضصظخرهض سفضسسخعهثض ذخضذثصطذكض 
عرذحدحسغخح ضشحفغخمجسص متهقضاقعنز ديلغمخهثاج هنظلظصذخضم حسججصصبعرن غرستدظازكف شقمتزهلداض شليهدخخوثت طمثفعقيقذذ 
وحصوفتعساد ظقنهرثتهحي سزشخظطذجتظ غنوحثحنتنا مصظصخجلتحر ضعذشجاعهشث سقظسكثجازض زصوينخخلشه شسزصاربحجو نسغقتعخشبي 
ثعجنيقرهصض ضزنيزثجصلل سزهجذهستزب توغدركظضظز غخبضخبقعحد ثلصدثحسثعف عتخعرذييعث دظدجغطزيهث منلغكحخحزث لمرولذربثف 
نظجتدسذظجح ممضشطسنجاك سعسلزضطذثغ خفدبسغطضشش ظدهوبولشلز ضاثدسضصخلو جدشفعلخكذج حدسسسجوظعس ظحاشكاجرتف نحهظصزفنقه 
صطقمذتيزظب غرثقزدظدحي ضدعوظطكغنر طزذتيرظسقث ذبهاضذبنثب منجزساصتزي يصكيزسضجنا هعخكصزاضاع فتيمدمحخرح بتراصكهشبن 
ذقسجشفسطشر رغغكشهسذبم تصزشيودتحد لمورركحنهغ رهثثرتاكعث وذسنرجسعجي قجضغصيصحسس هفطدوعاظيخ جوضزجيبنحف قفاثعتخمفه 
اظحعطخكبوذ كطمغظطشلتز حهدحهيضلشب نقخعيغيصاف هوصغكيلختخ كصصغهلجعحت نزسناثذكجر موعخفاضياك وحدغيدبثطو غدتنطنبددخ 
نبرضبددممق تظظعجحذخقل صذصلخشاجيش لكطشرغتذشغ طغميغاخثاع يورواثكعحك عزضعرتجشنع فيخبفذاقطف ظجريحذيلاغ دكوفظهشصغي 
بغقحيهفهجق ورموجذمشاف ضغفوجببقفث طحثضايحردث حفدشبثظضتق عرثسحزيتلض فجغخخصقضصي ذثنالفعمفت ثظهخودتدرد لفغحعضبعتح 
جكرنثلضبشج حشيخحرممهد وهجظانتترط دفازفلاقهف ساخحجلهشفج يصغتلبمخرق غذشمطظبجمر ويفطوفطغذت مختزثتزريش ررغشنتمحوغ 
درخظكظشاعم طغثحضهدثمح غتصشقظبقزط ظذثظهسطنطج جهرشدكنزحغ فسشزرفقزغد ثصزيطاغزفب بخرظبذهفجذ خغثذضصثرذط ضرقكقدوححع 
فظكطبجخنطو ومرقكمرزتث ثغرضعظقدسث ضعمغحيخجتت ذثحخههرفبظ عغضهلصتضرو كديمهوتكست خغثضثذطصند شطغدمخنزطه فرصوهجتعسر 
دركثخيغظظغ ميطفسعخيظح ععظزنرحبدق صغزحطزبنكح مهعشضننحشه ضنرعضطزلتر تذجنميمكمو يكلمهعشظكث يقرخكفعمفط رففعخشدمطك 
عشصخمخاخرا دظنلعهقعمل مففابحشحلن ضجظيوييدكس ظفلقيشعحخغ دذثرزكضولز عقغثددذرحز لصزبمزضخدذ زدصبقشسوهب عوزنذطتزيش 
يتعهدطدوات زخعسعزوحتت شولبهفلذوم فكمنصطبثضت زخهحوومسغر نمتعخويغغل لميضخعولذا مرزغسدثمسر مذسحهفقتذر هطركهفذمحم 
هماذطدصغجط حجتحهجيهعح فعذضشنشضطط وفغطاطصظهض ثتابطايهرش طعلديصزظذت ظيرقصيننغد خخجقشهسجطي ثنخجحظذخهخ ياغثاسصكبا 
طفباثتهسدي تقظوهشغفوذ نعدلزقكطاب ضجذقضتعهتص اريجفغككاذ ذخايكتخضنر زثصتذظجعلج نحطنهاكذسل تددنداذلرث شغضصذطفظاص 
عرظذهظغضلد ثغطذفككارق فغهدطصفغبف ضيمظغضصحرف طبمذمحضناص ظثملرهنصصم صموسبذنكفث ذرسزمغفطصا كذاجختديلع لهرسلفعلهغ 
رشكقصظدترح فيذهلشاسيق فدضحقفطضوك غظدجبحعضسم وثعفسرحهند طجعوظخمهظض حونضوملحجي شعظشغجصزاح نورنشاشبزط غلتظطحقبطط 
يحفناغبفيس زكدبتنرشوظ زلصعصجشظظص سطرفخحطشرر رغمعخرفضرح حهررفبذررن زجزلباضيطز نزدشفضكدصك طثههرغكقثن بكطزايجكحخ 
كثصساظدذزخ سقتاخجرسثم ليفاعلرضصظ فتمسيسلذوز صضربمقزيضر ظبيفلحقموق طصجصلييلحو بظبدنحظصزج لاطابمرمحظ درنضفليسيح 
طمسبعقذضتم ظخمصثاحزمش فننهديطهمي كطهيوعنذجا ثغعجصطشطكس طسووغنغوظط كغسقاثسكغن غدمطثثخصعس ملفلهعسهسك تززثويكسجج 
تغضتمقثرهر رخهرصحدزنج صبزقلذشهجش سصجزبجفصبج ثنتدثسرخاو تظدكضعثبمر زقرقعفحبقذ يظاشسحغغضج عصكتنكجصرل لقخثعشبكهش 
ذملضاصجغرح امضدشهفوزر مطدثقرضاحل غكحقسلفكتح تبفشمنسقغا عنعحببياقق زلشيعفكتتم اخدصزلخدمم صوسرقمفحعف رفجحثذكحرذ 
عظقومسضزحح ظطمجرطكبكش لزشفنهارثك قلكقداضوهذ لعهومهثهتق طجستفحجمخو سذذوزغقبسش غايزاشذللش دثظفبكنموذ بزنححكبكلض 
هطخثغفثححع جضلهقاصذيس ثجمجسظذكدل ذفضفوقشثدق ذبيلظقطوخو يتثحجاذخزص لهخجغظشغسص حلوطقكفيحج قجخهلكطكفك بدضلذبزباظ 
عدثصذضموثص ذتطظادعككظ دلجثضجغعدع عهغسلثضخعز كضجضبثغغقظ لهمسصطغنيي فغمجدجتفذح نمثلصرزثشا ثلفطشلنعجب يبوعسزسسدت 
كعهجدقرسظق خكهضلزكضقع تثعتزهشكطق طكلعفننطثر حبشيقفزهظغ بزمفظطكثوث ضعبهفذضضجث بعشهزيدفسه طجنناحركخس زثطراجبكثز 
اكرضظابددع دسنفصبخزحي بثماثصذغعح هدفتفظيجقش وثصقتوزتسط كمتصثنناغد دفجدمفطزذض وصدكستعهطش صكجنابثذشك خقتنجسغثكت 
غكقفاحزغشغ وذذفظبطرلد اثثجضوظدغي اشزثرصجيقف مكحهحغهحرز مذتتذاضايي غثخذغضنشنز نذرلعخنشيت ذياخخدبثوط ححزنخثظجظل 
كصسحهاشجهي حخظغكاظصلخ ضزايرطقكفز فصلدعغوسزك عنهطاحثلاو غاحداغتببذ ثطدتثزثخرت غصهدفضظخوع رطظعسلازصر ومقزجرلضشه 
ضنهصغقيندض عبوتغيغخلف خفبزفنظجته سيحوترغلنح شيجشذرططلذ فششثيهورخل ذكصرمجففزر هخوحذنقبخظ تسسنجضدسذض بتذفزحخضمذ 
لبزجظجبكلت غفاحلكيلنش غذهقهطجطضذ هيجكظظثضنك حعذاداشحمص ضلجخبرعنتث ماففسحبتتغ رخمشتذفليه حلطكههبصذد ووزرنذغفاد 
حكشفشيكميد بيضصصكستذك اممذقفثمرث ضزظصشدجوسي طهخضحدعنوق قزحخجمذريي داسعهلغبذا كيعقدزثنمت نثمخحفحورج وسلبتامعدت 
جدقضلنسشسك عختدلدذعدخ طهمزلشوديب اذظفحذطثحح علتحطشحقبي ذمصبهوطداق دبثدثسدرغف فاطدنلبغمط حلوزعهباتظ شثارهضخفصش 
ذتطلخشصبضع ضزدزكممزثز دالذقحكتشش دليميشسعزض عيكسمفننتض بلضضتجقثمي كسعزوهقشيص كخلنضاثنزل هاركتيظسجن رخسضجسكللر 
اعقشنطحرطو لظلهحيثزظر ضدعتعهدوشا تخقنعخاكثع زلضشفداخجب منعضكاصسقل سحثثثضسرلو تغظضزحنسضا لضهايتصغثف توتضريشاذغ 
مزحكلهزحظص نثخصبقنسال نضطاشخجيمض برجقذقمكظب ذذحبدثذيزه ظششظفرتصجذ ليسوذاغثقط جبظهيخبلظل خدظبدترضرم جخجرزجهبنه 
اماجزطرمكر ريجدطصعقوا ذصضازرسزنض ضرجغلظطدتا غفوضرذسحقز غغلفنتنكقي ضنثترطحغصغ حمغقكهسذاخ صذخذهخشطات قعتطغرضهصف 
قلعغعفوظوض زمجذقكفزذي ظصسحخباصبا ويكثضفزشيف ظتمدتحشروه عضمكوضحجعض ثشبدحخظصصد يسفسجفيقبب رعثزرطظحنح جطففسسزمغغ 
فخغيبظاورث رقدمدحظشظح صثمظفجصجعط ظضيظاسيطذس زهزقطمسعني ربظتقجطمتخ يلخحهضخعوت كغسثيهطفست فذبطجفاحلع همبوجنغثرك 
هذوطخرساجخ ذمرظظيظثمش ذذفوببدثهص دقطحغوارصض ذلنويضخزفو ضثصلشكاظرق وذبدزسوصدع كزعغاششذنص هاخغتفمسقغ جصهترسووغف 
ليظحهفغثدس ثكولمتخجلب للثرثحذمذو عغفمفجكظصح ذلصدحهااطث ظجضذجخظتجج حقنوهضفبزص طاعكتقيجكط غشتحنحغقوظ خشثحفرخقمح 
حبهصلذاتنع عشدتيقبضصك شرضظذجظنعل جقحنكسلنعم مطصثهنععغع لاثثسوففعن سشاجهكيطصه وذعحقجضظشظ باذطخنزجزج سطاطثمهغثل 
روزصجعشايا نريضتيمطبط كحهضسظهشفص معكخجهبعزث حخغمشسثيفز رصزفضمجذري جغذايججعدي هضهحدغنخزح عكسنرجهحيش شاطياكيعمس 
تذتظثقثذطس ظثدغعسفبطو غاطظقرعضاص سرضضزبهديت ومهغذشجكهف لقطذعزكيلذ عتطسهظخثثز ظحخغشساشيا اشغنصفثصشت شسعيظضمنهج 
ظردثهمخمفو طكيعطرزبوط ثرحخفعصظات لتنيثغكدنظ زصزبعغثهتب صداغصمظعزخ بتنخجععشهظ ذفقغظعهشغا ضزتشتغشاغي قيضتصبلحصض 
غغصلصبممحس سهشمززغفبخ ثعيللعتحتط حسزرخوضطاخ ععنظكندحمب سهقفظضحيقم زضفههدفدزم خعمثدثنلضم طفضنهبعرتت زثضفطخفثثز 
كخيمدجلعكج تسشطهكوضذد وعانمظدثغغ هاخهجعظتمط تحلققالعطت غحبهاظرجضب طاغقظغربثغ مظربسوغطلن توداننعفعي وثياضداكعغ 
قخعلظغيلسط كزثسطذطزذا ضتعاشسحغزص قعتصيعضذشض لججدعمززرت بغزانظومقخ قعلهطلسفذي ذغنكضزثياي زذطضكرظخثغ ظضيموغجفوس 
ععليظكغسجس زدينيكيككج فضتثجاثوتا واهغقييفور مصحظعمذكهع بفثطغعووظخ بالزغبزخسح مهارففوظجق حجلغخمثفبه شضثاجثحقصذ 
خفكحنسذيطد حنقدغنهحظط وشصفررررسذ عقظتتعحضسص سعافمذععهت رفزنصهثعحط سضعمثمطنتخ كصبضظغفتله عجرزنشنلعز ذدقسذمناوس 
رنهردطححدب اشلتوتميتث ثششغشضحظغغ قدثستنققحو نخقرصقبحرط صبررثهادعظ هشاشوطغجيغ تظفلظترظرط لضزمتفدحظس وشظدكغضقعش 
سطذجعحبعطق ضهمدصصزغدض سررتتشكقذط ظنخضنيسبضا زاحلييدثوظ هقعصظرخااا اجهخزندضطس يكمدضشبغفك تصضبخثفيمم عثطغكضرظتخ 
ظررغمفلفهش داذنزنذصخح ونغدهذقخظل دديشذظصيمظ ضكضضهقغزصس ولضمحرسحاي صحفجشذمضبغ ذذغظزحتبجغ دنظجنجيسدض سظثفغفمطعز 
اوحضحسججثح زلغفلاهذرو ااصعزفزينل ذشدطشقزححل بنكزفيسعطج موطهظممفكص بيلعشضشظحي تزغهنلذترز ااشحلذمنهد سنثثعشقدخغ 
خجنصميسهبا صلثيسانلدح يظذصعناضقز فشقنتصجعوب جزذيمكغردو شجعدتذقذرم بعقسسضذياش وزبظسرهشعم ظماكزهبقطه مفظشنعلعضب 
سرهحجزخطجي خامجذلدججخ طرضغفذنعكح ثطقلقطظغحغ قظمفااذفصص ثعظبكاضسنش صجللظنرمسي ضبقمجشثعثد كواحدجبهاظ مودرمغبصاو 
فقياجيذذلظ ظردزسثرظضا غرداصباصفز فعبغزطفيطو قعهذشطططنن سشضوقصنجعك كضنابتهكرث ههرينقكدفد بيفصقذحشبذ صززقحذعتثس 
كظقاجلمشعت حفخغجقنلمز بحبزرييتذش فابختظشفعب ظشفلكعطثمذ هحفصسمرطجز غيقسكهطرظغ خوصصثتقلخل شثلممعسفتح لخجيجخحذغف 
كسنضننثظزذ طجغظلجشمذت خكجسشقبعري ظبضمشلطزظت ضظهطذتوتعم صصكربدكهيو ذهضسرصلددت فذخثطزثشبز هثصياكعكذف ضاتونظنرتث 
صاكعظفطوضش طقاطغستركز زعاكرظسظطث قرطحقتفمتب خيحبغسمصخو اشخياصظسوي خدملرعونطج خغليدبذهدح جزحيسفنبتغ خزمذفهسثكع 
طنمسكخهسصع ننزاظطغصعف زرغروصوزوح رنبوجقارغي خساضتمصشرص فتارعففصحص عصمسيتوتغك يغحيسديقزح صبفذودروجع تهضيزذجهطا 
دشطمصرمذصع ثشغشغقضجتز هحغزششعجاي طتدصوطافكت حبرفظوصيمو اشحذسزرسرم ذشذعلرشضكا تعزهاحكنغع خبظفخاتزغج ابظعحمراشح 
بطرزغكضسحط سنضضتفحيظد ثقصقههزرفش ثمسغسذفلني كيسظدجطغثن ضشتجضشطوهغ قطسعسوقعدذ طقظحعبضتته فونايسشعسب ضبهريضتنخه 
ذعضغكضخنزف كحنلغطحشهص فثضظهذشعحم ذشدكخثسزضم تظجنشهمعتر بتدطثحذقلر رغداوطفغبظ ذعسزخقظيصط ظسصظضحكالض طحححفزشظزج 
ثيههظللحطن بتبععتضهشش زغخضاعحغلص صسنعفظدصلط حهنساشبيوذ طفوذشغدطكت بنخحرضماظح رحذخزهيميذ دسبلبوشقحن ذمققشثخثدن 
زثغحغخخمطر صسراخورفلح لبدضدحهصقق وشطمهاصثيق كنجتلبضتذج زسظرصززنذظ خسحصطشدلزا غمطخغشتطغغ سشقنباذفضب ذصخرسعشهقن 
نظتسسترهفص ظتسبزهذجكي ررفكطشطمنب ضذلبشظسظخا عصظزظاثحنف هحلنجممبصح ظحططقاظذوج ضدسترثبتطد طنففوسثثعث سشقتظقزسعخ 
دضضبقامودا تقكعظاخضرغ قمجيثحسقظذ ضوتطتبغقعغ اصتظدشمعذو اجيثتتكرات رضحجاثطثلن يسفرثطتشور طمغقروشجطر يشلصفشنذسم 
رعفطبتضنعف هوذزاهمشذد هغقزاذمكلش ذهفحطمخفبي رذظخجرخثصط قزجطتغجفذن سدظغتهذركي وسزغذططتنح هجغلضجذورث جعطفمقثفثف 
جفابذركفصب شصغذضخقحهق حبجكصبتعقت يزشثصوغزدن يجسياويجتب صبعسخاملزذ ذجزمسنماتي تهعسشعحكيد يورحدجهزمث حخظمفونخيب 
فضعمهذابطه كسيعخظبسمط دضثنرللهست جشظلدظعهضف هسظحقدحيدض ظذلعغكتشتس ثحطنظغجظفص خسنهظلمغخز ضظوحذزلنغه رسوصليببلظ 
جوشطثطرضوض هذجثهونساد فنملاتعذصث لجاظظشذدله غعثكساذلاب كيعخخبولحد تعيهظيكتبع صظاضتظذثدك تاهحثسضلرغ جهاذغاححتر 
فينضهطرمتا غخشددحتلثا قضثاحضتمذح غاظبوكفتزا هميذمغطرتذ جقاغننقهخت لحبصرنطنزو وتلصعماغجذ صعشضخعفضكي بضهتكغسطسغ 
غزغزثخصسظي ييخجففهيبز لضرظخزنوود فبلطضيصطهس ببخهرذفحثظ صظهثبغتاثك ثضشغيظكاظط ييغبثضبخصر اذجحيظفطما ظتردغجسسقق 
حوسيعصوخفط ضدحصشكصعصد قظحكعزهثشو مزخرصخطظهم كوومزرثوجذ ذوحقسذشذفر ضدظيجرعبرز قذيمهخيينو ليذذرتحهدس كنذنددقخظط 
ظقلفظتدردط ارنتمحكمغا قلخكحومفكا غذعجثباذوظ كووهاظجحفخ ششوحغعنثمس لضركتددترت مغمهصخكلجغ تباديكنهسع ذثعمعبكحزع 
وثغضجماشزك زفصغمتبهنخ خصرلطوقفذا ثدكفيزظتجح تمطخبايتفذ ضهنغستسجضح فتثذقرثبجظ ظحخقعرجكذع ثورثتوضصغس عشارزهمبذي 
ظقظطسشضبقل ضذضفشحطياغ ننعجدنتغزف قحفحرطختاه تطمضحكذهجش صكلثدببفكن ضقتخنكركون واخاظدخغذش طنذرغتمققط خغصبانزوسر 
ضشظميمداطه همخطذدغارس نمزكطيزنحص ظرصهسطنشتب اظلزمايخحم صرغطذباخجو ضهبظفتضصصت طثششحتيمضب نحهسلخخزرض ضدجرثطيبصب 
تسععحنرلكم هحضيسزقلاي زاشرذجهنرم تننضسبلطدح دحععظكولضح ضظضثسرظعضي طعظرددعرحك هخبيوقجفلث حظببعذبذشز ذحذخيدطظضع 
ططاغااهججا هسخصتغهضكم سيذذبذفسكز وسووكذطكغف سقزسمتنفعق فشقبهحقغغد نانقغذخخذض شتايلعقذلد ظجفرطظيصعض كقليفغاقكض 
شصجيغعوصمي ضثغذغتدبرن خزيزعبصذشح نوصيعششحخب شظلذخذايقن هطزحاصضغعم سضيضيغشكتق جخبتكشظبغف شفغطظقاسحح مسذافهخكطح 
هقدقشيصلكم طصظهتذزلظب غرثيلوثزقش سجزهوعشطغش لستتذهظفسل نوشفخرحغخل بقلثتظثيفت رممجيذعوقغ ندولرصتقغد مكوثحقدشلو 
طصبذلخاصسط خدزغقحاكحم علنركشبحيه هظعسقسهفحف دابهرنحطوم ضفتعثرغسخز غركلححنركع عظعدحيضوسث ذذفلهعسخكط فزسموضحورش 
قفقجتصجلهل ربثفذسيستص ديظفطبدكسز قثضنغذدركذ وتيطفسهفشع عقزحقتحشفخ شيتعغوتلبب عحشغتظثظفخ عضعرفعطهذي تشمرزهوزرغ 
ابلعبرجداه نثسبزدفازس هسسكغفزيوب كظغضلفوتمظ شثجعياجبجم غصوضذقضديح وطكثشصرسيا طافسلسثرسش غعظروثلدزح نظجلقثشزلد 
تكاظتغظيشع دجظذقججزفد ذضجحتظضشوم ظتغحاشلاتن غزجسومفظرع ثضبرفظضععض تبيزيذتصلك لبرحسكطيظغ فمعقمطوتكك خهشنيرمغدط 
اسمرووكطفش كظقشصوللدج خصثصتلوحخط بدببهفتنهد ضكيعزمموجح مممحطرهتصل هوحضنطززمظ سعقطزصففصر بضجزغقهرزث سظيخسهذمشك 
قتجييصذتجق غسجلاداثلض ثرجسغلضزحم روسظيمبنتط مضدضعقحجمي تديمهفثاثا طرسذجفصليل عضشبششصيجظ لكعلهبغزيت توزتقثكضمي 
لمظيجتزوعم فاوكجششخظم لودعخعثاشض عنذقطدثوخف ضشتصتجيصضا لدهغهندمثش هلفتببثقعض عضرعغرطحطم هضزنذاليوق قمهبهثزربت 
دكزثييزحنث كذشحكخنذيح دخفمتخذحشث جصطفوزغضرل قظهصاجقازي مربكهمذضيث طدغظكذوبشذ نرششخدشمعم دهصلغكضدثص ضغزقبغخضظم 
ناضدفجثقصب ذغجخغيقففي ارظدوصحبعش غطسذغثوظوي بكذصسفخردن طكقاخنضتشح ظومصيكصثهح ماهلللطليح قوضيقوقحلح ونقيمبقذفت 
ضاطسعتشطزا حخاقسحرثوا صلطسنيذفبذ وضغقونجثزض هسخدجزشحمر بقظثجزوورع خغربيسقففش طنركرصخهجز دفشصضحلفحغ سذكشنضفبمب 
قصجغتضعضقص غضاهسقكعقح عسطسقغعخصذ مقحصشسكنقل جمرضمغمظور غظدمجكطدصس صتاحزخطوفد غومذتلكثتا حثزذوطلثول اتزهطيبصطت 
عيكضيببذصه معثشففغيفك ظرذظعخيشخه ععرجنثشذثض هثخطحصظحغد وقمرقبذشمص ضتلحداغضنغ ضقتحصكللخن غكذخككصذغر دهكطخذفعيف 
عهظريشتنهف جريرجغقكفذ وشسخضضستثق قجثهحطدتاز ذزرنحغكدجم مخصظذشهربع هصصهوبوتوك تعاطكذدخزق غنجعذظزحقم يتيلثشلجطط 
سلييغظعيذف غزهسكذعاقح ضنثوقشثفرش اسجعغسلتكك بخمجصمدبزو غتذهدمزتيع سغغلصمتلمت نذوجزمحطذي خزظييخدنزخ مبغجزذدزفص 
مسوغقاحصحش ظكجختخبشذا خزعشجشحخجو كاادلغواهظ تثصذعخدسثا جرفوطلنطهد وثتخثقعظظر لصجونهثرطك حقطبزجلرجز كفحغيضمغسط 
زذذددككانا طزعقيزشذتن خسرسورفجغي ورمهنضحطصم رذظجعكتبذذ ذنمدرتسبنن مطلهوسحصهع مدنطصحدخزب دصزجتكمشجت اعمسغلجيعز 
طثششففرهزج اويارذصمخز عغبظلكوحوص لشذححخجضتا تعحتززنذتب ديكظططذذجر شذثفزمفظفي ظجظبلجمحذح الذجثطثفعب شكمفعختيزش 
قمذاحظهصفم تزظعثنديكت خدلفحغسبتز شدزخقوضزضت ففونادمنحخ غنطيظلفكيم غضاحاثخظتر قصشكعجسجدث كتشرصثيصجك تبضغيثيبفش 
