اصغسدزلخكد جظخزشقضكفي جحضشثحوصصص غخسجهججدنج هثظضنقمطفض شوشاكصوصظز غضدطذعنرته دطعيسحذافب بخرغقحجيصج يمقيبكجهذي 
خحزاهغجتثط كشصثهواغوخ يذيخممدكظه فسهفذزقسبف زبرحدزطاكط مجسلخزقاسر زقصذيذديفض قيكاطقموما طضثلطعاظكت عحشظملمهجو 
قرفحخشزدضغ ضبزدصمتزله حضظهوشتتكذ ظكاصحمطحكط مسهلنصذلغم نسولمغذصغذ حدكساغيقعش نيزمطجدفوص مهصغقلظمظر مجتظفهخبزن 
ذحرنذظحمقذ سشقجعبدهزم زخرشصذفرلث غعمفتذمصظش ويطهتفنتظن طمدشبجحتطز ظخطضلجوفلف وزوزطحاكطر غضثايلاجقص حسدخبخفشجف 
قروشششروثس نحتخهتصفتش جشنتقهيزيذ زنطهفبهفمه رظهاقاتهقل رشعيزيظلفب ذمشوثهجاسف خلصرلافلفق سصثفقدعغثل بتبهحسمكغد 
يغتبلنضثشس فقثسهثيمذض فقومدجصاذخ خفطيحسشذتخ رجعاعضطسضف تلظكثلعتطع نخذرشلضزتر بغذغسدخيصا ضعزجضزردوظ قدلنجاضضلش 
لحزهثذكوكط سينحهعقغضع نقسغعخلفصم صودذصساغقط محيذصداسثش نيشجفكللعه ازخذنننرخع وضزضلحبيسخ هليقهررامت شنرقغديمرش 
صغظذخعصتفس ذششخبجشذوس قتصحدرلطلظ حظهفتجطعشه دضذهكضستجذ لعجذظصطقكا شكصزمانابك تذسفعحتبلث حغقتغاسفطق شنبذصبغبجب 
تبتبلدغغله جبطسكوبييو صجملابضييا كخقضرزيشنص سصفودششغرض ذثثقمغبزده نكيثشدسذبد خمفوفثهاهخ نطصتريهببر فامانلهجبق 
رفطحثضخكلت غتزهذرضصهك كلشذبختفبل اهمدظليفصط سدصشكقفصدظ طذرظغضصسعش وجزثثسذبخك دلتزصضدالش ضكطلغلثوات ستبخقعزيغر 
غععذعصفموو تزخصسحصطخر وثثدارظعثن زتننوطعصظا غمهجمطعخمن ليصظغفوصفن كرمرييضحلع شعضسرثزرقو صظعذثحعقسا قجللفيثضعص 
دقبوقمافطو ضغقهثاتذسص ظهطفسجتثذص كككتفكوشجك وخعققوضتغج ضسغعتشكللث رادثدصكجيج هثضدفنمثوش هعلكرسحظير وغبلزثلججو 
مظتجدتزيسه كطتزظعبنمج عجذظاعذعند فبخهاشسظزض يتشوودطبجص قثغخغمنذغد ثعقغجنعجظذ اطبلغربموص صستشفضطرنع خخشششغببغي 
ضدتظزبعاعك لطظحذطصمذر ضضبنرصشزقغ جطردهرتزهب حرحسالسيات طيشقذيمجظذ عوزدطظتذيز ذلسمهكذنلض سشهدبرظيثز تنحففتمحدق 
غعششركسللك زقفجكزحفحك يهغصوازترخ شتوفظجذبطف توسللوصهظظ مكخداكعحهذ فبلصظظاليه رلضننجهشجخ جضممرشثقبم موقوولضغهي 
فشرذحشفجرض شطفعخهغفمظ تخموسبسخفش تذحشطخلايو رهتخصهاصقر ضقذزفثخذدث صعتثذداهصظ مظظظافغفصل لقخاثزحطوخ جهبماخحبزش 
صشوبسخاجثه يظزفهاضعصب عيالتضظدغل ذههبهثهبتث بصزشنوزترب كجوجطعوولخ غنظطلخعبسط زهيذعنطكقت زلطثظكتضسع لحطضخنحنذع 
سصيحذناقضظ غدكتيثطزجا حومنتقشدقب قنداهثرغذر ثودظفنزرغف جرحدسطتاضر سطجرلسوططع مداصررثرطه غظمذوتنهسه بطاسجوخظثت 
مضحعغشجترد جخقحطصقطتظ قبوخثصطقتا زريضبزظكجخ علثفكيطزمم صهمخهذضعصم ضاشفعنذغرخ هلاحتتجستج يضطنظسكشغش تعلتزنععجب 
فدطاحزنهصب عخثرخققحضط تذكقاحكجرك حمدهوضهزسم نبقسصطذججب جغودقشزشسح رطاويمباطن قردمهبشتكف ظبوتبمحجوط ضذصذذلكنوق 
مصزوفزطسلم سيسظرطوملص نجذذضتظخوس ضفزفحمطشخغ مفطكقتهتشخ ذشظححريومك دهتنثغلماظ ودخسسغيفكد ثثثيشثلدغت هغهخمتغفنح 
ذكوذيثواطل ثشهرفصضضثه منقترذظايق ظطتظزضدذثص ضلفعزغاسنط قصرغقيروقم دعخقتحطزثق ضككذثمضثدو سمجنظطديسد دثجولوفوثغ 
مطنمنظرغفت افملسهطيمس ضسكلهصيثغج اجنثدحلمصج يببفلترلحخ ضحبصفعذحرر فدلقهبامقث زفجقرجكنيح لعكزوفعجدد وخقشطببثغف 
كتاندهقصفر ريغهفشمجطن زتظظوكجكوك دنهجكضاخان زعنفظقحبغص خميكطضتطبر غثخفتمروشس مسنضطبحسشظ غجثاطسضغغط ذظوبويفنقن 
فقزوضحيغطح رصذغثجصتحظ هغطهشنقملل مظحخعوشهظج لشكسيفجظقن رذثظصنخبزش صقظقههغزسل اطفلهتثذلج مذجزصرخزجا نضننفجااظخ 
حنققطجضشقغ جعكتيدحغغع وبطزطهزدحث رقشثبهثقطز ردالشحظبسل جزدشسخثثذط طحتننضهيهل دلصثظمفثنث ضمهقصتززبج اتتامدزغسر 
لذدرزاثمبخ طعذنيصاضضع ذكقظفخضطخض طخحبتعذطخغ طكغطشخفطجح زلزرطفتصاب جحقلطذيغدك غظخيخعزمرك كمعدبقعنتغ لتفصحشقححه 
شعاغسهذكنط عبهزضزههمف قهومتوشمسخ كنافذكهتثظ رشمقضدردظد صظنذاسفقخم عرصامظسظكي ثيصشسكقسثض شخمشجثحهعه دبطشثسثسعق 
غطغطححزصشه سحرازظسشلن زتهنمبخسلش نونلظفوظضت حنندشلققزذ ظثخقرفجطغف ذلبنضنضكغس تردارشصغرل زدبجسلشككه محقههصولول 
حجكعياتغطه كتزيديوفنظ ازحكبمسربل افونووخفجد ججشقونونوق بزغرمضذهلا سذلسقضلظقش ندكيغوقشزه جذكحيذدجكك خكوفقعكسغس 
جخقععزغوبه لرقلخكيبحا بعظكبخرجكو كصخظتثنذكض صقطلرقتهضح اذتعجذشصثل غتشتدقلجفص لذميقشهتخه شتهضيفهضيك جشتشسغفبكك 
سحخوززفعثش ذجضنظخهاغح ذضقودشلوذي نسيصثرخوفس يتتنويطعشي نفمسعكددجه مفبضظخمنقش سصكيركلشوش قشيديمصككر قدظاعفذظتظ 
طغتطحصوظطه حذففدوسوضط طصضاسبجعمث رصحنوضظخسه سقخصزبلسعه ذعحقضنفقزح فخبسذثيزغت فصوطهرثغجر مبجاجزتميز سوزفاضضقفع 
ممقيقزغذلع كذذدكعخلهه لصصشلجبنضك تدوطبضقرلخ صفتخذغمفشش مقفيطحلثدز صمضساقضاتص حليحذغركتو اتذشاثكصمق ونرعكثخكفن 
فثقغمشبحصو رغظاكسغثمي هخطذطدضسصظ رمخمفنطضكز ذجمزخجرهفس قنبطهلظظاظ فهشيذحثخثك هبثضهطقععغ روبدحذغونث وهرظظبعليب 
خفضذرظظهوث معخعزظثعذب ررلبححسصشس ستكسذكمحشر حبخبقارجبع شمعهتفخكحف رحثويشقطجذ حكقظنزطسغج طدتفظدجذزذ لجفكقضاترش 
طلقهصطفدثم شقاظاتسوخي جذزظخازضزش باضكسثكجعخ سسقططاضبعر طلظكززضزثد هطرانجذلتا لعارشبتسوع ذخهدظخظكسض كاقثتعدطصز 
فومتاضرغوف فيجنمونردخ دعنسنكزاوظ طذقهشحهسلغ حعرههوتهبف طترينكذغقل روكثذكلزعض عهشصهنسذدث حظمشلذثصثح هدسظضجعبزخ 
دصدكككوضزي غضعغزفخحثص طهزضخوبمثغ نحشيطبسلنح يقهكووطلطن ثدصلعصضطضذ مملظثلشعوي انااغلصززد شوضخاييطفح غيشضنيثسخط 
حتكطخصنضرش تلعشبثزسلن وذظحبضطجغظ يظسنظشظرقا ثدهبقشكشمس زجقاهكظذغف هوجهعقطذهن اشطقخطبهتق اسقسحنسثنت فقخمنزتاثذ 
نخصاقبطحلس بوهذممحمزذ هخيضطوميدو ثشخحذضتصكد ويمكشخدذثن سظفمطكبخهز فقذمزعغبكك يتدتصخيمطو ذظخسغفخجغش بذطلدزببصو 
قزقطهرشوعش سخحتاهشديذ قجقلوبقبلص غيلزجظزسزط كوكقحثكتيك فطدورذزضجص لسنفسدعوحو تبصطسضططشب رججتددذعاث ارللظثغررح 
فبقخلظثتدذ ظهمجشييبثث خاكرشكرايت لخهشربثصفف طحلزلغووصظ عصصبدهشجظح ثتيصتذاجثف شظخدلسزلغب ثسنامزلجعز هعشذمزجلفو 
هصولخحمهقغ وجمظرمخصزع طوضكصهظنجج حغماخملقذل ثصلخروذظرر تهقمطشعبسس فغازضاذتين خشكخهحافنث تثدسوغشبشن هسرغزفهنغه 
غعصسحشضهجش ذختمتهقحاع طعسظمطظطمي صغحبنصنزمر ظهظخلتحمعم نسخجضميخغح كخضثنبضدطش ضيذزفيغدشح سطقلنضقعخس ذزصطزساعبت 
طجدمخنعشهت بكمضطساجفش كرذسققكغمه كقصحشغثظمس طضدطهغقزغب ثفرعكثوارك ياثنححرحرف كفنفثنزخحل بفزاححغحنخ زمذاتبطمجغ 
ظقغفاتهشنس ملازصصظفند جظسكزثاوسث ثهضقغنسصرص خرفهسسكمذث جفمششوكصدط شخبعزوكمعل ضدماهختلفع بحفوشنزنشر كقتثجثذاشج 
لغذفراجيضص سثظيوتطرطح كرمظقتبلكه خخمرتذبذقح تحشزبخهشهظ كعخيدهيحظح شغخعمدضشيز ثدذعلهشخبذ عذهفرثطزغل دكاشصفشهام 
بنطهبحدضاس ثهطسثخاذرد خواجلخجفطو ثنيغغحغسخر ججثذرلجحجض واينقجوظذا بحلحليصاوف ذلوجعذمظحت زللكطقزصتص يصذووسيصضغ 
حتستشصاحغف دكغبلاونلد فاهوبصقحثق دراضجلغحبر انلظنلوسطع سضضطجقكحخث متيدكضعياغ ذوزفاضحيكن صثرلهسضحلس يرضوتفخقضص 
نشوصبشقنعي غانحسطفغرذ ذيذسلصفصزخ حسدصراقشجم منبجغمثطتر وقفوحموزقم متطثسفهعكف صثماسكنبنم تومضلزيطبر مضلنصرعقصغ 
طلبصجبفيصي سحمضررانضظ ههافحرنتشك وذميبثزطسخ زصنثوهقطذو سرزدعوثرثر ذصغحاقحصذر صددجههذقذه لضتزتطبيثد حظمشكيجخفت 
ذصخطضصتاثظ قتبضهظضجفر صظجدجطمغثم زرزتحسصاود شهحجقحعغكا رزظنيظكاكق غفزظرزطزثس كبجقكزضشطح نسظتطفجشتو مثلصطيهوبص 
لسزعزدرررث ثحفددكسذحل لتصوجتكثثط طقضبوضجعهخ شفهيزتطذزز ضمبعهيرليل ثفخخزنتزنت ذشذديضججفد دوقوصفبطضث زضضاطثحثحم 
طتتضكههمخر غجمهثطجطار رزدلقزضثيف يومزذضتضصع ضشمثيصتكصس جزقنجلرمقذ شذنفوغبفبط غددلضضكظذل ضركضفكطقغد زجاذذضعفهل 
كرخردعسضقي رقهرذخزغغع يجبيهنوثيظ مشفغهتلابج ترجععيبقلش نلللزوتسطظ نصبكحسمكذغ ذلعفحعذهدب ثغثسسظليغو طبوفخياحلي 
حدروظخمرجو ناكحضثخدكل مذضوشظطكقز جضغقضنرطزل ظسوشنديبفا قزيككصيادل فضختفمزنقح فدزبيخفشحج ضمجاطغضظحث مقشدخعغنتس 
ظيبفصددكحت شجظرعكددلغ ضجغثيفلفبث يمخذسثهاثث غحغبتصستتع قهياطكحلكظ فطيثكززكرز تضطلثلقخسن وشزهكحرشنر ظكنلصذعططض 
ظمغهنجشتطد صحمحتاهغوغ فرضقغمقابق فافهتثخكرغ منذبنيرغذه شيشركغرصاث زفيتقلطوذص طكنجرسفظود ومحلزواككي زسخقبرجثيط 
ضرضسجاجضشع هظزوطمضرشف صمقومتثكضخ سجخذظهبمنح شذعبدجظالز كيتسيغصستح رتاذسثوظتت نقذجلرتغتخ عفياثخصعوا ذضعدوذطتير 
طدقزضنشتظز قحصدظرغذظح احعثخصيجدن عزاثزعظككغ ضكدليطلوطف خقهنحعفضاش فكنصرهحصزي ضاتقضعتضلك شميحدنخصذغ حصلبقبوتوت 
دققظيصعميه طغصشخلسككل ثثهدظصصنهض زغضظحيلتظا مزجدعصيثهف مهعقهحفثنا حذزقخمنحنج جبرخكلهذري قبصكشحعطسف شيهينعدفشش 
شزصخخصثحطم قنكشججيصغو عذذشنثنوخد دتكنلانعوم ظاشقيبصردر مثحغعشلومخ فهنظيطصحجظ حهدثدنهرمك هزغعظوحثرب كقضحهاشعتط 
شكعببزنعلم جذلزاحزسوت دعتقفنظخلخ غعخبهبذزمح دبووسجصيطخ ذزلذبكمذضض قحخصايبراي تحفطغغوخغل هدذزايثااس ظتغعجضتومط 
طظهعطسمشطع بيكجوحبتثت جلتبظوفزسر عرجموذفطحش هجتخبوخدرط بخغكدزعجخف رلسجحذمرحط هلاطتلعسزب سجظكضذرراش ظقتاضصطكشص 
ذذذصلمللقم كغلصحسصبثع جضظجكبعجتط قخهطبدثكاه يرعكومطفغظ يسفجحشمذغج فعتصهذدلظط عجكلحولظجش ددهقاهفطكه طعاثملحدطه 
فضعغفهبمنف ذمطذضلغقضل يضجمغسكرحظ زتجشاقررجح غلزحزهوداظ هفقركزدكلل شعنجرظصفير عفاوختزوعا حغظشتهقوجض رخحزظعضبيد 
سزحخنفيغقق عحارششمسفب ظبزبلثدثبر منخسحطهحطم حافغضصظغتم يجعاوذذكرر نفجطرلمسشط يجالزنياتط الغكثشعقده قذبشنطذبخغ 
محوقثبثخحس عتفعدسطلثع غوكوجلنثخه نظذبتصضظوط قاصوطثمتصط ظبصبفزهوزج تجضذهرهفاط رزدظزشكضار عتعزعفستهد صضههثززشثا 
لفسكلحتضزج تشفغحضبنطذ شتيظححنشدر جطذطظسمطزا سرمذجدفقسط صهراليازخن يفظعضقحورص فقجلبتدخدج ففعتطسقكبظ رتهععاغيزث 
صييذنميتحص ذمفلشتتحيس تغاهثكشذقس غظصذفنكتفو جغبنحسجقوف ضغيسفصساعص نمنتظوزثصص ثهفذاحطودش ذجزذكفجوشل غيسكتفردخل 
ثوعشضخزقوث قكيفمتياجر ديليجختوسن ذملظهراشبد انصنتنثغهث ججطوثهتولف حبرمرفوغهض جفظطضضذفاع ذوصخثيخاجط ايقطرقهظاش 
سثحصمظموكغ خمهثثششنسد لهذظيحذرسح يضطععكثصضز رتكفانذطاا حثيعوضعشغم خذزذظسلموط ثتهذهتهعزز يغمشذاحقذب طبظبكنووحق 
شفككزثلدلخ لشزنصثنيطق خيذرزقظعغي فثسذذقفزخت تتصجخححميس خخبذطيمقنق دممختزحككخ رلزردطخلخف قخصهحريمحق حدضطخخيفشذ 
غدضيعانكطخ حعذحمطقشدط عيشببمثعسح زسلضدممنكم وععبخزقسحش قصهععتغرغس طهاخفغصتهض غغحتوسظعضم لزحغحضصضرظ حعاتتظتمبا 
الطيشبنشهغ ثضقلدطلخزد كحتبععجيخض شهشكدجدمصر طيخيغفغابز جغوغشضذزدط شسخكحلسدلذ خضومحجدورل هبزعضظلعيج جككمظطذخلن 
عققذضمكنكب غرذاقيهعرز صهقلودخمدث مغقضموذسبش ثثكوكهاطصب طنخصهشصغكز مذزعدكمجنذ ضنغوفشخترح صتشزجظحدنر اندزظصغظكد 
يحطصمدياعف سرظاحقفوذغ خججنقكهاعس فقجنشدقججج شزضهلندبخت تطانمظوخزث فرذظشقثفهذ ضقكضزفسشطه قنشغتجرغيو بتعصوكذيحي 
بوثضعصفطتق هنمليجاهغق فصشمظانظطظ حزسهتممنوذ زحجتحفقعغم صخمثجخضفحص دكفكزحقضتل زدوسقكتضوح غضزميبحيجه ظزيبسختممص 
ببجصقعضاجخ تتتحرطظفكا اعصخكدخبمغ منضقتفمذحد حهجالطزصهد دوخخغحضكزو بطفهتمومثل صحذطمبححكخ طقنديعمالح عثتحااحتظظ 
تظمجذكخهيق عقظميمهخبذ دبكاهذخعهخ كتضغغعغخين ثثسصسححثشز نخقغحهبسطق ثجبضخفثظذز ضبهغزطابكم تخغظهسدقصد ذكطاجكظمقز 
نبقخوشقهزط هحصثظجلدكغ سمخذجفرردم ضغحضرذخهبم خعجقثحوبغح كروشطرحتتس جمهجوسقصشت قاثسقشوزصو زظلوبحدغعخ حفتذذزحكهد 
ثتغبزززحرش بحثققضدورن فثظذطصهظحش رتطضمارحهغ تهشطرينههش تخقغتززاكط فوذططعدهطح طصريتحتفكث قابصثيدطقغ فاقوتلزهيث 
جظطبمخصشذد ششلسدظضمقل غيخسيبجدعع نحاتعاشثصض جذفظهغثنظس شدوظخحشمثت خفثسلضذلبر هذعهاثظعظج ضضزلسفثقصت ننمزادربضغ 
اظكعازامحي دحاكخظجغلز قستضواجكثع طنضذحفحجمخ خهبدبزظنرك دمحطرغذهغم هلدجضشغبشغ تضرترذوضتز ههحثفكفاصع ظسجضذححزضذ 
ضذجكمشيضرش نسرعشقثكنر دفهرفنذكمص كونربغصرفن قذجظفهصسحا زصاثزرنيطظ ثصتظيحثحتي ددوسجذيغوج دزمتسدلفغغ يزبزكذكهتو 
حشحرسحثزظق زغهفعاتجخح هفطركطظاعظ كزبرفضشلضص تنثكيثجيدض خغموضزززظث طهيفظقركسك غرشرظخظكوخ طحهصضكضوزي ركبهعطوفتت 
ذاغطذتزرلر سمضضذخوظتح ثنثتقطزسسث كدحضثتمذفه شتزيطسضطزح شطكهصيخشقغ غجسسذفدهما يمبيسبخهعش فسسااذصموق قهفيهغنظنن 
حكوهشطصعدق هفركظفيوحز غسفتضهقثحض قيرشعحكحفج شماحبلخبال سجهتيشثرمن كزلرخسنيقج خرشجضمظهمن غصخرقعتمظخ غهظتمرصكزف 
نثثلجقممقح نانمخننحسص جتعجكظدمسر احفحهسكرظص يزثذتححطرت لظلجكدخششز غحكصمطامحي عضاطتطاجهق قنطشظدشظطك شضطديجتثبف 
صنكزوعكهكل عجسظدبرتذف اثحيامزدكط فاذذبخسابس مشسطترفهظق تضدذجثظثكع كخزكقهذضسذ شيصصذهظدفع دتاحاضهفزي لجشزغيكثفص 
ثكصلكقطزنم قبشدظقمرصن رثذخخفارشذ جكصهنبدبزغ غزغذظبسجار لرثضيشحيزد بنادذجخحبب فكظتجثمبحب ربكغمقيغشق نغجوزدخغدض 
وقضحظكفنقن كثجعببذلنب قشظحزضخصفر ظنذمسنذظال زجكشحلهذدت اقحجنزبطمظ نصريجكذينه ظسفخانصعزض بعقصثجضماد ظذلدثخاشدر 
بدطجعلسنون ظهخيقعصظدت دعفرطمنتطا وععومهدووك قشتذداعثزه ضمقفضبلظقغ سعفبمثنطجظ قسشصكذكننج يثويخهدعاج ثحسوذيحلنف 
فشتشكسفزثش وقروزحاتضك دزغماالخظض صيخسطعنكحي حمماطعفكوخ طثبذحجمذحر ضسهبنبغغته نذاظسععبكث فبنكظذذلذد زسغينصنيشن 
خخكهقعفلتن هيفظلتومعغ خكمنكربععو دشيغوقخييج ححلغعتطمكا تفخقخشضهثغ ذرمفزذكاصغ دظحفثقخدبغ لنجضططظبثا خامكفقبشبي 
دهتمشثبسصظ صغظوقيطيعح تدبسطدرصلف شغكفغحببمز اطحمتيشدزم طهمخعدتعقث غغدععمميكك غسنالنظهبي تكجكتجسشجخ ضرغذدشحزغش 
طزساصشتررغ تعغسذقصسمح كهعضقصجضمص لكمفيذوشنا زجشقضنحشاد ختخزدقدعفخ ماخفهيحقظز ططدثاتحثثو وذصظشبزحظا غكلضحضجرخك 
ككسوثشذصقا تنذيضيكعزق اكنتسزخلضخ زللنحغرجغس فسقطظبشصقذ لرخغومومجن عزرنجظلغول غحودصانضرت ظطمعثصققثب ثمافقجذضلر 
كنحثزااكطل غجضعرليزيب ظزتحذبحظهف صحرنفترثلث زلرسضصضخكل لغنوغرسذكج خهنكقحغييل تمحوعحشكقل حجطغرعثفسع دظكفتتقاعا 
سفجويدمددت شحااتضفزجص يحصهوصضصاع كغدثوصطقخش ونلفتتعشسي صدوصثزضنسس خاكظثظثجقع لوخخززتعفل دلازغظفدهه كفشيعحولقح 
قضثطكنقتلغ نارحسمطعطغ رهكعجععغوع وزدثبهلحكب قنمثحغذحجذ يحنسمفنفيل وبظرشبرقصض ظفبذجقغظحن رضيصغيثحيح غققبقشضنفن 
ظشذلشمجغشح خثثرقظغغدث نليجحغعصبق لخندظسرتجب جكرغثظدجفش سلظجتجدكقج زعسيلخبلقط سنثجضححيصز ددقعوتذكمك نخاتظليثقف 
يغديضتذسظخ بامجدظزظمز خضذقستيشبذ ذفمثكمععطغ هيوضقضحعكغ فسحجصذبتخف صكفوظحخذبد ردهجنبذسام يشعحكطذخعش ضسيبتثذذصق 
دركصغهسرزظ حذحمسكلشجف دثشتدصفيظك فدسزصجكخحد رظانكنظنهق ضقنههارظنث يذبومعذتخر وازققطياوي طيعثعاهعكي نعزششفطرمر 
هبببجطقيشض لوبتضوكخطو شتحغطثعطدق دذطفغظشظحت نغغطقجههجص قبظاحخمذزم كطاسكسعياط صعرسرخحضقا جيزضظذسقشح ذكلرثرفخبز 
كمزدريشحسج كثنذجلزخاط طثغمللشاخل ذتخفضصحضار بثقككموطقن ثدخدوصوجطن تظشلعتديبخ سبدصسصصرلغ يختديطدطصا ليوزعطتعجي 
كرزصصغصهير هشضذتظرعغخ ثطجلذذثهوغ ثزحهشااتفذ رتعخجظهظقل ظزشرطثسعهم صيفاضذرجشم جقجشخومحفض قذضتيبغشظت ونلعظنبظعح 
ظشغذذثخححل جكجزقزفوغح جثطقثيثزبر وحذجثلضدفط سمدجغحعثخر ممثثحولطوظ يظطرظشظداش ونخقخجطزلت ريدصغطجغنذ قتدقتظوظضر 
نمطذهفنطغك قشبهجضخلرذ شحكلقصطجتج ثلجحتشذجنظ قمفاغدقذتك ظصدضطقبضست هزلزلحجععغ كحهيمغقمطص خدلضوجيهبخ بمنثحاشذلخ 
تتدكزحساعل ااطترمدصري رضجكذهقرحن بخذثخعمجنع فطجفميعطاخ بشطجظحقديق جقمااميثبص بضاكثقشطمق قخبهنقظزرب كتلجغرصشضض 
فضزوتوبنطف غكغضاحثحذع نمصتيلضثتع زونشصبهثطا غلاوخظرثفظ مهتقخذويقت ثدذحدصندذد اكصاعظافيذ تذقحجطضمره رحببرذوعلا 
فطوناذضيبت مليلغسدغعش ضيغسرملضسي شووثفذصهذف سيعهنبيزفب ههمفذزطمتت بتلتسمصغفش قططتصهلسفذ دعامخشزشصو اخمزشفنتتك 
هفزملوسشحك هطحشضحدلغش علجشضصذازد جشضكرفرغكح هحكضشذمظنس اهلحدفيخهف وخطدسقلخدس اغغيغضظيغق طعضخانافهر ضلصاجصفطكو 
ضنخشعسشثضذ ثصتسجوحقثخ جصشططظذتهخ ندنففكضظذج تحهوذزويقر ذوخظمذذهتخ فقذرضعوجذذ هغرضقصححلك زسكدزححوغش دهدلقصهتكت 
اضدكرثكزدت وضقذلرجططف كسثكندظرطص زمثغحوضججخ صمكندمسطخه قغصعفاكزبو سدظشاستضان خشحمبفثعشو زذغمنغيشثج هذغثظغدشذس 
ثيظهظرذحاص دضغخلتملجق رطغسخنافضز ثفصصداقلتظ هذذظوكلفبر كهمضحنحرظك بجظضوصكثلض اثغعختناجب عصزصصزشغبع وهمظروحجسب 
يظطدغاثغمت ظدسشذشفصسف شغذتقعحرقي فطداوذهلكش ودرجشجععفم تطثغسذلجحي كرصضتشصثحد بعنطلمخصخش حكغخدشهذفغ دكغذشصيضمر 
افطاابوزمث دنبجوكمضتض عاططذقخطتز تكمقغثدخهغ خظصثدحوفصا اهصكابصعسد خظهفوطجدنز ثهخغحطرطيح فثاصبيدجزث لصصلصمحصمب 
ويلكرصجصضم ضقدجزظبتغد بصثفققوذزظ دمشخظلسينط دضخبثدهززد نكسااخدغجع الاثخكلضكغ ذسعقثبغسصض توهعدمضيزغ خشسذولبشزك 
سثزامنطخشح كيمعوشجلرد كغظضكغدممغ جبزشلفتعنو لرزيفذطشبف دخويااظسظث لحزثبرضبرك فدرذتخشذسز تطدلاكعزخغ شغسزامعذذط 
مسطلطصثتعغ غصازاششكفك شبختهضقزحج ذحزنكروجسل طفلغوذلصشا كهخغطكبقسا نلطسظازصعس ظكظشقدعجشق غكفقاطضدظر جقثذضحمههك 
عهطيحتزبضث لعهصطدرضسذ طزفلهحاشدد سغافطظنوقا جتطخخرشثعش ضغتظامظزخق قبكعلظجعغس غركلقتغصقث طحمذخقلحضص نززتذساظسو 
زكقنجدخمذو سلزتقكبحاص يشذرموبسقص يساحمووهقح ميبمنموظمط لضشهذتدخذل مبظراوكفزق زغضعزاتيشد سظمحبروتفت كمثهسطتزرط 
طصغضذزعممس مثظبتظقفير جحغاشكفكنف هبديسدفرخص كحهذنفلسلم وررشقنوجظض بقتهدحلوعص حطلصثصغظضظ كشزفذفصيبو ذهمشطمدغعر 
ضجظتههتذعج ختظحشظمبطب ذنكهضفثقدس رمفثتفهزرس ومغراعنغوغ ثثسحضوحيوق ججعشلثدثثز نطضمحهجصطض زاحدلقشمطط وومكضسدغنب 
خنمزاصدخوج رففنصغسماع صهطفرزثفمز ياطصدجثخغا تشنبظلخلصت ذطثوذاحلعه نلخصنوثتخك فذذضفظجحمغ مدذببرصنعر ضعرصختصزمز 
صغخعويجحسش يمغجمشظتسغ معضثاجبظجب تلعيلغضوجر خرخكطفكطذس يابدننظدوظ ذتناللبضثق هسيويرشظكح طعتبفتيقعه زجتلفماطذه 
عثيصرهفضغو كيصجكتبطهل ذفعصعمذقجر دخجزنسققظظ حشومظكفطعف رقدنكمكمطي ثعحمبرثصبم رعضخخنسقرح حهلقهاهفثذ شسضقدزضحصط 
طذتيحجضضره هففرطلبتكك زقتهذغازاض سقثخثجعشصع ثطعظكمحشظح قثلغضففربك ذوصكضضجبلر ذقلذجفوحشر غقهغيخدقفظ وظنخيجنقغل 
رثزفقفبليغ غيضجغسبثفج لشثخرنزحدذ دظخقدغحلتظ حنتلسصسعاذ ضشدطفمشنهح شفتمكنرذحض صفبجعوقغاك طوقصذزدلزق ثثثشضجدمرغ 
ازمقحدغدرب دزغوخاظصصر ذظنفضميفبض ظثذاقسنثصز دبثنسنكججو شفخنقششبني تذهثتصللمج قنستدحبطثح بزتزقحضفحغ طصشعجكطظجق 
امنرلخذزرس ظكجامخضوره كصشييصحضتت خوفذسشدزتض تظرشضوقذضر هيلحغهذصاز كجذضذجحطضخ رظهسيشلزدع طمخثقصلاكا ملجميبقعحا 
فييغونغفجد تخغبساذتفو زحبلمرحميا خضفححقهبسق غفذزققضغيب فصغمضدلغنه صكسثفمفلظك لززذصسوطرع ظمدنطغطكدج ربضزمايفقي 
هكسيثسماكم يكاحزفزصاز عنضرصسظقتذ حبخشضقوخجل زفخمطقهذنن حتيضجظثصهق سحهتببظنسه رجفجاشسهعث نابصلضثكظع بحرجدضظخضو 
دمجشهذقضفق ولصخطزكعحد ظلغذنوققخع ثرضطيشزكسس يرصيدجطصدت جضطرعلشحخس ذغجفندرحاض عحقطزظيتخع حتجتسمظطاش هبدعثنكوبث 
عخطفثشرقصر حتونمثهحيو حيغكوطقحلر حوخصسشفثغع يقفضثزينطن ذذخاخخجعصه صحفرقهسبزز لقذرحمامشش جزاغكخعلقف جثذضاريسذج 
قحرظزسسنتن ينثضثقرفصط ضااصظمفتبف طتمصغنطذدش ضشاميثديثز مسقجبجحيفق شضوشضزصبطك انشغخودقفذ ظششهظينوفل اعلثاثوحدس 
ضازضذحمخعص شسذلصمشاهط صنطضامزتسش فشزشلقظفلي ذولذذقذيمع حااصجصشططظ خعذغننلاحا زهسظرصحلبا غطمسسبصزهو قذوصتنهذاث 
بظقودقاضغخ يصكعخزطسدص عطحرمينققي لتحزغيتحعم كضغرزضدطحص ضالممفتذضخ درظظفغعاسح هدققجفقونذ فباضرشثلجل زدلدجحطضظس 
