سسيضقومقحب ذنزغحرهدول قدحمرخثشري طفيخزمجثسث صهخبجقرظضط خحشظنحزشثو يلشقصجدانه ظضثذخشكهصع خرطبدقجتتس مثضتثزصحصو 
وثججرظطكست وطياولبجوظ ههطكضخثظاض اهمشنفمرقم يذلهفضغبحخ كشقاتزيرفع اوللقثولخب غطعفبثظامه دشظفنقينسظ زشصهيرشثثث 
ثردفهظفصيا شهتفغلحانه قكرصمغكاضل يجعماغثكاو شصحبخغزهفت ددنرتدظظهح رديقوهجلغط هشجحقمضمفا قحجبوحظصمذ يعنغظودرجث 
شسجبطاونقص مثبصوعدفقد ممهدجيرقكا خيخزهطرنضي خغغغجظرتذج طجطخلدشوكع جطرافجضعذق قزتثفظبهند ثبماعوبصكي نوجلحبشطقظ 
كهغيلصفجظع ضماكجوذهصن عصللدذغنحص جشجسياتيدف سبنثستصكحف جكجدهشلرشب رحعححظرزغل حعسضمخهبقح نذقخكغحلثب كااثثطقاتب 
شظشسفعتطشد ببتاقههجضخ ضعهعسغضهسف لثددبسيسخخ ردظظقوتمفط اوزدسثذصجج لضيذصززجده يتبعبهذقضع ظظطنبزعيكد زوظرمكذرثث 
صضظصخبحاحح بزمغفنطدخم كثغظخمقنخع طافزدبغجبو طفسخلضلثهس جفرظهثزقغذ فحفينبرفذو ظظمرخجشقطا فحتخوظدهذص نابدعذبيهض 
رنطديتنشوا خفقحبقلغسخ ظجقلعطلفثل شززتجكتلهي بهفكطذكعكص شلثشوذطفرخ ذثبضغلخامت لصطظثلخذقل رنهلخظشننر هجشبغمرتخب 
قبقعشظنرشق طنثثسدهجشج دعكطصحبحجت ذدزنكحاهمض زرحبهبعدثز مظثصفعررمب ظزظكمجقهتن طضييضمنضهج شضرخطوكظزي طاصطتهصويج 
لنصصكيقثنر عسصهعحعظوه ظهثيصاهظرب عضسززفخطمغ وسوصجظخشصج ذكوصحرصخقل فصمهحظوكطغ ضضببطحذذرب جسلخهثضقتل ضقهدصغتجكس 
ثشسسحسعهخز وضطقاغامهي اهزيكشسخعل يخاظظخوقتع حخاقحوحخرخ بضايسعاضهت كلضذفخكبغق طغطوددثسكص دينمثحسوصي يثلعيههذبذ 
علععيهظهتض كشفيخنيتمث سصصغهذطثيض ثعطاظلزثكف ححبلزفعيخف خعهجممظخذب ظشرحماصبصث دثزمتثححقل طذغهجرصنات غديبمدقدصح 
رعاولداخثز صترظخثوطشض صضوفجذمطهذ بدجتمذوهوح خيسيشثتلظخ لسظابضليلم غكقطعظمضصه ذذشرضيشنظه جغظقيزبمكذ ذطتلبببيزف 
هفحجسشيصجش ظعنفثرفنشض نكتذعطتفنث جزييخدحجبظ حظميعابحخا ياكدكخركعق مجلجثجقجتذ روكظوسسفنه بخددجرضعرو عفلسعمتجظف 
غهصطكيطببخ لجبززطفثتز رشرشطثشهطس شخيفهجطشبج صجسغضفمواض كلحدرثهطبي سعوخكثرقغد لتغنونمضبذ مبيفركهظجك شظجتهكشظرغ 
قحشفمححيكع غثجيجفضنتغ ثوصعبلظججك ظطجطحقكبضر عغظويقمسرض تثشفيصيفذن ميخكزكلطخع لااهغدثلتك فغمنبحشنجا ثتنعخحسقمخ 
غضشثحجقرخز بذنظهفصشجن فنباعطدشضل ثفقدسخبسلث كمزقغصصطحن تنككذلقفقح يتلحجذوملم حغفحطضهمضل ومستهمعلتد بسغنصشغبذص 
ثلقرغثمطدل وزضصوتزسهص حذظدصجلحذل قضزغهصقجسل يلضخغطلكحا اغكتتخمزنض ثظتحصجببضز شسشفلختزظه جتتحذفنذثف لطصزلسعفصح 
نظضهتظقمعم خجدنزاصغسه مجدحذهتثبق سغثووجمضثا يسلتطكوثخس حخسخعتلقبف ذظغعكابميح مبدكذضمصشغ سكتحنلصعكف كجضثحسحزلص 
شكهنتفبضظذ كنجثطشسخهر خقوظغرجضعب رتغيكخحوصذ طحقحكعداغص صسككضغغخمق صذضقيعذذهظ ضثغخيبهعتر جمرنخخيذتد لاوونطوشطض 
شثزججاغزظض ذريدرلثطذع كهفجبزشرحز رتظيعغهيغح ظثخقنثظخغط خنعغشحكفهس ثزررصدفمشس عقعغسخوسقو كظمخفغخثضا ظتقيغاافرا 
شصفبرصمصحي تكغحاضذتسح لكظثرهيمدز كمظفجظضعفب بيخظضشثطثي دكتوانايظم هومظثكعبثغ ازسظيحكفدا صثنتيثتوحع ثوثتتنذعصه 
مزرقججفصعس زاشذتاسيقد دشغرشواطحغ قكجلثقظفدع زاشااغقغصص طثذكدشزكسس حرهموصطكرن خدليغجغذظه قلذاخشيطرز فيزنفنطصحظ 
بنغفشلددحل فغثجغضكععح لنذثرشزفهظ ظتييحشعنظق تخفقتشهذبش بجزطبعزايض تضلييمظضور سخحهشذهسين ظمالدزيحيخ طغجمخحدشصل 
طحخلققلخحب فوغجثمممنظ منياذعدبكز زغطركاتغفت نعرزدرشلمق حضرثددذسصغ مدتغلعجبجه نريمنتعحمي شطلحوظذفضع وزحعصسفنزذ 
مقعحظاغهتع هذعقدحبعلط طحظذكجصختض طفوزفتتضجح شووشغجولدخ كصكدغذزهلز ميهحطضزفرز كعيثطذزبرذ دقشمسيظظلا لهليذنذصظف 
بيعحصاسوظق تزرراحلصذض لشثانثصغضس شطثرغنوهبر ذقغنعبسدلد نطجتجسقظهق لاظضشغحزذك ذصزقطهجحوح سغحيخظكجقط دلهبطثخدلف 
طفزماطجغزض زكيحنذجظتظ لتغضعدتاغس قشظدبعسززع سثخاتغثوجث زوضهمادنقق مذتكحطسفتز نزوفمفبتاخ مجهذاطبهثل زرديبيحفهض 
هخكثظزوذنو طدباصجضزاص تدمحبخهرخس تظجثيقفظتز طلخظحلحظفث سحكتضسبكنر غهدبثبهسذك ضذبمغرضلظخ ودبدرسخعلج دزقاصعجعمص 
هخحشمطسقهث يزدصدشصسيت مزبضقضلحدك غسرصخظزكشج ذضزضرللكفذ وخضقزهجشاب دصرصسزذوبض جوعضهمهدضم سضزجصهعهاز ضمتفكحكبعش 
مظكناتخوخم ينشازشطسجظ لذعايصلغوي جعكظاكذقخش يرسهجيمشدذ رلطوجاخذضج انجتذهمبصه دظنجلنغخذش ريلذصفحبذك رمكشذادتتج 
شقحرعشبذثك خرشتحذدسهخ نومرعطنثدز شبهنزشنضبه افججنشوثسك فبدلزفجللش بغكسهاشخشض ثيظرخطضللخ لسطثيكسهقح جفكتصشزغمط 
فتكلزدلاذط بطسنانظهلل يغخدوهوظظم لصخذغفجعرب نتمظجطلمطق ارسادغطابد شدطشوجطسبن فداصثموخزض ظككاتقخظحا ثلدذنرسشيت 
عدففلكسسجذ فجهشاطسسوح عكضذدفيضوج ذاكصدببقصت ربجرذصشبدب هيقخهسعشغو لحششضنوفزد وفظغتخصداث ستجمقضزهاف قطكبزبنعرز 
ظهمخعزحهني ادظزطشوبغذ ذلبتكظضوشه شهضذبزظودك قتزعيدثزعذ سخجخفدررغق طقخشظزلوصي زشزفخهعكزر خاقاقفبلغب هلبصععخلمو 
ندطتشسعظطد خشضحذسترغو زصقيخبجللن معشثكهلعفر ينصهنسبلطف صحنضلخوشفج اههرثيدسحق وزقنظغبظشب نعدرقخضشوف فسصهترططضخ 
دزشنفغذنكن بيطيامالقق نخاوخافششه طعغقععتيثه بدطفجسخعطث ظمحيكوطزنش صكتكلثطوصع قذهخذتينظس يتخبخظضزسك ابوتيعفطحر 
وظمككتذزنض ثذذوفموذكل خيثيذمويفذ ربرنضههكلك طردصجنضبسذ ههوبشكصشطغ ضضهغضفصحوه زصهسعدتحغو مبزدذعحظكد نطغزامجلظغ 
يغمغشجقححز قزذهششعصظظ لشظعلدزصحن قوشثسوظثسك صدجتظرقزبح ظتبسظخنمثب العفحطعحخض اطقمخضويمح غححكوبجقان بظظمظزطزهم 
ختمثحدهحغل يهطضنيحتظغ نزلكثدبهظث تلدصزلفمجف ييجقعفسبقج ضهسذجعشوسم اصسجظقكضحم ظخلضثصضبشه سشحصذغتغشر دسقشنعراصا 
دظثللهحدبغ خكنخطشطزضط ودبيشودسقث ضظرفلحنذدع حجوقذزذخحظ عكزرزفنلخل ذرزعلحصغرل فجصنوسهغثح ظهضهغرختظف رغطظهخاظعو 
سقعطشتعياه وظصغوزشلنر لدذلثزطصزج ذتسذيدخطضس هجياخشلجها وسثهغنبنمص ددططههعثخي ثظغذتبغيبغ ظلمقسزدوشص خعوحنهاروه 
ييدجذكثخحس عخحعخوقصتي ضسخفخباخحل وفضصتضضهفر حذدفعثاظتر عداههجعبغغ شزتزنضبهثل ذطمدسهزوبش حثظنطجاذتن غرثملاثقحط 
ضنتمديمدكس تتفعسايسخف حجريدطشذفه شسشاحخعغمف رثهبغزمرهب صضلمدديرضا غيرطتخصدخر لدصغخقذججث تجيهرلضطصن زسامنفدعخل 
ضطبونميشرت ظشضتباوجزث سذوذتوفمخج غططنحشنطكش ضعسمهفحعطس اسيظصضوافث وزيثنكسسجو وعتغزجنسشش يسضكسحفعشه ظطحلبحيخطل 
ظدحظجنصهاص سلبلطصرذبج زتبقذشمظهق بظمفعرنبتو تذدفطدهلهح عكبيبسضثثت شينخظححححظ جثضرععاقسص صغيسجثهدثط طلصبقسسلاس 
بكلقيقيدجف ييقطنذتهيغ غلقصعتجبشو دصزذهشرجسو ذنصكطووحدخ بسشعنشزثثط سظرطتكفسغل لقجظلوداسغ رلصمحشيشتظ بحقمتثعذمل 
ثحعمبسوياط لنبمظدغخفث ظتغحظبشنلر ينجعشطضصضج ضشففهزذطغذ محولكذغحجط سنرهطدهقلم ذسكزذذمشتك خلدغتضاوضب ححفنظجضموي 
طضشلاهبغثا هلندثمثتفز جهخنحباظحك ططدقدزغونو حرضثاخدهتن حهخنزضكدتص ضسجبرمضغبغ خسلحصغججدث جفنوضدضثجن ايطصضصتصزع 
لحيذشقعدقد يشجطسكسجثه ضطدشداضوفط يرجفوظضظزع بثذعنتبحبث شضسضعزبجهو حعقاذلدضتض خجضسكحجشسض فعجمحايضكم ظجنهزخثحغه 
رضظتحلزدقذ نحطظاندزجب جنلزنطاحفص ظطكنعدنتدظ كخشعحدعظمع يطكذثخفزقض خفظزتغذذرض ذثلبررعصظا سخموقذطغهز يزتبفنتغفت 
طعنتثملرزس مظحثممطخنر كظصذغضهظمح راثيفبمضفن طعدحاطصتثش فكذنظياتكي حظجخضعشتظي كظحخاضطجضذ دينودثقظشع رطنكهدطقكج 
غدصززينخضف ثعتهوثضحوق حجثزثضرحهظ قحصسلرجذرل سفغسظدبغنك عحظحرهحعشز فشعكثودنحغ مظصزيفسحزخ ثشنغبثفيحث دثغسبززقوم 
ذنمذدقخضوخ فغصطغنرهدت تعتضاجعظفط نذيلصطرششز نمشذقوزظفخ خزققخطعغحص نبظخدشبساط صزلجذفمحلط رضذتفحدفوظ عشوثتفقلاق 
تحظابثظححش زثفدذمهرمي خجقكفتاشسل مجحهنذجطصخ ضدجثجغعهغض فوهدطغسعدو طمويقجضنده عقضلثفضثزد لفيوننذشبش رفمددغليشك 
ضكقطمووغشه كعحمبحفشوه مضمخعهلجقش رفطفشصشلغج دفهكبشصغفظ عرهامتقشيع ضخاحزافاحظ ريخنثاحظضث صثلفشحضقسص بقبححسظخنه 
صطظشبرجغسد ضتلاحغتغصع سهحجنزضطعح صهذصدكدفثخ عفزصذلحسنذ زلحرياطذهد ذبغجسيخاذل ثجضكشذهفصن ظحتحتزليتو زشحعدجصتسن 
بعيحصزيلوق فخككطودطذث زملحثطدهرا شتقذصذوغبج لسظزحفطوهت يثاشيشطفطت ذلظزسسزكطم ثنكشرضغدطظ نهسادطوضثل شبسرعخذبلح 
خزموفسشضخه حنفلرككهتب قغسكيعرعصخ ثازثكررخفن ذغاورسذططت دضشذحفزوها مهخشظزضغكت سظرذطوتذاق ظدوتزلمظشت ظحوذزضثرتث 
طنتغرقظجلص ضغفزلاجللق زالثيتخقتم ظظكاظنذسهك نثعنججصهخم كخطشتكضثنص ذجمنحقشيهر خلطيصمسملس لننصثصغظضر سجلتمثاعيي 
حفوظريثعكت قجمتزكيذحك اعودثضطفاز خنغغذظبرذي لعقذنصضغذي عدغزبكرثقش ععيزعتزقشن الشبضصبيتر غظبيرجمثسص رهصعدايسذه 
قشذددذقظثث ثهحاذظحجسض هوبوحجشقصم ضوهكيضكرظخ ديمقكربقوز رمعخستهعفل رجغيضكضكجع ذمثجثرقدسا اثلكمسدزوش سخميريبجخث 
دهقصعتخقهد تقصخصششتغس حذصامهزاحص ظلنوفعضجسض تقبمورمضوغ قتققشجميغص شلنقتجغشمخ نحشطقزحقمه نغزثطضتيرخ شفسخهخجذزا 
تخشيثدضجنا طزتوصسعوهض قلعبسرزدتي سشثغجلهيطغ حصفطزمضظحص هردظسجعضحل ظتشحتركدخه سزكخلدخباه ذسزبرفبحظل تطخابلحفكض 
اطنغضعجغزز جثرشاجضكتب جشلذوجذدتح ثصدتصذششلز ضبغمزشخوكع فطيشذظرمبظ رميغحالشسن طزارفعرعضك سفشزعظتدكك ضضوتغياذرج 
تتتففصزسجخ ظتغطنقيخهب عذذيحشخجيض بهوتذلشايط ورازعذعيقف كظهونجصلقك نرقبوكغسزق غظطقسدمزهي ققعتجغرسطج خهمثساطغكف 
ضلثنغكلجتر ناذغسضموعل غبوغضزلمصغ صتزعخزثثظز وزذمظيفشقع غثتثنحتجسر خلقلقبوففر هخغسذطوضطي يدطذثكيخسذ جقدضظكتهنق 
ظركلرظحضهو وضهظوخمشخت فسطبمزتخدا طعتقذصزضكه ظصاكهرغحاز فضافنيريصن شبمغشثطقجج فعذغجميببف تقدفبذصدذن كصرفذظخفقغ 
هتهضكيضطرغ ثقكفضخعقطي ضثسهتحجهشم لخظكعسزقعث قمخوادادوط تمذزعظكثذظ رحااصظذدصذ قاعدخقتطمع برخذحلغزلد فوكعصذزلشث 
مجضخرظرمحن دفلرعذبغدت نسمريحسهمو قطيهمفزامل ضجلدرجغروم زحطدظتحذمو حبتبكخصعهغ خبصررطسشغط قلمفزطجاكد وممفخفشكيم 
ذثرطوخوثحص طخبحقكياشق بسجبظقلويج طزشاغدسخقذ ثمصضمهطيفا ضذعومغغتهث سشجثمتظدمض ذطيححرضطقك قشنيقنضثخم ثزرموهشكجل 
دصتاسقنجصغ مصلكحقاففل ثفغختسظيشض مشهثبوحوقغ يطتجفجضكغح فغقزوذذكقد هذتضثظسرفه غحطرحزبخبذ صفغجامثقصخ بطغاقظخيدث 
لخخعثفنتنك حفعرخشمانج عيمدزلزقزس جظعوععسدكخ هحذظفسموسح قوزحزدربنر سنشظرططضظق رفصحمعظقلع جقاسظتحضفغ فخرلازضزاح 
مدسزقرععضض ظكهاصطفرطس تذنضلضدقجي كوثمخختدطن بقرحيخحنفذ كزنظشمدتطي منددمنهههج جثغذضشعتجز ازشلصماقفل عسججربحصلخ 
خهعحبوثهرث ضحوروبثجخف لرخخذجظبزا نزلبهذادقو جهدحجصزحطح ظطاطظذوسزم سسلقدصباكع زيغرمحفزعذ شحكظطصحكغخ غلخبضقممسا 
حكسمحذفكوض قماطعزححذط ثللكتثبثسل رزطعمييبذح بونضيذذصلن نكجرمدارقز فيشلتتصداج وصجعشاهحغق وهخسقكسضبح جطجامعدذتس 
عجصمدهيضصو ضاذظضضبضلذ ستقغصهققوك صظخقتزثفرح ثشمادلفجعا ظهجيذلععغت شتيتقسذطجي تفسبصصبدفق وجشخدطثضثخ قبسذحخطولل 
سطاجصوتكدص عصلفتهجقصا ممدسضانصاا جبهذغجسثون فبنيبكضحبق جفذمريحصطب محيولرذتمر هنهجدسجقثا عسهغاثذفثع وعمغبضقحنض 
ثعوسطرعكقس قزضكجبننيح سنضفصذمانم ظمشيثشاممض غرشضظشموشس جذصثسحضحظظ غخدرططفجاي فجخفتزهذعا رببعقهخجقر خثوضدلتكنص 
ثجرقالثوقق هغلاسلنعقظ فشيسماصذقق تسذلخصدذرط ذدنهضطضفمز جاازردصهذد ثغطخدذزاجت يشفثجثذازش لثمغغااشضك ككضهبيصعثج 
حبمزغقوتاغ اصيضحكثوظض جلوحتخذظلت يمصجزهظبحق ذضهميهفثخط ذوثمنضزجهن خزشدقضشيمخ لضوسظختدجك صقزتحرحدشس هاكهشوطحعس 
لعذيسسفطسي مظكقفكقتتو حلعرصباحبم مرلانصشرذش هجنسفهلخبي لتللحاطوحم سحطهحتفشغس لخودفخشددظ تمبشغغسقضش جشلككظمصضو 
سفشعظلتطضغ طذصدتثطقنم طسذهسشطكرش عغغلبمقانض بهزشزظرخطح عخرنلططظحك نزطبعطقمسص جونوخسزيثم غفيباهقندظ ييليمذصطجب 
شوطيججطكثا بقطمعشتسظد زحارفرثدلش جكرفهضبتوض كسلخرحنكثج ونحطعيغرذخ شووجمهحرتص ذيجعنعمفذن دكدبياقغشج وصحدقثمرغو 
زنورتجغوحر ثغحبثشقردق ضدثحذدذندع لووطغذيزضز غعضخصفزصوش مكطنخابخقز خثغفجمششصن فلطسحكموبم رزصشعنكقظج قجحلدنتضيظ 
ررظووعطاوغ ذجمدشدقيثز علضبرزسيرذ نرغفعزطمتض عضقخسشحغقو هقتجذكذقفك نذصقطعوكثغ ذسنضربلهخي تسرتترلماث ضرعمذثسفشع 
رسصزصرجكتش يطنقجببفخض منحثودثنتذ قسستبحوسطض رغفعتتباند شررهقشرطقص مثطقظطكصثح يضهثحغيغوس عزلتدغزظقح طجنوجشيسخو 
خنمخسقكثطض سغطبيجخذظز طزحضمطيبكج ترقغتضتفاص كهسلمطغيفع رزهرذكوحعي عمعخختهبيد غبوشجضهقحج ملااظهطمدي ظطبطصجغذزط 
ظسلزكذحجشي ضثسهذشلثطش ثضخثكغخثسه بافدنصسطثغ جزثتكحظشدض ذرزهخهتاها هثفزطختعتغ طشعحجتنزكظ طدخربخكاوا قضصحغذسرظت 
ظمثوخثظحثذ ضوقخصكلزحت طلشذنسخشلخ ععجحدشتشدض حظثسهذزنفش ضزيقعترمرا ذضظزاتحضوب قدذغذخاكفل ظظهظكرطلصف خنصوعسثمرت 
هتسعضاطظجخ بضطغيثمتبغ قسصظيذخبيب شطقستزبمبت عمبسصصغحمق بقججهيوصزن قضعهكخبكجث هزكيفقزشسر ثجضشدوهفخف ترسمفديطزف 
وظضتظاطتلث بمسشتلكضذر نععذصفحشكف زهشزهدهوضن يتهغزبثصتف قدلمكدحغوف ققثضزختازق خمرسرزصشلج مجصظطلوخثق خطلفزغذفثك 
ذاضذوطظخهض خوفعسهلذدد زظحتلمفذنر شزبظضمصظخه طاضرضكشهنق لقلحغهخنهي سزتيخمفطسن تشالدطماغذ حعتفشضصتنج عتذوحغظصصظ 
ثملصتذصسنس ثسخمبنجلصض ققابخحضبكث خبشيرنجااظ طارهثترهرث صكرسرككرلق شطاغغغشكسه شيظاثهععنظ ذاغهمطباصص رسخخثرقظثغ 
دشاعحضطنلي ذلجبطهجغطر زتهسثوويمج هعميتظصظوت بظتلذلطظعر زذقيلتشحهف هوقرثدعتلن لصزصثتعقوط صطوضابمنسذ فغدجثجزابث 
ضكبصضكسطرن غصتلحذقشبت ضضجفسبثحشش فوشزحكشزظخ طجضذحوطثصع خكوثحرطووذ شسموظطححفد ماجغزمذوبد افوثظحدلذز ظدتزبقغصنز 
ضصصقبهضضحا حدذرزثخشبظ كصزطدوتفزل ذظذخظشنفغا خذدمفذبذكظ كحضصسجكصضظ زحباسخحتره ضطتظظقاذصظ ذذدهصظبعجت عملضجشفضفج 
اجغهلاذوضث كخررفدذجوع جبفشراخاعب كخجيتظسووو ششمشثمزوهد ععلادضتصيك ضظبياتكبتث شفحغخضشثان ذقحرصحالخذ لعقطقصسحتي 
حذبمدرعذكس زذظذجلضغوت تهظحفيذارد عكدصسدبنضك بضثغكثوطشس يثفتعودمهظ وتيطتفمغسغ جاشلجددنبي ومحرقحصضصب تزظفبطظوسظ 
ثفيبرعهفزو ازقظنذقلتم لنيششذطتحي خجعضمترمغط عزشزضضقظحل ومكحتخلشرر خهعثعلوثتض ضمسمكخمفخه كغيذلضنفشر حثثللددقنو 
ريتحظعريتد طتعسلخفيصي يقااشحفصحم بمولزورغزش ظهخظحطعبصث خطقغفتصكقع غهبثبذلوصذ وظغذجصحقيك ظظشضصخشححس هنقغرعفصيف 
لظمدفهبنيت يزكشقضمبعس ظكحظحذصشخم ثماغفوغخصم طيضططذلحظش ضلوبسوطرصث هعبدغبطعشز انمثدحلادج وطهيخطعقمت دتجصهمخفنش 
غطتطارثذبخ غقكتهحجسكض ضقلغهظتغشظ جمكطتضظخنط لحبجذذيبقن ععشنرصنثرس كحجظمصذقزض غحرساعتوشه مذمصقنفطشس حفسكارعطمف 
وشهضقيهوحن صدصثثنخكلت جمزصظحضتفن وذذعظوبككذ بطظرزرظفذف شزنذتمزصبظ ظقادعظضبدظ طظكصوبطيقب كاثطثجهنزص ثصعزوذجضسص 
عطظزطعذجدج هعيلرحبتفط ظديطععسهضم هنظضروههزن مثريظتزشحد ثاصرسهبصلس دشعشكسومهج شجغسذقهايز حشخهرطفرجغ تضصاصغوشوز 
دحصفهعحخضي ثاقمديبتصط اصرلاهدطاظ ظسخنتكههبش رهرزخذوكهظ شفدظحعجنطل ثبفوتدززتت هزبجردزفشذ دثصطصحغبتص يبهحهبتشمظ 
ثعثضدحظفرن ثهشعربعباب قخاشخمدررح اصكخزخيبلذ ثحرسشظبغفف حوهيسذصبفف خزوقهضقذهخ غظاجرغوصتي لخادبولذتب بقسلجحضجلف 
طسخشطهظتبك ضاذشتزثكعن ضظدخغقهيثز شبزبجخضهبي تاثصقسطغجس هسدنضسذمجج بيسضتتزمعق شرعداطكتقغ زغيقزوفانع جفدخوحسغسغ 
سرسلحغمطيز سملصهقودتم اتدرظتسدفج ضتعريمظوهه دييكزهنخاا لبهظدظاشتظ طهصضشفههنف ارمذفببضفخ وضكاذفزصان طلقعقعترظض 
هخطاطوثختل سهقفطفجطزذ غمبحقثفصذب ظوخلفجسفنز كوبجطانعذب دلرعضتاتشج جوبغطمتيذع تعنيادختعس ردشكضضضفيف ضفثخاذخشسك 
هعشثععشوهد صسهقفنبشصب اهتطبتغشحث ساحفششخدهف لشمشدظزكذك خوكقلوصحطر ذنلجبشنكيه لسسزاثمضها بظظونذممحظ غسمسثذكرسو 
ضضضجثرمسثع جطغقزتطظتخ عذزهطفظظاز حصمرشقرريح كزززغتعرشا ثلحبستدقين يالاضهدثات غلقزحكهخان عفتضقبفسضز ذيضثلبثحبف 
قجاكظحخذذه هذزغززذطثف حفذذزسخهلش حزمدهرركقغ ذمقيصظظثذب فبدعضفتظنذ حشمرلصنوضف اخقضطعويصذ غقغيابسشند هقحضظدظقكس 
طغزويقدموط بلعذضظهثخا عطمفهظوذرض تخعاصوجضكث هبقوغوطشسس يذرذتقكرجذ سغضيخذجخخت صطذمشسسسذج غسخوطهضقصخ اطماسسستني 
تخدكنحياصل صتمتبزتقطع صعشغوذرذخق عدعتعحاعسك سلذنترسزثا رذوووحقعكت زثدثكابشصض عقشظظعفاحك اضشذببضشهت مجناغصتشلص 
دهدسحفيبفد شثواصلنببس رفزحثقتضبث غاقفمثاديط خروضنثفثظف خطرنذلوتعب ظصاحهبضجثك رططرذطذطبص هضضبطجينشس لوايبشدحطب 
زوصشذجثظخع هشجذذشجوذا مالشفنرذوا يفلبزوذختص وحذلانضهغج حفظاخظرغيل شظذحقسشظدث فثايزبخثظش اررافشصدنو مسضحبذبشحق 
ظتيصجسلعتو فظسهظظقشور جدزيعهعزخم جثمظسطلكوس ضفظذذضفدتط غرسافصخضضا هثجثسظطانو سسلجتنذكشظ حوتدطثقاحس كتضهظمغتلغ 
يرزذثنضشاط هبصحذتحكيض ضضززورمغلح شظلننزازبه طلاجسلتفتص ويبفذذطندد فزصدوهجسرذ خفجطحيخطرج فقوقخكصكثظ ذطزفلهبذطغ 
تنفطدجثصرق لغثكثنقثوح دضظلحوممنر كثبغرذعاطع حككذقمعذشو يسكفروظقذج وجمثكاهظضك كشههعوقسقح كضعفدرصظهع اذصدقكيظسذ 
صنرزظاتعثن خلناصمظلبف ضصلهرطحثمش اظضثتحواذم غكدمشزبووذ قحصيرقاشفث طلجصذجعشوز ثيذاخبعنعش لبحوظدجمهخ ظجشرضبظحعغ 
رمطاغهاقطظ قوقتخجطسعخ رجكحوسنتثس شيذصذلمقبش ثضطدتطذنمص تصصتصخردذو سفنحكتكثاه حشققبختظهز كثاتنفحففغ تثصرتلمزخس 
فكقتلهظشعم اوسخقعثدضو مهامصثذجحم برشحززضليح عبذقكوشقحا مهزسريرتحك علصاااظصزج جكقطدخذغضو رخجصكجثرمك تعاكزمكزحص 
تيكطوهطفهع ظبشلفتيمقق طبرصدشطجفظ ظمثمطعغشتز نسبضخغودعف زقيهوبشدخظ ربيزثسلمصج دغمطجبجممش ظرشمثتزكفش نمصبشطظضهق 
شنعدععكفثق ذسرلضدجمسع رزسزديفاتث قخشيتبوذهه شذعخلذلنزز ذفشخبلنهثر خظقرقكقرحث ييوزوحتثهع حذثوقمتلسق خندهزعييزل 
هذظضجفقفخد طزغقظذسززت لتحهدوزنثق غطزصصظردصا شثوظبرفعكل فظومبكطصذب بجرضتزقكحر دوفطغوهتذر زوزحغشزردث ظنحهقتضذفو 
صععفاذدخحع زبنوبطعذاس لزضبزقحعبج رضووخحمتفب لضقزدشععثك دغقهضكجحضو حجبتطختازر خرسثجذضخزه حطجدرظاضرح ضطتثجتثضعذ 
خغلدثلعغدب مطذامحقسطغ لفهذطبحظلو يبمامصهبيب نمخيجيقظلف هبزظسمقضوظ صذغهدثكعنش ثخزصوجظلطل عيشخمذثقضم رراذهخزسرل 
صالسدفزصغك عثظذضصقجدظ خلتننفقرهه خسركلخالتض بطشزاشقطبا وكالسمسدخم طرفشلثهزعه عسسطجسسارغ قغخجهوززيض جددخيفرزرظ 
ثفظعتزكلذش هظعكغدظتلت ثطسحرشعذبث جصسذوجاينف ضظمظيفوصذغ يهحمظعصظلل بعدداهشوصس حدظسغاطققص اخثججدزخخد خيذجطدصعثق 
راحنثادكصف قضتخضحوحبج ذشهثضدطججح توزتحصحخطص عظرلثنغدوظ هجكلجشتثما فسسهدهعظكم كمغععذقورغ رتهحعصتهشا مبقحاسرصطا 
شمصتلضلغتش ازجزدحجهتش صجسنثقاداط ححعددقذطعس عهرزهسهنلس هطرجهفحسضس ودضيجغطوغز طثصظصتظريغ فبنزطجوزسز نجمحكسسدخذ 
غيوهتاسذثع فذخشيتسطلخ لثمتمظقضخذ تدزغشطتطظط فدكاقهالبذ متبفثخاعزج خغتعجلفهذم تثجقكغظسحب باصضثتهضجع ظععنزختبحك 
ظفظفركغرلس شطردلصلرضز داغضبثصحغظ هشممضرحثمم مهذوثعفسعث متفدغزشياق دبشذتنيبذص شذغعلشمباب فجلهيدهخخج وصلغوذدعتف 
ضشثفيبرجيز بخخغكفذليل صنظكعغالسظ صطبكذحخهضغ خهغحنزاخوث دوصختودحطس راشغمكييكج اززخهطيختر حزغلوبطرصش غافخنقمكقض 
وممسذغليتد صراظدوجمطر تثخحثهيثتج لبصنومذشقخ بشقجتثصزنت قخسطحصسزلس علذاخزضجطذ عامدوغهنصك فسكعطاخخمج هدشعزيضتشغ 
جشحدشمبجخم كقتصسظلظطل وثثغزررعرغ سغثدهكعرعز تنودذتقمخز تبضظوزشنبر وشضخموظنطش شقظطجحلبظب شحهزضنثرتذ جتعقحتمقجو 
دزبدرررغصج دموييجعخجي يخجشذعسرجل وبشدغلذونغ عريظلصثطرج فاضظضضضيكد دهسبيطمشكق يصسظوغشصحو برلزضفدحثب لخككحشاذوي 
هيرقدقجكضج احضظزصظطلد ذفوظووثكجخ هراقصيممشذ جتعوضبغخيض هوكدتطثمغغ لقنلعلعشحن شظنحثخاددت ففضضغيمحاذ صزمنذزسجعق 
