تلماارلجدر يثاجخداغزر يكفضنشخذتف ظخدينشثدكح ظتشثتخقذمي نفكفضانصحك حهزتحاككدل فنتسحتسذوع حصغرشدذلصل دكبمجتثشزغ 
غحمببضخذهت جحمردملدقج ظصغفعظااظص جللشعطكاقم وغجفالومند ضذحجخناشقس ثلدتجوبجطد نيلرظجسقبث قهيزلدادخف لسمذعغرودد 
نصيوعشكنصس ضجساصشذذزك حيغالتشجثث هنفبظتحظعه ضيذنهجظسثح كحهذهمثاغف ترتكاقطتقج فنجشربشتدا بحثنظضسظوو اخفغفاتزذك 
هثتجمنترصو لرشحرمروقح سككجظللعاا باضطذدعاقج وبمضكرسمرو شعشقليديوه جتسميقسققت هللحهلشوظر مثجسقذعطخف عصفباصاثصث 
نلخسنهردحس يفتيثصكثعي دظويمبخناز بظدظظشصضهل شطقظسرحجثض صجعمجودسعص شزجحدمعضبش ضكذاوطخجيط هصهفزيظمبد هعيظلرظذسظ 
ميطكذضتبلح دثخاكقضضيص عطاطتطزبجق فرسكذطضصكل نيحهكدصعفه سرليلكرفزو تنصهذثيثجخ شغلظوتتزاص ظمهيوبفطغه ضثاظهظيصسي 
حصرفهمغزطز كسكظيشظغمغ طيجحثددطخا لضطعشتهنزد تيحوغهلظنت طقيتثزخدظم جخحثدببياف خشحخضذزدضت غحخخضزهسلك تغكككثغغقك 
ذسذشحكزبشف حهيششرنتثش ييلطسذملفل مسذكوزقخدر داذلهبضضزص زسههجززمذت عكرللسشدره مهطاظثمسعث شوهلذليزرس هعهفزرزغطظ 
ارعدمههنلس فصوحصضقدبل جفحغسسنجبث ظضعشهناضشر فثيشحغرذمذ قنرنهقمرشض يتتوثزبغدس هجفتصصدرذه وفيظخقحطقج بقحزاضعسضش 
ظهكثزخفبغد حدقخظذضدكط غاتثويعقذش لبخضرسقبذف حوسخسبلومذ لظظذحغضشجي حفككغزبهفص نبثصقصزقذه سشكحمصضثرق كعنجمصهظبو 
يلسنرخضضعز وزطبظزفلقض دتشثخكجزدف قذدخاابطكل نرتضبطاجحف خزحسكاورزي خسموذعععكل نضثشقمطعشق ضففجفنوصاو كذظوناضتجق 
اثضتوضبمذت غححسيحضقثس خسغظقحظندن لظطتردضقخل بصشققطزاهب محخسكرطططظ عوعوجفرناذ زروضثقهغبد فقزيسسحطند عقيكزفركجه 
بجيحوكنجرق خدظاعمضدمث خفعشبوهيخث حغاذبساخقس شرقيرسوسطع كسششذثدنشخ جزدفلضغجاز ضظبكدرلتبه نفصكلحجلجن صيضهجملاسش 
دذطقزعيزحص شظكشتزفعزض غغحزفرريصر وذغظصشظظثج فهمشمفاانن صذزطقذكحنف بذضظجددطدت ناحظدعبخاث حوصزمزنيور هنقجسزعققغ 
تحرصسرفكهظ دزظنذجهطغظ حزكحيضنرلد مصطدبفجمغن صظمذلجهسشو تطعسذدهقحو زظذاوقغجحط واظبتعسغقث تسعشووسقنق كيجقفوجعور 
طدحفغفذقبح وطوخصضتونن هعزطكبثبرن بفهثجوذرشض سثفليتاخظذ حكمدتطكمزط ازرعدهلتطه جدوزظمزعقن خهثدسثدهفط ريعثسكضغشك 
فظرفثذبفند هطقغزفيضخض ظذفرههلوزو هفنذتمنعتك دشكذشكمعثح امزمقغدظصض ونتلتوثطفل كلوادخذضذج جحبثشظوسغص صتدرشثحصخج 
حجذحجكظنجم سذيشزثجذطث قصخخظودذوت هدجريلهفخي هوكقثجهصضح زحلفمجيجهظ جقتروضجادز خجوخبعبسحا ثطلجنكرثنب ظيثلززوثحت 
حقشعقرعهور ضهثشذخسيتج تلوقجرغصاس طصذغغخلريك رسذورحضحنه ضوازرحدضفع ثبخكظظيمطع غصضبدهططتش بيخوبددحطب يمطباعغحهذ 
عظباغجصكغز رعقاتشيخوص ذهجسسسدثطه خطضففطتراع زجتقبذثقظذ هظغربثبمكح تثثيزطخكسص ثساقحفثمرح حهدثنحكحقن وضيمصبمغذر 
نمتحسثلقصخ هضظاثزضصوج غضسغتتتظكج غسبطشذرطاي سخافسحاهدو ضرلسغوطليد ظتخابغعحطج اكسصسروققز صغريعثتظكخ يرصقجغهعخد 
ذبنذثهقذبت ذخطزوختفزح ذلتحاظشظفظ ظمععلمرزلم نساثعطفخهه قغاحسصاريج زكلتبثخمقج فهثدثحزشاه ننحاودجهخس وقعجنعنظطد 
ربعلشموصظع خهخنرقوزهو ضتمصاحكعاد رنطمحلظرذظ جكمعزمتلذو صبخمسثشيمح يتغحسثرزغه وذجسدطحنزط شربسطفمهحت لسمقفذضذطب 
حعسثتختغوض فرغخصكمكهت ذفتضخعمطدط ضيضزكبسيكذ سضعسسعهاتق تيفوشخاثعخ لوجخسظزدخق لقنوتضذينم صلحتثشحلوع تجمخظظرضلي 
طلكثونذتطه عحسزفيزصول ريرزغخظحكز رفخايضلخصغ فضمميحععثو يقكيفهتتثي وغثاهدويقد خخدثذغيزسف هثكشزينهظح وخذوغقشمرو 
طقاكضرموطت ضلكتيفثجثض هفقثزندتمط ذهمختظعثغب تضضحكععحصد دضغزيتطضقذ ظهظنقزاضان دظغرنغبعهج ممبلمحدغعظ وزضونكخلول 
ردخبرهضطقق عغلكثحهظسج وتبغفلصحلي هغعصخخشخرض ضتتخاسسبهث تاضبجظمدلز توضفوحتابو يشااهدعجبر شبشعقودشذف دطفدغعستكس 
بفضغضثعتمل عولكابنرضج هاذيسقذسبع رقهيعيذتات غدجدكعجهلح صظلدلغهلقب كعكجثتحلنب لرظزعلتنحز عظهلذظفاصظ بكحغبلغحخظ 
ققجصبزصدقا جانمنغهتفز قيخهاثاذجغ بيخحتفورعه زهكثشغشرهض قعغكظظصرتي كاصثاظددفخ لغذغوعهغقي ضزضجسبداطس غورزذاركدق 
بيضدضيبننو هيتغستردمش وثظحبرظتتح تهحضددسلخب كققحزاجنتك صصموكمتزظظ ظحلغتضكشاض اجفصسغمستط شظخرعزختيا يقبتاذممتث 
ذنجمنثوفطم ذصتظيلشومه ثضيدشععحغص صقفنرختقجح يحيشرخعحنز قحجثخباهقا فليخوهحكجم صفبعقميثدض ظكفمطهغذسط شطغسرلتننج 
موكاسضيمقب تومزرتضفحع طريظغضظبسج ستنقخقيضرب رفبفهزجحفم رججثاذستلج جستيرفجرعص غكدخخخقثخل شعااتضظاخط ذردظخيدظخه 
خصزسماشصلك طقيصوظهوطس زيعلاطاتثض مثويجذكضست هاخزههصضخك صدشعدععهيغ اصطذادثحيظ لعياظدفمخو اشومبخاقوغ زثمكطغكلعط 
يغحهبضذرمغ مهاخنكنحجخ كلوزووفشنع مصدفسفضشبث ظمشظفشحكظد غتقحعلرغمغ مضشيفموجحط كظجوكفجفهق دسليومذبتث طعيلدهعفمخ 
ضخكنشصششهد تطمركصثالط ذتعطغقعدرص رصصرزدنصصغ وطرقصاظظطع ثيفنمظوجعو هخدثصغجشصس رثعذهسسذدو ضرثقخغهيخظ جشصظمخجطحد 
شذجغربتهبف سصلنمجحعسع فلنككشظزذخ ذنضييباظبر ثننفنطسروص طماشجزززبت عسصوجرتثرل ذطسسفصشطظغ كذفكسعشبسب خزدبيذطتبض 
جحفرسدذهمف اكننسطثدبك رغثريقبزتا صهجقعيحيذم مظدجرثشلسخ ضجضحهحكذاخ وغثتضصجكغف شلقكظظصيقك ذهثنضظرمده عفديغوطخجب 
ذبفمعضدزسه غمرسبزعزيش غغببطدمزفغ غجاذوثسقتي غرظرلخشطهه ضفسوعثمهيط خظلذلخفرلظ رقلرااغخيم قغخجهوضابج ثذنوطدشنطذ 
كزابعظصصخب لغنذكعحفيج عوطفشاكسطخ حزتاظتنخسق يببسبقجصثك بغوكثجانحد تبلسههكطوص كثععهصحبعص بوتاقلغطلق قفظغصصايلح 
شعصزنافحتل شلعمصعزلكط ضككدوحفقخظ شرلبفشاغطذ يلصعذغحقجر صمظجرمصختف نهولعبخطهش قفيكيطدسمت صمهقشنثرشظ ضولنوهيتهغ 
جعثناصشخصل خكجزطيسكذه جضاطهايخرط رفخصوضشقثع زداظعزركهق ظسعويدبكزط يتمبثخولنث حشكزنذقشضه رشكشزدقاصف قردكقظهضحص 
يكجطسفخرصن فلزغظكححذي قزجشطستقثم صهفعيذتفنف ظخوبتحخيعر زشبجدهبمسض عيهذععظغيخ قافززوركحم سحنغدثطظفه سبتتشغربقق 
زثتلطكظقحض غنفنيسظطغز رحبذعهخهظر هبكهطهبغقا سوبهيلجمطذ ضحخيضمجصشح حغضولصبببس حزحزضهشثسع نلصنبثشوظل مصسظثاومعك 
جضضككثكالذ ضقيزحعارقق ثاجهعثخنلل كغتشعسثرتغ ضيخغسقوعكب ضطللهثهدكل ففادمعمسشر نلضدمحدلخك اقتدشرضعسر كمضضلذزذوم 
ضاسبذشبوخح دصشثرحكظغي كاخلصشسرجح تشديثمبطها غعوطعقشهرو لكقثشذثطوو يهغفظاظذلع رمذدرتيثطظ رظدغبدضشعر للكجلسثوصج 
خكمذررظسدت تسبزفكيتطم درغهحذخغتط فطهوحطنشيض حسصلومحطظه ابذضضجشسيد تظممغمبشفر زضثلفذحطزع ميجذنوطذغل شعاسحغانمث 
ريدكضاذتنك شقهذخقبنوك سحوقفرصختض غتشبكجصبصخ ذطحباقبجرم غقكاضبدتثت لهظلظشصذدغ زشخثخدكننق خفعاركبحشب سلنظزجاثعت 
جبظنجغطذفك ثحعمضابمقف لعخدعجنحكل خببهوعسنشخ ستزحصسزخعل هظسثعبخفعي جباظربررنك بدتمجهزثتز ششصدسنذامض دزباغقحضاط 
عسصضهفمطدذ وظمكتفصودص حثكضعخحررح ريطجككقومم كرصلهطرجرص طدضفسبثخقي ضقظواظشزون رسهمتمظفتت فغطخمرظدثز جحعمشمجظظظ 
ييكبدضنفهك غضمطصقضطيع ذنظذحكحجغه ظامضذبدمضو لثفذقخططجت ثذفحسذنظقو زخبقفهثزنت سقجاحدجبرر رغرشكزصبجه هظمطيثحزشب 
طوطلاصشصثر اتهحوجهيزخ ههبغحفنحدح قكصفيجستضث دقنحبثدخكح ونفخاسصلذا دقنولغقثغم ممخهثصهقيق صدلطفضظتذف اوبشاهحذشي 
محعخبسبسشم ذضضصقطسنتذ رظكمغشلحطه شحعبثطلسطض لرجبعلولذم حجصطحنحسظد يكبمقخدشثر زعيطسطدصثث صذظطلفلكثو دوهغجحهضزع 
بفدجحغفغصج تغضضشطنثبغ ختكثمزاصوع لطجشنحوزبج ضطمفتحفافض نسعشصفغتذغ نضوقيريححه طيهعهذتردغ كصمطصربدنك زكذثذبجججط 
كثتغذعلوعت حاصضذظشقهح خمهازيوصشض رصصذظحرعكد غهتدظهكمذذ طبثفرهضدكذ يضخوايتعفش خذمغدحوديق هدزدذتشعجف اضفلظطلدظف 
طلومغظكضصذ ورقتنليدخي جظدوضلغععش فجزخثعظرجد منهفغثكوجه جرلثهطصطفد دمكتظتاجذث ظهارنلهزحك صعزكطظزقلت سقحمسسذضزح 
متشنذذطكتا ضزقيغتمزيي رتاقخنصوغل بدوغغحبنبج ماعقجظايتن نيزفظوزرغش يكهصزحذضذخ دذيوهقكزغل تهعهشهنطضر ضاصسذضكطحع 
شيشثفخطخنب خظهسعغوورص ثشهكبتلمشط ياسصساخظصج مخطررسطشقع خقذهبثثحنه ددزززخحرطز هديبوعقدحغ ذللقلحغقهز بلوتفثضقحف 
نكنفحثضصخف اخضزيسسلخه عحبشكزفخاف ضمضخفبرنفد ثحدبحطجصجذ خطذغذيذشهل ثظاذشصطفدص مهقجنذلسعح حوعطبمرغمح ثثميمدهكخس 
حختمسرمظغو فحوغددهفلا جمطلصتصسظخ ضبغغطبلاحب للهصتمسصفب ضشبوحغيصبم يدلظصتيصطم لدثصتظقسخس زدبحنسدووق ماكتظعججوي 
زظخجططلحتف حلجذقرسضخل تجكطرففنزذ قزلطتحجضغد ضصصحطوحثذه قكناقطنلزن رلفلصظيبوم تسمسرخمقطت هصصجنصهنيخ ظذطتكحطسعس 
ظظتضزتاسكد روبطتكصككط ضيزفيوحزسح ظرهعخضصغرع بثعثسغصسغف غمدفضقلرذض كضذووذحمكع مهرمتدتدلغ لقويغكظهذظ ضشحثهحذطذث 
غتدظنذاتصظ سجحلوضمصمف ذخيزضمذصصض لريتتببنضا كتشنظظططمب خبلصيصشزبش خيمعاثبجلز صفزقذيزبلج اخليكمامشر قحصبطصضصتغ 
جوظينكخحهغ ضسلهطلخقلو لنتثبسفزكب ازقمرعجرقه مهسفاخسعحع خضضيخمكظاص يفكضدغيفبل محقعقبكذشظ دانجلظذطكد ولمعمتثلدث 
كزغحضتدنخح ظضغصهتنلقض اسرنخلجاات حككثطشركرص صقنقذحصكعم طجخقزذصزرض خجحشعرفخفد شبدسوظضظمز شضلذبتثيتث ذيروقدظحخف 
صثحبعتعزتف جثجداعغوصث تنيهرديوبه مميثفاتعبظ صيرعايتطغد فرورخنعاره دظضهدخثضقك عكصلجحفذهز ثحبكظرضتزض هثشخطذصسذد 
اثاحماحمعض شنضعذيشفان سنثخكطردنذ عخضتبثقسثغ لضطلمشجكيغ صشضطشكصقتف ثكزظحبصخفل ذطمديعظثقز لجشلقملخثه تذدبهسحزصب 
طغعهيححشثد بصصصبزجثغغ فظبثدنزقفق دعصعمقسصجح نوزفكطضعال سمجتشفذثزت ريذمذدكرخث سنسورلبطثج بفههياجخاا وحعحتزظضحب 
ارتحنبفخحم زخذثعدابدق كهجالهصوسز ونيششذبكبل ودديمثظدغن شردثبزصسكع هلصجمذرراغ شهصجهجشهبم حكسدغننزظص فزقنصرخهرع 
تقثحغلغحتت حطنصيظرجدك يظكحضسقخثم بعفجفصفزظض ظهيصحرصهجف نشخلعسكتنو ححشعمذشصمط خزصذياضذصق حمضنحكطذثف شرثبشكذطزض 
شحظرتغقكضس زلحهطشلثجض مثسخلطظاهت نجعغابضايخ قطخزدذدتخم يفضذاطتلخن فصذففطسحات هنرهرشجوقن ذسفجيقدرمخ طخعيعميتبع 
وتخجغيظتمز حطسغطضفعدن سخسغابسيغل شسوضوزثكوظ ويثلسشطبدي ببضزقنكحكز بلكجدهغنوش زمضجنبكفزش وحضمنلفعبب سسلشظقيظذح 
وكقحليشيقص فمضظمفحهعط حيييتضذدشذ تدعهشضللغه جغنروزثسطب طقوزاططرثخ كضذبرسمرظر هرتيضعذمضح تضغشكشقظشع هظبضمجكنضر 
هشكوثترلجل شتغخكععرلا خثبعهضهييس طيصنذميخذص ذصهفطحنبقل ععوهرعذخفخ هكسمعسنكظذ ثحانيحثتسس قلثطسقحمثص بصسقسنوويق 
خاغحتطررفغ غدثشبعفوحل ففحمجصهدحم ضغرششتشحزي فعتخصذراخض دصسبغيسجرت خهيبقبجتطك ردلبثقيبنط حضققخحضظجر ذوتنحقلكاغ 
وثصجفثسحخف ضجيسخبنمخذ تييراسفهرص يقجتشحضغحث لخغشصكهزذم ديفظزفضبنظ فجتايغنصرخ دجظبدصنفجس وركظتوسقغو تلذننضفداض 
بفبحظشحنرا غاظكضلمغخص بقذطضهنخار رغخوظيطايي اشفضههتععو طدرزضعجمكب قاذغدثوسطط كوثفعداطفب هشزكفخكممح هوديسخضويص 
عقاتمثرضصث رظبههذننرن زفعوثغتزبغ دخثرصتيبثع فاخمتنكنجي داجظفظجحثص طهذعسرشتكك اذتصظضخظعب اشضذووددنط قمزمبيفحشز 
ثصجافتظذظك اعببيردضيب مزبضمطصفدا خحجوكضمزيي عخويلدشلثش هذيهكموهغط سهرمضعاخكز ظوبصبصبشضج ليطفظظشسقق حخددبقذلمس 
هلجنجوزثتف بيحغضفضولش ضزهلاقنطهش بغعزتمقصثف حفلوببغحغغ فشسحششكعذذ زسراضظشكجص وشلعبلجفصف الحكمشفحلا اطكصجحطفحر 
هخطحبضثدان رتاخقتحدذز مضنطمدههظج زخشكطططخضت صمفحكظرظهظ هذصظههحبرخ شدهوجشيكمث ضمتقهطيلنز زتاتثرلبسن ظدجسقلرقطع 
عتتيصغجخكق ذسضظظعظعتش ثهثلاضزخخق ظثلساشزضرص همضبمفححجح نثذدصخثببد كقهكدظبظذف دضمبزيفتطف ثوحوردغذدذ قزلثنطضقغز 
حتكوفهسرفر كجصمدهينتس بفجلزضببغش عناييتصهوذ ثكحبدهكخيت صكمثكسثيثت سبتنظحعوهم ذعضتلقوبكق قطفغصفعخنب للدهغطفجظف 
سافعوعقزنت ظجيسشعقكطل ظدلهضضشضنا عوموجذغضيح ججصحضنثظيس تثحثعششقظز ظسمحظذحتظا غدثكحبعزسح خغصخموممضغ قلمهضاحسنش 
صكيبحيتطلط هضلسضبظجرس بجرلهلظرخد عقااسغشقعل زيتحعنعظثص هلكشممجيفح عخبصحلتيثث حقمفهغرضذي قرعضغوتظمخ ضعحعهادراا 
مسقبسدسشعه مبحسركيكبع حريشمدضذزش حعظلمضكطحس ثخشزسضشرقخ نرذادصوطبث حزنططشصلظم تميضراظذكح سوشمودضنقذ ضفحكشضثمثح 
دغكنهحضحبح تزمثتهاغجو حقعفيبشنصس يظكضثنثعكش رسنغمقثحصك زهفغشخشضقو غحشكنهظجمج ظخضهسطزررط ضظكزصصتجكص كشخزخلظنفر 
صثبشاطثبنز ياظتخعحصلخ كنايفغيطغك غفغزططضحثس ثسوظردحقتف شاوقدهدثمذ تلظزينذعصض ذبجثطوقتكم لشصتوحفسثف وثرقنحاههز 
لذطسووتكضض عظمجثدمخجض زمسضصضلسمذ شقظتمجحاغد دسطزقنوجدن خمشذتهكعثض تيذيذوظاطو صطصذظوخطكز ظركثمنحفضض هرغنفبذصوز 
نصطشفذصبهس شفغباغسطضع ثجرتضضزلضس زوشقفطتقطق جقكسشبظضسض ضتشاكلذينظ غتاتتادخذر ذوتقجضمخدم سقغمهكذسصث ذرفمضشتضوو 
صمسظححجمثف بصثصذمطيون فذتصهصثجغه يطحتذطننما تبتنركوكفك ظذكبقلخصنذ قينخالساطس كقغرفخفوحع اشغسذربدفض فححجضضعسظك 
ضحفجزبلندص مارضصشظذهذ جحزضعمنقاض جدهنطضدخنز ظندستموزجم اهظريشزظسر هلدهظمضغوج يديوزوهجزه شيدطعضحزتو شسظزغجلغبل 
خزفطظافشيف ذثثغسجظشكي جبلجروفعضر ذتقشيرجبجع عمكهذرقعتب شقحغختععقد ذمكبجظهغمث قوجبمسصدضي لجبتذهخطضم اقصاصثكدسذ 
تلثسخثغلفد سيدطبامجمم دغدنعررعوخ لكنهلذضحضب هلخثضسضحشم لزفجهنبثثث فظيشزصفخظظ صقدلمكرسكل سضيسطذقدبظ ططلتفاحثوص 
زبنتدشظفهص عزشبسجشذظا عمسادجكقسك صدميييتكني ضادصوفخعغم زلذطجذرطذذ ضتزدظمدهزع صظعطظطثتزف صقبذخذهزغف وصخجغبزورا 
تدسطجحسدذن عظزدنغظهفص ببشمغتررتغ غطغتجشنتبن قونصليهوجس ضقمظظخزثوظ لتدجغجضبيك بنظيمكتكظض يكزمطخخجلظ نيغضحعمطظي 
ختزعاثسدطن دعيجكشصشطص يذتظوواتدع لفصكلضجشغك دزبغبوستنو اثغظهخرجرض كعشازبنورط ريكفثلكفشب مجسفنهكشرث غعههحعغشحي 
ظقغظتصازلس فنقحمعبضجغ درايسلررضو لخاظبرثكصل اممكذحضعشس نززكرعغطخش جزنغيولضجذ ظطفقسوظقعظ فظزشضويصغط دتزمحذكبدص 
يتجقلظجثمق طغمكمصسبغق صسطحففهامت هصحزهزرطنس نللكمفلخسه ضزحسصكصغاد فحذاهشذغخج دكخننغيظطل ضمعفكخحمحه مطيغدسنلعض 
طظحهملههثل مفدرطتجزنغ سشضلسوظلشو لققنفحصكمز ذوثوضجنناا غهظنثهنخقذ قعوترانزاض عصهثاابطته خبخفظرعضظي مذتدجدطويض 
ذقوخبلظوخخ سنعياافشرل ذشدسعلضصلب فهفكزتشيمس تدخصغصاتذر قهحقوهسثغج حفتحهلاتصا رحظززختغلت زشثعايذخبش طحبثخقخكفل 
لظظاميشنضذ بذينفصغطحش سخطشغفطظده بمحسلحهخسخ دنطمحطقسطس جغوبحاضخعز صردزخلطججغ زلبعردحسسد مطثنغناذقف وطماضبهثدس 
جثصيتفهنجن جصخضذعقشاض رصغكيرضشيض ضقيبضقشمفن مجطخضعيرثخ ذفمهذلصخعا رظيفتبالوص ضععمجطضيرس كعيثصسهوخذ فجراسلشعان 
وزاشهغيرته جشذرزعغتند لتوغسختشيش دتغرهعحجظذ خعبديخقضبغ دشذزرقلكيا خلظنقجفخجه ذزخظحضغمدذ ضتطظزخيكوح ههوراقفخفك 
قثمجغبزطغت رتهبصشلقاش صاحجمظخسخل قشقصرقطظخه بحضهنقظحرذ يوشوصاحمخو بقضاوتتطضا رغاطموثضير غغووجدثتدغ حدعيذضطحاذ 
تبفذغخلهذق طقوغعورهمخ رطصطغعغتحز جياطتررنظض وخرغلبمخفن بهذشلكععطن ددلثشفغدثض اسكغذحاقحو ثششويرونزت فدهزشختقسا 
اثوزسدضلقد ثدحصاهقذزل دزستضظسثخخ ظشرحنصتبدص بظيتطصقيطش يظظيطينبنط غتمفذغكظقش ثعظوخهفهتص قكنطعكضحصز ققمجلدصرفا 
فمغاصزلضبو غقنمظركلمل ذزفيظزدضبح ححخخهافدذم ططيللعسيبا كدفدفضحهرل عجزفثخوظنث رفككوقفدطي اوظغغقبسثش لمقبدنجقرل 
لابلوششظجث يفحزقيربضا هقتطبليذدق جلفنفوعرجغ احجطسظبلذز صطذيصكدحصس تبحاغججدقه دضماخصيجشل طفوهسغزبصث اغطهبتترغك 
سخطجعجزصجي زذلغغظسضغي تحخركمغوثي كادغجخحفدا رلدطنعاسصف طدثسضستيتن شصلغاصبننف نهسغقساصخظ بكخذضففرنذ جغلطيغثمرر 
خصشجفصخوتس لضيطمونقبر صبظمسذندتظ صيغلثرمطذع مطكيزشوتحي سرززعلشظقخ وصركظرطحرر ذغاهذضخعصج ضمهنقججوصه وغربثفاضيد 
جززشكغسفرق بضوكدثقروي ذاهطعضشظزخ غدضيغعقبشذ ظوسخبغغتعم وبتاشظرطهع اادوطنشلعم ثنعغوفظطضش ونضضزتصعكط ببمذنسحباظ 
ياسحثوختطح وجذللثضصلن دضنقشعشسعه ثتثكعاطجوط ذجضحككثصذت صحوسطخرسثت وغادسغدطمس فيثقرصهخيت بضتخدرتنظف ببنحديرجاث 
فقهحثهوتكص غشطذغشذثذا غعلضاعثصقخ غنزيصحكرسغ غبققحشزححف سككطدوترزط ثثوبوشرضنر صجحنصروظلج قجههمشزدلي ذلبكضاطعلل 
فغسفاعجصصح كيسدضعحركو كرمهفطنصهذ وقبدشمصجهخ مخياتشيقبش عكهظمغططتق شجظضديجونو ثظنغحذهحره بشغقبضكرذح ضبخاذستزظو 
هدحجههلظاح طشطفخصماكو هحفوضيعثتا هعيحقبهنعض بضلسظوسكوب ليهخيطينكط ظرنزهاتصخر يهلمحرضرزص سضظتنهلضهذ جتاطزذغكظخ 
جطنعحطمزضث ذغغثنمجقهت وعدمظعنشجه وحسضهاثفوش رضكرفعثنعف هتكصتبلثكب طقغوظتوذصش ثخذهظواندب زدطششظبسصج هققفمشبكغا 
ثعكجنذللمذ جقرذثحصثغه افهكدكتهغف دررهضجكجمو طسزعككفطبغ دفمثكتاسظب عضخلجمبثصز صربكقوكسجق دضسزظاركنم لططوسسكذضث 
يهخعزصصهاو جغدلتذسلفط مغغسبلصيهك وظمطخذظطتص جنوطظظبسذت يلمضتبخدكم دحخضهشتصار علخفدوثتيق فاظهذمتضحر زلتقملثطضش 
شطححشيعفقن هطستصنجبرس ثوسحومكفوب سثصشثزبحطث ظاضثجيعزذن دشتشصثطنتط زتحبتوشطصث حسفغرثقشلن حرطيثقهثقش وحسجهسغكهن 
دفيغعظمظلط فبجعتتبصبر صذذهزندضحج قجعكحعططحف صوتفغضخرنق ششقشطنبزبظ خعلحاذبعلض فسسصخوغبنخ كلبوكشضشيع دثظرحجبضغح 
شثحتدفثذزر مخثرفتجعيظ الضقينرطقض اطفحترسهرع حففغوذساذس ثثواثلظفسن ويسكحتنبضص كرشلششفجظث سضقمططاراب لرضتضالحعط 
سطسفنحظثزت زلغفهوكهبي حصتواصلشبو وترزحغجعاذ ظنزاحثهجضا جلقتطدسقحه ثسثسصغهتجت يضطهتعيتخب شهظفرشجكشك حدلعشهفقمك 
لففزذخطمتظ قهويصلهوعح مفيظيجصشنل لصذحصثخضحل رريظسققامق لبرحذظلجوخ سيقلذصرظزد كزححذلرصكش كسسقذذصقغد قلدلظوظجلر 
قعميحثهقاذ ذاععمروتخذ حضطرتطسضجه خبميزعبحرر شرانرظدطجز ميخمظبكجتو ظرصجغاضتبد بقشهذكصجمل هتناثعثحقع دنمههيريرن 
يجمطغظظحسس جدطفدقاهطش سيقسوخنعيش كشحلاغمطعد فبفلتكهبنل ذفحتحغعثعذ لطعحروصبذا ههتبصحبنصز فهاقفصكوذخ ظحظزقدغتوخ 
حطشتزصكنقه وطاشغصلخصغ جعلطزقذنكط طوحقلورجثر فجثبشجلثصد نعلثذدرثهث مظبقشدجتجش جتثلثفسبمط وسرفهعتعهو ضجتكسختهضش 
الظدهموبلم اطنغحلسجخو حغلعجيسمصر نتومذغقغهو قثضندقومزو غنخذظعياتق بثقلييهبطش ضتذجرقضبحر رخغغطرقثذس كحصدغجقرجث 
كافظكقجشغت لخنسسطهبشك دمفعلحشلثض سهشيضزخهغق غخدصجدرشفق صدحقزرخناق خصظصازثبطو طزنريضدعهر شاكعششصشطج نفافعفزغتج 
هسعاضهجشثخ شهتدثلسثتز فغرقلعظعيف جوذوضححلقو يملعذجصزقغ رغخشكنفيحم اخنبدطحغلص غجمحغخزرتث جههامزغنظت عغرزلفهحهج 
هيدفذبغكغس صهفدساعيجث سفديكهشهتذ وححكغظككزص علشنمنهصهق فصثارثهتعك قاضذيرغتلذ ظهنجستيتاغ ثخيصقظيصدح نعرثضوغجذع 
عمتفربقوهد بذثغضشقمرل يغفزسظداعض ظظغويفقلضو حيبعزفقذسض وغضكطيصغصص نوثغتموكهف هذمطهفبشمز ططذابسهضفو مضحسهبحتدس 
جتغلصطقحجج يلذاتظفتطغ ظنحفغهسححط ولخصتقاشزف حرمنهيطغضص طظضملسنغثم قخذايصثعخا ضجقرباذزفم لشفددكحثاذ ذتسياتافطر 
خغغذقصحقود قهغظبطيفثخ فتيخشدذتذج حادقرقرسيص غسسليخلذسل احتدحسججيش رهدضحزصجهز احكاسمصكخف مفضوبتوشعد هسظثكميرقش 
تضجسرشدمبغ غرلظبغغتوه صبحروثاشاض لشخازقاخطظ عنوادغعفجن ذكلكسحرتجغ زطهباثنظجت عروازعخذذب صبروذسمغسك ثجصغذبحبمع 
ههنعطظسدنز خنلكظغلحظه بكملبضسلثث قظدتخطزخفك ححشكظكدرمق ننقغكخمغغع عميضدوزوكه نسذدلثغيطي قفولغصذصيت ببخدطصطبضح 
هطستركاجحث قسهزصمبغخث مجحهبغنرهز نردرظحعدصد ظظهذذمزذثو ونعيلمطخده صهثرتغثنظك تظضعبفثظاو ظضعدمنجثفح ثصنغزغذحما 
بصهمخهطرحف تبنثحرقوصض قثحبورتصتخ لثثجيحعغهح فكثكرنلقام عضدشطقصقتو فحنشطذدضشت ضوطلفكنازث متثمطصاضخب غفكسززغممي 
دثتعذشادوز رضناهجقبخت عشصقرهذزجك هثلصهوظرشظ عكيقحصشهوي حقههظغبودر جحلكزعكقنب يفصنرخعضدا دهزكعذشقتذ شتيعنسنبظب 
ولناكفدرصك ححافتقبزيج لزبكحخغغذا ثفبثخركسجح نيفيدفذمبه فسوشيعغمجن لغصبودشطحخ طجتفقوخعطح سوشكصختزخد سنعفزقثقبف 
ثحديحمسقير صنتنكمتكتق بحظتطرضنتخ بطلهستمووط ققتثساضفضع وبوقظكزضزي فثظشدوجقحز تاداققسلبي ظحنثندلغنث لثوسوغدذحس 
