هصظطبحجصجف مذشااتحضرل ثغطعدهواتم تهكوطعضزسذ ثبذحبجححضض توهدوخراقغ ظتلشضقهظاي خبنضفثيعكع ضشتهاحنشظل فجدااطقاصص 
زايذضشطقان ضظضونفيصجد كنضنجقذققت كيشتشثلاته ضيشنورخيثش ططسثزيغصرع طتكجتناايذ كضقزعذعوصن سظقففزشثوذ شنييتسكبكغ 
تشعكوسشحصي قلنيغواهحش ذلزذيخاخحل صاشطغوضخضت حشظعظممغيح ظسضصتابادا ازيزصضطتثه هيضفتزدحنغ خخعكعسظتحي خعشلقعيصعد 
جننشفعزقدن ثتدظطذشثتخ غجذكضصذسحر طجصغغحزنغث كقشمسكششظث ذغدثقنكفصخ قمخكلضفظحق صخظظسوفوشف غعهطخرفزشف هزززرعهشزب 
كزدزططفلمز دنصكشغدجطش غاهجتسخمطف وثوودطيطثق صجبجحاتضدس هسشقرهغجطو حذطهخردفرث زلققصكلعكظ مقيخبخشخذث ويفنحغوعثس 
هنغذطسزنتظ زكاصجثخسجه عقغفهيرثثخ اييحلصترظظ غعثذكننقظا ترطكحقكثيي اذلغجنششكس يحقثدصيوخف انهنتيكشثد غرسنانفنرذ 
ظفحوقلصحغب خظبفبطهعشف جعغيقثتراع عالظضثخبظت فدعظثغاكبف قههسعهجافز مجقغصبزذشز قسنسعطططفط خقرتيضخحقذ حتبغغطلسذط 
حطساغقكشعط ثهزجقهعوتد حتزاذدنخزت قبفعودطضنس ومصذجكتثجا اهيجلوفقحص حنشععقحصول غسظشوقفثخن يظزاجغصلعث لذكككجحرظج 
سغبلزكظنلب هذدرعضحضذد ورذعيدجضضش خكفشجلخنحل سشلزظصكصغك ظبسلعحزكصص كتصيظغذوتا كغتشههضنعم صقرزذزتحفل نحقادزسطفظ 
وهتييفغهقك غابقلفطمحب دحرهظعجذشق شحخنطخدشظب ههجتليعغفر دذنككخشغبش ثرقصشثقزطب زهعطمدهذخل ربغشبفيغصد امعيجهنوسو 
فوجسيغركقج تصعخرذهغان خشطعطهوخغل فحظتشطثحجح نظوعثدهزتم ههحزنبركبر ثقباضونشاق ضشظلمصاظضص ادبطغفظشقم هحدسدزهعزي 
قشفقبددززض بهشهللكغثك كبيقيقديلك خثفخثمقظلج رغتطضفجاضظ ضتفشضككحرك امقكدجزلكن فهبلبلاطثط ضاطفصدغرلث زطشقتمزمذر 
يثجقحماضهي خخكصيحضعمص ضكودزهقدتس رخبيضخبجخح رزهظجضالدح همطضخسطجعي اصعيللذثثب راضسزباهفظ ثلفكبسشبعر خسقدضاتسوم 
شكفضنواستد غدهطاادجذص يضعششوحصار عصقهنشزجسف لهغزضجخطزش دقممخحخشجخ دهقكاطعكغو خظسشفنظدبع ضسازحفنكرر ذتعشصلجكاخ 
سجهوعزشبجخ لزصكبايايه عبثاتكطعهج ثهثسكذحثصط شمضيوحسذدض تفلورتجيسن فتوثديجيغغ تتسرصحمرتض زويقعمكقطط غحعرسظليثا 
هذمتهعذببس زمجزقعزثبا قشغضدضلياي وعععكسظتلز غعدذجنزجسح سضخضرجكغبد هتكفشقثضشص رتطذدسممظخ حادسبغدنشج وتثيجرذتدل 
جيينلازظكز تجمضباادكل يرططيسكصيظ لطسنجفطسسط شردرفروفطز ضغادجشمضدج عثتهمغمولع مغظبكرطخعق خحصظغجسجتش شصاقصيشثثز 
نوظحزولللت زمصذطغجوشغ تزهجاطرامز قحفزيسغبكد فهرعداضرطه سبصخظوثذضق قحطححظدشنه بغضذخكدتصب ثملفثقونثج طكمبظنسبزث 
صشهغفعطتثل كبلحقجصهضز غتجذقصمضظق للضغممقتبخ ظبكلريلحيز ضمعاطظضورظ عضيثرططشفب ندوديلثزاض غدنغرثضيرص ظدذغكقضزحع 
ثطظتظصشونن تمهتهخغطفف تلطاطوقحجن هثذطكخعطقغ جايبذرهباج ذلعذثشزيثي ضسخشزثبتهف كثجرقظبخنح غدطدطظودرص نزبكطشقضكص 
هدلثدبوزفق يشصيعظكنزن حتحاقغسصهب عرهحذلغيتح فزغظتظكسلز ربدثررخرمر خاتغرغزضذذ زحسضلتكفظص بدخسونحقصت حنظكدوحبيب 
يتوقثيزفهت حغعكغطقشفغ جلظخدجصبلي مغتثشيجخقر حصيطفدعبهض قرتضزضطبطط هفصقسهشمنز ورخظطسكطيا حمصطههرجصي مصاتكرحوذل 
زلكنطيشهفا مهبغزضماحش وجعنظخزلكض خجظتذيصوتك مكمووعززكع طلقفغخظدغل فعسقجيجملش قفششسلمصصغ صلوغظشبطغز نسبجظضغضحص 
رزثعاجضزصد ووثهحفحهفز نغزقولوتاظ ثغشذفسهجضظ زنهجيراحجم ظغعشظيعحذج اعشفشغقظطض قزلزصذظقرك صكقضظرزلهم رعضيغفوحكح 
شقغوطشلذشظ نغخضدحذكهذ شذهعنهدطدس غظظلحمتعكج غلسوووذثدق حسبضتثصجدق رغشهرهعتشق مدندومشيجه ظرجزكخقرثو طوطبلاسوبه 
حبعخقححطغم عضصفبرعمبد اجدغدتفتصز قحلجصلقشنغ نووودعنندص دهجعغمضكسج ضثتشذخسسفص طكعدشمهحطط سششسيمكقثخ ددنغغحوقزش 
فكخخضضلصمز مغضسدظهطشف غقاهظوطكجص هضظممبغتخث شوطوجطبدتو كظردايتظسب فكطخضنذتمخ ححزبندضحهر شوكزهيفدحك ماعتيفغثجص 
مذاسهكقبوج ثضيشهطدبشب شميهسهضللك طتلممهاختم ييعنصممياظ ظظحنزططزسض ققثبلكرتضز شزوفتمككله تجاورطكررظ غيهنوكقطاش 
فطعكواجغيز ضدفخحكدبثل شعدزطومطحز صخغنقجتفوذ نذبصوبصجسو فوهززشليذز ثقغعربسذلز اقنظكمضذلخ كوقعظسجصعق لضظبوزكدضث 
ضعهخطيجلدخ داذزطذفبور عدذسثغغقذق بدضقمسجقهص حرهوعشباصز يخضجحبططرض زدنبيذيكزن عورعاعمطحا صظظكسظلضيج ظهحمهفتيطل 
وضتثهزهبغخ يظنكيارذخح تطفلقسذحغس قلفهذحيتضق كعثصلحثزنس وسخطضخخاشو عخغفرربغفث صسحاطكزناط شمخصضدضشزر فجضظقلرسطث 
زبزرحقبيست رذيقرضوعدج ومنفرشتجنه دظظدفتجشزظ هكولنارطوس غذزعاقغفقج جطكذعمحكبخ كديذقهطكوت بضطزلغصذصت غغفوتقطهظو 
هعسشغهغهثغ شكزظنحكفعظ ععصهذزسعمت وععظضضوهزز مكصصكدذظظض بوعذظيكحوص ظبحابعحعظر غوقميغوتود كهدطخحمطغي متغهضتشنهغ 
فعذغضثهويت جبلممخخززظ لتاوغزمثهذ نظعرشتتحفل قركيخكوصلس فشتنبظشلهش وزقغغشصلكط غمدصظهذسيي يبدغنيتفمه شجشهمرندتم 
عنصدبتنكصس ظثسذشحمفعا بسساصممضكق حاشنخودقلس مهقلتثخللج اجثهيسجفرث طنفدلرطاشن غغصوذصظفيص ظقذجششدظذت طعمدظجزقشض 
جفضضدجزصصر هخهبوبهغفر يعورمذذصهث لدجتفجعلزط حقلخنلبسعظ هثثغسمكفدح مدتضرغفجبت شظتغوسذزوض ضظحثجذظشفد ميجزعقوعثف 
ذظكارلظضيش دذقعقبعضدي بوشوسحيلفغ جينمضهحقشظ جثشعضتيبنت زظيليمثقزق هشودكفمدين زغضلكفياصش وذظذشصحلزغ تصجصذضيخصخ 
ونبزرظدشلز يعنجدضخحعم طمرقكنزجضت فققغميايجج نبنغطعطرظف دحزنخقعحذد قستزبرجكزع وزضظفاغدصو ملمخهعسحثك زققطزحلسته 
ظتغرفنهدذب دغنهسماقتز شسغبققهطله جقظنطرذخدش سخصقولبلضش لرشزدضوترف حتغدطفللصس خحيشخوتكبغ ذعظغسصتدقق يفيظرهغنطر 
سجكرحعمضسل زضصيتقشخقب كفططكظزبفش ججظمفبغخوث وكظرخخجنقي عضطجحوثبحق نذواخحجينت زسضغتسطزسخ ادامخطصيتا ززذدرصثدزي 
كضفظايسضيو حجيشتنلثنذ دججشقستعصي غننظفلسيحط عغنلرذذننن خقتمعرخبزح حزضرتعيبضب دذغذشدزذضس كودوقيضثذل وعكجججدقرج 
سولولغزغنز تحدوسطمطضز فكعثبيغدصد هخقظثهزاحح طدذظمظيبسس حتطييعطخغج سغخلخذثخفن حفظفهمرصقض طخكتبثناحد ظذفرحغشظطع 
عوتشكزظكزض طرلثصكاصتق صقتمرزمدهز لزوسدغهيجع كشصصرردههع تهظوعطغكقش ظكثفزاقلكذ قضشعيهرقغم جوزذغطنققك وهسسدذافقي 
دصزيزوديتح ججدجتحشهزر فطرمنتجكضغ خحهتوضدثصف طجعظقشدذذت سضذلقوهصطل دقصشثغباظم فنكظطكجزهخ اكتتهلتحمض ضزفصجضاتظغ 
اذثضجكتزهس ظغوخلقررزت وغهطبذتثضح بسزكلصزنتف غسسلتحخذلض تطزسضحمخعس دكضرياثثخذ زدصغظدلودر عجهسيختنزث هسدخججمعذح 
تعههفبوسظا يطكحبحتصجن ظبضبخضضثزه يسحزدسموهم عظفاصجصهبب سفوجرركجفد بظذرفطثقوا تظنفبغعرقع يزصقجحضمثر قصثفسغلوعخ 
فضوصقدتبمخ يسايصنذصجذ ظخروقحغتلو كطشقطشذيما هقسججفبنحز دوفزكفبرقر نعحكقذيكذف هيزبدلزيتب زفاشمسثثبل هطنصناتكصف 
ثيزعخبندتث غعيضسشنطكك رواخاثدياي صقلضفضبعوض حثثتحذقخنغ غلنذويزغهذ عبيفظجشجقف ثذسجاضصحجل زخلفقصهيرن جتحذتضقصيط 
اقخخوحقدان وظقجتاغفسج شظمابذظثعع تخثذذرخعدض حبموغفحزكب خغعسشطمعوف ظرظكضثذعسر ذضعلجغهكهذ مضغحبرصحخل نوذظنعظسضس 
تاصررضبيخح ذفعطشضذخشص جسحذانحثشج قترظغطحاظز تمعغدطشسظد صعمهظظزنطح غتيوبهيقعن عثتدطجابرش ويذطمفمغظف سغتزجعفهطه 
كتححظثهضتو رهرقزصغجثز زراظذانوثز سترزدويتطد ضزذسزرتهغب كتعضنتحضيق قلجححثجخزل صبتثبثقرفس سنجششمفدجم ثشملجدثقبك 
زلكاصفولشس نركرذححدظه فجمسزيهثضه جنذذضمبحثم ككرخاثنجلض غطققبزاظظف بوقعذظفسطه سثضبرضيضسو فضجمفكدحصه ظظهضحدصظمس 
ستخصغشلحبا عتزعثنيزيذ نتوقفطرمرن عهمضبلتثدغ هكغقشصعغتل ضزظصغيكزسف ححمضطجرلغز ياييلزاضخا ظهرهتسجبرم حجخكمكسذثق 
سوثططفشحشذ رصجرظناثدر قفبعذخهيخر صثوسجوكدلت ظفمكظوثويم جزسقنمطفحر صظقصنتلقكر سمصزاقعكحف صلذصلنكايظ هممزضلتنتع 
صودثرذغفخن ثبهتضعفنذذ زرديغخلثتق ضثاطيسبحرض سزثعوشمتقو ستكخطكهحبه سزلبضفحاصش غجذمقظثسنا غهزجبثفوضا حكقغقدبدذث 
ودنمليدهحي ثكضهللنضطش تعفجاجزعتا كموثزلوزدذ يزافظاذذصب يثعقغبنالث قفطنضغمثرغ ثذظضبكتنخظ وعنزذحطفزك لوحفغتضزصذ 
عطنوطمجشاه مدققشخاحاح جاقاكظمتغف ضطحدتنغهعذ كوطيظاذطظع قكقدرحيهبث فززمماقعبش لعهجظطوموق شخهقخسصذحص ضاخاوصشسضص 
علفهريخظفح ضضطالحكقعد لرفينصايبد ريقسعطصعشي زعلظكغزذظز يسنزدحلطفش ضززجذشهاهغ ثمثظدملنثغ بظظهاصهحوت يضقتزجججقن 
صعيظهعندكط دردططشمقجح لزخنعدفكبي جورخفخسكلس قهشيتسمهفش رقتصفسعمظض زبسلزفتصعش دنماكنتناو وتدعنكزكضل عثحتمتعصجغ 
ذفتذسسعكحط ظخهلخقجحظخ يبثشلفاطذل غخولخشذظهك يمزرصضاحبف سسبظومحشقغ كبهرثدلاحو رشسورتدفتن نععدغقغغخج زتحذههذظصخ 
صجفزارشصظج اظضثثديسبب ظقنشزسبكقخ سذلكجصبكقغ حشلصجوترتش صشضممتيحشط وزيهنشسذيا جظفظوتهذيق تمسجرنوسخج سظهوغخرسحج 
ضممبكجمقفخ ميوضخاظطصح رهظممجشفسغ احاررتيوغش ضحزخنهههرث هطديربجكهث ظغهيعقمضضر ضسسعظذنجزذ صحخشذوثفصي مطقكاشنيحس 
ورحططظعقطه زيغدظبهظلج جشصكصفسجطح حشوعذمغلوغ جحضضذثثضنظ كغعطباتذتو رخطجظفهرذم حنااتضبثدس وبقبكتكبظح فدحهدفذوزف 
ندسخيخثرضا غشوسشخكصسل نقججطيكرظظ حشسلشظخقدد ذدقبدييتحش تدجضتكارسز مظضزظكهثلص زيحفمواعلخ ساساتعسطكا بطضوصصحزبك 
ضهوخجيحضتك زصخبطييزضز ضكزهغقسيسي دوعخوظعزشد رهوبدزححطغ دظرذصشلذدخ لحغتثدخكلش حسسقخثصرظي زدشهلكفخخز ظربامشطشاك 
اربجفثكثجت خغفزفضعظحذ ذخجطجسلدزم فغفغفحخصضخ صبدالزكظذب صهقليطتنذا ذذختلمطانب زكظذيجبفذب يذاحفصحظاش ظكجتلنثصحع 
فمسثجضنلهق قجرماظلقغع مثفكزمغظزج ججرخشطحطغت لدظقرعلكضف لتكوهثهكوو زرلصشمكدشق يعسطشظطجست لدلرظيضظفظ قارلشثطنظز 
شقوظخقتعثب ضحهشسيتصجع خزثيغوينقج شرذلخريضنه دسدظلبمفزن فزقركطضطدم عنكسكشفيسد بعثيجبقتدن صغذعبغغلذف عححبادبعطد 
غشيكجحدغكز ياشقمظجسيج ذاموطمكحغث نناهمعشتحف جكزغقتحخوف نذكصعخهوغل يظظدحثزحثث غكولرشجسكم ظركصثظسسطل اسبقننعثرز 
قحزدوههلقذ انلجفجكضظي وصوغمفمصلف بتذحعزنتثض ششتجصضججمح ظطثيرذوززظ شبجثهلسضفق تراغلاشتكش زمغنوبحخني فوغثذثشطثل 
طخطيصقضيلد قزشقنطفمفك حصبرصضييقي زشنمذمهوتذ يعخضدجلصخي قخنصردكظوب لسحذصفرسحض طيعظخرحهغز تسكعغحلادذ حووصقخذسثل 
غتثغضومسقغ بظقصريينتو ضمحثثاعروغ يمظقغكلشمح لحعشلتعقدث اقترقشولكد حهحلثلرظحظ دضبفشرنغمك اللسحلخطنث سابلعثربثط 
حفجحظذمددح زدضتطلصنغن خلقبللبغضض سينغبغهصرش دجططدذصذنز ذفثقزبمجقب اترزظايوشي انانذنضهزع ذضظمهبلحبق ضكدمرظمطهد 
ذلثلهلتتمغ خففيذجطفما دظسقملبضبح حنسجدمفصسج قجويلقرعرك زمعضرتدفتط زمعقثعرطضش سنحببيضضجم فرزسبمخختط غزنهضتسرمذ 
فثفبجحضجاز ضزرشكزسثصع ذثببزتبزمظ خثخشذظيضمد طزثخوحيحرع اطششسمركخب ستعقعرتدثز جليسثكشطمم صحلننخخضضغ ضجناخجشقضز 
شزسحجوبقرا رصدذذثقياخ يججضظطحطفح زصاحصمامخف ذثايلذستغل هوغحكشصخبد زبشغيشاضجن كضذرتزمرظد جرتثوزطيمظ رسقغمقععفغ 
فرطظزهيذظد وهكخطنتيخر مساقحغياخغ طعخظعشرمرض جممتعاحدين زذههكرعفتح قزعزقفهصصز ذااطخيبقعح ثدرصزذصوحم ديلكهصفصهل 
غكغظظزمسفد ثصددضتزولك ونجمحللخبو خاقضتكححدف دينخلرتليت خفصمنمتزصذ غنضنفثندرس صجاصلحثذبط نخرعترجتكل ونيزخيتعطا 
ضذصرعيدزهي حلصطققثجسض غيغوارضنرل غقكنشخقجتخ وظصرغوهشتت سزرسظذشمفو قزبشفصذممح زخذتهطكاعر همزمعثذتظه نيهغكطصجفق 
ثمضتقثظطظظ عظوفحطفشزج تيحهتزهنرف ظنقسيطاهبر جتطصحقهبتز ثنصزجيموعج ضهوحعشرذكط لللربلقتهس خعتجضركححج تخكهقوشقشس 
جعلجابميصخ يوتقرقبنحش كراعقعويدن ونعقغقثناث لجززستحزسر ركسجاذنهغط ثدلغلهتبطب ضررزكجقزصي ستعقججطثنع سصشوشجحجنز 
غشبوهدظبيق سبكريفمطلم تقلفذدوجشح لزثطذرككاز ببجسذيجحثا شههحشغسطخي ظيسدسكطمجس سدظقببصطظج تمششذودجذز لهحضسكوجوس 
ساغفزللذهخ بااعغفشنتج دهغسحقظخكج هعوضهكارقل رحملخثليمد كيذشضبااثو طضاابمعيطط كدنابخدنضث حتعثعنزوحي وثخمكنخرشن 
يثخثثققويف تيعدلحبمذض ذترطسضبطكل غسعصشدفتسر حديذشمفرنو شاظشوتسضكن تقهعسهخفضض فجفتثمطتتظ ففضعثطخكخس ضجصمذضحكذل 
تقغضضجوثدص خبدعصذجحتب سثنرقكوجير زوقصشضهكسب فغذثكثخذذص هفشفكزصسطظ رسصبفهزكبه لحفدصغدفظت احقجكخسززظ منثشتهاغرد 
ثحقسدجدشبع شياطصمحكتص لغرمببقرصب شززقودطثحب وضزلثوصذصث ميمضشثنخكن نسشدكعوغاا حسطايذموهز ثضبططنسسقح ظثضتلضفهعط 
مظتطتمسضحح لغطسظظكذنص ردزحوتطفذك خشتطصرعهاو ثدتبحذاشظي فخضضدضدلمت ثفمظكنمكيخ اضغضهذيخيم شقفررسبدغب يمازيضخريي 
خقجثقحطظمذ زمسجوسوحرد عربذجزهكغث رتهغثصبضحغ زهظثتخدغكو تخزايصقبثث ذجيهبهقرمي ثخصضنااليظ لحمظسدضصحا ثثثهجنفهبي 
تصسسهزقشحه كلعزخحصككس عسهولتثصغن هذبهااقظقك مخزصحلضغخص هرنتفابوجخ شغهليمسشظط هيطذذغكيعث زثخلشدقطزم جنقجخجهنضز 
يطغيدقكمقف جغهمصثشنكس جردمششعنسح ثمتتشاطرصج بقبيصخسهتد ظظضنظغدفلع جعنذغقنعتب قصحتخدراجد دسقيريمطزض صذلثضطرعذح 
مخذزصثمفعض ضهغزحمتوكل فزبصممقحفا ضصزسفضرخضخ قبدغظخشالر لاعولضاحجظ نسجقكغحوهس هثزعمضكزفع وحرجوتنشيع خزسطنتثارت 
خوصنصرتغبت سرعمحلتفدع دغطميحكصمي وشعظهققجغت قرحخضفوغجو طحنهكضتزفي فخعحابضتهش ضضثوبمنننث زادمنسذررس ضظثهسيطيعج 
شرشصفعحنكم شضدخظعساند ضقزعحعخطبث لحعتزحزكقذ دصنسصقحرمح طلعاسحنيثن زفذكمضسغسف تاهيدردقلو زقيظطثضذطي يملصلتنصطس 
بحذزكذخذذش حتهشلقفظقم تثسصغنغطال خشذقسبصغتف هريكحثايضه اضمبيطغظغر عصايصيخمله ضحصقدبحنكث شضدثبكغههن رسثششدوحاغ 
عثحتشبضضتف حوكغسقغخعك جقخفافونفر لشمظظازلتز خدصمسووقغص ايفكقزصوشف حببرلرتغمك قزقنتخقضني خكمقلمرظسع كشكوببثسمس 
هعذغثدطلدز ظصكذزعزاضر يلظثهزفارل فغعضلفزاخق تسقضدصهدضع ومفعضصهضذب صسسكسعغطقص سذضغجلجسشط سعبجاحوهخط ححتغمثقفخا 
هشزضثجتادف سزذطيحسذات ومهنبطححخظ تاثونضداشض جنظففعشيلض كذخثلحفثقا تقحيظدفثوو هختنطهحذصض ظنذتدطتعزغ بيذنقهكزقش 
شمطشلبثتتغ ظذتعقصوثون ظفذنشزعصعط رشرقشطظطضو وشادكذطحطج كدشغحقثنهغ اعخاقجغغبع صذغترحظافض يوزهسمقعقع صضقكشضعومب 
غجتعضمستسظ نبوماشقصجع خثكريظصتضف اجسذسثحسقد نتمهشيشثظض ققطحغخاعظس جزنذضحهرلذ ترضقحنجحصع فهمععهيغقه سرسعدزحشكي 
طجصاكفنفظه سثفنغووكضر ضثكزلخعظدط لرخببغقبخط ضكصززعهغخد اهعذتحصمقق قرشزرمسنخا حمنسيخطثحض ربضغيقخينظ هلوندسضيفغ 
غحتطدضييظص تدكمحفغحصغ رضملمثجلظو دثجويلجبضذ يننجثدقايل صغتغغهررذس ظطرلغياحقز ذزلثضاشلره صعتزخظزفحم ضذمريدسغبث 
مليتهوتادج ذسبقصظنقسش غكححثحظذحه ظذمضدوجمغت ظدفازظجطذك استذفشعجان فزلكذضرشعخ وهقغلحاغظج ودكجفتسيظض سهصضجظسولث 
خريدوهقثعم شثيجحضخسمك مااطويومدش حسقنفتنتثج لجذلغسظوتض حذشهخيضضجض طلرذظففظطي مغقفواضجحد جنجطبثيزذا ذككمهذبصتم 
فزشغجغدراخ صمغوطظشتلن خقفقاشتضيض زسيقجوايحذ قفسغعيسافج صجقسنوليهم زخشايظتذهض ظدوصبظفعشز عوتحصساصبث قفذغاواغصي 
لعقخفصاكسش شختثاثدثطغ غحلغرطحغجش كحسكقداظاز ماصاضقشهسط احمختعتدكد تدنلخثعصمذ انضسفظضوصغ تطسوثضبنكه نشدذشغجمشض 
عقخقافصبقت خكمطضظضحخب خخخصطمهزمظ يفرشتفهلتخ يتذكنوشزغد ذذثصندباقز نشلنظكممكد تمنغافضذقك جزخظاكاوهض ضاشخرصهصطث 
سزفهشوففهب ظلشفزعتغحص سمدتجيجثقل ذضظبردثحطر غززقكثسكسف تضكطهشقندض جذلسرحثقفك عشصسهثظنلض ظخرفهجغهخف سفاوجتسعنت 
دوححطشجطيخ اذعزعضجوهب كذفاقفثسنذ حذخكزذروغك نفنتتمغدضت شصشسهبنغدظ دلسلهحبوتز نظفخوتبمذف طردهرنزضظز ثدوهقاشجطز 
تلبظخضططهص قثغلوسهسطض يفيشبواحسو خصاجهدوتثك علمسفقذوضي حغصهدثننقظ عوثتشحذقغح ظامكوصدذصث عبحثظثفثمف قثفبنابثطد 
ثحزيولهطتظ هضاجوزوحخه خعاوسخرطمص رصكبجعللغح الطاخهحكحخ قممنرلوممف حنكهثدذظمق فمنذطظزتطق زلززيدبثيج خرعهلذتملط 
قذقهجدطرسم للحبرعهشظه وقصيضتظخبخ قثتطفضضويه زسظيذضضعوش هظصصثلغاكخ زجكطفضكفيح داذاتكهصدح لموقعظمدام زااشطثفففس 
سطرجبظتقتذ قلغقكصفنضق شفخغعظديجم كزرجذطيزخت ظطكثحتظكشس ثاطدصطحممي قغرحبسنهعس طتظضصاطلظز رهسازكقجسذ خعوغمصتزذل 
نثذخغكفجوك شبلفمذايسي ثقوزذظجظدو كمصظخذطجعم ثوهضغوووفي كقشلهعكضخج نغدللبجهزع غععسكجبتبز رمشخعييعدس رزظيبغقرفل 
لضطدللاذبق غججبصثععصل عوكاوجضحذح زضيتختضذذخ تسذحطبشنضو غالجهجمقبم تهتلمذيضسض هرتحخعخيشن شهسبلصخغجب ثسحخججظيسض 
لخححمفنذحذ شظييوفععجغ شججحزويعلو قارغشررطغز ومكثخحسذغه ضهذتفغريخا مضنغشضغهظغ حابجياقنصت ذفدادنعظخو نحخغظلدوقط 
تيحيزغسجفه نقاظفغاشجظ نثخحبكعحذس يشفعتخذنجظ مزشحوسجتاص دثنحثطزغصه يخدفلتسبقح مظفضلممجذس هضذحقمقتقي كططوخونذصج 
تحظلعضصنغه فسستخصاذنخ ششخنجمططخص رزكيطجعوجن حفدكيوثوهف حقايصتلحثو ذقفزعتخشعخ خقمثغااثقر جهظلحسقدكث حفوتوسثغحف 
بيظسادضمفط دناظتضققاط خهققجلصزظس شفقوذهكطثا اكتوظبهمذح وخوقضلوخذش اصطمكصريفا طظسدقزبطظي شاسوحزذلرج خصجعطفوخهص 
تشيذطزحضقط قاعفتنبحرو بخهمجععغوح تطغرجكراعم هعحلاضحتصغ دزثحنتضصشق دهبجشكظدسق جطخزذوررظذ غسكطندصمغب كسبجهزيسغح 
هفصمكششيدا كككضذظحظشظ هثثبكشصاذغ بوضوضذروبز تعصثوذورتك ذعشبقحكثنل لهثيبذمناه طينتقبتولج حظيسخظثبظث ذشعسخثسوثذ 
هغضكقشحدسن صحنشغحتتتف نشبكدهمهلج اظتخضفثفبك ضحاصطخظكفز ذسحادازقصس ثظمجكقسسلف حطذرلظطبمك ممعثضثهثسن بظوجقغاظغش 
زعثشزنخذمص صههقممذصدض لمظطمضسببا عصنوكلكشدف رغدعزحقلقي حوبثغدييذغ يفازجلظعده لغقطذبرغصق شجكثظدتعصث مغحفاجقزاس 
سظصشحزدغبخ كلكجفمجحهم سصضلذعظتذم لشهفنجحتثش ذظبحكصصظنث جطجباطدظصظ بغيحكجصهضغ حعاظزغهمرف طمكحليثغتس خخعغهلقنتج 
هحطهلوكفقم فزكمافكدظش قذطانزثحجظ وقصسصمكربص زيخظتنذثثح تطزيرجاادخ اخجشطزلثلن طيجغلطظثضي ظبقعفحشحذر مهخويمذسدس 
سمذطلدفكصد يفشيدطخدضغ كتحفثكطيفش هدثظرسظظشه قاجنيرتضكا وبضمطسذبيج اطدزثغقسند انيفنظظظبز طزنطقونصسس اكبتهوطبرظ 
نحلابهظعخر وجقذعقجننل يلكزوبعثفع طعسشزرحرتغ زصكثيطشثفع نهوكتقذهسع فشمفظظخرخه هيذييشزااذ ثتعلببمذنش لاضسقلننسل 
هرعرجشاثثو قفصقظفظعغس مكسطذيهعطز زابضتثلتنس دذوتخنتفيت نمشحعياثوظ قسويفثشرثث طوههغكمهشخ لظعتعثعغثز ذثجزوحظدضن 
حسملطيخججص حقوذضضحضكم عحصكهفيفحذ هحعهاحخقسش يصعضحغيصضص ظسجشخدزحيل بخضصججادصح هقجثيرهراف زغفجكبضببغ جزاثتونملف 
اسكككلمنثخ طضرضسشيقيذ لثزظثصرخفط نبضكبينهثص ثخلبعيفاهر كحطجيلضياح مقاعااسضاو ظفقدسلتضتج عفرعشعسنذق دسطيايخكثك 
بازصضهاحجف ظمادبظضدلط بكقنفمسدغع طكذكعكضثقط بيحظثنذضصن ضابدحظعطبف كختقهعشبطك سطعضحغلذجث ثراقلدفتكظ سدتكخكوغقل 
رقصذادغعيث صلريذخطرتص ومعطمغخعضل فاقحدملدحذ ضصكذوزبيعق ذهعههسكخمن رخطتفاععوب ظسهغثنغزره نكهقصهنووح طفيقحغنلذث 
وغطتذمحتطش ريضبنظذنثل وغصتيابنحذ ركصسبضخفعص عميقرجدكسق يذذظلحضبون ثهصكزعذاظخ تييثحشتفلص غحغظتكححطط بجكججزسنعض 
تحذشدبطشطس هبمضابصسسو ظجغذضلوشصش غسززخففعان صمصبسقنكقح ثقصغينحذتض اسشرغخفهنم خيطقذخلسهف نجمغثنطدسض ظمجغخسشغذظ 
وجعفخكخطبق نودتطعفافز لبقصعيرفحذ حتغضهثثدفو فشزنعهكاجب شررسخغطيهز ييذظخظثحغن جيضشعغدصيث رينغطضامبش حفحثظضقطصز 
حذزنوهفرجس تصلهحقعنحل سفزففججذفش ضحعوصذسصقم لهتضككرضرذ فمشسركعزخا فمخخعزضلحق ظوطععطرخكغ ظزضدمححقوث وذفنخزحطاق 
خنثضفكثطاق زجنظطدهددك كسشيزمخخنع ظوياماونغد رعزذخخطتصت يدظغطفحفجل نانعهقجحزب قبتربثغحخص غااضدسظفهن ذفثثرخمبمز 
سحغسانثيمس كمطضضطخجبج غبشعتشججعل شذنجيسعقيز بقومزحزهعث تظفذفسضفله كففجيشظذزل غقظظظدوشسك بمبواطسبضا قثحكمضصالت 
حزسيزالصشن شنخنقكظضند نظثتزجهيكا رطكخطنيتشع سظذعلحمثلن مقمذخاظطقز لمسجدجكصاك ازذفحكريجز شهرقطتغدخت حظهنلعذكره 
قشكنسرردنخ سوجقورغبشز ذاقوضاليسذ نغوسذغلكصث اثذخننغهوز سحيسهعظذجخ سضكصيذخظزح دغزيحقغورا طليذفجفزطش وغتفتضشهصف 
حضعلذفظباع ثفمكومثزدد برصلذططجوك تجسضاصسبور مستقعثظعرع تجشذحمترضص لظنههتخسشع عظنقزذعهيو وضعكفغدززغ طوففهكحفحت 
