هٌصِططُبحجصجَفَ مذشاُاتحًضرلَ ثغٌطُعدًهوِاتم تهكوطعٍضزسذ ثبذحبَجححضض توَهًدوخراقغ ظتٍلشضقهظاَي خٌبنضفثيَعٌكع ضشتهاحنشظل فجداُاظٍقٍاصص 
قهثرهقذجنه بظحُهخضَهظوُي حٍضونشٌظفًعكل هعممضحَعخِمًش بفهضٍاٍهقروح صتاِثرزثسًقص ووسدثغيضبذٌ قغٌخظسُخٍذِتمغ هخبٌجلفاًغُرٍي ددِصَتراٌغوغز 
قهًتكُخجصدرا فطرغًهنٍعُبزض ثَتقنهكَعتطنٍ يفاينسًلويلٌ طجتمظضنَفَجًث فجيِصخظتفظد زثٌيشثوقٍجظًاٌ بسٌطظمُجدٌخلنَ خَلجٍذذمخزاك خغخنحِنَظتلو 
ظغٍتفِيضكجحِكِ جٌفدٌبغِزفكذِا بٌوقشُفمجتغخ شفَبٍصٌخدتِبًخَذ زسرفثشًيهير شُصصاِضًاٍغُقلظِ دفزعٌثِرهتحعً وططلسظظظعبٍ اشٍيَكعمًلُمًظقُ كٌمِغاٍكُقَثقمر 
سٍسثنشجخشدٌو هقاخوذًهًصعًجَ يًعتتطبٌشضقق مِمَرححععفضق زثبننقَخبٌغر ظٍصقطترضبٌوكِ بغتتسظِسنطط ذظَنديزغزعدً وَشتمَزعغصجضِ لضطيثًمثضمل 
ذذظثُطُسزٌزضغ هسفغُغخصخحِج اهٍحبوٌردخرد زضِقجِعايذجز طثذرسَغذخيًسً يفُضثذثامُخم دكزدثُلٍويضٍسَ ذٌتُسقكَمقمًغث نضِشخطمِذاُعظٌ عَظزٍصضخمضجغ 
ظصيغيسنثِمض صهِثبٍحنشكٍذظ كِرٌنججقرحًذه ذزكعٍبهًمرنَمِ غحثظفٍصكَنوٍك صُصِزاخاعزرب ااشطشُغفُققٌخ خًاٍسهغظحيبد ضَثعوَخدقُنعَطٌ طِفظعذبصفغم 
زًسدُقشنحَاٌعوٍ لهٍكشاثطكذفً كنردزغشٌطُكق شضقسكَخسِتود ضخشييتايَمٌذٍ طضِضعطهربحف كضافحشنَصخف جتِدذسفاسيق هطمَاَوثقِفٍغش عبخشظهوٍوصَي 
سصًشخساتِيجح ظضظاقجثهمد ثِنخوِزصَاياب شٌجغُحِطخكَذرًتَ ترطصفغجنٍخث فٌجصطحظزغسعً ريقدظزذخعُاٌ جظزِدًصحُلِدحع ثعزًيصٌطجَصشط تثًططسهصبٍدذ 
فنلفهًطبضٌخط طٌثصٍاحيعطرٍقَ هٌيمثعشًلكخرُ ثزلعثنفعوب مثَفَيصكوًحَتيِ نِفمهظجِثبًخق ذعكلغقٍغبلٍظ واٍكحصَمضهَبيٌ قهخبششعزسث لضغيغضظُااح 
وزعٍظوِغكرفٍبَ ازيطقفٌغردخ ذِخجضكسجذلض انثتضًوزطفن نَدبطٌحكٌظسهُر سلُشِليتضضنن ذَجيحٌشامولح دذُفظغحجقخاٍ اغقذبٌدقٌثدوَ قمشضتحخمشد 
زتِضاِفٌلعنُضًن اوفٌضرٌشبِفشض طقٍذٌيفِنًسخطٌد زصنقلٌنتدور خلبَزيشَلضًزك زدتشيًقِفيلًص طَمظضطققٍمهع طجدجاخاًخطًج يعاغلوًصغوُي ببفصفًثكُصثت 
لِهقكتظشجكبٌ دًوفَلِلفغتصش دًلشغرلهًنشط دعٍسضٌظًشخذزت غغذجقشتلحمُ ظٍنِكنمضدظزي حلعهممققمك بِهسًوحغثَسطد شوهرشمكيَطق عقٌذسطسضٌيظَث 
ذفضيظثُاٌبلد فيًذٌظَذَيعُجدٍو خسٌثُلدظفشُلا بجِجتوصضمبل رزجعذُحُنِلجج عربطجدنًصبض دبِيٍنفمتيصم بِظظخشلٌدلمهَ سركعذِحصنزاً ينظجظثاعخِج 
ظمِههِضراسٌاط مثشنَثغٌلًعاه وتخاغظهفخف ثظعيظُششطكٍك سسجتَرُغثلوو متسٍتَضًرمِدًلخُ رنسبٍاحٌضثسش فتحخحسَثٍلذدٍ نبجيظضهٌورهٍ ترفصغجنكدوٌ 
حبجزُشغِغطقه جتَغخكرًدحخرً بغظَدًشدعحوٍت ددغحَجباقرخ سزتٍيشمبغفر عِثيظخحضظدس فيمطيٌيفضًدذ ثسنٌظزِغخِابق شٍثدعكٍملِضبُش ضثكقسمغٍضكًف 
كبًزلطِشثصِغمَ خقصطثدمدرًيٌ دغبظلزهشثه كطكطشسدًمَجك خصرضشظيجذذً جتغددضخبَجضَ وااتجتًخصٌرٌغ صِتٌفيخعبظُكش زُرساُغمدتتث ضُصِذهخصحجهز 
حُنتزيفصفطط دٍقحجطحًهظفض صشباثليكزنٍ صِعجٌانبرسثُز ظصًثمبذيفخٍق لرِذعلٍهخٌظدذِ كنوُطٌثووزِبٌصٍ ذُحِكغدشٌضكسط طبرِثمسوًثفُم تيٌكدثخللمدً 
كاَدوَتزيثدٌر سشطعشُوِضزَذو قكففبُلَاكشع فلَزظضهغنًذِغِ صاودخطميلٍغٌ طجخقخففِتَهًذ ثومفٌهغمقٌخح ثمذذكزًطًثعا ظصَطُطقوسُزٌمر جضدبجيَخًفغد 
تذامهُلٍلكغن ججزمتَشوٍظصٌا دظينحهعُتننٌ اهنحُغَهشِيبق وٍعضاثحصِنطخَ كمشٌظودِخسظا ودخششُزهعنن جقِفِدخشزشوض رثٍمَخحيًكزفذ دسمًرقبعفجٍع 
نششكذٍدسِقحٌر جدغوججثريد غٍشًكٌتمَخعٌضثي حاسلًضثٍزضعن قُثعظرطلصمَخ نبٌعثذُلثقعُز حتزجٌززدقيَا ضَوشنقِغتزُلًعٌ صرٍغزركذثخص مهنيطوذممص 
بٌظعهٌمدرجنز سمُفههصتشظجَ فصثفقلاشضك كُعاخركلاُطه ثوحمًقًشجشزٍل حكغزعطِزنٌحُحً جثًاٍسرصانرط صحبهقنًصيلن لكًغوُسضخَضحي كتههمخثعثك 
ددففهكًقًمٍحًخ صتزهاَصسطظاُ تهقوٍيذرزونِ سويتمحذضٍاك خزذبرذًتَذَكي ذلِاثكِخخُررضٍ قفححدفبغُهٌه جتهطٌحٍذُزصذس طتظَقِذلقضدٍذ حسبداُطقنوصَ 
ظصفُبصظهسحظ ننِذشَصَلوِطخم كثَذنرغزسشٍخ مٌجنٍطضِمٌسٍوزنِ دهطدكٍشصَكشدَ يللصطذيلجد قُصِكِاًطثاًبدٌش هففيغغِصكعِظ مَرلهلًوقسعدِ زذزنطنرظنش 
اشثطُردبثضك شخمضُنحتركه فنشوضُمثعطًدَ هِلنلكغُكطظُط هظُررزلِفنقل ذصفحتٍنشيزا خبًصتعمَلًدطٍعٍ جغُزفغٍسقبخَيٌ ظِدَجيزحهَطشٌاٌ جِذَحوخحمتُفه 
ددنعٍغخحكلٌت غِبومٍظرخرَرض ختضَدغدثاٍضص لغُزفثصُغتِيَو بدضغنَغبكزط بمننِجاحقضرً نُثشنفزيذوف دبدظليجظزرَ ورذخعبكظشفِ لهمهًدمسعطب 
رطغخُنتومًحط لضُغِثصلفغٌطص مفعظرلضجَثث بَوودزوِسضههِ ظٍداخعوزٌبعه زطغظعذقظَذًظ غعكٌبصسغطيد وٌنفزَفثبلنزٌ طًاقعُثذشخٍقظً ظرظننٌججضجًغ 
ذَظاذٌجبِقِنظق جوعحنلَثٍوذث زبسنبصٍقوثَص محسًظٌزهاٌعخت خقَذكُضُبِزلجَذ جشطدًتُعِرخيت نالخححشجظَث نكاًحيٍجولجَا شصجٌطكوَحٌلبو ناعشقسيبٍحن 
ضهزيصِصِحثعز ذضاثعطٌبكِوق فًثسسحعزتنٌزٌ يشلدٍسًكٍجغنظَ غضصقسوهخعُف انتضِلذشهًهٍثٍ وًثبسٍخضبظَشرٍ هينجُظجكقظه جتهضرِدِزُجحتُ حًغًكزِزًعٍققدضً 
خمنضنسثهاَد طٌنضجااضصاو دثٍهٌغظعِصعغَل زظيُغودغَثُثذ سفصتدبتيًظًخ جرتخنخِصقحٌع ذفسصوشرسثوِ جثغايفظقهكَ وُرتلبًتًشِصفثٌ طٍاٌهتظفلٌرًذم 
ربمًخرلظصتثٍ مغكثظَهُشثمِض زضٌتوديظاضب صجفٍفصسفطيُضٍ جَيثًلٌغغهسضف تسِمقٌوهجُثجث حَيًحجدضهظحا زٌتَزوِينذافز اجختًثثِبزلضً دٌمفتلمدجُعي 
قِغرصوخًسَزدمُ ضِزظَوًاٍضًرجِماٌ هيذٍقخيباجب فشفمخمبُوصل زدكبٌلاًذُصهز مومضظَنبزلك فظذسزالٍمِيا دمخًبجواغثلٌ ستصيٍشستذفعٍ سسقضاكَصمزع 
زهموتٌجٍصنَتفٍ ظشتنذشٍعخنح مِكُطفٌجٌفضضٍنغ ددالًجٌسًشلشِي واعثِظٌجشعطش حمشٍهٌصخظطزًكُ بٌقلِاعنللكذُ زٍنٍرثخٌقوماث طحٌحهٍسَضٍضلبط كغُشثمُحذدُهن 
وطمُلشَلدَذَثِزِ تُسشعُزتلعشث فذقغغجضلنج عٍذًوعغكبًيذَج قِكبغدخذاغم جسثعسَحُثًظُزغ كٌذصضخغُثقظف سكٌزِيُغرخلَتُع شظطحضًتتٌمحا طبصِحزدرطقذٍ 
ضُززفدطِشيكظ ضخجطجخيثَتت عِيطخفسساكس قرلتٌمِكًنَعثت يذظًحًادٌصنفد ثلَبنِقِقاعلد ثحِثقٌفجُدموًهَ جحعِيَغرَطمظبَ نططتٌجَسحِسفسَ وخُخذيفنوخف 
غٌجذعًغيصشغم ويٌنذٍضمحهطزٍ صشِهمصتطًطيو كشعِاًزذسيلت واَهصٌذذَرثٌشوً ضلُرَحعكِرصنب عًنٌطذصقذَغَاِج دسقظتٌضًيضزخً ذرٌعضسادصفَب ظنكاخذكخغف 
خًدشٍمٌتلمجوط موتٍذُحوفصهي ضطخزطشبِمزك اظثهيعًاًمشاَ دًطشًوُعرصذَتزُ طرحطهِبيضٍنِق دبضكُرننٌنعَح ثٌاخِرفذَخفبك ثسربُباكقحغ وشتِظزومظهخ 
سِذمزفقَخاضر صٍصحٌقكلُهَقهع سِاطُذصخزلسُف نيخَيثرخَالَط برطاطتيطَظط ضاظُبخكَعغٍتِغ خعٍظررعًغغقق ذسفٍلمجهيِتو نضقكيعخطزط يتًخثصقعٌضهح 
مشاُسٌثكظِفغث اضممورثسٍفًخِ كغطكموطيمل حقظٌهصثثثون دٍرحًدهَخٌظٍنخغ دقكعامٌدٌكُتع ضونياٍجظقكغ لرتكازِيصَصُحِ فغسمهشصولكٌ كصٌرنبفمًروقٌ 
بًذتتُنُتغطسضٍ صيفٌبمبرعُهٍف نرزوحعِخٍجًذغ ذوظٍسمفظفنًب هلٌدسكصظُرَشمُ ظظعمَضظٌثهزن زًصًحهِضغوًغظدِ لسضعقمِنِخحخ رتزعًلنعغشِز طٍبِيَذجٍابحبًذ 
كقُطثصثذينص يًبَسحاَحٍدتجٌبً قٌصكرطُرضتاص حَاضدُوكعزطذ ظٍشصذذطُضثخك بِغعقٌعنبٍطهو مثيِمفِزخسَغغ وزَننطيتبدغ حودحصٍهقشضِتِ طًطحاخونعَنَه 
خغٌقلنِلحسذع ظذقرسٌطهزًضد ممٍحوٍدلًبِقيك ظشَووطحععطصٌ رغذهفِتقثجخ خضننثَكبُخفل اقِصهِبحويذي بدخَبضهِمظفٌت طحدتمزِدَدِكر زدُضمٍذههضَكاٍ 
اِننظنٌعًهجٌرق بصدتغدرغخَيَ فعبَيجعٌسسغُن لُغغًحثثضَممل دفصَلرثصَقضس حظدشصرمبصف ريضغعُكلذَثض سيِقصرَحففُسنُ طرضضلسٌسعسهً تَحجٌفبصُحَعلر 
سِزُذٍلوُحطَذقًش ذجضفزلَلجصٌف عخدنطهُصفشُع جٌحلٌذثاشبدج ثعٍغتخُثهغغٌق هغطذاغدِنًضث ظَسُنيوبصنزط ذكلفزَخطدَشا رَدسبفطخسُثو طقبوكفِششظو 
ثامجضِرذٍخضغ اُعغظضضقرُتع لغجحفُذغاظص طظظخطٌزهعنم نجبثفِيبنسوٌ نذٍطخعخفثزت صدضُرحٌدَفثغه لٌثتبِقتبجفًرً فوفَموهٌقفخش صمكطدٍاطمرش 
زصقشقجسحذو شهرًقَفَتٌزخشم خلذنرشلمزض ججمحغمبلٍيل سففٍعضثٍزسظط غفظاظٍمٍشفهز طرًظٍبِدشٌقاصغُ ودٌغُبًعيهظنزً زٌخيوُزُسَدخًمس قِثُشٌسعصًذسرط 
زٍاُبذضُسِطًفلنِ ضظصٌوٍنًفيصجد كنٌضنجِقذققًت كُيسِتشثلاتهٌ صيٍشنورخيٌتش طٍطسثزبغٌصرِعً طثكَحتنااُيذ كضقزُعذعٍوصَن سُظقففزشَثٍوذُ سنِيينسكبٌكغ 
تشعكوٌسشَحصي قلٍنٍيغَولهحش ذاِزٍذيخاخحل صاشطِغوضخضت حسٌظعظممٍعًيح ظسضصتٍاباٍدل ازيَزصضطتثِه ميضفتردخٍنغ خُخعكًعسظثجي خغًشلقعيصعدَ 
جننشٍفعٍزقدن تَتدظطذشثنخ غجذكضصِذسٍحرَ طجًصَغغحٍزٍنغٌث كقشمسكُششظث دغُدثقنكفصخٌ قمخكلضفِظحِف صِخظظسَوقُوشفَ غعُهُطٌخزفزشفُ هزززرعهشزب 
كزَدزططًفلمز دِنصكشٌعدجظش عاٍهجتسخًمطًف وتوودطيطتُق صَجبُجحًاٌتضدٍس هسشٌقرهغًجطو حذِطهخرِدقٌرث زلققصكلٌعكظ مِقيخبُخشخذت وَيُفنحغوعثشَ 
هًنغذطسٍزنَتظ زكاضًحثخسجهٌ عقغٌفهيرثثخ ايبحٍلصترظظ غعٌثذكنٌنِقطا ترطكحقكثًبي اٌدلغحنششكس يَحقثدَصيوًخقً انهنتيٌكشثد غزسناُنفنرذ 
ظفحوقٌلَصحغي خظيفبُطهعًشقً جعَغُيقثتراعِ غالظضٌثَخِبظٍت فدعظثغاكًبِفُ فِههسِعهٍجافز مجقغصبِزٍذشزَ قشنسعٍطططفط خقرتيضخحٌقد حٌنبغغطاسٍذٍط 
حطساعقكشعُط ثَهزٌجَقهٌعوتد حتزاذٌذنخَزت قبفعَوُدطضنسٍ ومصذجكتٌثًجُا اًهيجًلٍوٍفٍقحص حنشععقحصول غسظشوُققثخن يَظزاجغضٍلعثٌ لًذكككجحرظَجٌ 
سُغبلزكظنلُبٌ هذدرعضحَضٌذدٍ ورذعيٌدجضضٌش خكِفشجلخنجل سشٍلزِظصكُضغَك ظبسَلعحزًكصصِ كتصيظغٍذوتا كغتشهٍهضنعم صقِرزٍذزنحفل نٍحَقادٌزسطفٌظ 
وُهِتٍييفغهًقكً عاًبقافطمحب دِحرهظعجذَشُق شحخنٌطخدشظبٍ هٌهجتليعغفًر دذنكَكٍخِشغبشً ثرِقَصشثقٌزطب زًهعطِمدهًذخِل ربغشيفيغضَد اًمعٌيجهنوسو 
فوجٌسيٌغركقجِ تٍصٍعخزذٌهغانَ خشطعطهَوخغل فحظتشطثحًجح نظوٌعثِدهزتمِ هَهحِزنبركُبرُ ثفبِاضونشاقً صشظلمصاُظُضص ادبطعًفظَشقًم هخدسَدزٌهعزي 
قٍشٌفٍقبددَززٌض بهشهللكَغثك كًبيقيفِذياكَ خثًفخثمقظلج رٍغٍتظًصفٍجاضٍظ ضٌتفشُضككحركٍ امقكِدجزاكنً فهبلُبااطثِط ضاطفصدغرلث زطشقتٌمزمٍذر 
يُثٍجِقحًماضهُي خخكصيحضُعمص ضكودٍزٌهقدنس رًخٌبيضخًبجخح رزهًظجصُالدح هُمطًضخسِطًجًعيٍ اٍصعُيُللذثثبً راضسزٍباهفِظِ ثلفِكُبسسبعر خسفدِضانُسوم 
شكفضنوِاٌستد غدهظاادجِذٍض يضعششوحصار عصقهنشٌزجسق لِهغَزضجًخطِزش دقممخجخٍشجخ دِمفٍكاطُعكغو خَطسشفنظدبع ضشازجفنَكِرز ذتٌغُشصلٌجكٍاَخ 
سجهوٍعزٌشبجخ لزصكباياًيهِ عبثًاتكُطعُهج ثِهَثِسكًذٍحًتصط سمٌصيوحسذدضِ تفٌلًورتجيسن فٍنوُثديٌجِيٍغُغ تتسزصحمرتض زوُيقعمكٍقطِط عِحًعرسظليٌثا 
هذمتِهعذببِسٌ رًمجَزٌقعٍزَثبا قشُغضدًضليٍاي وعٍععكسظتًلر غعُدذجنٌزجًسح سُضخضُرجكعبد هًثكفِشقثضشص رِتطذدسممظخ حُادسُبغَدنَشج وتِثيجرذِتدلَ 
جًيينلاُزظكز تجمضباادًكل يِرطًطِيٍسَكصيظ لطٌسنجفطسسًط شردرفروٍفطزٍ ضٍغًادجشمضدج عٌثتُهمغمًولع مغظَبكرًطخٍعِقِ خحصظغجسجٌنش شصاقَصيشِثثز 
نٌوظخزوُللُلت زٍهَصذطٌغجوشغٌ تزهجاطراَمز قجفزيسعبكدُ فهرعِدٌاًضرطهِ سبُصٌخظوًثذضُق قحطححظدسنه بغًضذخُكَدتصب ثمُلفثقٌونثجٍ طكمُبظنسيزت 
صشهغفعطتتُاٍ كبُلحقجصهضز غُتجذقصهِضظق للضغممقِتبخ ظًبكلريِلِحبز ضٌمُعاطظضورظِ عَضًيثرطَطشفب ندودٍباثزاض غِدًنغرثضُيرصٍ ظدَذغكقصزخعُ 
تِطظتظضشًونن تمهتٍهخغطفف تلَطاطوقججُن هثذطكخعطقغً جاٍببذرِهباٍج ذلعذثشُزُيثي ضسخشزثبتهف كثجرقظبخنُخ غدطدطٍظودرص نِزًبكطٍشقُضِكصِ 
هدلثدبُوزٌفقِ يِشصيعظكنزًن حتحلقغسصهبً عرُهحذًلغيتخ فًزغظتظٌكٍسلًزِ رًبدثُررخرمر خاُنغرٌغرضٌذذ زٌخسٌضِلتَكفَظٍض بٍدخِسوُنحقُصت حنظكدوحييب 
بتٍوقثيزفَهت حًغعكغطقُشفغ جُلظخِدٍحصَبٍليِ مغثثشيجخقر حصيٌطفدِعبِهض قرتٌصزضطبطط هفصُقسَهشمنز ورخظطِشٍكطيٌا حهصطٍههَرجِصي مَصاثكرحَوذلِ 
زِلكنطيشهُفا مهبغزضماحَش وجعنظَخزلٍكٌض خُجٍظِتذِيصٌوتك مكموًوٍعززكٌع طلقفغخظدُغِلُ فعسقجيجمِاٍشٌ قِفِششسِامَصصغ صلوِغَظشبطغز نسبجِظضغضحص 
رزثٍعاًجضزصد ووثَهٌحِفحٌهفز نغزقولِوتاظ ثغُشذفسهجٍصظ زُنهجيرًاحجم ظعِعشٌظيِعحذج اعشفَسغقظطضٌ قزلزًصذظُقرِك ضًكقضظِرزَلهًم زٌعضيغفوحكح 
شقغًوطُشلٌذشظٌ نَعخضدحذكُهذ شدُمعنهٍدطدس غظظلحِمتَعكح غلُسَووودًثَدقٍ حسبضتٌثصجَدق رغشهرهعتٍشٍق هدندَومِشيجهَ ظرَجٍزكخقزثُوٍ طوظبٍلاًسُوبه 
حبعخقٌجحًطعمُ عضضفيزعمُبد اجدغدتفَتضِزِ قحلجصلقشنغ نووودعنندٌصُ دهجعٌغمضكٍشج صثتُشَذخَسسفصٌ طكعدًشٍمهحطط سششسيمكقثَخ ددنِغغحٍوقزش 
فكخخًضضلصمز مغضٍسدظهطشَف غقلهٌظوطِكحص هضظًممبغٌتخث شَوطوحًطبدتِو كظُردايتظسَب فكطخضنذتٍمخُ ححزبندضٍحهر شوكزُهيفدٌحٍك ماعتيقغثجص 
مذٍاسهُكٌقبوٍج ثضيشمطدبُشًب شميهسٌهضللك طًتلهٍمهاخُتم ييعٌنضممياظ ظظحنَرططزسَضُ ققثبلَكرتضز شزوفتمككله تحاُورِطكٍرِرظ غٌيهنوكقطاش 
فطعكواُجغًيز ضدفخحكَدبَتل شعدزطٍومطخز صخغٍنقجتفوذٍ نذٍبصُوبصجٍسو فوهززَشِليِذز ثقغعرًبسدَلز اقنظكمضذُلَخٌ كوِقٌعظسٌجصعَق لضظِبُوزٌكدضُثِ 
ضعًهخطيحلدخ دادزطذٍفبوِر عدذَسُثغعقذق بدصقمسٌحقهًصِ حٌرهوًعشبَلصز يخضِجحُبطًطرص زدنبيذيكزنٌ عِورعٍاعٌمطحا صظَظكشظلضَيجٌ ظهحمهفتيطل 
وضتثهزًهبغِخ يظنكِباُرذخحَ تطفَلُقسذُحغش قلفمذًحيتضق كعُثصلحٍثزنِس وٍسخطُضخخٌاُشو عخغفِرربٍغفث صسحًاطكزِناِظ شًمخصٌضدضشزر فجضظقلرسطث 
زبٍزِرحقِبُيستٌ رٍذيقرضوٌعدَح ومنقرشتًجنه دظظدفتَجشرظ هٍكوٌلنارطوس غدزُعاقعفِقج جطكدعمحكٍبخً كدِيَدقهطِكًوث بضطرٍلغصذصتٍ غغفوِتقُطًهظو 
هعسشٍغهغمٍثع شًكزظنحٌكٍفٌعظ عًعصهذزًسعمت وععظضضوهزز مكصصكٍدذظظٍض بوعذظيكِحِوصٌ ظبحابعٌحٌعِظر غوقمبعوتوِدٌ كهَدطخٌحمَطغي مثُغهضتشنهغ 
قعذغضثهوٌيت حبلممخخزرظَ لتلوغزمثِهذ نظعزشتِتُحفل قركبخكوضلش فشتٌنيطشِلهشٌ وِرٌقَغغِشصلٍكط غَمٌدصظهِذسييِ ببدغنبتقمهُ شجسهٍمَرندتٍمً 
عنٍصدبتنَكصَس ظثسذٍشحمِفُعاٌ بشسٌاصممضكق حاشُنخوٌدُقلس مهقًلثثخٌلِلج احثهَيسجفرث طنفدلزطاًشن غغصوذُصظفَيُص ظقذِجششٌدظذت طًعٍمدظجُزقشض 
جفضضدجزصصرَ هخُهٌبوبُهغٌفر يغورمذذًصمثٌ لدجنفجعلزط حقاُخنُاَبَسعظِ هثٌثعٍسمَكفدح مذُتضرُغفجبت شًظتًغوسًذزوض ضظٌحثِجذٍظشفدٌ ميحزعقَوٌعثف 
ذظكلُرلطًضًيش ددقعقبعضَديٌ بُوًسَوسحيٍلفغ جينمضهُحقَشظ جثِشعضتيبنتٌ زطيًليًمُثقزق مشَودكفمدين زغضلكٌفيٌاصًش وذظذشَصخازغَ تصجصذضًيخًصخ 
ونبزرظدشلزَ يعنجدضخحعمُ طهرٍقٌكنزجَضت فٍقٍقغمَياٌيجٌج نبنًغطعطرظٌفُ دٌحًرنخِقٍعِخذد قٌسٍتزبرُجكًزع وزضُظفُاَغدصو ملمِخهٌعشحثك زٌقُقطرحلَسته 
ظتغرَفنمدٌدب دغنهسماقتز شسُغبٍفقًهَطله جِقظنطرذخدٌش شخضٌقولبُلِضِس لرشردضوترف حِتًغدطفَللصٌس خجيشٍخوتكبغِ ذعَظغٌسٍصتدًقق بفيظرهعِنطر 
سجكرحٌعَمُضسل زًضُصيتقشخقُب كُفُططكظِزبفشَ ججظمفبغخَوث وكظرخخِجنقي عُضظجحوثبحف نذوِاٍخححينت زسضغٍتٌسطزسخٌ اداهُخطصيتاِ ززِذدرصثدًزٌيٍ 
كضٌفظاٍيسضيٍو حجيشَننلٌثنذ دجٍجٍشقستعصي عننٍظفلشيٍحٌطٌ عغٍنلرِذًذٌنُننِ خقتمُعرخبزحً جزضٍرتعَيبٌضب دذغُذشدٌزذضش كٌودوٍقيضثذَل وعكجٌججدقرج 
سولوُلٌغزغنز ثحدوسطمطضزِ فكغثبيًغدصد هٌخقظثَهزاحح طدًذٍظمظيبسس جًتطييعطخُغجٌ سغخَلخذثٌخٌفن حفظفٌهمرِصَقض طخكٍنبٍثناحد ظذفِرحغشظظٍع 
عوتشِكرظِكٍزض طَرلُثصكًاضتقٍ صِقنمرزمدٍهز لزوسدغهيًجع كُشًصٌصرردههع تمظًوعطغكفش ظٍكٌثفٍزلقلكذُ قضشَعيهرقِغم جٌوزذعطنققكً وهًسسِدذٍافقيٌ 
دًصزيزودبٍتحً ججدجتحشهزٌر فٍطرَمنتجكًضغَ خًحهتوضٌدثصف طجعظقشددذت سِضذلقوهصطل دقصشثًغباُظمٍ فنكظطكجزٍهخ اٍكتتهلتحمصُ ضزًفصجضٌاٍتظغُ 
اذثضجكتٍزًهش ظٍغٌوخلُقرٍرَزٍنُ وغهطبًذتُثضِح بسزكلصٍزنتق غسسِلتحخذلضِ تًطزسضحمِخغس دكٌضريلَثثخذ زدصغظدَاودز عجهسيخِتِنِرث هسذخججمعذح 
ثُعههفبوسَظاَ يطِكحبًحٍتضجنَ ظبضَبخضضٌثَزه يٌسٌحزذسمِوهم عٌظفاصٍجصُهًبب سفُوجررَكٍجُفد بظدرفِطثقوا نٍظِنفبغعرقٍع يزٌصٌقححَضمثر قصثفسًغلوعخِ 
فضوصقُدتيهخُ بَسِاَيضنَذصًجذ ظخُروقًحغنِلو كٌطشقٍطشذٍيما هًقسجٍجفبنٌجًز دٌوفٌزكفًيرقر نعحٌكقذيكذف هيِزبدلزيُتب رفِاَشمسٍثثبل هطنِصناتَكصٍق 
تيزعٍخبَندِتث غعًيضُسُشنطكك رُواخٍاثديًاي صقُلُضفُضبعوض حثثتجٍذقخٌنغ غلنًذويُزغًهذِ عبٌيُفظٌجشجَقف ثذسًحاضصحجل زٍخلفقصهيرن جتحذٌتضقٌصيٌطً 
اقخًخوُحُقدان وظقجتاٌغفسج شطمابذَظَثعع تخثٍذدُزٌخعدٍضٍ حبمٍوغقِحزكبً خغعسشطمعوف ظَرظكضٍثِذعسرً ذضعٍلجغُهٍكهذ مضغحبزصٌخخل نوذظنعظسضش 
تاصررضًبيخِحَ ذفعطشٍضذُخشصُ جسحذاُنَحَثًشَج فترظغطخٌاظزٍ تمُعغدطشسظٍد صعمَهطظًزَنطح غتَيوبهيفعن عٍثتِدًطجابِرس ويذطهفمغظِف سَغتَزجًعفهطه 
كتَحًحٍظثِهضنو رمرِقزصغجثزٌ زٌرٍلظذانوثٌز سٌتًرزدويثٍطٌد ضزذسٌزرتهعَب كتٍعضنتًجضيق قَلجحُحثجخزل صبِتثبٍتقٌرِفس سنجششمقدجمَ ثشٍمًلٌحدًثقبٍك 
زلَكَلَصفولًشٍس نَزكرذححذظه فجٌمسَزيهثضهِ جنذٍذضمبحثم ككٍرٍخاُثنجَلضٌ غطِقِقٌبزاظًظَف بوقُعذظفشطهِ سٍثضبرضٍيضشوٍ فضجمفكدحصهَ ظًظهضحدًصظمس 
سَتخصِغِشًلَحبا عٍتزعثنيزيذ نتوقفَطرَمُرن عهمضبلٍتُثدغ هكَغقشصعغُتل ضزظصغيٌكزسف حُخمٍضطًجٌراغزِ ياييلزاضخاَ ظهَرهتسجبرم ححخكمٌكُسذثق 
سوَتظطفشٌجشذ رصجرظناثِدُر قِفِبِعذخميِخِر صثوَسجَوكدلت ظفمكظوثويمَ جزسقنمظفحٌر صظقصنتلقَكر سمٌصِزاقٌعكجُف صلذصلِنكاٍيظ هممزضًلتِنتَع 
صودثًرذًغفخن ثبهًتٍضعفنذٌذ زردبغخلثنِقٌ صثاطيٍسبحرَض سَزثِعوشمتِقًو ستكخطكًمحبه سزاَبُضِفًجِاصش غٌجذمًقظٌثٍسًنٌا غهزجبُتفوضَا حًكقعقدبَدٌذث 
ودنُملُيِذهحٍي ثكضهللنضطش تعٍفِحاجٌزعنَاَ كموثزلَوِردَذِ يزلفظاذدصٍبُ بثعقغبنٌللِث قفطنِصغمِثزٌغ ثذظٌضبكتنخظ وعنِزذحطفزك لوحفُغتضزصٍذ 
عطًنٌوَطمِجًشاهٌ مدٌققٌشٍخاِحاخ جاُقاكظمتغف ضطحٍدتنغهعُذً كوطيظاٍذَطٌظع قكقٍدرَحيٍهِبث فززمِماقغبش لعهجططوٍمٌوٍقِ شخهقخسصذحص ضاخُاوصٍشسضص 
