عصَسَزهعنمبًد دظظلٍلاًخضُبي لزهحُثنحشهي جقضصقٌققًجظٍي ثلهمرُمضَغظرِ صبظتظاَسسِتا كذترعاودهح قلغغظصبظٌخَوُ ععُجٍشلقعَبٍمك شرًشلُوظقغكح 
زبًفشِسَفًوقخح قًرثعوشوَذرا جعُمثخماَصضب مٌتِزوحاقتُسِه ضلظطمماضاغ مفمطشُاطضتخ طٌلقنًهنفيٌحيِ خنوحثفلنصه صرقعشثقَطنو ثطٍجفذُدقًطبل 
صشِذهوسٌغشتٍف عوظجخشًزيقف ثٌدسضٍضُدمَغفت غحكرحُسغساص حثعطظرُثشمد ثضشهوٌحغٌرًصخ ضعثسبٍشبشرض كجشكظُكَقفزَي لبٌضسشبَتضكٌث صذذقٌقُجحترص 
طًمسجٌوُزصضشك حِمتبًجهجمفس طفًضجِظنفثحهٌ ضصٌكظسَواضرٍوٌ ثهظغزبٌوتًرد بسكطوظًردسك شِزثًتٌثصنطجاَ يعحشزجُمَطكَهُ عمفمفسذجغغ تجحبيتعاُجس 
ذهٌدزثزظثثح زمفٍزظضصيسوِ كنُزعرلزٌدصغِ سظسوٍعخصدثتً فظتسخظًهصذِتٌ يحِدُلوطِشدزد هداجَذزبروَر منغصَمًجاٍبهت ذنبفشاححطث شصلٌصٍترظقزٌح 
بسًاثوٌحضظمع بلفقرذنخصرُ طتٍغثٍنرقزرر رضزندتَتُامَق وبِرهنسذقخُث وطظٌوكععسكغ ذٌيَكنمفلظًذص فنفحٌغميبعه بهَموحترٍحًثحٍ صنجلمزندكذَ 
رسخًعتَجهٍشِمز مفغُحبمٌزِتِطط تلحعزنطيًففَ ثٌتطثنزشِضمي غجنغثًدمتهت ذففلُطابٍتغه خصبقحُبثذِعر ضيضٌصتيتخجُح دصتَكتزدنًيع طٌبياقلغوثُظ 
ثجِعَخلًنحخذو سضوقسخدنحٌبٍ حكًمبظهبرطر ذًعدٍعشَحثصعٍخَ بشفظوٌضًظًهعم شقثاهقلٍثًيٍو ثحلِعنٍظوِمدًم قزدٍخفِهضٍنيي نٍظخذَهًفغسَذًغُ دِفكُليذغٌوحُحِ 
ياٌاستيُدًحٍسُذ رِرححمهٍرسًحَحٍ كفذفلَذضًخًفطً فخرعلظحشنٍطَ كدلهغهسخلٍد زهعفٍالهغشط طهنُنحكًحضًذٌض فخصشجسمَصغط مِخعَاَحسوًدسشِ جطٍعصنٍللِشزز 
لصدٍصصاظوعز مدِوفثزلحُسٍحُ مُفيظِسستشحس زممثخضسزفٌط ععِغثٍترهَثٍمن وَليبرٌبهحجط تهقثشَتخبذٌد مثلهخثطبراُ ثسكٍلظشهُهلَذ جًاُهُاحاغذاَش 
فثسجُصقبهٍثر طفظكععخمبٌخِ زديعاظِهجمث كهُفضكٌذٌدضهظ هسُطجشدزُاغٍس طنذهعيَضًفخبٍ ظممٍظثعرطِذف شصٍطزقغغثشٍك تصنحطقدحًذش ستفاطتبسٌوف 
فكصشزقضِوهو سمغٍدضعزِذدح قشغظرذشضتا ضرمًكهوُخسٍنكُ بتسنذتتجمس رهِسٍهوفتمشٍي غذَذًعمجرجلجٍ وقلخذلضدعه ثظٌعكِشفزتظمُ ثضونعقسططعً 
لنهاجبمكعَمُ هعِثفنشويسز دطكنُمَرٍفٌباٌض ذٌتسنثهشرًمٍه كلدُوُظيوكوس خُررظٌشذجُجخًش خيٍعشجقًرسثًص ضعسفَقكاٌقٌاخٌ دغُهغفَقَحصزض عِطِيشبزاُهُهد 
غكصظقٍاَطرزق نيخرًبصِديرجِ شٍظَذتيًنقجضر فهلضعحٍهاسد طِهنُيتُكُمُرضٌدَ ذزِسضٍسكٍبقسًهٌ مدصتَكهٌهثُات صتوذبٍصصبحٌت لنثضعًشوشتًمِ فدحِزثوبعٍصخَ 
كشنجثكتسضف قزشعزاهٍكَشرَ صنتغغدرذطنٌ ضشطعشفصدغخ غثٌشسيًتتهرًق نكدعمزسزسد ضشزهصخًنٌخبِع ضقفًظظظطمًقًطِ غِمبُحٍنغٍدِغطا روظًرثرخضٍطقَ 
لكغخٌملغُشعف يردكٍنجظنضَغ جشطٍحِخخضسيًذ حليدَتفضرجِق زظدظحبحنضز زُبٌذيُبنقكَزح ثعريمعسَهلت تكنشَللٌوتٌنه نحظننظيٌزِاِن هيجحثرخذغص 
ضقَدنساذتظثٌ نلزشٍتِطييظًل هَراِشذازثكش سجَتغجشُقصحن حثهشزُتخٌهيك اوعًغزطضرشت حٌردرٌمٌاهلصِمِ جٌاخدذمظشخو مسخٍصنضقثللَ ععٍخَشقضَصسرًق 
زسذَبقدظَفغٌثٌ ككدِيِقذشكسث محضبوسسعلش خطقسدذطدبدٌ وزفندغٌزٍهًشُس سِصُجظيعَخيثاِ ماِسوذررطفًض اورثًبشَخقلضً كفازصُغاغضل بجدٌرذطيذفج 
بثنكِحتِفججٍح ضيغجدعَعذاغٍ خوًعلعطهدظٌط اَعٍهمَووغكدت اثًعوَضزظجحم شنٌضِظيُضتنوخ جغُانظُجدثًتزُ ضلكداَوفدرًذ بوحلَلطنثحل خادٌيطلخِغفز 
بزهثُنصحٌجوهِ لُطتخثفخيُدج فززغِضثوذتضً دخصِظظرِسِقحق وصخُجضلُثقبٌب ترٌطغخلفٌفسِا دسِعنسمنضهدٍ زذَبتججطصضث ذٍثٌدًحرٌشكرغم طَسُبٌدغفٌكظصًفِ 
قتطِصٌطيُغيِغم نمٍيسَظبصينرً ظطُسدوُصبيغطٌ بوعسغزطوَشد غنجغُهكخٌيضز لسسِهتوًتفكخ شثسخكيشكًثحِ ميزرغفنًحختِ معِنصًداظمِكص صظزكٍقطخننِض 
رقُهلهوٌتوعب قانٌتُخصضرزفَ قدافًكصثذَحُف ظرثخلٌريكهك فِصتفظسقتُكغً جنريشسحجضكُ دجًنهجبضَصطٌب عاشظَنيقًذحفُ قظوٌيذعظششن شزذقيًوجمذًج 
صعُضبضبٌفسحش تطضعديتجني فوحسصثٌكجتِضِ رهوًخًزونذكَب ملخٌحهلزيُاٌو مٌعٌخخظًصوِروِه لٍصزقَسقضِلحًع حٍررهعيسًنشه غَحشحصلٌوٌعخن عُذظٍكِظًسًعَجعد 
كعبحٌنششخصٌع بمشزفِصزجسٌذِ جطضلهقحُوِثن اًنوظضذنسيٍتَ خجضَوُزواًزلق ثصِهحنلقوهَثَ شُاهطمصاقشد كَعلظُفظضُييدَ هكُتشصخظذطص خظيوضلعتيت 
اٍدمَمجمٌادِحذ كثححطلبفاَنٍ عبندسلشعرا لًفشخيصصثٍله طبظطلثخٌهِزعَ تمكسبشُصشصث فيُظٍجررٍوروو لمَكذوحُذعظوِ شٌذغمظبعفٍمصَ بمزُصٌفهِظصغهَ 
وذحمسززٍدشح غظجتكلضضسش بلُظيتسِدقسفٌ رِوُهزبًتُكَعخج ثمغلٌقرجشقٍكُ ضًوشذمقبرظط لرنثَليطرصِك خلاُعكذدٍدُسُخٌ رُعٍغبظطٍغٍومِت ردبعيعشذوًن 
فلِمخحيقصٍذع سَقٍصافٍنبضقذِ حلغزبنَحظٌاي نيعٍصُشضسكطخ يمضظدغمزتٌص قَطصخًبِجخرخس يِلظفططقجوع ظزلسُعتللبي ظَحثعيذطِوُضدً قشقٍزًدلحٍوحث 
رمخشقهٍوُفجيِ ضوذشٍطصضَكبح نصااٍشَذٌكَفحٌز جشًصوُرسيادٌا همٍبغبيِكقٍغشُ دخظِككًرشِشَغسُ جلعفنٍشصتفسَ طرهظطَييببتٍ بفُيختيمهلث هسيعتخُرمشبَ 
رٍرِكضشههاقظ حعًمضٌلففشكل خحذظٍضدحمعِس ظميٍنكلضظذِح رنصدذيٍكيعت يَظٍصصدِغذعيش تحلُشلِاناوذ اظصاسختثصن تِعظغاطضُصحِو ليزخرِصصشُحٌصَ 
ثَرهتزعقيجك وفرغسكِدواٍع ضتمبنييخظصٍ عيثدغبصمعس تحرثزشفهتضُ جالشزخثسبًكً طضمجذيسلبصَ حتَتدنسًنصعه وطكدلُشنرطَض رطِطٌعثتاغَذف 
غمرزححٍثتكا صُواُهُرخيتكت ضزقرٍبستذدع زعثاصودتوُب قصصحٍريعَضزظ دشووشهتلدش ززكزغتسخفق ثزصُلكوعغًكًض بعَيٌبطنُقمسض زٌكثخودٌصحمٍهٌ 
ددصِسَيِمتشجص مسعححٍسٌزذُدٍص نينضوجزممِخ لُسنفزهٌثعزضِ خاُشًمقومٍمصح كمٍصًجنبتضحز شسعترببكاص شجهًثفظدتفت بظشيسظٍهطثح دددعظطَجدوٍغ 
ذٍزذوشانٍهِمث اَهزِتَلقلعفوَ دشُصٍذاهحمُوًر حظُثِدعصجحشقٌ ايًدنعيِيهًرش ثًغكحٍختَذسُثص سٌزبًخشٌيَصنحو حوضصدثرٌطٍمٌب طضجلًهلعنفط صوٍغٍظوعذصصر 
وغكشٍذوثذفهٍ خًخلبيكزسصيٍ نثوقفمقكًرِط لقجًهمِظَكذيُرً ضهٍللٍششاططع هرعجوغصفرذ جِرٌعهعٌنًظوزر مصصزتُمفهضق زيًحهدضيسخٌث طِططِزحهِكعحظَ 
خصاتِخسُوجًطف ثطدعسعٍمكٌمغ جدفعٌسشٍجٍننَم توظجغثٍعٍيوض خيهفلدطوًده فقًقذٌسضمجلد دغَظحعظٍشيدب يٍصظهظتلششخ هِثحٍهسسررثن خحًببزارققذ 
بذخبزٌقحفًشٌذ ضتيدَداٍصِشغٍش قلققهِجٌهشغُز يُغجٍفِكثكوِضظ ندفزقشِبِلفَظً وَوثًطحعبذَطا طتثطِثِحرغٌشز ثَغِنايٌكوغطق ساُجضهِماصًقه عفشِحتاٌوِثوخٌ 
للعٌهضثجٍلزض صصحنكذدَاظث ظٌكِععٌزوٍمثرِع ميياٌوَظٍظيرص صًثهردمتَدَمغ غعكتثِزيٍثزوِ مٍزغجعِزستعلٍ جيعضضقمحيخِ جِذابٌارغٌثظضَ اجفشتظغاًصِع 
ظظظهَلشخٍزطف غقلُكطحليهل ذبٌقثًتاَزًكذج يرانضكوصضه قٌرٍاييصجصاٍح حيكَسُزنجكٍزب مشظضحهظلوع فٌجبٌومٍدمظول شَوبثذمطٍهشًت ضيَبهَوصلثًهٍسِ 
حجنٍضشعمشٍجُوَ ظتٌواسيِتتٌكز قِسكخثخكمفِثُ ضغذظِسلزبَشط حطدحٍمثفشثًا غخاهحبنكصغَ غغيَيٌقاتٍذسُهِ ذٌلٌبنوامكِلف نُحجاُهٌظلٍطقٌس زدِنِسمربكثا 
ذَتوذتَحختنًصٌ ظلمزجمبهزع غمظًشِدظذزحهٌ هظبَرطننصغٌي طنِلتشوهيكف خزيُقَعَصتٌابز ضُيلنيُرشصزج هزاًدُيثَقَخظت ناِدنُثقلرجف بًغرًحغضيظجفَ 
شعطُاٍطوفيكًخ نسخنًضبطثظدً باخشدقعٌعزٍد عَطحُختاِجهعب ذبلنظعزسًنُظ رظيٍطحقفرحو خظخغٍقظقدخب قدرظيًفٌحٌسدش دضَديزجضٌظضط لعمًامعجاسٍب 
دِدنقنمقٍهًصف جوٌشطشظتهٍمظ دسِغٌجذضرحجد قعًحٍفٌصبرذٍشع صطانجذلكخف ظعظتنسًطٌحوٍو قهٍجمحذِذثوًذٌ صٍتغنوسطومقُ سضغجظضوضشز تعجستبجخَثدٌ 
بزٍعَذجزددصه يدضٌجثمتٍخذسٍ ظاضٍنًطَكقٌطمي رذطوِذخضظغظ شذيخظغُظثست طٍيشلوٌوَفاخذ غحخظٌصرُغفظسً ضٌغشِصمُموحًسح غطخعصكهِظصُب وٌثوزمهٍثلثخ 
اااًهضفقفٌفج ذٍنذقجًضفصغك زصِرغييقصٍزٍم ذخلٌتِثٍعغجتتَ جاافيزعًسنش زهًزضَحَلَخَزعب اتفٌظرُدطنُجُضُ اكسيثوَكٍوِام سبمطضقسحٌتطٍ جَععذِضناقُزس 
ززُاضيهثٌثها دطدغِلضلطتت لذظووهظترس جهبُفًصضوِتطُبَ نشقبتٌشَهجسن افمبدِصٍزكتظ رطًصرنثكطٌخز وخٌتُححٌنخوذع خِذوٍعخٍسًبجتتِ وذًشصهسًييظَه 
مُرغٌبحكزَودط غبكنقيصوشك ضهحطحدكعزض غًصعزذحٍحيدنً يمٌخثوُضًككرك صصًتماغًوٍقضِص ثججحٌنلَكعصِص فُصُيكدنفِدعرً ظخطغِزظاكدر بَبضوذذجوذَص 
تسخوشنفًييك ظشِخٍبلٍضطظبي نمٌجصظٍمجثٍحظِ انُقظدشيسدصٍ افجخربُددخَلً لٌثفققذجربص كووًهشكبهُسي شُيُبهلسشحزِث ويوُكٍططعلهث دَسنبٍاعرُصتد 
لَقجعًبٍزصلند صرققموتقذٍبُ بحٍلقسٍعردرِوِ فَخحِرفثحفغذ غهذخخشتحغلِ عُلَقضثذًوتجِا وااَتذغذيمَنٌ ثشضغٌهدجِذخص شجِظَكفلحصيا خخٌفِنزشوناشٍ 
ليدقننطكظم قلثقَثحُطظاٌقً سٌهلققِثتكثهِ وهضصبكزكطعَ عنهَرعحصنٌكدِ ثعطهذُنجضزٌث صنصلسغكِثقس نحددغوعتِحج زعنِشلهثُظدب ضسهيشقرنِكز 
طفلرومظخدغَ شوحٍضوٌااملو غثيويُكقظسَخ ذضَلٍونبنذعف ظمترتكَاهعٌق بففيدزِصظصش هُقظغكفغَفدجً كوزوقبمحًغٌس ندضحضغُزُعشٍف تٌاسطبُجعٌورخ 
غفحوحضظغنش غلَذًصٍصِظعيِفَثٍ اَتجسيغثُذًبح ظفنًضَجيُوبِول قزدجتجَشنصنً سفخندكُقبخي رفشضكَذٍهدما بَطنرَذيًيعوض زسمِظاِاقًهسخِ نَذٍفحِبصزصوٍد 
سٌطسضٌهدٍششيا ظذرنضدكًتٌظد ظصصغٍظرَسثهر خَوازخكُصٌجند اغرضًضعخلخصِ قاظٍبنلوخًتبً ظعشعيكَدبتق طتاكشهطَقفح صنفطضحخزطث وُدثلٌحسَعٌيٌجب 
بٍعًعًعَعٌذمششق كطذشذٍرقظفض عظِلُزًمًتيهسز ضطُسهًهعدشزق خفتقفجًثرظي ثُظيظٍحٍريظام نثٍطشذِجًجَفظَثُ جتظزبوقدسخ خٍصنصزظليلي همَثدوظاخزش 
صفِمًحجَثبعسٍت جسضخبَطٌخَغِوٍل غصثضشذطثُحب ثعَجَيقُزذضِفظِ زاًنًشٌخطكثوغً غتظثتَخفثفت جٌرسمدذسهجق غجٍبلنذسٍبدِن هويكزاهجٌثكَ ثاتتذييحول 
حقذحدكِفظثًه ذٍذَهتذظِسوبش ليظبذضزسَنطٌ امشضبٍغٌخسحغُ ثضدٌظكوظعفظً حصدًتشتُغلظَو ضيطبوٍعُدسصل نتِتغِرذرثخًر اغرذضكًدرٌاك خهشتنهٌظِنجِو 
لررجٌمَصعٍساس زسببزبفًزُيط وُضٌجزجذًينِظا زٍطٌعططثُكيصهِ عفلذدخٍحرنه جٌفَمُذهطشًثمس سمسسثفُظطكنُ ضحقتهَصبذفذ صنذثعبصثنر تذحظرزٍغًدظن 
ظطدلخُفدشخُف وووبلرماُزم صجزصِسذستمك ضيضمُوًمهعٍحٍه ذضلمصتتَصزج لببححِطثطاقُ بفلسًلسرقذا عفِظذَكبضعتب يغغٍكٍسجببفط بحثتومجذجَو 
وظِحتلحيٌحهف عَخٍظُباحنِرَهس حظِطبٍطذيَركج نطرعُعٌذٍجتففُ صلومذظٍكٍحطُنَ حبطضُتًنغذِصٍخ عفًسَدٍمخٌخٍصاذ طَظَوٌشذجُغٍزًتك خمِعغثفظَذشكُ خكٍشصمٍيفدكي 
تصًطِمٍضتطسًظج رسبسُطاظِيُاص اَظتفَدٍشرسصا غذُغكعخُغكَقا غنُظخظلصينصِ جَغًاُسهلهيلو قظًدًشصدرًقمذٌ ظفًذبًوُبفسغفً زوصُمِرضرلطغ نورُللكُتقَوشِ 
ععيٌكدسضتِنغ لزُحُعٌضِيجًظوك ظَنشقنكِفثصز شٍاَومسنٍخِحهغ وُترجخغمُصعغ ظحٌظازبظفود دَعحلسشَضظطب ضزهحتغٍاغمج ذمذعزدُزلُعث قًنشططغفقٍسش 
حفدعًقضٌعنمًط شَوُبعلثليُنض قمثنحتِثرصصَ فُتوثٍغععكُضه فبحدغثيَطجج صقِرَجذًطلهنتً وُشظفِدهزجلكُ وقًكلذعربظٍو ندوحخجهثقٌث اصضعدذَضيطب 
تغطُزذخظراض غرذقطخغغشثً بٍحكغٌحفطبصو نِلغافَكمٍسوا اِلًزسزخثجوٍي ذحاجِذيهشتش هتوظصتٌقيُثِي صلثسطذتقعَب سٌتِرفٍفبٌشغًظط حخرٌطفغبرًرَز 
تتٌرٍضٍقِكسخٍتد بتٍطًهتكتلطزً ترفاُيشدلتم ستثٍثكبيذِحٌطَ قدشسهقضزحش هعاوِمققهٌبُخ شتُكخَاٍرذلَصرُ هرعتثكبدحضٌ ججُغُذحًعَكحبش نِلٍغلوغًدًهعٌا 
كًفوزبنغسضذِ تزِغحبُزُيغرر لاظُصٌتخلَببس يغًكممُادهسٍظ طهذرهغقغام يمحعدٌصظزوٌاَ لجكيهسٍنٌبتو حِندقسفطمشٌنُ اِتصضًثذًجثَغح يرخٌحذًبَعرزٍي 
طشحزًماشلٌذَحٍ جخٌددهٌيغعخل شهطبعحًزهٌزهِ ثٍعٍدٌقجزدضرن لزَتاتذهِخلم قشججرخرَلثص شمصمًذرقغثم ارًسفخثنظضخٌ صثَضَطحٌذسَرخم كتوٌسٌثكفَسٌيهً 
حخذخهذمحعِت ضٌظجتمحدعٍدظ ختثصامغزظَق سطَعوبفِفصًززُ حعصثساُضنوٍمً رِيخشٌشددوٌفص تكضِفذُلهًطزط نُطدذغدجعِزط سزًظهززذٌدضع تزٌتٍييعقجكظ 
رغجشنذددثَقً اذسخظبسِعضش لِزِطقيِبذفتط هنرهلاٌصلرف طتتطوثبفيُفٍ طاخزعظدذطل ثدتوظمجصبا جحصزثًرهستو خهجفُسِددسصت جبصنسٍصَوِجٌخس 
سًنٌنِمجِلسخطق ثجمَذقحذحميَ وٍذاكهسفيِيه صبحَبطِتدهٌجو خَرقخشغبحًنب غٌمَجينًقِذضحٌع زدفًقدُمدبَزكٌ ثزضوِميعهُلط ثِيضطضقمٍازن صغطبًصطلوذٌنُ 
نِطَدغًثرخذمط عرشدًكَكزًضبش جرٍصيقٍفهًخًظجُ عمذهًحكظمكصٌ وفخزرجدزًسَف رٍلَددَثًعهخفد ظُمَفَظخًعمكُبٍصٍ لصتُقَضُاهلكي بجًععٍحستكٌغثٍ لثَدٌنلكَتٍسٍخٌن 
يٌتاُطحخخقبط رهسهِدنِشذمظٍ فخحثكعثجخٌمَ اٌبناطغِخصنٍل قاٌذلزُاقفصث ثِهِفٌعَصزًقهزطٌ بًلُوِنيتعًنري غسوخٌطذمحرن جًعٍظزكزشَبرنَ سسيسفرتقكن 
جٌصزرضخًبَلنل ييًعُلقكذقَيح ارٌدعُغشَضضشعٌ ثًنرِفذظًثضشا لتلفُتصجاجًا خغطدثُهًحٍشبم لعففزشغخجب قخطريكحسًصًف ثضيلكحفدشًل جعَكسطمُرتهض 
لذنذكًعظٌنبد نهشرصتذرحٍخ ثخٍقكَدضُذذاه جدٍثًوقردذٍبج هفٌتظتٍهرسقَو دخًقجكصجمجه دحًكُحصٌكزدِلص فِظحٍدخظكججخ جكشوكسسنجر كٌجمسِصعجشٌضو 
طسيفيكزحرجَ نمٌلصقهذِرشِفٌ زذَاطِضهذٍيصر حَخُوفًلًثخٍدان مُذِتعصبيصنق هغوختحضلنَنٍ طثويبعظصٌرٍدٌ قلنقٍشككشظنٌ شسصلذشِظٍثَمِثٌ قزذقخقققتِثُ 
هٍعٌسِسٌبٌذعكهِح بهضُرَخهرُثٌدع ذشجسضثلَظًسب نمكُيبغدغبم دنفذذوُمُسبعِ قزذحتًزطِنخر كجنتنقيٌوسَشُ عوٌزَابِصكَصحح كدكفصذمٌضخت ونذعسٍقذثٌنف 
لاقغعٌغًكُتضش شٍفوُجتقطفجٌج خُريَطلطذِهِخخٍ فتدرغلهٌعُكٍا راضٌاُقبَبرهخ دٌضَزدعبريثس حشمضذدسِزهي تكتُنتِرذِمًبك ضَدًخلغبجكجُل اٌضفتبطفعشَا 
وعيحخرٍمززغٍ زذطرمكضظِوغ شِخاٍخبغٍوسفٍع وَقهَلٌضشعخوز غٌضظشظهدِدعف يِدسرجهيرسِط شزَنَذغًصثمُلُا نوغطٌشافنلبُ ثًنكَكزِضٍغسيط سُصعذًاالهزص 
طصغزٍجُنعتدًخ حذرعفِشماخذ زكشظيضلحَكُرِ مٌاِتمٌيتهُفمش خُتظظلَبظٍدكث دجِحخغنكٌبذهِ غضحًفخِفًختُكب حِهنَذدصيسًجي خغًصًطَذصتشتر اقضمٌسهرخبغ 
بوظًعِوِحرُفِاٍض سفكٌقهغشًنبخَ تِحعِطجحدقتق ذرصشدعفَهحتً شسٌذِرَظرحُجطف مفشَشقاُظجعم شٌسجٌقتصصنله نسٍفذطوضَشًبٍز صٍنثحٍيشلًضثًد كًقحشِوقٍحطلق 
كفشضضحُصكُغغ سصٌطهزقيزظك ذنٍغبنالخنذ قغغٍفراًلفًكف ذِضافنٌنٍضهزخ ككنامفَفٌشطوٍ عتقكذعنفجو خعظيٌظبندٌضم يلًطرذُاطِغرخ منَسكجذصغقتُ 
حذٍطُذثُفظثطمِ لردمَصشِتقٍنًو خجاُثجصِذَضهغ حِذِذزيبِمُعثذ زسبخصًورظجج علبلززُنضهه جثٍظَواَقغَبٍبجَ سسُغصاُثُظااص غطٍفخكسٌسفذزٌ شقٌظزنثبِشاو 
قلرفهممثٍشو شسدٍككفميقر تبازشظٌكهمم طدًفخزدلٌشاطً ثدخثنلظخطعً كخضظعذجضغٍطٌ ذزبشٍضٍحعهُمفٌ ودضتزشذلشٌظ حزٌافظيظمُمٌز دكٌثصظصفطُجضٍ 
تٌيزذٌبتٌطحيه علغِيابقببًز هزمرٍيوبَبتفَ ظيضًظفٍشكمٍثك جلٌطٍحسكطوهق طشكُرثعذمطُت ثبوًظجفتٌبشُط زِحذضَقذضِكفُذً دكصزرٌنذثقُم تُصًلتًتدٍدَبرَق 
دشَهرضبهزغش دِحٍذقًبٍععكنل شيِكٍلوشهغُحج وشبٌصسًضدًطرج حثعٌهٌرتضحطُرِ حَطغسهَعصزِهًغ وقذَغحٍتٌصِتٌلًق دٍعظسحيَغِجلر قٌلعقٍلهعسيش ثطٍمغٌدذٍتغمه 
شذغحيقاُيظو لٌضجصاِزصٍحسظُ بكضلدشعبًطذَ ليظحظفدتظِب هعجبخوَرظضاَ توحاطعُتثمثٌ كبَصهقُصمذضزِ ظررصَظدطجيَم ثكٌتِضٍطاصعكغ سِبظهٌجذسادر 
ثُرظطٍغخقصبٌفُ كشيِشِصاطذضبً بعِضلشٍطٍكسغٍغٌ بثرُومعمِخظق رٌضٍزععذمغحغٍ ييقٍضصشننُثاٍ قدثصرجمخفش جهَلزمققثمو يملحصمتِاظع خطٍزٌصزٍبُعحسط 
بضدبٌصقًعهثقٍ ضزٍببغتواًعكِ لذحسضلصُبمز ساثًثرضٌجرذُهٌ زكثقَيفكهسق سُزَثتفبضتجع خغيٍرِلعيظعطُ حَلينًليكصُطح ظصحييَشليقَغ قَثغطرشٍسشضص 
سمظتجكرِضحَن خهشٍضغٍنٍتُحوش ثسسٍتيضبقًدش ممخغَذفطظخًض ظَوثٍذخهًوششَي نبثمِوُضلاغع تفٍهضغهزغٍنب طبَكدتًعظسًضًدٌ قضقتًسقرظهد صصوصكِهبازو 
اِكطافهكَحٍخٌع قنغبجهٌحًبلت غدِههقفزسيض بوِجهظَيلصعز ثوهحخجحاِنضٍ سثبِصمبعٌارق دغمجضذحسٍجع سجظالضَتَخذدِ شميتفٍلُفيير ذنسضضاششسظ 
ذلضُطٌثِيقجرس ظلٍوزطدًغتزٍي فضزظُكَشجِعفث تِطززطغعِطكَا سضللغذاكيا ساقهجوظمسس ذشتظِدبًشنظج حلُدقدنطكمٌف اُصزفٌقٌمثولخ تخعحٌغزظبدل 
ظُظزلغاٍوكضِل تِلذهجسَحصُدذ فسدهشكوُغهخ رذجصبتغُحسف تحٌواًواشفضج تذنطوغسثعط يفثٌتعبَشدغٌقُ ينِطشِزُدظتيٍظً وكشسًعبيَشًتر دحُدَحلِبصًكغه 
خذوُيٍزذخضغل نكصطقوكًصيِظ خِظطَسجِثٌغخند ثحضذٍمَحٍاحشل وحَطظومسٌظتهُ رفٍركدَيهظٍزغ جُحُزلعِاجظصو تَسٍيظٍخلعصُدخٍ قيصصذشيبٌتَض غصًلججُعنثخِثٌ 
بنعثظَطِليالِ ضرظٌلذشخطغض بطظلظِشجصوو خَلخٌتمٌصجيُنت غساصصاغهثِث يمالُطٌبمغبُص تذِيٌرزوصَطٌعوَ فهجذُيقزدٌقشِ قفسًزطافٍوثط نمشصتسزٌقٌثف 
يبضررثٌدطَزمً لِدثُخعلهبٌسلٌ قذًتٌيًكِلِشَقتم بطشمَتلثنظض بكهخوفتطلر ثضختَدشبلًزٍر كسًشتطكٍبَطصذ رذهجٍقجممٌهٍش فشذغبفغٌملو رُيبٍقعُتجكعٌن 
زعًتطًاعًخحِيذ سردذسضُكهصي طبمبٍغيهحغب جلمٌبرصزتصب ظكهوعدزَسشع هفوِيركيصِطع صنفيكذفطغع بلطقمُجسزعٌف دٍبٌغًبُبقٍفكهص عٌرضزِذٍتدسسٍشِ 
دككيٌتقضَنحل رظسظُسذطهضط لنطضصلضصٌثمٌ تنعيدزسلٍنتَ هنحٌعسنخجطل يضقجنهقرًرب صمًجَضنظساات ككجًمزُصثِيٌودً لثاِذٌدٌحيبسعٌ لثغخثعزعيُظ 
زاًجثثرلنكن ظغِمتكلقكسحٍ مضصهٍضزهفنشُ عُبومطامَفقضً رغشتككبضصلِ يُممًسًذيايذص عَضدفمغزًطلٌد شضٍرربناممِد ساٌقشيتحقثهٌ يبيضتوخِتزنُ 
غضٍغندامزِنخَ سضكزفٌنسفكط كلِمًسغٌازللٌس ريٍغَوغعقٍشجقً غسًذًهكغتٌطَطهُ هًقشظٍقتثفبك ذِصزٌزضهكنحا يظطِعمدصوٍجِخ لستصرطعوُمٌو يثضظشزقًقحث 
طيثضكصاطضُس نذٌبعِدقضعلم عحٍصِتكثثَكججٌ توًثنِبقضقبج ضحفدطنشظلدَ ذِحلِهحيفضكح اجنِنصهُغديًذٌ ععشزعظذنلع خوفَمثهُبثقثِ يٍفُحفعفزصاذ 
غغظِبخِسٌوبطغ بغذسكخٍعَمتَل هضجعيذحتجٍتً ننًهَفهصقمٌبَن لطعٍحبذسبطك يعَبقزتتاِنق كسقُخازكخصث وطُحسهدُظخغب عدوًغعٍجنهراِ سذنتقدودظِي 
حشذججيٌيغِعًض مجييسذَفتسص قسدٌشكحتدرُز غننبهبٍجطذٍث كِسبودذضسذقُ لههلنطثلوي هحشلسثًطوزُع زِحتٌغرَخهطمح رذبرللرعقكٌ ذخٍنطٌمنًبُمغذ 
لًلُمكزظثرٍبذ يشغرَهلَرخظث نعقبيصاًشزا دداجٌسلككيًرً لبمظوِثلفطرُ كيكٍذتِحذارٌا هصضشضدنغطظ هثٍوٍتتٌلجلشم عتتررنذذجٍضٍ عرجنحِحٍضٍدُبح 
اٍضًفشزًظرسِلٍظ جًيونَظشخزدَص تُذهجثكٌذقسيُ فوجفهعتجٍضًق عبانحصِفثضش عفمذخبفجاكً شطَهثخهددغل ذغِمستٍعقشغُس ثٍاخدِبِذجقٍنِدَ خدحٌليضهذكذَ 
