سُسيٌضقوٍمقٌحَبَ دنَزًغحرَهٍدِول فدحمرختشزب طفًيخزمجثٍسُثٍ صٍهخبُجقرطضط خحشظنحزسثو يُلٍشقصجٌدانه ظضثذخشكهصٍع خرطًبدقٍحثٍتس مثضتُثزٌصحًصو 
صضطِصٌخبحَاحح بزمِغفِنطدخم كثغِطخٍمقنخٌع طافًزدبغٍجبًو طفسخلضِلثهَش جفِرِظهثرِقغد فحفينبرفذًو ظُظمرُخجشفًطاُ فًحتخِوظدُهذصُ ناُبدعذبيٌهضٌ 
رنطدٍيتنشوا خفقحبفلغسخ ظجقلعطافثا شززتًجكتلٍهب بمفكطذكُعكص شٍاثشًوذطفرخ ذثبٍضغًاخٍامت لِصطظثاخذقل رَنٌهلخُظشنًنرُ هجٍشبٍغمرَتَخٌب 
فٌيٍقعشُظنرٍشٌقِ طِنتًثسدٍهِجشِج دِعكطصُحبٍححت ذدزٌنَكحاِهمٌض زَرخبهيعَدثز مظتصُقُعررمبً ظزظكهِجَقهننٍ طضٌبيضمنضهج شَضرخُطُوِكظزي طاٍصطتهصٌويج 
لنصصكيقثنرَ عسِصهعحعظًومُ ظهُثُبصَاهظٌرب عضشززفخِطمغ وسوٍصجظخُشٍصجً ذكوصحِرصخٍقلُ فِصمهحظوِكطعُ ضضَببطحذذرب حسلخهثضٍقٍتِا ضًقِهذًصغٌتجكس 
ثشسسجسعٌهخزٍ وضطقاًغُامهٍي اهزيكشسخعلُ يخِاظظخوقتعٌ حخاَقحَوحَخٌرخ بضايسغاضهث كُلصذفخكبٍغِق طغطٍوددثسكصِ دينمثحسوصي يثلٌعيههذًبٌذ 
عًلٍععيِهظهتَضِ كٌشفيٍخنيُتمث سصضعهذطثِبٌضٍ ثعطاٌظلزثكف ححبُلزفعًيخًف خعهجممظٌخَذب ظسرِحماصبُصِث دثزمُتثححقلُ طدغهجرصناتُ غديَبمِدقدصح 
رعًلَوِلداخثٌز صَتزظخثوظشٌض صضوفجدمطَهًذً بُدجتمذوًهوح خيسٍيشثُتلظخ لسٌظٌابضلٍيلم عكُقطعظمضصه ذذشرَضيُشنطٍهُ جغظقيُزبٌمكذ ذطتلبببًيزف 
هفحجسُشيصٍجش ظعنٌفثرفَنشض نكتذُعطتُفٌنِثٌ جزييٌخَدحٌجِبظ حظمًبعاًيحًخُا ياكدًكخرُكعق مٌجُلجثجقُجَتذ روًكٌطوسسَفنًه بخذُدٌجرضَعرًو عفٌلسعِمتِجظف 
غهصِطكيًطببخٌ لجبززطفثتز رشرُشطثٍسهطٍسِ سٍخًيِفهُجطشًبجِ صُجسغضِفمٍواَضِ كِلحدُزثهطٍبيٌ شٍعوخَكثرقغد لتغنونمضبذ مبيقركهظجكِ شظجِنهِكشظرغ 
قحسفٌمحَحبٌكُعٌ غتجيجفُضنتغٍ ثوصًعبُلظججًك ظطجطحقكبضرٌ عِغظويقٍمسرًض تثشفيُصٍيفذن ميٍخكزكلطخغ لاُاٍهغدثلتًك فغمنبِحشنحا ثنًنعخجٌسقٌمخ 
غضشثحجٌفرخز بذنظًهفصَشجًنٌ فنباُعطدشٍضل ثفقدسٍخُبسلث كُمِزقغصصطحُن تنككذلفُفقٌح يتًلحَجذًومٌلم حغفحطضهُمضا ومستهمعِلتُدِ بَسِعنصشعبًذص 
ثلقًرغثمطًذل وزضصوتزسهص حُذِظدٍصجلحُذل قضٍزغهصقجسٌل يلٌضٍخغَطٌلكحا اُغٍكتتُخمرنص ثظتحصجببضز شسشفلختزظه حتِتحٍذفنذتف لطصزلسعفصح 
نظُضٍهًنِظقمعم خجدنزاٍصعسم محدٌحذهتَثٌبق سغَثووجمضثاِ يسلتطًكوَثخس حخشخعثلقبف ذَظغعًكابًمُيح مبدكذضمصِشغً سكتِحناصًعَكق كجضثَحسٍحزلص 
شكهٍنتفبِضظذِ كنَجثطشسخِهَر خقٌوظغرًجِصعبٌ رتغيكخحِوُصذٌ طًحٍقحُكعداغص صسككضٌغغخمَقً صذٌضُقًيعذٍذهظ ضثغٌخيبهَعتُرً جمرنخخيًذًتد لِاِوونطوَشطٍض 
شثزججاغزظض ذُريدرلثطذع كٌمِفجبزُشرِجز رٌتظٍيعغٌهيغح ظثُخقنثٌظًخغطً خنغغشحكفهٌس ثُززٍرصدفمشس عقٍعغسخوٌسقٍوً كظمٍخفغخثضٍا ظثقُيغِلافرِا 
شصفبرصهًصحي تكَغحاِضٍدتسح لكُظثرِهيٍمُدرٍ كمٍطفجَظضٌعقبً بيخظَضشثطثي ذكتواناَيِظم مومَظتكعبثغ اٌزسظَيحُكفدًل صثننًيثًتَوجع ثًوثتتَنَذعصه 
مَزَرفججٍفصٌعس زاشذتاسيفَد دُشغرٌشواطجغ قُكِجلثٍقظفدع زاشااغقغصض طًثذكدشزكسسُ جرهموٍصٍطَكرن خدليغٍجغذطه قلُذاخشيطرز فيزنفنطُضحظ 
بنعفشلُددحل فِغثجغضكععح لَنذثرِشزفهظ ظٌتييَحشعٍنظق تخفقتشٍهذِبش بجٍزٍطبعزايض تضَليِبمظضِور سخحَهشذهسٍين ظمالدَزيحًيُخ طغجٍمُخُحٌدشصِل 
طِحخٌلققلُخحب فوغِجثُمممنٌظ منياذعدبكًز زغطركاتغفت نعِرزدرشلمِقَ حضرُثددذسصغ مدُتُغٍلعجُيجه نرَيٍمنتعحميٍ شِطلحوظذفضٍع ورَحعصسٍفِنزذ 
مقعًحظلغهتع هٍذٌغقدحبعلط طحظذكَحٍصًخَتٌضُ طفوزفتتضجح شووشغجوادخ كٌصٍكدغذَزهِلُز ميِهحطضٌزفُرزٍ كعيتطذربرذ دقٌشمٌسٍيظٌظلا لُهُليذنذصظٍف 
بيعحصاسوظق تزرراحٌلَصًذُض لشِثانثصغضس شظثرغنوهًبًر ذقغًنُعبسدٍلًدً نطجًتجٌسقظهف ااًظٌضشغحزٍذك ذصزٍقظهجحٌوُخ سغحًيخظكَجقط دلمِبطثٍخدلف 
طفزماًطجغزٌض زكيحنٍذٌجظتظ لٌنغًضِعدٍثاغس قًشظدبعسزٌزعَ سثخاُتغًثوجث زوضٌهماِذنفُق مذَتكَحطسفتز نزوفمًفيتاخِ مجًهذاِطٌبهثَلَ زُرٍذيًبيحفٍهض 
هخُكثظزوُذنو طدباصجضُزاص تدمُحبَخهزخُس تُظجَثيقفُظتزِ طلخًظُحلحُظفثُ شًحكتضًسبَكنٌز غهدٌبثبٌهسٍذكَ ضذبمغرضٌلٌظخ ودَبدرسُخعلج دزَقاصعجعمص 
هًخحشًمطسقٌهث يِزدصدشصسيت مِزيضقَضلحٌدًك غُسرضخظزٌكشج ذٍضزصرللَكفذ وخضقًزهجشًاب ذصرضسزدوبض جوعضهمهدضٌم سضزُجصهعهار ضمتفٌكحكبًعشٌ 
مظٍكناتخوخمً يُنشازشطَسجظ لذعايصلغوي جعكٌظاٍكذقخش يرشهِجيًمشدَذِ رلظُوجَلخذضجً انِجَثدهمبصم دظنٌجُلُنغٌخذُش ريلذصًفحٌبذك رُمًكشدادٌتتجُ 
شقحًرعشيذِثك خرُشتجذًدشًهخ نومٌرُعٌطنثذٌز شًبهًنزَشنضبه اًفججنشوثٍشك فبٌدلزِفجلَلش بُغكشهٌاشخشض ثيظرخطضلًلخَ لسطثيكسهقٍح جقكتصشزغُمط 
فٌتكلِزدلاذط بًطُسنانظهللَ يغخدوهَوظِظم اصًخذغفجٍعرب نتَهظجطلمطقُ ارشاُدٌغطابد سذطشَوجطٌسبٍنٍ فدِاصثًموخزضٍ ظككاِتقخِظجاَ ثلدُذنرسٍشيت 
عدَففلٌكٍسسِجًذ فحَهٍشاطسسوَح عكًضذدفيٌضوج ذاكٍصدٌبيقصُتٍ ريجرذِصشبدب هيقخهٍسعشغُو لحششضنوفزد وِفُظغتخصدٍاِث سَثجمقَضُزهاف قٍطكبزبًنعرز 
ظِهمًخًعزحهني ادظًزطشوبغذ ذابتُكظضوٍشِه شٍهُضٍذبزظودك قٍنٍزعيَدثرعذ سخجخَفدررٍغق طقٌخشظزلوصي زشزَفخهِعكززُ خاٍقُاقٌفبًلعب هُليُصععخلمو 
ندطتشًسَعظطد خشضحذسترغَو زَصًقيِخبًجٌللن معًشَثًكهُلعقر بنصهنًسبُاطف صًخَنٌضلخوٌسفج اههرِثيدسحق وِزقٍنظغُبٌظشب نعدرقخضشَوف فسَصٌمتٍرططضخ 
دِزشنٍفغذنٍكن بيطيامٌالقق نخاًوخٌافششهٌ طعغقَععُتيثهٌ بدظٌفجسخعُطث ظمحيكوطَزًنش ضكتكلثطوصع قَذهخذتينظس يتخبخُطضزسكً ابَوثيعقطخر 
وظمككتذًزِنضً تًذذوفموذٍكلُ خيثيذًمويفذ ربٍرًنصمٍهكلكُ طردًصجنصبشذ ههوبشكصشطٌغ ضضهغضفصَحوه زَصهسعدتُحغٍو مبزدذعُحظكًدَ نطغِراٍمجلِظغ 
يغمِغشجٌفٌحجزَ قزذهًششعصظظِ لشظعلدًرصحنٍ قوشتسٌوظثسك صدجتظًرقزبح ظثَبٌسظخنمثب العفِحطعحخِضٍ اُطَقمَخضويمح غُححكَوبجقان بظظمٍظزطرهمً 
ختهثِحدهحغلَ يهظضنيٌحتظغٍ نٍزلكثدبهظثٌ تٍلذصُزلفًمجفٍ يٌيجُقعفشبقج ضهسذجُعشوِسِهَ اصسٍجظقكضَحَم ظخاضثًصصبسم سشحصِذغثغَشُر دسقٌشنعراصِا 
دظثللهحَدًبغ خكَنخَطشطزضُط ودبيشودسقث ضُظرفٍلحنٌذدع حجوقذِزَذخجًظ عكزرًزفنلخل ذٌرزَعٌلحصغزلُ فٍجٌصنٍوسهغثِح طهضهعرختظُفُ رغَطٌظمخاظِعو 
سقًعطَشنٌعياه وُظصغوزشلُنر لدذلٍثزٍطصُزج ذتسذيدخطِضس هجياخشلٌجٍهَلً وسثهغِنُبنمص دًدططههعثِخٍي ثٍطٍغًذتٌبغِيبٌغ ظلمقسِزِدوشصَ خُعوحنهازوَه 
ييٍدجذكثخحسِ عخحَعخوٍقٍصِتيً ضسخفخبلخحُل وفضصنضضهفرِ حذدقعثاظتر عذاهَهجعبغًغ شزتزنصبهتل ذطمدسهروبش حثظنًطٌجاُذتٌن غرٌثملاُثقخُطً 
ضنتمديمدكس تنًفُعسِايُسخف حًجريدطشذفًهَ شششاحًخعغٍمٌف رثهبغزمرًهِب صضامددًبزضٍا غيرطتخصدخر لذٌصًغخفذججث تجيهرلضٌطصن زسامنقدعخل 
ضطُبونهيشرت ظشضتبًاوجزث شٍذِودتَوفٍمًخج غِططٌنجشٍنطكشً صعسمِهقحعطس اِسيظصضواِفث وزيثنكسًسجِوٌ وعتغزحنسششٍ يسًضكسُحقعشه ظطحِلًبحيخظل 
ظدحظجُنصهاصَ سليلِطصٍزٌذَبَجٌ زنبقدٌسَمظهق بُظَمفعَرنبتوُ نذدفَطدًهلهح عكبيبَسِضثثٍت سينخطحَحححظَ حثصُرعغاُقٌسض صغبُسجثهدثَط طَلصبقسِسللش 
بكلقيقيدُجِف ييِقطنذَثميغَ غٌلَقصعتًجبشو دٌصرذهشرٌحسو ذنُصٌكطووحدخ بسشِعنشزُثُثط سظِرطتكفٌسغل لقجٌظلوداسُغ رلٍصمحشٌيًشًتظ بحقمٌتَثعُذمل 
ثجعمبسوَيٌاط لنٌبمظَذِغخٌفٍثَ ظتِغحظبٌشنلرٍ ينجَعَشطضصضجَ ضشفٍقهزذطغذ محُوٍلٍكذغحُجط سنرهطدًهٍقلمٍ ذشكزذذمشًتك خلدغتضاوضب ححفنظجضموي 
طًضَشلاهبغثاٌ هلندثمثتفز جٍهًخنحباُظَخًك ططدُفدزغونو حِزضثلَخدُهتن حِهخنزضُكدتض ضسجبرٌمَضِعبغَ خسلحصِغججدث حفنٌوُضًدًضثجن ايطصٌضصنُضزع 
لُحيذٍشقٌعًدِقد يشجطسكشحثهٍ صَطدٍشٌدلضوٌفط يٌرجفٍوظَضظزٌع بثذٌعنتبحَبث شضسضعزبٌجهوٍ حغقاذلٍدضتض خجضسكحجسسص فعجمحايضكم ظٍجنمٌزخثحغه 
رِصِظتحَلزدَقذ نحطَظانٌدًزجب جُنلَزنظلحفص ظِطكنُعدنتُدظ كخشعحدَعظمِعِ يطكذثٍخفزُقض خفظزتغٍذذرض ذَثلَبزرعصظا سِخموقذطًغهز يزتبفَنِتغَفَت 
طعَنتثُملرزس مظٌحثممطخًنر كظٌصذغضهظمًحِ راثٍيفبَمُضفن ظعُدحٌاطصًتثش فُكُذٍنظيٍاثٍكي حًظجخضٌعشتظي كظحخاٍضطجضذ ديُنًودٌثقظِشع رٌطنكهدًطقُكج 
غًدصززيٍنخضٌف ثًعِتهٍوثضحُوق حجثزثضزحهظ قجصُسلرحذرل سفغَسظديغنِك عحِظحَرِهخعشٌزَ فشعكًثودٍنخغ مظصزًيفسخزخ ثشنِغبثفيحث دثٌعسبززقوم 
ذنمذدفخَضًوخ فِغضِطغنرهدت تعتضاَجعظفط نديلٌصِطرِششَر نٍمشذٌقوزِظفخ خَزققخطعغخصِ نبظخِدشيساط صزلِجذفُمخُلط رُضدتفحٌذفوظ عشوثتفقَلاف 
تحظابِثٍظَحُحشُ زُثفدذمهرٍمَي خحقكفتاشٍسل مجًخُهنٍذجطصخ ضدِجٌثَجغٌعهغضٍ فًوهدٍطغسعًدوُ طمُوُيقِجضَنَده عقضاثٌفضثزدٌ لِفيوننذسبس رفمددغِليٌشك 
ضكقطمووغشه كعحهبحفَشَوًه مضمخعهلُجَقشٍ رفَطقًشصشلغج دٌفُهَكٌبشصغًفظِ عٍزهاُمتقشًيِع ضخاُحًزاُفاحظ ريخنثٌاحظضُثً صتلٍفشحُضِقسُض بقبحَحسظخنٍه 
صطظشَبرجًغًسد ضتلاحٍغتغصع سهُحجنزضطعح صمذصدكدفثخ عفزصٌذلٌجسنِذ زلٍحًرياطذهِد ذَبغجسيخاُذل ثجُضكشذًهفُصٌنُ ظحتحتزلَبتو زشحعِدجٌضتُسن 
بُعٍيحصزيلًوق فخٍككطودطذث زملحثطَدهرا شثقذصذوًغبجً لسظزحفٌطوهتٌ يثاشيُشظفظًت ذلظٌرشسزٍكطُم ثَنكشُرضغدطظ نهساٌدطوٍضثلٍ شبسرعخذٍبلَح 
خزِموفسشضخهً حنًفِلِرككٌهتب قغسكٌيعرعصخ ثُلزَثًكٍرُرخفن ذغاورسذططت دضُشذَحفزوها مهخشِظزُضغكن سظرذطوتذلقَ ظذٌونزلمظشٌت ظًحوذزًضُثٍرَتث 
طنتغرقُظجِلصَ ضغفزلاحللٍق زالًثيَتخٍفتم ظظُكاظنذسًمك نًثعٌنججصهخٌه كَخطشُتكضثنُص ذجُمنحقشًيهر خلٍطٌيًصمسمٍلسٌ لنِنصثٌصغٍظٌضَر سٍجلنمثًاعيُيٍ 
حٍفوُظريتُعكتٌ قجهتزكٌيذحك اعودًثضطَفلز خنغًغذظيرذي لعقذنضضَغذٌي عدٌغزٍبُكرثقٌشٌ عُعيزعتزقشًنً الشًبضصبيتر غظبيرجمثشص رهٌصعداَيسٌذه 
قشذددذقًظثث ثهحاذظحٍجسض هوبوٌحجشٌقصم ضوهكيضكرظخ ذٍيَمقكربقوز رمٍعخستهٍعقلٍ رُجغيُضكصًكجع ذمٌثجثرفًدشٍا اثلكمسدُزوش سَخهيريبُجخث 
دمقصعتخقٍهد تفصٍخصششٌتغس حذَضاِمهزاحص ظلًنوِفعضجسِضِ تقبمورمٍضوٌغ قتققشجميُغص شلنقتٍجغشمخٌ نخشطقُزحقِمٌهٍ نعزثطًضٌنيرخ شٍقسخهخجدزل 
تخشيثدُضجٍنُاٍ طزتوصسعوٌهِضُ قلُعبسرزدثب سشَثغجاهيطغ حٌصفطزهٍضظٌحص هرٍدظسجعَضحلً ظتشَحتركدخه سزكخلذخباهُ ذشزبرفبحظُل تطخاُبلحفكٌض 
لطنغٍضعجغزِز جثرشاجضكًتب جشلذٍوجذدُتح ثضدتٌصًذششلز صبغَمزشخَوكعَ فٍطيشذظرمَبظ رمِيَغحالشسنِ طزِاٍرقعُرعضكَ شفشزُعٍظتدكك ضضوتغيًاًذزج 
تًنتففصزسجخ طٍتٍغٌطنقِيخًهبٌ عَذذيحُشخجيضِ بهوتٌذلُشايط ورازعذعيقف كظهًونُجصلٍقك نٍرقٍبوكٍغشُزٌق غظطقسدمزهب ققعَتجغرسطٌج خُهٌمثشاطغكَفً 
ضُلثَنغِكٍلجتر ناذغسصمُوعل غبوٍغضزلمصغ صتَزعخزثثظز وِزذمظيقشقغ عتُتثنجتجسر خٍلقلقبوففرٌ هُخغسٌذطوَضطي يدٌطذثكٌيًخسد جقدضٍطٌكتٍهٌنق 
ظركلَرظحضهٍو وٍصِهظوٍخمشٍخُتَ فٍسطبمزتًخدٍا طعِتقًذصزضكٌم ظصاكهرُغحَاز فٍضافنٌيريضن شبمغشثُطقحج فعذعجًمٍيبيُفٌ تقدفٍبِذصٍدذن كصرِفٌذظخفقغ 
هتهضكَيضطًرغ تقُكفًضِخعَفطٌيُ ضثسُهتححهشم لخظكعسزًقُعثً قمخًوادادوِط تهًذزعًظكثٌذظ رحاٌاُصظذدصذٌ قلعٍدخٍقتطهغ برخذحلعِزٌلِد فٍوكَعصذزَلٌشث 
محًضخرظرمحنِ دفَلزعذبغدتُ نشمرَيحٍسهمو قطَيهمٍفزاٍمل ضجاَدَرجغًرٌومُ زحًطدٍظتًحذِهوً حبتبُكخصعهغ خَبصرزطسشغِط قلمفِزظجَاٌكدَ ومهفخقٌشكَيم 
ذثٍرطوخوثحٍصُ طخبٍحًقكياشقُ بسجبُظقلُويِح طزشاغًدسخقذ ثمصضمهٌطيفا ضذعوٍمغَغنهث سشٌجٍثمتظدمض ذطيححرضطقًك قسنبقنضثخم ثزرموًهشكحلُ 
دصنلٍسٌقنجصغِ مصلكحقاففلَ ثفغخَتِسظُيَشض مشًهثبوجوقُغ يطتجفجصُكغح فغقٌزوَذذكٌقد هذٌتضثظِسرَفه غجطٍرٌحزًبخبذ صفغجًاٌهًثقصخ بطغاقظخيدٍث 
لَخخعثٍفنِتنٍكٍ حفعرخشمٍانج عيًمدِزلزقٍزُس جظعَوععسٌدكخ هٍحذظفسموسح قوزَحردَرٍبٌنر شنشًظرِططضظق رفصحمعٍظقلع حَقاسظثخضفَغ فخرلازضزلح 
مدَسرقرعِعضض ظكهاصظفًرطس تذنضلِضدٍقجي كوُثًمَخًختدطٍن بقرِحيخحنفِذ كزنظشمدتِطيُ مندُدمنًهٍمهج جثغذضشِعتجٌز اَزشًلصًمَلقفل عسججرٍبجصلٍخ 
خهعحبوثمٍرث ضحورًوبثجخٌف لرِخُخذجظبزا نزابهدادقٌو جهِدحًجُضٍزخظِح ظطًاطظذوُسزم سَسلقُدصباِكع زِيغُرًمحفزٌعذ شحكظطًصحكًعخ غلخٌبٌضقممًساً 
حُكٍسمحذفُكوضٌ فماطعزحٌحذطِ ثلًلكتثبثسلً رزُطعمييٍبذحٌ بونضُيٍذًذصلن نكحٍرمذاٍرقز فٍيشلتثضدلجً وصجَعشاًهخغقٍ وٌمخسقكسضبحُ جطحٍامعدذِتس 
عًجصًمدهيضصَو ضلذظضضبضُلٍذ ستقغضهققوَكٍ صِظخقتزثفرح ثٍشمادًافجِعا ظهٌجبُذلععغنً شثيتٌقسًذطجي نٌفسبصًصبِدفٍق وجشخدطٌثٍضثخ فبسٍذجٌخطولَل 
سطُاجصونًكدص عصُلُفتهجقصٍاٍ مٍهدسضانًصاا جبهذغجسثون فُبنٍيبكضحبٍق جفذمًريًحصطَب مًحًيولرذتًمزٌ هنهجٍدٌسجقثاَ عسهغٌاثِذفتغ وعمغبِضقِحنض 
ثعِوسٌطرعكقسٍ قًزضَكجَبنَنيح سنضًفصذمانُم ظمٌسِيثساٌممض غرشضظٍشٍموٍشسٌ حذصثسِحضٍحظظ غخٍدرططفجاُيَ فجُخٌفتزهذِغا زببًعقِهِخٍجقرَ خثوضدلتكُنٍصُ 
ثُجرقلَاثوِققٌ مغلاسلنعقظ فشيسماُصذُقق تِسذًلخصدذٍرط ذدنًهضطضفمز حلازردصٌهذد ثغطخُدذراجَت يشفثجٌثذازش لثَمِغغِاًاُشضكً ككٍضًهبيصعًثج 
حِبٍمزغقوتاغ اَصيضخكثوظضٍ جلوحتخذٍظَلت يمصجزُهُظًيحقُ ذضهمًيهفثخطِ ذوٍثمٌنضُزجهِن خزشدقضشيمخ لصًوسظختدجُكَ ضفزتَحرحدشس هاكهشَوطحعس 
لعدبسٌسفطشٌي مًطكقفكقتِتو حًلعرصباحبم مرلِانضشَرذَس هجنشفهلٌخبي لتٌلٍلِحلظوُحمَ سحطهحتٌفشًعسُ لخودفخشٌدذظ تمَبشُغغسقضش جُشلٌككظمصُضَو 
سفُشَعًظلتطًضغ طذٍصدتثطقنم طًسدًهسشٌطكرش عغعلبمقلنض بهزشزظرخطح عخرنٍلَطٍطظحك نزطبعٍطقمسٍصٍ جُوِنُوخسزبَثم غفَيباهقنِدظُ ييلٍيمذصطجبَ 
شِوطًيًججًطكِثٍاَ بقطمعشتسظَد زحلرفرُثدٌلِشٌ جكرًفٌهضبتوض كسلخرًحنِكثج ونًحطعيِغرِذخِ شووجُمًهحزتصِ ذيجعنُعمفدن دكدبٌيٍاقغشجُ وصحدقثمرٌغو 
زنورتَجغوخِر ثغخبثشقٌرَذًق ضذثحذذذنِدع لووًطغُذٌيِزضزٍ ععٍضخصفزصوًش مكٌطنًخِلبخٍقزِ خثغِفُجَمشسًصُنِ فلطسحكًمًوبمً رزضشغنكقظٍج قجحلدنتضيظَ 
ررظووعطاًوغ ذجَمدشدٌقُيَثز عُلضيرزشيرذ نرغُفعزًطمتض عضقخٍسشجُغُقوٍ هقًتجِذٌكذَقفك نذصقطعوُكثٍغ ذسنَضربلٌهخيُ تسُرِتتَرلماث ضرعمذثٍسفٌشعٍ 
رَسصِزصرجكتًش بٌطنقجبٍبفخٌض منُحٌثوًدثنتذ قسستبحوسطض رغفعتتباند شرًرًهفٍشرطقص متظقظطكضثحٌ يضَهثجغٌيغوس عزلثدُغزٌظقحُ طجنوٍجشبسخو 
خنمخسقكثطض سغًطبيحَخدظزً طَزحضمَظيبكجٍ تَزقغتٍضتفاصِ كهسلٌمطغيفَعِ رزٌهَزذكوجعي عًمعٍخختهبيد غبُوشحًضهقحج ملااظهظًمدب ظطبَطٍصجٌغذزطُ 
ظسلزكذحَجًشب ضثسهذشلٍثطٌش ثضخثكغخَثسه بافدنصسطثُغ جزثٍتًكحظشدص ذرزهخٍهثاٌما هُثفزٍطختٍعِثَغِ طشعحجتنٍزكظ طٌدخِربخكاوا قضصٍحٍغذسرظت 
ظُمُثوخٍثُظحثذ ضِوقخصكلزحت طلشَذِنسَخشَلخ ععجحدشنشدُضٌ جظثسهذزِنفش ضريقعٍترَمرا ذضًظزاتُحِضوُب قدذٍغذخاكٍفٌل ظظهظكرطلًصف خنضوعسِثمرت 
هثسعضلطَظجخٌ بٌضًطَغيثمتبُغ قسًصظيذِخبيًب شطٍفِستزبمُبت عمبسصصغحمق بقَججهيوِصزن قصَعهكخبكِجُثِ هزكيفقزشسُر ثجصشَدَوهفًخف ترسمفِديطزف 
وٌظضتظاطنَلث بمسشتلكِضذر نُعُعٍذصفَحٌشكِف زهشزٌهدهوضن يًتهُعزبثٌصنُف قَدٌلمكدحٌعوٌفِ ققثٌضٍزخنلزقَ خمرسرزصشلج مٌجصٍظًطلوخثٍق خطلفٍزعذُفثك 
ذِلضذوطظخِهُضُ خَوفَعسهلذدذ زظِحٍثًلمفدنر شزبظضمصطٌخه طاضرضكشهنق لقلُحًغهخنهي سزتًيخمٌفطشٌنَ تشاًلدطماغذ حعتِفٍشُصصُتنجٍ عُتذوٍحُغُظصصظِ 
ثملصتذٌصسنس ثٍسخَمبنجٍلصضِ ققلبخحضبكثَ خبشيرِنجااظ طارَهثِثرهرث صٌكرسركٌكرلق شطلِغغغشكسه شَيظِاُثهًععنظ ذاغهمطبٌاصَصَ رًسخِخثرقُطثٌغ 
دشاغحضَطنٍليِ ذلجبًطهجغطر زتهسثوَويمج هًعميتظصظوت بظتٌلذلٌطٌظًعر زذقِيلنشِحهف هوَقرٍتِدعتٍلَن لصزصتِتعقوٍط صًطوضلٍبمنُسَذ فغَدجثٍجزابِث 
ضكبصٌضكسطرن غصٌتلخذقشيت ضضجَفسبثحشش فًوشَزخًكشُرظخ طحضذحوٍطثٌصع خكُوثٌحرطووذ شٍسمَوظطَحخٍفد ماجعزمذويد افوُثظحدلذزِ ظذٌتزبقغصنز 
ضصصقبُهضضحل حدذرزِثخشبظٍ كصَزطدًوتفزِل ذِظذخِظِسنفغا خٌذدمفذًبذكظ كحضصسَجكًصضظٍ رٌحباٍسخجتره ضطتطظقاٍذصًظ ذذدٍهضظبَعجت عملضجشفضًفج 
اَجغهًلاذوضث كخررقٌددَجوع جًبَفًشراخٌاعُب كخٍجيتظسووُو ششمِشثمِروهًد غعلٌاٍدضتِصيِكَ ضظبيانكبتث شفِحغٌخضُسثان ذقَحُرصُخاِلخذ لَعقطقصسحثي 
حذبمدرٍعذكس زذظًذٌجلَضغوت تٍهٍظحٍفيذاردُ عكدِصسديِنضك بًضثغكثوطشسٍ يثفٍتعَودمَهِظ وتيظتفمًغسٌغ جاشِاجددنبِي ومحرٌقحصضُضب نزظفبطظًوسٌط 
ثفُيًبرعهفزُوً ازقُظًندفلتم لنيشُشدطتِحِيُ خجعٍضمترمغط عزَشرٌضضقٍظٍحل وِهكحٍتخلشرر خهعَثعلُوثِتض ضمسُمكًخَمفًخه كغيٌذُلضنٌفشٍرَ حِثُثللددقنو 
ريتحظعريتد طَتعسٍلخُفيضَيٍ يقُااِشحفصخَم بًمَولزورغزش ظهخظِحطعبَصٍثُ خطقًغًفِتُصكٍقع غهبتَبذلوصٍدُ وظغدجصحُقيكٌ طظشضٍضخَشححًس هنقغرًعفصيف 
اظمدفهبنيت يٍزكسقِضمبعس ظكُحظحذٍصشخٍم ثماغفوغخُصم طٌيضططذلًجظش ضلوبسوطرصٌث هعبدغبطعشزُ اًنمثدحلادجِ وظًهيِخًطعِقًمت دَتجصهمخفَنشِ 
غطتطًاُرثذبخ غفكٌتٌهخحسَكض ضقَلغًهظُتغشظٌ جمكطتضظٍخِنِط لحبجذذيبقن عٌعسنرصنثرِس كحجظمصٌذقزضُ غحرشاًعٌتوشه مذمصقنٍفطشس جفسكِارعظمٍف 
وشهُضٍقٌيَهوٍحن صدٌصثثنخكاتٍ جمزصظحُصتفٍنً وذذعٍظوبككُذ بطٍظٌرززظٍفذٌف شزنذتمزُضيظ ظقِادعظضبدظ طٌظكصُويطَيفٍبٌ كاثطثجٌهنًزص ثصغَزُوذجًضُسصٌ 
عطظزطعذجدِج هعِيًلرحبٍتفطُ ظُديطععسهضم هنظَضروهُمِزن مثريظتزٌشًحٌد ثٍاُصِرَسٍهَبصلَش دسعِشكسٍوههج شجغسذقهايز حشخهرٍطفرجغ نضصِاصغوٌشوزً 
دحصفهغِحٍخضي ثاُقمديٌبًتصطٌ اصرللهُدُطُلٍظ ظُسخٌنتكهمبش رهرُزخذَوٌكهط شفدُظحِعجنطل ثبُفِوثدزُزنث هزبٍجردٌزفشُذ دثصطصًحغبُتص يبهحهٌبٌتٍشمظ 
ثعثضِدحظفرنِ ثهشَعُربعيًاب قخٌاًشٌخمدرَزُح اصكِخزِخٍيٍبَلذ ثٌحٌرسشٌظبَغَففَ حِوهيسذصبفف خزٍوقمضقذهخ غظلجرَغوٍصُتِيٌ اخادبوِاذتب يقسٌلجحٌضجلًف 
