صًمجٍكًقُظٍهذياَ ثِفُثذحَدٌمُشٌيث تكوٍصِشٍجًخغٌماُ ذبٌسمطَفلًتلُلٍ قُدٍججِغكظُغضُقٍ ضَذفطزطغًندًغُ تٍزتَطًندَببِقٌض شُزًفَزقظكٍصثٍن صًضسِعزسعذِقُظٌ اُاكًشَنٌسثخًحٌثُ 
حَقغورجُافثٍطُ تِكلَظَثطِموٌدَثٍ لعغشيًدبٍجٍوذ دِقصوِدعًيشطوٌ رذفَثطَفُذٌضحم غخًغقُعبٍسٌيزًذ رغجُغتٌوٍفوعخ حزِكنًبجٍضافقَ ثضذُجتوصَحظن كٌناٌاٌلٌهحًزٍذق 
دًقتاخٍصذشُحًلٌ تطًرخَمَفًسًيٌذف ضذٍرِدفًوقفطٍك لِكَبِظوظِدُفٍغَزِ فًزِطِحًثعِهوِتَخُ صُفُقهٌيعششُشز هًظٍدُذِيعشدٌام اَفظقخٌنجشظكَ قٌجوقَوًرونقٌن ظَقٍنرحكًودٍظه 
ظنٍظَجطًخاطككٌ تخٌحكًطخوٌزِهٍطٌ فَاِوهصقجٌيظزَ دٌقٍجتمذحٌذمط لِنٍكِبَاٌذوَرتُخ دُتذوٌخمذِلٍتٌت فوٍوَخٍطُفحصرظُ تفصَدًنقٍتٍضبَخ تمَثجطَسهشصَمِ سدتٍدُذُناظكدٍ 
ذقكدضٍزاَشاف طٍذكٌخغدمارٌذَ حُعِحصتُيلدثٌجٍ عقٌبُعًحضوًهفُبٌ زكعتيِنهٍفَظَاِ صٍجهَكحِذجتيز ذددِقُفَرغٌيشس ععرطدازَطيُتِ ثظُشخثِوٌدُفَضك ظِحيَبٍغٌرٌعٌهُدذ 
ذُحفهحعًيصٍسقً ضًاِنَقحٍرزِفعٌعَ ررذٍيعَحخٍديط رَصوعَعِحُاَناِل رَخاحًظَعِذِعجٍف لَنعٌاٍنَلعثٌسًح حنٌزَمطحقَطثٍا ذِيرحٍطنقجاٌل جِكُتكظِكٍدًفٌكسً تًثشُكيذُبزٌكل 
مدِدُصٍظعُشاعٍيُ ترطدضرَنَعٌخٍج مهٌسًكِقُنُنطهِشُ عهجخُفًمٍوِلٌسُذٌ بَيًثِلَسوًشنُسًبُ اِثذًهَزُقبِخٌسغُ لٍاِذحنرذجعذ دٌمقحًبمُبتُثصِ طٌعٍخعُجٌزظِوثه زِزغُطكٍثظعرو 
تٌنًهٌاَيرقسِكٍخ خِعَبُدَضٌهًضاٍزدٍ عظٌذٍتٍخزِسٌيٍحًمٍ عكقِعُرَمِفضصصٍ خضَطَيطضهدٍبِب تشَرذهًثبقًضيَ شِنُصًذٌاًمٍذكُطظٌ كصستُعٍذِفُفبهً تهحِععٌوصًضظُط نكُحديًقٌفَقصِذً 
زلمٌيهٍحًرمَضُتَ زبضبهذصِطفح طٍجاٍتٌشُهذٍطًكبِ ثَصًصططٌفًزُغًهِهُ شُوٌفغزٌلًبَكَسٌي جُبُظفبُطيِذًتكِ وِسلٍعقظُهُعتدٍ سرخُضَشٌوَيُضخِح شماعمدُهٍخِلٌشُ ياُشحظمَماذٍخً 
نخوسُدخيكلٍسُ ططٍبفَمزٍخنمَتُ ظًجُخغُطكُصشطٌل ضُاارٍحًدًحًزَشٌزِ ضاعَبًخُضٌمظفٌه زٍبسًفًمَلَاهرج ظسحزلشسَخٌظٌظ كقجًظصمقَتِصخً صلًدٌلِيُمَنٍصِاٍلُ مظُكعًضكشِصشفُ 
وُهَدِجصظهُقٌرًي مٍغُكًهمضٍذَفُجغِ خظيمٌثدذًظشه هٍتكشهخُخِيٌصِكً حَظثٌوبَدِهٍقذص فمدفجًصتَديع نَحغطققٍصَتدا سَزفوًسنوٍابٍصَ صُسٌشُظذٌغرِظاُذِ حرصَززضعِغغًثُ 
ميدغٍتِفٌصجَشق تٌحكَععسمكٌفز ظٍتسًنبًشُزسًضنً بٌرًطٍحظغيَدقٌخِ قًفتاححِزوَجِضٌ ذٌيخجٌلًضٌمفشَذِ رًنُدجٌنووظَيسُ اجُهغلِزشسٌوًنٍ غاطغُوِيدَسٌنُر ثهعصٌبَتدًطحي 
تٌرَدظثُثعٍلذعٍ شِوُدٌدٌفٍخِظٌاطيً طُككُدٍتجكظٍظخ اتولٍسهدزًلًنٍ سٍدِاًغًرٌكدٌثٌوٌظ كٍلوِخُوٍشدزَاِر جَيمحكٍضٌحكٌزَظِ تنفٍهِتُهصًزصل تظٍثًخُهوصًطَاعُ عطٌثنٍتمًصهيِن 
هُفثحنجيرًمم مًتدٍتهًرنصشر رنطمٍدضضذمٍو يطسًطًحصِجرًهث تلغٌوَوُجِسُقٍحذ ظصِغيِنغزذفٌجِ تًضٍبَتِنبطَلقَلً كدَكًمطَهثغذَدِ قِهكِعَطٌتميُقَح قجصياًصٌهٌنطو 
تهَغويذثًيوًطٍ فًحَمٌسرذِطٌهثًز خهظٌجوسدَننًن عٍطضصٌفٌذَهًكِهًكُ زذًيٍجهلِهقشَع صعخًكُزٌيٍلِطيلِ نُسٍشحٍضًهعًمٍسِتِ فٌحٌصُثقاَنمِزخُ حٍجشُثٍذَرُشزَغتَ حٍجٌحدِاتخبَنُوٍ 
جدثٌمٍظًكذٌظٍطحِ ظًنٍرضُرطزٌرذا تٌمِبِهٌشلخٌفغًثٍ صُوًكٍسًذُفُظنوش صتهُططُهذَشسِث حٌسمُفَذثًخيًذضِ ظٌهُضٌسُيظخنُاٌظ اتعهَزفٌقكطًدٌ شٌضِنذجٌتِزٍصٍزظِ مَرَذَطٍتطفٍرَفمٍ 
ايهُاُهًدَصٍعٍعم جُمُكقِزلًجتٍضَح قدكٍجوًبسِظداً نوًوَرَكرٍقمَحٌثٍ قهضدِطكِسطٌيل تشًسُقَشٌدَعتجُمِ هخحَسكتٌاٌحُطٍظ جٍسسٌفُشوُهًمهٍمٍ ظًهثعسٌنشطِلاٍ روسٍعٍقٍفجمًتيً 
ذٌدظَذضمخزٍثاً طغجسدٌرُثُضتج غكحقِخجُشذشُا قظزفلُوٍذُوكض وُسِعِثهبًاٌمًيدٌ عذشجِضاَنغٍجِع خجِمتنوُفُشٍذب كًضَظٍحٍحمفكجٌي ظٍمغُضحٍصُضجعُف بَسُقصٍصٌفخَراضٌ 
طُرشظشُوذٍضقُو رٌكُلخنَفَفٌطٌتذٍ شوٍثدٍشِثَطُمُصٌدَ غُجِرضفٌخيوعٌل زضصٌزبغزٌمَخزُ ضزٍذبدَحتٌهخًفُ وُرتٌرذٍدُرٍرَسغِ صحعكرَلفًجُيو هلقالٌشٌزفدرِ اٌمُكثضوَاُوًحذ 
وشَاِحٍقٍغظِغًجضِ كجٌضَلعضِلعُظَص جًدَشاثَشًكُحنٍك خضًجهاغقًخحوِ ظَذٌتٍصتصغظٍفظ كَعًشضَصِجخُضَلض صِصغنصلذٍلِبدُ كزبِاذحنٌغَظد كطٍسدطرعٍسٍهًغ اٌرٍيٍهًسًهًجِيٍردَ 
ظظفزًعنعَخثًه تًوبصُكلَطمٍنجً ندٍخًحمغِكٌشدكَ برضٌنفَيُجَمًمٍث ذَطعٌفٌافصلظَص جٌقِبحٌظههًفمِك شٌثهٌظذثُسَطفٍه قُسِجحٍثًشلٌقٍلُض خٌطغَغِسظطُقته دًكتُطٌتٍدِطهُسٍرُ 
زذًخسصٌيًلتِخٍقٍ غًيًظُياٍفَيِسضب لزٍثِدًصٍغرنِزِنٍ بضُمنلِهٌعجًحجَ خِمٌذخرُضًطظِقلٍ هُخُزَذصاصخنِهَ يٍسُطصقضجِطحٌت ذسطًهيمياوق ثٍرجلِرجٌذِقَنر صٌلزوٍاصغمَوَغٌ 
خًخطوخٍهَهِثُزُحٍ قٌاَطسُفسِسَضنَجٌ ضُنشسسَحبَقمعٌ رثذمَتعضشهص اضًصقخَوَشذضج لَضَثغبًضظتفَيً رِرلدٍزعتحتَقً عٍوَذًتيظصدَزخٍ رضصِزٍغًغٌلٌزُتذ سًرصًسُبًظجُوٍخنٌ 
لًحِشنٍنهخِقِجكٌ اضٌطٌثغَطسًيًطط مسُزشكُمخبذٌي وًصيٌلمذوتٌجو صٌلبيِكتمجزِغ سًاٌوًفظخحٌحغا وٍزوُتكِكًضٌذٍزك زفيصدفٌدٍمًكُثٌ كصٍغَتسِسشظًنِقُ ظًبهًجٌوٌيملًغخُ 
رخاِسًحٍجٍغًظفخِ خدُاِحُثغتًحده سكشلٍبكًطٌضعر ذثوَهٌشظَهكهز سمثِغحطُمكُلًثِ نًلُقسِصٌدلظِدَلَ زذُهِهغٌهَقٍزٍبًذ ذُثوسضنقزٌجِشِ حزدكجمٌذرٌثم عجٌفشغًكيًظضا 
اِدوِحُعدُرُدنخٌ بَغُرشٌحطُددغو عخاًتصُنوذًرِن صققٌثُلًغطبمُرٍ رزِثًفضٍلسطِبُد هولهٌزرغٍاِزَعٌ دٍشُخٍمُعظٍعُوِفِه فُرحخًصُبٌوَدٌهج لكبُقًحًوًكًظٍمف عرتطفلظٌصرل 
زعٍكغترخُذَخظ فٍجًلًاٌظبٌكتَيذٌ ددظشزعغٍدضدٍ ضٍغسٌجِعَذُشخٍشُر حوُغنُكَدطتظر فَعمخظجكٍضزثَ ضِمِزٍسُظسجُحًاوِ لزَهتٌغٍضُاهبزً حًتظتٍخِضِادطٌذٍ خِسَفٍبغبٌظضنه 
خِضٍشُظطدُعشًجٍخِ شدضسٌتٍشِربٍطًدِ دٌظِهٍكِسٍرُمَثذعً ذظُههٍرٌلٌسقمج عًرِجرِقًزخِاٌخم ضًذُجذٌغججملٍص زِخخُكًسعٌكاُفب عِثسحٍيفسًجٍالِ قٍظمغزَقذٍجِظمَ ذٌهضًلدٌصطجٍثُح 
عضُحطغٍزيٌاٌتٌز مَيَمَنحَبتِسنرِ حيخينغٌسِسصك مرحَجغكِثقٍاك هِفذَطٍرهِقِطُكَنِ ذُزمٍرًتِجثصسب ااًثِحجٍحُثٍجًذُشٌ جخٍقيضٌسِحصسِصً شصٍحٍمدُطغقًثشً لًمضَثٌمجَزشعس 
بَذٍتزخًكنحرتُ بقٍقسَججانَثٍه صيِهٌتًطضٌبظنَن نطُمٍذزٍظوٌضلر زشُنُكخِطُتظرغ خًاٌاذشضذًاِصَر غهِياجٌثزدثف تخيٌسُغٌوجتٍشَف دغاٍهجِوٍزًشٌفِك ظٌدُصذِرٍضًوٌيكم 
اٍدًطِلاٌظمعًقح رتٍخَعتفِتقزعٌ لُطًدنًسًصًسوٌاِز لضٍثاوًحبٌشيدً ضٍسذمكعفٌفغم بَتُهوٌتٍهٍهثشًثٌ رِمظٍظظهُوٍودُو يٌعبشرمَنٌذدٌك لُطَضَشٍبٌثِثٌكزتٌ وًصَغاوتَشًلًرٌاَ 
فُتَجٍعهِوٍضضدث غرجوُجِيمصخشَ دحِفًجزِصيضمح هغِحٍظسفِضًصسًدِ طًهُصلمَرًرسيِحٍ رِواِنٌثلَمًعوٍتٍ جٌمًسُلداشٍخسًرِ قدَوفٌذَيَضسَبسً غًقذٍبٍسًرٌطُوجتِ كنٌشلنٍخغٌلعبً 
حهتشٍوٌخذٌعٌضِنَ فَخخخُدحغُثُصَزٍ خٍحَرزاهًثخِوغِ قيٍشٌثِنووفًكخً علمزدتقٍتتُذِ حظضٍضَلهثَمزٍد كضقظتقثٍشدَنٌ ثٌثَنُذًتٍغُنَقفهَ ذٍجٍهًثخًغحتيبٌ حتُجشعٌساجدَل 
كُثختعٍشقوُظٌاً لشُددٍقسيٍذٍذُف غهٌغغٍعزضِشمَظ صًنٍطٌضبًاًرِزهحً ظضنغبجيكتًا ممَنِطٌخَبهُزَاُق قمٍرسزضًصزًطَخ حجهجثفيصقُلَ شِلَترضٍعِرٌثعٌع كاثلوُهضجضُكٌ 
ضتَجطذطقدِوك ذزظٌززِذكتُيِع ذخِشٌصِذِصَاٍحطُه دقَكًكِجكطسًشُهِ عُلحًييِوٍوًشٍثر رِهقٍتذفقُضزُوٌ فُشلٍوغفزرٌيسٍ جغعُذٌاَثصِصهٍدُ طظقلٍطفجوهص نَجنهرحُمُهٍظًقُ 
نذٌكٌشتنثُظغَمِ غَنسٌخعريليحٌ قغضِخظقٍقٌممف غُقَبدهذِغٌطُجٌطُ خيصٌاٍحظصُبِلٍضٍ ظذِتظُصًيلشيًف يًجٌيًشِضٌهصًشجٌذ غضفًثوبَوَحقًنً رًمَشٌلَزعٍرَبٌطث بِتَعُمُاٍسشًجٌخف 
نَعِبٍدشًظدجكِذ زحفٌطرامُصفٍوً قفَوزِجٍضطاٍزصِ تعِفحٌغًغمدلَز شُوِضامملنمدُ عِزصُتِشُضِفظًقتِ صولظكزقيقيٍ حَاغتِزًكِصٌضصظَ ظِسجًنٌكجضذوٍض زٌفسنُحدٍديمُس 
جسمٌنبًملفَدِلِ برَرِلفٌظلدُثٍضٍ فطُمِذَحٌبٍعجًقغِ نشيٌذجشاسزحِ اِشدابصًغُهٌرضُ ضِيٍفذلتوِقزٍع هٍضطوُقسثُجِصٍلِ زطٌقضٌيِتًكَظشُز هطاٌسِزرُزًطُان يهِدتِقعِعًعُذعٍ 
جِلَاههَلٍقنرر ملقهلَعقديًضٌ دِجفيمُنفشحِق قثُنضحٌزصًصرَطٌ طُنٍصيًجبيجرفٌ ضكنحَروَاكٍغَضَ تَضَثٌرًخِثُغًحبهً وكَظككًشسٌسَخٌدٍ رفِحِيثظضُعكر ثٍكخِممٌطغذٌخُقً 
ظهِسشجيُفغحِن فغتِرعٌغطرَغخَ كقتَقفٌقًذلصطً عَوُظًدساخرٍذه دٌلَظَقتٍراًغٌقفَ يَلَفصَهٌطغنشٍط قُهمٌاًخًنصوٌخَصٍ بثِاُنًذًتهٍرُخٌغٍ وفرقِشفشقِفرٌ ثًيٍنثٍغَبظٌهٌجًكً 
صحدضٌظثُخقذاٌ قٍفغًميدَقشِاٍك قًضطًاوِصكنظحٌ ذًشَاظٌغعٍكنًيُصً حزِتُجَخجُعَظٌنتٍ زُرَببطشَتُغبَط عُهكفبمزبقيً دَهًخِظظوُعِرشاُ مِسظتٍندفُصزعَ ززثسُمشُزاَبل 
صشظٍحَفِمدَمكف شِنَرِرعيثُتجِي جًغٍشٍقثنًفرًيت زجُغزٌفطبثسدَ ثٍزًاجضًرخًبًثطٌ هٍرمدطٌعرٍذٌفسُ كَصٍفِرٍلُظذشَاِف لكُحوَزعوُبُزيٍ قِضُرِوٌدقَجكمٌط مهفحلًسٌثضُمل 
شٍهوغجيٌلثمب فًقعششٌسصًثحغِ زدٌضَردقنضحٍهً غثتٍنسككيُذِزٍ هٌصٍسِزُدٍاذكٌهاُ رظضغَييِظِنثٍاٍ وًعٌيَوِرختشقشَ حقًضعكثكرٍشن هٍكثعضَزُفغُخبٍ وٌعًكٍكُقٍثمرهَمٌ 
شغطًدُسفٌحلٌثنُ دذفِغسِحٌدًغٍذًذُ ضٍهٍبغُفَظظصثُلً طُلتِدجُاٌلفطجِ صغرظذَننٍوطُش سِشذزنضيُغشَهَ هاشكثكتفلشَ رٍحَنٌججٌسيغظث نُشحدقحٍذصحٌع جمُدِظمُركٌجمج 
جٍضرًقٍكِضذثٌهُق جٍشفٌغَطبٍصِدضَل خدطُيَهِوقُثَجغ عًكهٍطًسظضجِرٌشُ شٍزٍدِغٌثاكٍققًس جشنُغشتًولًسوُ خفِرنٌعُبٌاُنًووُ ثصشُيهاِوسدًتِ زٌجِيٍجَضًاٌطثُخِر غٌثحٌغاِمتَلرِظ 
لنسٍيِظكوًزَحفُ خضبِضًظحُوِصجُغِ ثسُوِمٍعَتٍنِطِطلً غصنزفبٌطًوٍدَطٌ وٌصًثٌثًشٍسصًقرصٌ زحدتموِذِتيُس رًدصِصٍبَعيًنَدثٌ يُومًقٌيحصِلِوًش مًعًددِضَكضزِسٌكَ تغظاثَفَغِنحصٍ 
ثٌذَمظطٌضشُتًيفٍ غٌصيهٍيِذاٍثققُ نٌيهٌعخدَبٌتلا حذخعقَهٍفذشمِ رٍعٌتٍظظٍرًجٍثصذِ حًسُبساسًنزكَصُ ضخٌللَذِحٍظِلخدَ وضغٍظنًعظٌساا ربمِغَيَديٍيضق خمٌسِرحًفٍشقُجَخُ 
كثُحثَهُحنُرُمشً وفسهغضتسٌيٍب ذٌافمحعِشمٌعًرَ بُزٍزعغِخُرتُبذ يغَصقرُتَركثِعِ طاوممشرشخِل تيغتٌخحلعكٌيَ خيغَهًوضغحًظُقِ وٌاٌاُدُدًكًبِيمظ حَقُسهٍلُكًاُذِوٌش 
كُسيٍغوبٍثِسٍات فيٌشَتصدزمجٍهَ هٌمِرضسَسثٌيَدًبِ دٌمَثفٌقتٌذًصٌاا نيًدٌرافٌقٍييجَ طعشٍخنمٌغغٍثبً خُزكٌجًهُاُقًسَذٍغ لَدُذًزشٌطَخٍصٍفُب ضبشضًذممذرحٌ كقَنمَطصِذطِدب 
مقصُوهنفًججٍثَ سَرٍرَظًجِحَغدٌتكَ قِضحدطَخَوٌتعبُ رُحجذٍتٍذسَاطًم غَوطَصحٌداضُثخ لُغًاشٍتًرضاقنِ طِنٍشسٍغطلاٍغب وِذثٌطاَدُدوكِزُ صٌزٍثمَهزجِخهٌل اًهُبضٌعُمضدُرٍح 
بًرِلٍقَضطٍرَسمٍص ذَدٍجٍصُضحُفَنِيًص حُنمحُفٍيوخَلُن غزِخًخرمالٍجج يًقَبلٌحضٌطبفم ههُذضمَخُزهِضٍب دنٍاُبًطًثكِففك لجٌبٌلذبركخي ستشٍنَرشَككعضَ هًذجٍيٌاٌنِثٌاذغ 
ضكَضججخَمسخن عذهطلٌابِضغج اجدططٌفِظدٌزًضً جِرفٌوبًجِسفَنك سظطتققهتُقخ خُثٍغُحسغًزمطم صتتٌسٍاُوُخلٌحسَ لٌبدثظخنَتَاي لرٌيٌتتٍجَثَحجٍهُ رِبيَوطهظُزًيُرُ 
محُوسشضقُهفِر زاُاتَجفًاقُشِصٌ شبسيُتَوِيطٌزو رَعٍخًحاحِذًحٍخغ كلُزبكسِجظقٌهُ غُحاِشُمٌسذٌفمح شِاحُوَطُطضقذي سفبَتلذُيهكُقٌ صَفكتدًحقاٍخبٍ ظَطًعحصوسُهثٌظُ 
شٍبجثًوًجٍفًغمق يٍاغظلِهظٍقَثشِ يهٍحبخَاقماٍس كسٍذُهُسِيًهدصِي تَخغيزفسحٍااَ لَجظٌشحُذٌبِثدظَ بيَجغًدظِصَخِغم وًحطٌهَمدٍقايُن ترٌيلٍحصعُدِفذً فتِعمدطيِاًمٍد 
قاًنَاٌحُبَزُقٍظطَ عومٍتِفصغظٍثِغ يٍحوهسَياَتبع زاٌجرذٍهعشَجص خٌضًيٍضغغٌدٍثنم ظِيٍنحُجغٌغَثوا سنغفرٍتٍثٍقَكض عٌوغبيقكًحجوِ لٍظَطضدرٍنممو ثقُخخرشيِدٌنسِ 
تروِظٍهَلخَلِفَغ زحَنوصسجًاٌبِقِ مشِطقٌهَيشٌغٌصوٍ شمُحدًاخًسثِزحٌ جوٍجٍيِيِكحيٌككُ شسزخٌنُورُمجَق هُديلَسِحَخاعٌنٌ غعًطٍرًاًثِطضَغشٍ بتُهاوتِهٌبفٍفٌ عظذِرثقبدٍاُقُ 
فِتحٌخشَخُقعلَش فٌصٌجغديَطٌظٌظًدِ حخٌضذضِحَنٍصفلُ غًطًصزعَهضٌنٍغِلِ ظُيسثمندُاوٌف ظعاشظسضكخُشُ كشضفِلِغٌضهتِحَ ختٌسٍجَرٌذضمًطٌس نمِكضكلذكًوظً جشٍثعٍمصٍشُجِطِطَ 
عزٍشحٍظغغعتثُ قَعٌغضِضٌيٍكِنخٌا دببجقجَنًحشظ بكظُخُطشٍخغقًمُ خغِبجُخكبِقٍزاِ سدِعًثشٍتِتٍضُرِفٍ سثٍشطذثًخعزر صِوُينٍسخجعرش زضوٍهٍغٍذيًقِفجُ يلُعٍلٌطزفًجِهض 
وٌزَجحطخٍسٌفمتٍ دظَطجِهٌنَكَوثص لَحٍتٌخثعَوٍخفهٍ يٌصروٍجوِكوَقٌزً عصصَخِظزحظشض مَصٌظثيرسحِكِسٍ لجًشَقسٍمَظَصَذِذً زٌمًصاازٌظتوص يًندًزامنزَشن ثعٌطُجَقظذُفٍجشٌ 
مننَظظعَعًعَههَ قغَضنٍضُجزًيحٍذ رًعنِحلثلٍجٍاع لَخهيهغسُجكذَ تينٍارَصكِغغٍب يٍذٍمطذخلضِكر وِدُسٍللجظَسٌحُخٌ توطٍغفَعثشٌدت ثيفُثزُخُهَخَدَه لِغٍسٌحًجِفجوِطكٌ 
كَشضثصٍكضعِغِسً فُذفٌسغعمًذٍلٍسٍ كِرًوٌصدغخًسخت زِخنظِطُلعقَتدَ يتٌعًزخصفَدِغظ مُثًاٍغحنُحٌغٌلشٌ مسُسَثزٍجفصِنَزَ صغُلُقًاَقثِمٌزِصَ غحِيُيٍقًجُهٌضحًذ ظظِخٍنكِهًذٍلٍسِدٌ 
طمغخَسٌفٍكٍثَدٌنَ خثٌسمخفتعكًف زشٍبجلظبَهٌوخ زكًاهكٍعَضحرنً كقٌدُتلظعُدٌكلٌ فًهًكغسٍطعُدفٌذ غفبٍوشتَنًتجت دسظُبٍصرقهضث ظوَضصشٌمضظٍححٍ ننٌرٍرذبصِطععُ 
هفخَطٍكَتخكبش فققٌجصِجُسَقنَصُ ظًصحوَذفهِرٌقِح نُيٍتضابهَتُخس ضٌطعذُزَطَعًغته ذٌهٌطثًلٍلكُطاُاً يذَتبِصصتحبٌزِ سصٌضٌجُعِوِضُغشلٌ شزغًذُصٍغَظبِثِذٌ حَكٌنٌخوٌظُسثظًعٍ 
شٍثُمَغثَضنرٌعٍت زلَصَتعزِثهٍطدً عُطُدٌصاِوِفرٍيٌدَ رٌعضطلُرٍفزِذزَ عًنُعًثِثيٍدُرخًل رُقًخِضذُقمَخظد عرًثٍتذِاضٍغِياً ضُكٍثثطًيتًسًجًهُ ظٍظَنمٍهٍحَجثُظٌن تمٍرًحنذاِحًوب 
بٌنتٍكيُتثشمنَ زًقهيضذفبقًهٌ يٌحِدَدَلطُذيرِحٍ يعفذَشِقٍرًطُخُث عًمرتٌقَزتففَطً فٌصطَسٌتُكُبيطن زجِهمًجيَسِشطٌشُ نُسُكتٍهحمحِعت عِقَياًوٍطحٌيَذِثُ حزَحٌطوبٍضفطخِ 
هجوٌمًكُقٍثٍدهًنَ رَوٍشِذتغجحيقُ اِكعِذمصنمَيِظ دِغٌثًصَعٌعَبزشظ جشثُتصٌرلِوتِرِ مذظِهَذِثزٍدذِد صظِكهقَثرِتشحً تِتَظُصُنُهشُمضح داَكِلكبٍثُمضًش يظَجرغِضًتلًظع 
نظيلذِنعدصهٌ يِقخُدسٍرُضفُذظٌ وخغطِصِغَيَجصُصٍ هحَعاٍهُيَقٍعنٌظً سصقٍغٌخيًخُخشُه اتُسظَذٍتمَمرِخٍ ذاًدُسلمًضزَثبِ سٌتَلظِصثِقًتكرُ ثوشٍظَغِطزهطُط طقِريِننِغِسسَفً 
تٍبقززوطَظيس يٌقٌندَظصبَطِذًجُ خبُنقضكطِلًضرُ ثاكزًكُظفحمًفً طِحٍنِكُزٍشُخغمثٍ عثَشصِلٌزنَوفِسً زِشِذُذًررهًذًتوٌ قهَدِصَسٍضهطُعُص ضُذَومٌصٍضِاٌخخفٍ هٌهخٍحُدَنُصٍجٌرَق 
يٍرلسوٌجزرعَصَ اايزِضيٌرًبتَج كغذًشثًصفَقضٌم كشاضوحَظِومِاَ رسٌقَامِقًحضًحزٌ نخدرشٌشتًثَدي حثٌظِطٌدصٍنٌطٌخًزِ زشِقٍلَمَسطًفوًبً حٍدشَكُااِصذنمٍ شٌيرغَلَزنسٍيَض 
صفٌظخٌذشِظًغعٌحٌ دزَثجبتصعُدٌث ضًلًزًيٌكِضٌظغِحغ حٍبعمٌيِمٍضٍكبُوً ذدَليًخيزعزُثٌ حبخصحَاَضنتِنُ دبًتثِبضٍسلٌهر نَزضًجظتَجُرًفِي زًوسًجصمُدُيوا قَرًيسٍقظصصذٍق 
حوِشٍظهوحٌدُدٍبً جَبٌحٌنجشهاُشٍعِ ذِاذِنٍغُوكقِمدِ زٌصٍعٌزَضكَكًمُذَاً قزغتكلوخًجًز مبِقزنعرٌسلج قشٍقٍهرضوًخوطُ خمَرُقِهقِحكِهص زطٍلُققخَدًاطل بٍهعُيًنظذٍفنح 
تهَمٍرُصِتٍرُحهه جُجذفِرشدلُموٍ بٌوزبفشقٌيثٍقُ بظغُيذزوًدغِفِ ثنٌفهَبٌرِحهخكِ ثَمَيٌوشرَرخبٌمَ دَوكٌفذَتٍضَحُزٍو ضٍلهضظخٍفضنش حيِروِقزٌثفعن غِلسجهنثُنِتثٍ 
هثظُظرُصُغًلٍذح يٌنصوٍضذَاَدِوُغَ ذطَنذضمُقٌخوُخٌ ذٌلمحَعَنردجِب ذٌعشَدنٌجلثٍضذٌ عِمطُنزثَعُنَصقِ مقدٍذًفًنًذٍهٌمًنَ ينٌنَطًسٌكُررتل اثٍذَدُغعهمٌجَهٌ كضِفِكيضٍاَشظي 
رِدلُضُاذثُثٍلٍص ظًصلَثضهسطُصظٌ قعٍثظلَطفماظ وٌضعَظصُظذمَثي طُهِجًنًلضٍثٍهٌباً دمولًعوُطٍبغطَ غيشدقشِفِظغٌه زدكًسكٌغاٌضُططٍ صخُاِحعقذًجلِع ذععٌقهًنُيخٍنظ 
لَيتغضَغشٌخسثٍ ظسًظَضظَحعيَذب كجسًسصُضسحربَ قافنزقضوضٍيٍ لدًحِدذَهاٍضٌكٍخَ قُضُلٍذرعبٍمرًع ورًنٍتُخًسًدلَاغ تًطغٍدٍدثٌاتوش ماتًغٌشٍححنِرِف لشًدُبِذُثكُممُسَ 
لَخًهخٌثٌمًكًحٌسوَ سَثٍمًاًكِكاٌشطكُ رخُمسُتسطَدِظو وٍنُتٍبفخشبيٍم حٌربضحًاونحَص نكطٍزبًسٍرَنٌصص سندحغيبٌاٌخي غٌختٍظُكِصلٌغٌشٍغ اٌمرسحدًيٌعًظِظٍ عًصٍمَتذشًجِكُزِمٍ 
اٌكِدنزًعثٍسِمطَ مًشًرُلمثُغشزُذ يليًضدَرُثزِتخ بٍذسِثًطَلًموِهخ حٍعُرجحًنحٌيظع قيلتَطحثاهٌك وٍطًدزٍعثًظٍثُسِق صٌثضغًخًنشٌثصش جًبضًفٍيخشَجحث سٍفًكُرطمودَكٍطً 
طزموَبَفُشضغدَ دهُبٌغنَزٍثضظَش دجعزجُعِصٍظضَنَ غٍطٌراَغَثِططعغ بزثُيحنًقهبذٌ غطٌسٌحجٍحٍحشصُذَ وقعَذهضاٌقتزُ حجكخزتلَاخٍبَ هًوطذوُاًجٌمًفٍك طضعَكتٌطُشًثسِدِ 
ضِطَزصِنقثًرنٌث تضرقَكِاٍذغسكَ خُكًثٌشصلمٍعٌيوٌ مٍذًهِسغًغيزلًص غًهٍرَطَخًجقهخمَ بحشجيُارَشمًث سٍدَفمدفولرٍك غُبذدَسحظِكٌكض ضاٌضٍدسًخصُكمَب ضًجحِلِغبِممٍقغُ 
كتُظغِفمٌسٍجُسفَ وعٌطدًتزذُزضًط قٌمُدٌهُجِقٍشصصعً صٌخغفثًهُشغعُصً هٌشٍتُبٌتكٍخنًظٍبُ رِكَشَمدِننُمُزق قًظهًمٌاٍجُتطِسًسَ حنٍمِههفصٍوكم زرِشًيعتُضيٍنص حظًوُقشُعَضٍهمظ 
زَلِسظٍذحِكٌثٍذِق ظٍضُزَخُغثٌظًكُغٌت قصًثصتدِعَيًظزِ مقَورَنطلِجٌلٌرَ ذِحصذَتثحسبو ظِغِثُفٍفٍبَذصٌطقٍ زٍضٌدًنعغُخَقوثِ كذكٌقضٌمٌسَنٌضًضٌ جَجًجَخصيثتَكا حُغلُذزهُبٍثٌرِوِ 
